MAT.1.1	Yisa Masia chɔɔŋkʋʋlɩŋ saara wʋnna: die ʋ yiwo Davidi haagɩŋ ta Davidi dɩaŋ dɩ yi Abarahami haagɩŋ.
TIT.1.8	Ama ʋ mʋ ʋ yiwo vuodieke dɩ mɩŋŋɩna tuose chaanɩŋ ʋ tigiŋ me, ta cho dɩ ʋ yime wudieke dɩ vɩɩna, ta bɩ yi vuodieke dɩ yalla yɩaŋ, ta bemme vɩɩnɩŋ, ta bɩ yi sʋgɩyɩalɩntieŋ, ta bɩagɩ a yige ʋ gbaŋ. 
TIT.1.9	Ta yi vuodieke dɩ mɩŋŋɩna a pɔgɩlɩ wusie wɩaha sɩba a dagɩna dene. Die nan vaa ʋ mɩŋŋɩ dagɩ vuosi dagɩ dieke dɩ vɩɩŋna, ta bɩagɩ a nyaŋŋa vuodiekemba dɩ kana ka saaga yɩa wusie dagɩkʋ.
TIT.1.10	N bala fʋ naa dama nʋazetitielibe dala pam, ta Juu vuosi dɩ sɩɩ dene, ba naga ba wudiekemba dɩ wone nyʋarɩka a gaama vuosi mɩŋ. 
TIT.1.11	Dɩ yiwo talasɩ dɩ fʋ kagɩ ba wʋbalɩkaha gie, dama ba yalla ligire chotibɩatɩ wɩa ba daga vuosi wudieke dɩ kana ka vɩɩna dɩ ba dagɩ, die dɩ chɔrɩŋ tige ataŋ vuosi sʋŋanyile. 
TIT.1.12	Kireeti daa wʋnyɩ vuodieke dɩ yine dɩdagɩrɩkpeŋkpɩɩŋ die baarɩ dɩ, “Kireeti vuosi mana yiwo ŋmɩnchɩbɩtieliŋ, ta bɩ yi vuobɩatɩ sɩba haagɩŋ dɔmbɩatɩ ta bɩ yi walɩnkpɩatieliŋ ta yaa wutuliŋ pam.” 
TIT.1.13	Wudieke die ʋ bala wa yiwo wusie, die wɩa galɩŋ ba ba nine me amʋ ba nan yi wudieke dɩ yine wusie yada, 
TIT.1.14	ta daa bɩ wʋmma Juu vuosisi sunsobilitɔgɩtɩ, ta daa bɩ wʋmma a yɩma vuodiekemba dɩ zetine wusie wɩaha dagɩkʋ. 
TIT.1.15	Sʋgɩyɩalɩntieliŋ jigiŋ nɩŋ, jaaŋ mana yɩantɩya mɩŋ a yɩ ba, ama wʋbɩayiiribe dɩ kana ka yi Masia yada wa jigiŋ nɩŋ, jaaŋ ka yɩantɩya a yɩ ba, dama ba sʋŋanyile aŋaŋ ba yɩaŋ ka yɩantɩya. 
TIT.1.16	Ba wasa ba gbaŋ Ŋmɩŋ vuosi ama ba wuyiike dɩ ka dagɩ dɩ ba yiwo Ŋmɩŋ vuosi. Ba yiwo nʋazetitieliŋ, ta haa taŋ, ta ka mʋ ba yi wudieke dɩ vɩɩŋna.
TIT.2.1	Tatusi, mʋ fʋ dagɩma wudieke dɩ yine wusie. 
TIT.2.2	Kpaama nyɩŋkʋraha dɩ ba bemme sɔmm, ta yallɩma yɩaŋ, ta bɩ yigi ba gbaŋ, ta mɩŋŋɩ pɔgɩlɩ Masia wɩaha, ta chome vuosi, ta bɩ yallɩma sikimiŋ. 
TIT.2.3	Bɩ kpaaŋ hɔgʋ nyɩŋkʋraha die gbaŋ gbaŋ, dɩ ba bemme sɩba vuodiekemba dɩ benne kasɩ dɩ mʋna dɩ ba bemme dene, ta daa yi kʋagaarɩŋ, ta daa bɩ nyume daaŋ a bugime. Ba mʋ ba dagɩma wudiekemba dɩ vɩɩŋna, 
TIT.2.4	ta dagɩma hɔgʋlɩabaha dɩ ba chome ba chʋllɩŋ aŋaŋ ba ballɩ, 
TIT.2.5	dɩ ba bɩ yigime ba gbaŋ, ta bemme kasɩ, ta yi hɔgʋvɩɩna ba chʋllɩŋ tige me, ta tuosime ba chʋllɩŋ nʋa. Die nan yi aŋ vuoŋ kaaŋ bɩagɩ balɩ wʋbɩatɩ yaa gamma Ŋmɩŋ wɩaha. 
TIT.2.6	Bɩ kpaaŋ dalʋakaha die gbaŋ gbaŋ, dɩ ba yigime ba gbaŋ. 
TIT.2.7	Fʋ gbaŋ bemme vɩɩnɩŋ jaaŋ mana ma, aŋ ka yi dagɩtɩ a yɩ ba. Dagɩma ba Masia wɩaha aŋaŋ wusie, ta vaa fʋ nine ŋmɩntɩ, 
TIT.2.8	ta balɩma wudieke dɩ tʋgɩsɩna amʋ fʋ dataasɩsɩ kaaŋ ye wɩɩŋ a balɩ a chʋʋsɩ tɩ, die nan vaa ba dii viivi. 
TIT.2.9	Dɩ vɩɩna dɩ yɔŋɩsɩ tuosime ba tieliŋ nʋa, ta yime wudieke dɩ fɩalɩnana ba sʋŋ jaaŋ mana ma. Ba tielibe dɩ keŋ bala wɩa, ba da nɩgɩma nɩnhagɩrɩŋ aŋaŋ ba, 
TIT.2.10	yaa ba gaarɩma ba. Dɩ yiwo talasɩ dɩ ba dagɩ dɩ ba yiwo vuovɩɩna ta yi wusietieliŋ saŋŋa mana amʋ ba nan vaa Ŋmɩŋ, vuodieke dɩ yine tɩ gbɩgbatɩtaantʋ wa dagɩkʋ ye bɩrɩŋ wudieke mana ba yinene me. 
TIT.2.11	Dama Ŋmɩŋ yɩ wa vuota mana sieŋ dɩ ʋ ye gbatɩtaanɩŋ; naa dagɩya ʋ zɔɔlɩnchɩgɩla dɩ dala dene. 
TIT.2.12	Kanɩŋ zɔɔlɩnchɩgɩlaka mi dagɩ tɩ mɩŋ dɩ tɩ vaa wudiekemba mana dɩ kana ka dɩ Ŋmɩŋ sieŋ, aŋaŋ tɩŋgbaŋka gie lɔlɩbɩatɩ, ama ta yigi tɩ gbaŋ, ta bemme vɩɩnɩŋ, ta dɩa Ŋmɩŋ tɩŋgbaŋka gie me, 
TIT.2.13	dama tɩ chɩɩsa mɩŋ ta yaa tama dieke dɩ yɩnana tɩ sʋgɩfɩalɩŋ dɩ tɩ Ŋmɩŋ kpeŋkpɩɩka aŋaŋ tɩ Yɔmʋtieŋ Yisa Masia nan keŋ nyɩŋ chuulikpeŋkpɩɩŋ ma. 
TIT.2.14	Die ʋ tuo wo tɩ kuŋ a kpi dɩ ʋ gbatɩ tɩ a nyɩŋ wʋbɩatɩ mana ma, ta yi tɩ sʋgɩyɩalɩntieliŋ dɩ yine ʋ nyɩɩna ma sɩɩtɩ, dɩ tɩ yi vuodiekemba nine dɩ ŋmɩntɩna aŋaŋ tʋnvɩɩna yiile. 
TIT.2.15	Dagɩma ba wɩaha gie mana, ta kpaŋŋɩsɩma ba, ta kpaaŋ ba aŋaŋ Ŋmɩŋ dɩ yɩna fʋ yiko dene, ta da vaa vuoŋ daansɩ fʋ yɔrɩ.
TIT.3.1	Kpaaŋ fʋ vuosisi dɩ ba yɩma naalɩŋ aŋaŋ vuodiekemba dɩ yalla yiko jɩlɩma, ta tuosime ba nʋa ta yime siri dɩ ba yi wudiekemba mana dɩ vɩɩŋna. 
TIT.3.2	Balɩ ba dɩ ba da balɩma wʋbɩatɩ yaa gamma vuosi mi, ta da wagɩma taŋ, ta bemme sɔmm, ta yɩma vuoŋ mana jɩlɩma. 
TIT.3.3	Dama saŋŋa dieke die dɩ tɩanna wa die tɩ gbaŋ die tɩ wo yɩaŋ, ta yi nʋazetitieliŋ, ta dɩɩ sie dieke dɩ kana ka tʋgɩsɩya, ta dɩɩ lɔlɩbɩatɩ sieti yiri yiri. Die tɩ wo sʋŋanyilivɩɩna, ta die yaa sʋgɩbɩaŋ, die tɩ haa tɩ chanchaalɩŋ, ta ba dɩaŋ ba haa tɩ. 
TIT.3.4	Ama saŋŋa die dɩ keŋ tʋgɩ tɩ gbɩgbatɩtaantʋ Ŋmɩŋ die dɩ dagɩ tɩ dɩ ʋ yaa zɔɔlɩnchɩgɩla ta cho vuoŋ mana, 
TIT.3.5	ta gbatɩ tɩ a taaŋ. Die dɩ ka yiwo tɩ tʋnvɩɩna wɩa ama die dɩ yiwo ʋ zɔɔlɩnchɩgɩla wɩa die ʋ gbatɩ tɩ a taaŋ, ta die dɩ vaa ʋ Halɩkasɩka die dɩ sɩɩ tɩ ta vʋarɩ tɩ tʋmbɩatɩ, ta yɩ tɩ mɩrɩhaalɩŋ aŋaŋ miivoli haalɩŋ. 
TIT.3.6	Ŋmɩŋ die yɩ tɩ wa ʋ Halɩkasɩka, tɩ Gbɩgbatɩtaantʋ Yisa Masia wɩa, 
TIT.3.7	amʋ ʋ zɔɔlɩnchɩgɩla wɩa tɩ nan bɩrɩŋ vuovɩɩna ʋ jigiŋ, ta ye miivoli dieke dɩ wone kpatɩkʋ, ta tɩ yaa tama dɩ tɩ nan ye wo. 
TIT.3.8	Wɩaha gie yiwo wusie.
TIT.3.8	N yaala fʋ nagɩ fʋ sʋŋanyile mana a dagɩma ba naa, ta vuodiekemba dɩ yine Ŋmɩŋ yada wa nan nagɩ ba saŋŋa mana a yie wʋvɩɩna. Wɩaha gie vɩɩna mɩŋ ta yaa nyʋarɩ a yɩa vuoŋ mana. 
TIT.3.9	Ama nɩ vaa nɩnhagɩrɩtɔgɩtɩ, ta bɩ vaa nɩ chɔɔŋkʋʋlɩŋ buuriŋ saara bɩɩsɩŋ, ta vaa waagɩŋ aŋaŋ nɩnhagɩrɩŋ yaa gamma mɩraha ma, dama a yiwo wʋtɔgɩtɩ ta wo nyʋarɩ. 
TIT.3.10	Dɩɩ yi vuoŋ dɩ yi jigiŋmabɩrʋ, fʋ kpaaŋ wa bʋnyɩ yaa bule me; dɩɩ yi ʋ baga dɩ wo kpaaŋkʋ ma, fʋ va wa ta da bɩ tɔgɩŋ wa. 
TIT.3.11	Nan dɩ sɩba a baarɩ dɩ wʋnɩŋ vuoke mi ka bɩ dɩɩ Masia, ta ʋ gbaŋ gbaŋ ʋ tʋmbɩatɩ dɩ dagɩ dɩ ʋ chʋʋsɩya mɩŋ.
TIT.3.12	Dɩɩ yi maŋ keŋ tʋŋ Atemasi yaa Tichikusi fʋ jigiŋ, fʋ kpaŋŋɩ fʋ gbaŋ a keŋ n jigiŋ Nikopolisi tɩŋ ma, dama n nan dɩ bie mi wʋyaalɩka gie. 
TIT.3.13	Kpaŋŋɩ fʋ gbaŋ a suŋŋi Senasi, vuodieke dɩ yine lɔya wa, aŋaŋ Apolosi, aŋ ba ye wudieke mana ba yaalala a piili ba sieku. 
TIT.3.14	Dɩ mʋ dɩ Masia dɩdɩɩsɩrɩba yime tʋnvɩɩna saŋŋa mana, ta suŋŋime vuosi ba wumugisike me, ta da bemme beri dieke dɩ wone nyʋarɩ.
TIT.3.15	Vuodiekemba mana dɩ benne n jigiri waasa fʋ. Waasɩ vuodiekemba dɩ yine Masia dɩdɩɩsɩrɩba ta cho tɩ wo.
TIT.3.15	Ŋmɩŋ suŋŋi nɩ mana.
PHM.1.1	Manɩŋ Pɔɔli vuodieke dɩ benne dansarɩka sʋŋ Yisa Masia saaŋ wɩa wa, aŋaŋ tɩ nɩmbʋa Timoti maagɩnana gbaŋkʋ gie a yɩa fʋnɩŋ tɩ tʋntʋŋ chanchaaŋ, vuodieke tɩ faasɩna cho wo, 
PHM.1.2	aŋaŋ Masia dɩdɩɩsɩrɩ diekemba dɩ lagɩŋna a jɩama Ŋmɩŋ fʋ tigiri me wo, ta bɩ yɩa tɩ taa Afɩa aŋaŋ tɩ tʋntʋŋ chanchaaŋ Akapusi.
PHM.1.3	Tɩ Chɔɔŋ Nabidie Ŋmɩŋ aŋaŋ tɩ Yɔmʋtieŋ Yisa Masia suŋŋi nɩ ta bɩ yɩ nɩ sʋgɩdʋagɩŋ.
PHM.1.4	N nɩmbʋa Filimoni, saŋŋa dieke mana maŋ keŋ jʋʋsa Ŋmɩŋ, ta tɩɩnsɩ fʋ wɩa n ŋaaŋ waasɩ wa mɩŋ. 
PHM.1.5	Dama n wʋŋ fʋ yalla yada tɩ Yɔmʋtieŋ Yisa ma dene ta bɩ cho Ŋmɩŋ vuosi mana dene. 
PHM.1.6	N jʋʋsa Ŋmɩŋ mɩŋ tɩnɩŋ aŋaŋ fʋ dɩ lagɩsɩna a yi Yisa Masia yada naa, die vaa tɩ mɩŋŋɩ sɩba berivɩɩnɩŋ dieke dɩ yine tɩ sɩɩtɩ ʋ ma. 
PHM.1.7	N nɩmbʋa, fʋ chotiti gie yɩ mɩŋ wa sʋgɩfɩalɩŋ ta bɩ kpaŋŋɩsɩ mɩŋ, dama kpaŋŋɩsa Ŋmɩŋ vuosi mana mɩŋ.
PHM.1.8	Masia wɩa n tɩŋ kaaŋ chɩgɩ ŋmaamɩŋ dɩ n balɩ fʋ aŋ fʋ yi wudieke dɩ mʋna. 
PHM.1.9	Ama choti wɩa, n baa jʋʋsɩ fʋ mɩŋ, manɩŋ Pɔɔli vuodieke dɩ yine Yisa Masia tʋntʋntʋ ta lele a bie dansarɩka sʋŋ ʋ wɩa wa. 
PHM.1.10	Die wɩa, n zie wo Onisimusi naŋ ma, vuodieke dɩ yine n gbaŋ gbaŋ n bʋa Masia ma wa a jʋʋsa fʋ, dama n benne dansarɩka sʋŋ giena wa n balɩ wa mɩŋ wʋvɩɩnaha ʋ yi yada. 
PHM.1.11	Saŋŋa dieke dɩ tɩanna wa die ʋ wo nyʋarɩ a yɩ fʋ, ama lele nɩŋ, ʋ yaa nyʋarɩ a yɩ manɩŋ aŋaŋ fʋ mana mɩŋ.
PHM.1.12	Lele n yiŋŋi tʋŋ wa mɩŋ fʋ jigiŋ, ta n sʋŋ mana bie ʋ ma. 
PHM.1.13	N tɩŋ nan dɩ yaala ʋ zie fʋ naŋ ma n jigiŋ ta suŋŋime mɩŋ n benne dansarɩka ma Masia wʋvɩɩnaha wɩa wa. 
PHM.1.14	Ama n ka yaala n mugisi fʋ aŋ fʋ suŋŋi mɩŋ, ama n yaala fʋ yi mɩŋ aŋaŋ fʋ dʋŋŋʋ. Die wɩa, n kaaŋ yi wɩɩŋ ntaala saagɩya.
PHM.1.15	Vuoŋ zɩ, Onisimusi die gaya mɩŋ ta va fʋ saŋŋa bɩta amʋ nan dɩ yallɩ wa yaa gamma haahuu. 
PHM.1.16	Ta lele nɩŋ ʋ ka die yiwo yɔmʋ, dama ʋ tɩaŋ wa yɔmʋ, ʋ yiwo tɩ nɩmbʋa choti, Masia ma. N faasɩna a cho ʋ wɩa dene wo, mʋ fʋ cho wo a tɩaŋ dene, dama ʋ yiwo fʋ yɔmʋ aŋaŋ fʋ nɩmbʋa tɩ Yɔmʋtieŋ ma.
PHM.1.17	Die wɩa, dɩɩ yi fʋ nagɩ mɩŋ sɩba fʋ tʋntʋŋ chanchaaŋ, die nɩŋ mɩŋŋɩ tuo wo sɩba fʋ baaŋ nan tuo mɩŋ dene wo. 
PHM.1.18	Dɩɩ yi ʋ yi fʋ wɩɩŋ yaa ʋ dii fʋ hamɩŋ, fʋ vaa n tuŋ. 
PHM.1.19	N maaga wɩɩrɩ gie aŋaŋ n gbaŋ gbaŋ n nuuŋ mɩŋ. Manɩŋ Pɔɔli n nan tuŋ fʋ; ama daa manɩŋ n bala n balɩ fʋ, dama fʋ gbaŋ sɩba a baarɩ yaa wa n hamɩŋ fʋ miivoli wɩa. 
PHM.1.20	Die wɩa n nɩmbʋa, ko suŋŋi mɩŋ tɩ Yɔmʋtieŋ wɩa ta kpaŋŋɩsɩ mɩŋ tɩ yine dɩdɩɩsɩrɩtaŋ Masia ma wɩa.
PHM.1.21	N maagɩna wudieke naa, n yaa tama dɩ nan yi tɩaŋ n bala fʋ dɩ fʋ yi wudieke wo. 
PHM.1.22	Bɩ yaalɩ juoŋ a gbara mɩŋ dama nɩ Ŋmɩŋ jʋʋsɩŋ wɩa n yaa tama dɩ n nan keŋ kaagɩ nɩ.
PHM.1.23	Epafirasi, vuodieke dɩ gʋtɩna a bie dansarɩka sʋŋ aŋaŋ mɩŋ Yisa Masia wɩa wa waasa nɩ. 
PHM.1.24	Ta n tʋntʋŋ chanchaalɩŋ, Maki aŋaŋ Arisitakusi, aŋaŋ Demasi, aŋaŋ Luki, gbaŋ waasa nɩ.
PHM.1.25	Tɩ Yɔmʋtieŋ Yisa Masia suŋŋi nɩ mana.
HEB.1.1	Kʋrɩŋ ma wa Ŋmɩŋ die daaga ʋ naazʋalɩba ma a bala wɩa a yɩa tɩ chɔɔŋkʋʋlɩba saŋŋa pam aŋaŋ sieti pam ma, 
HEB.1.2	ama lele nɩŋ ʋ vaa wa ʋ Bʋadembike dɩ balɩ a yɩ tɩ. Ʋ ma Ŋmɩŋ dɩ daagɩ a naaŋ dʋnɩa ta bɩ vʋarɩ wa dɩ ʋ sɩmma jaaŋ mana. 
HEB.1.3	Wʋnɩŋ ʋ yine Ŋmɩŋ gbaŋ gbaŋ nɩasɩŋ, ta chaana Ŋmɩŋ chaanɩŋ, ta pɔgɩlɩ dʋnɩaka gie lʋga mana aŋaŋ ʋ nʋawɩɩŋ dieke dɩ yalla hagɩrɩŋ wa. Die ʋ yine wudieke dɩ baaŋ vaa vuosi ye ba bɩaŋ naachaala a kpatɩ wa, ʋ wa kalɩ wa Ŋmɩŋ vuodieke dɩ yine hagɩrɩtieŋ wo nuudiigiŋ chaaŋ arɩzanna ma.
HEB.1.4	Ŋmɩŋ dɩ yine ʋ Bʋadembike saaŋ dɩ tɩaŋ malakasi saaraha, die gbaŋ gbaŋ Bʋadembike dɩ tɩaŋ ba. 
HEB.1.5	Dama Ŋmɩŋ ye ka balɩ yɩ ʋ malakasi wʋnyɩ dɩ:
HEB.1.5	“Fʋnɩŋ yiwo n Bʋadembiŋ,
HEB.1.5	ta jinne maŋ yi fʋ Chɔɔŋ.”
HEB.1.5	Yaa Ŋmɩŋ ye balɩ yɩ ʋ malakasi wʋnyɩ dɩ:
HEB.1.5	“N nan keŋ yi ʋ Chɔɔŋ
HEB.1.5	ta ʋ yi n Bʋadembiŋ.”
HEB.1.6	Saŋŋa dieke Ŋmɩŋ die dɩ bala ʋ tʋŋ ʋ Bʋadembiŋ dieke dɩ yine nyɩŋnaaŋka mana sikpeŋtieŋ tɩŋgbaŋka gie me wo die ʋ bɩ balɩ dɩ:
HEB.1.6	“Ŋmɩŋ malakasi mana mʋ ba jɩama wa mɩŋ.”
HEB.1.7	Ama naa Ŋmɩŋ die dɩ balɩ yaa gamma malakasi ma, dɩ:
HEB.1.7	“Ŋmɩŋ yiwo ʋ malakasi dɩ yi haalɩtɩ
HEB.1.7	ta bɩ yi ba yi bolinyaaŋ.”
HEB.1.8	Ama ta balɩ yɩ ʋ Bʋadembike dɩ:
HEB.1.8	“Yiwo Ŋmɩŋ, ta fʋ naarɩ nan dɩ beri yaa gamma haahuu.
HEB.1.8	Ta daansa fʋ vuosi aŋaŋ wusie.
HEB.1.9	Fʋnɩŋ nɩŋ cho wo vɩɩnɩŋ ama ta haa bɩaŋ
HEB.1.9	die wɩa manɩŋ Ŋmɩŋ vuodieke dɩ yine fʋ Ŋmɩnnɩ dɩ vʋarɩ fʋ
HEB.1.9	ta yɩ fʋ jɩlɩma ta fʋ yaa sʋgɩfɩalɩ dieke dɩ faasɩna tɩaŋ
HEB.1.9	fʋ zʋalɩŋ.”
HEB.1.10	Ta die bɩ balɩ naa dɩ:
HEB.1.10	“Ŋmɩŋ, piiliku me wo naaŋ wa tɩŋgbaŋka gie,
HEB.1.10	ta naaŋ ŋmɩŋsikpeŋ aŋaŋ fʋ nuusi.
HEB.1.11	A mana nan keŋ kpi, ama fʋnɩŋ nɩŋ nan wɩarɩ a beri;
HEB.1.11	a mana nan keŋ kʋrɩŋ a chɩɩrɩ sɩba gatɩ.
HEB.1.12	Nan keŋ kpeŋhe sɩba jayeekikpɩɩŋ,
HEB.1.12	ta nan tarɩgɩha sɩba fʋ tarɩgɩnana gatɩ.
HEB.1.12	Ama fʋnɩŋ nɩŋ wo tarɩgɩŋ,
HEB.1.12	ta nan dɩ beri yaa gamma haahuu.”
HEB.1.13	Ŋmɩŋ ye ka balɩ a yɩ ʋ malakasi wʋnyɩ dɩ
HEB.1.13	“Kala n nuudiigiri gie chaaŋ,
HEB.1.13	a ga tʋgɩ saŋŋa dieke n balla n nagɩ fʋ dataasɩ
HEB.1.13	a yi fʋ nuusi me.”
HEB.1.14	Malakasi mana yiwo haalɩtɩ ta jɩama Ŋmɩŋ ta ʋ tʋma ba dɩ ba keŋ a suŋŋi vuodiekemba dɩ balla ba ye gbatɩtaaŋkʋ.
HEB.2.1	Tɩ mʋ tɩ yigi wo wusie diekemba tɩ wʋnna a yalla keŋ keŋ amʋ tɩ kaaŋ taarɩ ta va ha. 
HEB.2.2	Wudiekemba malakasi dɩ mʋʋlɩna a yɩ tɩ chɔɔŋkʋʋlɩba die yiwo wusie ta vuodieke die dɩ kana ka dɩ ha die ye wo tɩbɩdatɩ dieke dɩ mʋna. 
HEB.2.3	Die wɩa, dɩɩ yi tɩ ka saagɩ a wʋmma gbatɩtaaŋ kpeŋkpɩɩkʋ wɩaha vɩɩnɩŋ, tɩ baa tɩ yiwo lalɩa a nyɩŋ tɩbɩdatɩŋ ma? Tɩ Yɔmʋtieŋ gbaŋ gbaŋ die wolinne a mʋʋlɩ yaa gamma gbatɩtaaŋkʋ gie mi, ta vuodiekemba die dɩ wʋnna wa dɩ dagɩ tɩ dɩ ka seŋ yiwo wusie. 
HEB.2.4	Saŋka mi Ŋmɩŋ die dɩ tʋŋ mamachi wʋkpɩɩma aŋaŋ dagɩtɩ pam ta die bɩ yɩ vuosisi ʋ Halɩkasɩka piinisi ʋ yaalala dene, die dɩ dagɩ dɩ ʋ wɩaha yiwo wusie.
HEB.2.5	Ŋmɩŋ die ka vʋarɩ malakasisi dɩ ba daansɩma dʋnɩa dieke dɩ bala ka keŋ ta tɩ bala naa wa. 
HEB.2.6	Dɩ maagɩya mɩŋ jigiŋ kaanɩ Ŋmɩŋ gbaŋkʋ sʋŋ dɩ:
HEB.2.6	“Ŋmɩŋ, vuota yiwo bɩa fʋ yile ʋ wɩa?
HEB.2.6	Ta bɩ yi bɩa fʋ baga dɩ bie ʋ ma?
HEB.2.7	Naaŋ wa mɩŋ ta ʋ ka tʋgɩ malakasi
HEB.2.7	ta bɩ yi ʋ ye bɩrɩŋ aŋaŋ pɩmpagɩŋ
HEB.2.8	ta vaa ʋ sɩɩ jaaŋ mana.”
HEB.2.8	Dɩ balɩya mɩŋ dɩ Ŋmɩŋ vaa wa vuota dɩ yi “Jaaŋ mana sikpeŋtieŋ.” Dɩ dagɩya dɩ ʋ sɩɩ jaaŋ mana mɩŋ, ama lele vuota ye ka sɩɩ jaaŋ mana. 
HEB.2.9	Ama tɩ sɩba yaa gamma Yisa wɩa. Wʋnɩŋ saŋŋa bɩta Ŋmɩŋ die dɩ va ʋ ka tʋgɩ malakasi, dɩ ʋ tuo vuota mana kuŋ a kpi, wʋnɩŋ Ŋmɩŋ zɔɔlɩnchɩgɩla wɩa. Ʋ kumbu wahala diile wɩa Ŋmɩŋ dɩ vaa ʋ ye bɩrɩŋ aŋaŋ pɩmpagɩŋ. 
HEB.2.10	Ŋmɩŋ vuodieke dɩ naanna jaaŋ mana ta bɩ pɔgɩlɩ jaaŋ mana wʋnɩŋ ʋ vana ʋ ballɩ pam dɩ ʋ juo ʋ naarɩ ma, naa die tʋgɩsɩna a yɩ wa dɩ ʋ vaa ba gbɩgbatɩtaantʋ Yisa seŋ yi ba Gbɩgbatɩtaantʋ aŋaŋ wusie, ʋ wahala diilehe wɩa.
HEB.2.11	Wʋnɩŋ ʋ yinene vuota dɩ yi Ŋmɩŋ vuosi, ta wʋnɩŋ aŋaŋ ba mana dɩ lagɩŋ a yaa Chɔɔŋ balɩmɩŋ. Die wɩa Yisa dɩ ka chɩga viivi dɩ ʋ wasɩma ba ʋ nɩmballɩ. 
HEB.2.12	Die ʋ balɩ yɩ wa Ŋmɩŋ dɩ:
HEB.2.12	“N nan balɩ n vuosi wudieke fʋ yine;
HEB.2.12	a bɩrɩ fʋ saaŋ ba lagɩmɩŋ jigiŋ.”
HEB.2.13	Die ʋ bɩ balɩ dɩ, “Manɩŋ nɩnɩŋ n nan yi Ŋmɩŋ yada”, ta bɩ baarɩ dɩ, “Manɩŋ aŋaŋ ballɩ diekemba Ŋmɩŋ dɩ yɩna mɩŋ wa lagɩŋna beri naa.”
HEB.2.14	Ŋmɩŋ ballɩ dɩ yine vuota ta yaa nyɩŋgbanɩŋ aŋaŋ zɩŋ wɩa, Yisa dɩaŋ die dɩ keŋ yi vuota sɩba banɩŋ, amʋ ʋ kumbu me ʋ keŋ chʋʋsɩ Sitaani vuodieke dɩ yalla kuŋ hagɩrɩŋ wa, 
HEB.2.15	ta vʋarɩ vuodiekemba dɩ chɩgɩnana kuŋ ba ŋmaamɩŋ ma, dama die ba yiwo ŋmaamɩŋ yɔŋɩsɩ ba miivoli mana ma. 
HEB.2.16	Wusie, daa malakasisi ʋ suŋŋe, ama Abarahami haagɩsɩsɩ ʋ suŋŋe. 
HEB.2.17	Naa wɩa dɩ mʋ ʋ sɩmma sɩba ʋ nɩmballɩlɩ jaaŋ mana ma amʋ ʋ nan bɩagɩ yi kɩkaabɩtɩba jakʋʋŋ dieke dɩ yine wusietieŋ ta bɩ chɩga zɔɔlɩŋ, ta nagɩ ʋ gbaŋ a yi kaaba vuota wɩa Ŋmɩŋ jigiŋ, amʋ Ŋmɩŋ nan nagɩ ba wʋbɩatɩ a chaa ba. 
HEB.2.18	Ta lele, ʋ nan bɩagɩ suŋŋi vuodiekemba Sitaani dɩ magɩsɩna dama Sitaani die magɩsɩ ʋ gbaŋ mɩŋ ta ʋ dii wahala.
HEB.3.1	N nɩmballɩ diekemba dɩ yine Ŋmɩŋ vuosi ta ʋ wa nɩ naa, nɩ yilime yaa gamma Yisa ma, vuodieke Ŋmɩŋ die dɩ tʋnna dɩ ʋ keŋ yi kɩkaabɩtɩba jakʋʋrɩ tɩ Ŋmɩŋ jɩamɩŋ sieŋ me wo. 
HEB.3.2	Die ʋ yiwo wusietieŋ a yɩ Ŋmɩŋ vuodieke dɩ vʋarɩna wa dɩ ʋ keŋ tʋŋ tʋʋmaha gie wo sɩba Mosisi die dɩ yine wusietieŋ ʋ tʋʋma ma Ŋmɩŋ vuosi sʋkʋ. 
HEB.3.3	Mɩmɩɩrʋ dɩ yese bɩrɩŋ pam a tɩaŋ tigiŋ dieke ʋ mɩna wa, die gbaŋ gbaŋ Yisa dɩ mʋ ʋ ye bɩrɩŋ pam atɩaŋ Mosisi. 
HEB.3.4	Tigiŋ nɩŋ mana vuoŋ mɩnana ka, ama Ŋmɩŋ mɩna jaaŋ mana. 
HEB.3.5	Mosisi die yiwo wusie tʋntʋntʋ Ŋmɩŋ vuosi mana jigiŋ, a bala wudiekemba Ŋmɩŋ dɩ bala ʋ daansɩ a balɩ. 
HEB.3.6	Ama Masia nɩŋ ʋ yiwo wusietieŋ ta sɩɩ Ŋmɩŋ tigiri mi ta yi Ŋmɩŋ Bʋadembiŋ. Dɩɩ yi tɩ yaa kenyiti aŋaŋ kpaadensiŋ yaa gamma tɩ tamaka ma, die nɩŋ tɩnɩŋ tɩ yine Ŋmɩŋ tigiri vuosi mi.
HEB.3.7	Die wɩa, nɩ saagɩ a yi wudieke Halɩkasɩka dɩ bala wa, dɩ:
HEB.3.7	“Dɩɩ yi nɩ wʋŋ Ŋmɩŋ lɔlɩŋ jinne,
HEB.3.8	nɩ da vaa nɩ sʋgɩtɩ hagɩrɩma sɩba nɩ chɔɔŋkʋʋlɩba die dɩ zetine Ŋmɩŋ nʋarɩ,
HEB.3.8	sɩba die ba sɩna die wo hagɩyeŋ me wo ta magɩsɩ wa wa.
HEB.3.9	Ŋmɩŋ die balɩya mɩŋ dɩ:
HEB.3.9	‘Die ba wɔŋ ye wudieke n yinene a ga tʋgɩ bɩna baŋɩsɩ-nɩɩsa wa
HEB.3.9	ama mi die ba magɩsɩ mɩŋ.
