MAT.1.1	Rodovnik Jezusa Kristusa, Davidovega sina, Abrahamovega sina.
HEB.12.23	slovesnemu zboru prvorojencev, ki so zapisani v nebesih in Bogu, sodniku vseh, in duhovom pravičnih, ki so dosegli popolnost, 
HEB.12.24	sredniku nove zaveze Jezusu in krvi kropljenja, ki glasneje govori kakor Ábelova.
HEB.12.25	Glejte, da ne boste zavrnili njega, ki govori! Zakaj če niso ušli oni, ki so zavrgli tistega, ki je govoril na zemlji, bomo tem manj mi, če bi odklonili njega, ki govori iz nebes. 
HEB.12.26	Njegov glas je takrat stresel zemljo, zdaj pa oznanja in pravi: 
HEB.12.27	 pomeni, da bo spremenjeno to, kar se kot ustvarjeno lahko strese, da bi ostalo to, kar je trdno. 
HEB.12.28	Ker torej prejemamo neomajno kraljestvo, se zahvaljujmo in Bogu v spoštljivem strahu služimo, kakor je njemu všeč. 
HEB.12.29	Zakaj naš Bog je ogenj, ki prečiščuje.
HEB.13.1	Vztrajajte v bratski ljubezni! 
HEB.13.2	Ne pozabíte na gostoljubnost! Ker so bili nekateri gostoljubni, so namreč pogostili angele, ne da bi bili vedeli. 
HEB.13.3	Spomnite se tistih, ki so v verigah, kakor bi bili sami v verigah, in zatiranih, ker tudi vi živite v telesu. 
HEB.13.4	Zakon naj spoštujejo vsi in postelja naj bo neomadeževana, zakaj nečistnike in prešuštnike bo sodil Bog. 
HEB.13.5	Naj vam življenja ne vodi slà po denarju. Zadovoljni bodite s tem, kar imate, saj je sam rekel:
HEB.13.6	Zato moremo zaupati in reči:
HEB.13.7	Spomnite se svojih voditeljev, ki so vam oznanili božjo besedo. Še in še se ozirajte na konec njihovega življenja in se ravnajte po njihovi veri. 
HEB.13.8	Jezus Kristus je bil isti včeraj, kakor je danes in bo na veke. 
HEB.13.9	Ne pustite, da bi vas zapeljevali različni tuji nauki. Zato je dobro okrepčati srce z milostjo, ne pa s predpisi o jedeh. Ti niso nič koristili tistim, ki so se jih držali. 
HEB.13.10	Imamo oltar, s katerega nimajo pravice jesti tisti, ki služijo šotoru. 
HEB.13.11	Trupla živali, katerih kri véliki duhovnik nese za greh v svetišče, sežigajo zunaj šotorišča. 
HEB.13.12	Zato je tudi Jezus trpel zunaj vrat, da bi ljudstvo posvetil s svojo krvjo. 
HEB.13.13	Pojdimo torej ven iz obzidja in prenašajmo njegovo sramoto, 
HEB.13.14	saj nimamo tu stalnega mesta, ampak iščemo prihodnje. 
HEB.13.15	Po njem torej Bogu neprenehoma prinašajmo na oltar hvalno daritev, sad ustnic, ki slavijo njegovo ime.
HEB.13.16	Ne pozabíte pa na dobrodelnost in miloščino, zakaj take daritve so Bogu všeč.
HEB.13.17	Poslušajte svoje voditelje in jih ubogajte! Oni namreč bedijo nad vašimi dušami, ker bodo dajali odgovor. Tako bodo mogli to delati z veseljem in ne bodo zdihovali, saj vam to ne bi nič koristilo.
HEB.13.18	Molíte za nas! Prepričani smo namreč, da imamo čisto vest, saj se hočemo v vsem lepo vêsti. 
HEB.13.19	Še bolj pa prosim: molíte, da bi vam bil čim hitreje vrnjen.
HEB.13.20	Bog miru pa, ki je od mrtvih obudil našega Gospoda Jezusa, ki je po krvi večne zaveze véliki pastir ovc, 
HEB.13.21	naj vas usposobi za vse dobro, da boste spolnili njegovo voljo. Kar mu je po volji, naj v nas uresniči po Jezusu Kristusu, ki mu bodi slava na veke vekov. Amen.
HEB.13.22	Prosim pa vas, bratje, potrpežljivo sprejmite to besedo spodbude, saj sem vam pisal na kratko. 
HEB.13.23	Vedíte, da so našega brata Timóteja oprostili. Če kmalu pride, vas bom obiskal z njim.
HEB.13.24	Pozdravite vse svoje voditelje in vse svete. Pozdravljajo vas tisti iz Italije. 
HEB.13.25	Milost z vami vsemi!
JAS.1.1	Jakob, služabnik Boga in Gospoda Jezusa Kristusa, pošilja razseljenim dvanajstim rodovom pozdrav.
JAS.1.2	V veliko veselje si štejte, moji bratje, kadar pridete v različne preskušnje, 
JAS.1.3	saj veste: kadar je vaša vera preskušana, poraja stanovitnost. 
JAS.1.4	Stanovitnost pa naj v polnosti deluje v vas, da boste popolni in brez graje in ne boste v ničemer zaostajali. 
JAS.1.5	Če pa komu izmed vas manjka modrosti, naj si jo izprosi od Boga in mu jo bo dal, saj jo rad dá vsakomur, ne da bi mu kaj očital. 
JAS.1.6	Prosi pa naj jo v veri in nič naj ne omahuje; omahljivec je namreč podoben morskemu valu, ki ga veter vzdiguje in premetava. 
JAS.1.7	Tak človek naj ne pričakuje, da bo kaj prejel od Gospoda. 
JAS.1.8	Razdvojen človek je nestanoviten na vseh svojih potih.
JAS.1.9	Reven brat naj se ponaša s svojim dostojanstvom, 
JAS.1.10	bogat pa s tem, da je ponižan, ker ga bo konec kakor rože na travniku. 
JAS.1.11	Sonce namreč vzide in njegova pripeka travo posuši. Roža v njej ovene in lepota njene zunanjosti izgine. Tako bo propadel tudi bogatin na svojih potih.
JAS.1.12	Blagor človeku, ki zdrži preskušnjo! Ko bo namreč preskušnjo prestal, bo prejel krono življenja, ki je obljubljena tistim, ki ga ljubijo. 
JAS.1.13	Nihče naj v preskušnji ne govori: »Bog me skuša.« Bog namreč ne more priti v skušnjavo, da bi kaj slabega storil, pa tudi sam nikogar ne skuša. 
JAS.1.14	Vsakega skuša njegovo lastno poželenje, ki ga vleče in zavaja. 
JAS.1.15	Ko poželenje spočne, rodi greh, storjeni greh pa rodi smrt.
JAS.1.16	Ne varajte se, moji ljubi bratje! 
JAS.1.17	Vsak dober dar in vsako popolno darilo prihaja od zgoraj, od Očeta luči, pri katerem ni spremembe ne sence menjave. 
JAS.1.18	Prostovoljno nas je priklical v življenje z besedo resnice, da bi bili tako rekoč prvina njegovega stvarstva.
JAS.1.19	Védite, moji ljubljeni bratje, vsak človek naj bo uren v poslušanju, zadržan v govorjenju, počasen v jezi, 
JAS.1.20	kajti v jezi človek ne uresničuje božje pravičnosti. 
JAS.1.21	Zato odpravite vso nečednost in legla hudobije ter sprejmite besedo, ki je bila v krotkosti vsajena v vas, ker ima moč, da reši vaše duše.
JAS.1.22	Ne bodite samo poslušalci besede, temveč se po njej ravnajte, da ne boste sami sebe varali. 
JAS.1.23	Če namreč kdo besedo posluša in se ne ravna po njej, je podoben človeku, ki si ogleduje svoj obraz v zrcalu; 
JAS.1.24	pogleda se, pa takoj pozabi, kakšen je bil. 
JAS.1.25	Kdor pa se poglobi v popolno postavo svobode in ji ostaja zvest, ni pozabljiv poslušalec, temveč njen izvrševalec; tak bo srečen v svojem delu.
JAS.1.26	Če kdo misli, da je pobožen, pa ne brzda svojega jezika, sam sebe vara; pobožnost takega človeka je prazna. 
JAS.1.27	Čista in neomadeževana pobožnost pred Bogom in Očetom je: oskrbovati sirote in vdove v njihovi stiski in se ohraniti neomadeževan od sveta.
JAS.2.1	Moji bratje, ne delajte razlike med ljudmi, ko verujete v našega poveličanega Gospoda Jezusa Kristusa. 
JAS.2.2	Denimo, da pride k vašemu bogoslužju mož z zlatim prstanom in v razkošni obleki, pride pa tudi revež v razcapani obleki, 
JAS.2.3	pa se ozrete na tistega, ki je razkošno oblečen, in rečete: »Sédi semkaj na dobro mesto,« revežu pa rečete: »Ti stopi tja,« ali »Sédi k mojim nogam;« 
JAS.2.4	mar niste delali razlike med seboj in sodili po napačnih nagibih?
JAS.2.5	Poslušajte, moji ljubi bratje! Ali ni Bog izbral revežev na svetu, da so bogati v veri in dediči kraljestva, ki ga je obljubil tistim, kateri ga ljubijo? 
JAS.2.6	Vi pa ste revežu vzeli čast. Ali niso ravno bogati tisti, ki vas izžemajo in vas vlačijo pred sodišča? 
JAS.2.7	Mar ne sramotijo ravno ti vzvišenega imena, ki se je klicalo nad vas? 
JAS.2.8	Seveda, če spolnjujete kraljevsko zapoved Svetega pisma: 
JAS.2.9	Če se pa ozirate na zunanjo veljavo ljudi, grešite in postava priča zoper vas, da jo kršite. 
JAS.2.10	Kdor namreč spolnjuje vso postavo, krši pa eno zapoved, se pregreši zoper vse. 
JAS.2.11	Kajti tisti, ki je rekel: 
JAS.2.12	Govorite in delajte kot ljudje, ki bodo sojeni po postavi svobode. 
JAS.2.13	Brez usmiljenja bo namreč sojen tisti, ki ne skazuje usmiljenja. Usmiljenje slavi zmago nad sodbo.
JAS.2.14	Kaj pomaga, moji bratje, če kdo pravi, da ima vero, del pa nima? Ali ga more vera rešiti? 
JAS.2.15	Če sta brat ali sestra brez obleke in nimata vsakdanjega živeža, 
JAS.2.16	pa jima kdo izmed vas reče: »Pojdita v miru! Pogrejta se in najejta!«, ne da bi jima dal, kar potrebujeta za življenje, kaj to pomaga? 
JAS.2.17	Tako je tudi z vero, če nima del; sama zase je mrtva. 
JAS.2.18	Vendar kdo poreče: »Ti imaš vero in jaz imam dela. Pokaži mi svojo vero brez del in jaz ti iz svojih del pokažem vero. 
JAS.2.19	Kajne, ti veruješ, da je en Bog? Prav imaš, vendar tudi hudi duhovi verujejo in trepetajo.« 
JAS.2.20	Hočeš vendar doumeti, plehki človek, da je vera brez del prazna? 
JAS.2.21	Ali ni bil naš oče Abraham opravičen iz del, ker je položil svojega sina Izaka na oltar? 
JAS.2.22	Vidiš, da je pri njem vera sodelovala z deli in da je šele z deli dosegla polnost. 
JAS.2.23	Tako se je spolnilo Sveto pismo, ki pravi: 
JAS.2.24	Vidite, da se človek opraviči iz del in ne samo iz vere. 
JAS.2.25	Ali ni bila tudi prešuštnica Rahába prav tako opravičena iz del, ker je sprejela poslance in jih odpravila po drugi poti? 
JAS.2.26	Kakor je namreč telo brez duše mrtvo, tako je vera brez del mrtva.
JAS.3.1	Moji bratje, med vami naj ne bo veliko učiteljev, ker veste, da bomo strožje sojeni. 
JAS.3.2	V mnogih rečeh namreč vsi grešimo. Če kdo ne greši z besedo, je popoln človek in zmožen brzdati svoje telo. 
JAS.3.3	Če konjem nadenemo uzde, da so nam pokorni, usmerjamo vse njihovo telo. 
JAS.3.4	Poglejte tudi ladje, kako velike so in jih ženejo silni vetrovi, pa jih obrača majhno krmilo, kamor hoče krmarjeva volja. 
JAS.3.5	Tako je tudi jezik majhen ud, vendar se ponaša z velikimi rečmi.
JAS.3.5	Poglejte, kako majhen ogenj, pa takšen gozd zažge. 
JAS.3.6	Tudi jezik je ogenj, svet krivice. Jezik je tisti ud med našimi udi, ki kvari vsega človeka in razvnema kolo življenja, njega pa podžiga pekel. 
JAS.3.7	Vse vrste živali, naj letajo po zraku, lazijo po zemlji ali plavajo v vodi, se dajo ukrotiti in človek jih tudi ukroti, 
JAS.3.8	le jezika nihče ne more ukrotiti; neugnano zlo je in poln smrtonosnega strupa. 
JAS.3.9	Z njim hvalimo Gospoda in Očeta, in z njim preklinjamo ljudi, ki so ustvarjeni po božji podobi. 
JAS.3.10	Iz istih ust prihajata hvala in kletev. Moji bratje, tako ne sme biti! 
JAS.3.11	Je mar studenec v istem toku sladek in grenek? 
JAS.3.12	Ali more, moji bratje, smokva roditi olive ali trta smokve? Tako tudi slan studenec ne more dati sladke vode.
JAS.3.13	Kdo med vami je moder in razumen? Z lepim življenjem naj pokaže svoja dela, storjena v modri krotkosti. 
JAS.3.14	Če pa imate v srcu grenko nevoščljivost in prepirljivost, se nikar ne hvalíte in ne lažite proti resnici. 
JAS.3.15	Taka modrost ne prihaja od zgoraj, temveč je posvetna, čutna, hudičeva. 
JAS.3.16	Kjer sta namreč nevoščljivost in prepirljivost, tam sta nered in hudobija vsake vrste. 
JAS.3.17	Modrost pa, ki je od zgoraj, je najprej čista, potem miroljubna, prizanesljiva, poslušna, polna usmiljenja in dobrih del, nepristranska in brez hinavščine. 
JAS.3.18	Sad pravičnosti pa se seje v miru tistim, ki delajo za mir.
JAS.4.1	Odkod boji med vami in odkod prepiri? Ali ne iz poželenj, ki se vojskujejo v vaših udih? 
JAS.4.2	Poželite, a vendar nimate. Ubijate in zavidate, in vendar ne morete ničesar doseči. Prepirate se in vojskujete, pa nimate, ker ne prosite. 
JAS.4.3	Prósite, pa ne prejmete, ker prosite s slabim namenom, zato da bi potešili svoja poželenja. 
JAS.4.4	Prešuštniki, ali ne veste, da je prijateljstvo s svetom sovraštvo do Boga? Kdorkoli hoče biti prijatelj sveta, se izkaže, da je sovražnik Boga. 
JAS.4.5	Ali mislite, da zaman pravi Sveto pismo: »Do ljubosumnosti hrepeni po Duhu, ki ga je naselil v nas?« 
JAS.4.6	Vendar daje on še večjo milost, zato pravi:
JAS.4.7	Podvrzite se torej Bogu, hudiču pa se uprite in bo zbežal od vas. 
JAS.4.8	Približajte se Bogu in se vam bo približal. Umijte si roke, grešniki, in očistite srca, ljudje z razdvojeno dušo. 
JAS.4.9	Priznajte svojo revščino, žalujte in jokajte; vaš smeh naj se spremeni v žalost in veselje v potrtost. 
JAS.4.10	Ponižajte se pred Gospodom in vas bo povišal.
JAS.4.11	Ne obrekujte drug drugega, bratje! Kdor svojega brata obrekuje ali sodi, obrekuje postavo in sodi postavo. Če pa postavo sodiš, nisi njen izpolnjevalec, ampak si njen sodnik. 
JAS.4.12	Zakonodajalec in sodnik pa je samo eden, on, ki lahko reši in pogubi. Kdo pa si ti, da sodiš bližnjega?
JAS.4.13	No, vi, ki pravite: »Danes ali jutri odpotujemo v to in to mesto, tam ostanemo eno leto, trgovali bomo in bogateli,« 
JAS.4.14	sploh ne veste, kaj bo jutri. Kaj pa je vaše življenje? Dim ste, ki se za kratek čas pokaže in nato izgine. 
JAS.4.15	Rajši recite: »Če bo Gospod hotel, bomo živeli in storili to in ono.« 
JAS.4.16	Tako pa se bahate v svoji prevzetnosti. Vsako tako bahanje je zlo. 
JAS.4.17	Kdor torej zna delati dobro, pa ne dela, greši.
JAS.5.1	Zdaj pa, vi bogatini, razjokajte se in tarnajte nad stiskami, ki pridejo nad vas. 
JAS.5.2	Vaše bogastvo je preperelo in vaše obleke so načeli molji. 
JAS.5.3	Vaše zlato in srebro je zarjavelo. Njuna rja bo pričala zoper vas in kakor ogenj razjedla vaše meso. Do zadnjega dne ste kopičili zaklade. 
JAS.5.4	Glejte, plačilo, ki ste ga utrgovali žanjcem na svojih poljih, vpije in klici žanjcev so prišli do ušes Gospoda nad vojskami. 
JAS.5.5	Razkošno ste živeli na svetu, se naslajali in celo na klavni dan redili svoja srca. 
JAS.5.6	Pravičnega ste obsodili in ubili, ne upira se vam več.
JAS.5.7	Zatorej, bratje, potrpite do Gospodovega prihoda! Tudi poljedelec pričakuje dragocen sad zemlje in potrpežljivo čaka, dokler ne dobi zgodnjega in poznega dežja. 
JAS.5.8	Potrpite tudi vi. Bodite trdni v svojih srcih, kajti Gospodov prihod je blizu. 
JAS.5.9	Ne godrnjajte drug nad drugim, bratje, da ne boste sojeni. Glejte, sodnik stoji pred vrati. 
JAS.5.10	Bratje, v trpljenju in potrpežljivosti si vzemite za zgled preroke, ki so govorili v Gospodovem imenu. 
JAS.5.11	Blagrujemo tiste, ki so vztrajali. O Jobovi potrpežljivosti ste slišali in veste, kakšen namen je imel Gospod z njegovim trpljenjem, kajti Gospod je nadvse milosrčen in usmiljen.
JAS.5.12	Predvsem pa, moji bratje, ne prisegajte, ne pri nebu ne pri zemlji ne s kako drugo prisego. Vaš »dà« naj bo »dà« in vaš »ne« naj bo »ne«, da ne zapadete sodbi.
JAS.5.13	Če kdo med vami trpi, naj moli. Če je kdo dobre volje, naj pôje hvalnice. 
JAS.5.14	Če je kdo med vami bolan, naj pokliče starešine Cerkve in naj molijo nad njim ter ga v Gospodovem imenu mazilijo z oljem. 
JAS.5.15	Molitev, porojena iz vere, bo bolnika rešila in Gospod ga bo okrepil; če je v grehih, mu bodo odpuščeni. 
JAS.5.16	Zato priznavajte grehe drug drugemu in molíte drug za drugega, da ozdravite. Veliko zaleže vztrajna molitev pravičnega. 
JAS.5.17	Elíja je bil človek kakor mi, pa je vztrajno molil, da bi ne deževalo, in na zemlji ni deževalo tri leta in šest mesecev. 
JAS.5.18	Nato je spet molil in nebo je dalo dež in zemlja je rodila svoj sad.
JAS.5.19	Moji bratje, če kdo izmed vas zaide od resnice in ga kdo spreobrne, 
JAS.5.20	naj vé: kdor grešnika spreobrne od njegove zgrešene poti, reši njegovo dušo smrti in pokrije množico grehov.
1PE.1.1	Peter, apostol Jezusa Kristusa, izvoljenim, razkropljenim tujcem po Póntu, Galatíji, Kapadókiji, Aziji in Bitíniji, 
1PE.1.2	ki vas je Bog Oče v svojem načrtu s posvečevanjem Duha izvolil, da bi bili poslušni Jezusu Kristusu in da bi bili pokropljeni z njegovo krvjo. Milost vam in mir v obilju!
1PE.1.3	Zahvaljen bodi Bog in Oče našega Gospoda Jezusa Kristusa! V svojem velikem usmiljenju nas je s tem, da je obudil od mrtvih Jezusa Kristusa, prerodil za živo upanje, 
1PE.1.4	za neuničljivo, brezmadežno in nepokvarljivo dediščino. Ta je shranjena v nebesih za vas. 
1PE.1.5	Božja moč vas po veri varuje, da boste dosegli zveličanje, ki čaka, da se v poslednjem času razodene. 
1PE.1.6	Bodite tega veseli, čeprav morate zdaj nekaj časa trpeti v raznih preskušnjah. 
1PE.1.7	Tako bo pristnost vaše vere veljala več kakor pečat na zlatu, ki je minljivo, pa se v ognju preizkuša. V hvalo, slavo in čast vam bo, ko se bo razodel Jezus Kristus. 
1PE.1.8	Ljúbite ga, čeprav ga niste videli. Verujete vanj, čeprav ga zdaj še ne vidite, radujete se v neizrekljivem in veličastnem veselju, 
1PE.1.9	ko se trudite, da bi dosegli namen svoje vere, to je zveličanje duš.
1PE.1.10	To zveličanje so preiskovali in se vanj poglabljali preroki, ki so prerokovali o milosti, ki vam je bila namenjena; 
1PE.1.11	skušali so dognati, na kateri trenutek in na kakšen čas je meril Kristusov duh, ki je bil v njih in napovedoval Kristusu namenjeno trpljenje in kasnejše poveličanje. 
1PE.1.12	Njim je bilo razodeto, da niso pripravljali zase, ampak za vas, kar so vam zdaj sporočili tisti, ki so vam po Svetem Duhu, poslanem iz nebes, oznanili evangelij. In to so stvari, v katere želijo prodreti celo angeli.
1PE.1.13	Zato pripravite svojega duha, trezni bodite, popolnoma zaupajte v milost, ki jo imate zaradi prihoda Jezusa Kristusa. 
1PE.1.14	Bodite otroško poslušni! Ne ravnajte se po prejšnjih željah še iz časa, ko ste živeli v nevednosti, 
1PE.1.15	marveč bodite v vsem ravnanju tudi sami sveti, kakor je svet tisti, ki je vas poklical, 
1PE.1.16	saj piše: 
1PE.1.17	Če kličete za Očeta tistega, ki vsakogar sodi nepristransko, le po dejanjih, preživite v spoštljivem strahu čas svojega bivanja v tujini. 
1PE.1.18	Saj veste, da vas iz vašega brezplodnega življenja, ki ste ga podedovali od očetov, niso odkupile minljive reči, srebro ali zlato, 
1PE.1.19	ampak predragocena kri Kristusa, brezhibnega in brezmadežnega jagnjeta. 
1PE.1.20	On je bil že pred stvarjenjem sveta določen, razodel pa se je poslednji čas za vas. 
1PE.1.21	Zaradi njega vi morete verovati v Boga, ki je njega obudil od mrtvih in mu dal slavo, tako da sta vaša vera in upanje v Bogu.
1PE.1.22	Poslušni ste resnici in ste svoja srca očistili za pristno bratoljubje. Srčno, iskreno in goreče ljubíte drug drugega, 
1PE.1.23	ker vas ni prerodilo uničljivo ampak neuničljivo seme, božja beseda, ki je živa in večna. 
1PE.1.24	Zakaj
1PE.1.25	To je beseda, ki smo vam jo oznanili.
1PE.2.1	Znebite se torej vsakršne hudobije in zvijačnosti, hinavščine in nevoščljivosti in vsakršnega obrekovanja! 
1PE.2.2	Ker ste torej pravkar rojeni otroci, zakoprnite po pristnem duhovnem mleku, da boste z njegovo pomočjo rasli v zveličanje, 
1PE.2.3	saj ste vendar okusili, da je Gospod dober. 
1PE.2.4	K njemu stopíte, k živemu kamnu, ki so ga sicer ljudje zavrgli, a je pri Bogu izbran in dragocen. 
1PE.2.5	Saj ste vendar živi kamni. Tudi vi se vgrajujte v duhovno stavbo, tako da boste sveto duhovništvo in boste darovali duhovne daritve, ki bodo po Jezusu Kristusu prijetne Bogu. 
1PE.2.6	V Svetem pismu namreč beremo:
1PE.2.7	Vam torej, ki verujete, čast, tistim pa, ki ne verujejo:
1PE.2.8	pa tudi
1PE.2.8	Ker ne verujejo besedi, jih je pač doletelo, da se spotikajo obenj. 
1PE.2.9	Vi pa ste
1PE.2.9	tistega, ki vas je poklical iz teme v svojo čudovito svetlobo.
1PE.2.10	Nekdaj niste bili ljudstvo,
1PE.2.10	zdaj pa ste božje ljudstvo.
1PE.2.10	Niste našli usmiljenja,
1PE.2.10	zdaj pa se vas je usmilil.
1PE.2.11	Preljubi, opominjam vas kot tujce in popotnike! Zdržite se grešnega poželenja, ki se bojuje proti duhu. 
1PE.2.12	Lepo živite med pogani! Čeprav vas zdaj obrekujejo kot hudodelce, bodo sprevideli vaša dobra dela in slavili Boga tisti dan, ko jih bo obiskal.
1PE.2.13	Zaradi Gospoda se podredite vsaki človeški ustanovi, bodisi cesarju kot najvišjemu 
1PE.2.14	bodisi poglavarjem kot njegovim odposlancem, da kaznujejo hudodelce in dajo priznanje poštenjakom. 
1PE.2.15	Bog namreč hoče, da delate dobro in tako zaprete usta nevednim nespametnim ljudem. 
1PE.2.16	Bodite sproščeni, vendar ne tako, da bi vaša sproščenost prikrivala hudobijo, ampak kot ljudje, ki so predani Bogu. 
1PE.2.17	Vse spoštujte, brate ljubíte, Boga se bojte, kralja spoštujte!
1PE.2.18	Služabniki, z vsem spoštovanjem bodite pokorni svojim gospodarjem, a ne le dobrim in krotkim, ampak tudi osornim. 
1PE.2.19	Zakaj milost je v tem, da kdo po krivici trpi, a bridkosti prenaša iz zvestobe do Boga. 
1PE.2.20	Kaj bi bilo posebnega, če bi potrpežljivo prenašali kazen, za kar ste se pregrešili! Je pa pred Bogom zaslužno, če delate dobro in če potrpežljivo prenašate bridkost. 
1PE.2.21	Saj ste bili vendar na to pot poklicani. Saj je tudi Kristus trpel za vas in vam zapustil zgled, da bi hodili po njegovih stopinjah, 
1PE.2.22	on, 
1PE.2.23	Ko so ga sramotili, ni vračal sramotenja, ko je trpel, ni grozil, ampak je vse prepuščal njemu, ki sodi pravično. 
1PE.2.24	Sam je na svojem telesu ponesel naše grehe na les, da bi mi grehom odmrli in živeli za pravičnost. Njegove rane naj vas ozdravijo! 
1PE.2.25	Kakor ovce ste namreč blodili, zdaj pa ste se vrnili k pastirju in varuhu svojih duš.
1PE.3.1	Prav tako bodite, žene, podrejene svojim možem! Tako bodo tisti, ki ne verujejo besedi, pridobljeni že po vedênju svojih žena, brez prigovarjanja, 
1PE.3.2	ker bodo opazovali vaše spoštljivo in neoporečno življenje. 
1PE.3.3	Vaš okras naj ne bo zunanji, v spletanju las, v navešanju zlatega nakita in v razkazovanju oblek. 
1PE.3.4	Skušajte notranjost srca rajši okrasiti z neuničljivim okrasom krotkega in miroljubnega duha. To je dragoceno v božjih očeh. 
1PE.3.5	Tako so se namreč nekoč krasile tudi svete žene, ki so zaupale v Boga in so bile podrejene svojim možem. 
1PE.3.6	Tako je Sara ubogala Abrahama in ga je imela za gospodarja. Postale ste njene hčere, če delate dobro in se ne pustite prestrašiti od nobene grožnje.
1PE.3.7	Prav tako možje! Po vesti živite z ženami, v časti jih imejte, kot nežnejša bitja, saj so skupaj z vami tudi one deležne milosti življenja. Tako ne bo vaši molitvi nič v napoto.
1PE.3.8	Končno, bodite vsi složni, sočutni! Ljubíte brate, bodite usmiljeni in ponižni! 
1PE.3.9	Ne vračajte hudega za húdo in ne sramotite tistega, ki vas sramoti! Nasprotno, blagoslavljajte, ker ste bili poklicani v to, da bi dosegli blagoslov.
1PE.3.10	Zakaj 
1PE.3.13	Le kdo vam bo škodil, če boste vneti za dobro! 
1PE.3.14	Čeprav bi trpeli za pravico, blagor vam. Nikar se ne ustrašite njihovih groženj! Ne dajte se zbegati! 
1PE.3.15	Le Gospoda Kristusa slavite v svojih srcih. Vsak trenutek bodite vsakomur pripravljeni odgovoriti, če vas vpraša za razlog vašega upanja. 
1PE.3.16	Vendar pa odgovarjajte krotko in spoštljivo, iz dobre vesti, da bodo tisti, ki sramotijo vaše lepo življenje v Kristusu, osramočeni prav v tem, v čemer vas obrekujejo. 
1PE.3.17	Če že hoče božja volja, je pač bolje, da trpite zaradi dobrih del kakor za hudobna, 
1PE.3.18	saj je tudi Kristus enkrat trpel zaradi grehov, pravični za krivične, da bi vas pripeljal k Bogu. Res je bil po telesu izročen smrti, a po Duhu je bil oživljen. 
1PE.3.19	V tem Duhu je šel oznanjat odrešenje tudi duhovom, ki so bili v ječi. 
1PE.3.20	V Nóetovih dneh, ko je gradil ladjo, niso hoteli verovati, pa je Bog nadvse potrpežljivo čakal. V ladji se jih je po vodi rešilo le malo, natančno osem ljudi. 
1PE.3.21	Ta voda pa je podoba krsta, ki zdaj odrešuje vas. Ne odstranjuje madežev s telesa, ampak zaradi vstajenja Jezusa Kristusa prosi Boga za dobro vest. 
1PE.3.22	Ta je šel v nebesa in je na božji desnici in podrejeni so mu angeli in oblasti in sile.
1PE.4.1	Ker je tudi Kristus trpel v telesu, se tudi vi oborožite z istim spoznanjem: kdor telesno trpi, je nehal grešiti, 
1PE.4.2	da v času, ki mu ostane v tem umrljivem življenju, ne bi več živel človeškim strastem, ampak božji volji. 
1PE.4.3	Saj ste v preteklosti dovolj dolgo stregli mišljenju poganov, ko ste živeli v razuzdanosti, v strasteh, v pijančevanju, v veseljačenju, v popivanju in nezaslišanem malikovanju. 
1PE.4.4	Prav zato se tudi čudijo in vas sramotijo, ker ne drvite v isti pogubni vrtinec. 
1PE.4.5	Toda tudi ti bodo še dajali odgovor pred tistim, ki je že na tem, da sodi žive in mrtve. 
1PE.4.6	Saj je bil tudi mrtvim evangelij oznanjen zato, da bi bili sicer v telesu sojeni kot ljudje, v Duhu pa živeli po božje.
1PE.4.7	Konec vsega je blizu. Bodite torej pametni in trezni, da boste mogli moliti. 
1PE.4.8	Gojite med sabo čim močnejšo ljubezen, ker ljubezen pokrije veliko grehov. 
1PE.4.9	Bodite gostoljubni drug do drugega in ne godrnjajte. 
1PE.4.10	Kot dobri gospodarji mnogotere božje milosti postrezite drug drugemu z milostjo, kakor jo je kdo prejel. 
1PE.4.11	Če kdo govori, naj to stori, kakor je prav za božje besede. Če je kdo v kakšni službi, naj jo opravlja v mejah, ki jih daje Bog. Le tako bo po Jezusu Kristusu v vsem slavljen Bog. Njemu gre slava in oblast na veke vekov. Amen.
1PE.4.12	Preljubi, ne čudíte se, kakor da bi se vam dogajalo kaj nenavadnega, če prihaja nad vas požar, ki vas preskuša. 
1PE.4.13	Nasprotno, kolikor ste soudeleženi pri Kristusovem trpljenju, bodite veseli, da se boste veselili in radovali, ko se bo razodelo njegovo veličastvo. 
1PE.4.14	Blagor vam, če vas zaradi Kristusa sramotijo, saj nad vami počiva Duh slave in božji Duh. 
1PE.4.15	Nikakor naj med vami nihče ne trpi zato, ker bi bil morilec ali tat ali hudodelec ali ovaduh. 
1PE.4.16	Če pa kdo trpi kot kristjan, naj ga ne bo sram. Prav zato naj poveličuje Boga. 
1PE.4.17	Nastopil je namreč čas sodbe v božji hiši. Če se pa začne najprej pri nas, kaj bo šele s tistimi, ki ne verujejo božjemu evangeliju! 
1PE.4.18	In 
1PE.4.19	Zato naj tudi tisti, ki po božji volji trpijo, svoje duše z dobrimi deli priporočajo zvestemu Stvarniku.
1PE.5.1	Vaše starešine torej prosim jaz, ki sem tudi starešina in priča Kristusovega trpljenja, s katerim bom tudi dosegel slavo, ko se bo razodela: 
1PE.5.2	pásite božjo čredo, ki vam je zaupana, pazíte nanjo, pa ne zgrda, ampak rade volje, kakor je Bogu všeč. Ne zaradi grdega pohlepa po dobičku, ampak z voljnim srcem. 
1PE.5.3	Nikar ne nastopajte gospodovalno do tistega, kar vam je zaupano! Bodite čredi v zgled! 
