MAT.1.1	Jesucrist ngol lo raz chaan rey David, ne lo raz chaan Abraham kuu ngok tey re zha Israel ndala.
TIT.2.4	ne ndoblo loo zha lo re ngot mndyeen,
TIT.2.4	kelaaz ngot tsaal ngot ne re zhiinn ngot,
TIT.2.5	tsa kobee re ngot re kuu tsow ngot,
TIT.2.5	ndoblo nambi gak ngot,
TIT.2.5	ndoblo wen kenap ngot liz ngot,
TIT.2.5	ndoblo wen gak ngot,
TIT.2.5	ndoblo gon ngot diiz lo tsaal ngot.
TIT.2.5	Tsa neeka thib men loozt xkiiz Diox.
TIT.2.6	Leeka tata ndoblo kox re zha mndyeen loʼa, tsa kobee zha naa kwan ntsow zha. 
TIT.2.7	Ne lo reta kuu ntsowa ndoblo looʼa wen naka, tsa ne re zha naa xomod ndoblo ban zha. Ne leettsa ngelooʼa lo re zha, btsowe taxal ndoblo tsow luy, ne nali btsowe tsa gon re zha diiz loʼa. 
TIT.2.8	Ne ndoblo tediza taxal ndobloy, tsa yent cho kekiʼa, ne tsa thoy re zha kuu nayii neʼaa ne yent kwan keki zha lee.
TIT.2.9	Bteni re zha kuu nak mos, tsa gon zha diiz lo reta kuu nabee patron zha lo zha, ndoblo gon zha diiz kon dib ndroo leettsoo zha, ne ndoblot kab roo zha lo patron zha. 
TIT.2.10	Ndoblot lowann zha lo zha kuu nke zha tsiin, sinke ndoblo nali gak zha lo patron zha lo reta kuu ntsow zha, tsa kon kuu ntsow zha reta men ne kwathoz wen nak xkiiz Diox kuu nlooʼaa; Diox kuu mtelaaʼaa.
TIT.2.11	Ne nal mlooʼa Diox yalwen chaan Diox lo reta men lo yezlyu ree, tak mndaa Diox yalnaban kuu thitanax par re men. 
TIT.2.12	Lo yalwen chaan Diox, mloo Diox loʼaa ndoblo laaʼaa re kuu went, re kuu ndablaaz kwerp yezlyu ree; ne ndoblo kobeeʼaa re kuu tsowaa lo yezlyu ree, tsa nali ne wen banaa taxal nlaaz Diox. 
TIT.2.13	Ne ngebetaa gak kuu wen kuu ne Diox gak, leettsa yaad Jesucrist kuu mtelaa reʼaa kon kwathoz yalney chaan zha lo xni thoz chaan zha, ne lee zha nak Diox reʼaa Zha Nabee. 
TIT.2.14	Mndaa zha leeka lee zha nguth zha kwentaa, mtelaa zha lee lo re kuu went kuu mtsowaa ne mtembi zha lee thitanax, tsa gakaa zha zha, kuu thibka kon dib ndroo leettsoo ntsow re kuu wen.
TIT.2.15	Koree nak kuu ndoblo looʼa, bteni re zha ne ndoblo kox re zha loʼa kon yalnabee. Ne taata diiz gont zha diiz loʼa.
TIT.3.1	Btsow tsa telaaz re zha gon zha diiz lo re gobyern ne lo re zha nak tsiin, ne thibka to list zha par tsow zha reta kuu wen, 
TIT.3.2	ne loozt zha neeka thib men, neeka ndoblot kwaan zha zhoo, sinke ndoblo wen ne nadoo gak zha lo reta men kon dib ndroo leettsoo zha.
TIT.3.3	Tak noga lee ndala ngokaa zha nad mbintaa diiz lo Diox, mndabaa ne ngokaa mos lo re kuu went kuu mndablaaz kwerpaa, lo re kuu wenta mbanaa ne went ngok leettsooʼaa mneʼaa chaan tedib net men; mnayii re men mneʼaa, ne mnayiiʼaa mneʼaa re men. 
TIT.3.4	Per leettsa lee Diox kuu mtelaa reʼaa, mloo yalwen ne yalnkelaaz chaan lo reta men yezlyu ree, 
TIT.3.5	tsa mtelaa Diox reʼaa lo yalguth, ne nagte tak mtsowaa kuu wen, sinke mtsow zhay tak mlat leettsoo zha mne zha lee. Mtembi zha lee ne mtsow zha ngolaa tedib welt, leettsa mndaa zha Mbi Nayon lo reʼaa, tsa kenoʼaa yalnaban kub, 
TIT.3.6	ne mkat leettsoo Diox mndaa Diox Mbi Nayon lo reʼaa kwent chaan Jesucrist kuu mtelaa reʼaa, 
TIT.3.7	tsa por yalwen chaan zha, tsinaa gakaa zha nali lo zha, ne kayaa reʼaa yalnaban kuu thitanax kuu ngebetaa.
TIT.3.8	Ne kwathoz wli re koree, kona nlazʼn thibka ko yeka taaʼa kwent re koree, tsa lee re zha kuu nyelaaz Diox thibka tsow zha xgab tsow zha re kuu wen. Re koree nak kuu wen ne nlortsine lo re men. 
TIT.3.9	Per taata diiz yo re men lo re kwent kuu naxen, kuu nak chaan re teyaa zha ndala, neeka taata diiz yo re altaa re men, neeka taata diiz yodiz re men kwent re kuu nzhab lo ley chaan Moisés. Tak lo re koree ngyodiz re men ne nlortsinte neeka nataagte.
TIT.3.10	Os nzo cho ntsow nzhak chop net re zha kuu nyelaaz Jesús, bni lo zha thib welt o chop welt; per os lee zha gont zha diiz, bloo zha xid re zha kuu nyelaaz Jesús. 
TIT.3.11	Ne ndoblo neʼa lee mbyiʼa mndab, ne leeka re kuu went kuu ntsow zha, tsow lux zha.
TIT.3.12	Leettsa taalʼn Artemas o Tíquico loʼa, btsow tsa tak yaada lon yez Nicópolis, tak mtsowa na xgab tya betʼn re mbee kuu nla yig. 
TIT.3.13	Btsow ayud Lisenciad Zenas ne Apolos, ne btaa re kuu ndeche zha, tsa ndaka zha xnet zha ne gagt falt neeka thib kwaa lo zha. 
TIT.3.14	Ne ndoblo teed re zha kuu nyelaaz Jesús, tsow zha re kuu wen ne tsow zha ayud re zha kuu wlipaa ndechey, tsa gak zha taxal thib ya kuu ndaa xle.
TIT.3.15	Reta zha kuu ndo kon na ni “diox” loʼa. Ne bni “diox” kwent chaan da lo re zha kuu nyelaaz Jesús kuu nke leettsoo lee. Nlazʼn lee Diox thibka taa yalwen chaan lo re goo.
TIT.3.15	¡Tbaa gake!
TIT.3.15	Paba
PHM.1.1	Wets Mung kwathoz nke leettsoon lu. Na Paba, nzon tsib kwent chaan Jesucrist, ngekeen yeets ree loʼa, ne rop nee wets Tim ni nee “diox” loʼa tak thibka tsiin ntsowaa. 
PHM.1.2	Noga ngekeen yeets ree lo re zha kuu nyelaaz Jesús zha nkaltaa liza, lo btanaa Apia, ne lo wets Arquipo, zha kuu thibka tsiin ntsow kon lee. 
PHM.1.3	Nlazʼn lee Diox kuu nak Xutaa ne Xut Jesucrist, Zha Nabee loʼaa, taa yalwen chaan lo goo ne tsow wen kwin goo.
PHM.1.4	Thibka ndedizʼn lo Diox ne leettsa ntelazʼn lu ndan texkix lo Diox por lu. 
PHM.1.5	Tak mbin na xomod nke leettsooʼa Jesucrist ne xomod nyelaaza zha, ne leeka tata naka lo reta zha kuu nyelaaz Jesucrist. 
PHM.1.6	Ne naabʼn lo Diox tsa lee re zha kuu ngwalaaz Diox, tak nyelaaza Diox masraa yen zha re kuu wen kuu napaa tak nyelaazaa Jesucrist. 
PHM.1.7	Ne kwathoz naley ngoo leettsoon ne mtsey yalnkelaaz chaana leettsoon, tak mbin na mloo neya leettsoo re zha kuu nyelaaz Jesús.
PHM.1.8	Kona lo kwent chaan Jesucrist, kwathoz ndoblon nabeen tsowa kuu ndobloy, 
PHM.1.9	kona na Paba naabʼn loʼa kon yalnkelaaz. Tak zha gola na, ne nal nzon tsib kwent chaan Jesucrist, 
PHM.1.10	nlazʼn tsowa thib yalwen lo Onésimo kuu nak taxal xgann na. Tak nzhee, ta nzon tsib nakʼn taxal xut zha, leettsa mbin zha xkiiz Diox kuu mndan kwent lo zha.
PHM.1.11	Tak ndala, lee Onésimo ngok thib mos rax loʼa, per lee nal talortsin zha loʼa ne lon. 
PHM.1.12	Kona taalʼn zha loʼa ne bkayaa zha taxal na. 
PHM.1.13	Ngwalazʼn gabet Onésimo lon nzhee, tsa tsow zha tsiin kuu mtsow lu, tak kwent Diiz Chul chaan Jesucrist nzon tsib. 
PHM.1.14	Per nlaztʼn tsowʼn neeka thib kuu os leeʼa nlaazta, kona lee yalwen kuu tsowa lon btsowe tak nlaaza tsow luy, ne tsowt luy lafwers. 
PHM.1.15	Ndala mlaa Onésimo lu lutta tyemp, per lee nal kayaaʼa zha thitanax; 
PHM.1.16	ne gagt raa zha taxal thib mos loʼa, lee zha nak thib wetsaa kuu kwathoz nke leettsoon. Per masraa ndobloʼa kelaaza zha nal, tak nagt raa zha beeta mos, sinke nal nak zha wetsa tak ropta goo nyelaaz Zha Nabee.
PHM.1.17	Kona nin loʼa Mung, os wlipaa amig da naka bkayaa zha taxal na. 
PHM.1.18	Os lee zha kwan kuu went mtsow zha loʼa o os lee zha ndab zha thib kwaa loʼa, lon naab luy.
PHM.1.19	Na Paba, ngekeen yeets ree loʼa Mung kon letr yaan. Na yizh kuu ndab Onésimo loʼa; tegal tak tsowʼn telaaza ndaba yalnaban chaana lon, tak na mnda kwent chaan Jesucrist loʼa. 
PHM.1.20	Wets, btsow yalwen ree lon, tak nyelaaza Zha Nabee, btsowe tsa naley yo leettsoon, tak wets ropaa tak nyelaazaa Jesucrist.
PHM.1.21	Ngekeen yeets ree loʼa, tak ntsowʼn xgab tona diiz lon, ne masraa naroob yalwen tsowaa nake kuu ngenaabʼn loʼa. 
PHM.1.22	Ne noga naabʼn tedib kuu loʼa, nlazʼn texneta thib yuu ta betʼn; tak ntsowʼn xgab ton Diox re kuu ngenaab goo lo Diox kwent da, tsa yalʼn lo goo.
PHM.1.23	Lee wets Epafras, zha kuu nzo rop nee tsib kwent chaan Jesucrist ni “diox” loʼa. 
PHM.1.24	Noga Mark, Aristarco, Demas ne Luk, ni “diox” loʼa. Re zha ree ntsow ayudʼn lo rtsin Jesucrist.
PHM.1.25	Nlazʼn lee Jesucrist, Zha Nabee lo reʼaa, taa yalwen chaan lo goo.
PHM.1.25	¡Tbaa gake!
PHM.1.25	Paba
HEB.1.1	Ndala, kwathoz tyen welt mni Diox lo re teyaa zha ndala, ne kwathoz tyen mod mni Diox lo re zha, kon kuu nzhab re profet zha nak zha Diox; 
HEB.1.2	ne lee nal, re wiz bluz ree, mni Diox loʼaa por Xgann Diox kuu kayaa reta chaan Diox, ne kon Xgann Diox mdexkwaa Diox yezlyu ne yibaa, ne reta kuu nzo yibaa ne reta kuu nzo lo yezlyu. 
HEB.1.3	Lee zha nak xni chaan Diox, ne leeka lee zha nak Diox; ne lee zha nden reta kwaa kon xkiiz zha kuu ney. Ne leettsa ngwalo mtsow nambi zha lee lo re faltaa, tsa ndya zha mndob zha lad ban lo Diox yibaa.
HEB.1.4	Masraa nataak Xgann Diox nake re mandad chaan Diox, tak neʼaa lee zha mkayaa thib le kuu mas nataak nake re mandad chaan Diox. 
HEB.1.5	Tak neeka thib welt nzhabt Diox lo thib mandad chaan Diox:
HEB.1.5	Lu nak xgann na;
HEB.1.5	na mnda yalnaban loʼa naltseree. [Sal. 2:7]
HEB.1.5	Ne tedib ta leeka tata nzhab:
HEB.1.5	Na gak Xut zha,
HEB.1.5	ne lee zha gak xgann na. [2 Sam. 7:14]
HEB.1.6	Per leettsa mtaal Diox zha kuu nak thibka Xgann Diox lo yezlyu ree, nzhab Diox tedib ta lo xkeets Diox:
HEB.1.6	Reta mandad chaan Diox gol lo zha. [Dt. 32:43]
HEB.1.7	Ne leettsa mteth Diox re mandad, nzhab Diox:
HEB.1.7	Lee re mandad da nak taxal mbi, ne taxal loz bel.
HEB.1.7	[Sal. 104:4]
HEB.1.8	Per leettsa ndaa Diox kwent chaan Xgann Diox, nzhab Diox:
HEB.1.8	Lu nak Diox ne lee yalnabee chaana nak thitanax,
HEB.1.8	ne lee yalnabee chaana nak kuu nali.
HEB.1.9	Ne nke leettsooʼa re kuu nali ne nayiiʼa neʼa re kuu went;
HEB.1.9	kona lee Diox mtoba tsa nabeeʼa,
HEB.1.9	ne mtsow Diox mas naley nzo leettsooʼa nake re altaaʼa. [Sal. 45:6-7]
HEB.1.10	Noga nzhab Diox lo Xgann Diox:
HEB.1.10	Lu, nak Zha Nabee, lu mdexkwaa yezlyu ne yibaa kon yaaʼa desde ndala.
HEB.1.11	Too thib wiz ropta koree lux,
HEB.1.11	per lee lu thitanax luxta.
HEB.1.11	Ropta koree gak gox taxal lar,
HEB.1.12	ne kiits luy taxal nkiits zha lar,
HEB.1.12	ne tsee luy taxal ntsee zha lar,
HEB.1.12	per lu nak Diox ne nzeeta;
HEB.1.12	ne lee yalnaban chaana thitanax luxt. [Sal. 102:25-27]
HEB.1.13	Neeka thib welt nzhabt Diox lo thib mandad chaan Diox:
HEB.1.13	Btob lad ban lon,
HEB.1.13	asta yelo tsin re zha kuu nayii neʼa xann niiʼa,
HEB.1.13	tsa tobxub zha loʼa. [Sal. 110:1]
HEB.1.14	Kuu nin nak: Lee re mandad chaan Diox kuu ntsow rtsin Diox, nak taxal mbi, ne ntaal Diox zha ntsow zha ayud re zha kuu naka kwent kayaa yalnaban kuu thitanax.
HEB.2.1	Kona ndoblo gonaa diiz lo Diiz Chul kuu mbinaa, tsa tabtaa net. 
HEB.2.2	Tak os lee diiz kuu mndaa re mandad chaan Diox lo Moisés, mlooy lee re zha mndaa zha falt ne mbint zha diize, kona mriid zha yalti taxal ndobloy. 
HEB.2.3	¿Kona xomod laaʼaa, os leeʼaa kenaptaa yalnaban naro ree? Tak leeka Zha Nabee loʼaa mndaa kwent yalnaban ree ndala, ne tsaraa lee re zha kuu mbine mndaa kwente lo nee. 
HEB.2.4	Ne Diox nak kuu mloo loʼaa lee Diiz Chul ree nak kuu wli, tak kwathoz re seny thoz mloo Diox loʼaa, kuu mzegey leettsooʼaa mwiiʼaa, ne Mbi Nayon chaan Diox mtsow re koree taxal nlaaz Diox.
HEB.2.5	Kona mndaat Diox yalnabee lo re mandad, tsa nabee re mandad yezlyu kub kuu ngetaaʼaa kwent. 
HEB.2.6	Tak nzo thib ta lo xkeets Diox ta nzhab:
HEB.2.6	¿Kwan nak mbyi loʼa par ntelaaza mbyi?
HEB.2.6	¿Kwan nak re men yezlyu ree, par ntsowa xgab zha?
HEB.2.7	Lutta tyemp mtsow nataagta zha nake re mandad chaana,
HEB.2.7	per tsaraa kwathoz mtsow nataaka zha,
HEB.2.7	ne mndaaʼa yalnabee lo zha, lo reta kuu mdexkwaaʼa.
HEB.2.8	Lo reta kwaa mndaaʼa yalnabee lo zha. [Sal. 8:4-6]
HEB.2.8	Ne leettsa mndaaʼa diiz nabee zha lo reta kwaa, neeka thib kwaa mlaata nabeet zha, ne tegal ter loo lee zha nabee reta kwaa. 
HEB.2.9	Per lee nal neʼaa lee Jesús nguth por falt chaan re men, tak nke leettsoo Diox re men. Ne tegal lutta tyemp mtsow nataagt Diox zha nake re mandad chaan Diox, lee nal kwathoz mtsow nataak Diox zha, tak lee zha nguth por re men.
HEB.2.10	Diox mtsow Jesús thib zha kuu kwathoz nali, tak lee Jesús mdexkwaa reta kwaa ne por lee Jesús nzo reta kwaa, ne lee Jesús teno kwathoz men yibaa ta kwathoz chul, kona mtsow Diox nak Jesús thib zha kuu nali por re yalti kuu mriid Jesús, tak lee Jesús nak kuu ndaa yalnaban loʼaa. 
HEB.2.11	Tak lee zha kuu ntsow nzhak nambi men lo Diox, ne lee re zha kuu nzhak nambi, thibka Xut re zha. Kona nthoyt Jesucrist ni loʼaa: “wetsʼn ne btan na”, 
HEB.2.12	tak lo xkeets Diox nzhab zha:
HEB.2.12	Tan kwent chaan lu lo re wetsʼn ne lo re btan na,
HEB.2.12	ne golʼn loʼa xid re zha kuu nyelaaz lu. [Sal. 22:22]
HEB.2.13	Noga nzhab lo xkeets Diox:
HEB.2.13	Nyelazʼn Diox. [Is. 8:17]
HEB.2.13	Ne noga nzhabe tedib welt:
HEB.2.13	Nzhee ndon kon re wetsʼn ne re btan na kuu mndaa Diox lon. [Is. 8:18]
HEB.2.14	Leeka taxal nak re zhiinnta zha kuu nzo thib yuu, thibka beel ne thibka ren nak re zha; leeka tata ngok Jesucrist beel ne ren, ne nguth zha tsa mtsow zha gan lo zha kuu nap yalnabee lo yalguth, zhaʼa nak Maxuuy. 
HEB.2.15	Ne tenzhee mod mtelaa zha re zha kuu nabee yalguth lo, re zha kuu reta wiz kuu naban zha ne nzeb zha gath zha. 
HEB.2.16	Kuu wli nak: Myaadt zha par mtsow zha ayud re mandad chaan Diox, sinke lee zha myaad par mtsow zha ayud reʼaa, kuu nak raz Abraham. 
HEB.2.17	Ne kona ngok zha men, taxal thib re wets zha, par mzin zha nak zha thib ngwleyy kuu nali kuu mtsow rtsin Diox, ne mlat leettsoo zha mne zha re men, ne leettsa nguth zha, mtuyy zha re falt chaan re zha kuu nak zha yez chaan Diox. 
HEB.2.18	Mbriid zha yalti leettsa ngwalaaz Maxuuy gakedi zha, tsa gatsow zha kuu went, kona lee nal, tak tsow zha ayud re zha kuu nlaaz Maxuuy kedi Maxuuy.
HEB.3.1	Kona re goo wetsʼn ne btan na kuu nali nak lo Diox, lee Diox mrez goo tsa gak goo zha Diox, thibka ndoblo yelaaz goo Jesucrist, tak lee Jesucrist nak apóstl ne ngwleyy kuu kwathoz nataak loʼaa. 
HEB.3.2	Ne nali nak Jesús lo Diox, leeka taxal nali ngok Moisés lo re zha Diox, dita leettsa mtsow Moisés rtsin Diox lo re zha Diox. 
HEB.3.3	Per masraa mtsow nataak Diox Jesús nake Moisés, leeka taxal nak thib zha kuu nta thib yuu, mas nataak zha nake yuu. 
HEB.3.4	Ne reta yuu kuu nyaa, men nak kuu ndexkwaay; per Diox nak cho kuu mdexkwaa reta kwaa nzo lo yezlyu ree. 
HEB.3.5	Kona nali ngok Moisés lo re zha Diox, ne ngok zha mos ne mndaa zha kwent re kuu nzhab Diox tsow Diox bluz. 
HEB.3.6	Per lee Jesucrist nak Xgann Diox, ne nali nak Jesucrist loʼaa zha kuu nak zha Diox, os leeʼaa thib nali nyelaazaa zha asta bluz, ne naley nzo leettsooʼaa por kuu ngebetaa taa zha loʼaa.
HEB.3.7	Kona taxal nzhab Mbi Nayon chaan Diox lo xkeets Diox:
HEB.3.7	Os lee goo, gon goo kuu ne Diox naltseree,
HEB.3.8	tsowt nadt goo leettsoo goo, taxal mtsow re tey goo zha ndala,
HEB.3.8	leettsa mtsow zha mnayiin, tak mbint zha diiz lon yubiz.
HEB.3.9	Ne tegal chop gal liin mwii re tey goo zha ndala re kuu mtsowʼn,
HEB.3.9	ne bee mtsowka zha kuu went mbint zha diiz lon.
HEB.3.10	Kona mnayiin mnen re zha,
HEB.3.10	ne nzhapʼn:
HEB.3.10	“Thibka mtsow nad zha leettsoo zha,
HEB.3.10	ne mlebeet zha xnetʼn”.
HEB.3.11	Kona mnayiin mnen re zha, ne nzhapʼn: “Thitanax tabt zha roxkwan zha ta mdexkwaan par roxkwan zha”. [Sal. 95:7-11]
HEB.3.12	Kona re goo wetsʼn ne btan na bkenap goo goo, tak cha gak went leettsoo goo ne gak nad goo, ne laa goo Diox kuu naban. 
HEB.3.13	Mas wen, bloo goo gan leettsoo altaa goo gandata wiz, anta yelo rid wiz naltseree, tsa neeka thib goo gagt nad leettsoo goo lo yalkedi chaan re kuu went. 
HEB.3.14	Tak os leeʼaa thib nali toʼaa yelaazaa Jesucrist asta bluz taxal mndeloʼaa, tsasi thibka nakaa kon Jesucrist.
HEB.3.15	Ne kona, nzhab lo xkeets Diox:
HEB.3.15	Os lee goo gon goo kuu ne Diox naltseree,
HEB.3.15	tsow nadt goo leettsoo goo,
HEB.3.15	taxal mtsow re tey goo zha ndala, leettsa mtsow zha mnayiin. [Sal. 95:7-8]
HEB.3.16	¿Ne cho re zha kuu ngwalo mbin bos Diox, ne ngwaloʼa mtsow zha mnayii Diox? ¿Chu nagte re zha kuu mloo Moisés Egipto? 
HEB.3.17	¿Cho lo mnayii Diox chop gal liin? ¿Chu nagte lo re zha kuu mndaa falt, re zha kuu nguth yubiz? 
HEB.3.18	¿Ne cho lo nzhab Diox tabt zha roxkwan zha, ta mdexkwaa Diox par roxkwan zha? Lo re zha kuu mbint diiz nzhab Diox kona. 
HEB.3.19	Ne kona neʼaa, ngogt gataab re zha, tak ngok nad leettsoo re zha.
HEB.4.1	Kona ndoblo tsebaa, tak bee ndaa Diox diiz taabaa roxkwanaa ta mdexkwaa Diox par roxkwanaa, tak cha nzo cho tsowt gan tab. 
HEB.4.2	Tak no loʼaa mndaa zha kwent Diiz Chul, leeka taxal mndaa zha kwente lo re zhaʼa; per mlortsint mbin re zhay, tak ngwalaazt re zha Diox. 
HEB.4.3	Per lee reʼaa kuu nyelaaz Jesucrist, nak re zha kuu tab roxkwan taxal nzhab Diox:
HEB.4.3	Kona lo zhyan da nzhapʼn lo re zha:
HEB.4.3	“Tabt zha roxkwan zha ta mdexkwaan roxkwan zha”. [Sal. 95:11]
HEB.4.3	Ne tegal nzhab Diox koree, per ngwaloʼa mdexkwaa Diox reta kwaa, desde leettsa mdexkwaa Diox yezlyu ree; 
HEB.4.4	tak tedib ta lo xkeets Diox ndaa kwent chaan wiz gaz, ta nzhab:
HEB.4.4	Mroxkwan Diox wiz gaz,
HEB.4.4	leettsa ngwalo mtsow Diox reta rtsin Diox. [Gn. 2:2]
HEB.4.5	Ne noga tedib ta lo xkeets Diox nzhab:
HEB.4.5	Tabt zha roxkwan zha ta mdexkwaan roxkwan zha. [Sal. 95:11]
HEB.4.6	Per bee nzhak falt tab tedib net zha roxkwan, ne lee re zha kuu mbin xkiiz Diox ndala, mndaabt zha tak mbint zha diize; 
HEB.4.7	kona lee Diox mre mli tedib wiz, kuu nak naltseree. Kuu mndaa rey David kwent bluz lo xkeets Diox, ta nzhab:
HEB.4.7	Os lee goo gon goo kuu ne Diox naltseree,
HEB.4.7	ndoblot tsow nad goo leettsoo goo. [Sal. 95:7-8]
HEB.4.8	Tak os lee Josué gataa ta garoxkwan re zha Israel, gatetht Diox tedib wiz. 
HEB.4.9	Kona bee tak neyy re zha kuu nyelaaz Diox; 
HEB.4.10	tak lee zha kuu ndaab ndroxkwan lo Diox, taneyy zha lo re rtsin zha, leeka taxal mneyy Diox, leettsa ngwalo mdexkwaa Diox re kwaa. 
HEB.4.11	Ndoblo tsow neyaa lee, tsa tabaa tya ta roxkwanaa, tsa yent cho gak nad leettsoo, taxal ngok nad leettsoo re teyaa zha ndala, tak mbint zha diiz lo Diox.
HEB.4.12	Tak lee xkiiz Diox nabane ne neye, ne masraa naleey nake thib spad kuu nale rop lad, ne ndaabe asta pa mas naats leen leettsoo men, ne ndriide asta mbi naban men, asta xgab men, noga ndriide ta nayaal re tsidth ne ndriide leen tut men. Ne nambita ney re xgab men ne re kuu nzo leettsoo men tsow men. 
HEB.4.13	Ne neeka thib re kuu mdexkwaa Diox gagt gaatse lo Diox; tak retay nloo lo Diox, ne lo Diox taaʼaa kwent.
HEB.4.14	Jesús nak Xgann Diox ne lee zha nak ngwleyy kuu kwathoz nataak loʼaa, ne lee zha mndaab yibaa lo Diox. Kona thib nali yo yeka yelaazaa zha. 
HEB.4.15	Tak lee zha nak ngwleyy kuu kwathoz nataak, ne nlat leettsoo zha ne zha lee lo re faltaa; tak no zha mriid re yalti leeka taxal ndriidaay nal, per mndaat zha falt. 
HEB.4.16	Kona ndoblo bigaa lo Diox kon dib ndroo leettsooʼaa, lo Diox kuu ndob nabee yibaa, tsa ke leettsoo Diox reʼaa ne lat leettsoo Diox ne Diox reʼaa por yalwen chaan Diox, ne tsow Diox ayudaa lo re kuu ndecheʼaa.
HEB.5.1	Reta ngwleyy kuu kwathoz nataak lo re ngwleyy xid re men, Diox mli zha ne mto Diox zha tsa ni zha kwent re men lo Diox, ne taa zha gon ne re maa kuu nzhuth zha por re falt kuu ndaa re men lo Diox. 
HEB.5.2	Ne tak noga ngwleyy ndaa falt, kona nxek leettsoo zha ne zha re zha kuu net kuu wen ne re zha kuu mndab xnet Diox; 
HEB.5.3	kona no zha ndoblo taa zha thib maa lo Diox por falt zha, ne por falt chaan reta men yez. 
HEB.5.4	Ne gagt ndota zha gak ngwleyy kuu kwathoz nataak lo re ngwleyy, os lee Diox mlit zha xid re men, leeka taxal mli Diox Aarón. 
HEB.5.5	Ne leeka tata, mtsow nataagt Jesucrist leeka lee Jesucrist, tsa gak Jesucrist ngwleyy kuu kwathoz nataak, sinke lee Diox mli zha, tak lo zha nzhab Diox:
HEB.5.5	Lu nak xgann na;
HEB.5.5	na mnda yalnaban loʼa naltseree. [Sal. 2:7]
HEB.5.6	Ne noga tedib ta lo xkeets Diox nzhab:
HEB.5.6	Lu nak ngwleyy thitanax,
HEB.5.6	leeka taxal ngok Melquisedec. [Sal. 110:4]
HEB.5.7	Ne leettsa mban Jesucrist lo yezlyu ree, mbinn zha, ne mnaab zha lo Diox kon dib ndroo leettsoo zha, tak neʼa zha lee Diox nap yalnabee telaa zha lo yalguth, ne mbin Diox kuu nzhab zha, tak nali nak zha lo Diox. 
HEB.5.8	Ne tegal Xgann Diox nak Jesucrist, per mteed zha mbin zha diiz lo Diox lo re yalti kuu mriid zha, 
HEB.5.9	ne tak nali ngok zha lo Diox, kona lee zha mzin mndaa yalnaban kuu thitanax lo reta zha kuu nzhon diiz lo zha, 
HEB.5.10	ne lee Diox mtsow ngok zha ngwleyy kuu kwathoz nataak loʼaa, leeka taxal ngok Melquisedec.
HEB.5.11	Kwathoz kuu nzo ne nee lo goo kwent chaan re koree, per kwathoz nagan taa nee kwent lo goo naa xomod nake, tak kwathoz xlaaz nyen gooy. 
HEB.5.12	Tak ndaʼa tyemp ngwalaaz goo Diox, ndobloʼa gak goo maestr, leel nalraa ndeche goo loo men, re kuu mas nagant lo xkiiz Diox lo goo. Neeka lut neyt goo, nzii ndeche goo, tak gagt wu goo re kuu nzhow zha gox. 
HEB.5.13	Tak reta zha kuu nzhuu nzii taxal mbet nak zha, tak ter yen zha naa xomod nak yalnaban kuu nali. 
HEB.5.14	Per lee kuu nzhow re zha gox, nak par re zha kuu nzhaaka ngobee ne ne zha naa kwan nak kuu wen ne kuu went.
HEB.6.1	Kona ndoblot raa gakaa taxal ndyeen bzhizh lo kuu nteedaa tak nyelaazaa Jesucrist, sinke thib ndaʼaa tekeʼaa tsa gakaa zha nali lo Diox. Ne ndoblot raa tethaa:
HEB.6.1	re kuu ntsow ndya men lo yalguth,
HEB.6.1	ne xomod ndoblo yelaaz men Diox,
HEB.6.2	ne xomod ndoblo gakleyy men,
HEB.6.2	ne xomod ndoblo xoob zha yaa zha yek re zha kuu nyelaaz Jesucrist,
HEB.6.2	ne xomod roban re zha nguth,
HEB.6.2	ne xomod naab Diox kwent lo re men wiz bluz.
HEB.6.3	Per koree tsowaa, os lee Diox tata nlaaz.
HEB.6.4	Tak os lee thib zha mkayaa xni chaan Diox, ne mtsowa zha preb kuu nataak kuu mndelaaz Diox, ne mkayaaʼa zha Mbi Nayon chaan Diox, 
HEB.6.5	ne myen zha naa xomod wen nak xkiiz Diox, ne xomod yo yalnabee chaan Diox lo yezlyu kuu yo bluz, 
HEB.6.6	os lee zha tsow zha kuu went ne nyelaazt raa zha Jesucrist, gagt raa tsee zha mod went kuu nak zha, tak leey nak taxal bre zha kee zha Jesucrist Xgann Diox lo kruz tedib welt, ne ngoo zha yalnathoy Xgann Diox lo re men. 
HEB.6.7	Ne nak zha taxal yu kuu nzhuu nit yi kadta leettsa nla yi; ne os lee yuʼa wen ndaay yalgonn lo zha kuu nzhanne, nkayaa zha reta yalwen kuu ndaa Diox; 
HEB.6.8	per os lee loyuʼa taa yits ne re yizh kuu went, nataagt yuʼa, tagode Diox yuʼa ne tsaraa tey Diozhe.
HEB.6.9	Re goo wetsʼn ne btan na, tegal tabaa ndedizaa, per wen ne nee lee re goo kayaa re kuu wen ne yalnaban kuu thitanax. 
HEB.6.10	Nali nak Diox ne nithlaazt Diox re kuu wen kuu mtsow goo, leettsa mtsow goo ayud re zha kuu nyelaaz Jesús lo yalwen goo, ne nal bee ngetsowka gooy. 
HEB.6.11	Ne leeka tabaa nlaz nee loo goo nke leettsoo goo taben goo asta bluz, tsa wlipaa ne goo lee goo tekayaa goo kuu ngebet goo kayaa goo wiz bluz. 
