MAT.1.1	Koi kani'imari a susunganna puli ni Yesus Kristus, men lee' ni Daud ka' lee' ni Abraham.
TIT.2.3	Koiya'a uga' i koo tio mungururanii wiwine men motu'a kada' gau'na i raaya'a sintutu' tia men daa kana' bona mian men malolo' na Alaata'ala. Raaya'a sian sida momotaekon mian sambana, ka' sian sida kampinene'an minginum inuman men kolio'. Raaya'a tio mimisiso'kon upa-upa men pore. 
TIT.2.4	Wawauna i raaya'a men koiya'a sida mimisiso' wiwine men sianpo motu'a, kada' i raaya'a molingu'kon langkai'na tia anakna, 
TIT.2.5	minginti'i mangatur tutuo', tumuo' molinas, mingimamat suo'na, ma'amat a noana ka' malolo' na langkai'na, kada' Wurungna Tumpu sian irokionna mian.
TIT.2.6	Koiya'a uga' na giigii' moro'one men sianpo motu'a. Ururani i raaya'a kada' i raaya'a minginti'i mangatur tutuo'. 
TIT.2.7	Na giigii' upa i koo tio sida bo lolo'on mingilimang men pore. Kalu i koo mimisiso', tio mimisiso'kon men kana' ka' mimisiso' tia noa men tuu'. 
TIT.2.8	Neengkon a taa' men kana', men sian dauga' tausionna mian seseneon, kada' mian men manggagai i koo sida makamaa' gause sianta upa-upa ba'idek men tausionna i raaya'a bo puntundunna i raaya'a i kita.
TIT.2.9	Sanda' ata' tio malolo' na tanaasna na giigii' upa, ka' mingilimang men kokana'na tanaasna. Alia mompoosisimbatkon tanaas, 
TIT.2.10	ka' alia mamangan. Ata' tio mimpipiile'kon se' i raaya'a matondong ka' malolo', kada' tia wawauna i raaya'a men koiya'a minsidakon mian mangangga'i pisiso'na Alaata'ala men Pansalamatkon i kita.
TIT.2.11	Kaporeanna Alaata'ala men mansalamatkon giigii' mian nokampiile'anmo. 
TIT.2.12	Kaporeanna Alaata'ala iya'a mimisiso' i kita kada' i kita mamarerei giigii' pingkira'na noa tia wawau men ba'idek. Kita tio minginti'i mangatur tutuo', mingilimang men kana', ka' malolo' na Tumpu na tempo koini'i. 
TIT.2.13	Koini'i i kita pintanga' mempeperai upa men ooskononta. Kita bo barakaation tuu' tempo kotakaanna Alaata'ala men kuasaan ka' i Yesus Kristus men Pansalamatkon i kita. 
TIT.2.14	Yesus nongorookonmo waka-Na bookoi kurbaan kada' bo pontololoki i kita na giigii' idek ka' kada' i kita sida mian-Na men molinas ka' malesi' mingilimang men pore.
TIT.2.15	Pisiso'kon iya'a giigii'. Ururanii ka' singgo a mian. Koo kuasaan mambantili i raaya'a. Alia isian mian men mansapa' i koo.
TIT.3.1	Rorongi a giigii' mianna jama'atmuu kada' i raaya'a malolo' na pamarenta ka' mian men kuasaan na libutan, ka' mingkira' mingilimang giigii' upa men pore. 
TIT.3.2	Alia i raaya'a momotaekon mian, alia poogagai. Raaya'a tio seredee ka' tio pore a noana na giigii' mian.
TIT.3.3	Tempo mbaripian i kita uga' sian minginti'i upa-upa. Kita nokobaetokmo ka' sian malolo', po'ata'onna biai' kaliangan pingkira'na noa, mingilimang men ba'idek, masindir, ka'idekna mian, ka' pooka'idek. 
TIT.3.4	Kasee Alaata'ala men Pansalamatkon i kita, nompopopanasamo polingu'-Na ka' porena noa-Na bona mian. 
TIT.3.5	Mbali' i Ia nansalamatkonmo i kita. Ka' taasi' se' montookon i kita mangawawau men pore, kasee supu-supuana lino-linoan-Na na ko'onta'. Mbali' i kita niloe'i ka' ningamea'kon soosoodo. Kita nangkadarai gau'ta ia pisiso' Alus Molinas, 
TIT.3.6	men ia rookonmo Alaata'ala na ko'onta' mimpu'u ni Yesus Kristus men Pansalamatkon i kita. 
TIT.3.7	Gause kaporean ni Yesus, mbaka' kita popokana'onna Alaata'ala ka' i kita mantausi tutuo' men pore pataka sidutu koi men ooskononta.
TIT.3.8	Men nitundun kani'i tuutuu'. Mbaka' i yaku' mingkira' kada' i koo tia noa men sian raranga' mompopomoonggor i raaya'a, kada' i raaya'a men noparasayamo na Alaata'ala tuutuu' mampari-pari mingilimang upa men kana'. Koiya'a a men pore ka' men daa isian kana'na bona mian.
TIT.3.9	Alia mangawawau uaga, muntundun susunganna puli mbaripian, poosinsala' ka' mompoogagaikon ukum Torat. Gause giigii' iya'a sianta kana'na ka' sian mingkaliangan. 
TIT.3.10	Mian men tongko' mantakakon kogora'an na jama'at tio bantilioon pensan kabai se' pinduan. Kalu i ia sian momorongori, mbaka' aliamomo' mangkarani' i ia. 
TIT.3.11	Mbaka' inti'ioon se' mian men koiya'a tuutuu' nopa'idekmo ka' dosaon. Ia mungukumi waka-wakanamo.
TIT.3.12	Yaku' bo momosuu' i Artemas kabai i Tikhikus nooro'o na ko'oom, ka' kalu takamo, liuliu pari-parioon a momootuungi i yaku' na Nikopolis, gause yaku' poko otoongmo na noangku mae' na kota iya'a ka' dumodongo inda'a pataka porus a tempo memel.
TIT.3.13	Pari-pari ka' tulung i Zenas men wawa ukum iya'a ka' i Apolos men poto bantang mae' na rae'anna, kada' bo kokosidana i raaya'a.
TIT.3.14	Sulano mianta men sa'angu' kaparasaya'an uga' tio mansara-sarak mingilimang men pore kada' mantausi men bo kokosidana tutuo'na sanda' ilio, dako' tutuo'na i raaya'a sianta ee'na.
TIT.3.15	Giigii' mian men isian tii yaku' moki tundunkon salamna bo ko'oom. Yaku' moki tundunkon salamku bona simbaya'ta sa'angu' kaparasaya'an men molingu'kon i kai.
TIT.3.15	Sulano i kuu giigii' munsuri kaporeanna Tumpu na tutuo'muu.
PHM.1.1	Yaku', ai Paulus, men nitarungku gause na pongololo'an i Kristus Yesus, ka' i Timotius utusta sa'angu' kaparasaya'an, munsurati i koo Filemon men kolingu', samba-sambamai balimang, 
PHM.1.2	ka' boni Apfia, utusta wiwine men sa'angu' kaparasaya'an, ka' boni Arkhipus, men sa'angu' palimangon tii kita, ka' bona jama'at men bakitumpu na laigaan.
PHM.1.3	Sulano kaporean tia koratongan men ringkat na Alaata'ala Tamanta, ka' i Tumpu Yesus Kristus, surionmuu na tutuo'muu.
PHM.1.4	Sinampang yaku' mansambayangkon i koo, yaku' basukuur na Alaata'alangku 
PHM.1.5	gause yaku' rongor a imaawan ni Tumpu Yesus, ka' lingu'um na wiwi'na mian simbaya'ta parasaya. 
PHM.1.6	Sambayangkononku kada' poowawanta men sa'angu' kaparasaya'an sida munturangi pinginti'ianmuu na wiwi'na barakaat men isian na ko'onta gause i kita moto kantang tii Kristus. 
PHM.1.7	Nongorongor lingu'um na mian simbaya'ta parasaya, noangku beles tuu' ka' munsuri moonggor gause noana mian men simbaya'ta parasaya koo popobelesmo, utusku.
PHM.1.8	Ya'a mbali', gause kuasa ni Kristus yaku' sida momosuu' i koo mangawawau upa men tiodaa wawauoon, kasee yaku' sian mangawawau men koiya'a. 
PHM.1.9	Gause minginau' lingu'um iya'a, mbaka' porena yaku' tongko' mama'ase' na ko'oom. Yaku' i Paulus men langkai'mo, daa dauga'na nitarungku gause parasaya ni Kristus Yesus, 
PHM.1.10	mama'ase' i Onesimus,
PHM.1.11	Mbaripian, ia sianta kana'na na ko'oom, kasee koini'i ia isianmo kana'na na ko'oom ka' na ingku'.
PHM.1.12	Ia men kolingu'ku tuu', posuu'onku mule'kon na ko'oom. 
PHM.1.13	Bookoi i ia taankononku itamo tii yaku' bo boloos mangkalesang i yaku' men dauga' na tarungkuan gause mengelelekon Lele Pore. 
PHM.1.14	Kasee kalu noaam sian maloos, yaku' sian mantaankon i ia, kada' upa men pore, wawauoon tia noa maloos, alia paki-pakisaa.
PHM.1.15	Too i ia tongko' mamarere i koo kodi-kodi', kada' na kokomburi'anna ia sida mule'kon ka' dumodongo soosoodo tii koo pataka sidutu. 
PHM.1.16	Ia amo'mo labotioon tongko' koi sa'angu' ata' gause i ia labimo iya'a. Ia utusta sa'angu' kaparasaya'an men kolingu' tuu'. Ai ia isianmo kana'na na ingku', upa mune' ka' na ko'oom. Ia kolingu' tuu', mau koi ata', ka' uga' koi utus men sa'angu' kaparasaya'an.
PHM.1.17	Kalu punsuriim se' i yaku' kani'i utuus sa'angu' kaparasaya'an, mbaka' pa'ase'onku kada' i ia uga' labotioon koi pangalabotiim i yaku'. 
PHM.1.18	Kalu isian upa men sala' ia wawau na ko'oom, kabai se' tinonsamaya na ko'oom, daa i yaku'si a montololoki. 
PHM.1.19	Yaku' i Paulus, nuntulis wurung kani'i tia limangku suungku:
PHM.1.20	Utusku! Laboti i Onesimus kada' i koo kumana' na ingku' men moto kantangmo tia Tumpu: Pa'ase'onku na ko'oom, porampot a noangku koi sa'angu' utus men moto kantangmo tii Kristus!
PHM.1.21	Mbali' suratku kani'i yaku' pakatu bo ko'oom, gause parasayaonku se' i koo bo mongololoikon pa'ase'ku. Inti'ionku se' i koo sabole mangawawau labi tia upa men pa'ase'onku kani'i.
PHM.1.22	Saliwakon iya'a, yaku' mama'ase' moki toropoti sa'angu' tambin na laigaan bo tuukanku. Ooskononku, Tumpu sabole mangalaboti sambayangmuu wiwi'kuuna, ka' mungule'kon i yaku' soosoodo na ko'omuu.
PHM.1.23	Ai Epafras, simbaya'ku nitarungku gause na pongololo'an i Kristus Yesus, miki tundunkon salam na ko'omuu.
PHM.1.24	Koiya'a uga' samba-sambangku balimang, ai Markus, Aristarkhus, Demas, ka' i Lukas miki tundunkon salam na ko'omuu.
PHM.1.25	Sulano kaporeanna i Tumpu Yesus Kristus surionmuu na tutuo'muu.
HEB.1.1	Mbaripian piribiai' a Alaata'ala nomokau nabii-Na bo pantadulkon potuun-Na na pulinta. Raaya'a nantadulkon potuunna Alaata'ala tia sasalan men poosasala'. 
HEB.1.2	Kasee na tempo kokomburi'anna kani'i Alaata'ala nomokau Anak-Na bo pantadulkon potuun-Na na ko'onta'. Ia nangaan se' Anak-Na iya'a a men bo pontombonoi giigii' upa men isian, ka' Ia nomokau Anak-Na ninsidakon dunia kani'i. 
HEB.1.3	Anak iya'a mimpipiile'kon kobalaki'anna Alaata'ala. Kobalaki'anna Anak koikoimo tia kobalaki'anna Alaata'ala. Ia uga' a men montondong giigii' upa tia wurung-Na men kuasaan. Noko daa i Ia ninsidakon mian sida loe'ion a dosana, Ia nasawe'mo na ko'alayo'an ka' no'umoruang paraas uananna Alaata'ala.
HEB.1.4	Anak iya'a mingilingkudui malaa'ikat, ka' ngaan men ia rookon Alaata'ala na Ko'ona manganda'anai ngaan men nirookon na malaa'ikat. 
HEB.1.5	Alaata'ala sianta nangaan na sa'angu'po malaa'ikat men koi kani'imari:
HEB.1.5	“Koomo a Anak-Ku;
HEB.1.5	na ilio kani'i Yaku' sidamo Tamaam.”
HEB.1.5	Alaata'ala uga' sianta nangaan na sa'angu'po malaa'ikat men koi kani'imari:
HEB.1.5	“Yaku' bo sida Tama-Na,
HEB.1.5	ka' Ia bo sida Anak-Ku.”
HEB.1.6	Kasee na tempo Alaata'ala nomosuu' Anak-Na men balaki'na taka na tano' balaki' kani'i, Ia norobu koi kani'imari:
HEB.1.6	“Giigii' malaa'ikatna Alaata'ala tio monsoosa' Anak iya'a.”
HEB.1.7	Alaata'ala nangaan malaa'ikat koi kani'imari:
HEB.1.7	“Yaku' nangawawau malaa'ikat-Ku sida koi mombuul,
HEB.1.7	ka' papalimang-Ku sida koi leapna apu.”
HEB.1.8	Kasee Alaata'ala nangaan na Anak iya'a tae-Na,
HEB.1.8	“Oo Alaata'ala! Oruangaan bo sidutu!
HEB.1.8	Maloos a pontomundo'iim.
HEB.1.9	Koo mingkira'kon men kana',
HEB.1.9	ka' bude'kon men ba'idek.
HEB.1.9	Mbali' iya'a Alaata'ala men Alaata'ala-Muu nungururuki i Koo.
HEB.1.9	Koo nitimbu'i likison bookoi oos kobelesan,
HEB.1.9	ka' ninsidakon i Koo kada' angga'ion manganda'anai lulusaan.”
HEB.1.10	Alaata'ala nangaan uga' tae-Na,
HEB.1.10	“Tumpu! Na tumbe-tumbe i Koo a ninsidakon tano' balaki',
HEB.1.10	ka' lima-Muu a ninsidakon langit.
HEB.1.11	Giigii' iya'a bo kobaraba'ian,
HEB.1.11	kasee i Koo sinampang isian.
HEB.1.11	Giigii' iya'a bo sida buas koi pakean.
HEB.1.12	Tano' balaki' tia langit bo lupi'oon koi pakean,
HEB.1.12	ka' bo bolosioon tia men sambana.
HEB.1.12	Kasee i Koo koikoina,
HEB.1.12	ka' kotuo'aan pataka sidutu.”
HEB.1.13	Alaata'ala sian nangaan na sa'angu'po malaa'ikat men koi kani'imari:
HEB.1.13	“Alaka' oruang na paraas uanan-Ku,
HEB.1.13	pataka Yaku' mompoporungku' giigii' mian men mangka'idek i Koo sida malolo' na Ko'oom.”
HEB.1.14	Kalu koiya'a, upa a tuutuu'na malaa'ikat iya'a? Raaya'a mase alus men bo papalimangna Alaata'ala, men posuu'on-Na bo pangalawei mian men bo salamatkonon.
HEB.2.1	Mbaka' kita tio tuutuu' mingimamat pisiso' men kita poko rongormo, dako' i kita mansaukon kaparasaya'anta. 
HEB.2.2	Potuun men ia takakon malaa'ikat na pulinta tuutuu', mbaka' mian men sian ningimamat ka' sian nomorongori nandapot ukuman men sintutu' bo ko'ona.
HEB.2.3	Upa mune' kalu i kita sian mingimamat lele men pore tuu', men mansalamatkon i kita? Kita sabole kana'onna ukuman. Tumbena lele iya'a ia poko bantilkonmo Tumpu ka' ia potuutuu' mian men nomorongormo i Ia. 
HEB.2.4	Alaata'ala uga' nompotuutuu' i raaya'a tia nangawawau biai' kaliangan oosan men kosamba', upa men sian dele, ka' kuasaan, ka' tia nongoboskon barakaat men ia rookon Alus Molinas koi men kikira'-Na.
HEB.2.5	Taasi'po malaa'ikat a men ia sidakon Alaata'ala bo pinginti'i dunia ni'imarian men kita tundun kani'i. 
HEB.2.6	Na Alkitaap isian mian nangaan koi kani'imari:
HEB.2.6	“Upa mbali' a mian
HEB.2.6	mbali' inau'on-Muu?
HEB.2.6	Upa mbali' a mian
HEB.2.6	mbali' imamaton-Muu?
HEB.2.7	Kuu ninsidakon i raaya'a
HEB.2.7	koo' tia koi malaa'ikat.
HEB.2.7	Kuu nangangga'i i raaya'a ka' nongorookon
HEB.2.7	oruangan men tongaan ka' umangga'.
HEB.2.8	Kuu ninsidakonmo giigii' upa sian momoko ba'upa na ko'ona.”
HEB.2.8	Gause kalu ningaan se' Alaata'ala ninsidakon giigii' upa malolo' na ko'ona, aratina sianta sa'angu'po men sian malolo' na mian. Mau mune' koiya'a, koini'i kita sianpo nimiile' giigii' upa malolo' na mian. 
HEB.2.9	Kasee i kita nimiile'mo i Yesus mantanaasi! Sarataa Alaata'ala ninsidakon i Ia kodi-kodi' koo' tia koi malaa'ikat, koini'i kita piile'mo se' Alaata'ala ninsidakonmo i Ia tongaan ka' angga'ion gause nongololongimo repaan pataka nolapus. Gause kaporeanna Alaata'ala mbaka' i Ia a men nongololongi kolapusan bona giigii' mian.
HEB.2.10	Kana'mo a Alaata'ala ninsidakon i Yesus kalepu gause nongololongi repaan. Alaata'ala ninsidakon giigii' upa bo Ko'ona. Ia ninsidakon mian biai' sida parasaya ni Yesus ka' munsuri kobalaki'an-Na. Yesus a men nantatas salan bona mian biai' kada' salamatkonon.
HEB.2.11	Yesus ninsidakon tutuo'na mian sianmo bariosonna dosa. Ka' mian men sianmo bariosonna dosa iya'a tii Yesus men ninsidakon koiya'a koikoimo montombonoi sa'angu' Tama. Mbali' i Yesus sian makamaa' mompotuutuu' i raaya'a bo utus-Na. 
HEB.2.12	Yesus norobu na Alaata'ala tae-Na,
HEB.2.12	“Yaku' bo minsidakon ngaan-Muu tolele na utus-Ku.
HEB.2.12	Yaku' bo muntunde' i Kuu na lalomna jama'at.”
HEB.2.13	Tae-Na soosoodo,
HEB.2.13	“Yaku' tongko' mongooskon Alaata'ala.”
HEB.2.13	Ka' i Ia uga' nangaan tae-Na,
HEB.2.13	“Ni'imo i Yaku' tia anak men ia rookonmo Alaata'ala na Ingku'.”
HEB.2.14	Gause mian men ningaan anak iya'a mase mian men isian waka men bo lapus, mbaka' i Yesus uga' sida koikoimo tii raaya'a ka' tumuo' koi mian. Ia nangawawau koiya'a kada' tia kolapusan-Na Ia sida minsilaka'i Ibiliis men mantakakon kolapusan. 
HEB.2.15	Wawau ni Yesus minsidakon mian men na giigii' tutuo'na munsuri nipo'ata' gause layaonkon kolapusan sida sianmo layaon.
HEB.2.16	Taasi' malaa'ikat a men ia lawei i Yesus, kasee lee' ni Abraham. 
HEB.2.17	Koiya'a mbali' na giigii' upa i Ia tio sida koikoimo tia utus-Na kada' i Ia sida Imam Moola' men mingilino-linoi mian ka' Ia malolo' na Alaata'ala. Ia ninsidakon mian men dosaon pooka'amat tia Alaata'ala. 
HEB.2.18	Gause i Ia nongololongimo repaan tempo nitopongi, mbaka' i Ia sida mangalawei mian men pintanga' topongion.
HEB.3.1	Utu-utus men molinas men ia leelo'mo Alaata'ala minsoop surugaa! Intoomkon i Yesus! Ia Poposuu' tia Imam Moola' men potuutuu'onta. 
HEB.3.2	Ia malolo' na Alaata'ala men nanganakat i Ia, koi i Musa mbaripian men malolo' ningilimang palimangonna na Laiganna Alaata'ala.
HEB.3.3	Kasee i Yesus a men tio angga'ion mangalalabii Musa. Gause mian men mangawawau laigan tio angga'ion mangalalabii laigan men ia wawau. 
HEB.3.4	Gause sanda' laigan sabole isian men nangawawau, kasee Alaata'ala a men nangawawau giigii' upa.
HEB.3.5	Musa a papalimang men malolo' balimang na Laiganna Alaata'ala. Ia nengelelekon upa-upa men bo bantilkononna Alaata'ala na ilio komburi'. 
HEB.3.6	Kasee i Kristus malolo' bookoi Anakna Alaata'ala men bo pantanaasi Laiganna Alaata'ala. Ka' kitamo karaani'i a Laiganna Alaata'ala kalu kita sinampang parasaya ka' mongooskon men kodaakononta.
HEB.3.7	Mbaka', koi taena Alus Molinas,
HEB.3.7	“Kalu ilio kani'i i kuu mongorongor Wurungna Alaata'ala,
HEB.3.8	alia i kuu bingilan a noamuu koi pulimuu,
HEB.3.8	na tempo i raaya'a bude' malolo'.
HEB.3.8	Raaya'a nimitopongi Alaata'ala na tano' maleas too daa sian ukumon-Na.”
HEB.3.9	Taena Alaata'ala,
HEB.3.9	“Inda'a pulimuu nimitopongimo i Yaku'
HEB.3.9	bo pinginti'ianna too koi upa a men bo limangon-Ku na ko'ona i raaya'a,
HEB.3.9	poali i raaya'a noko pimiile'mo upa men Yaku' limangmo
HEB.3.9	koi patompulo' taun a nau'na.
HEB.3.10	Koiya'a mbali' Yaku' nongkomaso'i mian na tempo iya'a ka' norobu taeng-Ku',
HEB.3.10	‘Raaya'a sinampang sian malolo',
HEB.3.10	ka' bude' mongololoikon posuu'-Ku.’
HEB.3.11	Pataka Yaku' nomaso' ka' nobasumpa' taeng-Ku',
HEB.3.11	‘Raaya'a sian patalaion-Ku minsoop na pintimalean men Yaku' toropotimo.’ ”
HEB.3.12	Utu-utus! Maka'amat! Alia paraa isian i kuu men monoa ba'idek ka' sianta imaanna pataka i ia mimbalik ka' umoloa na Alaata'ala men tumuo'! 
HEB.3.13	Kuu tio poo'ururanii sanda' ilio tempo men dauga' ngaannon “Ilio kani'i” dako' isian men baetokonna dosa pataka bingilan a noana. 
HEB.3.14	Kita giigii' mase bo mandapot koi men ia dapot i Kristus kalu i kita montontoni kaparasaya'anta nuntumbeipo i kita parasaya pataka komburi'na.
HEB.3.15	Na Alkitaap isian nitulis,
HEB.3.15	“Kalu ilio kani'i i kuu nomorongor Wurungna Alaata'ala,
HEB.3.15	alia i kuu bingilan a noamuu koi pulimuu,
HEB.3.15	na tempo i raaya'a bude' malolo' na Alaata'ala.”
HEB.3.16	Ime mbali' a mian men nomorongormo Wurungna Alaata'ala see sian malolo' na Ko'ona? Taasi' i raaya'a a men ia baarkon i Musa umuar na Mesir?
HEB.3.17	Ka' ime mbali' a men ia komaso'i Alaata'ala pataka patompulo' taun? Taasi' uga' i raaya'a men nangawawau dosa, men nolapus tabangkaar na tano' maleas? 
HEB.3.18	Ime mbali' a men ia ngaan Alaata'ala na sumpa'-Na se' raaya'a sian patalaion-Na minsoop na pintimalean-Na? Raaya'a mase mian men nongkokundai i Ia. 
HEB.3.19	Mbaka' kita inti'i se' raaya'a sian nipatalai ninsoop, gause i raaya'a sian parasaya na Alaata'ala.
HEB.4.1	Mbaka' kita tio maka'amat dako' isian i kita men sian minsoop na pintimaleanna Alaata'ala tempo toon minsoop na pintimalean-Na dauga' sumalan. 
HEB.4.2	Gause Lele Pore iya'a nilelekonmo na ko'onta' koikoimo uga' na ko'ona i raaya'a. Kasee na ko'ona i raaya'a isian men sian noparasaya tempo nongorongor, mbali' lele iya'a sianta kana'na bo ko'ona i raaya'a. 
HEB.4.3	Kasee kita men parasaya minsoop na pintimalean iya'a men ia toonkon Alaata'ala. Men koiya'a sintutu' tia men ia ngaan Alaata'ala men tae-Na:
HEB.4.3	“Pataka Yaku' nomaso' ka' nobasumpa' taeng-Ku',
HEB.4.3	‘Raaya'a sian patalaion-Ku minsoop na pintimalean men Yaku' toropotimo.’ ”
HEB.4.3	Raaya'a sian minsoop na pintimaleanna Alaata'ala mau mune' pintimalean iya'a isianmo nuntumbeipo dunia kani'i ia sidakon Alaata'ala.
HEB.4.4	Gause isian nitulis na Alkitaap men muntundun ilio kopitu'na koi kani'imari: “Ilio kopitu'na Alaata'ala nintimalemo na giigii' palimangon-Na.”
HEB.4.5	Imputna iya'a nitulis soosoodo koi kani'imari: “Raaya'a sian patalaion-Ku minsoop na pintimalean men Yaku' toropotimo.”
HEB.4.6	Isian mian sambana men bo minsoop na pintimalean iya'a, kasee mian men olukon nongorongor Lele Pore sian ninsoop gause i raaya'a sian malolo'. 
HEB.4.7	Koiya'a mbali' Alaata'ala noko pongoosimo ilio men sambana soosoodo, men ngaanon “Ilio kani'i”. Toropii tempo a noporusanna Wurungna Alaata'ala men sian namatalai mian minsoop na pintimalean-Na, isianmo soosoodo Wurungna Alaata'ala men ia tadulkon i Daud koi men ningaan ra'ana:
HEB.4.7	“Kalu ilio kani'i i kuu mongorongor Wurungna Alaata'ala,
HEB.4.7	alia i kuu bingilan a noamuu.”
HEB.4.8	Kalu i Yosua nomoko nambaarkon i raaya'a minsoop na pintimalean iya'a, mbaka' porus tempo iya'a, Alaata'ala sianmo norobu soosoodo muntundun ilio men sambana.
HEB.4.9	Mbali' bona mianna Alaata'ala dauga' isian pintimalean koi Alaata'ala nintimale na ilio kopitu'na iya'a. 
HEB.4.10	Gause mian men minsoop na pintimaleanna Alaata'ala bo mintimale na palimangonna, koikoimo Alaata'ala uga' nintimale na palimangon-Na.
HEB.4.11	Mbaka' mai kita mampari-pari minsoop na pintimalean men ia toonkon Alaata'ala iya'a. Alia pataka sa'angu'po i kita mandawo' koi raaya'a mbaripian, gause sian malolo' na Alaata'ala.
HEB.4.12	Wurungna Alaata'ala mase wurung men tumuo' ka' kuasaan, ka' masasom labi sinangkidi men mataan ruantimbang. Wurung iya'a surion mungusuk pataka mengerensa noa tia alus, pataka mengerensa sumpakan ka' isiina wuku, mbali' minginti'i tuu' pinginti'ian ka' sagia men isian na noana mian. 
HEB.4.13	Sianta sa'angu'po upa na tano' balaki' men sian inti'ionna Alaata'ala. Giigii' upa mateda ka' sian mawuni na pimiile'-Na. Giigii' upa men kita limang tio tundunonta na Ko'ona koi men tuutuu'na.
HEB.4.14	Kita koini'i isian Imam Moola' men angga'ion, men ningiliumo langit taka na Alaata'ala. Imam Moola' iya'a i Yesus, Anakna Alaata'ala. Mbaka' i kita tio montontoni kaparasaya'anta. 
HEB.4.15	Gause Imam Moola'ta iya'a taasi'po imam moola' men sian minginti'i men karepanta. Ia uga' nitopongimo na giigii' upa koi kita, kasee Ia sian nangawawau dosa. 
HEB.4.16	Mbaka' i kita alia babata mangkarani' Alaata'ala men mamarenta tia noa pore, kada' i kita lino-linoion-Na ka' mungurumpaki kaporean-Na, ka' kolaweian na tempo men koi kokana'ta'.
HEB.5.1	Sanda' imam moola' niruruki ka' nipatuko bo pangatur poowawana mian tia Alaata'ala. Ia mongorookon soor ka' kurbaan bo pontololoki dosa. 
HEB.5.2	Ia tio minginti'i mian men sian minginti'i upa-upa ka' mian men tolias, gause i ia uga' mian men sian kalepu. 
HEB.5.3	Koiya'a mbali' i ia tio momokela kurbaan bo pontololoki dosana waka-wakana, taasi' tongko' gause dosana mian.
HEB.5.4	Ka' sianta sa'angu'po mian men mompoposida wakana susuung sida imam, kasee tio leelo'onna Alaata'ala, koi men nosida ni Harun.
HEB.5.5	Koiya'a uga' i Kristus. Ia sian nompobalaki' waka-Na sida Imam Moola', kasee ia pobalaki' Alaata'ala men norobu na Ko'ona tae-Na:
HEB.5.5	“Koomo a Anak-Ku!
HEB.5.5	Koo po'anakon-Kumo ilio kani'i.”
HEB.5.6	Isian uga' Wurungna Alaata'ala sambana men koi kani'imari:
HEB.5.6	“Koomo a Imam pataka manau'
HEB.5.6	koi imam Melkisedek.”
HEB.5.7	Na tempo i Yesus tumuo' na tano' balaki' kani'i, Ia nokumakaase' na sambayang-Na mama'ase' na Alaata'ala men momoko mansalamatkon i Ia dako' lapus. Ia tamban nunturo'kon lolu'-Na nokumakaase' tia nangkakaro' men bukuan. Gause palolo'an-Na mbaka' pa'ase'-Na iya'a uga' ia porongor Alaata'ala.
HEB.5.8	Maune' i Ia Anakna Alaata'ala kasee Ia nansara-sarakmo malolo' na Tama-Na, mongololongi repaan. 
HEB.5.9	Ka' noko daa Alaata'ala ninsidakon i Ia talakana, mbaka' i Ia sida pu'una kasalamatan men sidutu bona giigii' mian men malolo' na Ko'ona, 
HEB.5.10	ka' Alaata'ala nangaan se' i Ia Imam Moola' koi imam Melkisedek.
HEB.5.11	Dauga' biai' a men tio bantilkononmai i kuu muntundun i Yesus koi Imam Moola', kasee marepa popo'inti'ikononmai gause manau' kasi inti'ionmuu. 
HEB.5.12	Bookoi temponamo i kuu sidamo bo guru, kasee i kuu dauga' tio pisiso'on soosoodo tia pisiso'na Alaata'ala men tumbe. Kuu baasi susu a sidaonmuu inumon, sianpo momoko mangalabot kakaan men makadang.
HEB.5.13	Mian men sinampang minginum susu, ia koikoimo anak men baasi ngamea', sianpo minginti'i pisiso' upa men kana'. 
HEB.5.14	Kasee kakaan makadang iya'a bona mian moola'. Patukna timbaani' iya'a mase mian men daa poo'inti'imo mungururuki upa men ma'amat tia men ba'idek gause i raaya'a panaammo nunsuri men koiya'a.
HEB.6.1	Mbaka' mai kita parereia kutung a muntundun pisiso' ni Kristus men nipisiso'konmo olukon, ka' kita balimba' muntundun upa men kana' bona mian men poo'inti'imo. Sobiimo i kita mimpu'u soosoodo na pisiso' koimo mangkadarai gau' men sianta kana'na, ka' kaparasaya'an bona Alaata'ala, 
HEB.6.2	ka' basaranian, pengepetkon lima, pomotuo'ian mian lapus, ka' ukuman pataka sidutu. 
HEB.6.3	Kalu Alaata'ala mamatalai, mai kita muntundun upa men kana' bona mian men poo'inti'imo.
HEB.6.4	Gause mian men niruarimo a noana, ka' noko punsurimo polingu' men ringkat na surugaa, ka' nandapotmo barakaatna Alus Molinas, 
HEB.6.5	ka' nunsurimo porena Wurungna Alaata'ala, ka' nunsurimo kuasana tempo men ni'imarian, 
HEB.6.6	mbaka' kalu mian koiya'a dauga' mansaukon kaparasaya'anna, ia sabole sianmo sida monsosooli ka' mangkadarai gau'na, gause i ia galal mansaliipkon soosoodo Anakna Alaata'ala ka' mingideki i Ia na mian biai'.
HEB.6.7	Gause tano' men monsosop weerna usan men malia' mungusani wawona, ka' minsidakon aso-asok men kumana' bona mian men mingilimang, tano' iya'a mandapot barakaatna Alaata'ala. 
HEB.6.8	Kasee kalu tano' iya'a mantakakon rampo' ruri'on ka' rakut ruri'on, mbaka' tano' iya'a sian kumana' ka' boomo tadeankonon. Komburi'na kabus tunuon.
