GEN.1.1	Mula-mula Tuhan Allah bekin langit deng bumi.
GAL.4.26	Ma janji yang laen tu, kasi tunju satu kota Yerusalem yang laen di sorga. Tuhan Allah pung ana-ana yang tenga di situ, bukan budak. Te dong tu, orang bebas yang sonde taꞌika deng itu atoran agama dong. Andia ko dong sama ke botong pung mama Sara, andia Abraham pung bini sah. 
GAL.4.27	Te dalam Tuhan pung Tulisan Barisi ada tatulis bilang:
GAL.4.27	“Woi! Parampuan yang sonde bisa barana!
GAL.4.27	Bekin sanáng lu pung hati su!
GAL.4.27	Woi! Parampuan yang sonde rasa saki barana!
GAL.4.27	Manyanyi sanáng-sanáng su!
GAL.4.27	Parampuan yang hati ancor, tagal dia pung laki su sonde toe sang dia lai,
GAL.4.27	nanti dia dapa ana lebe banya dari parampuan yang dapa laki.”
GAL.4.28	Jadi sodara dong! Dolu Tuhan Allah janji ko kasi ana sang Abraham. Ma lama-lama baru Tuhan bekin iko Dia pung janji, ko bekin Sara barana Isak kasi Abraham. Kotong ju sama ke Isak, tagal Tuhan Allah janji kasi turunan laen sang Abraham ju. 
GAL.4.29	Waktu itu ana budak yang lahir iko manusia pung mau tu, su bésar datang, dia bekin sangsara sang Isak yang lahir iko Tuhan pung Roh pung mau. Itu ju sama ke apa yang jadi sakarang.
GAL.4.30	Tuhan pung Tulisan Barisi ada tulis bilang, “Usir buang itu budak deng dia pung ana. Te budak pung ana sonde ada pung hak tarima pusaka. Cuma bini sah pung ana sa yang ada pung hak.”
GAL.4.31	Jadi bagini, sodara dong! Kotong ni bukan sama ke budak pung ana, tagal kotong su sonde taꞌika lai deng orang Yahudi pung atoran agama. Te kotong ni, sama ke ana dari Abraham pung bini sah, tagal kotong parcaya sang Yesus Kristus.
GAL.5.1	Dolu orang Yahudi pikol barát-barát dong pung atoran agama dong. Ma sakarang Kristus su angka itu barát dari orang yang parcaya sang Dia. Andia ko, sakarang kotong su bebas. Jadi bosong jang kaná tipu ko pi pikol ulang lai itu atoran, sama ke budak!
GAL.5.2	Dengar, é! Ini beta, Paulus, yang omong ni. Kalo bosong tarima sunat ko iko orang Yahudi dong pung atoran, na, Kristus pung mati yang bekin bosong jadi bebas, sonde ada pung guna lai. 
GAL.5.3	Kalo orang tarima sunat, dia ju musti pikol ulang lai itu atoran dong samua. Bosong inga, ko sonde? Te dolu, beta su kasi tau memang. 
GAL.5.4	Orang yang mau pake atoran ko bekin Tuhan Allah tarima bae sang dia, dia bekin diri tapisa dari Kristus. Te deng bagitu, dia su tola buang Tuhan Allah pung hati bae. 
GAL.5.5	Ma Tuhan pung Roh Barisi yang buka jalan ko kotong parcaya sang Yesus Kristus. Andia ko kotong batunggu-tunggu bilang, nanti Tuhan Allah cap sang kotong bilang, kotong orang hati lurus. 
GAL.5.6	Biar orang sunat ko, sonde ko, itu sonde pantíng. Ma yang pantíng, andia orang parcaya sang Kristus, deng sayang sang orang laen ju.
GAL.5.7	Dolu bosong su idop iko jalan yang batúl. Ma sakarang sapa yang su putar-balek sang bosong, sampe bosong su sonde iko itu jalan lai? 
GAL.5.8	Te ajaran putar-balek yang bosong dengar tu, sonde datang dari Tuhan Allah. Padahal Dia tu, yang su pange ame sang bosong ko jadi Dia pung orang. 
GAL.5.9	Apa yang dong ajar, mula-mula cuma satu-dua kata sa. Ma lama-lama nanti itu ajaran su bekin bosong pung pikiran jadi rusak. Sama ke ragi sadiki yang orang campor deng tarigu ko mau bekin roti. Lama-lama ju, itu ragi bekin camporan jadi reis samua.
GAL.5.10	Tagal kotong su jadi satu deng kotong pung Bos Yesus Kristus, andia ko beta yakin bilang, Dia nanti bekin bosong parcaya kambali deng apa yang beta su ajar. Deng Tuhan Allah sandiri nanti hukum sapa sa yang su bekin rusak bosong pung parcaya.
GAL.5.11	Bagini, sodara dong! Kalo beta ajar bilang, orang musti dapa sunat, na, tantu beta sonde dapa siksa lai sama ke sakarang ni. Deng orang Yahudi dong sonde tola buang beta pung ajaran lai soꞌal Yesus pung mati di kayu palang. 
GAL.5.12	Ma itu orang yang su bekin bingung sang bosong soꞌal sunat tu, kasi tenga pi ko dong sandiri pi potong buang dong pung ‘burung’ samua!
GAL.5.13	Sodara dong! Tuhan su kasi bebas sang bosong, ko bosong sonde usa idop taꞌika deng itu atoran agama pung mau. Ma jang kira kata, bosong su bebas ko idop iko bosong pung mau-mau! Te yang batúl, andia bosong musti idop basayang, deng bosong musti layani satu deng satu, sama ke budak layani dia pung tuan. 
GAL.5.14	Di Tuhan pung Tulisan Barisi ada tatulis bilang, “Lu musti sayang orang laen dong, sama ke lu sayang lu pung diri sandiri.” Kalo bosong cuma bekin iko ini atoran satu sa, na, bosong su bekin iko orang Yahudi pung atoran pung maksud samua.
GAL.5.15	Ma kalo bosong satu baraꞌu deng satu, ko satu baruꞌi deng satu, na, lia sa! Sonde lama lai, te bosong su kasi ancor bosong pung diri sandiri.
GAL.5.16	Beta pung maksud bagini: kalo bosong idop iko Tuhan pung Roh pung mau, bosong sonde iko manusia pung mau lai. 
GAL.5.17	Te manusia pung mau sonde iko Roh pung mau. Deng Roh pung mau sonde iko manusia pung mau. Ko dong dua bamalawan na! Andia ko bosong sonde bole bekin lai, iko bosong pung mau-mau sa.
GAL.5.18	Ma kalo Tuhan pung Roh ada pimpin sang bosong, bosong su sonde taꞌika lai deng itu atoran dong.
GAL.5.19	Orang yang bekin-bekin iko manusia pung mau tu, conto ke: orang yang maen serong deng orang yang bukan dia pung laki ko dia pung bini, orang yang pung pikiran kotor, yang sonde tau malu, 
GAL.5.20	yang songgo setan ko suanggi, yang bamusu, yang suka basambung mulu, yang suka baꞌiri hati, yang suka mangamok, yang cuma inga diri sandiri, yang suka tusu-tusu orang, yang suka bekin kaco, 
GAL.5.21	yang suka camburu, yang suka minum mabo, yang bapesta liar, deng yang bekin sala laen dong. Dolu beta su parná kasi inga bilang, orang yang bekin iko hal-hal bagitu, dong tu sonde bisa jadi Tuhan Allah pung orang.
GAL.5.22	Ma orang yang idop iko Tuhan pung Roh pung mau, nanti itu Roh bekin dia ko jadi orang yang suka basayang, yang pung hati babunga, yang suka badame, yang sabar, yang pung hati bae deng orang, yang suka batolong orang, yang suka bapegang janji, 
GAL.5.23	yang manis deng samua orang, deng yang bisa jaga diri bae-bae. Sonde ada satu atoran ju, yang larang ini hal dong. 
GAL.5.24	Orang yang su maso jadi Yesus Kristus pung orang, dia su sonde iko manusia pung mau lai. Te itu kapingin bekin jahat dong su tapaku mati di kayu palang sama-sama deng Yesus. 
GAL.5.25	Jadi kalo Tuhan pung Roh su kasi idop baru sang kotong, na, kotong musti bekin iko tarús Dia pung mau. 
GAL.5.26	Andia ko kotong jang bagila hormat, jang suka bamalawan satu deng satu, deng jang baꞌiri hati lai.
GAL.6.1	Sodara dong! Kalo orang parcaya satu ada bekin sala, na, bosong yang kanál batúl Tuhan pung Roh pung mau, pi omong deng dia pake hati manis. Ais bawa kambali sang dia, ko dia iko Tuhan pung jalan yang batúl. Ma jaga bosong pung diri ko jang jato iko dia pung sala. 
GAL.6.2	Kalo orang dapa susa, na, bosong yang laen bantu sang dia. Te deng bagitu bosong bekin iko Kristus pung atoran. 
GAL.6.3	Kalo ada orang yang angka-angka diri bilang, dia lebe dari orang laen, padahal sonde bagitu, na, dia su tipu ame dia pung diri sandiri. 
GAL.6.4	Jadi tiap orang musti pareksa apa yang dia bekin. Kalo apa yang dia bekin tu, su bae, nanti dia puas sandiri. Jang banding-banding deng orang laen. 
GAL.6.5	Beta omong bagitu, tagal tiap orang musti tanggong sandiri apa yang dia bekin. 
GAL.6.6	Ma orang yang tarima Tuhan pung ajaran, dia musti bagi dia pung karjá pung hasil, ko bantu orang yang ajar sang dia.
GAL.6.7	Inga, é! Tuhan Allah tau samua. Jadi jang tipu bosong pung diri sandiri, deng jang coba-coba tipu sang Dia. Te apa yang orang tanam di kabón, nanti dia dapa kambali dia pung hasil. 
GAL.6.8	Bagitu ju, kalo orang bekin hal jahat iko dia pung mau, nanti dia dapa kambali idop yang ancor. Ma kalo orang bekin hal bae iko Roh Barisi pung mau, nanti itu orang dapa kambali idop yang batúl yang sonde tau putus-putus. 
GAL.6.9	Tagal itu, bosong jang malas bekin hal-hal bae. Te pas dia pung waktu, kotong ju dapa kambali hasil yang bae, asal kotong batahan tarús. 
GAL.6.10	Jadi kalo kotong ada sampát, na, kotong bekin hal bae memang kasi samua orang, lebe-lebe kasi kotong pung sodara orang parcaya dong.
GAL.6.11	Sakarang beta sandiri yang tulis ini surat, pake huruf bésar-bésar. 
GAL.6.12	Inga, é! Itu tukang tipu dong ju parcaya sang Yesus Kristus yang mati di kayu palang. Ma dong mau paksa sang bosong ko tarima sunat, tagal dong taku orang Yahudi yang laen nanti siksa sang dong, kalo dong ajar bilang, Tuhan Allah ju tarima bae orang yang sonde iko atoran sunat. Andia ko dong cari-cari muka di itu orang Yahudi dong. 
GAL.6.13	Ma biar dong su sunat ju, dong sandiri sonde iko atoran agama samua. Dong mau ko bosong tarima sunat ko jadi dong pung orang. Deng bagitu, dong pung partei angka-angka sang dong.
GAL.6.14	Ma kalo beta ni, beta cuma mau angka-angka sang kotong pung Bos Yesus Kristus. Dia mati di kayu palang, ko kasi mati hal-hal jahat yang manusia bekin, iko dunya pung mau. Andia ko beta su sonde ame pusing lai deng dunya pung mau. Deng dunya pung mau sonde ika lai sang beta. 
GAL.6.15	Sunat ko, sonde sunat ko, itu sonde pantíng. Ma yang pantíng, andia kotong tarima idop baru dari Tuhan. 
GAL.6.16	Beta minta ko Tuhan Allah kasi tunju Dia pung sayang sang samua orang yang iko beta pung ajaran ni, ko dong bisa idop aman, dame, deng tanáng, ju kasi tunju rasa kasian satu deng satu. Te dong su jadi Tuhan Allah pung bangsa yang baru.
GAL.6.17	Jujur sa, beta su sonde mau ko orang maen ganggu sang beta deng ini parkara lai. Te beta pung badan su ada bakás luka, tagal beta layani sang Yesus Kristus.
GAL.6.18	Sodara dong! Beta minta ko kotong pung Bos Yesus Kristus kasi tunju Dia pung hati bae sang bosong samua.
GAL.6.18	Bagitu sa!
GAL.6.18	Salam dari beta,
GAL.6.18	Paulus
EPH.1.1	Salam dari beta, Paulus. Beta tulis ini surat kasi bosong samua yang su jadi Yesus Kristus pung orang di kota Efesus,
EPH.1.2	Naa! Tuhan Allah tu, kotong pung Bapa. Deng Yesus Kristus tu, kotong pung Bos. Beta minta ko Dong kasi tunju Dong pung hati bae ko bosong idop aman, dame, deng tanáng.
EPH.1.3	Puji-puji sang Tuhan Allah! Puji-puji sang kotong pung Bos Yesus Kristus pung Allah Bapa. Te Tuhan su kasi sang kotong samua macam berkat dari sorga, tagal kotong su jadi Yesus Kristus pung orang.
EPH.1.4	Te waktu bumi balóm ada, Tuhan Allah su sayang deng pili ame sang kotong, ko jadi Kristus pung orang. Dia mau ko kotong idop barisi sampe orang sonde bisa tudu-tudu sang kotong. 
EPH.1.5	Dia su putus memang dari dolu, ko pake Yesus Kristus bekin kotong jadi Dia pung ana. Ini yang bekin Dia pung hati sanáng. 
EPH.1.6	Andia ko kotong puji-puji sang Dia. Te Dia su kasi tunju Dia pung hati bae sang kotong, ko kotong bisa idop taꞌika deng Dia pung Ana sayang.
EPH.1.7	Biar dolu kotong sonde idop barisi iko Tuhan Allah pung jalan idop, ma Dia kasi tunju Dia pung hati bae, deng kirim Dia pung Ana, ko kasi tumpa Dia pung dara sampe mati. Deng bagitu, Dia pung Ana tabús ame sang kotong dari kotong pung sala-sala dong.
EPH.1.8	Tagal Dia pung sayang talalu sang kotong, Dia ju bekin taráng kotong pung hati ko kotong bisa mangarti Dia pung maksud. 
EPH.1.9	Dolu Tuhan Allah balóm kasi tau manusia Dia pung maksud samua. Ma sakarang, iko Dia pung suka, Dia su bekin kotong mangarti bilang, dari dolu-dolu Dia su putus mau pake Yesus Kristus ko bekin manusia badame deng Tuhan Allah. 
EPH.1.10	Deng nanti sampe dia pung waktu, Yesus Kristus ju jadi Kapala ko ator samua yang ada di bumi deng di sorga.
EPH.1.11+EPH.1.12	Tagal kotong ada taꞌika deng Kristus, andia ko kotong ju tarima ame pusaka dari Tuhan Allah. Te dari mula-mula, Dia su pili sang botong orang Yahudi, ko jadi Dia pung orang dong. Dia pung maksud mau pake sang botong ko buka jalan kasi suku-bangsa laen dong, ko biar samua orang bisa parcaya sang Kristus. Samua ni jadi, iko apa yang Dia su putus memang. Deng bagitu, kotong samua bisa angka tinggi-tinggi Tuhan Allah pung nama yang hebat.
EPH.1.13	Tagal botong su buka jalan, andia ko bosong dari suku-bangsa laen ju bisa maso jadi Kristus pung orang, asal bosong parcaya Dia pung Kabar Bae yang batúl. Te itu Kabar Bae kasi salamat sang bosong.
EPH.1.13	Kalo bosong parcaya bagitu, bosong ju tarima Tuhan Allah pung Roh Barisi yang Dia su janji. Te Roh Barisi tu, sama ke cap yang jadi tanda bilang, bosong su jadi Dia pung milik sah. 
EPH.1.14	Dia pung Roh Barisi ju jadi jaminan bilang, nanti Tuhan Allah kasi samua yang Dia su janji, sampe tabús ame sang kotong ko jadi Dia pung orang dong. Andia ko kotong puji-puji sang Dia.
EPH.1.15	Beta su dengar banya, soꞌal bosong pung parcaya sang kotong pung Bos Yesus Kristus, deng bosong pung sayang kasi orang parcaya dong. Andia ko 
EPH.1.16	beta sonde barenti-barenti minta tarima kasi sang Tuhan Allah. 
EPH.1.17	Beta sambayang bilang, “Bapa Boꞌi! Bapa tu, beta pung Bos Yesus Kristus pung Tuhan Allah. Deng Bapa tu, yang paling hebat. Beta minta ko Bapa kasi Bapa pung Roh sang orang Efesus dong, ko biar dong bisa mangarti hal-hal yang batúl, deng bisa kanál lebe bae sang Bapa. 
EPH.1.18	Beta minta ko Allah Bapa buka dong pung pikiran, deng bekin taráng dong pung hati, ko biar dong bisa mangarti samua yang Bapa su janji mau kasi sang dong. Beta ju mau ko dong bisa mangarti itu pusaka yang Bapa janji mau kasi sang dong. Te itu pusaka tu, talalu hebat! 
EPH.1.19	Beta ju minta ko Bapa tolong, ko dong bisa mangarti lebe bae Bapa pung kuasa yang paling hebat. Te Bapa pake itu kuasa ko tolong Bapa pung orang parcaya dong. 
EPH.1.20	Te Tuhan Allah pung kuasa tu, talalu hebat! Dia su pake itu kuasa ko kasi idop kambali sang Kristus dari Dia pung mati. Ais Tuhan Allah angka nae sang Kristus pi sorga, deng kasi dudu sang Dia di Tuhan Allah pung sablá kanan di tampa yang paling hormat.
EPH.1.21	Dia su lebe tinggi dari samua yang ada di bumi deng di sorga. Te Dia lebe tinggi dari samua kuasa, deng samua yang pegang parenta dong. Dia pegang Dia pung kuasa yang hebat tu, bukan cuma sakarang sa. Te Dia ju pegang tarús sampe salamanya. 
EPH.1.22	Tuhan Allah sandiri yang bekin samua soya-soya sang Kristus. Deng Dia ju yang angka Kristus jadi Kapala ko ator samua yang taꞌika deng orang parcaya dong.
EPH.1.23	Jadi kalo Dia jadi Kapala, na, kotong orang parcaya dong jadi sama ke Dia pung badan. Nanti kotong yang bekin abis samua karjá yang Dia kasi jalan waktu Dia ada di bumi. Te Dia yang ada pung kuasa ko bekin jadi samua-samua, iko Tuhan Allah pung maksud.”
EPH.1.23	Beta pung sambayang kasi sang bosong memang bagitu.
EPH.2.1	Dolu bosong langgar Tuhan Allah pung parenta dong, deng bekin sala macam-macam. Andia ko Dia anggap bosong sama ke orang yang su mati. 
EPH.2.2	Dolu bosong idop iko ini dunya pung mau, deng iko setan dong pung bos pung mau. Sampe sakarang itu setan masi babuju manusia, ko dong malawan sang Tuhan Allah. 
EPH.2.3	Dolu tu, kotong ju idop bagitu, sampe apa sa yang kotong rasa ko, pikir ko, kotong bekin iko kotong pung mau-mau sa. Kotong ni, manusia jahat sama ke samua orang laen dong, andia ko Tuhan Allah mara mau mati sang kotong, 
EPH.2.4+EPH.2.5	deng anggap kotong ju sama ke orang mati yang tapisa buang dari Dia. Biar bagitu ju, ma Dia jato kasian sang kotong, tagal Dia talalu sayang sang kotong. Andia ko Dia kasi tunju Dia pung hati bae deng kirim datang sang Yesus Kristus ko kasi idop baru sang kotong. Jadi Tuhan yang kasi salamat sang kotong, tagal Dia pung hati bae.
EPH.2.6	Yesus Kristus mati, ma Tuhan Allah kasi idop kambali sang Dia. Ais Tuhan angka nae sang Dia ko pegang parenta di sorga. Naa! Tuhan ju bekin bagitu sang kotong. Dia kasi idop baru sang kotong, ais Dia angka kasi nae sang kotong, deng kotong pegang parenta sama-sama deng Kristus di sorga. 
EPH.2.7	Deng bagitu, mulai dari sakarang sampe salamanya, Tuhan kasi tunju Dia pung sayang bam-banya, deng Dia pung hati bae yang talalu hebat, tagal kotong parcaya sang Yesus Kristus.
EPH.2.8+EPH.2.9	Waktu bosong parcaya sang Kristus, Tuhan Allah kasi salamat sang bosong tagal Dia pung hati bae. Dia kasi salamat bagitu, bukan tagal Dia mau balas apa yang bosong bekin. Tagal itu jadi hadia yang Dia parsén kasi sang bosong, andia ko bosong sonde ada pung dasar ko mulu bésar deng apa yang bosong bekin.
EPH.2.10	Kotong ada, tagal Tuhan Allah yang bekin sang kotong. Ais Yesus Kristus kasi idop baru sang kotong, ko biar dalam kotong pung idop, kotong bekin tarús hal-hal bae yang Tuhan su putus memang dari dolu.
EPH.2.11	Sodara dong! Bosong su tau bilang, orang Yahudi dong bapegang karás dong pung atoran sunat, deng dong pandang enteng sang bosong yang bukan Yahudi, tagal bosong sonde iko dong pung atoran! Padahal itu cuma atoran soꞌal manusia pung badan sa, bukan soꞌal manusia pung dalam hati. 
EPH.2.12	Waktu bosong balóm parcaya sang Yesus Kristus, bosong sonde ada pung hak ko maso jadi Tuhan Allah pung orang. Te dolu, bosong balóm maso dalam Tuhan pung janji yang Dia su ika memang deng Abraham, deng dia pung turunan dong. Itu waktu, bosong tenga di ini dunya deng sonde bisa baharap sang Tuhan Allah, tagal bosong masi jadi orang luar, 
EPH.2.13	yang tapisa dari Tuhan. Ma sakarang Yesus Kristus su buka jalan ko bosong bisa taꞌika deng Tuhan Allah. Te Kristus mati ko bekin dingin Tuhan pung hati, ko bosong bisa badame deng Dia, deng bisa jadi Dia pung orang dong.
EPH.2.14	Dolu, botong orang Yahudi sonde bisa idop badame deng bosong dari suku-bangsa laen. Sama ke ada tembok yang bekin kotong bapisa. Ma tagal Yesus Kristus mati di kayu palang, ju Dia bekin rubu itu tembok ko kotong yang dolu bamusu bisa badame ko jadi satu bangsa. 
EPH.2.15	Te dolu, orang Yahudi cari jalan ko idop babae deng Tuhan pake dong pung atoran agama dong. Ma waktu Yesus Kristus mati, Dia bekin batal itu jalan lama deng buka jalan baru, ko biar orang dari bangsa Yahudi deng orang dari suku-bangsa laen dong, dua-dua bisa idop babae deng Tuhan Allah. Deng bagitu, dong samua su taꞌika jadi satu bangsa baru yang idop badame.
EPH.2.16	Jadi Kristus mati di kayu palang ko bekin dua pihak yang bamusu tu jadi satu, deng bawa dong kambali pi Tuhan Allah. Te Kristus hapus buang samua yang dolu jadi gara-gara ko bekin dong bamusu.
EPH.2.17	Dia datang di ini dunya ko bawa Kabar Bae kasi orang Yahudi sama-sama deng orang laen dong bilang, “Dolu bosong idop bamusu, ma sakarang su ada jalan ko bosong bisa idop badame satu deng satu.”
EPH.2.18	Jadi botong orang Yahudi deng bosong yang bukan Yahudi sama-sama dapa jalan ko pi kotong pung Allah Bapa, tagal Yesus su buka jalan kasi kotong samua. Deng Tuhan Allah pung Roh Barisi ju ada kasi tunju itu jalan sang kotong samua.
EPH.2.19	Tagal Yesus Kristus pung karjá, andia ko bosong yang bukan orang Yahudi, su bukan orang luar lai, yang sonde ada pung hak apa-apa. Te sakarang, bosong ada pung hak warga di sorga, tagal su maso jadi Tuhan Allah pung kelu. 
EPH.2.20	Itu conto ke Tuhan Allah ada mau kasi badiri ruma satu. Dia taro batu alas, andia Yesus Kristus. Ais Dia bangun fanderen, andia Dia pung jubir deng Dia pung utusan dong. Tarús, Dia susun batu-batu di atas itu samua. Itu batu dong tu, andia kotong samua yang su maso jadi Dia pung kelu. 
EPH.2.21	Itu ruma badiri kuat-kuat, tagal itu batu-batu dong ada tasusun bae-bae di atas itu batu alas. Deng itu ruma tamba lama tamba bésar, sampe nanti orang pi situ ko sambayang sang Tuhan Allah. 
EPH.2.22	Jadi sakarang Tuhan Allah su bekin ko bosong orang bukan Yahudi jadi sama ke batu ju, sama-sama deng botong orang Yahudi. Tuhan Allah susun sang kotong samua, ko jadi tampa tenga kasi Dia pung Roh.
EPH.3.1	Tagal Tuhan Allah sonde bekin beda orang Yahudi deng orang bukan Yahudi, andia ko Dia utus sang beta, Paulus, ko kasi tau Yesus Kristus pung Kabar Bae sang bosong yang bukan Yahudi di kota Efesus. Beta su kasi jalan beta pung karjá, sampe beta su jadi orang bui. 
EPH.3.2	Pasti bosong ju tau bilang, Tuhan Allah utus sang beta, tagal Dia mau kasi tunju Dia pung hati bae sang bosong. 
EPH.3.3	Memang dolu Tuhan Allah balóm kasi tau manusia soꞌal apa yang Dia su putus kasi orang bukan Yahudi. Ma sakarang Dia su kasi tau ini hal sang beta. Deng ini ni, yang beta ada tulis pende-pende di sini kasi sang bosong. 
EPH.3.4	Kalo bosong su baca abis, bosong ju bisa mangarti Tuhan Allah pung maksud soꞌal Yesus Kristus, yang Dia su buka kasi beta. 
EPH.3.5	Te dolu-dolu, manusia balóm mangarti Dia pung maksud. Ma sakarang Dia su pake Dia pung Roh ko kasi tau itu maksud sang Dia pung jubir, deng Dia pung utusan dong. 
EPH.3.6	Te dari dolu, Tuhan Allah su putus bagini: kalo orang bukan Yahudi parcaya sang Yesus Kristus pung Kabar Bae, dong ju bisa maso jadi Tuhan pung ana-ana, sama ke orang Yahudi dong. Tagal itu, sakarang kotong samua su jadi satu kelu, deng kotong sama-sama bisa tarima berkat dari kotong pung Allah Bapa.
EPH.3.7	Tuhan Allah kasi tunju Dia pung hati bae deng pili ame sang beta ko jadi Dia pung utusan. Deng Dia ju kasi Dia pung kuasa sang beta, ko kasi jalan Dia pung karjá. 
EPH.3.8	Dari Tuhan pung orang parcaya samua, beta ni orang yang paling kici. Biar bagitu ju, ma Tuhan pili sang beta ko kasi jalan Dia pung karjá yang talalu hebat. Dia mau ko beta kasi tau orang bukan Yahudi dong, soꞌal Kristus pung hati bae yang sonde tau abis-abis. 
EPH.3.9	Te mulai dari Tuhan Allah bekin ame ini dunya, Dia pung maksud mau kirim datang sang Kristus, dolu masi tasambunyi. Ma sakarang Dia mau ko beta kasi mangarti samua orang soꞌal Dia pung maksud tu. 
EPH.3.10	Te Dia pung maksud, talalu pintar. Deng Dia mau pake Dia pung orang dong ko kasi tunju Dia pung pintar sang samua kuasa deng samua yang parenta di langit dong. 
EPH.3.11	Waktu Dia balóm bekin ini dunya, Dia su putus ko mau buka jalan ko kasi salamat manusia. Andia ko, Dia pake kotong pung Bos Yesus Kristus, ko bekin iko bagitu. 
EPH.3.12	Tagal itu, kotong yang su parcaya sang Yesus Kristus, sonde usa taku-taku lai datang baꞌomong deng Tuhan. Te Dia mau tarima kotong, kapan sa.
EPH.3.13	Inga, é! Beta sangsara tagal beta layani sang bosong orang bukan Yahudi. Biar bagitu ju, ma bosong pung hati jang jadi tawar. Tagal beta pikol ini sangsara ko biar bosong yang tarima dia pung bae.
EPH.3.14	Waktu beta pikir ame Allah Bapa pung hati bae yang talalu hebat, ju beta tikam lutut ko minta tarima kasi sang Dia. 
EPH.3.15	Te samua kelu di dunya deng di sorga pung Bapa, andia Dia.
EPH.3.16	Beta sambayang ko Dia kasi berkat bam-banya sang bosong iko Dia pung hati yang talalu bae.
EPH.3.16	Deng beta ju minta Dia kirim Dia pung Roh, deng kasi kuasa, ko biar bosong pung dalam hati jadi kuat.
EPH.3.17	Beta minta ko Yesus Kristus idop dalam bosong pung hati, tagal bosong parcaya tarús sang Dia.
EPH.3.17	Deng beta ju sambayang ko bosong idop taꞌika deng Dia pung sayang, sama ke pohon yang batamba kuat, tagal dia pung akar tatanam dalam-dalam.
EPH.3.18+EPH.3.19	Beta ju sambayang, ko bosong deng Tuhan pung orang samua, bisa sama-sama mangarti Kristus pung sayang yang manusia sonde bisa ukur. Te itu sayang tu, talalu bésar, talalu luas, talalu dalam, deng talalu banya!
EPH.3.18+EPH.3.19	Beta ju sambayang ko bosong bisa rasa Dia pung sayang, sampe itu sayang isi ponu bosong pung hati deng bosong pung idop.
EPH.3.20	Tuhan Allah pung kuasa hebat talalu, lebe dari samua yang kotong bisa minta, deng samua yang kotong bisa pikir. Deng Dia pake itu kuasa yang hebat tu, ko karjá dalam kotong pung hati. 
EPH.3.21	Tagal itu, mari ko kotong yang taꞌika deng Yesus Kristus, angka tinggi-tinggi sang Dia! Puji-puji tarús sang Dia, dari sakarang sampe salamanya. Batúl bagitu!
EPH.4.1	Beta su kasi jalan beta pung Bos pung karjá, sampe beta jadi orang bui. Jadi sakarang, beta mau buju sang bosong ko idop pantas deng lurus iko Tuhan Allah pung mau, te Dia su pange ame sang bosong ko jadi Dia pung orang. 
EPH.4.2	Tagal itu, bosong musti idop deng randá hati, deng idop manis satu deng satu. Bosong musti sabar deng mangarti satu deng satu, ko idop basayang yang batúl. Kalo dari bosong ada yang bacari hal deng dia pung tamán, na, jang simpan hati.
EPH.4.3	Usaha karás ko idop badame satu deng satu, tagal Tuhan Allah pung Roh su ika sang bosong jadi satu. 
EPH.4.4	Te Yesus Kristus pung orang dong su jadi satu sama ke Dia pung badan sandiri. Deng dong samua ju tarima Tuhan pung Roh yang cuma satu sa. Deng dong samua baharap deng Tuhan Allah sa, tagal Dia yang pange ame sang dong ko jadi Dia pung orang.
EPH.4.5	Kotong pung Bos yang hak parenta sang kotong, cuma satu sa;
EPH.4.5	Kotong pung parcaya, cuma ada satu jalan sa,
EPH.4.5	ko bisa badame deng Dia.
EPH.4.5	Deng kotong samua tarima sarani,
EPH.4.5	ko jadi taꞌika deng Dia.
EPH.4.6	Tuhan Allah, cuma satu sa,
EPH.4.6	deng kotong pung Bapa, cuma Dia sa.
EPH.4.6	Cuma Dia sa yang parenta kotong samua.
EPH.4.6	Cuma Dia sa yang ada sama-sama deng kotong samua.
EPH.4.6	Deng cuma Dia sa yang idop tarús di kotong samua pung hati.
EPH.4.7	Ma Yesus Kristus su bagi kasi Dia pung kuasa sang kotong, ko biar kotong satu-satu kasi jalan Dia pung karjá. 
EPH.4.8	Andia ko Tuhan pung Tulisan Barisi bilang,
EPH.4.8	“Dia nae pi tampa yang tinggi,
EPH.4.8	ko Dia baparáng di situ sampe manáng.
EPH.4.8	Ais Dia bawa pulang tahanan bam-banya,
EPH.4.8	deng bagi-bagi hadia kasi manusia.”
EPH.4.9	(Inga itu kata yang bilang “Dia nae”. Kalo Dia nae, itu dia pung arti bilang, dolu Dia su parná turun datang di bumi di bawa. 
EPH.4.10	Jadi itu Orang yang turun tu, andia Kristus. Te Dia yang nae kambali pi sorga, ko bisa urus samua-samua yang ada di langit deng di bumi.) 
EPH.4.11	Kristus yang kasi kuasa sang Dia pung orang, ko dong kasi jalan tugas yang Dia bagi kasi sang dong. Ada saparu yang Dia kasi kuasa ko jadi Dia pung utusan, saparu jadi Dia pung jubir, saparu jadi gambala kasi Dia pung orang dong, saparu jadi pintar ajar Dia pung orang dong, deng saparu lai jadi tukang bawa Kabar Bae pi tampa-tampa baru. 
EPH.4.12	Satu-satu tarima dia pung tugas ko bekin langkáp Kristus pung orang dong, ko dong samua bisa kasi jalan Dia pung karjá. Deng bagitu, kotong samua yang parcaya sang Yesus Kristus batamba kuat, 
