GEN.1.1	Ese agafare Anumzamo monane mopane trohu'ne. 
JUD.1.13	Zamagra hagerimo kranto kranto nehuno, agrenke hiankna hu'za, zmagazehu zmavu'zmava huhakarehu vahe mani'naze. Zamagra hanafimo magokete mani so'e osu vuno eno hiankna vahe mani'nazankino, haninentake kumapi manivava hanazegu Anumzamo'a retro huzmante'ne.
JUD.1.14	Hagi Inoku'a, Adamunteti maniza e'naza vahepintira 7nire ehanati'nea naga nofipinti ne'mo ama ana vahekura kasanampa kea hunteno anage hu'ne, Ramo'a hampriga osu'nea ruotge hu'namo'zane ne-eanki keho. 
JUD.1.15	Agra ama mopafi vahera refkoma hunezmanteno, Anumzamofo avu'avama nosu'za havi zmavu'zmava nehu'za, Anumzamofo eri'zama e'noriza Agri'ma huhavizama huntesaza vahera, hanavetino kea huzmantegahie. 
JUD.1.16	Zamagra zamarimpa knage nehu'za, nazinke nehantage'za, kefozama hu'naku'ma hanazaza hugahaze. Zamagra rankege nehu'za ru'mozama zamigima zamizankuke hu vahe manigahaze.
JUD.1.17	Hu'neanagi navesima neramantoa nenafugata tamagera okaniho, Rantimofo Jisasi Kraisi aposol naga'mo'za tamasimiza, 
JUD.1.18	henka vagare knafina hunte'za kiza zokago ke hunte vahe fore nehu'za Anumzamofoma zamage'na hunemi'za, kefo zamavuzamava hanaza vahe manigahaze. 
JUD.1.19	E'ina vahe'mo'za amu'no tamifina atane'zana avare'neramize. Zamagra ama mopafi vahe'mofo antahintahi nevaririze. Na'ankure Anumzamofo Avamumo'a' zamagripina omanine. 
JUD.1.20	Hianagi navesima neramantomota tamagra ruotge hu'nea tamentintifina hagetma mrenerita, Ruotge Avamumo'a tamaza nehina nunamuna hiho. 
JUD.1.21	Hagi Anumzamofo avesizampi nemanita, Rantimo Jisas Kraisi asunku zampima manivava manizama tamikema hu'nea zankura tamavresra osu avega anteho.
JUD.1.22	Zamentintimo hanavema otinesia vahera, zmasunku huzmanteta zmaza hiho. 
JUD.1.23	Hagi mago'amo'za tevefi ko mani'nazanki, ame huta tevefintira zamaza huta hanageho. Mago'amokizmia tamasunku huzmanteta zmaza hugahazanagi, zamagri kefo'zamoma tamazeri havizama huzankura, tamagra kva hiho.
JUD.1.24	Hagi menina Anumzamo'a tanafama ruzankura kegva huneramantena, Agra tavaresigeta Agri'a msafi kumitami omanena, tusi'a musezampi manigahaze. 
JUD.1.25	Ramo, Jisas Kraisimpi tagu'vazino taza hu'nea Nera, Agrake Anumzamo mani'ne, Tamage. Msazanki, ra agigi, hanavegi, kavatia Agrake korapara mani'neankino menina mani'neno, henka manivava huno vugahie. Tamage.
REV.1.1	Anumzamo'a eri'za vahe'araminte kofta huno fore'ma haniazana, oku'a me'nea ke Jisasi'a ankero ne'a amino huntegeno, eriza ne'are Joninte emeri ama hu'ne. 
REV.1.2	Joni'a Anumzamofo kea huama nehuno, Jisasi agenkene makazama ke'nea zamofo kea huama hu'ne. 
REV.1.3	Ama kasnampa kema hamprinaza vahe'ene, antahi'naza vahe'ene, ana kema amage'ma antenaza vahe'mo'za asomu erigahaze. Na'ankure anazama fore'ma hania knamo'a, hago kofta nehie.
REV.1.4	Nagra Joni'na, ama naneke Esia kaziga 7ni'a mono nonte nagamotarega kreneramue. Hagi korapa mni'neno, menima mni'neankino, henkama mani'nia Anumzamo, Agra'a asuragizane, rimpa fruzana tamina, fru hutma manigahaze. 7ni'a Avamutamima Anumzamofo kini tramofo avugama nemanizamo'za, zamagranena zmasu ragiramante'za, tmazeri fru hanigeta, fru hutma nemnisageno, 
REV.1.5	Jisas Kraisi fatgo huno, Anumzamofo ke'a huama nehimo, Agra'a fri'naza vahepintira ugagota huno ese oti'nemo, maka mopafi vahe'mokizmi kini vahe kegva huzmante'nea ne'manin'eankino, Agra kumitifima mani'nonkeno, avesiranteno korama'areti mizaseno katufe tantenegu agi'a erisaga hanune. 
REV.1.6	Agra'a vahe tazeri retro huneranteno, Anumzamofo eriza erisuna prisi vahe tavareno retro hurante'neankino, Agrake'za maka kna ra agi'a e'nerino hanavea erino, manivava hugahie. Tamage. 
REV.1.7	 (Dan 7:13) maka vahe'mo'za negesageno, keka zafare'ma krugruma renaza vahe'mo'zanena negesageno, maka ama mopafi vahe'mo'za zavi krafa hugahaze. Hanki e'ina hu'zana fore hugahie. Tamage. 
REV.1.8	 huno hanavenentake Ra Anumzamo'a hu'ne.
REV.1.9	Nagra Joni'na neramafu'na Anumzamofo kumaku'ma knama enerita Jisasinte'ma kazigazi huta magoka nevumo'na, navre'za ti amunompi Patmosie nehaza mopa, me'nere ome nante'naze. Na'ankure Anumzamofo kereku'ene, Jisasi agenkema huama'ma nehua zanku anara hu'naze. 
REV.1.10	Hanki Ramofo knazupa, nagra avamupi mni'nena nentahugeno, namefigatira mago agerumo'a ra ufereaza huno anage hu'ne, 
REV.1.12	Anagema huno hige'na, rukrehe hu'na ke'ma hia vahe ke'nakuma huana, 7ni'a tavi rekru hunte'naza azota kolire tro hunte'nea me'negena ke'noe. 
REV.1.13	Ana lamu tavimofo amu'nompina, Vahe'mofo Mofavregna ne'mo, efeke zaza kukena antaninegeno agia ruhananegeno, kolire tro hunte'naza nofinu afupinti rutahera higeno, asoparega kreramino vu'nege'na ke'noe. 
REV.1.14	Hagi Agri asenimo'ene azokamo'a efenentake huno efeke hampokna higeno, avurgamo'a teve anefakna hu'negena ke'noe. 
REV.1.15	Ana Ne'mofo agamo'a brasima tevefima krefizo hazageno, masanentake nehiankna nehigeno, agerumo'a rama'a timofo agasasa kemo'ma hiaza hu'ne. 
REV.1.16	Ana ne'mo'a azantmaga 7ni'a hanafi azerinegeno, tare kaziga asane kazimo agipintira atiramino egeno, Agri avugosamo'a zgemo remsa hiankna huno hanavenentake huno remsa hu'ne.
REV.1.17	Nagrama ana ne'ma nege'na, agafi traka hu'na fri vahekna hugeno, tamaga azanu nagofetu nenteno anage hu'ne, 
REV.1.20	 huno nasamine.
REV.4.1	Ama anazama evutege'na, nagra kogeno, mona kafamo'a anagino ruhagro higeno, ese ageruma antahi'noa agerumo ufe krafa hiaza nehigena antahugeno, Nagrikura anage huno hu'ne, 
REV.4.2	Anage nehige'na ame hu'na nagra avamupi mni'nena koana, mona kumapina kini tra me'negeno, mago'mo ana kini tratera mni'nege'na ke'noe. 
REV.4.3	Ana ne'mofo msa'amo'a rumsa huno jasapa havegna nehuno, koranentike huno konilienie hu'za nehaza havegna hu'ne. Mago furage'namo kini tramofona rugagintegeno, zafa asinage huno emerelie nehaza havegna huno remsa hu'ne. 
REV.4.4	Ana kini tramofona 24'a kini tratami manegorave huntegeno, ana 24'a kini tratera ugota kva vahe'mo'za mni'ne'za, efeke zaza kukena hu'za, kolire kini fetori zmasenirera antani'naze. 
REV.4.5	Ana tra'ma me'nefintira trage huno ko psina enerino, tusi'a monage nehigeno, kini tramofo avuga 7ni'a tavi tevemo'a hagana hagana huno te'ne. E'i ana 7ni'a tevema hagana hagana huno nereana, Anumzamofo 7ni'a Avamutami me'ne. 
REV.4.6	Hagi ana kini tra'mofo avuga, kapoteti tro huntageno msanetake huno rumarave nehiankna hageri me'geno, ana kini tramofo amu'nompine ruga ruga, 4'a asimu anteno mni'nea zgaramina, zmavugane zmefika zmavurgamo'a avite'nea zgamo'za mni korave hu'nazage'na zmage'noe. 
REV.4.7	Ese'ma mani'nea zgamo'a Laionigna higeno, anante zgamo'a kaogna higeno, nampa 3zgamofona vahe avugosagna higeno, nampa 4zgamofona hareno vano nehia tumpamofo avugosagna hu'nea zga ke'noe. 
REV.4.8	Hanki anama kasefa huza maninaza 4'a zgamofona, mago magomofona 6si'a agekona huzmantegeno, zmagekonamofo fenkaga kizigane zmavugane zmefi'enena zmavurgamo'a hakare huno avitenege'za, ontagane'za zgene hanine anage nehaze, 
REV.4.9	Hanki anantema zmasimu anteza mni'naza zgamo'za, kini tratema mani'nea Ne'mofo husga hunte'za, ra agi nemi'za, susu hunte'za Agra manivava hugahie hu'za agia erisaga huvava nehazageno, 
REV.4.10	ana 24'a ugota kva vahe'mo'za, kini tratema mani'nea Ne'mofo avuga zmavugati zmarena omere'za umase'za, manivava nehia Nera mono hunente'za kini fetorira, ana kini tramofo avuga zafi netre'za, anage nehaze: 
REV.4.11	Kagrake knare hunka marerinane, tagri Ra maninka, tagri Anumza mni'nane, Kagrake rankagia e'nerinka, kagia erisaga nehageno, hanavekamo'a mrerinie. Na'ankure Kagri kavesite maka zana efore huno me'ne, hu'za hu'naze.
REV.5.1	Hanki kini trate mani'nea Ne'mofo tmaga azampine agu'afine amefiga'anena, avo krente'nea avontafera, 7ni'a fukinu rekamrentenegena ke'noe. 
REV.5.2	Ana higena kogeno hanavenentake ankeromo ranke huno anage hu'ne, Iza knarera hu'nenimo, ama fukima rekamrentenea avontafera erignopeno erivaka regara hu'ne? 
REV.5.3	Hanki monafi mni'nesimo'o, mopafi mni'nesimo'o, mopa agu'afi mni'nesimo'a, mago'mo'e huno ama ana avontafera erivaka orege, agu'afina erivakareno kegara osu'ne. 
REV.5.4	Ana hige'na krafage hu'na zavira ate'noe, na'ankure mago'mo'e huno ana avontafera eri vaka orege, agu'afina kegara osu'negene. 
REV.5.5	Ana 24'a elda kva vahepinti mago'mo anage huno nasamine, zavira otenka ko! Juda naga'nofipinti Deviti negeho ha'ma agaterenea Laionimo, Agra 7ni'a fukina eriganopega hu'neankino ana avontafera erivakarega hu'ne.
REV.5.6	Anante kogeno mago sipisipi anentamo'a kini tramofone, 4'a kasefa hu'za zmasimuma ante'za mni'naza zgaramimofo amunompi oti'nege'za, 24'a elda kva vahe'mo'za regorave hunte'naze. Ana sipisipi anentara korapa ahenaza sipisipi anenta kna hu'ne. Ana sipisipi anentamofona 7ni'a pazive huntegeno, 7ni'a avurga hunte'neankino, e'i ana avurgamo'a Anumzamofo 7ni'a avamutaminkino, maka kaziga mopafi huzmantege'za nevaze. 
REV.5.7	Hagi Agra vuno tratema mni'nemofo tamaga azampintira avontafera omeri'ne. 
REV.5.8	Hagi ana sipisipi afu anentamoma avontafe'ma omenerige'za, 4'a zmasimu eri'za mni'naza zgaraminki, 24'a elda kva vahe'mo'za, sipisipi anentamofo agafi zmarenare'za magoke magoke'mo'za zavena (harp) erine'za, zmente zmente mananentake'zama kre sramnavu'za mevite'nea korire zuompa erinazana, e'i anazana Anumzamofo nagamofo nunamune. 
REV.5.9	Hagi zmagra kasefa zgame nehu'za anage hu'naze, Kagra avontafera erinka rekamrente'naza fukintamina eriganopega hu'nane. Na'ankure Kagrira kahe frizagenka koranka'anu, mika nofi nagapinti'ene, zmagerupinti'ene, vahepinti'ene, mopafi vahera mi'za sezmante'nane. 
REV.5.10	Kagraka'a kumaka'afi huhampri zmantanke'za, kinimofo prisi vahe tro huza manizankiza, zamagra ama mopafi veara kegva hu'za manigahaze. 
REV.5.11	Anantera nege'na nentahugeno, rama'a ankero vahe'mo'za kini tramofona regagine'za, kasefa hu'za mni'naza zgamo'zane, 24'a elda kva vahe'mo'zane, tusi'a hampriga osuga'amo'za, 
REV.5.12	ranke hu'za anage hu'naze, Agri'ma ahazageno fri'nemo, hanavene so'e feno'zane, knare antahizane, himamu hanavene, husga huno ra agia ami'zana Agrake erigahie. 
REV.5.13	Hanki maka'zama tro huzmantege'za zamasimu ante'za monafine, mopafine mopamofo agu'afi mni'naza zgamo'zane, hagerimpi mani'naza zgamo'za, nentahuge'za anage hu'za, Kini trate'ma mani'nemo'ene sipisipi anentamo'a asomu'ene ra agine, kegvamahu hanavemo'a, Znagrite mevava hugahie hu'za hu'naze. 
REV.5.14	Kasefa hu'za mni'naza 4'a zgamo'za tamage hu'za huvava nehazageno, 24'a elda kva vahe'mo'za zmarenare'za mono huznante'naze.
REV.6.1	Anante nagra kogeno, sipisipi anentamo 7ni'a fukinu rekamerente'nea avontafepinti, mago fuki eriganopegeno, 4'a kasefa hu'za mni'naza zgafinti mago'zmimo'a monage'moma hiaza huno anage hu'ne, eno! 
REV.6.2	Higena anante negogeno, efeke hosi afumofo agofetuma mni'nemo'a, ati eri'negeno kini fetorira amigeno, harafa vahe'mo ha' huno zamagtereno viankna huno vu'ne.
REV.6.3	Anante'ma sipisipi anenta'mo nampa 2 fukima rekamrente'nea avontafera, eri kanopegeno, kasefa huno mni'nea zgafinti nampa 2 zgamo'a eno! hu'ne. 
REV.6.4	Anantera mago koranke hosi atiramino egeno, hosi afumofo agofetu'ma maninemofona hanave amigeno, rimpa fruma erino mopafi mni'zana eritregeno, vahe'mo'za ohefri ahefri hanazegu, bainati kazina agrira ami'ne. (Mat 24:6-7)
REV.6.5	Anante nampa 3 fukima rekamare'nea avontafe Agrama eri kanonepegeno, kasefa huno mni'nea nampa 3 zgamo'a anage hu'ne, eno. Hige'na koana mago hanike hosi egeno, ana hosimofo agofetuma mni'nemofona makazama refko huno kna'ama ke'za sigeli azampina me'ne. 
REV.6.6	Hagi anantera antahugeno monagemo'ma hiaza huno 4'a kasefa hu'za mni'naza zgaramimofo amu'nompintira anage hu'ne, mago knamofo erizante miza eriakna huno mago osi witi ku erigeno, mago knamofo erizante miza eriakna huno, 3'a onesisi bali enerinka, masavene waininena eri haviza osunka atregeno me'no hu'ne.
REV.6.7	Anantera sipisipi anentamo'a avontafema nampa 4 fukima rukamare'nea eriganopegeno, kasefa huno mani'nea nampa 4 zgamo'a eno! hu'ne. 
REV.6.8	Higena anantera kogeno, kanifuge hosimofo agofetuma mni'nemofona agi'a, frizane huno me'ne. Higeno fri vahe kumamo'a amage avaririno ne-egeno, vahema zmahe fri hanave amigeno, 4'a kevu vahema maninafintira, mago kevu vahera bainati kazinu'ene, agama atezamo'ene, krimo'ene ama mopafi afi zgamo'zane, tusi zgamo'za zamahehana hanage'za frigahaze.
REV.6.9	Anantera sipisipi anentamo'ma avontafera nampa 5 fukima rukamare'nea eri kanonepegeno, kre sramnavu ita agafafintira, Anumzamofo ke'ma nentahiza amage'ma nentazageno, zmahage'za fri'namoza, 
REV.6.10	ranke hu'za kezati'za, Ramoka Ruotge hunka tamage nehamoka, Kagra tagri koramofo nona'a, nazupa keaga huzmantenka mopafima mni'naza vahera refko huzmantegahane? hu'naze. 
REV.6.11	Hagi efeke kukena anamokizmia hunezmanteno, akoheta osia knafina mani fru hunenkeno, mago'a Anumzamofo naga ene neramafugizmia, tamagri'ma tamahe fri'neaza hu'za zamahe fri vgareteno huno hu'ne.
REV.6.12	Anante avontafetema nampa 6 fukima rekamarenteneana, Agra eri kanopegena kogeno, tusi'a imi krefa mopafina erigeno, zagemo'a hinunke kukenagna higeno, ikamo'a korankna huno koranentike higeno, 
REV.6.13	monafi hanafitamimo'a, hanave zahomo fiki zafamofo eritagosi higeno afuore rgamo tagiramiaza huno, mopafi atafri rami'naze. 
REV.6.14	Hagi negogeno monamo'a sagane huno, harontafe regazarino neviankna huno nevigeno, maka agonamozane, ti amu'nompi me'nea mopamo'za kuma'zamia atre'za vu'naze. 
REV.6.15	Anantera ama mopafi kini vahe'mo'zane, mrerisa vahe'mo'zane, harafa vahe'mo'zane, feno vahe'mozane, hanave vahe'mo'zane, maka kazokzo eriza vahe'mo'zane, fru hu'za mani'naza vahe'mo'za, zamagra havegampine, agonafi me'nea havefi fraki'naze. 
REV.6.16	Ana nehu'za agonamofonku'ene havemofonkura anage hu'naze. Tagri tagofetu eraminka, kini tratema maninemofo avure'ene, sipisipi anentamofo rimpa herante zampintira refiteranto, 
REV.6.17	Na'ankure Anumzamofone, sipisipi anentamoke znarimpama, kumi vahema aheznante'za refkoma ha'a rankna hago efore nehianki, iza zanavurera otigara hu'ne? hu'za hu'naze.
REV.7.1	Anama hutegena kogeno, 4'a rugaraga asoparega ama mopamofona ankero vahe'mo'za otine'za, 4'a kaziga e'neria zahora zmazampi azerinageno, mopafine hagerimpine, zafafinena zahora e'orine. 
REV.7.2	Hagi anantera kogeno mago ankeromo'a zage hanati kazigati ehanatino, manivava Anumzamo hunagru huno nagrizane hu'nea avame'za, erineno mopane hagerine eri haviza hugahaze huzmante'nea 4'a ankero vahera ranke huno zmasamine. 
REV.7.3	Mopane hagerine, zafaraminena zmazeri haviza osu'nenketa, Anumzamofo kazokzo eriza vahetamimofo kokovite avame'zana rekamre antetaneno hu'ne. 
REV.7.4	Anantera antahugeno avame'za rekamre zmante'nea vahema hamprineana 144 tauseni'a mni'naze. Ana vahera maka Israeli mofavre'ramimofo naga nofipinti vahetami hamprine. 
REV.7.5	Juda nagapintira 12 tauseni'a huhamprino, avame'za rekamrezmanteno, Rubeni nagapintira 12 tauseni'a huhamprino, avame'za rekamre zamanteno, Gadi nagapintira 12 tauseni'a huhamprino, avame'za rekamre zmanteno, 
REV.7.6	Asa nagapintira 12 tauseni'a huhamprino, avame'za rekamrezanteno, Naftali nagapintira 12 tauseni'a huhamprino, avame'za rekamrezmanteno, Manase nagapintira 12 tauseni'a huhamprino, avame'za rekamre zmanteno 
REV.7.7	Simioni nagapintira 12 tauseni'a huhamprino avame'za rekamrezmanteno, Livai nagapintira 12 tauseni'a huhamprino, avame'za rekamrezmanteno, Isaka nagapintira 12 tauseni'a huhamprino, avame'za rekamre zmanteno 
REV.7.8	Zebuloni nagapintira 12 tauseni'a huhamprino, avame'za rekamrezmanteno, Josefe nagapintira 12 tauseni'a huhamprino, avame'za rekamre zmanteno, Benzameni nagapintira 12 tauseni'a huhamprino, avame'zana rekamrezmantene.
REV.7.9	Anazama hutegena kogeno, tusi'a vahekrefa mago'mo'e huno hamprigara osu'nea vahe'mo'za maka kumapinti ene, naga nofipinti ene, vahepinti ene, maka agerupinti ene, Sipisipi Afu Anentamofo tra'mofo avuga, efeke zaza kukena hu'ne'za, zmazampina tofe zafamofo ani'na hantagi'za erine'za oti'naze. 
REV.7.10	Zamagra ranke hu'za anage hu'naze, tagri Anumzama tratema mni'nemo ene, Sipisipi anentamo'ene, tagu'vazine tahokehena'e hu'za hu'naze. 
REV.7.11	Mika manigagi'naza ankero vahe'mo'zane, ugagota kva vahe'mo'zane, 4'a kasefa hu'za mni'naza zgamo'za, kini tramofona manikanegi'za zmavugosaregati zmarenare'za umase'za, Anumzamofona mono hunte'za, 
REV.7.12	amanage hu'naze, tamage, husgama huntezane, ra agine, knare antahizane, muse huntezane, antahisga huntezane, hihamune hankavea Anumzamo eri vava hugahie tamage hu'naze!
REV.7.13	Anante 24'a ugagota kva vahepinti mago'mo nantahigeno, amama efeke zaza kukenama hu'nazana, zamagra iza'za mni'ne'za, igati zmagra e'naze? Hige'na, 
REV.7.14	nagra anage hu'na asami'noe, Ranimoka kagra antahinane hu'na hugeno, Agra anage huno nasami'ne, ama'i zmagra tusi'a hazenkezampi ufretageno ha' vahe'mo'za nezamahazageno, zaza kukenazamia Sipisipi Anentamofo koranteti sese hugaru huzmantageza efeke hu'namoze. 
REV.7.15	Na'ankure ama ana agafare, Anumzamofo kini tra avuga oti'ne'za hanine zgenena Agri ra mono nompi eri'zama'a erinentazankino, tratema mni'nemo'a, Agra kegva huzmantegahie. 
REV.7.16	Zamagrira zmagamate'zane, tinku zmavesizane omnena, zge hara zmave'osina, amuhogura osugahaze. 
REV.7.17	Na'ankure tra'mofo amunompima mni'nea Sipisipi anentamo, kegva huzmanteno asimu erino mni tinkapuite vanigeno, Anumzamo maka zamavunura eri homu huzmante vgaregahie huno hu'ne.
REV.8.1	Hanki anante Sipisipi anentamoma avontafeteti nampa 7ni fukima eri kanopegeno, monafina hafu'a auafi 
REV.8.2	Anantera Anumzamofo avuga 7ni'a ankero vahe oti'namokizmia 7ni'a ufe eri nezamizage'na ke'noe. 
REV.8.3	Anantera mago ankeromo kolire tro hunte'nea zuompa erineno kresramna vu itare eme otigeno, Anumzamofo kini tramofo avuga kolire tro hunte'naza kre sramnavu itare Anumzamofo nagamokizmi nunamune erinteno kresramna vanigu rama'a mananentake'zana ami'ne. 
REV.8.4	Hagi mananentake zamofo tevegumo'ene, Anumzamofo nagamofo nunamumofo mna'amo'a, ankeromofo azampinti mrerino Anumzamofo avure vu'ne. 
REV.8.5	Anantera ankeromo'a zuompa erino kre sramnavu itaretira, kolire tro hunte'naza zuompafi tevea tagino eri aviteteno, matevuno mopafi atregeno, tusi'a monage nehigeno, kopsina e'nerigeno, imi eri'ne.
REV.8.6	Hanki anantera 7ni'a ankeromo'za 7ni'a ufe erine'za, ufe renaku retro hu'naze.
REV.8.7	Ese ankeromo uferegeno, komopa ko'ene korane tevea eri havia hu'neana, zamagra mopafi matevu'za atrazageno, tagufa kevufintira, mago kevu mopamo'a teveregeno, tagufa kevu zafafintira, mago kevu zafamo'za teverazageno, maka zafa sinage trazamo'za tevere'naze.
REV.8.8	Nampa 2 ankeromo ufe regeno, ra agona gnazamo'a teve neregeno hagerimpi mate vuno atregeno, tagufa hageri me'nefintira, mago hagerimo'a koranke higeno, 
REV.8.9	tagufa kevu hagerimpi zagrami mni'nafintira, mago kevumo'za frizageno, tagufa kevu venterami me'nefintira, mago kevu ventemo'za haviza hu'naze.
REV.8.10	Nampa 3 ankeromo'a uferegeno, ra hanafimo monafinti teve taginaku kasagsa hu'za taginafa hiankna tavimo remsa huno atafariramigeno, tagufa kevu tira me'nefinti mago kevu tirante'ene osi tinte ene kampui tinte'ene takaure'ne. 
REV.8.11	Ana ofumofo agi'a Akahene, hu'za hu'naze. Tagufa kevufinti, mago kevu timo'za akahazageno, rama'a vahe'mo'za ana tina nene'za fri'naze. Na'ankure ana timo'a akahunegeno'e.
REV.8.12	Nampa 4 ankeromo'a ufe regeno, zgemofona tagufa kevu refko higeno, ikamofona tagufa kevu refko higeno, tagufa kevu hanafitami me'nefintira, magoke magoke kevuzmia amasagigeno haninkine. Mago zge ferumofoma tagufa kevu msama me'nefintira, mago kevu msamo'a hani hu'ne. Hanimo'enena anazanke hu'ne. (Mat 24:29)
REV.8.13	Anantera negena antahugeno, mago tumpamo monamofo amunompi hareno enevuno, ranke huno anage hune, kva hiho, kva hiho, mopafima maninaza vahemota hazenke ne-eanki kva hiho, na'ankure 3'a ankero vahe'mo'za ufena orenazankiza, kofa knafi ufena regahaze!
REV.9.1	Anantera nampa 5fu ankeromo'a ufe regeno, monafinti hanafimo'a mopafi atafariramigena kogeno, riga omne kerimofo kinofira ami'ne. 
REV.9.2	Higeno agra riga omne keria anagigeno, tusi teve nerefinti atiramino eviankna huno, ana kerifintira teve tokimo'a evu'ne. Zgene zahomofona ana kerifinti teve tokimo refitegeno tusi hani hu'ne. 
REV.9.3	Anantera ana teve tokipinti kenutamimo atiramino ama mopafi evigeno, segintavemofo hanavema ama mopafima ami'neaza huno hanave zami'ne. 
REV.9.4	Hanki ana kenutamimofonkura anage huno zmasamine, mopafima me'nea trazana eri havizana osuge, zafasinage huno me'nea trazana eri havizana osuge, zafa eri havizana osiho. Hianagi Anumzamo hunagru hu'nea avame'zama kokovitema rukamre onte'nesia vahe'mokizmige zmazeri havizana hiho hu'ne. 
REV.9.5	Ana nehazageno anage huno huzmante'ne, vahera zmahe ofrigahazanagi, 5fu'a ikamofo agu'afi zmatazanke zmiho huno huzmante'ne. Ana zamatazama zami'nea knazamo'a segintavemo'ma vahe'ma zmaprigeno zmatama kriankna zmata krigahie. 
REV.9.6	Hanige'za ana knafina vahe'mo'za frisaza kanku hakaregahaze. Hianagi ofritfa nehu'za, frinaku hugahazanagi frizamo'a zamagritetira fresige'za ofrigahaze.
REV.9.7	Hanki ana kenu tamimofoma ke'noana avu'ava'zmimo'a hosimo hate vunaku retro hiankna nehazageno, zmasenirera kolire tro hunte'naza kini fetori knaza megeno, zmavugosamo'a vahe'mofo zmavugosagna hu'ne. 
REV.9.8	Zmazokamo'a anemofo zmazokamoma hiaza huno zaza higeno, zmavemo'a laionimofo avemo'ma hiankna hu'ne. 
REV.9.9	Zamimizarera hankomo'a me'ne, ana hankomo'a, aenire hankogna hu'ne. Zmagekonamofo zmagasasa kemo'a, hosiramimo renteno avazu huno nevia zamo, hate vunaku agareno neviankna agasasaru'ne. 
REV.9.10	Ana kenutamimofona zmarisona me'negeno, ana zmarisonamo'a segintavemofo risonagna hu'negeno ana risonanu vahera nezamare. Ana risonamofona 5fu'a ikampi vahe'mofona zmatama zami hanave'a zami'ne. 
REV.9.11	Hanki zamagrira mago kinimo kegva huzmante'ne, ana kinia ariga omne kerimofo kva ankeronkino, agi'a Hibru kefina Abadonie (fri'ne hune) huza nehaze. Mikaza eri havizahu nere nehu'za, Griki kefinena Apolonie huza agi'a neheze.
REV.9.12	Hanki nampa 1ni knazankuma kva hiho hu'nea knazamo'a evigeno, tare knazamo ne-eanki kva hiho.
REV.9.13	Anante nampa 6si ankeroma uferegeno, nagra antahugeno Anumzamofo avurega kolire tro hunte'naza kresramnavu itareti 4'a pazive me'nefinti mago'mo huno, 
REV.9.14	nampa 6gisi ankeromo ufema erinemofona ana agerumo'a asamino, Yufretis rantintema 4'a ankerona anaki zmantenazana katufe zmantrenke'za viho huno hu'ne. 
REV.9.15	Hanki 4'a ankeroma retroma huzmantege'za mni'naza ankerona katufe zmatrenige'za ana auagi, ana zge knagi, ana ikanki, ana kafumofo kna fatgore, 3'a kevu refko vahera hu'za, mago kevu vahe'mokizmia mika zmahe vgaregahaze. 
REV.9.16	Hagi hosi agumpima mni'naza ha' vahe'mokizmi nampamo'a 200 milioni'a mni'naze nehigena antahi'noe. 
REV.9.17	Hagi amanahu'za avanagnazama kofina ke'noe, hosi afu tamimofo agumpima mni'ne'za eri'za nevaza vahe'mo'za zmimizarema rufite'naza hanko zmimofo avoma'amo'a, koranke nehigeno, hokonke nehigeno, kaninkruke nehigeno, tevene salfa havemo toki nehigeno, ana hosi afutamimofo zmagenopamo'a laioni agenopagna nehigeno, zmagipintira tevene, salfa havemo'a toki hiankna huno atiramino evu'ne. 
REV.9.18	Zmagipintima evu'nea tevemoki, salfa haverema nerea tevemo, ana 3'a knazamo maka kokankonka 3'a kevu vahepinti, mago kevu vahera zmahe vgarege'za fri'naze. 
REV.9.19	Na'ankure hihamu hanavemo'a ana hosimofona zamagipine zmarisonafine me'ne. Ana hosimofona zmarisonamo'a, osifavegna huno asenia huntegeno, ana aseniretira vahe'mofona hazenke zamigahaze.
REV.9.20	Hagi ana knazamo'ma ozmahege'za mni'naza vahe'mo'za, kumi'ma hu'naza zankura zmagu'a rukrehera nosu'za, hankromofona mono hunonte'za, zamagra'a zmazampinti kolire'ene silvare ene brasire'ene havere'ene, zafa atupare'ene, zmavua onkege zmagesa ontahige kaza osu'za tro hunte'naza zante monora hunte'naze. 
REV.9.21	Ana nehu'za vahema zmahe nefriza, avuatga ha' nehu'za, monko avu'avama nehu'za, kumzafama nesaza zankura magomo'e huno agu'a rukrehe osu'ne.
REV.10.1	Anante mago hanavenentake ankero kogeno, mona atreno eramigeno kukena hamponu hunteno, furegenamo asenire me'geno, avugosamo'a zgegna higeno, agimo'a no azeri hanaveti avempa zafagna huno teve anefa hu'ne. 
REV.10.2	Azampina osi avontafe vakarente'nea eri'ne. Ana ankeromo'a tamaga agia hagerimpi reno, hoga agia mopafi reno otineno, 
REV.10.3	ranke huno laionimo ageru neriankna huno agerura nerigeno, 7ni'a monage'mo'za zmagerura ru'naze 
REV.10.4	Ana zmagerura nerazagena, avompi krentenaku nehugeno'a, monafinti anage huno hu'ne, 7ni'a mona ageruma antahinana eriginka rekamrenentenka, avontafepina kreontenka atregeno frakino meno huno hu'ne. 
REV.10.5	Anantera kogeno hagerimpima tamaga agama nenteno, hoga agama mopare'ma ante'nea ankeromo'a tamaga azana monafinka rusute'nagamu atreno, 
REV.10.6	huvempa kea mnivava nehimofonte huno, 
REV.10.7	Hianagi nampa 7ni ankeromoma ageruma runakuma nehigeno'a, Anumzamo'ma oku'a ante'nea kea, kasnampa eriza vahetema asami'nea kemo'a efore hugahie.
