MAT.1.1	Ho’oy tulurn empo de Mori Yésus Kristus, wa’u di Daud, wa’u di Abraham. 
HEB.10.22	Landing hitu, mait ga ité ngo cumang Mori Keraéng ali molor nai agu metek imbi; ai nai dité poli pandé nggélokn oné-mai ici nai da’at agu weki dité poli cebong le waé gélon. 
HEB.10.23	Mait ga ité metek tu’ung oné tura latang te bengkes dité, ai Mori Keraéng toé manga reké adongN. 
HEB.10.24	Mait ga ité, kéngko taud te rani-nai agu racang rak oné momang ali pandé ata di’ad. 
HEB.10.25	Ité kali nai ca anggit te ngaji cama laing, néka ngondé holes ného pandé de pisa taus ata. Mait ga ité toing cama taud, ai pecing lité te leso de Mori Keraéng ruisn ga.
HEB.10.26	Ai émé ité kunjung kéta pandé ndékok, kalim po ité poli pecing do keréba molor, ngong toé kéta manga kolé hélang te ngancéng koso ndékok situ. 
HEB.10.27	Ngot ata mangan kali, géréng kaut beté-bicar de Mori Keraéng agu dila haok kéta api rabon hitut ngkewang taungs sanggéd ata lawang Hia. 
HEB.10.28	Landing saka-si de sua ko telu tau ata, hia ata toé lorong Adak di Musa, wahéng mata muingy, toé manga ampongn. 
HEB.10.29	Nuk kaut, leng kéta mendon wahéng hitut paka tiba lata hitut wedi le wa’is Anak de Mori Keraéng. Hia pandé rinek dara hitut poli reké de Mori Keraéng, ngong dara di Kristus ata poli pandé nggeluk hia. Hia kolé poli loér Nai Nggeluk ata poli tabing widang! 
HEB.10.30	Ai ité pecing Hia hitut taé:
HEB.10.30	“Léko hitu hak Daku. Akuy kali ata soléng léko.”
HEB.10.30	Agu ho’o kolé taéN:
HEB.10.30	“Mori te beté-bicar ro’éngn.”
HEB.10.31	Da’at kéta tu’ung émé wahéng le limé de Mori Keraéng hitut téing mosé.
HEB.10.32	Asé-ka’én, nuk de-di’a mosé de méu danong. Du hitu, du méu poli tiba géraks, do ngkalis méu tili-mboét oné ta’ong susa. 
HEB.10.33	Du méu loér latam agu ta’ong susa bolo-mai ranga data do, nggitu kolé méu lut ta’ong susa le ita isét loér latas. 
HEB.10.34	Bo tu’ung, méu poli lut oné ta’ong susa de sanggéd ata siot hena le wahéng. Du enggerep latas paéng de méu, tiba kauts le méu ali nisang nai, ai pecing le méu, te méu tiba paéng ceca ata céwé di’an agu céwé makengn. 
HEB.10.35	Landing hitu, metek kin imbis, ai mésén lahén hitut ngai géréng. 
HEB.10.36	Méu paka gepek, kudut méu ngancéng lorong wintuk de Mori Keraéng, wiga méu tiba apa ata poli reké Diha. 
HEB.10.37	Manga tulis oné Surak Nggeluk:
HEB.10.37	“Ai ruisn ga, toég don sokor.
HEB.10.37	Hia hitut mai te cai gi,
HEB.10.37	toé manga renggé kolén.
HEB.10.38	Maik ro’éng Daku situt molor, te mosé ali imbis.
HEB.10.38	Émé manga ata hedong kolé,
HEB.10.38	Aku toé henan latang te hia.”
HEB.10.39	Ité ho’o toé ata hedong kolé ko ata wéléng, maik ata imbi agu tiba mosé.
HEB.11.1	Imbi hitu, ligeng de sanggéd situt bengkes dité, agu tanda oné-mai sanggéd situt toé itas lité. 
HEB.11.2	Ali imbi, Mori Keraéng henan oné isét bolo-mai ité.
HEB.11.3	Ali imbi, idep lité te tanan wa awangn éta, parn awo kolepn salé, poli dédék le reweng de Mori Keraéng. Jari, apa ata itad, poli jarid oné-mai apa ata toé itad.
HEB.11.4	Landing le imbin, hi Abél poli takung oné Mori Keraéng ata céwé di’an oné-mai takung di Kain. Ali hitu, Mori Keraéng tiba hi Abél ata céwé molorn, ai takung diha henan le Mori Keraéng. Ai le imbin, konem po poli matan maik hia ngai tombo kin dengkir te ho’on.
HEB.11.5	Landing le imbin, hi Hénokh tara héndéng nggere-éta Surgan, wiga toé matay, ai Mori Keraéng poli téti hian. Ai lut Surak Nggeluk, du toéd tétin, hi Henokh kopn oné Mori Keraéng. 
HEB.11.6	Maik émé toé manga imbi, toé manga ata kopn oné Mori Keraéng. Ai céing ata holés nggere-oné Mori Keraéng, ata hitu paka imbi te Mori Keraéng hitu mangay. Hia kolé paka imbi te Mori Keraéng téing lahé oné ata situt tu’ung-tu’ung kawé Hias.
HEB.11.7	Le imbin, hi Noé poli langgan le Mori Keraéng latang te cao-ca situt toéd ita. Hia lorong jér de Mori Keraéng te ambi kepal kudut selamak haé kilon. Lino ho’o hena le wahéng, maik hi Noé rékéng le Mori Keraéng ca ata molor lorong agu imbin.
HEB.11.8	Le imbin, hi Abraham lorong bénta de Mori Keraéng te ngo nggere-oné tana hitut te tiba diha ciri tana mbatén. Itu kali ngon hia, koném toé mopo liha niay wan tana hitu. 
HEB.11.9	Le imbin, hia ka’éng ného cengata ata long oné tana hitut baté reké; nitu hia ka’éng oné ndéi. Nenggitu kolé hi Ishak agu hi Yakub ata tiba reké hitut camas agu hi Abraham oné-mai Mori Keraéng. 
HEB.11.10	Ai hi Abraham, rémé géréng béndar hitut tédéng lén ata nanéng agu pandé le Mori Keraéng.
HEB.11.11	Le imbin, hi Abraham ngancéng kin manga waén, koném po hi Sara toé wingy agu weki run kolé hia lopo donggok gi. Ai imbi tu’ung liha, te Mori Keraéng hitu junggu oné rekéN. 
HEB.11.12	Itup tara oné-mai hi Abraham, ngot toé réwa gi, tuan wa’u do ata toé ngancéng rékéngd ného ntala éta awang agu laing lupi tacik.
HEB.11.13	Oné imbi, sanggéd taung isé siot poli carod éta hio bao, polis matad ga. Sanggéd isé situ, toé manga tiba apa hitut poli reké de Mori Keraéng, maik lélo tadang main kaut agu soé kaut liméd. Ali hitu, tura lisé te isé ata long agu mbéot oné lino ho’o. 
HEB.11.14	Isé situt curup nenggitu, te toto mésén kembung kawé tana kuni agu kalo. 
HEB.11.15	Émé nuk kin lisé, kuni agu kalod hitut poli ledong lisé, remo kin manga sokor te kolé nitus. 
HEB.11.16	Maik te ho’on ga, isé kembung tana kuni agu kalo ata céwé di’an, ngong tana kuni agu kalo éta Surga. Ali hitu, Mori Keraéng toé ritaky te caro Mori Keraéng diséy, ai Hia poli ambi ca béndar tédéng lén latang te isé.
HEB.11.17	Le imbin, hi Abraham takung anak lécan hi Ishak du ci le Mori Keraéng, koném po hia poli tiba reké 
HEB.11.18	agu poli taé le Mori Keraéng, “Waé di Ishak hitu te caro wa’u de hau.” 
HEB.11.19	Ai imbi li Abraham, te Mori Keraéng manga kuasan pandé mosé kolé hi Ishak, koném po poli matan. Noing li Abraham néhot poli tiba kolén hi Ishak oné-mai matan.
HEB.11.20	Le imbin, hi Ishak téing berkak oné hi Yakub agu hi Ésau te leso tain.
HEB.11.21	Le imbin, hi Yakub du turung matan berkak taung anak di Yusuf, bérit oné sa’i dongkarn cang agu suju Mori Keraéng.
HEB.11.22	Le imbin, hi Yusuf du turung matan tombo latang te pé’angd wa’u Israél oné-mai tana Mesir, agu reding pedé co’oy pandén rapu diha émé poli matan.
HEB.11.23	Ali imbid, ata tu’a di Musa ceha hia tédéng telu wulang du poli loasn. Ai ita lisé, anak koé hitu reba di’an agu isé toé rantang perénta de raja.
HEB.11.24	Ali imbi, hi Musa du tu’an, ogoy te caro anak oné-mai anak iné-wai de raja Firaun. 
HEB.11.25	Hia céwé ngoéng ta’ong susa cama-cama agu ro’éng de Mori Keraéng, po mosé minak dokong oné-mai ndékok. 
HEB.11.26	Rékéng li Musa, céwé di’a mericuy landing hi Mesias, ngong raja ata reké le Mori Keraéng, po tiba bora mésé oné-mai tana Mesir. Hi Musa bengkes lahén du leso tai.
HEB.11.27	Le imbin, hia poli ledong tana Mesir agu toé rantang rabo de rajay. Hia lako ruda kin, néhot hia poli ita Mori Keraéng ata toé ngancéng ita lata.
HEB.11.28	Ali imbin, hia pandé adak hang Paska agu palas para mbaru le dara, wiga malekat ata pandé ampus toé mbelé sanggéd anak ngaso diset Israél.
HEB.11.29	Ali imbid, wa’u Israél ngancéng limbang Tacik Teberau, néhot lagé tana masa kaut. Maik ata Mesir delep kéta taungs du damang limbangn lisé.
HEB.11.30	Ali imbi, ata Israél pandé renco taungs turéng de béndar Yérikho, du isé lilik béndar hitu tédéng pitu leso.
HEB.11.31	Ali imbin, hi Rahab iné-wai mbérong hitu, toé lut ampusy agu ata siot toé lorong Mori Keraéng, ai hia poli tiba di’a isét ngapéng data Israél.
HEB.11.32	Apa kolé ata paka carod laku? Ai aku toé manga sokorg, émé kudut tombo taungs latang te hi Gidéon, hi Barak, hi Simson, hi Yéfta, hi Daud, agu hi Samuél agu sanggéd nabi. 
HEB.11.33	Ali imbid, isé poli pandé koda sanggéd raja. Isé toto molor, wiga tiba apa situt poli reké de Mori Keraéng. Ali imbid: isé ngancéng tadu mu’u de sanggéd Singa, 
HEB.11.34	ngancéng pandé pesa api hitut dila-haok, cépé oné-mai sempilang, tiba mberes oné les, ciri mberes oné rampas wiga pandé kodas serdadu ata dungkang isé. 
HEB.11.35	Le imbid, sanggéd iné-wai poli tiba koléd sanggéd kilo disé situt poli matad, ai mosé kolés tai. Manga kolés ata ngoéng tiba wahéng dengkir matad agu ogos te céla oné-mai susad, ai bengkes te mosé kolés oné mosé ata céwé di’an. 
HEB.11.36	Ata iwod kolé tiba loér, tiba luca, pangkot le ranté agu na’a oné buis. 
HEB.11.37	Iwod kolé ga, peké le watus, poro le gergajis, mbelé le sempilangs. Isé ngo mbéots papé ceca oné-mai luit jimbal agu luit mbé; isé lenggé denduts, ta’ong susa agu hena le wahéngs. 
HEB.11.38	Lino ho’o, néhot osang toé kopn latang te isé. Isé mbéot oné satar mambaks agu oné poco, ka’éng oné liang agu oné ngero. 
HEB.11.39	Maik sanggéd taung isé toé manga tiba apa ata poli reké de Mori Keraéng, koném po isé poli toto molor ali imbid. 
HEB.11.40	Ai Mori Keraéng poli ambi cao-ca ata céwé di’an latang te ité; ai émé toé cama-cama agu ité, isé kolé toé ngancéng ciri besiks.
HEB.12.1	Baling-mai ité manga do saka-si. Mait ga ité, oké taungs mendo agu ndékok situt pandé do’ong ité. Agu paka metek tu’ung te lut rié ho’ot manga bolo-mai ranga dité ga. 
HEB.12.2	Mait ga, mata dité paka jeténg nggere-oné Mori Yésus, ai Hia dé ata pandé kéngko agu tinu imbi dité pu’ung du wangkan dengkir agu cemoln. Mori Yésus poli ta’ong susa oné haju panggol. Toé rékéng Liha te mata oné panggol hitu pandé ritak laing. Nuk Diha kali cembes latang te mosé nggere-olon. Te ho’on ga, Hia lonto oné racap wanang seriga de Mori Keraéng kudut cama-cama cau adak. 
HEB.12.3	Damang dé nuk, co’o kétay mendon susa de Mori Yésus te dungkang sanggéd ata ndékok ata lawang Hia, kudut méu kolé néka merik nais agu néka cubam. 
HEB.12.4	Oné gempur de méu te dungkang ndékok, méu toé manga bowo daras di. 
HEB.12.5	Néka hémong toing ho’o de Mori Keraéng kamping méu, néhot toing agu Anak Run:
HEB.12.5	“Oé anak daku, néka émo-among kaut toing de Morim.
HEB.12.5	Néka merik nais émé rabo méu Liha;
HEB.12.6	ai Mori luca ata situt momang Diha,
HEB.12.6	agu mecék ata situt tibas Liha ciri anak.”
HEB.12.7	Émé méu tiba wahéng oné-mai Mori Keraéng, Hia rékéng méu ného anak de Run. Asa weli ga, manga dé’it anak ata toé mecék le eman ko? 
HEB.12.8	Émé méu toé dé’it hena le wahéng, hitut paka kélo néténg ata, méu ciri anak bera, toé anak wua tuka. 
HEB.12.9	Nggere-olon ga: Oné-mai ema dading, ité tiba toing agu titong agu hiangs lité, apan kolé latang te Ema dité éta Surga, paka céwé hiang lité kudut haéng mosé tédéng lén. 
HEB.12.10	Ema dading dité toing agu titong ité ké’ét kaut apa ata di’an lorong nuk de rud. Maik Mori Keraéng wahéng latang te di’a weki rud ité, kudut ité ciri nggeluk cama ného Hia. 
HEB.12.11	Bo tu’ung du tiba lité wahéng hitu toé manga cembes nai laing, maik cama ného pandé susa. Maik poli hitu, wahéng hitu pandé te mosé ité lorong ngoéng de Morin, agu cir wua hambor oné isét toing agu titong Liha.
HEB.12.12	Landing hitu, pandé mberes koé limé hitut les agu tu’us hitut jejery. 
HEB.12.13	Helek koé salang lakom, boto nggésoy wa’i hitut sengge-soat, maik ciri inay.
HEB.12.14	Mping koé te mosé hambor-libur agu sanggén ata, agu tili-mboét kolé te dolong mosé nggeluk. Ai émé toé nggeluk, toé manga cengatan ata ngancéng ita Morin. 
HEB.12.15	Jerék koém: boto manga cengatan ata mora tabing de Mori Keraéng, te ciri waké pa’it ata pandé rasung laing, wiga mangan ngai-ngaok agu rowak mosé ka’éng cama. 
HEB.12.16	Néka manga ata siot pandé nelung ko manga belek da’at, ného hi Esau hiot pika hak ngason latang kaut ca piring hang. 
HEB.12.17	Ai musi-main pecing le méu, hi Esau toé laong tiba berkak, ai hia toé manga sokor te holes kolé oné-mai salan, koném po ndurus waé lu’un nanang te tiba berkak hitu.
HEB.12.18	Toé cama ného wa’u Israél oné poco Sinai danong, méu te ho’on ga, toé ngo nggere-oné cao-ca ata ngancéng cégot agu api dila-haok, oné ranggeng, nendep, agu buru warat. 
HEB.12.19	Agu toé kolé ngo oné runing de terompét agu runing ngengut kéta, wiga gesar lisé kudut runing hitu néka manga kolé tombo agu isé. 
HEB.12.20	Ai isé toé ta’ong séngét perénta de running hitu, ata nenggo’o taén, “Céing kaut ata cégot poco ho’o, ata ko kaka, paka peké le watu dengkir matay.” 
HEB.12.21	Apa hitut ita le wa’u Israél leng tu’ung rangopn, wiga mai taé di Musa, “Aku rantang agu jejer kétak.” 
HEB.12.22	Maik méu te ho’on ga, mai cé’é Golo Sion, oné béndar de Mori Keraéng hitut téing mosé, ngong Yérusalém éta Surga ata penong le malékat. 
HEB.12.23	Méu lut ca impung ata ramé kéta, ngong nekek weki de sanggéd anak ngaso de Mori Keraéng ata manga ngasangd éta Surga. Méu mai kamping Mori Keraéng hitut beté-bicar sanggén ata. Méu mai kamping sanggéd ata nggeluk situt poli pandé besikd. 
HEB.12.24	Méu mai kamping Mori Yésus, ata Létang témba reké weru, agu kamping daraN hitut poli wecar, ata céwé mberes pa’arn oné-mai dara di Abél.
HEB.12.25	Jerék koém, méu paka tiba agu séngét Hia hitut ban curup hitu. Isét ogo te séngét Hiat mai oné lino ho’o ata ba keréba de Mori Keraéng, toé ngancéng célad oné-mai wahéng. Apan kolé ité te ho’on, émé ité hedong oné-mai Hia hitut curup éta-mai Surgan. 
HEB.12.26	Du hitu danong, rewéng Diha pandé gégo lino ho’o, maik te ho’on Hia téing reké, “Cengkalin kolé, Aku te pandé gégo toé hanang lino, maik awang kolé.” 
HEB.12.27	Taé “Cengkalin kolé” ngong lino ho’o ata poli dédék te gégoy agu te hésingy, wiga ata retangn kali ga hanang situt toe ngancéng gégos. 
HEB.12.28	Jari, mait ga ité wali di’a agu ngaji kamping Mori Keraéng, ai ité tiba adak ata toé ngancéng gégoy. Mait ga ité wali di’a agu ngaji te hiang Hia, lorong wintuk ata patun Liha. 
HEB.12.29	Ai Mori Keraéng dité pandé ampus, ného api hiot pandé muntung.
HEB.13.1	Bengkes daku, nahé méu momang-tau kis ného asé-ka’é ca imbi! 
HEB.13.2	Néka wengel méu te tiba meka oné mbarus, koném toé di pecing le méu meka hitu. Ai le pandé nenggitu, manga dé’it ata, ata toé noing liha, kali malékat meka hitut tiba diha. 
HEB.13.3	Nuk koé ata siot oné bui, ai weki rus kolé méu néhot ata buim. Nuk kolé ata siot rendaks lata, ai weki rus méu kolé ngai mosé kis oné lino ho’o. 
HEB.13.4	Poro sanggés taung méu hiang mosé ka’éng kilo, néka lagé locé toko, ai Mori Keraéng te beté-bicar sanggéd ata nelung agu ata mbérong. 
HEB.13.5	Méu néka ciri mendi de séngm, maik nisang kaut nais ali apa ata manga oné méu. Ai Mori Keraéng poli taé, “Aku toé kéta ledong méu oné leso agu pencang oné wejang.”
HEB.13.6	Landing hitu ali imbi tu’ung, ité ngancéng taé nenggo’o,
HEB.13.6	“Morin ata campé aku. Aku toé rantangk.
HEB.13.6	Apa néng ata ngancéng pandé le manusia latang te aku?”
HEB.13.7	Nuk di’a-di’a latang te sanggéd tu’a de méu situt poli tombo rewéng de Mori Keraéng oné méu. Idep de-di’a du moséd agu du cemol moséd, tunti koé le méu imbi disé. 
HEB.13.8	Mori Yésus Kristus hitu cama kéta kin, pu’ung du wangkan, te ho’on agu tédéng lén. 
HEB.13.9	Néka lut le méu sanggéd toing situt melet, ata pandé wéléng méu. Ai ata di’an, nai de méu ndeng hanang le tabing de Mori Keraéng, toé le sanggéd wintuk latang te hang ata toé manga betuan oné isé situt lorongn. 
HEB.13.10	Ité manga ca compang. Sanggéd isét keturu laing oné ndéi, toé ngancéng hang takung ata manga oné compang hitu. 
HEB.13.11	Dara de kaka situt takung luing hélang te ampong ndékok ba le Imam Mésé oné Lo’ang Nggeluk kéta, maik tobo de kaka situ tapa be pé’ang-mai ndéis. 
HEB.13.12	Itu dé tara Mori Yésus kolé, mata be pé’ang-mai lewang bendar kudut pandé nggeluk ro’éng Diha ali dara de weki Run. 
HEB.13.13	Landing hitu, mait ga ité ngo be pé’ang-mai ndéi agu lut ciri bocik cama agu Hia. 
HEB.13.14	Ai oné lino ho’o, toé manga osang ata makengn latang te ité. Ité kawé osang ata makengn te ka’éng du mosé nggere-olon. 
HEB.13.15	Landing hitu, mait ga ité, ali létang-témba de Mori Yésus nukung tité naring Mori Keraéng agu bong ngasang Diha. Hituy takung nggeluk dité latang te wali di’a oné Mori Keraéng. 
HEB.13.16	Néka hémong pandé di’a agu campé tau, ai hitus takung ata patun oné Mori Keraéng.
HEB.13.17	Lorong koés sanggéd wintuk data tu’a laing agu junggu koém oné isé. Ai isé rinding mtaung méu, agu isé te papong oné Mori Keraéng. Wiga isé keturu ali nisang naid, toé ali tilir ata toé ba ontong latang te méu.
HEB.13.18	Ngaji koé kis latang te ami, ai imbi tu’ung lami te ici nai dami nggélok kéta kin. Oné sanggéd cao-ca ami ngoéng te pandé di’a mtaung. 
HEB.13.19	Petot tu’ung laku tegi oné méu, kudut ngaji latang te akum, wiga Mori Keraéng gélang dadé aku te kolé oné méu.
HEB.13.20	Mori Keraéng poli pandé mosé kolén Mori Yésus oné-mai ata mata. Ali mataN hitu, ho’o ga Hia ciri Ata Lami Mésé sanggéd jimbalN. Le mataN hitu kolé, pandé petok reké de Mori Keraéng tédéng lén agu ité. 
HEB.13.21	Nahé Mori Keraéng pandé jemut méu ali sanggéd ata di’an ata sékékn, te méu kudut lorong ngoéng Diha, lut hi Yésus Kristus. Latang te Hia dé, mengit tédéng lén! Amén.
HEB.13.22	Aku pedé méu asé-ka’én, kudut sanggéd toing so’o tiba le méu ali lilek de nais, koném po wokokn surak daku ho’o. 
HEB.13.23	Aku tombo kolé agu méu te asé-ka’é dité hi Timotéus, polig pé’angn oné-mai bui. Cepisa hia mai cumang akun, aku te dadé hiak ngo la’at méu. 
HEB.13.24	Caing koé le méu tabé dami, latang te sanggéd tu’a de méu agu sanggéd ro’éng ca imbi. Asé-ka’é ca imbi oné-mai Italia téing tabé kolé latang te méu.
HEB.13.25	Nahé tabing de Morin loréng sanggés taung méu.
JAS.1.1	Tabé oné-mai hi Yakobus, mendi de Mori Keraéng agu Mori Yésus Kristus, latang te campulusua panga oné tana long.
JAS.1.2	Asé-ka’é daku, émé méu pa’u oné do tarad damang, rékéng le méu ného mosé di’a. 
JAS.1.3	Ai pecing le méu, damang latang te imbi de méu hitu cir gepeky. 
JAS.1.4	Kong damang gepek hitu manga wuad ata té’é kudut méu ciri besik, toé rehong agu toé manga géong. 
JAS.1.5	Maik émé oné be réha méu manga ata géong nggalas-nai, céwé di’an hia tegi oné Mori Keraéng. Mori Keraéng te téing nggalas hitu latang te hia, ai Hia téing nggalas-nai oné sanggéd ata ali gawas agu lembak naiN. 
JAS.1.6	Poro hia tegi landing le imbi agu néka manga gégo nain, ai ata gégo nain cama ného bombang tacik hitut wéjot le buru nggere-lé, nggere-lau. 
JAS.1.7	Ata nenggitu, néka deming kudut tiba apa kaut oné-mai Morin. 
JAS.1.8	Ai ata hitut gégo nain toé manga doing meler lawang mosén.
JAS.1.9	Poro cembes koé naid weki serani ata mosé lénggé, émé pandé téti éta mosén le Mori Keraéng. 
JAS.1.10	Weki serani ata bora poro cembes kolé nain émé pandé wa’u way mosén le Mori Keraéng, ai ata bora te moray ného wéla remang. 
JAS.1.11	Du parn mata leso hitut ceres kéta kolangn, méloy ga remang hitu, loda taungs wélan agu mora taungs manikn. Nenggitu kolé dé wada data bora, te mora-meresy oné be réha sanggéd rébokn.
JAS.1.12	Mosé di’a isét ta’ong oné damang. Ai émé hia meku kéta nain, hia te tiba lahén, ngong mosé hitut poli reké de Mori Keraéng oné sanggéd ata situt momang Hia. 
JAS.1.13	Émé cengata rémé hena le damangy, néka nggo’o taén, “Damang ho’o, mai oné-mai Mori Keraéng!” Ai Mori Keraéng toé ngancéng damang le da’at agu Weki Run Hia toé manga damang céing kaut. 
JAS.1.14	Maik damang hitu hena néténg ata ali ngoéng de weki run, ai hia sorok agu kating le belek da’atn. 
JAS.1.15	Émé lut liha belek da’at hitu, belek hitu cir ndékoky; agu émé ndékok hitu té’é gi, ndékok hitu te cir ampusy.
JAS.1.16	Asé-ka’én ata momang laku, néka wéléngm! 
JAS.1.17	Sanggéd téing ata di’an agu tabing ata besikd, mai éta-maid, ngong wa’u éta-mai hi Ema ata dédék sanggéd gérak éta awang. Hia dé Mori Keraéng ata toé manga caling ko campit tara mangan nendep. 
JAS.1.18	Ali ngoéng Run, Mori Keraéng poli dédék ité ali rewengN ata molor, kudut ité ciri anak ngaso oné-mai sanggéd ata poli dédék.
JAS.1.19	Asé-ka’én ata momang laku, nuk di’a-di’a curup ho’o: gélang koé te séngét, maik héjol koé te tombo agu ta’ong te rabo. 
JAS.1.20	Ai rabo de manusia toé ngancéng pandé molor oné ranga de Mori Keraéng. 
JAS.1.21	Landing hitu, oké koés sanggéd cao-ca situt sakid, da’at situt do baild agu tiba ga ali ngéngga-nai curup situt weri oné nai de méu, ata manga kuasan latang te pandé selamak wakar.
JAS.1.22	Pandés ga le méu apa ata poli rewengn le Mori Keraéng, toé hanang séngét kanang. Ai émé toé nenggituy, ngong te méu nggopét weki rus. 
JAS.1.23	Ata siot séngét reweng de Mori Keraéng, maik toé pandés, hia cama ného cengata ata lélo ranga run bolo-mai sereméng. 
JAS.1.24	Woko poli lélon, itu kali ngon agu gélang hémong co’oy tara de weki run bao ga. 
JAS.1.25	Wintuk de Mori Keraéng besikn, agu manga mberes kudut céla manusia. Ata situt céca agu pinga di’a cang agu pandé sanggéd wintuk situ, toé séngét kaut agu lampuk hémongd, ata situ te tiba berkak de Mori Keraéng oné sanggéd pandéd.
JAS.1.26	Émé manga ata rékéng weki run sebern te ngaji maik toé rapa leman, hia hitu pali weki run agu oké bon dé ngajin. 
JAS.1.27	Ho’o dé ngaji ata molorn agu toé manga celan oné ranga de Mori Keraéng Ema dité: campe ata lalo agu ata luang oné susad, agu jerék weki rud boto rowak le saki de lino ho’o.
JAS.2.1	Asé-ka’é daku, ai ité ho’o ata imbi oné hi Yésus Kristus Mori dité hitut mengit, oné toto imbis néka nono momang ata. 
JAS.2.2	Ai émé cengata paké kila emas agu ceca di’ay mai du lonto léok, du hitu mai kolé cengata ata lénggé ata paké ceca botéky, 
JAS.2.3	méu hiang hanang ata hiot paké ceca di’a hitu, mai taés, “co’om lonto oné osang di’a ho’o itét mori!”. Maik latang te hiat lénggé hitu mai taé de méu, “hesé le hio hau e!” ko “lonto wa tana, ruis wa’i daku!”. 
JAS.2.4	Ali pandé nenggitu, méu poli pandé nono momang oné nais agu wolo ata ali nuks hitut da’at.
JAS.2.5	Séngét koém, asé-ka’é ata momang laku! Mori Keraéng pilé ata siot rékéng lénggé le lino ho’o kudut ciri bora oné imbi. Isé kolé ciri ata tiba mbaté de Adak Surga ata poli rekén Liha latang sanggéd ata siot momang Hia. 
JAS.2.6	Maik méu poli mbéis sanggéd ata lénggé. Toé weli ata bora pandé rendak agu sorok méu nggere-oné adak kudut bicarm? 
JAS.2.7	Isé dé ata pandé mericu ngasang hitut mengit ata tiba le méu oné-mai Mori Keraéng. 
JAS.2.8	Molorn pandé de méu, émé totos le méu wintuk Adak hitut tulis oné Kitab Nggeluk: “Momang ga cama manusia, ného momang weki ru.” 
JAS.2.9	Maik émé nono momang de méu, méu poli pandé ndékokm agu wintuk hitu ciri si’ang te méu lagé perénta de Mori Keraéng. 
JAS.2.10	Ai céing kaut ata lorong sanggéd adak situ, maik kébang kaut ranga can, hia pandé sala latang te sanggén taung adak situ. 
JAS.2.11	Ai Hiat taé, “néka ngoéng ata”, hia kolé taé, “néka paki ata.” Jari, émé toé ngoéng ata méu, maik paki atam; méu kolé ciri ata lagé adak hitu. 
JAS.2.12	Curup agu pandé ga, ného ata siot kudut bicars ali adak ata pandé céla manusia. 
JAS.2.13	Ai Mori Keraéng toé toto momang agu mohas oné ata hiot toé pecing momang, maik momang agu mohas céwé mberes oné-mai terungku.
JAS.2.14	Asé-ka’én! Apa betuan taé nenggo’o data: “Aku manga imbig”, maik hia toé toto oné pandén? Ngancéng weli imbi nenggitu pandé selamak hia laingy? 
JAS.2.15	Émé manga nara ko weta toé manga na’ang bara agu wéngko wekin lété leso; 
JAS.2.16	apa cirn taé de méu oné hia, “Lako di’a-di’a, papé baju mutm agu hang ga dengkir becurm!”, maik méu toé téing apa ata sékékn latang te hia? 
JAS.2.17	Nenggitu koléy imbi: Émé imbi hitu toé loréng agu pandé, oké bon imbi hitu. 
JAS.2.18	Maik aram manga ata taé nenggo’o, “oné méu manga imbi agu oné aku manga pandé”, aku te walé hia hitu, “toto damang oné aku imbim hitut toé loréng agu pandé, kudut aku toto oné hau imbi daku oné-mai sanggéd pandég.” 
JAS.2.19	Imbip le hau te hanang manga ca kanang kali Mori Keraéng? Bo hitun! Maik sanggéd jing da’at kolé imbi Mori Keraéng agu jejers le rantang. 
JAS.2.20	Oé ata bapa-béngot! Ngoéngm hau te tura ho’o ga, te imbi hitut toé loréng agu pandé cama kaut imbi bon? 
JAS.2.21	Toé weli hi Abraham, ema dité ciri molory ali sanggéd pandé diha, du hia takung anakn hi Ishak éta lobo compang? 
JAS.2.22	Jari, si’angn weli ga, imbi hitu paka loréng agu pandé, wiga ciri besiky. 
JAS.2.23	Ali hitu rapaky apa ata tulis oné Surak Nggeluk, “itu kali imbin li Abraham oné Mori Keraéng, wiga imbin hitu rékéng hia ata pandé ngoéng de Mori Keraéng.” Landing hitu caron hi Abraham “haé reba de Mori Keraéng.” 
JAS.2.24	Jari, si’angn ga te manusia molory ali sanggéd pandén, toé hanang le imbin. 
JAS.2.25	Nenggitu kolé hi Rahab, inéwai mbérong hitu, tiba di’a le Mori Keraéng, du hia ceha ata ngapéng disét Israél toko oné mbarun, agu campé ata ngapéng situ losi lut salang banas. 
JAS.2.26	Ai cama ného weki: matay émé toé manga nai, nenggitu kolé imbi: oké bon émé toé loréng agu pandé.
JAS.3.1	Asé-ka’é ata momang daku, néka do bail oné-mai méu ngoéng ciri guru. Pecingp le méu, ali ciri guru, ité te bicart céwé mésé oné-mai ata bana. 
JAS.3.2	Ai sanggéd ité manga salad oné sanggén cao-ca; céing ata toé manga sala oné curupn, hia hitu ata besik, ata ngancéng wi’uk kolé sanggéd wekin. 
JAS.3.3	Ité na’a rapa oné mu’u de jarang, wiga hia lorong ngoéng dité, ali hitu ité ngancéng wi’uk wekin. 
JAS.3.4	Lélo kolé sanggéd kepal, koném po méséd agu pandé wulis ali buru warat, maik ngancéng wi’uk kaut le haju kemudi koé, lorong ngoéng dihat caun. 
JAS.3.5	Nenggitu kolé dé lema dité, koném po koén, maik ngancéng pandé angos latang te sanggéd cao-ca ata méséd. Lélo dé, koném po koén api, maik ngancéng pandé muntung poco mésé. 
