GEN.1.1	Ne waro Õꞌacʉ̃ ʉꞌmʉse, tojo nicã diꞌtare bajurẽcʉ niwĩ. 
ROM.1.26	Õꞌacʉ̃ bopoyose na ʉaripejasere weeato nígʉ̃ narẽ cõꞌawãꞌcãcʉ niwĩ. Numiapʉta ʉmʉa meꞌrã na weewʉasenojõrẽ na basu numia seꞌsaro ñaꞌarõ weesama. 
ROM.1.27	Ʉmʉa quẽꞌrã na basu ñaꞌarõ aꞌmerĩ weesama. Ʉmʉa numia meꞌrã weewʉasenojõrẽ duꞌurã, ʉmʉa seꞌsaro ʉaripeja, ñaꞌarõ weesama. Tojo weegʉ Õꞌacʉ̃ narẽ ñaꞌarõ weese wapa, buꞌiri daꞌresami. Narẽ buꞌiri daꞌregʉ, na upʉpʉre piꞌeticã weesami.
ROM.1.28	Cʉ̃ weeꞌquere ĩꞌamirã, Õꞌacʉ̃rẽ ẽjõpeosĩꞌrĩtisama. Tojo weegʉ na wãcũmaꞌasere weeato nígʉ̃ cõꞌawãꞌcãcʉ niwĩ. Cʉ̃ narẽ cõꞌacã, totá na ñaꞌarõ weeꞌquere nemopeosama. 
ROM.1.29	Nipeꞌtise ñaꞌarõ weesere yʉꞌrʉocãꞌsama. Pajañaꞌrõ marĩrõ ãpẽrãrẽ ñaꞌarõ weesĩꞌrĩsama. Apeyenojõ cʉomirã, cʉonemosãjãsĩꞌrĩsama. Aꞌte nipeꞌtise ñaꞌasere weesama. Doesama. Aꞌmewẽjẽsama. Aꞌmetuꞌtisama. Weesoosama. Ñaꞌarõ weesĩꞌrĩrõ bajuro ñaꞌarõ weesama. Ucja, queti poosama. 
ROM.1.30	Ãpẽrãrẽ ñaꞌarõ weesĩꞌrĩrã, diacjʉ̃ nitimicã, weresãsama. Õꞌacʉ̃rẽ ʉatisama. Ãpẽrãrẽ ĩꞌamuisama. “Yʉꞌʉ peꞌe ãpẽrã yʉꞌrʉoro niyʉꞌrʉnʉꞌcãꞌa”, nisama. Ñaꞌasere weebocasama. Na pacʉsʉmʉarẽ yʉꞌrʉnʉꞌcãsama. 
ROM.1.31	Tʉꞌomasĩtisama. Na “Weerãti” níꞌquere weetisama. Aꞌmetuꞌtica beꞌro aposĩꞌrĩtisama. Na acawererãpʉreta maꞌitisama. Ãpẽrãrẽ pajañaꞌtisama. 
ROM.1.32	Õꞌacʉ̃ tojo weerãrẽ queoro wéégʉ, “Pecameꞌepʉ cõꞌabajuriogʉti”, nicʉ niwĩ. Cʉ̃ tojo níca beꞌro nimicã, ñaꞌarõ weenuꞌcũsama. Tojo nicã ãpẽrãrẽ ñaꞌarõ weecã ĩꞌarã, “Añurõ wéérã, tojo weema”, nisãjãsama.
ROM.2.1	Mʉsã ãpẽrãrẽ “Na ñaꞌarã nima” ni, ĩꞌabeseticãꞌña. Mʉsã quẽꞌrã na weronojõ ñaꞌarõ weesetisaꞌa. Na buꞌiritima nírã, ʉ̃sã quẽꞌrã buꞌiritiꞌi nírõnojõ waꞌaꞌa mʉsãrẽ. Mʉsã niꞌcãrõnojõ buꞌiri cʉoꞌo. 
ROM.2.2	Õꞌacʉ̃ ñaꞌarõ weerãrẽ buꞌiri daꞌregʉ, queoro weegʉ weemi nisere masĩnoꞌo. 
ROM.2.3	Mʉsã ãpẽrãrẽ “Ñaꞌarõ weema” nimirã, na weronojõta weeꞌe. Tojo weerã “Õꞌacʉ̃ ʉ̃sãrẽ buꞌiri daꞌresome”, niticãꞌña. Daꞌregʉsami. 
ROM.2.4	Ñaꞌarõ weemicã, Õꞌacʉ̃ mʉsãrẽ pajañaꞌgʉ̃, maata buꞌiri daꞌretisami. Tojo weerã mʉsã “Ʉ̃sãrẽ buꞌiri daꞌresome”, nimisaꞌa. Tojo niweꞌe. Mʉsã ñaꞌarõ weesere bʉjaweti dʉcayuato nígʉ̃ añurõ wee, maata buꞌiri daꞌretisami.
ROM.2.5	Cʉ̃ tojo weemicã, mʉsã ñaꞌarõ weesere bʉjaweti dʉcayusĩꞌrĩtisaꞌa. Mʉsã siape meꞌrã ñaꞌasere weenemorã, buꞌiri daꞌresere seeneocũunemorã weeꞌe. Beꞌro masãrẽ buꞌiri daꞌreatji nʉmʉ nicã, Õꞌacʉ̃ uagʉ, mʉsãrẽ queoro bese, ʉpʉtʉ buꞌiri daꞌregʉsami. 
ROM.2.6	Masã na weeꞌquenʉcʉ̃rẽ queoro wapayegʉsami. 
ROM.2.7	Õꞌacʉ̃ aꞌtiro weerãrẽ cʉ̃ tiropʉ catinuꞌcũatjere oꞌogʉsami. “Cʉ̃ meꞌrã dʉcayu ninuꞌcũrãsaꞌa” nirãrẽ, tojo nicã cʉ̃ “Añurõ weeapʉ” nisere aꞌmarãnojõrẽ oꞌogʉsami. Tojo nicã ape upʉ boatiri upʉ suꞌtiwetisĩꞌrĩrãrẽ tojo oꞌogʉsami. Na catinuꞌcũsere ʉarã, añurõ weenuꞌcũrãsama.
ROM.2.8	Ãpẽrã peꞌe Õꞌacʉ̃rẽ yʉꞌrʉnʉꞌcãrã, na ʉaro weesetisama. Diacjʉ̃ cjasere ʉatirã, ñaꞌase peꞌere weesirutusama. Õꞌacʉ̃ ua, narẽ ʉpʉtʉ buꞌiri daꞌregʉsami. 
ROM.2.9	Nipeꞌtirã ñaꞌarõ weesetirã piꞌeti, ñaꞌarõ tʉꞌoñaꞌrãsama. Judío masãrẽ ne waro tojo waꞌamʉꞌtãrõsaꞌa. Judío masã nitirã quẽꞌrãrẽ mejãrõta waꞌarosaꞌa. 
ROM.2.10	Añurõ weesetirã peꞌere Õꞌacʉ̃ añurõ weegʉsami. Narẽ “Mʉsã añurõ weewʉ”, nigʉ̃sami. Tojo nicã ejerisãjãcã weegʉsami. Ne waro judío masãrẽ tojo ejerisãjãcã weemʉꞌtãgʉ̃sami. Judío masã nitirã quẽꞌrãrẽ mejãrõta weegʉsami. 
ROM.2.11	Õꞌacʉ̃ judío masãrẽ, judío masã nitirãrẽ ĩꞌa dʉcawaanʉꞌcõtisami.
ROM.2.12	Judío masã nitirã Õꞌacʉ̃ Moisére dutiꞌquere masĩtisama. Na ñaꞌarõ weeꞌquere te dutise meꞌrã mejẽta Õꞌacʉ̃ besegʉsami. Ñaꞌarõ weeꞌque wapa meꞌrã peꞌe narẽ pecameꞌepʉ cõꞌabajurio besegʉsami. Judío masã pũrĩcã Õꞌacʉ̃ Moisére dutiꞌquere masĩsama. Tere masĩmirã, ñaꞌarõ weesama. Tojo weegʉ Õꞌacʉ̃ náma te dutise meꞌrã na yʉꞌrʉnʉꞌcãꞌque wapare buꞌiri daꞌregʉsami. 
ROM.2.13	Moisé dutisere tʉꞌose meꞌrã diaꞌcʉ̃ Õꞌacʉ̃ “Buꞌiri marĩrã nima”, nitisami. Cʉ̃ dutisere weerã́ peꞌere “Buꞌiri marĩrã nima”, nisami. 
ROM.2.14	Judío masã nitirã Moisé dutisere moomirã, na añurõ wéérã, Õꞌacʉ̃ dutisereta weerã weema. Na basu Moisé dutisere masĩrã weronojõ weesama. 
ROM.2.15	Añurõ weese meꞌrã na diacjʉ̃ wãcũsere ĩꞌosama. Moisé dutisere masĩrã weronojõ nima. Tojo weerã queoro weetíca beꞌro ñaꞌarõ tʉꞌoñaꞌsama. Añurõ wééca beꞌro buꞌiri moorã tʉꞌoñaꞌsama. 
ROM.2.16	Yʉꞌʉ Jesucristo ye quetire wereronojõta aꞌtiro waꞌarosaꞌa. Õꞌacʉ̃ masãrẽ buꞌiri daꞌreatji nʉmʉ nicã, nipeꞌtirã wãcũsere, ãpẽrã ĩꞌatiropʉ weesere besegʉsami. Jesucristo ñaꞌarõ wãcũrãrẽ, ñaꞌarõ weerãrẽ buꞌiri daꞌregʉsami. Añuse wãcũrãrẽ, añurõ weerãrẽ añurõ weegʉsami.
ROM.2.17	Mʉsã aꞌtiro wãcũmisaꞌa: “Ʉ̃sã judío masã Õꞌacʉ̃ Moisére dutise cũuꞌquere ẽjõpeorã niꞌi. Õꞌacʉ̃ yarã niꞌi. Tojo weerã judío masã nitirã yʉꞌrʉoro añuyʉꞌrʉnʉꞌcãꞌa”, nimisaꞌa. 
ROM.2.18	Tojo nicã aꞌtiro ninemosaꞌa. “Ʉ̃sã Õꞌacʉ̃ ʉasenojõrẽ masĩꞌi. Moisé dutiꞌquere masĩyurã, ʉ̃sã añuse diaꞌcʉ̃rẽ besemasĩꞌi. 
ROM.2.19	Caperi bajutirãrẽ tʉ̃awãꞌcãrã weronojõ Õꞌacʉ̃ yere masĩtirãrẽ buꞌemasĩꞌi. Naꞌitĩꞌarõpʉ nirãrẽ sĩꞌorã weronojõ ñaꞌarõ weerãrẽ añurõ weedutiꞌi”, nisaꞌa. 
ROM.2.20	“Moisé cʉ̃ dutiꞌquere cʉorã, diacjʉ̃ cjasere queoro masĩꞌi. Tojo weerã tʉꞌomasĩtirãrẽ, Õꞌacʉ̃ yere ne waro buꞌewãꞌcõrãrẽ buꞌemasĩꞌi”, nimisaꞌa. 
ROM.2.21	Mʉsã “Ãpẽrãrẽ buꞌemasĩꞌi” nirãtirã, mʉsã basu peꞌe buꞌemʉꞌtãrõʉaꞌa. Ãpẽrãrẽ “Yajaticãꞌña” nimirã, ãpẽrã yere yajasaꞌa. 
ROM.2.22	Mʉsã, “Mʉsã nʉmosãnumia, marãpʉsʉmʉa nitirãrẽ aꞌmetãrãticãꞌña”, nisaꞌa. Tojo nimirã, aꞌmetãrãsaꞌa. “Queose yeeꞌquere ẽjõpeoticãꞌña” nimirã, narẽ ẽjõpeose wiꞌseri cjasere yajasaꞌa. 
ROM.2.23	“Ʉ̃sã Moisé dutiꞌquere cʉotjĩarã, ãpẽrã yʉꞌrʉoro niꞌi”, ni wãcũmisaꞌa. Tojo nimirã, tere weetirã, cʉ̃ dutiꞌquere yʉꞌrʉnʉꞌcãrã weeꞌe. Tojo weerã ãpẽrãrẽ Õꞌacʉ̃rẽ bujicãꞌcã weerã weeꞌe. 
ROM.2.24	Õꞌacʉ̃ ye queti ojáca pũrĩpʉ mʉsã tojo weesere aꞌtiro ojanoꞌwʉ̃: “Mʉsã Õꞌacʉ̃ dutiꞌquere yʉꞌrʉnʉꞌcãse buꞌiri judío masã nitirã Õꞌacʉ̃rẽ ñaꞌarõ ucũsama”, niwʉ̃.
ROM.2.25	Mʉsã Õꞌacʉ̃ Moisére dutise cũuꞌquere weecã, mʉsã judío masã weesetise, õꞌrẽcjʉ yapa caserore yejecõꞌase wapatiꞌi. Weeticãma, mʉsã judío masã nise wapamarĩꞌi. Tojo weerã cʉ̃ cũuꞌquere weetirã, judío masã nitirã weronojõ tojacãꞌa. Õꞌacʉ̃ yarã weronojõ nitisaꞌa. 
ROM.2.26	Judío masã nitirã õꞌrẽcjʉ yapa caserore yejecõꞌanoꞌña marĩma. Na Õꞌacʉ̃ Moisére dutiꞌquere wéérã, judío masã weronojõ nisama. Õꞌacʉ̃ narẽ “Yarã nima”, nisami. 
ROM.2.27	Mʉsã judío masã Õꞌacʉ̃ Moisére dutiꞌquere cʉomiꞌi. Õꞌrẽcjʉ yapa caserore yejecõꞌamirã, cʉ̃ dutiꞌquere weeweꞌe. Ãpẽrã, judío masã nitirã õꞌrẽcjʉ yapa caserore yejecõꞌatimirã, tojo nicã Õꞌacʉ̃ Moisére dutiꞌquere masĩtimirã, cʉ̃ dutisere weesama. Na tojo weecã, mʉsã buꞌiri cʉosere masĩnoꞌo. 
ROM.2.28	Judío masʉ̃ waro buꞌipʉ diaꞌcʉ̃ weesetitimi. Cʉ̃ upʉ diaꞌcʉ̃rẽ õꞌrẽcjʉ yapa caserore yejecõꞌase mejẽta niꞌi. 
ROM.2.29	Moisé dutisere yʉꞌtigʉ mejẽta Õꞌacʉ̃ yagʉ nimi. Espíritu Santure wãcũse dʉcayunoꞌcʉ peꞌe judío masʉ̃ waro nimi. Cʉ̃́ta Õꞌacʉ̃ yagʉ nimi. Cʉ̃rẽ Õꞌacʉ̃ “Añugʉ̃ nimi” ni ĩꞌasami. Masã mejẽta tojo ĩꞌasama.
ROM.3.1	Yʉꞌʉ tojo nicã tʉꞌorã, mʉsã “¿To pũrĩcãrẽ judío masã nise wapamarĩsari? ¿Õꞌrẽcjʉ yapa caserore yejecõꞌase quẽꞌrã wapamarĩsari?” nisaꞌa. 
ROM.3.2	Wapatiyʉꞌrʉaꞌa. Ne warore aꞌtiro niꞌi. Õꞌacʉ̃ judío masãrẽ cʉ̃ ye quetire weedutigʉ, ãpẽrãrẽ weredutigʉ cũucʉ niwĩ. Tojo weero judío masã nise wapatiꞌi. Mʉsãrẽ aꞌtiro ninemogʉ̃ti. 
ROM.3.3	Ãpẽrã judío masã Õꞌacʉ̃ ucũsere ẽjõpeotisama. Na tojo ẽjõpeotimicã, Õꞌacʉ̃ narẽ cʉ̃ “Tojo weegʉti” níꞌquere “Weeweꞌe”, nitisami. 
ROM.3.4	Õꞌacʉ̃ nipeꞌtise cʉ̃ “Weegʉti” níꞌquere queoro weegʉsami. Marĩ nipeꞌtirã nisoosepijarã nimicã, Õꞌacʉ̃ cʉ̃ níꞌcaronojõta queoro weegʉsami. Õꞌacʉ̃rẽ cʉ̃ ye queti ojáca pũrĩpʉ aꞌtiro ojanoꞌwʉ̃:
ROM.3.4	Õꞌacʉ̃, mʉꞌʉ ucũsere “Diacjʉ̃ta niꞌi”, ninoꞌo.
ROM.3.4	Mʉꞌʉrẽ nisoose marĩꞌi.
ROM.3.4	Tojo weero mʉꞌʉrẽ ãpẽrãpʉre ne weresãta basioweꞌe.
ROM.3.4	Na weresãcãma, yʉꞌrʉwetimʉjãgʉ̃saꞌa, ni ojacʉ niwĩ dʉporocjʉ̃pʉ.
ROM.3.5	Tere tʉꞌorã, ãpẽrã aꞌtiro nimaꞌasama. “Ʉ̃sã ñaꞌarõ weecã, Õꞌacʉ̃ añurõ weesere nemorõ ĩꞌonoꞌrõsaꞌa.” ¿To pũrĩcãrẽ “Õꞌacʉ̃ ʉ̃sã ñaꞌarõ weesere buꞌiri daꞌregʉ, queoro weetimi”, nirã weesari? 
ROM.3.6	Tojo niweꞌe. Na tojo nise queoro nicãma, Õꞌacʉ̃ ne niꞌcʉ̃rẽ buꞌiri daꞌremasĩtibosami.
ROM.3.7	Apeyema ãpẽrã aꞌtiro ninemomaꞌasama. “Ʉ̃sã nisoocã, Õꞌacʉ̃ queoro ucũsere ĩꞌonoꞌrõsaꞌa. Tojo weerã masã cʉ̃rẽ ‘Añuyʉꞌrʉami, diacjʉ̃ ucũnuꞌcũgʉ̃ nimi’, nirãsama. Tojo nicãma, ¿deꞌro weegʉ Õꞌacʉ̃ marĩrẽ ‘Mʉsã ñaꞌarõ weesebʉcʉrã niꞌi’, nisari? Cʉ̃ tojo nígʉ̃, queoro weetimi”, nisama. Na tojo nise nimaꞌase niꞌi. 
ROM.3.8	Na “Ʉ̃sã ñaꞌarõ weecã, Õꞌacʉ̃ añurõ weesere nemorõ masĩrãsama”, nisama. Tojo weerã “Añuse waꞌato nírã ñaꞌasere weerã”, nisama. Ãpẽrã yʉꞌʉre, yʉꞌʉ meꞌrãcjãrãrẽ mejẽcã wãcũato nírã, “Pablo aꞌtere buꞌemi”, nisoosama. Na tojo nisoose wapa Õꞌacʉ̃ narẽ buꞌiri daꞌregʉ, queoro weegʉsami.
ROM.3.9	¿Marĩ judío masã ãpẽrã yʉꞌrʉoro añurã niyʉꞌrʉnʉꞌcãti? Niweꞌe. Marĩ masĩtojaꞌa. Nipeꞌtirã judío masã, judío masã nitirã ñaꞌarõ weerã́ niyurã, niꞌcãrõnojõ buꞌiritirã diaꞌcʉ̃ niꞌi. 
ROM.3.10	Õꞌacʉ̃ ye queti ojáca pũrĩpʉre marĩrẽ aꞌtiro niwʉ̃:
ROM.3.10	Ne niꞌcʉ̃nojõpʉta añugʉ̃ marĩmi.
ROM.3.11	Ne niꞌcʉ̃ Õꞌacʉ̃ ye cjasere tʉꞌomasĩgʉ̃ marĩmi.
ROM.3.11	Ne niꞌcʉ̃pʉta Õꞌacʉ̃rẽ masĩsĩꞌrĩgʉ̃, wãcũnʉrʉ̃tisami.
ROM.3.12	Nipeꞌtirã Õꞌacʉ̃ yere duꞌurã, dojopeꞌtia waꞌasama.
ROM.3.12	Nipeꞌtirã ñaꞌarõ weema.
ROM.3.12	Ne niꞌcʉ̃nojõpʉta ãpẽrãrẽ añurõ weegʉ́ marĩmi.
ROM.3.13	Na ucũse masãpe susuripe weronojõ niꞌi.
ROM.3.13	Ti pe ʉ̃rĩwijaasaꞌa.
ROM.3.13	Te ʉ̃rĩwijaase weronojõ masã ñaꞌarõ ucũsama.
ROM.3.13	Nisoonuꞌcũsama.
ROM.3.13	Aña ʉseropʉ nímá cʉogʉ weronojõ pũrĩrõ ucũsama.
ROM.3.14	Ãpẽrãrẽ doja, ʉpʉtʉ tuꞌtisama.
ROM.3.15	Na masãrẽ wẽjẽcõꞌasema ĩꞌaduꞌayʉꞌrʉasama.
ROM.3.16	Noꞌo na waꞌaro masãrẽ ñaꞌarõ weewãꞌcãsama.
ROM.3.16	Na yere dojorẽ, pajasecʉorã tojacã weesama.
ROM.3.17	Ãpẽrãrẽ ejerisãjãcã weesere moosama.
ROM.3.18	Õꞌacʉ̃rẽ wiopesase meꞌrã ĩꞌatisama.
ROM.3.18	Cʉ̃rẽ uitisama, ni ojanoꞌwʉ̃.
ROM.3.19	Marĩ masĩꞌi, Moisé cʉ̃ dutisere ʉ̃sã judío masãrẽ cũucʉ niwĩ. Ʉ̃sã te dutisere masĩmirã, tere weetirã, buꞌiritirã tojasaꞌa. Cʉ̃ dutise cũuꞌque aꞌtiro niꞌi. Nipeꞌtirã judío masãrẽ, judío masã nitirãrẽ buꞌiritirã nima, ni masĩdutiro tojo niꞌi. 
ROM.3.20	Ne niꞌcʉ̃ Moisé dutiꞌquere weepeꞌomasĩtisami. Tojo weegʉ “Moisé dutisere weepeꞌocã, ‘Õꞌacʉ̃ yʉꞌʉre buꞌiri marĩgʉ̃ nimi’, nigʉ̃sami”, nímasĩtisami. Moisé dutiꞌque marĩrẽ “Ñaꞌarã niꞌi”, ni masĩdutiro cũunoꞌcaro niwʉ̃.
ROM.3.21+ROM.3.22	Niꞌcãrõacãrẽ majã Õꞌacʉ̃ marĩrẽ buꞌiri marĩrã nicã weese quetire ĩꞌomi. Te quetire Moisé cʉ̃ dutiꞌquere weetimirã, masĩnoꞌo. Marĩrẽ Jesucristore ẽjõpeose meꞌrã Õꞌacʉ̃ ĩꞌorõpʉre buꞌiri marĩrã nita basioꞌo. Dʉporopʉ Moisé, tojo nicã Õꞌacʉ̃ ye queti weremʉꞌtãrĩ masã Õꞌacʉ̃ tojo weeatjere cʉ̃ ye queti ojáca pũrĩpʉ ojacãrã niwã. Õꞌacʉ̃ nipeꞌtirã Jesucristore ẽjõpeorãrẽ “Buꞌiri marĩrã, añurã nima”, nisami. Ne dʉcawaanʉꞌcõtisami. 
ROM.3.23	Marĩ nipeꞌtirã ñaꞌarõ weerã́ niꞌi. Ne niꞌcʉ̃ Õꞌacʉ̃ ʉaronojõ weegʉ́ marĩmi. 
ROM.3.24	Tojo nimicã, Õꞌacʉ̃ marĩrẽ maꞌígʉ̃, cʉ̃ macʉ̃rẽ oꞌócʉ niwĩ. Marĩ ñaꞌarõ weeꞌquere wẽrĩ wapayedutigʉ tojo weecʉ niwĩ. Tojo weero marĩ wapayetimicã, aꞌtiro niꞌi. Jesucristore ẽjõpeose meꞌrã Õꞌacʉ̃ marĩrẽ “Buꞌiri marĩrã, añurã nima”, ni ĩꞌasami. 
ROM.3.25	Cʉ̃ macʉ̃ Jesucristore marĩ ñaꞌarõ weeꞌquere wẽrĩ wapayecã weecʉ niwĩ. Cʉ̃ wẽrĩgʉ̃ dí oꞌmabʉroꞌque meꞌrã marĩ cʉ̃rẽ ẽjõpeocã, acobojosami. Tere wéégʉ, Õꞌacʉ̃ queoro cʉ̃ weesere ĩꞌosami. Dʉporocjãrãpʉre na ñaꞌarõ weecã, Õꞌacʉ̃ pajañaꞌgʉ̃, buꞌiri daꞌreticʉ niwĩ. Tojo tʉꞌoñaꞌcãꞌcʉ̃ niwĩ. 
ROM.3.26	Aꞌtiro nicãrẽ Jesucristo marĩ ñaꞌarõ weeꞌquere wẽrĩ wapayeꞌque meꞌrã Õꞌacʉ̃ cʉ̃ queoro weesere ĩꞌosami. Mejãrõta tja cʉ̃ macʉ̃ Jesucristore ẽjõpeorãrẽ buꞌiri marĩrã, añurã waꞌacã weesami.
ROM.3.27	Tojo weerã Õꞌacʉ̃ ĩꞌorõpʉre marĩ basu “Añurã niꞌi”, nímasĩtisaꞌa. Moisé dutiꞌquere wéérã mejẽta, añurã niꞌi. Jesucristore ẽjõpeocã peꞌe, Õꞌacʉ̃ marĩrẽ “Añurã nima”, ni ĩꞌasami. 
ROM.3.28	Tojo weerã aꞌtiro nímasĩꞌi. Marĩ Jesucristore ẽjõpeocã, Õꞌacʉ̃ “Buꞌiri marĩrã nima”, ni ĩꞌasami. Moisé dutiꞌquere weecã mejẽta, tojo waꞌaꞌa.
ROM.3.29	Õꞌacʉ̃ judío masã wiogʉ seꞌsaro nitimi. Judío masã nitirã quẽꞌrãrẽ wiogʉ nimi. 
ROM.3.30	Nipeꞌtirã niꞌcʉ̃rẽta Õꞌacʉ̃tima. Cʉ̃ judío masã Jesucristore ẽjõpeorãrẽ “Buꞌiri marĩrã, añurã nima”, nisami. Cʉ̃rẽ ẽjõpeorã judío masã nitirã quẽꞌrãrẽ mejãrõta nisami. 
ROM.3.31	¿To pũrĩcãrẽ marĩ “Jesucristore ẽjõpeose meꞌrã Moisé dutiꞌque peꞌere wapamarĩꞌi”, nirã weeti? Niweꞌe. Aꞌtiro peꞌe weeꞌe. Marĩ “Jesucristore ẽjõpeose meꞌrã Õꞌacʉ̃ Moisére dutiꞌquere wapatirota weeꞌe”, ninoꞌo.
ROM.4.1	Niꞌcãrõacã mʉsãrẽ Abrahã marĩ ñecʉ̃ ye quetire weregʉti. Mʉsã masĩrõnojõta cʉ̃ judío masʉ̃ nimʉꞌtãꞌcʉ nicʉ niwĩ. 
ROM.4.2	Õꞌacʉ̃ Abrahã weesere ĩꞌagʉ̃ mejẽta, cʉ̃rẽ “Añugʉ̃ nimi”, nicʉ niwĩ. Tojo nicãma, Abrahã cʉ̃ añurõ weeꞌque wapa “Yʉꞌʉ añugʉ̃ niꞌi”, nímasĩbopĩ. Õꞌacʉ̃ ĩꞌorõpʉ peꞌere tojo nita basioweꞌe. 
ROM.4.3	Cʉ̃ ẽjõpeocã peꞌe, cʉ̃rẽ Õꞌacʉ̃ “Buꞌiri marĩmi”, nicʉ niwĩ. Õꞌacʉ̃ ye queti ojáca pũrĩpʉ aꞌtiro ojanoꞌwʉ̃:
ROM.4.3	Abrahã Õꞌacʉ̃rẽ ẽjõpeocʉ niwĩ.
ROM.4.3	Tojo weegʉ Õꞌacʉ̃ cʉ̃rẽ “Añugʉ̃, buꞌiri marĩgʉ̃ nimi”, nicʉ niwĩ.
ROM.4.4	Queose meꞌrã mʉsãrẽ weregʉti. Niꞌcʉ̃ apeyenojõ daꞌracã, cʉ̃rẽ wapayerã, tojo oꞌorã mejẽta weema. Cʉ̃ daꞌraꞌque wapa wapayerã weema. 
ROM.4.5	Õꞌacʉ̃ peꞌe tojo weetimi. Marĩ añurõ weese wapa mejẽta “Buꞌiri marĩrã, añurã nima”, nisami. Cʉ̃rẽ ẽjõpeocã peꞌere, tojo nisami. Masã ñaꞌarõ weerãrẽ yʉꞌrʉweticã weegʉ́ nimi. 
ROM.4.6	Dʉporocjʉ̃pʉ Davi quẽꞌrã yʉꞌʉ níꞌcaronojõta nicʉ niwĩ. Õꞌacʉ̃ masã weesere ĩꞌatimigʉ̃, cʉ̃rẽ ẽjõpeocã, “Añurã, buꞌiri marĩrã nima”, nisami. Tojo ninoꞌrãnojõ eꞌcatisama. 
ROM.4.7	Aꞌtiro ni ojacʉ niwĩ te cjasere:
ROM.4.7	Noꞌo Õꞌacʉ̃rẽ yʉꞌrʉnʉꞌcãꞌquere acobojonoꞌcãrã eꞌcatima.
ROM.4.7	Tojo nicã ñaꞌarõ weesere cõꞌanoꞌcãrã eꞌcatima.
ROM.4.8	Noꞌo Õꞌacʉ̃ “Ãꞌrĩ buꞌiri marĩgʉ̃ nimi”, ninoꞌgʉ̃nojõ cʉ̃ quẽꞌrã eꞌcatimi, ni ojacʉ niwĩ Davi.
ROM.4.9	Judío masã õꞌrẽcjʉ yapa caserore yejecõꞌaꞌcãrã diaꞌcʉ̃ eꞌcatitisama. Yejecõꞌanoꞌña marĩrã judío masã nitirã quẽꞌrã eꞌcatisama. Marĩ Abrahã ye cjasere wãcũnemorã tja. Õꞌacʉ̃ Abrahãrẽ cʉ̃rẽ ẽjõpeocã ĩꞌagʉ̃, “Añugʉ̃, buꞌiri marĩgʉ̃ nimi”, nicʉ niwĩ. 
ROM.4.10	¿Deꞌro nicã Õꞌacʉ̃ Abrahãrẽ “Añugʉ̃ nimi”, nipari? Cʉ̃ õꞌrẽcjʉ yapa caserore yejecõꞌanoꞌse dʉporo Õꞌacʉ̃ Abrahãrẽ “Añugʉ̃, buꞌiri marĩgʉ̃ nimi”, nitojacʉ niwĩ. 
ROM.4.11	Abrahã Õꞌacʉ̃rẽ ẽjõpeoca beꞌropʉ cʉ̃ õꞌrẽcjʉ yapa caserore yejecõꞌacãrã niwã. Cʉ̃ yejecõꞌanoꞌse meꞌrã Õꞌacʉ̃ cʉ̃rẽ todʉporopʉ “Mʉꞌʉ añugʉ̃, buꞌiri marĩgʉ̃ niꞌi” níꞌquere masĩcʉ niwĩ. Aꞌtiro wéégʉ, Abrahã nipeꞌtirã ẽjõpeorã ñecʉ̃ tojacʉ niwĩ. Na ẽjõpeose meꞌrã Õꞌacʉ̃ nipeꞌtirã cʉ̃rẽ ẽjõpeorãrẽ “Añurã nima”, nicʉ niwĩ. Na õꞌrẽcjʉ yapa caserore yejecõꞌacã mejẽta, tojo nicʉ niwĩ. 
ROM.4.12	Mejãrõta judío masãrẽ Abrahã na ñecʉ̃ nimi. Na õꞌrẽcjʉ yapa caserore yejecõꞌacã mejẽta, na Abrahã weronojõ ẽjõpeorãta cʉ̃ pãrãmerã nima. Abrahãmarĩcã cʉ̃ yejecõꞌanoꞌse dʉporo Õꞌacʉ̃rẽ ẽjõpeotojacʉ niwĩ.
ROM.4.13	Õꞌacʉ̃ Abrahãrẽ “Mʉꞌʉrẽ, mʉꞌʉ pãrãmerã nituriarãrẽ aꞌti diꞌtare oꞌogʉti”, nicʉ niwĩ. Õꞌacʉ̃ cʉ̃ dutisere wééca beꞌro mejẽta tojo nicʉ niwĩ. Abrahã cʉ̃rẽ ẽjõpeocã peꞌe, cʉ̃rẽ “Añugʉ̃, buꞌiri marĩgʉ̃ nimi”, nicʉ niwĩ. Tojo weegʉ cʉ̃rẽ “Aꞌti diꞌtare oꞌogʉti”, nicʉ niwĩ. 
ROM.4.14	Õꞌacʉ̃ cʉ̃ dutise cũuꞌquere weerã́ diaꞌcʉ̃rẽ “Tojo weegʉti” níꞌquere oꞌocãma, marĩ ẽjõpeose wapamarĩbopã. Tojo nicã cʉ̃ Abrahãrẽ “Mʉꞌʉrẽ añuse oꞌogʉti” níꞌque wapamarĩyapaticãꞌbopã. 
ROM.4.15	Marĩ Õꞌacʉ̃ Moisére dutise cũuꞌquere weepeꞌomasĩtisaꞌa. Tojo weegʉ cʉ̃ dutisere masĩmirã yʉꞌrʉnʉꞌcãcã, marĩrẽ buꞌiri daꞌregʉsami. Te dutise marĩcã pũrĩcãrẽ, te dutisere yʉꞌrʉnʉꞌcãse marĩbopã.
