MAT.1.1	Jisu Krista rui ryzâm dân chu: David sapâ, Abraham sapâ kyntâ: 
PHP.2.6	Atak te Pathyn zika a chang khawm Pathyn kuvang awm rang tâsik mulung nyi mak a; 
PHP.2.7	maniâ ngyi kuvang zirnin, sokro kuvang a rysym a, amân tâ amân mitou rotomnin a awm ta. 
PHP.2.8	Khanung maniâ kuvang awmnin, a rotom a, thi tenka chawng ryngâinin a awm ta ia, Kros kyn thinâ rêlê chu. 
PHP.2.9	Hamâtâsik Pathyn atak rang rysâng chemnin a syk a, hanung pheng tâ nêk riming rysâng chem a pêk a. 
PHP.2.10	Ryvâna, rênêng chunga le rênêng sunga mi tinka ngyi Jisu rimingnin khupsadilnin awm yng a, 
PHP.2.11	hanung mylyi tinka “Jisu Krista hi Mylal â chang”, tinin hi Pâ Pathyn roulynnâ rang tâsiknin mopong yng.
PHP.2.12	Hamâtâsiknin ki mawawl chem ngyi, chawng nyng ryngâi sin sai kuvang ky awmnâ sung reng tek lounin atun ky awm maknâ kyn mi hanungzika thonin, chinin le chun bylampâ nyng zawknâ rang tâ lam sin tho rou: 
PHP.2.13	a zâipârnâ rang tâsik tho rang rawthawk nomnâ nyng kyn â pêkmi chu Pathyn tou â chang.
PHP.2.14	Chyrnâ le rêsêlnâ awm lounin nyng tho lom kipka chu tho sin rou, 
PHP.2.15	hanung chu, atun zo kyn te mi thamak ngyi bila khawm rêsêlnâ awm lounin le rythyng taknin Pathyn synâu nyng chang thyi rang kân, khawmola a mivârmi kuvang nyng na rylang sin, 
PHP.2.16	hakhanung chu a rawrawng a rytoumi chang lounin, a rawrawng â sinmi khawm chang ming tâsiknin Krista ni kyn chu rawsawrpui lom nyi thyi ket.
PHP.2.17	A chang, nyng khymnâ rylangnâ le tul sinnâ chunga pheng repenin awm tar nang khawm ky zâi â pâr, nyng châk tâsiknin khawm ky zâi nyng nâ pârpui. 
PHP.2.18	Hakhavangnin nyngni khawm nyng zâi mipârnin, nyng zâi kyi mipârpui rou.
PHP.2.19	Pumâ Jisu kân ki khym chu Timothi rang nyng kyn harawkhra hawng dep ket a, nyng retep hoinin kyi khawm ku sung a dâi thyi rang kân. 
PHP.2.20	Nyngni tâsik chawngtak kânin ryvak â nyi, midang atu khawm nyi ming. 
PHP.2.21	Yng châknin ngan Jisu Krista tâsik rawk lounin, yng tak tâ hawl yng rawk sin. 
PHP.2.22	Imyitinung atak rang te a chuknâ rylangnin ai awm nyng hoi a, pâ rysâ kuvang munkân Retep Thâ theknâ lama kâ sin puimi â chang. 
PHP.2.23	Hanungchu ky awm dân lom ky hoi kale atak rang nyng kyn rang taknin hawng dep rang ky rawthawk.
PHP.2.24	Achang mak kale kyima rêlê ngan rang taknin hawng thyi ket tinin Pathyn kyn ky rykhym. 
PHP.2.25	Imyitinung Epaphrodita, ky sokpuipâ, ki sin champui, ki sipai champui, chang ka nangnâ kyn kâ chang lom ky nyng depmi rang hi vyinok nyng kyn hawng dep â nang tinin ki hoi. 
PHP.2.26	Atak te nyng châk rang luk nyng na ryngâi a, â na tinin nyng hoi tâsiknin a ryngâi khawm luk a sy ta. 
PHP.2.27	Chawngtak kânin thi rang zika â na ia; imyitinung Pathyn atak rang ryng a lâ mu ia, hanung atak rang reng khawm chang lounin, ryngâisy pên ryngâisy ka chang mak rang kânin kyima khawm ryng kai la mu â chang. 
PHP.2.28	Hanungchu atak rang nyng mu nok tikân nyng zâi a pâr thyinâ rang le ku sungthikawrnâ a dam rang kân hawng dep rangnin luk ka romo ta. 
PHP.2.29	Hanungchu atak rang hi zâipârnin Pumâ rimingnin hai lom nang, hamâ kuvang maniâ rang chu zâ rou. 
PHP.2.30	Ky nyng rawnnâ nyng tulsin roso mak miroso rangnin thi rang rak kânin zâl sawngnin, Krista tâsiknin tulsin ai chang tâsik thi deng rak kânin a awm ta.
PHP.3.1	Amawngnâ chema chu sokpui ngyi, Pumâ kyn nyng zâi mipâr rou. Nyng kyn chawng khatka nining zai sui rang tâsiknin kyima tâsiknin te nok zât chang mak, nyngni tâsiknin khawm rurungnâ â chang. 
PHP.3.2	Ui ngyi kyntâ chu rikimnin awm rou, kâmsy thomi ngyi kyntâ rikimnin awm rou, tak mysytmi ngyi kyntâ rikimnin awm rou. 
PHP.3.3	Yi ni, Pathyn zâra Pathyn â byk le, Krista Jisu rang khymnin a mawsawr le, tak chunga i khymnâ ryngat lou ngyi hi chukmorât dik takmi ngyi chu yi chang.
PHP.3.4	Nomnin tâ te, kyi khawm tak chunga khymnâ a ryngat thyi lommi ki chang vang ha. Midang ngyi hikhanin tak chunga khymnâ yng ryngat thyi tinin yng rohoi a chang nung kyima te dyu ngan ryngatnâ â nyi thyi lommi ki chang. 
PHP.3.5	Ni ryt ni kyn chukmorâtmi Israel mi, Benjamin rui atâ, Hebrai sung kyntâ a rizirmi Hebrai, Dân tyngtâ chu Pharisai ki chang; 
PHP.3.6	khymnâ tyngtâ chu kouchawrai ngyi rang â ronmi ki chang; Dân chunga diknâ tyngtâ nung i kyi rêsêlnâ lom awm mak. 
PHP.3.7	Imyitinung, kyima tâsiknin lapnâ lom tinka ngyi rang chu Krista rimingnin salnâ tou ky sym tâk. 
PHP.3.8	Kybyi âdik, ky Pumâ Krista Jisu rang rinik taknin ki hoi tâsiknin tharo tinka khawm sal rangnin ky rysym a; atak tâsiknin tharo tinka ka sal zou ta, hamâ rang chu pawrnom kuvang michuk khâi ming a, Krista rang ky man thyinâ rang le, 
PHP.3.9	ky tak diknâ (Dâna diknâ chu) nyi lounin, Krista rang khymnâ tâsiknin diknâ (khymnâ tâsiknin Pathyn kyntâ diknâ) chu nyinin, a kyn awm rang kânin; 
PHP.3.10	atak ai thi kuvang thinin, atak le a thounoknâ râtnâ le, a tornâ ngyi torpuinin ky hoi thyi rang kân; 
PHP.3.11	âthi kyntâ thounoknâ chu man maw ky man thyi seng, tinin.
PHP.3.12	Ky man ta riti ming a, ka rikip ta khawm riti ming a, imyitinung, “Krista ka mannâ asik chu ki man maw man thyi seng”, tinin hâm hamâ rang va hom rangnin tou ky thyi tykka zâl ki sawng. 
PHP.3.13	Sokpui ngyi, ky man ta tinin rohoi ming, imyitinung khatka ki tho sin chu nung atâ tharo ngyi chu minilnin, mâ tyngtâ tharo ngyi vonnin, 
PHP.3.14	Krista Jisu kân chung tyngtâ Pathyn kounâ asik lawmman man rang tânin, râkri ky tung mak tenka ky thyi tykka hâm ky pan sin. 
PHP.3.15	Ulyn â chang kipka chu hamâ kuvang mulung chu nyinin awm yi ti; khanung, zê khoka tâ mulung dang nyng la nyi a chang nung hamâ khawm Pathyn nyng na la mihoi iat. 
PHP.3.16	Zê khawm chang synang, yi tungnâ kyntâ chu matawn tyng thyi rawthawn yi ti.
PHP.3.17	Sokpui ngyi, ky awm dân a misirmi chang rou, kyini rang zawngkhâ rangnin kyi na mang nang, hamâ kuvang â awm khoka rang chu sadim kân en rou. 
PHP.3.18	Mi tamka hikhanin yng sê ia, hangyite Krista kros mâitem mitou yng chang tinin yng retep te zai nyng na ki ril sin ta ha, atun khawm chap bylamnin nyng na ki ril hi. 
PHP.3.19	Yngni tâsik mawngnâ chu rymangnâ â chang, yng pathyn te yng phung tou â chang, yng roulynnâ khawm poulengtârnâ tou â chang, khawmol tharo yng nom tâsiknin. 
PHP.3.20	Imyitinung yini te ryvân khomi tou yi chang a, ryvân atâ yi na mawzawkmi Pumâ Jisu Krista a hawng lom zo chu pat rawdawnnin yi awm. 
PHP.3.21	Atak te a tho nung, atinka khawm ai nom kân a miawm thyi a, hamâ ai tho kuvang, yi taksâ rysyt thyi rang hi, a taksâ kuvang roulyn taknin a thar kân sym nok at.
PHP.4.1	Hamâtâsiknin ky sokpui mawawl chem le ki ryngâi chem ngyi, ky zâipârnâ le ky mylallukhum â chang ngyi, hikhanin, Pumâ kyn nget taknin dingnin awm rou.
PHP.4.2	Pumâ kyn mulung munka nyi rang tâsiknin Euodi rang ki u ia, Suntuki rang khawm ki u. 
PHP.4.3	A chang, nyng khawm ky zuval ka rybângpuimi tytak, nyngma rang khawm nyng ky kou; hâ nupang ngyi rang yng na chang raw. Retep Thâ tâte zâl ky iyng sawngpui sin a, Klemen le, ki sin champui dang ngyi Damnâ Lekha Bu kyn riming âlui ngyi le ha.
PHP.4.4	Pumâ kyn chu pat nyng zâi mipâr rou, vyinok nyng na ti nok ket nyng zâi mipâr rou. 
PHP.4.5	Nyng tipsawinâ chu mi kipka ngyi khawm hoi ngyi se. Pumâ chu yi dem kyn â awm. 
PHP.4.6	I kyn ngan ryvak ma rou; atinka kyn chawngmychai le zawngnin, hyrchawng ril pat mirechelnin, nyng nomnâ ngyi chu Pathyn kyn mihoinin mitou awm se. 
PHP.4.7	Khanung chu Pathyn sungdâinâ mulung ryvak le i yi hoi thyi mak zât, nyng mulung le nyng ryvaknâ ngyi chu Krista Jisu kân nyng na myryk pêk at.
PHP.4.8	Amawng chema chu sokpui ngyi, âdik khoka, zâ â awm kipka, kho â hoi kipka, a rythyng kipka, mawawlrusui kipka, riming thâ kipka, thanâ ngan ai awm a chang nung, mawsawrnâ ngan ai awm a chang nung, hangyi chu ryvak rou.
PHP.4.9	Nyngni ky kyntâ zê nyng rysyi ngyi, nyng man ngyi, nyng hoi ngyi, nyng mu sai ngyi ha, hangyi kuvang tho sin rou; hanungchu sungdâinâ Pathyn chu nyng na awmpui at.
PHP.4.10	Imyitinung ky nyng ryvak pêknâ chu atun kyn vyinok ky nyng hawng tho pêk tâsiknin Pumâ kyn luk ki hyr; hamâ tyngtâ chu ryvak te luk ngan ky nyng ryvak, imyitinung zo thâ nyng man mak tou â chang. 
PHP.4.11	Ka vâinâ chawng ki hawng ril te chang mak; ky tak te zê khan ngan awm tar nang, mulung tâinin â awm ky thyi ta. 
PHP.4.12	Rynym taknin awm dan ki thyi a, nyinin awm dan khawm ki thyi; atinka kyn le tharo kipka kyn khawpnin le châmnin awm dân, nyi le ryngnin awm dân ruthup chu pheng ky hoi zou ta. 
PHP.4.13	Râtnâ kâ pêkmi kân chu atinka ky tho thyi.
PHP.4.14	Ky rawkhawlnâ ky nyng torpui tâsiknin luk a tha ta. 
PHP.4.15	Khanung nyngni Philippi khomi ngyi, Retep Thâ ai tung a ruphut lâi Makedonia ram kyntâ soknin ky sê lâi ha, nyngni reng chang lou chu kouchawrai dang te atu ngan tharopêk le man tyngtâ chu kyi chang ma ngyi tinnin nyngni rêlê ngan â hoimi nyng chang; 
PHP.4.16	Thessalonika kho kyn ky awm lâi khawm, ka vâinâ kyn kyi chang rang tâsiknin, vawika reng tek lounin, vawi nika thik ky nyng hawng dep ha. 
PHP.4.17	Tharopêk chu ki rawdawn chang mak a, imyitinung nyng tyng khak a myrâ a pung thyi lom mitou ki rawk â chang. 
PHP.4.18	Imyitinung atinka ki nyi a, tamka ki nyi; Epaphrodita kut kyn nyng tharo dep ngyi ky hai man a, i kyi vâi khâi mak. Hamâ chu tharo mirim Pathyn ai pawm zât tharopêk â chang. 
PHP.4.19	Khanung, ky Pathyn chu Krista Jisu kyn a roulynnâ ai nyi kânin nyng na vâinâ kipka kyn khawm nyng na chang at.
PHP.4.20	Khanung yi Pathyn le yi Pâ kyn chu kumkhoka roulynnâ ai awm chang se. Amen.
PHP.4.21	Krista Jisu kân mi rythyng kipka ngyi rang chibai kyi tho pêk rou ky bylap sokpui â awm ngyi khawm chibai nyng nyng tho. 
PHP.4.22	Mi rythyng kipka ngyi chibai nyng nyng tho ia, Kaisar indongmi ngyi khawm hi chibai dyu nyng nyng tho.
PHP.4.23	Pumâ Jisu Krista ryngmunâ chu nyng rythâ kyn ai awm chang se.
COL.1.1	Paul, Pathyn nom kân Krista Jisu koudep le Timothi yi sokpui chu, 
COL.1.2	Kolossa kho kyn Krista kân mi rythyng ngyi le sokpui khymawmmi ngyi kyn chu:
COL.1.2	Pathyn yi Pâ kyntâ ryngmunâ le ryngyinâ nyng kyn awm se.
COL.1.3	Nyngni tâsik chawng kyi mychai rima yi Pumâ Jisu Krista le Pâ Pathyn rang pat hyrchawng kyi ril sin, 
COL.1.4	asik chu Jisu Krista rang nyng khymnâ le mi rythyng ngyi rang nyng mawawlnâ kyi hoi a, 
COL.1.5	hi khymnâ le mawawlnâ nyngni tâsiknin ryvâna syksai chu, tyna Retep Thâ chawngtak nyng kyn ai hawng tung ha nyng hoi ta ha. 
COL.1.6	Pathyn ryngmu diknâ kipka nyng hoi ni kyn ai chang kuvangnin, khawmol pumpui kyn Retep Thâ hi myrâ nyinin a pung ta ia; 
COL.1.7	kyi sokro champui mawawl tak Epaphra kân nyng rysyi kuvangnin, atak chu kyi ruthulnin Krista tulsinmi khymawm tak â chang a, 
COL.1.8	atak chu rythânin nyng mawawlnâ khawm kyi na ril a.
COL.1.9	Hamâtâsiknin rythâ tyngtâ singnâ le hoithyinâ tinka kyn chu, ai nom dân min rikipnâ kyn nyng bit thyi rang kân, kyi hoi ni kyntâ chu kyini khawm chawngmychai le nyng na zawng pêk chu ryngam mung; 
COL.1.10	pheng tyngtâ Pumâ sungdâinâ rangnin ai nom kân awm rou, hanung sinthâ tinka kân a myrâ nyinin Pathyn rang hoinâ tyngnin rikipnin awm rou; 
COL.1.11	roulyn taknin rylangnâ râtnâ zikavangnin râtnâ tinka le râtnâ dyrnâ le tipsawinin zâipâr taknin awm rou, 
COL.1.12	Pâ, vârnâ kyn mi rythyng ngyi le rou munka man thyi rangnin yi na symmi rang hyrchawng ril rou. 
COL.1.13	Atak chu âzing sinthothyinâ kyntâ yi na mawzawknin, a Sapâ mawawl tak ram kyn chu yi na milui ta; 
COL.1.14	a kyntâ chu rytannâ yi man a, yi rono ngyi mawzawknâ chu.
COL.1.15	Atak rumu thyi mak Pathyn le a ryangpuimi, tharo sym tinka kyntâ rizir mânsâchem chu â chang a; 
COL.1.16	a kyn chu atinka sym â chang a, ryvâna â awm ngyi, nênga â awm ngyi kynang, a rumu thyi ngyi le rumu thyi mak ngyi kynang, mylal sungmun ngyi khawm, roubonâ ngyi khawm, mylal changnâ ngyi khawm, chukthyinâ ngyi khawm, atinka hi atak ai sym â chang a, a tâ rangnin sêk sym â chang; 
COL.1.17	hanung, atak chu atinka a awm mâna tâ ai awm sai â chang a, a kânin atinka khawm ai ding â chang. 
COL.1.18	Atak chu taksâ (hamâ chu kouchawrai ngyi) lu â chang; atinka kyn a rysâng chem a chang thyi rang kân, a rubul, âthi ngyi kyntâ a rizir mânsâchemmi chu â chang. 
COL.1.19	Asik chu Pathyn rikipnâ tinka kyn sungdâinâ awm â nom a, rikipnâ tinka chu a kyn â awm a, 
COL.1.20	hanung, a kânin tharo kipka a kyn rawtawngnin, rênêng chunga le ryvân chunga rêk, Krosa a thisen ai long kânin sungdâinâ sym rangnin â chang.
COL.1.21	Tyna vawika nyng sin thamak thonâ siknin rykaknin le mâitem nyng chang ta ia, 
COL.1.22	imyitinung atun atak chu nyngni rang Krista maniâ takmê changnâ le a thinânin yng na mirawtawng nok a, nyngni rang rythyng taknin, mêl duk lounin le rysylnâ bounin a makunga nyng na mirylang rang kân. 
COL.1.23	Dingnâ nyinin nget tak kân awmnin, Retep Thâ hoinin nyng khymnâ kyntâ resen sin lounin, khymnâ kyn nget taknin nyng awm nung; hâ Retep Thâ hâ ryvân noia tharo sym kipka kyn ril ai chang ha, kyima Paul hi hamâ tulsin rangnin sym ki chang.
COL.1.24	Nyng na ky tor puinâ siknin ki lawm, Krista mytak a tornâ tâ lyi chu a taksâ tâsiknin ky tak kânin tou ky hai mawzawm tâk; a taksâ chu kouchawrai ngyi hi yng chang. 
COL.1.25	Pathyn chawng rosonnin ril rang tânin le zai rang tâ Pathyn chu kyima rang nyngni tâsik kai pêk kuvang kânin, hangyi tulsin rangnin sym ki chang. 
COL.1.26	Kusung kusung kyryng kyryng ruthupnin ai awm ha, imyitinung atun chu a mi rythyng ngyi kyn mirylangnin a awm ta. 
COL.1.27	Hâ maniâ ngyi kyn hâ zât tinka rang a chawng ruthup lyn takka le lung takka chu, Pathyn chu mihoi rang â nom a; hâ chawng ruthup chu, Krista nyng kyn â awmmi roulynnâ rysângnâ sik chu â chang; 
COL.1.28	mi kipka Krista kyn chu rikipnin yi miding thyi rang kânin, a milu rang punnin, a milu rang thyinâ tinka le rysyinin a retep yi ril sin hi; 
COL.1.29	hamâ tho rang chu Krista râtnâ sadim kân ky kyn â tho sinmi rang mangnin ky tho sin a, ky thyityk kân zâl ki sawng sin.
COL.2.1	Nyngni le Laodikei kho kyn â awm ngyi le taknin ky mêl mu mak ngyi kipka tâ, hazika maw nyngni tâsik zâl ki sawng hi nyng hoi ki nom a; 
COL.2.2	yng mulunga rawawlnânin munkân rawzawmnâ le yng rawawl thyi rang kân, hanung, Pathyn chawng ruthup (thyinâ le hoinâ rou tinka ruthupnâ Krista chu) yng hoi thyi rang kân, 
COL.2.3	hanân atinka hoinâ rou syk â chang. 
COL.2.4	Atun himâ hi mi atu khawm chawng thum le nyng nyng lêm mak rang kân ki ti â chang. 
COL.2.5	Taknin nyng kyn ky awm mak khawm, zâipâr taknin awmnin, nyng thanâ le Krista rang nget taknin nyng khymnâ ennin, rythânin te nyng bylap ki awm.
COL.2.6	Hamâsiknin Krista Jisu Pumâ rang nyng pawm kuvangnin, a kyn awm rou. 
COL.2.7	A kyn ruzung mythâknin le rysymnin rysyi kânin nyng khymnâ kyn nget taknin awmnin nyng lawmchawng ril mitam rou.
COL.2.8	Rikim rou, hamaknung chu mi atu khawm Krista ai nom kân chang lounin, maniâ chawngmâk rylân le khawmol ai nom kuvangnin, yng thyinâ le lêmnâ le reng zât râkal nyng na la iyng ha. 
COL.2.9	A kyn chu Pathyn rikipnâ tinka taksâ nyinin â awm. 
COL.2.10	A kyn chu rikip khawm nyng na rikip ta ia; atak chu mylal le chuknâ tinka tâ lu â chang. 
COL.2.11	Krista chukmorâtnâ kân chu, mê tak pheng khotnin, a kân sêk chu kut le chukmorât chang lounin chukmorât chu nyng chang ha; 
COL.2.12	baptisma kyn chu a bylap phum nyng chang ta ia, hamâ kân sêk âthi sung kyntâ atak rang a mythoumi Pathyn tulsin khymnâ tâsiknin, a kyn mythou nyng chang ta seng ha. 
COL.2.13	Khanung, nyngni ngyi nyng sintho thamak ngyi le nyng taksânin chukmor nyng ât mak ngyi tâsiknin thi nyng chang ta ia, nyngni rêlê chu a kân nyng nai midam â chang ha, yi awm thamak kipka ngyi kyntâ yi na mawzawk a, 
COL.2.14	yi oknâ lekhâ kyn rusui, yi chunga â awm yi na khâl sinmi chu mysytnin a pai ta ia; hamâ rêlê Krosa rytârnin a lâk tâk. 
COL.2.15	Hanung, mylalnâ le chuknâ ngyi chu liknin hâ Kros kânin hangyi chu mênênin, langnin mihoinâ rangnin a mang tâk.
COL.2.16	Hamâsiknin, nêk sâk kyn maw, nenâ kyn maw, pantâ ni kyn maw, tha tharni kyn maw, ryngamni kyn maw mi atu khawm nyng na rêsêl awm mar se; 
COL.2.17	hingyi hi tharo hawng tung lom ngyi rimil reng tou, imyitinung tytak chu Krista â chang. 
COL.2.18	Rylangnâ â dang tak munin â ril ngyi, khawmol mulung ruputnin, i chang lêm lounin zâl â sawng, tak rang milung lounin, ryvânpilâi byk lom â ti ngyi nyng na midawk ma ngyi se. Hangyi ha lu, Krista rang chu von khâi ma ngyi. 
COL.2.19	Lu kyntâ taksâ pumpui bawng dang dang munkân rawzawm rang ha a mysâ ia, Pathyn ai nom kân rêlênin â lyn sin.
COL.2.20	Khawmola rysyinâ dikmak ngyi chu Krista kyn nyng that a chang nung te, itâ maw khawmol mi ngyi kuvang te, “Ton ma raw, retem ma raw, khik ma raw,” 
COL.2.21	tinin yng maniâ kut le tharo yng tho kykyi le yng phok ngyi rang te nyng la milung. 
COL.2.22	Hangyite sa zounin â hek lom reng tou â chang. 
COL.2.23	Hi ryvânpilâi ngyi rang â byk ti ngyi, taksâ milung mak ti ngyi, taksâ rang â ron sin ngyi hi âtha kânin a rylang a, imyitinung tytak mê rang mênênâ rang tânin chu chuk mak.
COL.3.1	Hamâsiknin, Krista le mythounin nyng awm a chang nung chu chung tyng, Pathyn bunêk khak tyng â sung Krista awmnâ kyn tharo â awm ngyi lam rawk rou. 
COL.3.2	Chung tyngtâ tharo awm ngyi tyng mulung pe rou, nênga tharo awm ngyi tyng mulung pe lounin. 
COL.3.3	Nyng na thi ta ia, nyng nuk chu Pathyn kyn Krista bylap ruthupnin â awm. 
COL.3.4	Krista yi nuk â changmi ha a hawng rylang tika chu, nyngni khawm a kyn roulyn bila la rylang nyng.
COL.3.5	Khanungchu, nyng taksâ mychang nênga â awm ngyi hi that rou, rawawlnâ ngyi, a repek ngyi, hurnâ ngyi, ruzuknâ dikmak ngyi, lyksy ngyi (lyksy hi rimil byknâ â chang a); 
COL.3.6	hâ tharo tâsiknin, Pathyn ningsy chu khymmak synâu ngyi chung kyn a hawng tung sin a; 
COL.3.7	nyngni ngyi khawm tyna hâ tharo ngyi kyn nyng awm lâi, hangyi kyn nyng awm sin ha. 
COL.3.8	Imyitinung atun kyn chu nyngni ngyi khawm hingyi, ningsy ngyi, ningrymyknâ ngyi, mumâknâ ngyi, rêsêlnâ ngyi, nyng mur kyntâ bâungal chawng ngyi hi sok mar se. 
COL.3.9	Rêlêm ma rou, maniâ mului rang chu a sintho ngyi le khotnin nyng pai ta ia, 
COL.3.10	maniâ thar mi le tou nyng rawthawp ta ia, hâ maniâ thar chu hoi rikipnâ nyi rangnin, â symmi le ryangpui rangnin a thar kânin sym a chang lâizing; 
COL.3.11	hanân chu Grik mi le Juda mi, chukmorât le ât mak, zât dang ngyi, Skuthia mi ngyi, sokro ngyi, sokro chang mak khawm awm thyi ma ngyi; Krista chu atinka changnin atinka kyn khawm â awm.
COL.3.12	Khanungchu, Pathyn zenmi, mi rythyng le mi mawawlmi ngyi kuvang ryngmu mulung, ryngâisynâ, rotomnâ, rêmênâ, rawdawlthyinâ ngyi le rawthawmnin awm rou. 
COL.3.13	Nyngni le nyngni rotorpui nang, luka le luka ruphunnâ a awm nung nyngni le nyngni rymawzawk rou; Pumânin nyngni rang ryng nyng nai mu kuvangnin nyngni khawm rymawzawk zylai rou. 
COL.3.14	Khanung, hangyi tinka chunga chu rawawlnâ le rawkawp rou, hamâ ngan tâk rikhit rikip chu. 
COL.3.15	Khanung, Krista sungdâinâ chu nyng mulung kyn rou bor se, hakhan chang rang tâsiknin taksâ munka chang rangnin kou ngan nyng chang; hanung, hyr lam hoinin awm rou. 
COL.3.16	Krista rou chu hoinâ tenka nyng kyn tamka ai awm chang se; mypâknâ lâ ngyi; Pathyn lâ ngyi rythâ tyngtâ lâ ngyi rysyi zylainin riril rou, nyng mulung kyn ryngmunâ nyinin Pathyn lâ saknin awm rou. 
COL.3.17	Khanung, nyng tho kipka chu chawngril kyn maw, sinnâ kyn maw a zâra Pâ Pathyn kyn lawmchawng ril bylamnin Pumâ Jisu rimingnin pheng tho rou.
COL.3.18	Nupui ngyi Pumâ kyn ai ruptê kânin nyng lompu ngyi kyn repe rou.
COL.3.19	Lompu ngyi, nyng nupui ngyi rang yng na mawawl rou, ningsy yng na rumu ma rou. 
COL.3.20	Nâupang ngyi, atinka kyn nyng nu le nyng pâ ngyi chawng dawn rou, hamâ ngan tou Pumâ chu ai hyr â chang.
COL.3.21	Pâ ngyi, nyng nâu ngyi yng na minor ma rou, hamaknung chu yng ning zat dawng at.
COL.3.22	Sokro ngyi, taksâ tyngtâ nyng ulyn ngyi chawng hi atinka kyn zawm rou, maniâ rang zâi mipârnâ rangnin mit munâ kyn reng tulsin lounin, mulung khatka le Pumâ rang ringnin lam zânin awm rou. 
COL.3.23	Nyng tulsin khawm chang se, sadim kân sinnin maniâ tulsin chang lounin Pathyn tulsin tou â chang, 
COL.3.24	hoi rou, Pumâ kyntâ rou nyng man lom chu nyngni tâ lawmman a chang ta; asik chu Pumâ Krista tulsin nyng chang. 
COL.3.25	Dikmak kân tul â sinmi chu dikmak kânin a myrâ man at; atu rang ngan zen leknâ awm mak.
COL.4.1	Ulyn ngyi, nyngni khawm ryvâna ulyn nyng nyi ti hoinin, nyng sokro ngyi chunga âdik le en hyinin tho rou.
COL.4.2	Mawng lounin chawngmychai rou, hanân chu lawmchawng ril bylamnin ryvak rou. 
COL.4.3	Ky iyng khitnâ sik Krista chawng ruthup chu ril rangnin, Pathyn chu chawng siknin lampui ka mawhawng pêk rang kânin kyini tâsik khawm chawng kyi na mychai pêk rou. 
COL.4.4	Ki ril lom kuvang kân ki ril thyi rangnin. 
COL.4.5	Zo thâ rawchawnin, pên kyntâ mi ngyi kyn chu sing taknin awm rou. 
COL.4.6	Mi kipka kyn hakhanin maw yng na nyng ril thyi rang kân nyng mur chawng sok chu, michial le ryngmunânin pat ai rechel chang se.
COL.4.7	Pumâ kyn sokpui mawawl tak, tulsin khymawm, kyi sokro champui Tukika hi ky retep awm tenka nyng na ril at. 
COL.4.8	Himâtâsik rêlê ngan atak rang hi nyng kyn hawng dep â chang, ky retep nyng hoi thyi rang kânin le nyng mulung a midâi thyi rang kânin, 
COL.4.9	Onesima, sokpui khymawm le mawawl tak, nyng bylap kyntâ mi le hi. Yngni ngyi hi tynatâ tharo awm dân tinka nyng na ril yng.
COL.4.10	Aristarka, jil ki lut champuipâ hi chibai nyng na buk a; Mark, Barnaba tupâ khawm chibai nyng na buk a, (atak chunga chawngpêk ngyi nyng mu ha; nyng kyn a hawng nung hai lawm rou;) 
COL.4.11	Jisu, Justa yng timi khawm hi chibai nyng na buk. Hangyi ha chukmorâtmi yng chang; hangyi reng ha Pathyn ram chawng lamtyng ki sin champui, ku sung a midâi ngyi yng chang.
COL.4.12	Epaphra, nyng kyntâ mi, Krista Jisu sokropâ hi chibai nyng na buk a, atak chu Pathyn ai nom kân kipka kyn thornâ â nyimi le nget taknin khymnâ nyinin nyng ding thyi rangnin, nyngni tâsiknin zai chawng a mychai sin. 
COL.4.13	Nyngni ngyi tâsik, Laodikei kho kyn â awm ngyi tâsiknin, Heirapoli kho kyn â awm ngyi tâsiknin luk zâl â sawng tinin ki hoi. 
COL.4.14	Luka, daktawr mawawl tak le Dema ngyi hi chibai nyng nyng buk.
COL.4.15	Laodikei kho kyn sokpui â awm ngyi rang ha ki chibai yng na ril rou; Numpha le a ina kouchawrai ngyi rang chu ki chibai ril seng rou. 
COL.4.16	Khanung, hi lekha dep hi nyng kyn nyng pawrê zou nung, Laodikei kouchawrai ngyi rang khawm yng na mipawrê seng rou; nyngni khawm Laodikei kho kyntâ ngyi ang khawm hai pawrê rou. 
COL.4.17	Khanung, Arkippa kyn ha, “Tulsinnâ Pumâ kyntâ ni man ha ni miroso rangnin rikim raw,” tinin ril rou.
COL.4.18	Kyima Paul, ku kut rêlênin chibai nyng na ku buknâ â chang hi. Ki sikawl rubun hi thep hoi rou. Ryngmunâ nyng kyn ai awm chang se.
1TH.1.1	Paul le Silvana le Timothi chu Pâ Pathyn le Pumâ Jisu Krista kyn Thessalonika khomi kouchawrai ngyi kyn:
1TH.1.1	Ryngmunâ le sungdâinâ nyng kyn ai awm chang se.
1TH.1.2	Kyi chawngmychai zo ngyi kyn nyng riming chingnin nyng châk tânin Pathyn kyn pat lawmchawng kyi ril sin. 
1TH.1.3	Khym taknin nyng sinnâ, mawawlnânin nyng zâl sawngnâ, yi Pumâ Krista rang khymnânin tipsawinâ, yi Pathyn le yi Pâ makunga pat nyng na kyi pui sin. 
1TH.1.4	Sokpui, Pathyn mawawlmi ngyi, nyng nai zen ha kyi hoi; 
