GEN.1.1	Pakuyamba Mulungu adalenga dzulu napantsi. 
PSA.110.6	An'zatonga madziko yentse,
PSA.110.6	achizayadzadza nabzitanda.
PSA.110.6	An'zaphwanya mazimambo,
PSA.110.6	padziko lentse lapantsi.
PSA.110.7	Iye an'zamwa mukankulo kali munjila,
PSA.110.7	nakutenepo an'zasumusa nsolo wake.
PSA.111.1	Aleluya!
PSA.111.1	Nin'zatenda Chawuta nantima wangu wentse,
PSA.111.1	muchipani chawakukonkholoka, musonkhano.
PSA.111.2	Nimakulu mabasa ya Chawuta,
PSA.111.2	yampsagiwa nawentse aniyafuna.
PSA.111.3	Mabasa yake yadadzala nawukulu nandemela,
PSA.111.3	chilungamo chake chim'mala lini.
PSA.111.4	Adayikha nkhumbusila yamabasa yake yan'dabwisa;
PSA.111.4	Chawuta niwakukoma ntima pomwe niwachifundo.
PSA.111.5	Ampeleka chakudya kwaawo animugopa;
PSA.111.5	ankumbuka chibvano chake nthawe zentse.
PSA.111.6	Wadziwisa wanthu wake mphamvu zamabasa yake,
PSA.111.6	pakuwapasa nthaka yamadziko yamishowo.
PSA.111.7	Mabasa yamanja yake niyakukhulupilika nakutonga;
PSA.111.7	maweluzo yake yentse niyakukhulupilika,
PSA.111.8	yadakhazikisiwa kufika lini nalini,
PSA.111.8	kuti yachitewe nachikhulupililo nakukonkholoka.
PSA.111.9	Adatuma kulombola kwawanthu wake;
PSA.111.9	adalewa chibvano chake chakufika lini nalini.
PSA.111.9	Kuyela nakugopsa ndilo dzina lake!
PSA.111.10	Kugopa Chawuta ndiko kuyamba kwanzelu;
PSA.111.10	kubvesesesa kwabwino kuna wentse an'gopa.
PSA.111.10	Dumbizo lake lim'mala lini!
PSA.112.1	Aleluya!
PSA.112.1	Ali bwino munthu an'gopa Chawuta,
PSA.112.1	ankondwa kwene-kwene namitemo yake!
PSA.112.2	Wana wake an'zakhala nambili padziko;
PSA.112.2	m'badwe wakukonkholoka un'zadalisiwa.
PSA.112.3	Chuma nakukhupuka bzin'zakhala munyumba mwake;
PSA.112.3	chilungamo chake chim'mala lini.
PSA.112.4	Mwenje uniwinika mun'dima wawakukonkholoka;
PSA.112.4	niwakukoma ntima, niwachifundo, nawakulungama.
PSA.112.5	Ali bwino munthu wakukoma ntima, ankweletesa;
PSA.112.5	anfambisa bzinthu bzake mwakulinganiza.
PSA.112.6	Nthawe zentse an'zatekenyesewa lini;
PSA.112.6	wakulungama an'zakumbukiwa nthawe zentse.
PSA.112.7	An'gopa lini mpfeso zakuyipa;
PSA.112.7	ntima wake udalimba, an'themba Chawuta.
PSA.112.8	Ntima wake niwakukhazikika, an'zagopa lini,
PSA.112.8	kufikila wawona kukundiwa kwaazondi wake.
PSA.112.9	Ampeleka namoyo wentse,
PSA.112.9	ampasa amphayi;
PSA.112.9	chilungamo chake chim'mala lini;
PSA.112.9	mphamvu zake zinkuziwa muchilemelelo.
PSA.112.10	Wakuyipa am'bziwona achikalipa;
PSA.112.10	ankukuta mano yake achisungunuka;
PSA.112.10	chaanfuna wanthu wakuyipa chim'mala.
PSA.113.1	Aleluya!
PSA.113.1	Dumbizani, imwe alanda wa Chawuta,
PSA.113.1	dumbizani dzina la Chawuta!
PSA.113.2	Dzina la Chawuta ngalidalisiwe,
PSA.113.2	kuyambila nthawe ino kufika lini nalini!
PSA.113.3	Kuyambila pakuchoka kwadzuwa, mpaka kudoka kwalene,
PSA.113.3	dzina la Chawuta ngalidumbiziwe!
PSA.113.4	Chawuta ali padzulu pamadziko yentse,
PSA.113.4	pomwe chilemelelo chake chili padzulu pamadzulu!
PSA.113.5	Mbani aninga Chawuta Mulungu wathu,
PSA.113.5	uyo adakhala padzulu-dzulu?
PSA.113.6	Uyo an'nyangana pantsi,
PSA.113.6	achiwona pamadzulu napantsi?
PSA.113.7	Anilamusa amphayi kuchoka mupfumbi,
PSA.113.7	achisumusa ansaya kuchoka pamudwi wadotha,
PSA.113.8	achiwachita kuti akhale namanduna,
PSA.113.8	namanduna yawanthu wake.
PSA.113.9	Ampasa nkazi alibe mbeleko muyi,
PSA.113.9	achimpasa wana wachimuna, ankondwa.
PSA.113.9	Aleluya!
PSA.114.1	A Izraeli paadachoka ku Ijipiti,
PSA.114.1	nyumba ya Jakobho payidachoka kuwanthu wanshowo wachilendo,
PSA.114.2	Judha adakhala mbuto yake yakuyela,
PSA.114.2	Izraeli adakhala dziko lawumambo wake.
PSA.114.3	Nyanja idanyangana nkuthawa,
PSA.114.3	Jorodhani idabwelela m'mbuyo.
PSA.114.4	Mapili yadamoga-moga kubvina ninga mikono yamabila,
PSA.114.4	mitunthu ninga wana wamabila.
PSA.114.5	Ko n'chinyi chachitika, iwe nyanja kuti uthawe?
PSA.114.5	Iwe Jorodhani, kuti ubwelele m'mbuyo?
PSA.114.6	Imwe mapili kuti mumoge-moge kubvina ninga mikono yamabila?
PSA.114.6	Imwe mitunthu, ninga wana wamabila?
PSA.114.7	Tetemela, iwe dziko pamaso pa Mbuya,
PSA.114.7	pamaso pa Mulungu wa Jakobho,
PSA.114.8	uyo ansandula mwala kukhala thawale lamadzi,
PSA.114.8	ansandula luwale kukhala ntsantsa yamadzi.
PSA.115.1	Kwayise nee, imwe Chawuta, kwayise nee,
PSA.115.1	koma kudzina lanu pelekani ulemelelo,
PSA.115.1	nathangwe lantsisi zanu nakhulupilika kwanu!
PSA.115.2	Ko thangwe lanyi madziko yachilewa kuti,
PSA.115.2	“Mulungu wawo ali kuponi?”
PSA.115.3	Mulungu wathu ali kudzulu;
PSA.115.3	bzentse bzaanfuna an'chita.
PSA.115.4	Bzifanikizo bzawo nisiliva nagolidhe,
PSA.115.4	mabasa yamanja yamunthu.
PSA.115.5	Bzina milomo, koma bzinilewa-lewa lini;
PSA.115.5	bzina maso, koma bziniwona lini.
PSA.115.6	Bzina makutu koma bzim'bva lini;
PSA.115.6	bzina mphuno, koma bzin'nunkhiza lini.
PSA.115.7	Bzina manja koma bzim'phata lini;
PSA.115.7	bzina minyendo, koma bzinfamba lini;
PSA.115.7	pomwe bzin'chosa lini fala pangololo pabzene.
PSA.115.8	Awo am'bzikonza aninga ibzo;
PSA.115.8	nawentse an'themba nayibzo.
PSA.115.9	Iwe Izraeli, themba na Chawuta!
PSA.115.9	Iye ndiye thandizo lawo nanchinjilizo yawo.
PSA.115.10	Iwe nyumba ya Aroni themba Chawuta!
PSA.115.10	Iye ndiye thandizo lawo nanchinjilizo yawo.
PSA.115.11	Imwe mun'gopa Chawuta thembani Chawuta!
PSA.115.11	Iye ndiye thandizo lawo nanchinjilizo yawo.
PSA.115.12	Chawuta antikumbuka, an'zadalisa;
PSA.115.12	an'zadalisa nyumba ya Izraeli;
PSA.115.12	an'zadalisa nyumba ya Aroni;
PSA.115.13	An'zadalisa awo an'gopa Chawuta,
PSA.115.13	ang'ono naakulu.
PSA.115.14	Chawuta ngaakuthimizileni,
PSA.115.14	imwe nawana wanu!
PSA.115.15	Ngamudalisiwe na Chawuta,
PSA.115.15	nyakulenga kudzulu napantsi!
PSA.115.16	Kudzulu nkudzulu kwa Chawuta,
PSA.115.16	koma dziko lapantsi lidapasiwa kwawana wamunthu.
PSA.115.17	Wakufa an'dumbiza lini Chawuta,
PSA.115.17	panango wale aniyenda kukunyamala.
PSA.115.18	Koma ise tin'zadalisa Chawuta,
PSA.115.18	kuyambila nthawe ino kufika lini nalini.
PSA.115.18	Aleluya!
PSA.116.1	Ninfuna Chawuta pakuti adabva fala langu,
PSA.116.1	adabva kukumbila kwangu,
PSA.116.2	pakuti adateya khutu lake kwayine,
PSA.116.2	nakutenepo nin'zachemelela kwayiye muntsiku zangu.
PSA.116.3	Bzingwe bzayimpfa bzandimanga;
PSA.116.3	kubzanya kwambuto yawanthu wakufa kwandiphata;
PSA.116.3	ndawona nthamu nakuwawidwa.
PSA.116.4	Pamwepo ndidachemela dzina la Chawuta:
PSA.116.4	“Imwe Chawuta ndaphata minyendo yanu, chizani umoyo wangu!”
PSA.116.5	Chawuta niwakukoma ntima nawakulungana;
PSA.116.5	Mulungu wathu niwachifundo.
PSA.116.6	Chawuta an'chengeta wanthumbo bzawo;
PSA.116.6	ndidadelezewa, pomwe adandichiza.
PSA.116.7	Bwelela, iwe moyo wangu kumpumulo wako;
PSA.116.7	pakuti Chawuta wakuchitila bzizinji kwene-kwene.
PSA.116.8	Pakuti imwe mwapulumusa moyo wangu kuyimpfa,
PSA.116.8	maso yangu kumisozi,
PSA.116.8	nzayo zangu kukukhukhumudwa;
PSA.116.9	ninfamba pamaso pa Chawuta,
PSA.116.9	m'madziko yawanthu wamoyo.
PSA.116.10	Ndidakhulupilila, ne pandikhati,
PSA.116.10	“Ndili munyathwa kwene-kwene.”
PSA.116.11	Mwakankulumiza ndidati,
PSA.116.11	“Wanthu wentse ana magunkha.”
PSA.116.12	Ko Chawuta ningampagalenyi,
PSA.116.12	pabzentse bzabwino bzaadandichitila?
PSA.116.13	Nin'zasumusa nkombo wachipulumuso,
PSA.116.13	ndichichemela dzina la Chawuta.
PSA.116.14	Nin'zachita bzandidalumbilila kwa Chawuta,
PSA.116.14	patsogolo pawanthu wake wentse.
PSA.116.15	Nichantengo wapadzulu kwene-kwene pamaso pa Chawuta,
PSA.116.15	yimpfa yawantsisi wake.
PSA.116.16	Ndaphata minyendo yanu, imwe Chawuta;
PSA.116.16	ndine mulanda wanu, mwana wamulandakazi wanu,
PSA.116.16	mwatsudzula bzingwe bzangu.
PSA.116.17	Kwayimwe, nin'zapeleka ntsembe yakutenda,
PSA.116.17	pomwe ndichichemela dzina la Chawuta.
PSA.116.18	Nin'zachita bzandidalumbilila kwa Chawuta,
PSA.116.18	patsogolo pawanthu wake wentse,
PSA.116.19	mubzintalo bzanyumba ya Chawuta,
PSA.116.19	nkati mwako, iwe Jerusalema.
PSA.116.19	Aleluya!
PSA.117.1	Dumbizani Chawuta, imwe mishowo yentse!
PSA.117.1	Muyimbileni, imwe wanthu wentse!
PSA.117.2	Pakuti ntsisi zake kwayise n'zikulu;
PSA.117.2	chikhulupililo cha Chawuta chim'mala lini.
PSA.117.2	Aleluya!
PSA.118.1	Tendani Chawuta, pakuti niwabwino!
PSA.118.1	Pakuti ntsisi zake zim'mala lini!
PSA.118.2	Lekani Izraeli iti,
PSA.118.2	“Pakuti ntsisi zake zim'mala lini.”
PSA.118.3	Lekani nyumba ya Aroni iti,
PSA.118.3	“Pakuti ntsisi zake zim'mala lini.”
PSA.118.4	Lekani awo an'gopa Chawuta ati,
PSA.118.4	“Pakuti ntsisi zake zim'mala lini.”
PSA.118.5	Ndili munthamu zangu, ndidachemela Chawuta,
PSA.118.5	Chawuta adandidayila achindiyikha mumbuto yakupfuthuka.
PSA.118.6	Chawuta ali kumbali kwangu, nin'gopa lini,
PSA.118.6	ko munthu angandichitenyi?
PSA.118.7	Chawuta ali kumbali kwangu, nin'thandizi wangu,
PSA.118.7	nin'zanyangana kukundiwa kwaawo anin'zonda.
PSA.118.8	Bzili bwino kuthawila kwa Chawuta,
PSA.118.8	pana kuthemba namunthu.
PSA.118.9	Bzili bwino kuthawila kwa chawuta,
PSA.118.9	pana kuthemba namanduna.
PSA.118.10	Mishowo yentse yawanthu idandizungunuka;
PSA.118.10	mudzina la Chawuta ndidaacheneka!
PSA.118.11	Adandizungunuka, adandizungunuka mbali zentse;
PSA.118.11	mudzina la Chawuta ndidaacheneka!
PSA.118.12	Adandizungunuka ninga nyuchi,
PSA.118.12	adathima ninga moto waminga;
PSA.118.12	mudzina la Chawuta ndidaacheneka!
PSA.118.13	Mudandigwinya mwamphamvu, bzakutofuna kugwa,
PSA.118.13	koma Chawuta adandithandiza.
PSA.118.14	Mphamvu zangu nanyimbo yangu ni Chawuta,
PSA.118.14	iye wakhala chipulumuso changu.
PSA.118.15	Fala lakukuwa kwakukondwa, lachipululuso, lili m'matenti yawakulungama:
PSA.118.15	“Janja ladidi la Chawuta linkunda,
PSA.118.16	janja ladidi la Chawuta linkuziwa,
PSA.118.16	janja ladidi la Chawuta linkunda!”
PSA.118.17	Ninfa lini, koma nin'khala wamoyo,
PSA.118.17	ndichilongosola mabasa ya Chawuta.
PSA.118.18	Chawuta adandilanga kwene-kwene,
PSA.118.18	koma alibe kundipeleka kuyimpfa.
PSA.118.19	Ndifungulileni misuwo yachilungamo!
PSA.118.19	Kuti ndipite napamwepo,
PSA.118.19	ndichikatenda Chawuta.
PSA.118.20	Uwu ninsuwo wa Chawuta;
PSA.118.20	wakulungama ampita napamwepo.
PSA.118.21	Ninkutendani pakuti mwandidayila,
PSA.118.21	mwawa chipulumuso changu.
PSA.118.22	Mwala uwo udalambiwa naanyakumanga,
PSA.118.22	ndiwo wakhala mwala una basa likulu, wapagonyo.
PSA.118.23	Uku nkuchita kwa Chawuta;
PSA.118.23	chin'dabwisa m'maso mwathu!
PSA.118.24	Iyi nintsiku yaadakonza Chawuta;
PSA.118.24	tin'zakondwa tichisekelela mwayiyo.
PSA.118.25	Tichizeni, taphata minyendo yanu, imwe Chawuta!
PSA.118.25	Imwe Chawuta, taphata minyendo yanu, tipaseni kusumukila!
PSA.118.26	Ngaadalisiwe uyo am'bwela mudzina la Chawuta!
PSA.118.26	Tinkudalisani kuchokela munyumba ya Chawuta.
PSA.118.27	Chawuta ni Mulungu,
PSA.118.27	ndiye adatipasa mwenje.
PSA.118.27	Mangililani ntsembe yakusekelela nathambo,
PSA.118.27	kuminyanga yapambuto yakupelekela ntsembe!
PSA.118.28	Imwe ndimwe Mulungu wangu, nin'zakutendani;
PSA.118.28	ndimwe Mulungu wangu nin'zakukuzani.
PSA.118.29	Tendani Chawuta pakuti niwabwino!
PSA.118.29	Pakuti ntsisi zake zim'mala lini!
PSA.119.1	Ali bwino awo njila yawo niyakukonkholoka,
PSA.119.1	anfamba m'mafundiso ya Chawuta!
PSA.119.2	Ali bwino awo anteyeza umboni wake,
PSA.119.2	animupsaga nantima wawo wentse,
PSA.119.3	pomwe ansaya kuchita chakuyipa,
PSA.119.3	koma munjila zake anfamba!
PSA.119.4	Mudalewa maweluzo yanu,
PSA.119.4	kuti yateyezewe bwino-bwino.
PSA.119.5	Nkhasa ninga njila zangu zikhali zakukhazikika,
PSA.119.5	pakuteyeza malango yanu!
PSA.119.6	Pamwepo nin'zanyazisiwa lini,
PSA.119.6	maso yangu yadanyangana mitemo yanu.
PSA.119.7	Nin'zakutendani nantima wakukonkholoka,
PSA.119.7	panin'zafunda kutonga kwanu kwakulungama.
PSA.119.8	Nin'zateyeza malango yanu;
PSA.119.8	imwe lekani kunditayilatu!
PSA.119.9	Ko mulumbwana angakhale tani adachena munjila yake?
PSA.119.9	Pakuchengeta kuteyeza fala lanu.
PSA.119.10	Nantima wangu wentse, nimpsaga imwe;
PSA.119.10	lekani kuti ndipatuke pamitemo yanu.
PSA.119.11	Ndayikha fala lanu muntima mwangu,
PSA.119.11	kuti ndileke kukutazilani pomwe.
PSA.119.12	Dalisiwani, imwe Chawuta;
PSA.119.12	ndifundiseni malango yanu!
PSA.119.13	Namilomo yangu ninilewa,
PSA.119.13	kutonga kwentse kwamulomo wanu.
PSA.119.14	Munjila yawumboni wanu, ninkondwa,
PSA.119.14	ninga bzanin'chitila chuma chentse.
PSA.119.15	Nin'zalingilila pamaweluzo yanu,
PSA.119.15	ndichiyikha maso yangu panjila zanu.
PSA.119.16	Nin'zakondwa namalango yanu;
PSA.119.16	nin'zayebwa lini fala lanu.
PSA.119.17	Chitilani bzizinji mulanda wanu,
PSA.119.17	kuti ndikhale wamoyo, ndichiteyeza fala lanu.
PSA.119.18	Fungulani maso yangu kuti ndiyikhe maso,
PSA.119.18	pabzinthu bzin'dabwisa kuchoka m'mafundiso yanu.
PSA.119.19	Ndine mulendo padziko lapantsi;
PSA.119.19	lekani kundibisa mitemo yanu!
PSA.119.20	Moyo wangu wadyewa nakusuwa,
PSA.119.20	kusuwila kutonga kwanu nthawe zentse.
PSA.119.21	Imwe muntsimula wakubzikuza, wakutembelelewa,
PSA.119.21	ampatuka pamitemo yanu;
PSA.119.22	chosani payine kunyazisiwa nakusekewa,
PSA.119.22	pakuti ndidateyeza umboni wanu.
PSA.119.23	Ne manduna yan'khala pantsi yachilewa bzayine,
PSA.119.23	mulanda wanu an'zalingilila malango yanu.
PSA.119.24	Pomwe umboni wanu ndiko kukondwa kwangu,
PSA.119.24	ndiko kuninipasa nzelu.
PSA.119.25	Moyo wangu um'mamatila kupfumbi,
PSA.119.25	ndimusuluzeni kuteyeza fala lanu!
PSA.119.26	Pandidalewa njila zangu, imwe mudandidayila;
PSA.119.26	ndifundiseni malango yanu!
PSA.119.27	Chitani kuti ndibvesese njila yamaweluzo yanu,
PSA.119.27	nin'zalingilila mabasa yanu yan'dabwisa.
PSA.119.28	Moyo wangu unsweka nakusuwa;
PSA.119.28	ndilimbiseni kuteyeza fala lanu!
PSA.119.29	Chosani kwayine njila zakunama;
PSA.119.29	ndikomeleni ntima, ndifundiseni mafundiso yanu!
PSA.119.30	Ndasankhula njila yachikhulupililo,
PSA.119.30	ndayikha kutonga kwanu patsogolo pangu.
PSA.119.31	Nim'mamatila pawumboni wanu, imwe Chawuta;
PSA.119.31	lekani kuti ndinyazisiwe.
PSA.119.32	Nin'zathamanga munjila yamitemo yanu,
PSA.119.32	mukakulisa ntima wangu!
PSA.119.33	Ndifundiseni, imwe Chawuta, njila yamalango yanu;
PSA.119.33	nin'zayiteyeza kufika kwakumalizila.
PSA.119.34	Ndipaseni kubvesesa kuti ndichengete mafundiso yanu,
PSA.119.34	nakuyateyeza nantima wangu wentse.
PSA.119.35	Nditsogoleleni munjila yamitemo yanu,
PSA.119.35	pakuti ninkondwa nayo.
PSA.119.36	Kwewelani ntima wangu kuwumboni wanu,
PSA.119.36	ayayi mukukhupuka nanjila yakudzonga!
PSA.119.37	Bwezani maso yangu pakunyangana bzinthu bzapezi-pezi!
PSA.119.37	Ndipaseni umoyo munjila zanu!
PSA.119.38	Khazikisani kwamulanda wanu chitsimikizo chanu,
PSA.119.38	chaawo an'gopa imwe!
PSA.119.39	Chosani kunyozewa kwanin'gopa,
PSA.119.39	pakuti matongelo yanu niyabwino!
PSA.119.40	Wonani, ninsuwa maweluzo yanu!
PSA.119.40	Muchilungamo chanu ndipaseni umoyo!
PSA.119.41	Lekani ntsisi zanu zibwele kwayine, imwe Chawuta!
PSA.119.41	Chipulumuso chanu kuteyeza chitsimikizo chanu!
PSA.119.42	Pamwepo nin'zakwanisa kudayila anin'nyoza,
PSA.119.42	pakuti nin'themba mufala lanu.
PSA.119.43	Lekani kuchoselatu fala lachadidi pamulomo wangu!
PSA.119.43	Pakuti nyanganilo yangu ili pamatongelo yanu.
PSA.119.44	Nin'zakhala ndichiteyeza mafundiso yanu,
PSA.119.44	kufika lini nalini;
PSA.119.45	nin'zafamba-famba mumbuto yakupfuthuka,
PSA.119.45	pakuti nimpsaga maweluzo yanu.
PSA.119.46	Pomwe nin'zalewa bzawumboni wanu patsogolo pamazimambo,
PSA.119.46	nin'zanyazisiwa lini;
PSA.119.47	nin'zakondwa mumitemo yanu,
PSA.119.47	yaninfuna.
PSA.119.48	Nin'zasumusa manja yangu kumitemo yanu yaninfuna,
PSA.119.48	nin'zalingilila pamalango yanu.
PSA.119.49	Kumbukani fala lanu kwamulanda wanu,
PSA.119.49	lidachitisa kuti ndikhale nachinyanganilo.
PSA.119.50	Uku nkunyamaliziwa kwangu munyathwa yangu,
PSA.119.50	kuti chitsimikizo chanu chinimpasa umoyo.
PSA.119.51	Wakubzikuza anin'nyoza kwene-kwene,
PSA.119.51	koma ninsiya lini mafundiso yanu.
PSA.119.52	Ninkumbuka kutonga kwanu kwakale;
PSA.119.52	nin'nyamaliziwa, imwe Chawuta.
PSA.119.53	Nim'phatiwa nawukali kwene-kwene nathangwe lawanthu wakuyipa,
PSA.119.53	awo antaya fundiso yanu.
PSA.119.54	Malango yanu yakhala nyimbo zangu,
PSA.119.54	munyumba yawulendo wangu.
PSA.119.55	Ninkumbuka dzina lanu usiku, imwe Chawuta,
PSA.119.55	ndichiteyeza mafundiso yanu.
PSA.119.56	Ibzi ndibzo bzandikhanabzo,
PSA.119.56	kuti nditeyeze maweluzo yanu.
PSA.119.57	Chawuta ndiye chigawo changu,
PSA.119.57	nintsimikiza kuteyeza mafala yanu.
PSA.119.58	Ninkumbila pamaso panu nantima wangu wentse,
PSA.119.58	ndikomeleni ntima kuteyeza kutsimikiza kwanu.
PSA.119.59	Ndikakumbuka njila zanu;
PSA.119.59	nin'chungunusa nzayo zangu kuwumboni wanu.
PSA.119.60	Ninkulumiza, nin'chedwa lini,
PSA.119.60	kuteyeza mitemo yanu.
PSA.119.61	Ne bzingwe bzawakuyipa bzidandizungunuka,
PSA.119.61	niniyebwa lini fundiso yanu.
PSA.119.62	Pakati pawusiku ninilamuka, ndichidumbiza imwe,
PSA.119.62	nathangwe lamatongelo yanu yakulungama.
PSA.119.63	Ndine shamwali yawentse an'gopa imwe,
PSA.119.63	waawo anteyeza maweluzo yanu.
PSA.119.64	Ntsisu zanu, imwe Chawuta, zadzadza dziko;
PSA.119.64	ndifundiseni malango yanu!
PSA.119.65	Mwachitila bwino mulanda wanu,
PSA.119.65	kuteyeza fala lanu, imwe Chawuta.
PSA.119.66	Ndifundiseni kupima kwabwino, nakudziwa
PSA.119.66	pakuti ninkhulupilila mitemo yanu.
PSA.119.67	Ndinati ndawona nyathwa, ndidatayika;
PSA.119.67	koma tsapano ninteyeza fala lanu.
PSA.119.68	Ndimwe wabwino, mun'chita bzabwino!
PSA.119.68	Ndifundiseni malango yanu.
PSA.119.69	Wakubzikuza animpalanga magunkha,
PSA.119.69	koma nantima wangu wentse ninteyeza maweluzo yanu;
PSA.119.70	ntima wawo niwakupusa ninga mafuta,
PSA.119.70	koma ninkondwa nafundiso yanu.
PSA.119.71	Bzili bwino kwayine kuti ndidapita panyathwa,
PSA.119.71	kuti ndifunde malango yanu.
PSA.119.72	Fundiso lamulomo wanu lili bwino kwayine,
PSA.119.72	kuposa bzigodo sawuzande bzagolidhe nasiliva.
PSA.119.73	Manja yanu yadandilenga yachindikhazikisa,
PSA.119.73	ndipaseni kubvesesa kuti ndifunde mitemo yanu.
PSA.119.74	Awo ankugopani an'zandiwona achisekelela,
PSA.119.74	pakuti ndidanyanganila mufala lanu.
PSA.119.75	Nin'dziwa, imwe Chawuta kuti matongelo yanu njakulungama,
PSA.119.75	mukukhulupilika kwanu mudandipitisa panyathwa.
PSA.119.76	Lekani ntsisi zanu zindinyamalize,
PSA.119.76	kuteyeza chitsimikizo chanu kwamulanda wanu.
PSA.119.77	Lekani chifundo chanu chibwele kwayine kuti ndikhale wamoyo;
PSA.119.77	pakuti fundiso yanu nkukondwa kwangu.
PSA.119.78	Lekani wakubzikuza anyazisiwe,
PSA.119.78	pakuti adandinamizila palibe mulandu;
PSA.119.78	koma ine, nin'zalingilila pamaweluzo yanu.
PSA.119.79	Lekani awo ankugopani abwele kwayine,
PSA.119.79	kuti adziwe umboni wanu!
PSA.119.80	Ntima wangu ngawukhale uli ngwilo pamalango yanu,
PSA.119.80	kuti ndileke kunyazisiwa!
PSA.119.81	Moyo wangu unsuwa chipulumuso chanu;
PSA.119.81	nin'nyanganila fala lanu.
PSA.119.82	Maso yangu yansuwila chitsimikizo chanu;
PSA.119.82	nin'bvunza, “Mun'zandinyamaliza lini?”
PSA.119.83	Pakuti ndakhala ninga chikasi chakhanda chavinyu muwutsi,
PSA.119.83	koma ndilibe kuyebwa malango yanu.
PSA.119.84	Nintsiku zingasi zamulanda wanu?
PSA.119.84	Ko mun'zaatonga lini awo aninsawusa?
PSA.119.85	Wanthu wakubzikuza andichelela bwina,
PSA.119.85	wanthu ansaya kuteyeza mafundiso yanu.
PSA.119.86	Yentse mitemo yanu njakukhulupilika;
PSA.119.86	aninsawusa namagunkha, ndithandizeni!
PSA.119.87	Atofika pakundimalizilatu padziko;
PSA.119.87	koma ndilibe kutaya maweluzo yanu.
PSA.119.88	Kuteyeza ntsisi zanu chizani umoyo wangu,
PSA.119.88	kuti nditeyeze umboni wamulomo wanu.
PSA.119.89	Chikhalilo, imwe Chawuta fala lanu,
PSA.119.89	lidakhazikisiwa bzakulimba kudzulu.
PSA.119.90	Kukhulupilika kwanu nikwam'badwe nam'badwe;
PSA.119.90	mudakhazikisa dziko, ilo lin'khala lilipo.
PSA.119.91	Nakutonga kwanu bzilipo nalelo;
PSA.119.91	pakuti bzinthu bzentse mbaalanda wanu.
PSA.119.92	Ninga fundiso yanu ikhali lini kukondwa kwangu,
PSA.119.92	ndikhadachenekeka munyathwa zangu.
PSA.119.93	Kufika lini nalini niniyebwa lini maweluzo yanu,
PSA.119.93	pakuti mwayiyo mwandimusuluza.
PSA.119.94	Ndine wanu ndichizeni;
PSA.119.94	pakuti nimpsaga maweluzo yanu.
PSA.119.95	Wakuyipa anim'bisalila kufuna kundicheneka;
PSA.119.95	koma ninkumbuka umboni wanu.
PSA.119.96	Ndidawona kumala kwakukoma kwentse,
PSA.119.96	koma mitemo yanu niyakupfuthuka kwene-kwene.
PSA.119.97	Aa, nkufuna lini kwanin'chita fundiso yanu!
PSA.119.97	Nilingililo yangu ntsiku yentse.
PSA.119.98	Mitemo yanu inimpasa nzelu kuposa azondi wangu,
PSA.119.98	pakuti in'khala nayine chikhalilo.
PSA.119.99	Ndina kubvesesesa kuposa wentse aninfundisa,
PSA.119.99	pakuti umboni wanu nilingililo yangu.
PSA.119.100	Ninbvesesesa kuposa akulu,
PSA.119.100	pakuti ninteyeza maweluzo yanu.
PSA.119.101	Nim'bweza minyendo yangu kunjila zentse zakuyipa,
PSA.119.101	kuti nditeyeze fala lanu.
PSA.119.102	Nimpatuka lini pamatongelo yanu,
PSA.119.102	pakuti imwe mudandifundisa.
PSA.119.103	Nkutelela lini kwamafala yanu palilimi langu,
PSA.119.103	yantapila kuposa uchi nkamwa mwangu!
PSA.119.104	Kupitila m'maweluzo yanu niniwona kubvesesa;
PSA.119.104	nakutenepo nin'zonda njila zentse zakunama.
PSA.119.105	Fala lanu nimwenje kunzayo zangu,
PSA.119.105	nakuniwinika kunjila yangu.
PSA.119.106	Ndalumbila lumbimbilo ndichilikhazikisa,
PSA.119.106	kuti nditeyeze matongelo yanu yakulungama.
PSA.119.107	Ndapwetekeka kwene-kwene,
PSA.119.107	ndimusuluzeni, imwe Chawuta kuteyeza fala lanu!
PSA.119.108	Tambilani mfupo zakupeleka zakudumbiza, imwe Chawuta,
PSA.119.108	ndifundiseni mitemo yanu.
PSA.119.109	Nin'khala ndidaphata umoyo wangu m'manja mwangu,
PSA.119.109	koma niniyebwa lini fundiso yanu.
PSA.119.110	Wakuyipa anditeya ukhukha,
PSA.119.110	koma nimpatuka lini pamalango yanu.
PSA.119.111	Umboni wanu ninthaka yangu kufika lini nalini;
PSA.119.111	yinde, ndiyo sekelelo yantima wangu.
PSA.119.112	Nimpeleka ntima wangu kuchita malango yanu,
PSA.119.112	lini nalini, kufika kumapeto.
PSA.119.113	Nin'zonda wanthu ansaya kubzipeleka nantima wentse,
PSA.119.113	koma ine ninfunisisa fundiso yanu.
PSA.119.114	Pakubisala pangu nanchinjilizo yangu, ndimwe;
PSA.119.114	nin'nyanganila mufala lanu.
PSA.119.115	Chokani payine, imwe mun'chita bzakuyipa,
PSA.119.115	kuti nditeyeze mitemo ya Mulungu wangu.
PSA.119.116	Nditsigileni kuteyeza chitsimikizo chanu, kuti ndikhale wamoyo,
PSA.119.116	kuti ndileke kunyazisiwa muchinyanganilo changu.
PSA.119.117	Ndiphateni kuti ndipulumuke,
PSA.119.117	ndikhale ndichikumbuka malango yanu!
PSA.119.118	Munilamba wentse antayika kuchoka m'malango yanu;
