GEN.1.1	Owakira itanta-nakari iwitsikan-taitzi, iriitakira Pawa owitsika-kirori inkiti aajatzi kipatsi. 
JUD.1.24	Awisiryaawinta-jyaari yoka matzirori yaamaako-winta-yitai airo atzipina-siri-waitanta, tima inkimita-kaantai ti amasiwaityaa, irootaki omatantari ankimosiriwinta-waitajyaa atsipataari tzimatsiri iwaniinkaro. 
JUD.1.25	Ankimosiriwinta-jyaari Pawa apanirota-tsiri, yotaniri, owawisaa-kotairi. Iriitaki yoka Pawa tzimatsiri iwaniinkaro, itkimosiriwintaitsiri, omapiro otzimi isintsinka, pinkathari-pirori inatzi, iriitaki itakaro itzimaki tikira-mintha ontzimayiti maaroni, irojatzi ikanta iroñaaka, irasi iwajita-tyiironi. Omapirowí.
REV.1.1	Iroka okaratzi iñaakan-takiri Pawa tsika ikanta-kota Jesús Saipatzii-totaari, iriira Pawa kantakaarori iyotantyaarori impiratani-payi tsika onkanta-kotyaa okaakitzi-matain-tsiri iñiitajiro. Irootaki ityaantan-takariri Pawa Imaninkariti inkamantiri Juan, impiratani Pawa. 
REV.1.2	Iriitaki Juan kinkithata-kirori okaratzi iñaakiri. Iroka okaratzi ikinkithatakiri iñaani Pawa, irootaki inintakaan-takiri Jesús Saipatzii-totaari inkamantantiro. 
REV.1.3	Kimosirira inkantajyaa inkarati ñaanataironi iroka kamantaantsi, ari inkimiyityaari aajatzi inkarati kimisantironi. Kimosirira inkantajyaa inkarati monkara-yitaironi okaratzi sankinatain-chari. Tima okaakitzi-mataki iñaantai-tyaarori.
REV.1.4	Naaka Juan osankinatzirori iroka. Awiroka nosankinatzini kimisantzin-kariiti karatatsiri 7 papatoyitaka anta nasiyita-chari nampitsi saikatsiri Asia-ki. Tima añaatzi Pawa iroñaaka, iri itakaro pairani itzimaki, irootzi-mataki impiyi. Kaminthaa inkanta-yitaimi irirori, kamiitha isaikakaa-yitaimi anta. Ari inkimitaimiri aajatzi ipaitai-tziri “7 tasorintsi” itsipatakari inkitiki iwinkathari-mintoki. 
REV.1.5	Ari inkimita-jimiri aajatzi Jesús Saipatzii-totaari, tima iroopirori onatzi okaratzi iñaawaitziri. Iriitakira itanaarori yañaaji ikamawitaka, iriira pinkathari-wintairiri maaroni ikaratzi pinkathari-witachari aka kipatsiki. Iriitaki itakoyitairi arokaiti, ipyaako-yitairo ayaaripironka ikapathai-nkata-kiranki ikamawinta-yitai.
REV.1.6	Iriitaki pinkatha-ritakaa-yitakairi. Iriitaki impira-tasorintsita-kaayitairi antawaitan-taaniriri Pawa Asitariri. Iriitaki otzimi-motairi iwaniinkaro, iriitaki pinkathari-pirota-tsiri. Irasi iwiro irirori. Omapirowí.
REV.1.7	¡Pamini! Yoka Saipatzii-totaari, inkinapaji minkoriki,
REV.1.7	maaroni iñiitawajiri.
REV.1.7	Imatzityaaro iñiiri pathanka-mirikita-kiriri.
REV.1.7	Yiraakoi-tajyaari maaroni aka kipatsiki, imatzityaaro kaari shininkata-wakaa-chani.
REV.1.7	Ari onkantyaari. Omapirowí.
REV.1.8	Iroka ikantzi Awinkathariti Pawa:
REV.1.8	Naakataki osiyarori itarori sankinarintsi, Naaka osiyarori aajatzi owiraantarori.
REV.1.8	Irirori, yitakaro pairani itzimaki, iriitaki piyaatsini apaata. Iriitaki Sintsi-pirori.
REV.1.9	Naaka Juan, pirintzi piwayitana pikimisantzin-karitaji, ari akarajiitaki amawitakiro akimaatsi-waitaka, ari atsipata-wakaa ipinkathari-winta-yitai Pawa. Ainiro nosaiki-ranki othampisiki ipaitai-tziri Patmos nokinkithatziro iñaani Pawa, nokamantantziro ikantakinari Jesús. 
REV.1.10	Okanta aparoni kitaitiri yapatowinta-piintaitari Awinkathariti, tzimatsi iñaakakinari Tasorinkantsi. Nokimakiri notaapiiki ipaita kantanari, ikimitakaro tyootaantsi iñaawaitzi, 
REV.1.11	ikantakina: “Pisankinatiro onkarati noñaakakimiri. Iro pintyaan-tiniriri kimisantzin-kariiti karatatsiri 7 yapatoyitaka anta onasiyita-karori nampitsi saikatsiri Asia-ki. Tima iroka 7 nampitsi: Efeso, Esmirna, Pérgamo, Tiatira, Sardis, Filadelfia, Laodicea.”
REV.1.12	Ari nopithokanaka notaapiiki naminiri ipaita ñaanatanari. Noñaatziiri ootamintotsi-payi iwitsikai-tziri ooro. Ikaratzi 7. 
REV.1.13	Iro kantacha anta niyaankiniki ari isatikaka aparoni kimitakariri Itomi Atziri. Anaakiri iitziki iithaari. Ithaanotakari ichampyaari iwitsika-masii-tziri ooro. 
REV.1.14	Kitamaaro-powainka ikantaka iitoki, kimiwaitaka iroomi iwitzi ipiraitari, kitamaraa-niki okantaka iroowaitaki sharaka. Irooma irooki okimiyitakari paamari. 
REV.1.15	Poriryaa ikantayitaka iitzi, iriiwaitaki iporiryaatzi kiriiki itayiitziri. Okimiwaitakaro iñaani opoimaatzi nijaa. 
REV.1.16	Yairikaki impokiro-payi irako-piroki, ikaratzi 7. Yoimisitowa-tzimaitaro ipaantiki kimitakarori sataa-mintotsi, apiminiti othoyimpitaki. Ikimitakari iporoki ikantaranki ooryaatsiri isiparyaa-pirotzi tampatzika-paiti.
REV.1.17	Ikanta noñaakiri, tyaanakina nokamanaki. Iro kantacha yantanta-kanaro irako-pirori, ikantana: “Airo pitharowakaana, Naaka itarori, Naaka owiraantyaaroni. 
REV.1.18	Naakataki añaanita-tsiri. Nokamawitaka iro kantacha nasi nowajiro nañaaji. Naaka matzirori otzimi-motana nosintsinka nasitaryaan-tyaarori ikyaa-piintai-tziro sarinka-winiki, aritaki onkantaki aajatzi nasitanajiro. 
REV.1.19	Pisankinatiro okaratzi piñaakiri, iro pitanakyaa okaratzi piñaakiri awisatsiri iroñaaka, ipoñaa onkarati piñiiri awisatsini apaata. 
REV.1.20	Ikaratzi ootamintotsi piñaakiri karatatsiri 7, iriira osiyakaa-wintariri kimisantzin-kariiti karatatsiri 7 yapatoyitaka anta onasiyita-karori nampitsi. Ikaratzi piñaakiri impokiro nairikakiri nakopiroki, karatatsiri 7, iri osiyakaa-wintariri Maninkariiti tsipayitaariri kimisantzin-kariiti karatatsiri 7 yapatoyitaka.” 
REV.2.1	“Iroka pisankinati-niriri Imaninkariti kimisantzin-kariiti apatota-chari Efeso-ki. Iriira ñaanatziri airikakiriri 7 impokiro irako-piroriki, satikain-chari niyaanki ipaamatakira 7 ootamintotsi. Ikantziri:
REV.2.2	‘Noyotziro okaratzi pantayitziri, tsika pikanta pantawaitaki, okaratzi pamawitakiri. Pisamayitakari kaari-piro-siririiti. Piñaanta-yitaari paitasi-waita-chari, “Tyaanta-piroriiti” yomitaan-tasiwaita-chari. Piyotajiri awiroka thayinkari inayitatzii. 
REV.2.3	inatan-taniri pinatzi, amawiwaini pikantaka, oshiki pikimaatsi-waitaka iwasankitaa-wintai-tzimiro pawintaana naaka. Titzimaita pisamawaityaa. 
REV.2.4	Iro kantacha, tzimatsi yotapain-chari, iro kaari kamiithata-tsini. Iroka okanta: Piwashaanta-nakiro awirokaiti pitakotanta, ti pantajiro pikimiwita-nakaro pairani. 
REV.2.5	Pinkinkithasiritiro tsika pikanta pairani owakira pikimisantanaki. Piwashaantiro tsika pikanta iroñaaka, pimpyakotairo pantajiro tsika pikantanaka owakiraini pikimisantanaki. Tima airorika piwashaantairo, ari nojata-sitakimi, naapithata-jimiri ootamintotsi saiki-mota-kimiri anta. 
REV.2.6	Iro kamiithatatsi pikisaniintakiro awirokaiti yantayitakiri ikaratzi kimisanta-najiriri iyomitaan-tziri pairani Nicolás. Nomatzi-taikari naaka. 
REV.2.7	Kowirori inkimathatiro, inkimisantiri Tasorinkantsi iñaanatziri kimisantzin-kariiti. Tzimatsi-rika matakironi oitsinampaironi, ari nosinitairi iyaaro chochoki owañaan-tatsiri pankitain-chari itasorintsi-pathatiki Pawa.’ ”
REV.2.8	“Iroka pisankinati-niriri Imaninkariti kimisantzin-kariiti apatota-chari Esmirna-ki. Iriira ñaanatziriri itakarori, owiraantyaaroni aajatzi. Iriira ñaanatziri kamawitaincha iro kantacha añaaji aajatzi. Ikantziri:
REV.2.9	‘Noyotziro okaratzi pantayitakiri, aajatzi pikimaatsi-waijiitari, noyotzitaro pikowityaa-waijiitziri, okantawitaka awiroka ashaaranta-siriri. Noyotzi aajatzi tzimatsi Judá-iti anta thaiyako-waita-kamiri. Ipaitasi-waitaka Judá-iti, Kamaari asiyita-kariri. 
REV.2.10	Airo pitharowanta-sitaro onkarati pinkimaatsityaari. Tima irootaintsi piñiiro tzimayitatsiri anta tsika inkarati yasita-kota-kaantiri Kamaari. Ari pisaikiri onkarati 10 kitaitiri pinkimaatsi-waityaa, iñaanta-sirita-tyaamira Kamaari. Iro kantacha ontzimatyii piriipiro-siriti awirokaiti pijatakairo onkanta-witakyaa iwaitimi, tima apaata aritaki nañaakaajimi, onkimiwaita-jyaaro namathai-yitaa-tyiimimi. 
REV.2.11	Kowirori inkimathatiro, inkimisantiri Tasorinkantsi iñaanatziri kimisantzin-kariiti. Tzimatsi-rika matakironi itsinampairi iroka, airora iñaajiro inkimaatsi-waitajyaa yapiitajiro inkamaji.’ ”
REV.2.12	“Iroka pisankinati-niriri Imaninkariti kimisantzin-kariiti apatota-chari Pérgamo-ki. Iriira ñaanatziriri otzimi-motziri isataa-minto apiminitatsiri othoyimpitzi. Ikantziri:
REV.2.13	‘Noyotziro pantayitziri, noyotzi pisaiki-motakiri ikaratzi ipinkathari-wintziri Kamaari. Iro kantacha noyotzimi aajatzi oisokiro piwakina pawintaana, ti piwashaantiro. Ti piwashaanta-nakiro awirokaiti okantawitaka iwamaawitai-takari Antipas noyimisantakaa-pirotani kinkithata-kota-kinari anta tsika isaiki Kamaari. 
REV.2.14	Iro kantacha, tzimatsi yotapain-chari, iro kaari kamiithata-tsini. Iroka okanta: Tzimayitatsi pikarajiitzi kimitakariri Balaam iyomitaantzi. Tima pairani Balaam, iyomitaa-piintakiri Balac onkantyaa inkaima-siryaan-tyaariri Israel-iiti iwakaiyaari yatsipita-kayitani yasita-kayi-tariri pawaniro. Imayimpi-waita-kaakiri aajatzi. 
REV.2.15	Ari okimitakari tzimayitatsi aajatzi kimisanta-yitakirori iyomitaan-tziri pairani Nicolás. 
REV.2.16	¡Piwashaantajiro! Airorika piwashaantziro, ari nojata-sitakimi nowayiritiri, iro nowayiritan-tyaariri sataa-mintotsi sitowatsiri nopaantiki. 
REV.2.17	Kowirori inkimathatiro, inkimisantiri Tasorinkantsi iñaanatziri kimisantzin-kariiti. Tzimatsi-rika matakironi itsinampairi iroka, ari nonpakiri iyaaro omanaa-ntsita-tsiri ipaitai-tziri pairani “paitama”. Ari nompakiri aajatzi aparoni kitamaarori mapi tsika osankinataka owakirari wairontsi kaari iyotaitzi, apatziro iyotajiro aakironi iroka mapi.’ ” 
REV.2.18	“Iroka pisankinati-niriri Imaninkariti kimisantzin-kariiti apatota-chari Tiatira-ki: Iriira ñaanatziri Itomi Pawa, kimitakariri irooki paamari, poriryaatain-tsiri iitziki. Ikantziri:
REV.2.19	‘Noyotziro pantayitziri, pitakoyitantaka, pinkimisantaki, pantawaitaki, kamaitaniri pinaki. Aikiro pakowinta-tyaaro iroñaaka panaakaa-nakiro pikantawita pairani. 
REV.2.20	Iro kantacha, tzimatsi yotapain-chari, iro kaari kamiithata-tsini. Iroka okanta: Paapatyaakaro awirokaiti kooya paitachari Jezabel. Okantzi iroori kamantantaniro onatzii, iro kantacha okaratzi oyomitaan-takiri iroori, oshiki oitzinampa-siritakiri nompiratani. Iro opoñaantari owakaayitakari yatsipita-kaitani yasita-kayi-tariri pawaniro. Omayimpita-kaawai-yitakiri aajatzi. 
REV.2.21	Osamani noyaako-witakaro owashaantairomi antayitakiri, iiro kantacha ti oninti owashaantiro omayimpi-waitzi. 
REV.2.22	Airorika owashaanta-sitaaro, ari nomantsiyaa-kiniro tsika omayimpitanta-piintaki, ari onkimaatsi-waityaari. Ari nonkimitaa-kiriri inkarati mayimpita-kironi. 
REV.2.23	Ari napiroyitajiri ikaratzi oyomitaa-yitakiri. Iro ompoñaan-tyaari iyotaji maaroni kimisantzin-kariiti naakataki oyosiritziri maaroni, noyotzi opaita ikinkisiryaayitari, noyotzi opaita ikima-siri-yitziri. Ari onkantyaa noipyaan-tyaamirori okaratzi pantayitakiri awirokaiti. 
REV.2.24	Irooma awirokaiti, yotapain-chari anta Tiatira-ki kaari kimisanta-kironi okaratzi oyomitaan-tasiwitakari, airo nokisathatzimi. Tima ti pisintsiwinta-waityaaro okaratzi oyomitaan-tasiwitakari ipaitai-tziri “imanakaapirotani Kamaari.” 
REV.2.25	Iro kantacha awirokaiti ontzima-tyiira poisokirotyaana irojatzi nompiyan-takyaari. 
REV.2.26	Tzimatsi-rika matakironi itsinampairi imonkaratiro noñaani irojatzi owiraanta-paakyaaroni, aritaki nomatakaakiri impinkathari-wintairi apaata atziri-payi. 
REV.2.27	Ari osiyakyaaro ikimitaakina Asitanari naaka, imatakaa-kinaro ipinkatha-ritakaakina, ari inkimitaa-jyaari aajatzi iriroriiti impinkatha-ritakai-tairi.
REV.2.27	Ari ijiwatan-tajyaari irasiro-kotziti.
REV.2.27	Irijatzi apirotairini ikisaniintani, inkimita-kaantajiri iporokai-tziro kowitzi.
REV.2.28	Aritaki nopajiri naaka osiyakariri impokiro parya koñaata-paintsiri. 
REV.2.29	Kowirori inkimathatiro, inkimisantiri Tasorinkantsi iñaanatziri kimisantzin-kariiti.’ ”
REV.3.1	“Iroka pisankinati-niriri Imaninkariti kimisantzin-kariiti apatota-chari nampitsiki Sardis. Iriira ñaanatziri ipaitai-tziri ‘7 tasorintsi,’ itzimi airikiriri 7 impokiro. Ikantziri: ‘Noyotzimiro pantayitakiri, iwaitaita-kaantai-tziri “añaasiriri,” tima ti ari pinkantyaa, kamasiriri pinayitzi.
REV.3.2	Pisakii-siritai. Piñaa-sintsityaa airo pikama-siritanta. Tima Pawa iñiiro okaratzi pantziri ti pimonkaratiro ininta-kayimiri. 
REV.3.3	Pinkinkithasiritiro ikamantai-takimiri pairani, pimonkaratiro. Piwashaantiro panta-piintakiri. Airorika pisakisiriitai, ari nomapoka-pajimi nompiyaji-rika, nonkimityaari imapokantzi aparoni kosintzi. 
REV.3.4	Iro kantacha tzimatsi kapichiini anta pinampiki Sardis matakirori ikiti-siritzi. Iriiyitaki kimitakariri kaari oipatsitironi iithaari, irootaki ikamitan-taariri yokaiti onkantyaa intsipatan-tajyaanari nokithaataro kitamaarori. 
REV.3.5	Intzimi-rika matakironi itsinampairo, aritaki nonkithaatajiri kitamaarori. Airo noshitziro iwairo itsipataari isankinata-kotaka inkarati añaaniyitaa-tsini. Ari nonkantajiri Asitanari, aajatzi Maninkariiti: “Ikimisantaana yoka.” 
REV.3.6	Kowirori inkimathatiro, inkimisantiri Tasorinkantsi ikantziriri kimisantzin-kariiti.’ ”
REV.3.7	“Iroka pisankinati-niriri Imaninkariti kimisantzin-kariiti apatota-chari Filadelfia-ki:
REV.3.7	Iriira ñaanatziri Tasorin-tsita-tsiri, Iroopirori.
REV.3.7	Iri iñaanatzi iwaitakiri iminkyaa-yitairi atziri-payi, irijatzi tzikayitairini kaari isinitaiti inkyaayiti.
REV.3.7	Ari inkimita-jyaari piwaisatzitini David.
REV.3.7	Tikatsira sintsithatirini minkyaan-taatsiri, tzikayitan-taatsiri aajatzi.
REV.3.7	Iroka ikantziri:
REV.3.8	‘Noyotziro pantayitziri. Pamini. Nosinitakimi pinkyii, tikatsi tzikawa-kimini. Iro nomatakimiri tira paawyaa-siri-waijiiti, iro kantacha pimonkarata-kinaro noñaani, ti inkimaitimi pinkanti: “Ti yasityana Pawa.” 
REV.3.9	Iriima yokaiti kantasi-waita-chari: “Naaka Judá-iti.” Kaari-tzimaita Judá-iti, tima iriitaki yasiyitari Kamaari. Irootaki nontyiirowa-kaanta-jyaariri apaata impinkatha-yitaimi. Ari iyotajiri omatatyaa notakotakami. 
REV.3.10	Pimonkaratakiro nokaman-takimiri, nokantaki: “Pinkisa-siwai-nityaa.” Irootaki naamaako-wintan-tyaamiri airo iñaanta-siritan-taitami. Tima kapichita-paaki iñaantai-tantyaariri ikaratzi nampiyitarori kipatsiki. 
REV.3.11	Irootzi-mataki nompiyaki. Oisokiro piwiro pikimisantakiri, airo pampinaa-siwaitanta panintaa-jyaaro impinai-tajimiri, onkimiwaaityaaro yamathaitaa-tyiimimi. 
REV.3.12	Intzimi-rika matakironi itsinampairo iroka, ari nonkimita-kaantajiri tzinkamitsi otzinampitzirori itasorintsi-wankoti Pawa. Irasi iwiro isaikaji. Ari nonkinta-kota-jiniri iwathaki iwairo Pawa, ari iyoitajiri Pawa asitaari. Ari nonkinta-kota-jiniri iwathaki owairo owakirari Aapatyaawini, ari iyoitajiri isaikaji yoka inampiki Pawa, otzimi ariitaa-chani osaawiki ompoñaa-jyaaro inkitiki. Ari nonkinta-kota-jiniri aajatzi iwathaki owakirari nowairo. 
REV.3.13	Kowirori inkimathatiro, inkimisantiri Tasorinkantsi ikantziriri kimisantzin-kariiti.’ ”
REV.3.14	“Iroka pisankinati-niriri Imaninkariti kimisantzin-kariiti apatota-chari Laodicea-ki. Iri ñaanatziri ipaitai-tziri ‘Omapirowí,’ iriitaki yawintaa-sirita-piintaitari iñaawaitzirora iroopirori. Iriira ñaanatziriri iwitsika-kaitakiri pairani iroka kipatsi. Iroka ikantziri:
REV.3.15	‘Noyotziro pantayitziri. Pikimitakaro kaari saawaata-tsini, kaari katsinkaata-tsini. Nonintziri naaka saawaari. Airorika osaawatzi, katsinkaari nonintzi. 
REV.3.16	Irooma pikimitaro iimpaari nijaa, ari nookamaran-kakami. 
REV.3.17	Pikanta-piinta-jiitzi awirokaiti: “Ashaarantakana, tikatsi nonkowityaaji.” Iro kantacha tira ari pinkantyaa, owasiri-waitaniri pinatzii, manintaari, asinonkainkari, mawityaakiri, sapoka-mirikiri. 
REV.3.18	ontzimatyii pinkimita-kaantairo pamanantaa-tyiirimi nooroti itzimi itayiitakiri imporiryaa-pirotan-tyaari. Aritaki pimatajiro pashaarantyaa. Pinkimita-kaantairo pamanantaa-tyiiromi kitamaarori noithaari, airo pisapoka-miriki-waitanta, pipasiki-winta-waitakari. Pinkimita-kaantiro pamanantaa-tyiiromi naawintaro pisita-kotan-tajyaari pimawityaaki-waitaki. 
REV.3.19	Iro namitari naaka nokisathatziri notakotani, nowasankitairi. Ontzima-tyiira piriipirotai awirokaiti, pimpiya-siri-yitai. 
REV.3.20	Pamini, kimiwaitaka nonkatziya-tyiimi intakiroki nokaimi nonkyaan-tyaari. Tzimatsi-rika kimakinari inthompointa, isinitana-rika nonkyii, aritaki antsipata-wakai-yaari akyoota-wakaiyaa. 
REV.3.21	Intzimi-rika matakironi itsinampairo iroka, aritaki intsipata-jyaana nompinkathari-wintanti. Tima nomatakiro naaka nomatakiro noitsinampairo, notsipataari isaika-mintoki Asitanari nopinkathari-wintantaji. 
REV.3.22	Kowirori inkimathatiro, inkimisantiri Tasorinkantsi ikantziriri kimisantzin-kariiti.’ ”
REV.4.1	Okanta okarata-paaki iroka, noñaatzii asitaryaanaka inkiti. Irijatzi apiitapajiro iñaanata-paana noñaakiri inkaaranki poimata-paintsiri ikimitari tyoorintsi. Ikantana: “Thami jinoki ari noñaakai-mirori onkarati awisatsini apaata.” 
REV.4.2	Ikanta nojasirin-katanaki jinoki, noñaakiro saika-mintotsi, osiyawaitakaro isaikanta-piintari pinkathari-pirori, owaniinka okantaka. Tzimatsi aparoni saikanta-karori. 
REV.4.3	Tima yoka saikain-tsiri siparyaa ikantaka, isiyakaro potsitakiri mapi karinikita-tsiri. Itapotakari oyi isaika-mintoki, ikimiwaitakaro oyi natsiryaakiri mapi karinikita-tsiri. 
REV.4.4	Tzimatsi aajatzi okaratzi 24 saika-mintotsi anta, irootaki osatika-kiriri niyaankiniki saikain-tsiri. Ari isaikayitakiri antari-konaiti, kitamaaro okantayitaka iithaari, ooro inayitaki yamathairi. 
REV.4.5	Nokimakiro ookatha-rontsi otzimi morikanain-tsiri opoñaanakaro saika-minto-tsiki. Tima tzimatsi anta 7 ootamintotsi waamatain-chari, iriitaki omontitakari saika-mintotsi. Iriitaki osiyakaa-wintariri Itasorintsiti Pawa, karatatsiri 7.
REV.4.6	Tzimatsi inkaari omontitakari saika-mintotsi, kitijaa-niki okantaka. Tzimatsi 4 inkiti-wiri katziyain-chari, iriitaki tapotakirori iroka saika-mintotsi. Iro kantacha yoka inkiti-wiri otzimi oshiki irooki, irootaki yaminantari tsika-rika-payi, yaminantaro aajatzi itaapiiki. 
REV.4.7	Aparoni inkiti-wiri isiyakari kashikari. Pasini isiyakari antari ipiraitari. Pasini atziri-poro inatzi. Iriima pasini isiyakari itzironka-waita pakitha. 
REV.4.8	Ipoñaa-sitaka otzimayitanaki isiwanki yoka inkiti-wiri, 6 isiwanki tzimayita-naintsiri. Otzimi oshiki irooki iwathaki, otzimitanaka irooki inthompointa iwathaki. Iriitaki aakowinta-nakarori ipanthaa-piintaki, kitaitiri aajatzi tsitiniri, ikantzi:
REV.4.8	Tasorintsi, Tasorintsi, Tasorintsi inatzii Pawa, Sintsi-pirori.
REV.4.8	Iriitaki añatzi iroñaaka, iri itakaro pairani itzimaki, irootzi-mataki impiyi.
REV.4.9	Ari ikanta-piintatyaa yokapayi inkiti-wiri iwisiryaawintari saikain-tsiri, añaanita-tsiri, ikantajiitzi: “otzimi-motzimi awiroka piwaniinkaro.” Ikanta iñaakan-takiro yokaiti ipinkathata-piintakiri, ipaasoonkita-piintakiri, 
REV.4.10	imatanakiro aajatzi 24 antari-konaiti ityiirowa-sita-nakari saikain-tsiri, añaanita-tsiri. Iwisiryaawinta-nakari, yamathairyii-mota-nakari ipanakiri yamathairi pinkathari isaikakira. Ari iñiitzirori omapiro ipinkatha-ritzi yoka saikain-tsiri, tima imatawitaro antari-konaiti ipinkathari-wintantzi irirori. Ikantajiita-nakiri:
REV.4.11	¡Nowinkatharití! ¡Pawá!
REV.4.11	Irootaki kamiithatatsi otzimi-motzimi awiroka piwaniinkaro, pinkatha iwaitzimi, otzimi-motzimi pisintsinka.
REV.4.11	Awiroka owitsika-yitakiro maaroni, tima awiroka ninta-sitain-chari ontzimayiti piwitsikani.
REV.5.1	Noñaatziiri yoka saikaintziri saika-minto-tsiki, yairikaki irako-piroki aparoni sankinarintsi. Kamiitha apinaitaka, 7 okaratzi yapiitai-takiro intsirikai-takiro airo yapinai-ryaan-taitaro. 
REV.5.2	Noñaatzii aparoni Maninkari tzimatsiri isintsinka, sinchiinka ikanta iñaawaitzi, ikantzi isampitantzi: “¿Paitama isinitai-takiri intsirika-ryiiro iroka sankinarintsi, impoña impinai-ryiiro?” 
REV.5.3	Tikatsi yaminaitiri isinitaitiri impinai-ryiiro iñaanatiro. Ti intzimi inkitiki, tikatsi aajatzi kipatsiki, ari okimitakari sarinka-winiki, ti intzimi ampinai-ryiironi iñaanatiro. 
REV.5.4	Antaroiti niraanaka, tima tikatsi matironi impinai-ryiiro iñaanatiro. 
REV.5.5	Ari ikantana aparoni antari-kona: “Aritaki piraaka. Pamini. Tzimatsi matzirori otzimi-motziri itasorinka, iriitaki matironi intsirika-ryiiro, impinai-ryiiro. Iriitaki aparoni charinita-kariri Judá, ipaitai-tziri ‘Kashikari.’ Irijatzi charinita-kariri David. Iriitaki isinitaitaki imatiro.”
REV.5.6	Opoñaa-sitaka noñaaki aparoni ipiraitari. Ikatziyaka niyaankiniki osaikaki saika-mintotsi, isatikakari inkiti-wiriiti, aajatzi antari-konaiti. Kimiwaitaka yoka Ipiraitari aritaki iwamaawitai-takari pairani. Tzimatsi okaratzi 7 ichii. Tzimatsi aajatzi 7 irooki. Iriira siyakaa-winta-chari 7 Tasorintsi, ikaratzi iñiitairi maaroni kipatsiki. 
REV.5.7	Ikanta Ipiraitari ijata-sita-nakiri saikain-tsiri iwinkathari-mintoki, yaapaakiro sankinarintsi yairikakiro irako-piroki. 
REV.5.8	Tima maaroni yoka 4 inkiti-wiri aajatzi antari-konaiti, ityiirowa-sita-nakari Ipiraitari, ipinkathata-nakiri. Tzimayitatsi iwiyompi-minto-payi. Tzimayitatsi ikasankai-nkariti itaayitakiri iwitsika-nakita-sitakiro ooro, iwayitakiro anta. Tima iroka kasankainkari irootaki siyakaa-winta-chari yamana-manatani ikaratzi yasiyitaari Pawa. 
REV.5.9	Ari ipanthai-tanakiro owakirari panthaantsi, ipanthaa-kotziri ipiraitari, ikantzi:
REV.5.9	Awiroka iriipirori, isinitai-tzimi pairikiro sankinarintsi, awiroka ontsirika-ryaironi,
REV.5.9	Awiroka kapathai-nkataintsi yatsipita-kaitakami, pipinako-wintajiri atziri-payi yasitan-taariri Pawa.
REV.5.9	Aripaiti yasiyitaari Pawa ikaratzi shininkata-wakai-yitachari tsika-rika-payi, ikaratzi kimathata-wakaarori iñaani tsika-rika-payi, ikaratzi nampiyitarori tsika-rika anta, ikaratzi ipinkathari-wintai-tziri tsika-rika-payi.
REV.5.10	Awiroka kantakaarori ikimitan-taariri Ompira-tasorintsitaari, ipinkathari-wintziri Pawa.
REV.5.10	Iriiyitakira pinkathari-wintairini osaawi-satziiti.
REV.5.11	Opoñaa-sitaka noñaaki oshiki Maninkariiti piyotzi-Winta-paakarori saika-mintotsi, tsika isaikaki inkiti-wiriiti aajatzi antari-konaiti. Ari ipiyo-piro-jiita-paaka oshiki, oshikini Maninkariiti. 
REV.5.12	Ikantajiitzi:
REV.5.12	Yoka ipira yatsipita-kaawitai-takari, iriira iriipirota-tsini ontzimi-motan-tyaariri itasorinka, iwaararo, iyotani, isintsinka, ipinkathanka, iwaniinkaro, aajatzi iwisiryaawintanka. 
REV.5.13	Nokimatzii ipanthaa-jiitanaki maaroni saikantarori inkiti, kipatsi, inkaari, sarinka-wini. Ikantajiitzi:
REV.5.13	Yoka saikaintsiri saika-minto-tsiki, itsipatakari ipiraitari,
REV.5.13	wisiryaawintaari inatzi, pinkathataari inatzi, otzimi-motziri iwaniinkaro,
REV.5.13	ipinkathari-wintantzi, irasi iwiro.
REV.5.14	Iriira inkiti-wiriiti apiiyapiitzirori ikantzi, “Omapirowí.” Iriima antari-konaiti otyiirowa ikantajiitaka ipinkatha-jiitari yoka kanta-jitaa-chani.
REV.6.1	Opoñaa noñaakiri Ipiraitari intsirika-ryaanakiro itanakarori intsirikai-takiro. Ari isinchiin-katanaki iñaawaitanaki aparoni inkiti-wiri karatatsiri 4, okimiwaitakaro ookatha-rontsi, ikantzi: “¡Pimpoki!” 
REV.6.2	Naminaki, noñaatziiri isiyapaaka aparoni kitamaarori ikyaakoitari, tzimatsi kyaakota-kariri yairikakiro iwyaamini. Yamathaitai-tawakiri, jataki iwayirityaa, yapirotanti. 
REV.6.3	Ipoñaa Ipiraitari intsirika-ryaanakiro pasini, apitita-tsiri. Ari iñaawaitanaki pasini inkiti-wiri karatatsiri 4, ikantzi: “¡Pimpoki!” 
REV.6.4	Ari isiyapaaka pasini ikyaakoitari kityonkari, ipaitawakiri antaroiti wisa-mintotsi kyaakota-kariri. Iri iwaitaki iwashaanta-kairi atziri-payi isaiki kamiitha kipatsiki. Irojatzi opoñaan-tanakari iwamaa-wakaiyita.
REV.6.5	Ipoñaa Ipiraitari intsirika-ryaakiro pasini, mawatatsiri. Ari iñaawaitanaki pasini inkiti-wiri, ikantzi: “¡Pimpoki!” Naminaki, noñaatziiri isiyapaaka pasini ikyaakoitari potsitari, yairikaki imonkara-minto kyaakota-kariri. 
