GEN.1.1	Sintinoo ga, Irkoy na beenaa nda gandaa taka. 
ACT.18.7	Pol hun no din, a koy huru aru foo hugoo ra kaŋ maaɲoo ti Titiyus Žustus, Irkoy ganakaw no. Nga hugoo sii kala margahugoo jeroo ga. 
ACT.18.8	Margahugoo boŋkoynoo kaŋ ti Krispus naanay ir Koyoo, nga nda nga hugoo kul. Korent boro booboyaŋ kaŋ maa, naanay, i 
ACT.18.9	Cijin here ir Koyoo nee Pol se bangayyan ra: «Masi hunbur, šelaŋ masi dangay, 
ACT.18.10	zama agay, ay goo ni bande. Boro kul kaboo si too ni do ka ifutu tee ma ne. Zama ay goo nda jama beeri koyraa woo ra.» 
ACT.18.11	Pol goro no din jiiri foo nda handu iddu a ga Irkoy meešennoo cawandi i game.
ACT.18.12	Waatoo kaŋ ra Galiyoŋ ga tee Akay gandaa goforneroo, Alyahuudey tee mee foo ka tun Pol se ka koy nda a alkaaloo jine 
ACT.18.13	ka nee: «Aroo woo goo ma borey boŋey bere i ma Irkoy gana taka ra kaŋ ga 
ACT.18.14	Pol baa ka nga miɲoo feeri kaŋ Galiyoŋ nee Alyahuudey se: «Nda šerretaray jaŋay no wala goy futu no, he Alyahuudey, šikka sii ay ga haŋajer war se. 
ACT.18.15	Amma nda šenni ga war ga kakaw, wala maa, wala war boŋ ašariyaa, wʼa guna war hunday, zama agay, ay si baa ya tee hayey wey se ciitikaw.» 
ACT.18.16	A nʼi gaaray i ma hun ciitidogoo ra. 
ACT.18.17	I kul na Sosten dii, margahugoo boŋkoynoo, i nʼa kar ciitihugoo ra. Woo kul, Galiyoŋ mana kula.
ACT.18.18	Pol na jirbi boobo tee koyne Korent. Woo banda ga, a nʼir armey naŋ ka harihii zaa ka koy Siiri gandaa ra, Prisil nda Akilas goo a bande. A na nga boŋoo cebu Sankre koyraa ra, zama a nka meefur zaa. 
ACT.18.19	Kaŋ i too Efez, a nʼi naŋ no din. Nga hunday huru 
ACT.18.20	Amma kaŋ i nʼa wiri a ga a ma goro ngi do ka gay koyne, a mana yadda. 
ACT.18.21	A hun i do, a nee: «Ay goo kaa war do koyne nda Irkoy baa.» A huru harihii ra ka fatta Efez. 
ACT.18.22	I kay Sezare, a žigi ka koy ka 
ACT.18.23	A na waati tee no din, a koy. A na Galati nda Friži gandaa kottu cere bande ka bisa. A na taalibey biney daŋ.
ACT.18.24	Alyahuudu foo kaa Efez kaŋ maaɲoo ti Apolos, Aleksandiri koyraa boro no. Aru no kaŋ ga wan šenni, a ga hanse ka 
ACT.18.25	Nga, a nka cawandi ir Koyoo fondaa ra. Nga binoo kul si kala ka šelaŋ, ka haya kaŋ ti Isa cawandi nda fondaa. Ka gar Yehiya 
ACT.18.26	A sintin ka šelaŋ nda naanay 
ACT.18.27	A baa nga ma koy Akay, ir armey hantum taalibey se kʼi hoyray i mʼa kubay henna. Kaŋ a too, a hanse ka borey kaŋ Irkoy 
ACT.18.28	Alžamaa jine a ga Alyahuudey kakaw nda sahã ka cebe i se Citaaboo ra kaŋ Isa ti 
ACT.19.1	Kaŋ Apolos goo Korent, Pol bisa nda 
ACT.19.2	A nee i se: «Waatoo kaŋ war naanay, war duu 
ACT.19.3	Pol nee: «Adiši 
ACT.19.4	Pol nee: «Batizeyanoo kaŋ Yehiya nʼa tee manʼti kala 
ACT.19.5	Kaŋ i maa šenney wey, i batizandi ir Koyoo Isa maaɲoo ga. 
ACT.19.6	Pol na kabe fur i ga, Hundi Henanantaa zunbu i boŋ, i sintin ka šelaŋ šenni dumi fooyaŋ ra, i na annabitaray tee. 
ACT.19.7	I kul manʼti kala aru woy cindi hinka (12) cine.
ACT.19.8	Pol huru 
ACT.19.9	Amma boroyaŋ i ra na boŋšenday, i tee turanteyaŋ, i gʼir Koyoo fondaa kaynandi alžamaa jine. Pol hibi i ga, a na taalibey yeeti jere ga ka šelaŋ i bande zaari kul Tiranus lokkol hugoo ra. 
ACT.19.10	Woo teendi jiiri hinka, hala nongu kaŋ ra Azi gandaa borey kul maa ir Koyoo meešennoo, a ma tee Alyahuudu wala Grek.
ACT.19.11	Irkoy na kayfi beeriyaŋ tee nda Pol kabey 
ACT.19.12	hala nongu kaŋ ra ba zaara-ize wala goydarbay kaŋ tuku nga gaahamoo ga, borey gʼi ka koy kʼi daŋ wircikoyney ga, wircoo ga ben i ga, ganjey ga hun i ra. 
ACT.19.13	Alyahuudey kaŋ ga yaara-yaara ka ganjey kaa borey ra, ceeci kʼir Koyoo Isa maaɲoo cee borey ga kaŋ ra ganji goo, i nee: «Isa maaɲoo kaŋ nda Pol ga waazu ga, ay nee war ma koy!» 
ACT.19.14	Borey kaŋ ga woo tee manʼti kala Alyahuudey 
ACT.19.15	Ganjoo zaabi ka nee i se: «Ay ga Isa bay, ay ga boraa kaŋ ti Pol bay, amma war, war ti may?» 
ACT.19.16	Boraa kaŋ ra ganjoo goo gum i boŋ ka hin i kul kʼi žilla hala nongu kaŋ ra i gaa koonu, i maray, i zuru ka hun hugoo din ra. 
ACT.19.17	Woo tee haya kaŋ borey kul kaŋ goro Efez gʼa bay, Alyahuudey nda Grekey. I kul hunbur, ir Koyoo Isa maaɲoo ga beerandi.
ACT.19.18	Borey kaŋ naanay, ibooboyaŋ i ra kaa borey jine ka šelaŋ ngi boŋ teegoyey ga, ka hayey har kaŋ ngi cindi kʼi tee. 
ACT.19.19	Borey kaŋ cindi ka tee kottekoyni, ibooboyaŋ i ra kate kotte tiirawey borey kul jine kʼi ton. Tiirawey, laasaabu ra ngi hayoo ga koy too nzorfu kaaray tamma boŋ zenber woyguu (50.000). 
ACT.19.20	Hini beeroo woo nda ir Koyoo meešennoo ga tonton, a ga nga gaaboo cebe.
ACT.19.21	Kaŋ wey teendi ka ben, Pol kayandi nga lakkaloo ra
ACT.19.22	A na nga faabakaw hinka sanba Masedoni, Timote nda Erast. Nga hunday cindi 
ACT.19.23	Alwaatoo woo ra, laazaaba beeri tee ir Koyoo fondaa maaganda se, 
ACT.19.24	zama boro foo kaŋ se i ga nee Demetris kaŋ ti garaasa, nga no ma Artemis
ACT.19.25	A nʼi marga, ngi nda borey kaŋ goo goymee foo. A nee: «Arey, war ga bay kaŋ ir almaanoo kul manʼti kala goyoo woo. 
ACT.19.26	War ga dii, war ga maa kaŋ manʼti Efez hinne ra, amma a ga hima nda ba Azi kul ra Pol din na alžama boobo naanayandi ka boŋey bere ka nee kaŋ hayey kaŋ borey kabey nʼi tee manʼti koyyaŋ. 
ACT.19.27	Manʼti ir goyoo addawlaa hinne no ma hin ka hasara, amma ir koy woy beeroo Artemis ŋaarayhugoo hunday masi koy tee yaada. Ir koyoo kaŋ Azi kul nda laboo kul gʼa beerandi maaɲoo masi kaa ka dere.»
ACT.19.28	Kaŋ i maa šenney wey, i too met nda futay, i kaati ka nee: «Artemis kaŋ ti Efez borey koyoo ga beeri!» 
ACT.19.29	Koyraa kul ka ɲaami cere ra. Borey tee mee foo, i koy tiyaatar hugoo do. I na Pol hangasiney kaŋ ngi nda a ga naaru kaŋ ti Masedoni boroyaŋ, Gayus nda Aristark ka koy ngi bande. 
ACT.19.30	Pol baa nga ma koy jamaa game, amma taalibey mana yadda a ma koy. 
ACT.19.31	Azi gandaa boro beeriyaŋ kaŋ ti Pol cereyaŋ na dontokaw sanba a do kaŋ ngi gʼa wiri a ga a masi kaa tiyaatar hugoo here. 
ACT.19.32	Affooyaŋ ga kaati ka nee woo, jerey ga kaati ka nee woo, zama margaroo ɲaami, i mana yee ka bay haya kaŋ se ngi marga. 
ACT.19.33	Jamaa ra boroyaŋ na alhabar daŋ Aleksander ra kaŋ Alyahuudey nʼa tuti jine. Aleksander na kaboo ka silbay foo tee, a baa nga ma faasa nga boŋ se jamaa jine. 
ACT.19.34	Amma kaŋ i bay Alyahuudu no, i kul kaati cere bande guuru hinka cine ka nee: «Artemis kaŋ ti Efez borey koyoo ga beeri!»
ACT.19.35	Koyraa hantumkaa na jamaa dangayandi, a nee: «Efez borey, may ti boraa kaŋ si bay kaŋ Efez koyraa ti Artemis kaŋ ti ibeeroo ŋaarayhugoo lakkalkaa, nga nda nga assuura
ACT.19.36	Kakaw sii hayey wey ra, a ga hima war ma tabati, war masi haya kul tee nda mookonnay. 
ACT.19.37	War kate arey wey ka gar i mana haya kul hasara ŋaarayhugoo ra, i manʼir koy woy beeroo mo wow. 
ACT.19.38	Nda Demetris nda kabe goyteerey kaŋ goo a bande ga baa ngi ma boro daŋ haya ra, ciitey zaariyaŋ goo no, goforneryaŋ goo no, i ma šennoo daŋ i jine. 
ACT.19.39	Nda haya goo no kaŋ war gʼa wiri kaŋ manʼti woo, a ma hansandi jineborey margaroo jine. 
ACT.19.40	Ir si jaŋ ka ciyandi ɲaamiyanoo kaŋ teendi hõ sabbu se, zama ir sii nda addalil kul kaŋ se ir na margaroo woo tee.» Kaŋ a na woo har ka ben, a na jamaa naŋ i ma koy.
ACT.20.1	Waatoo kaŋ tureyanoo ben, Pol ciya kate taalibey se i ma kaa, a nʼi hoyray. Woo banda ga, a nʼi hoy baani ka hun no din ka koy Masedoni. 
ACT.20.2	A bisa nda laamawey din ka taalibey hoyray nda šenni booboyaŋ. Woo banda ga, a koy Gres gandaa ra. 
ACT.20.3	A na handu hinza tee no din. A baa nga ma harihii zaa ka koy Siiri gandaa ra, amma waatoo kaŋ Alyahuudey anniyafutay a ga, a kayandi nga ma yee nda Masedoni here. 
ACT.20.4	Borey kaŋ goo a bande ti: Sopater kaŋ ti Beere koyraa boro, Pirus izʼaroo no, nda Aristark nda Sekundus kaŋyaŋ ti Tesalonik boroyaŋ, nda Gayus kaŋ ti Derbe boro, nda Timote, nda Tišik nda Trofim kaŋ ti 
ACT.20.5	Wey din koy ir jine kʼir batu Trowas. 
ACT.20.6	Amma ir, ir mana harihii zaa ka hun Filipi kala jirbi hinka 
ACT.20.7	Jirbiiyyaa zaari jinaa
ACT.20.8	Fitilla boobo goo soorohugoo kaŋ ra ir cindi ka marga. 
ACT.20.9	Arusooga foo kaŋ maaɲoo ti Etiš cindi ka goro sooraa funeetaraa ra. Jirbi komante nʼa zaa kaŋ Pol gay a ga šelaŋ, arusoogaa jirboo ra, a kaŋ ka hun sooro hinkantoo boŋ hala ganda. I na jer, i gar a buu. 
ACT.20.10	Pol zunbu ganda, a na nga boŋ warra a ga kʼa dii nga gandoo ra ka nee: «War lakkaley masi tun, nga hundoo goo a ra.» 
ACT.20.11	Waatoo kaŋ Pol žigi koyne, a na takulaa dunbu, a ŋaa, a cindi a ga šelaŋ hala alfazar. Woo banda ga, a koy. 
ACT.20.12	I kate zankaa, a ga huna, biney hanse ka yay.
ACT.20.13	Ir jin ka harihii zaa ka koy Asos kaŋ ra ir ga hima ka Pol zaa, zama a nka kayandi kaŋ cee nda nga ga koy. 
ACT.20.14	Waatoo kaŋ a nʼir kubay Asos, ir nʼa zaa ka koy Mitilen. 
ACT.20.15	Ir na harihiyoo zaa ka hun no din ka koy. Subaa ra, ir too Šiyo tenje. Subasiyoo ra, ir too Samos. Zaaroo din banda ga, ir too Mile. 
ACT.20.16	Pol kayandi nga masi huru Efez, nga masi koy waati beeri tee 
ACT.20.17	Ka gar Pol goo Mile, a donto Efez ka 
ACT.20.18	Kaŋ i kaa a do, a nee i se: «Za zaari jinaa kaŋ ay nʼay cewoo daŋ 
ACT.20.19	ay gʼir Koyoo gana haya kul ra nda boŋ yeeti gandayan, nda mundayyaŋ, nda siiyaŋ kaŋ ay dii ey Alyahuudey anniya futawey ra. 
ACT.20.20	Ay mana haya kul tugu kaŋ ga hin ka war nafa. Ay na war waazu ka war cawandi, jamaa jine nda hugey ra 
ACT.20.21	ka seedetaray tee Alyahuudey nda Grekey se i ma 
ACT.20.22	Sohõ nga ne, Irkoy 
ACT.20.23	Hayaa de kaŋ ay gʼa bay ti koyra kul kaŋ ra ay too, Hundi Henanantaa gʼay bayrandi gaalawey nda zarabey kaŋ gʼay batu. 
ACT.20.24	Amma ay hunaroo si tee ya ne baffoo, ya hin kʼay diraa de benandi nda goyoo kaŋ ay duu a ir Koyoo Isa Almasihu ga, ka Irkoy 
ACT.20.25	Sohõ nga ne, ay ga bay kaŋ war kul, borey kaŋ game ay na Irkoy 
ACT.20.26	Woo se hõ ay gʼa bayrandi war se kaŋ ay ga henan, boro kul hundoo alhakoo sii ay ga, 
ACT.20.27	zama ay na Irkoy ibaayoo kul har war se, ya na baffoo tugu. 
ACT.20.28	Wa war boŋ hawgay, war ma feeji kuroo kul hawgay kaŋ se Hundi Henanantaa na war tee jinehun, ka Irkoy Egilizoo kur kaŋ a nʼa day nda nga boŋ 
ACT.20.29	Agay, ay ga bay kaŋ ay koyyanoo banda ga, ganjihanši futuyaŋ ga huru war gamey ra kaŋ si feeji kuroo naŋ. 
ACT.20.30	Boroyaŋ ga tun war hunday ra ka taariyaŋ cawandi hala ngi ma duu ka taalibey bere i ma hanga ngi bande. 
ACT.20.31	Woo se war ma hanna cijin nda zaari, war ma hongu kaŋ jiiri hinza, cijin nda zaari ay mana fay nda ay ga war affoo kul hoyray nda munday.
ACT.20.32	Sohõ ay ga war talfi Irkoy ga, nda nga anneemaa šennoo
ACT.20.33	Ay mana boonay boro kul nzorfoo, wala nga wuragoo, wala nga darbaa. 
ACT.20.34	War hunday ga bay kaŋ ay kabey wey nda ay goy ka agay nda ay hangasiney almuraadey hanse. 
ACT.20.35	Ay nʼa cebe war se nongoo kul here kaŋ nda boro goy nda takaa woo ma talkey faaba, ir ma hongu šenney kaŋ ir Koyoo Isa hunday nʼi har, a nee: ‹Gomni goo nooyan ra ka bisa duuyan.›»
ACT.20.36	Kaŋ Pol na šenney wey har ka ben, a sonbu kanjey ga, nga nda borey kul kaŋ goo a bande, a na Irkoy ŋaaray. 
ACT.20.37	Borey kul hẽe, i hẽe, i gum Pol jindoo ga kʼa summu. 
ACT.20.38	Hayaa kaŋ hanse ka biney maray manʼti kala šennoo kaŋ Pol nʼa har kaŋ ti i si yee ka dii nga ndumoo. I nʼa dum hala harihiyoo do.
ACT.21.1	Kaŋ ir nda ey na cere naŋ, ir na harihii zaa ka šerre Kos. Subaa ra, ir koy Rodos. Ir hun no din ka koy Patara. 
ACT.21.2	Ir na harihii foo gar kaŋ ga koy Fenisi, ir huru a ra ka koy. 
ACT.21.3	Waatoo kaŋ ir man Šipir, ir nʼa naŋ ir kabe laalaa ga ka hun ka koy Siiri here ka koy fandi Tir, zama no din no hiyoo ga hima ka nga jinaa zumandi. 
ACT.21.4	Ir na taalibey gar no din, ir na jirbi iyye tee no din. I nee Pol se Irkoy 
ACT.21.5	Waatoo kaŋ jirbi iyyaa timme, ir na fondaa zaa, i kul nʼir dum, ngi woyey nda zankey ka koy hala koyraa dumaa ga, ir sonbu ir kanjey ga haroo miɲoo ga ka Irkoy ŋaaray. 
ACT.21.6	Waatoo kaŋ ir na cere hoy baani ka ben, ir huru harihiyoo ra, ngi, i yee ngi do.
ACT.21.7	Kaŋ ir goo mʼir diraa benandi, ir hun Tir ka koy Petolomayis. Ir nʼir armey foo kaŋ goo no din, ir na zaari foo tee i do. 
ACT.21.8	Subaa ra, ir hun no din, ir koy Sezare. Ir koy Filip kaŋ ti 
ACT.21.9	Woo gar a goo nda ize woy boro taaci kaŋ si aru bay, i ga annabitaray tee. 
ACT.21.10	Ir na jirbi boobo tee no din, annabi foo kaŋ maaɲoo ti Agabus doo ka hun Žude. 
ACT.21.11	A kaa ir do, a na Pol gamahawoo zaa, a na nga cewey nda nga kabey haw, a nee: «Hayaa ne kaŋ Hundi Henanantaa nʼa har: boraa kaŋ wane gamahawoo woo, Alyahuudey gʼa haw nda takaa woo Žerizalem, i gʼa daŋ kabeyaŋ ra kaŋ manʼti Alyahuudu.» 
ACT.21.12	Kaŋ ir maa šenney wey, ir nda borey mo kaŋ goo no din, ir na Pol suurandi a masi žigi ka koy Žerizalem. 
ACT.21.13	Amma Pol zaabi ka nee: «Macin se war ga hẽe kʼay binoo hasara? Zama agay, ay soolu ya hawandi, manʼti ya hawandi hinne, amma ya buu mo Žerizalem ir Koyoo Isa maaɲoo maaganda se.» 
ACT.21.14	Kaŋ a wanji ka yadda ir se, ir fay nda a, ir nee: «Ir Koyoo ibaayoo ma tee.»
ACT.21.15	Jirbey din banda ga, ir nʼir jinawey marga, ir žigi ka koy Žerizalem. 
ACT.21.16	Sezare taalibey mo ra boroyaŋ hanga ir bande kʼir ka koy boro foo kaŋ do ir ga hima ka zunbu. Maaɲoo ti Manasoŋ, Šipir boro no, a gay a ga tee taalibi.
ACT.21.17	Kaŋ ir too Žerizalem, ir armey nʼir kubay henna nda ɲaali. 
ACT.21.18	Nga subaa ra, Pol nʼir ka koy Žak hugoo do, 
ACT.21.19	Pol nʼi foo jina a duu ka hayey filla affoo-foo kaŋ Irkoy nʼi tee nda nga goyoo dumey kaŋ manʼti Alyahuudu game. 
ACT.21.20	Kaŋ i maa a se, i na Irkoy beerandi. I nee Pol se: «Ir armaa, nʼga dii Alyahuudu zenber zenberey kaŋ naanay, i kul ga hanse ka 
ACT.21.21	Ka gar i nka maa kaŋ ni mma Alyahuudey kul kaŋ goo gandawey jerey ra cawandi ka nee i ma Musa ašariyaa naŋ, i masi ngi izey daŋbangu, i masi dira nda alaadawey. 
ACT.21.22	Macin no ir mʼa tee? Šikka sii a ra i ga maa kaŋ nʼkaa ne ra. 
ACT.21.23	Adiši hayaa tee kaŋ ir gʼa har ma ne. Aru taaci goo ir ra kaŋ na meefur zaa. 
ACT.21.24	I dii, war ma koy henan cere bande. Ma bana i se hala ngi boŋey ma duu ka cebandi. Woo ra borey kul ga bay kaŋ hayey kul kaŋ ngi maarʼey ni ga manʼti kala taari de. I ma bay kaŋ ni mo, nʼga ašariyaa dii. 
ACT.21.25	Dumey kaŋ manʼti Alyahuudu kaŋ naanay, ir waafaku ka hantum i se kaŋ i ma ngi boŋ hawgay i masi hayey ŋaa kaŋ sargandi toorey maaɲey ga, nda kuri ŋaayan, nda haya kaŋ kootandi ka buu, nda woy nda aru izefututaray ga.»
ACT.21.26	Pol na arey ka koy nga bande. Subaa ra, a na nga boŋ henanandi i bande, a huru Irkoy 
ACT.21.27	Kaŋ jirbi iyyaa ga baa ka ben, 
ACT.21.28	I kaati ka nee: «Izirayel borey, wa faaba, boraa ti woo kaŋ ga borey kul cawandi nongoo kul ra, ka konna Izirayel borey, nda 
ACT.21.29	I nka bay ka dii koyraa ra Efez boraa kaŋ se i ga nee Trofim goo Pol bande, nga i mma nee kala Pol nka koy nda a Irkoy hugu beeroo ra. 
ACT.21.30	Koyraa kul ka tun cere ra, jamaa marga. I na Pol dii kʼa cendi kʼa ka fatta Irkoy hugu beeroo ra, dogoo din da hugoo miɲey daabandi. 
ACT.21.31	Kaŋ i ceeci ngi mʼa wii, alhabaroo too soojey boŋkoyni beeroo do kaŋ Žerizalem kul ka birji cere ra. 
ACT.21.32	Dogoo din da a na soojeyaŋ nda jalakoyniyaŋ zaa ka zuru ka doo i do. Za kaŋ borey dii sooje boŋkoyni beeroo nda soojey, i fay nda ka Pol kar. 
ACT.21.33	Waatoo kaŋ boŋkoynoo too i do, a na Pol dii, a na yaamar noo kaŋ i mʼa haw nda guuru karfu hinka jina a duu ka hãa wala may no, macin ti hayaa kaŋ a nʼa tee. 
ACT.21.34	Amma jamaa ra, affooyaŋ ga kaati ka nee woo, jerey ga kaati ka nee woo. Kaŋ a mana hin ka duu šenni naanayante kul tureyanoo maaganda se, a na yaamar noo i ma Pol ka koy soojey hugoo do. 
ACT.21.35	Waatoo kaŋ Pol too žigidogoo tintimey ga, kala soojey nʼa zaa jamaa gaaboo maaganda se, 
ACT.21.36	zama jamaa kul hanga ey ka kaati ka nee: «Wʼa wii!»
ACT.21.37	Waatoo kaŋ ra i ga baa ka Pol daŋ soojey hugoo ra, a nee sooje boŋkoyni beeroo se: «Ay ga hin ka šenni foo har ma ne wala?» A nee: «Adiši nʼga wan Grek šenni? 
ACT.21.38	Manʼti Misira boraa ti ni kaŋ a mana gay, a na tureyan tunandi ka turante boro zenber taaci (4.000) ka koy saajoo ra?» 
ACT.21.39	Pol nee: «Alyahuudu ti agay, Tars kaŋ goo Silisi gandaa ra, koyra beeroo din ize ti agay. Ay gʼa wiri ni ga, naŋ ya šelaŋ jamaa se.» 
ACT.21.40	Waatoo kaŋ boŋkoynoo na Pol naŋ a ma šelaŋ, Pol kay žigidogoo tintimey ga, a na kaboo ka silbay foo tee jamaa se. Nongoo kul tee sõy. A šelaŋ i se Ebere šenni ra ka nee:
ACT.22.1	«Arma arey nda ay baabey, wa maa hayaa kaŋ ay ga baa yʼa har war se ka faasa ay boŋ se.» 
ACT.22.2	Kaŋ i maa Ebere šenni ra a ga šelaŋ ngi se, ngi dangayyanoo yee ka tonton. Pol nee: 
ACT.22.3	«Alyahuudu ti agay, ya na hayandi kala Tars kaŋ goo Silisi gandaa ra, amma koyraa woo ra ay biirandi. Gamaliyel cewey cire ay caw. A nʼir baabey 
ACT.22.4	Ay na borey kaŋ goo fondaa woo ga gurzugay hala buuyan ga. Ay na arey nda woyey mo haw kʼi noo i mʼi daŋ kasawey ra. 
ACT.22.5	 hunday nda boro beerey margaroo kul ga tee ya ne seede. Ay duu i ga mo batagayaŋ kʼi ka koy ir armey do. Ay naaru ka koy Damas ka borey haw kaŋ goo no din ka kate ey Žerizalem i ma zukandi.»
ACT.22.6	«Kaŋ ay goo ma naaru, ay ga baa ka too Damas, zaarikay dimma ga, kaŋ dogoo din da gaay beeri hun beenaa ra, a nʼay kuubi kʼay bere. 
ACT.22.7	Ay kaŋ ganda, de ay ga maa jinde kaŋ ga nee ya ne: ‹Sol, Sol, macin se ni, nʼgʼay gurzugay?› 
ACT.22.8	Ay zaabi ka nee: ‹May ti ni, ay Koyoo?› A nee ya ne: ‹Agay ti Isa Nazaret boraa kaŋ ni, nʼgʼa gurzugay.› 
ACT.22.9	Borey kaŋ goo ay bande dii gaayoo, amma i mana maa boraa kaŋ šelaŋ ya ne jindoo. 
ACT.22.10	Ay nee: ‹Ay Koyoo, macin no ay ga hima kʼa tee?› Ay Koyoo nee ya ne: ‹Tun ma koy Damas, no din ra i ga hayey kul filla ma ne kaŋ yaamarandi mʼi tee.› 
ACT.22.11	Ay si dii koyne, gaayoo annuuraa maaganda se. Borey kaŋ goo ay bande nʼay kaboo dii kʼay gongu ka koy Damas.
ACT.22.12	Aru foo goo no din kaŋ se i ga nee Ananiyas, Irkoy hunburkaw no, a ga 
ACT.22.13	A kaa ay do ka kay ay jeroo ga, a nee ya ne: ‹Agʼarmaa Sol, ni moɲey ma yee ka dii.› Waatoo din da, ay moɲey yee ka dii, ay dii Ananiyas. 
ACT.22.14	A nee: ‹Ir baabey Koyoo na ni kayandi hala ma nga ibaayoo bay, ma dii Boro Šerrantaa, ma maa šenniyaŋ miɲoo ra. 
ACT.22.15	Zama nʼga tee a se seede, adamizey kul do, hayey kaŋ nʼdii ey nda wey kaŋ ni maarʼey se. 
ACT.22.16	Sohõ macin no nʼga batu? Tun ma 
ACT.22.17	«Waatoo kaŋ ay yee Žerizalem, ay goo ma Irkoy ŋaaray Irkoy 
ACT.22.18	Ay dii ir Koyoo, a nee ya ne: ‹Tanba, ma cahã ka hun Žerizalem, zama seedetaraa kaŋ nʼgʼa tee ay ga, i si yadda a ga.› 
ACT.22.19	Ay nee: ‹Ay Koyoo, ngi hunday ga bay kaŋ agay, ay cindi ka hun 
ACT.22.20	Waatoo kaŋ i na ni seedaa Etiyen wii, kuroo mun, agay hunday goo no, ay yadda hayaa ga kaŋ teendi, ay na borey kaŋ gʼa wii darbawey lakkal.› 
ACT.22.21	A nee ya ne: ‹Koy, zama agay, ay ga ni sanba nongu mooro ra dumey do kaŋ manʼti Alyahuudu.›»
ACT.22.22	Jamaa na haŋajer Pol se hala ka too šennoo woo ga jina i na jinde jer ka nee: «Wa aroo woo kaa aduɲɲa ra, a si hima ka huna!» 
ACT.22.23	I cindi i ga kaati, i ga ngi darbawey warra, i ga laboo say hewoo bande ka ngi futuyanoo cebe. 
ACT.22.24	Sooje boŋkoyni beeroo na yaamar noo kaŋ i ma Pol ka koy soojey hugoo do kʼa barzu hala a ma duu ka hayaa bayrandi kaŋ se jamaa ga kaati ka konna a. 
ACT.22.25	Waatoo kaŋ i ga Pol haw barzuyanoo se, a nee jalakoynoo kaŋ goo nga jeroo ga se: «War goo nda fondo ka Rom boro barzu kaŋ mana ciitandi wala?» 
ACT.22.26	Za jalakoynoo maa šennoo woo, nga no a koy a deede nga boŋkoynoo se ka nee: «Macin no nʼgʼa tee? Zama aroo din, Rom boro no.» 
ACT.22.27	Sooje boŋkoyni beeroo kaa Pol do ka nee a se: «Ay bayrandi, Rom boro ti ni wala?» A nee: «Ayyo.» 
ACT.22.28	Boŋkoynoo nee koyne: «Agay, nooru beeri no ay nʼa kaa ka duu koyra-izetaraa woo.» Pol nee: «Agay binde nka hayandi nda a.» 
ACT.22.29	Dogoo din da borey kaŋ ga hima kʼa hãa hibi a ga, boŋkoynoo mo hunbur waatoo kaŋ a bay Rom boro ti Pol, de mo nga nʼa haw.
ACT.22.30	Subaa ra, sooje boŋkoyni beeroo baa nga ma hakiika ka bay hayaa kaŋ se Alyahuudey na Pol wurru. A nʼa feeri, a na yaamar noo kaŋ 
ACT.23.1	Pol na nga moɲey kanji 
ACT.23.2	 kaŋ ti Ananiyas yaamar kaŋ borey kaŋ goo jeroo ga mʼa kar miɲoo ga. 
ACT.23.3	Waatoo din Pol nee a se: «Irkoy ga ni kar, ni kaŋ ga hima nda cete kaŋ kaarayandi
ACT.23.4	Borey kaŋ goo jeroo ga nee: «Irkoy sargari juwalkey jineboraa no nʼgʼa wow?» 
ACT.23.5	Pol nee: «Ya na bay, agʼarmey wala sargari juwalkey jineboraa no, zama a hantumandi 
ACT.23.6	Pol ga bay kaŋ margaroo jere foo ti 
ACT.23.7	Waatoo kaŋ a na woo har, kakaw huru Fariziyeŋey nda Sadusiyeŋey game, jamaa zamna. 
ACT.23.8	Zama Sadusiyeŋey ga nee kaŋ tunyanoo si bara, almalayka si bara, hundi si bara, amma Fariziyeŋey ga nee kaŋ i kul ga bara. 
ACT.23.9	Hoolo beeri tee, Citaaboo baykawyaŋ kaŋ goo Fariziyeŋey kondaa ra tun ka kakaw beeri tee, i nee: «Ir mana dii aroo woo ga haya futu kul, amma nda hundi wala almalayka šelaŋ a se…» 
ACT.23.10	Kakaa beeri ka tonton, sooje boŋkoyni beeroo hunbur i ma Pol dunbu-dunbu, a na soojey margaroo yaamar, i ma zunbu kʼa kaa gamey ra kʼa ka koy soojey hugoo ra.
ACT.23.11	Cijinoo din ra, ir Koyoo kay Pol jeroo ga ka nee a se: «Bine tee, takaa kaŋ nda nʼna seedetaray tee ay hayey ga Žerizalem, takaa din da kala ma seedetaray tee ay hayey ga Rom mo ra.»
ACT.23.12	Suba subbaahoo ra, Alyahuudey hawandifutay, i na žeeyan beeri tee kaŋ ngi si ŋaa ngi si haŋ hala waati kaŋ ngi na Pol wii. 
ACT.23.13	Borey kaŋ na hawandifutaa woo tee bisa boro woytaaci (40). 
ACT.23.14	I koy 
ACT.23.15	Sohõ war nda 
ACT.23.16	Pol woymaa izʼaroo maa hawandifutaa, a koy huru soojey hugoo ra kʼa har Pol se. 
ACT.23.17	Pol ciya jalakoyni foo se, a nee: «Arusoogaa woo ka koy sooje boŋkoyni beeroo do, zama a goo nda a se šenni foo.» 
ACT.23.18	A nʼa dii kʼa ka koy boŋkoynoo do, a nee: «Kasa-izoo kaŋ se i ga nee Pol ciya ya ne kʼa wiri ay ga ya koy nda ni do arusoogaa woo kaŋ goo nda ni do šenni.» 
