GEN.1.1	Makasososan Manetualain nakadadadik lalai no dae-inak.
2CO.6.18	ei oo dadi miu Au anang nggara boe.
2CO.6.18	Naa ndia, ita Lamatuan nafada nae,
2CO.6.18	Ndia, ndia mana Koasa Mateꞌen.”
2CO.7.1	Toranoo susue nggara ein! Manetualain helu-bartaa basa dedeꞌak bebeik kara iar fee ita ena, huu naa de ita muste tao talao ita dalen ma leleo-lalaꞌon. Boso ela manggenggeok faa boe na, nai ita ao-inan. Huu ita katematuan nau dadi lolo-laok soa-neu Manetualain fo tatudu tae, ita tamataꞌu ma fee hada-horomatak neu Ndia.
2CO.7.2	Toranoo nggara ein! Fee lelak neu ai. Buka dalem mara fo simbok ai no malole. Boso makatema dalem mara. Fai bakahulun, neu ai numa ei taladam, ai ta tao mita salak neu hatahori esa boe na. Ai ta fufudi-hohodo mita hatahori fo tao salak. Ai oo ta pepeko mita hatahori fo sangga nanalak numa sira mai boe. 
2CO.7.3	Neu au kokolak talo naa, au ta ae ndae salak neu ei. Huu ai sue ei, sama leo au afada ena. De leo mae talo bee oo, ita mate do tasoda, ai makaesa mia ei boe. 
2CO.7.4	Hatematak ia, au hae duduꞌa neu-mai bali, huu au amahere neu ei. Au oo kokolak aloloa bafang laꞌe-neu ei boe. Ei oo matetea au daleng boe. Dadi leo mae ita hambu susa-sonak mata-matak kara, tehuu au daleng mbena sau-sau nakandoo nahuu ei.
2CO.7.5	Fai bakahulun, ai meni profensi Makedonia miu, ai manggu malan seli. Ai hambu susa-sonak kii-konak. Ai mareresi mia hatahori deak. Ai oo mameda bii-mamataꞌu nai ai dalen boe.
2CO.7.6	Tehuu Manetualain naa, ndia natetea hatahori fo mopo dale tean, ma mana nameda berak ena. Ana oo natetea ai dalen boe, neu Ana nadenu Titus fo neni ai mai. 
2CO.7.7	Titus mamain naa, neni netetea dalek soa-neu ai. Ana neni tutuik nae, neu ndia bei numa naa, ei matetea dalen. Tutuin naa oo tao natetea ai dalen boe, neu ai mamanenen. Ana oo tui nae, ei hii malan seli nau mete-mita au boe, ma ei fale dalem tebe-tebe neu dedeꞌak kara fo bakahulun mori-dadi nai ei taladam ena. Ana oo tui laꞌe-neu ei tao talo bee fo tulu-fali au boe. Huu naa de au daleng mbena sau-sau.
2CO.7.8	Au bubuluk ae, au susurang bakahulun fo kaꞌi-ore berak neu ei naa, memak tao nala ei mameda susa. Tehuu au ta fale daleng surak susurak naa. (Naa te faik naa, au fale daleng faa, neu au bubuluk ae, au susurang naa, tao nala ei susa, leo mae kada ta doo anak ka boe.) 
2CO.7.9	Tehuu hatematak ia, au daleng mbena sau-sau. Au ta ameda nemehokok, nahuu faik naa ei mameda susa. Taa! Au ameda nemehokok, nahuu faik naa, au susurang fufudi-kokoe fo ei sale dalem do tuke teim. Ei manaku salam, ma laꞌo ela ei dedeꞌa ta neulaum fo fali tungga Manetualain eno-dala ndoon. Huu Manetualain ndia tao fo ei fale dalem talo naa. No dalak naa, ai susuran kada tao nala ei dadi neulauk. 
2CO.7.10	Mete ma ita tameda fale dalek tungga Manetualain hihii-nanaun naa, ita hahae tao dedeꞌa manggarauk kara, tehuu tungga falik eno-dala ndoos. Naa, nakamboꞌik ita numa Manetualain huku-dokin mai, de ita hae leo-laꞌo to fale dalek takandoo. Tehuu mete ma ita kada fale dalek nai bifi dook a mesan, sama leo hatahorir marai dae-bafok ia siꞌen, neu ko ita takalulutu.
2CO.7.11	Ei duꞌa sudik kana! Neu ei lees au susurang naa, au bubuluk ei oo fale dalem mara boe. Naa, tungga Manetualain hihii-nanaun. Naa, tao nala ei maue-osa fafandek lima-eim mara fo koka heni dedeꞌa manggarauk numa ei leleo-lalaꞌom mai. Ei mangguk ka mia ei manggaraum ena. Ei oo mamataꞌu boe, mete te boso losak ei tao seluk manggarauk bali. Ei dalem mara hii ralan seli mete-mita au, ma mahani a makandoo fo tao dedeꞌa neulauk. Ei oo mahani a fo nau hukun hatahori mana tao salak boe. No ei tao tetebes talo naa, huu naa de ei dadi miu lolo-laok. No dalak naa, ta hambu mana bisa ndae salak neu ei. 
2CO.7.12	Dadi au ta surak au susurang bakahulun naa, soa-neu hatahori mana tao manggarauk. Au oo ta surak fee hatahori fo mana hambu nala ndia manggaraun boe. Tehuu au surak susurak naa fee ei, mita fo au atudu ae, ei kokolam nai Manetualain matan naa, tetebes. Ma ei sue-lai tebe-tebe neu ai. 
2CO.7.13	Basa iar lalaꞌen, ratetea au daleng.
2CO.7.13	Ei oo matetea Titus dalen ena boe, mita fo dalen bisa lino-lendek. Naa oo tao tamba namahoko ai dalen boe. 
2CO.7.14	Au akadedemak ita ei, numa Titus matan laꞌe-neu ei tatao neulaun. Au oo afadan ae, ei ta tao makamamaek mita au boe. Huu basa dedeꞌak kara fo ai tui mitak neu ei naa, tetebes. Ma basa dedeꞌak kara fo ai tui Titus laꞌe-neu ei naa oo tetebes boe. 
2CO.7.15	Dadi tungga-tungga ana nasaneda ei tataom ma ei kokolam, ndia susue-lalain neu ei boe tamba. Ma ana oo nasaneda neu ana neni naa neti, ei simbok kana no hada-horomatak boe, tehuu ei kada duduꞌa neu-mai boso losak ei ta tao tungga au susurang. 
2CO.7.16	Au daleng mbena sau-sau, nahuu au bisa amahere ei nai basa dedeꞌak kara. Dadi au ta duduꞌa neu-mai ua ei ena bali!
2CO.8.1	Toranoo susue nggara ein! Ai hihiin ei malela Manetualain dale susuen fo Ana natudun neu saranik kara marai profensi Makedonia ena. 
2CO.8.2	Leo mae ara hambu susa-sonak ma tuni-ndenik manahetak, tehuu dalen nara mbena sau-sau rakandoo. Huu naa de, leo mae sira mesa kasa hata taak kara, tehuu ara bei fee sira doin noꞌun seli no dale lolo-laok, fo doi-sou hatahori kamaherek laen mana hambu susa-sonak kara. 
2CO.8.3	Au mesa ngga bisa tui ae, ara fee basa-basan fo ara bisa fee. Boe ma ara fee tamba lena heni naa bali. Ta hambu esa nakasetik kasa. 
2CO.8.4	Sira mesa kasa ndia roke no tebe-tebe, mita fo ai soi dalak fee sara. No dalak naa, ara bisa haꞌi rala babaꞌek, fo doi-sou hatahori kamaherek fo mana hambu susa-sonak marai Yerusalem.
2CO.8.5	Fai bakahulun, ai mamahena ara nau tao talo ia, tehuu hata fo ara taok naa, lena heni hata fo ai mamahenak! Kaesan, ara loo lima aon nara reu ita Lamatuan. Kaduan, ara kokolak bali rae, “Ai nau loo lima ai aon nara fo maono-lalau ei, nahuu ia tungga Manetualain hihii-nanaun.”
2CO.8.6	No saranik kara marai Makedonia fee netuduk talo naa, huu naa de ai moke fo Titus fali neni ei marai Korentus neu bali, mita fo ei oo bisa doi-sou Lamatuak hatahorin mana hambu susa-sonak marai Yerusalem boe. Huu fai bakahulun, ana ndia mulai naduduru doik fee sara. De hatematak ia, ai moke fo ana bisa tao natetu do nakadaik ei uem doi-sou hatahori.
2CO.8.7	Ei leleo-lalaꞌom soa-neu Lamatuak memak neulaun seli. Haꞌi netuduk leo: ei nemeheherem, matea; ei kokolam fo matetea hatahori dalen, neulauk; ei bubuluk noꞌuk ka laꞌe-neu Lamatuak; ei dale team mandema; ma ei sue-lai malan seli neu ai. Huu naa de au nau fo ei oo, doi-sou Lamatuak hatahorin mana hambu susa-sonak no fee doik noꞌun seli boe.
2CO.8.8	Au ta parenda ei marai Korentus fo fee doik noꞌun seli, tehuu au kada ae fora ei. Huu hatahori saranik kara marai Makedonia nau doi-sou sara ena. Dadi no dalak ia, ei oo bisa matudu, ei sue-lai tebe-tebe neu hatahori mana susa-sonak kara boe. 
2CO.8.9	Ei bubuluk ena mae, ita Lamatuan Yesus Karistus, natudu Ndia dale susuen neu ei ena. Fai bakahulun Ana sama leo hatahori kamasuꞌik. Tehuu Ana here fo dadi neu hatahori hata taak fo tulun ei, mita fo ei bisa dadi mamasuꞌi nai dedeꞌak noꞌuk ka.
2CO.8.10	Teu maneuk kara, ei mulai maduduru doik fee sara ena. Ei ta fee kada doik ka mesan, tehuu ei oo doi-sou sara numa ei dalem mara mai boe. Dadi tungga au, ei muste tao talo ia: 
2CO.8.11	Fai bakahulun, ei nau doi-sou Lamatuak hatahorin mana hambu susa-sonak marai Yerusalem naa ena. Dadi hatematak ia, fee mabasa hata fo ei maketu mala mae doi-sou ena. Ma ei mabeꞌi fee desi hata, na, feen leo. Tehuu nenenin lenak ndia, fee no dale dere-dere hiek. 
2CO.8.12	Huu mete ma ita fee no dale dere-dere hiek tungga desi hata fo ita tabeꞌi fee, na, naa oo malole boe. Numa kada ita mai leo. Hatahori boso fee no nekesetik, hata fo neu ko tao nakasususak kana.
2CO.8.13	Au duduꞌang ta ae tao amabera ei, mita fo hatahori laen namadaꞌu. Tehuu au duduꞌang, ita basa ngga lemba-tasaa sama-sama sira susa-sonan. 
2CO.8.14	Hatematak ia ei hambu lenak, ma sira ta mandaik. Doo-doo te ara oo bisa bala boe, mete ma ei ta hambu dai. No dalak naa, ita bisa lemba-tasaa sama-sama. 
2CO.8.15	Naa, sama leo Manetualain Susura Malalaon surak nae,
2CO.8.15	“Hatahori fo mana hambu noꞌuk,
2CO.8.15	ta hambu lenak numa hata fo ara toꞌak mai.
2CO.8.15	Ma hatahori fo mana hambu baꞌuk,
2CO.8.15	ta hambu kuran numa hata fo ara toꞌak mai.”
2CO.8.16	Au oke makasi neu Manetualain, nahuu Ana ndia fufudi-kokoe Titus fo nau tulun ei, sama leo au nau tulun ei. 
2CO.8.17	Memak ai moke fo ana neti tiro-dangga ei. Naa te, naa oo ndia hihii heli-helin boe. Huu naa de Titus mesa kana ndia nae neti tulun ei, ta huu au nonokeng. 
2CO.8.18	Tehuu ana ta neti mesa kana. Ai oo madenu ai toranoon esa ena, fo neti sama-sama noon boe. Basa saranik kara marai iar ralela hatahori ia, nahuu ana naue-osa fafandek lima-ein ena, fo nafada hatahorir laꞌe-neu Lamatuak Hara Lii Malolen. 
2CO.8.19	Saranik malanggan nara oo here ralan fo laꞌok sama-sama no ai boe, fo tulun ai nai ai ue-osa neulaun ia. Ai makalalaꞌok ue-osa ia, fo matudu ita Lamatuan ta neni babanggan, ma tao neulauk soa-neu hatahori mana susa-sonak marai Yerusalem.
2CO.8.20	Ai sangga dalak tao hata fo tetebes, mita fo ta hambu hatahori fo bisa nakasasaꞌek salak neu ai nae, ai ta maue-osa tebe-tebe neu ai toꞌu meni doik fee hatahori mana toꞌak kara. 
2CO.8.21	Ai maote fo tao hata fo tetebes numa ai dale lolo-laon mai, nai Lamatuak matan ma nai hatahorir matan boe.
2CO.8.22	Hambu toranook esa bali, ai madenun neti sama-sama no Titus sara fo toꞌu reni doik naa. Ai parisa malan laꞌe noꞌuk ka ena. De ai bubuluk ena mae, ana nau naue-osa fafandek lima-ein soa-neu ei. Ana dere-dere hiek talo naa, nahuu ana bubuluk ena nae, ei tao hata fo tetebes.
2CO.8.23	Mete ma hambu hatahorir ratane laꞌe-neu Titus, na, mafada sara mae, Titus naa, au toranoong fo naue-osa no au nakandoo soa-neu ei. Mete ma hatahorir ratane laꞌe-neu hatahori laen mana nau tungga Titus laꞌok naa reti, na, mafada sara mae, hatahori kamaherek kara marai mamana laen oo here rala sara boe, fo ara tungga toꞌu doik ia, reni Yerusalem reti. Ara rahani a nai Korentus ena fo rae reti. Titus sama-sama no sara. Basa sara neu ko ratudu Karistus ta neni babanggan talo naa. 
2CO.8.24	Dadi ei muste matudu susue-lalaim neu hatahorir fo mana toꞌu reni doik naa. Ma ei oo matudu sara, tao hata de ai hii kokolak maloloa bafan laꞌe-neu ei boe. No dalak naa, hatahori kamaherek maruma saranik marai bee a mesan mai, bubuluk tebe-tebe rae, ei sue sara.
2CO.9.1	Teteben ndia, au hae surak bali, fo oke ei doi-sou Lamatuak hatahori kamaheren nara. 
2CO.9.2	Huu au bubuluk ena, ei maena dale dere-dere hiek doi-sou hatahorir talo naa. Au oo hii afada hatahori kamaherek marai Makedonia, laꞌe-neu ei dale susuen boe. Au tui ena ae, ei hatahori Korentus numa profensi Akaya mai, mahani memak numa teu maneuk kara mai ena, fo mae haitua doi doi-souk. Au oo tui laꞌe-neu ei dalem mana dere-dere hiem boe, fo mana tao nala hatahorir laen nara nau tungga doi-sou hatahori mana susak kara. 
2CO.9.3	De au adenu ita toranoon nara reti ena fo ratudu rae, hata fo ai tuik kara laꞌe-neu ei ena, ta kokola bafa rouk. Au afada talo naa, mita fo ei mafafaꞌu memak. 
2CO.9.4	Mete ma hambu hatahori Makedonia mai sama-sama ro au, boe ma ei bei ta mafafaꞌu mala, na, ita basa ngga mae. Boso losak au nemehehereng neu ei, oka-huun taa. 
2CO.9.5	Huu naa de au duduꞌa ae, malole lenak ita toranoon nara laꞌo rakahuluk reni ei reti, fo ei basa ngga bisa koladu doi doi-souk naa tungga ei hehelum fai bakahulun. Ei muste fee numa ei dale susuem mai. Boso fee no dale datuak.
2CO.9.6	Masanenedak! Talo ia: “Hatahori fo mana sele-tande bini-nggees kada baꞌu anak ka, neu ko hambu buna-boak baꞌu anak ka boe. Hatahori fo mana sele-tande bini-nggees noꞌuk ma ta nakatataak kana, neu ko ana hambu falik buna-boan ma babaꞌe-babatik manahetak boe.” 
2CO.9.7	Hatahori esa-esak muste naketu aon, ana nau fee desi hata. Boso fee no dale bibiak. Boso fee huu kada hatahori nekesetin. Huu Manetualain sue-lai hatahori fo mana fee no dale malenggan. 
2CO.9.8	Manetualain nabeꞌi fee ei basa babaꞌe-babatik mata-matak. Ana oo nabeꞌi fee lena-lenak boe, mita fo ei ta toꞌa kuran hata esa boe na. Mete ma ei toꞌa, na, neu ko ei hambu dai lena. No dalak naa, ei bisa babaꞌe ei lenam fo tulun basa ue-osa neulauk. 
2CO.9.9	Sama leo neni surak nai Manetualain Susura Malalaon nae,
2CO.9.9	“Manetualain hii baꞌe fee hatahori mana matofa-tarak kara,
2CO.9.9	numa Ndia dale susuen mai.
2CO.9.9	Ana tao tetebes nakandoo,
2CO.9.9	huu Ndia dale ndoon nakatataka nakandoo.”
2CO.9.10	Manetualain ndia fee bini-nggees, fo hatahori mana ue daer sele-tanden. Manetualain ndia fee nanaꞌak, fo ita bisa taꞌa. Manetualain ndia neu ko fee ei babaꞌe-babatik, mita fo ei bisa tao hata fo tetebes. Naa, sama leo ei dadi miu hatahori mana ue dae, boe ma Manetualain fee bini-nggees neu ei fo sele-tanden. De ei ue-tatao neulaun naa, Ana taon tungga faik, boe tamba namanoꞌu.
2CO.9.11	Manetualain nau fee ei lena heni hata fo ei mesa ngga toꞌak, mita fo ei bisa doi-sou hatahori laen nara numa ei dale susuen mai. Dadi mete ma ei doi-sou hatahori laen talo naa ena, neu ko ara roke makasi neu Manetualain. 
2CO.9.12	Doi-souk naa fo ei feen neu Manetualain hatahorin marai naar, au henggenee tulu-fali sara. Ma naa oo tao nala ei soꞌuk makasi taa-taa neu Manetualain boe. 
2CO.9.13	Huu neu ei doi-sou hatahori laen nara, naa natudu bukti nae, ei mamahere tebe-tebe. Naa oo tao nala hatahori laen nara soꞌuk kokoa-kikiok soa-neu Manetualain boe. Huu ara bisa mete-rita, ei nemeheherem neu Karistus Hara Lii Malolen naa, ta kokola bafa rouk. Naa natudu nae, ei tao tungga ei nemeheherem. Dadi neu ei fee doi-souk numa ei dale susuem mai neu sara, ma hatahori laen boe, na, naa ndia taon ara soꞌuk kokoa-kikiok soa-neu Manetualain.
2CO.9.14	Hatahori fo mana simbo nala doi-souk numa ei mai, neu ko hule-haradoi soa-neu ei. Ara oo hii ralan seli rae mete-rita ei boe, nahuu Manetualain natudu Ndia dale susuen noꞌun seli neu ei ena. 
2CO.9.15	Tehuu Manetualain fee mudak ita Hadia esa lolen seli ena. Ndia, Yesus! Ndia belin naa, lena heni basa-basan! Huu naa de ita basa ngga sama-sama toke neu Manetualain tae, “Makasi!”
2CO.10.1	Au, Paulus mesa ngga, ndia surak nai ia. Neu ko hambu ketuk numa ei mai duduꞌa talo ia: mete ma au sama-sama ua ei, na, au mae kokolak ledo-ledo. Tehuu mete ma au dook ka numa ei mai, au ambarani kokolak no ta pake bii-bambik. Talo naa, hetu? Naa te au oke fo ei nenene au, nahuu Karistus dale lilon neu ei, ma Ana hii fee dale susuen neu ei. 
2CO.10.2	Tehuu hambu ketuk ruma ei mai ta nau nenene au. Ara kokolak rae, ai tatao-nonoꞌin nara oo sama leo hatahori laen marai dae-bafok ia tatao-nonoꞌin nara boe. Dadi mete ma au uni naa uu, fama te au muste kokolak ta pake bii-bambik neu sara. Huu naa de au afada memak neu ei basa ngga, mita fo neu ko au uni naa uu, na, au hae kokolak barakaik ua sara. 
2CO.10.3	Leo mae ita hatahori dae-bafok biasa oo, tehuu mete ma ita tareresi to hatahori laen, ita boso tambariik tahere fo tahuur boe, sama leo hatahorir marai dae-bafok ia fo ta ralela Manetualain. 
2CO.10.4	Mete ma ita tahuur to hatahori, na, boso lilii-ndondou te ita tee-tanden nara ta sama ro hatahorir marai dae-bafok ia enan. De mete ma ita tahuur to hatahori langga batuk mana nareresi no ita, na, ita oo hambu Manetualain koasan mana bisa ofe nakalulutu hatahori oka-huun boe. 
2CO.10.5	Manetualain koasan bisa ofe heni basa hatahori dae-bafok duduꞌan mana laban Manetualain, mana tao hatahorir ta nau ralela Ndia. Ndia koasan oo bisa natudu dalak boe, fo nggati hatahori dala duduꞌa raan naa, no dala duduꞌa beuk. No dalak naa, hatahori nanori fo duduꞌa tungga Karistus nenorin.
2CO.10.6	Noꞌuk ka numa ei mai mulai nenene Karistus, ma tao tungga basa Ndia hihii-nanaun lalaꞌen ena. Tehuu hambu ketuk numa ei mai bei ta nau nenene neu Ndia. Dadi ai mahani a ena, fo hukun sira ta mana nau nenene neu Ndia.
2CO.10.7	Ei hii mete-mita hata fo neni nitak numa kada dean mai. Tehuu ei muste mete hatahori dalen. Dadi mete ma hambu hatahori fo tao aon Karistus nedenun, na, masaneda matalolole. Huu ai oo Karistus nedenun, sama leo ndia boe. 
2CO.10.8	Fama te ei duꞌa mae, au kokolak aloloa bafang lena-lenak laꞌe-neu koasa fo ita Lamatuan feen neu ai. Talo naa, hetu? Taa! Huu koasa naa hambun, fo natetea ei, ta nakalulutu ei dalem mara. Dadi au ta fee lelak neu hatahorir rakamamaek au, nahuu ara rae, au ta aena haak fo kokolak laꞌe-neu koasa fo Lamatuak feen neu au. 
2CO.10.9	Au ta aena duduꞌak fo ae tao akatataꞌuk ei pake au susurang nggara. 
2CO.10.10	Tehuu hatahorir raa kokolak rae, “Boso hosek mbali Paulus. Leo mae ndia susuran liin berak ma ta hohoꞌak, tehuu mete ma ana mai aon, ndia mana sota-naꞌuk ma kokolan ta naena koasa.” 
2CO.10.11	Mita fo hatahori mana kokolak bafa rouk talo naa, duduꞌa dedeꞌak ia: hata fo ai surak nai susurak numa mamana dook mai, basa-basan sama no hata fo ai kokolak, mete ma ai mai nai ei taladam.
2CO.10.12	Hatahorir raa oo hii soꞌuk aon nara rae, sira raa, Karistus nedenu ta hohoꞌan boe. Ai ta mambarani makasasama aok leo sira. Bubuluk memak, hetu? Ta bisa dadi ai ta hohoꞌak leo sira! Hatahori matak leo naak, kada sangga hatahori mana sama leo sira mesa kasa. Basa de esa toba nasarada esa, nahuu sira mata-aok esa! Sira nggoa beben bali! 
2CO.10.13	Naa te ai mesa ngga ta kokolak maloloa bafan, mete ma oka-huun taa. Ai kada kokolak talo naa, laꞌe-neu ues naa fo Manetualain feen neu ai ena. Hata fo ai taon fee ei ena, tungga kada hata fo Manetualain nadenu ai taon. Huu ai ta maue-osa nai naa dean. 
2CO.10.14	Teteben ndia, ai ta kokolak lena-lenak neu ai kokolak maloloa bafan laꞌe-neu ei. Huu air ia, ndia mai tui ei laꞌe-neu Karistus Hara Lii Malolen. Ei oo simbo mala ai kokolan boe. Mete ma Manetualain ta nadenu nita ai, tehuu ai kokolak maloloa bafan laꞌe-neu ei, na, naa ndia ta tetebes. 
2CO.10.15	Mete ma hatahori laen ndia raue-osa, na, ai ta kokolak maloloa bafan mae, naa dadi, nahuu ai ndia maue-osa. Nenenin lenak soa-neu air ia, ndia kada ei nemeheherem boe tamba ratea. No dalak naa, ai ue-osan buna-boan nai ei numa fai bakahulun naa mai, boe tamba nakandoo. 
2CO.10.16	De ai bisa miu mafada Karistus Hara Lii Malolen nai mamanak kara marai ei boboam seri, fo bei ta hambu hatahori mana maue-osa nai naa. Huu ai ta nau kokolak mabafa loa menik hatahori laen ue-osan.
2CO.10.17	Nai Manetualain Susura Malalaon neni surak nae, “Mete ma hambu hatahori nau kokolak naloloa bafan, na, elan fo ana kokolak naloloa bafan laꞌe-neu kada ita Lamatuan leo.”
2CO.10.18	Mete ma hatahori esa kokolak naloloa bafan laꞌe-neu ndia aon, naa ta naena sosoak hata esa boe na. Tehuu mete ma ita Lamatuan ndia soꞌuk kokoak laꞌe-neu hatahori naa, na, naa dei fo ta hohoꞌak!
2CO.11.1	Au ae kokolak akadedemak aong baꞌu anak nok bali hatahori nggoa bebek. Dadi soba makatataak faa fo nenene au dei! Talo ia: 
2CO.11.2	Au sama leo ei amam. Ei sama leo au ana feꞌong fo naena nefufudi aok ena. Mana sama leo ei manfufudi aom naa, ndia Karistus. De au nau anea atalolole ei, mita fo ei mauma-loo mia ei manfufudi aom naa, ei bei lolo-laok. Dadi au anea atalolole fo boso hambu mana edo-pode ei, fo nakalulutu ei nemeheherem. 
2CO.11.3	Hatematak ia, ei tungga Karistus eno-dala ndoon no dale lolo-laok. Tehuu au amataꞌu, boso losak hambu hatahorir kedi-ira rala ei, fo ei sio laꞌo ela dalak naa, sama leo lele uluk mengge kedi-ira nala Hawa. Mengge naa bisa kedi-ira talo naa, nahuu ndia naa, mana puputa-papatak baꞌin!
2CO.11.4	Tungga-tungga hatahori matak leo naak kara reni ei mai, boe ma ranori ei laꞌe-neu Yesus mata-aok laen, ta sama leo Yesus fo ai manorin neu ei naa ena, na, hata de ei mamahere neu hatahori naa? Fai bakahulun, ei buka dalem fo simbo mala Manetualain Dula-dale Malalaon fo Ana koladu ei. Dadi tao hata de hatematak ia, ei nau simbo mala dula-dale mata-aok laen bali? Fai bakahulun, ei mamahere neu Karistus Hara Lii Malolen fo ai mafadan neu ei. Dadi tao hata de hatematak ia, ei nau mamahere neu nenorik rupak laen bali?
2CO.11.5	Ara soꞌuk aon nara rae, sira raa, Lamatuak nedenu fo ta hohoꞌan nara seli. Ndondoon naa sira haak lena heni au, do? Taa! Au ta tungga duduꞌak leo naak. 
2CO.11.6	Leo mae rae, au ta alela kokolak pake dedeꞌa binir, tehuu au alela tebe-tebe hata fo au kokolak. Ei bubuluk dedeꞌak kara iar ena, nahuu au atudu laꞌi-laꞌik ka neu ei ena.
2CO.11.7	Neu au anori ei Manetualain Hara Lii Malolen, au ta oke ei tanggon au. Au tao kadiꞌi au aong, mita fo au bisa akadedemak ei. Ndondoon naa, ei nau fee salak neu au nahuu naa, do? 
2CO.11.8	Hatahori kamaherek ruma saranik marai mamana laen nara ndia tanggon au, mita fo au bisa aono-lalau ei. Naa, sama leo au haꞌi numa sira mai, fo bisa tulun ei. 
2CO.11.9	Neu au sama-sama ua ei, boe ma au hambu totoꞌak, au ta edo-pode ei, fo oke hata-hata numa ei mai. Ita toranoon nara maruma profensi Makedonia mai, ndia doi-sou au. Au ta tao amabera ita hata-hata neu ei, ma au oo ta nau tao talo naa nai mbila-beinesak boe.
2CO.11.10	Karistus Dedeꞌa-kokolan naa, tetebes. Au oo amahere tebe-tebe boe ae, au dedeꞌa-kokolang oo tetebes boe, nahuu au akaesa ua Karistus. Ta hambu hatahorir marai profensi Akaya naa ndia bisa kokoꞌo au bafang fo kaꞌi au, boso kokolak aloloa bafang ae, au ta tao amabera ei talo naa. 
2CO.11.11	Tao hata de au kokolak talo ia? Ndondoon naa ia dadi, nahuu au ta sue ei, do? Leo mae ei duduꞌa talo naa, tehuu Manetualain mesa kana bubuluk au susue-lalaing neu ei.
2CO.11.12	Hata fo au taok naa, au nau tao akandoon. No dalak naa, hatahorir mana hii rakadedemak aon fo kokolak raloloa bafan rae, sira tataon sama leo ai, na, sira raa, oka-huun taak kara ena bali. 
2CO.11.13	Ara rae, Lamatuak ndia nadenu sira. Sira raa, hatahori mana maue-osa fo mana kedi-ira hatahori! Ara soba-soba tao aon nara sama leo Karistus nedenun tetebes. Naa te basa naar kada kokolak bafa rouk a mesan! 
2CO.11.14	Ei boso heran, ee! Huu nitur malanggan oo soba-soba tao aon sama leo Manetualain atan numa nusa tetuk do inggu temak mai boe, mana neni manggaledok no dale malole. 
2CO.11.15	Huu naa de ei boso heran mete ma ndia hatahori mana maue-osan oo, soba-soba tao aon sama leo hatahori mana maue-osa no dale ndoos boe. Tehuu besa-besa, neu ko Manetualain bala sira manggaraun.
2CO.11.16	Mete ma ei nau, na, elan fo au kokolak akadedemak aong baꞌu anak bali nok bali hatahori nggoa bebek bali. Huu au nau soba-soba kokolak koa ao. 
2CO.11.17	Mete ma au kokolak akadedemak aong leo iak, ta naoka nai ita Lamatuan. Tehuu naa, nok bali hatahori ute keak kokolan. 
2CO.11.18	Hambu hatahori noꞌuk ka hii rakadedemak aon nara tungga hatahorir marai dae-bafok ia siꞌen. Dadi au oo nau kokolak aloloa bafang tungga sira boe. 
2CO.11.19	Ei ndia mana tao aom hatahori duduꞌa ndoos, mete ma matonggo mia hatahori esa ute keak, na, ei matanggodon no dale loak, hetu? 
2CO.11.20	Mete ma hatahori laen tao hata-hata neu ei, na, ei matanggodo sara ruma naa leo. Haꞌi netuduk leo: mete ma hambu hatahorir tao ei sama leo sira ata-daton, na, ei kada matanggodon leo. Mete ma hambu hatahorir ramanaꞌo rala ei bua-baꞌum, na, ei elan numa naa leo. Mete ma hambu hatahorir kedi-ira rala ei, na, ei elan numa naa leo. Mete ma hambu hatahorir soꞌuk aon leo hatahori moꞌo-inahuuk, ma nakaloloek ei sama leo hatahori kadiꞌi anak, na, ei elan numa naa leo. Leo naak oo, mete ma hambu hatahori famba ei, na, ei elan numa naa leo boe. 
2CO.11.21	Tehuu boso mamanasa, ee! Au mae, nahuu ai kada noe-naꞌu a leo. Ai ta mabeꞌi tao talo naa, sama leo hatahorir raa tao fee ei ena.
2CO.11.21	Tehuu mete ma ara nau kokolak raloloa bafan laꞌe-neu hata, na, au oo ambarani kokolak aloloa bafang talo naa boe. (Tehuu boso lilii-ndondou, te au kada kokolak akadedemak aong nok bali hatahori nggoa bebek na!) 
2CO.11.22	Sira hatahori Ibrani isi-isik, do? Hou! Au boe. Sira hatahori Israꞌel, do? Hou! Au boe. Sira raa, baꞌi Abraham tititi-nonosin, do? Hou! Au boe. 
2CO.11.23	Sira raa, Karistus hatahori mana maue-osan, do? Hou! Au oo leo naak boe. (Boso lilii-ndondou, huu au kokolak lena-lenak ia!) Memak au ae, au sama leo sira. Naa te au ia, lena heni sira. Au aue-osa barakain lenak. Hatahori sese au uni bui dale uu laꞌe noꞌun seli. Ara poko-femba au laꞌe noꞌun seli. Laꞌi-laꞌik ka ela kada faa, au oo mate boe.
2CO.11.24	Nai au hatahori Yahudi heli-heling nggara liman, au hambu tuni-ndenik laꞌe lima. Tungga-tungga au hambu fifilok, ara filo au laꞌe 39.
2CO.11.25	Hatahorir popoko au pake ai laꞌe telu. Ara toko au pake batu laꞌe esa fo rae tao risa au. Au ofang molo laꞌe telu. Au laa boꞌu-boꞌu numa tasi oe hatu-leledok esa.
