MAT.1.1	Tô môɲ wo Jésu wo na *kuŋga kelma Dabid wo na kuŋga *Abraham a men hen a na: 
PHP.2.20	Wôsa kwôni wo sun kwôleŋge men, li naɲ ken môɲ kwo en liɲ hen iyôŋ ba, naɲ, na Timoté bi pôn nêŋ hari. 
PHP.2.21	Wôsa ɓiɲé kêm woge na derê wo gengiɲ sarji mera, ɗiba woge ciré lê aŋga gengiɲ sa Jésu Krist hen né. 
PHP.2.22	Wôsa aŋga Timoté li hen na, geléŋge wo ôbi ré na kwôni woɲ bôô pôn, wôsa jé ulê béré Kwôlo Dôri wo ôbi li naɲ en hen na, yi môɲ kema wo li jé naɲ ibari hen iyôŋ. 
PHP.2.23	Ôbi a, kiriɲa ené hôn kwôlo gengiɲ san niɲ na, na jéri yerŋge a haɲê niɲ. 
PHP.2.24	Naɲ bôn wo en bi sa Kelma a hen na, en hôn wo nôbi kôba, ené erê iyére toŋge a hen ya men.
PHP.2.25	Kwo gengiɲ sa yênen Epaprodid woɲ megan ôbi jé men, megan ôbi maɲê wo tô ulê béré kwôlo Emen a wo na ken jori yen a bi ré era sa li naɲ en sa aŋga naɲen a hen na, en erem wo ené jéɲ naɲ ɗi hôriɲ béŋge. 
PHP.2.26	Wôsa doy herê ô geléŋge liri gaɲ men, ôbi sun wô toyé wo kené toy wo ɗiré ômiɲ hen a men. 
PHP.2.27	Na tiri, tumô ba, ômɲare liri tu temare a hari niɲba, Emen bô tu ɲa tori men, nôbi kôba, Emen bô tu ɲa tiɲê a men aɲ berareri aɲ bi bô emê wo ɗaŋgi ré hô lên a ré niɲ. 
PHP.2.28	Ôbi a, ené iyêlbe bi ené biri bi ré hô uɲéŋge aɲ kiriɲa kené geli ba, yerŋge ré derêŋge men, nôbi kôba, deŋgôn ré kuriɲ tôŋ men hen. 
PHP.2.29	Iyôŋ ba, kiriɲa ôbi ô biɲ na, ken ɓiri yerŋge a dô naɲ yi derê mega yêneŋge tô Kelma iyôŋ. Aɲ kwôni mega ôbi hen iyôŋ na, ken biri kwôlê. 
PHP.2.30	Wôsa baa ɗa wo ôbi na ɗa ma tô jé wo Krist a. Ôbi ay yiri uléɲ liɲ jé wo kenbay a na ré lê ben hen.
PHP.3.1	Aɲ haw hen yênên, kwôlo baa wo na kelê a na: Lêŋge yi derê wô biɲare to ken biɲ naɲ Kelma hen. Kwôlo na en kelêŋge bô magtubu a tumô hen na, na hô kelêŋge a sôŋ ɗiba, keben a manen sara ré, wôsa en hô kôl hen iyôŋ bi ré li naɲ ken. 
PHP.3.2	Bay jé kaɲ bay lê habrê men, ɓiɲé ka yi môɲ garê iyôŋ hen men, ɓiɲé ka mô wô kôliɲ megêrji ré wal keŋ hen a men na, berêŋgeji dô. 
PHP.3.3	Wôsa na nabay a na bay walê keŋ kaɲ tiri hen ɗiba, na bay ré. Wôsa nana tebe Emen na sa kibi Tini men, nana di deŋgôrna wô kibi biɲare to nana biɲ naɲ Jésu Krist hen a men ɗiba, nana bi bôrna na sa aŋgaɲ yi yé ka gawrê hen né. 
PHP.3.4	Ɗôd ba, nôbi kôba, ré ené bê bôn sa aŋgaɲ yi yé bay ka na ka gawrê mera hen men. A hena ɓiɲé ka pôni ré erem mega ciré bê bôrji sa aŋgaɲ yi yé kaji bay ka hen na, nôbi kôba, ré ené nêmê bê bôn sara gôliɲ kwoji aɲ sôŋ. 
PHP.3.5	Wôsa balên kaɲ bay yênare na ena *Israyêl men, ena kuŋga Bênjamin men, ena Hébreɲê woɲ kiɲ men, en yêɲ li sa marge menba, bay walen keŋ men, kwoɲ bê kwôlê sa tôô to Jubɲê ba, ena *Parisiɲê woɲ ɗéɲ a men. 
PHP.3.6	Kwo gengiɲ sa jé lêren ba, na en geliɲ tu églis gusiɲ naɲ yi gwa men
PHP.3.7	Are bay ka hen na, ca ba, na en bôrji mega ari uɲéren iyôŋ, niɲba, haw hen wô kibi *Krist na, en bôrji mega aŋga ré naɲ iyôŋ. 
PHP.3.8	Na tiri, are bay ka kêm ka na en diɲ deŋgôn hen na, en bôrji mega ani ré iyôŋ gengiɲ naɲ ka dô ɗê ka na henê Jésu Krist wo na Kelma wuɲê hen. Aɲ na wô kibri ôbi aɲa ené kaɲiɲ are kêm hen men, en bôrji yi mega aŋgaɲ bêɲ iyôŋ tun a a men hen aɲ bi ené uwôɲiɲ aŋga dô ɗê aɲ ka na Krist hen ɗi. 
PHP.3.9	Men, bi ené biɲ pôn naɲ ɗi dô cerêd a men. Na wô bê wo en bi kwôlê sa tôô to Moyis a hen a ené yiɲ gawra woɲ derôre cerêd tu Emen a hen né. Niɲba, na wô kibi aŋga Krist li hen. Aɲ na Emen a bé gawra yé kwoɲ derôre cerêd tiri a wô kibi bê wo ôbi bi bôri sa Krist a hen. 
PHP.3.10	Aŋga ɓu bôn damaŋ ba, na wo ené hôn Krist men, ené hôn néé wori wo ôbi jiɲ siɲ kamɲê hen men, ené geliɲ gusiɲ mega ôbi na geliɲ hen iyôŋ men, ené maɲ môɲ kwo ôbi maɲ hen iyôŋ a men. 
PHP.3.11	Ôbi a, nôbi kôba, ené ɗi bôn mega ené sa jê sé kamɲê môɲ kwo ôbi jiɲ siɲ kamɲê hen iyôŋ men.
PHP.3.12	En kôl na wô wo ené uwôɲ are bay ka kêm hen niɲ né men, ené na gawra wo dô cerêd niɲ a men né, niɲba, en mase bi ené ɓeré are bay ka hen naɲ kôben bi ré yi kaɲê, wôsa Jésu Krist a ɓuren dera bi ené yi kwori hen. 
PHP.3.13	Yênên, en erem wo ené ɓu are bay ka hen kôbena niɲ ré tô. Niɲba, aŋga en li haw hen na, en gôrbiɲ aŋga cêgen a aɲ en mase uɲé ka tumô a hen ɗi. 
PHP.3.14	Na ôbi á, ené ge yôd yôd bi ené uɲé are bay ka hen men, bi ené uwôɲiɲ sa kôbi derômaraŋ a wo Emen uwôgêna kwôli naɲ geré wo Jésu Krist hen a men.
PHP.3.15	Nabay ka nana ka surɲê tô kwôlo Emen a hen na, ermé wona ré yé hen iyôŋ ɗi. A hena ka pôni perêrŋge a hen ré erem kwôlo ɗaŋgi bôrji a ba, Emen a yêgê sari béŋge seŋge. 
PHP.3.16	Na mi mi ba, geré wo na nana ayêŋge aɲ nana erêŋge tô a kwôy saɲ kemnêŋ hen na, ôbi a nana erêŋge tô a yôd yôd ɗi.
PHP.3.17	Yênên, kenbay kêm ken ay sa tên men, gawrê ka jé lêreji na kwo dôri môɲ kwo na nini geléŋge hen iyôŋ a kené ɗi turŋge tôrji a ɗi men. 
PHP.3.18	Kwôlê wo hen na, na en kelêŋge têê kwône tumô niɲ, aɲa haw hen ené hô kelêŋge naɲ cémé tun a a hen. Ɓiɲé kwône jé lêreji gel wo bay ré na bay bayi temare to Krist sa gurô tagelê. 
PHP.3.19	Ɓiɲé bay ka iyôŋgi hen na, mênê yi wô sarji. Wôsa bôrji a na emen woji men, bay di deŋgôrji sa lê aŋgaɲ tayre a men, bay erem na sa aŋga sa terare a nà mera a men. 
PHP.3.20	Nabay ba, nana ɓiɲé ka bô *emê iyére to derômaraŋ a men, nana mô gem Kelma wona Jésu Krist wo na ôbi gôliɲ naɲ na hen bi ré hena derômaraŋ a sa uɲéna men. 
PHP.3.21	Wulê wo ôbi a heraɲ hen na, ôbi a ayê yerna wo iya aɲ a sa ma hen gasiɲ kwoɲ hini emê môɲ kwori iyôŋ. Ôbi li hen iyôŋ na naɲ néé wo li aɲ are kêm biri kwôlê hen.
PHP.4.1	Iyôŋ ba, yênên kaɲê, doy gelérŋge lên damaŋ men, en li yi derê wô kebreŋge men, ken yi môɲ ari dê deŋgô kaɲê iyôŋ a men. Na hen iyôŋ a, kené ɗebiɲ geraŋ derê sa biɲare to ken biɲ naɲ *Krist hen.
PHP.4.2	Ebodi naɲ Sêntis, en sôm sarŋge a bi bô jalê ré yi perêŋge a wô wo kena yênê tô Kelma. 
PHP.4.3	Jôbi megan ôbi jé hen kôba, en uwôlen bi jeré li naɲ yébé bay ka wôô hen, wôsa nibay naɲ ci nini geliɲ gusiɲ tô ulê béré Kwôlo Dôri biɲ ɓiɲé a. Kléma naɲ bay jé ka ɗaŋgi kwône kôba, li jé naɲ ni men. Aɲ bay kêm hiniji yi bô magtubu toɲ merê tu geɲ to hini ɓiɲé ka Emen a sa gôliɲ naɲ ci naɲ kwiniji hen ya men.
PHP.4.4	Lêŋge yi derê naɲ wulê wulê wô wo ken biɲ naɲ Kelma. En kelêŋge ba, en hô kelêŋge a sôŋ: lêŋge yi derê.
PHP.4.5	Bi derê woŋge yi tu wolé. Henêŋge wo baa ɗa wo Kelma a hera niɲ. 
PHP.4.6	Seniɲge ani kani ré, niɲba, aŋga naɲêŋge ba, ken eŋgeriɲ Emen kwôy kwôy men, ken liri dosé wô sarji a men. 
PHP.4.7	Ôbi a, bô jalê wo Emen wo gôliɲ sa are kêm ka gawrê hôn hen a jalê bôrŋge naɲ ermé woŋge, wôsa ken biɲ naɲ Jésu Krist.
PHP.4.8	Yênên, gerɲé kwôlo na kelêŋge a na: erméŋge sa aŋga dôri ka ɓiɲé a dené ka ná: aŋgaɲ tiri men, ka dé wo jeré biji kwôlê hen men, aŋgaɲ derôre men, ka séli men, ka nêm wo ɓiɲé ré gey hen men, ka bay kôl kwôliji dô hen a men. 
PHP.4.9	Aŋga na en kelêŋge kwôliji ken toy aɲ ken bi bôrŋge sara hen men, ka en li ken gel naɲ turŋge hen a men na, bay a kené li ɗi. Aɲ Emen woɲ ôbi bé bô jalê hen a baa naɲ ken.
PHP.4.10	En liɲ Kelma dosé men, yen dôren damaŋ a men wôsa ken hô erem san a. Ken erem wô lê naɲ en na ca yeŋ niɲba, na geréri a na kené uwôɲ ré tô. 
PHP.4.11	En kôl hen iyôŋ na wô wo ené ôriɲ doy ani ré, niɲba, en hôn lê yi derê sa aŋga yi kôben a hen kwôy kwôy. 
PHP.4.12	Wôsa en hôn merê bô nimrére a men, bô ari uɲé a men. Kiriɲ ka yôŋ yôŋ kôba, en hôn merê bô uɲé a men, bô kurôŋ a men, bô aŋga mêy a men, bô ka dê a a men. 
PHP.4.13	En uwôɲ néén môriɲ bô are bay ka kêm hen sa kibi néé wo Krist ben hen. 
PHP.4.14	Niɲba, ken li dô kiriɲa ken li naɲ en sa gusiɲ tiɲê hen.
PHP.4.15	Kenbay milɲén Pilipiɲêɲê, ken hôn, wulê wo en diɲ emê iyére to Maséduwan aɲ, aɲ kiriɲa en ayiɲ tô ulê béré Kwôlo Dôri hen na, na kenbay peneŋge mera a na lê naɲ en, ɗiba églis tôni to ɗaŋgi na li naɲ en né. 
PHP.4.16	Kiriɲa en baɲ Tésalonik a tô kôba, ken li naɲ en têê kwône sa aŋga naɲen a.
PHP.4.17	En kôl hen iyôŋ na wo kené hô ben ani ré, niɲba, en erem sa terê wo Emen a sa terê kibri sarŋge a wô kibi lê wo ken li naɲ en hen. 
PHP.4.18	En uwôɲ are kêm ka na ken joɲ ben hen aɲ gôlen tôŋ a. Are kêm ka na ken joɲ Epaprodid eraɲ ben hen na, en uwôɲ aɲ ani kani naɲen ré niɲ. Are bay ka hen yi môɲ sarga wo gôrmeri ɗiɲé dôriɲ Emen men, ɗé tiri a men iyôŋ. 
PHP.4.19	Emen wuɲê woɲ ôbi ari uɲé ka kwôni hen na, ôbi a béŋge are kêm ka ken ôriɲ doyriji hen tô Jésu Krist a. 
PHP.4.20	Bi na ayêŋge kibi Ibarna Emen kwôy naɲ kunena. *Amên, bi yi geliɲ hen iyôŋ.
PHP.4.21	Liɲge ɓiɲé ka Emen kêm wô kibi biɲare toji naɲ Jésu Krist hen dosé. Men yênêrna kaɲ bay ayê bôô ka mô naɲ en nà hen kôba, lêŋge dosé men. 
PHP.4.22	Ɓiɲé ka Emen kêm lêŋge dosé, niɲba, ka iyé kelma *Sésar a lêŋge dosé damaŋ a.
PHP.4.23	Bi Kelma Jésu Krist tô kibri sarŋge a pôn pôn kêm.
COL.1.1	Nôbi Pol naɲ yênena Timoté, a lê magtubu hende to hen béŋge hen. Nôbi, ena *ôbi jé wo Krist Jésu naɲ bô geyé wo Emen.
COL.1.2	En li magtubu hende to hen béŋge kenbay ɓiɲé ka Emen ka Kwolôs a kaɲ bay bôô pôn ka ken biɲ naɲ Krist hen. Bi bô derê naɲ bô jalê wo Ibarna Emen baa naɲ ken.
COL.1.3	Nini liɲ Emen Iba Kelma wona Jésu Krist dosé sa pôn pôn kiriɲa nini uwôli wô sarŋge. 
COL.1.4	Wôsa nini toy kwôli ayê bôô woŋge wo tô Krist Jésu a men, kwôli peré wo ken pur ɓiɲé ka Emen a men hen. 
COL.1.5	Ken li hen iyôŋ wôsa kiriɲa béré kwôlê woɲ tiri kuriɲ mareŋge a kwini ta na, na ken toy kwôli aŋgaɲ ɗé bôô sara ka yi bô kwôlê bi wo hen a. Na ôbi á, ayê bôô woŋge naɲ peré wo ken pur yênêrŋge hen ré ɗiɲ sa aŋga ken ɗi bôrŋge sara ka Emen na ɗi gengiɲ sarŋge derômaraŋ a hen. 
COL.1.6	Kwôlo Dôri bi wo hen na, sa perêrŋge a. Ôbi biɲ ɓiɲé derê men, ô tumô tumô gôr kiriɲ sa terare a nà, na na hen iyôŋ hende to hen ayiɲ tôri wulê wo na ken toyiɲ men, ken hôniɲ bô derê wo Emen tiri a men hen. 
COL.1.7	Na Kwôlo Dôri bi wo hen a na kené toy kibi Epapras megarni ôbi jé wo nini piri hen. Ôbi li jé naɲ bôô pôn biɲ Krist wô derê woŋge men, 
COL.1.8	ôbi derêni wô peré wo Tunu toɲ hendi bô bôrê béŋge ken pur ɓiɲé ka Emen hen a men.
COL.1.9	Ôbi á, ré ayiɲ tôri wulê wo nini toyiɲ kwôleŋge hen na, nibay kôba, nini uwôl Emen sa pôn pôn wô sarŋge men, nini eŋgeriri ré béŋge tu melênê kêm naɲ henê are kêm ka Tunu bi hen, dema kené hôniɲ are kêm ka ôbi gey hen derê. 
COL.1.10	Iyôŋ ba, bi jé lêreŋge gel wo kené na ka Kelma aɲ kené li aŋga ré dé tiri hen kwôy kwôy men, kené li aŋga dôri ka gay gay hen men, kené hôn Emen tumô tumô men, 
COL.1.11	bi Emen né béŋge nérŋge sa are kêm a naɲ néé damɲare tori aɲ bi kené ɓeriɲ bôrŋge iyêre sa are kêm a men, kené yi bay ulê bôô men, kené li naɲ yi derê a men. 
COL.1.12	Iyôŋ ba, ken liɲ Ibarna Emen dosé wôsa na ôbi a lê aɲa kené uwôɲiɲ aŋga ôbi na genge ɗiré sa biɲ ɓiɲé kari bô emê iyére to kiriɲ ka peraŋgi a hen. 
COL.1.13	Men, ôbi derêna ereŋ bô emê iyére to dilemne a bi nana ôriɲ bô emê iyére to Kemari wo ôbi geyri hen ɗi. 
COL.1.14	Na sa kibi aŋga Kemari bay ka li hen aɲa ôbi ré derêna bô habrê a aɲ ɗiɲ bôri jal sa têriɲ tona a men hen.
COL.1.15	Krist bi wo hen gel Emen wo kwôni gili ré hen men, ôbi na Kema Emen wo na ôbi sa ari ɗé ka Emen kêm a men
COL.1.16	Wôsa nà naɲ geré wori aɲa Emen na ré ɗiɲ are kêm ka derômaraŋ a naɲ ka sa terare a nà men, ka tu gawra gel men, ka tu gawra gel ré hen a men. Sa gagay kenare a men, sa ka gôliɲ sa kiriɲ a men, sa tunu to gay gay to ôriɲ naɲ tôô men, to ôriɲ naɲ néé wo gay gay kêm a men hen na, na ɗiɲ naɲ geré wo Kemari men, wô biɲ na Kemari bi wo hen a men. 
COL.1.17	Ôbi na tumô are kêm men, are bay ka kêm hen yi naɲ kiniji kiniji naɲ geré wori a men. 
COL.1.18	Ôbi na Kelma sa Églis to yi môɲ kurôŋgi yiri iyôŋ hen. Wôsa ôbi na ayê tô are men, kwo tumô wo ji si kamɲê aɲ hô ma ré niɲ. Na hen iyôŋ aɲa ôbi ré yiɲ tumô are kêm hen. 
COL.1.19	Wôsa are kêm ka yi yi Emen a hen na, ôbi gey bi ré yi yi Kemari a hen iyôŋ men yôd. 
COL.1.20	Emen genge bi are kêm ka sa terare a nà naɲ ka derômaraŋ a ré hô biɲ pôn naɲ ɗi naɲ geré wo Kemari. Aɲ ôbi bi bô jalê yi perêrji a naɲ gawrê sa kibi kwôbri Kemari wo biɲ tôŋ sa gurô tagelê hen.
COL.1.21	Kenbay na, ca ba na ken kelaŋ naɲ Emen men, na kena bay bayiriri a men wôsa ermé woŋge naɲ jé lêreŋge na habiɲ. 
COL.1.22	Niɲba, haw hen Emen hô bêŋge pôn naɲ ɗi niɲ sa kibi temay Kemari wo ay yi gawra môɲ kwona iyôŋ hen aɲ bi kené yiɲ ɓiɲé ka yi naɲ jeŋgêrji ka séli ka kwôni a nêmê ulê kwôlê sarji a ré, wulê wo ôbi ré ôriɲ naɲ ken tumôri a. 
COL.1.23	Iyôŋ ba, ken ɓu ayê bôô woŋge iyêre môɲ tô iyére to ɗiɲ dô iyôŋ ɗiba, ken ɗi ani nôgêŋge wolé sa aŋga ken ɗi bôrŋge sara ka ken toy bô Kwôlo Dôri a hen né. Kwôlo dôri bi wo hen na, bay na uwôl béréri biɲ gawrê pôn pôn kêm sa terare a nà: aɲ nôbi Pol kôba, en yi mana wo Emen wô ulê béré Kwôlo Dôri bi wo hen men.
COL.1.24	Haw hen yen dôren sa gusiɲ to en geliɲ wô sarŋge hen. En geliɲ gusiɲ mega wo Krist na geliɲ wô églis to yi môɲ kurôŋgi yiri hen iyôŋ hen aɲ en diriɲ kibi jé woɲ gusiɲ wô Krist wo na baa hen. 
COL.1.25	Na ôbi á, ené yiɲ mana wo Églis na wôsa Emen a bên jé bi wo hen kôben a bi ené uwôliɲ béré derê kwôlê wo dôri hen kêm yôd. 
COL.1.26	Kwôlo Dôri bi wo hen na, na yi kini uwôbêri a ca yeŋ niɲba, haw hen Emen yêge sari biɲ ɓiɲé kari niɲ. 
COL.1.27	Emen a gengé bi ɗiré yêgê sa Kwôlo Dôri bi wo hen aɲ bi ɓiɲé ré hôn mega gengé wori bi wo hen na, ré na aŋga ré dô gaɲ aɲ ré lê naɲ tô yê ɓiɲé kêm. Kwôlo na yi naɲ uwôbêri bi wo hen na, na wo Krist ré mô bôrŋge a. Na ôbi á, kené ɗiɲ bôrŋge wo kené sa uɲé hini emê wo Emen wo Krist ôriɲ men hen. 
COL.1.28	Nini kôl kwôli Jésu Krist biɲ ɓiɲé kêm men, nini yêge marji men, nini gelji naɲ tu melênê kêm a men, bi kwôni wo ré biɲ naɲ Krist ba, ré gesiɲ. 
COL.1.29	Na wô jé bi wo hen aɲa ené mase wô lê jé naɲ néé wo Krist wo li jé damaŋ yen a hen.
COL.2.1	En gey bi kené hôn wo ené ka maɲê wô sarŋge damaŋ men, wô sa bay ayê bôô ka Lawdisé a men, wô sa ɓiɲé kwône ka gel tun né tô hen a men. 
COL.2.2	En li hen iyôŋ bi kenbay men bay men kené dôbiɲ ibiyare bôrŋge a men, bi kené piriɲ yerŋge naɲ bôô pôn a men. Men, kené hôn tu kwôlê naɲ are kêm ka yi bô a hen. Na ôbi a béŋge ka henê sarŋge a derê kwôlo Emen wo yi naɲ kini uwôbêri hen. Kwôlo yi naɲ kini uwôbêri bi wo hen na, na *Krist bi naɲ yiri. 
COL.2.3	Na yiri a a aŋgaɲ uɲé kêm ka gengiɲ sa tu melênê naɲ henê are ka hena ligi Emen a hen ré uwôbiɲ ya.
COL.2.4	En kelêŋge hen iyôŋ bi kwôni ré lamêŋge naɲ kibi derê wori ré. 
COL.2.5	Bi wo en naɲ perêrŋge a hen kôba, en erem kwôleŋge damaŋ men, en li yi derê wôsa en hôn wo kené li are kêm perêrŋge a naɲ geréri men, kené bi bôrŋge dô sa Krist a, a men.
COL.2.6	Haw hen wo ken bô Krist Jésu mega Kelma woŋge hen na, bi jé lêreŋge kôba yi mega kwo ôbi gey hen iyôŋ men. 
COL.2.7	Bi hanêrŋge tôbiɲ tôŋ dô tô Krist Jésu a men, bi jé lêreŋge yi môɲ kwori iyôŋ men, ken ɗebe geraŋ tô ayê bôô woŋge a men, ken biri bôrŋge kwôy kwôy mega wo bay na geléŋge hen iyôŋ. Men, ken liɲ Emen dosé kwôy kwôy a men.
COL.2.8	Ɗéŋge tu melênê sa yerŋge a ɗiba, bi kwôni lamêŋge bi a tôri a naɲ ermé wori woɲ ɗéɲ iyôŋ hen né, wôsa ermé bi wo iyôŋgi hen na, yi gengiɲ na sa hara wo gawrê men, yi gengiɲ na sa tunu to habiɲ to ôm kiriɲ sa terare a nà a men, ɗiba na kwo gengiɲ sa Krist hen né. 
COL.2.9	Wôsa are kêm ka yi yi Emen a hen na, bay a yé yi Krist a kêm hen men. 
COL.2.10	Na sa kibi biɲare to ken biɲ naɲ ɗi hen aɲa aŋga Tunu bi hen ré naɲêŋge ré hen. Wôsa ôbi a na Kelma sa tunu to gay gay to ôriɲ naɲ tôô hen men, sa to ôriɲ naɲ néé wo gay gay hen a men.
COL.2.11	Mega wo ken biɲ pôn naɲ Krist hen iyôŋ na, yi mega wo kené wal keŋ iyôŋ. Na keŋ wo kôbi gawra a walê ré, niɲba, na jé lêreŋge kêm wo habiɲ a Krist ré dô yôd aɲ hen. 
COL.2.12	Kiriɲa bay na lêŋge batêm hen na, yi mega kené ma aɲ emiɲ naɲ Krist men, yi mega kené ji si kamɲê naɲ ɗi hen iyôŋ men, wôsa ken bi bôrŋge sa néé wo Emen wo siɲ naɲ ɗi perê ɓiɲé ka ma a hen. 
COL.2.13	Kenbay ka kena Jubɲê ré hen na, ca ba na ken yi mega kené ma iyôŋ wô kibi têriɲ toŋge men, wô kibi keŋ wo na ken wal ré tô hen a men, niɲba, Emen hô béŋge gelê naɲ Krist wôsa ôbi ɗi bôri jal sa têriɲ tona kêm. 
COL.2.14	Ca ba magtubu to na ulêna kwôlê sarna hen, na ya wôsa na nana ɗage sa tôô to Emen. Niɲba, ôbi dô têriɲ to yi sarna hen aɲ yi mega ôbi ré ɓér magtubu hende to ulêna kwôlê sarna hen sa gurô tagelê. 
COL.2.15	Sa kibi temay Krist sa gurô tagelê na, ôbi tô aŋgaɲ maɲê kôbi tunu to gay gay to ôriɲ naɲ tôô hen men, sa to ôriɲ naɲ néé wo gay gay hen men. Ôbi ôriɲ naɲ ci tu wolé geliɲ ɓiɲé wo ɗiré gôliɲ sarji.
COL.2.16	Iyôŋ ba, ken ɗi kwôni jô kwôlê sarŋge a sa aŋga ken ôm men, yi men hen né, men, sa kwôlo gengiɲ sa lê geserê a ré a men, sa lê geserê wo kerbay a ré men, sa *sa merê ta a ré a men. 
COL.2.17	Wôsa are bay ka kêm hen na, na tini aŋga na ré era hen aɲ Jésu Krist a na yirji woɲ tiri hen tô. 
COL.2.18	Ɗéŋge bi ɓiɲé uwôl kwôlê sarŋge a ré. Ɓiɲé bay ka uwôl kwôlê sarŋge a hen na kôl jeré pôy yem men, jeré tebe *manê ka derômaraŋ a a men. Men, bay kôl na kwôli aŋga ciré gel kwôy kwôy bô pelal a men. Ɓiɲé bay ka iyôŋgi hen na, bi wo bay na ani ré hen kôba, bay uwôyrê yirji men, ermé woji na kwo gawrê mera a men. 
COL.2.19	Bay ɗi yirji yi Krist a Kelma woji a ré niɲ yôd. Ôbi yi mega saa iyôŋ aɲ Églis yi mega kurôŋgi yiri iyôŋ. Ɓiɲé ka biɲ naɲ ɗi hen na, ôbi biji are kêm ka bay ôriɲ doyriji hen. Men, ôbi li aɲ bay biɲ pôn perêrji a mega wo yi gawra biɲ pôn sa kibi lawri naɲ kibi kuriɲni hen iyôŋ aɲ bay ɗebiɲ mega wo Emen gey hen iyôŋ.
COL.2.20	Bê wo ken biɲ pôn naɲ Krist aɲ yi mega kené ma naɲ ɗi iyôŋ hen na, ken dôriɲ kôbi néé wo tunu to habiɲ to sa terare a nà niɲ menba, wô mi a kené yi môɲ kené baa tô néé wo tunu to habiɲ hende to hen ba? Men, wô mi a kené ɗi bi bay ré hô ɗéŋge hara bi wo iyôŋgi hen sarŋge a ba? 
COL.2.21	Hara bi wo hen a na: «Ay aŋga na ré men, ôm aŋga hen ré men, hebe aŋga hen ré a men.» 
COL.2.22	Hara bi wo kêm hen na, gengiɲ na sa aŋga kwôni ay liɲ jé ba naɲ hen. Wôsa na hara naɲ gelé aŋga gawrê ka ejer naɲ sarji. 
COL.2.23	Na tiri wo hara woɲ piyê yi men, tibé *manê ka derômaraŋ a men, geliɲ yi gusiɲ a men hen na, yi mega aŋgaɲ tu melênê kaɲ lê haji niɲba, bay ôriɲ naɲ néé woɲ dôriɲ doy aŋga yi bô gawra hen né. Wôsa na aŋga dôriɲ na gawrê mera.
COL.3.1	Mega wo Emen béŋge ken ji si kamɲê naɲ *Krist hen na, bi ermé woŋge yi na sa aŋga *emê iyére to derômaraŋ a kiriɲ ka Krist môriɲ ya sa kôbi Emen woɲ gusurô a hen ɗi
COL.3.2	Erméŋge sa aŋga derômaraŋ a kwôy kwôy ɗiba, ken erem sa aŋga habiɲ ka yi sa terare a nà ré. 
COL.3.3	Wôsa yi mega kené ma naɲ Krist iyôŋ aɲ gelê woŋge woɲ tiri uwôbiɲ na kôbi Krist a ligi Emen a. 
COL.3.4	Krist wo li aɲ ken uwôɲ gelê woɲ tiri hen a gelé yiri nô tu wolé na, kenbay kôba, Emen a geléŋge tu wolé naɲ ɗi hen iyôŋ men. Aɲ kenbay naɲ ɗi ka uɲé hini emê a men.
COL.3.5	Iyôŋ ba, ken ɗi tô jé lêreŋge wo habiɲ wo sa terare a nà hen baa yôd. Jé lê wo habiɲ bi a na: yiɲare toɲ iyôŋ a tôŋ men, wôniɲare môɲ to garê iyôŋ men, doy lê aŋga habiɲ ka gay gay ka ca derem hen men, lê aŋga habiɲ ka bôrŋge gey hen men, garemnê are a men. Wôsa garemnê are na, yi mega kamrê kaɲ tibé iyôŋ. 
COL.3.6	Wôsa lê are bay ka iyôŋgi hen aɲa bô tarê wo Emen ré sa sa bay narê kwôlê a hen. 
COL.3.7	Kenbay kôba, kiriɲa na ken baɲ bô têriɲ a tô na, na ken li na hen iyôŋ men.
COL.3.8	Niɲba, haw hen na, ken li aŋga habiɲ ka na kebé hen né: bô tarê men, wanê men, bô habrê men, lê ɲôm men, kwôlê woɲ tayre wo si kebreŋge a hen men, 
COL.3.9	benare to perêrŋge a a men. Wôsa ken dô yerŋge yi jé lêreŋge wo cay wo habiɲ wo ken lêêrê gaŋ gaŋ hen aɲ niɲ. 
COL.3.10	Aɲ haw hen jé lêreŋge na kwo kôrbi niɲ. Aɲ na Emen a béŋge ermé wo kôrbi bi wo hen kwôy kwôy bi kené geliɲ naɲ ɗi men, kené hôni dô jêd jêd a men hen. 
COL.3.11	Iyôŋ ba, derê tu kiriɲ wo kwo nà, ná Jub men, kwo nà, ná Jub ré men, kwo nà wal keŋ, kwo nà, wal keŋ né, kwo nà, ná kerga, kwo nà, tiri jôriɲ né men, kwo nà ná lema men, kwo nà, ná ôbi sa yiri men kôba, li ani ré niɲ, niɲba, aŋga dôri ba, na Krist pôn nêŋ hari men, ôbi mô bô ɓiɲé kari a kêm a men.
COL.3.12	Mega Emen terêŋge bi kené yi kari aɲ peréŋge a men hen na, kenbay kôba, ken bôriɲ tu ɲa toŋge men, ken dôriɲge perêrŋge a men, bi kalêrŋge jal men, uwôliɲge bôrŋge sa yerŋge a men. 
COL.3.13	Ɗéŋge bôrŋge tarêŋge sa megêrŋge a ré, niɲba, hena kwôni ré naɲ kwôlê wôni naɲ megari kôba, bi ɗi bôri jal sari a mega wo Kelma kôba, na ɗiɲ bôri jal sari a hen iyôŋ men hen. 
COL.3.14	Ken li are bay ka kêm hen men, ken periɲ yerŋge a men. Aɲ na peré yi a lê aɲa kené biɲ pôn derê hen. 
