GEN.1.3	 Da sa Gud: «Det skal bli lys!» Og det ble lys. 
LUK.2.16	Og de skyndte seg av sted og fant Maria og Josef og det lille barnet som lå i krybben. 
LUK.2.17	Da de fikk se ham, fortalte de alt som var blitt sagt dem om dette barnet. 
LUK.2.18	Alle som hørte på, undret seg over det gjeterne fortalte. 
LUK.2.19	 Men Maria tok vare på alt som ble sagt, og grunnet på det i sitt hjerte. 
LUK.2.20	Gjeterne dro tilbake. De lovet og priste Gud for alt de hadde hørt og sett; alt var slik som det var sagt dem.
LUK.2.23	 For det står skrevet i Herrens lov: 
LUK.2.24	 De skulle også bringe det offeret som Herrens lov påbyr: 
LUK.2.26	 og Ånden hadde latt ham få vite at han ikke skulle se døden før han hadde sett Herrens salvede. 
LUK.2.27	Nå kom han til tempelet, ledet av Ånden. Og da Jesu foreldre kom med barnet for å gjøre med ham som skikken var etter loven, 
LUK.2.28	tok Simeon barnet opp i armene sine. Han lovpriste Gud og sa:
LUK.2.29	«Herre, nå lar du din tjener 
LUK.2.29	slik som du har lovet.
LUK.2.32	og ditt folk Israel til ære.»
LUK.2.33	Hans far og mor undret seg over det som ble sagt om ham. 
LUK.2.34	 Og Simeon velsignet dem og sa til hans mor Maria: «Se, han er satt til fall og oppreisning for mange i Israel, og til et tegn som blir motsagt 
LUK.2.35	 – ja, også gjennom din egen sjel skal det gå et sverd. Slik skal de tankene mange bærer i hjertet, komme for dagen.»
LUK.2.36	Det var en kvinne der som var profet, Anna, Fanuels datter, av Asjers stamme. Hun var langt oppe i årene. Som ung hadde hun vært gift i sju år 
LUK.2.37	 og hadde siden levd som enke til hun nå var åttifire år. Hun forlot aldri tempelet, men tjente Gud i faste og bønn natt og dag. 
LUK.2.38	 I samme stund kom også hun fram og lovpriste Gud, og hun fortalte om barnet til alle som ventet på frihet for Jerusalem.
LUK.2.39	Da de hadde gjort alt som Herrens lov påbyr, vendte de tilbake til Galilea, til sin hjemby Nasaret. 
LUK.2.40	 Og gutten vokste og ble sterk, fylt av visdom, og Guds nåde var over ham.
LUK.2.42	Da han var blitt tolv år, dro de som vanlig opp til høytiden. 
LUK.2.43	Men da høytidsdagene var over og de skulle hjem, ble gutten Jesus igjen i Jerusalem uten at foreldrene visste om det. 
LUK.2.44	De trodde han var med i reisefølget, og gikk en dagsreise før de begynte å lete etter ham blant slektninger og venner. 
LUK.2.45	Da de ikke fant ham, vendte de tilbake til Jerusalem for å lete etter ham der. 
LUK.2.46	Først etter tre dager fant de ham i tempelet. Der satt han blant lærerne, lyttet til dem og stilte spørsmål. 
LUK.2.47	 Alle som hørte ham, undret seg over hvor forstandig han var og hvor godt han svarte. 
LUK.2.48	Da foreldrene så ham, ble de slått av undring, og hans mor sa: «Barnet mitt, hvorfor har du gjort dette mot oss? Din far og jeg har lett etter deg og vært så redde.» 
LUK.2.49	 Men han svarte: «Hvorfor lette dere etter meg? Visste dere ikke at jeg må være i min Fars hus?» 
LUK.2.50	Men de forsto ikke hva han mente med det han sa til dem.
LUK.2.52	 Og Jesus gikk fram i alder og visdom. Han var til glede for Gud og mennesker.
LUK.3.2	 og mens Annas og Kaifas var øversteprester, da kom Guds ord til Johannes, Sakarjas sønn, i ødemarken. 
LUK.3.3	 Og han dro rundt i hele landet omkring Jordan og forkynte en omvendelsesdåp som ga tilgivelse for syndene, 
LUK.3.4	 som det står skrevet i boken med profeten Jesajas ord:
LUK.3.7	Mye folk dro ut for å bli døpt av Johannes, og han sa til dem: «Ormeyngel! Hvem har lært dere hvordan dere skal slippe unna den vreden som skal komme? 
LUK.3.8	 Så bær da frukt som svarer til omvendelsen. Og begynn ikke å si til dere selv: ‘Vi har Abraham til far.’ For jeg sier dere: Gud kan reise opp barn for Abraham av disse steinene. 
LUK.3.9	 Øksen ligger allerede ved roten av trærne; hvert tre som ikke bærer god frukt, blir hugget ned og kastet på ilden.»
LUK.3.11	 Han svarte: «Den som har to kjortler, skal dele med den som ikke har noen, og den som har mat, skal gjøre det samme.» 
LUK.3.12	 Det kom også noen tollere for å bli døpt, og de sa til ham: «Mester, hva skal vi gjøre?» 
LUK.3.13	«Krev ikke inn mer enn det som er fastsatt», svarte han. 
LUK.3.14	Også noen soldater spurte ham: «Hva skal så vi gjøre?» Og til dem sa han: «Press ikke penger av noen ved vold eller falske anklager, men nøy dere med lønnen deres.»
LUK.3.16	 Da tok Johannes til orde og sa til dem alle: «Jeg døper dere med vann. Men det kommer en som er sterkere enn jeg, og jeg er ikke verdig til å løse sandalremmen hans. Han skal døpe dere med Den hellige ånd og ild. 
LUK.3.17	 Han har kasteskovlen i hånden for å rense kornet på treskeplassen. Hveten skal han samle i låven sin, men agnene skal han brenne opp med en ild som aldri slukner.»
LUK.3.18	Dette og mye annet la han folket på sinne når han forkynte budskapet for dem. 
LUK.3.19	 Men da han refset landsfyrsten Herodes fordi han levde med sin brors kone Herodias og gjorde mye annet ondt, 
LUK.3.20	føyde Herodes en ny misgjerning til alle de andre: Han kastet Johannes i fengsel.
LUK.3.21	Hele folket lot seg nå døpe, og Jesus ble også døpt. Mens han sto og ba, åpnet himmelen seg, 
LUK.3.22	 Den hellige ånd kom ned over ham i skikkelse av en due, og en røst lød fra himmelen: «Du er min Sønn, den elskede, i deg har jeg min glede.»
LUK.3.24	sønn av Mattat, sønn av Levi, sønn av Melki, sønn av Jannai, sønn av Josef, 
LUK.3.25	sønn av Mattatja, sønn av Amos, sønn av Nahum, sønn av Esli, sønn av Naggai, 
LUK.3.26	sønn av Maat, sønn av Mattatja, sønn av Sjimi, sønn av Josek, sønn av Joda, 
LUK.3.27	sønn av Johanan, sønn av Resa, sønn av Serubabel, sønn av Sjealtiel, sønn av Neri, 
LUK.3.28	sønn av Melki, sønn av Addi, sønn av Kosam, sønn av Elmadam, sønn av Er, 
LUK.3.29	sønn av Josva, sønn av Elieser, sønn av Jorim, sønn av Mattat, sønn av Levi, 
LUK.3.30	sønn av Simeon, sønn av Juda, sønn av Josef, sønn av Jonam, sønn av Eljakim, 
LUK.3.31	 sønn av Melea, sønn av Menna, sønn av Mattata, sønn av Natan, sønn av David, 
LUK.3.32	 sønn av Isai, sønn av Obed, sønn av Boas, sønn av Salma, sønn av Nahsjon, 
LUK.3.33	sønn av Amminadab, sønn av Admin, sønn av Arni, sønn av Hesron, sønn av Peres, sønn av Juda, 
LUK.3.34	 sønn av Jakob, sønn av Isak, sønn av Abraham, sønn av Tarah, sønn av Nahor, 
LUK.3.35	sønn av Serug, sønn av Re'u, sønn av Peleg, sønn av Eber, sønn av Sjelah, 
LUK.3.36	sønn av Kenan, sønn av Arpaksjad, sønn av Sem, sønn av Noah, sønn av Lamek, 
LUK.3.37	 sønn av Metusjalah, sønn av Henok, sønn av Jared, sønn av Mahalalel, sønn av Kenan, 
LUK.3.38	 sønn av Enosj, sønn av Set, sønn av Adam, sønn av Gud.
LUK.4.1	Fylt av Den hellige ånd vendte Jesus tilbake fra Jordan. Drevet av Ånden ble han ført omkring i ødemarken 
LUK.4.2	 i førti dager, og han ble fristet av djevelen. Han spiste ingenting i de dagene, og da de var gått, var han sulten. 
LUK.4.3	Da sa djevelen til ham: «Er du Guds Sønn, så si til denne steinen at den skal bli til brød.» 
LUK.4.4	 Men Jesus svarte: «Det står skrevet: 
LUK.4.5	Så førte djevelen ham høyt opp og viste ham på et øyeblikk alle verdens riker 
LUK.4.6	og sa til ham: «Jeg vil gi deg all denne makt og herlighet. For makten er gitt i min hånd, og jeg gir den til hvem jeg vil. 
LUK.4.7	Om du bare faller ned og tilber meg, skal alt være ditt.» 
LUK.4.8	 Men Jesus svarte ham: «Det står skrevet:
LUK.4.9	Så tok djevelen ham med til Jerusalem, stilte ham ytterst på tempelmuren og sa: «Er du Guds Sønn, så kast deg ned herfra. 
LUK.4.10	 For det står skrevet:
LUK.4.11	Og:
LUK.4.15	 Han underviste i synagogene og fikk lovord av alle.
LUK.4.17	rakte de ham profeten Jesajas bok. Han åpnet bokrullen og fant stedet der det står skrevet:
LUK.4.20	Så rullet han bokrullen sammen, rakte den til synagogetjeneren og satte seg. Alle i synagogen stirret spent på ham. 
LUK.4.21	Han begynte da med å si: «I dag er dette skriftordet blitt oppfylt mens dere hørte på.» 
LUK.4.22	 Alle roste ham og undret seg over nådeordene som kom fra hans munn. «Er ikke dette Josefs sønn?» spurte de.
LUK.4.23	Da sa Jesus til dem: «Dere vil sikkert minne meg om dette ordtaket: ‘Lege, leg deg selv!’ Dere vil si: ‘Vi har hørt om alt som har skjedd i Kapernaum. Gjør det samme her på ditt eget hjemsted!’» 
LUK.4.24	 Og han la til: «Sannelig, jeg sier dere: Ingen profet blir godt mottatt på hjemstedet sitt. 
LUK.4.25	 Jeg sier dere som sant er: Det var mange enker i Israel den gang Elia levde, da himmelen var lukket i tre år og seks måneder og det ble en stor hungersnød i hele landet. 
LUK.4.26	Likevel ble ikke Elia sendt til noen av dem, bare til en enke i Sarepta i Sidon-landet. 
LUK.4.27	 Og det var mange med hudsykdom i Israel på profeten Elisjas tid, men ingen av dem ble renset, bare syreren Naaman.»
LUK.4.28	Alle i synagogen ble rasende da de hørte dette. 
LUK.4.29	De sprang opp og jaget ham ut av byen. De drev ham mot en skrent i åssiden der byen deres lå, og ville styrte ham utfor. 
LUK.4.30	Men han gikk midt gjennom flokken og dro bort.
LUK.4.32	 og de var slått av undring over hans lære, for han talte med myndighet.
LUK.4.33	I synagogen var det en mann som hadde en ond og uren ånd. Han satte i å rope av all kraft: 
LUK.4.34	 «Hva vil du oss, Jesus fra Nasaret? Er du kommet for å ødelegge oss? Jeg vet hvem du er: Guds Hellige!» 
LUK.4.35	Men Jesus truet den og sa: «Ti stille og far ut av ham!» Den onde ånden rev mannen over ende midt iblant dem og fór ut av ham, men uten å skade ham. 
LUK.4.36	Alle ble forferdet, og de sa til hverandre: «Hva er dette for slags tale? Med makt og myndighet befaler han de urene åndene, og de farer ut.» 
LUK.4.37	Og ryktet om ham spredte seg overalt i omegnen.
LUK.4.38	Jesus brøt opp fra synagogen og gikk hjem til Simon. Her lå Simons svigermor syk med høy feber, og de ba Jesus hjelpe henne. 
LUK.4.39	Han bøyde seg over henne og truet feberen, og den slapp henne. Straks sto hun opp og stelte for dem.
LUK.4.41	 Det fór også onde ånder ut av mange mens de skrek og ropte: «Du er Guds Sønn!» Men han truet dem og påla dem strengt å tie, for de visste at han var Messias.
LUK.4.43	 Men han sa til dem: «Også i de andre byene må jeg forkynne det gode budskapet om Guds rike. Det er det jeg er utsendt for.» 
LUK.4.44	 Og han fortsatte å forkynne i synagogene i Judea.
LUK.5.2	 Da fikk han se to båter som lå ved stranden. Fiskerne var gått ut av dem og holdt på å skylle garn. 
LUK.5.3	 Jesus steg opp i en av båtene, den som tilhørte Simon, og ba ham legge litt ut fra land. Så satte han seg og underviste folkemengden fra båten.
LUK.5.5	 «Mester», svarte Simon, «vi har strevd hele natten og ikke fått noe. Men på ditt ord vil jeg sette garn.» 
LUK.5.6	Så gjorde de det, og fikk så mye fisk at garnet holdt på å revne. 
LUK.5.7	De ga tegn til arbeidslaget i den andre båten at de skulle komme og ta i med dem. Og da de kom, fylte de begge båtene, så de var nær ved å synke. 
LUK.5.8	Da Simon Peter så det, kastet han seg ned for Jesu føtter og sa: «Gå fra meg, Herre, for jeg er en syndig mann.» 
LUK.5.9	For han og alle som var med ham, ble grepet av forferdelse over den fangsten de hadde fått. 
LUK.5.10	På samme måte var det med Sebedeus-sønnene Jakob og Johannes, som fisket sammen med Simon. Men Jesus sa til Simon: «Vær ikke redd! Fra nå av skal du fange mennesker.» 
LUK.5.11	 Så rodde de båtene i land, forlot alt og fulgte ham.
LUK.5.13	Jesus rakte ut hånden og rørte ved ham. «Jeg vil», sa han. «Bli ren!» Og straks forsvant spedalskheten. 
LUK.5.14	 Jesus forbød ham å si det til noen. «Men gå og vis deg for presten», sa han, «og bær fram et offer for renselsen din, slik som Moses har påbudt. Det skal være et vitnesbyrd for dem.» 
LUK.5.15	Men ryktet om ham spredte seg bare enda mer, og store flokker strømmet til for å høre ham og bli helbredet for sykdommene sine. 
LUK.5.16	 Men selv trakk han seg ofte tilbake til øde steder og ba.
LUK.5.18	Da kom det noen menn som bar en lam mann på en båre. De forsøkte å bære ham inn og legge ham ned foran Jesus. 
LUK.5.19	 Men fordi det var uråd å få ham inn på grunn av trengselen, gikk de opp på taket, fjernet noen takstein og firte ham ned på båren, midt foran Jesus. 
LUK.5.20	 Da Jesus så deres tro, sa han: «Venn, syndene dine er deg tilgitt.» 
LUK.5.21	 Men de skriftlærde og fariseerne tenkte straks: «Hva er dette for en, som spotter Gud? Hvem andre kan tilgi synder enn Gud alene?» 
LUK.5.22	Jesus visste hva de tenkte, og sa til dem: «Hva er det for tanker dere går med i hjertet? 
LUK.5.23	Hva er lettest å si: ‘Syndene dine er deg tilgitt’ eller: ‘Stå opp og gå’? 
LUK.5.24	 Men for at dere skal vite at Menneskesønnen har makt på jorden til å tilgi synder» – og nå vendte han seg til den lamme – «så sier jeg deg: Stå opp, ta båren din og gå hjem!» 
LUK.5.25	Og straks reiste mannen seg foran øynene på dem, tok båren han hadde ligget på, og gikk hjem mens han lovpriste Gud. 
LUK.5.26	Alle ble helt ute av seg av undring og priste Gud. De ble grepet av frykt og sa: «I dag har vi sett det utrolige!»
LUK.5.28	Og han reiste seg, forlot alt og fulgte ham.
LUK.5.29	Levi holdt et stort selskap for ham hjemme hos seg, og en hel del tollere og andre var sammen med dem til bords. 
LUK.5.30	 Fariseerne og de skriftlærde blant dem murret og sa til disiplene: «Hvorfor spiser og drikker dere sammen med tollere og syndere?» 
LUK.5.31	Men Jesus svarte dem: «Det er ikke de friske som trenger lege, men de syke. 
LUK.5.32	 Jeg er ikke kommet for å kalle rettferdige, men syndere til omvendelse.»
LUK.5.34	 «Kan dere få bryllupsgjestene til å faste så lenge brudgommen er hos dem?» svarte Jesus. 
LUK.5.35	«Men det skal komme en tid da brudgommen blir tatt fra dem, og når de dagene kommer, da skal de faste.»
LUK.5.36	Han fortalte dem også en lignelse: «Ingen river et stykke av et nytt klesplagg for å lappe et gammelt. For da rives jo det nye klesplagget i stykker, og lappen fra det nye passer ikke til det gamle. 
LUK.5.37	 Og ingen fyller ny vin i gamle skinnsekker. For da vil den nye vinen sprenge sekkene, vinen renner ut, og sekkene blir ødelagt. 
LUK.5.38	Nei, ny vin må fylles i nye skinnsekker. 
LUK.5.39	Og ingen som har drukket gammel vin, har lyst på ny. Han vil si at den gamle er best.»
LUK.6.2	Da sa noen av fariseerne: «Hvorfor gjør dere det som ikke er tillatt på sabbaten?» 
LUK.6.3	 Jesus svarte: «Men har dere ikke lest hva David gjorde den gang han og mennene hans sultet? 
LUK.6.4	 Han gikk inn i Guds hus og tok skuebrødene, spiste og ga til dem som fulgte ham, enda det er bare prestene som har lov til å spise dem.» 
LUK.6.5	Og Jesus sa til dem: «Menneskesønnen er herre over sabbaten.»
LUK.6.6	En annen sabbat gikk han inn i synagogen og underviste. Der var det en mann med en høyre hånd som var vissen. 
LUK.6.7	 De skriftlærde og fariseerne holdt øye med Jesus for å se om han ville helbrede på sabbaten, så de kunne få noe å anklage ham for. 
LUK.6.8	Men han visste hva de tenkte, og sa til mannen med den syke hånden: «Reis deg og kom fram!» Han reiste seg og gikk fram. 
LUK.6.9	«Nå spør jeg dere», sa Jesus, «hva er tillatt på sabbaten? Å gjøre godt eller å gjøre ondt, å berge liv eller å ødelegge liv?» 
LUK.6.10	Han så rundt seg på dem alle og sa til mannen: «Rekk fram hånden din!» Han gjorde det, og hånden ble frisk igjen. 
LUK.6.11	Da ble de helt fra seg av raseri og begynte å snakke sammen om hva de skulle gjøre med Jesus.
LUK.6.12	På denne tiden gikk han en gang opp i fjellet for å be, og hele natten var han der i bønn til Gud. 
LUK.6.13	 Da det ble dag, kalte han til seg disiplene sine, og av dem valgte han ut tolv, som han også kalte apostler. 
LUK.6.14	 Det var Simon, som han også ga navnet Peter, og hans bror Andreas, Jakob og Johannes, Filip og Bartolomeus, 
LUK.6.15	 Matteus og Tomas, Jakob, sønn av Alfeus, og Simon som kaltes seloten, 
LUK.6.16	 Judas, Jakobs sønn, og Judas Iskariot, han som ble forræder.
LUK.6.18	 De var kommet for å høre ham og bli helbredet for sine sykdommer. Også dem som var plaget av urene ånder, gjorde han friske. 
LUK.6.19	 Og alle i mengden prøvde å få røre ved ham, for det gikk ut fra ham en kraft som helbredet alle.
LUK.6.20	«Salige er dere fattige,
LUK.6.20	Guds rike er deres.
LUK.6.21	dere skal mettes.
LUK.6.21	Salige er dere som nå gråter,
LUK.6.21	dere skal le.
LUK.6.22	når de utstøter dere 
LUK.6.22	og skyr navnet deres 
LUK.6.22	for Menneskesønnens skyld!
LUK.6.23	stor er lønnen dere har 
LUK.6.23	Slik gjorde også fedrene 
LUK.6.24	dere har alt fått 
LUK.6.25	dere skal sulte.
LUK.6.25	Ve dere som nå ler,
LUK.6.25	dere skal sørge og gråte.
LUK.6.26	Det samme gjorde også fedrene
LUK.6.26	med de falske profetene.
LUK.6.27	Men til dere som hører på meg, sier jeg: Elsk deres fiender, gjør godt mot dem som hater dere, 
LUK.6.28	 velsign dem som forbanner dere, og be for dem som mishandler dere. 
LUK.6.29	Slår noen deg på det ene kinnet, så by fram det andre også. Om noen tar fra deg kappen, så nekt ham heller ikke skjorten. 
LUK.6.30	Gi til hver den som ber deg, og om noen tar fra deg det som er ditt, så krev det ikke tilbake.
LUK.6.31	Som dere vil at andre skal gjøre mot dere, slik skal dere gjøre mot dem. 
LUK.6.32	At dere elsker dem som elsker dere, er det noe å takke dere for? Selv synderne elsker dem de selv blir elsket av. 
LUK.6.33	 Og om dere gjør godt mot dem som gjør godt mot dere, er det noe å takke dere for? Det gjør jo også synderne. 
LUK.6.34	 Og om dere låner ut til dem dere venter å få igjen av, er det noe å takke dere for? Også syndere låner til syndere for å få like mye igjen. 
LUK.6.35	Nei! Elsk deres fiender, gjør godt og lån bort uten å vente noe igjen. Da skal lønnen deres bli stor, og dere skal være Den høyestes barn. For han er god mot de utakknemlige og onde.
LUK.6.37	Døm ikke, så skal dere ikke bli dømt. Fordøm ikke, så skal dere ikke bli fordømt. Ettergi, så skal dere få ettergitt. 
LUK.6.38	Gi, så skal dere få: Et godt mål, sammenristet, stappet og breddfullt, skal dere få i fanget. For i det målet dere selv måler med, skal det også måles opp til dere.»
LUK.6.40	 En lærling står ikke over sin mester, men når han er utlært, blir han som sin mester.
LUK.6.41	Hvorfor ser du flisen i din brors øye, men bjelken i ditt eget øye legger du ikke merke til? 
LUK.6.42	Hvordan kan du si til din bror: ‘Bror, la meg ta flisen ut av øyet ditt!’ når du ikke ser bjelken i ditt eget øye? Din hykler! Ta først bjelken ut av ditt eget øye! Da vil du se klart nok til å ta flisen ut av øyet til din bror.
LUK.6.43	Det finnes ikke noe godt tre som bærer dårlig frukt, heller ikke noe dårlig tre som bærer god frukt. 
LUK.6.44	Et tre kjennes på frukten. En plukker ikke fiken av tistler og høster ikke druer av tornekratt. 
LUK.6.45	Et godt menneske bringer fram godt av hjertets gode forråd, et ondt menneske bringer fram ondt av hjertets onde forråd. For det hjertet er fullt av, det sier munnen.
LUK.6.47	Den som kommer til meg og hører mine ord og gjør det de sier, jeg skal vise dere hvem han ligner. 
LUK.6.48	Han ligner et menneske som skulle bygge et hus, og som gravde dypt og la grunnmuren på fjell. Da flommen kom, brøt elven mot huset, men kunne ikke rokke det, for det var godt bygd. 
LUK.6.49	 Men den som hører og ikke gjør etter det, ligner et menneske som bygde huset på bakken, uten grunnmur. Da elven brøt mot huset, falt det sammen med en gang og ble fullstendig ødelagt.»
LUK.7.1	Da Jesus hadde holdt denne talen til folket, gikk han inn i Kapernaum. 
LUK.7.2	En offiser der hadde en tjener som var så syk at det sto om livet. Han satte stor pris på denne tjeneren. 
LUK.7.3	 Da han fikk høre om Jesus, sendte han noen av jødenes eldste til ham for å be ham komme og redde tjenerens liv. 
LUK.7.4	De kom til Jesus og ba ham inntrengende: «Han fortjener at du gjør dette for ham», sa de, 
LUK.7.5	«for han elsker folket vårt, og det er han som har bygd synagogen for oss.» 
LUK.7.6	Jesus gikk da med dem.
LUK.7.6	Men da han ikke var langt fra huset, sendte offiseren noen venner til ham med bud: «Herre, gjør deg ikke mer bry! Jeg er ikke verdig til at du kommer inn under mitt tak 
LUK.7.7	– derfor våget jeg heller ikke selv å komme til deg. Men si bare et ord, så vil tjenestegutten min bli helbredet. 
LUK.7.8	For jeg står selv under kommando, og jeg har soldater under meg. Sier jeg til én: ‘Gå!’ så går han, og til en annen: ‘Kom!’ så kommer han, og til min tjener: ‘Gjør dette!’ så gjør han det.» 
LUK.7.9	Jesus undret seg da han hørte dette. Han vendte seg til mengden som fulgte ham, og sa: «Det sier jeg dere: Ikke engang i Israel har jeg funnet en slik tro.» 
LUK.7.10	Og da utsendingene kom tilbake til huset, fant de tjeneren frisk.
LUK.7.11	Kort tid etter ga Jesus seg på vei til en by som heter Nain. Disiplene og en stor folkemengde dro sammen med ham. 
LUK.7.12	Da han nærmet seg byporten, ble en død båret ut til graven. Han var sin mors eneste sønn, og hun var enke. Sammen med henne kom et stort følge fra byen. 
LUK.7.13	 Da Herren fikk se enken, fikk han inderlig medfølelse med henne og sa: «Gråt ikke!» 
LUK.7.14	 Så gikk han bort og la hånden på båren. De som bar den, stanset, og han sa: «Du unge mann, jeg sier deg: Stå opp!» 
LUK.7.15	 Da satte den døde seg opp og begynte å tale, og Jesus ga ham til moren. 
LUK.7.16	 Alle ble grepet av ærefrykt, og de lovpriste Gud. «En stor profet er oppreist blant oss», sa de, «Gud har gjestet sitt folk.» 
LUK.7.17	 Dette ordet om ham spredte seg i hele Judea og området omkring.
LUK.7.18	Johannes fikk høre om alt dette gjennom disiplene sine. Han kalte to av dem til seg 
LUK.7.19	 og sendte dem til Herren for å spørre: «Er du den som skal komme, eller skal vi vente en annen?» 
LUK.7.20	Da mennene kom til Jesus, sa de: «Døperen Johannes har sendt oss til deg og spør: Er du den som skal komme, eller skal vi vente en annen?» 
LUK.7.21	Nettopp da helbredet Jesus mange for sykdommer og plager og onde ånder, og han ga mange blinde synet. 
LUK.7.22	 Og han svarte dem: «Gå og fortell Johannes hva dere har sett og hørt:
LUK.7.22	spedalske renses, 
LUK.7.23	Og salig er den som ikke faller fra på grunn av meg.»
LUK.7.24	Da sendebudene fra Johannes var gått, begynte Jesus å tale til folket om Johannes: «Hva gikk dere ut i ødemarken for å se? Et siv som svaier i vinden? 
LUK.7.25	Nei! Hva gikk dere ut for å se? En mann kledd i fine klær? De som går i praktfulle klær og lever i luksus, bor i slott. 
LUK.7.26	 Hva gikk dere da ut for å se? En profet? Ja, jeg sier dere: mer enn en profet! 
LUK.7.27	 Det er om ham det står skrevet:
LUK.7.30	Men fariseerne og de lovkyndige viste Guds plan fra seg; de lot seg ikke døpe av ham.
LUK.7.31	Hva skal jeg sammenligne menneskene i denne slekten med? Hvem ligner de? 
LUK.7.32	De ligner barn som sitter på torget og roper til hverandre:
LUK.7.32	‘Vi spilte på fløyte for dere,
LUK.7.32	men dere ville ikke danse.
LUK.7.32	Vi sang klagesanger,
LUK.7.32	men dere ville ikke gråte.’
LUK.7.33	For døperen Johannes er kommet, han spiser ikke brød og drikker ikke vin, og dere sier: ‘Han har en ond ånd i seg.’ 
LUK.7.34	 Menneskesønnen er kommet, han spiser og drikker, og dere sier: ‘Se, for en storeter og vindrikker, venn med tollere og syndere!’ 
LUK.7.35	 Men Visdommen har fått rett, det bekrefter alle barna hennes.»
LUK.7.36	En av fariseerne innbød Jesus til å spise hos seg, og han gikk inn i fariseerens hus og tok plass ved bordet. 
LUK.7.37	 Nå var det en kvinne der i byen som levde et syndefullt liv. Da hun fikk vite at Jesus lå til bords i fariseerens hus, kom hun dit med en alabastkrukke med fin salve. 
LUK.7.38	 Hun stilte seg bak Jesus, nede ved føttene, og gråt. Så begynte hun å fukte føttene hans med tårene og tørket dem med håret sitt. Hun kysset føttene hans og smurte dem med salven. 
LUK.7.39	Da fariseeren som hadde innbudt ham, så det, tenkte han med seg selv: «Var denne mannen en profet, ville han vite hva slags kvinne det er som rører ved ham, at hun fører et syndefullt liv.»
LUK.7.40	Da tok Jesus til orde. «Simon», sa han til fariseeren, «jeg har noe å si deg.» «Si det, mester», svarte han. 
LUK.7.41	 Jesus sa: «To menn hadde gjeld hos en pengeutlåner. Den ene skyldte fem hundre denarer, den andre femti. 
LUK.7.42	Men da de ikke hadde noe å betale med, etterga han dem begge gjelden. Hvem av dem vil da holde mest av ham?» 
LUK.7.43	Simon svarte: «Den han etterga mest, tenker jeg.» «Du har rett», sa Jesus. 
LUK.7.44	 Så vendte han seg mot kvinnen og sa til Simon: «Ser du denne kvinnen? Jeg kom inn i ditt hus; du ga meg ikke vann til føttene mine, men hun fuktet dem med tårer og tørket dem med håret sitt. 
LUK.7.45	 Du ga meg ikke noe velkomstkyss, men helt fra jeg kom, har hun ikke holdt opp med å kysse føttene mine. 
LUK.7.46	 Du salvet ikke hodet mitt med olje, men hun smurte føttene mine med den fineste salve. 
LUK.7.47	 Derfor sier jeg deg: Hennes mange synder er tilgitt, derfor har hun vist stor kjærlighet. Men den som får lite tilgitt, elsker lite.» 
LUK.7.48	 Så sa han til kvinnen: «Syndene dine er tilgitt.» 
LUK.7.49	Da begynte de andre gjestene å spørre seg selv: «Hvem er han, som til og med tilgir synder?» 
LUK.7.50	 Men Jesus sa til kvinnen: «Din tro har frelst deg. Gå i fred!»
LUK.8.2	 og noen kvinner som var blitt helbredet for onde ånder og sykdommer. Det var Maria med tilnavnet Magdalena, som sju onde ånder hadde fart ut av, 
LUK.8.3	Johanna, som var gift med Kusa, en forvalter hos Herodes, og Susanna og mange andre. Med det de eide, hjalp de Jesus og de tolv.
LUK.8.4	Mye folk strømmet nå til fra byene omkring. Da en stor mengde hadde samlet seg om ham, fortalte han en lignelse:
LUK.8.5	«En såmann gikk ut for å så kornet sitt. Og da han sådde, falt noe ved veien. Det ble tråkket ned, og fuglene under himmelen kom og spiste det opp. 
LUK.8.6	Noe falt på steingrunn, og det visnet straks det kom opp, fordi det ikke fikk væte. 
LUK.8.7	Noe falt blant tornebusker, og tornebuskene vokste opp sammen med det og kvalte det. 
LUK.8.8	 Men noe falt i god jord, og det vokste opp og bar frukt, hele hundre ganger det som ble sådd.» Da han hadde sagt dette, ropte han ut: «Den som har ører å høre med, hør!»
LUK.8.10	 Han svarte: «Dere er det gitt å kjenne Guds rikes hemmeligheter. Men de andre får det i lignelser, for at de skal
LUK.8.12	De ved veien er de som hører det, men så kommer djevelen og tar ordet bort fra hjertet deres, for at de ikke skal tro og bli frelst. 
LUK.8.13	De på steingrunn er de som tar imot ordet med glede når de hører det. Men de har ingen rot; de tror bare en tid, og når de blir satt på prøve, faller de fra. 
LUK.8.14	Det som falt blant tornebusker, er de som nok hører ordet, men som på veien gjennom livet kveles av bekymringer, rikdom og nytelser så de ikke bærer fullmoden frukt. 
LUK.8.15	Men det i den gode jorden, det er de som hører ordet og tar vare på det i et fint og godt hjerte, så de er utholdende og bærer frukt.
LUK.8.17	 For det finnes intet skjult som ikke skal bli synlig, og intet hemmelig som ikke skal bli kjent og komme for dagen. 
LUK.8.18	 Pass derfor på hvordan dere hører! For den som har, skal få. Men den som ikke har, skal bli fratatt selv det han tror han har.»
LUK.8.19	Moren og søsknene hans kom dit han var, men de kunne ikke nå fram til ham på grunn av folkemengden. 
LUK.8.20	Noen fortalte ham da: «Din mor og dine søsken står utenfor og vil gjerne se deg.» 
LUK.8.21	 Men han svarte: «Min mor og mine søsken, det er de som hører Guds ord og gjør etter det.»
