GEN.1.1	Kechengsi, Arnam sining-heihei lapen pirthe kepinchong ahut, 
GAL.5.26	Ili chepindak nangnelo, kaita lahin lahin aphan bek nangnelo; lahin lahin aphan lang un-e nangnelo.
GAL.6.1	Korte marli atum, komane abang jongsi kopine akechokche akam klemdet-lo tangte, nanglitum, Karjong nang keja ateng keklem atum alangliphan pamethu nangji, bonta nanglitum ingsamjin pensi alangliphan pamethu nangji. Lapen nanglitum methangta chelangpontu, pima nanglitum methang amatta asat angbong klobup tahai. 
GAL.6.2	Nanglitum lahin lahin anghor chinghorpi seroi nangji. Lapuson atovar pensi nanglitum Khristo Aron kroithekpo. 
GAL.6.3	Komane abang jongsi thangta kalidet setta, neta inut amonit pusi chemathalo tangte, alangli ke amethangsi che-chobeilo. 
GAL.6.4	Abangphutinta amethang akam aporman pache-en nang. Jongsi mesen tangte bang akam pen pachepangbarbepin pen amethang akam pen apot chepindak longji. 
GAL.6.5	Pima abangphutinta amethang anghorsi chinghor nangji.
GAL.6.6	Khristian alam kecharli abang ke akeme ason kedo anta alangliphan kethan abang pen pachethak nang.
GAL.6.7	Arnam aphan chobei un pu mathara nangli methang chechobeiri. Pima monit kopima kerik, kerotta lasi rot longji. 
GAL.6.8	Ok aning kehang kerik abang ke la ok aning kehang pen kevirsi rot longji, bonta Karjong aning kehang kerik abang ke, la Karjong aning kehang pen kejut un-e achethe rot longji. 
GAL.6.9	Lasi ili akeme akam keklem lak-ledet lonang, pima ili keklem o-edet lote, mo arnisi athikpet apor ahut ili rot longji. 
GAL.6.10	Lasi ahut keme kelong aling ili kadokave atum aphan akeme klem lonang, jasemet ke kekroi akorte atum an aphan akeme klem lonang.
GAL.6.11	Neli methang ari pen neli ko-an ahi kethe pen labangso aloh tok-lo, langtha! 
GAL.6.12	Amethang kechepindakji lapen athak kechepaklangji aning kehang atumsi nanglitum aphan reng-rot nang pa-en bor-ilo. Bonsetta Khristo athengparpan aphan ajok kephonang akesung halatum kephojokphlotji aphansi halatum lason klemlo. 
GAL.6.13	Hala reng-rot ke-en atum amatta Aron kroikrelo. Nanglitum reng-rot ke-enke halatum aning kehang akamlo, pima nanglitum reng-rot en lote halatum chepindak longpo. 
GAL.6.14	Bonta neli ke Hemphu Jisu athengparpan pen apotsi chepindakchotji; pima alangli thengparpan pen ajok neliphan ke pirthe ke akethitang-lo, lapen pirthe aphan ke neli ke akethitang-lo. 
GAL.6.15	Reng-rot ke-en, mate ke-en-eke thangta kali; akenangsot ke kepinchong kemi abang kecheplang helo. 
GAL.6.16	Amethang akai arjon labangso aron ateng kengkam kechejor atum an, atheke Arnam a-Israel kemi atum an aphuthak ning kangsam lapen kangjinso padonang.
GAL.6.17	Non pen apar ke baduta neliphan nepasungse nang, pima neli bang athak Jisu angthek do.
GAL.6.18	E-Hemphu Jisu Khristo akangjinso nanglitum akarjong along padonang! Amen.
EPH.1.1	Arnam aning kehang pen Jisu Khristo ketoitang abang, neli Polsi nanglitum aphan, atheke, Ephesas arongsopi kedo, Khristo Jisu pen chelangpetsi kekroi kethirklong, kangthir atum an aphan labangso aloh tok-lo. 
EPH.1.2	E-Po Arnam lapen Hemphu Jisu Khristo nanglitum aphan kangjinso lapen ning kangsam nangpapinang!
EPH.1.3	E-Hemphu Jisu Khristo a-Arnam lapen a-Po aphan ili ro archo lonang! Pima ilitum Khristo pen kechelangpet pen ajok alangli ilitum aphan sining asonthak thak adim ahirjume an pen hirjume epitang-lo. 
EPH.1.4	Arnam angno ilitum kangthir-et lapen kedin move-det atum keplangji aphan, ilitum Jisu Khristo pen kechelangpet pen ajok amethang amonit ekepaplangjisi pirthe pinchongche ako pen Arnam e-ingvailo.
EPH.1.4	Kanghon pen 
EPH.1.5	Arnam Jisu Khristo pen ajok ilitum aphan kur kepon asopomar atum ekepaplangji aphan Arnam aphrang pen pathiktang-lo. Lake Arnam aning kehang lapen kemang akamlo. 
EPH.1.6	Amethang adak atur keplengset akangjinso ekepi apot ili Arnam aphan ro archo lonang! 
EPH.1.7	Ilitum alangli pen chelangpetsi alangli vi pen ajok kejok long-lo, atheke Arnam ilitum apap hei hei diyatang-lo. Arnam akangjinso ko-an akethe! 
EPH.1.8	Arnam ilitum aphan labangso akangjinso epi-olo.
EPH.1.8	Arnam amethang agian lapen abidi an pen 
EPH.1.9	alangli ning kehang akam klemtang-lo, lapen alangli Khristo pen ajok keklem kepatangji pu kepa-thiktang kedipjoi alam non ilitum aphan epachinilo. 
EPH.1.10	Arnam athik apor ahut labangso kemangdam akam keklem patangji. Labangso akam ke la helo: sining lapen pirthe athak kedo, kepinchongtang an aphan pangrumpetsi Khristo aphan halatum ahemphu paplangji.
EPH.1.11	Arnam amethang kemang lapen aphrang pen kepathiktang atengsi, nelitum Khristo pen kechelangpet pen ajok nelitum aphan amethang amonit nekepaplangjisi neingvailo. Lake Arnam amethang aning kehang ateng aphrang pen kepathiktang akamlo. 
EPH.1.12	Nelitum, Khristo aphan ning kethe kedo paphrangcheng atum Arnam, adak atur kepathe thekji aphansi Arnam lason klemlo.
EPH.1.13	Arnam alamjir ahok alam, atheke nanglitum kejok kelong-i a-Birta Keme arjulongsi nanglitumta Arnam amonit plang-lo. Nanglitum Khristo aphan kekroi pen ajok Arnam nanglitum aphan amethang kechaktang a-Karjong Kangthir nangpisi amethang amonit angthek asap nanglitum athak theng-tang-lo. 
EPH.1.14	Arnam amethang amonit atum aphan kechaktang ason ilitum longvekji pu angthek ke la Karjong helo, lapen Arnam amethang amonit atum aphan pajokphlot binongji pu ilitum labangso pen ajok chini. Ilitum alangli dak atur pathe lonang!
EPH.1.15	Labangso apotsi nanglitum Hemphu Jisu aphan kekroi lapen kangthir atum aphan kanghon alamjir neli karjulong ahut pen 
EPH.1.16	nanglitum pen apot kaita Arnam aphan kero piverlo. Neli Arnam kardom abataitinta nanglitum aphan nangmathaponverlo, 
EPH.1.17	lapen nanglitum Arnam aphan kechini thekji aphan, nanglitum aphan Karjong nangkepapijisi neli Hemphu Jisu Khristo a-Arnam, atheke adak atur kedo a-Po aphan choningrilo, atheke Karjong ke Arnam aphan kechini ajakong lapen kechini ajakong kepi abang-lo. 
EPH.1.18	Arnam nanglitum aphan nangkepha apot nanglitum ning kechethedam ason kopima, kangthir atum alangli long pen kechepahemphu longji adak atur kedo akhi ko-an ale kethema, 
EPH.1.19	lapen ilitum along kedo alangli jakong, atheke kekroitang atum along kedo alangli jakong ko-an akethema, la hei hei nanglitum kechini thekji aphan nanglitum alangli akethe-ang kethek-longjisi nanglitum aning amek nangkepangpuji aphan neli Arnam ardomlo. La ilitum along kedo alangli jakong ke 
EPH.1.20	Khristo aphan kethitang atum angbong pen kepathur-i ajakong lapen alangliphan sining athak amethang ari ar-e anat kepangni-i ajakong kethe pen isipet-lo. 
EPH.1.21	Sining asonthak thak adim kepangri atum an, kepangriji ajakong kelong atum an, ajakong kedo atum an lapen ahemphu atum kelong ajakong apar Khristo kelong ajakong themu, lapen labangso ajakong pensi alangli hadak pangrilo; lapen non kedobom akai anchot kali, mo kevangji akai angbong kedo atum kelong amen an apar alangli kelong amen themulo. 
EPH.1.22	Arnam kadokave amarta Khristo akengpak arum bilo, lapen alangliphan kadokave amar a-Hemphu kethenei paplangsi mondoli aphan hodailo. 
EPH.1.23	Mondoli ke Khristo abang arpumlo, lapen alangli kadokave adim kedo amar aphan kepachok lim asonthotsi amethangta mondoli pen ajok chok limlo. 
EPH.2.1	Ahut isi ke nanglitum Arnam aphan kekroikre lapen nang methang apap hei hei apot Karjong anat ke akethitang-lo. 
EPH.2.2	Halabangso ahut ke nanglitum labangso apirthe akehingno a-ot atengsi do thak-lo, lapen tomon angbong kedo kehingno akarjong atum aphan kepangri abang, kehingno akarjong aphansi nanglitum kroilo. Labangso kehingno akarjongsi Arnam aphan kekroikre atum aphan non charibomlo. 
EPH.2.3	Aphrangke ilitum kadokaveta halatum asonthak thak-lo. Ilitum a-ok aning kehang atengsi ili klemlo, ebang, ening ekepaklemtoi alingsi ili klemlo. Lasi kadokave atum asonthotsi ilita Arnam aning kethi kephovek nangji atumlo. 
EPH.2.4	Bonta Arnam akangjinso theparpik-lo, lapen alangli ilitum aphan e-inghonparpik-lo. 
EPH.2.5	Atheke ilitum Arnam aphan kekroikre pen ajok Karjong anat ke akethitang-lo setta, alangli Khristo aphan pen pen ilitum aphan eparengthulo. Arnam akangjinso pen ajoksi nanglitum kejok long-lo. 
EPH.2.6	Ilitum Khristo pen kechelangpet pen ajok Arnam ilitum aphan Khristo aphan pen pen epathursi sining athak Khristo along epangnidunlo. 
EPH.2.7	Arnam Jisu Khristo pen ajok ilitum aphan e-inghon alangli ketheparpik akangjinso chepaklang-lo. Alangli akangjinso theparpik-lo pu mo mo akai an aphanta kepachiniji aphansi alangli lason klemlo. 
EPH.2.8	Nanglitum akekroi apot Arnam akangjinso pen ajoksi nanglitum kejok long-lo. Lake nanglitum methang akam pen apot kali, bonta Arnam akangjinso adanlo. 
EPH.2.9	Baduta kechepindak longledetji aphan lake kam keklem pen apot kali. 
EPH.2.10	Arnam ilitum aphan non lapuson epaplang-lo. Ilitum keklemji aphan Arnam aphrang pen akeme akam hei hei ethikpilo, lapen ilitum Jisu Khristo pen kechelangpet pen ajok alangli ilitum aphan non lapuson ekepajalang ke ili la hei hei akam keklem thekji aphanlo.
EPH.2.11	Hala Jihudi atum, atheke “Rengrot ke-en atum,” pu kechepu atum ke (Rengrot ke-enke aron atang ateng pen abang a-ok kerot akamchot) nanglitum aphan, atheke mahang kethek penta Jihudi kalidet atum aphan “Rengrot ke-en-e atum,” pusi nangpulo. Ahut isi ke nanglitum kopuson amonit atum loma, lale chemathanon. 
EPH.2.12	Halabangso ahut ke nanglitum Khristo aphan chininedetsi alangli pen chepaheloving-lo; nanglitum Israel amonit kalidet-lo, atheke nanglitum Arnam kangvaitang amonit kalidet-lo. Nanglitumke kaprek adet amonit pinak-lo, lasi Arnam amethang amonit atum aphan kechak akechechak along nanglitum apharman avedet-lo. Nanglitum ning kethe avepin pen lapen Arnam aphan chininepin pensi labangso apirthe athak dodunlo. 
EPH.2.13	Aphrang ahut ke nanglitum Arnam pen chepaheloving-lo, bonta nonke nanglitum Khristo Jisu pen kechelangpet pen apot nanglitum aphan Khristo avi pen ajok Arnam adung nangvantang-lo. 
EPH.2.14	Jisu Khristo amethangsi Jihudi lapen Jihudi kalidet atum aphan isipet paplangsi ilitum angbong lahin lahin ning kechingsam padolo. Halatum aphan hini akhei kepaplang-i lapen kepachelang un-e ahoi arpong alangli phridak-lo. 
EPH.2.15	Alangli pen kechelangpet pen ajok la hini akhei aphan isi khei kemi kepinchongjisi alangli Jihudi atum kekroi Aron, Aron ahukum hei hei lapen aron atang hei hei kekroi akenang pavedet-lo; lapen lapusonsi alangli halatum angbong lahin lahin ning akechingsam padolo. 
EPH.2.16	Khristo thengparpan athak amethang apran kechepi pen ajok la kheini angbong kedo akhet pavirdetsi halatum aphan isipet akhei paplang-lo, lapen halatum aphan Arnam along vanthusi Arnam pen pachepamethulo. 
EPH.2.17	Khristo vangsi nanglitum Arnam pen keheloving atum aphan, atheke Jihudi kalidet atum aphan lapen hala Arnam pen ketebokhet atum aphan, atheke Jihudi atum aphan ning kangsam alamjir a-Birta Keme thanlo. 
EPH.2.18	Khristo pen ajoksi ilitum kadokaveta, atheke Jihudi lapen Jihudi kalidet atumta isipet a-Karjong akerap pen ajok Arnam along vanglong-lo.
EPH.2.19	Labangso apotsi nonke nanglitum bang adet asor, mate bang adet pen vangsi nangkedo amonit atum kalilo; nonke nanglitum kangthir atum pen isipet adet amonit atumlo, lapen Arnam ahem asangho atumlo. 
EPH.2.20	Ketoitang atum lapen Arnam amontri atum kepangnitang ahemthur athaksi nanglitum aphanta nangkimtang-lo; lapen labangso ahem kepathir-i akenangsotnei a-arlong ke Jisu Khristo helo. 
EPH.2.21	Alanglisi labangso ahem pache-rapplang-lo, lapen pathebomsi Hemphu aphan kepanongpitang akardom ahem kangthir paplangbomlo. 
EPH.2.22	Arnam a-Karjong kedo ahem kepaplangji aphansi nanglitum Khristo pen kechelangpet pen ajok nanglitum aphanta anut kaprek atum aphan pen pen labangso ahem along nang pacherapdunbomlo.
EPH.3.1	Labangso apotsi nanglitum Jihudi kalidet atum aphan ajok Khristo pen apot phatek kejangnang abang, neli Arnam aphan choningrilo. 
EPH.3.2	Nanglitum ale kelongji aphan Arnam akangjinso pen neliphan labangso akam nepek-lo pu alam nanglitum arjulong binong-lo pusi neli mathalo. 
EPH.3.3	Arnam neliphan kedip alam nepaklangsi nepachinilo. (Aphrangta neli nanglitum aphan labangso alamjir nangtok-lo. 
EPH.3.4	Nanglitum halabangso aloh along ketok alam hei hei porhe lote Khristo akedip alamjir neli kechinidam alam nanglitum chini unpo.) 
EPH.3.5	Arnam amethang a-Karjong pen ajok ketoitang lapen Arnam amontri atum aphan labangso akedip alam non kepaklang asonthot ke aphrang a-ove atum aphan ke pachininepinlang. 
EPH.3.6	Kedip alam la helo: Jihudi kalidet atumta birta keme pen ajok Jisu Khristo pen chelangpetsi Jihudi atum pen Arnam ahirjume chepahemphulong rap rap-lo, halatum isipet abang arpum a-ok athan hei hei cheplang-lo lapen Arnam kechaktang ason long rap rap-lo. 
EPH.3.7	Arnam amethang ajakong neli long kepado pen ajok Arnam akangjinso adan nepisi neliphan labangso a-Birta Keme aban nepaplang-lo. 
EPH.3.8	Kangthir atum angbong pen akebinei ke neli helo setta kechini un-e Khristo akhi alamjir abirta keme Jihudi kalidet atum angbong kethan kepachethangji aphansi Arnam akangjinso pen neliphan labangso akam nepek-lo. 
EPH.3.9	Arnam kepatujoi akemang akam non keklem kepaplengji alam monit atum aphan kepachinita neli keklem nangji akamlo. Kadokave kepinchong a-Arnam kedamtang akai anke labangso kepatujoi akemang alam dipjoilo. 
EPH.3.10	Sining asonthak thak adim kepangri atum lapen ajakong kedo atum non mondoli pen ajok Arnam alep kedo-o abidi kechini longji aphansi non monit atum aphan hala kepatujoi akemang alam pachinilo. 
EPH.3.11	Arnam aphrang pen kemang atengsi non lapuson klemlo, lapen lake e-Hemphu Jisu Khristo pen ajoksi akam papleng-lo. 
EPH.3.12	Ilitum Khristo pen kechelangpet lapen alangliphan kekroi pen ajok ning thek-long pen Arnam along damhai. 
EPH.3.13	Lasi neli nanglitum aphan choningrilo, nanglitum aphan ajok neli keduk kesung kephonang apot ke nanglitum aning cheparunhup-ri; lake nanglitum adak aturlo.
EPH.3.14	Labangso apotsi neli Po angno neli kengphu patongruilo. 
EPH.3.15	Sining athak lapen pirthe athak kedo ahemtuntin aphanta la Posi amen irlo. 
EPH.3.16	Arnam amethang a-Karjong pen ajok alangli methang adak atur akhi angbong pen nanglitum aphan jakong nangpisi nanglitum aning ajakong kepatheji, 
EPH.3.17	nanglitum akekroi pen ajok Khristo nanglitum aning arlo kedoverji lapen nanglitum klem aling setta kanghon paklongsi keklemji, 
EPH.3.18	Khristo akanghon ko-an avar thema, ko-an dingma, ko-an ingtuima lapen ko-an arnukma, la nanglitumta hala kangthir atum an pen pen kechini thekji, 
EPH.3.19	lapen nanglitum chenamsi alangli kanghon kechini thekji, tebonta alangli akanghon ke chini pame un-e lapen lasi nanglitum Arnam a-ot pen keplengsetji aphansi neli Arnam ardomlo.
EPH.3.20	Ilitum along kam keklemvoi abang, atheke alangli methang a-Karjong pen ajok, ili kechohang pen apar lapen ili kemathadam pen apar ekepi un abang aphan, 
EPH.3.21	atheke Arnam aphan mondoli pen ajok lapen Khristo Jisu pen ajok a-ovetin kejut un-e akai apar akai anta adak atur pathenang! Amen.
EPH.4.1	Lasi, Hemphu aphan keklempi apot phatek kejangnang abang, neli nanglitum aphan choningrilo, Arnam nanglitum aphan nangkepha ahut nanglitum aphan kepadotoi asonthot-le nanglitum do thak non. 
EPH.4.2	Nanglitum kaiketa kechepabihek a-ot pen, asotdut a-ot pen lapen kechepaningding penle do non. Nanglitum lahin lahin aphan dengra nanglitum akanghon chepaklangnon. 
EPH.4.3	Ning kangsamsi nanglitum aphan nangkok-rappet-lo, lapen labangso aning kangsam pen ajok Karjong nanglitum aphan ning isi nangpaplang-lo. Nanglitum aning isi kedoverjile un-an bor-inon. 
EPH.4.4	Ilitum aning kethedam ason isinat. La isinat aning kethe kedoji aphansi Arnam nangphalo. Ning kethedam ason isinat asonthotsi bang arpumta isinat lapen Karjongta isinat. 
EPH.4.5	Hemphu inutnat, kekroi isinat lapen baptisomta isinat; 
EPH.4.6	lapen Arnam, atheke kadokave a-Po inutnat. Alangli ke kadokave atum a-Hemphulo. Alangli kadokave atum pen ajok klem lapen kadokave atum along do.
EPH.4.7	Khristo ilitum aphan ekepi atengsi ilitum abangphutin kenangsot adan long-lo. 
EPH.4.8	Lasi hastro pulo,
EPH.4.8	“Alangli kangtuipik adim kedam ahut keneptang atum aphan ponlo,
EPH.4.8	lapen monit atum aphan dan hei hei pilo.” 
EPH.4.9	Tangte, “Alangli angsong arludamlo,” pu kepu athe kopilo? Labangso alamthe kepudam athe la helo: aphrangke alangli pirthe abernei adim hirdamlo. 
EPH.4.10	Lasi arum nangkehir abangthotsi, kadokave asonta kepachok limji aphan kadokave asining apar kangtuimu adim arludamlo. 
EPH.4.11	Alanglisi monit atum aphan kenangsot adan hei hei pilo. Komanene atum ke ketoitang atum, komanene atum aphan ke Arnam amontri atum, komanene atum aphan ke Birta Keme kepachethang atum, komanene atum aphan ke mondoli keja mate pastor atum lapen komanene atum aphan ke kethan atum kecheplangji aphan Alangli kenangsot adan hei hei pilo. 
EPH.4.12	Khristo abang arpum kepathirklongji aphan kangthir atum keklem nangji akam keklem thekji aphan kepachesik pameji aphansi alangli la klemlo. 
EPH.4.13	Tangte la ko-an ahut anta doji? Ilitum akekroi lapen Arnam a-Sopo aphan kechini pen ajok ilitum isipet plangpletik, lapen ilitum arta dosi Khristo akrom ajon ateng plangpletik ke lahei hei do nangjilang. 
EPH.4.14	Anke ilitum osomar atum ason kalidetsi kehingno akere atum kechomosoi alam alang angsum lapen atomon kepon aling ke dunthapthedetsi leng long tongtedetpo. 
EPH.4.15	Bonta ilitum kanghon pen ahok alam ningjera kadokave asonta Khristo ason kecheplangjile thebom lonang. La Khristo ke bang arpum aphulo. 
EPH.4.16	Alangli pen ajoksi abang athantin pachechulo, lapen labangso akepachechu akechechu an pen ajok abang arpum pacherapplang-lo. Lasi abang athantin keklem nangji akam cheklem pame lote kanghon pen ajok abang arpum thepo lapen ajakong thepo. 
EPH.4.17	Lasi Hemphu amen pen neli nanglitum aphan nangpupo: nanglitum non pen apara hala thangta kalidet aning kematha pen kedo, Arnam aphan kekroikre atum ason ke do thak-rinon. 
EPH.4.18	Halatum kechini ajakong ingtingkuk-lo. Halatum aning buikluihak huksi kechinine pen apot Arnam kepi achethe pen chepahe-loving-lo. 
EPH.4.19	Halatum thangta therak thekthe; halatum ke kehingno akam keklemlokjisi aning kehang, lapen aning thang akechak-hik ave pin pen kehingno akam an klembom.
EPH.4.20	Bonta nanglitum Khristo alamjir kecharli long ke lapuson kali! 
EPH.4.21	Nanglitum alangli lamjir arjulong binong-lo, lapen nanglitum ke alangliphan kekroi atumlo apotsi nanglitum aphan Jisu alamjir ahok alam nangthan binong-lo pusi neli mathalo. 
EPH.4.22	Lasi nanglitum aphrang amonit a-ot adur barim che-onon. Ok aning kehang, kar-ithapsi labangso amonit barim aphan ke pavirbomlo. 
EPH.4.23	Nanglitum aning angthin chepamithunon, 
EPH.4.24	lapen Arnam a-ot ason kepinchongtang a-ot kemi chepindengnon. Labangso a-ot kemi ke ahok pen keplang adhoromipet akam lapen kangthir akam along klangdak-lo. 
EPH.4.25	Lasi nanglitum non pen apara ke pachoreirinon. Tebok abang aphan ahok alamle ningjenon, pima ilitumke kadokaveta Khristo abang a-ok athan hei heilo. 
EPH.4.26	Nanglitum ning thi setta pap klemri. Nanglitum aning kethi arni kechi an padoverri. 
EPH.4.27	Hi-i Sarpo aphan asoi keme pek-ri. 
EPH.4.28	Kechonghu abang non pen apara chonghurinon, bonta nang methang kereng-iji aphan lapen keduk kelak atum aphan kerapdun thekji aphan nang methang ari pen kam keme choklemnon. 
EPH.4.29	Nanglitum angho pen kehingno alam ethe natta pabar longri, bonta karju atum ahirjume kelongjile halatum aphan kepame alam lapen halatum akenangji atengle akeme alam ningjenon. 
EPH.4.30	Nanglitum Arnam a-Karjong Kangthir aning pa-oiri. Pima la Karjong kedo ke Arnam amonit-lo pu angthek-lo. Lapen mo kepajokji Arni ahut Arnam nanglitum aphan nang pajokvekji pu angthek aphan Karjong aphan sap ason paplangsi nanglitum athak sap thengtang-lo. 
EPH.4.31	Ning keho, ning kesedeng lapen ning kethi a-ot an che-onon. Non pen apara nanglitum hang pangtarrinon, chepusit-rinon lapen chelangselet-ri non. 
EPH.4.32	Nanglitum lahin lahin cherap seroinon, chejinso seroinon lapen Jisu Khristo pen ajok Arnam nanglitum aphan nang kediya asonthot-le nanglitum lahin lahin chediya seroinon. 
EPH.5.1	Nanglitumke Arnam asomarlo apotsi alangli sonle charlidunnon. 
EPH.5.2	Khristo ilitum aphan e-inghonlo, lapen kenemprujin lapen Arnam aning kedok athok ason cheplangsi ilitum apharman amethang apran chepidet-lo. Lasonthot-le nanglitumta klem aling setta kanghon penle kengkam chejorra klemnon. 
EPH.5.3	Nanglitum angbong beisa akam, kangthirthe akam an lapen mek plengple akam anke alam anta pinpurpedet nangji. Pima kangthir atum angbong ke lahei hei avedet nangji. 
EPH.5.4	Nanglitum angbong ke ketherakmeme alam kechethan, thangbakbe alam kechethanthap lapen lam jong jong kaningje hei hei avedet nangji. Bonta la hei hei alar Arnam aphan kerole pinon. 
EPH.5.5	Beisa keklem abang, kangthirthe akam keklem abang lapen mek plengple abang ke, (Mek plengple akam ke eson ase karklilo) Khristo lapen Arnam arat angbong dim longdunde, lale nanglitum chinipamenon.
EPH.5.6	Baduta nanglitum aphan thang-bakbe alam pen nang pachomosoi longri, pima lapuson akam pen apot Arnam alam kekroikre atum aphan Arnam aning thiji. 
EPH.5.7	Lasi nanglitum lason amonit atum along ke chelangdunri.
EPH.5.8	Ahut isi ke nanglitum kangting angbongsi dolo. Bonta nonke nanglitum Hemphu pen chelangpetsi kethe-ang angbongsi dolo. Lasi nanglitum kethe-ang asomar asonthot-le kengkam chejorra do thaknon. 
EPH.5.9	Pima kethe-ang atheke akeme, kechok lapen ahok alongsi klang. 
EPH.5.10	Hemphu aning kedok kopima, lale langpamenon. 
EPH.5.11	Thangta ale kave akangting akam ke klemdunri, bonta la alar la paklangdaknon. 
EPH.5.12	Halatum keklem kanghu akam ke alam kechethan anta therakmeme. 
EPH.5.13	Bonta kethe-ang angbong vansi paklangdak lote a-ot binong thek-longdakpo. Pima keklangdak ason anke kethe-ang plang 
EPH.5.14	Lasi pulo,
EPH.5.14	“O mek kejang abang, mek prangnon,
EPH.5.14	lapen kethitang atum angbong pen thurnon,
EPH.5.14	lapen Khristo nanglithak tur-angpo.”
EPH.5.15	Lasi nanglitum kopusonsi keng-kam chejor pen do thak-loma, lale chelang pamenon. Kelu atum ason kali, bonta kere atum asonle do thaknon. 
EPH.5.16	Nanglitum asoi keme kelong aling kam keme klemnon, pima non akai ke hingno. 
EPH.5.17	Nanglitum chepaluri, bonta Hemphu aning kehang kopima, la kechinijile bor-inon.
EPH.5.18	Nanglitum hor ingriri. Lake akhat kave abang nangpaplangchot. Bonta la alar nanglitum Karjong chepa-plengsetnon. 
EPH.5.19	Hastro alun, dhorom alun lapen karjong alun hei hei penle lahin lahin chingki chethannon. Nanglitum aning aklong pen lun lapen ate-ot kejume penle Hemphu aphan ro archonon. 
EPH.5.20	Ajat akam alam tame kaiketa Hemphu Jisu Khristo amen pen Po Arnam aphan kero pinon. 
EPH.5.21	Nanglitum Khristo amahang langra lahin lahin alam chekroinon.
EPH.5.22	Apiso atum, Hemphu aphan asonthot-le nanglitum methang apenan atum alam kroinon. 
EPH.5.23	Pima Khristo ke mondoli aphu asonthotsi apiso aphu ke apenan helo. Mondoli ke Khristo abang-lo lapen alanglisi la aphan pajok-lo. 
EPH.5.24	Lasi mondoli Khristo aphan kekroi asonthotsi apiso atumta ajat asonta amethang methang apenan atum alam chekroi nangji.
EPH.5.25	Apenan atum, Khristole mondoli aphan chinghonsi mondoli aphan ajok amethang apran kechepi asonthot-le nanglitumta nang methang methang apiso aphan chinghonnon. 
EPH.5.26	Mondoli aphan lam pen ajok lang pen cham pakaksi kepangthir-etji; 
EPH.5.27	lapen mondoli aphan alon kepado parpik pen, atheke thang aphik kero, kechekedu lapen thang akehingno kepavedet pen amethang arideng kechehodaiji aphansi, lapen mondoli kangthir-etji lapen thangta kedin movedetji aphansi alangli lason amethang apran chepilo. 
EPH.5.28	Lasonthotsi apenan atumta amethang abang aphan kechinghon asonthotsi amethang methang apiso aphan chinghon nangji. Amethang apiso aphan kechinghon abang ke amethang aphansi kechinghonlo. 
EPH.5.29	Badu amonitta amethang abang aphan ke chehijimje. Bonta Khristo mondoli aphan keklem asonthotsi abangphutinta amethang methang abang aphan che-ora lapen chelana. 
EPH.5.30	Pima ilitumke Khristo abang a-ok athan hei heilo. 
EPH.5.31	Hastro along tok-lo, “Labangso apotsi monit ke api apo che-osi apiso pen chelangpetji, lapen bang hini a-ok isipet cheplangji.” 
EPH.5.32	Labangso ahastro alam along eson karsikkrung akepatu alam do; bonta lake Khristo lapen mondoli alamjirsi kepudam pusi neli kechini. 
EPH.5.33	Tebonta abangphutin apenanta amethang aphan kechinghon asonthotsi ame-thang methang apiso aphan chinghon nangji; lapen abangphutin apisota amethang methang apenan aphan aman pi nangji.
EPH.6.1	Osomar atum, Hemphu pen chelang pet-ra nangpi nangpo alam chekroinon. Pima lason keklem ke kechokpame akamlo. 
EPH.6.2	“Nangpi nangpo aphan aman pinon,” pu ahukum helo kechak alam pen kepi aphrangsi ahukumlo. 
EPH.6.3	Kechak alam ke la helo, “Anke nangtum akai mesenpo, lapen pirthe athak nangtum achethe dingpo.” 
EPH.6.4	Apo atum, nanglitum asomar atum aning pathiri, bonta Hemphu alam kethan pen parera lapen pakengra halatum aphan pathe padingnon. 
EPH.6.5	Ban atum, Khristo aphan asonthot-le kephere pen, ok klemhur pen lapen ning elep pet pen pirthe athak kedo nanglitum ahemphu alam kroinon. 
EPH.6.6	Halatum aning nangkepadokji aphan halatum nangkethekdunlong ahut keklemchot ke chokche; bonta Khristo aban atum asonthot-le nang ning aklong pen Arnam aning kehang ateng klemnon. 
EPH.6.7	Monit atum aphanle keklempi kali, bonta Hemphu aphansi keklempi asonthot-le ning arong pen ban akam klemnon. 
EPH.6.8	Pima ban tame, mate ban kalidet abang settame, abangphutinta kam keme keklem apot Hemphu pen nong-e longji, lale chininon. 
EPH.6.9	Ban ahemphu atum, nanglitumta lasonthot-le ban atum aphan klemnon. Nanglitum halatum aphan ther-ri, pima sining athak kedo nanglitum lapen halatum a-Po ke inutnat. Alangli ke langret lang-ai pen klemkle. 
EPH.6.10	Kejutsi, nanglitum Hemphu pen chelangpet-ra alangli akethe parpik ajakong pen chepangtang-rak non. 
EPH.6.11	Hi-i Sarpo kemang, akehingno akam aphan kekhang unjile Arnam nangkepi arisim an ennon. 
EPH.6.12	Pima ilitumke monit atum penle kechedan kali, bonta sining asonthak thak adim kedo kehingno akarjong atum pen, kepangri atum pen, ajakong kelong atum pen lapen non kangtingkuk akai apirthe kepangri akarjong atum pensi chedanlo. 
EPH.6.13	Lasi mo kehingno arni ahut nanglitum karjapthip thekji lapen kadokave klemdet aphita karjap kechepathirthip thekjile Arnam nangkepi arisim an ennon.
