MAT.1.1	Issá Masih, 
ACT.13.8	Bale á jádugar, ke Yunáni zobáná áiay nám “Elimás” ent, Bárnábá o Sháulay démá óshtát o johdi kort ke wáli, Issá Masihay sará báwar makant. 
ACT.13.9	Sháulá ke Pulos ham gwashaga bit, cha Pákén Ruhá sarréch, Elimásay némagá chamm sakk dátant o gwashti: 
ACT.13.10	“Oo Shaytánay chokk! Taw ke cha makr o mandrá
ACT.13.11	Bechár, annun Hodáwand
ACT.13.12	Wahdé wáliá é dist, cha Hodáwanday tálimay zórákiá hayrán mant o 
ACT.13.13	Randá, Pulos o áiay hamkár, cha Pápusay shahrá bójigá swár but o Pampiliahay damagá, Pergahay shahrá átkant. Cha ódá Yuhannáyá á yalah dátant o 
ACT.13.14	Bale Bárnábá o Pulos, cha Pergahay shahrá démá rawán, Pisidiahay damagá, Antákiahay shahrá sar butant. 
ACT.13.15	 o Nabiáni Ketábáni wánagá rand, kanisahay masterán gón áyán gwasht: “Oo brátán! Agan pa mardománi delbaddhiá gón shomá kolawé hast, darshán bekanét.” 
ACT.13.16	Pulos pád átk, óshtát o gón dastay eshárahá gwashti: “Oo Esráilián o 
ACT.13.17	É kawmay Hodá, Esráilay Hodáyá may pet o pirok gechén kort o Mesrá jahmenendiay wahd o zamánagá sarperáz kortant o gón wati zórákiá cha Mesrá dar áyagay rahshóni dátant. 
ACT.13.18	Chel sálay kesásá mán barr o gyábáná, áyáni kár o kerdi saggetant.
ACT.13.19	Áiá Kanánay molká hapt kawm prósh dát o áyáni sardhagár wati kawmay mirás o melkat kort. 
ACT.13.20	É sajjahén sargwast, kesás chársad o panjáh sálá butant. Cha áiá rand, tán Samuil nabiay zamánagá, Hodáyá pa áyán kázia dásht.
ACT.13.21	“Padá áyán bádsháhé lóthet, gorhá Hodáyá cha Benyáminay kabilahá, Kisay chokk Shául, tán chel sálá áyáni bádsháh kort. 
ACT.13.22	Randá Hodáyá á, cha bádsháhiay tahtá ér gétk o 
ACT.13.23	Cha hamá Dáuday nasl o padréchá, pa Esráilay kawmá wati kawl dátagén rakkénók, bezán Issái ráh dát. 
ACT.13.24	Cha Issáay áyagá pésar, pákshódókén Yahyáyá sarjamén Esráilay kawmay démá jár jat ke á cha wati gonáhán pashómán bebant o 
ACT.13.25	Wahdé Yahyáay hezmatkáriay wahd halás bayagi at, áiá jost kort: ‘Shomay hayálá man kay án? Man, á naán ke shomá hayála kanét. Á cha man o randa kayt o man áiay kawshbandáni bójagay láhek ham naán.’
ACT.13.26	“Oo brátán, oo Ebráhémay nasl o padréch o 
ACT.13.27	 mardom o áyáni hákemán, Issá pajjáh nayáwort, bale gón áiay mayárig kanagá, áyán nabiáni hamá habar purah o sarjam kortant ke har 
ACT.13.28	Harchont áyán pa Issáay koshagá hech sawab o dalilé nadist, bale cha 
ACT.13.29	Áiay bárawá harché nebisag butagat, áyán sarjam kortant o cha 
ACT.13.30	Bale Hodáyá cha mordagán zendag kort o 
ACT.13.31	hamá mardom ke cha 
ACT.13.32	Annun má pa shomá hamé 
ACT.13.33	gón Issáay zendag kanagá, pa má ke áyáni chokk o óbádag én, sarjam o purahi kort, anchosh ke Zaburay domi bahrá nebisag butag:
ACT.13.34	“Hodáyá gón é habarán ham kawl dátag ke Issáyá cha mordagán zendaga kant o jóni hechbara napussit:
ACT.13.35	Paméshká, dega jágahé ham átkag: ‘Taw wati hamá Pákéná sarhag o pussagá naylay.’ 
ACT.13.36	Wahdé 
ACT.13.37	Bale á kas ke Hodáyá cha mordagán zendag kort, áiay jón napusset.
ACT.13.38	“Oo brátán! Bezánét, cha Issáay némagá gonáháni pahelliay jár pa shomá janaga bit. 
ACT.13.39	Mussáay 
ACT.13.40	Hozzhár bét, chosh mabit ke nabiáni habar shomay sará sarjam bebant:
ACT.13.42	Wahdé Pulos o Bárnábá cha 
ACT.13.43	Mocchiay pád áyagá rand, bázén Yahudi o 
ACT.13.44	É dega 
ACT.13.45	Wahdé Yahudián mardománi bázén mocchi dist, cha kast o konnatá zahr geptant, Pulosesh béezzat kort o áiay habaráni démá óshtátant. 
ACT.13.46	Á wahdá, Pulos o Bárnábáyá gón deléri áyáni passawá gwasht: “Márá cha sajjahénán pésar, 
ACT.13.47	Hodáwandá márá hamé hokm dátag ke:
ACT.13.48	Wahdé 
ACT.13.49	É dhawlá, Hodáwanday habar á sajjahén damagá sheng o tálán but.
ACT.13.50	Bale Yahudián, sharapdár o Hodátorsén janén o shahray námdárén mardén, Pulos o Bárnábáay ázár dayag o badwáhiá shóréntant o áesh cha á damagá dar kanáéntant. 
ACT.13.51	Pulos o Bárnábáyá wati pádáni danz hamódá chandhetant o Ekoniahay shahrá shotant. 
ACT.13.52	Morid gal o shádán, cha 
ACT.14.1	Pulos o Bárnábá wati hél o ádatay padá, Ekoniahay shahrá ham Yahudiáni 
ACT.14.2	Bale hamá Yahudi ke báwar kanagá tayár naatant, á dega 
ACT.14.3	Pulos o Bárnábáyá tán bázén wahdé hamódá dásht o pa natorsi 
ACT.14.4	Shahray mardománi nyámá jérhah o nátepákiá sar kasshet. Bahré Yahudiáni némagá but o á dega bahr gón Issáay 
ACT.14.5	Yahudi o darkawm hór butant o gón wati hákemáni hamráhiá, kásedáni ázár dayag o sengsár kanagay shawresh kort. 
ACT.14.6	Kásed sahig butant o cha ódá jest o Likáuniahay damagay shahr, Lestrah o Derbeh o é dega kerr o gwaráni halk o hankénán shotant. 
ACT.14.7	Hamódá Issáay wasshén 
ACT.14.8	Lestrahá, yak mardé hastat ke pédáeshi langé at o hechbar gámi jat nakortagat. 
ACT.14.9	Á Pulosay habarán eshkonagá at, Pulosá tachkátachk áiay némagá cháret o zánti ke áiá pa drahbakshiá imán o báwar hast. 
ACT.14.10	Gorhá Pulosá pa borztawári gwasht: “Pád á, wati pádáni sará bósht.” Á mard jáh serret o rawagá lagget. 
ACT.14.11	Wahdé mardomán Pulosay é kár dist, Likáuniahay gálwárá gwashtesh: “É hodá ant ke bani ádamay shekl o dróshomá pa má ér átkagant.” 
ACT.14.12	Áyán, Bárnábá “Zeus” námént o Pulos “Hermes”,
ACT.14.13	Zeusay parasteshgáh shahray dhanná at. Parasteshgáhay masterá, pa Pulos o Bárnábáyá káigarén
ACT.14.14	Wahdé 
ACT.14.15	Gwashtesh: “Oo mardomán! Shomá ché kanagá ét? Má shomay dhawlén bani ádam én o bass. Átkagén shomárá é 
ACT.14.16	Pésarigén zamánagá, Hodáyá sajjahén kawm mókal dátagant ke wati ráhá wat gechén bekanant. 
ACT.14.17	Angat ham áiá watá cha gwáhi dayagá dur nadáshtag. Pa wati mehray darshán kanagá, cha ásmáná hawra gwárénit o porbarén keshárán pa mósoma ródénit, shomárá pa alkápi ward o waráka dant o shomay delán cha wasshián sarrécha kant.” 
ACT.14.18	Gón é habarán, kásedán pa hillaté mardom cha hayrát o korbánig kanagá dáshtant.
ACT.14.19	Bale lahtén róchá o rand, bázén Yahudi cha Antákiah o Ekoniahá átk o shahray mardomesh wati némagá tarréntant. Pulosesh sengsár kort o gón é hayálá ke mortag, kasshán kanán cha shahrá dhann dawr dát, 
ACT.14.20	bale wahdé morid Pulosay chapp o chágerdá átk o mocch butant, á pád átk o shahrá per tarret. Domi róchá, Bárnábáay hamráhiá, Derbehay shahrá shot.
ACT.14.21	Mán Derbehay shahrá ham, Issáay wasshén 
ACT.14.22	Moridesh sar o sój kort o delbaddhi dátant ke wati báwará mohr bedárant. Gwashtesh: “Má, gón bázén sakki o sóriáni saggagá 
ACT.14.23	Áyán pa har 
ACT.14.24	Cha Pisidiahay damagá gwazán but o Pampiliahá átkant. 
ACT.14.25	Padá Pergahá, Hodáay mestágesh rasént o dém pa Attáliahay shahrá
ACT.14.26	Cha Attáliahá, bójigá swár but o Antákiahá per tarretant. Cha hamódá pa hamá kár o mohimmá
ACT.14.27	Wahdé Pulos o Bárnábá Antákiahá rasetant, áyán 
ACT.14.28	Pulos o Bárnábá tán dérá gón Antákiahay moridán mantant.
ACT.15.1	Cha 
ACT.15.2	Pulos o Bárnábáyá, é sarhálay sará gón áyán dapják kort o sakk nátepák butant. Gorhá shawresh kort ke Pulos o Bárnábá gón dega lahténá, 
ACT.15.3	 áyáni ráh dayagay chen o lánch kort o áyán cha Pinikiah o 
ACT.15.4	Wahdé 
ACT.15.5	bale lahtén 
ACT.15.6	Gorhá kásed o kamáshán pa é habaray gisshénagá diwán kort. 
ACT.15.7	Bázén habar o hálá rand, Petros pád átk o gón áyán gwashti: “Oo brátán! Shomá sharra zánét ke báz wahdá pésar, Hodáyá cha shomay nyámá maná gechén kort ke darkawm cha mani zobáná Issáay wasshén 
ACT.15.8	Hamá Hodá ke harkasay delay hálá zánt, darkawmi ham 
ACT.15.9	Hodáyá mayg o áyáni nyámá hech park o péré naesht, wahdé á báwarmand butant, Hodáyá áyáni del ham pák o palgár kort. 
ACT.15.10	Nun shomá chiá moridáni gardená gránén jogé
ACT.15.11	Enna! Márá báwar ent, anchosh ke má gón 
ACT.15.12	Petrosay habaráni eshkonagá rand, sarjamén mocchi bétawár but o Bárnábá o Pulosay gapp o tránesh gósh dáshtant, ke Hodáyá cha áyáni dastá, darkawmáni nyámá chónén mójezah o ajekkái pésh dáshtag.
ACT.15.13	Wahdé áyán wati gapp o trán halás kort, Ákubá darráént: “Oo brátán! Mani habarán delgósh kanét. 
ACT.15.14	Shamun Petrosá gwasht ke Hodáyá che paymá awali bará 
ACT.15.15	É gón nabiáni habarán yakk o hamdap ent, anchosh ke nebisag butag:
ACT.15.19	“Paméshká mani hayálá, má á 
ACT.15.20	pa áyán benebisén: cha hamá korbánigán ke gón botáni námay geragá nápák butagant, cha zená o bénangiá, cha mordárén dalwatáni góshtá, anchosh ham cha hónay waragá pahréz bekanant. 
ACT.15.21	Chiá ke cha kwahnén zamánagán, har shahrá Mussáay 
ACT.15.22	Gorhá gón sarjamén 
ACT.15.23	Áyáni dastá kágadé dátesh ke é dhawlá at:
ACT.15.23	“Má, 
ACT.15.24	Má eshkotag ke bé may parmáná cha may nyámá lahtén báwarmand hamángor átkag o gón wati habarán shomárá deltaparkah
ACT.15.25	Paméshká má pa hamdeli shawr kort ke cha watá lahtén mardom gechén bekanén o gón wati dóstén Pulos o Bárnábáay hamráhiá, pa shomá ráh bedayén, 
ACT.15.26	hamá doén brátáni hamráhiá ke pa may 
ACT.15.27	May é doén kásed Yahudá o Silás, hamá habarán ke má pa shomá nebeshtagant, sarzobáni ham gwashant. 
ACT.15.28	 o má, hamé sharter zántag ke lahtén bonyádi gappán o abéd, gránén báré shomay kópagán maladdhén. 
ACT.15.29	Shomá cha botáni námá korbánig kortagén góshtá, cha hónay waragá, cha mordárén dalwatáni góshtá o cha zená o bénangiá pahréz bekanét. Cha é kárán watá dur dárag, pa shomá báz sharr ent. Wassh o salámat bátét.”
ACT.15.30	Randá, é gechén kortagén brát Antákiahá dém dayag butant. Ódá shot o 
ACT.15.31	Áyán é kágad wánt o cha eshiay deljami o delbaddhi dayókén kolawá báz wassh butant. 
ACT.15.32	Yahudá o Silás ke wat ham nabi atant, óday brátesh gón bázén habarán delbaddhi dát o áyáni báwaresh mohrter kort. 
ACT.15.33	Chizé wahdá ódá mantant o randá, brátán á pa wasshi o salámati roksat kortant o cha hamódá ke dém dayag butagatant, hamá jáhá per tarretant. 
ACT.15.35	Pulos o Bárnábá, Antákiahá mahtal butant o gón dega bázén mardomán hór but o 
ACT.15.36	Lahtén róchá o rand, Pulosá gón Bárnábáyá gwasht: “Sajjahén hamá shahrán ke má 
ACT.15.37	Bárnábáay wáhag at, Yuhannáyá ke Markás ham gwashag butagat, hamráh bekant, 
ACT.15.38	bale Pulos áiay hamráh kanagá razá naat chiá ke áiá, Pampiliahay damagá á yalah dátagatant o é káray tahá áyáni hamráh nabutagat. 
ACT.15.39	É dhawlá, Pulos o Bárnábá watmánwatá tepák nabut, nathahetant o cha yakdomiá jetá butant. Bárnábá, Markásay hamráhiá, bójigéá swár but o Kebresá shot. 
ACT.15.40	Bale Pulosá, Silás gechén kort o brátán á, Hodáwanday mehr o 
ACT.15.41	 mohr o zórmand kanán, cha Suriah o Kilikiahay damagán tarr o táb kanáná shot.
ACT.16.1	Padá Pulos, Derbeh o Lestrahay shahrán átk o raset. Lestrahá, Timutáus námén moridé hastat ke áiay mát 
ACT.16.2	Lestrah o Ekoniahay brátáni nyámá Timutáus báz néknámén mardé at. 
ACT.16.3	Pulosay wáhag at ke Timutáusá wati sát o sapará hamráh bekant, paméshká cha rawagá pésar, pa Yahudiáni háterá 
ACT.16.4	Shahr pa shahr tarrán butant o cha 
ACT.16.5	É dhawlá, 
ACT.16.6	Pulos o áiay hamráh cha Prijiah o Galátiahay damagán gwastant, chiá ke 
ACT.16.7	Wahdé Misiahay simsarán rasetant, Bitiniahay némagá rawagay johdesh kort bale Issáay Ruhá pa óday rawagá naeshtant. 
ACT.16.8	Gorhá cha Misiahá gwazán but o Truásay bandená átkant. 
ACT.16.9	Hamódá shapá Pulosá yak Makduni mardé pa shobén dist ke óshtátagat o mennat kanán at ke: “Daryáyá begwázén, 
ACT.16.10	Cha é shobéná rand, má
ACT.16.11	Má cha Truásá bójigá swár but o dém pa Sámutrákiay jazirahá shotén. Domi róchá cha ódá Nyápulisay bandená átk o rasetén. 
ACT.16.12	Cha ódá Pilipiá shotén, ke 
ACT.16.13	 róchá, cha shahray darwázagá dar kapt o kawray lambá shotén. May hayál at balkén ódá Yahudiáni zegr o dwáay jágahé bebit. Hamódá neshtén o gón lahtén janéná ke pa zegr o dwáyá átkagatant, habará goláésh butén. 
ACT.16.14	Janénáni nyámá, Lidiah námén Hodátorsén
ACT.16.15	Lidiahá gón wati lógay sajjahén mardomán 
ACT.16.16	Yak róché má zegr o dwáay jágahá rawagá atén, móledé distén. Móledá 
ACT.16.17	Á, Pulos o may randá átk o pa kukkár gwashagá at ke: “É mardom, borzén arshay Hodáay hezmatkár ant o shomárá rakkénagay yak ráhé sója dayant.” 
ACT.16.18	Áiá tán báz róchá anchosh gwashán kort. Godhsará, Pulos delrésh o bézár but, chakki tarrént o gón jenná gwashti: “Man tará pa Issá Masihay námá hokma dayán ke cha eshiá dar kap.” Hamá damáná jenn cha áiá dar átk. 
ACT.16.19	Wahdé móleday hodábondán dist ke áyáni nap o katthay omét halás but, gorhá áyán Pulos o Silás gept, kasshán kort o bázárá, shahray masteráni kerrá bortant. 
ACT.16.20	Káziáni démá pésh kortant o gwashtesh: “É mardom Yahudi ant o may shahrá jérhah o pléndhi kanagá ant. 
ACT.16.21	Má Rumi én o é márá anchén dód o rabédag tálim dayagá ant ke áyáni mannag o kár bandag pa má rawá naent.” 
ACT.16.22	É dega mardom ham gón but o Pulos o Silasay démá óshtátant. Shahray masterán parmán dátant ke Pulos o Silasay pocchán bekasshant o áyán latth bejanant. 
ACT.16.23	Cha bázén latth o kotthá rand, bandijáhá bort o bandesh kortant. Bandijáhay negahpánesh parmán dát ke áyáni negahpániá sharr delgósh bekant. 
ACT.16.24	Hamé hokmay sará, bandijáhay negahpáná bandijáhay tók tóki kóthiá bortant o áyáni pád konthband kortant.
ACT.16.25	Shapnémá, Pulos o Silás jélay tahá dwá kanán, Hodáyá satá kanagá atant. É dega bandig gósh dáragá atant. 
ACT.16.26	Anágat, mazanén zeminchandhé but ke bandijáhay bonred,
ACT.16.27	Jélay negahpán, cha wábá pach larzet o ágáh but, disti ke bandijáhay sajjahén darwázag pach ant, gománi kort ke kaydi tatkag o shotagant. Nun pa watkoshiá zahmi kasshet. 
ACT.16.28	Bale Pulosá tawár kort o gwasht: “Watá táwán maday, má sajjahén wati jágahá én.” 
ACT.16.29	Jélay negahpáná cherágé lóthet o tacháná bandijáhay tóká shot o gón drahagá Pulos o Silásay pádán kapt. 
ACT.16.30	Á cha jélá dar kortant o gwashti: “Oo wájahán! Man pa wati rakkagá ché bekanán?” 
ACT.16.31	Áyán passaw dát: “
ACT.16.32	Áyán Hodáwandén Issáay wasshén kolaw pa áiá o áiay lógay sajjahén mardomán rasént. 
ACT.16.33	Shapay wahdá, Pulos o Silási gón wat bortant o áyáni thappi shoshtant. Á o áiay lógay mardomán hamá damáná 
ACT.16.34	Randá áiá wati lógá bort o warag dátant, áiay jend o áiay lógay sajjahén mardom, cha áiay Hodábáwariá gal o shádán butant.
ACT.16.35	Domi róchá, kázián wati kárdár jélay negahpánay gwará ráh dátant ke: “É mardomán yalah beday.” 
ACT.16.36	Jélay negahpáná Pulos hál dát o gwasht: “Maná cha káziáni némagá parmán rasetag ke shomárá yalah bedayán. Paméshká shomá pa wasshi o salámati berawét.” 
ACT.16.37	Pulosá passaw dát: “Má 
ACT.16.38	Kárdárán, é passaw pa kázián rasént. Wahdé sahig butant ke á doén Rumi báshendah ant, torsetesh. 
ACT.16.39	Nun wat áyáni kerrá átkant o cha áyán pahelliesh lóthet o mennatwár butant ke cha é shahrá berawant. 
ACT.16.40	Cha bandijáhá dar áyagá rand, Pulos o Silás Lidiahay lógá shotant o gón 
ACT.17.1	Pulos o Silás, cha Ampipulis o Apuluniahay shahrán gwastant o Tesálunikiá átkant, Yahudián ódá 
ACT.17.2	Pulos wati hél o ádatay sará kanisahá shot o tán say 
ACT.17.3	Áiá gón bázén bayán o mohrén dalilán paddar kort ke 
ACT.17.4	Cha Yahudián lahtén, anchosh ham cha á Hodátorsén Yunánián o dega mazanén rombé cha námdárén janénán, é habar pa del mannetant o Pulos o Silásay hamráh butant. 
ACT.17.5	Bale Yahudián gón Pulos o Silásá hasadd kort. Cha bázárá lahtén lát o lóparén mardom mocch kort, rombé jórhént o shahray tahá shóreshesh kort. Áyán, Pulos o Silasay shóház o mardománi mocchiay démá áragá, Yásunay lógay sará orosh bort. 
ACT.17.6	Bale wahdé nadistantesh, Yásun o dega lahtén 
ACT.17.7	Yásuná ham wati lógá bortagant. Rumay 
ACT.17.8	Cha é habaráni eshkonagá, mardom o shahray masterán torset o deltaparkah butant. 
ACT.17.9	Cha Yásun o áiay hamráhán mánzamánesh
ACT.17.10	Anchosh ke shap but, brátán Pulos o Silás Biriahay shahrá ráh dátant. Óday rasagá, Yahudiáni 
ACT.17.11	É shahray Yahudi cha Tesálunikiay shahray Yahudián wáhagdárter
ACT.17.12	Cha áyán bázénéá báwar kort o dega bázén námdárén Yunáni mardén o janéné ham 
ACT.17.13	Wahdé Tesálunikiay Yahudi sahig butant ke Pulos Biriahay shahrá Hodáay habará sheng o tálán kanagá ent, hamódá shotant, mardomesh shórént o shahrá áshópesh pád kort. 
ACT.17.14	Gorhá, brátán eshtápi Pulos tayábá bort o rasént, bale Silás o Timutáusá Biriahá dásht. 
ACT.17.15	Pulosay hamráhén roksat kanók, gón áiá tán Átenay shahrá átkant. Cha Pulosá é parmánesh gept ke Silás o Timutáus watá zut áiay kerrá berasénant, nun per tarretant.
ACT.17.16	Wahdé Pulos, Átenay shahrá pa Silás o Timutáusay áyagá wadárig o rahchár at, áiá dist ke shahr cha botán porr ent. Báz gamig o delranj but. 
ACT.17.17	Paméshká 
ACT.17.18	Ódá, lahtén Epikuri o Estuiki
ACT.17.19	Áyán Pulos, “Ariupágusá”
ACT.17.20	Tai habar may góshán ajab ant o má esháni mánáyá zánaga lóthén.” 
ACT.17.21	Átenay molki o darmolki sajjahén mardomán, abéd cha é kárá dega káré néstat ke benendant o nókén hál o jáwaráni bárawá gapp o trán bekanant o beshkonant.
ACT.17.22	Nun Pulos, Ariupágusay diwánjáhá óshtát o tráni kort: “Oo Átenay jahmenendán! Man gendagá án ke shomá báz dindóstén mardom ét. 
ACT.17.23	Wahdé shahray sayl o sawádá dar kaptán, bázén bot o korbánjáhon distant, áyáni tahá yak anchén korbánjáhé ham diston ke ódá nebeshtagat: ‘Pa hamá Hodáyá ke zánag nabutag.’ Hamá Hodá ke shomá áiá angata nazánét bale áiá 
ACT.17.24	Á Hodá hamá ent ke é 
ACT.17.25	Á pa Ensánay hech chizá wázmand naent o hechkas pa áiá hezmaté korta nakant, chiá ke á wat har kasá zend o sáha bakshit o ensánay é dega lóth o garazán ham sarjama kant. 
ACT.17.26	Áiá donyáay sajjahén mardom cha yakkéá pédá kortag o sajjahén kawm o kothom donyáay chárén kondhán tálán kortagant. Áyáni dawr o bárig o hand o jágaháni marz o simsari ham, pésará gisshéntagant, 
ACT.17.27	tán mardom Hodáyá shóház bekanant o balkén áiá dar begéjant, bale rásti esh ent ke á cha má hechkasá dur naent. 
ACT.17.28	‘Chiá ke may zend, jonzag
ACT.17.29	Agan má Hodáay poshtpad én, gorhá nabáyad ent má Hodáyá gón sohr, nograh o sengá addh kortagén botán hamdarwar bekanén ke mardomán gón wati hayál o honará jórhéntagant. 
ACT.17.30	Hodá, cha ensánay pésarigén zamánagáni é názántiá sar gwastag, bale nun á har jágah harkasá parmán dayagá ent ke pashómán bebét. 
ACT.17.31	Chiá ke áiá yak róché gisshéntag ke á róchá donyáay sajjahén mardománi kortagén kárán gón ensáp dádrasi o dáwaria kant o pa é maksadá yakké gechéni kortag. Hodáyá á paméshká cha mordagán zendag kort ke pa harkasá é habaray rásti pakká bebit.”
ACT.17.32	Wahdé áyán Pulosay é habar eshkot ke Hodá mordagán padá zendaga kant, lahténá áiay sará malandh o maskará kort, bale dega lahténá gwasht: “É bárawá dega baré márá géshter sarpad kan.” 
ACT.17.33	Gorhá Pulos, cha diwáná dar átk. 
ACT.17.34	Lahtén mardomá áiay habar mannet o Issáay sará 
ACT.18.1	Randá, Pulos cha Átenay shahrá dar átk o Korentay shahrá shot. 
ACT.18.2	Ódá gón Akwilá námén yak Yahudiéá dochár kapt
ACT.18.3	Akwilá o Priskilá ham Pulosay dhawlá gedándóch atant. Paméshká Pulos hamáyáni kerrá mant o gón áyán hamkár but. 
ACT.18.4	Har 
ACT.18.5	Wahdé Silás o Timutáus cha 
ACT.18.6	Wahdé Yahudián Pulosay habar namannetant o áesh bad o rad gwasht, Pulosá wati gwaray kabáh dar kort o á shahray danz áyáni démá chandhetant o gwashti: “Man wati kár kortag. Nun shomay hón shomay wati gardená ent o man bémayár án. Cha ed o rand, Hodáay habará 
ACT.18.7	Gorhá, cha áyáni 
ACT.18.8	Kanisahay masteray nám, Krispus at. Áiá gón wati lógay sajjahén mardomán, 
ACT.18.9	Yak shapé, 
ACT.18.10	Hechkas tará dasta najant o táwán dáta nakant chiá ke man tai posht o panáh án. É shahrá mani 
ACT.18.11	Gorhá, tán yak sál o shash máhá hamódá dáshti o mardomi 
ACT.18.12	Á wahdá ke Galliu Akáyahay
ACT.18.13	Gwashtesh: “É mard, cha Mussáay 
ACT.18.14	Wahdé Pulosá habar kanagi at, Galliuá dém gón Yahudián kort o gwashti: “Oo Yahudián! Agan é mardá mayáré yá mazanén radén káré bekortén, man shomay habar gósh dáshtagat. 
ACT.18.15	Bale shomay jérhah, labz o nám o shomay Yahudi Sharyatay bárawá ent, paméshká shomá bezánét o shomay kár. Man é káráni tahá pád mána nakanán.” 
ACT.18.16	Áiá mardom cha hakdiwáná dhanná dar kortant. 
ACT.18.17	Gorhá, áyán 
ACT.18.18	Pulosá Korentay shahrá angat bázén róché gwázént o randá bráti roksat kortant, bójigá nesht o Suriahá ráhi but. Priskilá o Akwilá áiay hamráh atant. Cha Kenkriahay bandená bójigay swár bayagá pésar, áiá wati mud chet o gwandh kortant, chiá á kawl ke áiá pa Hodáay námá kortagat, nun wahdi gwastagat.
ACT.18.19	Wahdé Epesosay bandená rasetant, Pulosá wati hamráh Priskilá o Akwilá yalah dátant o wat 
ACT.18.20	Áyán dazbandi kort géshterén wahdé bejallit, bale Pulosá namannet. 
ACT.18.21	Cha áyán roksati gept o gwashti: “Agan Hodáay razá bebit, dega baré shomay kerrá káyán.” Gorhá bójigéá nesht o cha Epesosá dar átk. 
ACT.18.22	Mán Kaysariahá ér átk o Urshalimá shot o cha óday 
ACT.18.23	Pulos Antákiahá kammé wahdá mahtal but o padá cha ódá dar átk o Galátiah o Prijiahá tarr o táb kanán, gón moridán gend o nendia kort o áyáni setk o báwari mohr o rédag kanána kort. 
ACT.18.24	Hamá wahdá Apulos námén yak Yahudié Epesosay shahrá átk ke Eskandariahá pédá butagat, wánendah o habarzánté at o Pákén Ketábán sharr balad at. 
ACT.18.25	Áiá 
ACT.18.26	Áiá pa deléri 
ACT.18.27	Apulosá ke Akáyahay rawagay shawr kort, gorhá Epesosay shahray brátán delbaddhi dát o pa óday moridánesh nebesht ke áiá pa delgarmi wasshátk bekanant. Wahdé Apulos ódá raset, óday hamá mardomi báz komak kortant ke cha Hodáay 
ACT.18.28	chiá ke áiá sajjahénáni démá gón Yahudián gapp o trána kort o áyáni báwari
ACT.19.1	Hamá zamánagá ke Apulos Korentá at, Pulos ham cha molkay nyámi hand o damagán gwazán, Epesosay shahrá átk o raset. Ódá lahtén moridi dist. 
ACT.19.2	Cha áyán josti gept: “Wahdé shomá Issá Masihay sará báwar kort, 
ACT.19.3	Gwashti: “Gorhá shomá chónén 
ACT.19.4	Gwashti: “Yahyáay pákshódi, gonáháni pashómániay pákshódi at. Yahyáyá wat gón mardomán gwashtagat: ‘Hamá kasé ke cha man o randa kayt, bezán Issá, shomá hamáiay sará báwar kanét.’” 
ACT.19.5	Cha é habaray eshkonagá rand, áyán 
ACT.19.6	Pulosá wati dast áyáni baddhá jat o Pákén Ruh áyáni delá potert, nun á nókén zobánán habar kanagá laggetant o paygambariesha kort. 
ACT.19.7	Á, kesás dwázdah mardom atant.
ACT.19.8	Pulos tán say máhá 
ACT.19.9	Bale cha áyán lahtén sarkash o yági but o áiay habaresh nazort o mardománi démá “É Ráhesh” bad o rada gwasht. Paméshká Pulosá watá cha áyán yak kerrá dásht. Moridi zortant o har róch mán Tiránus námén mardéay tálárá
ACT.19.10	Tán do sálá hamé kári kort o é dhawlá pa Ásiáay damagay sajjahén mardomán, Yahudi o Yunánián ham, 
ACT.19.11	Hodáyá cha Pulosay dastá ajabén mójezah pésha dásht. 
ACT.19.12	Har dazmál o godé ke áiá belaggetén o pa nádráhánesh per bemoshtén, á wassh o dráha butant o 
ACT.19.13	Yahudi sáheráni yak thóliéá shahr pa shahr tarr o garda kort. Pa chakkásá, 
ACT.19.14	Yahudiáni yak mazanén dini péshwáé ke námi Eskiwá at, áiay hapt bachakán é kára kort. 
ACT.19.15	Palitén ruhá á passaw dátant o gwashti: “Issáyá mana zánán, Pulosá ham pajjáha kárán, bale shomá kay ét?” 
ACT.19.16	Hamé mardá ke jenn per at, koppi kort o áyáni chakká kapt. Sarzór but o á jándará o thappi, cha á lógá tatkant. 
ACT.19.17	Cha é hálay eshkonagá, Epesosay shahray sajjahén mardomán, Yahudi o Yunáni doénán, báz torset o Hodáwandén Issáay námesh satá o saná kort. 
ACT.19.18	Bázéné ke 
ACT.19.19	Lahténá ke pésará jádugari kortagat, wati jádugari ketáb o daptar áwort o mardománi démá sótkant. Wahdé sótkagén ketábáni kimmatay hesábesh kasshet, zánag but ke panjáh hazár derhamay
ACT.19.20	É dhawlá, Hodáwanday habar gón géshterén zór o wáké sheng o tálána but.
ACT.19.21	Cha é káráni sarjamiá rand, Pulosá wati delá shawr kort 
ACT.19.22	Áiá cha wati komakkárán do mardom, Timutáus o Erastus Makduniahá rawán kortant o wat kammé wahd géshter Ásiáay damagá mahtal but. 
ACT.19.23	Hamá wahdá Epesosay shahrá “É Ráhay” bárawá mazanén shóreshé chest but. 
ACT.19.24	Shóresh é dhawlá but ke Epesosay shahrá Dimitrius námén zargaré hastat ke áiá Ártemisay
ACT.19.25	Áiá, shahray sajjahén honarmand o é péshahay mardom lóthet o mocch kortant. Gón áyán gwashti: “Oo wájahán! Anchosh ke shomá zánét, é kár may hastómandiay sarchammag
