GEN.1.1	Naãrãed̶a Ãcõrẽba bajãda idjab̶a naʌ̃ ẽjũãda osia. 
ACT.4.7	Maʌ̃ne ãdjirãba Pedrora Juaʌ̃ sid̶a enebisid̶aa. Ãdjirã quĩrãpita nũmʌnaped̶a nãwã iwid̶isid̶aa:
ACT.4.7	–Jãʌ̃ ẽberã jĩrũ biẽ́ b̶ad̶ara bãrãba ¿cai ʌb̶ʌad̶eba biabisid̶a? ¿Cai trʌ̃neba jãwã osid̶a?–
ACT.4.8	Maʌ̃ne Pedroba Ãcõrẽ Jaured̶eba nãwã panusia:
ACT.4.8	–Dadji purud̶ebema bororã, Israeld̶ebema drõãrã dji dromarã: 
ACT.4.9	id̶i bãrãba daira cawa obʌdaa ẽberã jĩrũ biẽ́ b̶ad̶a carebaped̶ad̶a carea. Iwid̶i panʌa idjira sãwã biasida. 
ACT.4.10	Mãẽteara daiba ebud̶a panunia bãrãba, jũma israelerã bid̶a bio cawad̶amãrẽã. Naʌ̃gʌ ẽberã bãrã quĩrãpita nũmʌra Jesucrito Nazared̶ebema ʌb̶ʌad̶eba biasia.
ACT.4.11	Ãcõrẽ cartad̶e b̶ʌ́ b̶ʌa: “De obadaba mõgara igaraped̶ad̶ara dji biara b̶ʌda b̶esia.”
ACT.4.12	Ab̶a idjiabʌrʌ dadjirãra poya ẽdrʌ edaya. Idji awara Ãcõrẽba ni ab̶aʌda naʌ̃ ẽjũãne b̶ʌẽ́ basía ẽberãrã ẽdrʌ edamãrẽã.–
ACT.4.13	Dji bororãba Pedro, Juaʌ̃ sid̶a ne wayaa neẽ́ bed̶ea panʌda unusid̶ad̶e cawa crĩchad̶aẽ́ basía. Ãdjirãba cawa panasid̶aa Pedrora Juaʌ̃ sid̶a mãcua carta cawa panʌẽ́da. Maʌ̃ awara cawasid̶aa ãdjira Jesu ume nĩbabadjid̶ada. 
ACT.4.14	Baribʌrʌ dji ẽberã biad̶ara ãdji ume nũmʌ bẽrã ãdjira poya biẽ́ jarad̶aẽ́ basía. 
ACT.4.15	Maʌ̃ne dji bororãba Pedroa, Juaʌ̃a bid̶a jarasid̶aa dajadaa jʌ̃ãne wãnamãrẽã. Maʌ̃be ara ãdjidub̶a bed̶easid̶aa. 
ACT.4.16	Nãwã jarasid̶aa:
ACT.4.16	–Jãʌ̃ ẽberãrãra ¿sãwã od̶i? Ãdjia maʌ̃ ne ununaca od̶aped̶ad̶ara jũma Jerusaleʌ̃nebemarãba cawa panʌa. Dadjia poya sewaad̶a ad̶aẽ́a. 
ACT.4.17	Baribʌrʌ maʌ̃nebemada dewararãa idu cawabid̶a amaaba jãʌ̃ Jesuare panʌrãa waragad̶ia idji trʌ̃neba waa bed̶earãnamãrẽã.–
ACT.4.18	Ara maʌ̃da Pedrora Juaʌ̃ sid̶a waya trʌ̃naped̶a ebud̶a jarasid̶aa ni maãrĩ bid̶a Jesud̶ebemada bed̶earãnamãrẽã idjab̶a jaradiarãnamãrẽã. 
ACT.4.19	Baribʌrʌ Pedroba, Juaʌ̃ bid̶a jarasid̶aa:
ACT.4.19	–Bio crĩchad̶adua. ¿Biara b̶ʌca Ãcõrẽda ĩjãnida wa bãrãba jara panʌda ĩjãnida? Daimaarã biara b̶ʌa Ãcõrẽdrʌ ĩjãnida. 
ACT.4.20	Daiba unuped̶ad̶ada, ũrĩped̶ad̶a sid̶a jaradia panania. Poya chupead̶aẽ́a.–
ACT.4.21	Maʌ̃be dji bororãba wetara waragad̶aped̶a Pedrora Juaʌ̃ sid̶a ẽdrʌ b̶ʌsid̶aa. Puruda waya panʌ bẽrã cawad̶aẽ́ basía sãwã cawa od̶ida. Dji ẽberã biad̶a carea jũmarãda Ãcõrẽa bia bed̶ea duanasid̶aa. 
ACT.4.22	Maʌ̃ ẽberã ne ununacad̶eba biad̶ara cuarenta poa aud̶u b̶asia.
ACT.4.23	Pedrora Juaʌ̃ sid̶a preso pananada ẽdrʌd̶aped̶a waabema Jesu ĩjã b̶ea ãbaa duanʌmaa wãsid̶aa. Maʌ̃be sacerdote bororãba, drõãrã dji dromarã bid̶a ãdjía jaraped̶ad̶ada jũma nẽbʌrʌsid̶aa. 
ACT.4.24	Maʌ̃ ũrĩsid̶ad̶e jũma ãbaa Ãcõrẽa iwid̶isid̶aa:
ACT.4.24	–Dai Boro jũma poya b̶ʌ, bʌabʌrʌ bajãra, naʌ̃ ẽjũãra, pusara, jũma ãdjid̶e nũmʌ sid̶a osia. 
ACT.4.25	Bʌ Jaured̶eba bʌ nezoca Davia nãwã jarabisia:
ACT.4.25	¿Cãrẽ cãrẽã judiorãẽ́ puru b̶eara quĩrũ duanʌ? ¿Cãrẽ cãrẽã puru b̶eara ãdji quĩrĩãbe bed̶ea au panʌ djõni carea?
ACT.4.26	Druazabema bororãda dji dromarã ume ãbaa dji jʌresid̶aa dadji Ãcõrẽ ume, idjia b̶ʌd̶a Boro ume bid̶a djõni carea.
ACT.4.27+ACT.4.28	Ara maʌ̃ quĩrãca naʌ̃ purud̶e Herodeda, Poncio Pilatoda, judiorãẽ́da, dadji Israel puru sid̶a dji jʌred̶aped̶a bed̶ea ausid̶aa bʌ nezoca jipa b̶ʌ Jesu bead̶i carea.
ACT.4.29	Dai Boro, acʌdua sãwã ãdjirãba dairãra waraga panʌda. Sozarrada dairã bʌ nezocarãa diadua bʌ bed̶eara ne wayaa neẽ́ jarad̶i carea. 
ACT.4.30	Bʌ ʌb̶ʌa sid̶a diadua cacua biẽ́ b̶eara biabid̶i carea idjab̶a bʌ nezoca jipa b̶ʌ Jesu trʌ̃neba ne ununacada od̶i carea.–
ACT.4.31	Ãcõrẽa iwid̶iped̶ad̶acarea ãdji duanʌ dera uresia. Maʌ̃ne jũmarãda Ãcõrẽ Jaured̶eba duanesid̶aa. Maʌ̃ba Ãcõrẽ bed̶eara ne wayaa neẽ́ jara duanesid̶aa.
ACT.4.32	Maʌ̃ ewarid̶e Jesu ĩjã b̶eara ab̶ari crĩchad̶eba, ab̶ari sod̶eba ãbaa bia duanasid̶aa. Ni ab̶aʌba jarad̶aca basía idjia ne erob̶ʌra ab̶abe idjid̶eda, ãtebʌrʌ ãdjia erob̶eaba dji carebabadjid̶aa. 
ACT.4.33	Jesuba diabued̶arãba Ãcõrẽ ʌb̶ʌad̶eba dadji Boro Jesu ʌ̃rẽbad̶ad̶ebemada ebud̶a jaradiabadjid̶aa. Idjab̶a Ãcõrẽba idji biad̶eba djabarãra bio carebabadjia.
ACT.4.34+ACT.4.35	Maʌ̃ bẽrã ãdjirã tãẽna ne neẽ́ b̶eara neẽ́ basía. Ẽjũã erob̶eaba ãdji ẽjũãra nẽdobuebadjid̶aa idjab̶a de erob̶eaba ãdji dera nẽdobuebadjid̶aa. Nẽdobued̶aped̶a dji paratara Jesuba diabued̶arãmaa edebadjid̶aa cawa jed̶ecad̶amãrẽã. Djaba ab̶a ne neẽ́ b̶ebʌrʌd̶e parata diabadjid̶aa.
ACT.4.36	Maʌ̃ne ẽberã Jose abadada ãdjirã ume b̶asia. Jesuba diabued̶arãba idjira trʌ̃ b̶ʌsid̶aa Bernabe. (Bernabe trʌ̃ba jara b̶ʌa “Sobiabibari Warra.”) Idjira Levid̶eba yõna basía. Chipre druad̶e tosid̶aa. 
ACT.4.37	Maʌ̃ Bernabeba ẽjũãda nẽdobueped̶a dji paratara Jesuba diabued̶arãba cawa jed̶ecad̶amãrẽã edesia.
ACT.5.1	Idjab̶a ẽberã Ananía abadada b̶asia.
ACT.5.2	Baribʌrʌ Ananíara dji quima ume bed̶ea aud̶aped̶a dji paratara jũma diaẽ́ basía. Mãwãmĩna Jesuba diabued̶arãba cawa jed̶ecad̶amãrẽã diabʌrʌd̶e jũma diabʌrʌad̶a asia. 
ACT.5.3	Maʌ̃ne Pedroba jarasia:
ACT.5.3	–Ananía, bʌa ¿cãrẽ cãrẽã diaurura bʌ sod̶e idu ed̶a wãbisi? Bʌa Ãcõrẽ Jaurea sewada o b̶ʌa. Bʌ ẽjũã nẽdobued̶ad̶ebema paratara ʌ̃cʌrʌ mẽrã erob̶ʌa. 
ACT.5.4	Jãʌ̃ ẽjũãra ¿bʌreẽ́ basica? Nẽdobueped̶a dji parata sid̶a ¿bʌreẽ́ basica? Jũma dia quĩrĩãẽ́ basibʌrʌ ¿cãrẽ cãrẽã jãwã bʌ sod̶e sewa oida crĩchasi? Bʌa ẽberãa sewa oẽ́ basía, ãtebʌrʌ Ãcõrẽa sewa osia.–
ACT.5.5	Maʌ̃ ũrĩsid̶e Ananíara ab̶ed̶a beu b̶aesia. Maʌ̃nebema ũrĩped̶ad̶ara bio ne wayasid̶aa. 
ACT.5.6	Maʌ̃be ʌ̃cʌrʌ cũdrarãba dji bẽwãrãra wuaba bʌrad̶aped̶a tʌb̶arid̶e edesid̶aa.
ACT.5.7	Dãrãẽ́ne Ananía quima Sapirada jũẽsia.
ACT.5.8	Pedroba idjía iwid̶isia:
ACT.5.8	–Mʌ̃́a jaradua ¿bãrã ẽjũãra nẽdobuesid̶aca bʌ quimaba parata enena quĩrãca?–
ACT.5.8	Sapiraba panusia:
ACT.5.8	–Mãẽ, jãʌ̃gʌ nẽbʌad̶e nẽdobuesid̶aa.–
ACT.5.9	Maʌ̃ bẽrã Pedroba jarasia:
ACT.5.9	–Bãrãra ¿cãrẽ cãrẽã sewa od̶i carea bed̶ea ausid̶a dadji Boro Jaureba sãwã oi cawaya? ¡Acʌdua! Bʌ quima tʌb̶arid̶e wã pananada awuá zebʌdaa. Ara nawena bʌ sid̶a tʌb̶arid̶e eded̶ia.–
ACT.5.10	Ara maʌ̃ jarabʌrʌd̶e idjira Pedro jĩrũ caita beu b̶aesia. Cũdrarã ed̶a jũẽbʌdad̶e unusid̶aa idjira beu tab̶ʌda. Maʌ̃ne dajadaa eded̶aped̶a dji quima caita tʌb̶arisid̶aa. 
ACT.5.11	Maʌ̃ carea djabarãra, jũma maʌ̃nebema ũrĩped̶ad̶a sid̶a ne wayasid̶aa.
ACT.5.12	Maʌ̃ ewarid̶e Jesuba diabued̶arãba ne ununacada zocãrã ocuabadjid̶aa. Mãwã cawabisid̶aa Ãcõrẽra ãdjirã ume b̶ʌda. Ab̶ari crĩchad̶eba jũma djabarãda Ãcõrẽ de droma mõgaraba aud̶u jũrã ca b̶ʌ ed̶aare ãbaa dji jʌrebadjid̶aa. Dji jʌre pananama Salomoʌ̃ abadaa. 
ACT.5.13	Djabarã awara ne wayaaba ni ab̶aʌda ãdjirã ume pananaẽ́ basía, baribʌrʌ zocãrãba ãdjirãnebemada bia bed̶ea duanasid̶aa. 
ACT.5.14	Maʌ̃ne zocãrã umaquĩrãrãba wẽrãrã bid̶a dadji Borora ĩjãsid̶aa. Mãwã idji ĩjã b̶eara yõ wãsid̶aa. 
ACT.5.15	Jesuba diabued̶arãba ne ununacada zocãrã o panʌ bẽrã ẽberãrãba cacua biẽ́ b̶eada o icawa cʌd̶ad̶e wa jueporod̶e b̶ʌbadjid̶aa Pedro wãyã wãbʌrʌd̶e idji cacua jaureba waramãrẽã. 
ACT.5.16	Zocãrã ẽberãrã Jerusaleʌ̃ caita b̶ea purud̶ebema bid̶a cacua biẽ́ b̶eada, jai bara b̶ea sid̶a ãdjimaa edebadjid̶aa. Maʌ̃be jũmarãda biacuabadjid̶aa. 
ACT.5.17	Jesuba diabued̶arãmaa zocãrã wã panʌ carea sacerdote dji dromada, jũma saduceorã idjiare b̶ea sid̶a sod̶e biẽ́ duanesid̶aa. 
ACT.5.18	Maʌ̃ carea Jesuba diabued̶arãra jidad̶aped̶a preso b̶ʌcuasid̶aa. 
ACT.5.19	Baribʌrʌ ara maʌ̃ diamasi dadjirã Boro nezoca bajãnebemaba dji ed̶a wãbadara ewaped̶a ãdjirãra ẽdrʌ b̶ʌsia. Maʌ̃be jarasia:
ACT.5.20	–Ãcõrẽ de dromanaa wãnaped̶a ẽberãrãa dadji zocai b̶ai djiwid̶id̶ebemada jarad̶adua.–
ACT.5.21	Ãdjia ũrĩped̶ad̶ara ĩjãsid̶aa. Nurẽma diaped̶a Ãcõrẽ de dromanaa wãnaped̶a jaradia panesid̶aa. Maʌ̃misa sacerdote dji dromaba, idji ume duanʌ bid̶a jũma Israeld̶ebema drõãrã dji dromarãda trʌ̃sid̶aa ãbaa dji jʌred̶i carea. Maʌ̃ne Ãcõrẽ de dromanebema zarrarãda preso b̶ʌbada ded̶aa wãbisid̶aa Jesuba diabued̶arã jʌrʌd̶e wãnamãrẽã. 
ACT.5.22	Baribʌrʌ zarrarãra preso b̶ʌbada ded̶e jũẽsid̶ad̶e ãdjirãra ununaẽ́ basía. Maʌ̃ bẽrã jẽda jarad̶e wãsid̶aa. 
ACT.5.23	Zarrarãba dji dromarãa nãwã jarasid̶aa:
ACT.5.23	–Dairãba preso b̶ʌbada dera bio jũãtrʌ b̶ʌda idjab̶a zarrarãda dji ed̶aa wãbadaza panʌda unusid̶aa, baribʌrʌ ewa acʌbʌdad̶e ni ab̶aʌda ununaẽ́ basía.–
ACT.5.24	Maʌ̃ ũrĩsid̶ad̶e Ãcõrẽ de dromanebema zarrarã boroba, sacerdoterã bororã bid̶a cawa crĩchad̶aẽ́ basía idjab̶a cawad̶aẽ́ basía mamaʌba ʌ̃taa cãrẽda sãwãida.
ACT.5.25	Mãwã duanʌne ẽberãda ed̶a zeped̶a jarasia:
ACT.5.25	–¡Bãrãba preso b̶ʌped̶ad̶arãba Ãcõrẽ de droma dajada jaradia panʌa!–
ACT.5.26	Maʌ̃ ũrĩsid̶ad̶e Ãcõrẽ de dromanebema zarrarãra, ãdji boro sid̶a Jesuba diabued̶arã jʌrʌd̶e wãsid̶aa. Baribʌrʌ enebʌdad̶e biẽ́ od̶aẽ́ basía. Wayasid̶aa puruba ãdjida mõgaraba tab̶ari bead̶ida. 
ACT.5.27	Enenaped̶a dji jʌre duanʌ quĩrãpita nũmʌsid̶aa. Maʌ̃be sacerdote dji dromaba ãdjirãa jarasia:
ACT.5.28	–Naẽna dairãba bio jarasid̶aa bãrãba jãʌ̃ ẽberã trʌ̃neba waa jaradiarãnamãrẽã. Baribʌrʌ bãrãba jũma Jerusaleʌ̃nebemarãa jaradia panʌa. Maʌ̃ awara jãʌ̃ ẽberã beaped̶ad̶a carea daidrʌ bed̶ead̶e b̶ʌ́ quĩrĩã panʌa.–
ACT.5.29	Maʌ̃ne Pedroba, Jesuba diabued̶arã waabemarã bid̶a panusid̶aa:
ACT.5.29	–Ẽberãrãba jara panʌ cãyãbara Ãcõrẽba jara b̶ʌdrʌ ĩjãnida panʌa. 
ACT.5.30	Bãrãba Jesura crud̶e cachi beasid̶aa.
ACT.5.31	Ãcõrẽba Jesura dadjirã Boroda b̶amãrẽã idji jʌwa araare b̶ʌsia. Idjab̶a dadji Ẽdrʌ Edabarida b̶ʌsia. Idjid̶eba israelerãba cadjiruara igarad̶aped̶a waya Ãcõrẽmaa poya zed̶ia. Mãwãra ãdjirãba cadjirua oped̶ad̶ara Ãcõrẽba quĩrãdoaya. 
ACT.5.32	Maʌ̃gʌd̶ebemada dairãba ebud̶a jarabadaa. Ãcõrẽ Jaure bid̶a ab̶arida jarabaria. Ãcõrẽba idji Jaurera idji ĩjãbʌdarãa diabaria.–
ACT.5.33	Maʌ̃ ũrĩsid̶ad̶e dji dromarãra bio quĩrũsid̶aa. Maʌ̃ba Jesuba diabued̶arãra bea quĩrĩã panesid̶aa. 
ACT.5.34	Maʌ̃ne pariseo Gamaliel abadada b̶asia. Maʌ̃ Gamalielera judiorã ley jaradiabari dji droma basía. Jũmarãba idjira bio waya panasid̶aa. Gamalielera piradrʌped̶a Jesuba diabued̶arãra dajadaa edebisia. 
ACT.5.35	Maʌ̃be dji dromarãa jarasia:
ACT.5.35	–Achirã Israeld̶ebema, bãrãba maʌ̃ ẽberãrã sãwã od̶id̶ebemada bio crĩchad̶adua. 
ACT.5.36	Ẽberã Teudá sãwãnada quĩrãnebad̶adua. Maʌ̃ra dãrãẽ́ b̶ʌa. Maʌ̃ ẽberãba ara idjida dji dromaana abadjia. Maʌ̃ bẽrã cuatrociento ẽberãrãba idjira ẽpẽsid̶aa. Baribʌrʌ romanorãba idji beasid̶ad̶e jũma idji ume nĩbaped̶ad̶ara memenesid̶aa. Maʌ̃be jũma idjia oi crĩcha b̶ad̶ara jõsia. 
ACT.5.37	Mãwãnacarea Romanebema boroba jũmarãda juachabisia. Maʌ̃ ewarid̶e ẽberã Juda Galilead̶ebemada b̶asia. Maʌ̃ Judaba ẽberãrãra zocãrã idji ume eronĩbasia. Baribʌrʌ romanorãba idji beasid̶ad̶e jũma idji ume nĩbaped̶ad̶ara memenesid̶aa. 
ACT.5.38	Maʌ̃ carea mʌ̃a jaraya: naʌ̃gʌ ẽberãrãra idu b̶ʌd̶adua. Ãdjirãra biẽ́ orãnadua. Ãdjia o panʌra, ãdjia oi crĩcha panʌ sid̶a ara ãdji crĩchad̶eba ze b̶ʌbʌrʌ, dãrãẽ́ne jũma jõya. 
ACT.5.39	Baribʌrʌ Ãcõrẽba obi b̶ʌbʌrʌ, bãrãba poyad̶aẽ́a. Maʌ̃ bẽrã quĩrãcuita b̶ead̶adua Ãcõrẽ ume djõna amaaba.–
ACT.5.39	Gamalielba jarad̶ara jũmarãba ĩjãsid̶aa. 
ACT.5.40	Maʌ̃be Jesuba diabued̶arãra wayacusa ed̶aa trʌ̃sid̶aa. Soaba ubid̶aped̶a ãdjirãa jarasid̶aa waa Jesu trʌ̃neba ẽberãrãa bed̶earãnamãrẽã. Maʌ̃be ẽdrʌ b̶ʌsid̶aa. 
ACT.5.41	Ara maʌ̃da Jesuba diabued̶arãra dji dromarã ãbaa jʌre panʌmaʌba b̶ʌsrid̶a wãsid̶aa. Cawasid̶aa Ãcõrẽba ãdjirãra bia unusida, Jesu ĩjã panʌ carea idu bia mĩgabid̶a bẽrã. 
ACT.5.42	Ãcõrẽ de droma dajadaare, ẽberãrã deza bid̶a ãdjirãba ewariza chupead̶aẽ́ Jesucritod̶ebemada jaradiabadjid̶aa. Ebud̶a jarabadjid̶aa Jesura Ãcõrẽba ẽdrʌ edabari diai jarad̶ada.
ACT.6.1	Maʌ̃ ewarid̶e Jesu ĩjã b̶eara aud̶uara yõ wãsid̶aa. Maʌ̃ne griego bed̶ead̶e bed̶eabadaba hebreo bed̶ead̶e bed̶eabadara biẽ́ jara panesid̶aa. Jarasid̶aa djabarãba pẽdra wẽrãrã ewariza carebabʌdad̶e ãdji pẽdra wẽrãrãda carebad̶acada. 
ACT.6.2	Maʌ̃ carea Jesuba diabued̶a doce panʌba jũma Jesu ĩjã b̶eara ãbaa jʌred̶aped̶a nãwã jarasid̶aa:
ACT.6.2	–Bia b̶ʌẽ́a dairãba Ãcõrẽ bed̶ea jaradia panʌra idu b̶ʌd̶ida ab̶abe pẽdra wẽrãrã carebad̶i carea.
ACT.6.3	Maʌ̃ bẽrã djabarã, bãrãnebema siete ẽberãrã jipa b̶eada edad̶adua. Ãdjira Ãcõrẽ Jaured̶eba b̶ead̶ida panʌa idjab̶a crĩcha cawa b̶ead̶ida panʌa. Maʌ̃gʌrãra dairãba b̶ʌd̶ia pẽdra wẽrãrã, dewararã sid̶a carebad̶amãrẽã. 
ACT.6.4	Mãwã osid̶ara dairãba poya biara Ãcõrẽa iwid̶i panania idjab̶a idji bed̶eara jaradia panania.–
ACT.6.5	Ãdjia jaraped̶ad̶ara jũmarãba bia ũrĩsid̶aa. Maʌ̃ bẽrã Estebaʌ̃da edasid̶aa. Maʌ̃ Estebaʌ̃ba Jesura bio ĩjã b̶asia; Ãcõrẽ Jaured̶eba b̶asia. Idji awara Pelipeda, Procoroda, Nicanorda, Timoʌ̃da, Parmenada, idjab̶a Nicolá Antioquía purud̶ebemada edasid̶aa.
ACT.6.6	Djabarãba maʌ̃gʌrãra Jesuba diabued̶arãmaa edesid̶aa. Maʌ̃be Jesuba diabued̶arãba Ãcõrẽa iwid̶ibʌdad̶e jʌwada ãdjirã ʌ̃rʌ̃ b̶ʌsid̶aa Ãcõrẽba quĩrĩã b̶ʌda od̶amãrẽã.
ACT.6.7	Maʌ̃ne djabarãba bed̶ea dadji Boro Jesud̶ebemada aud̶uara jarasid̶aa.
ACT.6.8	Ãcõrẽba idji biad̶eba Estebaʌ̃ra bio careba b̶asia. Idji ʌb̶ʌara Estebaʌ̃a diasia ne ununaca waib̶ʌada ẽberãrã tãẽna o b̶amãrẽã. 
ACT.6.9	Maʌ̃ne ʌ̃cʌrʌ judiorã Cirene druad̶ebemada idjab̶a Alejandría purud̶ebemada panasid̶aa. Ãdjirã dji jʌrebada dera “Nezoca Ẽdrʌped̶ad̶arã” abadjid̶aa. Dewara judiorã Cilicia druad̶ebemada idjab̶a Asia druad̶ebema sid̶a panasid̶aa. Jũma maʌ̃ judiorãra Estebaʌ̃ ume caicaya duanesid̶aa. 
ACT.6.10	Baribʌrʌ ãdjirãba Estebaʌ̃ra poyad̶aẽ́ basía, idjira Ãcõrẽ Jaure necawaad̶eba bed̶eabadji bẽrã. 
ACT.6.11	Maʌ̃ carea ãdjirãba ʌ̃cʌrʌ ẽberãrãa paratada diasid̶aa nãwã sewa od̶amãrẽã:
ACT.6.11	–Daiba ũrĩsid̶aa jãʌ̃ ẽberãba Moised̶ebemada, Ãcõrẽnebema sid̶a biẽ́ bed̶ea b̶ʌda.–
ACT.6.12	Mãwã ãdjirãba puruda, judio dji dromarãda, judiorã ley jaradiabada sid̶a quĩrũbigasid̶aa. Maʌ̃ carea Estebaʌ̃ra jidad̶aped̶a judiorã dji bororã ãbaa jʌre duanʌmaa edesid̶aa. 
ACT.6.13	Maʌ̃ne sewa jarad̶amãrẽã ʌ̃cʌrʌ ẽberãda mamaa edesid̶aa. Maʌ̃gʌrãba nãwã jarasid̶aa:
ACT.6.13	–Jãʌ̃ ẽberãba Ãcõrẽ de dromanebemada, dadjirã leyd̶ebema sid̶a biẽ́ bed̶ea b̶abaria. 
ACT.6.14	Idjia jarasia Jesu Nazared̶ebemaba Ãcõrẽ de dromara ãrĩda idjab̶a Moiseba jaradia b̶ad̶ara quĩrã awara oida. Idjira mãwã bed̶ea b̶ʌda daiba ũrĩsid̶aa.–
ACT.6.15	Jũma dji bororã mama chũmeaba Estebaʌ̃ acʌbʌdad̶e unusid̶aa idji quĩrãra bajãnebema nezoca quĩrãdarra quĩrãca b̶ʌda.
ACT.7.1	Maʌ̃ne sacerdote dji dromaba Estebaʌ̃a iwid̶isia:
ACT.7.1	–¿Ãdjia jara panʌra wãrãca?–
ACT.7.2	Estebaʌ̃ba nãwã panusia:
ACT.7.2	–Mʌ̃ djabarã judiorã, mʌ̃ bororã, mʌ̃ djuburia mʌ̃ bed̶eada ũrĩnadua. Dadji drõã naẽnabema Abrahaʌ̃ wad̶i Mesopotamia druad̶e b̶asid̶e Haraʌ̃ purud̶e b̶ad̶e wãi naẽna Ãcõrẽ dji Droma b̶ʌra idjima odjasia. 
ACT.7.3	Ãcõrẽba idjía jarasia: “Bʌ druara, bʌ ẽberãra sid̶a ameped̶a wãdua. Mʌ̃a druada bʌ́a acʌbiya mamaa wãmãrẽã.”
ACT.7.4	Ara maʌ̃da Abrahaʌ̃ra caldeorã druad̶ebemada ẽdrʌped̶a Haraʌ̃ne b̶ad̶e wãsia. Abrahaʌ̃ zeza jaid̶ad̶acarea Ãcõrẽba Abrahaʌ̃ra id̶i dadjirã duanʌ druad̶aa enesia.
ACT.7.5	Baribʌrʌ Ãcõrẽba Abrahaʌ̃a naʌ̃ druad̶e ẽjũãra ni maãrĩ bid̶a diaẽ́ basía. Ãtebʌrʌ wãrãneba jarasia idjía, idjid̶eba yõbʌdarãa bid̶a naʌ̃ druara diaida.
ACT.7.6	Idjab̶a Ãcõrẽba Abrahaʌ̃a jarasia idjid̶eba yõbʌrʌ purura djãrã druad̶e b̶aida, mama djãrã nezocarãda b̶ead̶ida, idjab̶a maʌ̃ ẽberãrãba ãdjirãra cuatrociento poa biẽ́ eropananida. 
ACT.7.7	Baribʌrʌ Ãcõrẽba Abrahaʌ̃a nãwã jarasia: “Ãdjirã zoca eropanʌ purura mʌ̃a cawa oya. Mãwãnacarea bʌ purura ẽdrʌped̶a naʌ̃ druad̶e mʌ̃́a bia bed̶ead̶ia.”
ACT.7.8	Maʌ̃be Ãcõrẽba Abrahaʌ̃a jarasia jũma idjid̶eba yõbʌdarãda cacua wẽãgod̶ida panʌda Ãcõrẽneda cawabid̶i carea.
ACT.7.9	Mãwãnacarea Jacobo warrarãba ãdji djaba Jose ume biẽ́ panʌneba idjira nẽdobuesid̶aa Egipto druad̶e nezocada b̶amãrẽã.
ACT.7.10	Maʌ̃ bẽrã jũma idji bia mĩga b̶ʌd̶ebemada Ãcõrẽba ẽdrʌ b̶ʌsia. Idjía necawaada diasia Egiptod̶ebema boroba bia unumãrẽã. Maʌ̃ bẽrã dji boroba Josera idjiarebemada b̶ʌsia. Mãwã Egiptora idjab̶a dji boro ẽberãrã sid̶a Jose jʌwaed̶a panesid̶aa.
ACT.7.11	Maʌ̃ ewarid̶e Egipto druad̶e, Canaaʌ̃ druad̶e bid̶a jarrabada zesia. Maʌ̃ba jũmarãda bia mĩga duanasia. Maʌ̃ bẽrã Jacobo warrarãba trigoda nẽdo quĩrĩã pananamĩna ununaẽ́ basía. 
ACT.7.12	Maʌ̃ne Jacoboba ũrĩsia Egipto druad̶e trigora barada. Maʌ̃ carea idji warrarãra mamaa trigo nẽdod̶e diabuesia.
ACT.7.13	Wayacusa wãsid̶ad̶e Joseba idji djabarãa cawabisia idjira ãdji djabada.
ACT.7.14	Maʌ̃be Joseba idji zeza Jacobora, jũma idji ẽberãrã sid̶a idji b̶ʌma enebisia. Ãdjirãra 75 panasid̶aa.
ACT.7.15	Mãwã Jacobora Egipto druad̶e jũẽsia. Mama dãrã b̶aped̶a jaid̶asia.
ACT.7.16	Maʌ̃be ãdjira Siqueʌ̃ purud̶aa edesid̶aa. Mama beud̶a tʌb̶aribada uriad̶e b̶ʌsid̶aa. Maʌ̃ uriara Abrahaʌ̃ba Hamo warrarãa nẽdod̶a basía.
ACT.7.17	Ãcõrẽba Abrahaʌ̃ ume bed̶ea b̶ʌd̶ara dãrãẽ́ne oida b̶asia. Maʌ̃ ewarid̶e israelerãra Egipto druad̶e isabe yõbʌda bẽrã zocãrã panasid̶aa. 
ACT.7.18	Baribʌrʌ dewarada Egiptod̶ebema boroda b̶esia. Maʌ̃gʌba Josed̶ebemada adua b̶asia. 
ACT.7.19	Maʌ̃ carea dadji purura cũrũgaped̶a bio biẽ́ osia. Ãdji warrarã djiwid̶i tod̶ara õgo igarabisia beud̶amãrẽã.
ACT.7.20	Maʌ̃ ewarid̶e Moisera tosid̶aa. Idjira bio quĩrãwãrẽã querasia.
ACT.7.21	Baribʌrʌ dji warra zaque ãyã b̶ʌsid̶ad̶e Egiptod̶ebema boro cauba unuped̶a idji warra ara quĩrãca daupẽsia.
ACT.7.22	Mãwã b̶ʌd̶e Egiptod̶ebema ne cawa b̶eaba Moisea ãdji crĩcha cawaara jũma jaradiasid̶aa. Mãwã idjira crĩcha cawaad̶eba bed̶eabadjia idjab̶a ne waib̶ʌada obadjia.
ACT.7.23	Moise cuarenta poa b̶asid̶e idji ẽberãrã israelerã acʌd̶e wãida crĩchasia. 
ACT.7.24	Wãbʌrʌd̶e unusia Egiptod̶ebemaba Israeld̶ebemada ab̶a biẽ́ o b̶ʌda. Maʌ̃ carea Moiseba Israeld̶ebemara carebad̶e wãsia. Maʌ̃ne idjia Egiptod̶ebemara beasia Israeld̶ebema biẽ́ o b̶ʌ carea. 
