GEN.1.1	Mugaeai mugaeai tau, Deo ikado bubur ga tano ga iuot. 
2CO.13.9	Tota oangga gimi amadid matua ta akado ga lemai ipu eta ngan patutuinga gimi ngan posanga matua mao, eine ga tinimai igelgel. Be gai araring ta lemi kadonga kemikemi toa ne ila iuot lai. 
2CO.13.10	Ngan ipu toaine nabode laulau toa ne ga ila pagimi ngan ado toaine namamado aluai ngan gimi. Ta oangga nala pagimi, eine leg ipu eta ngan aoag ura pagimi mao. Ngansa Maron idol naurata toa ne ga idae bagegeai, ta narangrang ngan aoag ura pagimi. Be ei ikim napamatua lolomi, be itin ngan napaeabu ngan lolomi mao.
2CO.13.11	Oaeoaeg, naoangga napasala leg posanga pagimi ga bedane: Leg ado kemi ila pagimi. Kemi ngan apatutui gimi mulian. Apamatua lolomi ngan leg posanga pabibnga aea toa ne. Gimi toa ngada na manta lolomi kelede ga lolomi itarui pol ngan gimi. Toa bedaoa ta Deo ga imamado pagimi, ngansa ei eaba kadonga kimnga aea ga lolo tarui aea pade.
2CO.13.12	Oangga agera ngan gimi, manta abusum ngan papami ngan kadonga tutui togita panua ton Deo. Gid panua tututui toa ngada ne ton Deo, led ado kemi ila pagimi.
2CO.13.13+2CO.13.14	Kemi ngan Maron Iesus Kristus ele kadonga lolo marum aea, ga Deo ele kadonga kimnga aea, ga Itautau Tutui ele kadonga lolo kelede aea idio pagimi.
GAL.1.1	Gau Paulus, eaba ato aea ton Iesus Kristus ga Deo Tamada. Eaba eta tanoeai isula gau mao, ga eaba eta idol gau ngan kadonga naurata toa ne mao. Be Iesus Kristus ga Deo Tamada toa ipei ei mulian ngan ele matenga, gisirua tisula gau.
GAL.1.2	Gaingada oaeoaeg abode laulau toa ne ga ila pagimi iaoa kelede ton Kristus toa amamado ngan gid tuanga ngan tibur kapei Galesia.
GAL.1.3	Kemi ngan Deo Tamada ga Maron Iesus Kristus, gisirua led kadonga lolo marum aea ga lolo tarui aea idio pagimi. 
GAL.1.4	Iesus Kristus inasi Deo Tamada ele kimnga ta ilongean ei ga imate ngan gita leda kadonga sasat, ngansa iuangga ibada gita mulian ngan kadonga sasat ga kimnga papaeamao tanoeai aea toa ienono labone. 
GAL.1.5	Toa bedane ta tasoa Deo ieda somisomi ga ilalala ga ila. Eine tautaunga.
GAL.1.6	Gau nakakrik tau ngan gimi, ngansa manmanae tau atnan Deo toa ibaba gimi ngan Kristus ele kadonga lolo marum aea, ta ala anasi ato kemi ede pade. 
GAL.1.7	Be ato kemi toa ede pade ne, eine ato kemi tautaunga mao. Be panua edengada tipalaurerean ato kemi ton Kristus ta tipabuobuo gimi. 
GAL.1.8	Be oangga gai, mao anggelo eta buburiai aea ipaola ato kemi ga ila pagimi, be iuot lalaede mambe ato kemi toa mugaeai gai apaola pagimi oa mao, kemi ngan eaba toa oa ila ngan dinga imperno. 
GAL.1.9	Mambe akeo ngan ga ila, ta labone nakeo pade, oangga sai ipaola ato kemi pagimi, be iuot lalaede mambe gimi abada pagai toa mugaeai oa mao, kemi ngan eaba toa oa ila ngan dinga imperno!
GAL.1.12	Gau nabada ga inam pan eaba eta mao, ga eaba eta ipaoatai gau ngan mao pade. Be Iesus Kristus kekelen ipaola ato kemi toa ne pagau.
GAL.1.14	Be ngan kadonga raring aea ga paoatainga toa oa, gau naeasal oaeoaeg busa Iuda ad toa amai rai lalaede. Be lolog matua tau ngan gid nasinga togid tibutibug. 
GAL.1.15	Be Deo isio gau motean toa tnag iapai oa. Ei ilolo marum ngan gau ta ibaba gau ga naot ele eaba. Be ngan ado toa Deo ikim, 
GAL.1.16	ei ipasolan Inat pagau, ngansa iuangga gau nala napaola ele ato kemi ga ila pagid alu padengada. Be ngan ado toaiua, nala pan eaba eta ngan panasinga gau mao. 
GAL.1.17	Be gid panua toa tiuot Iesus ele panua ato ad mugaeai ngan gau ga timamado Ierusalem, gau nala pagid mao pade. Be nala manmanae ngan tibur kapei Arebia, ga kus ta naluagau mulian ngan tuanga Damaskus.
GAL.1.19	Be nagera Iesus ele panua ato ad padengada mao. Nagera Jems kekelen, toa Maron itar kakau. 
GAL.1.20	Ngan Deo imata, posanga toa nabode ga ila pagimi ne, eine pakakanga mao. 
GAL.1.21	Muriai nala ngan tibur kapei Siria ga Silisia. 
GAL.1.22	Be gid iaoa kelede ton Kristus toa timamado ngan tibur kapei Iudea, tigera matag teta mao. 
GAL.1.23	Tilongo ag ninipunga kekelen bedane, “Eaba toa mugaeai ipaieiei gita, labone ipaola ato kemi toa mugaeai iuangga ipaeabu ngan.” 
GAL.1.24	Tilongo posanga toa bedaoa ngan gau ta tisoa Deo ieda.
GAL.2.2	Gau nala ngansa nanasi posanga toa Deo ipasolan pagau, ta aoag inasi pagid ngan ato kemi toa napapaola pagid panua toa Iuda ad mao. Be nala mumulnga pagid panua toa matad mambe gid madidnga ngan iaoa kelede ton Kristus, ta aoag inasi pagid kekelegid. Nakado bedaoa ngansa namataud. Ngan kado ta naurata toa naladlado ngan aea kadonga mugaeai ga inam, eine ga iduaea. 
GAL.2.3	Be panua edengada tigera Taitus idio toman ngan gai, ta tiparpar ngan aea palunga
GAL.2.4	Be posanga ngan palunga iuot kapei, ngansa panua edengada tipakaka ngan lolod matua ngan Iesus, be tiuen ga tidudunga ngan lemai rourounga. Tikado bedaoa ngansa tiuangga titalelean gai ta tiuatai, gai anasnasi apu ton Moses, mao mao. Ngansa gid tikim apu manta ikaukau gita ta taman paeaeanga. Be tautaunga ngan leda lupnga toman ngan Iesus Kristus, ei ipola gita ta tamado gadio ngan apu pade mao. 
GAL.2.5	Be gai alongean gid ta tidada gai teta ngan led posanga mao. Gai amadid matua ngansa aoangga posanga tautaunga ngan ato kemi manta idio pagimi.
GAL.2.6	Tautaunga, gid panua ato ad toa oa edad kapeipei. Be ngan gau matag, oangga eaba ieda kapei, mao oangga ieda mao, eine danga eta mao. Deo imata ila ngan eaba eta ieda mao, be igera gita toa ngada ne lalaede mon. Be gid panua ato ad toa oa tilongo leg ato kemi, ta tidol idil eta pade ga idae ngan mao. 
GAL.2.7	Be gid tigera mambe Deo ibada naurata pagau ngan paolanga ele ato kemi ga ila pagid alu padengada toa tipalu gid mao, lalaede mambe ibada naurata pan Petrus ngan paolanga ele ato kemi ga ila pagid panua Iuda ad toa tibada palunga. 
GAL.2.8	Ngansa Deo toa ipamatua Petrus ngan kadonga naurata ato aea pagid panua Iuda ad toa tibada palunga, eine ipamatua gau pade toa bedaoa ngan kadonga naurata ato aea pagid alu padengada toa tibada palunga mao. 
GAL.2.9	Jems ga Petrus ga Ioanes matad mambe madidnga ngan iaoa kelede ton Kristus. Be panua toa tol ne tigera mambe Deo ele kadonga lolo marum aea ienono pagau ngan kadonga naurata toa ne, ta tikisi gairua Barnabas bagemai ga lolod kelede ngan gai ala pagid alu padengada toa Iuda ad mao, be gid ga tila pagid panua Iuda ad. 
GAL.2.10	Be tirenren pagai ngan posanga kelede ga bedane: Manta matamai nanan ngan luanga gid tal mon panua lululunga ad. Be naurata toa lolog ikim ne tota bedaoa.
GAL.2.11	Be ngan ado toaiua Petrus inam pagai ngan tuanga Antiok, gau nadaba ei imatai, ngansa ele kadonga itutui mao. 
GAL.2.12	Ngansa ngan ado toaiua Jems iuaeoae edengada Ierusalem ad tinam tiuot maitne, Petrus ianean toman ngan gid alu padengada.
GAL.2.13	Be gid panua padengada Iuda ad ngan iaoa kelede ton Kristus tinasi ei ngan ele kadonga pakakanga. Toa bedaoa ta led kadonga pakakanga idada Barnabas pade.
GAL.2.14	Be gau nagera mambe led kadonga inasi ato kemi aea posanga tautaunga mao, ta ngan panua busa matad nakeo pan Petrus bedane, “Eao eaba Iuda am, be lem kadonga eine mambe gid panua Iuda ad mao, be eine mambe kadonga togid alu padengada. Tota eao kamado susuran gid alu padengada ngan nasinga kadonga togid Iuda? Eine kemi mao.”
GAL.2.15	Tautaunga, gai panua Iuda amai, ngansa gid Iuda tipopo gai. Gai aot ngan alu padengada toa gid Iuda tiuatoato panua kadonga sasat ad oa mao. 
GAL.2.16	Be gita taoatai mambe eaba eta irangrang ngan iuot tutui Deo imatai ngan nasinga apu mao. Gita taot tutui Deo imatai oangga loloda matua ngan Iesus Kristus. Ta gai Iuda pade lolomai matua ngan Iesus Kristus, ngansa gai pade akim Deo iuato gai panua tututui ngan lemai kadonga lolo matua aea ngan Kristus. Be taot panua tututui ngan nasinga apu mao. Ngansa eaba eta irangrang ngan ikado ga Deo iuato ei eaba tutui ngan nasinga apu mao.
GAL.2.17	Be oangga gai Iuda anasi Kristus ngan otnga tutui Deo imatai ta atnan edap ngan apu aea nasinga, ga kus ta lemai idil paeamao ngan tnannga apu iuot masaeai, eine madongan? Kado gimi aoangga Kristus idada gai ngan kadonga sat. Eine mao. 
GAL.2.18	Ngansa oangga nanasi Iesus ta natnan apu ga idio, ga kus ta napei mulian kadonga ngan nasinga apu, eine kadonga toa ne ipasolan mambe gau nanasi tutui apu mao. 
GAL.2.19	Ngansa mugaeai natoba nasinga apu, be narangrang mao, ta eine mambe namate. Be Deo ikim namate toa bedaoa, ta labone narangrang ngan namado kemi ga nanasi ele kimnga. 
GAL.2.20	Eine mambe namate ngan abei tabala toman ngan Kristus, ga nadae mulian pade. Ta labone namamado ngan gau urag mao, be Kristus imamado lologeai. Ta kadonga toa ngada ne nakakado tanoeai, eine nakado ngansa lolog matua ngan Deo Inat toa ikim gau ga ilongean ei ga imate ngan badanga gau mulian. 
GAL.2.21	Be tinig ngan natado Deo ele kadonga lolo marum aea toa ne ga iduaea mao. Ngansa oangga apu ton Moses irangrang ngan ikado gita ga taot tutui Deo imatai, eine Kristus imate ngan ipu eta mao.
GAL.3.1	O gimi panua mangamanga Galesia ami! Sai ipabuobuo gimi? Gai apasolan Iesus Kristus pagimi na. Ta eine mambe agera ele matenga ngan abei tabala matamiai. 
GAL.3.2	Gau nakim naoatai ngan danga kelede pagimi ga bedane: Gimi abada Itautau Tutui ngan edap isaoa? Abada ngan nasinga apu, mao abada ngan longonga ato kemi ga lolomi matua ngan? 
GAL.3.3	Matamata alalala ngan Itautau Tutui iura, be labone aoangga apasala lalalanga ngan gimi urami? Gimi amangamanga toa bedaoa na? 
GAL.3.4	Be gid danga kulupulupu toa panua tikado ngan gimi mugaeai, eine abada gid ieieinga toa ne sapaean? Gau naeadi mambe gimi abada ieieinga toa ne sapaean mao. 
GAL.3.5	Be ikamado ga Deo ibada Itautau Tutui pagimi ga ikakado gid uisinga rabu ngan gimi? Eine ngansa gimi anasnasi apu, mao ngansa alongo ele posanga ga lolomi matua ngan?
GAL.3.7	Tota gimi manta aoatai kemi bedane: Panua lolod matua ngan ato kemi, gid kekelegid tiuot Abraam ele gergeu tautaunga. 
GAL.3.8	Be mugaeai tau, Deo iuatai mambe gid alu padengada ga lolod matua ngan ele ato kemi, ta ngan edap toa oa ei ga iuato gid panua tututui. Toa bedaoa ta ipaola ato kemi pan Abraam motean, mambe ele laulau ikeo ngan ga bedane, “Kadonga kemi toa nakado ngan eao, eine ga iparangrang gid alu toa ngada ne tanoeai.” 
GAL.3.9	Tota sapadua lolod matua ngan ei, Deo ikado kemi ngan gid, lalaede mambe ikado ngan Abraam, eaba toa ilolo matua ngan ei mugaeai.
GAL.3.11	Be Deo ele laulau aea posanga ede pade bedane, “Gid panua tututui ga timado kemi ngan led kadonga lolo matua aea.” Posanga toa ne ipasolan gita masaeai ga bedane: Eaba eta irangrang ngan ikado ga Deo iuato ei eaba tutui ngan nasinga apu mao. 
GAL.3.12	Be edap ngan apu aea nasinga, eine lalaede mambe edap lolo matua aea mao. Deo ele laulau aea posanga ede pade bedane, “Eaba sai inasnasi gid apu toa ne, ei ga ibada madonga kemi.” 
GAL.3.13	Be gita ada gigi kapei Deo imatai, ngansa tanasi apu somisomi mao, ta Deo iuangga ipanas gita. Be Kristus imate ngan abei tabala ngan badanga ada panasnga, ta ipatutui ada gigi kapei toa oa. Eine lalaede mambe Deo ele laulau aea posanga ga bedane, “Eaba sai tipakantutu ei ngan abei, eine Deo ipanas ei.” 
GAL.3.14	Iesus ikado toa bedaoa ngansa ikim kadonga kemi toa mugaeai ikado ngan Abraam, eine ga ikado ngan gid alu padengada. Kadonga kemi toa oa ila pagid alu padengada ngan Iesus Kristus ele naurata. Tota oangga loloda matua ngan ei, eine ga ibada Itautau Tutui pagita mambe iposa tautaunga ngan mugaeai.
GAL.3.15	Oaeoaeg, gau naninipu ngan gita eababa leda kadonga ga bedane: Oangga panua rua tirau led posanga tautaunga rabu ngan gisirua, eine lolod kelede ngan saoa posanga toa tirau oa, ta tibode ga idae ngan laulau. Tota irangrang ngan eaba eta pade isamum posanga toa oa mao, ga igalbatan posanga eta ga idae ngan mao pade. 
GAL.3.16	Eine lalaede mambe posanga tautaunga toa Deo irau toman ngan Abraam. Deo ikado ele posanga tautaunga pan Abraam ga ele gergeu. Be ele laulau ikeo ngan gid ele gergeu mao. Oangga bedaoa, iposa ngan panua busa, be eine mao. Ele laulau ikeo ga posanga tautaunga toa oa ila pan eaba kelede ta ikeo ga, “Ila pan lem gergeu.”
GAL.3.17	Leg posanga ipu ga bedane: Mugaeai Deo irau ele posanga toman ngan Abraam. Be rai buno pange sangaul tol (430) ga kus ta Moses ele apu iuot. Apu toa ne iuot muriai tau ta irangrang ngan isamum posanga toa Deo irau toman ngan Abraam oa mao, ga itado ga iduaea mao pade. 
GAL.3.18	Ngansa oangga tanasi apu ngan badanga danga kemikemi toa Deo isio ngan iman leda, eine tabada ngan ele posanga tautaunga mao, be tabada ngan urada. Be eine mao. Deo ilolo marum ngan Abraam ta iposa tautaunga pan ngan gid danga kemikemi toa ne.
GAL.3.20	Be oangga eaba eta iman eaba ede pade ibebe, ei ga ikado posanga rabu ngan ei ga panua iaoa ede pade. Be Deo kekelen ikado ele posanga tautaunga ga ila pan Abraam. Eaba eta iman ibebe mao.
GAL.3.22	Deo ele laulau ikeo ga kadonga sat iul panua toa ngada ne tanoeai ngan puo. Be ngan kadonga toa ne, Deo iuangga ikado edap ngan luanga gita. Tota oangga sapadua lolod matua ngan Iesus Kristus, eine tibada danga kemikemi toa iposa tautaunga ngan.
GAL.3.24	Tota apu iuot mambe ada madidnga ital gita ga tala pan Kristus. Toa bedaoa ta oangga loloda matua ngan ei, Deo iuato gita panua tututui. 
GAL.3.25	Ta labone edap lolo matua aea iuot masaeai, tota apu iman ada madidnga pade mao.
GAL.3.27	Ngansa gimi sapadua abada paliliunga ngan Kristus, eine apit Kristus mambe eaba ipit aea malo. 
GAL.3.28	Tota ngan iaoa kelede ton Kristus, taoato eaba eta Iuda aea mao, ga Grik aea mao pade, be taoato eaba eta paeaeanga mao, ga eaba madonga kemi aea mao pade, ga arangaranga mao, ga taine mao pade, ngansa ngan lemi lupnga toman ngan Iesus Kristus, gimi toa ngada ne aot kelede. 
GAL.3.29	Ta oangga gimi Kristus ele panua, eine gimi Abraam ele gergeu pade. Ta gimi ga abada gid danga kemikemi toa Deo iposa tautaunga pan Abraam ngan.
GAL.4.1	Leg oanenga itna ede ga bedane: Oangga eaba ele gergeu ede imamado, muriai gergeu toa ne ga ibada danga sisid toa ngada oa ton itama. Tautaunga, danga sisid toa ngada oa ton itama ga iman ei ele, be oangga ei kakauede maitne, danga eta idae ibageai mao. Ei lalaede mambe gid paeaeanga ton itama. 
GAL.4.2	Ei imamado gadio ngan itama ele madidnga ga panua naurata ad bagedeai ga irangrang ngan rai toa itama isio oa iuot. 
GAL.4.3	Eine lalaede mambe gita pade. Mugaeai gita mambe gergeu, ta taman paeaeanga ngan apu imata ede ga ede tanoeai aea. 
GAL.4.4	Be ngan rai toa Deo isio oa iuot, ei isula Inat ga inam. Taine ede ipopo ei, ta gergeu toa ne pade imamado gadio ngan Moses ele apu. 
GAL.4.5	Inama ngan luanga gita panua toa tabokoboko paeaeanga gadio ngan apu, ta ipatutui ada gigi kapei Deo imatai, ngansa iuangga ibada gita ga taot ele gergeu tautaunga. 
GAL.4.6	Gimi aot Deo ele gergeu na, tota isula Itautau Tutui ton Inat ga idio lolodai, ta Itautau Tutui toa ne ikado gita ga tababa ga ila pan Tamada bedane, “Ale apa!” 
GAL.4.7	Tota gimi aman paeaeanga pade mao. Gimi Deo ele gergeu. Ta ngan ipu toaine, Deo ga ibada gid danga kemikemi toa iposa tautaunga ngan ga ila pagimi.
GAL.4.8	Be mugaeai gimi aoatai ngan Deo maitne ta aman paeaeanga ngan gid danga tautaunga mao mambe deo pakakanga. 
GAL.4.9	Be labone gimi aoatai ngan Deo na (mao kemi ngan nakeo ga Deo iuatai ngan gimi), tota ikamado ga aoangga aluagimi mulian ngan nasinga gid apu imata ede ga ede tanoeai aea toa irangrang ngan ilua gita mao? Gimi aoangga aman paeaeanga sapaean ngan gid apu toa oa pade na? 
GAL.4.10	Ikamado ga aoangga anasnasi gid Iuda led apu ngan ado kapeipei raring aea, ga taiko papau, ga gid taun ga rai pade? 
GAL.4.11	Gau namataud. Ngan kado ta naurata toa nakado ngan gimi, eine iduaea sapaean.
GAL.4.12	Oaeoaeg, nabeta matua gimi ga bedane: Nakim gimi aot mambe gau. Ngansa gau natnan apu ta naot mambe gimi. Mugaeai ga inam, lemi idil eta paeamao ngan gau mao. 
GAL.4.13	Be gimi aoatai, matamata napaola ato kemi ga ila pagimi ngansa dibala ede ikado gau. 
GAL.4.14	Tautaunga, tinig aea dibala toa oa ikado kulupu ngan gimi, be gimi apul murimi ngan gau mao, ga atolatola ngan gau mao pade. Be gimi abada gau lalaede mambe gau anggelo ede ton Deo, mao mambe gau Iesus Kristus. 
GAL.4.15	Lemi tingelgel toa mugaeai aea na sida? Nakeo tautaunga, ngan ado toaiua, nagera mambe oangga arangrang, gimi ga apasu matami kadlo ga abada ga inam pagau. 
GAL.4.16	Ta labone madongan? Napaola posanga tautaunga ga ila pagimi, ta ngan kadonga toa ne naman ami isat?
GAL.4.17	Gid panua toa tiparpar ngan apu oa, timarum tau ngan dadanga gimi ngan led posanga, be eine kemi ngan gimi mao. Eine tiuangga tikado ga gitaingada takemi ngan gita pade mao, ta gimi amarum ngan nasinga gid. 
GAL.4.18	Eine kemi oangga amamarum ngan kadonga kemi ede. Ta gimi anasnasi kadonga kemi bedaoa somisomi, oangga namamado pagimi, ga oangga namamado aluai ngan gimi. 
GAL.4.19	Leg gergeu, lolog ede ga ede ngan gimi. Nanaman lolog ede ga ede toa ne mambe ieieinga iuot ngan taine iuangga ipopo gergeu. Lolog ikakado toa bedane ga irangrang ngan gimi aot lalaede mambe Kristus. 
GAL.4.20	Be lolog ikim tau ngan geranga gimi. Oangga bedaoa ta napalele leg posanga pagimi ga ila meles. Ngansa lolog buligaliga ngan gimi.
GAL.4.21	Gimi sapadua toa akeo ga adio gadio ngan apu, manta akeo pagau, aoatai ngan saoa danga apu iposa ngan pade? 
GAL.4.22	Ngansa Deo ele laulau ikeo ga Abraam inat rua. Ede, taine paeaeanga Agar ipopo, be ede pade, iadaoa Sara toa taine madonga kemi aea ipopo. 
GAL.4.23	Taine paeaeanga ele gergeu aea poponga iuot lalaede mambe gid panua toa ngada ne tanoeai. Be gergeu ton taine madonga kemi aea, ei aea poponga iuot ngan Deo ele posanga tautaunga.
GAL.4.24	Taine toa rua ne ad ninipunga iman oanenga itna pade. Ngansa taine toa rua ne mambe posanga rua toa Deo irau ngan ele panua. Posanga toa Deo irau ngan gid Israel ngan lusi Sainai,
GAL.4.25	Agar idodo lusi Sainai. Lusi toa oa ienono ngan tibur kapei Arebia. Ga pade, taine toa oa idodo tuanga Ierusalem toa labone ienono. Ngansa gid Ierusalem, labone tiuot mambe paeaeanga sapaean ngan nasinga apu ton Moses. 
GAL.4.26	Be tuanga Ierusalem ede pade ienono gadae buburiai. Eine idodo taine madonga kemi aea toa Sara. Ei iman tnada. 
GAL.4.27	Ngansa Deo ele laulau aea posanga bedane,
GAL.4.27	“Eao taine lasi,
GAL.4.27	manta tinim igelgel.
GAL.4.27	Be eao taine toa naman ieieinga ngan poponga gergeu mao,
GAL.4.27	manta ngangar ga bau.
GAL.4.27	Ngansa taine toa ipopo eta mao, ei ele gergeu dabad iuot busa
GAL.4.27	ga iasal gergeu ton taine toa imamado toman ngan iadaoa.”
GAL.4.29	Be ngan ado toaiua, gergeu ede pade toa aea poponga iuot mambe panua toa ngada ne tanoeai, ei ipaieiei gergeu toa aea poponga iuot ngan Itautau Tutui iura. Eine mambe labone pade. 
GAL.4.30	Be Deo ele laulau ikeo mado? Aea posanga ga bedane, “Suk taine paeaeanga toa ne toman ngan ele gergeu! Ngansa danga sisid aea potanga irangrang ngan ila pan gergeu ton taine paeaeanga oa mao. Eine ga ila pan gergeu ton taine madonga kemi aea kekelen.” 
GAL.4.31	Tota oaeoaeg, gita taman gergeu ton taine paeaeanga Agar mao. Gita taman gergeu ton Sara, taine madonga kemi aea.
GAL.5.1	Kristus ipola gita, ngansa itin ngan taboko paeaeanga ngan apu pade mao. Tota gimi manta amadid matua, ngan kado ta panua tipaeaea gimi pade ngan apu aea nasinga.
GAL.5.2	Ega, gau Paulus nakeo pagimi bedane: Oangga abada palunga ngan otnga tutui Deo imatai, eine Kristus ele naurata irangrang ngan ilua gimi mao. 
GAL.5.3	Naposa matua pade bedane: Oangga sai ibada palunga, manta inasi apu aea posanga toa ngada oa. 
GAL.5.4	Gimi sapadua atoba nasinga apu ngan otnga tutui Deo imatai, eine atnan Kristus na. Gimi apul murimi ngan Deo ele kadonga lolo marum aea. 
GAL.5.5	Be ngan leda kadonga lolo matua aea, Itautau Tutui ilua gita ta taoatai kemi mambe Deo ga iuato gita panua tututui ta tagaga matada ngan sanganga ei. 
GAL.5.6	Ngansa ngan leda lupnga toman ngan Iesus Kristus, oangga tipalu gita, mao oangga tipalu gita mao, eine danga eta mao. Be danga kapei eine loloda matua ngan ei, ta kadonga toa ne ikado gita ga takim panua padengada.
GAL.5.7	Mugaeai gimi aladlado kemi, be sai ipaket matami ga ipakala gimi ngan nasinga posanga tautaunga? 
GAL.5.8	Posanga toa idada gimi ne, inam pan Deo mao. Deo ei eaba toa ibaba gimi ga aot ele panua. 
GAL.5.9	Matami nanan. Yis kautede sapa ikado ga plaoa dodol isum ga idae kapei. Eine lalaede mambe gimi pade. Posanga pakakanga idil kautede ipabuobuo gimi toa ngada ne. 
GAL.5.10	Be Maron ipamatua lolog ta naeadi mambe gimi ga lolomi kelede ngan posanga toa ne, ta gimi ga anasi posanga eta pade mao. Be oangga eaba sai ipabuobuo gimi, eine Deo ga ipanas ei. 
GAL.5.11	Oaeoaeg, gau napapaola posanga ngan palunga pade mao. Be oangga nakakado maitne, eine eaba eta Iuda aea ga ipaieiei gau mao. Oangga bedaoa, posanga ngan Iesus ele matenga ngan abei tabala irangrang ngan ipamasmasi gid Iuda lolod mao pade. Be eine mao. Gid Iuda tinid ngan longonga posanga toa oa mao, ta tipaieiei gau. 
GAL.5.12	Be gid panua toa tipabuobuo gimi, gau naoangga kemi ngan tiket tinid ga tipaeabu ngan gid mulian!
GAL.5.14	Ngansa apu aea posanga toa ngada oa ilup ngan posanga idil kelede ga bedane, “Manta kim lem eaba ede pade mambe kim go mulian.” 
GAL.5.15	Be oangga adabadaba sat ga apaparau pol ngan gimi, ageragera gimi, ngan kado ta apaeabu ngan gimi mulian.
GAL.5.16	Be gau nakeo ga gimi manta alalala ngan Itautau Tutui iura, ta gimi ga anasi kimnga papaeamao tinida aea mao. 
GAL.5.17	Ngansa kimnga tinida aea iuangga ipakala Itautau Tutui ele kimnga, be Itautau Tutui iuangga ipakala kimnga tinida aea. Gisirua tipaparau, ta irangrang ngan anasi lemi kimnga mulian mao. 
GAL.5.18	Be oangga Itautau Tutui imugamuga ngan gimi, eine amado gadio ngan apu mao.
GAL.5.20	ga raring ngan gid deo pakakanga, ga kadonga borou, ga ariapolpol, ga aoa parau, ga mata galgal, ga lolo bake, ga soanga edami mulian, ga amapmapoga alele, ga aoami isokangai, 
GAL.5.21	ga lolomi paeamao, ga ununnga sat, ga kadonga mangamanga togid panua ununnga ad, ga gid kadonga padengada toa bedaoa. Napabib lemi mambe nakado mugaeai, oangga sapadua tikakado toa bedaoa, eine irangrang ngan tibada madonga Deo ibageai mao.
GAL.5.22	Be Itautau Tutui ipapot gid kadonga kemikemi ga bedane: kimnga panua padengada, ga tingelgel, ga lolo tarui, ga lolomi bake manmanae mao, ga mamaron, ga kadonga kemikemi, ga matami tutui ngan nasinga lemi posanga, 
GAL.5.23	ga kadonga lolo kemi aea, ga pakalanga gimi mulian ngan kadonga sat. Be apu eta ipakala gita ngan gid kadonga toa bedaoa mao. 
GAL.5.24	Be gid panua sapadua ton Iesus Kristus, eine tipatoto led kimnga papaeamao ga ngalenga papaeamao tinida aea ga idae ngan abei tabala ga kus. 
GAL.5.25	Ta oangga tamamado Itautau Tutui ibageai, manta talalala ngan Itautau Tutui ele edap. 
GAL.5.26	Be irangrang ngan taparim ngan gita mao, ga tapamasmasi eaba eta pade ilolo mao, ga loloda paeamao pol ngan gita mao pade.
GAL.6.2	Gimi manta alualua ngan gimi ngan ami kadonga kulupulupu. Ngan kadonga toa bedane, eine ga aparangrang apu ton Kristus. 
GAL.6.3	Ngansa oangga sai iadi mambe ieda kapei, be tautaunga ieda mao, eine ipakaka ei mulian. 
GAL.6.4	Eaba kelede kelede manta imata inasi ele naurata mulian ta igera, eine kemi, mao paeamao. Toa bedaoa ta itin igelgel ngan ei mulian, be itonton ele naurata toman ngan panua padengada led mao. 
GAL.6.5	Ngansa eaba kelede kelede manta imariala ngan ele naurata mulian.
GAL.6.8	Ngansa eaba sai inasi kimnga tinida aea ta iarum danga paeamao iloleai, eine muriai aea annga ga iuot, ta ei ga imukuru ngan ele kimnga paeamao tinida aea. Be eaba sai inasi Itautau Tutui ele kimnga ta iarum danga kemi iloleai, eine muriai eaba toa oa ga ibada madonga kemi somisomi aea pan Itautau Tutui. 
GAL.6.9	Be irangrang ngan tamanggolenga ngan kadonga kemikemi mao. Ngansa ngan ado toa annga aea badanga, eine ga tabada annga kemi oangga tatap ngan leda naurata mao. 
GAL.6.10	Tota ngan ado isaoa tarangrang ngan takado kemi panua padengada, manta takado. Be kadonga toa ne, manta takado kapei tau ngan gid iaoa kelede ton Kristus toa lolod matua ngan ei.
GAL.6.11	Posanga idil toa ne nabode ngan gau bageg, be agera leg bodenga kapeipei toa bedane.
GAL.6.12	Panua sapadua tiparpar ngan palunga gimi, tikado bedaoa ngansa tiuangga tipasolan gid mambe panua kemikemi ngan panua padengada matad. Be led ipu kelede ga bedane: Timataud, ngan kado ta tinasi ato kemi ngan Kristus aea abei tabala, ta panua padengada tipaieiei gid. 
GAL.6.13	Be gid panua palunga ad toa oa, gid pade tinasnasi apu kemi mao. Be tikim tipalu gimi, ngansa tiuangga tiparim ngan ami palunga. 
GAL.6.14	Be irangrang ngan gau naparim ngan danga eta mao. Naparim ngan ada Maron Iesus Kristus aea abei tabala kekelen. Ngan ele naurata ngan abei tabala, eine mambe kimnga papaeamao tanoeai aea imate lologeai, ga gau pade namate ngan abei tabala ta irangrang ngan nanasi kimnga tanoeai aea pade mao. 
GAL.6.15	Ngansa oangga tipalu gita, mao tipalu gita mao, eine danga eta mao. Be Deo ikado gita ga taot panua papau, ta danga toa kelede ne eine danga kapei. 
GAL.6.16	Be Deo ele kadonga lolo tarui aea ga lolo isat aea idio pagid sapadua tinasnasi posanga toa ne. Gid panua toa ne timan Deo ele panua tautaunga Israel ad.
GAL.6.18	Oaeoaeg, kemi ngan ada Maron Iesus Kristus ele kadonga lolo marum aea idio pagimi. Eine tautaunga.
EPH.1.1	Nabode laulau toa ne ga ila pagimi panua tututui ton Deo ngan tuanga Epesus.
