MAT.1.1	A revereve huri retubui Jisas, netui Devet, netui Ebraham.
EPH.6.1	Remaresu nen rong huri tamamiu ko i retahimiu, ngehi a gineu a Huqe mo tarani, huri ngehi a muei gineu ve nen vei. 
EPH.6.2	Huri a Leohora mo veve vena, “Gon lado mavagi tamamu tona ratahimu,” huri a gineu doluegi vin garea meigo, a bongimu vin qaravu lo ure ngaha. 
EPH.6.3+EPH.6.4	Ira tama nein mese gato siaga mei renetumiu, nge nein hawegi vurugeginire. Nein bete leo huhui lawera ko nen huhuire ve ran ilo na Huqe.
EPH.6.5	Igimiu ira tangaloi tabana vurogi, nen rong huri rahine hi ram huqegi goro gimiu lolo ure ngaha. Nen haharagi lawera ve a nomiu tabetabe hurire u lawua ko mwerehi igimiu nem rong huri Kraes. 
EPH.6.6	Igimiu nen vaileo ve nen vai havuhevuginire gesegi, ko hatie lo taro hi ve ram lehi gimiu. Igimiu ira tangaloi tabanagi vurogi noi Kraes. Siu igimiu nein vei na gineu hi i God mo tarani ve nein veie gina loloi taqangimiu doluegi. 
EPH.6.7	Igimiu nen tabana havuhevu lawera hi ram lawua goro gimiu, mwerehi ve nem tabanagi lawe na Huqe ko hatie lawe na tangaloi. 
EPH.6.8	Igimiu nein lado haqe ve a Huqe vin bete na gaitawe lawe na tangaloi gagatalegi hi rau vei tabanagi garea, hatie huri tare ve ingere a tangaloi vurogi sige ingere hi rahe toga vau tea.
EPH.6.9	Ira huqegi goro, igimiu nein veivei garea lawera nomiu tangaloi tabana vurogi. Nein mese vaga mataguteginire. Huri igimiu nein ladohaqe ve ihine hi a nomiu Huqe ko a nora Huqe hi mo toga lo eulu mo vaivei garea lawe gide lo matahala mwerehi teu.
EPH.6.10	Siu vagasigi, igimiu nen labe siaga lo nona huireana lawua. 
EPH.6.11	Igimiu nen saru goro gimiu gina luqei vuro noi God, huri ve igimiu nein qalo goro lai na huireanai kalikeli noi Setan. 
EPH.6.12	Irahine hi igide dam qalo gorora lo mwasoada, ingere hatie tangaloi. Igide dam qalo mena tamate hi ram toga vataha ute lo ure ngaha. Ngehi a nora tomtomuegi, ko irahine hi ram hago huireana, ko a nora huqegi hi ingere a vui doridori esi talo dodogi lo ure ngaha. 
EPH.6.13	Giniehi, igimiu nein seru goro gimiu gina lakoi vuro noi God doluegi. Siu lo taro hi ve a gineu esi ram vai, igimiu veilei ve nein labe siaga. Ko lune neu vei rovonagi na vuro doluegi, igimiu nem labe tau mosigei.
EPH.6.14	Siu nen labe siaga, nen wasigi gimiu gina leo hogo, mwere na wasi hi nem taliginie lo tanoi wesimiu, ko a tutugoroi togaana vovohoi ngehi mo eno lo mabumiu. 
EPH.6.15	Igimiu nen saru garo na karumiu gina Roro Garea talo tamwata vena bului gimiu ve nen labe siaga. 
EPH.6.16	Ko vage nein hako siagagi na ladohogo mwere ve a nomiu gai tutugoro ve igimiu nein tugoro lai na liue teri nona tamate hi u mwere na avi mo gao. 
EPH.6.17	Siu igimiu nein ilo vurugegi ve i God u vaga mwasoi gimiu beno. Ngehi u mwere na gai rorovi qetu huri vuro. Ko igimiu nein hako siagagi na leoi God. A leo hi u mwere na muei vuro hi a Vui Gogona u betea lawe gimiu. 
EPH.6.18	Gesegi igimiu nein tataro lo managi noi Vui Gogona, nein nevu na gineu doluegi hi nem tarani garagara ginie. Tare ve nem vaie mwere ngaha, igimiu nein rarai tamwere ko nein mese wiriwiri. Igimiu nein tataro huri na sinobu noi God doluegi vataha tarogi. 
EPH.6.19	Vage igimiu nein tataro hurieu ve lune nam laqa, i God vin bete na leo laweau huri ve nain mese matagu huri ve nain veve sere na gineu hiligiana talo Roro Garea 
EPH.6.20	I God u horau ve nain waregi sere na Roro Garea ngaha, ko ineu nain veie siserigi ngaha lolo valei veuveu. Igimiu nen tataro hurieu ve lune ineu nain waregi sere na Roro Garea hatie gina matagute.
EPH.6.21	Ineu nam hora Titikas lawe gimiu, i tuada hi dau tabea ko a tangaloi lolo mwamwavi lo tabana nona Huqe. Ingeie vin veve na gineu doluegi hi rau vei laweau. Siu huri igimiu nein ilo huri ve ineu hine ko na vai na havagineu. 
EPH.6.22	Giniehi, Ineu nam horae lawe gimiu huri ve igamaru mwerehilogo, ko ingeie vin vaga mwamwavigi na domimiu.
EPH.6.23	Retueku ko irehaqeku, ineu nam tataro ve i God a Mama ko i Jisas Kraes a noda Huqe, ingere roin bete na tamwata ko a tabetabe na toga mei gimiu nen lado hogo siaga ginie. 
EPH.6.24	A hogogi noi God na toga mei gimiu doluegi hi nem tabe na noda Huqe i Jisas Kraes, a noku domi tabetabe huri gimiu vin rovo lai tea. Amen.
PHP.1.1	Ineu Bol ko Timoti, i gamaru a tangaloi tabanagi noi Jisas Kraes. Lawe na sinobu noi God doluegi hi ram toga lui Jisas Kraes lo togagi venue lawua Vilibae, vage lawera tamtamaragai meire dikon.
PHP.1.2	A hogogi ko a tamwata dein God i tamada ko a Huqe i Jisas Kraes.
PHP.1.3	Ineu nam veve gareagi na noku God vataha tarogi lune nam lado haqe gimiu, 
PHP.1.4	ineu nam tataro gina havuhevu gesegi huri gimiu doluegi. 
PHP.1.5	Ineu nam vevegareagi God huri na buluiana neu bete laweau lune nau waregi sere na Roro Garea, a buluiana hi neu bete laweau lo vuigi redu lo tarogi hi lune neu lei na ladohogo mo dadari gaqarigi. 
PHP.1.6	I God u tevuigi na tabanagi garea lumiu, siu ineu nau ilo vurugegi ve ingeie vin tabanagi tuturedu mei gimiu vin dadari lo qereqerenagi lune hi a noda Huqe i Jisas vin vanai taligu.
PHP.1.7	Ko a noku lado hogo huri gimiu doluegi u vovohoi a vevenagi igimiu nem toga lolo loloku. Igimiu doluegi nem wahegi na hogogi noi God meieu lune ineu nam toga lolo valei veuveu nau kokogoroau siboku ko nam haharagi ve a Roro Garea a hogo. 
PHP.1.8	I God mo ilo ve ineu nam tarani garagara ve nan lehi gimiu, a vevenagi nam tabe gimiu doluegi gina tabetabe noi Jisas Kraes.
PHP.1.9	A noku tataro huri gimiu ingeie ngaha, ve a nomiu tabetabe vin meuri vin vagevage, vage ve igimiu nein lei na iloilo ko a rongronghogo mena nomiu tabetabe, 
PHP.1.10	huri igimiu nein leo lai na gineu hi u garea ko a gineu hi esi ko nein hako siagagi na gineu garea, huri ve igimiu nein mwasara ko a gineu esi vin he eno tea lumiu lune i Kraes vin vanai taligu. 
PHP.1.11	Huri ve i Kraes vin bului gimiu nein vei na gineu garea u sao vena bete na roroa ko a waregi roroi lawe God. I Bol, ingeie lolo valei veuveu, nge a Roro Garea mo vano tuturedu.
PHP.1.12	Retueku ko irehaqeku, ineu nam tarani ve igimiu nen ilo ve a havagineu hi rau hogosieu, rau bului na Roro Garea ve na mawahewahe. 
PHP.1.13	Giniehi, ira bolis hi ram rada goro valei muei kavman ta Rom ko irahine wagineu vage tahi rau ve ineu lolo valei veuveu a vevenagi ineu nam ladohogo lui Kraes. 
PHP.1.14	A vevenagi ineu lolo valei veuveu, ira ladohogo u sao a domire mo huire lui Kraes mo vagevage ko rahe matagu tea ve rain laqagi na leoi God.
PHP.1.15	A hogo ve lavasigi ram waregi sere huri Kraes a vevenagi a gineu gagarasi mo eno lure ko ram lailei hageginire, nge lavasigi ram waregi sere huri Kraes gina domiana garea. 
PHP.1.16	Ingere ram vaie lo tabetabe, a vevenagi ram ilo ve i God u bete na tabana ngaha laweau lune nain kokogoro na Roro Garea. 
PHP.1.17	Siu lavasigi ram waregi sere Kraes gina ladolado rahe garea tea, ingere ram lado ve rain teu gaivutugieu vin lawua lune nam toga lolo valei veuveu.
PHP.1.18	Nge hatie huri, a gineu mo eno hageliu ve lo matahala doluegi, tare ve huri na gareana sige a ladolado rahe vovohoi tea, ingere ram waregi sere huri Kraes. Siu ineu nam havuhevu ko nain hevuhevu vin vano tuturedu. 
PHP.1.19	A vevenagi igimiu nem tataro hurieu ko a Vui noi Jisas Kraes mo buluieu, ineu nam ilo ve nain mwelue. 
PHP.1.20	A gineu gatagale hogosie hi ineu nam tarani garagara ginie, ngehi a domiku mo eno lune, ve nain mese vai na gineu tea vohogi ngehi ve maemae ginie lo nagoi Kraes. Ineu nam tarani ve a domiku na huire garagara, huri ve tare nam mate siserigi ngaha sige nam mwaso, nge a mwasoaku doluegi vin tabe hagagi na henai Kraes mwerehi nam vaie gesegi. 
PHP.1.21	Lolo domiku, tare ve ineu nam mwaso tau, ngehi nam bulu mei Kraes, ineu nain tabe hagagi na henana, sige tare nam mate, ngehi u garea u liu laweau. 
PHP.1.22+PHP.1.23	Nge tare nam mwaso tau, ngehi a iloilogi huri ve nain vei na tabanagi garea u sao lo ure ngaha. Siserigi ngaha a matahala gairue rom eno lo nagoku, ko ineu nahe ilo tea ve a turegi ngehilogo hi ve nain leowahea. Lolo domiku nam tarani garagaragi ve nan mwalue dena mwasoana ngaha ve nan vano na toga lobei Kraes, ngehi u garea u liu denie hi nam toga lo ure ngaha. 
PHP.1.24	Nge nam lehe ve u garea ve nan toga tau lo ure ngaha huri ve nain bului lei gimiu. 
PHP.1.25	Huri ineu nau ilo vurugegi huri na domiana ngaha, nau ilo ve nain toga mei gimiu ve nan bului gimiu ve a nomiu ladohogo na mauri ko ve na bete na havuhevu lawe gimiu. 
PHP.1.26	Igimiu nein havuhevu vin liu lui Jisas Kraes lune ineu nam toga mei gimiu taligu.
PHP.1.27	A gineu gatagale hogosie mo eno lolo domiku. Igimiu nein ronghogo lolo lolomiu ve nem lo matahala hi mo bete na lado mava lawe na Roro Garea noi Kraes. Siu tare nam vanatu nam siro gimiu sige ineu vagahao dein gimiu, ineu nain rongo ve igimiu nem labe siaga lo domianagi gatagale, ve nem tabanagi bubugi huri na ladohogo talo Roro Garea. 
PHP.1.28	Ko igimiu nehe matagu tea gi rahine hi ram qalo mei gimiu. Ngehi mo haharagi ve ira nomiu tavului vuro rain salasala, nge igimiu nein mwaso lobei God. 
PHP.1.29	I God u bete na tanoi lado mava lawe gimiu, hatie ve huri na tanoi ladohogo lui Kraes hogosie, nge ve nein rongo gagarasi hurie vage. A gineu ingere ngaha vunu rom bete na roroa lawe Kraes. 
PHP.1.30	Lune ineu nau toga mei gimiu, neu lehi na noku wahagiana, ko nem rongo huri na wahagiana hi mo eno luku siserigi ngaha. A wahagiana nge tauhi mo eno lumiu sibomiu.
PHP.2.1	?Wa nomiu mwasoana lui Kraes vin betei na nomiu huireana? ?Wa nona tabetabe vin vei mesurigi gimiu? ?Wa dain bulu bubugi lo Vui? ?Wa igimiu a nomiu hahagavi ko a vai vei garea lumiu? 
PHP.2.2	Tare ve mwerehi, nein veieu nain rong garea gina domiana mwere tauhi, dain wahegi na tabetabe nge tauhi, ko a domiana gatagale tauhi ko huri gineugi gatagale tauhi. 
PHP.2.3	Igimiu nein mese vai na gineu gina domiana bugure ko a dom sagesage nge nein lado wuwou vovohoi gagatalegi, gimiu nen lado huri na tangaloi wagineu siu mobei gimiu sibomiu. 
PHP.2.4	Igimiu nein mese vai na gineu huri na nomiu mwasoana sibomiu hogosie, nge nein vei gineu vin huri na mwasoara tangaloi dolue vage.
PHP.2.5	Lolo mwasoamiu nein ladolado ko nein vei gineu mwere i Jisas Kraes.
PHP.2.6	I Kraes sibona, ingeie u mwerei God
PHP.2.6	lo gineu doluegi.
PHP.2.6	Ingeie u ilo ve ingeie u tatarise
PHP.2.6	mei God, nge giniehi,
PHP.2.6	ingeie he lado te ve vin vei na gineu
PHP.2.6	hi ve vin huri na nona tarani sibona.
PHP.2.7	Nge ingeie mo lado siregi
PHP.2.7	na tantanona lobei tamana God
PHP.2.7	ko mo vaie sibona
PHP.2.7	mo voragi tangaloi vurogi.
PHP.2.7	Ingeie mo Vonai lolo ure
PHP.2.7	mo voragi tangaloi tabana.
PHP.2.8	Ko ingeie mo toga
PHP.2.8	mwere na tangaloi talo ure,
PHP.2.8	ingeie vin lado wuweuginie
PHP.2.8	sibona,
PHP.2.8	ko vin lado mavagi God,
PHP.2.8	hatie huri a gineu ngerehi rau vei
PHP.2.8	mo mate lo gai saroutu.
PHP.2.9	Siu i God mo ragasie dena mateana
PHP.2.9	mo hage lo ute ta eulu,
PHP.2.9	ngehi u hahale garagara.
PHP.2.9	I God mo vai na henana
PHP.2.9	mo lawua sileti na hea doluegi.
PHP.2.10	Siu huri a tangaloi doluegi
PHP.2.10	rain sisiqeu hivo rain huduhudu
PHP.2.10	goro na henai Jisas,
PHP.2.10	a gineu doluegi lo eulu,
PHP.2.10	lo ure ko lo vavai ure.
PHP.2.11	A tangaloi doluegi rain veve ve
PHP.2.11	i Jisas Kraes ingeie i Huqe ko mo lai
PHP.2.11	na Roroa lawe God a Mama.
PHP.2.12	Retueku, igimiu neu rorongtagi God gesegi lo tarogi nau toga mei gimiu. U garea lawagi ve nein rorongtaginie siserigi ngaha lune nain vano dein gimiu. Nein tabana siaga huri nein vei rovonagi na nomiu mwasoana mena matagute ko a ruru rurugi, 
PHP.2.13	huri God vin tabana lolo lolomiu vin bului gimiu nein tarani ve nein vei gineu ko ve nein vai havai hi ingeie vin rong garea lune.
PHP.2.14	Igimiu nein vai gineu doluegi hatie mena singotutubu sige mena garoana. 
PHP.2.15	Siu nein mwasara den gineu esi ko hatie asiana lumiu. Igimiu nein voragi netui God hatie mena nomiu vai saloi. Nge igimiu nein toga meire tangaloi ingerehi rahe vovohoi tea ko meire hi rau bugure ram toga dali gimiu, lolo livugemiu a varavaramiu mo mwere na visiu hi lolo ureure hi a dodogi. 
PHP.2.16	Igimiu nein bete na leo huhui ngehi bete na mwasoana. Siu lune ve i Kraes vin vanai taligu, ineu nain hevuhevu huri a noku tabana he vano tea vurogi. Nau toatoa ko nau qoraginie.
PHP.2.17	A nomiu lado hogo mo vai gimiu nem bete tabetabegi na nomiu mwasoana mwerehi ve vin voragi na Rugurugu lawe God. Tare ve nam bete na daiku siboku mena nomiu Rugurugu, ineu nain havuhevu ko nain rong garea mei gimiu. 
PHP.2.18	Igimiu vage nein havuhevu ko nein rong garea meieu.
PHP.2.19	A noku lado tare mo eno lui Huqe Jisas ve nai hora Timoti vonatu lawe gimiu vin he ribi tea. Ineu nain havuhevu lune nain rongo na roro huri gimiu. 
PHP.2.20	Hatie tangaloi gatagale vohogi ngehi u mwerei Timoti, ngehi u leo huri gimiu hogo. 
PHP.2.21	A tangaloi lavasigi ram rong ve rain leo hurire hogosie lo nora mwasoana, nge hatie lo tabana noi Jisas Kraes. 
PHP.2.22	Igimiu neu ilo vurugegi huri ve i Timoti ingeie a hava tangaloi. Neu ilo vurugegi ve ingeie u tabana bubugi meieu, gorom waregi sere na Roro Garea, mwerehi ve a maresu mo tabana bubugi mei tamana. 
PHP.2.23	Nau domigi ve nain horae lawe gimiu vin siseri lune nau ilo ve a havagineu vin vei laweau. 
PHP.2.24	Ineu nam ilo vurugegi ve a Huqe vin buluieu ve ineu nain vanai lobemiu vin siseri.
PHP.2.25+PHP.2.26	Ebavrodaetas, i tueku lui Kraes, ingeie mo tabana meieu, ingeie a tangaloi vuro noi Kraes. Lune ineu nam tarani na buluiana, igimiu neu horae laweau ve na buluieu. Siserigi ngaha ineu nam lado ve nain hora muleginie taligu lawe gimiu, a vevenagi ingeie mo tarani garagara ve na lehi gimiu. Ineie mo lado asi a vevenagi igimiu neu rongo ve ingeie u sege. 
PHP.2.27	Io, a hogo, ingeie u sege u kakarani ve vin mate, nge i God u hagavie, huri ve ineu nain mese hahagavi taligu. 
PHP.2.28	Ineu nam tarani garagara ve nain horae lawe gimiu, siu huri igimiu nein lehe nein rong garea, ko ineu nain he lado asi tea huri gimiu taligu. 
PHP.2.29+PHP.2.30	Igimiu nein lei vurugeginie lo henai Huqe gina havuhevu lawua. Igimiu nein bete na lado mava lawe na tangaloi rau mwereie, a vevenagi ingeie u kakarani ve vin mate lo tabana noi Kraes. Ingeie u lado utu ve vin siregi na mwasoana huri ve na buluieu lo taro hi igimiu nein he bului laieu tea.
PHP.3.1	Retueku ko irehaqeku, igimiu nen horo gina havuhevu lo nomiu bulu gatagale mena Huqe, ineu nahe maemae tea ve nain uli na leta lawe gimiu, nai huri huri lo leo lo havagineu hi nau uli lawe gimiu tomue, ko vin garea mei gimiu tare nain veie mwerehi. 
PHP.3.2	Igimiu nein leo huri rahine hi ram vai gineu esi, ram mwere na wiriu hi ram tarani ve ran gasi deiregi na tangaloi. 
PHP.3.3	Igide hi dau lei na teve gigilegi hogo. Igide dam huduhudu goro God lo Vui ko a noda sagesage mo eno lui Jisas Kraes. Huri dahe lado tea talune siboda sige lo havagineu tea hi dam vai. 
PHP.3.4	Bataha ineu nain vei lei ve na lado taluku siboku, tare ihine, a gineu tea ve vin lado talune sibona, ingeie vin ilo ve ineu a gineugi rau lawua taligu hi ve nain lado lai taligu huri. 
PHP.3.5	Ineu a duvi Israel vohogi. Ineu a duvi Benjemen. I tamaku mei ratahiku, ingere vunu a duvi Hibru ko giniehi neu a duvi Hibru vovohoi. Lune ineu nau vora, lo tagui bongi gai welugi ineu nau lei na teve gigilegi mo huri na Leohora nora duvi Israel, ineu a Varise. 
PHP.3.6	Ineu nau vei qetu siaga huri nau veivei na warelue noi Kraes. A tangaloi vin he haqe lai na noku vai vagasile tea lo matahala hi nau rong huri na Leohora noi Mosis. 
PHP.3.7	A gineu ngerehi rau eno hageliu laweau, nge siserigi ngaha ineu nam lado ve hatie gineu lure a vevenagi i Kraes. 
PHP.3.8	Hatie huri ve a gineu ngerehi hogosie, nge ineu nam lado ve a gineu doluegi hatie gineu lure, tare ve ineu nain tatariseginire mena iloilo lawua hi na leie huri Jisas Kraes a noku Huqe. A vevenagi ingeie a gineu esi ngerehi doluegi rau sala denieu, siu ineu nam ilo ve a gineu ngerehi hatie gineu lure. Ngehi mo haharagi ve i Kraes mo toga meieu, 
PHP.3.9	ko ve nain voragi nona tangaloi tabanagi. Siserigi ngaha ineu nam vovohoi lo nagoi God, hatie huri ve nau huri lo Leohora, nge a vevenagi nau ladohogogi Kraes. I God mo vaieu nam tatarise lo nagona a vevenagi a noku lado hogo. 
PHP.3.10	Ineu nam tarani ve nan ilo Kraes ko a huireana hi u vei ragasie dena mateana. Ineu nam tarani ve nan bulu meie lo nona gagarasi ko ve mwereie lo nona mateana. 
PHP.3.11	Siu a noku ladotare mo eno huri ve ineu siboku nain maraga taligu dena mateana
PHP.3.12	Ineu nai he veve lai tea ve vovohoi, sige ve ineu nau dadari lo tanoi qoragiana beno, nge nam vai leo ve nan toa na dadari lo tanoi qoragiana hi ko nan laie gi noku siboku. Nge huri i Kraes u veieu nam voragi nona tangaloi, ineu nam vai leo ve nan lai na domine na voragi domiku. 
PHP.3.13	Retueku ko ire haqeku ineu nam ilo ve ineu nahe dadari tea mosigei lo tanoi qoragiana hi, nge a gineu gatagale hogosie hi nam tarani gesegi nan vaie, ve nan galuvegi na gineu ngerehi rau vano beno ko ve na wahagi huri na gineu ram vonai mosigei. 
PHP.3.14	Ineu nam vaileo ve nan dadari lo tanoi qoragiana hi ko ve nan lai gaitawe ngehi i God u wareau lui Kraes sulo mwasoana ta eulu.
PHP.3.15	U garea huri ve igide hi dau sesea beno lo dori Kraes, ko a domide na eno gatagale lo gineu hi. Sige ve lavasigi a domire rau wegineu, i God vin mata-mwasaraginie lawera. 
PHP.3.16	Nge igide dain huri tuturedugi na hogo ngehi u eno mei gide beno.
PHP.3.17	Retueku ko irehaqeku, u garea ve igimiu nen huri lo taikeruku. Huri igamai gau teu na matahala vovohoi beno lawe gimiu. Igimiu nein huri lo dorire tangaloi ngerehi rau huri lo taikeru hi. 
PHP.3.18	Ineu nam veve vatu sao lawe gimiu beno, siu ngaha nam veve taligu gina lado mava. A noku tinengi mo hale huri na tangaloi u sao a nora togaana mo voragi na tavului vuro lawe na gai saroutu noi Kraes. 
PHP.3.19	Siu lo vagasigi, ingere rain salasala. Huri ingere ram vai na gineu ngerehi a tarabesire ram tarani. Ingere ram sagera huri na havagineu tea hi ram vai, ngehi a tanoi maemae lune, ko a domire mo eno lo gineui ureure hogosie. 
PHP.3.20	Nge a togagi venue mo eno eulu ko igide dam rarai na noda vagamwasoi, a Huqe i Jisas Kraes hi ve vin himei den eulu. 
PHP.3.21	Gina nona managi, ingeie vin huqegi goro na gineu doluegi, ingeie vin teu leahi na tarabeside hi rau kekena ko vin vei rain mwerena tarabesine hi ta eulu.
PHP.4.1	Retueku ko irehaqeku, a noku domtabetabe huri gimiu ko nam tarani ve nain lehi gimiu. Igimiu neu vei havuhevugieu, ko mo havusieu uliu huri gimiu, siu igimiu labesiaga lo Huqe mwerehi nau veve lawe gimiu.
PHP.4.2	I Eoudia ko i Sintike, ineu nam veve lawe gimiru ve igimiru a vavine hi neru bulu mena Huqe beno, a domimiru vin gatagale hogosie. 
PHP.4.3	Iniko a tangaloi garohuri, ko iniko a noku buluana, nam navuhigo ve goin bului na vavine ingere ngaha hi ru tabana meieu gam waregi sere na Roro Garea, i Klemen vage ko irahine wagineu vage hi rau tabana meieu a henara mo eno lolo Bugu huri na mwasoana noi God.
PHP.4.4	Igimiu nen horo gina havuhevu lui Huqe gesegi, ineu nam veve taligu ve igimiu nen horo gina havuhevu.
PHP.4.5	Nen haharagi lawera hine wagineu ve a lado biti ko a lolo garea mo toga mei gimiu. Huri a Huqe vin vanai vin siseri. 
PHP.4.6	Igimiu nein mese lado asi huri na havagineu tea, nge nen tataro ko nen navu denie huri na gineu doluegi hi nem tarani, ko nen vevegareaginie gesegi. 
PHP.4.7	Ko a tamwata noi God, ngehi u lawua garagara dain he ilo laie tea, vin veu siagagi na taqangimiu ko a domimiu lui Jisas Kraes.
PHP.4.8	Retueku ko irehaqeku, ingeie hi rau tatarise mena tanoi veve garea, a gineu ngerehi a hogo lure rau lawua, rau vovohoi, rau mwasara, a tangaloi ram rong gareaginire, ko a gineu ngerehi a tangaloi ram lado ve rau garea, hatie asigi lure. 
PHP.4.9	Igimiu nen vai gineu na huri na leo huhui hi nau bete lawe gimiu, a havagineu hi nau veve lawe gimiu ko igimiu neu lehieu nau veire. Ko i God hi mo bete na tamwata vin toga mei gimiu.
PHP.4.10	Ineu nam havuhevu u liu, lo henai noda Huqe huri na nomiu buluiana laweau taligu. Igimiu neu bului tuturedugieu, nge hatie turegigi ve nein haharaginie. 
PHP.4.11	Ineu nahe veve tea mwere ngaha lawe gimiu a vevenagi nam tarani garagaragi na gineu haro. Ineu nau lei na leo huhuigi beno, huri ve lo hava turegi tea hi nam toga lune, ineu nain he romasi tea. 
PHP.4.12	Lune ineu nam mahogi nau ilo huri ve nain mwaso mwerehilogo ko tare a noku gineu u sao nau iloe huri ve nain dori mwerehilogo. Ineu nau lei na iloilo huri na gineu hiligiana hi mo vaieu nam havuhevu lo tarogi haro, lo gineu doluegi hi ram vai, lune a hinga tea mo eno ve nain geni ko lune nam mwaruruhi, lune a gaku hinaga u liu dena noku tarani ko lune a gaku hinaga he tatarise tea. 
PHP.4.13	Ineu nau vei lei na gineu doluegi lui Kraes, a vevenagi ingeie mo bete na huireana laweau.
PHP.4.14	Nge u garea huri neu buluieu lune nau tarani garagaragi na buluiana. 
PHP.4.15	Igimiu ta Vilibae nem lado haqe na taro hi lune ineu nau waregi sere na Roro Garea wagatomuegi redu taiehi. Lune ineu nau siregi Masedonia, igimiu a warelue gatagale hogosie hi neu buluieu. 
PHP.4.16	Lune ineu nau toga Tesalonaeka, igimiu neu hora gineu laweau vatu sao huri na noku taraniana. 
PHP.4.17	A hogo, ineu hatie huri ve nam tarani ve nain lei na hogohogo dein gimiu, nge ineu nam tarani ve nen lai na vai garea noi God huri na gineu ngerehi nem bete laweau. 
PHP.4.18	Ineu a gineu doluegi a noku, ko u liu dena noku tarani siserigi ngaha a gineu doluegi ram eno meieu, a vevenagi i Ebavrodaitas u lei na nomiu hogogi laweau. A gineu neu betera laweau mwerena rugurugu hi nem bete lawe God a bonagi u buhoru, ngehi u lei vurugeginie ko u rong gareaginie. 
PHP.4.19	Siu a noku God vin betegi na gineu doluegi lawe gimiu tare ve igimiu nem qilodo tea lo havagineu. Ingeie vin bete na gineu gagareagi u sao ta eulu lawe gimiu, siu ingere rain voragi nomiu a vevenagi ne bulu gatagale lui Jisas Kraes.
PHP.4.20	Waregi roroi lawe na noda God ko i tamada vagi tuei ko vin he rovo lai tea. Amen
PHP.4.21	Ineu nam veve noku veve garea lawe gimiu doluegi, igimiu hi nem bulu gatagale lui Kraes. Irahine ram toga meieu rain hora nora vevegarea vage. 
PHP.4.22	A sinobu noi Kraes hano ram hora nora veve garea lawe gimiu, hageliu irahine hi ram toga lo valei Sisa.
PHP.4.23	A hogogi noi noda Huqe i Jisas Kraes na toga mei gimiu doluegi.
COL.1.1	Den Bol, a gaihora noi Jisas Kraes. Ineu a gaihora a vevenagi mo huri na tarani noi God. Vage den Timoti i tuada.
COL.1.2	Lawe ire tuada ko rehaqeda hi ram toga gogona lui Kraes ingerehi ram toga lolo togagi venue Kolosi. A hogogi ko a tamwata lawe gimiu den God i tamada.
COL.1.3	Lo nomai tataro huri gimiu gesegi gam veve garea lawe God i tamai noda Huqe Jisas Kraes. 
COL.1.4	A vevenagi igamai gau rongo na roro huri na nomiu lado hogo lui Jisas Kraes ko a tabetabe hi nem haharagi lawe na sinobu noi God doluegi. 
COL.1.5	Igimiu neu lei na lado hogo ko a tabetabe, a vevenagi a nomiu lado tare. Ko a havagineu hi neu lado tare hurie mo eno tabetabegi huri gimiu lo eulu. Igimiu neu hikehike huri na lado tare ngaha lune igimiu neu rongo na leo huri na hogo, ngehi a Roro Garea. 
COL.1.6	Ngehi gau veve sere lawe gimiu, vataha na mahogi lolo ure a Roro Garea hi mo lai na vai garea mo mauri. Nge ngaha u vei lawe gimiu vage. Igimiu neu rongo na Roro Garea ko neu ilo vurugegi na hogo huri na hogogi noi God. 
COL.1.7	Igimiu neu rongo na Leo huhui huri na hogogi noi God deni Ebavras ngehi gau tabea. Ingeie mo tabana bubugi mei gamai ko ingeie a tangaloi garohuri noi Kraes lo henamai. 
COL.1.8	Ingeie u veve lawe gamai vage huri na tabetabe ngehi neu leie dena Vui Gogona.
COL.1.9	A vevenagi mo tavuigi lo rani hi, gau rongo na roro huri gimiu, igamai gam tataro huri gimiu gesegi, gam navu dein God huri ve igimiu nein ilo vurugegi na gineu hi God mo tarani. Gam tataro vage ve nein lai na matai sao vin lawua ko igimiu nein ilo vurugegi na gineu ta lo Vui. 
COL.1.10	Siu huri gimiu nein vei lei ve nein toga vin huri mwerehi a Huqe mo tarani. Ko nein vei na gineu ngehi mo vai roroaginie. Igimiu nein wei mwasigi lo tabanagi rau garea ko nein meuri lo iloilo noi God. 
COL.1.11	I God vin vei siagagi gimiu gina nona huireana lawua sibona siu huri ve igimiu nein labe siaga lune lo taro a gineu esi rain vonai, nge nein rong ribi. 
COL.1.12	Ko igimiu nein veve garea gina havuhevu lawe tamada u vei gimiu ve nein betegi na gineu doluegi hi u vagataire huri na nona sinobu lo ute ta eulu a ute hi mo rani gesegi. 
COL.1.13	I God u vei gide dam mariqe den huireana talolo dodogi, ko mo lai gide sulolo tantanoi ratahigi noi netune hi u tabea. 
COL.1.14	I netune u voli na bugude, ko a vevenagi ingeie, i God mo lado vohogi na bugude.
COL.1.15	Ihine tea vin he leo lai God tea, nge i Jisas Kraes u mwereie vohogi. Ingeie u hage namawe taligu dena gineu doluegi ngerehi i God u teure. 
COL.1.16	Ingeie u teu na gineu doluegi lo eulu ko lo tano, ngerehi ram hako huireana, ira Engsel, Ira tamate, ira ratahigi, ira tomtomuegi talo ureure doluegi. 
COL.1.17	Tomue, lune i God he tau na gineu tea mosigei, nge i Kraes u toga tahi beno. Siu a gineu doluegi ram toga tuturedu mo huri na tantanora a vevenagi ingeie. 
