MAT.1.1	Yayto i ginikanan-na si Jesu-Kristo, i Dadi'-na si David pati' si Abraham:
2TI.2.20	Halimbawa', sallod si adda mahaya ruma', ma'in hamok mga bulawan pati' salapi' i mga garamiton ari, kundi' aniya' may liwat nga mga hinimo tikang si kayo pati' si lapok. I adda naghimo pagpadadayaw ngan i adda may nagkasipugan. 
2TI.2.21	Pariho si a'a, kon agtuyo' iya paglimpya si kalugaringun-na tikang si makamamalo' kamutangan, day adda iya garamiton nga naghimo pammadayaw si tagtawa' si iya. Akahugasan iya si sala' ngan mahaya i kapulsanan-na si Amu-na hasta nga andam iya pagtuman si bisan ay mga mahalapa buruhaton.
2TI.2.22	Sanglit agrarabunusa pagtalikot si mga kasindak si karat'an nga awinan agsob si mga dadi'-dadi'on pa ngan pursigiron i makapatadong si ka'aw, i makapasarig si pagtapud-mo, i makapatuttot si ka'aw paghigugma' pati' i makapahalap si pagpaki'adda-mo si bisan say. Ngan si da'inan pa'agi akahuwang kaw si mga a'a nga agparapanangpit si Paragdalom nga gana' tinago' si mga kasing-kasing-na. 
2TI.2.23	Dakaw agparapanginano si mga diribati nga ga'i aggamit si kadunong hi'unong si mga tuluhu'an kay akatu'anan may kaw nga samok sinan i tinakkahan-na. 
2TI.2.24	Kundi', kinahanglan nga i rilihugun-na si Paragdalom ma'in makisasamukon kundi' daluman iya si bisan say, ata'o pagturo' ngan mapinasinsyahon. 
2TI.2.25	Aghinay-na agwaydong i mga manguntra si iya tungod si pagla'um-na nga buwanan-na mga iya si Diyos karuyag pagbasol huwang i pagbag'o basi' agpakatuttutan mga iya si hul'os kata'o kon ay i kamatu'uran. 
2TI.2.26	Si da'inan pa'agi, agpakabalikan mga iya si tuhay isip ngan agpakalappa si sila'ud-na si Satanas nga iya i makabihag si mga iya para hamok atuman i katuyu'an-na.
2TI.3.1	Pero tuninungin to: Aniya' mga makuri gayod mga uras si katapusan mga allaw. 
2TI.3.2	Aniya' mga a'a anan si ka'am nga si kamatu'uran makikinalugaringon, makikwarta, hambugiro, mahaya i mga dalum-na, mga abusador, mga suplikado si mga mahanak-na, ma'in mapinasalamaton, gana' pagkadiyusnun-na, 
2TI.3.3	ga'i agkatara'o paghigugma', ga'i agkatara'o pagpasaylo, mga paragutgot, ga'i ata'o pagdalom si mga isip-na, mga ma'isog, ga'i pirmi alipay si mga mahalap, 
2TI.3.4	ga'i agpakatapuran, mga garap, ga'i agpakasumatan, makinalipayon ngan gana' si isip-na i paghigugma' si Diyos. 
2TI.3.5	Iyay nan i mga a'a magkararuyag nga kunta' diyusnon i pagkukulaw si mga iya, pero agdiri' si gahum-na si Diyos pagsalli' si mga kina'iya-na mga iya. Dakaw manginano sito mga a'a.
2TI.3.6	Aniya' si mga iya mga lalla magparapandaginot pag'isasallod si mga karuruma'an ngan agdalom si mga danda nga makali' agpansalli' si mga isip-na tungod si mga dati sala' nga magtur'og si mga iya, sanglit agkabarawa mga iya si mga pala'in-la'in mara'at karuyag. 
2TI.3.7	Agkararuyag to pirmi mga danda nga agpaka'adalan pero ga'i gayod mga iya agpaka'ako' si kamatu'uran. 
2TI.3.8	Kon ay i pagkuntra-na kas Janes pati' si Jambres si Moises siray, iya may liwat i pagkuntra-na sito mga lalla si kamatu'uran. Puro na mga baliko' i mga inisipan-na mga iya ngan bali i pagdiri'-na si Diyos si pagkaparagturu'-na mga iya tungod si mga pagtu'u-na nga gana' kapulsanan-na. 
2TI.3.9	Pero ga'i to mga iya agpanliyat, kay pariho si mga mahinabo' si kas Janes, kinaklaruhan gihapon si dimu'an i gana' kadatahan-na nga tinakka-na si pagpakunu-kunu-na mga iya.
2TI.3.10	Kon para namay si ka'aw, sayod kaw ngan ag'abuyunan-mo i nagparaturu'-ko, i klasi-na si kinabuhi'-ko, i katuyu'an-ko, i pagtapud-ko, i kalanga-na si pagpaturus-ko, i paghigugma'-ko, i padayon pag'ilub-ko, 
2TI.3.11	i mga pagpamasakit si ako, pati' i pag'ilub-ko si mga kakurihan. Akatu'anan kaw liwat si mga mahinabo' si ako ari si mga syudad Antioquia, Iconio, pati' Listra, i mga kasakitan nag'antus-ko tungod si pagtu'u-ko! Pero agsapud-na ako si Ginu'o sito dimu'an. 
2TI.3.12	Si kamatu'uran, papasakitan i bisan say mag'ako' si diyusnon kinabuhi' nga dati na agpaki'adda si Kristo Jesus 
2TI.3.13	dungan si padayon pagrara'at-na si ditangnga' mga a'a nga mga mara'at buhat-na pati' mga magparapamakunu-kuno. Sigi mga iya pandaya' si la'in ngan da'inan may si mga kalugaringun-na. 
2TI.3.14	Pero para si ka'aw, padayunon i pagtapud-mo si mga sa'adalan-mo na kay sakilala-mo may ako nga magparaturo' si ka'aw. 
2TI.3.15	Padayunon nan liwat kay tikang pa si kadadi'-mo gara' na kaw hi'unong si sagrado Kasuratan nga makabuwan si ka'aw kadunong kon pinapa'i sa'angkun-mo i katalwasan pina'agi si pagtapod si Kristo Jesus. 
2TI.3.16	Mismo anan si Kasuratan, ahimo allom i mga pamaguwa' isip-na si Diyos ngan mahaya i bulig-na si dimu'an makasurat anan si pagturo', si pag'isog, si pagsu'it, ngan pagpagara' si pagkamatadong 
2TI.3.17	basi' i kada tinapuran-na si Diyos
2TI.4.1	Aniya' mandu'-ko si ka'aw atubang si Diyos pati' si Kristo Jesus nga tihusgar si mga allom pati' si mga minatay ngan kinahanglan i pagpanginanu-mo sito sigon si kasiguruhan-ta nga tipada'ito iya gihapon basi' kinatu'anan i pagkahadi'-na. Sanglit ag'aghat-ta kaw: 
2TI.4.2	Pasamwakon i Allingun-na si Diyos. Kinahanglan nga andam kaw pirmi pagsu'it bawa i pag'isog o ma'in ngani' pag'aghat, bisan kon akatuman to kon gana' kasibutan-mo o aniya'.
2TI.4.3	Himu'on to kay titakka i uras nga aniya' si mga magpanutu'o nga ga'i na amakali si tama' pagtu'o. Lugod, sunod si mga kalugaringun-na karuyag, sigi to pangagda malabbat mga paragturo' basi' aniya' manumat si mga sawilihan-na pagpakali. 
2TI.4.4	Pamatalikot to si kamatu'uran hasta nga agkaralilingo ngan agkararuyag dina pagtuninong si mga surusurumaton. 
2TI.4.5	Pero para si ka'aw, maniguruha nga sadaluman-mo pirmi i kalugaringun-mo si dimu'an uras, ilubon i mga kakurihan, pasigihon i trabahu-mo bilang parapasamwak si ga'i pa magpanutu'o ngan tumanon kon ay pa i ubligasyun-mo pagsirbi si Diyos.
2TI.4.6	Parti namay si ako, papahalaron na i kinabuhi'-ko si Diyos, ngan titakka na i uras si pag'amban-ko si kalibutan. 
2TI.4.7	Agpaki'away na ako pag'apin si kahalapan, akatangpos ako si rurumba, ngan agpasiguru-ko nga ga'i akalabutan i ungod pagtu'o. 
2TI.4.8	Ngan ina'anto, aniya' naghimos kuruna si pagkamatadong para si ako nga purumwanun-na si Paragdalom, i matadong Huwis si Allaw si Paghusgar. Pumwan-nay to ma'in hamok si ako, kundi' si dimu'an liwat magparapanhingyap si pagpada'itu-na gihapon.
2TI.4.9	Paniguruhon gayod nga sapada'itu-mo ako dayon. 
2TI.4.10	Pa'amban na si ako si Demas kay mas aghigugma'-na na dina i mga kalibutanon gawi' ngan awiray iya pan syudad Tesalonica. Pero si Cresente awiray pan prubinsya Galacia ngan si Tito may awiray pan prubinsya Dalmatia. 
2TI.4.11	Si Lukas hamok satu'oy to si ako. Ala'on si Markos ngan pabaya'on si ka'aw kay aniya' sabulig-na si ako si trabahu-ko para si Diyos. 
2TI.4.12	Awiray aglihug-ko si Tiquico pan syudad Efeso. 
2TI.4.13	Kon pada'ito kaw, bawahon i pammakurumbot nga nagbilin-ko si Carpo ari si syudad Troas, hasta i mga sinurat nga naglikid-likid, labihan na i mga nagsurat si anit.
2TI.4.14	Malabbat i sahimu-na pagpakara'at kuntra si ako si Alejandro nga panday si ransang. Sigurado nga bulus-na iya si Paragdalom sigon si nagparabuhat-na. 
2TI.4.15	Kinahanglan nga aglikay kaw liwat si iya, kay makusog gayod i pandiri'-na si mga nagparapasamwak-ta.
2TI.4.16	Gana' gayod si ako manistigos si primiro pag'imbistigar si ako, kay nagsi'arambanan dina ako. Ag'ampo' ako nga ga'i to nagkwinta sala' para si mga iya. 
2TI.4.17	Pero i Ginu'o, ga'i pa'amban si kagiliran-ko pagbuwan si ako kusog kay basi' pina'agi si ako, apasamwak i bug'os kahulugan-na si mahalap sumat ngan agpakapakali sito i dimu'an nga ma'in Hebro. Si da'inan pa'agi, agsagib-na ako si Diyos nga ga'i ako dayon nagpatukan kamatayon
2TI.4.18	ngan sarapurun-na ako si Paragdalom si kada pagduguk-na si karat'an si ako ngan iya i mamawa si ako pada'iray si ginhadi'an-na ari si langit nga gana' makalabot. Darayawon iya hasta si kahastahan. Amen.
2TI.4.19	Pangumustahin ako si kas Priscila pati' si Aquila hasta si dimu'an myimbro si panimalay-na si Onesiforo. 
2TI.4.20	Awiray si Erasto si syudad Corinto ngan si Trofimo, awiray agbilin-ko si bungto Mileto kay mapaddi i puhu'-na. 
2TI.4.21	Paniguruhon gayod nga akapada'ito kaw myintras i tigtugnawon. Mangumusta si ka'aw si Eubolo ngan da'inan may kas Podente, Lino, pati' si Claudia hasta pa i dimu'an kabugtu'an si pagtu'o.
2TI.4.22	Amalako ako nga padayon i paghuwang-na si Paragdalom si espiritu-mo ngan da'inan may liwat i mapinalangga'on pagpanginanu-na si ka'am dimu'an anan.
TIT.1.1	Tikang to surat si Pablo. Nagtu'inan ako bilang rilihugun-na si Diyos pati' bilang apostul-na si Jesu-Kristo basi' sapatuttut-ko i mga pinili'-na a'a pagtu'o si iya ngan basi' sapasayud-ko i kamatu'uran hi'unong si iya nga akagiya si mga iya si diyusnon kinabuhi'. 
TIT.1.2	Yayto pagtu'o pati' kasayuran agbuwan kasiguruhan pag'angkon si mga nag'anduy-na kinabuhi' nga gana' katapusan-na. Sayod kita kam nga ga'i ata'o pagbullo' i Diyos ngan antis si panikangan agsa'ad iya nga a'allom i mga a'a-na hasta si kahastahan. 
TIT.1.3	Mangno si panakka-na si nagtala'an-na uras, agsara i allingun-na pina'agi si pagpasamwak-na si mga tinapuran-na pariho si ako. I Diyos nga Paragsalbar-ta kam, iya i magmando' si ako pagpasamwak si allingun-na.
TIT.1.4	Tigsurat-koy to para si ka'aw Tito, ka'aw nga ungod dadi'-ko tungod kay ag'abuyon kita si pagtu'o.
TIT.1.4	Amalako ako si Diyos Tata' pati' si Kristo Jesus nga Paragsalbar-ta nga sa'angkun-mo i mapinalangga'on pagpanginanu-na pati' i kamurayaw-na mga iya.
TIT.1.5	Ag'ambanan-ta kaw anan si isla Creta paghamis si mga kinahanglanon pa labihan na i pagtu'in mga lalla si kada bungto nga angay ag'inantan si katungdanan bilang mahanak si pagtu'o sigon si nagmandu'-ko si ka'aw. 
TIT.1.6	Kinahanglan i makatu'inan nga gana' makabasol, ngan gana' la'in alla-na. Kinahanglan i mga dadi'-na agpanutu'o ngan gana' makapasumbong nga agpamatakas hamok si mga karuyag-na ngan ga'i agpanunod si mahanak. 
TIT.1.7	Kinahanglan nga gana' makabasol sito a'a kay iya i mangngataman si magpanutu'o ngan nagtapuran pagpanginano si dimu'an tawa'-na si Diyos. Kinahanglan nga ma'in iya duminanti, ma'in masisinahon, ma'in paralango, ma'in makihihiranon ngan ma'in daya'on si pag'inanda' kwarta. 
TIT.1.8	Lugod, kinahanglan iya andam pag'istimar si bisan say, alipay pirmi iya si dimu'an nga mahalap ngan ata'o pagdalom si isip-na. Kinahanglan liwat iya nga matadong, diyusnon ngan aglugaring pagdiri' si mara'at kina'iya-na. 
TIT.1.9	Kinahanglan nga ag'unong iya si allingon nga makatapuran sigon si ungod nagturo', basi' pirmi aniya' si mga nag'ataman-na nga ma'aghat pina'agi si pagturo' si tama' pagtu'o pati' basi' akapamatu'od iya nga sala' i pagdiri' sito.
TIT.1.10	Kinahanglan i mga mahanak si pagtu'o nga manginano sito kay si kamatu'uran, malabbat na i mga suplikado. Agparapanbaragaw hamok to si gana' kapulsanan-na ngan mga bullu'on, labihan na i ditangnga' si mga tinuri' magpanutu'o. 
TIT.1.11	Kinahanglan mga iya nga apugong kay aniya' mga panimalay nga pabulag si pagtu'o pina'agi si pagturu'-na mga iya si ma'in angay ngan agbuhat-nay to hamok mga iya basi' agpakapangwarta. 
TIT.1.12	Mismo ngani' addangan si mga paragsumat nga sunsana'an akapinugad, “Bullu'on gayod i mga taga Creta, mga mara'at a'a nga gana' batasan-na pati' mga hubya' nga makikinabos.” 
TIT.1.13	Ungod nan gayod mga allingun-nay nan. Sanglit isugi-bi mga iya ngan isplikari-bi pahalap, basi' ahul'os i mga pagtu'u-na 
TIT.1.14	ngan basi' ga'i mga iya manginano si mga surusurumatun-na si mga Hebro, o ma'in ngani' si mga mandu'-na si magpandiri' si kamatu'uran. 
TIT.1.15	Para si mga a'a nga ata'o paglikay si pagparapakasala', tugot i paggamit si dimu'an inanna' kay ga'i to akabawa si mga iya pagsala', pero para si ga'i magkatara'o paglikay pagparapakasala' nga ga'i agpanutu'o, bisan ay i naggamit-na mga iya, akabawa pirmi dina si mga iya pagsala'. Si kamatu'uran, hasta i mga inisipan-na lagtok si sala' ngan ga'i na gayod mga iya agkatara'o pagturutimbang kon ay i mahalap pati' kon ay i mara'at. 
TIT.1.16	Agparapaminugad to nga akakilala mga iya si Diyos, pero pina'agi si mga gawi'-na, kinakulawan nga agdiri' mga iya pagpaki'adda si iya. Si pangulawan-na si Diyos, mga makasusulya' mga iya, mga suplikado ngan ma'in na angay pagbuhat si bisan ay nga mahalap.
TIT.2.1	Kinahanglan kaw Tito nga agturo' sigon si tama' pagtu'o. 
TIT.2.2	Sumatin i kamabu'utan lalla nga kinahanglan agpanlugaring pagdiri' si mga mara'at kina'iya-na, tigparispitar, ngan ata'o pagdalom si mga isip-na. Kunta' hul'os mga iya si pagtu'o, si paghigugma' pati' si pag'ilob.
TIT.2.3	Da'inan may liwat, sumatin i kamabu'utan danda nga magin diyusnon si kinabuhi', pariho si ga'i pagparagutgot o ma'in ngani' pagparapalangu-lango. Lugod, kinahanglan nga akaturo' mga iya kon ay i mahalap. 
TIT.2.4	Mangno, pwidi mga iya akapakulaw si mga dadi'-dadi'on pa danda kon pinapa'i paghigugma' si mga alla-na pati' si mga dadi'-na. 
TIT.2.5	Pwidi liwat mga iya akasumat sito mga danda kon pinapa'i i pagdalom si mga isip-na pati' i paglikay si pagparapakasala'. Kinahanglan liwat mga iya agsumat nga kunta' yayto mga danda pirmi sibot si mga kalugaringun-na panimalay, nga magin daluman mga iya, nga agsunod si mga alla-na basi' pina'agi sinan mga buhat, gana' makapara'at bisan say si allingun-na si Diyos.
TIT.2.6	Si pariho pa'agi, aghaton i mga dadi'-dadi'on pa lalla nga kinahanglan mga iya agkatara'o pagdalom si mga isip-na. 
TIT.2.7	Si intiro gawi'-mo, pakulawon si mga iya i pagbuhat pirmi si kahalapan. Si pagparaturu'-mo, pakulawon nga kinasing-kasing to gayod, gana' sinuruswirti, ngan 
TIT.2.8	tama' i nagparapahalling-mo nga ga'i pwidi asudhi' basi' bisan say magpanguntra si ka'aw agpakamalu'an tungod kay gana' mga iya sapa'arun-arun-na si kita.
TIT.2.9	Sumatin i mga uripon pagsunod gayod si mga amu-na si bisan ay, pagpalipay sito mga a'a, ngan ga'i pagparapinulusupo. 
TIT.2.10	Kinahanglan liwat nga ga'i paglaris si mga amu-na, kundi' agpakulaw lugod nga sadang tarapuran, basi' pina'agi si dimu'an buhat-na, akapa'aghat si bisan say i nagparaturu'-ta hi'unong si Diyos nga Paragsalbar-ta kam.
TIT.2.11	Da'ito sito i pagturu'-mo tungod kay kinakulawan na si dimu'an a'a i mapinalangga'on pagpanginanu-na si Diyos si pagpabawa-na si makabuwan katalwasan. 
TIT.2.12	Tungod kay akakinda kita kam si kadaluman-na, a'aghat kita kam pagdiri' si bisan ay nga ma'in diyusnon pati' si mga kinalibutanon karuyag. Pwira pa sinan, agpasayod to liwat si kita kam kon pinapa'i pagdalom si mga isip-ta, pagbuhat si matadong pati' diyusnon si pag'istar-ta pa ato si kalibutan. 
TIT.2.13	Da'inan hamok sinan i angay kina'iya si pagparapanimulat-ta si nag'anduy-ta nga akabuwan kalipayan ngan kamurayaw nga gana' la'in kon ma'in i pagpada'itu-na gihapon si Jesu-Kristo huwang i maka'angayan danta'-na. Iya i makagagahom Diyus-ta pati' Paragsalbar-ta kam. 
TIT.2.14	Agpa'unung-na i kinabuhi'-na basi' alukat kita kam si pagka'uripon si karat'an ngan basi' pina'agi si paghugas si sala' akatindog iya adda grupo nga kalugaringun-na gayod ngan makibubuhaton si mga kahalapan.
TIT.2.15	Iyay nan dimu'an i angay surumatun-mo. Aghaton i magpanutu'o pag'ako' sito dimu'an ngan i magpandiri' may isugin ngan isplikarin pahalap sigon si pagkagamhanan-mo. Dakaw agtugot nga aniya' si ka'aw magtamay.
TIT.3.1	Pa'intumon i magpanutu'o nga kinahanglan mga iya ma'inaku'-aku'on si mga punu'an, masinunuron si magpantinagal si gubyirno ngan pirmi makibubuhaton si kahalapan. 
TIT.3.2	Kinahanglan liwat mga iya nga ga'i agparapanggutgot, ga'i agparapakihiran kundi' pasinsyuso ngan agpakulaw pirmi si pagkadaluman pati' si pagkamapa'inubsanon si bisan say aha'a.
TIT.3.3	Angay hamok nga da'inan sinan i pagtratar-ta kam si mga iya kay siray akapariho may kita kam si mga iya nga ma'in mga madunong, masinupakon, nagpandaya'an ngan nag'uripon si pala'in-la'in klasi si kinalibutanon kasindak pati' karuyag. Pariho si mga iya, agara' kita kam siray pagtuyo' pagpasakit si la'in pati' pagka'awa', ngan agsihurumut-humutay. 
TIT.3.4	Pero ngan pagpakulaw-na si kadaluman-na pati' gugma'-na si Diyos nga Paragsalbar-ta kam, 
TIT.3.5	agtalwas-na kita. Ma'in tungod si mga matadong buhat-ta nga aruyag iya pagtalwas, kundi' tungod kay angabat iya kalu'oy para si kita. Agtalwas-na kita pina'agi si pagpabawa si Espirito Santo paghugas si kina'iya-ta pagpara' si sala' basi' akabuwan baha'o kinabuhi' ngan akapabag'o si kita. 
TIT.3.6	Ga'i ag'alang-alang i Diyos pagpa'ayop si kita si Espirito Santo pina'agi si Jesu-Kristo nga Paragsalbar-ta. 
TIT.3.7	Agda'inan sinan i Diyos basi' agkahirimo kita kam mga iridiru-na ngan tungod sinan, sa'angkun-ta i kasiguruhan si nag'anduy-ta kinabuhi' nga gana' katapusan-na. Mga iridiro kita kam tungod kay para si iya mga matadong kita kam ngan sa'angkun-tay nan pagkamatadong pina'agi si mapinalangga'on pagpanginanu-na. 
TIT.3.8	Iyay nan i allingon nga sadang tarapuran. Sanglit karuyag-ko nga pusukado kaw pagsumat mahi'unong sinan dimu'an, basi' i magpantapod si Diyos agdisidir pirmi pagbuhat si kahalapan. Iyay nan gayod i bali halap ngan mahaya sinan i kapulsanan-na para si dimu'an.
TIT.3.9	Pero dakaw pahuwang si mga bararagaw nga ga'i aggamit si kadunong pati' i parti si mga ginikanan-na si ka'aha'an. Da'inan liwat, dakaw pahuwang si pagpakidibati pati' pagpakihiran mahi'unong si bala'od, kay gana' gayod sinan kadatahan-na. 
TIT.3.10	Parti namay si a'a nga agparapabulag si magpanutu'o, waydungin dahulo iya si primiro ngan kon si kaduwa bisis ga'i pa iya mamati', dakaw agpata'an nga akabawa pa iya si mga a'a pina'agi si mga turu'-na. 
TIT.3.11	Akasiguro kaw nga yaynan klasi a'a gana' sa'isipan-na mahalap ngan addangan iya nga agtuyo' pagsala' kay mismo iya akatu'anan nga mara'at i mga buhat-na.
TIT.3.12	Papada'inan-ko si Artemas o ma'in ngani' si Tiquico. Si panakka-na, talinguha'on nga pada'iray-mo ako ari si syudad Nicopolis, kay akapinsar ako pagpalipas ari si tigtugnawon. 
TIT.3.13	Himu'on i sahimu-mo pagbulig si Zenas nga abugado pati' si Apolo para si pagbiyahi-na mga iya. Paniguruhon nga gana' mga iya pangulangan-na. 
TIT.3.14	Para si ka'aradda-ta magpanutu'o, kinahanglan nga tagama-na i mga kalugaringun-na pagbuhat pirmi si kahalapan basi' ga'i mga iya angulang si mga pangallaw-allaw kinahanglanun-na si la'in ngan basi' ga'i akawang i mga kinabuhi'-na.
TIT.3.15	Mangumusta si ka'aw i intiro kahuruwangan-ko. Pangumustahin na hamok kami' si magpanhigugma' si kami' tungod si pag'arabuyon si pagtu'o. Amalako kami' nga padayun-na si Paragdalom i mapinalangga'on pagpanginanu-na si ka'am dimu'an anan.
PHM.1.1	Tikang to surat si Pablo nga apriso tungod si pagsirbi-ko si Kristo Jesus. Atiya' agtangka' si ako si Timoteo nga bugtu'-ta kam si pagtu'o.
PHM.1.1	Tigsurat-koy to para si ka'aw Filimon, ka'aw nga hinigugma' kami' kumpaniya pati' katumuy-tumoy si trabaho 
PHM.1.2	huwang na si Apia
PHM.1.3	Amalako ako si Diyos nga Tatay-ta kam pati' si Paragdalom Jesu-Kristo nga sa'angkun-bi i mapinalangga'on pagpanginanu-na pati' i kamurayaw-na mga iya.
PHM.1.4	Pirmi agpasalamatan-ko i Diyus-ko bisan sumiran kaw sa'intuman-ko si pagparapangadyi'-ko, 
PHM.1.5	kay akapakali ako hi'unong si pagtu'u-mo si Paragdalom Jesus pati' i paghigugma'-mo si dimu'an kapararihu-mo nagtagama paghuwang si Diyos. 
PHM.1.6	Agparapangadyi' ako nga magin sibot kaw si pagparapa'ambit si pagtu'u-mo, basi' akabuwan kaw si espirituhanon pagsabot hi'unong si dimu'an mga mahalap sakarawat-ta tungod si pag'adda-ta na si Kristo. 
PHM.1.7	Bugtu'-ko, i gugma'-mo i magbuwan si ako mahaya kalipayan pati' kali'awan kay pina'agi si ka'aw, agpanlaksi gihapon i mga alabatan-na si mga nagpanagama paghuwang si Diyos.
PHM.1.8	Sanglit tungod sinan dimu'an, bisan kon aniya' na kunta' katungud-ko tungod si pag'adda-ko na si Kristo nga samandaran-ta kaw pagbuhat si kinahanglanon, 
PHM.1.9	ga'i nan himu-ko, kundi' makimalu'oy ako dina si ka'aw sigon si gugma' bisan kon ako si Pablo nga idaran na ngan apriso tungod si pagsirbi-ko si Kristo. 
PHM.1.10	Aniya' nagpalaku-ko si ka'aw mahi'unong si dadi'-ko Onesimo, nga ahimo dadi'-ko si kaprisu-ko. 
PHM.1.11	Ngan siray, day gana' gayod kapulsanan-na sito dadi' para si ka'aw, kundi' ina'anto, mahaya na i kapulsanan-na, ma'in hamok si ka'aw pero hasta pa liwat si ako.
PHM.1.12	Atiya' gihapon iya agpabwilta-ko si ka'aw, iya nga pinalangga'-ko gayod. 
PHM.1.13	I karuyag-ko ngani' kunta' nga hawiran-ko iya basi' sahuwangan-na ako ato myintras nga atiya' pa ako apriso tungod si pagparapasamwak-ko si mahalap sumat. Kon da'inan sinan, sapanginanu-na i mga buruhaton nga tawa'-mo kunta' kon ato kaw. 
PHM.1.14	Pero ga'i ako aruyag pagbuhat bisan ay kon ga'i kaw dahulo agsaritan-ko basi' bisan ay i sahimu-mo, atuman nan tungod kay iya gayod i karuyag-mo ngan ma'in pinirit. 
PHM.1.15	Tingali i rason kon ay kay akabulag iya dahulo si ka'aw kali'-kali', basi' si titakka uras ga'i na kam gayod agkabulag pa hasta si kahastahan. 
PHM.1.16	Sinan uras, ma'in na iya uripun-mo kundi' adda na hinigugma'-mo bugto' si pagtu'o nga iya i pinakamahalap para si ka'aw. Para namay si ako, addangan iya si bali tapit si ako, pero sigurado nga mas matapit iya si ka'aw bilang a'a-mo ngan hasta pa bilang bugtu'-mo nga ag'adda na si Ginu'o.
PHM.1.17	Sanglit kon agkilala-mo may ako dina nga kapadis-mo, karawaton iya pariho nga day ako hamok i nagkarawat-mo. 
PHM.1.18	Kon aniya' may dina sahimu-na sala' o ma'in ngani' aniya' sa'utang-na si ka'aw bisan ay, palistahon na hamok si ako dimu'an. 
PHM.1.19	Ako si Pablo magsurat to si kalugaringun-ko purma ngan ako si ka'aw i mamayad sinan dimu'an, bisan ako dina i sa'utangan-mo si bug'os kinabuhi'-mo. 
PHM.1.20	Bugtu'-ko, mahaya i pag'anduy-ko nga aniya' saprubitsaran-ko tikang si ka'aw tungod si pag'adda-ta si Ginu'o. Palaksihon gihapon i alabatan-ko bilang kaparihu-mo nga ag'adda na si Kristo. 
PHM.1.21	Agtapod ako si pagkamasinunurun-mo si pagsurat-ko sito kay akatu'anan ako nga maniguro kaw paghimo anmas pa si nagpalaku-koy to.
PHM.1.22	Pwira pa sinan, andamin ako si mga kwartu-bi nan anan kay agla'om ako nga pinaguwa' ako ato ngan sabisita-ta kaw anan pagtuman si mga pangadyi'-mo.
PHM.1.23	Mangumusta si ka'aw anan si Epafras, nga atiya' apriso huwang si ako tungod si pagsirbi-na si Kristo Jesus. 
PHM.1.24	Mangumusta liwat bali' si ka'aw i mga libri katumuy-tumuy-ko si trabaho nga kas Markos, Aristarco, Demas pati' Lukas.
PHM.1.25	Amalako kami' nga padayun-na si Paragdalom Jesu-Kristo i mapinalangga'on pagpanginanu-na si mga espiritu-bi.
HEB.1.1	Siray mga panahon, agpahalling i Diyos pada'iray si kapapu'an-ta kam pina'agi si mga paragsumat. Agbuhat-nay to sadurudiki'it ngan si pala'in-la'in pa'agi. 
HEB.1.2	Pero si ina'anto pangultimo panahon, agpahalling iya pina'agi si addangan dadi' nga nagpili'-na bilang iridiro si dimu'an ngan nagpahimu-na si kalibutan pati' si kalangitan. 
HEB.1.3	Agsirak tikang ato sito dadi' i ka'angayan-na si Diyos, ngan gana' pagkala'inan-na si mga kina'iya-na mga iya. Iya i magmangno si dimu'an basi' akapadayon to pina'agi si gamhanan allingun-na. Pakatuman-na si kinahanglanon para akahugasan i mga sala', aningkulo' iya si kawanan-na si Harangdon ari si langit. 
HEB.1.4	Kon sugad, kinaklaruhan nga labaw gayod iya si mga anghel pariho may nga i dati nagpatu'in si iya aron
HEB.1.5	Kay gana' gayod nagpinugad-na si Diyos si bisan say si mga anghel-na,
HEB.1.5	“Ka'aw i Dadi'-ko;
HEB.1.5	ina'anto publikar-ko nga ako i Tatay-mo.”
HEB.1.5	O ma'in ngani' si pagpinugad,
HEB.1.5	“Ako i magin Tatay-na,
HEB.1.5	ngan iya i magin Dadi'-ko.”
HEB.1.6	Ngan agpinugad liwat sito i Diyos mahi'unong si pagpabawa-na si suhag-na ato si kalibutan,
HEB.1.6	“Kinahanglan ag'ampo' si iya i dimu'an ka'anghelan-ko.”
HEB.1.7	Parti si mga anghel, yayto i nagpahalling-na si Diyos,
HEB.1.7	“Aghimu-ko i mga anghel-ko
HEB.1.7	mga rilihugon nga day bariyo,
HEB.1.7	pati' mga paragsirbi nga day mag'arab-arab api.”
HEB.1.8	Pero pada'iray si dadi', yayto dina i nagpahalling-na si Diyos,
HEB.1.8	“Ka'aw nga Diyos, i trunu-mo agpabilin hasta si kahastahan,
HEB.1.8	ngan i pagkamatadong i nagpalangngan-mo si ginhadi'an-mo.
HEB.1.9	Abawa pirmi i kasing-kasing-mo si pagkamatadong ngan asulya' kaw si karat'an,
HEB.1.9	sanglit ngani' ako nga Diyus-mo, agpa'undong si ka'aw labaw si mga kahuruwangan-mo
HEB.1.9	ngan bali kaw kalipayan.”
HEB.1.10	Agpinugad-na liwat iya si Diyos,
HEB.1.10	“Ka'aw nga Paragdalom, si panikangan agtindug-mo i pundasyun-na si kalibutan,
HEB.1.10	ngan i kalangitan, hinimu-na liwat si mga tamburu'-mo.
HEB.1.11	Aniya' mga iya kabubungkagun-na, pero agpadayon kaw.
HEB.1.11	Si katapusan, akapariho mga iya si magsilhagan na bado'.
HEB.1.12	Gana' na nagkinahanglanan-mo si mga iya pariho si magnipisan na pammakurumbot nga angay na hamok nagtipig,
