MAT.1.1	Jesukrístu we̱a̱trí̱ ju̱ áiniawai. Tura ashí naṉkaamas ti uunt we̱a̱t Tawitcha Apraámsha áiniawai. 
2PE.3.7	Tura Yus tiniu asamtai nayaimpisha nuṉkasha yamáiya nuka jiji̱a̱i̱ emesnarat tusa ikiusma áiniawai. Yus áentsun nekapsattana nu tsawantai̱ yajauch aents emesnartatui; tura jisha nu tsawantai̱ nuṉkancha nayaimpincha áesattawai.
2PE.3.8	Tura ju̱sha, aneamu yatsurtiram, enentáimsatarum. Uunt Krístuja̱i̱ṉkia chikichík tsawant mir uwiya núniskete; mir uwisha chikichík tsawanta núniskete. 
2PE.3.9	Uunt Kristu, “atak tátatjai” tana nuna umitsuk meṉkakashtatui. Áyatik áentsti “wau taatsui” taji. ¿Urukamtai wau taatsua? In áentstin nákarmaji. Shuar chikichkísha meṉkaka̱i̱ṉ tusa nakitiawai. Antsu ashí shuar enentái̱n yapaji̱áwarat tusa wakerawai. 
2PE.3.10	Túrasha Uunta tsawantri̱ aya aneachma jeattawai. Kasa aya aneachma kiritniunam taana núnisaṉ tátatui. Nu tsawantin nayaimpisha ipiamta núnis charáa timiatai meṉkakattawai. Tura nui̱ ashí írunna núurtiuk esaawartatui. Tura nuṉkasha tura ashí írunna nusha esaawartatui.
2PE.3.11	Ashí nu emesnartin neka asarum atumsha imiá nekas Yus tuke enentáimtusrum, takamtsuk umirkarum wekasatniuitrume. 
2PE.3.12	Yusa tsawantri̱ wárik tati tusar, jintiá íimprusar nákastiniaitji. Nu tsawantai̱ nayaimpisha esáa emesnartatui, tura ashí írunna núurtiuk ti tsuer ajas entsamnattawai. 
2PE.3.13	Tura iikia yamaram nayaimpisha, yamaram nuṉkasha ati tusar nákaji. Nu átatui, tímiayi Yus. Tura nui̱sha aya péṉkerak átatui.
2PE.3.14	Nu tuma asamtai, aneamu yatsurtiram, ju̱ túrunati tusarum nákarmena nui̱, imiatkinchanum wekasam chamir enentáimja̱i̱ makuuchmin Yus wáitkiati tusarum wekasatarum. 
2PE.3.15	Ju̱ nekaatarum. In uwemtikramprataj tusa Yus ti nákarmaji. Ii aneamu yachi Páprusha núnisaṉ Yus ni nekatairi̱n susamia tímiatrusaṉ áatrampramarme. 
2PE.3.16	Ashí papí aarmia nui̱ Pápruka wi tajana nuna chichaawai. Kame ni áarmari̱ chíkichka ishichik nekaachminiusha áiniawai. Nékachu ainia nú shuarsha, tura Yúsnum tariarcha ainia nusha Papru áarman yapaji̱áwar nusháa jintintiainiawai. Tura chíkich chichamsha Yus-Chichamnumia̱ ana nuna núnisaṉ túruiniawai. Túmainiakka niṉki emesmamainiawai.
2PE.3.17	Wátsek, aneamu yatsurtiram, túruntsa̱i̱ṉ ujakjarmena nu neka asarum, yajauch shuar anaṉkramattsa wakerutmainiak awajimtikrura̱i̱ṉ tusarum, tura Yusai̱ tariarurmena nuyá iniara̱i̱j tusarum anearum wekasatarum. 
2PE.3.18	Tura ii Uuntri̱ Jesukrístu in Uwemtikkiartin ana nu, yamái nékarmena nú naṉkaamas nekaatarum. Tura enentáimin nú naṉkaamas tariarum wetarum. Yamaisha tura tuke, ii Uuntri̱ Jesukristu náari̱n uunt awájsartí. Nu atí.
1JN.1.1	Ashí naṉkamamia nú yaunchu Yusa Uchiri̱ tuke pujuuyayi. Nusha iisha anturkaitji. Nekas ii ji̱i̱ji̱a̱i̱ wáinkiaitji. Wáinkiarsha ii uwejé̱ja̱i̱sha antiṉkiuitji. Niisha Yúsan ti paant awajeakᵤ, Chícham tíminiaiti. Tura tuke iwiaaku átinia nérennuiti. Nuna áateajrume. 
1JN.1.2	Iwiaaku átinia nérenniusha paant nekanamiayi, nusha Jesukrístuiti. Iisha Nii wáinkia asar nu étsereaji. Tura tuke iwiaaku átinia nérenniuri̱ asa tuke Yus Apaja̱i̱ pujuyayi. Tura yamaikia i̱i̱ni paant ajatramsakrin atumniasha ujaajrume. 
1JN.1.3	Ii Yus Apaja̱i̱sha ni Uchiri̱ Jesukrístuja̱i̱sha tsaniṉkiar nekas chikichík ajaji. Tura atumsha núnisrumek iiji̱a̱i̱ chikichík ajasuk tusar wáinkiamajnia nuna anturkamajnia nunasha ujaajrume. 
1JN.1.4	Ti shiir warastarum tusan ju̱na áatjarme.
1JN.1.5	Yus imiá tsáapnin asamtai kiritin Ni̱i̱nkia peṉké atsawai. Nu chichaman Jesukrístu in unuitiamprakrin nuna atumniasha ujaajrume. 
1JN.1.6	“Niiji̱a̱i̱ tsaniṉkia pujaji” táyatar kiritniunam pujustinia áintsar tunaanum pujakrikia wáitraji tura nekas péṉker ana nu túratsji. 
1JN.1.7	Yuska tuke tsáapninium pujuwiti. Iisha núnisrik tuke tsáapninium pujakrikia nuámtak nawamnaikiar pujuiniaji. Túrakrin Yus ni Uchiri̱ Jesukrístu numpé̱ja̱i̱ ashí ii tunaari̱ japirtamji.
1JN.1.8	“Wi tunaan túrichuitjai” tákurkia ímia iik anaṉmamaji. Nekas ana nu nékatsji. 
1JN.1.9	Antsu ii tunáari̱ Yus paant ujakrinkia Yuska tsaṉkurtamprattaji. Tura ii tunaari̱n asakátramprattaji. Yuska ti peṉker asa Nii tana nuna tímiatrusaṉ umikmin asa túrattawai. 
1JN.1.10	Kame “Tunaan túrichuitjai” tákurkia nuja̱i̱ “Yus wáitriniaiti” taji. Ni chichame̱sha ii enentái̱n pujurtamtsuji.
1JN.2.1	Yus-shuartiram, tunaanum iniaara̱i̱rum tusan ju̱ papí áateajrume. Túrasha Yus-shuar tunáa túramtaiṉkia Apa Yusan ii áujturmau awai. Nuka Jesukrístuiti. Niisha ti peṉkeraiti. Niisha Yúsan áujturmakui Yusja̱i̱ ataksha iwiaarar pujustatji. 
1JN.2.2	Jesukrístu ii tunaari̱n asakártaj tusa jarutramkamiaji. Túrasha aya íiniunkechu antsu ashí shuara tunaari̱n asakártaj tusa jarukmiayi.
1JN.2.3	Yus tana nu umirkurkia nuikia Yus nekas nékaitji. 
1JN.2.4	Tura shuar “Yúsan nékaitjai” tayat Yus tana nuna umirchakka wáitrawai. Nekasa nuka ni enentái̱n atsawai. 
1JN.2.5	Antsu shuar Yus tana nuna umireakka Yúsan ti shiir aneawai. Túrakur Niiji̱a̱i̱ tsaniṉkiar pujamu nékaji. 
1JN.2.6	“Yusja̱i̱ tsaniṉkia wekaajai” tana nú shuar Jesukrístu wekasamia núnisaṉ wekasatniuiti.
1JN.2.7	Yatsuru, yamaram akupkamun áattsujrume. Áyatik yámankamtaiknumia̱ antukmiarum nunak tájarme. Ashí atumin jintintiamu yaunchu akupkamuiti. 
1JN.2.8	Túmaitiat nekas yamarma áitkiasnak áateajrume. Nu akupkamun Kristusha nekas iniakmasmai. Atumi̱i̱ncha nu akupkamu nekas paant awajsamuiti. Nuja̱i̱ kiritin meṉkaatemka asamtai tura nekas tsaapniṉkia paant tsaapnirtasa pujakui nu akupkamun ataksháa aateajrume.
1JN.2.9	Shuar “tsáapninium pujajai” táyat chíkich Yus-shuaran nakitiakka tuke kiritniunam wekaawai. 
1JN.2.10	Yus-shuaran aneana nu nekas tsáapninium pujawai. Niisha iniaatsuk chikichnasha tunaanum aju̱archamniaiti. 
1JN.2.11	Tura shuar chíkich Yus-shuaran nakitiakka kiritniunam tuke wekaawai. Tura kiritniunam iimiu asa itiuraani wea nuna nékatsui.
1JN.2.12	Uchitirmincha, Jesukrístu jakamuja̱i̱ atumí tunaari̱ tsaṉkurnaru asakrumin ju̱na áateajrume. 
1JN.2.13	Úuntirmincha yámankamtaiknumia̱ tuke pujuuya nu nekáa asakrumin ju̱na áateajrume. Úunmarutirmincha uunt iwianch nupetka asakrumin ju̱na áateajrume.
1JN.2.13	Uchitirmincha, Yus Apa nekáa asakrumin áateajrume. 
1JN.2.14	Úuntirmincha yámankamtaiknumia̱ tuke pujuuya nu nekáa asakrumin ju̱na áatjarme. Úunmarutirmincha atumí enentái̱ji̱a̱i̱ Yus-Chicham umirkarum kakaram asarum íwianch nupetka asakrumin ju̱na áatjarme.
1JN.2.15+1JN.2.16+1JN.2.17	Aya áentsnumia̱ ana nu yakiya̱nchuiti. Apa Yus súsachuiti. ¿Warimpiait nu? Jú̱iti: ame aya̱shim wakerana nusha, ame íisam takustaj támena nusha, tura naṉkaamantu ajastin. Nuka ju̱ nuṉkanmaya̱ áiniawai. Shuar aya nunak wakerak Yúsnaka aneatsui. Kame ju̱ nuṉkasha amuukattawai. Ashí nu wakeruktincha ti nekas amuukattawai. Túrasha shuar Yusa wakeramuri̱n umíana nu tuke iwiaaku pujustatui Yusja̱i̱. Nu asamtai atumsha ju̱ nuṉkanam ana nu pachikiairap. Tura aya ju̱yá ana nu aya tákustin enentáimsáip.
1JN.2.18	Uchirú, amuukatin tsawant jeatemayi. Atumsha Kristu nemasri̱ tátin antukuitrume. Yamaikia untsurí̱ Kristu nemasri̱ wantinkiarmatai amuukatin tsawant jeatemayi. 
1JN.2.19	Nusha ii weeak ármayi. Túmaitiat nekas Yus-shuar ácharmayi. Nekas Yus-shuar áiniakka tuke iiji̱a̱i̱ irunar pujuara̱a̱yi. Tura jíinkiarmatai nekas Yus-shuarcha ainia nu paant nekanamniaiti.
1JN.2.20	Antsu atumniaka Yusa Shiir Wakani̱n Kristu suramsamtai ashí paant nékarme. 
1JN.2.21	Nékachuitrume tu enentáimkiun áattsujrume. Antsu nekas chicham ana nu neka asakrumin paant áatjarme. Wáit-chichamsha nekas-chichamsha peṉké nushaachuk ainia.
1JN.2.22	Wáitrin jú̱iti: Jesusan “Yus anaikiamuka Krístuchuiti” tana núiti. Núiti nekas Kristu nemasri̱. Yus Apancha ni Uchiri̱ncha nakitia asa Kristu nemasri̱nti. 
1JN.2.23	Yusa Uchiri̱n nakitiainia nu Yus Apaja̱i̱sha tsaniṉ pujatsui. Tura Yusa Uchiri̱n shiir awajea nu, Yus Apaja̱i̱sha tsaniṉ pujawai.
1JN.2.24	Yámankamtaiknumia̱ antukmiarum nu atumí enentái̱n pujurtamsati. Nu túrakrum atumsha Yusa Uchiri̱ji̱a̱i̱sha Yus Apaja̱i̱sha tuke tsaniṉkrum pujustatrume. 
1JN.2.25	Jesukrístusha Niiji̱a̱i̱ tuke iwiaaku pujustinian tsaṉkatramkaitji.
1JN.2.26	Anaṉkartin írunkui ju̱na áatjarme. 
1JN.2.27	Atumniasha Jesukrístu Yusa Shiir Wakani̱n suramsakrumin, nu Wakan tuke pujurtamkurmin shuar jintintramatin atsumatsrume. Antsu Yusa Wakani̱ ashí jintintramprume. Ni jintintrammasha imiá nekas asa wáitchaiti. Tuma asamtai Nii jintintramna áintsarum Krístuja̱i̱ tuke tsaniṉkrum pujustarum.
1JN.2.28	Yamaikia, uchiru, Krístuja̱i̱ tuke tsaniṉkrum wekasatarum. Nu túrakrikia Nii támatai natsa̱mtsuk ti shiir iṉkiunaiktatji. 
1JN.2.29	Atumsha Jesukrístu ti peṉkera nu nékarme. Núnisaṉ ashí shuar péṉkeran túruinia nuka Yusa uchiri̱ áiniawai. Nusha nekaatarum.
1JN.3.1	Maa, shiir enentáimpratarum. Yus Apa ti anenma asa “winia uchir” tu anaitiamkaitji. Kame nekas ni uchiri̱ntji. Tuma asakrin jú̱ nuṉkanmaya̱ Yús-shuarcha nekarmainiatsji. Kame Yusnasha nékainiatsui. 
1JN.3.2	Aneamu yatsurtirmea, ju̱na tájarme: nekas Yusa uchiri̱ ajasuitji. Kame ukunam urukuk átajⁱ nusha nékatsji. Túrasha ju̱ paant nékaji: Jesukrístu támatai imia Nii paant wáinkiar Niiji̱a̱i̱ métek ajastatji. 
1JN.3.3	Tura shuar shiir enentáiji̱a̱i̱ nuna nákakka imia niṉki shiir awajmamui Jesukrístuja̱i̱ métek shiir atajai tusa.
1JN.3.4	Shuar tunáa túrakka Yus akupkamu umirkachuiti. Kame núiti tunaaka Yus akupkamu umirkashtin. 
1JN.3.5	Jesukrístu ii tunaari̱ asakártaj tusa ju̱ nuṉkanam támia nu nékarme. Tura Niṉkia tunaan túrichuyayi. 
1JN.3.6	Tuma asamtai shuar Niiji̱a̱i̱ tsaniṉ wekáa nuka tunaanum wekaatsui. Antsu shuar tunaanum wekaakka nu shuar Krístun wáinchaiti, núnisaṉ nékachuiti. 
1JN.3.7	Uchiru, shuar anaṉkramawairap. Péṉker túrinkia Kristu ti peṉker asamtai niisha péṉkeraiti. 
1JN.3.8	Antsu shuar tunaanum wekaana nu iwianchnaiti íwianch tuke tunaan túrin asamtai. Yusa Uchiri̱ ju̱ nuṉkanam táwiti ashí íwianch túramun emesrataj tusa.
1JN.3.9	Shuar nekas Yusja̱i̱ akiinia nu tunaanum wekaatsui. Yusa uchiri̱ asa Yusa iwiaakmariji̱a̱i̱ wekaawai. Tuma asa tunaanum tuke wekaatsui. 
1JN.3.10	Shuar péṉker túratsna nuka tura Yus-shuaran kajera nuka Yus-shuarchaiti. Nuja̱i̱ Yusa uchiri̱ ainia nusha tura iwianchi uchiri̱ ainia nusha paant nekaamniaiti.
1JN.3.11	Atumsha yámankamtaikniumia̱ chicham antukmiarum nu jú̱iti: mai anenai ajartin. 
1JN.3.12	Iisha Kaíṉkia áanin áchatniuitji. Íwianch-shuar asa ni yachi̱n máamiayi. Tura ¿urukamtai maamia? Enentaimprata. Nii yajauch asa tura ni yachi péṉker asamtai máamiayi.
1JN.3.13	Yatsurtiram, ju̱ nuṉkanmaya̱ shuar nakitramainiakui ti enentáimsairap. 
1JN.3.14	Iikia jákatniunmaya̱ uwempra asarⁱ nekas iwiaaku pujaji. Túmakur Yus-shuar ainia nu aneaji. Nu̱ja̱i̱ yamaram iwiaakma takakjinia nu imiá páantaiti. Shuar Yus-shuaran aneachkuṉka tuke jákatniunam wekaawai. 
1JN.3.15	Shuar Yus-shuaran nakitiakka maṉkartinia núnisaiti. Tura maṉkartinkia tuke amuicha iwiaakmanum pujuiniatsui. Nuka nékaji. 
1JN.3.16	Jesukrístu in jarutramka asakrin nuja̱i̱ nekas in anenmaj nu nékaji. Iisha núnisrik Yus-shuar ainia nu ti aneakur ni yaiṉtai tusar jarukmin átiniaitji. 
1JN.3.17	Túrasha shuar chíkich Yus-shuar atsumana nuna takakiat waitnentachkuṉka nekas ni enentái̱ji̱a̱i̱ Yúsan aneawash. 
1JN.3.18	Uchiru, aya chíchamja̱i̱ṉ anenain áchatniuitji antsu nekas aneniakur péṉker túrar yáiniaiktiniaitji.
1JN.3.19	Ju̱ja̱i̱ ii Yúsai̱ sapijmiatsuk jeatniusha tura nekas Yus-shuaraitji nu nekaatniusha nekapmampramniaitji. 
1JN.3.20	Ii enentái̱ yajauch túramun enentáimtikramkurnisha Yus iiji̱a̱i̱ naṉkaamas ashí mash nékatsuk. 
1JN.3.21	Tura, aneamu yatsurtiram, ii enentái̱ yajauch túramun enentáimtikramchakrinkia Yúsai̱ sapijmiatsuk jeamniaitji. 
1JN.3.22	Tura ni wakeramu túrakrikia tura ni chichame̱sha umiru asakrin ashí ii seaj nuna suramsattaji. 
1JN.3.23	Jú̱iti Yus akupkamu: ni Uchiri̱ Jesukrístu nekas enentáimtustin tura Kristu timia áintsarik shuartisha mai anenai ajartin. 
1JN.3.24	Shuar ni chichame̱n umía nuka Yusja̱i̱ tsaniṉ wekaawai tura Yus niiji̱a̱i̱ tsaniṉ wekaawai. Mai chikichik ajasu áiniawai. Tura Yusa Wakani̱ ii enentái̱n pujá asamtai nuja̱i̱ Yus i̱iji̱a̱i̱ tsaniṉ wekaana nu nékaji.
1JN.4.1	Aneamu yatsuru, untsurí̱ shuar wáitruiniak “wi Yúsnan etserniuitjai” tuiniawai. Tuma asamtai ashí shuar “wi Yusa Wakani̱n takakkun chichaajai” tuinia nu péṉker nekaptsuk enentáimtusairap. Antsu íisrum nekas Yusa Wakaní̱mpiashit tura chíkich wakaniashit nu nekaatarum. 
1JN.4.2	Ju̱ja̱i̱ nekapsarum ya nekas Yusa Wakani̱n takaka nu nekaattarme: Shuar “Jesus Yusa Uchiri̱ Krístuitiat nekas aents ajas aya̱shimkiamiayi” tana nu Yusa Wakani̱n nekas takakui. 
1JN.4.3	Tura Jesusan tu enentáimtatsna nuka Yusa Wakani̱n takaktsui antsu Kristu nemasrí̱ wakani̱n takakui. Kame Kristu nemasri̱ wakan tátin tama ántichukaitrum. Nu wakan yamaikia ju̱ nuṉkanam táwiti.
1JN.4.4	Uchiru, átumka Yusna asarum Yus atumí enentái̱n pujawai. Tura ju̱ nuṉkanmaya̱ shuara enentái̱n íwianch pujawai. Atumi̱i̱n pujana nuka niiji̱a̱i̱ naṉkaamas kakaram asamtai wáitrin ainia nu nupetkaitrume. 
1JN.4.5	Niisha ju̱ nuṉkanmaya̱ ásar aya ju̱ nuṉkanmaya̱n áujmatainiawai. Túmainiakui ju̱ nuṉkanmaya̱ shuar ti peṉker anturainiawai. 
1JN.4.6	Antsu iikia Yúsnaitji. Tuma asakrin Yúsan nékainia nu anturtamainiaji. Tura Yúsnachu ainia nu anturtamainiatsji. Nu̱ja̱i̱ nekas Wakanin takakusha tura wáitrin wakanin takakusha nekaamniaiti.
1JN.4.7	Aneamu yatsuru, anenaitin Yúsnumia̱ asamtai mai anenai ajartai. Shuar aneṉkratniua nuka Yusa uchiri̱ asa Yúsnancha nékawai. 
1JN.4.8	Shuar aneṉkratcha nuka Yúsnanka nékatsui. Kame Yuska tuke aneṉkratniuiti. 
1JN.4.9	Tuma asa ni Uchiri̱ chikichkiniak ju̱ nuṉkanam akupturmakmiaji. Iisha ni túrunamuja̱i̱ nekas iwiaaku pujaji. Nu̱ja̱i̱ Yus in yáinmak ni aneṉkrattain paant iniakturmasmiaji. 
1JN.4.10	Ju̱ja̱i̱ nekas aneṉkrattaiṉkia paant nekanamniaiti: ii Yus aneaj núchaiti. Antsu ii ti tunáa áriniṉ Nii aneachmaitiataṉ Yuska ti anenma asa ni Uchiri̱n ii tunaarin asakárat tusa akupturmakmiaj nuja̱i̱ nekas nekanamnaiti.
1JN.4.11	Aneamu yatsuru, Yus núnis anenma asakrin iisha núnisrik mai anenai ajartai. 
1JN.4.12	Chikichkisha Yúsan wáinkiachuiti. Túmaitiat mai anenai ajakrikia Yus ii enentái̱n pujurtamkui Niiji̱a̱i̱ métek aneṉkratin ajaji. 
1JN.4.13	Yus ni Wakani̱n suramsa asakrin Yus iiji̱a̱i̱ tsaniṉ wekaana nusha tura ii Niiji̱a̱i̱ tsaniṉkia wekaajnia nusha, nu̱ja̱i̱ nékaji. 
1JN.4.14	Yus Apa ni Uchiri̱n ashí shuaran uwemtikrarat tusa ju̱ nuṉkanam akupkamia nu wáinkia asarⁱ étsereaji. 
1JN.4.15	“Jesus Yusa Uchiri̱nti” tana nu shuarja̱i̱ Yus tsaniṉ wekaawai tura niisha Yusja̱i̱ tsaniṉ wekaawai. Mai chikichik ajasu áiniawai.
1JN.4.16	Yus in anenmajnia nu ti nekas nékaji. Yus tuke aneṉkratniuiti. Tuma asamtai shuar aneṉkartakka Yusja̱i̱ tsaniṉ wekaawai tura Yussha niiji̱a̱i̱ tsaniṉ wekaawai. Mai chikichik ajasu áiniawai. 
1JN.4.17	Núnisar ti peṉker aneṉkartin ajaji. Túrarⁱ súmamtikiatin tsawantai̱ natsa̱mtsuk wajastatji. Kame ju̱ nuṉkanam pujayatrik Jesukrístuja̱i̱ méteketji. 
1JN.4.18	Nekas anenaiyamunam sápij atsawai. Antsu nekas anenaiyamunam sápij meṉkaawai. Aya asutiátin akui sapijmiaktinaiti. Tuma asamtai ántar sapijmiana nu nekas aneṉkratchaiti.
1JN.4.19	Yus emka in anenma asakrin iisha Nii aneaji. 
1JN.4.20	Tura shuar “wi Yúsan aneajai” táyat chíkich Yus-shuaran nakitiakka nuka wáitriniaiti. Kame Yus-shuaran tuke wainnia nuna aneachkuṉka ¿itiurak Yusan wáinchasha aneat? 
1JN.4.21	Yus incha ju̱na turammiaji: Yúsan anea nu shuar chíkich Yus-shuarnasha aneatniuiti.
1JN.5.1	Ashí “Jesus Yusa Uchiri̱ Krístuiti” tu enentáimtana nú shuar Yusa uchiri̱nti. Tura apari̱ aneakrikia ni uchirí̱sha aneattaji. 
1JN.5.2	Yus Apa aneakur tura Nii wakera nu umirkur Yusa uchiri̱sha ashí aneattaji. 
1JN.5.3+1JN.5.4	Yus aneakur Nii tana nu umiktatji. Ashí Yusa uchiri̱ya nu Yúsan nekas enentáimta asa, ashí ju̱ nuṉkanmaya̱ írunna nuna núpeteawai. Nu asamtai Yus tana nu umirkatin itiurchatchaiti. 
1JN.5.5	Aya “Jesus Yusa Uchiri̱nti” tu enentáimtana nú shuar ju̱ nuṉkanmaya̱ ana nuna awakkamniaiti.
1JN.5.6	Jesukristu jú̱ nuṉkanam taa entsaja̱i̱ imiankui Yus nayaimpinmaya̱ chichaak “Juka winia aneamu Uchiruiti” tímiayi. Tura nuyá Jesus jakamtai ni numpé̱ puarmiayi. Entsaja̱i̱ imianin ni takatri̱n naṉkamamiayi túrasha in jarutramak ni takatri̱n amukmiayi ju̱ nuṉkanam. Chikichkinkia túrutsuk mai metek túra asamtai Yusa Uchiri̱ya nu paant nekanamniaiti. Yusa Wakani̱sha tuke nekas tiniua nu métek tawai. 
1JN.5.7+1JN.5.8	Nu asamtai menaint “Yusa Uchiri̱nti” Jesusan tuiniawai: Nayaimpiniam Yus Apa tura Jesukristu, Chícham aa nu, tura Yus Wakancha; nuṉkanmasha Yus Wakancha, entsasha tura numpasha. Mash métekrak tuiniawai. 
1JN.5.9	Aents étserainiakui ántureaji. Nuna naṉkaamas Yus ni Uchiri̱n tana nu nekas anturkatniuitji. 
1JN.5.10	Yusa Uchiri̱n enentáimtana nú shuar ni enentái̱ncha nékawai. Antsu Yus ni Uchiri̱n timian enentáimtatsna nú shuar Yúsan enentáimtachu asa Yúsan “wáitriniaiti” tawai. 
1JN.5.11	Yus ni Uchirí̱n timia jú̱iti: Tuke iwiaaku pujutai nérenniuiti tura nu iwiaakmancha in suramsaitji. 
1JN.5.12	Yusa Uchiri̱ji̱a̱i̱ tsaniṉ wekaana nú shuar, nu iwiaakmaja̱i̱ iwiaaku pujuiniawai. Tura Yusa Uchiri̱ji̱a̱i̱ tsaniṉ wekaatsna nú shuar, nu iwiaaku átinnium pujatsui.
1JN.5.13	Yusa Uchiri̱ nekas enentáimtakrum tuke amuicha iwiaakmaja̱i̱ iwiaaku pujarme. Nu nekaatarum tusan ju̱na áatjarme.
1JN.5.14+1JN.5.15	Yus wakeramuja̱i̱ métek seakrinkia anturtamji. Tura anturtamkurin ii seamaj nu nekas takusua nu enentáimpramniaitji. Nu neka asar Yus ti shiir enentáimtaji.
1JN.5.16	Tunáa awai jákatniunam júana nu. Shuar nu tunaan túramtaiṉkia Yus áujtustin ántraiti. Tura shuar chíkich tunaan túrakuiṉkia nuka nekas Yus áujtustiniaiti. Nekas jákatniunam júatsna nú tunaan túraitkiuiṉkia iwiaaku átinian Yus susattawai. 
1JN.5.17	Ashí yajauchⁱ ana nuka tunaiti. Tura jákatniunam júatsna nú tunaasha awai.
1JN.5.18	Nekas Yusja̱i̱ akiinia nú shuar tunaanum tuke wekaatsui. Antsu Yusa Uchiri̱ nin ti peṉker wainkiui íwianch antiṉkiachminiaiti.
1JN.5.19	Iikia nekas Yúsnaitji tura ashí ju̱ nuṉkanmaya̱ shuar iwianchnia áiniawai. 
1JN.5.20	Yusa Uchiri̱ ju̱ nuṉkanam taa nekas-Yus aa nuna paant jintintramji. Yusa Uchiri̱ Jesukrístuja̱i̱ tsaniṉkia wekaakur nekas-Yusa nuja̱i̱sha tsaniṉkiar wekaaji. Nekas-Yus asa tuke iwiaaku átinia nuna nérenniuiti. 
1JN.5.21	Uchirú, ántar-yus írunna nuí̱ pachiinkiairap. Antsu nuja̱i̱ aneartarum.
1JN.5.21	Nuke atí.
2JN.1.1	Wi Juaṉ Yus-shuara uuntri̱ asan ii umai Yus achikma nuna tura ni uchiri̱ncha ju̱ papin áateajai. Wisha nekasan atumin aneajrume. Tura aya wíkichu antsu ashí Yus-shuar ainia nusha nekas chichaman nekaawaru ásar atumin anenmarme. 
2JN.1.2	Nekas-chicham tuke amuutsuk ii enentái̱n pujá asamtai aneajrume. 
2JN.1.3	Yus ii Apari̱sha tura ii Uuntri̱ Jesukrístusha, Yus Apa Uchiri̱ asa, atumin anenmak imiatkinchanum shiir pujustinian waitnentramak yainmakarti. Nuja̱i̱ nekas-chicham nekaarum anenaittiarme.
2JN.1.4	Ame uchiram Yus Apa akupkamuja̱i̱ métek umiiniakui nuna nekaan ti shiir enentáimprajai. Nekas-chichaman umin áiniawai. 
2JN.1.5	Yamaikia, umaru, tájame: mai anenai ajartai. Yamaram akupkamun áattsujme antsu yámaṉkamtaik antukmiaj nunak tájame. 
2JN.1.6	Nekas aneṉkartinia nú shuar Yus akupkamun uminiaiti. Tura Yus akupkamuka “aneṉkartin tuke atarum” tawai. Nusha yámaṉkamtaiknumia̱ antukuitrume.
2JN.1.7	Ju̱ nuṉkanam anaṉkartincha ti írunui. Jesukrístu nekas aents ajas akiiniamia nuna enentáimtuiniatsui. Nu shuar anaṉkartin ásar Kristu nemasri̱ áiniawai. 
2JN.1.8	Nu shuarja̱i̱ aneartarum. Yajauch shuar ántar yaya̱krumin Yus átum takasman métek akirmakchamniaiti. Antsu aneara takasakrumin Yus métek akirmakarmi.
2JN.1.9	Ashí shuar Kristu jintíamun iniais “naṉkaamas nékajai” tana nu, Yúsnachuiti. Antsu Kristu jintíamun umíana nu shuar Yus Apaja̱i̱sha tura ni Uchiri̱ji̱a̱i̱sha mai tsaniṉ pujawai. 
2JN.1.10	Shuar Kristu chichame̱n jintíachu atumí je̱e̱n írmástaj tusa jeakui awa̱yáwairap tura “shiir taume” tiirap. 
2JN.1.11	Kame nu shuar “shiir taume” tákumka nu shuar yajauch jintíamu jímiareame.
2JN.1.12	Ti nukap atumja̱i̱ áujmatsatniun wakerajai. Túrasha ju̱ papinium mashi áatrashtatjarme. Antsu imia wiki atumin iyakun jeátjái. Nuyá naka chichasar ti shiir warastatji.
2JN.1.13	Ame kaim Yus achikma nuna uchiri̱ amikmaatmainiawai.
2JN.1.13	Nuke atí.
3JN.1.1	Wi Juaṉ Yus-shuara uuntri̱ asan winia amikrun Kayun ju̱ papin áateajai. Wisha ti nekas aneajme. 
3JN.1.2	Aneamu yatsurú, Yusja̱i̱ péṉker wekaakum ame wakanim péṉker pujana núnisaṉ ame aya̱shmisha péṉker atí tusan Yúsan áujtajme. 
3JN.1.3	Ame nekas chicham umirman shuar jui̱ taar ujatkarmayi. Tura nuna antukan ti warasmajai. 
3JN.1.4	Yus-shuar nekas chichaman umiiniakui imiá shiir enentáimtuiniajai.
3JN.1.5	Aneamu yatsurú, chíkich Yus-shuar ti peṉker yaya̱me. Kame yajaya̱ yujainia nusha nekas yaya̱me. Nu péṉkeraiti. 
3JN.1.6	Nu shuar ame nekas anenamun ju̱i̱ taar Yus-shuar iruntramunam etserkarai. Ataksha irauwenakui atsumainiana nu súsam shiir akupkarta. Péṉker wáinkiumka Yus shiir enentáimtikrattame. 
3JN.1.7	Nu shuar Jesukrístun takarsatai tusar wekainiawai. Túrawar Yus-shuarcha ainia nuna kuítri̱ji̱a̱i̱ yurumátniun nakitrarmatai 
3JN.1.8	ii Yus-shuartikia nii atsumainia nu ajamsatniuitji. Nekas chichaman etserainia nu, yaiṉkiartai tusar túratniuitji.
3JN.1.9	Ashí Yus-shuar árumna nuna papin akuptukmajrume. Kame nékajai, Tiútrepes naṉkaamantu enentáimtumak ii tájinia nuna umiktinian nakitiawai. 
