GEN.1.1	Jatíbi peokoonontianra, Diossen nai itan mai jonia iki.
2CO.8.10	Mato akinti kopíra, nato jawékibo en mato yoiai. Wetsa baritia winotatonra, jato akinti shinanres, maton ayamaa iki, atishaman shinanbainxon jato akinkin, maton peoa iki.
2CO.8.11	Jaskara iken rama, ja rayáshaman shinanyaxon, ja maton peoyantana tee senenhakanwe. Akin, ja maton atipana senenbo jakonshaman shinanyaxon akanwe.
2CO.8.12	Jaweratonki jakonshaman shinanyaxon meniai, jakira Dios raroai, jawen atipana senenbiribi meniketian, Diossenra jato jayáomata jawékibo yokáyamai.
2CO.8.13	Eara ja wetsabo akinnax, mato jawebioma ikanti yoiima iki. Senenbireskaya mato akinnananon ixonra en mato jaskai.
2CO.8.14	Ramara jatobiribi jawékinin maxkákanabo ikanaitian, matobiribi jayá ikanai, wetsa netebaonra jatobiribi jayá ixon, mato maxkata jawékinin mato akinkanti iki, jaskatira, mato senenbires jayábo ikanti iki.
2CO.8.15	Wishá meranra ikai: “Ja icha biatoninara, jawebi texeyamaa iki, jatian ja ichama biaribira jawenbi maxkáyamaa iki”, iki.
2CO.8.16	Enra Dios iráke akai, en mato akinnai keskáakinribi, mato akinti shinanya Diossen Tito imaa iketian.
2CO.8.17	Jaskáakin en mato oinni kati yoiara, jan ea jen aka iki, matoakin shinannai ixon, jaskatira keenshamantaanan, rama mato oinni kaai.
2CO.8.18	Já betanra westíora joi akai non wetsaribi non raanai, jara jatíbiainxon joi akaibaon jakonman yoinkanai iki, ja ikon joi yoii jakoni teetai iketian.
2CO.8.19	Jara ja tsinkikana koríki boí noa kaaitian noa akini kanon ixon, jatíbi joi akaibaon katókana iki. Neskarabora, jatíxonbi non Ibo rabikanon ixon, non akai, itan jato akinti shinanyaribi noa onankanon ixon.
2CO.8.20	Nonra ja icha koríki tsinkikanabo bixon, jakonhakin ati shinannai, tsonbi noa jakonmaakinbo yoitima kopí.
2CO.8.21	Jaskara kopíra, jakonhakin jato akintiakinres non shinannai, non Ibo bebonbichoma, jonibo bebonribi.
2CO.8.22	Jato betanra, wetsa non wetsaribi non raanai, janra icha jawékiainbo, jakonhakin noa akinna iki; jatian ramara bebonbires mato akinti shinanke, jaribi matoki koshixon.
2CO.8.23	Ja Titora ebetanbi niai iki, itan mato akinni ebetanbi teetai iki. Jatian ja non wetsa rabéra, non wetsabaon raana iki. Jaton ikábo oinxonra, jonibaon non Ibo rabikanai.
2CO.8.24	Jaskara kopí, ja bokana jonibo, akonkin maton noia oinmakanwe, jaskarainxon jan jato raana joi akaibaon, jaskarakon iketian, non mato rabikin yoipachoairibi, onankanon ixon.
2CO.9.1	Ja joi akaibo akinti koríki tsinkikanon ixon mato yoikin wishaxontinra, ea maxkáyamake,
2CO.9.2	mato akinmisti shinanyabo iketian onannax. Jaskakinra, ja Macedonia main iká jonibo, mato rabibainshamankin en yoia iki. Wetsa baritia winóyantanatonra, mato Acaya main ikábo, jato akinti shinanyabo ikana iki, akin. Jatianra maton jato jaskáakai ninkatax, ja Macedoniain iká icha joi akaibaonribi, jato akinshokoti shinankana iki.
2CO.9.3	Jaskara ikenbira, ja non wetsabo en jain raanai, jaskáakin ja mato yoikin rabiona pekáo, ea jansoresi yoyo ikama iti kopi, ja en yoia keskáshaman mato ikanon ixon.
2CO.9.4	Ja Macedoniainoabo jawetii jonibo betan kaxon, jawebi maton akáma nokonaketian, jara nona westíora rabinti jawéki iti iki, mato jakonhakinbo yoiyona pekáobi, maton senenhama iketian; jatian matoribira noa ikai bebonbires rabinti iki.
2CO.9.5	Jaskara kopíra, jatopari matoiba bokanon ixon, non wetsabo en jato yoike, ja koríki tsinkinoxon maton yoiyantanabo mato senenhakinnnon ixon. Jatianra ja maton koríki menia tsinkikanabo, jakonshaman shinanyaxon maton aká iti iki, ja non ati yoia senenhakinres maton akáma.
2CO.9.6	Nato joi shinankanwe: “Ja ichama banaitonra, ichamaribi bimi tsekai, ja icha banaitonra, icha bimiribi tsekai”, iki iká.
2CO.9.7	Westíoraxonbora, jaton meniti shinannatiibobiribi meniti jake, akáshamaananbi itan ati yoikanaresma, Diossenra, ja raroshaman shinanyaxon jato meniaibo, noike.
2CO.9.8	Diossenra mato icha jakon jawékibo meniti atipanke, ja maxkatainkobo mato jayá ikanti kopí. Jatianra ja meskó tee atinkobo, maton jato akintiribi maxkátima iki.
2CO.9.9	Wishá meranra ikai:
2CO.9.9	“Jawen jayata jawékininra ja yoronaibo jato akinna
2CO.9.9	iki;
2CO.9.9	jatian jawen akinmisti jakon shinanra jawetianbi
2CO.9.9	keyóyamai”, iki.
2CO.9.10	Dios iki ja banai joni banati bero meniai, itan ja jawékiakanti jato meniai, janra maton banábo mato bebonbires bimimaxonti iki, jaskáaxon ja teekan, maton wetsabo jato akinboresti kopí.
2CO.9.11	Jatianra meskó jawékibo meranxon, jatíbia mato imati iki, jaskáaxonra maton wetsaboribi jato akinti iki. Jatian ja koríki maton noo betan bomaketianra, nobé joi akaibaonribi Dios iráke akanti iki.
2CO.9.12	Neskáakin jato akinnoxon non jato boxonaibora, jan maxkákana kopíres non jato boxonaima iki, jatianra jabaon ichabiresakin Dios rabikanti iki.
2CO.9.13	Jatian neskáakin maton jato akinnabo bixonra, jabaonribi Dios rabikanti iki, ikoni ja Cristokiriti iká, bená join yoiai keskábo maton senenhaitian, itan jato itan wetsaboribi akinnoxon maton jato bomaa iketian.
2CO.9.14	Jainxonra matokiribi orankantiki, jakonshaman shinanyaxon, Diossenbi jawen akinmisti shinanya mato imaa iketian.
2CO.9.15	¡Dios iráke anon akanwe, jawe kopímabi ani jakon jaweki noa menia iken, jara jaskáshamanhakin non iráke ati joibo yamake!
2CO.10.1	Ea riki Pablo, ja Cristonbi atinra, noixon jakon shinantaanan, en mato yoiai, jatíribiboki ikanai ea yoii, ja mato xaran ikaxki ikai ea raketi, jatian ochó ixonreski akai, koshi joibaon en mato notsinkin ikibo.
2CO.10.2	En mato yoiai riki, mato oinni ea kaketian, ja mato betan ikábo jato notsinyamapainra ea iki kaai ixon. Ja nonronki, ja nekeabi jonibaon shinannai keskáres, akai ixon noa yoiaibokayara en akasai jaskáakin notsinkin.
2CO.10.3	Ikon riki, noa jonibo reteananai, ikaxbira ja nato netemea jonibo reteananai keskati noa iamai.
2CO.10.4	Noa jayakax jan reteananai jawékibora, nato netemeax jan reteanankanai keskáma iki; ja riki Diossen atipana koshi, jan jatíbi jaki koshikana jawékibo ras ati atipana,
2CO.10.5	Jaskaratonra ja jaki chipókanai shinanbo, itan Dios onankanti ikenbi, jato tsokásai rabí shinanbo non keyoai; jatíbi jonibaon bená shinan bitaanan, ja Criston yoiai keskábores senenhakanon ixon.
2CO.10.6	Nonra jatíbi ja yoitimakanaibo jato castigo meniti jake, jatikaxbi mato yoitibo ikanai kaman.
2CO.10.7	Matonra akai nekebi, jaton ikábores oinkin, jaweratoboki eara Criston yonoti iki ikai, jabaonra onanti jake, noaribira jawen yonoti iki ixon.
2CO.10.8	Eara non Ibon mato yoiti koshi menia iki, jan mato akinnon ixon, jan mato jakonmaanon ixonma. Jakopira ea rabintima iki, jaskati yoyo ikaxbi.
2CO.10.9	Mato ratenoxon, ja kirika meran en wishaabo shinanyamakanwe.
2CO.10.10	Jatíribiboki ikanai ea yoii, jawen kirika wishaxon noa bemaara ikai, kikin koshi joinyora akábo, ikaxbi jawen ikátoninra tsoabi, jato rateyamai itan jakonibobi yoyo iamai ikibo.
2CO.10.11	Ikaxbi ja jaskati yoyo ikaibaonra onanti jake, ja ochóxonbi non mato kirika wishaxon, bemakin koshi joinbo non mato aká keskatiribira matoiba kaax, noa iki kati jake ixon.
2CO.10.12	Eara jatonamanbires iwanax ja jatonbinix rabikaataibo betan senenribi ikasi ea iiamakeanke; jaskara jonibora ikanai jatonbi jaskara senenhatibo akáx, tsonki senenhai iki, ikaxbo jatonbinix oinhanani, jaskataibo riki shinanhomabo.
2CO.10.13	Enra jainkamanbo akai, iki ikaxbora ea rabíresti atipanyamake, Diosbicho riki jaweraton senenreski jawen tee akí, noa nokótiki ixon noa yoiai, janra matoiba Corintoain kamanbi noa nokómaa iki.
2CO.10.14	Jaskara kopíra, jain noa iti yoiamainkobires noa iiamai, jawekeskabira nato jawéki ikeanke, moabi noa matoiba nokotama iketian. Noaparira iká iki, ja Cristo kiriti iká bená joi mato yoii bokanabo.
2CO.10.15	Noara ja wetsabaon tee akátonin rabíamai non akáma ikax. Non shinan riki, bebonbires Dioski koshikarestiakin mato akinti, jatianra ja mato betan non akai teeboribi bebonkarestiki, ja jainkaman non ati senenres.
2CO.10.16	Jainxonribi non shinannai riki, nato kishpinti joi, ja mato joi yoii kaa winobain wetsankoboribi pextinhakin jato yoiti, ikaxbira ja wetsabaon tee akainko, noa jikiamai, ja wetsabaon tee akatonin noa rabínaketian.
2CO.10.17	Jaweratoki jawéki akátonin rabíkasai, rabíbanon ja non Ibon aká jawékininres.
2CO.10.18	Ja janbix rabikaatai jonima riki, non ikonhati, ja non Ibonbi rabiai jonikaya riki non ikonhati.
2CO.11.1	Maton ninkata ea yoyo ikaibo, iresbiresa keská ikenbipari, tenexon ea ninkáxonkanwe.
2CO.11.2	Diossen akai keskáakinribira, en mato akonbireskin shinannai. Enra mato Cristonabo imaa iki, jaskáakinra jawen jakonmaomabi en mato imakasai, ja westíora yorantinin tanatama ainbo keskábo ikantiakin.
2CO.11.3	Ikaxbi ea raketai riki, ja paranmisti onan ixon, Eva ronon paranxon Dioski yoitimamani keskáakinribi, paranxon wetsakeskaakinbo shinanmaxon, pontéakin itan jakonhakin Cristoki shinannaibo ikenbi, mato jenemakanaketian.
2CO.11.4	Matonra akai, non mato yoia keskámaakin, Jesús kiriakin joi yoiaibo bekanketian, keenshamanxon ikonhakin; ja non yoiai jakon joi keskámaakin yoikanai joiboribi maton ikonhai, jainxon ja Diossen Shinan moa maton bia keskáma shinanboribi maton biai.
2CO.11.5	Ja raanabo xewina kikin riki noa iki ikaibora, enamanbires iki.
2CO.11.6	Eara jakonishamanbo yoyo iamai, ikaxbira ea onan shinanyanix yoyo ikai, neskáakinra ichabiresakin jatíbiainxon, itan non akainkobo, non mato oinmabea iki.
2CO.11.7	¿Jakonma jawékimein en aká iki, mato akinti shinanni enbixshoko tee ayananbi, jawen kopíbi yokáyamakin, Diossen jakon joi mato yoixon?
2CO.11.8	Ja wetsa joi akaibaon ea kopiákana koríkibora en bia iki, mato akinboresti kopí.
2CO.11.9	Jatian mato betan ikaxa, ea jawékininbo maxkata iki, ikaxbira tsoabi en jato yokákin tsokasayamaa iki. Ja Macedoniainoax bekana non wetsabaonra joxon, ea maxkata jawékibo ea menikana iki, maton akinnon ikaxa, ea matokibichoira manáyamaa iki, jatíbitianra ea jaskara iti jake.
2CO.11.10	Ja Criston ikon shinan emeran ikátoninra, en mato ikon yoiai. Jaskara ikenra tsoa ja Acaya main ikábaonbi ea jenemati atipanyamake, jaskati ea rabitaitian.
2CO.11.11	¿Maton shinannaki, mato noiama ikax ea jaskati yoyo ikai? ¡Enra mato noike, jara Diossen onanke!
2CO.11.12	Ikaxbira ea iikirana keskati ea teeti jenéyamai, jaskaxon ja paranax rabíresi noa keskatiribi ikasaibo non jato netémati kopí.
2CO.11.13	Jaskara jonibo riki, jabo raanama ikaxbi, jato parani Criston raana joni keskatishaman ikaibo.
2CO.11.14	Neskara jawékibora non onanyamaa jawékima iki, *Satanásbira ikai ja joebiresshaman ángel keskatiribi yoinmeeti.
2CO.11.15	Jaskara ikenra, jan ratéti jawékima iki, jawen tee akai joniboribira jakonhakin jato tee akinnai keskatibo ikanai, ikaxbi jaskara jonibaonra, jaton akai jawékibo kopíbi masábo tenenoxikanai.
2CO.11.16	Jakiribira en mato yoiai, tsonbi ea iresbiresi yoyo ikaibo shinanyamakanon ixon, ikaxbi maton jaskara shinanna ixon, eapari ninkáxonkanwe, ibanon, ea jaskati yoyo iki, jaskatax earibi jaskarabo ikai keskati shokores rabíti kopí.
2CO.11.17	Ja neskati ea rabitai jawéki riki, onanma ikax ea ikai keskáres, jaskatibo ea yoyo ikaitian ninkátininra, Ibo keenyamai.
2CO.11.18	Jaskáakin tee akí jatonbinix rabikaataibo jaketianra, earibi ishokoti, iki jaskati rabikaati.
2CO.11.19	Matonra akai onanbo ixonbi, tenetaanan keenshamanxon ja shinanhoma keskábo yoyo ikaitian, ninkáxonkin.
2CO.11.20	Jainxon ja mato akonbireskin yonoaibo, ja mato koríki bichinaibo, mato paranaibo, mato omisaibo, iamaxon mato tantash akai joniboribi, akai maton jaweayamakin.
2CO.11.21	Jaskáakinbo mato yoiti rabintibires ikenbira, en mato keshanai; mato xaran ikax, jaskátininra noa kikinni raketa iki. Ikaxbi wetsabaon rabíti shinannaitianra, enribi ishokoti shinanti atipanke, jaskátibo iresbiresa ikenbi.
2CO.11.22	“Noaboriki *hebreo jonibo”, iki rabíkanaitian, earibi ja joni iki, “noaboriki *Israel jonibo”, iki rabíkanaitianra, earibi ja joni iki, “jatian noaboriki Abrahamman chiní rarebobo”, iki rabíkanaitianra, earibi ja joni iki.
2CO.11.23	“Noaboriki Criston yonotibo”, iki rabíkanaitianra. Eakaya jato bebonbires jawen yonoti iki, neskatibo yoyo iki, onanma joni ikai keskati ikíbi. Enra jaton aká bebonbires jakonhakin jawen tee aká iki, jainxonra ichabiresakinribi ea cárcel meranbo akana iki, jainxon jato akana bebonbires ea rishkikana iki, jainoax ichabiresiribi mawáti onsá meranbo ea iká, iki.
2CO.11.24	Pichikaakin yatanxonra, judíobaon kimisha chonka iskonhakin ea rishkikana iki.
2CO.11.25	Kimishaakin yatanxonra, ea jiwin rishkikana iki, westíoraakinra ea makanman tsakayonkana iki, kimishaira jan ea kaai wapóro jikia iki, jaskataxa westíora yamé, itan westíora neteribi aniparo napon ea toxbata iki.
2CO.11.26	Ichabiresira ea ochóbo kaa iki, paro onsábo ikenbira, ea shitata iki, yometsobo onsábo ikenbira, ea wínota iki. Jainxon nokon kaibo judíobaon, itan wetsa jonibaon ea ramiakanti onsáboribi iká iki, jainoax wetsa jemankoxon ea retekanti onsábo ikainbi, ea winota iki, wetsankonbo kakin, itan aniparonbo kakinra, onsábo en tenea iki, jainoax ja jansoi, noara Diossen joi akaiboribi iki ikaibaon, noa ramiakanti onsáboribi iká iki.
2CO.11.27	Ikonbiresira ea teeta iki, atikoma jawékiboribira en wínoa iki, ichabiresakinra en oxábo tenea iki, ja xeatioma ikax, itan ja pitioma ikaxa, ea jawékiakasa iki, ja saweti chopaoma ikax, matsin akábo ea onitsapita iki.
2CO.11.28	Jainoax neskara jawékibo, itan wetsa jawékibo winókinbira, jatíbi joi akaibo akonbireskin en netetiibi shinannai.
2CO.11.29	Westíora joni isinaitianra, earibi isinai keská ikai, westíora joi akai joni ochamakanketianra, ea sinatai.
2CO.11.30	En oinna, jawekeskaratonbo rabíti iketianra, ja enbichoxon jawebi atipanyamaatonin itiki ea rabíti.
2CO.11.31	Ja non Ibo Jesucriston Papa Dios riki, jatíbitian rabikanti, janra onanke en mato ikonshaman yoiai.
2CO.11.32	Jatian Damascoain ea ikenra, ja apo Aretasnin janea sontárobaon koshi gobernadornin, guardiabo ja jema koiranmaa iki, ea yatankanon ixon.
2CO.11.33	Ikaxbi jaráa iki jawetii jonibo, jabaonra ea tasakan naneanan risbikan axon, ja jema chikéakana ventananinbi apakexon, ea pikómakana iki, jainoaxa ea jabata iki.
2CO.12.1	Westíora jonira, janbixbi rabikaatai ikax, jawemabi iki, jaskara ikenbira, non Ibon namá keska meran ea oinmaxon onanmaabo en yoiai.
2CO.12.2	Cristo ikonhaa westíora jonira en onanke. Moa chonka chosko baritia riki, kikin nai bochiki já non Ibon boní, enra onanyamake, jawen yora iamaxon jawen shinanreski boá iki ixon, Diossenresa onanke.
2CO.12.3	Enra onanke, jainoax jaskara jawéki winotabo, ikaxbira en onanyamake, jawen yoraki iká iki, jawen shinanreski iká iki iamax jawen yoraomaki iká iki ixon, Diossenresa onanke.
2CO.12.4	Jawen jakonhira jatinkora boá iki, jainxonra onantima joibo ninkata iki, ja joira ninkáxonbi wetsabo yoiti atipanyamaa iki.
2CO.12.5	Nato joni winota keskáribi winota ikaxa, ea rabíkeanke, enbix ikáma, eara rabíti atipanke ja nokon shinan koshimashokotonres.
2CO.12.6	Jatian jaskarabaon ea rabitaira, onanyamaax, ea ikai itima iki, ikon jawékibores en yoii iitai kopí. Ikaxbi eara jaskáyamai, jaskáaxon jato xewina joniakin maton ea shinantima kopí. Ja en akainkobo, itan en yoiainkobo matonbishaman oinxon onantininkayara ea keenai.
2CO.12.7	Jaskara kopíra, ja jakonhira jawékibo Diossen oinmaa jaskaraton rabínaketian, isinax ea onitsapita iki, jaskatira *Satanássen jawen yonoti raanxon ea jakonmaaka keská ikax, westíora moxan nokon yora chachia keskáribi ea iká iki.
2CO.12.8	Kimishaakinra non Ibo en yokata iki, ja ea chexakaataibo ea benxoanon ixon.
2CO.12.9	Ikaxbi ja non Ibonra ea yoia iki: “Nokon noimisti shinan riki jatíbi jan mia keenai, ja isinaibo meranoaxa, nokon atipana koshi, jato akinni kikinni jishtiai”, akin. Jaskara ikenra, nokon yora yosma ikenbi ea raroai, jaskatax Criston atipana koshi emeran jishtinon ikax.
2CO.12.10	Neskara yosma ikaxbira, ea raroshaman iki. Ea ramiakanabi, jawékinin maxkataxbi, masábo tenemakanabi, ja Cristo kopi atikomabo winotibi. Jawetianki nokon shinan bebon yosmashoko iki, jatianra jawen koshin ea bebonbires Criston akinnai.
2CO.12.11	Ja onanma joni ikai keskatira, ea iká iki, ikaxbi matonbira ea jaskati yoia iki. Noakayara ja raanabo xewina iki ikaibo betan senenribi riki ea, jaskara ikenra, matoribi iká iki ea kopi jakoni yoyo iti jonibo, jatian earibi jaskatainbi, Diossen akinyamaara ea jawemabi iki.
2CO.12.12	Ja onitsapiti jawéki en teneabo, ja oinxon onanti jawéki en akábo, jainxon ja jakonhira jan ratéti jawékibo en aketian oinxonra, maton onanna iki, eakaya ikonkon raana joni.
2CO.12.13	Westíora jawékiainresa ja wetsa joi akaibaon akai keskáakin, maton senenhayamake, maton ea koríkinin akinyamainko. Moa ja shinanyamakanwe, neskáakinbo en mato aká.
2CO.12.14	Jaskara ikenra, jawen kimisha itin matoiba kanoxon, en shinanke. Kaxonbira, moa apachoai keskáakin jawebi en mato yokáyamai kaai; mato jayata jawéki benaira ea kayamai, mato shinanbikayara ea kaai, ja papabaon riki, jawen bakebo jato koríki tsinkixonti, jawen bakebaon jaton papa axonama.
2CO.12.15	Jaskara kopíra, jakonshaman shinanyaxon, ea jayata jawékininbo en mato akinni kaai, itan keenshamantaananra, nokon koshiaxonbi en mato akinni kaai. Jatian enbiribi, mato noiboresaibiki ¿Jaweati matonbiribi ea noikin jéneboresti iki?
2CO.12.16	Jawebira, en mato yokáyamaa iki, jaskara ikenbira jatíribibaon yoikanai, jaskati onan ixon, paranxonbo en mato koríki bichinabo.
2CO.12.17	¿Ja mato akinnon ixon, en matoiba raanabo meranxonboki, paranhananbo en mato koríki bichina iki?
2CO.12.18	Matoiba kanon ixonra, en Tito yoia iki, já betanra westíora non wetsa en jain raana iki ¿Titonki mato parana iki? Matonra onanke, noa ikainkobo itan non akainkobo, jakon shinanyaxonres non mato akinna.
2CO.12.19	Matonra shinanbirai, nonra mato jaskáama iki ixon yoikinres, wishaxon non mato bomaa, ikaxbira jaskarama iki. Diossenra onanke, Cristonabo ikax noa jaskati yoyo ikai. Jatíbi neskarabora non mato yoiai nokon wetsabo, mato beboni Dioski koshikanon ixon.
2CO.12.20	Eara raketai, jaskara iti en yoiai keskatibo iamai kaxon en mato nokonaketian, jatian earibi mato keenai keskatibo kaax, iamanaketian. Ea raketairibi riki, rawikananabo, jawékia oinnax jatoki notsiresaibo, jatoki sináresaibo, jatíbi onannaton shinanmeetaibo, yoimisaibo jakonmaati yoyo ikaibo, rabitaibo itan tsokásbiresi ikanaibo mato kaxon, nokonaketian.
2CO.12.21	Jainoax ea rakéribiai riki, jakiribi matoiba kaxon rabintibires ikaibo mato oinnax, earibi rabinax wininaketian. Basibiresiki, maton ochabo akin jeneama, atimabo betanbires yorantibo akin, itan wetsa jan mato cheata jawékiboribi maton jeneama iki.
2CO.13.1	Jakiribira jawen kimisha itin ea matoiba karibai; kaxonra jatíbi jawéki rabé iamax kimishaxon onanxon yoiketianpari ati iki, en jato benxoakinkin.
2CO.13.2	Ja rabé itin matoiba kanontian, enbishaman mato yoiantana ixonbira, rama ochó itinxonbi, ja moatianbi ocha akí jaa ikanabo, itan jatíbibo en mato yoiribiai. Jakiribi mato oinni kaxon notsinkinra, en moa mato noibayamai kaai akin.
2CO.13.3	Matonra emerameax Cristo yoyo ikai onankasai, janra emerameax yoyo ikin koshimashoko shinanyaxon mato ayamai, jawen koshi shinanmankayara mato akai.
2CO.13.4	Ikon riki shinan koshimashoko keská ja korosen akana iní, ikaxbi ramara Diossen atipana koshin jake, jaskáribiira rama noaboribi ja iní keskaribii shinan koshimashokobo keskábo ikanai. Ikaxbi jabetanbi ikenra, jawen atipana koshinbi noa akinnai, jaskáaxon matoribi non akinti kopí.
2CO.13.5	Jaskara iken, matonbinixpari shinan meran onanmeekanwe, moa ikoni Cristoki koshiaboki maton ikanai ixon maton onannon; matonbinixpari tanakaakanwe ¿Matonki onanyamaa, Jesucristo ikonkon mato meran itina? Ja tanakaati jawékiainbo maton shinan namanresaibi.
2CO.13.6	Noara ikoni Cristoki koshike ixon maton onanara, en ikonhai.
2CO.13.7	Jaskarabo winota onanti inon ixonra, non Dios oracion meran yokáyamai. Maton jakonma jawékibo anaketianra non akai, jaskáaxon maton jakon jawékibores akanon ixon. Ja tanakaatibo winoama keskábo ixonbi.
2CO.13.8	Ja ikon joi meran yoiamai keskáakinra non jawebi yoiti atipanyamake; jan yoiai keskákayara non yoiti jake.
2CO.13.9	Jaskara kopíra shinan koshimashokobo ikaxbi, noa raroshaman ikanai, maton shinanribi koshi iketian, jainxon pontéakin shinannaibo mato ikanti kopíra, non orankin jeneyamai.
2CO.13.10	Matoiba kamatianbira nato kirika en mato wishaxonai, jatian kaxon notsinkin, non Ibon yoiti koshia imaa ixon bebonhira koshi joibaon en mato atima kopí. Jan mato jakonmaanon ixonra, ea Diossen ja shinanya imaama iki, mato joi akaibo bebonhakin shinan koshimanon ixonra, ea jaskara shinanya imaa iki.
2CO.13.11	Jayá keyonoxon en mato yoiai riki, nokon wetsabo, raroshaman itaanan mato jakoni jakanon ixon, wetsabo betan shinan meran beboni koshikanwe, jainoax jaskarabires shinanya ikax, xabáshaman shinanya jakanwe, ja xabá shinanya itan noimisti shinanya Diosra mato betan inóxiki.
2CO.13.12	Wetsa joi akaibo betan saludanani jakon shinanhananres betsó ianankanwe.
2CO.13.13	Jatíbi ja joi ikonhaa non wetsabaonra, mato saludo bomakanai.
2CO.13.14	[Ja non Ibo Jesucriston jakon shinan, itan Diossen noimisti shinan, jainoax ja jatíbiain já Diossen Shinan mato jatíbibo meran ibanon.]
GAL.1.1	Ea riki Pablo, Jesucristo betan jawen Papa Diossenbi raana joni, jonibaon ea janexon raanama riki. Ja Diossenra jawen Bake mawákenbi jiriaa iki.
GAL.1.2	Enra, nenonxon nobé joi akaibo betan tsinkíxon, ja Galacia main iká jemabaon jakana jatíbi non wetsabo, nato kirika meran wishaxon mato saludo bomai.
GAL.1.3	Noa keenai riki, non Papa Dios betan non Ibo Jesucriston, mato noianan xabáshaman shinanyares jamatinin.
GAL.1.4	Jesucristora, non ocha kopi mawataxbi jiriaa iki, jaskaxon jakonmabires jawékiainoa noa xabáatanan, non ochabo noa soaxona iki, ja non Papa Diossen moabi jaskáti shinanna iketian.
GAL.1.5	Jaskara iken, rama jenéyamakin raroanan jatíbitian Dios rabinon akanwe. Jaskarakaya ibanon.
GAL.1.6	Eara ikonbiresi ratéke, ishtonbires maton Dios jenea ninkatax, ja Cristo kopi mato noixon, jawen bakebo imaa ikaxbi, mato jaskaketian. Ja jakon joi jenexon ake, maton wetsaresibi joi ikonhakin.
GAL.1.7	Ikaxbi enra mato ponté yoiai, yamarake wetsa jakon joi, jaskatax kishpinti. Jatíribi jonibokayara jake, jan mato meskóakin shinanmaibo, itan ja Criston jakon joi wetsaakasaibo.
GAL.1.8	Ikaxbi jaweratobaonki, jaskatax kishpinti jakon joi non mato yoiantana keskámaakin yoiai, jatokira Diossen kikin ramibires jawéki páketi jake. Ibanon jawekeska ikax eabi, iamaax naikanmeax joá ángel inonbi.
GAL.1.9	Ja moa en mato yoiantana joira, jakiribi en mato yoiribiai: Jaweratobaonki ja moabi maton ninkata keskámaakin wetsa joi mato yoiai, jatokira Diossen kikin ramibires jawéki páketi jake.
GAL.1.10	Eara jonibo betan jakon ikasai kopíres iamai, jaskati yoyo iki. Dios keenaires axonti shinanya ikaxkayara ikai, ea jaskati. Jonibo jakon shinanmati kopíres jaskatibo yoyo ikai ikaxa, jawekestaxbi ea Criston yonoti itima iki.
GAL.1.11	Eara keenai, nato jawéki maton onantinin, ebé joi akaibó. Ja jaskatax kishpinti jakon joi en mato yoiaira, jatonbi shinanxon jonibaon pikoa joima iki.
GAL.1.12	Ja joira, tsoa joninbi ea yoiama iki, itan tsonbiribi ea onanmaama iki. Jara Jesucristonbi, ea onanmaa iki.
GAL.1.13	Matonra ea ninkata iki, judío ikax, ea jaskati jakátiaibo, itan jatíbi ja Criston joi akaibo jato keyoti shinanxon, jato akonbireskin en masá tenemakatiaibo.
GAL.1.14	Ja noa judíobo ikai keskáshamani jakaskinra, en akátiai, ja non reken yosibaon noa esekatitai keskáshamanbo en senenhakin. Jaskáakin ja esébo senenhai kopíra, nokon kaibobo ebé senen aniabo en jato xewina iká iki.
GAL.1.15	Jaskarabo akí ea itainbira, jatianpari keenxon, ea Diossen kenaa iki, jawen joi jato yoiti. Moabi ea noitaanan, nokon titan chixanainoabi ea katota ixon.
GAL.1.16	Jaskáaxonra, jawen Bake Jesucristo ea onanmaa iki. Ja judíoma jonibobi jaskatax kishpinti jakon joi en jato yoii kanon ixon. Jaskáakin ea yoiabira, tsoabi yókati ea kayamaa iki.
GAL.1.17	Jerusalénhainbira jato yókati ea kayamaa iki, jainkaya ja joi yoiti Criston jato raanabo icha ikanainbi. Jaboiba kayamaira, ea jatianbi Arabia mainres kaa iki, jain kaax iiti, ea jakiribi Damascoain karibaa iki.
GAL.1.18	Iiti kimisha baritia winota pekáopari, ea Jerusalénhain kaa iki. Jain kaxon, en Pedro onanna iki. Jaskatax ea jabé jain iká iki, chonka pichika neteres.
GAL.1.19	Jain ixonra en oinna iki, ja non Ibon wetsa Jacobo, ikaxbi jatíribi ja non Ibon joi yoiti raanabora en jato oinyamaa iki.
GAL.1.20	Nato kirika meran en mato yoiai joibora ikon iki. Enra mato paranyamai, jara Diossenbi onanke.
GAL.1.21	Japekaora Siria betan Cilicia main ea karibaa iki.
GAL.1.22	Jatian ja Judea main iká joi akaibaonra, ea onanyamakana iká iki, ea ninkataires ixon.
GAL.1.23	Jabaonra ea ninkákana iká iki: “Ja noa joi akaibo ramiakatitaira, ramabiribi jato jakon joi yoii nike, ja noa keyokasi ikátikinbi”, iki ea yoii ikanaires.
GAL.1.24	Jaskara ninkáxonra, jabaon ea kopi Dios rabikana iki.
GAL.2.1	Jatian jaskatax iiti, moa chonka chosko baritia pekáo, ea jakiribi Bernabé betan Jerusalénhain karibaa iki. Jain kakin en Titoribi ioa iki.
