GEN.1.1	Vowambeela Mulugu ahipaddusa odhulu ni elabo ya vati. 
2TH.2.15	Mowindala, amudhaaga, kalani oolibeene, mulogolele mukalelo woweedda musuuzihiwiinyu ni hiyo, naari mwa madhu naari mwa kaarata yeehu.
2TH.2.16	Vano mwiinyeene Nabwiya eehu Yesu Kirixtu ni Mulugu Babiihu, ole onanidhivela, ohunivaha mwa mahala otodoliwa woohumala, ojejihedha wapama; 
2TH.2.17	oliyeene atodole mirima dheenyu teto oolibiheni wi mwiiregena, muwogege dhaatedhene dhili dhapama.
2TH.3.1	Addibilaga, arogoraga, voogomihedha, munilobelelege wi madhu a Nabwiya emwadheye mowaaguva teto ekale oothithimiheya wona mwemo mweereliinyu. 
2TH.3.2	Lobelagani wi Mulugu anitapule mwa athu ooholowa, abure, vowi kahuwo aatene yinna nroromelo. 
2TH.3.3	Mbwenye Nabwiya doororomeleya, oliye onowuulibihani ni wuukameelani wa Nambure. 
2TH.3.4	Nnomuroromela Nabwiya wi nyo munowiirana, muneere wiirana dhaatedhene dhinowaaddeliihuni. 
2TH.3.5	Nabwiya asogolele mirima dheenyu wi mmudhivelege Mulugu ni ntidi nanna Kirixtu.
2TH.3.6	Amudhaaga, mwa ndina na Nabwiya eehu Yesu Kirixtu hiyo nahuulamulani wi mmurabelege ddibila oli aatene ohunalaba, ole ohunahara masuuziho yaavahiliihu. 
2TH.3.7	Vowi nyo muhunona wi soofuneya munihadhihege, mwaha wi nikalaga ni nyo kanaali oohulaba, 
2TH.3.8	kanaakelile yooja ya muthu nihimulivile korowa, mbwenye moohiyaniha, noolaba vajinji mookathamiheya mahiyu ni mutana wi nihikale yoonyemela wa mmohi a mwa nyo. 
2TH.3.9	Ebaribareene soofwaneelela wi mwaakamihedhege ale enoosuuzihani,
2TH.3.10	Nikalaga ni nyo, hiyo nahuulamulelani dhowi: <<Akalavo muthu ohunalaba teto kajege>>. 
2TH.3.11	Mowindo, nihiiwa wi amohi mwa nyo booyimwa, kinalaba, mbwenye enavolowela dha akwiiwa. 
2TH.3.12	Wa athu ala nahaalamulela, waaloba mwa ntidi mwa Nabwiya eehu Yesu Kirixtu wi elabege mofwaasa ejege yooja yeeweene. 
2TH.3.13	Vano nyo, amudhaaga, muhugome wiirana opama.
2TH.3.14	Vakala muthu ohunaharihamo enawoga hiyo mukaaratani mu, mudidele dhowiira dhaaye teto kamutugumanege ni oliye wi akalegena manyazo. 
2TH.3.15	Mwa dhaatedhene kammoonege wona mwiiddani eenyu, mbwenye mmuxagihege wona ddibilinyu.
2TH.3.16	Nabwiya mwiinyeene a murenddele oovaheni murenddele mudhidhi dhaatedhene ni makalelo maatene. Nabwiya akale ni nyo mwaatene.
2TH.3.17	Miyo Pawulo, ginaleba malojelo ala ni ndada naaga. Eyene eli etoonyihedho ya makaarata aaga-aaga maatene. Ginaleba ni mukalelo olena.
2TH.3.18	Mahala a Nabwiya eehu Yesu Kirixtu ekale ni nyo mwaatene.
1TI.1.1+1TI.1.2	Wa we Timoteyo, mwaana aaga-aaga munroromeloni. Di miyo Pawulo, murumiwi a Yesu Kirixtu, wona mwaathongele Mulugu, Mvulumusi eehu ni Yesu Kirixtu, oli ojejihedha weehu.
1TI.1.1+1TI.1.2	Mulugu Baba ni Yesu Kirixtu Nabwiya eehu yuweeddiwele thagaraga, yuuvahe mahala ni murenddele mmurimani mwaawo.
1TI.1.3	Vamaruwiimi Gidhowaga oMasedoniya, gahuuloba wi ohale oEfeso waahiihege athu amohiwa enasuuziha dhooholosa. 
1TI.1.4	Ehiye ohela mmurimani thalako dheebeweene ni osasanyedha mandina a makolo. Nda dhinowambeeliha ovaanyihana, kadhinasuuziha dha olamula wa Mulugu, mwa nroromelo. 
1TI.1.5	Waathonge ndala wi vikale odhivela wookumela mmurimani mowaakwanela, mmurimani moohukanna yego yooruniha ni nroromelo noohukanna epa meento. 
1TI.1.6	Athu amohi yahihiya dila ela, oharaga madhu eebeweene, ofiyedha oholowa. 
1TI.1.7	Aliwa enofuna okala anamasuuziha a malamulo, mwa dhaatedhene kineewesesa ddi aliweneene dhinawogiiwa naari dhinafuniiwa okokomeza.
1TI.1.8	Nihinona wi Malamulo bapama, yatapuleliwa ni mukalelo wofwaneelela. 
1TI.1.9	Nnonaga teto wi malamulo kiheleliwe athu ooharihamo, mbwenye eheleliwe athu ooholowa, oohiiwelela, eheleliwe oothega, oohulobela wa Mulugu, athu owaapa ababiwa, ameewa ni athu amohi. 
1TI.1.10	Eheleliwe mwaha wa ale elemeelele ojeberuwe, alobwana oorarusana alobwanave, eheleliwe mapanga, athu ooratha, oolibela mooratha teto aatene owiirana dhoorunihiwa ni dhoosuuziha dha ebaribari. 
1TI.1.11	Dhoosuuziha dhedhi dhinafwanyeya mMuseluni Wapama onawoga dha nthithimiho na Mulugu ooriiheya, oyene oliye mwiinya wagilogolelihiiye.
1TI.1.12	Ginomutamaala Yesu Kirixtu, Nabwiya eehu, oyene ogivahile kopolo dha mabasa ala teto vogoona ororomeleya waaga ohugivaha mabasa oomwiimelela. 
1TI.1.13	Naari wale gamunyemulave, gimurabulihaga ni wiithukulela. Mbwenye Mulugu ahigeeddiwela thagaraga mwaha wi geerana moohunona, vowi gaali oohukanna nroromelo.
1TI.1.14	Mahala a Nabwiya yahigikuthuwela mookwaranya, ahigivaha nroromelo ni odhivela dhedho dhinniihuna mwaha wowiiwanana ni Yesu Kirixtu. 
1TI.1.15	Ala bi madhu oororomeleya, oofwaneelela waarumeedhela ni murima waatene, Yesu Kirixtu adhiile vati vano wi aavulumuse athu oothega. Vano mwa aliwa miyo gili oothega ookwaranya. 
1TI.1.16	Mbwenye gaheeddiweliwa thagaraga, mwaha wa Yesu Kirixtu, naari ngalive oothega ookwaranya ndala, oonihe olevelela waaye waatewene wi gikale nifwanafwaniho nowaavileliha athu aatene, enaadhe emuroromele wi yaakele egumi yoohumala. 
1TI.1.17	Wa Mwene amalabweene, oohukwa, oohooneya, oyene oliye yeeka dili Mulugu, okale nriiho ni nthithimiho okala ni okala. Ameni.
1TI.1.18	We Timoteyo, mwaanaga, ginowuulamulela nda mooligana ni dhedho anamavuhulela dhawogiliiwa wale dha we. Madhu ayene yuukamihedhe owana koddo yapama, 
1TI.1.19	oganna nroromelo teto ni murima wowogoowa. Amohi kayeewelele vevale mirima dheewa dhaarunihiiwa, mowindo nroromelo neewa nahinoongeya. 
1TI.1.20	Mwa ayene mmohi di Heminewu, mmohiwa Alixandere, athu ayene gihaapeleka wa Sathana wi esuuze ehimunyemulege Mulugu mwabure.
1TI.2.1	Vowambeela wa malamulo ala maatene ginowuulobani wi voolobela okalege malobelo oolobelelana ni waalobelela athu, vamohi ni matthettheelo. Elobeleliwege athu aatene. 
1TI.2.2	Mwaalobelelege mamwene ni aatene alene eli ni othongi wi nikale ni egumi yoopwaasa ni yamurenddele, nimuthithimihege Mulugu mwa dhaatedhene ni oriihedha. 
1TI.2.3	Nda sapama ni dhoohagalasa vameentoni va Mulugu, Mvulumusi eehu. 
1TI.2.4	Oliye onafuna athu aatene evulumuwe, enone ebaribari.
1TI.2.5	Vowi Mulugu oli mmohi baahi,
1TI.2.5	ni namaandaniha mmohi vaari va Mulugu ni athu,
1TI.2.5	muthu ole nnamwiiriihu Yesu Kirixtu.
1TI.2.6	Oliye ahiiveleela okala namoobola a athu aatene.
1TI.2.6	Ola onamoona mwa mudhidhi wofwaneelela.
1TI.2.7	Mwa ela ohugisakula wi gikale namalaleya aaye teto murumiwi, owasuuziha athu a malogo mamohi madhu a nroromelo ni ebaribari. Kaginooratha, eehi, ginawoga ebaribari.
1TI.2.8	Ginofuna alobwana voolobela egwelihege madada vili vaatevene, ekalege oweela mirima ni oohutakaleliwa, naari ookangana.
1TI.2.9	Emodha-modhave teto ahiyana yiiwomihedhege ni mukalelo woothithimiheya mwa tthottho ni dhoowara dhoofwaneelela. Ehiiwomihedhege ni mathithi owiira waaluwa moowaatthabwiha, naari ni dhoowiiwomihedhana dha oro. Ehiiwomihedhege ni osanga, naari ni dhoowara dhookwima. 
1TI.2.10	Yiiwomihedhege ni meerelo apama wona moofwaneelela ahiyana ayene eneera wi boomutamaala Mulugu. 
1TI.2.11	Ahiyana vosuuzihiwa ekalege oomaala ni murima wowiiyeviha. 
1TI.2.12	Kaginarumeedha wi mwihiyana asuuzihege naari okala ni othongi va alobwana akalege oomaala. 
1TI.2.13	Sowi Adamu dambeele opaddusiwa vooharela Eva.
1TI.2.14	Adamu kaanyengethiwe mbwenye mwihiyana danyengethiwe, okala ohiiwelela.
1TI.2.15	Mowindala mwihiyana onoodha avulumusiwe mowaabala ahima, akalave munroromeloni, moodhivela, akalave moweela ni moofwaneelela.
1TI.3.1	Ala bi madhu oororomeleya a ebaribari eneeriwa: <<Akala muthu onofuna mabasa owaang'anela gerezha, ohufuna mabasa oothukuwa>>. 
1TI.3.2	Owaang'anela gerezha akalege muthu oohukanna yowanganyedhiwana, akale mulobwana a mwihiyana mmohi baahi, akale owiiruniha, a moobuwelelo a tthottho, anriiho, oowawaakela aleddo ni owaakwaniha osuuziha pama. 
1TI.3.3	Kakale namalezela, kakale oowaniha, mbwenye oopwaasa, oohukangana ni athu, ni oohudhiveliwa korowa. 
1TI.3.4	Akale oonona weeddiha murala waaye pama ni waalela anaaye pama wi ekale owiiwelela ni anriiho ebaribareene. 
1TI.3.5	Akala muthu kanonile weeddiha pama murala waaye, ki onahiddeele gerezha ya Mulugu addi? 
1TI.3.6	Ahikale muthu oothwaruwa dhiino-dhiino mugerezha, woova wi oneethukulelege ni omorela mmusapani mwa Sathana ni othongiwa wona mwemo Sathana mwathongeliwiiye. 
1TI.3.7	Weenjedhedha, vevo akale muthu owi ni oodeene enomuriiha wi onanyemuliwege ni omorela mmusapani wa Sathana.
1TI.3.8	Emodha-modhave ni maddiyakoni: ekale owiirana dha epogo, oohuwogamo wiinddi-wiinddi, oohukala oolemeelela dhoolezeliha, oohudhiveliwa bure mpurelo wa korowa. 
1TI.3.9	Ekale athu a murima woohukanna yego yowaaruniha voologolela ebaribari ya nroromelo nenddo Mulugu naavuhuleliiye. 
1TI.3.10	Ala teto yambeele weehiwa, vano vooharela, akala kinna dhoohiyana ethukule osogoleli wa orumiwi. 
1TI.3.11	Emodha-modhave teto ahiyana ekalege owiirana dha epogo, ehikale oorabwe, oonona ni oororomeleya mwa dhaatedhene. 
1TI.3.12	Maddiyakoni ekalege a mwihiyana mmohi baahi. Ekalege owaalela aniiwa pama, oweeddiha teto pama mirala dheewa. 
1TI.3.13	Vale athu oohidda mabasa owiimelela mowaakwanela pama, enoofwanya bili yapama ni oliba murima voowoga ebaribari vowi nroromelo neewa nili mwa Yesu Kirixtu.
1TI.3.14	Veva ginoolebeliimi dhedhi, ginojejihedha odha ofiya owaninyu wewo mowaaguva. 
1TI.3.15	Mbwenye garibeliwa dhedho giwogiliimi dhinowuunoniha dha mwemo athu munafwaneeleliiwa okala mmuralani mwa Mulugu, eyene eli gerezha ya Mulugu a egumi ni mulongothi wootibeliha ebaribari. 
1TI.3.16	Moohaanganyedha, yawipiini ya yoweebedha yeehu si elubale:
1TI.3.16	<<Oliye ahooneyela agali ni mwiili wa emuthu,
1TI.3.16	Muneba Woweela wahimwiirela onamoona wi dooharihamo,
1TI.3.16	angero yahimoona,
1TI.3.16	ahilaleyiwa vaari va athu a malogo maatene,
1TI.3.16	athu a mwiilaboni yaatene ya vati yahimuroromela,
1TI.3.16	Oliye ahithukuliwa odhowa odhulu mu nthithimiho>>.
1TI.4.1	Muneba Woweela onowoga mowiiweya wi mwa malabo oomariha, athu amohi enoodha ehiye omuroromela Kirixtu. Enoodha yiiwelelege mineba dhoonyengetha ni dhoosuuziha dhodheela mwa mineba dhootakala. 
1TI.4.2	Dhoosuuziha dhedhi dhinakumela mwa onyengetha wa athu ooratha, ayene mmurimani mweewa eli okweene wona mpahiwe ni mugogo wa munddo. 
1TI.4.3	Enowaahiiha athu otela, waathongaga otadha dhooja. Dhedho Mulugu dhapaddusiliiye wi ejege moomutthettheela, ayene enamuroromela ni onona ebaribari.
1TI.4.4	Ebaribareene dhaatedhene Mulugu dhipaddusiliiye sapama, kavili yego yowi muthu atadhege, aakelelaga moomutthettheela,
1TI.4.5	Dhinoweelihiwa ni madhu a Mulugu ni malobelo.
1TI.4.6	Wawaaddelaga dhedhi aKirixtu akwaawo, oneere okala mwiimeleli apama a Yesu Kirixtu, ooleliwa ni madhu a nroromelo ni dhoosuuziha dha ebaribari dhinahariiwe. 
1TI.4.7	Thalako dheebeweene, dhoomunyemula Mulugu orabelege. Wiilibihe ni olemeelela omuriiha Mulugu. 
1TI.4.8	Olemeeleliha dha mwiili onapurihamo vang'ono, mbwenye egumi yoolemeeleliha omuriiha Mulugu enopuriha dhaatedhene. Onororomeliha egumi ela vano teto egumi yoosogolo. 
1TI.4.9	Ala bi madhu oororomeleya oofwaneelela waarumeedhela ni murima waatene. 
1TI.4.10	Va mwaha olena nnohidda mabasa mooliba ni weeseesa okwaranya, sowi yoojejihedha yeehu eli wa Mulugu eegumi. Oyene oli Mvulumusi a athu aatene, tthabwa-tthabwa oomuroromela Kirixtu.
1TI.4.11	Waalamulege ni waasuuziha dhedhi. 
1TI.4.12	Muthu ahuuvevuse mwaha vowoona wi oli muzombwe, mbwenye okale nifwanafwaniho mwa aKirixtu aatene mwa madhu aawo, meeddelo aawo, odhivela waawo, nroromelo ni moweela. 
1TI.4.13	Ofiyedha gidhe, wiiregena mwa ntidi waweelengela athu madhu a Mulugu, waalaleyela ni waasuuziha. 
1TI.4.14	Ohunyemule mvahi wa mahala oli mwa weevo. Waakeliiwe odheela mmadhuni ooreelihiwa vowuuhela madada apogo.
1TI.4.15	Wiiregena mabasa ala moohariha ni wiiveleela, athu aatene eneere yoone wi egumi yaawo ya onamaang'anela enowunnuwa. 
1TI.4.16	Wiing'anelege okala wa egumi yaawo osasanyedhaga dhinasuuzihiiwe. Odidele dhedho. Weeragana dhedho onowiivulumusa weevo, vamohi ni ayene enoovuruwana.
1TI.5.1	Muthu pogweene kumusumululege moomunyanyuwela, mbwenye wiirege omwaaddela wona ababo. Azombwe wiirege wawaaddela wona addibilo 
1TI.5.2	Ahiyana apogweene wiirege wawaaddela wona amaayo, anamwali wiirege wawaaddela wona arogoriyo, moweela mwaatemwene.
1TI.5.3	Waariihege ahiyana amaamukwele, ayene eli amaamukwele a ebaribari. 
1TI.5.4	Maamukwele winna ahima naari adhule, ayene esuuze omuthithimiha Mulugu vaade veewa ni waawelihedha ayene yaabalile. Vameentoni va Mulugu, mabasa ala eli owaakeliwa. 
1TI.5.5	Maamukwele a ebaribari, oohukanna mmohi oomukamihedha, oyene ohelile yoojejihedha yaaye wa Mulugu, onolobela moohuhiyedhedha mutana ni mahiyu wi Mulugu amukamihedhege. 
1TI.5.6	Mbwenye mma maamukwele oneehagalaliha ni dha vati vano, naari agali mugumi, oli ookweene. 
1TI.5.7	Waalamulelege dhego dhedhi wi ekalege oohukanna muladdu. 
1TI.5.8	Akala muthu kanaakameela amudhi aaye, tthabwa-tthabwa a mmuralani mwaaye mwemo, oyene ohuthathila nroromelo naaye, otakala waaye pookwaranya wa muthu oohuroromeleya.
1TI.5.9	Maamukwele ahirumeedhihiwe ovolowa mulixtani na nikuru na ahiyana ahinaakwanihe yaaka makumi matanu nammohi (60). Akale owi ateliwege ni mulobwana mmohi, 
1TI.5.10	oononeya ni meerelo apama. Akale wi ahaalela anaaye pama, oowawaakela aleddo pama, oowaahabiha manyalo athu oweela mirima, owaakamihedha athu yaali mugoyini. Akale teto mma owiiveleela wiirana meerelo maatene apama.
1TI.5.11	Mbwenye ahiyana amaamukwele a yaaka vang'ono ohaataganyihedhege waaleba munikuruni nddi. Vale dhoofuna dheewa dhambeela, enaafunege dhooteliwa, omwihiya Kirixtu. 
1TI.5.12	Vevo enofwanyeya egathegile, mwaha woohulogolela yoororomeliha yeewa yowambeela yeeriliiwana. 
1TI.5.13	Weenjedhedha nda, enolemeelela woonaga okala, mowindo enaakalelege weddeedda mmavade mwa athu. Vano teto kineeddelege ebeweene, eneerege waaba evolowelaga dhaanya, ewogaga dhoohufwaneelela owogiwa. 
1TI.5.14	Mowindala ginowuulaga wi ahiyana amaamukwele a yaaka vang'ono eteliwege, yaabalege ahima, yeeddihege pama mirala dheewa wi amwiiddani eehu nihaavahe mwaha wonaabana. 
1TI.5.15	Amohi yahiholowa ebaribareene omuharaga Sathana.
1TI.5.16	Mwihiyana muKirixtu akanna anaamudhi amaamukwele aakamihedhege oliye, dhoorusa nda ahinyemelihe gerezha. Mowinda gerezha eneerege waanda waakamihedha amaamukwele oohukanna owaakamihedha.
1TI.5.17	Apogo a gerezha oosogolela pama, ekale oofwaneelela waariiha mookwaranya, tthabwa-tthabwa ayene enahidda mabasa oolaleya madhu a Mulugu ni osuuziha. 
1TI.5.18	Vale Dhoolebiwa dhini, <<Ng'ombe enambubudda tirigu, kumage vamulomoni>>. Vamohiviwa dhini, <<Namalaba doofwaneelela waakela yoolivela yaaye>>.
1TI.5.19	Madhu oomwaaba mpogo a gerezha ohurumeedhege, vaahikala anamoona abiili naari araaru.
1TI.5.20	Oodidela othega waasumululege vameentoni va aatene wi amohiwa teto yoovege. 
1TI.5.21	Vameentoni va Mulugu, vameentoni va Yesu Kirixtu ni vameentoni va angero aatene, guhuulamula wi oharege malamulo alena mowogoowa. Ohaakulelege mwaha ohiiwale pama, kawiirena yego moosakula. 
1TI.5.22	Kawaaguvelege omuhela madada muthu. Mowindala kurumeedhele yoothega ya athu amohi, ologolele weela wa murima waawo pama.
1TI.5.23	Ohiye ong'waga mahinjeve mwaha woobulelana mbaani wiinddi-wiinddi omung'wege vinyu vang'ono.
1TI.5.24	Sowi dhoothega dha amohi dhinowooneya voweela kuwoge wene muladdu dheewa, mbwenye amohi dhoothega dheewa enanona vasogoloviwa vamawogelo muladdu baahi. 
1TI.5.25	Emodha-modhave teto meerelo apama enowooneyela voweela, ale ehinooneya kinaakale oologoheya mudhidhi dhaatedhene.
1TI.6.1	Ayene eli mfingwini ya odhaari yawoonege anabwiya eewa wona oofwaneelela. Yawiirelege nriiho mwiibaribarini wi athu enaanyemulege ndina na Mulugu ni dhedho dhinasuuzihiihu. 
1TI.6.2	Ayene yinna anabwiya eewa aKirixtu, kayaavevusege vowoona wi oddibila ni orogora. Moohiyaniha, yawiimelelege mookwaranya, vowi aliwa enokamihedheya ni mabasa eewa, naaliweene teto bi aKirixtu oodhivela.
1TI.6.2	Waasuuzihege ni waalaleyela dhego dhedhi. 
1TI.6.3	Weera omfwanya muthu onasuuziha dhoohiyana ni dhedhi, oohurumeedha ebaribari ya madhu a Nabwiya Yesu Kirixtu ni dhoosuuziha dhowiiwanana ni egumi yoomuriiha Mulugu, 
1TI.6.4	muthu owinda dowiithukulela ni oogaya, oohunonelamo yego. Mmurimani mwaaye doobulela, oofunesesa ovaanya ni okangana mwa madhu eebeweene. Dhedhi dhinodhiiha wiiddana, ohiiwanana, wiinkedhana, wuubuwelelana dhabure, 
1TI.6.5	dhinodhiiha ozhihana mirima woohuhiyedhedha vaari va athu ayene tthottho dheewa dhihinoongeya vano kinaakwaniha odidela ebaribari. Aliwa enoobuwela wi omweebedha Mulugu si dila yoofwanyela mpurelo.
1TI.6.6	Ebaribareene, omweebedha Mulugu onopuriha vajinji, akala muthu onohagalala ni dhedho dhinniiyena. 
1TI.6.7	Nivolowaga mwiilaboni ela ya vati kanathukulile yego, naakumagamo kannaakwanihe othukula yego. 
1TI.6.8	Nakalana dhooja ni dhoowara, dhinaakwanele dhedhi. 
1TI.6.9	Mbwenye ale oofuna oreela, enomorela moweehiwani, enomagiwa mmusapani wa dhoofuna dhijinji dhoolodhowa ni dhoonoonga. Dhifunelo ndo dhinowaabwiniha orimeela mowoopiha.
1TI.6.10	Nipara na dhootakala dhaatedhene fudhiveliwa korowa. Mwaha woosilila korowa amohi yahiiholosa, yahihiya dila ya nroromelo, yahiilata ni dhoovoreya dhijinji.
1TI.6.11	We, muthu a Mulugu, dhaatedhene dhedhi othawe. Okalelegena murima woosayela oharihamo, woomuriiha Mulugu, oororomeleya. Okalegena murima woodhivela, wa ntidi ni woopwaasa. 
1TI.6.12	Owanege koddo yapama ya nroromelo. Ohiddeele egumi yoohumala yiithaneliwiiwe ni Mulugu, yasorihiliiwe vameentoni va anamoona ajinji. 
1TI.6.13	Vameentoni va Mulugu oyene onavaha egumi dhego dhaatedhene ni vameentoni va Yesu Kirixtu eemelile awogaga pama vameentoni va Pontiyo Pilatu, ginowuulamula wi: 
1TI.6.14	Oharihe nlamulo ndda moohuthega ni moothithimiheya ofiyedha nlabo nowooneya Nabwiya eehu Yesu Kirixtu. 
1TI.6.15	Wooneya wewo oneeriiwena ni Mulugu mwa mudhidhi wofwaneelela. Oliye di oothithimiheya, onalamula. Mwene a amamwene Nabwiya a anabwiya. 
1TI.6.16	Oliye dihinakwa, onakala mowaara woohaddameleya, kalivo muthu aabihilege omoona naari onaande omoona. Wa oliye okale nthithimiho ni kopolo dhoohumala Ameni.
1TI.6.17	Athu ayene eli ooreela mwa dhego dha vati vano, waalamulege wi ehigayege naari ororomela yooreela eyene ehinanoneya wona yoologela. Mbwenye emuroromelege Mulugu oyene onanivaha dhaatedhene wi nihagalalege. 
1TI.6.18	Waalamulege wi yiiregena dhapama wi ekalege ooreela mwa meerelo apama, oofeewa mada, oodhiveliwa ogawana ni oohukanna. 
1TI.6.19	Ndala enoodha edhuugelele dhooreela dhoodhiva ni dhoologela dhedho dhinoodha dhaakamihedhe osogolo wi yaakele egumi eli ya ebaribari.
1TI.6.20	We Timoteyo, dhedho dhoologolelihiisu, ologolele pama. Orabelege dhoothapanya dhoohukamihedha yego, dhoomunyemula Mulugu teto moobuwelelo oohiyana-hiyana, enadheela mmadhuni yiiraga si tthottho dhihili tthottho. 
1TI.6.21	Athu amohi, mwaha woorumeedhela tthottho dhoonyengetha dhowindo, yahiholowa othathila nroromelo neewa. Mahala a Mulugu ekale ni nyo.
2TI.1.1+2TI.1.2	Wa we Timoteyo, mwaanaga oodhivela. Di miyo Pawulo, murumiwi a Yesu Kirixtu mwa ofuna wa Mulugu, osakuliwe wi alaleyele yoororomeliha ya egumi eli mwa Yesu Kirixtu.
2TI.1.1+2TI.1.2	Mulugu Babiihu ni Nabwiya Yesu Kirixtu yuweeddiwele thagaraga, yuuvahe mahala ni murenddele mmurimani mwaawo.
2TI.1.3	Ginomutthettheela Mulugu, oyene ginamulabiimi ni murima woweela wona mweerela makolo aaga, ginowuwuubuwelela weevo mmalobeloni mwaaga mutana ni mahiyu. 
2TI.1.4	Goobuwelelaga mitori dhaawo ginowuurabulela wuwoona wi gidhaaliwe ohagalala. 
2TI.1.5	Ginowuubuwelela nroromelo naawo na ebaribari, nili nroromelo nimohive vowambeela nanna amaayo mmeewa Loyidi ni amaayo Ewunisi. Gihikanna ebaribari wi we teto ohukanna. 
2TI.1.6	Mwaha wa ela, ginowuukokomeza wi oteteedhele mvahi oli mwa we wuuvahile Mulugu vevale vooheliliimi madada. 
2TI.1.7	Vowi Muneba onivahile Mulugu kunadhiiha woova, mbwenye onavaha kopolo, odhivela ni owaraala.
2TI.1.8	Mowindo kukalena manyazo omwiirela onamoona Nabwiya eehu, naari okalana manyazo wa miyo, munyakaambura aaye, moohiyaniha, we orabule vamohi ni miyo mwaha wa Muselu Wapama, nneere ovilela odheela owodha wa Mulugu. 
2TI.1.9	Oliye ohunivulumusa teto ohuniithanela mabasa oweela. Dhedhi keerilena mwaha wi hiyo nahiirana dhapama, eehi, mbwenye mwaha wa ofuna ni mahala aaye. Ohunivaha mahala ala vasasanyedheliiye onirumihedha Yesu Kirixtu elabo ehinapaddusiwe. 
2TI.1.10	Mahala aaye ala yooneyihiwe odheela wa okumelela wa Mvulumusi eehu Yesu Kirixtu. Oliye ohubwanyula owodha wa okwa vano teto odheela mwa Muselu Wapama ohooneyiha egumi yoohumala. 
2TI.1.11	Ola bu Muselu Wapama othomeliwiimi wi gikale namalaleya, murumiwi ni namasuuziha. 
2TI.1.12	Mwaha woolaleya waaga ginoorabula mukaambura mu, mbwenye miyo kaginakanna manyazo, vowi gihimunona oyene ginamuroromeliimi vano ginororomela wi oliye onowaanda okameela yoologolela yaaga, ofiyedha nlabo nddo. 
2TI.1.13	Ohiiwa ni miyo madhu ookamihedha. Weeddege oharaga mutheenga ola mwa nroromelo ni odhivela mwa Yesu Kirixtu. 
2TI.1.14	Odheela owodha wa Muneba Woweela oli mwa hiyo, okameele yoologolela yapama eroromelihiwiiwe.
2TI.1.15	Weevo ohunona wi aKirixtu aatene a elabo ya oAziya yahigihiya, mwa aliwa di Fizhelu ni Herimozhene. 
2TI.1.16	Yiireye wi Nabwiya eeddiwele thagaraga murala wa Onisiforo, mwaha wi oliye oogikamihesa, vano kaakalana manyazo odha ogoona, naari ngalive oofugeliwa. 
2TI.1.17	Moohiyaniha, oliye agafiyile oRoma, ahigisayela-sayela ofiyedha ogifwanya. 
2TI.1.18	Yiireye wi Nabwiya amweeddiwele thagaraga, ahimwiirele yamfwaneelele nlabo nddo!
2TI.2.1	Mowindo we mwaanaga, okale oolibihiwa mwa mahala eli mwa Yesu Kirixtu. 
2TI.2.2	Dhiinova madhu yawiiwiliiwe wa miyo vameentoni va anamoona ajinji wawinke athu oororomeleya, ale teto enaanda waasuuziha amohi.
2TI.2.3	Ovilelena orabula vamohi ni miyo wona munyakoddo apama a Yesu Kirixtu. 
2TI.2.4	Kalivo munyakoddo onavolowela dhego dheebeweene mwaha wi yoofuna yaaye fu omuhagalaliha mpogo aaye omucedhile. 
2TI.2.5	Muthu oothamaga vamapokani kanathambila ahaakwanihile moohariha malamulo a mapokaya. 
2TI.2.6	Namalima onahidda mabasa aaye moolibihedha dinafwaneelela okala muraaji ohadda. 
2TI.2.7	Wuubuwelele pama dhedhi dhinowaaddeliimi, vowi Nabwiya onoodha oovahe wiiwelelamo dhego dhaatedhene.
2TI.2.8	Omuubuwele Yesu Kirixtu, ole avenyihiwe muukwani, namabaliwelamo a Davidi, ola bu Muselu Wapama ginalaleyiimi. 
2TI.2.9	Ginowoona goyi mwaha wa mutheenga ola, gihimagiwa wona nambure, mbwenye madhu a Mulugu kimagiwe naari. 
2TI.2.10	Mowindo ginovilelana dhaatedhene dhedhi mwaha wa athu oosakuliwa ni Mulugu wi aliwa teto yaakele ovulumusiwa oli mwa Yesu Kirixtu wi teto yaakele nthithimiho noohumala. 
2TI.2.11	Madhu ala boororomeleya:
2TI.2.11	<<Nahaakwe vamohi ni oliye teto naakalege vamohi ni oliye.
2TI.2.12	Navilelave teto nnalamulege vamohi ni oliye.
2TI.2.12	Namukoodda, oliye teto onoodha anikoodde;
2TI.2.13	nakala oohuroromeleya, oliye onakalave oororomeleya,
2TI.2.13	vowi kanaande wikoodda yeeka>>.
2TI.2.14	Timoteyo, wawuubusedhege aKirixtu dhego dhaatedhene dhedhi, vano waawaraalihege mooliba vameentoni va Mulugu wi ehikanganege mwaha wa madhu. Okangana wowindo kunapuriha yego, mbwenye onaabwanyula ale eneewaya. 
2TI.2.15	Wiilibihedhege wi weepeleke vameentoni va Mulugu wona muthu waakwanihile weehiwa wona mwiimeleli ohiirilena yego yookaliha manyazo teto wona mwiimeleli oosuuziha mowaakwanela mutheenga wa ebaribari. 
2TI.2.16	Orabelege dhoothapanya dhinakoodda Muselu Wapama wa ebaribari teto orabelege dhoothapanya dhoohukalana mpurelo. Vowi dhoothapanya ndo dhinowaathukulela athu othegagave. 
2TI.2.17	Dhoowoga dheewa dhinomwadheya wona namugovola. Athu abiili enawoga ndala di Heminewu ni Fileto. 
