GEN.1.1	Fɔlɔfɔlɔ, Alla ka sankolo dan ka duukolo dan, 
LUK.12.7	Alla ka ai lɔn kosɛbɛ, hali ai kunsi jate! Wo rɔ, ai kana silan fewu. Alla ye ai jatela ka tamin kɔnɔilu kan.
LUK.12.8	«N di a fɔ ai yɛ ko mɔɔ fen fen wa ilɔ n tɔɔ la mɔɔilu ɲana, Mɔɔ Dencɛ fanan di ilɔ wo tii la Alla la mɛlɛkailu ɲana. 
LUK.12.9	Kɔni mɛn di iban n dɔ mɔɔilu ɲana, Mɔɔ Dencɛ fanan di iban wo rɔ Alla la mɛlɛkailu ɲana. 
LUK.12.10	Ni mɔɔ ka Mɔɔ Dencɛ mafɔ, a ri se a makotola. Kɔni mɔɔ wa Alla la Nin Sɛniman tanama kuma fɔ, a tɛ makoto habadan!
LUK.12.11	«Lon do rɔ, mɔɔilu ri ai mira. Alu wa ai lana salibonilu ɲɛmɔɔilu ma, wala kititɛɛla su bɛɛ, ai ka kan ka kuma mɛn fɔ ka ai jɛrɛ lafasa, ai kana hamin wo la. 
LUK.12.12	Ka a masɔrɔn ai ka kan ka mɛn fɔ, Alla la Nin Sɛniman di wo kuma bila ai kɔndɔ wo waati kelen na.»
LUK.12.13	Cɛ do tora jama rɔ ka a fɔ Isa yɛ ko: «An karanmɔɔ, i ye a fɔ n kɔrɔcɛ yɛ ko an fa sara ka cɛ mɛn to, ko a ye cɛ wo rafara ka n ta di n ma.» 
LUK.12.14	Isa ka a jabi: «Ɛɛ, cɛ! Yon de ka nde lasii, ka n kɛ ai la kititɛɛla ri, wala ai la cɛ rafarala?» 
LUK.12.15	Wo kɔ, Isa ka a fɔ jama yɛ ko: «Ai ye a kɛ koɲuma, ka ai jɛrɛ mira natabaya ma. Ka a masɔrɔn hali ni mɔɔ la nanfulu siyayara a ɲa jɛrɛ ma, wo ti se ka ɲenemaya jɛrɛ di a ma.»
LUK.12.16	Isa ka wo kɔrɔ yiraka ie la sanda do rɔ. A kan ko: «Waati do kɛra, nanfulutii do la sɛnɛ fenilu sɔnda kosɛbɛ. 
LUK.12.17	Wo rɔ, a ka a jate mira a jɛrɛ kɔndɔ ko: ‹N di nfen de kɛ sa? Suman mara diya si tɛ n bolo, suman jate wo ri kun mɛn dɔ.› 
LUK.12.18	A ka imiri wo ma ka a fɔ ko: ‹N di n na bondon bɛɛ lawuya ka kurailu lɔ ka woilu wara. N di n na suman kisɛ ni n na sɛnɛ fen bɛɛ kɛ ie kɔndɔ ka a bɛɛ lamara ye. 
LUK.12.19	Wo wa ban, n di a fɔ n jɛrɛ yɛ ko: «Cɛ, i ɲɔɲɔn fewu! Suman siyaman ba marani i bolo, suman mɛn di san siyaman bɔ. I ye damunun kɛ, ka minnin kɛ, ka sewa.»› 
LUK.12.20	Alla ka a fɔ a yɛ ko: ‹Ile, kɔmɔɔ gbeden. Bi su ɲin dɔ jɛrɛ, i nin di mira i la. I ra mɛn nadɛn i jɛrɛ yɛ, wo totɔ yon bolo sa?› 
LUK.12.21	Mɔɔ mɛn ye nanfulu ɲininna a jɛrɛ yɛ, ka a ban Alla rɔ, wo betɔ ten de.»
LUK.12.22	Wo rɔ, Isa ka a fɔ a la karandenilu yɛ ko: «Nba, n kan de, ai kana hamin ai nin na ai la dunuɲaratɛɛ damunun ko rɔ, wala ai la fari banku la feriyabɔ ko rɔ. 
LUK.12.23	Ka a masɔrɔn nin ka bon damunun fen di. Fari banku ka bon feriyabɔ ri.
LUK.12.24	«Ai ye kɔrɔnduwailu lakɔrɔsi. Alu tɛ sɛnɛ kɛla, alu tɛ suman kala. Suman mara diya su su tɛ ie bolo. Kɔni Alla ye woilu balola. Ai munanfan ka bon kɔnɔilu munanfan di paaon Alla ɲana. 
LUK.12.25	A ragbɛ! Yon ye ai rɔ, mɛn hamin di se do kafula a si ma, hali waati kelen? 
LUK.12.26	Ni ai la hamin ti se hali wo ko fitini la, nfenna ai ye haminna ko tɔilu bɛɛ la? 
LUK.12.27	Ai ye waa rɔ binilu lakɔrɔsi. Bin woilu ye wulila ka fɛrɛn ka ɲa. Alu tɛ baara kɛla, alu tɛ feriyabɔ ɲininna. Kɔni hali Mansa Sulemani, mɛn kɛra nanfulu ba tii ri, wo ma duruki si don, mɛn ka kɛnyani bin fɛrɛn kelen na. 
LUK.12.28	A ragbɛ! Bin mɛnilu ye wulila bi woilu ri janin ta la sini. Hali wo, Alla ka ie feriyabɔ fɛrɛnilu la. A ye di? Alla tɛ ai dɛmɛn fanan, ka ai feriyabɔ wa? Kɔni ai la lemɛniya ka doo fewu!
LUK.12.29	«Ai kana hamin ka a fɔ ko: ‹An di nfen damun ka nfen min?› 
LUK.12.30	Jamana mɛn mɔɔ ma Alla lɔn dunuɲa rɔ bi, woilu le ye ko su wo ɲininna waati bɛɛ rɔ. Kɔni ai mako ye fen mɛnilu la, ai Fa Alla ka woilu bɛɛ lɔn. 
LUK.12.31	Wo le rɔ, ai ye Alla la mansaya ɲinin fɔlɔ. Alla ri fen woilu fanan di ai ma.»
LUK.12.32	Isa ka a fɔ a la karandenilu yɛ ko: «N na dɛkuru ɲin, ai kana silan. A diyara ai Fa Alla yɛ ka a la mansaya di ai ma. 
LUK.12.33	Ai ye ai bolofenilu san ka mɔɔ bolokolonilu sɔ wodi wo rɔ. Ai ye nanfulu mara yɔrɔ ladan ai jɛrɛ yɛ harijeene, nanfulu mara yɔrɔ mɛn tɛ tiɲan. Sa ai ri nanfulu bila ai yɛ harijeene, nanfulu mɛn tɛ dɛsɛ habadan. Son si ti se yɔrɔ wo sɔrɔnna, ɲɛnbɛrɛ ni kɔrikɔri si ti tiɲani kɛ ye, 
LUK.12.34	baa i la nanfulu marani yɔrɔ mɛn, i solɔmɛ ye yɔrɔ wo le rɔ.»
LUK.12.35	Isa ka a fɔ ie yɛ ko: «Ai ye ai jɛrɛ tɛsidi ka ai rabɛn baara kanma. Ai ye ai la fitina lamɛlɛni to waati bɛɛ rɔ. 
LUK.12.36	Ai ye kɛ iko jɔn, mɛnilu ye ie la kuntii makɔnɔla bon kɔndɔ. Ni kuntii bɔra kɔɲɔ malɔ diya ka na da makonkon, alu ri da laka a yɛ. 
LUK.12.37	Ni kuntii nara ka a tɛrɛn jɔnilu ma sunɔɔ fewu, baraka ri don ie la ko rɔ. A ragbɛ! Kuntii ri a tɛsidi ka a jɛrɛ rabɛn ka jɔnilu kili. A ri ie bɛɛ lasii ka damunun sii ie kɔrɔ. 
LUK.12.38	Wo le rɔ, ni kuntii nara duu tala waati, wala dondon kasi waati, ni a nara ka a tɛrɛn jɔnilu ma sunɔɔ, baraka ri don ie la ko rɔ.
LUK.12.39	«Ai tolo malɔ! Ni bon tii tun ye a kalama ko son natɔ le a wara a waati mɛn na, a tun di a jɛrɛ rabɛn a ɲɔ rɔ. 
LUK.12.40	Wo ɲa kelen ma, ai fanan ye ai rabɛn. Ka a masɔrɔn Mɔɔ Dencɛ ri na waati do rɔ, ai hankili tɛ waati mɛn na.»
LUK.12.41	Piyɛri ka Isa maɲininka wo rɔ ko: «Maari, i ra sanda ɲin la andeilu dɔrɔn de yɛ, wala jama bɛɛ?» 
LUK.12.42	Maari ka a jabi: «Yon ye jatela jɔn telenni ri, wala jɔn hankiliman? Kuntii ri jɔn wo lasii a wara bɛɛ kun na, ko a ye a janto jɔn tɔilu rɔ, ka solo bɔ ka a di ie ma. 
LUK.12.43	Ni kuntii nara ka a tɛrɛn jɔn wo ye baara kan, baraka ri don jɔn na ko rɔ. 
LUK.12.44	Kuntii ri a bolofenilu bɛɛ karifa jɔn wo la. Tuɲa le fewu! 
LUK.12.45	Kɔni, ni jɔn wo ka imiri ko: ‹N na kuntii ti nala jona›. A ri jɔn tɔilu tɔrɔ ka ie gbasi, cɛ ni muso. A ri damunun kɛ kojuuya ka dɔlɔ min haan ka a jɛrɛ ɲa laminin. 
LUK.12.46	Wo ko rɔ, a la kuntii ri na waati do rɔ, jɔn wo hankili tɛ waati mɛn na. A wa na, a ri a la jɔn tɔrɔya kojuuya ka a kɛ ikomin Alla lɔnbali.
LUK.12.47	«Jɔn mɛn ka a la kuntii diyana ko lɔn, kɔni a kɔndɔgbo ma sɔn ka a janto a rɔ, kuntii ri wo gbasi kojuuya ka jahadi la a kan kosɛbɛ! 
LUK.12.48	Jɔn mɛn ma a la kuntii diyana ko lɔn, ni a filira ka baara juu do kɛ, mɛn ye gbasili ko ri, jɔn wo fanan di gbasi. Ale kɔni tɛ gbasi kojuuya. Mɔɔ mɔɔ wa siyaman sɔrɔn, siyaman di ɲinin wo fɛ. Siyaman wa karifa fen fen na, siyaman di ɲinin wo fɛ fanan.»
LUK.12.49	Isa ka a fɔ ie yɛ ko: «N da na ta su kanma duukolo kan. N da gbedenni ba le fo ta wo ye mɛlɛn. 
LUK.12.50	Kɔni a fɛrɛ tɛ fo n ye n na jakankatayɛ dafa. Yani n ye ban wo kɛla, n tɛ jususuman sɔrɔn. 
LUK.12.51	A ye di? A ye ai kɔndɔ ko n da na ka hɛra kɛ duukolo kan wa? Wo kuma tɛ! N nani bɛnbaliya bilala mɔɔilu tɛma. 
LUK.12.52	Ka damira bi ma, ni mɔɔ loolu kɛra denbaya kelen dɔ, mɔɔ sawa ri kɛ mɔɔ fila kanma, wala mɔɔ fila ri kɛ mɔɔ sawa kanma. 
LUK.12.53	Cɛ dencɛ ri bila a la, cɛ fanan di bila a dencɛ la. Muso denmuso ri bila a la, muso fanan di bila a denmuso la. Muso a dencɛ muso ri bila a la, muso fanan di bila a dencɛ muso la.»
LUK.12.54	Isa ka a fɔ jama yɛ ko: «Ni ai ka banda finni yen tele be rɔ, ai ye a fɔla ko sanci natɔ le. Sanji di na iko ai ka a fɔ ɲa mɛn ma. 
LUK.12.55	Ni ai ka a yen fɔɲɔ ye bɔla tele kankan bolo maran fan fɛ ai ye a fɔla ko: ‹Tara ri bɔ.› Tara ri bɔ ikomin ai ka a fɔ ɲa mɛn ma. 
LUK.12.56	Tɔɔmasere mɛnilu ye kɛla sankolo ni duukolo kan, ai kusan woilu faranfasila. Kɔni Alla ye ko mɛnilu kɛla bi mɔɔilu tɛma, nfenna ai ma kusan woilu fanan faranfasila? Ai filankafuilu! 
LUK.12.57	Nfenna ai tɛ a fɛ ka ko telennilu jate mira ai jɛrɛ ma ka woilu kɛ?
LUK.12.58	«A ragbɛ! Ko wa kɛ i ni mɔɔ do tɛma, ni wo ye a fɛ ka i lana kiti diya, yani ai ye se ye, i ye fɛrɛ bɛɛ kɛ ka a madiya sani ai ye se kititɛɛ diya. Ni wo tɛ, kititɛɛla ri i don tasidilu bolo. Polisi ri i bila kaso la. 
LUK.12.59	Ni i donda kaso la, i ti bɔ fewu fo i wa ban wodi wo bɛɛ sarala. Tuɲa le fewu!»
LUK.13.1	Nba, waati wo rɔ, mɔɔilu tɛrɛ ye nala Isa ma ka a fɔ a yɛ ko mɛn kɛni Kalilekailu la Pilate bolo. A ka Kalilekailu jeli ni saraka sobo jeli basan iɲɔɔn na. 
LUK.13.2	Isa ka ie jabi: «A ye di? Ai hankili rɔ, Kalileka mɛnilu faani ten, woilu tun da kojuu le kɛ ka tamin Kalileka tɔ bɛɛ kan wa? Alu faara wo sababu la wa? 
LUK.13.3	Wo kuma tɛ! Kɔni ni ai ma tubi, ai fanan di halaki. 
LUK.13.4	Waati taminni, Silowe sankaso jan bera mɔɔ tan ni seyin kan ka woilu faa Jerusalɛmu so kɔndɔ. Wo tɛ ai miri rɔ, mɔɔ tan ni seyin wo, woilu la kɛwalilu tun ka juu ka tamin Jerusalɛmukailu tɔ bɛɛ ta kan wa? 
LUK.13.5	Ɛɛn, dɛ! Wo kuma tɛ! Kɔni ni ai ma tubi, ai bɛɛ fanan di halaki.»
LUK.13.6	A ka misali di ie ma sanda rɔ, ko: «Toro ju kelen tɛrɛ ye cɛ do bolo a la sɛnɛ rɔ. Lon do rɔ, a wara toro den ɲinin. A ma foyi sɔrɔn a la. 
LUK.13.7	A ka a fɔ a la baaraden yɛ ko: ‹N da san sawa kɛ, n ye toro den ɲininna n na toro ju la. Haan bi, n ma foyi sɔrɔn a la munun. Wo rɔ, i ye a tɛɛ, ka a bɔ ye. Tɔnɔ tɛ a la. A kana to ten ka n na duu tiɲan.› 
LUK.13.8	Baaraden ka a madiya ko: ‹Faama, i ye a to ten san kelen ɲin na munun. N di duu sen a kɔrɔ ka nɔɔ kɛ a fɛ. 
LUK.13.9	Sando ni a ka den kɛ, ale le wo ri. Kɔni ni a ma den kɛ, i ri a tɛɛ ka a bɔ ye.›»
LUK.13.10	Lon do rɔ, Isa tɛrɛ ye mɔɔilu karanna Alla la salibon do la. Ɲɔɲɔn lon de tɛrɛ. 
LUK.13.11	Muso jankarɔto do tɛrɛ ye, jinailu ra dan ba bila mɛn kɔ kan. A ra san tan ni seyin bɔ, a ma se a kɔ lawulila. 
LUK.13.12	Isa ka muso wo yen ka a kili. A ka a fɔ a yɛ ko: «N badenma muso, i ra hɔrɔya i la jankarɔ rɔ ka bɔ a rɔ fewu.» 
LUK.13.13	A ka a bolo la muso kan. Muso kɛndɛyara ikɔrɔ ye ka a kɔ latelen, ka ban ka Alla tando.
LUK.13.14	Kɔni salibon kuntii ka wo bɛɛ lakɔrɔsi ka diminya. A monɛra Isa ma ka a masɔrɔn a ka lakɛndɛyali kɛ Ɲɔɲɔn lon. Kuntii wulira ka a fɔ jama yɛ ko: «Tele wɔɔrɔ ye an bolo ka baara kɛ. Ai ye na kɛndɛya ɲinin tele wɔɔrɔ wo kɔrɔ. Ai kana na Ɲɔɲɔn lon fewu!» 
LUK.13.15	Maari ka salibon kuntii jabi: «Ai ye filankafuilu le ri. I ɲa lɔ! Ni nisi wala fali kɛra ai bolo, ai tɛ wa ie furɛn ka ie mayɛlɛman ka ie lamin Ɲɔɲɔn lon wa? 
LUK.13.16	Ni ai ye wo kɛla, a ye di? Muso ɲin ye Iburahima bɔnsɔn de ri. Setana ra a sidi jankarɔ la kɛbi san tan ni seyin. N ma kan ka wo furɛn ka a lakɛndɛya Ɲɔɲɔn lon wa?» 
LUK.13.17	Wo jabili ka Isa juuilu bɛɛ maloya. Kɔni jama bɛɛ sewara Isa la kosɛbɛ, ka a masɔrɔn a tɛrɛ ye kabannako bailu kɛla.
LUK.13.18	Wo rɔ Isa ka ɲininkali kɛ ko: «Alla la mansaya ni nfen mununni? N di se a ni nfen lala a ɲɔɔn ma? 
LUK.13.19	Alla la mansaya ye iko sɛbɛni fira kisɛ. Cɛ do ka wo ta ka wa a lan a la nako rɔ. Kisɛ wo fɛrɛnda, ka bonya ka kɛ jiri ju ri. Kɔnɔilu ka ie ɲaan la jiri wo bolonilu la.»
LUK.13.20	Isa ka ɲininkali kɛ ko: «N ye Alla la mansaya lala nfen ma ikɔ tuun? 
LUK.13.21	A ye iko lɛbɛn. Ni muso ka wo ta ka dooni kɛ farɛni muu siyaman dɔ, a ri farɛni muu bɛɛ funu.»
LUK.13.22	Wo kɔ, Isa watɔla Jerusalɛmu, a tɛrɛ ye mɔɔilu karanna sila la so bailu ni so misɛnnilu la.
LUK.13.23	Do ka Isa maɲininka ko: «Maari, mɔɔ gbɛnsɛni ri kisi wa?» Isa ka ie jabi: 
LUK.13.24	«Ai ye iraja ka don da doomanin na. Ka a masɔrɔn n di a fɔ ai ɲana, mɔɔ siyaman di don diya ɲinin ka kaɲa. 
LUK.13.25	Maari, mɛn ye bontii ri, ni a wulira ka bon da latuun, ai ri to kɛnɛ ma. Ai ri da makonkon ka a fɔ ko: ‹Maari, i ye da laka an yɛ.› Bontii ri jabili kɛ ko: ‹N ma a lɔn i bɔni yɔrɔ mɛn dɔ.› 
LUK.13.26	Ai ri a fɔ ko: ‹Maari, an bɛɛ ka damunun kɛ ka an min yɔrɔ kelen. I ka an karan an na soilu la.› 
LUK.13.27	Maari ri a fɔ ai yɛ ko: ‹Ai kojuukɛlailu, n ma ai lɔn, n ma ai bɔ diya lɔn. Ai ye bɔ yan!›
LUK.13.28	«Wo lon, ai wa Iburahima ni Isiyaka ni Yakuba ni nabiɲumailu bɛɛ yen Alla la mansaya rɔ, ka a tɛrɛn ai lafilini kɔkan. Ai ri kasi ka mɔnɛ fo ka ai ɲin makin. 
LUK.13.29	Mɔɔilu ri bɔ dunuɲa fan bɛɛ rɔ ka na isii Alla la mansaya rɔ ka damunun kɛ. 
LUK.13.30	Nba, doilu ye kɔmamɔɔilu ri bi, mɛnilu ri kɛ ɲɛmɔɔilu ri sini. Doilu fanan ye ɲɛmɔɔilu ri bi, mɛnilu ri kɛ kɔmamɔɔilu ri sini.»
LUK.13.31	Wo waati kelen, Farisi doilu nara Isa lali ko: «I ye yan bila ka wa yɔrɔ gbɛrɛ rɔ, baa Mansa Herodi ye i faa ko rɔ.» 
LUK.13.32	Isa ka ie jabi: «Ai ye wa a fɔ sɔyani wo yɛ, Herodi kɔnin, ko n ye jina gbɛnna ka bɔ mɔɔilu fɛ, ka jankarɔtoilu lakɛndɛya. Bi ni sini, n ye wo baara kan. A tele sawana, n na baara ri dafa. 
LUK.13.33	A fɛrɛ tɛ fo n ye n daja ka n taama bi, a ni sini a ni sini kɛndɛ, baa nabiɲuma kana faa yɔrɔ si fo Jerusalɛmu.»
LUK.13.34	Isa ka a kan nabɔ ka fɔ ko: «Jerusalɛmu, Jerusalɛmu. Ai ye nabiɲumailu faala a ni mɛnilu yon ai kawandi la, ai ye woilu bon kaba la ka ie faa. Siɲa siyaman, n tɛrɛ ye a fɛ ka ai ladɛn iko sisɛ ba ri a denilu ladɛn ɲa mɛn ka ie dokon a kɔrɔ. Kɔni ai ma sɔn wo ma. 
LUK.13.35	Wo rɔ, ai la bon nafilinin de tɛrɛ. Ai ɲa tɛ la n kan butun, fo ai wa a fɔ lon mɛn ko: ‹Kunnadiya wo mɛn nani Maari Alla tɔɔ rɔ.›»
LUK.14.1	Ɲɔɲɔn lon do rɔ, Isa wara damunun diya Farisilu la ɲɛmɔɔ do wara. Mɛnilu siini tɛrɛ damunun na ye, woilu bɛɛ tɛrɛ ye a lakɔrɔsila kojuuya. 
LUK.14.2	Jankarɔto do tɛrɛ ye Isa ɲana jama tɛma ye. Jankarɔ tun da a fari yɔrɔ doilu mafunufunu. 
LUK.14.3	Isa ka sariya karanmɔɔ ni Farisilu maɲininka ko: «A ye di? Ka mɔɔ lakɛndɛya Ɲɔɲɔn lon, wo bɛnni an na sariya ma, wala wo bɛnni tɛ?» 
LUK.14.4	Alu ka imakun. Wo rɔ, Isa ka a bolo la jankarɔto kan ka a lakɛndɛya, ka ban ka sila di a ma. 
LUK.14.5	A bɔ mɛn kɛni, Isa ka ie maɲininka ko: «Ni ai la den, wala ai la nisi bera kɔlɔn kɔndɔ, yon ye ai tɛma yan, mɛn di iban wo layɛlɛla Ɲɔɲɔn lon? Ai ri a labɔ jona, wo tɛ?» 
LUK.14.6	Alu ma se Isa jabila.
LUK.14.7	Ka Isa to damunun diya ye, a ka mɔɔilu lakɔrɔsi, mɛnilu kilini damunun kanma. Alu nani ɲɛmɔɔ sii diya tala ie jɛrɛ yɛ. Wo rɔ, a ka sanda do la ie yɛ. A kan ko: 
LUK.14.8	«I wa kili ka wa kɔɲɔ malɔ diya rɔ, i kana wa isii ɲɛmɔɔ sii diya rɔ, baa wo ri a tɛrɛn tumado ɲɛmɔɔ do kilini ye, mɛn ka bon i ri. 
LUK.14.9	Ni wo nara ka i siini tɛrɛn ɲɛmɔɔ sii diya, i maloyatɔ le. Mɛn ka ai fila bɛɛ kili, wo ri na ka a fɔ i yɛ ko: ‹Iwuli ka sii diya wo di mɔɔba ma.› I ri wuli maloya rɔ ka kɔmamɔɔ sii diya ɲinin jama kɔfɛ.
LUK.14.10	«Nba, i wa kili kɔɲɔ malɔ diya rɔ, i ye wa isii kɔmamɔɔ sii diya rɔ. Wo wa kɛ, mɛn ka ai bɛɛ kili, wo ri lakɔrɔsili kɛ ka a fɔ ko i ma kan ka isii ten. A ri sii diya gbɛrɛ ɲinin i yɛ, mɛn ka ɲi fɔlɔman di. A ri a fɔ i yɛ ko: ‹N teri, i ye na isii ɲɛmɔɔ sii diya rɔ.› I ri bonya ba sɔrɔn mɔɔilu bɛɛ ɲana. 
LUK.14.11	A ragbɛ! Mɔɔ mɔɔ wa a jɛrɛ bonya, Alla ri wo majii. Kɔni mɔɔ mɔɔ wa a jɛrɛ fanmajii, Alla ri wo bonya.»
LUK.14.12	Isa ka kuma do fɔ cɛ yɛ fanan, a kilini mɛn bolo. A kan ko: «I wa kɛ mɔɔilu kilila damunun kanma, i kana dan i terilu ni i badenmailu ma, a ni i siiɲɔɔn nanfulutiilu, baa lon do rɔ, woilu fanan di a ɲɔɔn kɛ i yɛ, ka i sara wo rɔ. 
LUK.14.13	Ni i ka mɔɔilu kili sali damunun kanma, i ye fantanilu ni lanjiiritɔilu a ni ɲa fuyenilu kili dumunun diya. 
LUK.14.14	I ri barayi sɔrɔn wo rɔ, ka a masɔrɔn woilu ti se ka i la koɲuma julu sara. Alla wa telenbailu suu lawuli, a ri wo baaraji di i ma.»
LUK.14.15	Isa damunun ɲɔɔn do ka a tolo malɔ wo bɛɛ la, ka a fɔ a yɛ ko: «Mɛn di damunun kɛ Alla la mansaya rɔ, a ri a kunnadiya sɔrɔn a la ko rɔ kosɛbɛ.» 
LUK.14.16	Isa ka jabili kɛ sanda do rɔ. A ko: «Lon do rɔ, cɛ do tɛrɛ ye a fɛ ka damunun ba rabɛn ka mɔɔ siyaman kili. 
LUK.14.17	Damunun waati sera tuma mɛn na, a ka a la jɔncɛ lɔ mɔɔilu kili la, ko alu ye na damunun kɛ. 
LUK.14.18	Kɔni, alu bɛɛ ka bɔɲa ɲinin a bolo. A wara mɔɔ fɔlɔ mɛn kili, wo ka a fɔ ko: ‹N da duu do san. A fɛrɛ tɛ fo n ye wa a mafɛnɛ. I sabari ka yafa a ma. N ti se wala.› 
LUK.14.19	Mɔɔ filana kan ko: ‹N da sɛnɛkɛ nisi tan san. N watɔ woilu mafɛnɛla. I sabari ka yafa n ma.› 
LUK.14.20	Mɔɔ sawana fanan kan ko: ‹N ban san de muso furula. Wo le kosɔn, n ti se wala.› 
LUK.14.21	Jɔncɛ wara wo ɲafɔ a la kuntii yɛ. A la kuntii duunyara kosɛbɛ, ka a fɔ jɔncɛ yɛ ko: ‹Ibori ka wa se so kɔndɔ fan bɛɛ, tiritilu ni sila misɛnilu la. I wa fantan mɛnilu yen, i ye ie kili, a ni lanjiiritɔilu. I ye ie bɛɛ ta ka na ie ri yan.› 
LUK.14.22	Jɔncɛ ka a fɔ a la kuntii yɛ ko: ‹I ka mɛn fɔ, n da ban wo kɛla. Kɔni haan bi, i la bon ma fa munun.› 
LUK.14.23	Kuntii ka a fɔ a yɛ ko: ‹I ye bɔ so kɔndɔ ka wa kɔkan. I wa mɔɔ mɔɔ tɛrɛn silailu la ye, i ye ie kili. I ye fɛrɛ bɛɛ kɛ kosa alu ri na n na bon nafa a ɲa ma. 
LUK.14.24	A ragbɛ! N ka so kɔndɔ mɔɔ mɛnilu fɔlɔman kili, mɛnilu ka iban nde rɔ, alu tɛ foyi si sɔrɔn n na balo rɔ.›»
LUK.14.25	Lon do rɔ, jama ba bilani tɛrɛ ye Isa kɔfɛ. A ka iyɛlɛman ka a fɔ ie yɛ ko: 
LUK.14.26	«Ni mɔɔ mɛn ye a fɛ ka bila n kɔfɛ, a ma sɔn n na ko ye diya a yɛ ka tamin a fa la, ka tamin a na fanan na, ka tamin a muso la, ka tamin a denilu fanan na, ka tamin a doonilu ni a kɔrɔilu la, hali ka a tamin a jɛrɛ nin na, wo ti se ka kɛ n na karanden jɛrɛ jɛrɛ ri. 
LUK.14.27	Mɛn ma sɔn a gbɔngbɔnjiri ta, ka bila n kɔfɛ, wo ti se kɛla n na karanden di.
LUK.14.28	«A ye di? Yon de ye ai tɛma yan, ni a ye a fɛ ka sankaso lɔ, a tɛ isii fɔlɔ ka jate mira kɛ? Kosa a ri a lɔn ni a ri se ka a lɔ ka a laban. 
LUK.14.29	Ni a ma wo kɛ fɔlɔ, a ri sankaso ju sii, ka ban ka kaɲa a lɔla ka a to ye. Wo wa kɛ, mɔɔilu ri a mayɛlɛ wo rɔ. 
LUK.14.30	Alu ri a fɔ ko: ‹Han, cɛ wo! A kan ko a ri sankaso lɔ, kɔni a ra kaɲa fewu!›
LUK.14.31	«A ye di? Mansa ɲuman di sɔn ka bɔ mansa gbɛrɛ kɛlɛ kanma, ni a ma isii fɔlɔ ka jate mira kɛ. Kosa a ri a lɔn ni a la sofaden mɔɔ waa tan di se wo la sofaden mɔɔ waa muwan na. 
LUK.14.32	Ni a ka a yen ko a ti se wo la, yani mansa wo ye sudunya a ma, a ri keladenilu lawa kɛlɛ ban kanma. 
LUK.14.33	A ragbɛ! Ni i ma iban i jɛrɛ rɔ, ka fen bɛɛ to ye, i ti se kɛla n na karanden di.
LUK.14.34	«I ka a lɔn, kɔɔ ye fen ɲuma ri. Kɔni ni a diya bɔra a la, a ti se ladiyala ikɔ. 
LUK.14.35	Ni a diya bɔra a la, a ti se ka duu diya sɛnɛ rɔ, a ti se foyi ɲala sununkun na fanan. A ri lafili. Nba, mɛn tolo ye mɛnni kɛla wo ye a tolo malɔ misali ɲin na.»
LUK.15.1	Nisɔnkɔmiralailu ni kojuukɛla gbɛrɛilu tɛrɛ ye nala ka ie tolo malɔ Isa la. 
LUK.15.2	Farisilu ni sariya karanmɔɔilu ka wo yen ka a fɔ ie da kɔrɔ Isa ma ko: «A ragbɛ! Cɛ wo ye kojuukɛlailu ramirala, fo ka damunun kɛ fɛ kelen dɔ.» 
LUK.15.3	Wo rɔ, Isa ka sanda la ie yɛ ko: 
LUK.15.4	«Ni saa kɛmɛ kɛra mɔɔ kelen bolo ai rɔ yan, saa kelen wa tunun, yon tɛ sɔn ka saa bikɔnɔndɔ ni kɔnɔndɔ to waa rɔ, ka wa saa tununni kelen pe ɲinin diya haan ka a yen? 
LUK.15.5	A wa saa tununni wo yen, a ri sewa. A ri a ta ka a la a kan ma ka na a ri. 
LUK.15.6	A wa se a la lu ma, a ri a fɔ a terilu ni a siiɲɔɔnilu yɛ ko: ‹An ye sewa. N na saa tununni tɛrɛ, kɔni n da a ɲinin ka a yen.›
LUK.15.7	«A ragbɛ! Wo ɲa kelen ma, kojuukɛla kelen pe wa tubi, wo ye sewa ko ba le ri Alla wara. Wo sewa ka bon paaon, ka tamin telenba mɔɔ bikɔnɔndɔ ni kɔnɔndɔ ta kan, mɛnilu mako tɛ tubi ko ma.»
LUK.15.8	Isa ko: «Ni wodigbɛ tan kɛra muso do bolo, kelen wa tunun a ma bon kɔndɔ, a ri nfen kɛ? A tɛ wuli wa, ka fitina lamɛlɛn ka bon kɔndɔ firan, ka wodi wo ɲinin a ɲa jɛrɛ jɛrɛ ma wa, haan ka a yen? 
LUK.15.9	Ni a ka a yen, a ri a terilu kili, a ni a siiɲɔɔnilu, ka a fɔ ie yɛ ko: ‹An ye sewa. N da n na wodigbɛ yen, mɛn tununni tɛrɛ n ma.›» 
LUK.15.10	Isa ko: «A ragbɛ! Wo ɲa kelen ma, kojuukɛla kelen pe wa tubi, Alla la mɛlɛkailu ri sewa.»
LUK.15.11	Isa fanan ko: «Dencɛ fila tɛrɛ ye cɛ do bolo. 
LUK.15.12	Lon do rɔ, den doomanni ka a fɔ a fa yɛ ko: ‹N fa, i ye i la nanfulu bɛɛ rafara, ka n ta fan di n ma sisen.› Cɛ wo ka a la nanfulu rafara a den fila tɛma, ka a dencɛ doomanni ta fan di a ma. 
