GEN.1.1	Diyà te keteboan te kedita, mig-inang se Timanem te langit aw keneyonan. 
2TI.1.14	Pineokit te tabang te Espiritu Santo eg-ogpà diyà kenitadon, peg-ahà ka te metòlid se pegtoladà no te kebenalan insalig diyà kamno.
2TI.1.15	Netegahan no besi te tininggetanan a te kedita te otaw egpemenal dini te probinsya te Asya, pengkey si Figelo aw si Hermogenes. 
2TI.1.16+2TI.1.17	Meneng ibeg ko keidowan te Pengolo tadon si Onesiforo aw pamilya din, so pegdateng din dini te Roma, nengemahà sikandin kanak lamig kinità a din. Melikit sikandin eglaoy kanak aw neantag se pedowan ko pineokit kandin. Wedà sikandin keyàyà pengkey kineleboso a. 
2TI.1.18	Tapay no netegahan te dakel se tabang din kanak doton te Efeso. Ibeg ko keidowan sikandin te Pengolo tadon te modi aldaw aw lomikò sikandin.
2TI.2.1	Sikona Timoteo, iling ka te ontò batà ko. Pegpekagsen ka pineokit te tabang i Jesu Cristo. 
2TI.2.2	Se kebenalan intoladà ko kamno aw medita doma otaw, yan se keilangan itoladà no diyà te menge doma otaw keseligan amon meketoladà dan heman te menge doma otaw.
2TI.2.3	Pegpeketagad ka aw pemilangen ka tandà te pegtaking no ki Jesu Cristo, aw yan meinang ka iling te sondalo egkeseligan. 
2TI.2.4	Aw meinang se otaw sondalo, eked kepakay aw mebuyung sikandin te terbaho te otaw kenà sondalo, so keilangan toloen din se pengolo din amon meluba sikandin. 
2TI.2.5	Iling heman te egkoyà se otaw egtaking ki Jesu Cristo, so aw megkoyà se otaw, eked sikandin penalo aw eked heman begayi te ontong singed aw tomolò sikandin te menge punù tepad te pegkoyà. 
2TI.2.6	Iling heman te egpawà se otaw egtaking ki Jesu Cristo, so aw measeb se otaw megpawà, sikandin se onà kominawà te ontong te geniyen. 
2TI.2.7	Eneng-enengi se kagi ko kamno, so tebangan ka te Pengolo tadon amon mekelabet ka te kedita niyan.
2TI.2.8	Peg-aneng-aneng ka tepad ki Jesu Cristo. Neantay sikandin lekat te nematay, aw bowad-bowad sikandin i David. Yan se Mèpiya Indan ipegtoladà ko. 
2TI.2.9	So migtoladà a te Mèpiya Indan sìyan, nelimahan a den aw kineleboso a den iling te telebonò. Pengkey ginapos a, meneng eked kesagda se pegtoladà te kagi te Timanem. 
2TI.2.10	Yan se doun te egpeketayod a te kelimahan dimateng kanak amon ketebangan ko se menge otaw pinemallì te Timanem, so ibeg ko mekelowà dan heman lekat te salà pineokit te pegpemenal dan ki Jesu Cristo, aw kominawà dan heman te kaling pedowan wedad temanan. 
2TI.2.11	Benal se kagi seini,
2TI.2.11	“So nematay kidon den doma i Cristo, entayen kidon heman meg-ogpà doma din.
2TI.2.12	Aw meketayod kidon te pegpemilang kenitadon, lomowan kidon heman doma din.
2TI.2.12	Meneng aw mikagi kidon te kenà kidon sakop din, mikagi heman sikandin te kenà kidon sakop din.
2TI.2.13	Pengkey kenà kidon egkeseligan, meneng gayed sikandin egkeseligan, so eked sikandin pegtodà te inikagi din.”
2TI.2.14	Pegtoladà ka te menge otaw doton te keilangan eked dan kelibeli se kedita niyan. Pegpunù ka kandan, so egtengtengen dan te Timanem, keilangan eked dan pegpedindilay tepad te kedegdagan te kagi. Wedad ontong kenyan, so olò iyan mekebaet te pegpemenal te menge otaw menenalan kenyan. 
2TI.2.15	Pegpekeaseb ka te eg-inangen no amon meluba se Timanem kamno. Keilangan metòlid se pegtoladà no te kagi te Timanem amon wedad mekeyàyà kamno. 
2TI.2.16	Ikà eg-inabut te medaet balaw eked keibegi te Timanem, so pineokit kenyan labi pa megpekediyò se menge otaw diyà te ibeg te Timanem. 
2TI.2.17	Iling te bekokang gayed egkedakel diyà te lawa se ipegtoladà dan. Iling heman kenyan se ipegtoladà te didowa otaw, si Himeneo aw si Fileto. 
2TI.2.18	Simoway dan lekat te kebenalan, so egtoladà dan te nepenga den se aldaw te peg-antay te Timanem te otaw lekat te nematay. Pineokit kenyan, doen menge otaw nebàtan den se pegsalig dan diyà te Timanem. 
2TI.2.19	Meneng eked ketodà se kebenalan impetoladà te Timanem, aw egketegahan iyan pineokit te kagi seini, “Netegahan te Pengolo se kedita te otaw egtaking kandin.” Doen heman doma kagi, “Keilangan eked pegpekesalà se kedita te otaw eg-ikagi te egtaking dan te Pengolo.”
2TI.2.20	Medita se kinemoloan te telepagan doton te dakel balay te otaw meyaman, so doen telepagan ininang te bolawan, doen ininang te selapì, doen telepagan kayo, aw doen heman iling te koden ininang te tanà. Doen menge telepagan meelagà eked din gemiti singed aw doen otaw gomemaw kandin. Doen heman menge doma telepagan barato eggemiten din te pengkey eden eldawi. 
2TI.2.21	Aw eked peg-inabut se otaw te salà, iling sikandin te telepagan meelagà diyà te tig-apò, aw pemellien sikandin te Pengolo amon gemiten din, so egpeketagad sikandin meg-inang te pengkey eden se mèpiya. 
2TI.2.22	Yan se doun te keilangan eked ka peg-inabut te medaet mekeboyo te kaling otaw. Meneng keilangan megpekeaseb ka meg-inang te metòlid, aw somalig ka diyà te Timanem, aw megpedakel ka te pedowan no, aw megpekelinaw ka te pedowan nikaw, so yan se eg-inangen te kedita te otaw egtawal-tawal diyà te Pengolo tadon aw melobos se pedowan dan kandin. 
2TI.2.23	Pegpekediyò ka diyà te balaw wedad inenengen aw wedad ontong, so netegahan no te yan se eglekatan te dindil. 
2TI.2.24	Eked kepakay aw megdindil se sineligan te Pengolo tadon. Keilangan mèpiya beling se inangen din diyà te kedita te otaw. Keilangan biyasa sikandin egtoladà. Keilangan melayat se pedowan din. 
2TI.2.25	Aw megtoladà sikandin te menge otaw kenà egpemenal te kagi din, keilangan mèpiya se pedowan din kandan, so doen besi aldaw ibegay te Timanem kandan amon megselsel dan aw metaga-taga dan te kebenalan. 
2TI.2.26	Yan mekelowà dan lekat te belad i Satanas, so sikandin se tapay migdakep kandan, aw kandin ibeg se egtoloen dan.
2TI.3.1	Peg-aneng-aneng ka kani. Aw agpet domateng se temanan te keneyonan, medaet se kelimahan domateng te menge otaw. 
2TI.3.2	Doen kwani menge otaw megkedemet, aw mengewarta, aw megpeduyun, aw megpelangkaw-langkaw. Megtompuyus dan te doma otaw, eked dan tolò te amay aw inay dan, mengako dan, aw eked dan pegsagman te Timanem. 
2TI.3.3	Wedad kedakel te pedowan dan, eked dan keosayi, megbaet-baet dan, meg-inang dan te pengkey eden se ibeg dan medaet, melbala dan, aw mebensi dan te pengkey eden se mèpiya. 
2TI.3.4	Megtolok dan te menge doma dan, mebolot dan, aw megpelangkaw-langkaw dan. Eked dan taking te Timanem, meneng kandan beling keluba se pemehaen dan. 
2TI.3.5	Megpelingo-lingo dan menimanem, meneng eked dan pemenal te metolos se Timanem. Pegpekediyò ka diyà kandan. 
2TI.3.6	Doen heman kandan egdoton te menge balay eg-ogpaan te menge bayi kenà melobos se pedowan dan diyà te Timanem. Nelegeb se menge bayi sìyan te salà aw egbeyà-beyaan dan te menge ibeg te pedowan dan medaet. Yan se doun te egkeekalan dan, 
2TI.3.7	so pengkey eden se itoladà kandan, yan se pemenalen dan, meneng eked dan palos ketaga-taga te kebenalan. 
2TI.3.8	Se menge meama egtoladà kandan, egpoon dan te kebenalan iling ki Janes aw si Jambres migpoon ki Moises gebii. Nebàtan se aneng-aneng dan, aw olò dan egpelingo-lingo te egpemenal dan. 
2TI.3.9	Meneng dàgen dan te eked kenamay, so metaga-taga se kedita te otaw te wedad inenengen dan iling te neinang ki Janes aw si Jambres gebii.
2TI.3.10	Meneng sikona, Timoteo, netegahan no den se kedita intoladà ko, aw eg-inangen ko, aw ibeg te pedowan ko. Kinità no heman se pegsalig ko diyà te Timanem, aw pegkelayat aw pegkedakel te pedowan ko. Kinità no heman se pegtayod ko te kelimahan, 
2TI.3.11	aw pegpemilang kanak, aw kelimahan ko. Netegahan no se kedita neinang kanak kedengan doton te Antyokya aw Ikonyo aw Listra, aw eden se pemilang dimateng kanak. Meneng impelowà a te Pengolo tadon lekat te kedita niyan. 
2TI.3.12	Pemilangen pa se kedita te otaw migpesakop diyà ki Jesu Cristo aw melobos se pedowan dan tomolò te ibeg te Timanem. 
2TI.3.13	Meneng se menge otaw eg-inang te medaet aw egpelingo-lingo te egpemenal dan, yan se otaw gayed meg-inang te labi pa medaet. Meg-akal dan te doma otaw, aw ekalan dan heman te doma otaw. 
2TI.3.14	Meneng sikona, keilangan eked ka soway lekat te kebenalan intoladà kamno aw pinemenalan nikaw, so egkeseligan se otaw pig-ilingan no kenyan, 
2TI.3.15	aw netegahan no te lekat te pegkebatà nikaw tinoledaan ka te kagi te Timanem insolat. Aw yan se peg-ilingan tadon, metaga-taga kidon tepad te pegpelowà te otaw lekat te salà pineokit te pegsalig diyà ki Jesu Cristo. 
2TI.3.16	Lekat te Timanem se kedita te kagi impesolat din, aw doen ontong tadon kenyan te pegtoladà tadon te kebenalan, aw pegsagda tadon te medaet, aw pegtodà tadon te kolang, aw pegtoladà tadon tepad te metòlid eg-inangen. 
2TI.3.17	Pineokit te kagi te Timanem, megkebiyasa se kedita tadon egtaking te Timanem aw meketagad kidon meg-inang te pengkey eden kemoloi te mèpiya inang.
2TI.4.1	Doen ipunù ko kamno aw egtengtengen ki te Timanem aw si Jesu Cristo, se meg-okom te kedita te otaw pengkey nematay aw wedà pa kematay. So netegahan tadon te lomikò si Jesus aw lomowan, seini se ipunù ko kamno. 
2TI.4.2	Pegtoladà ka te kagi te Timanem. Keilangan megpeketagad ka megtoladà kenyan pengkey meibeg aw eked keibeg se menge otaw menenalan. Pegpetaga-taga ka diyà te menge otaw te kemalì dan. Pegsagda ka te otaw eg-inang te medaet. Peg-antag ka te pedowan te menge otaw kenà melobos se pedowan dan. Keilangan gayed medalem se pedowan no dalem te pegtoladà no kandan. 
2TI.4.3	Yan se impunù ko kamno, so domateng se aldaw eked keibeg se menge otaw menenalan te kebenalan ipegtoladà. Meibeg dan beling tomaking te medaet ibeg dan, yan mahà dan te menge otaw megtoladà kandan te pengkey eden se ibeg dan penenelanen. 
2TI.4.4	Komulu dan te kebenalan ipegtoladà kandan, meneng memenal dan beling te menge kebolalaw ingkeliwat te menge kemonaan dan. 
2TI.4.5	Meneng sikona, Timoteo, keilangan gayed ka tomaking te metòlid. Keilangan megpeketagad ka tomayod te kelimahan. Pegtoladà ka te Mèpiya Indan tepad ki Jesu Cristo. Toman ka te kedita insogò te Timanem kamno.
2TI.4.6	Nayan, aneng-aneng ko, agpet den se aldaw te pegkematay ko aw meinang a iling te bino itoyong diyà te ayam-ayam sonogen aw ibegay diyà te Timanem. 
2TI.4.7	Migpekeaseb a iling te otaw egkoyà. Iling a te otaw kimagnan dimateng doton te temanan, so tinoman ko den se kedita impunù te Timanem kanak. Neseligan a te pegtoladà ko te kebenalan pinemenalan tadon, 
2TI.4.8	aw yan doen den ontong intagò kanak. Yan se ibegay te Pengolo tadon diyà te kedita te otaw eg-eneng-enengen din te metòlid dan aw domateng se aldaw te peg-okom din. Ontò metòlid se peg-okom din, aw kenà olò siaken se begayan din te ontong, meneng begayan din se kedita te otaw migpeliman te peglikò din.
2TI.4.9	Peg-ayas ka dini te eked kenamay. 
2TI.4.10	Tinenanan a den i Demas, so ibeg din se keluba te keneyonan seini. Dimoton sikandin te Tesalonika. Kenan si Cresente, dimoton sikandin te Galasya. Kenan si Tito, dimoton sikandin te Dalmasya. 
2TI.4.11	Si Lucas olò se doma ko dini. Engayi si Marcos aw petekingi sikandin aw domini ka, so meketelaban sikandin te eg-inangen ko dini. 
2TI.4.12	Insogò ko si Tikico doton te Efeso. 
2TI.4.13	Aw domini ka, ibingi diyà se saol ko medikemel, sìyan tinenanan ko ki Carpo doton te Troas. Ibingi heman se menge libro. Keilangan ibingen no heman dini se menge doma solat.
2TI.4.14	Ontò medaet se ininang kanak te menenayab te tebaga si Alejandro. Ipelumun sikandin te Pengolo tadon tandà te medaet ininang din. 
2TI.4.15	Peg-ahà ka kandin, so ontò sikandin migpoon te pegtoladà day.
2TI.4.16	Tagnà peg-ibing kanak doton te howis, wedad palos otaw migtabang kanak, so tinenanan a te kedita te doma ko. Meneng ibeg ko eked dan pelumuni te Timanem tepad kenyan. 
2TI.4.17	Pengkey timanan dan kanak, meneng migtabang se Pengolo tadon kanak, aw nemegay sikandin kanak te keseg, aw yan nekebatog a migtoladà te Mèpiya Indan tepad kandin diyà te kedita te otaw kenà Judiyo. Pengkey ibeg te menge poon ko imetayan a, meneng impelowà a te Pengolo tadon. 
2TI.4.18	Pengkey eden se medaet inangen dan peden kanak, meneng ipelowà a din lekat kenyan aw ibingen a din doton te langit te kandin peglowan. Sikandin se iduyun te wedad temanan. Metoman iyan.
2TI.4.19	Indani si Priscila, aw si Akilas, aw pamilya i Onesiforo te eg-aneng-aneng a kandan. 
2TI.4.20	Mig-ogpà pa si Erasto doton te Korinto. Impeogpà ko si Trofimo doton te Mileto, so nesekitan sikandin. 
2TI.4.21	Ayas ka dini te eked pa dateng se pengodan.
2TI.4.21	Minikagi si Eubulo, si Pudente, si Lino, aw si Claudia te eg-aneng-aneng dan kenyo, aw yan heman se kagi te menge doma otaw egpemenal.
2TI.4.22	Pengolo tadon se gayed meg-ipat kamno.
2TI.4.22	Ibeg ko tebangan te Timanem se kedita niyo.
TIT.1.1	Siak si Pablo se simolat kani. Sineligan a te Timanem aw sogounun a i Jesu Cristo.
TIT.1.1	Insogò a din megtabang te menge otaw pinemallì te Timanem amon metibok se pegsalig dan kandin aw pegketaga-taga dan te kebenalan pinemenalan tadon. 
TIT.1.2	Insogò a amon ipetaga-taga ko kandan te doen egpelimanan tadon, sìyan kaling pedowan wedad temanan impakang te Timanem gebii. Kenà egkebolalaw se Timanem, 
TIT.1.3	aw yan pegdateng te aldaw pinemallì din, impetaga-taga din iyan pineokit te kagi din. Yan se kebenalan insalig din kanak aw ipegtoladà ko, so insogò a te Timanem egpelowà kenitadon lekat te salà.
TIT.1.4	Seini se solat ko kamno, Tito. Iling ka te ontò batà ko, so nemenal ka te Pengolo tadon iling te pegpemenal ko kandin.
TIT.1.4	Ibeg ko, tebangan ka aw begayan ka te kelinaw te pedowan lekat te Timanem Amay aw lekat ki Jesu Cristo egpelowà kenitadon.
TIT.1.5	Kedengan, tinenanan ta doton te polò te Kreta amon ipengahen no se sìyan wedà ta kepenga doton, aw amon pemellien no se menge otaw inangen egpengibing te simbahan doton te teg sebad-sebad lonsod kidoen. Ikà egkelibel te impunù ko kamno, 
TIT.1.6	te keilangan pemellien no olò se otaw wedad palos isila kandin. Keilangan sebad olò se esawa din aw kenà eglakad. Keilangan egpemenal heman se menge batà din aw wedad dengeg dan te egtaking dan te keluba te keneyonan. Keilangan egtolò dan te ipegpunù kandan. 
TIT.1.7	So egseligan sikandin te Timanem mengibing te menge otaw egpemenal, keilangan wedad palos isila kandin. Eked kepakay se otaw egpelangkaw-langkaw, aw mebabaw se pedowan din, aw metiinem, aw egbolaw, aw egpengewarta. 
TIT.1.8	Keilangan egsagman sikandin te menge doma otaw, aw egkeibeg megtabang kandan. Keilangan mèpiya se but din, aw metòlid se eg-inangen din egkelubahan te Timanem. Keilangan egpeketameng sikandin te ibeg te pedowan din. 
TIT.1.9	Aw megtoladà sikandin, eked kepakay aw somoway lekat te kebenalan ipegtoladà tadon. Aw keseligan se pegtoladà din te ontò kebenalan, ketebangan se menge otaw menenalan te itoladà din, aw ipetaga-taga din heman se kemalì te menge otaw egpoon te kebenalan.
TIT.1.10	Yan se kagi ko kamno so medita se otaw kenà egpenenalan te kebenalan. Eg-akal dan te menge doma otaw pineokit te ipegtoladà dan wedad ontong. Judiyo se keditaan dan egtoladà te keilangan tomolò se kedita te otaw nemenal ki Cristo te menge punù ingkeliwat i Moises. 
TIT.1.11	Meneng keilangan segdahen no se pegtoladà dan, so medita se pamilya egsemoken dan pineokit te pegtoladà dan te eked kepakay itoladà. Meneng yan se ipegtoladà dan amon mengewarta dan. 
TIT.1.12	Doen sebad doma dan nedengeg lekat te Kreta minikagi kani, “Gayed egkebolalaw aw medaet se menge otaw dini te Kreta. Tekahen dan aw legoken.” 
TIT.1.13	Ontò benal se inikagi din sìyan, aw yan se doun te keilangan ontò ka megsagda kandan amon megketòlid se pegpemenal dan te kebenalan. 
TIT.1.14	Keilangan tomanan dan te pegpenenalan dan diyà te kenà benal indan-indan te Judiyo gebii. Keilangan tomanan dan heman te pegtaking dan te menge punù te otaw timanan te kebenalan. 
TIT.1.15	Aw lininisan te Timanem se otaw lekat te salà, wedad melipà diyà kandin. Meneng wedad palos melinis diyà te otaw doen pa salà aw wedà pemenal, so medaet se aneng-aneng dan, aw kenà dan egketaga-taga aw eden se mèpiya aw eden se medaet. 
TIT.1.16	Pengkey eg-ikagi dan te egtaking dan te Timanem, meneng pineokit te eg-inangen dan, ipegpetaga-taga dan te kenà benal se kagi dan. Eked keibeg se Timanem kandan. Kenà dan egtolò te ipegpunù kandan. Eked dan palos pekebatog se meg-inang te mèpiya.
TIT.2.1	Meneng sikona Tito, keilangan megtoladà ka te ontò kebenalan. Eked kepakay aw somoway ka lekat te benal kagi te Timanem ipegtoladà tadon. 
TIT.2.2	Pegtoladà ka te menge temoay te keilangan biyasa dan memallì te metòlid inangen dan. Keilangan metinuud dan. Keilangan tikbel dan. Keilangan melobos se pegsalig dan diyà te Timanem. Keilangan dakel se pedowan dan diyà te doma otaw. Keilangan tomayod dan te kelimahan. 
TIT.2.3	Iling heman kenyan se itoladà no diyà te menge lokes, te keilangan metòlid se inangen dan amon meluba se Timanem kandan. Eked kepakay aw megbaet-baet dan aw meglasing dan. Keilangan mèpiya se itoladà dan 
TIT.2.4	amon meg-iling se menge kaling bayi tepad te pegkedakel te pedowan dan diyà te esawa dan aw menge batà dan. 
TIT.2.5	Megtoladà dan heman te menge kaling bayi te keilangan megpetikbel dan, aw megpelobos te pedowan dan diyà te esawa dan. Keilangan megpekeaseb dan megterbaho. Keilangan tomolò dan te esawa dan. Aw iling kenyan se eg-inangen dan, wedad otaw mekesila te kagi te Timanem ipegtoladà tadon.
TIT.2.6	Iling heman kenyan se itoladà no diyà te menge kaling meama. Pegtoladà ka kandan te keilangan megpetikbel dan. 
TIT.2.7	Sikona heman, pengkey eden se inangen nikaw, keilangan mèpiya iyan amon meinang ka gegonan peg-ilingan te menge doma otaw. Aw megtoladà ka, keilangan metinuud ka, aw keilangan metinònò ka. 
TIT.2.8	Keilangan ontò benal se ikegiyen nikaw, sìyan eked silahi. Aw yan se inangen nikaw, meyàyà se menge poon no so wedad palos medaet ikegiyen dan tepad kenitadon.
TIT.2.9	Pegtoladà ka te menge allang te keilangan tomolò dan te punù te amo dan amon meluba dan kandan. Keilangan eked dan pegketugul. 
TIT.2.10	Keilangan eked dan penakaw, meneng mèpiya se inangen dan amon ipetaga-taga dan te gayed dan egkeseligan. Aw iling kenyan se kedita te eg-inangen dan, metaga-taga se menge doma otaw te mèpiya se ipegtoladà tadon tepad te Timanem egpelowà kenitadon.
TIT.2.11	Impetaga-taga den te Timanem se tabang din mekepelowà te kedita te otaw lekat te salà. 
TIT.2.12	Pineokit te tabang din, netegahan tadon te keilangan lomengà kidon meg-inang te eked keibegi te Timanem. Keilangan lomengà kidon tomaking te medaet ibeg te pedowan tadon dini lanto te tanà, so keilangan megpekebatol kidon, aw metòlid se inangen tadon, aw tomaking kidon te ibeg te Timanem dalem te peg-ogpà tadon dini lanto te tanà. 
TIT.2.13	Keilangan inangen tadon iyan dalem te pegtagad tadon te mèpiya aldaw aw kitaen tadon se kelangkaw te Timanem egpelowà kenitadon, si Jesu Cristo egpelimanan tadon. 
TIT.2.14	Sikandin se simelilin kenitadon te pegkematay din amon megpelowà kenitadon lekat te pegkeallang tadon te salà, aw amon sekopen kidon din. Yan se doun te lininisan kidon din lekat te salà, aw ininang kidon din otaw meibeg meg-inang te mèpiya.
TIT.2.15	Se kedita te insolat ko seini, yan se keilangan itoladà no diyà te menge otaw doton. Pegpunù ka kandan aw pegsagda ka kandan pineokit te kelangkaw imbegay te Timanem kamno. Eked kepakay aw lindoan ka te doma otaw.
TIT.3.1	Pegtoladà ka te menge otaw doton kamno te keilangan tomolò dan te menge opisyal te gobirno. Keilangan tomolò dan te menge punù te gobirno. Keilangan meagka se pedowan dan megtelaban te kedita te mèpiya inang. 
TIT.3.2	Pegtoladà ka kandan te eked dan peglibag, aw eked dan pegdindil. Meneng keilangan mèpiya se pedowan dan diyà te kedita te otaw, aw megsagman dan kandan, 
TIT.3.3	so sikitadon egpemenal, wedad heman inenengen tadon kedengan, aw metugul kidon, aw wedà kidon taking te ibeg te Timanem. Neallang kidon te mededaet ibeg te pedowan tadon aw menge kelubahan medaet. Gayed kidon eg-aneng-aneng tepad te medaet inangen tadon diyà te doma otaw, aw gayed kidon eg-ingà. Nebensihan kidon te doma otaw aw nebensi kidon heman kandan. 
TIT.3.4	Meneng pegpetaga-taga te Timanem egpelowà kenitadon te keido din aw kedakel te pedowan din kenitadon, 
TIT.3.5	impelowà kidon din lekat te salà. Impelowà kidon din kenà tandà te peg-inang tadon te metòlid, meneng tandà te keido din kenitadon. Impelowà kidon din lekat te salà pineokit te peg-onaw din kenitadon, aw yan se todà tadon pegtebaw te pegpemegay te Espiritu Santo kenitadon te kaling pedowan. 
TIT.3.6	Ontò dakel se tabang te Timanem kenitadon, so insogò din se Espiritu Santo megbayà-bayà kenitadon tandà te ininang i Jesu Cristo egpelowà kenitadon. 
TIT.3.7	Yan se ininang din amon pineokit te keido din, meg-aneng-aneng se Timanem te metòlid kidon, aw amon metoman kidon begayan te kaling pedowan egpelimanan tadon. 
TIT.3.8	Ontò benal se insolat ko kamno seini.
TIT.3.8	Ibeg ko, ontò ka megtoladà te kedita te sìyan insolat ko kamno, amon ontò measeb se kedita te otaw nemenal te Timanem meg-inang te mèpiya, so mèpiya iyan peg-ilingan aw doen ontong te otaw tomolò kenyan. 
TIT.3.9	Meneng ikà eg-inabut te balaw wedad ontong, aw menge indan-indan tepad te menge monà otaw. Ikà eg-inabut te menge dindil te otaw egbolaw tepad te menge punù ingkeliwat i Moises, so wedad ontong tadon kenyan. 
TIT.3.10	Aw doen otaw doton kenyo egsamok te doma din otaw egpemenal, pegsagda ka kandin. Aw eked sikandin tolò, todà ka pegsagda kandin. Meneng aw eked pa sikandin tolò, ikà egdoma kandin meneng pebeyai sikandin. 
TIT.3.11	Ketegahan no te simoway se otaw iling kenyan lekat te kebenalan, so ipetaga-taga din iyan pineokit te peg-inang din te salà.
TIT.3.12	Isogò ko si Artemas aw kenà si Tikico domoton kamno. Penga niyan, penamal ka se lomagbak kanak doton te Nicopolis, so ibeg ko meg-ogpà a doton dalem te pengodan. 
TIT.3.13	Peg-inang ka te mebatog no itabang diyà te abogado si Sinos aw si Apolos amon mekesayo dan lekat kidoen. Begayi se kelidoan dan amon eked dan pegkolang. 
TIT.3.14	Mèpiya aw meg-iling se menge kedowa tadon doton te keilangan megpekeaseb dan meg-inang te mèpiya, aw megtabang dan te doma otaw ontò nelimahan, amon doen ontong te pegtaking dan te Timanem.
TIT.3.15	Ibeg te kedita te doma ko dini, metaga-taga kaw te eg-aneng-aneng dan kamno. Indani se kedita te sigalak tadon egpemenal doton kamno te eg-aneng-aneng kay kandan.
TIT.3.15	Ibeg ko tebangan te Timanem se kedita niyo.
PHM.1.1	Seini se solat day kamno, Filemon, sigalak day egtabang kenami. Se solat seini lekat kanak, si Pablo, kineleboso pa tandà te pegtaking ko ki Jesu Cristo, aw lekat heman te kedowa tadon te pegpemenal si Timoteo. 
PHM.1.2	Simolat kay kamno, aw esawa no si Apia etebay tadon te pegpemenal, aw batà no si Arkipo doma tadon egtolò te Pengolo iling te sondalo. Simolat kay heman te kedita te otaw egpemenal aw egsimba doton te balay nikaw.
PHM.1.3	Ibeg ko, tebangan kaw aw begayan kaw te kelinaw te pedowan lekat te Amay tadon Timanem aw lekat te Pengolo tadon si Jesu Cristo.
PHM.1.4	Kedowa ko, Filemon, gayed a egpesiontong diyà te Timanem tepad kamno te kelikit te pegtawal-tawal ko, 
PHM.1.5	so dinineg ko tepad te kedakel te pedowan no te kedita te sakop te Timanem, aw tepad te pegsalig no diyà te Pengolo tadon si Jesus. 
PHM.1.6	Egtawal-tawal a te pineokit te pegsebad tadon te pegpemenal, kedogangan se ketaga-taga no tepad te kedita te kèpiya imbegay i Cristo kenitadon tandà te pegpesakop tadon diyà kandin. 
PHM.1.7	Ontò neluba se pedowan ko tandà te kedakel te pedowan no te menge doma otaw. Neantag se pedowan ko, so pineokit kamno neluba se kedita te otaw migpesakop diyà te Timanem.
PHM.1.8	Doun niyan, doen ibeg ko kamno. So insogò a i Cristo, mepakay aw somogò a kamno meg-inang te metòlid. 
PHM.1.9	Meneng so dakel se pedowan ko kamno, eked a sogò kamno. Pengkey siaken, si Pablo, se sebad sogounun i Jesu Cristo, aw pengkey nekeleboso a songkani tandà te pegtaking ko kandin, meneng memoyò a olò diyà kamno. 
PHM.1.10	Doen pemoyoen ko diyà kamno tepad ki Onesimo. So nemenal den sikandin ki Cristo, iling den sikandin te ontò batà ko, so pineokit kanak nemenal sikandin dini te keleboso. 
PHM.1.11	Kedengan wedad nael ontong no kandin, meneng songkani doen dakel ontong ta kandin.
PHM.1.12	Ipeolì ko den sikandin doton kamno pengkey ontò dakel se pedowan ko kandin. 
PHM.1.13	Ibeg ko, temengan ko peden sikandin amon meketabang ka kanak pineokit kandin dalem te dini a pa te keleboso tandà te pegtoladà ko te Mèpiya Indan tepad ki Cristo. 
PHM.1.14	Meneng eked ko sikandin temengi, so eked a keibeg aw meleges se tabang no kanak. Labi pa mèpiya aw lekat iyan te keagka te pedowan nikaw. Yan eked ko tomani se ontò ibeg ko singed aw mepakay iyan diyà kamno.
PHM.1.15	Lekat besi te ibeg te Timanem se pegkesayo i Onesimo lekat kamno te wedà kenamay amon todà no meabat te wedad temanan. 
PHM.1.16	Lekat seini kenà den sikandin olò allang no, meneng labi den sikandin meelagà diyà te allang, so kedowa no den sikandin tandà te pegpemenal din ki Cristo. Ontò sikandin meelagà kanak, meneng labi pa meelagà kamno, kenà olò so allang no sikandin, meneng meelagà so kedowa no den sikandin tandà te pegpemenal din te Pengolo tadon.
PHM.1.17	Nayan, so siak se sigalak nikaw, liyagi sikandin iling te siak se liyagan nikaw. 
PHM.1.18	Aw doen kemalì ininang din kamno, aw doen salà din kamno te kwarta, listahi iyan diyà te kanak ngadan. 
PHM.1.19	Siak se simolat te kagi seini. Siaken, Pablo, se mayad kenyan. Meneng netegahan no den te dakel se ontong no kanak, so pineokit kanak neabat no se kaling pedowan wedad temanan. 
PHM.1.20	Doun niyan, Elew, keidowi a bag so sakop ki te Pengolo tadon. Tomani se ibeg ko amon meluba se pedowan ko so telekedowa ki tandà te pegpemenal ta ki Cristo.
PHM.1.21	Dalem te pegsolat ko kani, netegahan ko te egkeseligan ka tomoman te pinemoyò ko kamno, aw labi pa heman dakel se inangen nikaw. 
PHM.1.22	Doen pa pemoyoen ko kamno seini. Petegadi a te ibetanan doton kamno, so nemenal a te ipelowà a lekat dini tandà te pegtawal-tawal niyo diyà te Timanem tepad kanak amon mekedoton a kenyo.
PHM.1.23	Se doma ko si Epapras kineleboso heman tandà te pegtaking din ki Jesu Cristo, ibeg din metaga-taga ka te eg-aneng-aneng sikandin kamno. 
PHM.1.24	Iling heman kenyan se inikagi te menge doma otaw egtelaban kanak dini, si Marcos, si Aristarco, si Demas, aw si Lucas.
PHM.1.25	Ibeg ko megtabang se Pengolo tadon si Jesu Cristo te kedita niyo.
HEB.1.1	Gebii, pineokit te menge telekeliwat te kagi te Timanem se peg-ikagi din diyà te menge kemonaan tadon Judiyo. Mekedita se peg-ikagi diyà kandan, aw medita se kinemoloan te peokit te peg-ikagi din kandan. 
