MAT.1.1	Annayan mansùsùnufan na nginkanà an Jesu Cristu wi kanà David wi kanà ako Abraham.
2CO.13.8	Tan foon pù masapur man-iwaaronnin karobfonganni nu oyyoonyun ustu, tan siya amfuruyannin katuttuwaan. 
2CO.13.9	Achifali nu foon pù mipailan karobfonganni nu pumigsan pammatiyu. Tan na iluwaruwarunin Apudyus, ta miyustuustun pammatiyun siya. 
2CO.13.10	Siyan na pangkop-uy mangisurat ta annay amod wi tudtuchù an chiayu, ta matudtuchuwanyu ta sanay maichà, ta nu umaliyà foon kumà masapur wi marafos na inyòoyyà wi mandisiplinan chiayu. Ngim na katuttuwaana annan karobfongà wi mandisiplinan chiayu tan Apu Jesus na nangatod ta karobfongà, wi siya pangkopnan fumaruwanyu, foon à machachailanyu.
2CO.13.11	Susunud, sachin ifakà an chiayu. Sapay kuma ta mamfaruayu losan ad asnat, ya pafaruwonyun achawiyanyu, ya oognanyu kay afus na intudtuchù an chiayu, ya mantitimpuyug-ayu ko ta maturturnus-ayu. À Apudyus wi puun na ayat ya turnus, iingkaw an chiayu.
2CO.13.12	Ipaipailayun ayatyu ta fufurunyu.
2CO.13.13	Losan na anchanayay takun Apudyus, pakumustaoncha chiayud asnat.
2CO.13.14	Ayyuwanan chitau losan an Apu Jesu Cristu, ya lìnaontau kon ayat Apudyus, ya man-asitimpuyugtau losan kapu ta Ispirituna wi awad an chitau.
GAL.1.1	Saon à Pablo wi nachutukan à man-apostoles Jesu Cristu, wi foon pù takun nanutuk an saon, ya foon pu kò takun namiyar an saon, tan à Jesu Cristu ya à Amanay Apudyus wi nangipauli nanakun siya ta natayana. 
GAL.1.2	Annayan surat-un chiayud asnati provinsiya wi Galacia. Losan-ani ta fufuruntau wi mamatid asna, pakumustaonni chiayu losan wi maug-ug-ugpun manaychayaw an Apudyus ta il-ilid Galacia.
GAL.1.3	Sapay kuma ta fadngan chiayu losan kanayun an Amatau wi Apudyus ya Aputau wi Jesu Cristu, ya farfaruwoncha kon somsomòyu.
GAL.1.4	À Jesu Cristu wi Aputau, innadchonan long-agnà matoy kapu ta fasurtau, ta awad masaraknifantau ta sanay kinarawing wi màmàwa ta annay luta. Iningwan Jesu Cristu na annaya à matungparan na pion Amatauy Apudyus pàwa. 
GAL.1.5	Ta machaychayaw à Apudyus à ing-ingkana! Amen.
GAL.1.6	Isakà maschaaw an chiayu! Tan nallasu kan nan-awichanyun Apudyus wi namilin chiayù mitapiyanyun siya kapu ta achakun Jesu Cristu. Tan siya nu sanguwonyun safali wi tudtuchu à masaraknifanyu nu. 
GAL.1.7	Na katuttuwaan, maid pu safalì mamfaruy chamag à masaraknifanyu nu achi afus na intudtuchuni. Ngim anchanat na uchum ad asnat wi mangillachu ta somsomòyu wi padpachasoncha sukatan na mamfaruy chamag mipangkop an Jesu Cristu. 
GAL.1.8	Ngim mafalin ayay masukatanchi? Tan uray sinumani mangitudtuchù safalì masaraknifan, wi uray chiani winnu anghel wi marpud langit, nu itudtuchunan safali nu sachi limpasni intudtuchun chiayu, sikurachuy mifallud infierno! 
GAL.1.9	Imfakafakanin amaschin chiayu ta laus, ngim isarad-u ifaka wi nu awad mangitudtuchù safalì masaraknifan, wi foon pù sachi limpasyu pinati, sikurachuy ifallun Apudyus ad infierno!
GAL.1.10	Ad sinun mammammoanyun saon nù? Siya nin somsomòyun siya anaanapò na machayawà ta taku wi foon pù machayawan Apudyus? Tan nu siya kamkamà na chayaw na taku, achì pu kuma ifakan amasnan chiayu! Ad nu amaschi ko, kapilitani foon pù ituruy-uy mansanilu an Jesus.
GAL.1.11	Susunud, masapur maawatanyu wi na mamfaruy chamag wi itudtudtuchù, foon pù somsomò yakan takun narpuwana, 
GAL.1.12	ya foon pu kò takun nangakammuwà tan Jesu Cristun mismuy nangipaakammun saon.
GAL.1.13+GAL.1.14	Chinamagyun imfibfiyag-u ta chamu wi nangipapatiyà ta achawiyanni wi Judio. Na manungparà ta achawiyanni wi Judio, namangpanguwonà ta karuwasà tan isag-u impapatin achawiyan na achakchakranni. Siyan pinarpalikatà isag chachi mamatin Jesu Cristu tapnu iwarangcha losan.
GAL.1.15	Ngim uray amaschin ining-ingwà, inachakuwanà an Apudyus, tan uray na chaan-u pu mifùnakan, chinuchuttukanà an siya wi mangwa ta piona. Ad kapu ta achakuna, chinutukanà wi mangwa ta annay oy-oyyoò ta sana. 
GAL.1.16	Ad chummatong pun na ustuy timpu wi anan Apudyus, impaakammunan saon na mipangkop an anànay Jesus, tapnu itudtuchù an chiayuy foon à Judio. Foon pù nampatudtuchuwà ta taku, 
GAL.1.17	ad foon pù ummoyà ad Jerusalem mampatudtuchu ta chachi ummuna nan-apostoles, tan na iningwà, nangaw-asà ad Arabia achiyaot mangulin asin ad Damasco.
GAL.1.18	Ad lummaus pun na turuy tawon, ummoy-u finusità Pedro ad Jerusalem, ad iningkawà an siya ta nasuruk à chuway chumingku. 
GAL.1.19	Ngim maid pu innil-ilà ta uchumi apostoles, tan afus yakà Jaime wi chakanchani sunud Jesus à innilà.
GAL.1.20	Tuttuwa losan na annay isurat-un chiayu. Akammun Apudyus wi maid osà turtulli.
GAL.1.21	Sachi ad, ummoyà ako ta chachi ili wi sakupon Siria ya Cilicia. 
GAL.1.22	Ngim na sachi timpu, maid pu mangakammun saon ta chachi mamatin Jesus ad Judea. 
GAL.1.23	Tan siya afus à chamagchan saon na takuy namarpalikat ta mamati ta sin-arkawan, ngim na sana, annay mantudtudtuchu ta mamatiyan wi siyan pionay paiwarang ta chamu! 
GAL.1.24	Siyan chinaychayawchà Apudyus kapun saon.
GAL.2.1	Lummaus pun na nasawaran à opati tawon, ummoy-ani asin an Bernabe ad Jerusalem wi inawitni kò Tito. 
GAL.2.2	Na pangkop na ummayanni, siyan imfakan Apudyus. Chummatong-ani pun, ummoyà nakaukud ta chachi apostoles wi mangipangpangu ta mamati. Ad imfakà losan na intudtuchù ta chachi foon à Judio wi Mamfaruy Chamag mipangkop an Jesus ta akammuwonchan oy-oyyoò. Tan masapur kuma wi tàchoranà ta chachi mangipangpangu ta achi maid silfin na itudtudtuchù. 
GAL.2.3	Siyan inapufarancha wi ustu losan, ad uray chi furun-uy Tito wi foon à Judio, foon pù ipapilitchà siyay mamarkaan na long-agnà singyar na Judio. 
GAL.2.4	Ngim iningkaw na uchumi mangipapilit wi chichan akinpapati wi nakaamung an chiani ta siputancha nu tamakò chitauy namatin Jesu Cristu miparufus wi achi pun manungpar ta achawiyan na Judio. Tan na puntilyacha, ipapilitcha kuma pàwan anchanayan chitau. 
GAL.2.5	Ngim kattò wi achini pu pintog chicha, ta achi pù ait masuktan na katuttuwaani mamfaruy chamag, ta minungnung na itudtuchunin chiayuy foon à Judio.
GAL.2.6	Ad ilanyun anna: uray chachi nangangatu wi isù mamangpanguwontau, maid chillawoncha ta intudtuchù ya maid pu ko inchokachà safali. Na mangifag-à wi isuchà pangpangu, tan foon à napatog an saon na kinasasaadcha, tan foon pù kinasasaad na mangifilangan Apudyus ta taku. 
GAL.2.7	Tan à chicha, wininwinancha losan na imfakà tan immatunancha wi chinutukanà an Apudyus à mantudtuchu ta Mamfaruy Chamag ta foon à Judio, wi isun akon nanutukanan Pedro wi mantudtuchu ta Judio. 
GAL.2.8	À Pedro, nàwa apostoles à mantudtuchu ta Judio, kapu ta karobfongan Apudyus, ad siya kon nàwan saon à mantudtuchu ta foon à Judio. 
GAL.2.9	Siyan losan chachi pangpangu wi cha Jaime, Pedro ya Juan, naawatancha wi Apudyus na nanutuk an saon, siyan linamanuchà chianin Bernabe à mampail-ancha wi mamfufurun-ani. Ad nan-asiwinwin-ani wi chianin Bernabe na umoy mantudtuchu ta foon à Judio ya chichan mantudtuchu ta Judio. 
GAL.2.10	Ad na afus wi imfakachan chiani, ta achini kuma maliwatan wi fumachang ta chachi kakapus wi mamatid aschi Jerusalem, wi siya ko kan illaus-u simsimmò oyyoon.
GAL.2.11	Na ummaliyan Pedro ad Antiokia ta namingsan, inomorà an siya ta sangwanan na taku tan naillachu. 
GAL.2.12	Amasnan nàwaana: na chummatngan Pedro ad Antiokia, nakaakaan ta uchumi mamati wi foon à Judio. Ngim sachi ad wi chummatong chachi uchumi Judio wi finaun Jaime wi narpuchad Jerusalem, wi mangipapilit wi masapur mamarkaan ako losan na mamati, nachanakan à Pedro à lawingonchà siya kapu ta oy-oyyoona, siyan inwarangnay makaan ta chachi foon à Judio. 
GAL.2.13	Siyan uray chachi uchumi Judio wi mamatid Antiokia, tinuradcha kò Pedro wi manalingob ta miparufus an chicha. Ad uray à Bernabe, naawis ako ta iningwan Pedro. 
GAL.2.14	Ngim inakammù pun wi sumurngasing na iningwacha ta katuttuwaan wi intudtuchun na Mamfaruy Chamag, inomorà à Pedro ta sangwanancha losan. Amasnan imfakà: “Siay Pedro, tuttuway Judio-a, ngim inyakaynuy manungpar ta achawiyan na Judio kapu ta namatiyam an Jesu Cristu. Siyan tamakon sana ta ipapilitnu patungpar ta foon à Judio na achawiyan na Judio nù?”
GAL.2.15	Ad inturuy-u ko anani, “Ilanyu: nisisikud wi Judiotau tan niyanàtaù Judio, wi foon pù isutaun chachi foon à Judio wi maid akammucha ta pion Apudyus. 
GAL.2.16	Ngim akammutau met wi foon pù manungparan ta lintog Apudyus wi inyug-is Moses na maaanan na nakafasuran an Apudyus, tan afus na mamatiyan an Jesu Cristu. Siyan uray à chitauy Judio, siya ko kan afus na namatiyantaun Jesu Cristu na nangifilangan Apudyus an chitaù maid fasurtaun siya wi foon pù nanungparantau ta sachi lintog. Tan foon pù siya maaanan na fasur na takun Apudyus na manungparana ta lintogtauy Judio.
GAL.2.17	“Ad sachin mangawatantau wi uray chitauy Judio, managfasurtau, wi isun chachi foon à Judio. Ngim mafalin laway anantau, à Cristun nangwan chitaù managfasur kapu ta nangiwalintau ta lintog ta namatiyantaun siya? Foon, achi pu mafalin! 
GAL.2.18	Tan ilanyu: nu uliyò na sachi lintog wi niwalin, isù ungusà na iningwan Jesus à naaanan na fasur-u, siyan kapilitani fasurchin Apudyus. 
GAL.2.19	Tan na sachi lintog ako, naaawwatà wi nu sinun sumurngasing, mapatoy. Siyan maid pu namnamà à mafadngan ta sachi lintog. Ad à Jesu Cristun namnamaò à mamachang an saon wi mangwa ta pion Apudyus. 
GAL.2.20	Tan isù nakàtoyà an Jesu Cristu, wi sachin nafaliwan na nisisikud wi somsomòu. Siyan na sana, foon pù saon na mangimanihu ta somsomòu ta annay atattakù tan à Jesu Cristu wi nakarong-ag an saon. Ya namnamaò na fachangna wi siyan anà Apudyus. Kapu ta ayatnan chitau, innadchonan long-agnà matoy à mansufuttau. 
GAL.2.21	Susunud, achi kuma mafalin wi iwalintaun achakun Apudyus. Tan nu siya mangifilangan Apudyus ta takù naaanan na fasurchan siya kapu ta nanungparana ta lintog Moses, isù maid silfin na natayan Jesu Cristu nù!”
GAL.3.1	Siyan chiayuy iGalacia, isuayù natingang! Sinun namaliw an chiayu wi nallasun namatiyanyu ta safali. Isù foon à narawag na nangitudtuchuwannin chiayu mipangkop ta natayan Jesu Cristu ta kros! 
GAL.3.2	Annayan imusò: nakarong-ag na Ispiritun Apudyus an chiayu kapu ta nanungparanyu ta lintog, winnu namatiyanyun Jesu Cristu ta nangngoranyu ta Mamfaruy Chamag? 
GAL.3.3	Isuayù natingang! Tan nu Ispiritun Apudyus na namachang an chiayu ta nansakunganyun Apudyus, tayuko ungusan na sachi wi ipapilityu nu chog-an ta achawiyan na Judio? 
GAL.3.4	Achiyu pu lawa papayanon na losani napachasyu kapu ta namatiyanyun Jesu Cristu? Papayanonyu kuma. 
GAL.3.5	Somsom-onyu kon annaya: na nangadchan Apudyus ta Ispiritunan chiayu nakarong-akan, ya nangipail-ana ta kaskaschaaw, siyan nanungparanyu ta lintog winnu namatiyanyu ta Mamfaruy Chamag mipangkop an Jesu Cristu?
GAL.3.6	Iyalig-un nàwa ta aputauy Abraham. Niyug-is ta ukud Apudyus wi, “À Abraham, pinatinan imfakan Apudyus, ad kapu ta pammatina, imfilang Apudyus à siyà mamfaru.” 
GAL.3.7	Ad siyan, maawatanyu kuma wi chachi tuttuway kanà Abraham, chichan mamati wi tuttuwan imfakan Apudyus. 
GAL.3.8	Niyug-is ta awin ukud Apudyus wi chumatong na padchay ifilang Apudyus uray na foon à Judio à maid pu fasurchan siya nu mamatichan siya. Ad sachin mamfaruy chamag wi imfakan Apudyus an Abraham ta nangwanaanay, “Mipakapun sia, mafadngan na losani taku ta annay luta.” 
GAL.3.9	Siyan ilanyu: finadngan Apudyus à Abraham kapu ta namatiyanan siya. Ad uray akon sinumani taku, nu mamatichan Apudyus, mitapicha ko mafadngan.
GAL.3.10	Siyan nu sinun manamnamanay akseptaron Apudyus à siya kapu ta manungparana ta lintog wi inyug-is Moses, kapilitani machusa. Tan na niyug-is ta ukud Apudyus, anana, “Sinumani manurngasing uray osa ta lintog Apudyus wi inyug-is Moses, machusa ad mifallu!” Mismuy Apudyus na nangifaka ta sachi, ad awad lawa takù maid sinurngasingna ta lintog? 
GAL.3.11	Ad siyan, susunud, isag narawag wi foon pù mafalin wi ifilang Apudyus na takù maid fasurnan siya kapu ta nanungparana ta lintog. Ngim awad akon osay niyug-is wi anana, “Ifilang Apudyus na takù maid pu fasurnan siya nu mamatin siya, ya chichan makafiyag an siya.” 
GAL.3.12	Ngim na lintog, safalin anana, tan foon pù pammatin namfasarana, tan anana, “Na taku wi manungpar losan ta lintog wi maid pu surngasingonà osa, siyan achi pu machusa, ya makafiyag à ingkana.”
GAL.3.13	Ngim kapu ta maid pu takù makàwa, losan kuman taku machusa. Ngim simfut chitaun Jesu Cristu tan innadchonan long-agnà machusà sukattau. Sachin anan na osay niyug-is ta ukud Apudyus, wi anana, “Sinumani mapsor mitayun ta ayu, sachin mail-an na chusan Apudyus an siya.” 
GAL.3.14	Ad amaschin nàwan Jesu Cristu ta mafalini makauwaayuy foon à Judio ta sachi impustan Apudyus an Abraham, tan na sana mafadngan-ayu ko nu mamatiayun Jesu Cristu. Tan na sana, nu mamatitaun Jesu Cristu, siyan makarong-akan na Ispiritun Apudyus an chitau losan, tan siyan impustana.
GAL.3.15	Susunud, asinà man-alig ta maawatanyu kuma. Nu kaspangalikan manturag na chuway taku ad pinilmaancha, foon pù mafalini awad mangfos ta sachi nanturakancha. 
GAL.3.16	Siyan amasnan anan na alig-u: à Apudyus, iningkaw na inturagnan Abraham wi iparoswan na osay kanàna. Ad maawatanyu kuma wi foon pu kò ananay iparoswan na achuy kanàna, tan na anana, iparoswan yakan os-osàani kanàna. Ad na sachi kanàna, siyà Jesu Cristu. 
GAL.3.17	Ad nisisikud na sachi inturag Apudyus an Abraham wi impustanay iparoswanà tapin na padcha. Lummaus pun na opatkasut ya turumpuruy tawon achinwot Apudyus ifakan lintog an Moses. Ad achi pu mafalin wi iwalin na lintog na nanturakancha Apudyus an Abraham tan ummun-unud na lintog. 
GAL.3.18	Tan sinun silfin na nangipustaan Apudyus ta impustana nu mamfasar ta manungparan ta lintog wi ummun-unud! Tan na katuttuwaana, innadchon Apudyus na inturagnan Abraham wi makafiyakan à ing-ingkana tan siyan impustana.
GAL.3.19	Ananyu nin wi, sinu kon nù na silfin na lintog? Somsom-onyun annaya: na kausaran na lintog, wi inyun-unud Apudyus, ta awad mangilasinan na taku ta kinarawing na oyyooncha. Tan na puranun Apudyus, matungparchi ingkanà chumatong na sachi osay kanà Abraham wi nangipustaana. Na sachi impustan Apudyus, isag napatog nu sachi lintog. Tan ilanyu: na nangifag-an Apudyus ta lintog, imfaunna kan aangheles wi isù amfakaon à ummoy nangifakan Moses achinaot ifaka ta taku. 
GAL.3.20	Ngim na sachi impustan Apudyus an Abraham, maid amfakaon tan Apudyus na mismuy ummoy nakaturag an Abraham.
GAL.3.21	Ananyu nin wi, nu amaschi, surngasingon na lintog na sachi impustan Apudyus. Ngim foon! Tan ilanyu: nu awad lintog à karobfonganay manaku ta taku, losancha nù mifilang an Apudyus à maid fasurchan siya nu tungparoncha. 
GAL.3.22	Ngim foon pù umanay na lintog à manaraknib ta taku, tan imfafagkan na niyug-is ta ukud Apudyus wi maid pu takù achi pu fummasur, tan losani taku, fummasurcha losan. Siyan masapur wi mamatichan Jesu Cristu, ta mafalin wi adchon Apudyus an chichan sachi impustanà masaraknifancha.
GAL.3.23	Na chaan pu Jesu Cristu umaliyan, isù imfafarud chitau ta lintog tan sachin nangukuwwarchan chitau. Imfafarudnà chitau ingkanà mipaakammun mipangkop ta mamatiyan an Jesu Cristu. 
GAL.3.24	Siyan isù sachi lintog na nanitingngil an chitau ingkana ta umaliyan Jesu Cristu. Ngim kapu ta ummalì Jesu Cristu, mafalini ifilang Apudyus chitaù maid fasurtaun siya kapu ta mamatiyantau. 
GAL.3.25	Ad na sana wi chummatong na mamatiyan an Jesu Cristu, foon pù sachi lintog na manitingngil an chitau tan à Jesus yakay.
GAL.3.26	Siyan kapu ta pammatitau, sachin nanganaan Apudyus an chitau tan patiyontaù Jesu Cristu. 
GAL.3.27	Siyan chitau losan wi mamatin Jesu Cristu ya nafunyakan kapu ta namatiyantau, innarataun somsomònà mansomsomòtau. 
GAL.3.28	Siyan na sana, maid mansafaliyan na Judio ta foon, sanilu ta foon, uray na larai ta fufai tan man-iisu ta sangwanan Apudyus kapu ta namatiyan an Jesu Cristu. 
GAL.3.29	Siyan, nu Jesu Cristun manitingngil an chitau, uray nu foon-ayu pù Judio, mifilang-ayù tuttuway kanà Abraham ya makauwaayu ko ta losan chachi impustan Apudyus an Abraham.
GAL.4.1	Awad akon iyalig-un chiayu mipangkop ta lintog. Na marnusi anà, nu matoy na amana, mallàsunna losan na ùuwan amana. Ngim kapu ta kinamarnusna, isù maid pu misafaliyana ta sanilun amana uray nu uwanan losan. 
GAL.4.2	Tan masapur patkona losan na ifakan chachi piniyar amana wi mangimanihun siya ingkanà chumatong na timpuy imfakan na amana wi siyan mangimanihu. 
GAL.4.3	Isuna kon chitau, tan na chaantau pu mamatiyan, isutaù sanilu wi patkontau losan na achawiyan wi narpu ta taku ta annay luta. 
GAL.4.4	Ngim chummatong pun na timpu wi simsimmò Apudyus, imfaunnan anàna ta annay luta wi namfalin taku wi inyanà na osay fufai. Ad tinungparna losan na lintog na Judio 
GAL.4.5	ta awad in-inonay manubfut ta losani isù sanilun na sachi lintog. Ad siyan namfalinona chitaù anà Apudyus.
GAL.4.6	Ad na nangipail-an Apudyus wi inanàna chitau impaalinan Ispiritun Jesu Cristu à makarong-ag an chitau, wi siyan mangitudtuchun chitau ta mangwanaantaun Apudyus, “Ama.” 
GAL.4.7	Siyan na sana, foon pù sanilutau tan anà chitaun Apudyus. Ad kapu ta anà chitaun Apudyus, makauwatau ko ta losani iparàsunna.
GAL.4.8	Na chamuna wi chaanyu pu maawatan na mipangkop an Apudyus, tuttuway sanilun chiayu ta chachi sinan-Apudyus wi mammanchar an chiayu. 
GAL.4.9	Ngim na sanay akammuyun tuttuway Apudyus, tan inunana imfilang chiayù anàna, tayuko uliyon na chachi sikud wi achawiyanyu wi maid pu kattò silficha ta masaraknifanyu? Pionyu wi asin mansanilun chicha? 
GAL.4.10	Tan tamako ta mangngilin-ayu ta chachi padcha ya furan ya tawon wi nginilin na Judio? 
GAL.4.11	Kattoi machanakanà isag an chiayu! Isun yakà maid pu silfin na losani iniwaar-uy nantudtudtuchun chiayu.
GAL.4.12	Susunud, ipangpangngaasiyu ta asinyu turachon à saon. Tan foon pù lintogni wi Judio na mamfasarà à masaraknifà, ya isuyu ko ta chaanyu pu mangngoran ta sachi lintog. Ya mamfaru ko losan na iningwayun saon ta iningkawà an chiayu ta sin-arkawan. Siyan uliyonyu kuman sachi somsomòyu. 
GAL.4.13	Ya inaagkammuyu wi na chamuy nangitudtuchuwà ta Mamfaruy Chamag an chiayu, nasakità wi iningkaw ad iliyu. 
GAL.4.14	Ngim uray napalikatan-ayu kapu ta sachi amochi sakit-u, foon pù nappog-ayu tan inan-anusanyu ya foon pù finayfay-ananà. Tan minangiliyà wi isù anghel Apudyus, winnu Jesu Cristu na minangiliyu. 
GAL.4.15	Tan impailayun lagsakyun saon ta sachi, wi nu mafalin, uray inukityun atayu ad insukatyu ta atà. Amaschin lagsakyun saon! Siyan tamako ta summafalin somsomòyun saon ta sana? 
GAL.4.16	Namfalinà afusuryu kapu kay ta nangifag-à ta katuttuwaan an chiayu?
GAL.4.17	Na chachi takud asnat wi safalin itudtuchucha, ay-ayuwon chiayu. Ngim safalin kakaracha tan na pioncha, kumapot-ayun chicha ta man-awichanyù chiani ya intudtuchuni ta chicha kuman ichayawyu. 
GAL.4.18	Achì pu anani lawing nu awad takù mangipaila ta tuttuway ayatnan chiayu nu maid kuma lawing à pangkopcha, ya kakassiyaoncha uray maichà winnu ingkawà. 
GAL.4.19	Chiayuy aannàun Jesu Cristu, maparpalikatan na somsomòun chiayu wi isù mampalikatan na mangkumut, tan insakit-un manguullayà ta pumigsaan na pammatiyun Jesu Cristu. 
GAL.4.20	Nu mafalin kumay awachà an chiayu ta sana, narmà kuma wi makaug-ugkud an chiayu, tan maid pu kattò akammù à oyyoò mipangkop an chiayu.
GAL.4.21	Chiayuy maryad manungpar ta lintog wi inyug-is Moses, maawatanyun imfakan na sachi lintog? 
GAL.4.22	Niyug-is ta sachi lintog wi chuwan anà Abraham wi lallarai, wi na osa, inyanà na sachi sanilucha Abraham. Ad na osa, siyan inyanà na kattò wi asawana. 
GAL.4.23	Na sachi anà Abraham ta saniluchay Agar, isun na sikuchi miyanaan na takun niyanaana. Ngim na sachi osay anàna ta kattoi asawana, niyanà kapu kay ta impustan Apudyus an Abraham. 
GAL.4.24	Iyalig-un anchanay chuway fufai ta chuway turag wi inturag Apudyus. Na sachi osay sanilu wi Agar ya losani kanàna, iyalig-ù siya ta lintog wi imfakan Apudyus an Moses ta filig ad Sinai wi sakupon Arabia. 
GAL.4.25	Siya ko kan tarus na annay alig-u tan na agwan na ngachan na sachi filig, Agar. Siyan losani taku wi manungpar ta sachi lintog, isuchà sanilu tan isuchà kattoi kanà Agar wi nichoka ta chachi takud Jerusalem ta sana. 
GAL.4.26	Ngim na sachi kattoi asawan Abraham wi Sara, wi foon pù sanilu, iyalig-ù siya ta faruy Jerusalem wi kattoi ilitaud langit. 
GAL.4.27	Siyan tummuttuwaan na niyug-is ta ukud Apudyus wi anana,
GAL.4.27	“Siay fasig, maragsak-a! Tan uray nu maid pu inyanànu, manottoròa! Tan uray tinaytaynan sia ta asawam, manumfali wi ad-achun kanànu nu sachi kanayun iingkaw na asawana.”
GAL.4.28	Siyan, susunud, chitaun miyalikan Isaac wi inyanàcha Abraham kapu ta impustan Apudyus, tan chitaun niyanà ta impustan Apudyus. 
GAL.4.29	Na anà wi niyanà ta sikud wi miyanaan, pinarpalikatanan sachi anà wi niyanà kapu ta fachang na Ispiritun Apudyus. Ad isun akon sana an chitau tan chachi isù sanilun na lintog, parpalikatancha kon chachi mamtog an Jesu Cristu. 
GAL.4.30	Ngim somsom-onyun annayay niyug-is wi ukud Apudyus, wi anana, “Iparyawnun sanati sanilu wi man-ina tan foon pù mafalini makaràsun na anà na sanilu ta anà na foon pù sanilu.” 
GAL.4.31	Siyan, susunud, maawatanyu kuma na pion na annati anan, wi foon pù kanà chitau ta sanilu tan kanà chitau ta foon pù sanilu.
GAL.5.1	Susunud, foon pù issiyay sanilutau tan illisin Jesu Cristu chitau ta kinasanilutau! Siyan oognanyu kay afus na sachi iningwana, ad achiyu iparufus wi asin-ayu mansanilu.
GAL.5.2	Saoni Pablo wi sunudyu, ilawag-uy mangifakan chiayu, siyan chongronyu: nu piyaronyun mamarkaan na long-agyù masaraknifanyu, maid silfin Cristu an chiayu. 
GAL.5.3	Inongnongyun annay ifakà ta isarad-u: nu ananyuy masapur matungpar anun lintog mipangkop ta mamarkaan na long-ag, masapur tungparonyu losan chachi lintog. 
GAL.5.4	Chachi mangwanani lintog na tungparonchà mangifilangan Apudyus an chichà maid fasurchan siya, misiyanchan Jesu Cristu, ad foon à achakuwan Apudyus chicha. 
GAL.5.5	Ngim chitau, mannamnamatau wi siya mangifilangan Apudyus an chitaù maid fasurnan siya kapu ta karobfongan na Ispirituna, ya kapu ko ta namatiyantaun Jesu Cristu. 
GAL.5.6	Tan nu mamatitaun Jesu Cristu, maid pu karasin na namarkaan na long-ag ya foon, tan na masapur kay, na mamatiyantaun siya, wi maila ta man-asiay-ayatantau.
GAL.5.7	Na impappatiyu ta chamu, ustu met! Siyan sinun nangawis an chiayù summiyananyu ta katuttuwaan ta sana? 
GAL.5.8	Tan foon pù Apudyus wi namilin chitaun narpuwan na sachi. 
GAL.5.9	Isun na yeast, wi uray ait, pafotarona losan na milaukana, sachin isun na intudtuchuchan chiayu. 
GAL.5.10	Ngim nasorkag na somsomòu mipangkop an chiayu, tan piyarò à Apu Jesus à mamachang ta somsomòyu ta achiyu winwinan na sachi safali wi itudtuchucha. Ya na taku wi mangallilaw ta somsomòyu, uray nu sinuman, ochasanan kachusaanan Apudyus.
GAL.5.11	Ad uray akò saon, susunud, nu itudtuchù wi masapur tungparontau kon lintog mipangkop ta mamarkaan na long-ag, foon pu kumà parpalikatanà ta asintatakù wi Judio mipangkop ta itudtuchù wi natayan Jesu Cristu ta kros. 
GAL.5.12	Na piò yakay, ta chachi mangallilaw ta somsomòyu, taynanchà chiayu.
GAL.5.13	Susunud, piniliyan Apudyus chitau ta foon pù masapur tungparontaun sachi lintog wi inyug-is Moses, tan imparufusnà chitau ta sachi. Ngim foon pù mafalin wi ilasunyuchì mawayaanyuy mangwa ta farangnay pion na long-ag, tan na masapur wi oyyoontau, fadngafadngantaun fufuruntau kapu ta man-asiay-ayatantau. 
GAL.5.14	Tan losan na lintog Apudyus, kinim-ung na annayay osa wi anana, “Masapur ay-ayatom na asintatakum à isun na mangayatam ta long-agnu.” 
GAL.5.15	Ngim an-annachanyu tan nu awad man-asisongfatanyu ya man-asisugkanyu, man-asiyam-an-ayu kay.
GAL.5.16	Annayan tudtuchù an chiayu: iparufusyun Ispiritun Apudyus à manitingngil ta somsomòyu ad pintogyun piona, ad kapilitani achiyu pu oyyoon na lawing wi sikuchi pion na long-ag. 
GAL.5.17	Tan na lawing wi sikuchi pion na long-ag, kontraonan pion na Ispiritun Apudyus. Ad isun akon pion na Ispiritun Apudyus, kontraona kon pion na long-ag. Siyan na anchanay chuwa, mampattopattoycha ta somsomò, ad achiayu pu makàwa ta inaagkammuyu wi mamfaru ta sin-arkawan. 
GAL.5.18	Siyan nu Ispiritun Apudyus na manitingngil an chiayu, foon pù lintog na mamangchon an chiayu.
GAL.5.19	Isag narawag na pion na long-ag wi nisisikud ta taku, tan na piona, mamufai ya sinumani lawing wi oyyoon, 
GAL.5.20	ya manayawan ta sinan-Apudyus, ya mangusaran ta mannakafalin wi foon pù Apudyus na narpuwana. Ad na uchumi marpu ta pion na long-ag, siyan kumuru ya sumukob ya uray akon apos ya og-ot ya mangkamkam ta mamfaru wi fumaruwana kay. Ad na salinotnot na pion na long-ag, siyan mansisiyanan wi maid timpuyug, 
GAL.5.21	tan apos na awad. Ya uray akon salimong ya mallukuwan ya uchumi lawing. Imfakafakà an chiayu ngim isarad-u ifaka wi sinumani mangwamangwa ta amaschi, achi pu mitapi ta Manturayan Apudyus.
GAL.5.22	Ngim kattò safalin iparoswan na Ispiritun Apudyus an chitau. Tan na ifungana siyan ayat, lagsak, tarna, anus, achaku ya malimpiwtau, ya managpatitau, 
GAL.5.23	ya naannad ya mangipafafaan ta long-ag. Siyan nu chichan awad an chitau, maid pu lintog à labsingontau. 
GAL.5.24	Losani taku wi nitatappin Jesu Cristu, fayfay-ananchan lawing wi pion na long-ag tan isù nitapi nilansa ta nilansaan Jesus ta kros. 
