GEN.1.1	 Khangla Mühghaüei müh si kaodak yaükei. 
JAS.5.13	Kan yoa at khonkua kia sai? Haoei welaujan. At olinko kia sai? Haoei chia laujan. 
JAS.5.14	Kan yoa at shatko kia sai? Haoei lashong jaishou shuong ngashi hoba Bunyubou nyena hao la onang naangkuko hao shanga welaukushi. 
JAS.5.15	Hobaje mailema welaukubü khoei shatbü kho mailabü; hoba Bunyubouei hao pientilabü; hoba haoei shabü shonan kiasikei, hao la amai apbulabü. 
JAS.5.16	Hibü kan maila shanga, jenabouei jenabou thedanga jembü shabü theletashi; hoba jenabouei jenabou shanga welaukuashi. Saopobü mütei welaubü hoba kümbüleibüa hau yaang kia. 
JAS.5.17	Elijakei sen tegübü müt kikei, haoei lang aloutila shanga kaangkhühtham welaukei, hoba kaodak to po sem hoba lit lak lang alou. 
JAS.5.18	 Haoei nyibou welaukei, hoba mühnyuei lang yantikukei hoba kaonyuei mai hekkukei.
JAS.5.19	Ngeibü jaisinasi shuong, kan yoa at ngühmai ka ayinglamto satalonga, hoba müt cheei hao sepeijung longeitia longa, 
JAS.5.20	aoei shabü müt che haoeibü ayinglam ka leingaibada, haoei kho müteibü soushou haibü ka khümenlabü hoba shabü juongnyu küpletkulabü, dogo haoei ngeashi.
1PE.1.1+1PE.1.2	Ho le Jisu Khristaeibü youko- ikjai Peter ka ki. Ho Mühghaüei shenshen ngenge pienbü hoba Ponta, Galatia, Kapadokia, Asia hoba Bithinia jembo langsenbü shuong tegü aan kibü shuong shanga. Haoei kan Soushouei saüentikula, Jisu Khrista ngüha letila hoba hao siiei laktila pienkukei. Kan jungto onou hoba hakso apsileko yingshi.
1PE.1.3	Seneibü Bunyubou Jisu Khristaeibü Mühghaü hoba Bunyubou sangashi! Haoeibü üeisanou yaangbüa Jisu Khrista haibü ka langngaitibü danko sen la langkei haanbü kukei hoba sen langkeibü maanglem jungto leibakei, 
1PE.1.4	kho ponpen thon akilabü phetphan to atenlabü maanglem ki. Haoei ho leilula athükbü hoba yuila athükbü khuthüka kan shanga phokuda. 
1PE.1.5	Aieilausi ladang haoei haoeibü khümenbü nyekchüh tang khitla lamlelaje kheijinei Mühghaüeibü seiei kan lomatda hoba kho thonbü chaloua haoei kan püetlabü dogo kanei mailemda.
1PE.1.6	Longche shanga kan khonku hoba shieinangei phang juongei takteiasikei, kan hanei aeibou olinlabü ki. 
1PE.1.7	Khonei nyekchüh che kia. Khoei kaneibü mailem kho maibou dogo lenenda. Yaüshema juokenbü yingasikei hon mauda. Ladang kaneibü mailem takteienlaje kho khütoje namsek ki, aishanga Jisu Khrista tang khitjinei haoei kan la nyensang, soneikangbü hoba soumo sungbalabü. 
1PE.1.8	Kanei hao ühüp lausi dogokei hao sanouda, hoba kanei tou ühüpasikei kanei hao to mailemda hoba ngühei alenenbü soneikangbü olinei kan shenakei, 
1PE.1.9	hoba kaneibü mailem thonbü, khei kaneibü soushou khümenbü kanei hapakei.
1PE.1.10	Ho khümenbü shangabü thuseibü shuong aoyouei kan shanga takletbü onou shangabü tetenkei, haoenei ho khümenbü shieikei hoba haujembo lambei. 
1PE.1.11	Ladang haoen to kibü Khrista Soushouei, Khrista khonkulabü hoba phaia soneikanglabü shanga shean lenkei, kheijinei kho ao to hoba ai thua haüthüklaje dogo haoenei lamenla haujembei.
1PE.1.12	Haoenei khangenko kibü kho haoen pailetlabü shanga aying, lausikei kho kan shangabü dogo tang khittikei; hoba tou, kho nyekchüh kan to khuthük ka hautibü Soushou Saopobü danko kan la Ngühlang Maibü künbabü shuongei ngekleda. Khübü to khuthük hangangbü shuongei mangkei chühmang sühkei.
1PE.1.13	Hibü pialemashi hoba jembü lolo thepetan kishi. Jisu Khrista loujinei kan la sungbalabü onoua kaneibü maanglem khümbo phoashi. 
1PE.1.14	Mühghaü to ngüha leashi hoba kan angejinei che pejapelabüa kibü maangdüh la tethükti. 
1PE.1.15	Kan ngabou kho saopobü ki hoba kankei kaneibü langkei phejan wekoa saopobü yingjan. 
1PE.1.16	 Aishanga Laishibaei lauda, “Kan saopobü kishi, aieilausi ngo saopobü ki.”
1PE.1.17	 Hobaje aoei the to achühko mütpem weko jembü kümsilei thüng mat jemda, hao to kanei Bou dogo ngada longaje, kan ho kaodaka yenla leko haangbü jihsiphaia hao la soumo kuko kishi. 
1PE.1.18	Kaneibü pisibou ka jungeijung loubü lejim akibü langkei hangsilam ka maulabü peisilei hon ayingsi chandinamei kan angthetkei aying. 
1PE.1.19	Lausikei kan nali athebü hoba kap anakbü san shoushou tegü lembü Khrista siiei angthetkei. 
1PE.1.20	Kaodak mo- yaüjinei thama hao kho shanga pienkei, lausikei jihsiphai thonbüa kan shanga tang khitkei. 
1PE.1.21	Aieilausi, hao haibü ka langngaitian phaia ong toukei soneikangbü yaang kubou Mühghaü to kanei hao danko mailemda. Hao danko Mühghaú to kanei mailem hoba maanglem ki.
1PE.1.22	Tou kan ngühmai to ngüha lebü danko kaneibü soushou saüenkusije hoba jenabouei jenabou to sanouda yingsije, kaneibü sanou kho kaangbüsekbü hoba hinseibü maangpon ka yingshi. 
1PE.1.23	Kan nyibou buka. Kaneibü bou kho hailabü ayingko ühailabü müt ki. Kan pendou amaulabü langkei Mühghaü ngüh danko bukkei; 
1PE.1.24	aishanga,
1PE.1.24	“Khunak shousi pendou sang tegü ki,
1PE.1.24	hoba khoeibü soneikangbü pendou sang chipen phatko ki;
1PE.1.24	sang yuida hoba chipen setda;
1PE.1.25	 lausikei Bunyubou ngüh ponpen kida.”
1PE.1.25	Kho kan to songlenbü Ngühlang Maibü ki.
1PE.2.1	Hibü amaibü si khüpbülangbü pendou, hibüyoubü pendou, theshoubü si ngühshed laubü pendou kan lolo apyoashi. 
1PE.2.2	Bukletbü nasakei nyueibü sen lambü tegü kan khümenbüa chingla shanga kaneikei soushou sendei lanbü khüto maangdakashi. 
1PE.2.3	 Aishanga Laishibaei lauda, “Kanei Bunyubou sanou kho jepan chüha.”
1PE.2.4	Hibü hao jungto kaiya. Hao langkeibü laangnyu che ki, maimaitham inletkei lausikei Mühghaü thedanga pienbü hoba namsek ki. 
1PE.2.5	Langkeibü laang shuong tegü hao jungto kaiya hoba soushou chem che la yeiko dangenashi. Khünei kan Mühghaüei Jisu Khrista danko sungletenlabü lele soushou lembü kula kan saopobü ungshedbou dan yeilabü. 
1PE.2.6	Aishanga Laishibaei lauda,
1PE.2.6	“Chühashi, ngei Ziona pienbü laang hoba namsekbü
1PE.2.6	chemnyek laang che denda.
1PE.2.6	Hobaje aoei hao to mailemlaje hao ihimoutilabü.”
1PE.2.7	Kan aoyouei mailemda haoen shanga ho namton laang ki; lausikei aoyouei maialemda haoen shangaje;
1PE.2.7	“Laang laobou chemdangbü shuongei inletkei
1PE.2.7	kho chemnyek laang la yeikei.” 
1PE.2.8	Tokei Laishibaei lauda,
1PE.2.8	“Ho mütshuong phaiyetlabü hoba toket thangetlabü
1PE.2.8	laangkudak che ki.”
1PE.2.8	Haoen phaiyetda aieilausi haoenei ngühlang to ngüha aleda; kho haoen shanga piensapbü kiteikei.
1PE.2.9	Lausikei, nakthühbü ka maangpanglabü ngesakbü to kan ngaanboueibü soneikangbü kümsilei tang khittilabü lele kan saopoenbü phang, Choba ungshed lilabü, saopobü phang, hoba Mühghaüei lebü kan shuong ki. 
1PE.2.10	Cheje kan phang akiteibü; lausikei tou kan Mühghaü phang ki. Cheje kan haoeibü üeisanou ühüpbo kiteikei; lausikei tou kanei üeisanou hapa. 
1PE.2.11	Sanoubü jenabou shuong, kan ho kaodaka yen che tegü ong kijung danjinei kaneibü soushou khulimbo wapyobü kaodak shabü dühbü ka satenashi dogo ngei kan to sudajada. 
1PE.2.12	Kan kümsilei amaibü kümbü dan dogo yuktiko laujinei mangkei, hao matjemla lounyet kaneibü kümsilei maibü hapan Mühghaü la soneikangbü kulabü lele, küksithang yoa kan kho tegübü langkei maibüa kijan.
1PE.2.13	Kanei Bunyubou laüa müteibü ngühkhüm hau pendou phanga yeishi; khei Choba to hao pendou to thükkabou dogo, 
1PE.2.14	hoba governor to hao kümsilei amaibü kümbü shuong shieinangeilabü hoba kümsilei maibü kümbü dan nyen sangla shanga haoei hautikei dogo ngüha leshi. 
1PE.2.15	Aishanga maibü kümbü danko kanei ngoualouabüei asangadobü ngühsidei angbü ngüh üangko aptila Mühghaüei maangangbü ki. 
1PE.2.16	Kaneibü dongebü kho amaibü kümsilei yukjin la aleko Mühghaü sambü shuong tegü kila haoei kan dongebü mütshuong yingtimang sühda. 
1PE.2.17	Müt pendou la soumo kuashi; Mühghaü to hatashi; Choba to soumo hatashi.
1PE.2.18	Sambü shuong, kanei soumo hatbü pendouei, maibü hoba ea aoabü to ong aying, toktokbü tokei ditkuko jembü bunyu phanga kishi.
1PE.2.19	Aishanga atei ajan ayingbüa khonsaktisikei Mühghaü shanga dambo natenalonga kho Mühghaü junga sungletenlabü ki. 
1PE.2.20	Kaibü shedbü shanga ngümeibü natenbü ka nyi ai ku ühüpda. Lausikei nyi maibü kümbü shanga khonsak natenalonga kho Mühghaüei sungletenlabü ki. 
1PE.2.21	Kho kümla shanga kan ngakei, aishanga hao youmo phai semtila shanga Khristakei kan shanga khonsakkei hoba kan la tetsida che apyokukei. 
1PE.2.22	Haoei shabü ashon hoba ladangkei yepeibü ngüh che ongkei üang. 
1PE.2.23	Ladang hao nyikukei haoei sepeian anyiku, ladang hao khonsaktikei haoei ühütlen lausikei ngühmai matjembou la hao lolo nongtian phokukei. 
1PE.2.24	Sen shabü la haikuan saopobü shanga lang kilabü lele haoei lolo peiseia jembü manga seneibü shabü künngailangkei; hoba haoeibü moukhünei sen maitikukei. 
1PE.2.25	 San shuong tegü kan ayinglam to hauko kiteikei, lausikei tou kan Sanlombou hoba kaneibü soushou Lombou jungto sepeijung longeia.
1PE.3.1	Kan yaksi shuong, kaneibü laosi shuong phanga kishi. Laosi atei Mühghaü ngüh to maialemsikei kanei kan kibülebü thechühei haoen thükenla haujemjan. 
1PE.3.2	Kan lanbü hoba Mühghaü to hatbü haptiashi kholonga ngühei laula ai alonglabü. 
1PE.3.3	Kan saomaibü kho woubü khuthep, chimen yakmen hoba hele tegübü tang chühlabü he shanga ayingjan. 
1PE.3.4	Lausikei müt cheeibü langkei maangkabou tham ka longbü takshatbü hesihang lenjan. Kho soushou aieikei leilutila athük hoba Mühghaü thedanga namsek ki. 
1PE.3.5	Aishanga Mühghaü to maanglemei chühbü shangiedbü yaksa shuong sao khei maikei. Haoenei haoeneibü laosi shuong ngühkhüm phangto atkei. 
1PE.3.6	Tetlabüei, Saraei Abraham to ngüha lekei hoba hao to “Kü bunyu,” dogo ngakei. Kanei maibü kümsije hoba kan aineikei asukatemtilonga kan saoeibü nouyang shuong ki.
1PE.3.7	Kan laosi shuongkei kaneibü chemdang langkeia jembü yaksi shuong to eaaoa kishi. Haoen hau akibü aedang ki hoba kanei haoen soumo kuko jungeijan, aishanga haoeneikei kan yoa Mühghaüeibü maangmai langkei jongsak janyoda. Kholonga kaneibü welau kho aieikei ashopetlabü.
1PE.3.8	Thonla, pendou maangpon chela lean, üei dambüa cheei che to jaisinasi tegü sanouyoashi. Ea aoabü maangpon yembü hoba sembüambü yingshi, 
1PE.3.9	amaibü jeila amaibü, ayingsi khüksiuok jeila khüksiuok tengaiti. Khü- peinyu haülabü kungaiashi; aishanga Mühghaüei kan ngabü kho ho haülabü hapla shanga kiteikei.
1PE.3.10	 Laishibaei laubü tegü,
1PE.3.10	“Müt cheei langkei sanoualonga
1PE.3.10	hoba olinbü chalou hapmang sühalonga,
1PE.3.10	haoei amaibü ka haoeibü lishang,
1PE.3.10	hoba khüpsilang ka haoeibü sembung senetjan.
1PE.3.11	 Haoei amaibü ka sepeian maibü kümjan;
1PE.3.11	haoei hakso lamjan hoba kho athakko shieijan.
1PE.3.12	 Aishanga Bunyuboueibü nyek saopobü shuong aenei ki
1PE.3.12	hoba ponpendou haoeibü welau ditkula lamleakei,
1PE.3.12	lausikei amaibü kümbü shuong ka hao thenyek sepeida.”
1PE.3.13	 Kan maibü to maangdakan kialonga, kan khonsaktila ao ki? 
1PE.3.14	Lausikei kan janbü kümbü shanga khonsaklabü kialonga kanei haükei. Müt to tehüt, hoba haoenei no mokde tüpyoti. 
1PE.3.15	Khrista kho Bunyubou ki dogo ka maang- pona saüenan phoashi. Kan pendouei phejan leko kibü maanglem shangabü pü leko laula kan to atei phealonga jongaila ponpendou lamlean kiashi. 
1PE.3.16	Lausikei eaaoa hoba soumo hatko jongaiashi. Kan khulimbo laubü hoba kan nyikubü shuong kaneibü Khristan thechüh maibüei himoutilabü lele kaneibü sensimaang hinseitham phoashi. 
1PE.3.17	Mühghaü maang angbü ong yingalonga amaibü kümbo khonsakhoulabü khantoje maibü kümbo khonsakbü maibou. 
1PE.3.18	Aishanga Khristakei seneibü shabü shanga hoba pendou shanga che haikei. Hao saopobü yingsikei, khei kan Mühghaü jungto leibamang sühla asaopobü mütshuong shanga hao haikukei. Hao phea haikukei lausikei soushoua langngaitikei. 
1PE.3.19	Soushoua hao yankei hoba thüngdang kabü soushou shuong la songlenkei. 
1PE.3.20	Khübü kho shangied Noa jihsiphaia Mühghaüei lounyu natenko haisühsikei hao ngüha alebü shuong ki. Longchem khünei müt shijo, khei müt set ong dei danko püetkei. 
1PE.3.21	Hanei dei tetlabü baptibü. Baptibü kho mang ka mak sakan apbü aying lausikei sensimaang lanbüei Mühghaü to theletbü ki. Jisu Khrista langngaibü danko kan tou khümenda. 
1PE.3.22	 Khuthük hangangbü shuong, songdak hau shuong hoba sei shuong pendou hao phangto lotkei; hao khuthük to atkei hoba tou Mühghaü mae aenei kia.
1PE.4.1	Khrista phea khonkukei dogo hapda. Hibü kan kho jeteibü maangponei lamleashi, aishanga ladang müt che phea khonsakda kheijinei haoei shabü to kümsilei wana. 
1PE.4.2	Hobaje kaneibü joubü salang shuong müteibü maangdüha tekhonyo lausikei Mühghaü maangangbü kümashi. 
1PE.4.3	Danbü jiha küksithangei maangdakbü jungeila kanei jih souko lea. Hobaje pejapelabü, nyekdüh maangdüh, ihjakbü, olinkungkhen, shaumang yungmang hoba saüjim heangsho lembü langkeia kan kijung loua. 
1PE.4.4	Ladang kan haoen apsileko haangbü langkei yoa ayanglaje haoen maangpanglabü hoba kan shalabü. 
1PE.4.5	Lausikei langkeibü si haibü ham matjemla lamlean kibou to haoenei ho jongailabü. 
1PE.4.6	Aishanga phea kibü mütshuong tegü haoen maimaitham matjemlabü, lausikei Mühghaüei maangangbü tegü soushoua lang kilabü, ho ngüh shanga haoen haibü shuong tokei Ngühlang Maibü songlenkei.
1PE.4.7	Lausikei ajanjan pendou thonshang che to louada. Hibü kan welauenlabü lele maangpon tükde hoba jembü lolo thepetbü kishi. 
1PE.4.8	Kongnyuleko kan cheei che to maangpon khümboei sanouyojan; aieilausi sanouei shabü juongnyu küplepkuda. 
1PE.4.9	Jenabouei jenabou to anyamnyambo yensüh maiyoashi. 
1PE.4.10	Mühghaüei haoeibü onou hangsilam juongnyua kan la nongkuakei. Kan la nongkubü ikjai haüthüktila shanga kanei jenabou si jenabou khangenyobüa kaneibü mütpem jongsak kho jungeijan. 
1PE.4.11	Müt cheei songlenlabü denche kialonga haoei laubü kho Mühghaü ngüh yingtijan; müt cheei khangensije, haoei Mühghaüei kubü hau to nongashi. Ajanjan pendoua Jisu Khrista danko Mühghaü soneikangtiashi; soneikangbü hoba sei tou hoba ponpen haoeibü; Amen.
1PE.4.12	Sanoubü jenabou shuong, kan wanei takteibüa kanei adambü che kühshuokbü tegü maangtepang. Ho kan takteila loushatda. 
1PE.4.13	Lausikei latetche kan Khrista khonku janyobü shuong ki, hao soneikangbü tang khitjinei kan aeibou olinbüei olinenlabü shanga, khütetche kho olinashi. 
1PE.4.14	Kan Khrista shanga nyikualongaje kan haübou dogo weeiashi, aishanga kheijinei soneikangbü Soushou, laobou Mühghaü Soushou ki, kho kan thükto lotda. 
1PE.4.15	Kan aokei müt haitibou, ayingsi kokbü, ayingsi shedtibou ayingsi aukhen aulepbou che tegü khon asakjan. 
1PE.4.16	Lausikei at Khristan yingbü shanga khonsaka longa, kholongaje khünei ai himoulabü aki. Nao! Lausikei kanei kho nyen thongbü shanga olinashi. 
1PE.4.17	Matjembü jih süha. Ho Mühghaü chem ka khangda; hoba ho sen ka khangalonga, kholongaje Ngühlang Maibü to ngüha alebü shuong shanga lai thonla? 
1PE.4.18	 Laishibaei laubü tegü, “Saopobü shuong usheileko khümenalonga, Mühghaü to ühütbü si shabü shuong aila yeila?” 
1PE.4.19	Hibü aoyou Mühghaü maang- angbüa khonsakda, haoenei maibü kümbüa maanglemenbou Kümbou la jembü lolo khümbomeiko kuashi.
1PE.5.1	Tou ngei kan jaishou shuong to denche lenlabü kia. Khrista khonsakbü tükde hapbou hoba tang khitla kibou soneikangbüa phejan hapla maanglem kibou thujam-jaishou che tegü ngei ho lauda. 
1PE.5.2	Kan yoa Mühghaüeibü ai sanshuong ki kho thounouashi. Kan la jangkubü shanga aying lausikei Mühghaüei kan la kümtimang sühbü tegü maangnyu angko lomashi. Mu shanga aying lausikei kaneibü maangdakei khangenashi. 
1PE.5.3	Ka la nongkubü shuong thüka bunyu teyei lausikei sanshuong shanga tetsida yingshi. 
1PE.5.4	Ladang Kongnyubou Sanlombou tang khitlaje kanei sao asatbü soneikangbü thükbü khun haplabü.
1PE.5.5	Kan heshou shuongkei jaishou shuong phanga kiashi. Kan pendouei jembü lolo jenabouei jenabou khangenla eaaoabüei shembe homashi; aishanga Laishibaei laubü tegü, “Mühghaüei lilisesebü thangetda, lausikei eaaoabü la haoei onou kuda.” 
1PE.5.6	 Hibü, jihaphaia haoei kan tonenlabü lele kan lolo thükenbou Mühghaü ikmanga semetametashi. 
1PE.5.7	Kan maangmaubü pendou hao to phoashi, aishanga haoei kan shanga dambuda.
1PE.5.8	Damanchühbü yingshi, pianleman kishi. Ngühko kibü molosaonyu tegü, kaneibü labou, shabü mühghaüei, ao suienlaje dogo lambo paida. 
1PE.5.9	Mailema kaangashi hoba hao tokashi, aieilausi kaodak pendoua kaneibü thujam-mailembü shuongeikei jeteibü khonsak künda dogo kanei ngeakei. 
1PE.5.10	Onou pendou Mühghaü, aoei kan Khristaa hao thon akibü soneikangbü to ngakei, kan longche khonkuan phaia haoei kan pentisoutilabü, kaangngaitilabü hoba hau kingaitilabü. 
1PE.5.11	Hao to ponpen thon akiko songdak hau yingshi; Amen.
1PE.5.12	Ngei maanglemenbü dogo weeibü ngeibü jaisina Silbana thuibü danko ngei ho le tuisho kan jungto ho pendou tükdebü Mühghaü onou ki dogo kan thungeijangeila hoba aukabü künla dokei. 
1PE.5.13	Kan tegü pienbü Babilona kibü lashongei hoba kü shou Markei kan la salem küntida. 
1PE.5.14	Khristan sanou sembung shepyobüei cheei che la salem kuyoashi. Kan hao to kibü shuong pendou to Khrista hakso yingshi.
2PE.1.1	Ho le Jisu Khristaeibü sambü hoba youkoikjai Simon Peter ka. Küneibü tegü namsek mailem kibü shuong jungto, aishanga seneibü Mühghaü hoba Jisu Khristaei haoeibü ngühmaia ho sen pendou la kukei. 
2PE.1.2	Mühghaü hoba seneibü Bunyubou Jisu Khrista ngebü danko kan jungto onou hoba hakso apsileko yingshi.
2PE.1.3	Aoei sen haoeibü jembü soneikangbü si shanenbü to ngakei, senei hao ngebü danko laobouei Mühghaü ngebü langkei longtida, khübü pendou sen la kula shanga Bunyubouei haoeibü soushou sei jungeia. 
2PE.1.4	Kanei soushou langkeia phejan leoulabü hoba kaodaka amaibü maangdühei longtibü leilubü ka satenlabü lele, haoei sen la thükkabou hoba namsek theletbü shuong kua. 
2PE.1.5	Kho shanga kaneibü mailem to maibü, hoba maibü to ngebü dogo shanyola maibouthamei haujemashi. 
2PE.1.6	Kaneibü ngebü to jembü lolo thepetbü, jembü lolo thepetbü to natenbü, hoba natenbüa Mühghaü to hatbü shomyoashi; 
2PE.1.7	hoba Mühghaü to hatbüa jaisinasi sanouyobü, hoba jaisina sanou- yobü to sanou shomyoashi. 
2PE.1.8	Khübü kho kan to sopbojaiko kitialongaje, khoei no sisikbü hoba lang hekbü la yeitilabü hoba kan seneibü Bunyubou Jisu Khrista ngebü penbüsoubü to leilabü. 
2PE.1.9	Khübü akibü mütje nyek yuibü hoba haoei hapla athük. Haoeibü hangbü shabü shuong kho sakenkua dogo haoei adamenda. 
2PE.1.10	Hibü jaisinasi shuong, no ngaana hoba piena dogo ngela aeiche haujemashi. Kanei khei kümalongaje kan ladangkei aphai- yetlabü. 
2PE.1.11	Kho hangeilamei seneibü Bunyubou hoba khümenbou Jisu Khrista thon akibü sangle to atlabü chongchingbü hapda.
2PE.1.12	Hibü khübü pendou kanei ngeasikei, hoba kanei tou kibü ngühmaia kaangkhühtham loan kiasikei, ngei habü shangabü kan la damentila damsepakei. 
2PE.1.13	Ngo lang ki shongko kan la habü shangabü haansangla yeiko damenngaitilabü ho kü shanga janbü dogo ngei damda; 
2PE.1.14	aishanga ngeibü kaodak mang ho tongde thonlabü dogo ngei ngeakei; seneibü Bunyubou Jisu Khristaei kü la khei lena. 
2PE.1.15	Ngo bangan phaia kanei habü pendou damentila shanga ngei maibouthamei haujemlabü.
2PE.1.16	Ladang künei seneibü Bunyubou Jisu Khrista soneikangbü seia loulabü shanga lenkei, künei müt maangli maangsangei lamenbü ngühli to ikphen alam. Lausikei hao yaangenbü kho küneibü nyekei hapbei. 
2PE.1.17	Aishanga Yaangenbü soneikangbü ka loukei hoba “Ho ngei sanoubü Jayangshou, aoto ngei maangshikda,” dogo laujinei Bou Mühghaüei hao la nyenhang kukei hoba soneikangtikei. 
2PE.1.18	Künkei saopobü shongha hao yoa kikei hoba kho ngüh khuthük ka loubü künei ditkei. 
2PE.1.19	 Hibü künei thusei ngüha kaangko mailemda. Kanei kho ngüh to maangkula maikei. Lang angeshongko hoba kaneibü maang- pona khanyang ngesakbü ohaushongko, ho nakthühphanga ngesakbü wanthung che tegü ki. 
2PE.1.20	Lausikei Laishiba tetenbü ngüh aoeikei jembü lolo wanenjan aying, kho shaang ngeashi, 
2PE.1.21	aishanga tetenbü ngüh aijih dangakei mütei maang angbüei alou. Lausikei mütshuongei Soushou Saopobüei thungeiko Mühghaü ka laukei.
2PE.2.1	Lausikei toukei Mühghaü mütshuong yoa amlangbü thuseibü shuong longkei, kho tegü kan yoakei amlangbü lenbou shuong longlabü. Haoenei huphanga lusaklabü amlangbü lenbü longtikulabü; haoenei haoen angthetbou Bunyubou mangkei atheletlabü hoba haoen thükto leilubü hakde sungbalabü. 
2PE.2.2	Juongnyuei haoeneibü pejapelabü kümsilei phai semlabü hoba haoen hangshong ngühmai lam kho shalabü. 
2PE.2.3	Haoen nyekdüh maangdüha haoenei kan la amlangbü songlen kuko kan ka nam pailetlabü. Shangieda Matjembouei haoeneibü kayang takletakei. Haoei haoen chüheida hoba haoeneibü Shemtibou ayepbei.
2PE.2.4	Aishanga shabü shonbü khuthük hangangbü shuong Mühghaüei aphokai, lausikei matjembü chalou shanga haoen khühan molowan to jinkei. 
2PE.2.5	 Ayingsi haoei Mühghaü angebü kaodak to yungsen sungbajinei haoei shangiedbü kaodak to aphokai. Lausikei haoei saopobü song lenbou Noa yoa lubü müt nyet yoan püetkei. 
2PE.2.6	 Mühghaüei Sodom si Gomora sangyaang shuong tap la yeitikukei hoba haoei Mühghaü angebü la ai haüthükla kho tetsida phoyokukei. 
2PE.2.7	 Lausikei haoei Lot püetkei, aishanga hao müt maibü kikei hoba amaibü mütshuongeibü pejapelabü thechühei hao maangpon aeibou noukei. 
2PE.2.8	Müt maibou kho haoen yoa chalou angbüa kikei. Haoenei kümbüleibü pendou haoei hapbei hoba ditkei, hoba haoeneibü Ngühkhüm lulimbü kümsileiei haoeibü saopobü soushou khonkukei. 
2PE.2.9+2PE.2.10	 Bunyubouei saopobü shuong takteibü ka lai püetla, hoba asaopobü shuong, kongnyuleko aoyouei phe phai sembo asaopobü nyekdüh maangdüha paida, hoba songdak hau pendou nyikuda, haoen la lai kayang kuko matjembü chalou shanga phola, haoei ngekei.
2PE.2.9+2PE.2.10	Haoenei khausak longan jembüei jungeimang sühbü jungeiko haoenei khuthükbü soneikangbü shuong shala ühütda. 
2PE.2.11	Lausikei khuthük hangangbü shuong haoen to hau kibou hoba seia khaibou yingasikei haoenei Bunyubou thedanga haoen khulimbo attibü matjem asungbada. 
2PE.2.12	Khübü mütshuong haoen lolo minngailangan hailabü haangei kümbü phangkabou meisiau phatkei. Haoenei haoenei aditenbü shangabü amaibü lauda hoba haangeibü meisiau tegü haoen lolo shemlabü. 
2PE.2.13	Haoenei khü- peian kümbei hoba kho shanga haoen khonsakngailabü. Haoen changea kusembüa olinyoda. Kan dan yoa haoen kho kapnak hoba nali phatko ki. Kan yoa shauyo yungyojinei mangkei haoenei kan huonettida hoba khonei haoen olinyoda. 
2PE.2.14	Haoeneibü nyek asangalanbüei shenan shabü kümbü ka anangda. Haoenei maang akaangbü sulangda. Haoen aeilam aeiphopbüa ngütakei, haoen Mühghaü shedsikhau phanga kia.
2PE.2.15	Haoenei tangshaibü lamnyu apyoa hoba amaibü hoba amaibü mu mangsühbou Bosor shou Balaameibü lamnyu phai ayingbü to semlanga. 
2PE.2.16	 Lausikei Ngühkhüma shedtibü shabü shanga hao hakeikei. Ngüh alaubou gadu cheei müteibü ngühei lauko thuseibou dalabü kho thangetkei.
2PE.2.17	Khübü mütshuong dei adangbü deikhün, yeinakei soulangbü sangmei tegü ki. Haoen shanga nakthühbü haübü lamlekuakei. 
2PE.2.18	Haoenei amlangbü yonglam ngüh lauko, shedbüa kibü ka longeiko kibü dan to pejapelabüei phe nyekdüh maangdüha suletda. 
2PE.2.19	Haoenei haoen la dongebü thekuda, lausikei haoen bouje leilubüa aao shuong ki, aishanga müt che kho hao thüka bunyu leboueibü aao ki. 
2PE.2.20	Aishanga Bunyubou hoba Khümenbou Jisu Khrista ngebü danko kaodak ihinseibü ka satenshang to louan phaia, kho sunga ong nyiboula mintiko thüktialonga haoeneibü thonbü thu kho shaangbou thu tokei amaibou yeida. 
2PE.2.21	Saopobü lamnyu ngean phaia sepeijung ngaian haoen la kubü saopobü Ngühkhüm inletkhoulabü haangaje haoen shangaje ladangkei angeenko kibü kho khaibou yingkhoulabü. 
2PE.2.22	 Tetentanbüei laubü ngüh kho haoen shanga tükde loushatda: “Keiei jembüei ngaitibü to longeida,” tokei “Uk che la mang yukuashi hoba saoei thima khonlabü,” dogo laubü kia.
2PE.3.1+2PE.3.2	Ngei sanoubü jenabou shuong, kan jungto ho ngeibü le nyiboubü ki. Hama, saopobü thuseibü shuongei shangied laubü ngüh shuong hoba kaneibü youkoikjai shuong danko laubü Bunyubou hoba Khümenbou ngühkhüm kanei damenla shanga ngei kan la damentiko, kaneibü dangshatbü maangpon sinentida. 
2PE.3.3	Shaangboua, jembü aeilam aeiphop maangdühei ong shenan kibü danshuong longlabü hoba haoenei kan nyikulabü dogo ngeashi.
2PE.3.4	Haoenei, “Hao nyibou loula thekubü kho lanei ki? Aieilausi küneibü bousi shuong haibü ka jaüan tat sühko ajanjan pendou kaodak pakjinei kibü yama kia,” dogo laulabü. 
2PE.3.5	 Shangieda müh shuong kia, hoba Mühghaüei ngühei lausi kaodak kho dei ka yeikei hoba dei kanglanga kikei dogo ngean shenshen haoenei atheletlabü. 
2PE.3.6	 Khübü deiei kho jihsiphai kabü kaodak danglepbei hoba shembei. 
2PE.3.7	Lausikei Mühghaüei toukei jeteibü matjembü chalou shanga tou kibü müh shuong si kaodak kho photeiakei dogo lauda. Kheijinei khübü kho lonlabü hoba asaopobü mütshuong pendou shemlabü.
