GEN.1.1	Aino luai God kata asinong na mete kuku na kuli rina. 
GAL.2.6	Au, na si keve igenen ang mitapo lomon ia ta kipo keve igenen lava, parik natapa lolokovo ta kipo saka igenen lava an. E matana i God mang igenen kapo angkokoai palau val mang anu. Io, keve igenen ang kipo igenen lava, parik kita lapa alakai ta ring mengen petekai ani sa natala palas dong iria tatana. 
GAL.2.7	Sikei, kitala kinle ta God nia kata asok iau ani naka akuskus si ri vap tav lampulit, asukang palau val Petero, God kata asok ia ane si ri lamutan. 
GAL.2.8	Ninia palau kata amadot a Petero ani kan mengen ani Karisto si ri lamutan, nang palau nia kata kun amadot anig asi kag mengen ani Karisto si ri vap tav lampulit. 
GAL.2.9	Na mang anu, kitala tun kinle korong e pukun ig na roron ang si kag aisog. Nang tukulai ina keve igenen ke, ri Iakovo ve Kepas na Ioanes, petau ke mipo lomon ia ta kipo ainoinoai, kita lulun imemlong ve Barnabas, akanangai ani kari ainainak, ani namemlong ane si ri vap i ngising, na riria ane si ri lamutan. 
GAL.2.10	Kari sokotuk palau ta namemlong ago ta lomon taun an ani mamain ta vap po logo e iang. Au, nata ainak aroron ani sokotuk ang.
GAL.2.11	Au ani Kepas, taun kata serei e Antiokeia, nanla tatapokai ania si kana lau, using kata lapo aunai i lok. 
GAL.2.12	Si taun katapo ago e ke katapo uli angan kuvul aro ve keve tungana i ngising. Tung si mang petau i asok ta Iakovo kimela serei. Petau ang kipo mengen akit ta ri vap i ngising ki lampulit. Au, kimela serei na kala polek lik akipai ani keve tungana i ngising using kalapo leng ani petau ang. 
GAL.2.13	Au, na lau i akipang ke katala polok alava tung si ri Iudaia aongos ria kapa kita lapo kun pakangai si sapungai ania. Nambang tukulai ina vanang a Barnabas kapa kata kun uak singina. 
GAL.2.14	Au, na nala arai ta kari laulauan kapo tav angkokoai ve tutuman i akus ro, nala tung e mataria aongos na nala mengen a Kepas asukang ke, “Marai sa na kupo vil a lau ke? Tutuman, numai kupo igenen i Iudaia, sikei vola ro using parik kulapa anguan usiusing akit ani laulauan ang. Kana kuta melapo lau val ri vap i ngising. Sikei si kam lau i akipang suke, kulapo aisul pok iria ta ki uli using akit ani keve laulauan si ri Iudaia.
GAL.2.15	Tarung, tarungpo igenen i Iudaia le si liklik, na parik ta vap i ngising po tav katak ve kara keve saupai. 
GAL.2.16	Na tarungpo malangas ta kapo kovek ta mang igenen ka serei a igenen korong e matana i God tukulai ina using kapo usiusing a saupai. Sikei si lomlomon ta Iesu Karisto, nang palau. Asukang kapa na tarung, asi karung kun serei a igenen korong e matana i God, tarung tala kelai ani karung lomlomon si Karisto Iesu, na parik ta si usiusing ani saupai. Using kapo kovek luai ta sikei ka serei a igenen korong e matana i God, tukulai ina si usiusing ani saupai. 
GAL.2.17	Au, using tarunglapo lomlomonai i buk ani tarung luk a vilvil akorong si selen i lomlomon ta Karisto suke, na man kalapo ararai ta tarung lapo katakai i bil arikek au, sa nang? Supsupai ina ta Karisto kapo vil aserei a lau rikek? Tutuman luai, parik! 
GAL.2.18	Man naka abis pok a bil ang natala goeng ia lenginang, sukana kalapo malangas aro luai ta nau a igenen putuk saupai. 
GAL.2.19	Using neina i saupai, nau natala mat suai ani saupai, ani kag to ke God ia. 
GAL.2.20	Io, natala mat kuvul ve Karisto kuli ngakputuk, na kag to kana, nau parik nalapa anguan taukai ina, sikei Karisto kapo aol iau. To ke nei pukun ig, napo to ta lomlomon ta nat i God, nia kata ngorem iau na ka lis palau pok ia anig. 
GAL.2.21	Nau parik napa buk vongvong pokai ani kana roron a God, nang kata abis ia anig. Using man tarungpo mengen ta tarungpo angkoai si serei a igenen korong e matana i God tukulai ina si usiusing ani saupai, au, tarung lapo mengen ta kana mat a Karisto kapo nem palau luai.”
GAL.3.1	Nami ri Galatia, mipo tanio! Si kata vil arikek imi na mipo nio asukang? Natala mengen amalangas e matami aongos ta Iesu Karisto kita vil punuk ia kuli ngakputuk. 
GAL.3.2	Au, mi antok iau ta ring sikei a bil palau. Kana na Malanganto ke mipo atogon ia, mita luk ia tukulai ina si usiusing ani saupai? Parik kapa asukang! Mita luk ia using kami lomlomon ta akus ro ang mita longong ia. 
GAL.3.3	Loi ta nio kitmat ke! Mitala tutapongai ta kitmat i Malanganto. Au na sa, iles aliu mi abis ta kitmat i si? Kitmat i pukun imi akorong? 
GAL.3.4	Au na kui lava ang mitala kui tatana marai lomlomon, parik kalapa anguan tutuman? Iau? Mitapo kui palau? 
GAL.3.5	Au na keve abis roron ang God lenginang katala abis ia singimi si kitmat i Malanganto, au si kapo tukulai ina nang si kami usiusing ani saupai? Parik luai! Tukulai ina palau si kami lomlomon ta akus ro. 
GAL.3.6	Asukang val Abaram 
GAL.3.7	Asukang vang a kapo malangas ta ria kipo lomlomon, ria vanang kipo angtogon ve Abaram. 
GAL.3.8	God kata nas le kabang ta ka ainak ani ri vap i ngising ta ki vap korong marai kari lomlomon. Na asukang nei salsalik kapo mengen amalangas ta akus ro ang God kata posong aino ia si Abaram, 
GAL.3.9	Asukang a vap ang kipo using a selen i lomlomon val Abaram, kipo atogon a roron val nia. 
GAL.3.10	Using ria kipo atokngai asi kari serei a igenen korong si kari usiusing aro ani saupai, nambang, kilapo sunguk kana maras a God asi mat. Using a salsalik kapo mengen ta, 
GAL.3.11	Kapo malangas aro ta kapo kovek luai ta mangsikei, ka serei a igenen korong e matana i God tukulai ina using kapo usiusing a saupai. Using a mengen nei salsalik kapo mengen, 
GAL.3.12	Saupai, parik kilongpa angtunganan ve lomlomon, parik. Sikei 
GAL.3.13	Karisto kata samui apok imem, vap po tav angkoai si apunuk ani saupai, ani namem kala pelek a mamaiten i kana maras a God. Na nia akorong kata asalak a maras ang animem. Using a salsalik kapo mengen ta, 
GAL.3.14	Io, kata samui apok imem ani nami kapa ri vap i ngising, mi kun atogon ani roron ang si Abaram, si kami angtogon ve Karisto Iesu, ani tara, si kara lomlomon, tara luk a Malanganto, voiang God kata atung ia anira.
GAL.3.15	Keve tungag, naka mengen atoktokngai ta bil tarapo nas ia val kara lau i ago. Man kalapo togon a angainakai si pongua kalapo matung, parik kapa angkoai si alakai vo ngi suai ania. Na asukang kapa, 
GAL.3.16	God kata atung kana palapalatung ve Abaram na tivuna. Parik kapa posong ta ani keve tivuna, ani vap miang, sikei kapo posong ta 
GAL.3.17	Mengen ang kapo asukang suke. E mung luai i palapalatung, asukang ta 430 na matas kala liu, saupai lak kala serei. Asukang na saupai parik kapa angkoai si ngi suai ani palapalatung i la atung ang, ani ka tav tutuman. 
GAL.3.18	Using man tara luk a bil roron si tamara tukulai ina si saupai, kala tav tutuman ta bil roron ang kapo gon kuli palapalatung. Sikei tutuman ina, God kata alis palau a Abaram ta bil roron ang si kana palapalatung. 
GAL.3.19	Au, man asukang, nei a tukulai i saupai e voi? Kapo asukang ke. God kata amatung ia using kari lau rikek ri vap. Na katapo matung a saupai, tung si iuang, tivuna i Abaram, nang God kata palapalatung tatana, kamela serei. Mengen i saupai kata serei le si nguruna i angelo, le na igenen e liuan kala luk ia na ka abis tatana. 
GAL.3.20	Au na man kapo atogon a igenen e liuan, kapo atogon a pongua na matan vap, sikei God nia kapo sikei palau.
GAL.3.21	Sa nang? Kalapo ararai ta saupai kilongpo anggegelai ve palapalatung? Parik luai kapa asukang! Man a God kata amatung a saupai voiang a igenen ka angkoai si using apunuk ania asi kana to, oro na God kala kin ia ta kapo igenen korong. 
GAL.3.22	Sikei salsalik kapo posong amalangas ta ri vap aongos kipo ago nei gogotan si rikek. Na gogotan ang ka aselenai aniria asi kari lomlomon ta Iesu Karisto ani ki luk a roron ang God katala atung ia aniria, vap po lomlomon ang.
GAL.3.23	Aino, namemtapo ago nei gogotan i saupai, tung si akus i lomlomon kala serei e ring malangas. 
GAL.3.24	Asukang a saupai katapo aiveven imem val nat lik e kungana i katakai i apasa, ani ka ausingai animem taun a Karisto, asi kamem lomlomon tatana ani namem serei a igenen korong e matana i God. 
GAL.3.25	Kana vang, akus i lomlomon kala serei na asukang parik namempa anguan ago an e kungana i saupai.
GAL.3.26	Using si kami lomlomon ta Karisto Iesu, nami aongos, milapo inatus si God. 
GAL.3.27	Kitala asing tauia imi akanangai ani nami ke Karisto. Le singina milapo ainak alak animi pok ta nami ke Karisto. 
GAL.3.28	Au, using mitala angrodoai animi ve Karisto Iesu, milapo sikei palau. Parik kapa atogon Iudaia, na Elas. Parik kapa atogon asosokai palau, na vo taukai ina. Parik kapa atogon tauan, na aina. 
GAL.3.29	Tukulai ina using milapo ke Karisto, asukang a milapo angtivu ve Abaram, io milapo nat i asail val palapalatung.
GAL.4.1	Napo mengen asukang ke ta nat i asail, man kapo nat lik kana, kapo igenen palau lak val asosokai, kantanem iles ka luk a togtogon aongos si tamana. 
GAL.4.2	Nat lik ang kapo ago si aiveven si vap i atung ta tamana, tung si taun ang, tamana kan alis ia ta togtogon ang singina. 
GAL.4.3	Au, mengen suke kapo bil palau val namem si taun ang namemtapo bil val nat lik singina, na namemtapo uli ago nei gogotan i mamain ta saupai lik i pukun. 
GAL.4.4	Sikei kala sinong a taun na God kala asok kana nat ane kuli rina, na aina kala ingus ia na ka polok alak neite saupai, 
GAL.4.5	ani ka samui apok imem asi kamem kala pelek ani saupai, ani namem serei a taukai ina atutuman. 
GAL.4.6	Au, animi kapa, kalapo malangas ta milapo inatus si God, using katala alis a Malanganto i kana nat alak nei vingara asi kara songo ani God ta Aba, Tama. 
GAL.4.7	Asukang a parik kulapa anguan asosokai palau an, sikei kulapo nat si God. Au, e iang, God kala atung ua na kulapo nat i asail.
GAL.4.8	Si taun aino parik lak mitapa nas a God na laulauan i soturungai si tangatangai katapo got imi, parik ta God. 
GAL.4.9	Sikei kana, milapo angtogon ve God, o God lenginang katala luk imi asi kami angtogon ve nia. Au, kapo saka bil an na milapo pilak suai pok animi ani mi using a keve saupai lik palau i pukun, kapo kovek luai i ro ina? Sa, milapo anguan buk ago an nei gogotan pok? 
GAL.4.10	Arai, milapo ago nei gogotan vang kana e oring ke. Keve saupai val taun i atailai, ainoai i taun i ulen, keve taun i paspasuk, na keve matas i atailai, milapo buk using akit aniria. 
GAL.4.11	Napo lomlomonai alava luai ta si laulauan asukang, kag gese animi ka nem palau luai!
GAL.4.12	Keve tungag! Napo akurkurai animi ta mi kalakala pelek a saupai, val aino si taun ang parik taratapa maiten tatana. Aino, mitapo pakangai aroron anig. 
GAL.4.13	Mipo nas a malepen kata vis iau si taun ang. Au, nala sip alak si an luk papakangai, na e iang nanla akus imi ta akus ro si ainoai i taun. 
GAL.4.14	Io, kag malepen kata anla amaiten imi, sikei parik mitapa kilis iau, na parik mitapa mirik kapa anig singina, parik. Sikei mita songo alak aroron iau val nau kana angelo na God, o val nau a Karisto Iesu akorong. 
GAL.4.15	Katapo aunai i tavirimok kami vubuk asi pakangai anig si mata rikek ang. Mitapo usausa si ruvel suai ani mang katui i mata ani ka sakol a anu rikek ang singig, man kapo angkoai. Napo angkoai si mengen alava ta kami lau roron. Au, na sa si keve lau roron suke, kilapo ago e voi? 
GAL.4.16	Sa kana? Taralapo tapagal marai mengen tutuman? 
GAL.4.17	Vap ang kipo aunai i buk animi asi kami using aniria, sikei kapo kovek i tutuman ina. Kipo buk ani mi sip taliung imem, na mi using iria. 
GAL.4.18	Napo ainak ta kapo lau ro si atokngai amadot asi tak ani ri vap, sikei man kipo tak ane si bil ro. Kapo ro mi uli buk ani kag mengen tutuman, ta ani man napo ago o napo kovek. 
GAL.4.19	Kag inatus, nalapo anguan kui an si ingus animi tung si Karisto kanla itoitonai nei vingami. 
GAL.4.20	Napo buk alava ani tara an angruduai pok tapai, ani man nau e iang parik nala mamagilai alava asukang ke. Using napo sugul alava imi.
GAL.4.21	Au, nami kana mipo buk ago nei gogotan i saupai, mi antok iau! Sa, parik mipa malangas a mengen ang nei buk i saupai? 
GAL.4.22	Kapo mengen asukang ke. Abaram kata atogon kana pongua na nat. Ainoai i nat le si aina vo asosokai palau ang, na mang anu le si kana aina vo kalakala ang. 
GAL.4.23	Au, nat ang si aina vo asosokai palau ang, kita ingus ia si selen i po malangas ta ri vap, sikei nat ang le si aina vo kalakala ang, asi apunuk ani palapalatung. 
GAL.4.24	Keve mengen ke kana kapo serei asi alalangtongai ani ngono aina po tung ani pongua na palapalatung ang, na kilongpo tung asukang ke. Ainoai i aina, Agar. Ninia kapo tung ani palapalatung ang kuli mulang e Sina. Na palapalatung ang kata asereiai ani vap ang kipo asosokai palau. 
GAL.4.25	Io, Agar kapo tung ani palapalatung kuli mulang ang Sina e Arabia, na kapo angkoai palau val Ierusalem amukmuk ke. Supsupai ina ta inatus ang i Ierusalem kipo ago nei gogotan i asosokai palau. 
GAL.4.26	Sikei Ierusalem ang e pangkul, nia kapo kalakala na tarapo angnanan ve nia. 
GAL.4.27	Using a salsalik kapo mengen ta, 
GAL.4.28	Au, nami kapa, keve tungag, milapo inatus si God, le si palapalatung ang, val Isak. 
GAL.4.29	Si ngono nat ang, ainoai i nat voiang kita ingus palau ia, kata mirik ani tasina, iuang kita ingus ia ta kitmat i Malanganto. Au, na kapo tav petekai a lau ke kana. 
GAL.4.30	Sikei, salsalik kapo mengen ta sa? 
GAL.4.31	Io, keve tungag, kapo asukang ke vang. Tara, parik tarapa angnanan ve aina vo asosokai palau ang, sikei tarapo angnanan ve
GAL.5.1	Kalakala suke, Karisto kata akala ira, asi kara atogon ania. Au, asukang vang, mi tung akit. Ago ta longong an ani mang sikei si me amaiten pok animi ta asalak ani maiten lava.
GAL.5.2	Longong, nau a Paulo napo atakun akitmat imi ta mi ago ta naung an ani ki lampulit imi. Man mi lis iria tatami, mamaiten i keve abis roron ang a Karisto kata abis ia, mi kovek luai ina. 
GAL.5.3	Naka anguan posong akit an, man a mangsikei ka alis pok tatana ani ki lampulit ia, kapo asalak pok ia ta maiten i mang keve saupai aongos ang kipo auai kuvul ve saupai i lampulit. 
GAL.5.4	Nami mipo atokngai ani mi apunuk a saupai asi kami serei a igenen korong e matana i God, milapo tapagal pelek a Karisto. Mila tav togon ani kana ro. 
GAL.5.5	Sikei namem, si kamem lomlomon na si kana papakangai a Malanganto, namempo kokoai aro velai ani uruk ani God ka posong imem ta namempo korong. Na namempo atumata ta kana lomlomonai ka tutuman. 
GAL.5.6	Si angtunganan ve Karisto Iesu, lampulit vo tav lamutan, kilongpo kovek i mamaiten irilong. Sikei palau a bil kapo mamaiten, lomlomon voiang kapo uai ta vinga ro.
GAL.5.7	Anongo le, mita lapo uli sang aro. Au, si nang kata lapo sabat imi, asi kami tav sang si selen i tutuman. 
GAL.5.8	Bui asukang ke, parik kapa pasal le si vopo songo ang animi. 
GAL.5.9	“Men yeast lik palau ka polok alava nei saui aongos.” 
GAL.5.10	Si kag kokosai kuli Volava, napo nas ta parik mipa angkoai si gel ani mengen ang. Vopo vil agol ang animi, nia ka sunguk pok a mamaiten i kana lau rikek, kantanem man kapo saka igenen an. 
GAL.5.11	Keve tungag, ani tupang ke ta nau napo aisul lak ta lampulit kapo maiten, kapo tav tutuman asukang. Arai, ri lamutan lak kana kipo marala iau using napo akuskus ta Iesu kata mat kuli ngakputuk. Au, man a tupang ang kapo tutuman, oro na marala ke lenginang kala kamus. 
GAL.5.12	Ani vap po vil apisu ang animi, kapo ro, ki pasal aongos na ki kavak pok iria!
GAL.5.13	Nami keve tungag, Karisto katala songo imi ani mi kalakala, sikei ka ago luai a oring ke ta kalakala suke ka aselenai animi asi kami pasal taun ani vubuk rikek palau i pukun, sikei asi pakangai angpokpokai pok animi si selen i ngorem. 
GAL.5.14	Nei keve saupai aongos, God katala taot kuvul ia ta sikei a asok asukang ke, 
GAL.5.15	Au, na man nami mipo uli buk angrangas angpokpokai animi, mi aiveven, vei mila tagalang aongos.
GAL.5.16	Sikei napo antok ta mi pasal i using ani Malanganto, na mi ago ta ainak ani vubuk rikek i pukun. 
GAL.5.17	Using a vubuk rikek i pukun kilongpo angvis ve Malanganto, na kana vubuk a Malanganto kapo kun angvis kapa ve vubuk rikek i pukun, na kilongpo uli angvis asukang, na parik mipa pilak a lau roron ang mipo buk ia. 
GAL.5.18	Au na man a Malanganto ka ausingai animi, parik mipa ago nei gogotan i saupai. 
GAL.5.19	Tarapo malangas aongos a mamain ta lau rikek i pukun. Panik, lomlomonai visuk, lau visuk luai e ring malangas, 
GAL.5.20	soturungai si tangatangai, maras, angmirik, angkiki, vinga maiten ani mangsikei kapo togon ro, angmamaralai, kakaumang, tapagal asi angpetpetauai, tung taliung ani akalit tutuman, 
GAL.5.21	vubuk musik, uli buk ani laman nio, apatpatkangar, na mang matan lau rikek kapa asukang. Natala anonok imi na kana napo anguan antok an ta ria kipo uli pasal using ani keve lau asukang suke, parik kipa atogon pangau si kana vainagoan a God.
GAL.5.22	Sikei Malanganto kapo uai asereiai ani keve uai ke, vinga ro, uruk, luai, kokoai ananap, abis pakangai, lau roron, lau tutuman, 
GAL.5.23	marip, aiveven pok. Parik kapa togon saupai tubat ani keve lau suke. 
GAL.5.24	Vap ang ke Karisto Iesu, kitala vil punuk a keve vubuk rikek palau i pukun na kalapo aulei kari uruk si uli using akit ania. 
GAL.5.25	Au, using tarapo to ta Malanganto, tara paskak ve nia. 
GAL.5.26	Ka ago na lau ke ta tara alalakas tatara, si lau i asosol vo lau i vubuk musik.
GAL.6.1	Keve tungag, man a sikei imi katala uak si lau rikek, nami Malanganto kapo aol imi, mi itoiton atung pok ia ta vinga marip. Au sikei, numai ku aiveven pok ua vei nganing kula uak si mamaiten ang. 
GAL.6.2	Mi sunguk angpakangai si kami keve mamaiten. Si lau asukang, milapo longong kana keve pinipini na Karisto. 
GAL.6.3	Man a mangsikei kapo lomon ia ta kapo igenen asasanan, sikei parik kapa asukang, kapo kapau pok ia. 
GAL.6.4	Ku tikotikon pok ua si kam laulauan ani ku uruk pok anim singina, na ku ago ta posong aro pok anim pelek a mang tungam, 
GAL.6.5	using kapo ro ta siksikei ka maiten aro ta kana abis akorong. 
GAL.6.6	Au na riria kipo luk akalkalit i akus ro, ki uli pakangai pok ani katakai i akus ta bil ro angkoai si pukun ina. 
GAL.6.7	Ago ta akipang pok an animi ta kapo angkoai si kapau ani God. Tara luk pok a uai i sa tarata sukal ia. 
GAL.6.8	Man tara sukal si auruk ani vubuk rikek palau i pukun, tara ngumut pok a uai ina, mat asikei. Man tara sukal asi auruk ani Malanganto, tara ngumut a uai ina, to asikei. 
GAL.6.9	Tara ago ta mamal an si abis using ani ro, using ka serei a taun ina na tara ngumut pok a uai ina, man parik tarapa marangan putuk. 
GAL.6.10	Si ring ke, tara pakangai ani ri vap aongos, tara ali kunga man tarapo kinle na mamaiten si vuk taun ang. Aino luai ina, tara ali kunga ani vap po angtogon ang ve tara si lomlomon.
GAL.6.11	Mi arai aro vang ani keve salsalik lava ke, natala salik ia animi ta kungag akorong! 
GAL.6.12	Vap ang kipo asum imi asi kami lampulit, kipo buk vil asan aniria. Ring tukulai ina palau ta kipo leng vei ki mirik aniria marai kari lomlomon ta Karisto kuli ngakputuk. 
GAL.6.13	Na mang anu, kipo mengen amadot ta saupai i lampulit, sikei lak ria parik kipa using apunuk a mang matan saupai ngerena. Kipo buk palau ia ani ki an toroi ta lenginang kitala lampulit tapai animi. 
GAL.6.14	Au, na nau, nem palau luai asukang, naka ago luai ta toroi an singina. Sikei naka toroi papalik si kara Volava Iesu Karisto kuli ngakputuk, using singina keve nem i kuli rina kitala mat pelek iau, na nau natala kun mat suai aniria. 
GAL.6.15	Lampulit ve tav lampulit, kilongpo kovek luai ta mamaiten irilong. Kilongpo nem palau. Sikei palau a bil kapo mamaiten, asisinong atanginang. 
GAL.6.16	Marip na ngorem ka sinong singiria aongos, riria kipo usiusing a akalkalit ke. Io, na singiria kapa kana vap a God, ri Israel.
GAL.6.17	Asi akamusai, ka ago luai ta mangsikei ka atelan iau. Keve repel ke e pukun ig kapo akanangai ta nau ke Iesu.
GAL.6.18	Roron si Volava Iesu Karisto ka auai ve malanganto imi, keve tungag. Tutuman.
EPH.1.1	Nau a Paulo, kag kirim i aposel le si Karisto Iesu, using kana lomlomonai a God. Ane si ri vap daus e Epeso, voiang mipo atutuman si kami angtogon ve Karisto Iesu. 
EPH.1.2	Roron ve marip singimi le si God tamara na Volava Iesu Karisto.
EPH.1.3	Alatun ane si God, nia na tamana i kara Volava Iesu Karisto, using katala atautauia ira le si kana sinsinongan e metekuku, ta mamain ta tauia aongos i Malanganto, si kara angtogon ve Karisto. 
EPH.1.4	Asukang ke ta, aino le ani kuli rina kata serei, kana lomlomonai ta ka songo ira si angtogon ang, ani tara gogoai, kovek i oring asi mengen arikek anira e matana, le si lau i vinga ro. 
EPH.1.5	Na kana lomlomonai ta ka itonai anira, ani taran serei val kana inatus tutuman, using palau a Iesu Karisto, angkokoai ve kana uruk na lomlomonai ro. 
EPH.1.6	Kapo ro tara alatun kana miminaungan i alilis roron, voike kata alis palau ia anira, nang kana nat i vubuk. 
EPH.1.7	Le si kara angtogon ve nia, na tarala kalakala using katala samui apok ira ta rangai ina, na e iang God kala lomon suai ani kara keve lau rikek, angkokoai ve kana tautauia i roron, 
EPH.1.8	voiang kata alis alava ia taun ira, velai ani masam na tun kinle. 
EPH.1.9	Na kata amalangasai animem ta kus amumunai i kana lomlomonai, asukang palau val kana uruk, voiang kata atukulai le ania si Karisto, 
EPH.1.10	asi vil aserei ania si man kalapo tapunuk na taun, na ka vil a keve bil aongos e metekuku na e kuli rina, ani ka ago kuvul e neite sikei a vangang, nang a Karisto. 
EPH.1.11	Le si angtogon ve nia na God katala kun songo kapa animem, val kana lomlomonai aino animem, using God kapo uli atapunuk ani keve bil aongos, asukang palau val kana lomlomonai. 
EPH.1.12	Ani namem, voiang namemtala ainoai i vap si atu mata ta Karisto, namem to asi alatun ani kana miminaungan. 
EPH.1.13	Na le singina, nami kapa, mitala kun angtogon ve Karisto si taun ang mita longong a mengen tutuman, nang a akus ro i kana vilvil ato animi. Taun ang mita lomlomon ta akus ang, mitala atogon akanangai singina, nang a Malanganto Gogoai i palapalatung ang. 
EPH.1.14	Malanganto kapo asukang ta samui akanangai ani tara, vap ang ke God, tara an atogon lak a tauia le si kara angtogon ve God, na aongos asi alatun ani kana miminaungan.
EPH.1.15	Tukulai ina, le si taun ang nata longong ta mitala atu lomlomon si Volava Iesu, na kami vinga ro taun ani ri vap daus, 
EPH.1.16	natapo tav kamus ta uli posong ro animi, na napo uli lomlomonai animi si kag keve taun i sokotuk. 
EPH.1.17	Napo uli sokotuk ta God ang si kara Volava Iesu Karisto, nang a miminaungan i tamara, ka alis imi ta masam le si Malanganto velai ani amalmalangasai asi kami nas ania, 
EPH.1.18	na mi atogon a kinle e pakangat imi asi kami nas ani tavirimok i kana alilis anira, using kata songo imi na kana milapo atu mata taun a keve tauia miminaungan kakami, le si kami angtogon ve nia na milapo palpal i kana vap daus. 
EPH.1.19	Na mi kinle kapa na tavirimok luai i madot kata alis ia anira tarapo lomlomon, angkokoai val kana dual lava, 
EPH.1.20	voiang kata abis tatana si Karisto si taun kata tak atadut ia pelek a mat, na ka asisinong ia e palso ina e pangkul metekuku, 
EPH.1.21	alakat luai ani mamain ta vap aongos, kantanem kari saka roron asi saupai, na kipo saka madot an vo kitmat an, na kari sinsinongan kapo saka laba an, kantanem a saka matan asan lava iria, na parik papalik si taun ke, sikei si taun ang e mung kapa, sikei Karisto kapo lakat luai aniria asip. 
EPH.1.22	Na mamain ta bil aongos, God kata asinong ia e neite kakina, na kata atung ia asukang ta vangang asi saupai ani mamain ta bil, ani kuvkuvulan i lomlomon, 
EPH.1.23	nang a pukun ina, voiang kapo asangai ani kirol i vopo akirolai ani mamain ta bil aongos si kana keve selen roron.
EPH.2.1	Na nami, mitapo mat si kami keve kau putuk na lau rikek, 
EPH.2.2	using si kami selen i po to aino, mitapo using a lau i kuli rina ke, na mitapo longong si ainoinoai i vainagoan i nei pangau, nang a malanganto rikek, voiang kapo ali dual aniria kipo sualpok. 
EPH.2.3	Matan vap asukang, tara aongos, taratapo kun ago nei liuan iria anangan, i po apupunuk ani keve vubuk rikek i pukun, using taratapo uli usiusing ani vubuk na lomlomonai ina. Na asukang val ria, taratapo vap i po atu marala ta God. 
EPH.2.4	Sikei God, si kana lavlabat i vinga roron taun anira, using kapo tauia ta ngorem tangis, 
EPH.2.5	io, na si taun taratapo mat si kara keve kauputuk, na kala vil ato ira kuvul ve Karisto. Io, si kana roron na milapo sapang. 
EPH.2.6	Kata tak atadut ira na ka asisinong ira nei kana vainagoan e metekuku, le si kara angtogon ve Karisto Iesu. 
EPH.2.7	Asukang na si taun ang e mung ka akalit ta tauia tavirimok i kana roron taun ira, val katala akalitai ania si kana papakangai ro anira si kara angtogon ve Karisto Iesu. 
EPH.2.8	Using tukulai ina si kana roron na milapo sapang, le si lomlomon. Parik kana le singimi akorong, parik. Kapo alilis le si God. 
EPH.2.9	Parik ta le si avibisan, ani ka ago ta sikei kala toroi. 
EPH.2.10	Using ninia apok kata asereiai anira, kata iton atanginang ira si kara angtogon ve Karisto Iesu, asi kara pasal si selen i mamain ta avibisan roron, voiang a God kata usausa ia aino ani tara pasal singina.
EPH.2.11	Asukang na mi lomlomonai animi anangan. Mitapo tus i vap i ngising, na ria kipo posong iria ta ri lamutan, kita posong imi ta ri tav lamutan, lamut voike kapo bil i abis e pukun ta kungana i igenen. 
EPH.2.12	Na si taun ang mitapo ago akipai ani Karisto, katapo kovek i selen animi si kami angtogon e Israel, na mitapo asukang ta vap sokoung, using parik mitapa angkoai si atogon ani keve bil roron ang kari keve palapalatung kipo mengen tatana. Si kami ago kuli rina mitapo kovek i bil roron si atu mata taun ania, using mitapo kovek i God. 
EPH.2.13	Sikei kana vang, si angtogon ke ve Karisto Iesu, nami, voiang mitapo ago akipai e ring vunga anangan, kana milapo ago angasungai si rangai i Karisto.
EPH.2.14	Using ninia palau kara luai, asukang ta kata vil a pongua na matan vap asi karilong sikei palau. Kata galang suai ani bat putuk, nang a bat i angmimirikai. 
EPH.2.15	Using kata serei ta pukun, ka mat, na e iang katala vil suai luai ani kitmat i sausaupai kuvul ve keve asok ina na keve selen miang asi using. Tukulai i kana lomlomonai asi asinong ani sikei a matan vap tanginang, le si karilong angtogon ve nia na ngono matan vap ang. Na e iang kala amatung a luai. 
EPH.2.16	Au na si sikei a pukun ke, asi asinong anirilong ani kilong angtunganan pok ve God, le si kana mat kuli ngakputuk, voiang kata vil amat karilong angmimirikai. 
EPH.2.17	Kata serei na kamela akuskus ta luai animi mitapo ago avunga, na luai aniria kitapo angasungai. 
EPH.2.18	Using le singina nami na namem, tarapo atogon a selen kalapo tutavasan aroron ane si tamara, si sikei a Malanganto. 
EPH.2.19	Asukang na parik milapa anguan vap sokoung an, na vap i mang rina petekai, parik. Sikei milapo vap i sikei a rina ve kana vap daus a God, na milapo sikei kuvul ve inatus ang nei kana lu, 
EPH.2.20	voiang kapo tung kuli kelkelai i ri aposel ve ri katakai i kus amalangas. Na Karisto Iesu, nia na ainoai i iat i akevai ani kelkelai ke. 
EPH.2.21	Le singina, lu aongos ke kapo angrodoai na kapo tapasuk atung asi serei val lu i atailai le si kara angtogon ve Volava. 
EPH.2.22	Io, le singina na nami kapa, milapo kun auai tung atung val ring i po ago ta God, si Malanganto ina.
EPH.3.1	Tukulai ina na nau, Paulo, vopo ago si gogotan ke marai Karisto Iesu, animi ri vap i ngising, 
EPH.3.2	io, mita lapo longong ta kag kirim le si God, ani nata pakangai animi ta kana roron, 
EPH.3.3	nang a roron i mengen mumun, voike kata asangai ania singig, asi kag nas ania, using lenginang natala atatai lik imi tatana si buk ke. 
EPH.3.4	Au na man mi tataot aliu, io, mila angkoai asi arai korong ani kag tun kinle ani mengen mumun ke i Karisto. 
