GEN.1.1	Kjok ëre dämär, l̇l̇ëye l̇l̇ëm obishko ga Sbö kjok shäryono uunkong, kjopkwo, kl̈ung bakoe. 
2PE.2.17	Epga so di bäng dano pjir kjoyo, so pjäng sho bakwe pjl̈ukdë l̇l̇aw pogo kjoyo bakoe. Ga l̇l̇ono ga pjir ber l̈öng kjok ro sĩ anmoyõ l̈i roshko. 
2PE.2.18	Epga tjl̈ẽshko ga l̇l̇ëye l̈e l̈i tjwl̈õ ara l̈e, gueniyo tjwl̈õ l̇l̇ëm, l̇l̇ëno l̇l̇ëme. Ga nopga wotjl̈ĩk l̇l̇ëbo owa shäryë ame l̈e kjwl̈ë wl̈eni l̈i jyãpgwe, jëk ber l̈öng ba wotjl̈ĩk owa l̈i go wl̈o. 
2PE.2.19	«Pjãy döktonge. L̇l̇ëye shäryëmi woydë l̈i shäryëmi ga pjl̈úe» l̈e l̈ok ba kong. Gueniyo epga om go tjeng l̇l̇ëbo owa shärye l̈öng l̈i dbo dorko. Shji ichaga l̇l̇ërë ga shji ber l̈öng parkagaga tjwl̈ẽk l̈öng pjir wl̈eniyo ba kong.
2PE.2.20	Ëye bi döga Tjl̈apga Jesucristo miydë l̇l̇ëm ga e songe. Gueniyo miydarashko ga e döktonge. Eshko ga beno l̈öng l̇l̇ëbo owa shäryë ame. Gueniyo opyë l̇l̇ëbo owa shäryë obi wl̈eni ga ber tjeng l̇l̇ëbo owa shärye l̈öng l̈i dbo dorko iröng obi. Eshko ga ber l̈öng song anmoyõ. 
2PE.2.21	Irbo pjl̈o bek twara Sbörë ba kong, jëk ba go wl̈o l̈i miydara, rayara kuzong ga e beno song jl̈õe. Miydara l̇l̇ëm kjwe dey. 
2PE.2.22	Epga beno l̈öng l̇l̇ëbo tak pjang Sbö tjl̈õkwo go wl̈eni. Tjl̈ẽno beno eni:
2PE.2.22	«Shjiti yarwono sök ga
2PE.2.22	döni ga tek tjwe ba uë iröng obi.
2PE.2.22	Köchi wak sök drëpdrë ga
2PE.2.22	opdik buk tjã tjã di shäng roy jek obi.»
2PE.3.1	Pjeyoga, kjibokwo tër bomi kong ëre tjok ga kjwo pjök tjän. E goshko ga pjãy poshdun wotjl̈ĩk bëy wl̈o. 
2PE.3.2	Tjl̈õkwo tara Sbö tjl̈õkwo l̈agagarë dënashko l̈i beno buk bomi kong. Ga tjl̈õkwo l̈ara bi Tjl̈apga, bi döga Jesús l̈irë, e l̈ororwa tjawa Sbö tjl̈õkwo roy l̈agaga Jesús ãskarë bomi kong bakoe. Woydër ga tjl̈õkwo uunkong ëre woyoshrozĩ ĩyado.
2PE.3.3	Woydër ga l̇l̇ëbo ëre miydëmi bäm goshko. Kjok pjir l̈ëshko ga nopga Sbö tjl̈õkwo joywë ä wl̈eniyo wen tjwe, ga jëk l̈öng ba wotjl̈ĩk owa l̈i go. 
2PE.3.4	Eshko ga tjl̈ẽ ga «¿Cristo tjwe iröng obi l̈ara l̇l̇ëmdo? ¿Eni ga tjwayde l̇l̇ëm ega? Borwa tjl̈apgaga tek dënashko so wol̈ono pjir, ga kjok ëre shäryak dämärshko tek l̈ëkong ga l̇l̇ëye kjl̈opswoydë l̇l̇ëme» l̈e. 
2PE.3.5	Gueniyo l̇l̇ëye shäryara Sbörë dämärshko l̈i miyde woydë l̇l̇ëme. Eshko ga kjopkwo shäryara, ga kjok dogro ichara wen tëm dl̈ung roy dwayo, beno buk dl̈ung l̈i tjrëko. Uunkong ëre shäryara ba tjl̈õkwo go. 
2PE.3.6	E irgo ga kjok buk eshko l̈i pira di go drete. 
2PE.3.7	Ga Sbö tjl̈ẽ ga kjopkwo pjang eerishko l̈i, kjok ëre, e ber, äär jong no l̇l̇gwezl̈ong dbaryo l̈ishko. Eshko ga suya iök go, ga nopga owa l̈i pjiya dret bakoe.
2PE.3.8	Pjeyoga, Tjl̈apga kong ga dbar kjwara, e l̈u kop sak dbäw dbäw (1,000) wl̈eni, ga l̈u kop sak dbäw dbäw (1,000), e ba kong ga dbar kjwara wl̈eni bakoe. E woyojemi l̇l̇ëme. 
2PE.3.9	Tjl̈apga Jesús tjl̈ẽno bi kong jl̈õkoyo ga l̇l̇ono ga tjwe iröng obi. Gueniyo no kjone kjone wotjl̈ĩk ga tjwe wor anmoyõ l̈e. Shji songe l̈e, ga woyde ga shji uunkong, l̇l̇ëbo owa shäryëy l̈öng l̈i, e owa jl̈õe l̈ëy, ga rayëy, ëye pjir l̇l̇ëm wl̈o. E wopro ga sök bi koshë wopjl̈úe. Tjwe mal̈ing l̇l̇ëm e kjĩshko.
2PE.3.10	Tjl̈apga Jesús, e tjwe, koshëy l̈öng l̇l̇ëmshko, oba tjwe l̈ũrkë wl̈eni. Eshko ga l̇l̇ëbo kuy pjl̈uk ara kjok dogo, ga l̇l̇ëbo tjeng kës kjopkwo go l̈i suya iökdë dret, ber ĩgöy ame. L̇l̇ëbo tjeng kjok ëre kjing go l̈i suya dret eni bako, kjok ëre kës l̈i tjok.
2PE.3.11	L̇l̇ëbo uunkong pjir ber eni. E kjĩshko ga woyde ga pjãy jëk pjl̈o bek, woyde Sbörë sorë l̈i eni. 
2PE.3.12	Eerishko ga pjãy l̈öng Tjl̈apga Jesús tjwe dbaryo iara Sbörë l̈i koshë. Woyde ga pjãy drön l̇l̇ëbo shäryë, tjwe mal̈ing wl̈o. Eshko ga kjopkwo, l̇l̇ëbo tjeng kës kjopkwo go, e suya iökdë drete. 
2PE.3.13	Gueniyo kjopkwo shärye tjagl̈ën, kjok shärye tjagl̈ën bako, l̈ara Sbörë bi kong jl̈õkoyo sorë l̈i eni. Eshko ga l̇l̇ëbo pjl̈o bek erä. E koshoydë l̈öng wopjl̈úe.
2PE.3.14	E kjĩshko ga pjeyoga, l̇l̇ëbo ëre koshëmi l̈öng wopro ga pjãy drön jëk pjl̈o bek, pjãy pogo l̇l̇ëye dret Sbö bokso wl̈o. Pjãy jëk l̈öng ëng tjok wl̈ẽp bakoe. 
2PE.3.15	Woyoshrozĩ ga shji koshe Tjl̈apgarë sök wopjl̈ú, shji döya wl̈o. Bi kjl̈ara Pablo omtono bomi kong eni bako, kjok miydë twara Sbörë ba kong l̈i go. 
2PE.3.16	Ga tjl̈õkwo tara bomi kong sorë ga tara nopga obl̈ë obl̈ë kong eni bako, kjibokwo tara kjwobi l̈i go. Gueniyo tjl̈õkwo tara kjone kjone l̇l̇ë l̈okl̈o miydëy wl̈o ga kjange. No kjone kjone kjok miydë ara l̇l̇ëm, mär Sbö go jl̈õkoyo l̇l̇ëm bakoe. Eni ëmdë ga tjl̈õkwo l̈i l̇l̇ë l̈okl̈o miyde l̈ok pjl̈úe l̈e, gueniyo l̇l̇ë l̈okl̈o l̈e l̈i eni l̇l̇ëme. Shärye Sbö tjl̈õkwo obl̈ë obl̈ë tjok eni bakoe. E kjĩshko ga epga oppjik l̈ok om go.
2PE.3.17	E kjĩshko ga pjeyoga, nopga eniyo sorë miydëmi l̈öng pjir tjän kuzong ga pjãy sjëk ba tjok, pjãy jyãpgwe nopga Sbö kol̈ë l̇l̇ëm wl̈eniyo l̈irë l̇l̇ëm wl̈o, pjãy jëk l̈öng ba wotjl̈ĩk owa l̈i go l̇l̇ëm wl̈o, tjl̈õkwo bek l̈i rayëmi l̇l̇ëm wl̈o bakoe. 
2PE.3.18	Woyde ga pjãy kjimte bi Tjl̈apga, bi döga Jesucristo l̈irë jek këgong, ba wopjl̈ú l̈i kjĩshko. Woyde ga e miydëmi jek këgong bakoe. E iëy ber kësbang, tjwl̈õ ara ĩyado wl̈o. Ber eni.
1JN.1.1	Shäng kjl̈ara ko Tjl̈õkwo.
1JN.1.2	E weno borwa kong, ga l̇l̇ëye ĩnorwa l̈i l̈orwarë bomi kong. Eni ga l̈ërwa bomi kong ga Sök Ĩyado l̈i e. Dënashko ga sök Data Sbö tjok, gueniyo weno borwa kong dbar kjwöbö. 
1JN.1.3	Tjawa jëk l̈öng wl̈ẽp Data Sbö tjok, ba Wa Jesucristo tjok bakoe. Eni ga l̇l̇ëye ĩnorwa, kurorwa l̈i l̈ërwa bomi kong, pjãy jëk l̈öng wl̈ẽp borwa tjok eni bako wl̈o. 
1JN.1.4	Ga tjl̈õkwo ëre tërwa bomi kong, tjawa ber l̈öng wopjl̈ú anmoyõ wl̈o.
1JN.1.5	Jesucristo tjl̈õkwo l̈ono borwa kong, ga l̇l̇ëye l̈ara l̈i ëre: Sbö, e pjl̈ú, pjl̈o bek, l̇l̇ëye owa drete. 
1JN.1.6	Shji l̈öng wl̈ẽp ba tjok l̈ëy, gueniyo shji jëk l̈öng pjl̈o bek l̇l̇ëm ga shji l̈öng jyõrkë, ga shji mär l̈öng tjl̈õkwo bek l̈i go l̇l̇ëme. 
1JN.1.7	Gueniyo shji jëk l̈öng pjl̈o bek baĩya dik ga shji l̈öng wl̈ẽp ëng tjok, ga owa pjang bi go kës l̈i l̈ö̃ya Sbörë ber dret, ba Wa Jesucristo srëng kwono l̈i kjĩshko.
1JN.1.8	Shji l̇l̇ëbo owa shäryono l̇l̇ëme l̈ëy wl̈eni ga shji opjyãpgwë l̈öng om go, ga tjl̈õkwo bek l̈i miydëy l̈öng l̇l̇ëme. 
1JN.1.9	Gueniyo Sbö, e pjl̈o bek, l̇l̇ëye l̈ara l̈i shärye eni ĩyado. Eni ga l̇l̇ëbo owa shäryoroy l̈i owa jl̈õe l̈oroy, ga rayoroy wl̈eni ga owa pjang bi go l̈i l̈ö̃ya ber dret, ga shji ie ber pjl̈o bek ba bokso. 
1JN.1.10	Gueniyo shji l̇l̇ëbo owa shäryono l̇l̇ëme l̈ëy wl̈eni ga Sbö, e jyõ äe l̈öydë, ga ba tjl̈õkwo l̈i miydëy l̈öng l̇l̇ëme.
1JN.2.1	Pjãy bor wapga wl̈eni, tjl̈õkwo ëre tër bomi kong, pjãy l̇l̇ëbo owa shäryë l̇l̇ëm wl̈o. Gueniyo shji kjl̈ara l̇l̇ëbo owa shäryono wl̈eni ga shji wl̈ike Jesucristorë. E pjl̈o bek ĩyado, ga l̈an Data Sbö tjok bi kjĩshko. 
1JN.2.2	E wol̈ono, owa pjang bi go l̈i l̈ö̃ya Sbörë ber dret ga pjl̈ú wl̈o, owa pjang nopga l̈öng kjok ëre kjing go uunkong go l̈i l̈ö̃ya ber dret ga pjl̈ú wl̈o bako, shji ber l̈öng shdungko ame wl̈o.
1JN.2.3	¿Sbö miydëy pjl̈úre miydëy sorë? Tjl̈õkwo l̈ara bi kong shäryëy wl̈o l̈i shäryoroy eni ga miydëy e go ga e miydëy pjl̈úe. 
1JN.2.4	Gueniyo ëye Sbö miydë pjl̈úe l̈e, gueniyo kol̈e l̇l̇ëm ga shäng jyõrkë, ga tjl̈õkwo bek l̈i miyde shäng l̇l̇ëme. 
1JN.2.5	Gueniyo ëye Sbö tjl̈õkwo kol̈ë ga Sbö woyde jl̈õkoyo. Shji mär ba go jl̈õkoyore miydëy eni: 
1JN.2.6	Ëye töno ba tjok l̈e ga woyde ga jëk pjl̈o bek, Jesucristo jëktong sorë ga eni.
1JN.2.7	Pjeyoga, tjl̈õkwo tër shäng bomi kong shäryëmi wl̈o ëre, e tjl̈õkwo tjagl̈ën totë l̇l̇ëme. Dämärshko ga tjl̈õkwo ëre twaraba bomi kong, ga kuromi tjän. 
1JN.2.8	Gueniyo eerishko ga beno tjagl̈ën wl̈eni. Cristo jëktong pjl̈o bek, ga pjãy jëk l̈öng pjl̈o bek bakoe. E go ga tjl̈õkwo ëre l̇l̇ë l̈okl̈o miydëba wẽl̈ëe.
1JN.2.9	Ëye jëk shäng kjok shjiy roy wl̈eni l̈e, gueniyo obl̈ë ĩywa shjiktëng ga jëk shäng kjok ro sĩ roy wl̈eni obi. 
1JN.2.10	Gueniyo ëye ba kjl̈ara woydë ara ga jëk shäng kjok shjiy roy wl̈eni, ëye iche dir l̇l̇ëm bakoe. 
1JN.2.11	Gueniyo ëye ba kjl̈ara ĩywõ shjiktëng ga jëk shäng kjok ro sĩ roy wl̈eni, ga l̇l̇ëye ĩga l̇l̇ëme. E kjĩshko ga jongya kjone miyde shäng l̇l̇ëme.
1JN.2.12	Pjãy bor wapga wl̈eni,
1JN.2.12	owa pjang bomi go l̈i l̈öna Sbörë beno dret,
1JN.2.12	l̇l̇ëye shäryara Jesucristorë l̈i kjĩshko.
1JN.2.12	Kjibokwo ëre tër bomi kong e kjĩshko.
1JN.2.13	Pjãy këkboga,
1JN.2.13	kjok ëre shäryayde Sbörë l̇l̇ëm obishko ga Jesucristo sök tjän,
1JN.2.13	ga pjãy ommiydë eni tjän.
1JN.2.13	Kjibokwo ëre tër bomi kong e kjĩshko.
1JN.2.13	Pjãy dwl̈asga,
1JN.2.13	Ä zanomie.
1JN.2.13	Kjibokwo ëre tër bomi kong e kjĩshko.
1JN.2.14	Pjãy bor wapga wl̈eni,
1JN.2.14	Data Sbö miydoromi.
1JN.2.14	Kjibokwo ëre tër bomi kong e kjĩshko.
1JN.2.14	Pjãy këkboga,
1JN.2.14	sök së tek dämärshko dwayo l̈i miydoromi.
1JN.2.14	Kjibokwo ëre tër bomi kong e kjĩshko.
1JN.2.14	Pjãy dwl̈asga,
1JN.2.14	pjãy wokjang,
1JN.2.14	Sbö tjl̈õkwo miydëmi l̈öng,
1JN.2.14	Ä zanomi bakoe.
1JN.2.14	Kjibokwo ëre tër bomi kong e kjĩshko.
1JN.2.15	L̇l̇ëbo tjeng kjok ëre kjing go Sbö wl̈oyo wl̈eniyo, e woydako l̇l̇ëme. Ëye omwoydë ara ga Data Sbö, e woyde l̇l̇ëme. 
1JN.2.16	L̇l̇ëbo eniyo, e l̈aga Data Sbörë l̇l̇ëme. No wotjl̈ĩk owa, l̇l̇ëbo ĩna pjl̈ú l̈i woyde ber ba kong, no krë ara ba l̇l̇ëbo kjĩshko bakoe. 
1JN.2.17	L̇l̇ëbo uunkong eniyo l̈i pjir, ba woydaga l̈i tjok. Gueniyo ëye Sbö kol̈ë ga ber sök së ĩyado.
1JN.2.18	Pjãy bor wapga wl̈eni, kjok pjir dbaryo l̈i döröe. Cristo wl̈oyo tjwe kjl̈ara l̈i roy kuromi, ga Cristo wl̈oyoga obl̈ë weno l̈öng ara tjän. Miydëy e go ga kjok pjir dbaryo l̈i döröe. 
1JN.2.19	Dënashko ga epga l̈öng bi tjok, gueniyo tjl̈õkwo l̈i kjrara l̈ok jl̈õkoyo l̇l̇ëm, e rayarae. Tjl̈õkwo l̈i kjrara l̈ok jl̈õkoyo kjwe ga beno l̈öng bi tjok. Gueniyo e rayara kuzong ga miydëy e go ga tek dënashko ga tjl̈õkwo l̈i kjrara l̈ok jl̈õkoyo l̇l̇ëme.
1JN.2.20	Jesucristo, e iak beno shäng dboy Sbö kong. Ga pjãy go ba Sëya ichara beno kësbang bomi tjok, ga tjl̈õkwo bek l̈i miydëmi l̈öng pjl̈úe. 
1JN.2.21	Tjl̈õkwo miydëmi l̇l̇ëm wl̈eniyo totë bomi kong l̇l̇ëme. Tjl̈õkwo bek l̈i miydoromi tjän, ga miydëmi ga tjl̈õkwo bek l̈ishko ga jyõ eshko drete. Tjl̈õkwo ëre tër bomi kong e kjĩshko. 
1JN.2.22	Ëye jyõrkë ga ĩgöy wẽl̈ëe. Ëye no pjl̈uyo iche l̈e Sbörë l̈i, e Jesús l̇l̇ëme l̈e oba kong ga jyõrkaga l̈i e. Nopga eniyo mär l̈öng Data Sbö go l̇l̇ëm, mär l̈öng ba Wa go l̇l̇ëm bakoe. E kjĩshko ga epga Cristo wl̈oyo. 
1JN.2.23	Ëye tjl̈ẽno ba Wa kjĩshko eni ga sök Data Sbö tjok l̇l̇ëme. Ëye mär ba Wa go l̈e oba kong ga era sök Data Sbö tjok.
1JN.2.24	Tjl̈õkwo kuromi dämärshko l̈i woyotjl̈ĩzĩ ĩyado. Shäryoromi eni ga pjãy mär l̈öng Sbö Wa go, Data Sbö go bakoe. 
1JN.2.25	Ga l̇l̇ono ga shji ie Sbö Warë ber l̈öng së ĩyado Sbö tjok, l̈ara jl̈õkoyo sorë l̈i eni.
1JN.2.26	Tjl̈õkwo ëre tër bomi kong, nopga to l̈öng bomi jyãpgwë l̈e l̈i kjĩshko. 
1JN.2.27	Gueniyo pjãyda go Sbö Sëya ichara beno kësbang bomi tjok, ga shäng bomi tjok ĩyado. Tjl̈õkwo bek l̈aga l̈i e, ga pjãy pĩya l̇l̇ë pogo go. E kjĩshko ga pjãy pingga woydë obl̈ë ame. Eni ga pjãy mär ber l̈öng Jesucristo go, pjãy pina ba Sëyarë sorë l̈i eni.
1JN.2.28	Pjãy bor wapga wl̈eni, pjãy mär ber l̈öng ba go ĩyado, wen tjwe iröng obishko ga shji l̈öng wl̈ẽp ba tjok wl̈o, shji ber l̈ökshko l̇l̇ëm wl̈o bakoe.
1JN.2.29	E pjl̈o bek l̈i miydëmi wl̈eni ga miydozĩ ga nopga jëk pjl̈o bek kës l̈i, e Sbö wapga.
1JN.3.1	Shji kowe Data Sbörë ba wapga, ga shji ba wapga jl̈õkoyo. Miydëy e go ga shji woyde ara anmoyõ. Gueniyo nopga Sbö miydë l̇l̇ëm wl̈eniyo, shji Sbö wapga l̈i miyde l̈ok l̇l̇ëme. 
1JN.3.2	Pjeyoga, shji Sbö wapga shara, l̇l̇ono ga shji sorë miydëy l̇l̇ëm obi gueniyo. Gueniyo Jesucristo wen tjweshko ga e sorë ĩy wẽl̈ë eshko. Eni ga shji ber baĩya dik shara. 
1JN.3.3	Ëye l̈öng ba koshë eni ga eerishko ga jëk woydë pjl̈o bek, baĩya dik.
1JN.3.4	Sbö tjl̈õkwo kol̈ëy l̇l̇ëmshko ga shji l̈öng l̇l̇ëbo owa shäryë. E kjĩshko ga ëye l̇l̇ëbo owa shäryë ga Sbö tjl̈õkwo kol̈e shäng l̇l̇ëme. 
1JN.3.5	Gueniyo miydëmi pjl̈ú ga Jesucristo öör kjok ëre kjing go, owa pjang bi go l̈i l̈ö̃ya ber dret wl̈o. Ga l̇l̇ëye owa shäryara l̇l̇ëme. 
1JN.3.6	Ëye mär ba go ga l̇l̇ëbo owa shärye enido l̇l̇ëme. Ëye l̇l̇ëbo owa shäryë enido ga Jesucristo miyde l̈öng l̇l̇ëm, kar miyde l̇l̇ëm bakoe.
1JN.3.7	Pjãy bor wapga wl̈eni, pjãy jyãpgwëba l̇l̇ëme. Jesucristo l̇l̇ëbo shäryë pjl̈o bek ĩyado. E kjĩshko ga ëye l̇l̇ëbo shäryë pjl̈o bek ga e pjl̈o bek, baĩya dik. 
1JN.3.8	Gueniyo Ära l̇l̇ëbo owa shäryë ĩyado tek dämärshko dwayo. E kjĩshko ga ëye l̇l̇ëbo owa shäryë ga e Ä ĩ. Sbö Wa öör kjok ëre kjing go, l̇l̇ëbo shärye Ärë l̈i pjiga. 
1JN.3.9	Ëye Sbö wa ga l̇l̇ëbo owa shärye enido ame, e iara Sbörë beno shäng së jl̈õkoyo baĩya dik kjĩshko. Eni ga e Sbö wa kjĩshko ga l̇l̇ëbo owa shärye enido ga äe. 
1JN.3.10	Ëye Sbö ware, de Ä wa, e miydëy eni: Ëye l̇l̇ëbo shäryë pjl̈o bek l̇l̇ëm ga e Sbö wa l̇l̇ëm; ëye ba kjl̈ara woydë l̇l̇ëm ga e Sbö wa l̇l̇ëm bakoe.
1JN.3.11	Tjl̈õkwo kuromi tek dämärshko dwayo l̈i ëre: Bek ga shji ëng woydë ara kar kare. 
1JN.3.12	Dënashko ga domer shäng kjl̈ara ko Caín, e Ä ĩ. Caín l̈i l̇l̇ëbo owa shäryono, gueniyo ba l̈ëngda l̇l̇ëbo shäryono pjl̈o bek. Ba l̈ëng l̈i zröra e kjĩshko. Shji opshäryë baĩya dik l̇l̇ëme. 
1JN.3.13	Pjeyoga, nopga Sbö miydë l̇l̇ëm wl̈eniyo, pjãy ĩywa l̈ok shjiktëngshko ga pjãy opshgawë e go l̇l̇ëme. 
1JN.3.14	Dënashko ga shji wol̈ono l̈öng wl̈eni, gueniyo eerishko ga shji l̈öng së jl̈õkoyo. Miydëy ga shji eni, bi pjeyoga woydëy ara kjĩshko. 
1JN.3.15	Ëye ba kjl̈ara ĩywõ shjiktëng ga e no zröga wl̈eni. Ga miydëmi pjl̈ú ga ëye no zrök ga äär ber l̈öng së ĩyado Sbö tjok l̇l̇ëme.
1JN.3.16	Shji obl̈ë woydë sorë l̈i miydoroy Jesucristo go. E optwono wol̈ono bi kjĩshko. Bek ga shji optwë wol̈on bi kjl̈ara kjĩshko eni bakoe. 
1JN.3.17	Shji l̇l̇ëbo ara, ga bi kjl̈ara l̇l̇ëbo dret wl̈eni ga woyde ga songe l̈ëy, ga kjimtëy. Shäryoroy eni l̇l̇ëm ga Sbö woydëy l̇l̇ëme. 
1JN.3.18	Pjãy bor wapga wl̈eni, shji obl̈ë woydë ara l̈ëy dö l̇l̇ëm, obl̈ë kjimtozĩ wopjl̈ú go dey, shji kjimte Sbörë sorë ga eni. 
1JN.3.19+1JN.3.20	Shäryëy eni ga miydëy e go ga shji mär l̈öng Sbö tjl̈õkwo bek l̈i go. Sbö tjwl̈õ ara, bi wotjl̈ĩk l̈i kjinmo, ga shji miyde pjire. E kjĩshko ga shji l̇l̇ëbo owa shäryono l̈ëy bi pjl̈úshko ëmdë ga miydëy ga shji l̈öng wl̈ẽp ba tjok.
1JN.3.21	Pjeyoga, shji l̈öng l̇l̇ëbo owa shäryë l̇l̇ëme l̈ëy bi pjl̈úshko ga shji l̈öng wl̈ẽp ba tjok. 
1JN.3.22	Eshko ga l̇l̇ëye rokëy ba kong dö ga twe bi kong pjir, ba tjl̈õkwo kol̈ëy l̈öng pjl̈ú kjĩshko, l̇l̇ëye woyde l̈i shäryëy l̈öng eni kjĩshko bakoe. 
1JN.3.23	Ba tjl̈õkwo l̈ara bi kong shäryëy wl̈o l̈i ëre: Shji mär ba Wa Jesucristo go, ga kol̈ëy bakoe; shji ichara erë ëng woydë ara kar kare. 
1JN.3.24	Ëye ba tjl̈õkwo kol̈ë ga mär ba go jl̈õkoyo, ga Sbö shäng ba tjok bakoe. Shji go ba Sëya ichara beno kësbang bi tjok. Miydëy e go ga shäng bi tjok jl̈õkoyo.
1JN.4.1	Pjeyoga, nopga ara to l̈öng tjl̈ẽ ga «Tjawa tjl̈ẽ Sbö Sëya go» l̈e l̈ok eni. Gueniyo nopga ara eniyo ichaga Sbörë l̇l̇ëme. E kjĩshko ga epga uunkong l̈i tjl̈õkwo kjrëy l̇l̇ëm, woyde ga e tjl̈ĩy bäm go guing. 
1JN.4.2	Ëye tjl̈ẽ Sbö Sëya go jl̈õre miydëy eni: Ëye tjl̈ẽ ga Jesucristo öör kjok ëre kjing go no wl̈eni l̈e ga e ichaga Sbörë; 
1JN.4.3	ëye oml̈ãywë eni l̇l̇ëm ga e ichaga Sbörë l̇l̇ëm, e ichaga Cristo wl̈oyo l̈irë. Cristo wl̈oyo, e tjwe l̈i roy kuromi tjän, ga eerishko ga shrono shäng kjok ëre kjing go.
1JN.4.4	Pjãy bor wapga wl̈eni, pjãy Sbö ĩ, ga pjang bomi go l̈i dbo ara, Cristo wl̈oyo shäng kjok ëre kjing go l̈i kjinmo. E kjĩshko ga Sbö wl̈oyoga tjeng kës l̈i zanomie. 
1JN.4.5	Epga kjok ëre so, ga tjl̈ẽ nopga Sbö miydë l̇l̇ëm wl̈eniyo dik e kjĩshko, ga nopga Sbö miydë l̇l̇ëm wl̈eniyo omkuk l̈öng wopjl̈úe. 
1JN.4.6	Gueniyo shjira Sbö ĩ, ga ëye Sbö miydë ga shji kuya l̈öng wopjl̈ú, gueniyo ëye Sbö ĩ l̇l̇ëm ga shji kuya l̇l̇ëme. Ëye tjl̈ẽ Sbö Sëya bek l̈i gore, de jyõ sogo l̈i go, e miydëy e go.
1JN.4.7+1JN.4.8	Pjeyoga, bi kjimtaga obl̈ë woydë ara wl̈o l̈i, e Sbö. E kjĩshko ga bek ga shji ëng woydë ara kar kare. No woydaga jl̈õkoyo l̈i, e Sbö. Miydëy e go ga ëye obl̈ë woydë ara ga e Sbö wa, ga Sbö miyde bakoe. Ëye obl̈ë woydë l̇l̇ëm ga Sbö miyde l̇l̇ëme. 
1JN.4.9	Shji woydara Sbörë eni: Ba Wa kjl̈araso ichara öör kjok ëre kjing go bi kjimtë, shji ber l̈öng së jl̈õkoyo ba kjĩshko wl̈o. 
1JN.4.10	Shji woydara Sbörë ara anmoyõ. Ba Wa ichara, optwono wol̈ono, owa pjang bi go l̈i l̈ö̃ya ber dret ga pjl̈ú wl̈o, shji ber l̈öng shdungko ame wl̈o. Shji Sbö woydë ara l̈i äär e go l̇l̇ëme.
1JN.4.11	Pjeyoga, shji woydara Sbörë ara eni kuzong ga bek ga shji ëng woydë ara kar kar bakoe. 
1JN.4.12	Ëye Sbö ĩno l̇l̇ëme. Gueniyo shji ëng woydë ara kar kar ga Sbö shäng bi tjok. Eni ga shji Sbö woydë jl̈õkoyo l̈i ĩkoba wẽl̈ëe.
1JN.4.13	Shji go ba Sëya ichara beno kësbang bi tjok. Miydëy e go ga shji mär l̈öng ba go jl̈õkoyo, e shäng bi tjok bakoe. 
1JN.4.14	Data Sbö, ba Wa ichara öör kjok ëre kjing go, ber no döga wl̈o. Tjawa omĩno, ga l̇l̇ëye ĩnorwa l̈i l̈orwarë l̈öng oba kong. 
1JN.4.15	Jesús, e Sbö Wa. Ëye tjl̈õkwo ëre kjrono ga mär shäng Sbö go, ga Sbö shäng ba tjok bakoe. 
1JN.4.16	Eni ga miydëy ga shji woyde Sbörë ara jl̈õkoyo, shji mär l̈öng ba go bakoe.
1JN.4.16	No woydaga jl̈õkoyo l̈i, e Sbö. Ëye obl̈ë woydë ara ga mär shäng Sbö go, Sbö shäng ba tjok bakoe. 
1JN.4.17	Shji obl̈ë woydë jl̈õkoyo, shji opshäryë Jesucristo dik kjok ëre kjing go wl̈eni ga no l̇l̇gwezl̈ong dbaryoshko ga shji ber l̈öng wl̈ẽp, l̇l̇ëye bangkjrëy l̇l̇ëme. 
1JN.4.18	Shji obl̈ë woydë eni ga l̇l̇ëye bangkjrëy l̇l̇ëme. Shji shdũya Sbörë l̈i bangkjrëy wl̈eni ga miydëy e go ga shji l̈öng obl̈ë woydë jl̈õkoyo l̇l̇ëme.
1JN.4.19	Shji woydara Sbörë ara bäm go. E kjĩshko ga Sbö woydëy ara, obl̈ë woydëy ara bakoe. 
1JN.4.20	Ëye tjl̈ẽ ga «Tja Sbö woydë ara» l̈e, gueniyo ba kjl̈ara ĩywa shjiktëng ga shäng jyõrkë. Ba kjl̈ara l̈i ĩga wẽl̈ë, gueniyo Sböra ĩga l̇l̇ëme. ¿Eni ga ba kjl̈ara l̈i woyde l̇l̇ëm ga Sbö woyde sorëro? 
1JN.4.21	Ba tjl̈õkwo l̈ara bi kong shäryëy wl̈o l̈i ëre: Sbö woydozĩ ara, bomi kjl̈ara woydozĩ eni bakoe.
1JN.5.1	Ëye, no pjl̈uyo iche l̈ara Sbörë l̈i, e Jesús l̈e ga e Sbö wapga jl̈õkoyo. Ëye Data Sbö woydë ara ga ba wapga woyde eni bakoe. 
1JN.5.2	¿Gueniyo ba wapga woydëy ara l̈i miydëy sorë? Shji Sbö woydë ara, ga ba tjl̈õkwo kol̈ëy. Miydëy e go ga ba wapga woydëy ara bakoe. 
1JN.5.3	Shji Sbö woydë jl̈õkoyo wl̈eni ga ba tjl̈õkwo kol̈ëy. Ga ba tjl̈õkwo, e kjang bi kong l̇l̇ëme. 
1JN.5.4	Sbö wapga uunkong l̈i, l̇l̇ëbo owa shärye nopga Sbö miydë l̇l̇ëm wl̈eniyorë l̈i, e zana l̈ok pjire. Shji mär Jesús go ga owa l̈i zãy. 
