GEN.1.1	Kotiyamale sitali dla Godtapo ta꞉lamo mate pepele di mate mimita꞉piyo. 
HEB.8.9	Adipalati, yia꞉tapo na꞉ta yia꞉ watle hamiwa aiyalma hatitimaleye podolumha꞉ha꞉na.
HEB.8.9	Epalati na꞉tapo yia꞉ tle kostauwapo.
HEB.8.10	Amasiyama na꞉tapo alotle Isalael so opa mate yu amko itiyapo himiloweye ipapena.
HEB.8.10	Na꞉tapo yia꞉ta malamale sitali dla epo yia꞉ dupa dulu dla na꞉ aiyalma kokoye hatitimolowepo.
HEB.8.10	Epalati yia꞉tapo na꞉ aiyalma eye alila hapuloma dla malaha꞉ha꞉lepe.
HEB.8.10	Epapalati na꞉tapo yia꞉ God hallowepo.
HEB.8.10	Epalati yia꞉tapo na꞉ opa depo ha꞉ha꞉lepe.
HEB.8.11	Epapedeme yia꞉ dulu dla oplami haletapo yimkaduloye
HEB.8.11	na꞉ koko malastepo ha꞉ha꞉lepo depame po-imolowa.
HEB.8.11	Adipalati, yia꞉ta hapuloma yimka꞉sikili tle kotiyapo tame patoto oloma dla na꞉ kokoye malastepo ha꞉ha꞉lepe.
HEB.8.12	Epalati na꞉tapo yia꞉ polowamama yia꞉ bobtalimale hapulomaye welliwepo.’”
HEB.8.13	Epedeme Godta amko kokoye himili dlepiye, ya꞉ takala kokota pa꞉lowe alilata mo-teteka꞉mpulati natipame apopo. Epapedeme takala kokoye mo-takala molati alikili dla hamastlowedeme ma-dinapopo elapo.
HEB.9.1	Epedeme takala koko dulu dla opata God dla sisiyelowe apiye me-eluwapo. Epame yia꞉ta sisiyelalo aiyalma aya ma me-haluwapo. 
HEB.9.2	Epame aiyalma aya dulu edla alupoli dapiyamte me-ha꞉ha꞉uwapo. Epedeme ka꞉yapa kokoloma tle aya dulu dla ulatuwame alupoli hale hala hiye Aiyalma. Epeleye alupoli edla tuloma dali mate epo aiyalma daya hatitimalalo helemale mate popa꞉mduwapo. Epalati aiyalma dayaye helemale di dla hatitipo hutiyemduwapo. 
HEB.9.3	Epame ma etle alupoli hale dulu a꞉ma dla tulalo kokolomaye tlukata kopo halemduwapo. Alupoli e ya꞉ hiye pta Sikemte Aiyalma dlalo alupolipo. 
HEB.9.4	Alupoli dulu edla goldta halë ullu ka꞉dle seyamale ha꞉lalo tile polomduwapo. Epame Godta yu itiyapo himili aiyalma tóko goldta mita꞉ple mape alupoli hatlo medla polomduwapo. Epame tóko dulu edla goldta mita꞉ple isilako dulu dla mena dayaye hapo elemduwapo. Epame A꞉lon ya꞉ dali ku, pupulu dla dali upata peyamale mape tóko dulu medla elemduwapo. Epame aiyalma 10, ewala dla hatitimale mape gold tóko hatlo dulu medla hutiyemduwapo. 
HEB.9.5	Epame gold tóko di bodlalo hema Pepele di dla ha꞉ha꞉lalo hela꞉dle banakaka epapele sepele dapiyamte dlopi opata mimita꞉pleta popa꞉mduwapo. Yia꞉ di edla popa꞉mama yia꞉ suku mate gold tókoye bopudepo popa꞉mduwapo. Aiyalma tóko iye ka꞉yapa batalimale howahalomduwa mopo. Amasiyama watapo dita wua꞉ dla koko hapuloma iye woloma imoloweye poka꞉dena.
HEB.9.6	Epapedeme aiyalma aya dulu dla alisisi hapulomata ipo hutiyeuwapo. Epalati God ka꞉ epo opa ka꞉ duka dla ha꞉ha꞉lalo so hapulomatapo aiyalma aya dulu hema itapu dla hallalo alupoli dla tuwame God watle siyele hamilowe oko halomduwapo. 
HEB.9.7	Amasiyama God ka꞉ epo opa ka꞉ duka dla ha꞉ha꞉lalo so yia꞉ dokopala oplami hatlotapo aiyalma aya dulu dla pta Sikemte Aiyalma dlalo alupoli dla tumduwapo. Epele dulu dla ya꞉tapo sokomoko hatlo dulu dla isikimi alila hatlo dla alupoli hema tumduwapo. Ya꞉tapo epo isikimi alila hatlo dla tuwa demhalemama ya꞉ batalimale mate epo opa hapulomata yeitamale koko tle batalimale koko halomale hapuloma mate howahalomolowedeme omali hamtuwa demhalemduwapo. 
HEB.9.8	Epapedeme Hela꞉dle Sokota di imapo, aiyalma aya takalata ala me-poluwatapo opata God hala dla tlowe apiye ala me-himomeleme haluwapo.
HEB.9.9	Epedeme koko hapuloma itapo wata dia꞉ dla ela kokoye imapo. Adipalati, God dla namkale dle alisisi hapilowe koko mate epo alinepi poyupo hapilowe koko mateta God dla sisiyelalo so opa dupa dulu howahaloweye po-ala꞉mdena. 
HEB.9.10	Adipalati, takala koko itapo dia꞉ye eleme amko koko dla puwapo. Amasiyama amko kokota mo-pulati asiyama takala kokota mo-pa꞉uwapo. Adipalati, takala kokoye isikimi daya dlowe koko mate epo yú dlowe koko mate epame yú huhutamolowe meyelope meyelope dle koko mate dla elapo.
HEB.9.11	Epedeme amko koko ka꞉pita pulati Kelisotapo dulu edla God ka꞉ epo opa ka꞉ duka dla hallalo halla puwapo. Epapedeme ya꞉tapo Pepele dimo dla pollalo ullu pa꞉le aiyalma aya dulu dla tuwapo. Aiyalma aya iye dlopi opata do mate pohana. Epame aiyalma aya iye ta꞉lamo hema popolasema. 
HEB.9.12	Aiyalma aya dulu edla Kelisotapo isikimi alila hatlo dla alupoli hale pta Sikemte Aiyalma dlalo dla tumama gaut aliya omali mate epo bulumkiyawa aliya omali mate pohame tuwana. Amasiyama ya꞉tapo me-ya꞉ omali ikadepeye hapo tumama kokó elepo ellalo batalimale howahalalo kokoye dia꞉ dla hampuwapo. 
HEB.9.13	Takala koko dulu dla gaut aliya omali mate epame bulumkiyawa aliya omali mate epo bulumkiyawa aliya elo hamdele tilepu mateta batalimale so opaye isikimi kapala di tlo ka꞉ka꞉demduwapo. 
HEB.9.14	Amasiyama Keliso omalitapo dita pasakalo halemhala God dla siyele hamilipo depame di dupa dulu dla polowe dla elemtlalo batalimale koko hapulomaye howahalomdepo. Adipalati, kokó hallalo Sokota itiyamale tle Kelisotapo ya꞉skamu di batalimale asiyama dla ya꞉ motoye God watle hamiwapo. Adipalati, hatlo ya꞉tapo batalimale pa꞉le halemama koko eye ya꞉ta halowe tlo ala꞉uwapo.
HEB.9.15	Epapele koko tle Kelisotapo amko koko dulu dla God ka꞉ epo opa ka꞉ duka dla hallalo halapo, Godta sisilamale so opa hapulomatapo kokó halepo hallalo pasakaloye halepo depame. Adipalati, Kelisota powale kokotapo yia꞉ta takala koko dulu dla ha꞉ha꞉mama batalimale halomha꞉ha꞉uwa hapulomaye mo-howahalomuwapo.
HEB.9.16	Epedeme oplamitapo mo-polowedeme polomama ya꞉ta solotamale kokoye pepa dla ilimelepe. Epame ya꞉ta mo-polati alotle opa opitapo pepa edla natipame ya꞉ta solotamale koko halepe. 
HEB.9.17	Epapedeme pepa ilimalalo oplami yoye ala me-hallati isikimi oplami haletapo pepa e hapame ya꞉ta solotamale koko hatitimale eye pohalomolowa. Amasiyama ka꞉dena, yo pepa i ilimalalo oplamiye mo-powale hallati oplami haleta pepa e hapo ya꞉ta solotamale koko iye halomoloweye ka꞉pi.
HEB.9.18	Epapedeme ka꞉yapa Mosesta aiyalma hatitimale kokoye kotiyamolowedeme, alinepi poyuli omali mate kokoloma dokostauwapo. 
HEB.9.19	Adipalati, Mosestapo ka꞉yapa aiyalma koko hapulomaye Isalael so watle ma-atlapame ma bulumkiyawa aliya yemala omaliye hapame yú mate dukumuwapo. Epame sematipi sese hame dali dla polupame omali dla saodepo aiyalma hatitimale buka dla popokalepame ma opa dla popokaluwapo. 
HEB.9.20	Epame epo atluwapo, “Wata omali itapo Godta wua꞉ mate yu itiyapo himiliye kokalepo, wua꞉tapo dolumha꞉ha꞉lepo depame.” 
HEB.9.21	Mosestapo omali mate epo popokalemama aiyalma aya mate epame dulu dla hutiyelalo alisisi hapuloma mate ma popokaluwapo. 
HEB.9.22	Epapedeme Mosesta aiyalma hatitimaleta epo atlapo, “Alisisi hapulomatapo omali huhutamelepiye, eta ka꞉dlepe,” depo. Epele dulu dla omalita po-olostlalo wekelepiye, batalimale mape pohohawapo welilowa.
HEB.9.23	Epapedeme ta꞉lamo aiyalma aya mate epo dulu dla hutiye alisisi hapuloma mateye omalitapo howahamhallepe dle koko tle alinepi omalita howahalomhaluwapo. Amasiyama aiyalma aya i mate epo dulu dla hutiyelalo alisisi mateye isikimi Pepele dimo dla ikadepe popa꞉ e yia꞉nasamapo. Amasiyama Pepele dimo dla aiyalma aya ikadepe pola eye isikimi alinepi omali tle pohowahalowa. Amasiyama sikemte ka꞉dle alisisita howahalepe. 
HEB.9.24	Epapedeme Kelisotapo ta꞉lamo hema pollalo aiyalma aya dulu dla potuwana. Adipalati, ta꞉lamo hema aiyalma aya polaye Pepele dimo dla aiyalma aya ikadepeta polaye e ya꞉nasamapo. Amasiyama ya꞉ Pepele dimo dla hetame dia꞉ gadlowe yilo God hala dla woyamuwapo. 
HEB.9.25	Epame opa ka꞉ epo God ka꞉ duka dla ha꞉ha꞉lalo so yia꞉ dokopala oplamitapo sokomoko hapuloma dulu dla alinepi omali mate aiyalma aya dulu dla pta sikemte Aiyalma Dlalo alupoli dla tuwa demhalemduwaye, ya꞉ pe-epapena. Adipalati, ya꞉tapo isikimi alila hatlo dla God watle ya꞉ motoye hamimama omali olostauwapo. 
HEB.9.26	Epapedeme ya꞉ta pe-epapalalo wekematiye, ya꞉tapo alila hapuloma ta꞉lamo kotiyamale tle pumama wotiyalle hampulumla. Amasiyama mosukulu alila hema ya꞉tapo puame alila hatlope dla ya꞉ omali olostauwa koko tle di bobtalimale hapulomaye mo-howahalopo hamastauwapo.
HEB.9.27	Epedeme oplamitapo alila hatlope dla polopiye, ya꞉ Godta koko gladle dla tame woyamelepe. 
HEB.9.28	Epapedeme Kelisotapo alila hatlo dla pomama opa hapuloma yia꞉ bobtalimaleye halopame alikili dla hamastauwapo. Amasiyama ya꞉ta ma ilame puaye, ya꞉ opa hapuloma yia꞉ bobtalimaleye matle halopo alikili dla hamastlowedeme popuasema. Hao. Amasiyama ya꞉tapo ya꞉ omha꞉ha꞉ so opa dla pasakalo gadle hamilowedeme pulupe.
HEB.10.1	Mosesta aiyalma hatitimale kokoye isikimi alotle ka꞉ka꞉dle kokota puluwedeme hala e ya꞉nasama halapo. Epapele koko tle aiyalma koko dulu hema ha꞉ha꞉lalo sotapo God mateka꞉pi dla puluwedeme sokomoko hapuloma dulu dla yia꞉ bobtalimale howahalomelepo depame God watle api hatlo metle alinepi poyupo hapimha꞉ha꞉mduwapo. Amasiyama yia꞉ta alinepi poyupo God watle hapimha꞉ha꞉mduwa koko etapo yia꞉ye eleme yia꞉ bobtalimale tle alikili dla powoyamhalana. 
HEB.10.2	Epele dulu dla yia꞉ta God watle alinepi poyupo hapimha꞉ha꞉le koko eta yia꞉ dupa duluye woloma ka꞉pi howahapo hamasta demhalematiye, eta yia꞉ta God watle alinepi poyupo hapimha꞉ha꞉leye medla gudlemla. 
HEB.10.3	Amasiyama yia꞉ta epo alinepi poyupo God watle hapimha꞉ha꞉le kokotapo sokomoko hapuloma dulu dla yia꞉ta yia꞉ bobtalimale ma mo-malamolowe kokoye imduwapo. 
HEB.10.4	Adipalati, gaut aliya omali mate epo bulumkiyawa aliya omali matetapo batalimaleye woloma ka꞉pi howahapo hamastloweye po-ala꞉na.
HEB.10.5	Epapedeme Kelisotapo ta꞉lamo hema puwa oloma edla ya꞉tapo God watle epo atluwapo,
HEB.10.5	“Wa꞉ alinepi poyuli mate epo namkale dle alisisi hapili mate ma posolotamasema.
HEB.10.5	Amasiyama wa꞉tapo na꞉ watle oplami moto ikadepeye ma-dinapuwapo.
HEB.10.6	Epame alinepi dlapa halomale mate epo batalimale howahalepo depame namkale dle alisisi hapilowe kokotapo ma wa꞉ dla siyele pohapimhalasema.
HEB.10.7	Epedeme na꞉ta epo atluwapo,
HEB.10.7	‘God yu bukata na꞉ koko atla eye ala꞉lowedeme
HEB.10.7	na꞉tapo wa꞉ta solotamale koko halowedeme mo-puwapo.’”
HEB.10.8	Epedeme dulu hema Kelisota God watle atlemama epo atluwapo, “Wa꞉ matle alinepi poyupo halomale koko mate epame batalimale howahalowe dla namkale dle alisisi hapili mate ma posolotamasema,” duwapo. Amasiyama wua꞉ natiya, alinepi poyupo God watle hapili koko iye Mosesta aiyalma hatitimale kokotapo wua꞉ watle, “koko iye halomha꞉ha꞉iye,” dle kokopo. Epapele tlope God ma koko eye posolotamasema. 
HEB.10.9	Epapedeme Kelisota God watle epo atluwapo, “Na꞉tapo wa꞉ta solotamale kokoye halowedeme mo-puwapo,” duwapo. Epapedeme Kelisota takala kokoye alikili dla hamastapame ma amko kokoye hapame takala kokota hallalo mo dla himiwapo. 
HEB.10.10	Epedeme Godta solotamale koko e dolumama Yesu Kelisotapo ya꞉ motoye polowe dla himiwatapo ditapo alila hapuloma dulu dla kokó God ya꞉ opa depo ha꞉ha꞉po.
HEB.10.11	Epapedeme takala koko dulu dla God ka꞉ epo opa ka꞉ duka dla ha꞉ha꞉lalo sotapo alila hapuloma dulu dla opa batalimale howahalepo depame God watle alinepi poyupo namkale dle alisisiye halopimha꞉ha꞉mduwapo. Amasiyama koko etapo yia꞉ bobtalimaleye woloma pohowahapo hamastamdena. 
HEB.10.12	Amasiyama Kelisotapo alila hatlo dla ya꞉ motoye polowe dla himimama kokó ellalo batalimale howahalaloye hampuwapo. Epame ya꞉tapo God dowala tiyama dla poluwapo. 
HEB.10.13	Ya꞉ edla polomama Godtapo ya꞉ dla opahale dlalo soye elempuame ya꞉ hete sitali isili dla ipila꞉lepo depame ompolapo. 
HEB.10.14	Epame ya꞉tapo alila hatlo dla ya꞉ motoye polowe dla himili kokotapo Godta ka꞉dena dle so opaye kokó elepo ellalo batalimale howahalowe dla elempuwapo.
HEB.10.15	Epame Hela꞉dle Soko mape di watle Lodta atlale kokoye ikadepe atlemama epo atlapo,
HEB.10.16	“Na꞉tapo alotle na꞉ opa mate yu amko itiyapo himiloweye ipapena.
HEB.10.16	Na꞉tapo yia꞉ta malamale sitali dla epo yia꞉ dupa dulu dla na꞉ aiyalma kokoye hatitimolowepo.”
HEB.10.17	Epame Hela꞉dle Sokota ma epo atlapo,
HEB.10.17	“Na꞉ matle yia꞉ bobtalimale mate epo yia꞉ta poka꞉ka꞉dle koko halomha꞉ha꞉le hapuloma mateye ma pomalahallowa.”
HEB.10.18	Epapedeme batalimale hapulomaye woloma mo-howahapo hamastlepiye, ma alotle batalimale howahalowe dla God watle namkale dle alisisi hapilowe kokotapo isikimi koko pa꞉le ellepe.
HEB.10.19	Epedeme mikadepe dle so namkadulo, Yesu omalitapo dia꞉ dla itiyamale hamiwapo, ditapo aiyalma aya dulu dla pta Sikemte Aiyalma dlalo alupoli dulu dla tuluweye. 
HEB.10.20	Adipalati, Yesuta pouwa kokotapo pta Sikemte Aiyalma dlalo alupoli dla tulalo tluka kokolomaye mo-dokostauwapo. Epapedeme ya꞉tapo dita God hala dla tlowe pasakalo halemhala api amkoye ma-tamuwapo.
HEB.10.21	Dia꞉ dla God ka꞉ epo di ka꞉ duka dla hallalo oplami ka꞉dleta me-halapo. Ya꞉tapo God ya꞉ opa omhallalo halapo. 
HEB.10.22	Epapedeme di ka꞉dena, dita mikadepe dle koko tlo kikitilata hampame wota꞉le pa꞉po Godta hala mateka꞉pi dla tlowa. Adipalati, di dupa dulu dla malamale sitaliye Yesu ya꞉ omalitapo mo-howahapame ka꞉depo meluwapo. Epame di moto mape yú sikemte alisiyamale mate mo-howahalomuwapo. 
HEB.10.23	Epedeme Godta di watle pasakalo gadle hamilowedeme yu itiyapo himili e halowe dla dalemha꞉ha꞉mama malamale tatlamale mate omha꞉ha꞉miya. Adipalati, God ya꞉ dla ya꞉ta yu itiyapo himili e haloweye pomelesemde. 
HEB.10.24	Epapedeme diamkadulotapo bokotiyapo malamale mate ha꞉ha꞉mama ka꞉dle koko siyapo tlo halomha꞉ha꞉lepo depame yia꞉ye gagademha꞉ha꞉lowa. 
HEB.10.25	Epedeme wua꞉ yimkata alupame inoma sumha꞉ha꞉lowe kokoye memelemiya. Adipalati, opa opitapo yimkata alupo inoma sumha꞉ha꞉lowe kokoye memeleme tamalapo. Amasiyama wua꞉ Yesuta ilame puluwe alilata mateka꞉pi dla mo-pula natipo omtamama yimkata alupame gadle yu mate asiyama sikemte gade asiyama sikemte gade demha꞉ha꞉iya.
HEB.10.26	Epedeme ditapo ikadepe kokoye mo-malapame ma alotle batalimale kokoye sikemte solotapame halomha꞉ha꞉lepiye, ditapo ma alotle di batalimale howahalowe apiye pe-ellowa. 
HEB.10.27	Amasiyama di Godta koko gladlowe dla wowota꞉le mate omha꞉ha꞉lowepo. Adipalati, dlapa sikemte itiyamaletapo God dla opahale dlalo soye hamdepo hamastlepe. 
HEB.10.28	Epapedeme Mosesta aiyalma hatitimale postlalo oplami kokoye koko gladle dla opa dapiyamte epapele o dapahatlope epapeleta ya꞉ koko dla ikadepe koko atlamelepiye, ka꞉dena, ya꞉ye yumuluweye. 
HEB.10.29	Epedeme wua꞉ malamaiya, Mosesta aiyalma hatitimale postlalo oplamiye epo yumilipiye, asiyama God Yami dla alilalo oplami dla apa kokota woyapa꞉? Adipalati, ya꞉tapo ya꞉ bobtalimale howahalomuwa Keliso omaliye pokoko demama bokotiyapo malamale Soko dla ma alli mate putlomale yu atlamhalapo. 
HEB.10.30	Amasiyama dimalamana, Godta epo atluwapo,
HEB.10.30	“Asiyama hamiloweye nolëpo.
HEB.10.30	Epedeme na꞉tapo batalimale koko halomalalo so dla yia꞉ batalimale asiyamaye halopiliwepo,” duwapo.
HEB.10.30	Epame ya꞉ ma epo atluwapo,
HEB.10.30	“Lodtapo ya꞉ opa kokoye gladlepe,” duwapo.
HEB.10.31	Epapedeme oplamitapo koko gladle alila dla ya꞉ batalimale koko tle pasakalo halemhala God do tama dla teyuluweye pta koko pato. Adipalati, eye pta wota꞉le kokopo.
HEB.10.32	Epapedeme wua꞉ta ka꞉yapa Yesu Keliso koko dalepo hapame wotiyalle koko dulu dla kokalepo ha꞉ha꞉uwa eye welimiya. 
HEB.10.33	Adipalati, alila opi dla opata wua꞉ye opa hapuloma mila꞉pi tle wua꞉ dla batalipo atlepame wotiyalle hapimduwapo. Epame ma alila opi dla yia꞉tapo wotiyalle koko mepapeleye wua꞉ amkadulo dla hapimduwapo. 
HEB.10.34	Epame amtuwale aya dulu dla ka꞉ka꞉timale sota wotiyalle halati wua꞉ta yia꞉ye gademduwapo. Epame opa opitapo wua꞉ alisisiye wua꞉ tle kokolahapo tlati wua꞉ asiyama yia꞉ dla yu hale po-atlalo isikimi sisiyemduwapo. Adipalati, wua꞉tapo kokó hutiyelalo ka꞉ka꞉dle kokota wua꞉ omelaye, etlo halomolowedeme omha꞉ha꞉mama ammduwapo.
HEB.10.35	Epapedeme wua꞉ta mikadepe dle dulu dla itiyamale mate ha꞉ha꞉ye alikili dla pololemiya. Adipalati, koko etapo wua꞉ dla asiyama patoye hampuapo. 
HEB.10.36	Epapedeme ka꞉dena, wua꞉ta Godta solotamale koko halomha꞉ha꞉mama wua꞉ta ya꞉ta yu itiyapo himili koko halowedeme mikadepe dle dulu dla itiyamale mate ha꞉ha꞉iya. 
HEB.10.37	Adipalati, God yu bukata epo atlapo,
HEB.10.37	“Alila yimka꞉mala dla ha꞉ha꞉po gudlepiye,
HEB.10.37	ma alotle dita omha꞉ha꞉ oplamitapo oloma edla woyamelepe.
HEB.10.37	Epele dulu dla ya꞉ podekellowa.
HEB.10.38	Na꞉ta ullu pa꞉talo so demhala sotapo mikadepe dle tle pasakalo hallowe hamha꞉ha꞉po.
HEB.10.38	Amasiyama yia꞉tapo na꞉ tle alikili dla telepiye, na꞉ yia꞉ dla posiyelowa.”
HEB.10.39	Amasiyama dia꞉ye God tle ma alikili dla haodepo Dlapa mo dla tamala so epapele some poha꞉ha꞉sema. Amasiyama dia꞉ye mikadepe dle dulu dla ha꞉ha꞉mama God tle pasakalo gadle halowa depo omha꞉ha꞉lalo sopo.
HEB.11.1	Epedeme mikadepe dle kokoye adipapeta꞉? Mikadepe dle kokoye ipapena. Ditapo dalemha꞉ha꞉mama omha꞉ha꞉ kokota ikadepe dia꞉ dla pulupe dlowe kokopo. Epame dita potlamalalo wekemde kokoye ma dita “koko eye ikadepe kokopo,” dlowe kokopo. 
HEB.11.2	Ka꞉yapa ha꞉ha꞉uwa di mamaduloye, yia꞉ta mikadepe dle koko tle Godtapo yia꞉ dla siyemhalemduwapo.
HEB.11.3	Epame ditapo Godta ta꞉lamo mate epo pepele di mateye ya꞉ yu tle mimita꞉piyo dle kokoye adipo malapa꞉? Isikimi dita mikadepe dle koko tle koko iye malastlepe. Epame hatlo dita mikadepe dle koko tle wata dita tlama koko iye dita potlamalalo wekemde koko tle mimita꞉piyo demdepo.
HEB.11.4	Eiboltapo God dla mikadepe demama namkale dle alisisi hapimhallati Godtapo ya꞉ dla siyemama ka꞉dle oplami duwapo. Amasiyama ya꞉ bapa Keinta namkale dle alisisi halopimhalale dla Godtapo posiyena. Epapele dulu dla Eibol yoye mo-powataliya pouwapo. Amasiyama ya꞉ta mikadepe dle kokotapo ala dia꞉ dla me-imhalapo.
HEB.11.5	Inokta mikadepe dle kokoye Godta natipame ya꞉ ala popolalo hallati Godtapo ya꞉ye Pepele dimo dla hamame hetauwapo. Epedeme opatapo ya꞉ye ma ponatina. Epele dulu dla ya꞉ ala Pepele dimo dla pohamame hetlalo hallati Godtapo ya꞉ta mikadepe dle kokoye natipame ya꞉ dla siyemduwapo. 
HEB.11.6	Amasiyama mikadepe dle pa꞉le oplami dla Godta posiyemhalasema. Adipalati, ka꞉dena, God hala dla puluwedeme solotamalalo oplamitapo ka꞉yapa, Godye ikadepe halema, depame mikadepe dlepe. Epame ya꞉ ma ka꞉dena, Godtapo ya꞉ totamalalo so opa dla asiyama hapimhala koko dla ma mikadepe dlepe.
HEB.11.7	Epame mikadepe dle koko tle Nowatapo ya꞉llu mate epo ya꞉ yimlala mate pasakalo gadlowedeme koa pato tiwapo. Adipalati, Godta itapu dla woyamolowe kokoye ya꞉ watle momolo atlati ya꞉tapo dalepame God dla wota꞉mama isikimi salladuwapo. Epame ya꞉ta mikadepe dle kokotapo ta꞉lamo so hapuloma dla yia꞉ bobtalimale kokoye imuwapo. Epame Godtapo Nowata mikadepe dle koko natipame ya꞉ye ka꞉dle oplami duwapo.
HEB.11.8	Godtapo A꞉iblaham watle epo atluwapo, “Wa꞉ mo mate epo wa꞉ opa mate memelepame ma na꞉ta wa꞉ watle hamilowedeme hala mo dla tane,” duwapo. Epalati A꞉iblahamta God dla mikadepe depame ya꞉ mo saliyome Godta ya꞉ watle atlale mo edla yeliyemtamama oloma hadima tame woyamolowe demtauwapo. 
HEB.11.9+HEB.11.10	A꞉iblahamtapo Godta ya꞉ watle hamili dle mo edla tame woyapame asepe oplami some halemama mo e halowe dla mikadepe depo haluwapo. Epame ya꞉ta mo edla tame halemama kimna꞉ya halopo halemsela꞉mduwapo. Adipalati, ya꞉tapo Godta woloma ka꞉depo dinapeleta kokó ellalo mo edla hallowe tlo omtamama dalemhaluwapo. Epame ya꞉ ko tle yami Aisek mate epo ya꞉ mama Yokob matetapo yia꞉ mape kimna꞉ya halopo ha꞉ha꞉msiyamalati Godtapo A꞉iblaham mate yu itiyapo himiliye ma yia꞉ watle hamiwapo.
HEB.11.11	Epame ya꞉llu Sela hamkapi pollalo a꞉ya mape ma alluyemala ikadepe polomama ya꞉ta mikadepe dle koko tle God tle owayemala hamolowe itiyamaleye hauwapo. Adipalati, ya꞉tapo Godta yu itiyapo himili edla mikadepe duwapo. 
HEB.11.12	Epapedeme A꞉iblahamta mo-totoyemala ikadepe halemama maseyemala himili tle ya꞉ mamadulota pasatepo halapo. Epedeme ya꞉ mamadulotapo pasatamama tamili some epo asila some sesa꞉lowe pa꞉le halapo.
HEB.11.13	Opa hapuloma iwolotapo Godta yia꞉ mate yu itiyapo himili e halomolowe dla omha꞉ha꞉lowe kokoye pomelena. Amasiyama yia꞉tapo koko eye pohalomalalo paliwapo. Yia꞉ isikimi Godta yia꞉ watle hapili dle kokota ala pateka꞉mu tle pumulla natipame isikimi ka꞉dena duwapo. Adipalati, yia꞉ malamuwapo, yia꞉ye isikimi ta꞉lamo hema asepe so some ha꞉ha꞉po depame. 
HEB.11.14	Epedeme opa yiskamu yia꞉ye asepe so dlalo sotapo woloma yia꞉ mo ikadepe tlo totamha꞉ha꞉po. 
HEB.11.15	Epapedeme opa iwolotapo yia꞉ta ka꞉yapa ha꞉ha꞉le mo edla ha꞉ha꞉lowedeme atlamha꞉ha꞉mama ammatiye, eta yia꞉ye ma i-ilapo mo edla tamellemla. 
HEB.11.16	Amasiyama yia꞉tapo Pepele dimo ka꞉dle tlo totamha꞉ha꞉mama apuwapo. Epapedeme yia꞉tapo God watle, “wa꞉ye di God ikadepe halapo,” dlati asiyama Godta yia꞉ye po-alimdena. Adipalati, ya꞉tapo yia꞉ yilo Pepele dimo ka꞉dleye ma-dinapuwapo.
HEB.11.17+HEB.11.18	Epedeme Godtapo A꞉iblaham watle epo atluwapo, “Na꞉tapo wa꞉ mamadulota pasatlowe koko dla yu itiyapo himiwaye, wa꞉ maseyemala ikadepe Aisek tle kotiyamelepe,” duwapo. Epapele tlope Godtapo A꞉iblahamta mikadepe dleye kokaleta꞉ depo natilowedeme, “Wa꞉ maseyemala hatlo Aisekye yumpo na꞉ watle hamine,” duwapo. Epalati asiyama A꞉iblahamtapo God dla mikadepe demama ya꞉ maseyemala Aisekye yumpo God watle hamilowedeme apuwapo. 
HEB.11.19	Adipalati, ya꞉ mikadepe duwapo, Godtapo ya꞉ye ma pasakalo dlepe depame. Epapele koko tle A꞉iblahamtapo ya꞉ maseyemala Aisekye mo-powale tle ma pasakalo desepuwapo.
HEB.11.20	Epame Yokob mate epo Iso mate yia꞉ta itapu dla ha꞉ha꞉lowe koko dla yia꞉ a Aisektapo ya꞉ta mikadepe dle tle yia꞉ye inoma sumale mate ta꞉duwapo.
HEB.11.21	Epame Yokobtapo mo-totoyemala mo-polowe mateka꞉pi dla halemama ya꞉ta mikadepe dle tle ya꞉ mamadulo Yosep ya꞉ akimlala dapiyamte yilo God watle inoma sumale mate ta꞉duwapo. Epame ma ya꞉tapo ya꞉ dali ku dla hitahalemama God dla siyele hamiwapo.
HEB.11.22	Epame Yoseptapo mo-totoyemala mo-polowe mateka꞉pi dla halemama ya꞉ta mikadepe dle tle Godtapo Isalael soye Isip mo tle alikili dla eleme woyamoloweye atluwapo. Epapedeme ya꞉tapo ya꞉ opa Isalael so watle epo atluwapo, “Wua꞉tapo Isip mo tle alikili dla woyapo tamalemama na꞉ elo mate halopo telepe,” duwapo.
HEB.11.23	Epame mikadepe dle koko tle Moses ya꞉ a mate epo ya꞉ wai matetapo Mosesye hampame hemele alikili dla hatiyomeleme ha꞉ha꞉mama mama dapahatlope pololuwapo, Isip mo dokopala oplamita ya꞉ yumulala depame. Epammama yia꞉tapo maseyemala ka꞉dle hamale natipame Isip mo dokopala oplami yu hauwokokomoloweye powowota꞉na. Adipalati, mikadepe dle kokotapo yia꞉ dla itiyamale hamiwapo, yia꞉ta dokopala oplami yu hauwokokomoloweye.
HEB.11.24	Epame Mosesta ta꞉pame ya꞉ta mikadepe dle koko tle Isip mo dokopala oplami dla ya꞉ mama ikadepe dloweye aliwapo. 
HEB.11.25	Adipalati, ya꞉tapo God ya꞉ opa mate wotiyalle halowe tlo sikemte solotamama asiyama dokopala oplami aya dulu dla alisisi pasatale dulu dla halloweye aliwapo. 
