GEN.1.1	Adikeh la Tsingrangbanü ninglih thricho. 
1JN.4.2	Hinü nührünü Tsingrangba Anbü a mahnang müdhenung: Sünü Jisu Khrista tsü shutsa la rochoepü chechorünang hütsü Tsingrangba chahnü rocho Anbü. 
1JN.4.3	Ta sünü Jisu nengdang hiroh-i münyengchorünang Tsingrangba chahnü rocho anbü mah. Hütsüba anbü tsü Khrista rorüh chahnü lile; tunüo ronungepü nührünü yuchiko ko hütsü adelü limih la lile.
1JN.4.4	I tsurüti, nührü Tsingrangba yo lile, ko arahkheh azikehrüti nührünü kohko, tunüo limih nyitsarüti chah liba anbü tenü nührü chah liba anbü tsü rezehba lile. 
1JN.4.5	Arahkheh azikehrü tsünü limih kohro nengdang chore, ko liminü arüh te nyire tunüo arüh limih yo lile. 
1JN.4.6	Ta Ihsalü Tsingrangba yo lile. Sünü Tsingrangba müdhero abinü Ihsa te nyire; sü Tsingrangba yo mahro abinü Ihsa te münyire. Hi khu Ihsanü arahkheh anbü ko yuje anbü adukah tsü müdhere.
1JN.4.7	Amüi jünirüti, Ihsanü khüdunü khüdu te müitanung, tunüo amüi tsü Tsingrangba chahnü rore. Sünü müiro abi Tsingrangba chahnü surocho, ko abinü Tsingrangba müdhele. 
1JN.4.8	Sünü mümüiro abinü Tsingrangba mümüdhe, tunüo Tsingrangba tsü amüi. 
1JN.4.9	Ko Tsingrangbanü atsudhre hiba limih yang müthehcho khu abi amüi Ihsa te ngucho, hütsünü abi khu Ihsa akang ngunung. 
1JN.4.10	Amüi tsü hi: Ihsanü Tsingrangba müicho mah, ta abinü Ihsa müichonü atsudhre Ihsa münyi pehjünung nengdang müthehcho.
1JN.4.11	Amüi jünirüti, Tsingrangbanü hütsüta Ihsa müichokhang, Ihsasü khüdunü khüdu te müitabae. 
1JN.4.12	Sünüsü Tsingrangba müngudheng, ta Ihsanü khüdunü khüdu te müitakhang, Tsingrangba Ihsa chah lire, ko abi amüi Ihsa chah apisa kangre. 
1JN.4.13	Ihsa Tsingrangba chah ko abi Ihsa chah lirepü Ihsanü tsüpre, tunüo abinü apu anbü Ihsa khyang jüko. 
1JN.4.14	Ko Aunü limih Kangchehjüba kangnung atsudhre müthehcho, hütsü Ihsanü nguko ko aparü te yuzi jüre. 
1JN.4.15	Nyüh khüdunü Jisu tsü Tsingrangba Tsurüepü yudsinü nyengchokhang, Tsingrangba abi chah lire ko abi Tsingrangba chah lire. 
1JN.4.16	Ko Ihsabürünüsü Ihsa nengdang Tsingrangba amüi tsü müdhere ko yudsire.
1JN.4.16	Tsingrangba tsü amüi, sü amüi la liro abi Tsingrangba chah lire ko Tsingrangba abi chah lire. 
1JN.4.17	Yukha Nyümong la Ihsa mixüpsohnung nengdang amüi tsü Ihsa chah apisa kangsohre; ko Ihsanü hütsü ngunung tunüo hiba limih la Ihsa akang tsü Khrista kyo lile. 
1JN.4.18	Amüi la adrü müle, ta apisa amüinü adrü iipehre. Tunüo adrüba tsü akhingchi, ko sünü drüro, abi amüi la apisaba mükange.
1JN.4.19	Tsingrangbanü akhu Ihsa müichonü Ihsanü abi müire. 
1JN.4.20	Khürünü Tsingrangba müirepü yokhang, ta ajünirü thrünyikhang, abi arahkhehrüe. Tunüo abinü nahnü nguba ajünirü mümüikhang, nahnü münguba Tsingrangba abinü mümüicheh. 
1JN.4.21	Khristanü Ihsa khyang yuzeng jüba tsü hi: Sünü Tsingrangba müiro abinü ajünirüsü müibae.
1JN.5.1	Sünü Jisu tsü Mesiaepü yudsiro abi Tsingrangba tsurü lile; ko sünü Au müiro abinü Atsurüsü müire. 
1JN.5.2	Ihsanü Tsingrangba tsurüti müirepü müdheba tsü: Tsingrangba müiba ko ayuzeng bichicho khunü müdhere. 
1JN.5.3	Tunüo Ihsanü Tsingrangba müireba tsü abi yuzeng bichicho du tsü lile. Ko abi yuzengti tsü Ihsa nengdang dee amülinglü mah, 
1JN.5.4	tunüo Tsingrangba tsurü müipinü limih kohnung kohle. Ko Ihsanü Ihsa yudsi khunü limih chah akoh tsü ngure. 
1JN.5.5	Sünü limih kohchehnung kohro? Jisu tsü Tsingrangba Tsurüepü sünü yudsiro abi dunü kohchehnung.
1JN.5.6	Jisu Khrista tsü kih ko ashüh la rocho; abi kih la du mah, ta kih ko ashüh la rocho. Ko anbü apu tsü yuzi, tunüo anbü tsü yuje. 
1JN.5.7	Yuzi asang lile: 
1JN.5.8	Anbü, Kih ko Ashüh; ko asangdingnü yuzi sako jüre. 
1JN.5.9	Ihsanü nyitsarü yuzisü yudsire; ta Tsingrangba yuzi tsü alaa amülinguba, ko abinü yuzi hi Atsudhre nengdang jücho. 
1JN.5.10	Hütsünü sünü Tsingrangba Tsurü chah yudsiro abi lasih la hiba yuzi hi lile; ta sünü Tsingrangba chah müyudsiro, abinü abi arahkhehrü kangjüre; tunüo Tsingrangbanü Atsudhre nengdang tu yocho abinü hütsü yumüdsi. 
1JN.5.11	Yuzi tsü hi: Tsingrangbanü Ihsa khyang müchangkaba akang jüko, ko hiba akang tsü Atsudhre chah lile. 
1JN.5.12	Sü chah Atsudhre tsü liro abi chah akang tsü lile; sü chah Atsudhre tsü müliro abi akang tsü müle.
1JN.5.13	Nührü Tsingrangba Tsurü chah yudsirüti, nührü müchangkaba akang lilepü müdhenung nengdang, Ihnü nührü yanglang hi thrahre. 
1JN.5.14	Abinü lümcho la Ihsanü lango chingkhang abinü nyirepü tsüpchonü Tsingrangba jingte Ihsa longlangre. 
1JN.5.15	Khodederü Ihsanü abi te tsingdhengnang abinü Ihsa te nyire; ko hi yuje-epü Ihsanü müdhechonü, Ihsanü abi te tu chingnang abinü jürepü Ihsanü müdhele.
1JN.5.16	Nü jünirü khüdunü sünung lengnü mahpü amünyi bichi ngukhang, nühnü Tsingrangba sünü abi khyang akang jünung abi te dangkhidangnangjüng. Hiba hi asünung müthsaba amünyi nengdang du lile.Ta asünung amünyi khüdu lile, hütsü nengdang dangkhidangnangjüng pü Ihnü müyore. 
1JN.5.17	Thsamehcho apüm tsü amünyi; ta asünung müthsaba amünyi khüdu lile.
1JN.5.18	Tsingrangba tsurünülü amünyi mübichirepü Ihsanü müdhele, tunüo Tsingrangba Tsurünü abi khümcho yohpüre, ko münyirünü abi thsakehjünung mükoh.
1JN.5.19	Limih apüm amünyi yangthsathsaba pohki linye, Ihsalü Tsingrangba yo lilepü Ihsanü müdhele.
1JN.5.20	Tsingrangba Tsurü ronü, Ihsa khyang yuje Tsingrangba müdhenung anyichehba jüchoepü Ihsanü müdhele. Ihsa yuje Tsingrangba chah ko Atsudhre Jisu chah lire. Hiba hi yuje Tsingrang ko müchangkaba akang.
1JN.5.21	I tsurüti, arahkheh tsingrangti tenü nührü jangjang za lieng!
2JN.1.1	Aziba chahnü—
2JN.1.1	Amüiba tsadila ko atsurüti, Ihnü dee müthsümbarü yang. Ko I mülengnü mah, ta sürünü yuje müdhero arüh atümungnü nüh müire, 
2JN.1.2	tunüo yuje tsü Ihsa chah lile ko Ihsa chah lede linung.
2JN.1.3	Au Tsingrang ko Jisu Khrista chahnü achomang, yanglilüm ko atbachi tsü yuje ko amüi la Ihsa te lisohng.
2JN.1.4	Aunü Ihsa khyang yuzi jücho roh-i, nü tsurü khürü yuje la licho ngu Ih dee künyangre. 
2JN.1.5	 Hütsüeko Ihnü nü te tsingdhengre, amüi tsadila: Ihsa atümung khüdunü khüdu te müitanung. Ihnü nü yanglang yuzeng asi thrahrü mah; ta hiba hi adikeh lanü licho yuzeng khüdu due. 
2JN.1.6	Ihnü choba amüi tsü Tsingrangba yuzeng te ayocho nyi linung nengdang lile. Ko nührünü adikeh lanü yuchiba yuzeng tsü hi: Nührü atümung müita lieng.
2JN.1.7	Jisu Khrista tsü shutsa la müro pü yorü limih la khütango chüroko. Hitari nyitsarü tsü kihyochüjürü ko Khrista arorüh lile. 
2JN.1.8	Nührü nengdang ihrünü tu nguchicho hütsü müchangnung, ta nührü ajingcho ngunung nengdang, nührünü müzahmükieng.
2JN.1.9	Sünü Khrista adoba la mülipü alaa tsiro, abi chah Tsingrangba müle; sü adoba la liro, abi chah Au ko Atsudhre anyüding lile. 
2JN.1.10	Hütsüeko, khürü nü yanglang hiba adoba mülipü rokhang, nührü kuhla abi tünüyoh; “Salüm” mii tüthsa. 
2JN.1.11	Sünü abi te salüm thsaro abisü amünyi nguchi la nohlüm khyüre.
2JN.1.12	Nü te ayonung yu adrong lile, ta Ihnü thrahva ko ngakinü müthrahnung, hütsümüli nü yanglang ro Ihjübünyü shirüta chotanung Ihnü longdire, hütsüpü du Ihsa akünyang kükyünung.
2JN.1.13	Nühnü müiba jünilarü tsurütinü salüm müdhesohre.
3JN.1.1	Aziba chahnü— 
3JN.1.1	Ihnü yuje müiba amüi Kaius yanglang:
3JN.1.2	Amüi shangrü, nüh anbü la tsa licho kyo nü fü ko lüpcho tsayeng linung nengdang Ihnü dangkhidangnangjüre. 
3JN.1.3	Khristan jünirü khürü ronü nüh lede yuje la licho roh-i, yuje nengdang nüh longlangchehba khüduepü yode, Ih künyangsecho. 
3JN.1.4	I tsurüti yuje la licho yuchicho tenü tu apanü Ih mükünyangchehsoh.
3JN.1.5	Amüi shangrü, nühnü khristan jünirüti arüh nyühsi thsanye, arüh nengdang nguchicho tsü khura longlangre. 
3JN.1.6	Arühnü hila Lithro te nü amüi nengdang yuzi jüko. Arühnü lang khüdu la dusü Tsingrangba künyangnung lang la mütozah shitsehnungthsa nühnü arüh troung. 
3JN.1.7	Tunüo arühnü Khrista nengdangnü müyudsirü chahnü tusü mükhyüpü shemüsuko. 
3JN.1.8	Hütsünü, Ihsa khristantinü yuje nengdang arüh nguchi la tronungthsa hitari nyitsarü tronungbae.
3JN.1.9	Ihnü Lithro yang vathrah akhikyah thrahko: Ta Diotrefes, sünü arüh anüchiba kangnyüro, abinü Ihnü yocho seh münyire. 
3JN.1.10	Hütsüeko Ih khode ronang, abinü nguchicho, Ihsa nengdang adrünung chocho, ko abinü arahkheh chocho apüm Ihnü nührü te yonung. Hütsü du mah, ta abinü khristan jünirüti rode mükhyüchore, ko sürünü arüh khyüchonyüro arühsü yatire ko Lithro lanü iipehnung müküpre!
3JN.1.11	Amüi shangrü, amütsa tüithsa, ta atsa iithsang. Sünü atsa nguchiro abi Tsingrangba yo; sünü amütsa nguchiro abinü Tsingrangba müngu.
3JN.1.12	Atümungnü Demetrius tsacho chore; yuje tsünüsü yuzi jüre. Ihrünüsü yuzi jüre, ko Ihrünü tu yoro hütsü yuje-epü nührünü müdhele.
3JN.1.13	Nü te ayonung yu adrong lile, ta Ihnü pen ko ngakinü müthrahnyüre. 
3JN.1.14	Ihnü zah nü te shirütanung longdire, hütsüde du Ihjübünyü chotanung.
3JN.1.15	Nü te atbachi thsaang.
3JN.1.15	Shangrü atümungnü salüm müdhesohre. Ihsa shangrüti atümung te salüm young.
JUD.1.1	 Jisu Khrista dikehrü ko Jakob ani Juda chahnü—
JUD.1.1	Sürü Tsingrangbanü dsicho, sürü Au Tsingrang amüi la liro ko Jisu Khrista atsungtiba la liro arüh yang:
JUD.1.2	Achomang, atbachi ko amüi nührü te bholo lieng.
JUD.1.3	Amüi shangrüti, Ihsa aroh akangcheh amüsarü khyang Tsingrangbanü lede nengdang khüdupi jüba, khüi yudsi shulüm müküpnung dhengcheh nührü yang akohchonü dhsüthsa thrahnyücho. 
JUD.1.4	Tunüo Tsingrangba müyudsirü nyitsarü khürü, sürünü arüh amümüsa akang langjüsohnung nengdang Ihsa Tsingrangba achomang yudsi chümbhisohro, ko sürünü Ihsa adorü Abüdongba Jisu Khrista mükhyüchoro, arüh Ihsa yola rang züro lile. Arüh mülang nguba tsü papadenü Amüsa yunü münguchehpehko.
JUD.1.5	Tunüo nührünü hi atümung müdhenye, Ihnü nührü te Abüdongbanü khüta Israelrü khüdupi Ijip lih lanü khümchocho; ta akhanglang arühnü müyudsichonü arüh changjücho, hütsü nengdang Ihnü nührü khyang lümchehsohnyüre. 
JUD.1.6	Ninglang riwürüti sürünü palu azengzah tase pohki mülipü arüh liji pehjücho; arüh tsü apohki amarürah la achangka müliba ixilihnü rah lile, hütsüba nyümong amülah khüi la arüh mülangjünung hütsüba nengdang Tsingrangbanü arüh yohpülepü lümchehng. 
JUD.1.7	 Sodom ko Gomora ko hütsüba mükang liba yangditi lümchehng, sürünü hütsüri ninglang riwürüti roh-i nguchicho ko mabomashicho ko ayah chah mükehcho mükhyahmürah atümung nengdang adüzü thsanung müchangkaba michang la arüh khingchinung.
JUD.1.8	Hütsüroh-i du, hiri nyitsarünü münguchehnü arühbürü fü nyümnü amünyi shitpahre; arühnü Tsingrangba tase müchümükehre ko amunglang kehba ahechiti mükhimüngure. 
JUD.1.9	 Riwürü ayingba Maikalnü mii hiroh-i münguchi. Abinü Motsing te Mosa fü khyünung nengdang khatade, Maikelnü Motsing mükhimüngu yu yonung müsi mümülahcho, ta hiroh-i yocho, “Abüdongbanü nüh khataang!” 
JUD.1.10	Ta hiri nyitsarü arühbürünüsü münyichehpü kanglungrü roh-i ayah dunü nyichehpü masü mükhimüngure, hiri tsünü arüh changsohre. 
JUD.1.11	 Arüh ahohah! Arühnü Kain khanglang iiwücho. Tunüo thsi ngang Balamnü thsamehcho mülang la arühnü iiwücho, ko Koranü nyümchola arüh changko. 
JUD.1.12	Arüh ashahmükeh müramüro tsü nührü amüi thsüti la lapha kyole. Müring müdrüpü abürü shulüm du lümre. Kih müzehpü nyübongnü fotsiba nyükhi, tsingkang la asih müsih anyüpi süba, aranü rohchehcho singdong. 
JUD.1.13	Arüh ashahmükeh nguchiti tsü adrünung kihdi kilohnü müjümüphi chürosohba tsü kyole. Arüh tsü arümchiba chenghiti kyole, sürü nengdang Tsingrangbanü asoh-uba amarürah la lede nengdang müdüm khüdu yohpüro hütsü kyole.
JUD.1.14	 Hiba tsü Adam chahnü trahchocho adhüroh-uba Enok, sünü akhulangnü arüh nengdang hi choyohcho: “Abüdongba tsü abi amüsarü riwürüti hajar adrong yola 
JUD.1.15	atümung nengdang yukhanung, arühnü amütsa nguchicho apüm mülang jünung ronung!”
JUD.1.16	Nyitsarü hiri lede jümjümre ko aparü mülangjüre; mükhyahmürahre, müthsehmülare ko arüh ajingcho ngunung arahkheh la aparü kihsehre.
JUD.1.17	Ta shangrüti, atsicho la nührü te Abüdongba Jisu Khrista riwürütinü tu yocho hütsü lümchehng. 
JUD.1.18	 Arühnü nührü te yocho, “Achangka nyümong la nührü müthsamünyürü ko palu mürucho amünyi lang la rachirü chüronung.” 
JUD.1.19	Hiri hi anbü müliba shutsa müruba la li achangnah chürosohrüti lile. 
JUD.1.20	Ta nührü I shangrüti, nührü amüsacheh nguchi tsü nührü jangjangthsa külüpkehng. Anbü Amüsa zii la dangkhidangnang, 
JUD.1.21	ko Ihsa Abüdongba Jisu Khrista achomang la nü khyang müchangkaba akang jüsohnung ying lide, nührü jangjang Tsingrangba amüi la lieng.
JUD.1.22	Tütohnyünyehrü te achomang ngusohng; 
JUD.1.23	aparü mihmüle lanü tphahcheh khümchoung; ko aparü te dronü achomang ngusohng, ta arüh mükhyahmürunü münyicho jengkilü thrünyieng.
JUD.1.24	Sünü nührü müngahsehsohnung kohro, ko nührü achomükehpü akünyangnü abi ahechi la yohpünung kohro, 
JUD.1.25	Ihsa Abüdongba Jisu Khrista khu Ihsa Kangchehjüba Tsingrangba khyang du atsicho shang apüm lanü, ko lede müchangkapü ahechi, adhichi, akoh ko tase thsaang. Amen.
REV.1.1	Hiba vakha hi Jisu Khrista mishacho nengdang thrahcho lile. Tu zah tikehnung liro hütsü abi dikehrüti te müdhesohnung Tsingrangbanü hi mishacho. Jisu Khristanü apu ninglang riwürü müthehnü hirihi abi dikehrü Johan te müdhesohcho, 
REV.1.2	ko Johan-nü abinü ngucho apüm yocho. Tsingrangba chahnü yusi ko Jisu Khristanü mishacho yuje nengdang abi yudsi tsü hi thsacho. 
REV.1.3	Vakha hi sünü khiro, choyoh yu hi sünü yuchiro ko hütsüla thrah zehcho bichiro arüh amüwa thsaang! Tunüo hiri apüm tikehnung bekhyah amünyethsa lile.
REV.1.4	 Johan chahnü Asia lih la liba Lithro dhünyeh yanglang:
REV.1.4	Tsingrangba sü liro, sü licho, ko sü aronung liro, abi chahnü ko Yangthsaba pümji bete yaba anbü dhünyeh chahnü, 
REV.1.5	 ko Jisu Khrista sü longlangchehba yuzi aukhuba, asücho lanü kanglibong ko yangthsarüti michah yangthsabong, abi chahnü achomang ko atbachi nührü te lieng.
REV.1.5	Abinü Ihsa müire ko abi sücho khu Ihsa münyi lanü lehchehko 
REV.1.6	 ko abi Tsingrang ko Au dikehsohnung abinü Ihsa bebürüti yanglih khüdu külüpjüko. Jisu Khrista te müchangkapü ahechi ko zii thsaang! Amen.
REV.1.7	 Dheng, abi nyükhi michah role! Nyitsarü müipinü ko abi chah thrarü nüsü abi ngunung. Liküpnü abi me tranung. Hütsüta tikehnung!
REV.1.8	 “Abüdongba Akohbong Tsingrang sü liro, sü licho ko sü aronung liro abinü yore, Ih Alfa ko Omega.”
REV.1.9	Ih Johan, nührü jünirü, ko Jisu mono khüdu roh-i abi yanglih nyitsarüti yang roba chongcha rangchoba la trümtarü khüdu. Ihnü Tsingrangba yu ko Jisunü mishaba yuje nengdang sobhocho ngang Ih Patmos mütro la pehcho. 
REV.1.10	Abüdongba nyümong la tsü Ih Anbünü jengcho ko rühti yuva kyo I khanglangnü chotacho yuva amülah khüdu Ihnü yuchicho. 
REV.1.11	Yuva tsünü yocho, “Nühnü tu nguro hütsü thrahng ko Efesia, Smerna, Pergamum, Thiatira, Sardis, Filadelfia, ko Laodicea hiri yangdi Lithro dhünyeh yang mühehng.”
REV.1.12	Hütsüde I te chotaba tsü dhengnung Ihnü ximülacho, ko Ihnü hon dsi müdongsing dhünyeh ngucho, 
REV.1.13	 ko arüh yola nyitsarü kyo khüdu bongri-fükhüm khümpü, ko hon-nü adreng dsipü ngucho. 
REV.1.14	 Abi kuva shunbüh mahkhang shurü roh-i athru, ko abi nahtse mihmüle kyocho; 
REV.1.15	 Ajing imüyeng riri sehcho kyo, ko abi sahkoh tsü kihsasa yuva kyo khongcho. 
REV.1.16	Abi kheh tsalang chenghi dhünyeh bicho ko abi be lanü anyülangpü noh khüdu chürocho. Abi romih tsü nyüthung nyü kyo visacho. 
REV.1.17	 Ihnü abi ngude, ajingte Ih asücho kang khülucho. Abinü I chah akheh tsalangnü nyümkeh yocho, “Tüdrü! Ih adikeh ko achangka.” 
REV.1.18	Ih akang libong! Ih sücho, ta ade lede nengdang akang lile. Asüba ko asürü limih azihsing I khehla lile. 
REV.1.19	Hütsüeko, nühnü tu ngucho, ade liba ko akhanglang tikehnungti anyüding nengdang thrahng. 
REV.1.20	Nühnü I kheh tsalang chenghi dhünyeh ko hon dsi müdongsing dhünyeh nguba adüzü tsü hi lile: Chenghi dhünyeh tsü Lithro dhünyeh riwürüti ko dsi müdongsing dhünyeh tsü Lithro dhünyeh.
REV.2.1	“Efesia la Lithro riwürü yang thrahng:
REV.2.1	“Akheh tsalang chenghi dhünyeh bibong ko hon dsi müdongsing dhünyeh yola tsehchibong chahnü yusi tsü hi lile. 
REV.2.2	Ihnü nü nguchi müdhele; nühnü khütoh-i müküp nguchicho ko rangchocho Ihnü müdhele. Nühnü münyirü te mürangchore ko riwürü mahko khüli riwürüepü yorü thsatsodhengnü arüh arahkhehrüepü rangchehcho Ihnü müdhele. 
REV.2.3	Nüh arangcho, nühnü I khyanglangnü chongchako, ko nüh mükyah. 
REV.2.4	Ta Ihnü hi nengdang nüh nyümre: Nühnü akhudi roh-i Ih mümüi. 
REV.2.5	Hütsüeko nüh khüdoi shu shehlicho lümdheng! Ko lasih thsamüla akhudi nguchiti tsü nguching. Nü lasih müthsamülakhang, Ih nüh yang ronung ko nü dsimüdongsing khyümüinung. 
REV.2.6	Ta Ihnü thrünyicho kyo Nikolasrü thrünyiba nü chah atsa khüdu kehle.
REV.2.7	 “Lithroti te Anbünü tu yoro, nührü nangku kehkhang nyieng!
REV.2.7	“Akohrüti khyang Ihnü Tsingrangba Tbü la sihba akang singdong sih tsusohnung.
REV.2.8	 “Smerna la Lithro riwürü yang thrahng:
REV.2.8	“Adikeh ko achangka, sü sücho ko akang liro, abi chahnü yusi tsü hi lile. 
REV.2.9	Ihnü nü chongcha ko iilümcho müdhele, ta yuje nüh alirü lile! Jihudarüepü arahkheh dsibarünü nüh nyüm chocho Ihnü müdhele; arüh motsing shangrüti lile! 
REV.2.10	Thsükehnung liba chongcha nengdang tu tüdrü, Dheng! nührü thsatsünung nengdang motsingnü khürü arangyoh la rangyohnung ko nührü chongcha tsü nyümong dhüre nengdang linung. Asü chii rangchoung, ko Ihnü nührü khyang akang kuthri jünung.
REV.2.11	 “Lithroti te Anbünü tu yoro, nührü nangku kehkhang nyieng!
REV.2.11	“Akohrütilü anyüuba asübanü mükhingchinung.
REV.2.12	“Pergamum la Lithro riwürü yang thrahng:
REV.2.12	“Anyülangpü noh bibong chahnü yusi tsü hi lile. 
REV.2.13	Satan yangthsaba pümji khüdenü, liro hütsü Ihnü müdhele. Nüh I te yuje cho lile, ko motsing lichah Ih longlangcheh yuzithsarü Antipas mapsehba chichahsü nühnü I chah nü yudsi müthrüchahchüpeh. 
REV.2.14	 Ta nüh nyüm yu khürü lile: Balaam, sünü kyothri mübücho tsuyongba Israelrü khyang tsusoh ko mabomashi nguchisoh amünyi shitpahsohnung Balak te docho abi adoba khanglang iiwürü khürü nührü yola zehle. 
REV.2.15	Hütsü kyo nührü yola Nikolasrü adoba khanglang würü khürü zehle. 
REV.2.16	Ade nührü lasih thsamülang! Mahkhang, Ih nührü yang zah ronung ko I be lanü chüroba nohshengnü hütsüri nyitsarü nyüm khatanung.
REV.2.17	 “Lithroti te Anbünü tu yoro, nührü nangku kehkhang nyieng!
REV.2.17	“Akohrüti khyang Ihnü rang liba manna jünung. Adesü Ihnü arüh müipi khyang akhyüchorü chah khu sünüsü mümüdheba lung athru aneng asi thrahkehpü jünung.
REV.2.18	“Thiatira la Lithro riwürü yang thrahng:
REV.2.18	“Tsingrangba Tsurü, sü nahtse mihmüle kyo ko sü jing asehcho imüyeng kyo ririro, abi chahnü yusi tsü hi lile. 
REV.2.19	Nü nguchi Ihnü müdhele. Ihnü nü müi, longlangchehba, dikehba, arangcho, ko akhudi tenü nühnü ade alaa nguchirepü müdhele. 
REV.2.20	 Ta hi nengdang Ih nüh nyüm lile: Khingkurü Jezebel, sünü abükyü Tsingrangba riwülarüepü dsiro, abükyü te nühnü rangchore. Abükyü adobanü I dikehrüti nahtrahnaxengsoh ko kyothri khyang mübücho tsuyongba tsusoh nümülare. 
REV.2.21	Lasih thsamülasohnung abükyü khyang bekhyah jüko, ta mabomashi lanü abükyünü lasih müthsamülanyüre. 
REV.2.22	Hütsünü chongnong khüdu chah Ihnü abükyü khülusohnung ko hütsüla abükyü ko abükyü te nahtrahnaxengrü khütang chongchanung. 
REV.2.23	 Abükyü khanglang iiwürüsü atümung Ihnü kyüsehnung, hütsüpü du lithroti apümnü nyitsarü müipi lümcho müdhebong tsü Ih-epü müdhenung. Ihnü nührü nyitsarü müipi khyang palu nguchi aleng jünung.
REV.2.24	“Ta Thiatira la nührü anyingchoti nülü hiba amünyi adoba mü-iiwü; bürünü ‘Motsing asoh lümlong’ pü dsiba tsü nührünü münyicho. Nührü khyang bhamüling alaa müjünung Ihnü nührü te yore. 
REV.2.25	Ta Ih müro yingcheh nührü tu liro hütsü yümpung. 
REV.2.26	Akohrüti sürünü achangchi I lümcho nguchiro, arüh khyang Ihnü I U chahnü khyüchoba tase tsü jünung. 
REV.2.27	Yuchoti michah idhse janü yangthsa thsanung ko alihfüh roh-i zangzang kengnahnung Ihnü arüh khyang tase jünung. 
REV.2.28	 Ihnü arüh khyang anyangnyü pütisü jünung.
REV.2.29	“Lithroti te Anbünü tu yoro, nührü nangku kehkhang nyieng!
REV.3.1	“Sardis la Lithro riwürü yang thrahng:
REV.3.1	“Tsingrangba Anbü dhünyeh ko chenghi dhünyeh libong chahnü yusi tsü hi lile. Nü nguchi Ihnü müdhele; aneng du nüh akang, ta nüh asücho lile. 
REV.3.2	Hütsüeko jesung, ko nü liba tsü mütrühchode rezehsohng. Tunüo I Tsingrang jingte nü nguchi dekheng müngu. 
REV.3.3	Hütsüeko nü te khüta docho, ko nühnü tu nyisicho hütsü lümchehng; hütsü bichieng ko lasih thsamülang. Nührü müjesukhang Ih nüh yang aführü khüdu roh-i ronung, ko Ih khode ronungnang nühnü bekhyah tsü mümüdhenung. 
REV.3.4	Ta Sardis la lirü nührü khürünü nührü jengki müsa yohpüko. Nührünü jengki athru khyüpü I yola tsehnung, tunüo nührü adekheng. 
REV.3.5	Sürünü kohro hi kyo athru khyünung ko akang vakha lanü Ihnü arüh neng münipehnung, I U ko abi riwürüti bete arüh I yoepü Ihnü misha nyengchonung. 
REV.3.6	“Lithroti te Anbünü tu yoro, nührü nangku kehkhang nyieng
REV.3.7	“Filadelfia la Lithro riwürü yang thrahng: 
REV.3.7	“Amüsa ko yujebong chahnü yusi tsü hi lile. Abi khehla David yo azihsing zehle, ko khode abinü kukhang khüdu khangthrunang, sünüsü hütsü mükhangticheh, ko khode abinü hütsü khangtinang, sünüsü hütsü mükhangthruchehre. 
REV.3.8	Nü nguchi Ihnü müdhele; nü tase aikyah lilepü Ihnü müdhele; nühnü I adoba bichinü I te yuje cho licho. Sünüsü mükhangtichehnungthsa Ihnü nü bete kukhang khüdu khangthrujo lile. 
REV.3.9	Dheng! Motsing yoti nengdang, sürünü arahkheh arüh Jihudarüepü yoro, Ihnü arüh rosohnung ko nü jingte mükhukehsohnung. Ihnü nüh müilepü arüh atümungnü müdhenung. 
REV.3.10	Nühnü I yu nyi rangchochonü, limih chah nyitsarüti thsatsünung lihküp la ronung liba chongcha lanü Ihnüsü nüh khümcho yohpünung. 
REV.3.11	Ih zah rore. Nü akoh kuthri sünüsü mükengchonungthsa, nüh tu liro hütsü khahkhah yümpung. 
REV.3.12	 Sünü kohro abinü I Tsingrang kuhla Ihnü dongdi khüdu kangsohnung, ko hütsüla tsünü abi khodesü müshehnung. Ihnü abi chah I Tsingrang neng ko asi Jerusalem I Tsingrang yangdi neng khüiba I Tsingrang chahnü ninglangnü jüronung, hütsü thrahnung. Ihnü abi chah I neng asi sü thrahnung.
REV.3.13	“Lithroti te Anbünü tu yoro, nührü nangku kehkhang nyieng!
REV.3.14	“Laodicea la Lithro riwürü yang thrahng: 
REV.3.14	“Amen, sü longlangcheh ko yuje yuzi, sü Tsingrangbanü thricho yola ayingba liro abi chahnü yusi tsü hi lile. 
REV.3.15	Nü nguchi Ihnü müdhele; nüh adhsasü mah arühsü mah. Nüh khüdu mahkhang khüdu thsasohnyüre! 
REV.3.16	Nüh adhsasü mah arühsü mah, ta mülushüsheh thsachonü, Ihnü nüh I be lanü mülüpehnung! 
REV.3.17	‘Ih alirü, kükyüko, ko tunü mümüdsi pü nühnü yore’ Ta nüh khütoh-i aroto ko amüinung akangnang nühnü mümüdhe! Nüh ailümrü, tbhüdeng ko anatoh lile. 
REV.3.18	Hütsünü nüh alirü kangnung nengdang amüthseng hon I chahnü lihnung thsüchire. Nüh tbhüdeng ko ashahkhyü lanü lüptinung nengdang athru shü lihng. Nühnü ngunung nengdang nü nahtse la amüyühnung moisü lihng. 
REV.3.19	Khüdoi te Ihnü müiro arüh te Ihnü yübüre, ko khingchire. Hütsüeko nühnü longphi lasih thsamülang. 
REV.3.20	Dheng! Ih Kukhang te yapü hamchire; khürünü I yuva yuchi kukhang khangthrujükhang, Ih abi kuhla züdunung, ko abi yola tsuyongnung ko abi I yola tsuyongnung. 
