GEN.1.1	Ndee jaxtnañuꞌu ja ni junkoo ñuyiu, ni saꞌa ia Dios andivi jin ñuyiu. 
JHN.15.25	Te saa kokuu nagua ja skunkuu tnoꞌo yoso nuu tutu Ley ia Dios ja ka nevaꞌi nuu kaꞌan suaꞌa:
JHN.15.25	Ni ka kaꞌan uꞌu ñai jin rin, visi tu na kuechi rin
JHN.15.25	kachi tutu ii.
JHN.15.26	’Su nuu na kenta ia chindee chituu ña ja tetniuu san ya ndee nuu Tata san, te ndakani ya tnoꞌo ja jaꞌa san. Te suu ya kuu Espíritu maa ia Dios ja kaxtnoꞌo ya tnoꞌo ndaa ja vaji nuu maa Tata Dios. 
JHN.15.27	Te suni maa ni, chi vi ndakani ni tnoꞌo ja jaꞌa san, chi siun ni ka oo ni jin san ndee jaxtnañuꞌu nuu ni jinkondee san kaxtnoꞌo san nuu ñayiu.
JHN.16.1	’Tnoꞌo yaꞌa ni kaꞌan san, nagua ja ma vi ndayuꞌu ni nuu na kii tnundoꞌo. 
JHN.16.2	Chi vi skunu ña jin ni nuu veꞌe ii sinagoga. Te kenta kiuu ja nani kuu ñayiu ja vi kaꞌni ña jin ni, vi ndakani ini ja tniuu guaꞌa ka saꞌi nuu ia Dios. 
JHN.16.3	Te saa vi saꞌi, chi tu ka jini saꞌuin Tata Dios, te ni tu ka jini ñai jin san. 
JHN.16.4	Te ja ni kaꞌan san tnoꞌo yaꞌa nagua ja nuu na kenta maa kiuu yun, te vi ndakaꞌan ni ja ja ni kaꞌan san.
JHN.16.4	’Tu ni kaꞌan san tnoꞌo yaꞌa ndee jaxtnañuꞌu, chi ni oo maa san jin in in ni. 
JHN.16.5	Su vitna te noꞌo san ja koo san jin ia ni tetniuu ña jin san ja vaji san. Te ni in maa ni, tu ndee ni jikan tnoꞌo ña jin san: “¿Ndenu kiꞌin ni?” 
JHN.16.6	Chi saa suaꞌa ni ka kusuchi ndevaꞌa ini ni, ja ni kaꞌan san tnoꞌo yaꞌa. 
JHN.16.7	Su sein, chi kaꞌan ndaa ndija san ja javaꞌa maa ni kuu ja noꞌo san. Chi nuu ja ma noꞌo san, te ma kii ia chindee chituu ña ja koo ya jin in in ni. Su nuu ja noꞌo san, te tetniuu san ya kii ya ja koo ya jin in in ni. 
JHN.16.8	Nuu na kenta ya, te xneꞌe kaji ya nuu ñayiu ñuyiu ja ñayiu ka oo yika kuechi ka kui, te suni xneꞌe ya ja oo in ichi ndaa ja kiꞌinkuei, vi xneꞌe ya ja kaꞌnde ndaa ia Dios yika kuechi ñayiu. 
JHN.16.9	Chi xneꞌe ya ja ka oo yika kuechi, chi tu ka kandija ñai jin san. 
JHN.16.10	Te suni xneꞌe ya ja vi kuni mai ndee ja kuu ichi ndaa, chi noꞌo san nuu oo Tata san, te ma vi kuni uun ka ña ni jin san. 
JHN.16.11	Te suni xneꞌe ya ja vi kuni mai, ja saꞌa ndaa ia Dios kuechi, chi ja ni xtau tniaꞌa ya jakueꞌe ja tatnuni nuu ñuyiu yaꞌa ja tniuyaꞌu jakueꞌe saꞌa.
JHN.16.12	’Te oo kuaꞌa ka tnoꞌo ja kuini san kaꞌan san, su ma vi kundee ini ni ja vi konini ni vitna. 
JHN.16.13	Su nuu na kenta maa Espíritu ja xneꞌe ya tnoꞌo ndaa, te suu maa ya kondeka ña ndiꞌi ichi ndaa, chi ma kaꞌan ya nagua kuini maa ya, chi suaꞌa kaꞌan ya ndiꞌi tnoꞌo ja nini ya kaꞌan ia Dios, te kaxtnoꞌo ya naxa kaa ja kokuu nuu kuee ka. 
JHN.16.14	Te saꞌa kaꞌnu ña ya jin san, chi niꞌi ya tnoꞌo maa ia Dios ja vaji nuu san, te ndakaxtnoꞌo ya nuu in in ni. 
JHN.16.15	Chi ndiꞌi nagua nevaꞌa Tata san kuu kuenta maa san, te yun guaa ni kaꞌan san ja niꞌi Espíritu tnoꞌo ia Dios ja vaji nuu san, te kaxtnoꞌo ya nuu in in ni. 
JHN.16.16	Chi joo ni ka, te ma vi kuni ka ña ni jin san, te suni joo ni ka, te vi ndakuni tuku ña ni, chi noꞌo san ndee nuu oo Tata san ―jiñaꞌa ya.
JHN.16.17	Yun te ni ka jikan tnoꞌo tnaꞌa sava tee ka skuaꞌa jin ya:
JHN.16.17	―¿Naxa kei tnoꞌo yaꞌa ja kaꞌan ya ja joo ni ka, te ma vi kuni kao ya, te suni joo ni ka, te vi ndakuni tukuo ya? ¿Te na tnoꞌo kuu ja noꞌo ya ndee nuu oo tata ya? 
JHN.16.18	¿Na tnoꞌo kuu tnoꞌo kaꞌan ya “ja joo ni ka”? Tu ka junkuiꞌnu saꞌun inio na tnoꞌo kuu ja kaꞌan ya siun ―ka kachi de.
JHN.16.19	Yun te ni jini Jesús ja ka kuini de vi kakan tnoꞌo ña de, te jiñaꞌa ya:
JHN.16.19	―¿A ka jikan tnoꞌo tnaꞌa ni siki tnoꞌo ni kaꞌan san: “Ja joo ni ka, te ma vi kuni ka ña ni jin san, te suni joo ni ka, te vi ndakuni tuku ña ni”? 
JHN.16.20	Chi kaꞌan ndandaa ndija san ja maa ni, chi vi ndaꞌi ni, te vi kokusuchi ini ni, su ndia ñayiu ñuyiu, chi vi kokusii ini. Su visi ka kusuchi ini ni, su tnoꞌo suchi ini yun ndasama jin ja vi kokusii ini ni. 
JHN.16.21	Chi nuu kuyatni ja kaku lulu in ñasiꞌi, jatu chii ña, chi ni jino ore ja kaku lulu ña. Su nuu ja ni kaku suchi yikin yun, te ni tu ka naꞌa ña ja ni jatu ni janiꞌni ña, chi saa suaꞌa kusii ini ña ja ni kaku in seꞌe ña ñuyiu yaꞌa. 
JHN.16.22	Te suni saa ni ka ndoꞌo maa ni vitna, chi ka kusuchi ini ni, su nuu ndajiokuiin san ndikoto ña san, te vi ndusii ndevaꞌa ini ni, te ni in ñayiu ma kindee ja vi kokusii ini ni. 
JHN.16.23	Te kiuu yun, tu saꞌun ka nagua vi kokakan tnoꞌo ña ni jin san. Te kaꞌan ndandaa ndija san ja ndiꞌi nagua ka jikan ni jin sivi san nuu Tata san, te taa ya. 
JHN.16.24	Chi guaa ndee vitna tu nagua ka jikan saꞌun ni nuu Tata san jin sivi san. Su vitna te vi kejaꞌa ni vi kakan ni, te vi niꞌi ni nagua ja saa, te vi kokusii ndevaꞌa ini ni.
JHN.16.25	Te jiñaꞌa tuku Jesús:
JHN.16.25	―Ni kaꞌan san tnoꞌo yaꞌa jin tnoꞌo jioniꞌni. Su vaji kiuu ja ma kaꞌan ka san tnoꞌo jioniꞌni, chi saa te kaxtnoꞌo kaji kuiti san ja jaꞌa Tata san. 
JHN.16.26	Te kiuu yun, chi vi kakan ni nuu Tata san jin sivi san, te masu nini ka kuu ja kakantaꞌu san nuu Tata san ja jaꞌa in in ni. 
JHN.16.27	Chi kutoo ña maa Tata san jin in in ni. Kutoo ña ya, chi ka kutoo ña maa ni jin san, te ka kandija ni ja guaa ndee nuu maa ia Dios vaji san. 
JHN.16.28	Ni kee san guaa ndee nuu maa Tata san vaji san nuu ñuyiu yaꞌa, te vitna te xndendoo san ñuyiu, te noꞌo tuku san nuu oo Tata san ―jiñaꞌa ya.
JHN.16.29	Yun te ka jiñaꞌa tee ka skuaꞌa jin ya:
JHN.16.29	―Vitna te kaꞌan kaji kuiti ni, te tu kaꞌan jioniꞌni ka ni. 
JHN.16.30	Vitna te ka jinkuiꞌnu ini san ja jini ni ndiꞌi kuiti, te tu jiniuꞌu ni ja na in tee kokakan tnoꞌo ña jin ni. Yun guaa ka kandija san ja vaji ni guaa ndee nuu maa ia Dios ―ka jiñaꞌa de.
JHN.16.31	Te jiñaꞌa Jesús:
JHN.16.31	―¿A ndee vitna te ka kandija ndaa ni? 
JHN.16.32	Te vaji kiuu, su vitna te ja ni kenta kiuu yun, ja vi kutenuu ni ichi mamaa ni, te vi xndendoo maintnoꞌo ni ña ni jin san. Su masu kendoo maintnoꞌo san, chi oo san jin Tata san. 
JHN.16.33	Te ndiꞌi tnoꞌo yaꞌa ni kaꞌan san nagua ja vi koo ni jin jamani ja ni taa san. Chi vi tnaꞌa ni tnundoꞌo nuu ñuyiu, su vi kondee ini ni, chi ja ni kundee san nuu jakueꞌe oo ñuyiu ―jiñaꞌa ya.
JHN.17.1	Te nuu ni ndiꞌi ni kaꞌan Jesús tnoꞌo yaꞌa, te ni ndakondiaꞌa ya ichi andivi, te jiñaꞌa ya:
JHN.17.1	―Tata, ja ni jino kiuu ja tnaꞌa san tnundoꞌo. Saꞌa kaꞌnu ni Seꞌe ni nuu ñayiu nagua ja suni na saꞌa kaꞌnu ña Seꞌe ni jin ni. 
JHN.17.2	Chi ni taa ni tniuu ndiso san nuu ndiꞌi ñayiu, nagua ja ndiꞌi ñayiu ni taa ni nuu san na kuñaꞌa san ja vi kotekui nikuii nikani. 
JHN.17.3	Te ja vi kotekui nikuii nikani kuu nuu vi kuni ñai jin ni, ja maa ni kuu invaa ia Dios ndaa, te suni vi kuni ñai jin san ja kuu san Jesukristu, ia ni tetniuu maa ni. 
JHN.17.4	Ja ni saꞌa kaꞌnu ña san jin ni nuu ñayiu ñuyiu, chi ja ni xndiꞌi san tniuu ni taa ni nuu san ja saꞌa san. 
JHN.17.5	Te vitna, vi Tata, saꞌa kaꞌnu ña ni jin san nuu oo ni, nagua ni ka okuu kaꞌnuo ama ka ja junkoo ñuyiu.
JHN.17.6	’Ni ndakani san naxa oo naxa kaa ni, nuu ñayiu ni kaji ni neꞌu ñayiu ñuyiu. Ñayiu maa ni ka kui, te ni taa ni nuu san, te ni ka jantnoꞌi tnoꞌo ni. 
JHN.17.7	Vitna te ka jini ja ndiꞌi ja ni taa ni nuu san vaji ndee nuu maa ni. 
JHN.17.8	Chi ni ndakani san nui ndiꞌi tnoꞌo ja ni kaꞌan ni nuu san, te ni ka jantaꞌui. Te ni ka jini ndai ja nuu maa ni ni kee ndija san vaji san, te ka kandijai ja maa ni ni tetniuu ña jin san.
JHN.17.9	’Te jikantaꞌu san nuu ni ja jaꞌa mai. Te tu jikantaꞌu san ja jaꞌa ñayiu ñuyiu, chi ja jaꞌa maa ni ñayiu ni ndataa ni nuu san, chi ñayiu maa ni ka kui. 
JHN.17.10	Chi ndiꞌi nagua kuu kuenta san, suni kuenta maa ni kuu. Te nagua kuu kuenta ni, suni kuenta maa san kuu. Te jin maꞌñu sagua mai vi kuni ñayiu ja ia kaꞌnu kuu san. 
JHN.17.11	Sein, chi maa koo ka san nuu ñuyiu, su ñayiu ni taa ni nuu san, chi vi koo ni nuu ñuyiu. Te maa san, chi ja kuu ndajaa san vi koo, vi Tata Dios, ja kuu ni ia vii. Te jin jakaꞌnu maa ni koto ni taka ñayiu ni taa ni nuu san, nagua ja vi inuu kuiti na vi koi, nagua oo maa san jin ni. 
JHN.17.12	Chi nuu ni ka oo san jin nuu ñuyiu yaꞌa, te ni ojito ñukuun san jin, jin jakaꞌnu maa ni. Te ni in ñayiu ni taa ni, tu ni naa ndoñuꞌu, chi maa ni tee niꞌi taꞌu ja junaa, nagua ja skunkuu nagua yoso nuu tutu ii. 
JHN.17.13	Su vitna te ja kuu ndajaa san nuu oo ni, te nini oo ka san nuu ñuyiu, te kaꞌan ka san tnoꞌo yaꞌa, nagua ja na vi kokusii ndevaꞌa ini, nagua kusii ini san. 
JHN.17.14	Te ja ni kaxtnoꞌo san tnoꞌo ni nui, te ni ka skexiko ña ñayiu ñuyiu jin, chi masu ñayiu ñuyiu ka kui. Te suni sein, chi masu ñayiu ñuyiu kuu san. 
JHN.17.15	Te masu jikantaꞌu san nuu ni ja xtajioo ni jin nuu ñuyiu, chi ja koto kuni ni jin nuu jakueꞌe. 
JHN.17.16	Chi masu ñayiu ñuyiu ka kui, te suni sein, chi masu ñayiu ñuyiu kuu san. 
JHN.17.17	Te jin maꞌñu sagua tnoꞌo ndaa ni, saꞌa vii ni jin, chi tnoꞌo maa ni kuu tnoꞌo ndaa. 
JHN.17.18	Te nagua ni tetniuu ña ni jin san neꞌu ñayiu ñuyiu, te suni saa ni tetniuu san jin neꞌu ñayiu ñuyiu. 
JHN.17.19	Te ja jaꞌa ñayiu yaꞌa, te saꞌa vii saꞌa vaꞌa san jin maa san, nagua ja suni vi koo vii vi koo vaꞌi jin maꞌñu sagua tnoꞌo ndaa.
JHN.17.20	’Te masu maa ni ja jaꞌa ñayiu yaꞌa jikantaꞌu san, chi suni ja jaꞌa ñayiu vi kandija ña jin san nuu kuee ka ja vi konini tnoꞌo vi ndakani ñayiu yaꞌa. 
JHN.17.21	Te jikantaꞌu san ja inuu kuiti na vi koo ndiꞌi, nagua ja invaa ni ñayiu na vi kokui, nagua oo maa san jin ni, vi Tata, te suni saa ni oo ni jin san. Te inuu kuiti na vi koi jion, nagua ja na vi kandija ñayiu ñuyiu ja maa ni ni tetniuu ña jin san. 
JHN.17.22	Ni saꞌa kaꞌnu san jin, nagua ni saꞌa kaꞌnu ña maa ni jin san, nagua ja invaa ni ñayiu na vi kokui, nagua invaa ni ia ka kuu mao. 
JHN.17.23	Te oo maa san jin, nagua oo maa ni jin san, nagua ja saa, te kentakuei ndaa kuiti ja vi kokui invaa ni ñayiu, te saa nagua ja vi kuni ñayiu ñuyiu ja maa ni ni tetniuu ña jin san, te kutoo ndevaꞌa ni jin, nagua kutoo ña ni jin san.
JHN.17.24	’Kuini san, vi Tata, ja ndenu koo san, te suni yun na vi koo ñayiu ja ni taa ni nuu san, nagua ja na vi kuni naxa kuu kaꞌnu san ni saꞌa maa ni. Chi ja kutoo ña ni guaa ndee nuu chiaꞌan ka ja junkoo ñuyiu vi guaa ndee vitna. 
JHN.17.25	Tata Dios, ia ndaa kuu ni, te ñayiu ñuyiu, chi tu ka jini ñai jin ni, su sein chi jini ña san. Te ñayiu yaꞌa, chi suni ka jini ja maa ni ni tetniuu ña jin san. 
JHN.17.26	Chi ja ni kaxtnoꞌo san na ia kuu ni, te kokaxtnoꞌo ka san nui, nagua ja vi nagua kutoo ña ni jin san, suni saa vi kokutoo tnaꞌa mai, te koo maa san ini anui ―jiñaꞌa ya.
JHN.18.1	Te nuu ni ndiꞌi ni ndakuatu Jesús, te ni kekuei ya jin tee ka skuaꞌa jin ya kuaꞌankuei ya jioo yute Cedrón, in nuu ka oo yutnu kuii, te ni kiukuei ya jin tee ka skuaꞌa jin ya. 
JHN.18.2	Te suni ja jini Judas, tee xtuu ña jin ya yun, chi kuaꞌa jichi ni ka ndututu Jesús jin tee ka skuaꞌa jin ya yun. 
JHN.18.3	Yun te ni jino Judas jin soldado vi policia ka jito veñuꞌu, ja ni ka tetniuu ña sutu ka kuu nijaꞌnu vi tee ka kuu fariseo, ka ndiso xeen de, te ka tnuu de linterna vi ñuꞌu iti. 
JHN.18.4	Su ja jini Jesús ndiꞌi tnundoo vaji siki ya, te ni kakoxnoꞌo ya, te ni jikan tnoꞌo ña ya:
JHN.18.4	―¿Na in ka ndanduku ni?
JHN.18.5	Te ka jiñaꞌa de:
JHN.18.5	―Ka ndanduku san Jesús, tee ñuu Nazaret.
JHN.18.5	Te jiñaꞌa ya:
JHN.18.5	―Maa san kuu.
JHN.18.5	Te suni ka ndeka tnaꞌa tee yun jin Judas, tee xtuu ña jin ya. 
JHN.18.6	Te nuu jiñaꞌa Jesús: “Maa san kuu”, te ni ka ndakaka yata de, te ni ka ndondiso de ndee nuu ñuꞌu. 
JHN.18.7	Te ni ndakan tnoꞌo tuku ña Jesús:
JHN.18.7	―¿Na in ka ndanduku ni?
JHN.18.7	Te ka jiñaꞌa de:
JHN.18.7	―Jesús, tee ñuu Nazaret.
JHN.18.8	Te jiñaꞌa Jesús:
JHN.18.8	―Ja ni kaꞌan san ja maa san kuu. Te nuu ja maa san ka ndanduku ni, te vi kakuiko ña ni jin maa san, su vi siaa ni tee yaꞌa na kiꞌinkuei maa de.
JHN.18.9	Saa ni kuu nagua ja skunkuu tnoꞌo ni kaꞌan ya nuu Tata ya: “Tu ni skiꞌin san ni in ñayiu ja ni taa ni nuu san”.
JHN.18.10	Te ndiso Simón Pedro in yuchi kani, ni tava de nuu ñii ñuꞌu, te ni jaꞌnde de soꞌo lado kuaꞌa in tee nani Malco ja jinokuechi de nuu sutu kuu nijaꞌnu. 
JHN.18.11	Yun te jiñaꞌa Jesús nuu Pedro:
JHN.18.11	―Ndatavaꞌa ni yuchi kani ni nuu ñii ñuꞌi, chi nini kuu ja tnaꞌa san tnundoꞌo ja ni jandetu Tata san ja ndoꞌo ja tnaꞌa san ―jiñaꞌa ya.
JHN.18.12	Yun te ni ka kakuiko ña soldado vi tee kuu capitán vi policia tee judio jin Jesús, te ni ka juꞌni ña de jin ya. 
JHN.18.13	Te xtnañuꞌu ka veꞌe Anás ni jaꞌankuei de jin ya, chi tee yun ni okuu tata xiso Caifás, tee ni okuu nijaꞌnu ka nuu sutu kuia yun. 
JHN.18.14	Te suu maa Caifás kuu tee ni kaꞌan nuu tee ka kuu nijaꞌnu nuu ñayiu judio ja guaꞌa ka kuu ja invaa ni tee kuu ja jaꞌa nii ñuu de.
JHN.18.15	Te ka ndikin ña Simón Pedro vi inka tee ka skuaꞌa jin Jesús kuaꞌankuei de. Te inka tee skuaꞌa yun, chi ka jini tnaꞌa de jin sutu kuu nijaꞌnu yun, te yun guaa ni kiukuei de jin Jesús ndee ini patio veꞌe sutu kuu nijaꞌnu ka yun. 
JHN.18.16	Su Pedro, chi ni kendoo de ndee yeꞌe yun. Yun guaa ni kee tee skuaꞌa ja jini tnaꞌa jin sutu kuu nijaꞌnu yun, te ni kaꞌan de jin ñaꞌa jito yeꞌe yun, te ni siaꞌa ña ña jin Pedro. 
JHN.18.17	Yun te ni jikan tnoꞌo ñaꞌa jito yeꞌe yun jin Pedro:
JHN.18.17	―¿A masu suni in tee ka skuaꞌa jin tee yaꞌa kuu ni? ―jiñaꞌa ña.
JHN.18.17	―Ñaꞌa, ma suu san kuu ―jiñaꞌa de.
JHN.18.18	Te ja siun saꞌa vijin, guaa tee ka jinokuechi vi policia yun ni ka xnaꞌa de ñuꞌu, te ka ndondee de yuꞌu ñuꞌu yun ka ndasaa de. Te suni nukuiin Pedro yuꞌu ñuꞌu yun jin tee ka oo yun ka ndasaa de.
JHN.18.19	Yun te ni jinkondee sutu kuu nijaꞌnu yun xtichi de Jesús na tee ka kuu tee ka skuaꞌa jin ya, vi nagua kuu ja kaxtnoꞌo ya. 
JHN.18.20	Te jiñaꞌa Jesús:
JHN.18.20	―Sein chi kaꞌan ndijin san jin nuu ndiꞌi ñayiu, te siun ni kaxtnoꞌo san nuu ñayiu veꞌe ii sinagoga vi veñuꞌu kaꞌnu nuu ka ndututu ndiꞌi tnaꞌo judio, te ni in tnoꞌo tu nagua kaꞌan yuꞌu san. 
JHN.18.21	¿Te nau ja saa sein jikan tnoꞌo ña ni? Kakan tnoꞌo ni ñayiu ni ka onini na tnoꞌo ni kaꞌan san, te mai na vi ndakani nagua ni kaxtnoꞌo san, chi ka jini guaꞌa mai na tnoꞌo ni kaꞌan san.
JHN.18.22	Te nuu ni kaꞌan Jesús siun, te in policia nukuiin yatni yun, ni katu ni in tikatu nuu ya, te jiñaꞌa de:
JHN.18.22	―¿A vi ndee siun kaꞌan ni jin sutu kuu nijaꞌnu?
JHN.18.23	Te jiñaꞌa Jesús:
JHN.18.23	―Nuu ja ni kaꞌan san in tnoꞌo kueꞌe, te kaꞌan ni ndee ja kuu jakueꞌe, su nuu ja vatuka ni kaꞌan san, ¿te nau ja kani ña ni? ―jiñaꞌa ya.
JHN.18.24	Te vi saa ni nuꞌni ya, ni tetniuu ña Anás ja kuaꞌan ya nuu Caifás, tee kuu nijaꞌnu ka nuu sutu.
JHN.18.25	Te nukuiin ni Pedro yuꞌu ñuꞌu yun ndasaa de. Te ka jiñaꞌa nuu de:
JHN.18.25	―¿A masu in tee ka skuaꞌa jin tee yun kuu ni?
JHN.18.25	Te ña ni ndaa yuꞌu Pedro, te jiñaꞌa de:
JHN.18.25	―Ñaꞌa, ma suu san kuu ―jiñaꞌa de.
JHN.18.26	Yun te ni jikan tnoꞌo ña in tee jinokuechi nuu sutu kuu nijaꞌnu ka, in tee kuu tnaꞌa tee xiin soꞌo ni jaꞌnde Pedro, te jiñaꞌa de:
JHN.18.26	―¿A masu ni jini ña san jin ni ja ka ndeka tnaꞌa ni jin de neꞌu xtnuu kuii yun? ―jiñaꞌa de.
JHN.18.27	Te tu ni ndaa tuku yuꞌu de ja jini de ya, te vi ore saa ni kana in liꞌli.
JHN.18.28	Yun te ni ndekuei de jin Jesús veꞌe Caifás, te kuaꞌankuei de jin ya nuu veꞌe tniuu nuu oo tee ñuu Roma ja tatnuni. Te ja makundijin ja matuu, te ñayiu judio, chi tu ni kiukuei de ini veꞌe tniuu yun, nagua ja ma vi kutneꞌe de, chi yoso nuu Ley ja nuu ja kiukuei de veꞌe ñayiu inka tatatnoꞌo, te vi kutneꞌe de. Te saa ni ka saꞌa de, nagua ja kuu vi kaxini de viko pascua maa ñayiu judio. 
JHN.18.29	Yun te ni kee Pilato, tee tatnuni ñuu yun, ja kaꞌan de jin ñayiu yun, te jiñaꞌa de:
JHN.18.29	―¿Na kuechi ka xtavi ni tee yaꞌa?
JHN.18.30	Te ka jiñaꞌa de:
JHN.18.30	―Nuu suaꞌa te masu tee saꞌa jakueꞌe kuu de, chi ma vi kisiaꞌa san de nuu ndaꞌa ni ―ka jiñaꞌa de.
JHN.18.31	Yun te jiñaꞌa Pilato:
JHN.18.31	―Vi ndakuaka maa ni de, te vi saꞌa ndaa maa ni kuechi de nagua oo nuu Ley ka nevaꞌa maa ni ―jiñaꞌa de.
JHN.18.31	Yun te ka jiñaꞌa tee ka kuu nijaꞌnu nuu ñayiu judio:
JHN.18.31	―Su sein ñayiu judio, chi ma kuu vi kaꞌni san ni in ñayiu.
JHN.18.32	Saa te ni skunkuu tnoꞌo ni kaꞌan Jesús ja kaxtnoꞌo naxa ndoꞌo ya nuu kuu ya. 
JHN.18.33	Yun te ni ndiokuiin Pilato, ni ndiuu de ini maa veꞌe tniuu, te ni kana de Jesús, te jiñaꞌa de:
JHN.18.33	―¿A suu ron kuu rey ñayiu judio?
JHN.18.34	Te jiñaꞌa Jesús:
JHN.18.34	―¿A kaꞌan ni tnoꞌo yaꞌa ja jini maa ni axi inka ñayiu ni kaꞌan nuu ni ja jaꞌa san? ―jiñaꞌa ya.
JHN.18.35	Yun te jiñaꞌa Pilato:
JHN.18.35	―¿A ñayiu judio kuu ruꞌun ja kuni rin? Te ñayiu ñuu maa ron vi tee ka kuu nijaꞌnu nuu sutu ka kuu tee ka tnaa ña jin ron nuu rin. ¿Te nagua ni saꞌa ron nuu saa? ―jiñaꞌa de.
JHN.18.36	Te jiñaꞌa Jesús:
JHN.18.36	―Nuu tatnuni san, chi masu ñuyiu yaꞌa oo, chi nuu suaꞌa te ñuyiu yaꞌa oo, vaa vi kaxin tnaꞌa tee ka jinokuechi nuu san, nagua ja ma kanakau san nuu ndaꞌa tnaꞌa san judio nuu siun. Su nuu tatnuni san, chi masu yaꞌa oo ―jiñaꞌa ya.
JHN.18.37	Yun te ni jikan tnoꞌo ña Pilato jin ya:
JHN.18.37	―Nuu saa te ¿a rey kuu ron? ―jiñaꞌa de.
JHN.18.37	Te jiñaꞌa Jesús:
JHN.18.37	―Saa kaꞌan maa ni ja rey kuu san. Te yun guaa ni kaku san, te vaji san nuu ñuyiu yaꞌa nagua ja ndakani san tnoꞌo ndaa. Te ndiꞌi ñayiu ka oo jin tnoꞌo ndaa ka nini tnoꞌo kaꞌan san ―jiñaꞌa ya.
JHN.18.38	Te jiñaꞌa Pilato:
JHN.18.38	―¿Te nagua kuu tnoꞌo ndaa yun?
JHN.18.38	Te nuu ni ndiꞌi ni jikan tnoꞌo ña Pilato jin Jesús, te ni ndee tuku de nuu ka oo ñayiu judio, te jiñaꞌa de:
JHN.18.38	―Tu saꞌun na kuechi nukuꞌun san siki tee yaꞌa. 
JHN.18.39	Su maa ni, chi ka nevaꞌa ni in costumbre ja siaa uun san in tee yiꞌi vekaa nuu viko pascua ni, ¿te a ka kuini ni ja siaa uun san rey ñayiu judio? ―jiñaꞌa de.
JHN.18.40	Yun te ndiꞌi ni ka kana jaa tuku, te ka jiñaꞌi:
JHN.18.40	―Ñaꞌa, ma siaa ni tee jian, chi siaa ni Barrabás ―ka jiñaꞌi. Te Barrabás, chi in tee kuiꞌna kuu de.
JHN.19.1	Yun te ni kakuiko ña Pilato jin Jesús, te ni tatnuni de ja ni ka kuun ka kani ña jin ya. 
JHN.19.2	Te ni ka kiku soldado yun in corona iñu, te ni ka tnaa de xini ya. Te ni ka skuiꞌnu ña de in saꞌun kuaꞌa nditnuu tikani jin ya. 
JHN.19.3	Te ka jiñaꞌa de:
JHN.19.3	―Na taꞌu na ndetu ni kuu, rey ñayiu judio.
JHN.19.3	Te ka kani de nuu ya. 
JHN.19.4	Yun te ni kee tuku Pilato inka jichi, te jiñaꞌa de:
JHN.19.4	―Vi kondiaꞌa ni, te na keneꞌe san de yaꞌa, nagua ja vi kuni maa ni ja tu na kuechi saꞌun nukuꞌun san siki de.
JHN.19.5	Te ni kee Jesús niꞌnu ya in corona iñu jin ndii ya in saꞌun kuaꞌa nditnuu, te jiñaꞌa Pilato:
JHN.19.5	―Yaꞌa vi kondiaꞌa ni de.
JHN.19.6	Yun te nuu ni ka jini ña sutu ka kuu nijaꞌnu vi policia yun jin ya, te ni ka kana kana de:
JHN.19.6	―Katakaa ni de yika cruz, katakaa ni de yika cruz ―ka jiñaꞌa de.
JHN.19.6	Te jiñaꞌa Pilato:
JHN.19.6	―Nuu saa te vi ndakuaka maa ni de, te vi katakaa ni de yika cruz, chi sein, te tu saꞌun na kuechi nukuꞌun san siki de.
JHN.19.7	Te ka jiñaꞌa tee ka kuu nijaꞌnu nuu ñayiu judio yun:
JHN.19.7	―Sein chi ka nevaꞌa maa san in ley, te ley yun, chi kaꞌan ja kanuu ja kuu de, chi saꞌa de ja Seꞌe ia Dios kuu de.
JHN.19.8	Te nuu ni jini Pilato tnoꞌo yaꞌa, te viꞌi ka ni yuꞌu de. 
JHN.19.9	Te ni ndiuu tuku de inka jichi ini veꞌe tniuu yun, te ni jikan tnoꞌo de Jesús:
JHN.19.9	―¿Ndenu vaji ron?
JHN.19.9	Su tu ni kaꞌan saꞌun Jesús nuu de. 
JHN.19.10	Yun te jiñaꞌa Pilato:
JHN.19.10	―¿A ma kaꞌan ron ja kaꞌan rin? ¿A tu jini ron ja ndiso tniuu rin ja katakaa ña rin yika cruz, te suni ndiso tniuu rin ja kuu siaa ña rin? ―jiñaꞌa de.
JHN.19.11	Te jiñaꞌa Jesús:
JHN.19.11	―Tu na tniuu ndiso ni siki san, nuu suaꞌa te tu ni taa ia Dios nuu ni. Te yun guaa kaꞌnu ka kuu yika kuechi ka tavi tee ni ka ndasiaꞌa ña jin san nuu ndaꞌa ni, saa maa ni ―jiñaꞌa ya.
JHN.19.12	Te ndee ore saa ni nduku ndee Pilato ja siaa de Jesús, su ñayiu judio, chi ni ka kana jai, ka jiñaꞌi:
JHN.19.12	―Nuu ja siaa uun ni tee yaꞌa, te masu amigo César kuu ni, chi ndiꞌi tee saꞌa ja rey kuu maa de, te ndakoo de siki rey César ―ka jiñaꞌa de.
JHN.19.13	Yun te nuu ni jini Pilato tnoꞌo yun, te ni tatnuni de ni ka keneꞌe ña jin Jesús ini veꞌe tniuu yun, te ni junkoo de nuu mesa ja jaꞌnde de kuechi, nuu nani jin saꞌan hebreo “Gabata”, te jin saꞌan griego nuu ni ka jakin inuu yuu. 
