GEN.1.1	Hapo mwanzo, Mungu aliumba mbingu na dunia.
EZK.43.2	 Utukufu wa Mungu wa Israeli ulitokea upande wa mashariki. Pamoja nao kulikuwapo mshindo wa kuja kwake kama mshindo wa maji mengi, nchi ilingaa kwa utukufu wake. 
EZK.43.3	Maono hayo yalikuwa kama maono niliyoyaona Mungu alipokuja kuuangamiza mji wa Yerusalemu. Pia yalifanana na maono niliyoyaona karibu na mto Kebari. Nikaanguka kifudifudi.
EZK.43.4	Nao utukufu wa Mwenyezi-Mungu uliingia katika nyumba ya Mwenyezi-Mungu kwa njia ya lango la mashariki. 
EZK.43.5	Kisha roho ya Mungu ikaninyanyua na kunipeleka kwenye uwanja wa ndani. Utukufu wa Mwenyezi-Mungu ukiwa umeijaza nyumba ya Mwenyezi-Mungu. 
EZK.43.6	Yule mtu akiwa anasimama karibu nami, nilisikia mtu fulani akisema kutoka katika nyumba ya Mwenyezi-Mungu; 
EZK.43.7	naye akaniambia, “Wewe mtu! Hapa ndipo mahali pa kiti changu cha enzi, mahali niwekapo nyayo za miguu yangu. Nitakaa miongoni mwa watu wa Israeli milele. Na Waisraeli hawatalitia unajisi jina langu, wao wenyewe, wala wafalme wao kwa kuziabudu sanamu au kuzika maiti
EZK.43.8	Wafalme wao walijenga vizingiti na miimo ya ikulu zao karibu na vizingiti vya nguzo za hekalu langu, hivyo kati yangu na wao ulikuwa ni ukuta tu. Walilitia unajisi jina langu takatifu kwa machukizo yao waliyotenda, ndiyo maana nimewaangamiza kwa hasira yangu. 
EZK.43.9	Sasa na waache kuziabudu sanamu na waziondoe maiti za
EZK.43.10	“Sasa, ewe mtu, waeleze Waisraeli habari za nyumba ya Mungu na wajifunze ramani yake. Waaibike kutokana na machukizo yao waliyotenda. 
EZK.43.11	Wakiona aibu kutokana na matendo yao, waeleze ramani ya nyumba ya Mungu: Ramani yake yenyewe, milango ya kuingilia na kutokea, umbo lake lote, mipango ya kila kitu, kanuni zake na masharti yake. Waandikie hayo yote waziwazi ili waweze kuona yote yalivyopangwa na waweze kuzifuata kanuni na masharti yake. 
EZK.43.12	Hii ndiyo sheria kuhusu nyumba ya Mwenyezi-Mungu: Eneo lote linalozunguka nyumba ya Mwenyezi-Mungu juu ya mlima lazima liwe takatifu kabisa.”
EZK.43.14	Sehemu ya madhabahu itakayokuwa chini kabisa tokea juu ya msingi itakuwa na kimo cha mita 1. Sehemu itakayofuata itawekwa nyuma kutoka kwenye ukingo sentimita 50 kuzunguka, na kimo cha mita 2. Sehemu itakayofuata nayo itawekwa nyuma ya ukingo sentimita 50 kuzunguka. 
EZK.43.15	Sehemu hii ya juu, ambayo itatumika kuteketezea sadaka, itakuwa mraba, kila upande mita 2. Mjengo wa kona za sehemu hii ya juu zitainuka kuliko sehemu nyingine. 
EZK.43.16	Sehemu ya juu ya madhabahu itakuwa mraba, mita 6 kila upande. 
EZK.43.17	Sehemu ya katikati, itakuwa mraba, sentimita 7 kila upande, nayo itakuwa na ukingo pembeni wenye kimo cha sentimita 25. Kutakuwa na mfereji wenye upana wa sentimita 50. Na kutakuwa na vidato vya kupandia madhabahu upande wa mashariki.
EZK.43.19	Wale makuhani walio wa kabila la Lawi ambao ni wazawa wa Sadoki, ndio tu watakaonikaribia ili kunihudumia. Mimi Bwana Mwenyezi-Mungu nimesema. Utawapa fahali mchanga kuwa sadaka ya kuondoa dhambi. 
EZK.43.20	Utatwaa damu yake na kuitia juu ya pembe nne za madhabahu na juu ya ncha nne za daraja na juu ya pambizo yake pande zote. Hivyo ndivyo utakavyoitakasa madhabahu na kuiweka wakfu. 
EZK.43.21	Utachukua pia fahali wa sadaka ya kuondoa dhambi; watamteketeza katika mahali palipochaguliwa ndani ya nyumba ya Mwenyezi-Mungu, lakini nje ya mahali patakatifu. 
EZK.43.22	Kesho yake, utatoa beberu asiye na dosari, kuwa sadaka ya kuondoa dhambi; madhabahu itatakaswa kama ilivyotakaswa kwa damu ya fahali. 
EZK.43.23	Utakapokwisha kuitakasa, utatwaa fahali mdogo asiye na dosari na kondoo dume mmoja asiye na dosari na 
EZK.43.24	kuwaleta mbele yangu. Makuhani watawapaka chumvi na kuwatoa kuwa tambiko ya kuteketezwa, kwa Mwenyezi-Mungu. 
EZK.43.25	Kwa muda wa siku saba, kila siku utatambika beberu mmoja awe sadaka ya kuondoa dhambi. Pia watatoa fahali mmoja na kondoo dume mmoja asiye na dosari. 
EZK.43.26	Hivyo kwa muda wa siku saba, utafanya upatanisho na kuitakasa, na hivyo kuiweka wakfu madhabahu. 
EZK.43.27	 Baada ya siku hizo saba, tokea siku ya nane na kuendelea, makuhani watatoa sadaka zenu za kuteketezwa na sadaka zenu za amani. Nami nitawakubali. Mimi Bwana Mwenyezi-Mungu nimesema.”
EZK.44.1	Yule mtu akanirudisha kwenye lango la nje linaloelekea mashariki, nje ya patakatifu, nalo lilikuwa limefungwa. 
EZK.44.2	Mwenyezi-Mungu akaniambia: “Lango hili litaendelea kufungwa. Hakuna mtu yeyote anayeruhusiwa kulitumia, kwa sababu mimi Mwenyezi-Mungu, Mungu wa Israeli, nimeingia kupitia lango hilo. Hivyo litadumu likiwa limefungwa. 
EZK.44.3	Hata hivyo, mkuu anayetawala anaweza kwenda huko na kula chakula chake kitakatifu mbele yangu. Ni lazima aingie na kutokea lango la chumba cha kuingilia.”
EZK.44.4	Yule mtu akanipeleka mbele ya nyumba ya Mwenyezi-Mungu, kwa njia ya lango la kaskazini. Nilipoangalia, nikaona utukufu wa Mwenyezi-Mungu umeijaza nyumba ya Mwenyezi-Mungu. Hapo nikaanguka kifudifudi. 
EZK.44.5	Mwenyezi-Mungu akaniambia, “Wewe mtu! Tia maanani mambo yote unayoona na kusikia. Nitakueleza kanuni na masharti ya nyumba ya Mwenyezi-Mungu. Zingatia moyoni mwako kwa makini, ni watu gani wanaoruhusiwa kuingia na kutoka katika nyumba ya Mwenyezi-Mungu na ni watu gani wamekatazwa kuingia humo. 
EZK.44.6	Utawaambia hao watu waasi wa Israeli, Bwana Mwenyezi-Mungu asema hivi: Siwezi kuendelea kuyavumilia machukizo yenu yote. 
EZK.44.7	Mmeitia unajisi maskani yangu kwa kuruhusu waingie humo watu wasiotahiriwa, watu wasionitii mimi, wakati mafuta na damu vinatambikwa kwa ajili yangu. Hivyo, nyinyi watu wangu mmelivunja agano langu kwa machukizo yenu yote. 
EZK.44.8	Badala ya kutekeleza huduma ya vitu vyangu vitakatifu, mmeruhusu watu wa mataifa mengine kutekeleza huduma hiyo katika maskani yangu. 
EZK.44.9	Sasa, mimi Bwana Mwenyezi-Mungu nasema hivi: Hakuna mtu yeyote wa taifa geni, asiyetahiriwa au asiyenitii mimi, atakayeruhusiwa kuingia maskani yangu; hata wageni wanaoishi miongoni mwa Waisraeli, hawataruhusiwa.
EZK.44.10	“Walawi walioniacha wakati ule Waisraeli walipojitenga nami kwa kufuata miungu yao, watabeba adhabu yao. 
EZK.44.11	Wataweza tu kuhudumu katika maskani yangu kama watumishi wakilinda malango ya nyumba yangu, na kutumikia katika nyumba. Wataweza kuchinja wanyama wanaotolewa na watu kwa ajili ya tambiko za kuteketeza na kuwatumikia watu. 
EZK.44.12	Lakini kwa sababu waliongoza ibada za miungu kwa ajili ya watu wa Israeli, wakawafanya watu kutenda dhambi, basi, nimeunyosha mkono wangu kuwaadhibu. Mimi Bwana Mwenyezi-Mungu nimesema. Nao watabeba adhabu yao. 
EZK.44.13	Hawatanikaribia tena kunihudumia kama makuhani, wala hawatavigusa tena vitu vitakatifu wala vile vitakatifu kabisa. Bali wataaibika kwa sababu ya machukizo yao waliyotenda. 
EZK.44.14	Hata hivyo, watashika zamu ya kulinda nyumba, wakifanya huduma yote na kazi zote zitakazotendeka humo.
EZK.44.15	“Lakini makuhani wa kabila la Lawi ambao ni wazawa wa Sadoki walioendeleza kazi yangu katika patakatifu pangu, wakati Waisraeli waliponiacha, hao ndio watakaoendelea kunitumikia na kuja mbele yangu kunitolea mafuta na damu. 
EZK.44.16	Hao tu ndio watakaoingia katika maskani yangu, nao watakaribia kwenye madhabahu kunitumikia. 
EZK.44.17	 Lakini wanapoingia katika ua wa ndani, watavaa mavazi ya kitani; hawatavaa mavazi ya sufu watakapohudumu katika malango ya ua wa ndani na kwenye nyumba. 
EZK.44.18	Watavaa vilemba vya kitani vichwani mwao, na suruali za kitani viunoni mwao; lakini bila mkanda wowote. 
EZK.44.19	Watakapotoka kwenda kwenye ua wa nje kwa watu, watavua mavazi waliyovaa wakati walipokuwa wanahudumu na kuyaweka katika vyumba vitakatifu. Ni lazima wavae mavazi mengine, ili watu wasije wakawa najisi kwa kugusa mavazi yao.
EZK.44.20	“Hawatanyoa vichwa vyao wala kuacha nywele zao ziwe ndefu. Lakini watapunguza tu mashungi ya nywele zao. 
EZK.44.21	Kuhani yeyote asinywe divai anapoingia ua wa ndani. 
EZK.44.22	Kuhani yeyote asioe mwanamke mjane wala mwanamke aliyepewa talaka. Lakini atamwoa bikira ambaye ni mzawa wa Waisraeli au mwanamke aliyefiwa na mumewe aliyekuwa kuhani. 
EZK.44.23	Makuhani watafundisha taifa langu kupambanua vitu vilivyo vitakatifu na visivyo vitakatifu, na kuwajulisha tofauti baina ya vitu vilivyo najisi na visivyo najisi. 
EZK.44.24	Kukiwako ugomvi wataamua kadiri ya sheria zangu. Katika sikukuu zote watafuata amri zangu na sheria zangu, na kuzitakasa sabato zangu. 
EZK.44.25	Hawatakaribia maiti ili wasijitie unajisi. Lakini wataweza kujitia unajisi kwa kumkaribia baba au mama au mtoto wa kike au wa kiume au dada yao asiyeolewa, aliyekufa. 
EZK.44.26	Mmoja wao akisha jitia unajisi, atakaa hali hiyo kwa muda wa siku saba. Kisha atakuwa safi. 
EZK.44.27	Siku atakapoingia katika patakatifu, katika ua wa ndani ili kuhudumu, atatoa sadaka yake ya kuondoa dhambi. Mimi Mwenyezi-Mungu nimesema.
EZK.44.28	“Makuhani hawatakuwa na haki ya kumiliki ardhi; haki yao ni kunitumikia mimi. Hamtawapa milki katika nchi ya Israeli, watakachokuwa nacho ni mimi tu. 
EZK.44.29	 Watakula sadaka ya nafaka, sadaka ya kuondoa dhambi, na sadaka ya kuondoa hatia. Kila kitu katika Israeli kilichowekwa wakfu kwa Mungu kitakuwa chao. 
EZK.44.30	Vitu vyote vilivyo bora vya malimbuko yenu na vya matoleo yenu ya kila aina vitakuwa kwa ajili ya makuhani. Tena mtawapa sehemu ya kwanza ya unga wenu, ili mlete baraka juu ya nyumba zenu. 
EZK.44.31	Makuhani hawatakula nyama ya mnyama au ndege yeyote aliyekufa mwenyewe au aliyeraruliwa na mnyama wa porini.
EZK.45.1	“Mtakapoigawanya nchi kwa kura ili kila kabila lipate sehemu yake, sehemu moja ya nchi ni lazima iwekwe wakfu kwa ajili ya Mwenyezi-Mungu. Urefu wake utakuwa kilomita kumi na mbili u nusu
EZK.45.2	Ndani yake kutakuwa na eneo mraba kwa ajili ya patakatifu, kila upande mita 250, na litazungukwa na eneo wazi lenye upana wa mita 250. 
EZK.45.3	Katika eneo hilo utapima pia sehemu yenye urefu wa kilomita kumi na mbili u nusu kwa kilomita tano; humo kutakuwa maskani yangu, mahali patakatifu kabisa. 
EZK.45.4	Eneo hilo litakuwa takatifu nchini, na kutengwa kwa ajili ya makuhani wanaomtumikia Mwenyezi-Mungu katika maskani yake. Ndani ya eneo hilo kutakuwa na nyumba zao na nafasi iliyowekwa wakfu kwa ajili ya maskani yangu. 
EZK.45.5	Eneo lingine lenye urefu wa kilomita kumi na mbili u nusu kwa kilomita tano, litatengwa kwa ajili ya miji ya Walawi
EZK.45.6	“Mtapima eneo la mji karibu na eneo takatifu, lenye urefu wa kilomita kumi na mbili u nusu kwa kilomita mbili u nusu. Hilo litakuwa kwa ajili ya mtu yeyote wa Israeli.
EZK.45.7	“Mtawala, naye atapewa eneo lake upande wa mashariki na magharibi wa eneo lililowekwa wakfu kwa Mwenyezi-Mungu. Eneo hilo litaenea magharibi mpaka bahari ya Mediteranea na upande wa mashariki hadi mpaka wa mashariki wa nchi. Litakuwa na urefu sawa na eneo lililopewa kila kabila la Israeli. 
EZK.45.8	Hiyo ndiyo milki ya mtawala katika Israeli. Hivyo mtawala hatawadhulumu watu wangu, bali ataacha nchi igawiwe Waisraeli kulingana na makabila ya Israeli.
EZK.45.9	“Mimi Bwana Mwenyezi-Mungu nasema hivi: Nyinyi watawala wa Israeli, mmefanya dhambi vyakutosha. Acheni ukatili na dhuluma. Tendeni mambo ya haki na sawa. Acheni kuwafukuza watu wangu nchini; mimi Bwana Mungu nimesema. 
EZK.45.10	 Kila mtu ni lazima atumie mizani na vipimo halali. 
EZK.45.11	Kwa kipimo cha ulinganifu: Efa kwa nafaka na bathi kwa mafuta zina kiasi sawa. Hivyo viwili ni moja ya kumi ya homeri moja.
EZK.45.12	Kwa kupimia uzani: Gera 20 ni shekeli
EZK.45.13	“Vipimo vya matoleo yenu ya nafaka vitakuwa hivi: Moja ya sita ya efa katika homeri moja ya ngano, na moja ya sita ya efa katika homeri moja ya shayiri. 
EZK.45.14	Kiwango cha mafuta kitakuwa hivi: Moja ya bathi ya mafuta kutoka kila kori (kori moja ni sawa na homeri moja ambayo ni sawa na bathi kumi). 
EZK.45.15	Watatoa kondoo mmoja kwa kila kundi la kondoo 200 katika jamaa za Israeli. Wataleta sadaka za nafaka, sadaka za kuteketezwa, na sadaka za amani, ili wapate kufanyiwa upatanisho. Mimi Bwana Mwenyezi-Mungu nimesema. 
EZK.45.16	Watu wote nchini watampa sadaka hizo mtawala wa Israeli. 
EZK.45.17	Itakuwa ni wajibu wa mtawala kuhakikisha kuwa sadaka za kuteketezwa, sadaka za nafaka na sadaka za kinywaji zinazotolewa wakati wa sikukuu, mwezi mwandamo, sabato, na sikukuu zozote zilizowekwa zinapatikana kwa Waisraeli. Mtawala mwenyewe ataandaa sadaka za kuondoa dhambi, sadaka za nafaka, sadaka za kuteketezwa, na sadaka za amani ili kuwafanyia upatanisho watu wote wa Israeli.
EZK.45.18	“Mimi Bwana Mwenyezi-Mungu nasema hivi: Siku ya kwanza ya mwezi wa kwanza, mtatambika fahali mdogo asiye na dosari ili kutakasa maskani yangu. 
EZK.45.19	Kuhani atatwaa baadhi ya damu ya sadaka ya kuondoa dhambi na kuipaka miimo ya nyumba ya Mwenyezi-Mungu, kona za madhabahu, na miimo ya nafasi ya kuingilia kwenye ua wa ndani. 
EZK.45.20	Atafanya vivyo hivyo siku ya saba ya mwezi huo, kwa ajili ya kila mtu aliyetenda dhambi bila kukusudia au kwa kutojua. Kwa njia hiyo mtaitakasa nyumba ya Mwenyezi-Mungu.
EZK.45.22	Siku hiyo, mtawala atatoa fahali mmoja kwa ajili ya sadaka ya kuondoa dhambi kwa ajili yake mwenyewe na kwa ajili ya watu wote wa Israeli. 
EZK.45.23	Kila siku, katika muda huo wa siku saba, atamtolea sadaka Mwenyezi-Mungu fahali saba na kondoo madume saba wasio na dosari kwa kuwateketeza wazima. Tena ni lazima atoe sadaka kila siku ikiwa ni sadaka ya kuondoa dhambi. 
EZK.45.24	Kisha atatengeneza sadaka ya unga kilo 10 kwa kila fahali na kilo 10 kwa kila kondoo dume, halafu lita 3 za mafuta kwa kila kilo 10 za unga.
EZK.46.1	“Mimi Bwana Mwenyezi-Mungu nasema hivi: Lango la ua wa ndani unaoelekea mashariki litafungwa siku zote sita za kazi. Siku za sabato na siku za mwezi mwandamo litafunguliwa. 
EZK.46.2	Toka nje, mtawala ataingia ukumbi wa ndani kwa kupitia lango la ukumbi huo. Naye atasimama karibu na nguzo ya lango, wakati makuhani wanateketeza sadaka zake za kuteketezwa na sadaka za amani. Kisha mtawala huyo atasujudia kwenye lango na baadaye atatoka nje. Lango litabaki wazi hadi jioni. 
EZK.46.3	Kila siku ya sabato na sikukuu ya mwezi mwandamo, watu wote wataniabudu mimi Mwenyezi-Mungu mbele ya lango. 
EZK.46.4	Siku ya sabato, mtawala atamletea Mwenyezi-Mungu wanakondoo sita na kondoo dume mmoja, wote wasio na dosari, kama sadaka ya kuteketezwa nzima. 
EZK.46.5	Pamoja na kila kondoo dume, ataleta sadaka ya unga lita kumi na saba na nusu, lakini pamoja na kila mwanakondoo ataleta sadaka yoyote anayoweza. Na kwa kila sadaka ya unga, ataleta lita tatu za mafuta. 
EZK.46.6	Wakati wa sikukuu ya mwezi mwandamo atatoa fahali mchanga, wanakondoo sita, na kondoo dume mmoja; wote wasio na dosari. 
EZK.46.7	Pamoja na kila fahali na kila kondoo dume anayetolewa sadaka, ni lazima pawepo lita kumi na saba na nusu za unga, na pamoja na kila mwanakondoo, ni lazima pawepo chochote ambacho mtawala anatoa. Tena kwa kila sadaka ya nafaka, ni lazima kutoa lita tatu za nafaka.
EZK.46.8	“Mtawala anapotoka ni lazima auache ukumbi kwa njia ileile aliyoingia nayo. 
EZK.46.9	Watu wanapokuja kumwabudu Mwenyezi-Mungu wakati wa sikukuu yoyote, wale walioingia kwa njia ya lango la kaskazini, watatoka kwa njia ya lango la kusini; na wale walioingia kwa lango la kusini, watatoka kwa njia ya lango la kaskazini. Mtu asirudi kwa njia ya lango aliloingilia, bali atatoka kwa njia ya lango lililo mbele yake. 
EZK.46.10	Mtawala ataingia ndani watu wanapoingia, na atatoka wanapotoka. 
EZK.46.11	Wakati wa siku za sikukuu na siku zilizopangwa, sadaka za nafaka zitakuwa lita kumi na saba zikiandamana na kila fahali au kondoo dume, na chochote ambacho anayeabudu anaweza kutoa kwa kila mwanakondoo. Kwa kila sadaka ya nafaka atatoa lita tatu za mafuta. 
EZK.46.12	Mtawala anapotaka kumtolea Mwenyezi-Mungu sadaka kwa hiari, iwe sadaka ya kuteketezwa au sadaka ya amani, watamfungulia lango la ukumbi wa ndani unaoelekea mashariki. Atatoa sadaka kama anavyofanya siku ya sabato, na anapotoka, lango lifungwe nyuma yake.
EZK.46.13	“Kila siku asubuhi mtamtolea Mwenyezi-Mungu mwanakondoo wa mwaka mmoja asiye na dosari, ambaye atateketezwa mzima. 
EZK.46.14	Pia kila siku, sadaka ya kilo mbili za unga itatolewa asubuhi pamoja na lita moja ya mafuta ya zeituni yakichanganywa na unga. Ni lazima kufuata sheria za sadaka hii kwa Mwenyezi-Mungu milele. 
EZK.46.15	Mwanakondoo, unga na mafuta ni lazima vitolewe kila siku asubuhi kwa Mwenyezi-Mungu milele.
EZK.46.16	“Mimi Bwana Mwenyezi-Mungu nasema hivi: Ikiwa mtawala anampa mmojawapo wa wanawe zawadi ya ardhi, zawadi hiyo itakuwa mali ya huyo kijana milele kama sehemu ya jamaa yake. 
EZK.46.17	 Lakini ikiwa atampa mmoja wa watumishi wake sehemu yoyote ya ardhi yake, zawadi hiyo itakuwa mali yake mpaka mwaka wa kuachwa huru. Ndipo itakapomrudia mtawala. Ni yeye tu na watoto wake wa kiume wanaoweza kuimiliki daima. 
EZK.46.18	Mtawala kamwe asipore mali ya watu. Ardhi yoyote anayowapa watoto wake wa kiume ni lazima itokane na eneo lake mwenyewe. Hivyo hatawadhulumu watu wangu kwa kuwanyanganya ardhi yao.”
EZK.46.19	Kisha, yule mtu akanipitisha kwenye nafasi ya kupitia kuingia kwenye vyumba vitakatifu vya makuhani vinavyoelekea kaskazini, karibu na lango la kusini la ukumbi wa ndani. Akanionesha mahali, upande wa magharibi wa vyumba, 
EZK.46.20	akaniambia: “Hapa makuhani huchemsha nyama ya sadaka ya kuondoa hatia, sadaka ya kuondoa dhambi, na kuoka sadaka za nafaka. Kwa hiyo hawatoki nje ya ukumbi na chochote, ili watu wasije wakawa najisi kwa kugusa kitu kitakatifu.”
EZK.46.21	Kisha akanipeleka kwenye uwanja wa nje, akanipitisha karibu na pembe nne za ua; kwa kila pembe ya ua kulikuwapo kiwanja kidogo, 
EZK.46.22	yaani, kwa pembe nne za ua vilikuwapo viwanja vinne vidogo vya urefu wa mita 20 na upana mita 15. 
EZK.46.23	Ulikuwapo ukuta kukizunguka kila kiwanja, na mahali pa moto mkabala na ukuta. 
EZK.46.24	Yule mtu akaniambia: “Haya ni majiko ambako watumishi wa nyumba ya Mwenyezi-Mungu watachemsha sadaka wanazoleta watu.”
EZK.47.2	Kisha akanipeleka nje kwa njia ya lango la kaskazini. Akanizungusha kwa njia ya nje mpaka lango la nje, upande wa mashariki; na maji yalikuwa yanatoka upande wa kusini. 
EZK.47.3	Yule mtu, kwa ufito wake wa kupimia, akapima mita 500 kwenda chini upande wa mashariki, akanipitisha kwenye maji. Maji yalifika kwenye nyayo tu. 
EZK.47.4	Kisha akapima tena mita 500, akaniongoza kuvuka maji. Maji yakafika mpaka magoti yangu. Akapima tena mita nyingine 500, naye akaniongoza kuvuka maji. Maji yakafika mpaka kiunoni mwangu. 
EZK.47.5	Akapima mita 500 nyingine, na mto ukawa na kilindi kirefu hata sikuweza kuuvuka tena. Haikuwezekana kuuvuka ila kwa kuogelea.
EZK.47.6	Yule mtu akaniambia, “Wewe mtu! Zingatia mambo hayo yote kwa makini.”
EZK.47.6	Kisha, akanirudisha mpaka ukingo wa mto. 
EZK.47.7	Nilipofika huko niliona miti mingi sana kwenye kingo za mto. 
EZK.47.8	Akaniambia, “Maji haya yanatiririka kupitia nchini hadi Araba;
EZK.47.9	Kila mahali mto huu utakapopita, kutaishi aina zote za wanyama na samaki. Mto huu utayafanya maji ya Bahari ya Chumvi kuwa maji baridi. Kokote utakakopita utaleta uhai. 
EZK.47.10	Wavuvi watasimama ufuoni mwa bahari, na eneo kutoka Engedi mpaka En-eglaimu litakuwa la kuanikia nyavu zao. Kutakuwa na aina nyingi za samaki kama zilivyo katika Bahari ya Mediteranea. 
EZK.47.11	Lakini sehemu zake zenye majimaji na mabwawa kando ya bahari, hazitakuwa na maji mazuri. Bali hayo yatabaki kuwa maji ya chumvi. 
EZK.47.12	 Kisha ukingoni mwa mto huo kutaota kila namna ya miti itoayo chakula. Majani yake hayatanyauka wala miti hiyo haitaacha kuzaa matunda. Itazaa matunda mapya kila mwezi, kwa sababu inapata maji yanayotiririka kutoka maskani ya Mungu. Matunda yake yatakuwa chakula na majani yake yatatumika kuponya magonjwa.”
EZK.47.13	Bwana Mwenyezi-Mungu asema hivi: “Hii ndiyo mipaka ya nchi mtakayoyagawia makabila kumi na mawili ya Israeli. Lakini kabila la Yosefu lipewe maradufu. 
EZK.47.14	Nyote mtagawana sawa. Niliapa kuwa nitawapa wazee wenu nchi hii, nayo itakuwa mali yenu. 
EZK.47.15	Upande wa kaskazini mpaka utapita kutoka Bahari ya Mediteranea, kuelekea mji wa Hethloni, hadi mahali pa kuingia Hamathi na kuendelea hadi Zedadi. 
EZK.47.16	Kutoka hapo utaendelea hadi Berotha na Sibraimu (ulio kati ya Damasko na Hamathi), hadi mji wa Haser-hatikoni ulio mpakani mwa Haurani. 
EZK.47.17	Hivyo mpaka utakwenda kutoka bahari ya Mediteranea kuelekea mashariki hadi mji wa Hasar-enoni ukipakana na maeneo ya Damasko na Hamathi kwa upande wa kaskazini. 
EZK.47.18	Upande wa mashariki, mpaka utakuwa mto wa Yordani unaoelekea kati ya Haurani na Damasko, Gileadi na nchi ya Israeli. Pia mpaka utapitia upande wa mashariki wa Bahari ya Chumvi hadi Tamari. 
EZK.47.19	Upande wa kusini, toka Tamari mpaka utaendelea hadi chemchemi ya Meriba-kadeshi. Kutoka Meriba-kadeshi mpaka utaelekea kusini-magharibi hadi Bahari ya Mediteranea ukipitia mashariki ya nchi ya Misri. 
EZK.47.20	Upande wa magharibi, mpaka ni Bahari ya Mediteranea na utapanda kaskazini hadi mahali pa kuingilia Hamathi.
EZK.47.21	“Basi, mtagawanya nchi hii kati yenu kulingana na makabila ya Israeli. 
EZK.47.22	Mtaigawanya kuwa mali yenu. Wageni watakaokaa kati yenu na wamezaa watoto, pia wapewe sehemu ya nchi mnapoigawanya. Hao ni lazima watendewe kama raia halisi wa Israeli na wana haki ya kupiga kura ili kupata sehemu ya nchi pamoja na makabila ya Israeli. 
EZK.47.23	Kila mgeni anayekaa nanyi atapewa sehemu yake pamoja na watu wa kabila ambamo anaishi. Mimi Bwana Mwenyezi-Mungu nimesema.”
EZK.48.1	Haya ndiyo majina ya makabila na sehemu zao: Kuanzia mpaka wa kaskazini kwenye barabara ya Hethloni hadi kuingia Hamathi hadi mji wa Hazar-enoni (ulioko mpakani mwa Damasko na Hamathi upande wa kaskazini na kuendelea kutoka mashariki hadi magharibi), eneo hilo litakuwa la kabila la Dani. 
EZK.48.2	Eneo linalopakana na la Dani, kutoka mashariki hadi magharibi litakuwa la Asheri. 
EZK.48.3	Kabila la Naftali, litapata eneo linalopakana na lile la Asheri, kutoka mashariki hadi magharibi. 
EZK.48.4	Baada ya eneo la kabila la Naftali, litafuata eneo la kabila la Manase, kutoka mashariki hadi magharibi. 
EZK.48.5	Eneo linalopakana na eneo la Manase, kutoka upande wa mashariki hadi magharibi, litakuwa la kabila la Efraimu. 
EZK.48.6	Eneo linalopakana na eneo la Efraimu, kutoka mashariki hadi magharibi, litakuwa la kabila la Reubeni. 
EZK.48.7	Eneo linalopakana na eneo la Reubeni, kutoka mashariki hadi magharibi litakuwa la kabila la Yuda.
EZK.48.8	Baada ya eneo la kabila la Yuda, utatenga eneo lenye urefu wa kilomita 12 na upana kama huohuo, kutoka kaskazini hadi kusini, na urefu huohuo kutoka mashariki hadi magharibi, sawasawa na eneo la kabila lolote. Hapo katikati ya eneo hilo patakuwa na maskani ya Mungu. 
EZK.48.9	Eneo utakalotenga kwa ajili ya Mwenyezi-Mungu litakuwa lenye urefu wa kilomita kumi na mbili u nusu kwa kilomita 10. 
EZK.48.10	Makuhani watakuwa na eneo lao katika eneo hilo. Eneo hilo litakuwa na urefu wa kilomita kumi na mbili u nusu kutoka mashariki hadi magharibi, na kilomita 5 kutoka kaskazini hadi kusini. Maskani ya Mungu itakuwa katikati ya eneo hilo. 
EZK.48.11	Eneo hilo litakuwa kwa ajili ya makuhani wa wazawa wa Sadoki, ambao walinitumikia kwa uaminifu na hawakuasi wakati Waisraeli walipoasi kama Walawi walivyofanya. 
EZK.48.12	Hilo litakuwa eneo lao maalumu kutoka katika eneo takatifu la nchi, eneo takatifu kabisa, litakalopakana na eneo la Walawi. 
EZK.48.13	Nao Walawi, eneo lao litakuwa kusini mwa eneo la makuhani. Eneo hilo litakuwa na urefu wa kilomita kumi na mbili u nusu kutoka mashariki hadi magharibi, na upana kilomita 5 kutokea kaskazini hadi kusini. 
EZK.48.14	Hakuna sehemu yoyote ya eneo hilo itakayouzwa au kutolewa kwa mtu yeyote, kwa sababu eneo hilo ni takatifu kwa Mwenyezi-Mungu; nalo ni bora kuliko yote nchini.
EZK.48.15	Ile sehemu ya eneo maalumu iliyobaki, yenye urefu wa kilomita kumi na mbili u nusu na upana kilomita 2.5, hilo ni kwa matumizi ya kawaida ya mji: Mahali pa kuishi na eneo la mashamba. Katikati yake kutakuwa na mji, 
EZK.48.16	nao utakuwa wa mraba, kila upande mita 2,250. 
EZK.48.17	Kuuzunguka mji, kutakuwa na eneo wazi lenye upana wa mita 125. 
EZK.48.18	Eneo ambalo litabaki baada ya kujengwa hekalu, kusini mwa mji, kilomita 5 kwa kilomita 2.5, upande wa mashariki, na kilomita 5 kwa kilomita 2.5 upande wa magharibi, litakuwa eneo la wakulima kwa wakazi wa mji. 
EZK.48.19	Wafanyakazi wa mjini wa kabila lolote la Israeli wanaweza kulima katika eneo hilo. 
EZK.48.20	Hivyo, eneo lote utakalotenga, yaani eneo takatifu pamoja na eneo la mji, litakuwa la mraba, kilomita kumi na mbili u nusu kila upande. 
