MAT.1.1	Hembu omukanda womana owoiheombwale ya
HEB.10.15	Ombepo Ondhilikwa mai tu hipululile wo okutya olutenga Kalunga ma tyaa:
HEB.10.16	“Hendi olyo li li 
HEB.10.16	ndime ka ninga nawo kon̯ima yomatango ngoka,
HEB.10.16	Oveta yandje me ke i twaa momitima vyawo,
HEB.10.16	he ke i sonekela momalipulo awo.”
HEB.10.17	Wa popya uke ha tyaa: “Híme ka thipaluka uke odhonkali novilinga vyawo ovivi.”
HEB.10.18	Avihe hembi avya ithwa po, kaapa hepwa uke omayambo okwiitha po odhonkali.
HEB.10.19	Vakwetu, napano tu na oluvedhe ndwaa kutuluka okuhita moudhilikwadhilikwa mena lyet̯o lya
HEB.10.20	Jesus we tu patululila ondjila ompe yomwenyo okupitila motjiyuvikilo, okutya okupitila molutu lwe omwene. 
HEB.10.21	Iya tu na 
HEB.10.22	Ngatu hweene puKalunga nomutima watjatjili mbuu na eliun̯iko lyeitavelo, nomitima mbyaa tjatjwa okudha melityoo lyouvi, nolutu ndwaa kohwa nomeva ngaa kohoka.
HEB.10.23	Ngatu kambulithe otjihipululo tjekevelelo lyetu, hátu tengauka. Iya ngwee tu pa eudhiko omuliun̯ikwa. 
HEB.10.24	Ngatu lit̯ilen̯i otjiho, nt̯e tu livandhipaleke, tu kale atu lihole, nt̯e tu liningile ouwa. 
HEB.10.25	Hátu yetha okwoongana pamo, ngavamo hiva yetha okwoongana pamo. Iya ngatu livandhipaleke, unene hitu lwete 
HEB.10.26	Iya andaa matu lundhile tjawina, nt̯e opo twa dhi pokutyaa otjatjili, kaapa kala uke eyambo lyokwiitha po odhonkali. 
HEB.10.27	Iya matu kevelele vala ekoyo ndimali tilitha, nekundungala lyomulilo ndimali hike mbamava kondjetha Kalunga.
HEB.10.28	Omuntu nguha tee k
HEB.10.29	Mamu lipula vi, oluyuma ndoka malu ka kala alu lithike pi kunguma tombo OmunwaKalunga, ha tala okutya 
HEB.10.30	Iya nt̯e tu mu i ngwaa popya ha tyaa: “Ame me kambulile ovantu onkongo, aame omwene me ke ve yumaneka.” Ma tya uke: “
HEB.10.31	Tjitilitha okuwila momawoko aKalunga omunamwenyo.
HEB.10.32	Iya thipaluken̯i omatango alukulu, himwa tungatelelwe notjiten̯i tjaKalunga, mwe likambulithilile ekondjo enene lyomatatetho. 
HEB.10.33	Poluvedhe lumo mwa penyenwe, hamu tatethwa movipathi vyovantu, poluvedhe olukwawo mwa ila omapanga nambava tatethwa ngan̯e. 
HEB.10.34	Iinga, iya mwa ihamekwa pamo nodhonkwatwa, hamu likambulithile nehuluko himwa pundwa omamona en̯i. Iya omena lyokutya mu tji i okutya mu na tjimo otjiwa hihamatji anda. 
HEB.10.35	Iya hámu yetha eliun̯iko lyen̯i, mena lyokutya eliun̯iko li na ondjambi onene. 
HEB.10.36	Mamu hepa okulikambulithila, opo mu hwithile po ehalo lyaKalunga, n̯e mu pewe soka hiee mu udhikila. 
HEB.10.37	Iya 
HEB.10.37	“Pe na vala okaluvedhe okanunu,
HEB.10.37	ngoka ngwaa thele okuya, me ya,
HEB.10.37	ye kaa kala ko.
HEB.10.38	Iya omuvyuuki wandje ma ka kala nomwenyo
HEB.10.38	mena lyeitavelo,
HEB.10.38	iya andaa ma tjuna mon̯ima,
HEB.10.38	omwenyo wandje kaau mu hulukilwa.”
HEB.10.39	Iya nt̯e katu ngala ovantu mboka mbava tjuna mon̯ima, va ka keke, iya matu itavele, omienyo vyetu vi hupithwe.
HEB.11.1	Okukala atu na eitavelo matji tya okukala atu na eliun̯iko ndyaa kola movipuka mbyoka mbimatu kevelele nambyoka mbihamatu ulu oku vi mona. 
HEB.11.2	Iya ovantu ovakulu va hopelwe kuKalunga mena lyokwiitavela kwawo.
HEB.11.3	Eitavelo olyo lye tu ninga tu tyee okutya ouye wa utwa nondaka yaKalunga, iya okutya novipuka mbii moneka vya ningwa movipuka mbihavi moneka.
HEB.11.4	Eitavelo olyo lya undapetha Abel, a yambe eyambo ewa okupon̯a olyaKain. Kalunga we mu mona okutya omuvyuuki, ha tambula otjali tje, mena lyeitavelo Abel ma popi uke, nandaku tiwa wa t̯a.
HEB.11.5	Eitavelo olyo lya popila Henok okutya ahama t̯i. Wa ithwa po kuKalunga, ahama moneka komuntu noumo, mena lyokutya Kalunga we mu twala meulu. 
HEB.11.6	Kape na tja ngume hulukilwa kuKalunga, andaa ke na tja eitavelo, mena lyokutya nguma hweene puKalunga, wa thele okwiitavela okutya Kalunga oko e li, ye ma thutu mbamave mu taendha.
HEB.11.7	Eitavelo olyo lya undapetha Noa, a tyee omalondolo aKalunga ngamaa popi ovipuka mbyoka mbimavi ke ya, ye mbiha ulile okumona. Noa wa tyaa kuKalunga, ha tungu 
HEB.11.8	Eitavelo olyo lya undapetha Abraham, a tyee kuKalunga hiee mu ithana, ha dhilukile kotjilongo soka hiaa ka pewa ngepingo. Abraham wa dhiluka motjilongo tjawo, ye kaa li ae i hoka huma i.
HEB.11.9	Eitavelo olyo lye mu ninga okutya a kale ngongendi motjilongo soka Kalunga hiee mu udhikila. Nahi u kala vala momasase, naIsak naJakob, mboka Kalunga mbaa udhikila epingo tuu ndyoka,
HEB.11.10	mena lyokutya Abraham wa li ama kevelele 
HEB.11.11	Eitavelo olyo lya ninga okutya Sara a ile ina yaIsak, nandaku tiwa wa li aa kulupa, matji tya kaa li ama ulu okwiila omut̯imba. Sara we liun̯ika Kalunga ngoka ngwaa hwithila po soka hiaa udhika.
HEB.11.12	Abraham nandaku tiwa wa li aa kulupa, muye mwa ka dha oluyumuko olun̯ingi nduu ngala odhonyothi keulu, nduhamalu ulu okuhawa, ngoluheke lwomawe kontyo yelunga.
HEB.11.13	Ovantu hemba avehe va t̯ila meitavelo. Wo kava mwene ovipuka mbyoka Kalunga mbyee ve udhikila, ve vi talela kokule, have vi hulukilwa. Va koneka okutya wo odhongendi novayenda kombanda yohi.
HEB.11.14	Ovantu mbava popya ovipuka mbyoka, va yulika okutya wo va taendha otjilongo tjawo. 
HEB.11.15	Ngaile va sokele kotjilongo hoka huva dhile, ngai va mona oluvedhe okutjuna. 
HEB.11.16	Iya va li ave na ehalo okumona otjilongo soka otjiwa tjomeulu okupon̯a soka huva dha. Iya Kalunga ke ve t̯ile ohon̯i, hive mu ithana Kalunga kawo, mena lyokutya we ve longekedhela otjitungwalongo.
HEB.11.17	Eitavelo olyo lya ningitha Abraham, a yambe omuna Isak, a ile eyambo, Kalunga hiee mu lolele. Abraham oye e li ye ngwaa pelwe omaudhiko kuKalunga, iya nandaku tiwa otjo nyahoka we lilongekedhele okuyamba omuna ongunga,
HEB.11.18	nandaku tiwa Kalunga wa heela Abraham ha tyaa: “Oluyumuko lwoye malu ka dha muIsak.”
HEB.11.19	Iya Abraham wa sokele okutya Kalunga me ke mu imunina Isak kout̯e. Iya wa pewa uke Isak ngangwaa dhi met̯o.
HEB.11.20	Eitavelo olyo lya undapetha Isak, a pe Jakob naEsau elao ndyoka ndimali ke ya.
HEB.11.21	Eitavelo olyo lya undapetha Jakob, a pe odhondele dhaJosef aveevali elao, tainkolo aheya t̯a. Wa kambulila kotjisawa tje, ha kumbu kuKalunga.
HEB.11.22	Eitavelo olyo lya undapetha Josef, hiaa popya ouhunga noludhilu lwOvaisraeli, tainkolo aheya t̯a, ha tya himava dhi moEgipiti omat̯ipa e ngave e ninge vi.
HEB.11.23	Eitavelo olyo lya undapetha ovanene vaMoses, ve mu holeke omiedhi vitatu, hiaa yumukwa. Va mono okutya ondele omuwa, wo kava tilile oveta yohamba.
HEB.11.24	Eitavelo olyo lya undapetha Moses, hiaa kulu, wa anya okutiwa ondele yatjaFarao.
HEB.11.25	Ye wa holowola okutya okutatethwa pamo novantu vaKalunga hahe okupon̯a okuhulukilwa oulundhi wopokaluvedhe vala. 
HEB.11.26	Ye wa mona okutya okupenywa mena lya
HEB.11.27	Eitavelo olyo lya undapetha Moses, hiaa dha moEgipiti, ahama tila oluyuma lwohamba. Moses wa vandhipala, mena lyokutya wa kala aa ngala u lwete Kalunga, ye nguha moneka. 
HEB.11.28	Eitavelo olyo lya undapetha Moses, opo a twee po 
HEB.11.29	Eitavelo olyo lya vandhipaleka Ovaisraeli, va ule okuyauka Elunga ethilantu ngambamava ende polukukutu, Ovaegipiti hiva lolo oku tji ninga, va ya nomeva.
HEB.11.30	Eitavelo olyo lya teyetha omakuma otjitungwalongo tjaJeriko, Ovaisraeli hive tji kondoloka omatango epanduvali.
HEB.11.31	Eitavelo olyo lya amena 
HEB.11.32	Nge twikile ko uke, ame tya vi? Hí na tja oluvedhe ndwaa hulu okuhipulula Gideon, Barak, Simson, Jefta, David, Samuel n
HEB.11.33	Mena lyeitavelo va kondjetha ovilongo, have vi ton̯a. Va undapa ouvyuuki, hava mono omaudhiko ngaa hwithilwa po, hava pata ovinyo vyodhonkeyama.
HEB.11.34	Va dhima omulilo mbuu na odhonkono, hava inkolo odhomemo dhomukonda, moungone va ningwa ovanankono, nodhombandhi movita, hava taata omangundwa ovakwavita odhongendi.
HEB.11.35	Ovakadhintu vamo va imuninwa ovat̯e vawo kout̯e.
HEB.11.35	Ovantu vamo va tatethwa tee va t̯i, wo kava halele okukutululwa, opo va mone eimuko kout̯e ewa.
HEB.11.36	Vamo va tonwa, hava penywa, hava kutwa nomalyenge, hava yedhililwa mokaliwoso.
HEB.11.37	Vamo va dhipawa nomawe, vamo va sahwa pokati, ovantu vamo va twelwa nomikonda, hava t̯i. Vamo va dhilauka, hava dhala ovipa vyodhondhu novyodhonkombo, va t̯a oluhepo, va lambwalambwa, hava mono ovihuna.
HEB.11.38	Ouye kawa li ouwa kuwo nokanunu. Va alauluka nomakuti nomodhondundu, hava kala momaleva nomomankomototo eheke.
HEB.11.39	Ovantu avehe mboka va pandulwa mena lyeitavelo lyawo, atjaa kava mwene hiva udhikilwa. 
HEB.11.40	Iya Kalunga u na hiee tu longekedhela otjiwa okupon̯a hehinya. Otjiwa hootjohi okutya wo mava ka mona vala ouwa pamo nant̯e.
HEB.12.1	Iya hitu na engundwa enene ndii lithike hempa lyodhombangi dheitavelo ndhee tu kondoloka, iya nant̯e wo ngatu yethe atjihe himatji tu tjaele. Ngatu yethe oulundhi mbuu likuta nant̯e. Okulipatela hehu hutu na ko komeho, ngatu likambulithile okudhamuka. 
HEB.12.2	Omeho etu ngaa tale ku
HEB.12.3	Lipulen̯i naJesus hiee likambulithila ovantu ovalundhi mbave mu kondjetha, opo hámu ulwa, n̯e ahamamu poyola. 
HEB.12.4	Iya mekondjo lyen̯i okukondjetha oulundhi, tee hempa kamuya tika ombindhi. 
HEB.12.5	Iya mwa dhimba odhondaka dhokuvandhipaleka, ndhimwa heelwa ngovana, ndhimadhi tyaa:
HEB.12.5	“Munwandje, hó tombo himo pukululwa ku
HEB.12.5	hó poyola amo yumanekwa kuye.
HEB.12.6	Iya Muhona u yumaneka ngwee hole,
HEB.12.6	u tona omuntu auhe ngoka ngwaa tambula, a ile omuna.”
HEB.12.7	Likambulithilen̯i himamu yumanekwa, Kalunga ma kala nan̯e ngovana. Pe na ondele nguha yumanekwa kwiihe? 
HEB.12.8	Iya andaa kaamu yumanekwa, okutya kamuvana womolukupo, iya muwodhombalethi. 
HEB.12.9	Hitu kala nootate, ve tu yumaneka, iya twe ve tumbaleka. Iya matu kala vi ahamatu tumbaleke Tate owomeulu, opo tu ule okukala atu na omwenyo? 
HEB.12.10	Iya ootate ve tu yumaneka mokaluvedhe okathupi, ngahi ve tji tala okutya otjiwa. Iya Kalunga u tji ninga mena lyouwa wetu ovene, opo tu kale atu na tja tjomoudhilikwa we. 
HEB.12.11	Iya omuntu poluvedhe ndoka ama yumanekwa, kombinga ye ka kala ae lwete okutya otjipuka otjiwa, iya u kala ae yuvite navi, iya mbava tekulwa nyahoka, kon̯ima okuyumanekwa hoka maku ka yandja otjinyango otjiwa tjouvyuuki.
HEB.12.12	Iya yelen̯i omawoko en̯i ngaa nampa, n̯e mu koleke odhongolo dhen̯i ndhaa nengena.
HEB.12.13	Enden̯i modhondjila ndhaa vyuukilila, opo ompadhi ndjaa lemana ahamai pikuka, iya i velulwe.
HEB.12.14	Kondjen̯i okukala nouwa novantu avehe, n̯e mu kondje okukala ovadhilikwa, mena lyokutya kape na nguma ka mona 
HEB.12.15	Talen̯i okutya ahamapa kala omuntu ngume liitha mo met̯ilonkenda lyaKalunga. Talen̯i okutya ahamapa kala omuntu nguma ngala otjitho hitji na oudhioo, hitja lula, hatji kulu, hatji etele ovantu oudheu owingi noudhioo watjo.
HEB.12.16	Iya talen̯i okutya ahamapa kala omuntu nguma i movihulo ne nguhe na ouvyuuki ngaEsau, ngwaa landetha po ounene we komunitje elonga lyovikulya.
HEB.12.17	Iya mu tji i okutya, komeho hiaa ka kala ama hala okupewa elao, wa yethwa, mena lyokutya kaa li uke ama ulu okulundulula hiaa undapa, nandaku tiwa elao we li lilila nomihodhi.
HEB.12.18	Iya n̯e kamu hweenene pondundu ndjii t̯in̯wa nomawoko, ndjii tema omulilo, ndjii na et̯iku, otjilwiilwii nombula yongandavila,
HEB.12.19	hukwa teekele onkwino nondaka ndjaa li amai popi unene, Ovaisraeli hiva teele ondaka ndjoka onene, va kumba okutya háva heelwa uke. 
HEB.12.20	Wo kava li amava ulu okulikambulithila okuteelela elaka ndiva li amava heelwa, ndyaa li amali tyaa: “Notjipako andaa tja t̯in̯i kondundu ndjoka ngatji tonwe nomawe, tji dhipawe.”
HEB.12.21	Iya mena lyemoneko ndyoka ndyaa li amali tilitha, Moses wa popya ha tyaa: “Mba tila, me teketa.”
HEB.12.22	Iya n̯e mwe ya kondundu yaSion nokoJerusalem tjomeulu, k
HEB.12.23	N̯e mwe ya kotjipito tjehuluko nok
HEB.12.24	N̯e mwe ya ku
HEB.12.25	Iya talen̯i okutya kaamu anya okuteelela nguma popi. Iya andaa ovantu mboka kava inkolele, ngwee ve londola ae li kombanda yohi, nt̯e matu ulu vi okwiinkola Kalunga ngume tu londola ae li meulu?
HEB.12.26	Ondaka yaKalunga ya teketethele ohi, iya napano wa udhika ha tyaa: “Híme ka teketetha uke ohi otjikando tjimo vala, iya me ka teketetha wo neulu.”
HEB.12.27	Ondaka hendji ndjimai tyaa: “Otjikando tjimo uke” mai yulike okutya ovyuutwa avihe mbyaa teketethwa, mavi ka ithwa po, opo mbihavi teketele, vi kale po.
HEB.12.28	Ngatu pandule, himatu pewa otjilongo hihatji teketa. Ngatu pandule nt̯e tu undapele Kalunga nonkalo ndjimai mu thevelwa, atu na etumbaleko nontilo. 
HEB.12.29	Iya Kalunga ketu oye e li omulilo mbuu lungwinitha.
HEB.13.2	Hámu dhimbi okuyakula odhongendi. Pe na vamo mbava ningile nyahoka, hava yakula ovaengeli, wo ahave tji i.
HEB.13.3	Thipaluken̯i odhonkwatwa, mu ngale mbamwa kambulwa pamo nawo. Thipaluken̯i mbava monethwa ovihuna, mu ngale mbamwa monethwa ovihuna pamo nawo.
HEB.13.4	Olukupo ngalu tumbalekwe kovantu avehe. Ngwaa kupa nangwaa kupwa, auhe nge liun̯ike momukwawo. Iya Kalunga ma ka koya mbave li movihulo, nambava yona olukupo.
HEB.13.5	Monkalamwenyo yen̯i hámu kala nolwiho nodhombongo, himu na tjo ngatji mu hule, mena lyokutya Kalunga ma tyaa: “Ame híme ku yetha nokanunu, híme ku thii po.”
HEB.13.6	Iya ngatu kalen̯i atu na eliun̯iko, nt̯e tu tye:
HEB.13.6	“
HEB.13.6	hí na hime tila,
HEB.13.6	omuntu ma ndingi tji?”
HEB.13.7	Thipaluken̯i ovaviyuli ven̯i, mbave mu heela ondaka yaKalunga. Lipulen̯i onkalo yawo okutya ya li vi, n̯e mu holele eitavelo lyawo. 
HEB.13.9	Hámu twalwatwalwa komalongo ngae lili nangae lili, ngahamu i. Iya onawa omutima u kolekwe ket̯ilonkenda lyaKalunga, hakoveta yovikulya ndjaa tuwa po, oveta yovikulya kaai popile mboka mbave vi lya.
HEB.13.11	Omuyambethi omunene, Omujuda, u eta ombindhi yovipako moudhilikwadhilikwa, opo e i yambe mena lyodhonkali. Iya omituntu vyovipako vi hikilwa kotjila tjokamba.
HEB.13.12	Iya naJesus wo wa t̯ila kotjila tjotjivelo tj
HEB.13.13	Iya nant̯e ngatu enden̯i kuye kotjila tjokamba, tu ka penywe pamo naye. 
HEB.13.14	Iya kombanda yohi katu na ko otjitungwalongo himatji kalakala ko, iya matu taendha otjitungwalongo himatji ya. 
HEB.13.15	Ngatu yamben̯i Kalunga apehe eyambo lyompandu, okupitila muJesus, iya okuhipulula ena lye otjo tji li eyambo lyovinyo vyetu. 
HEB.13.16	Hámu dhimbi okuundapa ouwa nokuliyandjela mbimu na vyo, mena lyokutya omayambo ngae li nyahoka, mae hulukitha Kalunga.
HEB.13.17	Tyeen̯i kovaviyuli ven̯i, n̯e mu landule himava popi. Va t̯ila omienyo vyen̯i otjiho, kava thuva, mena lyokutya mave ke vi pulwa kuKalunga. Andaa mamu ve tee, wo mava undapa nawa ovilinga vyawo, iya andaa kaamu ve tee, mava undapa noluyuma okutya nyahoka katji na himatji mu popile.
HEB.13.18	Iya tu kumbilen̯i. Nt̯e tu na omalityoo omawa, matu hala okweenda nawa movipuka avihe. 
HEB.13.19	Ame, unene me hala oku mu ilikin̯a, mu nkumbile, opo Kalunga a ntume uke kun̯e dhiva.
HEB.13.20	Iya Kalunga kouwa, wa imuna kout̯e 
HEB.13.21	Iya Kalunga nge mu pe ouwa auhe, opo mu undape ehalo lye. Kalunga nga undape munt̯e tu mu thevelwe okupitila muJesus 
HEB.13.22	Iya vakwetu me mu ilikin̯a, likambulithilen̯i hime mu ilikin̯a, mena lyokutya mbe mu sonekela vala pauthupi. 
HEB.13.23	Me mu heele okutya omukwetu Timoteus wa dhi mo mokaliwoso, andaa we ya dhiva, matu ya naye tu mu valulile po.
HEB.13.24	Menekelen̯i po mbave mu viyula avehe, n̯e mu menekele po ovadhilikwa avehe. Menekelen̯i po 
HEB.13.25	Et̯ilonkenda lyaKalunga ngali kale nan̯e amuhe.
JAS.1.1	Omukanda hembu mau dhi kwaame Jakob, omuntu waKalunga nowa
JAS.1.1	Me menekele po omaanda omulongo naavali ngoka ngaa handjana nouye auhe.
JAS.1.2	Vakwetu, litalen̯i okutya muvanalao, andaa mwa vadhwa komatyoletho ngae lili nangae lili. 
JAS.1.3	Mu tji i okutya okulolwa kweitavelo lyen̯i maku eta elikambulithilo. 
JAS.1.4	Elikambulithilo ngali kale notjilinga hitja hulu, opo mu hwile po, ahamamu kala amu na himwa hepa. 
JAS.1.5	Iya andaa umo owomun̯e ma hepa ounongo, nga kumbe kuKalunga, me u pewa. Kalunga u yandja kovantu avehe, ka pungulula. 
JAS.1.6	Iya nga kumbe ae na eitavelo, há limbililwa, nguma limbililwa ma ngala ekuthikuthi lyelunga amali twalwatwalwa nokupepwa kombepo, 
JAS.1.7	omuntu nguu li nyahoka, nga iwe okutya ke na hima pewa ku
JAS.1.8	mena lyokutya u na omahumbakuvali, ye omutengauki movilinga vye avihe.
JAS.1.9	Mukwetu omuthona, Kalunga ae ku pa ouhona womombepo, hulukwa. 
JAS.1.10	Omuntu omuhona, Kalunga ae ku tjun̯a pohi, wa thele okuhulukwa, mena lyokutya omuhona ma ka t̯a ngontemo yehodhi.
JAS.1.11	Etango alya tumbu, li eta oupyu, ehodhi hali kukuta, odhontemo dhatjo hadhi laumuka ko, outhewe wontemo hau t̯i po. Iya nomuhona otjo ma ka t̯a nyahoka, tainkolo ae litwaa movipuka vye.
JAS.1.12	Omuntu omunalao ongume likambulithile omatyoletho. Iya aa ton̯a omatyoletho, ma ka pewa ohala yomwenyo, hembu Kalunga mbwaa udhikila mboka mbave mu hole. 
JAS.1.13	Omuntu ama tyolethwa, há tyaa: “Okutyolethwa hehu kwa dhi kuKalunga,” mena lyokutya Kalunga omwene ka tyolethwa kouvi, ye ka tyoletha omuntu nokanunu. 
JAS.1.14	Omuntu auhe u tyolaethwa kehalo lye omwene evi ndii mu nana, hali mu hekaheka. 
JAS.1.15	Ehalo evi andaa lya ningi et̯imba, li yumuka oulundhi. Oulundhi andaa wa kulu, u eta et̯o. 
JAS.1.16	Vakwetu ovahivilikwa, hámu kembelwa po! 
JAS.1.17	Ovipuka avihe oviwa mbimo pewa, notjali atjihe hitja hwile po, tji dha kombanda kuKalunga, kuIhe yotjiten̯i, hatji ya pohi, amatji dhi kuhengu nguhe na omalundauluko ne omapilauluko otjiten̯i net̯iku. 
JAS.1.18	Kalunga we tu pa omwenyo kehalo lye omwene okupitila mondaka ye yatjatjili, opo tu kale owolutenga movyuutwa vye.
JAS.1.19	Vakwetu ovahivilikwa, iwen̯i okutya iya napano omuntu auhe onawa a tyee dhiva, há kanyauka okupopya, há yumana dhiva. 
JAS.1.20	Oluyuma lwomuntu kalu undapa hitja vyuukile Kalunga. 
JAS.1.21	Iya yethen̯i osilo aihe, nouvi auhe, n̯e mu tutuvale, mu tambule ondaka ndjimwa twikwa, ndjimai ulu okuhupitha omienyo vyen̯i. 
JAS.1.22	Tyeen̯i odhondaka dhaKalunga, hakuteelela vala nokulikembela po. 
JAS.1.23	Iya andaa pe na nguu teelela odhondaka dhaKalunga, ye ahama ningi ngahi madhi hee, u ngala omuntu ngume litalele motjilivandjelo, 
JAS.1.24	u litala, aa dhi po, u dhimba dhivadhiva okutya wa ombo ae li vi. 
JAS.1.25	Iya ngume lilongo moveta ndjaa hwila po, oveta ndjimai kutulula ovantu modhonkali nomet̯o, ye he i kambulitha, ye ahama kala omuteeleli vala nguu dhimba, iya ongume i kambulitha, ma kala omunalao movilinga vye. 
JAS.1.26	Andaa pe na ngume limono okutya omuundapelikalunga, atjaa ye ka kambula nawa elaka lye, u kembela po omutima we, omuntu ngoka okuundapela kwe Kalunga kaku na himaku popile. 
JAS.1.27	Eundapelokalunga ndyaa kohoka kotjipala tjaKalunga Tate, okutala odhothiwa novahepe momaudheu awo nokulipopila okutya ye ahama silikwa kouye.
JAS.2.1	Vakwetu, himu na eitavelo mu
JAS.2.2	M
JAS.2.3	mu tala ngwaa dhala omidhalo vyouhona, hamu tyaa: “Kala pohi hempa popawa,” iya omuthona mu mu heela hamu tyaa: “Ove kulama hoka ne kala pohi hempa pondambo podhompadhi dhandje.” 
JAS.2.4	Amamu lipungaulula nyahoka, kaamu undapa ovipuka ovivi? 
JAS.2.5	Vakwetu ovahivilikwa, teelelen̯i! Kalunga ka holowolele nan̯i mbava talwa mouye okutya ovathona, va ile ovahona meitavelo nodhompinga dh
JAS.2.6	Iya n̯e mwa tomba ovathona. Mbave mu tatetha nambave mu twala movipopya nan̯i havahona? 
JAS.2.7	Ovahona hawo va penya ena ndyoka ewa mumwa lukilwa? 
JAS.2.8	Mamu ningi nawa, andaa mamu hwithile po oveta yopauhamba m
JAS.2.9	Iya andaa mamu ningi okapungulula, mamu lundha, noveta mai mu pengele, n̯e ovayoni woveta. 
JAS.2.10	Iya nguma kambulitha oveta aihe, atjaa ha yono otjitumino tjimo okutya wa yono ovitumino avihe. 
JAS.2.11	Iya ngwaa popya ha tyaa: “Hó yono olukupo,” oye a popya wo okutyaa: “Hó dhipaa.” Iya ove nandaku tiwa ku yonene olukupo, atjaa ove ho dhipaa, wa ile omuyoni woveta.
JAS.2.12	Popyen̯i ne mu undape ngovantu mbamava ka koywa koveta ndjimai ve kutulula. 
JAS.2.13	Mbahave na onkenda novakwawo kaava ka t̯ilwa onkenda, iya mbave na onkenda mava ka ton̯a ekoyo.
JAS.2.14	Vakwetu, tji na ouwa watji, amo tya u na eitavelo, ove himo undapa ahamatji yulike okutya u na eitavelo? Eitavelo ndii li nyahoka mali ku hupitha? 
JAS.2.15	Andaa omukwen̯i u li nyahinya ne ke na tja ovikulya, 
JAS.2.16	atjaa umo owomun̯e he mu heele ha tyaa: “Enda po nawa, dhala omidhalo omiwa, lya ovikulya oviwa,” matji popile tji, andaa n̯e kaamu mu pa soka hima hepa. 
JAS.2.17	Iya eitavelo ndii li nyahoka kali na tja ovilinga, lya t̯a. 
JAS.2.18	Pamo pe na nguma tyaa: “Matji tjiiwa okukala neitavelo ndihali na tja ovilinga.” Ame me mu yaka ame tyaa: “Ndjulikila ndje eitavelo ndihali na tja ovilinga, ame me mu yulikile eitavelo lyandje movilinga vyandje.” 
JAS.2.19	Ove wa itavela okutya Kalunga yuumo, iinga wa ninga nawa, iya n
JAS.2.20	Muvahima vanavi! Mamu hala okuyulikilwa okutya eitavelo ndihali na tja ovilinga lya t̯a? 
JAS.2.21	Tateombwale Abraham wa ningwa omuvyuuki kovilinga hiaa yamba omuna Isak kotjiyambelo.
JAS.2.22	U lwete atjaa eitavelo hilya undapa pamo novilinga vye, neitavelo hilya hwithilwa po kovilinga? 
JAS.2.23	 wa hwithilwa po mbumau tyaa: “Abraham wa itavela muKalunga, Kalunga we mu tala okutya omuvyuuki.” Iya okutya wa li aa tiwa epanga lyaKalunga.
JAS.2.24	Mu lwete okutya omuntu ma ulu okuningwa omuvyuuki kovilinga, hakeitavelo vala aliika. 
JAS.2.25	Hátjo ngahi tja ningwa wo k
JAS.2.26	Iya olutu ahalu na tja omwenyo, lwa t̯a, iya neitavelo wo ahali na tja ovilinga, lya t̯a.
JAS.3.1	Vakwetu, ovengi hámu ile ovalongethi, mu tji i okutya nt̯e ovalongethi matu ka koywa unene okupon̯a ovakwetu. 
JAS.3.2	Iya nt̯e atuhe tu lundha unene. Andaa pe na nguha lundha ama popi, omuntu ngoka u li nawa unene, ma ulu okutumina olutu lwe aluhe. 
JAS.3.3	Atwa twaa ovitomu movinyo vyodhonkambe, tu dhi endetha, hatu dhi vyuukitha akuhe humatu hala. 
JAS.3.4	Talen̯i odh
JAS.3.5	Elaka nalyo wo okan̯ipo okanunu, atjaa li litangela ovipuka ovinene. Taa tuutuu, ontepantepa i hika okuti. 
JAS.3.6	Elaka omulilo, li li ngouye mbwaa lundhaka. Elaka movin̯ipo vyetu li silika olutu aluhe, hali twaa onkalamwenyo yomuntu momulilo mbwaa tema, mbuu dha moheli. 
JAS.3.7	Omuntu ma ulu okulonga, u longa ovipuka mbii na omwenyo avihe ngahi tji li: Ovithitu, ovidhila, oviyaladhi novipuka vyomomeva, 
JAS.3.8	atjaa elaka kape na omuntu noumo nguma ulu oku li dheula. Elaka ouvi mbuhau tjiiwa okudheulwa, mbwee yula oudhioo, mbuu eta et̯o. 
JAS.3.9	Elaka olyo tu hivilika nalyo 
JAS.3.10	Vakwetu, katja thele okukala nyahoka, motjinyo mumamu dhi odhondaka dhelao, hamu dhi uke odhondaka dhomathingo. 
JAS.3.11	Othimo mai ulu tuu okupupa mondjila yayo imo mu dhe omeva omawa nomeva ngaa lula? 
JAS.3.12	Vakwetu, omukuyu mau ulu okuma odhoholivi ne omuve mau ulu okuma omakuyu? Othimo yomeva ngaa lula kaai ulu okweeta omeva omawa.
JAS.3.13	Aan̯i mokati ken̯i nguu na odhondunge nounongo? Nge tji yulike nonkalo ye ombwa novilinga vye oviwa vyounongo mbyaa tutuvala. 
JAS.3.14	Iya andaa mu na onki nolwiho momitima vyen̯i, hámu litanga, n̯e hámu kembe okukondjetha otjatjili. 
JAS.3.15	Ounongo mbuu li nyahoka kau dhi kombanda, iya owouye, wountu nowoundiapoli. 
JAS.3.16	Mpape na onki nokulihole ovene, pa kala okungwangwana novilinga avihe ovivi. 
JAS.3.17	Ounongo mbuu dha kombanda, olutenga wa kohoka, u na ouwa, u na olukeno noupanga, we yula onkenda novilinga oviwa, kau na tja omalimbililo ne ovineya. 
JAS.3.18	Omuntu nguu eta ouwa, aa kunu ombuto youwa, ma ka teya ouvyuuki.
