MAT.1.1	Ḿfa nâ ane ndə́p-i-njû Jisos Krayis nnyo eyábhé-mmon í Debhit. Debhit a ri eyábhé-mmon Abraham.
REV.2.20	“Kən ejûm ebhí é rî jə́t nji ó yimá ên. O kí ko ên ka tebhe na nne-nkáé nnyó sê Jesebel. Jesebel ń səra se yê a ri nkara-otîp Obhasi. Kən a kí kpighâ ane abhámé, a rirá ábho á gyé ka achot akôp enuŋúm na ane, á dí fə́ne édî nji á jom á kare njom.
REV.2.21	N káre nne-nkáé nnyó ebhú bəre a yóŋé ḿbə́ŋé a maghé obhí obhê, kən á bhó kam. 
REV.2.22	N kí tup mân nne-nkáé nnyó emaŋé. Ane fə́ne mba á nuŋí na yê, á ká yoŋe ḿbə́ŋé á mághe obhí ábho, n kí karé ábho ekpatə́m oseŋe. 
REV.2.23	N kí yui atóbhá abhê. Ka ekpak njí, atóbhá abhámé chénchén ka bichəme ka ngûm ka ngûm, tîk á mə́ŋe mân sê mme a ri yê nnyo á məŋá nji nne á kera ka echî na nji é rî nne ka ḿbə́ŋé. N kí karé fə́ne kpe énê ka ekpak etûm nji nne a yimî.
REV.2.24	“Kən ên fép mba ngá ka Tayatira, ó ka tóp ên okpígha-ejûm í nne-nkáé nnyó, ó ka tóp ên achot mma ane mba ngá á bhíŋa sê mfoné esə́n í nchot i Satan. Ka obhô mbí, etûm etat n kí kpo karé ên cháŋ. 
REV.2.25	Kən n kí səre ên bəre ó fî ên ka nji ó fon ên mfá-mfá, chik ên ə̂m ta m bák.
REV.2.26	“Nne nnyo a kí fon érûm ka achot mmá ta a sî ntə̂m, n kí karé yê otúi nték i ngun.
REV.2.27	‘Eték í ngun kpe njə́n
REV.2.27	é rî ka óséré otúi obhê.
REV.2.27	A kí bhibhi ábho á mân oman
REV.2.27	noŋ nne á bhibhi nná ebhí nji á yími na otop.’
REV.2.27	A ri ka ekpak njí Ńsé omé a karê ə̂m ikom, nâ noŋ fə́ne n kí karé ên.
REV.2.28	“Nne nnyo á fon érûm ka achot mmá, n kí karé yê fə́ne írʉnândʉ ofú.
REV.2.29	“Nne nnyo á fon otûŋ, deê a yúk ejûm nji Ntʉgantʉ Obhasi a chorê mbâ bichəme atóbhá abhámé.”
REV.3.1	A chorê se, “Sêŋ karê énjel nnyo á bhabha echəme atóbhá abhámé ka Sadis a sə́ré ábho se, ‘Ḿfa nâ nchot nnyi a dʉ ka nnyo nne nnyo a fonê ńtʉgântʉ enígisá nnyi Obhasi, é kpê na ńdʉnândʉ nnígisá.’ ”
REV.3.1	A chorê se, “Ḿ məŋe ntûm eyəné. Ane á chóra sê ên nâ o ri ka ekpin, kən áfúbhí. Ó kpo ên. 
REV.3.2	Nâ duî ên mân ngyím! Fiî ên mô ekpin nnyo a kə́re ên áno ka ikom, o kâ jéghe ên okpó. Ka nan? Ntûm eyəné á ka tʉrí obhik ka ochî Obhasi omé. 
REV.3.3	Nâ tirâ ên mân ejûm nji á kpíi ên, ên fə́ne o kâm ên. Yûk ên ńjə́ne! Ó yóŋé ḿbə́ŋé ó mághe obhí obhə́né. Ájoé ó bhó nyəmé, ó yóŋé ên ekpin, n kə́ bha ka ebhə̂t noŋ nyághá-ejʉ̂. Ó bhó məŋé ên ebhú nji n kə́ bha oyim ên ejûm.
REV.3.4	“Kən kpe noŋ é rî áno, etʉ̂ obhiŋ ó rî ka eték í Sadis. Ane mbá nâ á ká nyobhé biji ábho. Ḿba tîk á kâk ábho oguŋi ejík á jên na mme, ka ń yen ábho bəre á bhik.
REV.3.5	“Nne nnyo á fon érûm ka achot mmá, á kí kak yê oguŋi ejík noŋ ábho. Tîk ḿ bó yighí mbiŋ eye ka nwet nnyi á séŋe obhiŋ ane mba á fon ekpin ótúm-ótúm. N kí gyimi ntî-isê nne ányo ka ochî Ńsé omé na baénjel abhê bəre a ri nne omé.
REV.3.6	“Nne nnyo á fon otûŋ, deê a yúk ejûm nji Ntʉgantʉ Obhasi a chorê mbâ bichəme atóbhá abhámé.”
REV.3.7	A chorê se, “Sêŋ karê énjel nnyo á bhabha echəme atóbhá abhámé ka Firadefiya a sə́ré ábho se, ‘Ḿfa nâ nchot nnyi a dʉ ka nnyo nne nnyo a ri mfoné-mfoné Obhô-orûm Obhasi. Yê nâ a fiî ogbógóró Debhit. Á rəbhé, mbámá cháŋ. Á fin, ndəbhá cháŋ.’ ”
REV.3.8	A chorê se, “Ḿ məŋe ntûm eyəné nnyi ó yimá ên. Ńgyê, ń dəbhe itə̂m ḿ maghe fóŋ, mbámá cháŋ. Ḿ məŋe bəre ńgyímí eyəné ka eték á ka son, kən ó fi ên ka nji á kpíi ên, ó ka taŋé ên ə̂m. 
REV.3.9	Ane mba Satan a yîm ábho óchâm obhê, ane áfúbhí mba á sə́ra sê ábho ane Jus, kən áno asík, tîk n yîm ábho á bhá təm arúŋ ka ochî obhə́né, á kâm sê mme n korê ên okot.
REV.3.10	Ka eji ó yuk ên nchot nnyi n sə́re ên bəre kpe ó yena ên oseŋe, kə̂p ên ḿbə́ŋé, n kí yighí ên ka achot mma a kə́ bha ka ngun ndə́m. Achot mmá á kí gaé chénchén ane ka ngun.
REV.3.11	“N kə́ bha mkpât ebhú. Fiî ên ka nji á kpíi ên, ka chághe ên ache, nne a kâ bhâ otabhé itam érûm ejə́né.
REV.3.12	“Nne nnyo á fon érûm ka achot mmá, n kí yim yê nâ ego nji é fíi ókʉ́rí achot Obhasi. Nne nnyo a kí kpo yighí yê ka ókʉ́rí mbí cháŋ. N kí seŋ mbiŋ Obhasi omé ka biji nne ntʉ́ghi nnyó. N kí seŋ fə́ne mbiŋ eték Obhasi omé. Eték í nchane nâ Jerusarem nnyi fê nnyi a dʉ mbâ Obhasi omé ka ósô. Tîk n sêŋ fə́ne mbiŋ i mfê amé ka biji ibhê.
REV.3.13	“Nne nnyo á fon otûŋ, deê a yúk ejûm nji Ntʉgantʉ Obhasi a chorê mbâ bichəme atóbhá abhámé.”
REV.3.14	A chorê se, “Sêŋ sə́re énjel nnyo á bhabha echəme atóbhá abhámé ka Layodisiya a sə́ré ábho se, ‘Ḿfa nâ nchot nnyi a dʉ ka nnyo nne nnyo á bhíŋa nná sê A ri Áno. Yê a ri mfoné-mfoné ntî-isê nnyo á bhó yoŋe eyum. Yê a ri Ntûfâm iyîm chénchén mbi Obhasi a yimî.’ ”
REV.3.15	A chorê se, “Ḿ məŋe ntûm eyəné. Ên ó bhó kak ên biji ka achot amámé kpe-eji, ó bhó tʉ ên njəm eróŋ kpe-eji. Kə́n n wôm ofi ên ka jə́t. 
REV.3.16	Ka nne á bhó məŋé osə́ré ngyím eyəné ka achot amámé, ó bhó kak ên biji kpe-eji, ó bhó tʉ ên fə́ne njəm kpe-eji, n kí bhum ên ńgô noŋ nne a fə́me oson ka nsi. 
REV.3.17	Ó sumá ên obhô-ngaŋ sê, ‘Mme nne ntí, ń chəbhe nne-nyúp, kpe nji m kpô wóm cháŋ.’ Ó bhó məŋé ên ngá sê kpe ejûm ó ka fon ên, nne á yen ên nsôn a yîm yê. Ên a ri akpák, o ri ên noŋ atáná-amə̂t, o ri ên oyán.
REV.3.18	“N kí ta ên mân etí bəre, ó nâm ên gûl mbâ amé nnyi á yóe na ngûn, tîk o gbô ên efaŋ. Kó ên mfô ejík mbâ amé nnyi a kí bhuí oyán obhə́né, a yíghi ên oyúbhá-echî. Kó ên fə́ne njân mbâ amé o kâk ka amə̂t á rə́bhe, o kpô yén ên mbá. 
REV.3.19	A ri ane mba ń kot nâ ń toŋa áno obhí ábho, m kpərá ábho bəre á yóŋé ḿbə́ŋé ka etʉri, á mághe obhí ábho.
REV.3.20	Ńgyê mme, n gyím ka itə̂m, n súmá njû. Kpe nnyón nne nnyo á yuk eyum ejámé, a bhâ rə́bhe njû, n kí gye n di édî na yê, yê fə́ne a dî na mme.
REV.3.21	“Nne nnyo á fon érûm ka achot mmá, tîk n kâm yê a kúmi na mme ka ekumi otúi ejámé. Nâ ekpak fə́ne nji mme ḿfoné m fonê érûm, n kúmi na Ńsé omé ka ekumi otúi ejê.
REV.3.22	“Nne nnyo á fon otûŋ, deê yê a yúk ejûm nji Ntʉgantʉ Obhasi a chorê mbâ bichəme atóbhá abhámé.”
REV.4.1	Ńji é kpó chiŋ, n kêp áfo mbá-ochî obhámé, n yên mbá nnyi o kí chiŋ kən o gyê ósô, a ri fóŋ.
REV.4.1	Ndaŋa-mbá eyum nji n yúghi nná, é chorá na mme, ejok noŋ abhukpoŋ. Eyum njí é kpô chot sê, “Bhák kpíri ngá, n di ń tóŋé wâ ejûm nji é kí fap ka ntə́ma-njəm ebhú.” 
REV.4.2	Ka ngyím ányi Obhasi Ebhare Ntʉgantʉ a gyê ə̂m ka biji. N yên ekumi otúi ósô é fâp áfo ka ochî obhámé. Nne a kun ka ekumi njí.
REV.4.3	Nne nnyo a kun nná áfo, ochî obhê ó runá noŋ atáé etat mma á bhíŋa sê jaspa na kanériyan. Ibhaŋ í ngurobhú, í gaá nná enyaghám, í fáre ekumi otúi njí í kâk ka étíŋanti. 
REV.4.4	Bikumi otúi etat esam na énî í rî, í fáre ekumi njí. Ane-akúí eték esam na ánî á kûn fə́ne ka bikumi mbí. Á kághe ábháré ḿfô ka biji, á kəbhe ntam otúi mmi á yími na gûl. 
REV.4.5	Ka eji ekumi nji étíŋanti njí, nyaŋanya a róghe eyimím. Nsân a róghe fə́ne egboóm. Mbá-ochî ekumi njí, biyâŋ noŋ á nyóe ńsáé ń dî nnígisá. Ḿfa nâ ńtʉgântʉ enígisá nnyi Obhasi.
REV.4.6	Mbá-ochî ekumi njí eróŋ, ejûm etat é rî áfo ka nsi noŋ efe, meé noŋ aya. Ejûm njí é rî fə́ne jáé noŋ ayép.
REV.4.6	Ka étíŋanti, iyîm etat í rî mbít í gyími, ńji ka ejê eji, ngûm énî, í fáre ekumi otúi njí. Iyîm mbí í fone amə̂t etî-etî, etʉ̂ mbá-ochî, etʉ̂ mbá-njəm.
REV.4.7	Iyîm í mbít mbí, nji ndaŋa-mbá é rî noŋ nki, enyeré noŋ ndûm i mfoŋ. Nji tat é fóne ochî noŋ mbi nne, osúí ínî noŋ ébhêk é fəbhá ka ósô. 
REV.4.8	Iyîm mbí ínî kpe njə́n é fóne afabhe aságasá. Kpe njə́n eji biji ábho amə̂t-ámə̂t, kpe na óséré afabhe ábho. Na atʉ́ oo, na efín oo, iyîm mbí í bhó re ekonóm sê,
REV.4.8	“Obhasi, we a ri Ntûfâm nnyo o chíŋi ochíŋ.
REV.4.8	We a ri Obhasi ejík na efaŋ na ekpin ka nnyen-i-mbá.
REV.4.8	Éməné we o ri, mfá-mfá o ri, we nâ o kə́ bha ka nsígha-njəm ebhú.”
REV.4.9	Kpe bhaghé ebhú nji iyîm mbí ínî í karé nkat na ekûp na ejík mbâ nne nnyo a kun áno ka ekumi otúi njí, yê nnyo ekpin ejê é ká fon ntə̂m, 
REV.4.10	ane-akúí eték mbá esam na ánî á kí gbo áfo ka ochî nne nnyo a kun nná ka ekumi otúi njí, á káre yê ejík, yê nnyo ekpin ejê é ká fon ntə̂m. Á kí yighí ntam otúi ábho á kî áfo ka ochî ekumi otúi njí, á róghe ekónóm sê,
REV.4.11	“Ńtâ Obhasi owəré.
REV.4.11	É nóbhe, é bhîk fə́ne sê ngun á káre wâ nkat na ejík,
REV.4.11	á yúbhi fə́ne ikom ifâ.
REV.4.11	Echî aŋ? We nâ o yimî nná chénchén ejûm.
REV.4.11	We fə́ne nâ o wóme ó yîm ḿbə́ne, kən ó yim.
REV.4.11	Iyîm chénchén í rî fə́ne, ka we ó kot se í jóe.”
REV.5.1	N yên ekpak í nwet etat nji á fə́re ofə́t. Nne nnyo a kun ka ekumi otúi njí a fî nwet nnyí ka obhô-orûm. Á sêŋ iyîm njəm ekpághé nwet nnyí ébháe fép. Á kóe iyîm etat á yîm mbuí ekpak í nwet nnyí á fîn ka ngûm enígisá.
REV.5.2	N yên mân ndûm i énjel yót a fâp a kí bhəp na ndûm eyum se, “Énê nnyo a bhighî eyighím mbuí ekpághé nwet nnyí, a rəbhé ńnyə́ne?” 
REV.5.3	Kən kpe nne yót ka ósô, kpe ka nsi, kpe ka eték akə́bha-nsi, nnyo a bhighî ekpághé nwet njí orəbhé a kép ńjə́ne, á ka fáp. 
REV.5.4	M gbô ka ekʉ̂ n kí rʉri bəre á ká yen kpe nne yót nnyo a bhighî ekpághé nwet njí erəbhə́m a kép ńjə́ne.
REV.5.5	Kən nne-nkúí yót ka mba á rî nná áfo a chôt se, “Ka kpó rʉri. Ńgyê nne nnyo a ri nâ Nki ka ndə́p-i-njû Juda, ndûm eyábhé-mmon í Debhit, a nôk a kô érûm. Mfá-mfá a bhîk nji a kí wa ngûm enígisá nnyi á fíni nná ekpághé nwet njí, a rəbhé ńjə́ne.”
REV.5.6	Ka étíŋanti ekumi otúi njí n yên Mmon-i-njo-mbúi a fâp, a gyími. Iyîm í mbít mbí ínî na ane-akúí ane mbá, á rî á fáre yê. Mmon-i-njo-mbúi nnyó a ri noŋ kpe á yúi oyúí. A ri na abhaŋ anígisá, amə̂t anígisá. Amə̂t mmá a ri ńtʉgântʉ enígisá Obhasi nnyi a túmi ka ngun ndə́m.
REV.5.7	Mmon-i-njo-mbúi nnyó a jî kô ekpághé nwet njí ka obhô-orûm í nne nnyo a kun áno ka ekumi otúi njí. 
REV.5.8	Nji a kóe ekpághé nwet njí, iyîm í mbít mbí ínî na ane-akúí ane mbá esam na ánî, á gbô áfo ka ochî Mmon-i-njo-mbúi nnyó. Chénchén ábho kpe énê a fî gitá na ékpáŋkpáŋ etat nji á yími na gûl. Ejûm énoê egyʉ etat é rî é súi ka ékpáŋkpáŋ njí. Ejûm énoê egyʉ njí nâ é rî agore ane Obhasi.
REV.5.9	Ane-akúí ane mbá na iyîm í mbít mbí ínî á róghe ekónóm ekôn efê sê,
REV.5.9	Ó bhik ka etʉri nji ó kok ekpághé nwet njí
REV.5.9	ó rə́bhe ngûm nnyi á fíni nná.
REV.5.9	Echî é rî sê á yúi wâ,
REV.5.9	o kô agyʉ́ŋ amâ o yîm ane á sém,
REV.5.9	á chə́bhe ane Obhasi.
REV.5.9	Ane mbá á dʉ ka ojû ka arə́p ka arə́p,
REV.5.9	ka mfâm ka nyum ka nyum,
REV.5.9	ka nték ka otúi ka otúi,
REV.5.9	na ka ane ka mkpak ka mkpak.
REV.5.10	Ó yim otúi ó kare ane mbá,
REV.5.10	ó yim ábho akará-agore
REV.5.10	se á tʉ̂k Obhasi owəré.
REV.5.10	Ikom í ngun í chəbhe mfi ábho.
REV.5.11	Nji m kpô kép, n yûk ejok baénjel, ó bhó fan, á súi ngûm. Baénjel mbá á fáre eji ekumi otúi njí na eji iyîm í mbít mbí ínî í gyím na ane-akúí ane mbá.
REV.5.12	Á kí kuk sê,
REV.5.12	“Mmon-i-njo-mbúi nnyo á yui nná,
REV.5.12	a bhîk ka ekóóm ikom,
REV.5.12	na efaŋ na oməŋá-ejûm na érûm
REV.5.12	na ejík na ekûp na nkat.”
REV.5.13	N yûk mân kpe njə́n ejûm nji é fóne ekpin ka ósô oo, ka nsi oo, ka eték akə́bha-nsi oo, ka etím aya oo, kpe ka fan-fan, á kí kon sê,
REV.5.13	“Deê nkat na ejík na ekûp na ikom
REV.5.13	í jóe í káre yê nnyo a kun ka ekumi otúi
REV.5.13	na Mmon-i-njo-mbúi nnyó ka ótúm-ótúm.”
REV.5.14	Iyîm í mbít mbí ínî mbi í rî nná áfo í chôt fə́ne sê, “Áno.” Ane-akúí ane mbá fə́ne á gbô áfo ka nsi á kí karé ekûp na ejík.
REV.6.1	M bâ yên mân Mmon-i-njo-mbúi nnyó noŋ a rəbhê ndaŋa-mbá eji nji á fíni ekpághé nwet njí. Nji a rəbhê, n yûk ejûm í mbít jə́t noŋ é chóre na ndûm eyum noŋ nsân se, “Bhák.” 
REV.6.2	Nji a chorê áno, ń yéna ébháré mfoŋ anyanyâ é fap. Nne nnyo á bhena ńnyə́ne a fôn eyek ka obhô. Á kô itam érûm á káre nne nnyó. Nne nnyó a mághe a jak enok, a fon érûm.
REV.6.3	Nji Mmon-i-njo-mbúi nnyó a rəbhê osúí ngûm ébháe, n yûk ejûm í mbít nji tat nâ osúí íbháe fə́ne é chôt sê, “Bhák.” 
REV.6.4	Mfoŋ anyanyâ a bhík chuu a fâp fə́ne a bhák. Á káre mbéná ńnyə́ne ikom sê a yighí ekone ka ngun, ane á yúi atem. Á káre yê fə́ne ekpatə́m akparanja áma nná.
REV.6.5	Ebhú Mmon-i-njo-mbúi nnyó a rəbhê osúí ngûm ésá, n yûk ejûm í mbít nji osúí ísá fə́ne é chôt sê, “Bhák.” Nji a chorê, n yên ényaghê mfoŋ anyanyâ é fâp. Mbéná-bhéná a fî egaé iyîm ka obhô.
REV.6.6	N yûk mân ejok noŋ ndûm eyum mba iyîm í mbít mbí ínî sê, “Ńkôp érési a kí kpo ntí etûm ofú bhə́t. Ńkôp ekpak édî etat fə́ne ésá a kí kpo ntí etûm ofú bhə́t. Kən á ká bhibhi akʉ́ órif na aməm.”
REV.6.7	Mmon-i-njo-mbúi nnyó a kpô rəbhé osúí ngûm énî, n yûk eyum ejûm í mbít nji ntə̂m-a-ndə́p, é chôt sê, “Bhák.” 
REV.6.8	N yên mfoŋ anyanyâ a fâp, ńna noŋ ogok. Mbiŋ í nne nnyo á bhena ńnyə́ne á kamá se Ekʉ̂, nnyo á kamá se Eték Akə́bha-nsi a bhák yê mbá-njəm. Á kíri ngun ndə́m ka ngûm énî, á káre ábho ikom ka ebhat jə́t sê á kó akparanja na njaé na emaŋé, á yúí ane, a yîm fə́ne onyam obhí ó yúí ábho.
REV.6.9	Nji Mmon-i-njo-mbúi a rəbhê osúí ngûm érôn, n yên ńtʉgântʉ ane mba á yúi ka obhô nchot Obhasi ka esə́n eji nji á túbha ekəp mbâ Obhasi. Á yúi fə́ne ane mbá ka ntî-isê nnyi á gyími njəm i Jisos. 
REV.6.10	N yûk noŋ ane mbá á kúghi sê, “Ńtâ Obhasi Ósô, mfoné-mfoné Ntûfâm nnyo akôp bhúghí-bhúghí á ka fon, é kí kət nan kən ó táŋ ngun, ó yîm ane mba á yúi êt, ó fé?” 
REV.6.11	Á káre mân ane mbá, kpe nnyón, ébháré nkʉ̂. Á sə́re ábho sê á yóe biji ka mkpât ebhú, á chîk ta mfan ábho noŋ ayimá-etûm Obhasi na atem-abhon-í-nnyen a bhik. Nâ atem mba á kí yui fə́ne noŋ á yúi ábho.
REV.6.12	M kpô yén Mmon-i-njo-mbúi nnyó a kpô rəbhé osúí ngûm eságasá. Ngun á nyiŋá ekpatə́m enyiŋím. Njúí a kpíghi ényaghê noŋ ényaghê éfô. Nnyam-ósô a chə́bhe noŋ agyʉ́ŋ.
REV.6.13	Ńdʉnândʉ-ósô ḿ gbô ka nsi noŋ kpe nkap étí fîk nnyi mfêp oyum a wûk a tûp ka nsi.
REV.6.14	Ngurobhú a tân noŋ kpe ekpághé-nwet nji á fə̂t á yighí. Kpe njə́n egúí na eji óráné-ngun mbi ayép á kághe, í yóŋe ngûm.
REV.6.15	Iyîm mbí í kpô yóŋe nná ekpak njí, atúi-ofâm í ngun na ane ayúp, na atúi-ofâm ane-enok, na ane efaŋ, na afoná-nkom, chénchén ane, asʉ́ŋ na abhon, á bê á bhə̂t biji ka otáé na eyam kpe njə́n ka agúí.
REV.6.16	Á gyʉá sê, “Agúí na atáé, gbo êt, e kâ yên ochî nne nnyo a kun áno ka ekumi otúi, e kâ yên oyámá-ḿbə́ŋé Mmon-i-njo-mbúi.
REV.6.17	Ekpatə́m ofú oyámá-ḿbə́ŋé mbí ábho ó bha. Énê nnyo a kí gbʉi ḿbə́ne?”
REV.7.1	Ńji é kpó chiŋ, n yên baénjel ánî á gyím ka nkûk énî nnyi ngun á fî mfêp énî nnyi ngun sê a kâ nôk ka ngun na kpe ka aya na kpe ka étí.
REV.7.2	N yên énjel nnyo tat a dʉ ebhat í njúí á fabha. A fî na eriŋ í mfoné-mfoné Obhasi ka obhô. Na ndûm eyum, a bhîŋ baénjel mba ngá ánî mba á kare ábho ikom sê á némé iyîm í ngun na mbi aya. 
REV.7.3	A sə́re ábho se, “Ka némé ên ngun, kpe aya, kpe átí ta é kâk ayimá-etûm Ńtâ Obhasi owəré eriŋ ka ńsáé-mbûk.”
REV.7.4	N yûk sê ane mba á kí kak ábho eriŋ í ńsáé-mbûk njí á kí joé ntem-esam, nsam ekû na ésá (144,000). Ane mbá á dʉ̂ ka ndə́p-i-njû ófó na ébháe nnyi abhon Isrel. 
REV.7.5	Mba á kághe eriŋ ka ndə́p-i-njû Juda á rî ntem-esam, nsam ekû (12,000). Mba ndə́p-i-njû Ruben, ntem-esam, nsam ekû. Mba ndə́p-i-njû Gat, ntem-esam, nsam ekû. 
REV.7.6	Ndə́p-i-njû Ase, ntem-esam, nsam ekû. Ndə́p-i-njû Natari, ntem-esam, nsam ekû. Ndə́p-i-njû Manase, ntem-esam, nsam ekû. 
REV.7.7	Ndə́p-i-njû Simiyon, ntem-esam, nsam ekû. Ndə́p-i-njû Libhayi, ntem-esam, nsam ekû. Ndə́p-i-njû Isaka, ntem-esam, nsam ekû. 
REV.7.8	Ndə́p-i-njû Seburun, ntem-esam, nsam ekû. Ndə́p-i-njû Jusep, ntem-esam, nsam ekû. Ndə́p-i-njû Benjamen ntem-esam, nsam ekû.
REV.7.9	Ńji é kpó chiŋ, ń yéna ekpatə́m ekam ane, kpe mfan cháŋ, á gyím áfo ka ochî ekumi otúi njí na ka ochî Mmon-i-njo-mbúi nnyó. Ane mbá á dʉ̂ ka ane ka mkpak ka mkpak, ka ojû ka arə́p ka arə́p, ka nték ka otúi ka otúi, na ka mfâm ka nyum ka nyum. Á kághe ábháré ḿfô, á fî mmâŋ ka abhô. 
REV.7.10	Ane mbá á kí kuk ka ndûm eyum sê,
REV.7.10	“A ri Obhasi owəré nnyo a ri ka ekumi otúi
REV.7.10	na Mmon-i-njo-mbúi nnyó
REV.7.10	nâ á fóne ikom á yîm ane á sêm.”
REV.7.11	Chénchén baénjel á gyími á fáre ekumi otúi njí na ane-akúí ane mbá na iyîm í mbít mbí ínî. Á tə̂p mbûk ábho áfo ka nsi ka ochî Obhasi, á káre yê ekûp na ejík. 
REV.7.12	Á chorá sê,
REV.7.12	“Áno!
REV.7.12	Deê nkat na efaŋ
REV.7.12	na oməŋá-ejûm na ekûp
REV.7.12	na ejík na ikom na érûm
REV.7.12	í jóe í káre Obhasi owəré,
REV.7.12	ka ótúm-ótúm. Áno!”
REV.7.13	Nne-nkúí yót áfo a bhə̂p ə̂m se, “Bhaghé ane nná na ábháré ḿfô ka biji? Á dʉ̂ fan á bhak?”
REV.7.14	N sə́re yê bəre, “Ńsé, we ó məŋe.”
REV.7.14	A chôt mân se, “Ane mbá nâ mba á dʉ̂ nná ka ekpatə́m oseŋe. Á su ḿfô ábho na agyʉ́ŋ í Mmon-i-njo-mbúi nnyó, á chəbhe á bhara kpáŋ.
REV.7.15	Nâ ńjə́ne á rî áno ka ochî ekumi otúi Obhasi, á yimá etûm ejê atʉ́ na efín ka etím ókʉ́rí obhê. Yê fə́ne nnyo a kun áno ka ekumi otúi njí a kí bhuí ábho ka nji a ri na ábho. 
REV.7.16	Njaé a rô yám ábho, ekot-ayép á ro kpó fon. Njúí a rô kpó nok ábho, efû é ro gbo ábho.
REV.7.17	Echî aŋ? Mmon-i-njo-mbúi ányo nnyo a ri áno ka eji ekumi otúi njí nâ a kí bhabhe ábho. A kí ko ábho a jak ka ńchí ayép, eji ayép mma á kára ekpin á fə́ma. Obhasi tîk a fôn mân chénchén obhə́bhe ka amə̂t ábho, kpe ékáré jə́t á bhó maghé.”
REV.8.1	Nji Mmon-i-njo-mbúi nnyó a kpô rəbhé osúí ngûm enígisá nnyi á fíni nwet nnyí, ngûm a nâ chák ka ósô, kpe ejok. Áwa á mân kpe ebhat. 
REV.8.2	N yên mân noŋ á káre baénjel anígisá mba á gyíma ka ochî Obhasi abhukpoŋ anígisá.
REV.8.3	Énjel nnyo tat a bhâ gyími ka eji á túbha ekəp mbâ Obhasi, a fî ejûm nji á yôk ejûm énoê egyʉ ka obhô. Á yími ejûm njí na gûl. Á káre yê ejûm énoê egyʉ etat etî-etî, sê a chəm na agore ane Obhasi chénchén a karé. Sê a karé áfo ka eji agore ekarám nji á yími na gûl. Eji njí é gyím ka ochî ekumi otúi.
REV.8.4	Nji a karê, átʉ́k ejûm énoê egyʉ njí na agore ane Obhasi mbá á mághe abhô énjel nnyo a gyím nná ka ochî Obhasi, á gyʉ̂t ka ósô. 
REV.8.5	Énjel nnyó a kô mân ejûm nji á rígha nná ejûm nji énoê egyʉ a kô ngun ka eji ekəp etúbhúm njí, a kâk ń súi. A tûp ka ngun. Nji a túbhi, nsân a bhə̂t, nyum a kí kuk, nyaŋanya a kí nyaŋé, nsi a nyiŋá.
REV.8.6	Baénjel anígisá mba á rî nná na abhukpoŋ mmá anígisá, á tʉ́ri biji, á fí.
REV.8.7	Ndaŋa-mbá énjel a fî amê, atáé-ngurobhú á tôp, ngûn mmi á nyóbhe na agyʉ́ŋ, ń tôp. Iyîm mbí í gbô ka ngun. Nji í gbóe nná, ngun ndə́m, ó kirí ka ngûm ésá, eji jə́t é rîk é mân oman. Átí ngun ndə́m, ó kirí fə́ne ka ngûm ésá, eji jə́t é rîk é mân oman. Ájé afê chénchén ka ngun á rîk.
REV.8.8	Osúí énjel ábháe a fî amê abhukpoŋ. Ejûm etat noŋ ekpatə́m egúí nji ngûn ń dûk ka ńjə́ne, é yə̂p fúp, é gbô ka aya. Aya ndə́p, ó kirí ka ngûm ésá, eji jə́t é kpíghi agyʉ́ŋ. 
REV.8.9	Onyam-aya fép, ó kirí ka ngûm ésá, ebhat jə́t é kpô chénchén. Ásughîkaŋ chénchén ka aya, ó kirí ka ngûm ésá, ebhat jə́t é bhîp é mân oman.
REV.8.10	Osúí énjel ásá a fî amê abhukpoŋ. Ekpatə́m írʉnândʉ-ósô í rôt nnyi ósô, í gbô, í rûk noŋ ngûn. Í gbóe ka ebhat aya jə́t na ebhat abhon ayép jə́t nji ó kirí iyîm mbí ka ngûm ésá.
REV.8.11	Á bhíŋa írʉnândʉ mfí sê Nyui-étí. Nji írʉnândʉ mfí í gbóe nná ebhat ayép njí jə́t é kə̂t é yua chík. Ane etî-etî á kpô nji á gwóe ayép mmá á yúa oyuí.
REV.8.12	Énjel nnyo osúí ánî, a fî amê abhukpoŋ, ikom ejok abhukpoŋ í gbô ka ebhat í njúí jə́t na ebhat í nnyam-ósô jə́t na ebhat í ńdʉnândʉ jə́t, ekirím iyîm mbí ka ngûm ésá. Nji í gbóe áno, ebhát ábho é tân. Ebhát ekiri jə́t nji ofú na ebhát ekiri jə́t nji atʉ́ é tân.
REV.8.13	N kêp, n yên ébhêk é fə́bha é chiŋa ka ngurobhú. N yûk ńjə́ne, é gyʉ́a na ndûm eyum sê, “A bhâ oo, a bhâ oo, a bhâ oo. Nchot a bhâ nnyi a bháe mbâ ane mba á kí joé ka ngun nji baénjel mba ngá ásá á fi abhukpoŋ ábho.”
REV.9.1	Osúí énjel árôn, a fî abhukpoŋ amê. Nji a fíi, n yên írʉnândʉ mfi í dʉ̂ nnyi ósô, í gbô ka nsi. Á káre ḿfə́ne ogbógóró nnyo-mbá Ébhírí nji Ntə̂m Cháŋ.
REV.9.2	Í rə́bhe nnyo-mbá Ébhírí nji Ntə̂m Cháŋ. Nji í rə́bhe, ndûm átʉ́k noŋ á dʉ̂ ka ekpatə́m erəmta-ngûn á róghe efábhám. Ejírim é gbô ka njúí na efébhe chénchén, ka obhô átʉ́k mma á dʉ̂ nná ka Ébhírí njí.
