GEN.1.1	I cakirok Were ocweyo polo gi piny. 
JHN.10.10	Jakwo bino nyaka kwalo, neko kodi nyeko woko. An abino nike jowolimi kwo, aka kwo ma gibe.”
JHN.10.11	“Aŋat'abedo jakwath maber. Jakwath maber yeyo tho ri rombo pere. 
JHN.10.12	Jatic acula kibedi won rombo, ka oneno arara bino, weyo jo to ringo, to arara kwanyo rombo to kedho jo woko. 
JHN.10.13	Go ringo rupiri go jatic acula, aka kidew kwoŋ rombo. 
JHN.10.14	An a jakwath maber. Aŋeyo rombo paran, 
JHN.10.15	aka bende joŋeyan paka Baba oŋeyan, aka abende aŋeyo go, aka ayeyo tho ri rombo. 
JHN.10.16	An gi rombo man ma jongoye i sidwol me. Aripo kelo jo bende; jobino winjo dwondan, aka jobino lokere sidwol acel kodi jakwath acel.”
JHN.10.17	“Baba omaran rupiri ayeyo bolo woko kwo paran, rumacen to doko anwaŋo kendo. 
JHN.10.18	Ongoye ŋata kwanyo kwoŋan kwo me. Awon arwenyo woko gi mito paran. Anitie gi meni ma rwenyo go woko, kendo anitie gi meni ma dwoko go. Me gima Baba ooran timo.”
JHN.10.19	Tiakirok odoko obedo i dier Joyuda ro wac me. 
JHN.10.20	Jomathoth kwoŋ jo jowaco ni, “Go nitie gi jwogi! Neko omako! Wiwinjo luwo pere raŋo?” 
JHN.10.21	To joman jowaco ni, “Ŋata nigi jwogi kinyal luwo ama! Jwogi bende dinyal botho joma waŋ gin otho?”
JHN.10.22	I hongo no ndir otundo ma kalima ma lonyirok ruwaŋ Were, m'obedo i Ot pa Were i Yerusalem; i ndir no pe oyido oŋico piny. 
JHN.10.23	Yesu oyido wotho i kalikondi pa Solomon i Ot pa Were, to 
JHN.10.24	Joyuda jocokere jothoko go kenyo to jowaco rigo ni, “Ilaweyo wan i kiganagana kiri keraŋo? Waci riwan kamaler ka in a Kristo.” 
JHN.10.25	Yesu odwoko ni, “Atieko waco riwin, to wikimiti yeyo. Tic ma atimo i nyingi Baba ama luwo ran; 
JHN.10.26	to wikibino yeyo rupiri wingoye i rombo paran. 
JHN.10.27	Rombo paran winjo dwondan; aŋeyo jo, aka joluwan. 
JHN.10.28	Amiyo jo kwo makirum, aka jokibino tho; ongoye moro ma bino mayan jo. 
JHN.10.29	Baba m'omiyan jo dwoŋ loyo ji je, aka ongoye nyatoro manyalo kwanyo jo woko i cingi Baba. 
JHN.10.30	Aka wan kodi Baba wabedo acel.”
JHN.10.31	Gikenyo Joyuda odoko jokwanyo telin ma goyo gine go. 
JHN.10.32	Yesu owaco rijo ni, “Atieko timo tic mabeyo madit m'owok bongi Baba; onyo mene kwoŋ jo ma wimito goyan'iye gi telin?” 
JHN.10.33	Joyuda jodwoko ni, “Wakimiti goyin ro tic mabeyo m'itimo, to ro luwo gima k'otire kwoŋ Were, rupiri in idhano aka ikethere lwoŋirok ni ibedo Were!” 
JHN.10.34	Yesu odwoko ni, “Kere k'ondiki i Cik mewin wegi nike Were owaco ni, ‘Wibedo werin?’ 
JHN.10.35	Ka Were olwoŋo jom'okel rijo wac pere ni werin (aka gim'ondiki kiwire), 
JHN.10.36	onyo winowaci ri ŋata Were ooro i piny ni go luwo gima k'otire kwoŋ Were ni rupiri awaco ni abedo Wod Were? 
JHN.10.37	Ere onyo wikiri wiyey k'inen akitim tic pa Baba. 
JHN.10.38	To k'inen atimo gigipiny ago, kada nende wikiyeyan, yey win kada nyaka tic no aka winoŋey kicutho ni Baba nitie i an aka anitie i go.”
JHN.10.39	Gikenyo odoko jotemo mako Yesu to budho jo. 
JHN.10.40	Yesu odoko ogik ocewere i Yordan to por loka yu kama yado Yohana batis'iye ji to bedo kenyo. 
JHN.10.41	Ji madit jobino bonge aka jowaco ni, “Yohana k'otimo gir'aura moro, to gima go owaco kwoŋ jame je obedo adieri.” 
JHN.10.42	Aka ji kweth joyeyo go kenyo.
JHN.11.2	(Maria me ama ndir moro oolo mo maŋwe kur i tiendi Rwoth to yweyo gi ye wiye; aka ama Lazaro, omin go, oyido two.) 
JHN.11.3	Nyimere no jodhiro wac ri Yesu ni, “Rwoth, mere perin m'imaro two.” 
JHN.11.4	Munyo Yesu owinjo, owaco ni, “Two pa Lazaro kilacowere gi tho; gime otimere ma nyutho dwoŋ pa Were, aka nyaka wobedi nger ma Wod Were ripo lim'iye dwoŋ.”
JHN.11.5	Yesu oyido omaro Marita gi nyamin, kodi Lazaro. 
JHN.11.6	To kada munyo go owinjo wac ni Lazaro two, omedo bedo kam'oyido niye ndelo ario man. 
JHN.11.7	Gikenyo nyaka go owaco ri jofonjirok pere ni, “Weyi wagiki win Yuda kendo.” 
JHN.11.8	Jofonjirok jodwoko ni, “Jafonji kole nyaka okadho hongo macek won cuka Joyuda jomiti goyin gi telin, ama odoko onyo iyiko gik yukorago?” 
JHN.11.9	Yesu owaco ni, “Ndelo nitie gi sawa apar g'ario, k'ameno? Ka dhano wotho odieceŋ, kicer, rupiri go neno lero. 
JHN.11.10	To ka go owotho wor, cer, rupiri lero ongoye.” 
JHN.11.11	Yesu omedo waco ni, “Mere mawan Lazaro nindo, t'abino kidho cewo go.” 
JHN.11.12	Jofonjirok jowaco ni, “Rwoth, ka go nindo bino bedo maber.” 
JHN.11.13	To wac pa Yesu dwoŋ mere oyido ni Lazaro otieko tho, to joparo nike go waco nindo ma ndir je. 
JHN.11.14	Gikenyo Yesu owaco rijo kamaler ni, “Lazaro otieko tho; 
JHN.11.15	to ri bero mewin asangala nike onwaŋo angoye yukoro aka ŋey wiyey. Ere weyi wakidhi win bonge.” 
JHN.11.16	Toma (m'ilwoŋo ni Rut) owaco ri jofonjirok wadi ni, “Weyi wajoje wakidhi watho kanyacel gine!”
JHN.11.17	Munyo Yesu otundo, onwaŋo ni Lazaro oyido otieko bedo ndelo aŋwen i bur. 
JHN.11.18	Bethania onwaŋo kirom mayiro ario wok Yerusalem 
JHN.11.19	aka Joyuda mathoth onwaŋo jobino limo Marita kodi Maria gi kweyo cuny jo i teko pajo ma tho p'omin jo.
JHN.11.20	Munyo Marita owinjo ni Yesu bino, owok woko romo gine; to Maria odoŋ peco. 
JHN.11.21	Marita owaco ri Yesu ni, “Rwoth bedi ceŋino ibedi ka, di omin an k'otho.” 
JHN.11.22	T'aŋeyo ni kada pama Were bino miyin gimoro je m'ikwayo go. 
JHN.11.23	Yesu owaco rigo ni, “Omin in lacerino.” 
JHN.11.24	Go odwoko ni, “Aŋeyo ni go bino cerino i ndelo ma rumacen.” 
JHN.11.25	Yesu owaco rigo ni, “Aŋat'abedo kisukina kodi kwo; ŋata yeyan bino kwo, kada go otho; 
JHN.11.26	aka ŋata kwo aka yeyan kilatho. Iyeyo gime?” 
JHN.11.27	Go odwoko ni, “Ey, Rwoth! Ayeyo nike in i Kristo, Wod Were, m'oyido genere ni labino i piny ka.”
JHN.11.28	Munyo Marita otieko waco gime, ogik peco lwoŋo Maria nyamin go nyaliŋliŋ. Owaco rigo ni, “Jafonji obino aka lwoŋin.” 
JHN.11.29	Munyo Maria owinjo gime, oay malo to redo kidho romo gine. 
JHN.11.30	[Yesu oyido fodi k'otundo loka no, to oyido nitie kama Marita orom'iye gine]. 
JHN.11.31	Joyuda m'onwaŋo jonitie i ot gi Maria m'oyido jokweyo cuny go i teko pere munyo joneno go oay malo to rure woko, joluwo go. Joparo nike oyido go kidho dho kaliel ywak.
JHN.11.32	Munyo Maria otundo kama Yesu niye to neno go, opodho piny dho tiende, to waco ni, “Rwoth, bedi ceŋino oyido ibedi ka, d'omin an k'otho!” 
JHN.11.33	Munyo Yesu oneno go ywak, aka Joyuda ma jobino gine bende joywak, geregere omako go, aka owinjo malith swa i cunye. 
JHN.11.34	Openjo jo ni, “Wiyiko go kune?” Jodwoko ni, “Rwoth biye neni.” 
JHN.11.35	Yesu oywaki. 
JHN.11.36	Gikenyo Joyuda jowaco ni, “Neni paka onwaŋo omaro go!” 
JHN.11.37	To jomegi kwoŋ jo jowaco ni, “Ŋat'obotho kiri waŋ dhano m'oyido otho raŋo ma di go k'ogeŋo tho pa jame?”
JHN.11.38	Geregere odoko omako Yesu to kidho dho kaliel, m'onwaŋo obedo ŋungu m'ocul dhoke gi tele. 
JHN.11.39	Yesu omiyo jo or ni, “Kwany win woko tele!” Marita nyamin jatho, odwoko ni, “Rwoth, kole pama onyo go ŋwe marac; cuka yik go onyo me ndelo mar'aŋwen!” 
JHN.11.40	Yesu owaco rigo ni, “Akiwaco rin nike ibino neno dwoŋ pa Were k'iyeyo?” 
JHN.11.41	Gikenyo joŋilo woko tele. Yesu oŋiyo malo to waco ni, “Baba, afoyin ni iwinjan. 
JHN.11.42	Aŋeyo ni ndir je iwinjan, t'awaco ama ma bero pa ji man ka, ŋey jowoyey ni iŋat'ioran.” 
JHN.11.43	Munyo otieko waco gime, okoko gi dwonde ma malo ni, “Lazaro, woki!” 
JHN.11.44	Ŋat'otho no owok m'otwey cinge gi tiende gi nangin, kareno nanga man oboy gine waŋe. Yesu owaco rijo ni, “Gony win go, aka wiwey wowothi.”
JHN.11.45	Joyuda mathoth m'oyido jobino limo Maria joneno gima Yesu otimo, to joyeyo go. 
JHN.11.46	To joman kwoŋ jo jogik bongi Jofarisayo to jowaco rijo gima Yesu otimo. 
JHN.11.47	Ameno Jofarisayo kodi jotel pa jocway ri Were i wi migam joromo kodi jopido to jowaco ni, “Watim win aŋo? Neni paka jame onyo timo gir'aura madit! 
JHN.11.48	Ka wayeyo go omedere gi tic me, ji je jobino yeyo go, aka rwodhe ma Roma jobino ay to joŋinyo woko Ot pa Were gi riemo woko nono mawan gipi!” 
JHN.11.49	Ŋat'acel kwoŋ jo ma nyinge Kaifas, m'oyido a jadwoŋ pa jocway ri Were i wi migam i oro no owaco ni, “Wikuya gimoro kad'acel! 
JHN.11.50	Wikiniaŋ ni ber riwin ka ŋat'acel otho ri ji je, loyo nono gipi rerok woko?” 
JHN.11.51	Iy'adieri, go k'owaco gime i paro pere won; kwanyo woko paka go oyido jadwoŋ pa jocway ri Were i wi migam i oro no, go otuco mikwenda ma wok bongi Were nike Yesu cegin tho ri Joyuda je. 
JHN.11.52	Aka ki ri Joyuda kende, to ma coko kanyacel nyithindho pa Were ma jokele iye je. 
JHN.11.53	Am'omiyo wok i ndelo no kadho malo jotimo can ma neko Yesu. 
JHN.11.54	Riameno Yesu k'owotho kamaler kendo i Yuda, to oeye to kidho kamoro macegin gi thim, i tindi m'ilwoŋo ni Efrayim. Kenyo ama go obed'iye gi jofonjirok pere.
JHN.11.55	Kalima pa Joyuda ma Kadho, oyido nicegin, aka ji mathoth jowok thenge gi thenge jokidho Yerusalem, timo kula ma lonyo delkwoŋ gin mafodi kalima no k'otundo. 
JHN.11.56	Jo oyido jorango Yesu, aka munyo jocokere i Ot pa Were, wegi jopenjere ni, “Wiparo nedi? Kosa go k'obin i kalima?” 
JHN.11.57	Jotel pa jocway ri Were i wi migam kodi Jofarisayo oyido jotieko wodho or ni ka moro nitie m'oneno kama Yesu niye ripo dhiro wac, ŋey jowomaki go.
JHN.12.1	Munyo fodi odoŋ ndelo aucel aka ndelo ma kalima ma Kadho wotundi, Yesu okidho Bethania, kama Lazaro, ma Yesu ocerino kwoŋ jom'otho bed'iye. 
JHN.12.2	Joyiko rigo kenyo cemo m'othieno aka Marita oyido a japok cemo kareno Lazaro obedo gi Yesu dhower. 
JHN.12.3	Gikenyo Maria okwanyo cupa mo maŋwe kur swa ma romo adec kilo gipi, ma nyingi yath moro aka ma welo, to olo i tiendi Yesu, to yweyo gi ye wiye. Kur pa mo no mamit otweyo ot gipi. 
JHN.12.4	Acel kwoŋ jofonjirok pa Yesu, Yuda Iskariot, ŋat'oyido lacamo rigo sereko, okwero ni, 
JHN.12.5	“Raŋo k'otana mo maŋwe kur me siringi miya adek to ipoko jocandi pesa no?” 
JHN.12.6	Go owaco ama ki kwoŋbedo go paro kwoŋ jocandi, to rupiri go oyido jakwo. Go oyido a jamigowa pesa aka onwaŋo diceŋ konyere gi pesa me. 
JHN.12.7	To Yesu waco ni, “Weyi dheno! Oyiki ni go wokan mo me cuka ndelo ma yikirok paran. 
JHN.12.8	Ndiri je wibino bedo gi jocandi, to an akibino bedo gi win ndir je.”
JHN.12.9	Lwak ji madwoŋ jowinjo ni Yesu oyido nitie Bethania to jokidho kenyo; ki ro wac pa Yesu kende, to ro mito neno Lazaro bende, ma Yesu ocerino kwoŋ jom'otho. 
JHN.12.10	Ameno jotel pa jocway ri Were i wi migam jocano neko Lazaro bende; 
JHN.12.11	rupiri ro gim'otimere kwoŋe, Joyuda mathoth joweyo jotel pajo to joyeyo Yesu.
JHN.12.12	Yawere mere lwak ji madwoŋ m'onwaŋo obino i kalima ma Kadho, jowinjo ni Yesu oyido bino Yerusalem. 
JHN.12.13	Riameno jokwanyo jangi thith to jokidho romo gine munyo jokoko ni, “Hosana! Jasilwany a ŋata bino i nyingi Rwoth! Silwany pa Were wobedi ri Kere ma Isiraili!” 
JHN.12.14	Yesu onwaŋo nyathi punda to bedo i wiye, paka Ndiko Maleŋ waco ni,
JHN.12.15	kole Kere perin bino bongin,
JHN.12.15	kareno obedo wi nyathi punda.”
JHN.12.16	Jofonjirok pere jok'oniaŋ kwoŋ gime i hongo no, to munyo Yesu otiek tiŋo malo i dwoŋ nyaka jopoyo nike ndiko owaco gime, aka ni d'otim kwoŋe gime.
JHN.12.17	Lwak ji ma ndelago jobedo bongi Yesu i hongo ma go olwoŋ'iye Lazaro wok i kaliel aka ocerino go kwoŋ jom'otho, jomedo nyayo wac no. 
JHN.12.18	Ji kweth jokidho romo gine rupiri jowinjo nike go otimo gir'aura no. 
JHN.12.19	Gikenyo Jofarisayo wegi jowaco kendi gin ni, “Wineno, wakinyali gimoro be! Neni win paka piny gipi onyo luwo go” 
JHN.12.20	Jogris moro bende oyido jobedo megi kwoŋ joma jokidho Yerusalem lamo Were i ndir ma kalima no. 
JHN.12.21	Jobino bongi Filipo, m'oyido wok Bethsayida i Galili, to jokwayo ni, “Jadwoŋ, wamito neno Yesu.” 
JHN.12.22	Filipo okidho to waco ri Andereya, aka jario no jokidho to jowaco ri Yesu. 
JHN.12.23	Yesu odwoko jo ni, “Pama onyo hongo otundo ma miyo Wod Dhano dwoŋ. 
JHN.12.24	Adieri awaco riwin, ka nyingi kal moro k'opidhi i lowo to tho, go doŋadoŋa acel mangil. To k'otho, nyaka nywolo nyingi kal kweth. 
JHN.12.25	Ŋata won omaro kwo pere, bino rwenyo woko kwo; to ŋata kwero kwo pere i piny ka ama bino kuro ri kwo makirum. 
JHN.12.26	Nyatoro je ma tiyo ran ripo luwan, aka jatic paran bino bedo kam'an'iye. Aka Baba bino miyo nyatoro je ma tiyo ran dwoŋ.”
JHN.12.27	“Pama cunyan raman; t'anowaci nedi? Ni, ‘Baba, bothan kwoŋ hongo me?’ To be, me a gim'omiyan atundo i hongo ma candirok me. 
JHN.12.28	Baba, miy nyingin dwoŋ.” Gikenyo dwondi jo moro oluwo wok i polo ni, “Atieko miyo nyingan dwoŋ, kendo abino medo timo ameno.”
JHN.12.29	Lwak ji m'oyido ocungo kenyo owinjo dwondi jo no to jowaco ni manago lithkoth, aka joman jowaco ni, “Calo malaika oluwo gine!” 
JHN.12.30	To Yesu owaco rijo ni, “K'obedo ri an am'omiyo dwondi jo me oluwo, to riwin. 
JHN.12.31	Ndiri otundo ma thumo banja ri piny me; kendo jadhum ma piny me onyo ibino riemo woko. 
JHN.12.32	K'otiek tiŋan malo wok piny abino ywayo ji je bongan.” [
JHN.12.33	Ameno, go onyutho kiti tho ma go oyido kidho candirok]. 
JHN.12.34	Lwak ji odwoko ni, “Kole Cik mawan waco ni Kristo bino kwo cil gi cil. To idoko iwaco ni Wod Dhano iripo tiŋo malo nedi? Wod Dhano no a ŋa?”
JHN.12.35	Yesu odwoko ni, “Lero no fodi nitie gi win hongo moro ye. Woth win kafodi lero no nitie gi win, ka mudho fodi k'oumo win; kole ŋata wotho i mudho kiŋey kama go com'iye. 
JHN.12.36	Yey win lero no kafodi winigine, ŋey wibedi nyithindho ma lero.” Rumacen munyo Yesu otieko waco gime okidho pondo rijo.
JHN.12.37	Kada Yesu oyido otieko timo ranyuth madongo me i waŋ jo, je fodi jok'oyeyo go. 
JHN.12.38	Gime otimere ama ŋey gima jatuci wac Were, Isaya, owaco wotundi i kare ni,
JHN.12.38	“Rwoth, ŋa m'oyeyo mikwenda ma wakelo? Were onyutho ŋa meni pere?”
JHN.12.39	Riameno jok'onyalo yeyo paka Isaya odoko owaco kaman ni,
JHN.12.40	nike waŋ jo wokiri wonen,
JHN.12.40	paro pajo wokiri woniaŋi gimoro,
JHN.12.40	ŋey jokiri jowonyal gik bongan,
JHN.12.40	ni aboth jo.”
JHN.12.41	Isaya owaco ama rupiri oneno dwoŋ pa Ŋato, aka oluwo kwoŋe.
JHN.12.42	Kad'ameno, jotel pa Joyuda mathoth bende joyeyo Yesu; to paka onwaŋo jolworo Jofarisayo, jok'owaco gino nyatirtir ni aka ŋey wokiri woriem jo woko i kitipa pa jom'oyeyo pa Joyuda. 
JHN.12.43	Ato oyido jomaro foy pa ji loyo foy pa Were.
JHN.12.44	Gikenyo Yesu oluwo gi dwonde ma malo ni, “Nyatoro je ma yeyan kiyeyan kende to yeyo ŋat'ooran bende. 
JHN.12.45	Ŋata nenan meno neno ŋat'ooran bende. 
JHN.12.46	Abino i piny ka paka lero ŋey nyatoro je ma yeyan, wokiri wodoŋ i mudho. 
JHN.12.47	To ka moro winjo mikwenda paran aka kimaki, akithum rigo banja, Ato akibino thumo banja ri piny, to botho piny ayino. 
JHN.12.48	Nitie ŋata bino thumo banja ri nyatoro je ma kweran aka kijol fonji paran; wac m'atieko luwo ama bino bedo jathum rigo banja i ndelo ma rumacen, 
JHN.12.49	rupiri akiluwo gi meni paran won, to Baba am'ooran gim'aripo waco kodi luwo. 
JHN.12.50	Aka aŋeyo nike or pere kelo kwo makirum. Am'omiyo gim'awaco je, awaco paka Baba ooran waco.”
JHN.13.1	Mafodi ndelo ma kalima ma Kadho, k'otundo, Yesu oniaŋ nike hongo pere otundo ma eye i piny wokidhi bongi Bamere. Paka ndir je go oyido omaro jopere i piny ka, omaro jo kiri i gike.
JHN.13.2	Yesu kodi jofonjirok pere oyido jonitie dhower othieno. Aka jwogi oyido otieko ketho paro ma camo ri Yesu sereko i cuny Yuda wod pa Simon Iskariot. 
JHN.13.3	Yesu oŋeyo ni Bamere otieko ketho gimoro je i cinge; go oŋeyo nike owok bongi Were aka onyo go kidho gik bongi Were. 
JHN.13.4	Riameno Yesu oay dhower, olunyo nanga pere ma woko, to tweyo taulo i piere. 
JHN.13.5	Gikenyo okonjo pi moro i besen, to cako lwoko tiendi jofonjirok pere, to yweyo gi taulo ma piere. 
JHN.13.6	Munyo otundo bongi Simon Petero, Simon openjo go ni, “Rwoth, onyo ikidho lwoko tiendan?” 
JHN.13.7	To Yesu odwoko ni, “Pama fodi ikuya gim'atimo, to ibino ŋeyo rumacen.” 
JHN.13.8	Ana Petero, “Ikibino lwoko tiendan kada mathin.” Yesu odwoko ni, “K'akilwoko tiendin meno kere ikinitie kanyacel kodan.” 
JHN.13.9	Simon Petero odwoko ni, “Rwoth onyo ikir'ilwok nyaka tiendan kende, to lwoki ran kiri cingan gi wiyan bende!” 
JHN.13.10	Yesu owaco ni, “Moro je m'otieko lwoki meno otieko lony kwoŋe gipi aka kiyeny lwoki kendo, mitere wolwoki tiende won kende. Wijoje wilony, kwanyo woko ŋat'acel.” 
JHN.13.11	(Yesu onwaŋo otieko ŋeyo ŋata kidho camo rigo sereko, am'omiyo owaco ni, “Wijoje wilony, kwanyo woko ŋat'acel.”)
JHN.13.13	Wilwoŋan ni Jafonji kodi Rwoth, aka witire, kole abedo ameno. 
JHN.13.14	Onyo paka an ma bedo Rwoth mewin odoko Jafonji mewin, awok lwoko tiendi win, wibende wiripo lwoko tiendi jowoti win. 
JHN.13.15	Amiyo win ranen, ŋey wibende witim gim'awok timo riwin. 
JHN.13.16	Adieri awaco riwin, ongoye ŋeca maloyo rwoth pere gi dwoŋ, kendo ongoye jamikwenda madwoŋ loyo ŋat'ooro go. 
JHN.13.17	Paka pama onyo wiŋeyo gigipiny me, ka witimo ameno wibino limo silwany!”
JHN.13.19	Awaco riwin gime pama mafodi k'otimere, aka k'otimere wibino yeyo ni, ‘An ago’. 
JHN.13.20	Adieri awaco riwin, moro je ma jolo nyatoro ma aoro, meno bende jolan aka ŋata jolan, meno bende jolo ŋat'ooran.”
JHN.13.21	Munyo Yesu otieko waco gime, ocako winjo rem i cunye to luwo kamaler ni, “Adieri awaco riwin, ŋat'acel kwoŋ win kidho camo ran sereko.” 
JHN.13.22	Jofonjirok joŋiyere waŋ, munyo jodhier swa kwoŋ ŋata go oyido waco. 
JHN.13.23	Acel kwoŋ jofonjirok ma Yesu omaro, onwaŋo bende obedo kabuti Yesu. 
JHN.13.24	Simon Petero ogwelo ŋato aka owaco ni, “Penji go ŋata go luwo kwoŋe.” 
JHN.13.25	Gikenyo jafonjirok no ocore cegin to thenere kwoŋ Yesu to penjo ni, “Manago ŋa, Rwoth?” 
JHN.13.26	Yesu odwoko ni, “Ŋat'abino pilo mugat i acero t'amiyo go meno a ŋata go.” Gikenyo go okwanyo mugat, opilo, to miyo Yuda, wod pa Simon Iskariot. 
JHN.13.27	Tekin Yuda jolo mugat no, Sitan odonjo kwoŋe. Yesu owaco rigo ni, “Kwaki timo gim'iyiko timo!” 
JHN.13.28	Ongoye dhano kwoŋ jom'oyido jonitie dhower no m'oniaŋ gim'omiyo Yesu owaco rigo ameno. 
JHN.13.29	Paka Yuda am'oyido jamigowa, jofonjirok megi joparo ni Yesu owaco rigo ni wokidhi wonyewi gima jomito ma kalima, kosa ni womiy jocandi gimoro. 
JHN.13.30	Tekin Yuda jolo mugat no, owok woko mayot; aka piny oyido otieko yutho.
JHN.13.31	Munyo Yuda otieko kadho, Yesu owaco ni, “Pama Wod Dhano onyo otieko limo dwoŋ, aka Were bende onyo otieko limo dwoŋ i go. 
JHN.13.32	K'inen Were onyo otieko limo dwoŋ i go, meno Were won gipi ama bino miyo Wode dwoŋ, aka bino timo ameno mayot. 
JHN.13.33	Nyithindho paran, fodi abino bedo ye gi win hongo macek. Wibino rangan, aka bende awaco riwin gim'atieko waco ri Joyuda ni, ‘Wikinyal tundo kama akidh'iye.’ 
JHN.13.34	Amiyo win or manyen ni, mare win. Paka atieko maro win apaka bende wiripo mare. 
JHN.13.35	Ka kisi dhano omaro nyawote, meno aka ji je jobino ŋeyo nike wijofonjirok paran.”
JHN.13.36	Simon Petero openjo ni, “Rwoth, ikidho kune?” Ana Yesu, “Wikinyal luwan kam'akidh'iye gi pama; to rumacen aka wibino luwan.” 
JHN.13.37	Petero openjo ni, “Rwoth, raŋo ma akinyali luwin pama? An ayikere kiri tho rin!” 
JHN.13.38	Yesu odwoko ni, “Iyikere adieri tho ran? Adieri awaco rin, kafodi wod gweno k'okoko, ibino kwedirok kwoŋan didek.”
JHN.14.1	Yesu owaco rijo ni, “Wikiri wirembi kosa wiguti. Yey win Were, aka yeyan win bende. 
JHN.14.2	Kisikin omore i ot pa Baba, aka akidho yiko riwin kabedo. D'akiwaco riwin ama bedi k'obedo adieri. 
JHN.14.3	Aka k'atieko kidho yiko riwin kabedo, abino dwoko t'aomo win, ŋey wibedi kodan kam'anitie iye. 
JHN.14.4	Wiŋeyo kam'akidh'iye kodi royo mere.” 
JHN.14.5	Toma owaco rigo ni, “Rwoth, wakuya kam'ikidh'iye. Wanyalo ŋeyo nedi royo ma tundo korago?” 
JHN.14.6	Yesu odwoko ni, “An aya royo, abedo adieri, kodi kwo; ongoye ŋata bino bongi Baba, ka k'oluwo bongan.” 
JHN.14.7	Owaco rijo ni, “Ka wiŋeyan, meno bende wiŋeyo Baba; aka wok konon onyo wiŋeyo go, aka witieko neno go.”
JHN.14.8	Filipo owaco rigo ni, “Rwoth, nyuthi wan Were Bawan, meno won kende laromo wan.” 
JHN.14.9	Yesu odwoko ni, “Atieko bedo gi win hongo malac ama je, to fodi ikuya an, Filipo? Moro je m'otieko nenan meno otieko neno Baba. To raŋo ma wiwaco ni, ‘Nyuthi wan Were Bawan?’ 
JHN.14.10	Wikiyey, ni anitie i Baba aka Baba ni i An? Wac m'atieko waco riwin, kiwoki bongan an won. Baba ma bedo i an, ama timo tic pere. 
JHN.14.11	Yey win nike anitie i Baba, aka Baba nitie i an. Kak'ameno yey win kada ro tic pere won. 
JHN.14.12	Adieri awaco riwin, moro je ma yeyan bino timo tic ma an atimo, ey, bino timo kiri maloyo me, rupiri akidho bongi Baba. 
JHN.14.13	Aka abino timo gimoro je ma winokway i nyingan; ameno aka ŋey dwoŋ pa Baba wonyuthere i Wode. 
JHN.14.14	Ka wikwayo gimoro je i nyingan abino timo.”
JHN.14.15	“Ka wimaran, wibino mako or paran. 
JHN.14.16	Aka abino kwayo Baba to miyo win Jakony man ma wobedi gi win ndir je, 
JHN.14.17	meno Cuny mar'adieri ma piny kinyal jolo, rupiri kinyal neno go kosa ŋeyo go. To wiŋeyo go, rupiri go nitie gi win aka bino bedo i win.”
JHN.14.18	“Akibino weyo win paka nyithindho kic; abino dwoko bongi win. 
JHN.14.19	I hongo macek piny kilanenan kendo, to wibino nenan; aka paka akwo, wibende wibino kwo. 
JHN.14.20	Ka ndelo no otundo, wibino ŋeyo nike anitie i Baba, aka winitie i an, paka anitie i win.”
JHN.14.21	“Moro je ma jolo or paran aka mako, meno a ŋat'omaran. Baba bino maro ŋat'omaran; aka abende abino maro go to anyuthere rigo.” 
JHN.14.22	Yuda (ki Yuda Iskariot) owaco ni, “Rwoth, onyali bedo nedi nike ibino nyuthere riwan to ki ri piny?” 
JHN.14.23	Yesu odwoko ni, “Nyatoro je m'omaran bino winjo mikwenda paran. Baba bino maro go aka wabino bino bonge to wabedo bonge. 
JHN.14.24	Nyatoro je ma k'omaran kiwinji wac paran. Aka mikwenda ma witieko winjo k'aparan, to wok bongi Baba m'ooran.”
JHN.14.25	“Atieko waco riwin gime je ma fodi anitie gi win. 
JHN.14.26	To Jamiy rieko, Cuny Maleŋ ma Baba bino dhiro i nyingan, bino fonjo win gimoro je aka bino poyo win gimoro je m'atieko waco riwin.”
JHN.14.27	“Siem am'onyo aweyo riwin; amiyo win siem paran; aka akimiy win paka piny miyo. Wikiri wirembi i cuny win; odoko wikiri wibedi gi lworo. 
JHN.14.28	Kole wiwinjo munyo awaco riwin ni, ‘Abino weyo win, t'abino dwoko bongi win.’ Bedi wimaran, di wisangala ni akidho bongi Baba, rupiri go loyan gi dwoŋ. 
JHN.14.29	Ato eno atieko waco riwin pama, mafodi k'otimere, aka k'otimere wibino yeyo. 
JHN.14.30	Onyo akibino medo luwo kodi win mathoth, rupiri jadhum ma piny me bino. Go ongoye gi meni kwoŋan, 
JHN.14.31	to piny je ripo ŋeyo nike amaro Baba; am'omiyo atimo gimoro je ma go ooran. Ere ay win, waeye woko ka.”
JHN.15.1	“Aŋat'abedo yath vini mar'adieri, aka Baba awon ndelo mere. 
JHN.15.2	Go turo woko jangi yath moro je i an ma kinyak, aka sewila to yiko jangi yath je ma nyak ŋey womedi nyak madit. 
JHN.15.3	Pama onyo witieko lony gi wac m'atieko luwo riwin. 
JHN.15.4	Doŋ win i an, aka abende abino doŋ i win; rupiri jangi yath kinyal nyak ka k'omakere gi yath mere. Wibende wikinyal nyak ka wikidoŋ i an.”
JHN.15.5	“Aŋat'abedo yath vini mar'adieri, aka win wibedo jangi yath no. Ŋata doŋ i an, aka abende adoŋ i go, bino nyak madit; ato wikinyal timo gimoro je ma bu an.
