MAT.1.1	In se tocayomej de itajhuehuentzitzihuan Jesucristo yejhuan teicniu itech David niman Abraham. 
3JN.1.11	Notlajsojcaicniu, ma ca xmohuica quen on yejhuan xcuajli quichihua, yej xmohuica quen on yejhuan cuajli quichihua. On yejhuan quichihua on tlen cuajli yejhua iconeu Dios, pero on yejhuan quichihua on tlen xcuajli yejhua xquixmati Dios. 
3JN.1.12	Nochimej tlajtlajtohuaj ica Demetrio cuajli tlacatl. Niman nochi tlen quichihua cuajli nohuica ihuan on temachtijli yejhuan melahuac. Niman nejhua no nicteixpantilia de yejhua in ica melahuac, niman nemejhuamej nenquimatztoquej ica niquijtohua tlen melahuac.
3JN.1.13	Nicpia más miyec tlen nicnequi para ticmatis, pero xnicnequi nimitzijcuilohuilis ipan in tlajcuilolamatl. 
3JN.1.14	Niccha para nimitzitas saniman, niman ijcuacon cuajli tejhuamej titonojnotzasquej.
3JN.1.15	Xpia yolsehuilistli. Motetlajsojcahuan
JUD.1.1	Nejhua, Judas, niitequitcau Jesucristo, niman niicniu Jacobo. Nemechtlajcuilhuiya nemejhuamej yejhuan Dios toTajtzin omechnotz para iconehuan niman omechxeloj intech on tlajtlacolejquej niman mechejehua pampa nennemij san secan ihuan Jesucristo. 
JUD.1.2	Ma Dios mechmaca miyec iteicnelilis
JUD.1.3	Notlajsojcaicnihuan, sanoyej
JUD.1.4	Nonequi para nemejhuamej xmanahuican pampa sequimej xcuajcualtin tlacamej yocalaquej nemotzajlan ican tlacajcayahualistli. On Yectlajcuilojli yejhuan onijcuiloj ye huejcahui quijtohua ica itlahuel Dios yejhuan yejhuamej quiselisquej. Yejhuamej xcuajcualtin tlacamej yejhuan mechmachtiaj ica huelis nenquichihuasquej on tlen xcuajli san tlen nenquinequisquej nenquichihuasquej pampa Dios ican itetlajsojtlalis
JUD.1.5	Nemejhuamej ye nenquimatztoquej nochi tlen onochiu yehuejcahui inhuan on hebreos. Pero san nicnequi nemechelnamictis ica masqui toTeco Dios oquinquixtij nochimej on hebreos ne Egipto, más saquin
JUD.1.6	Niman no xquimelnamiquican on ilhuicactequitquej yejhuan oquipolojquej intequiu niman yejhuan oquitlalcahuijquej inchan ne ilhuicac. Dios oquinsaloj ican teposcadenas yejhuan quipiasquej para nochipa, niman oquintzacu ipan tlayehualyotl campa quimpias hasta queman ajsis on hueyi tonajli ijcuac quinyolcuitis niman quintlaxtlahuilis. 
JUD.1.7	No ijqui, xquimelnamiquican on chanejquej ne impan on huejhueyican Sodoma niman Gomorra niman on ocsequimej yejhuan oncatcaj nijnisiu. On tlacamej ahuilnemiyaj niman yejhuamej nonejnequiyaj ihuan ocsequimej tlacamej quen se tesihuau yesquiaj. No ijqui, on sihuamej nonejnequiyaj ihuan ocsequimej sihuamej quen se tehuentzin yesquiaj. Dios oquincastigaroj on huejhueyican ican tlitl para quiteititia ica ijqui niman para nochipa quincastigaros on tlajtlacolejquej.
JUD.1.8	Ijcon tej, on tlacamej yejhuan ocalaquej nemotzajlan no quichihuaj on tlen xcuajli. Intemic quinyecana para quichihuasquej tlajtlamach
JUD.1.9	Sa no yejhua on ilhuicactequitquetl yejhuan yacatzticaj itoca Miguel, ijcuac omic Moisés quinocuijcuiliaya itlalnacayo ihuan on diablo. Ijcuac on xoquinemilij tla quitocarohua para cajhuas, yej san oquijlij: “Ma toTeco mitzajhua ipampa on tlen xcuajli ticchihua.” 
JUD.1.10	Pero yejhuamej in tlacamej quijtohuiliaj on tlen xcuajli ica on tlajtlamach yejhuan xcajsicamatij. In tlacamej nemij quen yolquej pampa xhuelij tlanemiliaj, yej san quichihuaj on tlen intlalnacayo quinequi. Niman on tlajtlamach yejhuan quichihuaj quimpopolohua.
JUD.1.11	¡Lástima de yejhuamej! pampa xquitlacamatij Dios sa no ijqui quen Caín oquichiu. ¡Lástima de yejhuamej! pampa notlajcalij quiteititiaj ma tlajtlacocan ocsequimej pampa quinequij quitlanisquej tomin quen Balaam oquichiu. Niman no ¡lástima de yejhuamej! pampa miquij ica xquitlacamatij on tlanahuatijli no ijqui quen Coré omic. 
JUD.1.12	Yejhuamej quichihuaj tlajtlamach yejhuan tepinajtij ne ipan nemoilhuihuan campa nentlacuaj ican tetlajsojtlalistli. Yejhuamej tlacuaj niman tlaonij
JUD.1.13	Nochi on tlen tepinajtij tlajtlamach quichihuaj nesi quen iposonajlo on mar ijcuac sanoyej cualani. Yejhuamej xhuelij teyecanaj quen itlaj sitlalimej yejhuan quisaj intech inojhui xoc huelij teyecanaj. Dios oquitlalij campa sanoyej tlayohuatoc campa on tlacamej nemisquej para nochipa.
JUD.1.14	Enoc yejhua ica chicome tlacatl onemicoya más saquin de Adán. Yejhua Enoc oquiteijlij on tiotlajtojli yejhuan oquiselij itech Dios. Yejhua oquijtoj quen ijqui impan nochihuas on yejhuan xcuajli nohuicaj. Ijquin oquijtoj: “Xcaquican, toTeco huajlas niman sanoyej miyec ilhuicactequitquej quinhuajhuicas, 
JUD.1.15	para quinyolcuitis niman quintlaxtlahuilis nochimej on tlacamej. Niman yejhua quintlajtlacolmacas nochimej on xcuajcualtin tlacamej ipampa nochi on tlen xcuajli oquichijquej, niman ipampa nochi on tlen xcuajli intlajtol yejhuan oquijtohuilijquej Dios.” 
JUD.1.16	On xcuajcualtin tlacamej yejhuan ocalaquej nemotzajlan xqueman cuajli tlajtlatohuaj, niman teijijtohuaj. Quichihuaj nochi on tlen xcuajli inelehuilis
JUD.1.17	Pero nemejhuamej, notlajsojcaicnihuan, xquelnamiquican on tlen iapóstoles toTeco Jesucristo oquijtojquej ica nochihuas. 
JUD.1.18	Ijquin omechijlijquej: “Ipan on tonaltin ijcuac ye nisiu para Cristo huajlas ocsejpa, nemisquej tlacamej yejhuan quipijpinahuisquej on tlajtlamach tlen chipahuac niman quitocasquej on inelehuilis yejhuan xchipahuac.” 
JUD.1.19	In tlacamej texejxelohuaj. Yejhuamej quichihuaj san tlinon intlalnacayo quinequi. Niman no xquipiaj iEspíritu Dios.
JUD.1.20	Pero nemejhuamej, notlajsojcaicnihuan, xmopalehuican ihuan ocsequimej para nemoscaltisquej ipan nemochipajcatlaneltoc. Xchihuacan oración ican ipoder Espíritu Santo. 
JUD.1.21	Xnemilican nochipa quen ijqui nenhuelisquej nenquiselisquej itetlajsojtlalis
JUD.1.22	Xquintlalican melajquej ipan intlamachilis on yejhuan ometlamatij. 
JUD.1.23	Ocsequimej yejhuan quemach tlaneltocaj itech on xcuajli temachtijli, xquinmaquixtican ijcon quen tlatlasquiaj ipan tlitl. Niman on ocsequimej yejhuan sanoyej quineltocaj on xcuajli temachtijli, xquimicnelican pero ican miyec cuidado para ma ca nenquichihuasquej quen yejhuamej quichihuaj. Niman yej no xtlajyelitacan intlajtlacolhuan quen nenquintlajyelitasquiaj
JUD.1.24	Dios toTemaquixtijcau huelis mechejehuas para ma ca nenhuetzisquej ipan tlajtlacojli. Niman yejhua huelis mechhuicas nenchipajquej xican tlajtlacojli niman sanoyej nempaquisquej itech campa yejhua nemi ican ihueyilis. 
JUD.1.25	Dios nochi quimati niman san yejhua toDios, niman yejhua toTemaquixtijcau. Itechcopa Jesucristo nomati ica yejhua quipia nochi tetlacaitalistli, hueyilistli, niman poder para tlamandarohua, niman tequihuajyotl. Nochi yejhua in oquimpix ijcuac xe oncatca in tlalticpactli, aman quimpia niman quimpias para nochipa. Ma ijqui nochihua.
REV.1.1	Ipan in tlajcuilolamatl niquijcuilohua on tlajtlamach
REV.1.2	Niman Juan oquiteixpantilij nochi tlen ocac ica itlajtol Dios niman on tlen melahuac yejhuan oquititij Jesucristo. 
REV.1.3	Sanoyej
REV.1.4	Nejhua Juan nemechtlajcuilhuia nemejhuamej tlaneltocaquej ne ipan on chicomemej tiopantin yejhuan oncaj ne Asia. Ma Dios mechtiochihua niman ma mechmaca yolsehuilistli. Yejhua aman yolticaj, niman nochipa nemiya, niman nochipa nemis. Niman on chicomemej espíritus no ijqui ma mechtiochihuacan niman ma mechmacacan yolsehuilistli. Yejhuamej nemij ixpan Dios ne campa tlanahuatia. 
REV.1.5	No ijqui ma mechtiochihua Jesucristo yejhuan nochipa quiteixpantilia quen nonequi niman ma mechmaca yolsehuilistli. Sa no yejhua on yejhuan achtoj oyoliu
REV.1.6	Yejhua otechtlalij quen reyes niman tiopixquej para tictequichihuilisquej on Dios iTajtzin. ¡Ma quiseli Cristo hueyilistli niman poder para nochipa! Ma ijqui nochihua.
REV.1.7	Xquitacan, Cristo huajlau ipan moxtli. Niman nochi tlacatl quitas hasta on yejhuan oquicocojquej. Niman nochimej on tlalticpactlacamej chocasquej yejhua ipampa. Quemaj melahuac ijqui nochihuas. Ma ijqui nochihua.
REV.1.8	“Nejhua niachtoj niman nisa ica nochi de nochi on tlajtlamach ijqui quen on abecedario pehua ican on letra A niman ontlami ican on letra Z”, quijtohua on toTeco Dios yejhuan nochi hueli. Yejhua aman yoltica, niman nochipa nemiya, niman nochipa nemis.
REV.1.9	Nejhua, Juan, ninemocniu. Pampa ninemi san secan ihuan Jesús quen nemejhuamej, san secan nemohuan nicpia tlajyohuilistli niman temaquixtilistli niman tlaxicohualistli. Ninemiya ne ipan on tlalhuactli itoca Patmos yejhuan oncaj atlajcotian. Ompa onechontotocaquej pampa nicteijliaya on itemachtil Dios niman on tlen nicmati ica Jesucristo. 
REV.1.10	Ipan se tonajli ijcuac domingo, on Espíritu Santo oquiyecan notlamachilis ican ipoder, niman ne nocuitlapan ica onicac se chicahuac tlajtojli yejhuan ocaquistic quen caquisti on trompeta ijcuac se quipitza. 
REV.1.11	Yejhua on tlajtojli onechijlij:
REV.1.11	―Nejhua niachtoj niman nisa ica nochi de nochi on tlajtlamach, no ijqui quen on abecedario pehua ican on letra A niman ontlami ican on letra Z. Ipan se tlajcuilolamatl xquijcuilo on tlen tiquita. Niman quemaj on tlajcuilolamatl xquintitlanili on chicomemej tiopantin yejhuan onoquej ne iregión Asia. Xtitlani ne ipan on huejhueyican Efeso, Esmirna, Pérgamo, Tiatira, Sardis, Filadelfia niman Laodicea.
REV.1.12	Oninocuep para onicontac aquinon nechnotzaya niman oniquitac chicome candeleros tlachijchiutin ican oro. 
REV.1.13	Niman intlajcotian on chicome candeleros oniquitac se yejhuan nesia quen tlacatl. Yejhua tlaquemej catca ican se tlaquentli yejhuan hasta icxitlan quitlamiliaya, niman iyelpan malinticatca ican se ilpicatl tlachijchiutli ican oro. 
REV.1.14	Niman oniquitac itzon istac quen itlaj lana
REV.1.15	Icxihuan pepetlacayaj quen on tepostli costic itoca bronce ijcuac quipatlaj ipan horno. Ijcon quen chicahuac comoni on hueyi atl ijcuac huejcatlan ontoyajticaj, no ijqui caquistiya itlajtol on yejhuan oniquitac. 
REV.1.16	Ipan iyecma quipiaya chicome sitlalimej, niman ipan icamac huajquisticatca se espada yejhuan semi sanoyej tlatequi ocan. Ijcon quen petlani on tonaltzintli ijcuac sanoyej chicahuac tona, ijqui opetlan ixayac.
REV.1.17	Ijcuac oniquitac onihuetztiaj icxitlan quen micatzintli. Pero yejhua nopan oquitlalij iyecma niman onechijlij:
REV.1.17	―Ma ca xmomojti. Nejhua niachtoj niman nisa ica nochi de nochi on tlajtlamach. 
REV.1.18	Nejhua nicpia nemilistli. Nejhua, tej, onimica, pero xquita, aman nicpia nemilistli para nochipa. Nejhua nicpia poder para nicnahuatia on miquilistli niman miquilispan. 
REV.1.19	Yejhua ica, tej, xquijcuilo on tlinon tiquita, on tlen aman nochihua niman on tlen nochihuas. 
REV.1.20	On chicomemej sitlalimej yejhuan otiquintac ipan noyecma niman on chicomemej candeleros tlachijchiutin ican oro quipiaj inichtacayo
REV.2.1	’Xtlajcuilhui ipastor on tiopan de Efeso niman ijquin xquijli:
REV.2.1	In yejhua itlajtol on yejhuan quipia on chicome sitlalimej ipan iyecma niman yejhuan nemi intlajcotian on chicomemej candeleros tlachijchiutin ican oro.
REV.2.2	Yejhua ijquin mitzijlia: Nejhua nicmati nochi tlen ticchihua. Nicmati ica sanoyej
REV.2.3	Nopampa ticxicohua on, tlajyohuilistli niman no sanoyej titequiti nopampa. Niman nochi yejhua in xtisiahui ica ticchihua.
REV.2.4	Pero masqui ijcon ticchihua, nicpia tlinon ica nimitzchicajcanotzas. Xoc tinechtlajsojtla
REV.2.5	Yejhua ica xquelnamiqui quech tetlajsojtlalistli otinechpialij achtoj. Aman, tej, xmoyolpatla niman xnechtlajsojtla quen achtoj oticchiu. Tla xtimoyolpatlas, nias niman nimitzquixtilis on mocandelero.
REV.2.6	Pero no ticpia on tlinon ica nimitzhueyitenehuas. Tictlahuelita on tlen quichihuaj on xcuajcualtin tlacamej yejhuan quitlacamatij itemachtil Nicolás. Nejhua no nictlahuelita itemachtil.
REV.2.7	Xpiacan cuidado on tlen on Espíritu Santo quimijlia on tlaneltocaquej. On yejhuan tetlanquej yesquej niquincahuilis ma quicuacan itlaquilyo on cojtlaquijlotl yejhuan oncaj ipan icojtlaquilyo Dios ne ilhuicac. On tlaquililyotl quitemaca nemilistli para nochipa.
REV.2.8	’Xtlajcuilhui ipastor on tiopan ne Esmirna niman ijquin xquijli:
REV.2.8	In yejhua itlajtol on yejhuan omic niman ocsejpa oyoliu
REV.2.9	Yejhua ijquin mitzijlia: Nejhua niquixmati quen titlajyohuia niman ica xitlaj
REV.2.10	Ma ca xmacajsi on tlen saniman tiquijyohuis. Nenquesquimej mechajsis on diablo para mechtlatlatas, niman nentlajyohuisquej majtlactli tonajli. Xquejehua motlaneltoc masqui tla timiquis niman quen motlayocolil nimitzmacas on yencuic nemilistli yejhuan ticpias para nochipa.
REV.2.11	Xpiacan cuidado on tlen on Espíritu Santo quimijlia on tlaneltocaquej. On yejhuan tetlanquej yesquej xqueman ocpa miquisquej niman xyasquej ne mictlan campa tetlajyohuiltiloyan.
REV.2.12	’Xtlajcuilhui ipastor on tiopan ne Pérgamo niman ijquin xquijli:
REV.2.12	In yejhua itlajtol on yejhuan quipia on espada yejhuan sanoyej tlatequi ocan.
REV.2.13	Yejhua ijquin mitzijlia: Nejhua nicmatzticaj nochi tlen ticchihua niman no nicmatzticaj canon tichanti. Tichanti campa on Satanás quipia itrono. Pero masqui nepa tichanti, notech ticuajpixtiu motlaneltoc. Masqui oquimictijquej on yejhuan melahuac notenojnotzacau Antipas ompa campa chanti Satanás, tejhua xotinechcau.
REV.2.14	Pero masqui ijcon ticchihua no nicpia quesqui tlajtlamach yejhuan ica nimitzchicajcanotzas. Ompa mohuan nemij sequimej yejhuan quitocaj itemachtil Balaam yejhuan ye huejcahui otemachtica. Yejhua oquimachtij Balac quen ijqui quichihuas para on hebreos ma tlajtlacocan. Oquimijlij ma quicuacan on tlajtlamach yejhuan nohuentlaliaj intech on tlamachijchihualtin intajtzitzihuan niman ma ahuilnemican.
REV.2.15	Niman no mohuan nemij sequimej yejhuan quitocaj on temachtijli yejhuan Nicolás otemachtij niman intemachtil nictlahuelita.
REV.2.16	Yejhua ica, tej, xmoyolpatla pampa tla xtimoyolpatlas, saniman nias motech niman niquinhuijsoquis ica on espada yejhuan nocamac quisa.
REV.2.17	Xpiacan cuidado on tlen on Espíritu Santo quimijlia on tlaneltocaquej. On yejhuan tetlanquej yesquej niquinmacas ma cuacan on maná yejhuan iyanticaj. Niman no niquinmacas se tetzintli istac campa tlajcuilolnestias se yencuic tocayotl yejhuan xacaj quixmatis, yej san on yejhuan quiselia quixmatis.
REV.2.18	’Xtlajcuilhui ipastor on tiopan ne Tiatira niman ijquin xquijli:
REV.2.18	In yejhua itlajtol on yejhuan iConeu Dios, yejhuan quipia ixtololojhuan quen itlaj tlimilinajli niman icxihuan petlantoquej quen on tepostli itoca bronce.
REV.2.19	Yejhua ijquin mitzijlia: Nejhua niquixmati motequiu, motetlajsojtlalis
REV.2.20	Pero masqui ijcon ticchihua, no nicpia tlinon ica nimitzchicajcanotzas. On sihuatl Jezabel yejhuan notenehua tiotlajtojquetl, ticahuilia quinmachtia on notequitcahuan. Niman yejhua quinmachtia para ma ahuilnemican niman para ma quicuacan on tlajtlamach yejhuan nohuentlaliaj intech on tlamachijchihualtin intajtzitzihuan.
REV.2.21	On sihuatl onicmacac tonaltin para ma noyolpatla, pero xquinequi cajcahuas on ica ahuilnemi.
REV.2.22	Xcaqui, on sihuatl nictlajcalis ipan tlapechtli para sanoyej cualos, niman no on yejhuan ihuan ahuilnemij niquinxinis ipan on sanoyej temojtij tlajyohuilistli tla xnoyolpatlaj niman xcajcahuaj on ica ihuan cojcochtinemij.
REV.2.23	Niman iconehuan on sihuatl niquinmictis. Ijcuac ijcon nicchihuas, on tlaneltocaquej quimatisquej ica nejhua nochi cuajli nicmati tlinon oncaj ipan itlamachilis niman ipan iyojlo cada se, niman cada se nictlaxtlahuilis quen nonequi on tlen quichihua.
REV.2.24	Pero nemejhuamej yejhuan no nennemij ompa ne Tiatira, yejhuan xnenquitlacamatij on quenon temachtijli niman xnenquixmatij on tlen yejhuamej quitenehuaj huejhueyi ichtacayo Satanás, nemechijlia ica xoc itlaj ica nemechtlajtlacoltis.
REV.2.25	Pero on tlen nenquineltocaj xquejehuacan hasta ijcuac nejhua ocsejpa nihuajlas.
REV.2.26	On yejhuan tetlanquej yesquej niman ican nochi innemilis nechtlacamatisquej, niquinmacas on tequihuajyotl para quinmandarosquej nochi países
REV.2.27	ijcon quen noTajtzin onechmacac on tequihuajyotl. Yejhuamej, tej, quinmandarosquej países ica on cojtic tequihuajyotl yejhuan sanoyej hueli quinxixinia on países quen se tlacatl hueli cuejcuechtilia se contli.
REV.2.28	Niman no niquinmacas ihueyi cualtzinyo on cualcan sitlalin.
REV.2.29	Xpiacan cuidado on tlen on Espíritu Santo quimijlia on tlaneltocaquej.
REV.3.1	’Xtlajcuilhui ipastor on tiopan ne Sardis niman ijquin xquijli:
REV.3.1	In yejhua itlajtol on yejhuan quipia on chicome iespíritus Dios niman on chicome sitlalimej. Yejhua ijquin mitzijlia: Nejhua nicmatzticaj nochi tlen ticchihua. Nicmatzticaj ica timictoc masqui tejhua timotenehuilia ticpia nemilistli ne ixpan Dios.
REV.3.2	Xmotlachalti, niman xyolchicahua on tlen oc
REV.3.3	Yejhua ica, xquelnamiqui on tlen omitzmachtijquej niman on tlen oticac. Xtlacamati, niman xmoyolpatla. Tla xtimotlachaltis, nias motech quen yacaj tlachtequetl niman xticmatis tlen hora nimitzontas.
REV.3.4	Pero ompa ne Sardis tiquimpia quesquimej tlacamej yejhuan xnijtlacohuaj. Yejhuamej nohuan quistinemisquej ican intlaquen istac pampa ijqui quimelahua
REV.3.5	Yejhuan tetlanquej yesquej, tlaquemejquej yesquej ican istac tlaquentli. Xniquintocayopopolos ne ipan on tlajcuilolamatl yejhuan quijtohua aquinomej quipiaj on yencuic nemilistli para nochipa, yej niquintocayotenehuas ne ixpan noTajtzin niman imixpan on ilhuicactequitquej
REV.3.6	Xpiacan cuidado on tlen on Espíritu Santo quimijlia on tlaneltocaquej.
REV.3.7	’Xtlajcuilhui ipastor on tiopan de Filadelfia niman ijquin xquijli:
REV.3.7	In yejhua itlajtol on yejhuan melahuac niman yolchipahuac, niman yejhuan quipia illave David. On tlen yejhua quitlapohua, xacaj hueli quitzacua; niman on tlen yejhua quitzacua, xacaj hueli quitlapohua.
REV.3.8	Yejhua ijquin mitzijlia: Nejhua nicmatzticaj nochi tlen ticchihua. Aman xcaqui, nejhua yonimitztlapohuilij se tlatzacuilyotl
REV.3.9	Xquita, tej, on xcuajcualtin tlacamej yejhuan nemij ipan itiopan Satanás. Yejhuamej notenehuaj hebreos, pero xnejli hebreos. Yejhuamej tlacajcayajquej. Nicchihuas para mocxitlan ma notlacuenquetzacan, para ijcon quimatisquej ica nimitztlajsojtla
REV.3.10	Pampa yotictlacamat notlanahuatil niman ticxicohua ican tlajyohuilistli, nejhua no nimitzmanahuis ipan on hora ijcuac yejcos on tlajyohuilistli yejhuan nochi tlajtlacolej ipan huajlas. Yejhua on tlajyohuilistli onyas, para nochi tlalticpactlacatl notlatlatas.
REV.3.11	Nejhua, tej, saniman nihuajlas. On tlen ticpia xquejehua, para ma ca yacaj mitzcuilis motetlayocolil yejhuan Dios quinequi mitzmacas.
REV.3.12	Yejhuan tetlanquej yesquej, niquintlalis para hueyixtiasquej quen pilares ne ipan itiopan noDios. Yejhua, tej, xqueman nejcuanis ompa. Niman ipan niquijcuilos itocayo noDios niman itocayo on hueyican yejhuan iyaxca
REV.3.13	Xpiacan cuidado on tlen on Espíritu Santo quimijlia on tlaneltocaquej.
REV.3.14	’Xtlajcuilhui ipastor on tiopan ne Laodicea niman ijquin xquijli:
REV.3.14	In yejhua itlajtol on yejhuan melahuac. Yejhua itestigo Dios yejhuan nochipa cuajli quichihua itequiu. Yejhua quijtohua on tlen melahuac niman yejhua oquitlalij nochi tlen oncaj itechcopa Dios.
REV.3.15	Ijquin mitzijlia: Nejhua nicmatzticaj nochi tlen ticchihua. Nicmatzticaj ica tejhua xticpia san se moyojlo para cuajli tinechtlacamati, nion xticpia san se moyojlo para tinechtlalcahuiya. Nicnequi para xnechtlacamati noso xnechtlalcahui.
REV.3.16	Pampa xmelahuac cuajli tinechtlacamati nion xmelahuac tinechtlalcahuiya, nicpia ipan noyojlo para nimitztlalcahuis.
REV.3.17	Tejhua, tej, timorricojtenehua, niman tiquijtohua ica xitlaj
REV.3.18	Yejhua ica, tej, nimitztlacanonotza ica notech xcohua on chipahuac oro yejhuan yoquichipajquej ica on tlitl para ijcon melahuac tirricoj yes. Niman no ijqui notech xcohua on istac tlaquentli para ica timotlaquentis niman ijcon on mopinajcatlalnacayo xoc teixpan onyas. Niman para huelis titlachas, no notech xcohua on pajtli para tiquintlalilis mixtololojhuan.
REV.3.19	On yejhuan niquintlajsojtla
REV.3.20	Xmatztia ica nejhua nijcac tequiahuatempan niman nictetelohua on tlatzacuilyotl
REV.3.21	On yejhuan tetlanquej yesquej niquincahuilis nohuan ma notlalican ne campa nitlanahuatia, ijcon quen nejhua yonitetlan niman ihuan noTajtzin yoninotlalij ne campa yejhua tlanahuatia.
REV.3.22	Xpiacan cuidado on tlen on Espíritu Santo quimijlia on tlaneltocaquej.
REV.4.1	Quemaj onajcotlachix niman oniquitac huajtlapojticaj se tlatzacuilyotl ne ilhuicac. Niman on tlajtojli yejhuan achtoj onechnotzca quen itlaj trompeta, onechijlij:
REV.4.1	―Nican xhuajtlejco, niman nimitzititis on tlen tlajtlamach
REV.4.2	Quemaj nimantzin on Espíritu Santo oquiyecan notlamachilis ican poder. Quemaj oniquitac se hueyixticaj trono ne ilhuicac, niman ipan on hueyixticaj trono aquinonon yehuaticatca. 
REV.4.3	Niman on yejhuan ipan on trono yehuaticatca, petlanticatca quen itlaj tetl yejhuan cualtetzin itoca jaspe niman cornalina. Niman on trono quiyehualojticatca se cosemalotl, niman on cosemalotl petlanticatca xoxojqui quen on tetl itoca esmeralda. 
REV.4.4	Niman oniquitac sempoajli
REV.4.5	Ne itech on hueyixticaj trono quisayaj tlapetlanaltin, tlacaquistiya niman tlacomoniya. Niman ixpan on hueyixticaj trono, tlicuiticatcaj chicome tlahuiltin. On chicome tlahuiltin sa no yejhua on chicome iespíritus Dios. 
REV.4.6	Niman ne ixpan on hueyixticaj trono oncatca on tlen nesiya quen se mar tlachijchiutli ican tescatl. Yejhuan sanoyej
REV.4.6	Tlajcotian niman iyehualican on hueyixticaj trono nemiyaj nahuimej on quen yolquej yejhuan imixpan niman incuitlapan tentoya ican imixtololojhuan. 
REV.4.7	On achtoj tlajtlachaya quen itlaj león, on yejhuan ica ome tlajtlachaya quen itlaj huacax, niman on yejhuan ica yeyi oquipix ixayac quen tlacatl, niman on yejhuan ica nahui tlajtlachaya quen itlaj tojtli itoca águila ijcuac patlantiu. 
REV.4.8	Niman cada sesentemej quipiayaj chicuasen inmajtlapal. Niman itzintlan niman icuitlapan inmajtlapal tenticatca ican ixtololojtin no ijqui quen tenticatca ipan nochi itlalnacayo. Cada tonajli niman cada yejhuajli xcajcahuayaj ica ijquin quijtohuayaj:
REV.4.8	¡Yectli, yectli, yectli, toTeco Dios nochi hueli; nochipa nemiya, niman aman yolticaj, niman nochipa nemis!
REV.4.9	Niman chica on quen itlaj yolquej quimacaj hueyilistli, tetlacaitalistli niman tlaxtlahuijli on yejhuan yehuaticatca ipan on hueyixticaj trono, yejhuan nemi para nochipa, 
REV.4.10	on sempoajli huan nahui tlajtlajmatquej no notlacuenquetzayaj ixpan niman quimahuistiliayaj on yejhuan nemi para nochipa. Yejhuamej no quitlaliayaj incoronas ixpan on hueyixticaj trono, niman ijquin quijtohuayaj:
REV.4.11	ToTeco Dios, tejhua mitzmelahua
REV.5.1	Quemaj iyecmacopa on yejhuan yehuaticatca ipan on hueyixticaj trono oniquitac se tlajcuilolamatl mimilijtica
REV.5.2	Niman oniquitac se ilhuicactequitquetl
REV.5.2	―¿Aquinon quimelahua
REV.5.3	Pero xnemiya nion ne ilhuicac, nion ipan tlalticpactli, nion itzintlan in tlalticpactli campa nemij on mimiquej yejhuan ohuel oquitlapoj on tlajcuilolamatl, nion para quitas tlinon tlajcuilolnesticaj. 
REV.5.4	Niman nejhua sanoyej
REV.5.5	Quemaj semej on tlajtlajmatquej onechijlij:
REV.5.5	―Ma ca sa xchoca. Xquita on León. Yejhua in se tlacatl yejhuan hualejticaj itech Judá niman hualejticaj itech rey David. Yejhua yotetlan niman yejhua ica huelis quitlapos on chicome sellos niman quitlapos on tlajcuilolamatl mimilijticaj.
REV.5.6	Quemaj itlajcotian on hueyixticaj trono niman imixpan on quen yolquej niman on tlajtlajmatquej oniquitac ijcaticatca se Borreguito. Ipan on Borreguito nesticatca ica yoquimictijcaj. Yejhua quipiaya chicome icuacuahuan niman chicome ixtololohuan yejhua quijtosnequij on chicome iespíritus Dios yejhuan imanyan nochi in tlalticpactli oquinhuajtitlanquej. 
REV.5.7	Yejhua ohuajlaj itech on hueyixticaj trono, niman ocontilan on tlajcuilolamatl mimilijticaj yejhuan quipiaya ipan iyecma on yejhuan ipan on hueyixticaj trono yehuaticatca. 
REV.5.8	Ijcuac on Borreguito ocontilan on tlajcuilolamatl mimilijticaj, ixpan onotlacuenquetzquej on nahuimej yejhuan quen yolquej niman on sempoajli
REV.5.9	Yejhuamej quitlacuicatiayaj se yencuic tlacuicajli:
REV.5.9	Tejhua mitzmelahua tiquitzquis on tlajcuilolamatl mimilijticaj niman tictlapos isellos, pampa omitzmictijcaj, niman ican moyesyo otitechcou para otitechteyaxcatij itech Dios. Tlacamej de nochimej razas, nochi quech sesetlamantiquej tlajtoltin
REV.5.10	Niman otitechtlalij quen reyes niman tiopixquej para tictequichihuilisquej Dios niman tejhuamej titlanahuatisquej ipan tlalticpactli.
REV.5.11	Quemaj nimantzin oniquintac, niman onicac intlajtol
REV.5.12	Niman ican chicahuac tlajtojli ijquin quijtohuayaj:
REV.5.12	¡On Borreguito yejhuan oquimictijcaj quimelahua quiselis on poder, on riqueza, on tlamatquilistli, on chicahualistli, on tetlacaitalistli, on hueyilistli niman on yectenehualistli!
REV.5.13	Niman nochi on tlajtlamach
REV.5.13	On yejhuan yehuaticaj ipan on hueyixticaj trono niman on Borreguito para nochipa ma quinmacatiacan on yectenehualistli, on tetlacaitalistli, on hueyilistli niman on poder.
REV.5.14	Niman on nahuimej yejhuan quen itlaj yolquej tlajtlachayaj quijtohuayaj:
REV.5.14	―¡Ma ijqui nochihua!
REV.5.14	Niman on sempoajli huan nahui tlajtlajmatquej onotlacuenquetzquej niman oquimahuistilijquej on yejhuan para nochipa quipia nemilistli.
