MAT.1.1	Ali ni lishauma lyamaimyo lyavanakuluvake Yesu Klistu ndukulugwe Daudi na jojo ndukulugwe Abulaamu.
2CO.4.8	Kula upande tunkwikaliligwa kanji hatunakandigwa shinu; tunkwambambidyanga kanji hatunajaa lilindilililo; 
2CO.4.9	tunkupapatigwa kanji hatunaambukangigwa shinu; tunkuligwanga kanji hatunabamalegwa shinu, 
2CO.4.10	ngwengwe tunyukata kupela kumwe 
2CO.4.11	Doni, wetu túpagwite mushingumi ngwengwe tunkujauligwa tupele kwamwaa umwe Yesu kwambangidya shingumi shake Yesu shililodye momo mumili vyetu vipéla. 
2CO.4.12	Nadoni kupela ankukola madengo nkati mwetu kanji shingumi shinkukola madengo nkati mwenu.
2CO.4.13	Napanelo pakuva tunkuvanavo imumu imo yoyo yalikulupililo kenga mwavandikidile, “Ndikulupila napane nditangola,” nawetu momo tundikulupila napane tunditangola 
2CO.4.14	tumanya kenga aijá ándyuwidye 
2CO.4.15	Mwaa uti avi ni kwapaida yenu mmene kwambangidya umonyo uvawikíla kula wakati vanu voe utadye lilambwalalelo lyanjadyeke kwalishangelo lyake Nnungu.
2CO.4.16	Napavedoni havinatudidima mitima. Ata ikava kenga umunu wetu wapanda unkunda kanji umunu wetu wankati unkutandegwa waambi kula liduva. 
2CO.4.17	Mwaa mauvilo awakati au, maangolo na akupita, anavo ankwidanavo kwetu wetu lishangelo líkamalilika liidópa namene kupunda uti 
2CO.4.18	akuno tulola vinu i vyanéka kanji víkaaneka. Mwaa vyanéka, vyakupita kanji víkaaneka ni víkamalilika.
2CO.5.1	Mwenu, tundimanya kenga ikabamalegwa yema yatunama mushilambo amu, tunkuvanavo ing'ande kumwe Nnungu, ing'ande yavakadangile na makono yangwengwe kuwa. 
2CO.5.2	Mwaa tùpagwite mwiyema ai, tunkuula tulindila na mweshe ukumene kutugwadya ing'ande yetu yakuwa 
2CO.5.3	ikava kenga mwiu tùgwete ing'ande ayo, hatwaneka kuva matakudavo.
2CO.5.4	Mwenu, tùpagwite mwiyema ai, tunkuula vitwidopa mwaa hatunalota shinu tuulangigwe kanji vatugwadye pakulota ashilá shipéla shimiligwe na shingumi. 
2CO.5.5	Átupanganiangididye kwashinu shosho ashi ni Nnungu jo átupele Imumu kuva kenga shinu shakwimididya.
2CO.5.6	Napavedoni, ngwengwe tunkuvanavo ntima shii tumanya do, patupagwite na mili au, tunkuva kushu namu 
2CO.5.7	Mwaa tunkunama kwalikulupililo i kwakwona. 
2CO.5.8	Napane tunkuvanavo ntima shii na inkutunagwela tupagwe kushu kwamili na tupagwe kumwe 
2CO.5.9	Nadoni ata ikava kenga tuvelé nng'ande kwali panda, shabaa yetu ni kulota innagwele 
2CO.5.10	Mwaa wetu uti indituvaikila twimile palibengi lyaukumu lyake Klistu pakulota kula munu apate kulingana na shimadengo ashilá shatandile mumili, kwali shambone kwali shakunyata.
2CO.5.11	Napavedoni pakuva tundimanya kunjopa 
2CO.5.12	I do, tunkulitumbyanga kavili kwenu mwenu kanji tunkumupa mwenu litala lyakulota mulyone kwamwaa wetu wetu kwambangidya muvenavo shakuvajang'ula avalá valyóna kwapanda i kwa ashilá shivéle muntima. 
2CO.5.13	Mwenu, ikava kenga kwali tunkudulumbuka ni mwaa wa Nnungu, ikava kenga kwali tunkuvanavo ding'ano ni mwaa wenu mwenu. 
2CO.5.14	Mwaa linagwaledyo limwe Klistu linkututawala mwaa tundiwikila pamwisho kenga jumo andipela kwamwaa wavanu uti, nadoni uti vandipela. 
2CO.5.15	Nae andipela kwamwaa wavanu uti pakulota avalá vanáma, havananame kavili kwamwaa wave vo vene kanji vaname kwamwaa umwe aijá ápadile na kudyuka kwamwaa wavanavo.
2CO.5.16	Nadoni kutunduvangila ambi apa hapali watummalangilila kwodananavo shimunu. Ata ikava kenga kunantandi Klistu tushimmalangilila kwodananavo shimunu kanji napane hatunammalangilila shinu kavili davo. 
2CO.5.17	Napavedoni, ikava kenga munu ankupagwa nkati mumwe Klistu, ajo ni shiumbi shaambi. Vyakala vindipita. Mwenu, viidilé vyaambi. 
2CO.5.18	Avi uti vinkwalakela kwake Nnungu aijá átutadidye twigwane na jo mwene kwaindila imwe Klistu atwing'a utumika waliigwilanilo, 
2CO.5.19	yani Nnungu andípagwa nkati mumwe Klistu atadya shilambo shiigwane namu jo mwene pakavavalangilila kupujungula kwave na atukamudya ntenga waliigwilanilo. 
2CO.5.20	Napavedoni wetu ni mabaloshi vamwe Klistu; Nnungu alaililila kwaindila yetu wetu. Tunkunjugwangila kwamwaa umwe Klistu, mwigwane namu Nnungu. 
2CO.5.21	Aijá ákamanyite lidambi anintadya kuva lidambi kwamwaa wetu wetu kwambangidya tuvalangiligwe kuva ishaliya yake Nnungu nkati mwake.
2CO.6.1	Napane, tukola madengo namu Nnungu tunkunnaililila hamunapwashalele bule umonyo wake Nnungu. 
2CO.6.2	Mwaa nae atédoni,
2CO.6.2	“Nangu ndikwigwa muwakati uvaikidíle,
2CO.6.2	ndikupwashela muliduva lyakwambola.”
2CO.6.2	Mwenu, au ni wakati uvaikidíle. Mwenu, ali ni liduva lyakwambola.
2CO.6.3	Hatumpele munu ishaliya yakulota kulikuvala kwambangidya utumika wetu, haunaaneke makosha. 
2CO.6.4	Leka apo, nkati muvinu uti tunkulilodya kenga tuvatumika vake Nnungu, nkati mukulipililila kwoe, mumauvilo, muwou, muvyakujowa, 
2CO.6.5	mukushapigwa viboko, mukungwa, muvijungulima, mushimadengo shakupwateka, muushilo bila lwono, mwindala, 
2CO.6.6	kwaungave-ushapu, kwalimanyilo, kwakulipililila, kwalitananilo, kwa Imumu Wanashwe, kwalinagwaledyo líkave shinankulaba, 
2CO.6.7	kwalilove lyaumwiu, kwadimongo dyake Nnungu, kwadyuti dyaishaliya kunkanakono na kunshanda, 
2CO.6.8	nkati mukwishimika na mukwiludyangigwa, mukupata shimbili shakunyata na shambone, twaneka kenga tuvakushang'apa kumbe tuvelé tuvaiu, 
2CO.6.9	kenga túkamanyika kumbe tunkumanyika namene, kenga túpela kumbe mwe, tuvangumi, kenga túpata shaushanga kumbe patukabyaigwa, 
2CO.6.10	kenga túvenavo shipalodi kumbe ngwengwe tunkupuwanga, kenga tuvamashikini kumbe ni túvatadya voe vatajilike, kenga túkave pashinu kumbe tunkuvanavo uti.
2CO.6.11	Tunditangola ngala namu mwenu mmakolintu; ntima wetu uvelé mwandwa. 
2CO.6.12	Wetu hatunandivilila shinu mwenu ila mwenu munkudivililigwa kwalilotelo lyenu kwetu wetu. 
2CO.6.13	Napane kwakubadilishania, ngutangola namu mwenu kenga mmana mmadikidiki, ungula momo mitima vyenu.
2CO.6.14	Hamunalyunge likangoti namu vákakulupila. Mwaa ipagwité imbodi shani pakati paishaliya na ungave-lilamulo? Kwali upagwité upamo shani pakati palilangadyo na shii? 
2CO.6.15	Da lipagwité lyunganilo shani pakati pamwe Klistu namu Shatwani?
2CO.6.16	Da lipagwité lyunganilo shani pakati paing'ande ya Nnungu na vannungu vakushang'apa? Mwaa wetu ni ing'ande ya Nnungu mumi. Kenga mwatangalela Nnungu,
2CO.6.16	“Ndatenga lyutu kwavanavo
2CO.6.16	ndawena pakati pave,
2CO.6.16	nangu ndava Nnungu wave,
2CO.6.16	vanavo vandava venentete vangu.”
2CO.6.17	Napavedoni, “Lyumadyange pakati pave,
2CO.6.17	vaambukange, atangola 
2CO.6.17	hamunakamule shinu shishapu
2CO.6.17	na nangu nampwashalela.
2CO.6.18	Nangu ndava tatamunu kwenu
2CO.6.18	na mwenu mundava mmana valume na vakongwe kwangu nangu,
2CO.6.18	atangola 
2CO.7.1	Mmakunagwaleka, pakuva tunkuvanavo vyakulivikila avi, tulyushaniange vyaudagwa uti vyamumili na vyamwimumu tuwisha popo kwilimyanga nkati mukunjopa Nnungu.
2CO.7.2	Panganianga litala lyetu mmitima vyenu. Hapali watumwanadile, hapali watumwashadyenge na hapali watunshandile. 
2CO.7.3	Hangunatangola shinu vinu avi pakulota kumuukumu mwaa kenga mo mwanimwaulidile, mwenu munkupagwa mmitima vyetu kwambangidya tupele namu mwenu kwali tuname namu mwenu. 
2CO.7.4	Ninkuvanavo ntima shii kwenu mwenu; kwenu mwenu ko, ninkulyumya shumbi poe. Ninkuumbaligwa kupambadyangigwa; nkati mumauvilo etu uti, ninkuumbaligwa lipuwilo mpaka kupakatika.
2CO.7.5	Doni, patuwikile ku Makedoniya hatupatile litala lyakupumula kanji tundipata mauvilo akula inamuna; panda apa ugombi na nkati mmitima mo, kujopa. 
2CO.7.6	Kanji napane Nnungu ávapambadyanga vakwanalegwa, anditupambadyanga wetu kwaindila yakuwika Titu, 
2CO.7.7	i gweka pakuwika nae kanji namomo kwakupambadyanga kwamumpambadyenge mwaa nae andituvalangangila mweshe wenu, shipalodi shenu pamo na dukuduku yenu kwamwaa wangu mpaka kutadya lipuwilo lyangu kwanjadyeka poe.
2CO.7.8	Mwenu, ata ikava kenga nangu nintadya shipalodi mwibalugwa, hangunalyambila shinu ata ikava kenga ngushindalyambila yakwigwa do, ibalugwa yangu inintadya shipalodi ata paikavele wakati ungwipi tu. 
2CO.7.9	Kanji napane ambi ninkupuwanga i kwamwaa wakutaigwa shipalodi kanji kwashipalodi shenu shinimuukanavo mukulijugulanga. Mwaa mwenu mundipata shipalodi kwodananavo mwalatela Nnungu, nadoni hamupatile ashala yoeyoe kwamwaa wetu wetu. 
2CO.7.10	Mwaa shipalodi shoodánanavo malotelo ake Nnungu shinkwidanavo kulijugulanga kuka mukwambolegwa bila kulyambila. Kanji shipalodi shamushilambo shinkwidanavo kupela. 
2CO.7.11	Talola shana shipalodi shosho ashi shaalakéla kwa Nnungu shíng'a vyepo nkati mwenu: kutumbama shani, kushililidya shani, kushanga shani, kujopa shani, mweshe shani, dukuduku shani, ukumu shani! Nkati muuti mwenu mundililodya kuva mmanu múkave ushapu kwamwaa au. 
2CO.7.12	Nadoni ata ikava kenga nimwandikila haivéle kwamwaa umwe aijá ámwanadile muje na ata i kwamwaa umwe aijá wavamwanadile kanji pakulota mwemwe mmene muulule kwanalela dukuduku yenu kwetu wetu pamevo pake Nnungu. 
2CO.7.13	Napavedoni wetu tundipambadyangigwa.
2CO.7.13	Leka yakupambadyangigwa ai, tundipuwanga namene patwonite lipuwilo limwe Titu mwaa nkati muntima mwake mundipatikana kudidimidya kwamwaa wenu uti. 
2CO.7.14	Doni, ikava kenga shipali shangulyumididye shumbi yenu mwenu kwake nae ko, havangutaile dyoni kanji kwoda uti vyanimmalangangidile mwenu vìu, namomo kulyona kwetu pamevo pake Titu, kwìu. 
2CO.7.15	Nadoni lilotelo lyake kwenu mwenu linkwanjadyeka namene akumbukila kwigwilila kwenu, mwamumpwashaladile mujopa na kutatamela. 
2CO.7.16	Ninkupuwanga namene mwaa kwakula shinu ninkunkulupila mwenu.
2CO.8.1	Tunkummanyiya napane mmanung'unumunu umonyo umwe Nnungu upatikanénge mumaganisha a ku Makedoniya. 
2CO.8.2	Doni, nkati mumauvilo oe, kuumbaligwa kwalipuwilo lyave na ungave-pashinu wakumamodya wave, undipakatika utajili wakujaula kwaupande wave. 
2CO.8.3	Mwaa ninkumya ushuda kenga vanavo kwamalotelo avo vo vene, vandyumya kwodananavo lyululilo lyave na ata mpaka kupunda apo 
2CO.8.4	vatujugwangila kwakutukanyalidya vapate paida yakuliinjidyanga
2CO.8.5	Namomo havatandile gweka vyatushilindila wetu kanji shitandi vandilyumya vo vene kumwe 
2CO.8.6	Nadoni tuninnaililila Titu doni, mo mwatunduvangidile, amalilile momo shimadengo ashi shaumonyo pakati penu. 
2CO.8.7	Napanelo kenga mo mwamuumbaligwididye nkati muuti; mulikulupililo, mukutangola, mulimanyilo, mukutumbama kwiu na mulinagwaledyo lyetu nkati mwenu, namomo likanyalidye muumbaligwe na umonyo wowo au.
2CO.8.8	Avi ninkutangola i kenga lilamulo kanji pakulota ninninge ngulinganianga na kutumbama kwavanji kenga linagwaledyo lyenu lyaumwiu. 
2CO.8.9	Mwaa mwenu mundimanya umonyo umwe 
2CO.8.10	Ala napane ni maoni angu: shitendo ashi ni kwapaida yenu mwenu mwemwe mútunduvenge mwaka upitíle i gweka mukutenda kanji namomo mukunagwaledya. 
2CO.8.11	Kanji napane malila ashilá shamutunduvenge kwambangidya dashi, kenga mo mwaipagwididye dukuduku yakunagwaledya namomo kupagwe kukumalilila nkati muvinu vyamuvenavo. 
2CO.8.12	Mwaa ikapagwa dukuduku, nshango unkukubaligwa kwodananavo ashilá shavenavo munu i shakavenavo.
2CO.8.13	Malotelo etu i do vanji vapate kugalukigwa, mwenu mwidopelwe kanji pakulota kupagwe kulinganana. 
2CO.8.14	Muwakati au kuumbaligwa kwenu mwenu kundadiva lyutu lya avalá vákavenavo pakulota namomo kuumbaligwa kwavanavo ko, kudive lyutu lyenu mwenu kwambangidya kupagwe kulinganana. 
2CO.8.15	Kenga indyandikigwa, “Aijá álakwete oe havenavo libadila na aijá álakwete padyoko, halamwovite.”
2CO.8.16	Napanelo lilambwalalelo lipagwe kwa Nnungu ávikile kutumbama koko kwanguvenavo kwenu mwenu muntima mumwe Titu. 
2CO.8.17	Mwaa Titu haigwilidile gweka lijugwangilo lyetu kanji àvenavo kutumbama kwoe, ankwida kwenu mwenu kwamalotelo ake jo mwene. 
2CO.8.18	Namu nae wetu tunkuntumidya nung'unumunu, jojo jo, shimbili shakuvalanganga ntenga wambone shindyandavala mmaganisha uti. 
2CO.8.19	I gweka asho kanji namomo anditandalegwa na maganisha pakulota atupalakele patukola shimadengo ashi shaumonyo shatutumikila kwalishangelo lyake jo mwene 
2CO.8.20	Tunkulinyemya doni kwambangidya munu hanatushashulange kwamwaa wanshango ukumene watutumikila. 
2CO.8.21	Mwaa tunkwangaikangila ashilá shashalowa i gweka pamevo pamwe 
2CO.8.22	Tunkuntumidya napane pamo na vanavo nung'unumunu junji, jojo jo, myanda vyoe na kwadinamuna dyoe tunintenda nningo kutwala kumwona kuva munu átumbama namene kanji napane ankuvanavo dukuduku yoe kwamwaa walikulupililo lyavenavo kwenu mwenu. 
2CO.8.23	Kwaupande umwe Titu, nae po ni nyangu na mmádengomwangu kwamwaa wenu mwenu. Kwaupande wavanung'unumunu vanji vo, vanavo ni vakutumigwa vamaganisha, àvele lishangelo lyake Klistu. 
2CO.8.24	Napavedoni pamevo pamaganisha, valodye umwiu walinagwaledyo lyenu na shabaa yatulyumidya wetu shumbi kwenu mwenu.
2CO.9.1	Mwenu, kwaing'ano yakuvatumika vakwilimyanga haivakidile nimwandikile. 
2CO.9.2	Mwaa ndimanya kutumbama kwenu, shinu shangulyumidya shumbi kwavamakedoniya ndivaulila doni, tangu mwaka upitíle vaakaya vanavo vavelé tayali na dukuduku yenu inkuvaimulanga voe. 
2CO.9.3	Kanji napane ndivatumidya vanung'unumunu ava pakulota kulyumya kwetu shumbi yenu mwenu hakunagalukange kwamwaa au kanji kwambangidya muve mmakulipanganianga kenga mwangutangaladile. 
2CO.9.4	Ikanavadavo, vamakedoniya ikava kenga vandaida pamo namu nangu kutwala kunkodya mwenu mukalipanganienge, wetu tundapata dyoni patukatangola dyoni dyamulota kupata mwemwe mmene kwamwaa walikulupililo likumene ali. 
2CO.9.5	Napavedoni ndyona kudyanga ndivalaililile vanung'unumunu valangalele pakulota vapangange kaladavo shadaka shamulivikidile kunantandi kwambangidya dashi, shanavo shive tayali kenga shadaka shamuumidye kwalilotelo lyenu i kwakumuungila.
2CO.9.6	Nidoni, ápanda padyoko, andapuna padyoko; ápanda poe, andapuna poe.
2CO.9.7	Kula munu aumye amulá mwamulidile muntima mwake i kwashipalodi kwali kwakumuungila mwaa Nnungu ankunnagwaledya nkúmya walipuwilo. 
2CO.9.8	Nnungu napane ankuulula kutadya umonyo uti uumbaligwe kwenu mwenu pakulota muuti na muwakati uti, muvanavo uti vitósha, muumbaligwidye mushimadengo uti shambone. 
2CO.9.9	Kenga indyandikigwa,
2CO.9.9	“Andimwadila kuvapa vákave pashinu;
2CO.9.9	ishaliya yake inkupagwa ngwengwe.”
2CO.9.10	Mwenu, Nnungu ájaula imbeju kwankúlima na ligung'u pakulota tulye, jojo jo andamupa na anaanjadyedya imbeju yenu na andatadya ainjipike mapuno aishaliya yenu. 
2CO.9.11	Mwenu mundatajilika mudinamuna uti mpaka mwinjile mukujaulanga, ko kutadya kwaindila yetu wetu lilambwalalelo lipagwe kumwe Nnungu. 
2CO.9.12	Doni, utumika wamutenda au, haunava shinu wakuvapa gweka avilá vivóva vakwilimyanga kanji namomo, unkupakatika mulilambwalalelo lyoe kumwe Nnungu. 
2CO.9.13	Kwaindila yakulilodya ngala utumika au, vanavo vandamupa lishangelo Nnungu kwamwaa wakwigwilila kwenu kwalakéla mukulyaula kwenu nkati muntenga wambone umwe Klistu na kwamwaa wakujaulanga kwenu munshango kwavanavo na kwavanu uti. 
2CO.9.14	Mukushwali kwave yenu mwenu vanavo vankuvanavo mweshe woe kwenu kwamwaa waumonyo wakupunda apo wampele mwenu Nnungu. 
2CO.9.15	Lilambwalalelo lipagwe kumwe Nnungu kwamwaa wainudyo yake íkaulukika kutadolya.
2CO.10.1	Mwenu, nene nangu Paulu ninkunjugwangila mwenu kwakulishapeya na kwaupole umwe Klistu, nene ngwaneka kuva wakulishapeya pangupagwa namu mwenu kanji ninkali ndikanapagwa. 
2CO.10.2	Ninkujugwangila doni, pangupagwa po, haivaikidile kwangu nangu kuvanavo ntima wakulishiya kwadimongo dyangwona kenga ndalyalaveka ngutumila kwa avalá vatwóna wetu kwodananavo shimunu. 
2CO.10.3	Mwaa ata tukanama shimunu, hatunatenda shinu ing'ondo kwodananavo shimunu. 
2CO.10.4	Mwenu, dyuti dyatutandela ing'ondo yetu hadinava shinu dyashimunu kanji dyanavo, dinkuvanavo dimongo dimwe Nnungu dyakubamalangila mangongo. 
2CO.10.5	Tunkubamalanga makumbukililo na kulyona uti kulyumilídya apinga limanyilo lyake Nnungu na tunkuteka makumbukililo uti pakulota amwigwilile Klistu 
2CO.10.6	tuva tayali kuukumu ungaigwilila uti, po pailota kuwikila popo kwigwilila kwenu.
2CO.10.7	Mwenu mulola vinu kwapanda tu. Ikava kenga munu ankulikulupila jo mwene kuva umwe Klistu akumbukile kavili jo mwene shinu ashi: kenga mo mwavalalele nae umwe Klistu, nawetu momo tuvamwe Klistu. 
2CO.10.8	Mwaa ata ikava kenga nangu ninkumamodya kulyumya shumbi kwamwaa wamadalaka etu alalá aumidye 
2CO.10.9	Hangunalota shinu ngwaneke kenga nanjujuwanga kwadibalugwa dyangu. 
2CO.10.10	Mwaa vanji vankushidoni, “Dibalugwa dyake dinajowa na dyadimongo kanji mavalelo ake amili akudabadabanga na shitangodi shake shakulidyuka.” 
2CO.10.11	Munu kenga aju amanye doni, ashilá shatutangola mudibalugwa tukanapagwa, ni shosho shatuvele muvitendo tukapagwa.
2CO.10.12	Hatunalyalaveka shinu kulivikanga kwali kulilinganianga namu avalá valitumbúdya vo vene. Pavalipima shivanavene na pavalilinganianga shivanavene, havave ding'ano. 
2CO.10.13	Wetu napane hatulyumya shumbi kupunda shipimo kanji kulyumya kwetu shumbi kundavanavo mpaka kulingananavo shipimo shatukamudidye Nnungu, sho shimwikidíle ata mpaka mwenu. 
2CO.10.14	Mwaa hatunapunda shinu shipimo shetu kenga tuvanu túkawikile kwenu; wetu tuvelé tuvatandi kuwika ata mpaka kwenu twidanavo ntenga wambone umwe Klistu. 
2CO.10.15	Hatunalyumya shinu shumbi kupunda shipimo kwashimadengo shavanu vanji. Tunkulindila napane palikulumuka likulupililo lyenu, shimadengo shetu pakati penu shikulumwike namene kwodananavo shipimo shetu 
2CO.10.16	pakulota tuvalangange ntenga wambone mudisemu dimpúnda mwenu i kwakulyumidya shumbi kwashimadengo shitandéke mwisemu yamunu junji. 
2CO.10.17	“Aijá ályumya shumbi, alyumye shumbi nkati mumwe 
2CO.10.18	Mwaa hanakubalika munu álitumbudya jo mwene kanji akubalika aijá wantumbudya 
2CO.11.1	Nangu ngushindalota mwenu mungupililile muujinga padyoko! Mwiu nangu munkungupililila! 
2CO.11.2	Mwenu, dukuduku yanguvenavo kwenu mwenu ni dukuduku yakwalakela kumwe Nnungu mwaa nangu ndilivikila kunnombya mwenu kwannume jumo; ndikankamudye kumwe Klistu kenga mwali ntete ákave ushapu. 
2CO.11.3	Kanji shangujopa ni ashi, kenga mo mwanduwangidídye nyoka Eva kwaujanja wake, ding'anong'ano dyenu inkuululika kumwashadyanga mukulipudya kwiu na kúkave ushapu kumwe Klistu. 
2CO.11.4	Mwaa ikava kenga andaaloka munu junji nammalangangila mwenu Yesu junji watukammalangénge wetu, kwali ikava kenga mundapwashalela imumu inji yamukapwashaladíle, kwali ntenga wambone unji wamukapwashaladíle, mwenu uti avi munkulipililila shana! 
2CO.11.5	Mwenu, hangunalyona shinu ata padyoko vela kuva nindikidiki kwa avalá “vamyombe vakumene.” 
2CO.11.6	Ata ikava kenga hangunava shinu nimunu wakumanya kutangola kanji i mwanguvalalele nkati mulimanyilo. Shinu ashi tundilodya ngala kwenu mwenu kula lyutu na kula wakati.
2CO.11.7	Da nditenda lidambi pangulishapaidye kwambangidya mwenu vankwedye kwamwaa wakummalangangila ntenga wambone wake Nnungu monyo? 
2CO.11.8	Ndipakanyola vyamaganisha anji ngupata lipwashalelo lyavanavo kwambangidya nintumike mwenu. 
2CO.11.9	Nangu pangupagwíte namu mwenu vingwova vinu, hapali wanintikile ligogo mwaa vanung'unumunu vaalakadíle ku Makedoniya vanavo vaníngupa avilá víshingwova nadoni ndilishunga pakulota hangunantike ligogo mwenu na ndauka mushu ngulishunga yadavo. 
2CO.11.10	Kwoda umwiu umwe Klistu unkupagwa nkati mwangu, kulyumya kwangu aku shumbi hapali wakumaladya isemu ya ku Akaya. 
2CO.11.11	Mwaa shani? Da, nangu mwenu nannagwaledya shinu? Ámanya ni Nnungu.
2CO.11.12	Napanelo shangutenda sho, ndauka mushu ngutenda kwambangidya ngudivilile litala lya avalá valóta vapate litala lyakulota vaaneke kulinganana namu wetu muvinu vyavalyumidya vanavo shumbi. 
2CO.11.13	Mwaa vanu avo ni vamyombe vakushang'apa, vamadengo vakuduwanga valijaluwánga kuva vamyombe vamwe Klistu. 
2CO.11.14	Ashi hashinava shakutikinika mwaa jo mwene Shatwani, nae andálijaluwanga kuva njelo walilangadyo. 
2CO.11.15	Napavedoni, hashinava shinu shakujowa vatumika vake kulijaluwanga kuva vatumika vaishaliya. Mwisho wave undava kulingananavo vitendo vyave.
2CO.11.16	Kavili ninkushidoni, hanapagwe munu wakungwona kuva ninjinga. Kanji ikava kenga mwiu munangwona kuva ninjinga, ngupwashalela kenga mwamukampwashaladíle njinga kwambangidya nanangu momo ngupate kulyumya shumbi ata padyoko vela! 
2CO.11.17	Shangutangola mukulishiya kwakulyumya shumbi aku, hangunatangola shinu nimwoda 
2CO.11.18	Pakuva voe vankulyumya shumbi kwodananavo shimunumunu, nanangu momo ndalyumya. 
2CO.11.19	Mwaa mwenu kwoda muvenavo ding'ano dyoe, munkulipililila kwavajinga. 
2CO.11.20	Mwenu munkulipililila ata mpaka munu akamuukanavo muutumwa, kwali akanshonda, kwali akankangola, kwali akankoma malatuma. 
2CO.11.21	Kwadyoni dyangu ninkushidoni, kwavinu avi wetu tundidabadabanga namene!
2CO.11.21	Ashilá shavalota kulyalaveka vanji kulyumidya shumbi, ngutangola kenga ninjinga, nanangu momo ndalyalaveka. 
2CO.11.22	Da vanavo vo, vabalaniya? Nanangu momo. Vanavo vo, vanaishilaeli? Nanangu momo. Vanavo vo, udukulu umwe Abulaamu? Nanangu momo. 
2CO.11.23	Da vanavo vo, vatumika vamwe Klistu? Nangu po ndimamodya, ngutangola kenga nimunu wakudulumbuka, mushimadengo shoe, mukungwa myanda vyoe, mukushapigwa viboko myanda vyoe, muvijoidyo vyakulota kupela myanda vyoe. 
2CO.11.24	Myanda mwanu vayuda vangushapa viboko alubaini kusha shimo. 
2CO.11.25	Myanda mitatu ngukanyalegwa ding'ong'o, mwanda umo ngwamangigwa majanga, myanda mitatu ngutitimila mwimanga, mwanda unji wo shilo uti na mui ngwalela lela-lela-lela shing'ati imanga. 
2CO.11.26	Ngwengwe nguvé mushimwanda, muvijoidyo vyadyundi, muvijoidyo vyamajambashi, muvijoidyo vyavakwetu, muvijoidyo vyavamidi, muvijoidyo munjini, muvijoidyo kushimbweshe, muvijoidyo mudimanga na muvijoidyo pakati pavanung'unumunu vakushang'apa, 
2CO.11.27	mushimadengo shakupwateka, shilo myanda vyoe bila lwono, mwindala na mwinyota, mukwova shakulya myanda vyoe, mukudidima imepo na muwou. 
2CO.11.28	Leka vyapanda avi, kunkupagwa kula liduva kwidopa kwamangaikangilo angu kwamaganisha uti. 
2CO.11.29	Wakwashi ádabadabenge pandikadabadabenge nangu? Wakwashi wavantadidye agwe paikangupwateke nangu muntima?
2CO.11.30	Ikava kenga indivaikila ngulyumye shumbi, ndalyumidya muvinu vilódya kudabadabanga kwangu. 
2CO.11.31	Nnungu umwe 
2CO.11.32	Ku Damashiko, gavana ávele mwina mumwe umu Aleta, andívavika vakulaledya milango vyanjini vyavadamashiko pakulota vangukamule. 
2CO.11.33	Kanji kupitila palidilisha lyalingongo, vaníngushuluwa ngùvele mulitenga kutwala kupalanyoka mmakono mwake.
2CO.12.1	Ininguvaikila ngulyumye shumbi. Ata ikava kenga haipali paida, ndauka napane ndavalanganga dindoti na maono aalakéla kumwe 
2CO.12.2	Nimmanya munu nkati mumwe Klistu, vyaka kumi na nsheshe vipitíle kunyuma, andítanduligwa mpaka kuwa kwantatu, kwali aukile na mili kwali haukile na mili hangumanyite, ámanya ni Nnungu. 
2CO.12.3	Nangu ndimanya doni munu kenga aju, kwali aukile na mili kwali haukile na mili hangumanyite ámanya ni Nnungu, 
2CO.12.4	nae andítanduligwa mpaka kulyutu lyalipuwilo kutwala kwigwa malove apúnda shitangodi na alaéka munu kuvalanganga. 
2CO.12.5	Kwaupande wamunu kenga aju ndalyumidya shumbi kanji kwaupande wangu nangu nimwene, hangulyumidya paikava mukudabadabanga kwangu. 
2CO.12.6	Ata leka ngulyumidye shumbi hangunave ninjinga mwaa ndikatangwele vinu viu. Hangutamwa napane kutenda davo kwambangidya hanapagwe munu wakunguvikila namene nangu kupunda vyaona kwangu na vyaigwa kwangu.
2CO.12.7	Napanelo kwamwaa waukumene wakupunda apo wamaono na pakulota nangu hangunalikwedye, vaningujaulila miva mumili mwangu, àvele múntenga wake Shatwani pakulota angutindinganiange kwambangidya dashi hangunalikwedye. 
2CO.12.8	Ninjugwangila 
2CO.12.9	kutwala nae kungwaulila doni, “Umonyo wangu unditosha kwako mwaa dimongo dyangu diwikila popo nkati mukudabadabanga.”
2CO.12.10	Nadoni kwamwaa umwe Klistu, ninkupuwanga nkati mukudabadabanga, mukutukanigwa, mukuvauvanga, mukupapatigwa na mumatatisho. Mwaa panguva wakudabadabanga ni panguva wadimongo.
2CO.12.11	Ndilitenda kuva ninjinga kanji mwenu ni múnguungidile. Mwaa mwenu ni múkangutumbyenge nangu pakuva hangunava shinu nindikidiki kwavamyombe vakumene avalá ata ikava kenga nangu hangunava shinu. 
2CO.12.12	Kanji namwiu vimanyikilo vyaumyombe vinditandeka ngala pakati penu nkati mukulipililila uti, kwavimanyikilo, kwavyakutikinikanga na kwavyamakango. 
2CO.12.13	Da mushakwashi shamutanananigwe mwenu padyoko kuliko maganisha anji pandikavele nangu nimwene kuva ligogo kwenu? Likosha kenga ali ngulivaliva!
