GEN.1.1	Tana vuivuni mai dania God te gonia na kokou mana pari. 
PHP.4.23	Ma nina sonihalavu dida na Lord Jesus Christ ke kabu tana tarungamiu.
COL.1.1	Inau a Paul, God te viliu ge ku nina manevetena a Christ 
COL.1.2	Toro gegerei vanighau, nina na vure tabu a God i lokana na komu sule i Colosse - dida na tamahoghoni
COL.1.2	Toro kokoeliulivuti haia vania God tamada ge ke vaheghau na sonihalavu mana mabo.
COL.1.3	Mi tana bona toro kokoeliulivutighau, iroghai toro holoutoa God a tamana dida na Lord Jesus Christ, 
COL.1.4	na pukuna iroghai toro rongovia tau taluutuni itatana Jesus Christ mau dolovira nina vure God udolu. 
COL.1.5	Ighau tau nei raeni na pukuna ighau kau pitudilai na lei vatei holouto God te gonidila vanighau i kokou, mau righighi va inagho na lei togotogo ni kokou te vagha tau diki ghaghua iga bona tau vuivuni ni rongoviana na utuni tana Rongorongo Uto. 
COL.1.6	Ma gaia so tua na rongorongo ia eni te mai vanighau ighau ke, te rughuhoru vanira na lei vure tana maramana talighu. Me te tughui na lei vola ivei mi vei, te vagha ke nia tughu na volamiu tana bongi ia vaho tua keri tau vuivuni ni rongoviani mana ghilala vakale utoana na utuniani nina na puku ni veidolovi God vanira rana tangohahi. 
COL.1.7	Epaphras, nimami na puku ni tinoni toro lutu kolua, toro puku ni dolovi utoana, agaia te lavi rughuhorua vanighau gatu na rongorongo uto. Agaia nina puku ni tinoni taluutuni a Christ ma gaia te hangaghau te tughughai iroghai.
COL.1.8	Agaia te bosaa vanighai nia na dolo te va heghau na Tarunga Tabu.
COL.1.9	Mi roghai toro tona haliu sono na kokoeliulivutiamiu, vuivuni tana bona toro vuivuni ni rongoviamiu. Iroghai toro nongia a God ge ke va heghau mai na lei ghilala udolu nia na hava te liona na goniana tana volamiu, moro nongia God ge ke heghau na lei manaha udolu tana Tarunga Tabu. 
COL.1.10	Keri ge tana vola tau ghahaghau iga ilokana, ke talumavaa me ke liuliona haia Lord, ma kau tona haliu haia na goniani na lei gehegehe te uto. Keri ge ighau kau naunaua ge kau ghilala utoa God. 
COL.1.11	Mi roghai toro kokoeliulivuti ghua ge ke va lagalaga ghau nia nina na maana te rongoraghagha, ge kau loghoa na kabu rurughu mana vadangitai tau liona, ge ke vonughighau nia na togotogo. 
COL.1.12	Kau holoutoa haia God tamada na pukuna te lubatighau, ge kau tunuvagha tana lei totobo lologho didira nina vure tabu God tara kabu tana marara. 
COL.1.13	Ma gaia te vavolaghita ta nina na righitaoni na tinoni te righitaonia na kinakabu ni pungi, me lavihagheghita vaa ta nina na kinakabu na puku ni dalena te dolovia. 
COL.1.14	God te huiolighai nia na mateana dalena me talukehai na lei paluda.
COL.1.15	Christ, ta vaevanea, na puku ni marena God
COL.1.15	ta mua vaevanea nia na matada.
COL.1.15	Agaia Christ na kamanagho te vola tua
COL.1.15	i naghona keri ge gonighi na lei totobo udolu God.
COL.1.15	Ma Christ te haba pungisighi tua
COL.1.15	na lei totobo udolu.
COL.1.16	Christ te gonighi na lei totobo
COL.1.16	i kokou mi ani pari.
COL.1.16	Agaia te gonighi na lei totobo ta vaevanei
COL.1.16	maia na lei totobo ta mua vaevanei
COL.1.16	- rana tarunga tara loghoa na maana, lei tarunga tara huhuli,
COL.1.16	lei kinakabu, maia rana lei vunaghi.
COL.1.16	Keri ke, God te gonighi na lei totobo soko kolua Christ
COL.1.16	ma vania Christ.
COL.1.17	Agaia Christ te vola tua
COL.1.17	i naghona ge ara puputu na lei totobo soko
COL.1.17	ma gaia a Christ te tabe kolui
COL.1.17	na lei totobo gogoni udolu.
COL.1.18	Christ te vunaghi pungisia na holohoru
COL.1.18	te vagha na ulu te vunaghi pungisia na huli.
COL.1.18	Agaia Christ na vuivuni
COL.1.18	tadira kara tughuruoli tadira tara mate.
COL.1.18	Keri ke, ma Christ te haba pungisighi na lei totobo soko.
COL.1.19	Ma God ta nina liuliogha te liona na ghahaana itatana Christ,
COL.1.19	vaho ge ro sakai sonikolu tana nilabudira.
COL.1.20	Itatana na Dale, God te sonikolu olighi na lei totobo soko
COL.1.20	itatana heghena,
COL.1.20	Me nea na mabo nia lei totobo soko
COL.1.20	i kokou mi ani pari
COL.1.20	nia na ghanaghana ni ghabuna na Dalena
COL.1.20	tana kouna na ghaivavala.
COL.1.21	Te padi tua ighau tau kabu vaghara na lei vure tara kabu sagauvi ngangataa God. Ighau tau levunimate vania, na pukuna tau kabu vilivoka itatana, nia nimiu na lei ghanaghana mana gehegehe dika. 
COL.1.22	Hauva ka, mi taeni a God te laviolighau vaghara rana kulana. Agaia Christ te nea eni nia na mateana kouna na ghaivavala nia na hulina heghena. Na pukuna eni ke, agaia Christ te lavihagheghau mai tana puku ni matana God, mi ghau tau tabu maia te taho siki pagu itamiu kara hurughau nia te vagha tau tughuru inaghona gaia God, me te mua ghaha siki hahi tamiu. 
COL.1.23	Ma kau tona haliu na taluutuniana na Rongorongo Uto ma kau tughuru ngasi lokana. Bei lavikeha gea nimiu na pitudila tana lei ghanaghana te utuni, tau lavia tana bona tau rongovia na Rongorongo Uto. Na Rongorongo Uto eni tara ladavaghinia tua talighutia na maramana, mi nau a Paul te viliu tua a God ge ku ladavaghinia.
COL.1.24	Inau tu nia togotogo tana bona tu nia vahaghitaili na huligu vanighau mi nau tu sokolaghinia na hava te ghanaghana olia ta nina na vahaghitaili a Christ vania na holohoru, te vagha na hulina. 
COL.1.25	Ma God te vaheu mai na righitaoni ni lutu vaniana ta nina holohoru, nia na ladavaghiniana nina na Rongorongo Uto udolu vanira tara mua Jew. 
COL.1.26	Na rongorongo eni God te mua tughuni kaekalea na balu na togha ni niulu te padi mana lei vavata tara ghahara mai te padi tua. Hauva itaeni God te tughunitatea vanira nina na vure tabu heghena. 
COL.1.27	Me te liuliona God ge ke bosaa vanira nina vure ge na lei lologho mana rongoraghana Christ tara vanighau ighau rana mua Jew ghua. Ma nina ghanaghana God te kabu polo aeni, Christ te kabu ilokamiu ma eni God te bahughau ge kau nia tunuva kolu ilokana ta nina na rongoragha. 
COL.1.28	Keri ke, mi tana bona toro tona tua ivei ke, iroghai toro ladivaghinia Christ vanira na lei vure soko. Iroghai toro bosa dilai vanira moro taraira nia na lei manaha God te va heghai mai. Me te vagha eni, toro taraira na pukuna toro liona na vure kara maemane ta Christ. 
COL.1.29	Inau tu lutu laga ngangata iga eni, mu talua nigua na ghanaghana ta nina na maana Christ ke lutu ilokagu.
COL.2.1	Inau tu liomiu ge kau ghilalaa nigua na lutu laga vanighau maia ghua na vure taluutuni ni komu sule Laodicea, mana balu tinoni ghua tara mua tangomana na righi matagu. 
COL.2.2	Tu ghanaghana ge ku bosa patupatughau haia ge kau nia liokolu haia nimiu na dolo. Na pukuna eni ighau kau loghoa na manaha soo nia nina ghanaghana polo a God, aeni a Christ heghena.
COL.2.3	Agaia Christ te tatelaghinia nina na manaha mana ghilala God te vagha na nilau tara poloi. 
COL.2.4	Inau tu gerei vanighau raeni, ge ke bei pegoghau gea siki sakai, mana taluutuniani didira na lei bosa ni tarai te mua utuni. 
COL.2.5	Sakai manaa tu kabu sagau itamiu tana huli, na ghanaghanagu mana liogu so itamiu. Inau tu togotogo sule ngangata na pukuna inau tu rongovia te uto so na kabuamiu, ma nimiu na taluutuni te laga haia so itatana Christ.
COL.2.6	Te vagha ighau tau lavipangotia tua Jesus Christ te vagha na vunaghimiu, e maemane ge kau tona haliu na taoniana. 
COL.2.7	Kau taluutunia haia na Rongorongo Uto nina Christ, te vagha na ghai te sosohoru na lalana, me ke tughuru ngasi a nimiu na taluutuni itatana Christ, tana utuni te vagha tara taraighau nia tua. Talani na volamiu ge kau nia totolo na taluutuni tana bosautoana haia tana lei totobo agaia te gehetighi.
COL.2.8	Righitaoni utoghau, kau bei talana gea siki sakai ge ke hulighau va tana lei ghanaghana te mua maemane itatana God. Kau bei taluutunia gea adidira na lei tarai te mai tana ghanaghana ni tinoni te mua utuni, mana lei ghanaghana te dika raeni te va pukulaghi mai tana maramana mana lei maana te dika tana maramana eni. Te mua va pukulaghi mai tatana Christ. 
COL.2.9	Ighau tau ghilala tua tana bona Christ te mai tinoni, te lavia na huli ni tinoni vaghaghita, me lavia ghua na volana udolu a God. 
COL.2.10	Mana pukuna ighau tau baebase tua itatana Christ, na volamiu te vonughighi na lei totobo te uto. Ma gaia Lord te haba vulera tua na lei vunaghi mana lei tarunga vetena mana tidalo dika mana lamea mana keramo mana vata ni tarunga maana i kokou mi tana maramana udolu.
COL.2.11	Mi tana bona tau baebase kolu itatana Christ, ighau tau lavia na pahevaughilala. Ighau tau mua pahevaughilala tana hulimiu. Taho! Christ te pahevaughilalana na tarungamiu nia te lavi kehai tua na lei nilabu tara dika itamiu. 
COL.2.12	Mi tana bona tau lavia tua na vulitabu te vagha ighau tau tautavughi kolu tua itatana Christ. Mi ghau tau tughuru oli tana vola te vaolu ghua te vagha Christ, na pukuna ighau tau taluutunia nina na puku ni maana a God te tughuruvaghini olia Christ tana mate. 
COL.2.13	Te padi tua, ighau tau mua Jew tau mate na pukuna na palumiu, pukuna God te mua talukehai mua na lei nilabumiu te dika. Hauva ma God te vaheghau na vola itatana Christ. Agaia te talukehai na lei paluda. 
COL.2.14	God te lavi kehai na lei talukau nina vetena Moses i vuvungada. Gaia a God te lavighi me luvuhighi tua nia na patokiana ta nina ghaivavala Christ. 
COL.2.15	Te vaghaa eni, God te lavikeha sokoi na lei maana didira rana haba mana lei mane gehegehe tara levu ni pala vania Satan. Agaia te lavi maamaadira itadira na vure subo ta nina lagavule tana kouna na ghaivavalana Christ.
COL.2.16	Na pukuna keri ke, ge kau bei lubatia siki sakai me ke deteghau tana hava tau ghania mau inuvia, mana mua ghanaghana oliani na lei bongi tabu, mana lei bongi ni vula vaolu, mana Sabbath.
COL.2.17	Na lei vetena vaghani raeni ke, na nununi vamua na lei puku ni totobo te utuni God te nighi baubahu, gaia Christ heghena vamua. 
COL.2.18	Kau bei talana siki sakai ge ke pegoghau, nia didira na bosa, ‘Kau kabu rurughu ma kau holohabara na lei angel te vaghaghai ighai,’ sakai manaa kara bosa vanighau agaira tara righighi tana mabubu. Na lei tinoni vaghadira rakeri ke, ara ghanaghanara heghedira tara taotaoni mara kabu rurughu, hauvaa, ma didira na ghanaghana dika te nera ge ara talunagho. 
COL.2.19	Ara mua varava ngasi itatana Christ. Te vagha na ulu te vunaghina na huli, Christ te righitaonira nina vure. Ma Christ te nia hevei nina na laga vanira nina na vure, me tabe sakaisonikolura ge kara vola te vagha God te liona.
COL.2.20	Ighau tau mate kolu tua itatana Christ, ma gaia te va tatavahaleghau tua tana lei maana te dika ni maramana eni. Mi vei tea ge au tona haliu so na taoniani na lei vetena ni maramana, 
COL.2.21	“Kau bei tabei, e meto!” “Kau bei ghanighi raini ma kau bei tibelighi rakeri!” 
COL.2.22	Na lei vetena vaghani rakeri ke, tara nia tarai vanighi tana vanga ke taghai, na tinoni vamua te nighi tarai me taho siki uto kau sodoi iga. 
COL.2.23	Rana vure tara ghanaghana, “Na lei vetena raeni na halautuna na manaha, ma kau ba kabu taonighi ke, ge kau dolovia God ge kau kabu rurughu ge kau nighi bati tana vola ni huli.” Hauva me mua tangomana na hangaadira mana pilu pungisiadira ta didira na lei ghanaghana dika.
COL.3.1	Na pukuna ighau tau volaoli tua itatana Christ tana vola te vaolu, ma kau kabulaghi utoi vaso na ghanaghanamiu tana lei nilabu ni kokou ivei a Christ te sopou tana pala madolona God ta nina maana.
COL.3.2	Na lei ghanaghana ni kokou vaso ke vonughia na lokamiu. Kau bei ghanaghanaa gea na lei totobo iani pari, 
COL.3.3	na pukuna ighau tau mate tua tana bona a Christ te mate. Mana puku ni volamiu te kabu polo kolua Christ itatana God. 
COL.3.4	Christ, na puku ni volamiu, ke livu mai tana maramana udolu ke, ighau ghua kau sopa loghoa na tunuva tana ladana gaia.
COL.3.5	Na pukuna keri ke, ge kau va matei itamiu na lei ghanaghana mana gehegehe dika ni maramana te kabu polo tana lokamiu - ge kau bei nighi pipo gea na ngelengele, na gharu ni tangotangodika, na liuliogha ni ghanaghana dika, mana vevehe te vagha na holohabaana na titinoni. 
COL.3.6	Na lei totobo vaghani raeni ke, God ke va hera na totoro arahei kara taonighi. 
COL.3.7	Mi ghau tau taonighi tua idania na lei ghanaghana raeni, mi taeni tau tinoni taluutuni tua ke, kau bei ghoi taonighi gea. 
COL.3.8	Ma kau sonikehai itamiu na lei gehegehe dika soko raeni: Na rutu, na toutou manga, na liodika, na bosadika, mana vavaranga te va rughu horu mai tana mangamiu. 
COL.3.9	Kau bei sopa pegoghau gea na pukuna ighau tau sonikeha sokoi tua itamiu na lei ghanaghana mana lei gehegehe ni tinoni tau gonighi tua idania.
COL.3.10	Ighau tau lavia tua itaeni na vola te vaolu. Ma God te gonighau vaghaa na tinoni vaolu tua me goni subo ghau te vaghaa na marena heghena, ge kau ghilalaa utunia gaia.
COL.3.11	Mi tana vola vaolu eni ke, sakai vamua na balu tara ghilalaa na leu mana nilabu ni Greek, pana tinoni ni Jew, sakai vamua tara pahevaughilala pa tara mua pahevaughilala, sakai vamua ahei ke butu hau mai, pe ke tinoni tughururavi, ko seka po ko tinoni tatavahale. Christ ke kaukabu kolughau me haba vule.
COL.3.12	Keri ge God te dolovighau me vilighau tua ge kau nina taba ni vure tabu, ma kau kuvihighau nia na veiarovi, na liouto mana dolo, na kabu kikinima, na lio mabo, mana kabu rurughu. 
COL.3.13	Kau bei veihughuhughui sakai manaa na balu itamiu kara hughuhughughau. Kau bei rutu vania gea ahei, kau sopa vei talukeha palu ma Christ te talukehai vanighau ghua na lei palumiu.
COL.3.14	Mana puku ni tivi kau pulughau nia ke, na dolo vamua. Te pitikolughita tana kabu sakaisonikolu te uto. 
COL.3.15	Lubatia na mabo ke va butu mai ta Christ ke hulighi na tobamiu. Te vagha ighau tau sakai na huli vamua, mi ghau tara hologhau ge kau kabu tana mabo ma kau holoutoa haia God. 
COL.3.16	Kau pangotighi na bosana Christ ke ghaha kasilaa tana tobamiu, me ke nighau ge kau manaha. Ge kau nia lutu na manaha mughua na vatei taratarai mana bosa patupatu. Kau lingei na lei linge ni holouto, mana lei linge tabu vania God, ma nia na holouto tana tobamiu.
COL.3.17	Na hava tua kau bosai pa kau gehetighi, kau nei tana ahana Lord Jesus Christ, ma kau holoutoa nia God Tamada.
COL.3.18	Ighau na lei vaivine, tau tinoni taluutuni tua ke, me uto vaa ge kau kabu taonira na lei taumiu na pukuna te maemane vanighau ge kau nei raeni.
COL.3.19	Mi ghau na lei mane, kau dolovi utora na taumiu ma kau bei bosa papara mana rutu vanira.
COL.3.20	Mi ghau na lei gari, kau rongovi taonighi na bosadira na tinamiu mana tamamiu. Agaia eni na hava te liona a Lord.
COL.3.21	Ighau na lei mane tau dalea, kau bei lavibuleadira gea na lei dalemiu, geva kara dikalio ma kara mua gonighi na lei totobo uto.
COL.3.22	Mi ghau rana seka,
COL.3.23	Ge ke vagha kau lutui na lei lutu ke, ma kau lutu laga te vagha nina lutu Lord, me ke bei vaghai nina lutu na tinoni. 
COL.3.24	Ighau tau ghilalai tua Lord ke va heghau na vauto te vaghaa te bahura nia tua nina vure. Mana maghutu tau lutu vania ke, a Christ.
COL.3.25	Geva kau holai na oliolini nimiu na hahi ge te ke vaghaa kau gehegehe dika. Ma kau tabalili tana gehegehe dika na pukuna God te mua paleva vamua ahei.
COL.4.1	Ighau na lei maghutu, kau pabera nimiu na seka tana halautu te kaekage mete maemane taonia na liona God. Na pukuna kau ghilalaa ghua ighau tau loghoa na maghutumiu i kokou.
COL.4.2	Kau lavilaga tana kokoeliulivuti, kau bei liobea gea, ma kau holoutoa God nia na tobamiu. 
COL.4.3	Kau bei nighai ponolio ta nimiu na kokoeliulivuti, ma God ke va heghai na maana ni ladavaghiniana nina Rongorongo Uto. Idania na Rongorongo Uto nina Christ te kabu polo, mi taeni God te talutatea tua. Itaeni tu kabu tana vale pipiti, na pukuna tu ladavaghinia vanira na vure na bosana Christ. 
COL.4.4	Kau kokoeliulivutiu, ge ku tangomana na ladavaghini utoana nina na Rongorongo Uto God. 
COL.4.5	Kau manahana nimiu na kabu itadira rahei tara mua taluutunia Lord Jesus. Kau lavia na lagamiu, ma kau hangara rahei tara mua tinoni taluutuni.
COL.4.6	Kau kokoe vanira na vure nia na lei bosa te uto, ge kau ghilalaa na bosa tughu vaniana siki sakai ke huatighau nia na hava tau taluutunia.
COL.4.7	Tychicus ke bosai vanighau na lei totobo te kaleu. Gaia na hoghoda tu dolovia, te gehegehe uto me lutu koukolu itagua itatana Lord.
COL.4.8	Inau ku nia vetena vanighau gatu nia na puku ni ghanaghana ge kau ghilalaa na hava te kale itamami, ge ke bosa patupatughau ta nimiu na taluutuni.
COL.4.9	Mi nau ku vetenaa kolua nia gatu a Onesimus. Gaia ghua na hoghoda tu dolovia, te gehegehe uto itatana Lord. Ighau tau ghilalaa utoa tua Onesimus na tinoni ni komumiu, ma gaia ghua a sakai ta nimiu na ovu ni vure. Roghaira koro bosa kalei na hava te kale iani.
COL.4.10	Ma Aristarchus, te kabu kolu itagua iani tana vale pipiti, me vetenau ge ku nia vetena vanighau gatu anina na bosa ni holouto, maia ghua a Mark na hoghona Barnabas. Inau tu gerea vanighau gatu tua tana bona te padi na gatuana Mark itamiu. Kau lavipangotia tana bona ke sara gatu itamua.
COL.4.11	Jesus tara holoa nia a Justus, gaia ghua te holoutoghau. Ra tolu na mane raini ke, gaira vamua itadira na vure ni Jew tara taluutuni iani, mara lutu koukolura gaira tara lutu hahanga itagua tana ladavaghiniana na kinakabuna God. Gaira tara patupatu ngangataa nigua na lutu iani. 
COL.4.12	Epaphras, na puku ni tinoni ni komumiu, te vaheghau gatu ghua nina na bosa ni holouto. Ma gaia ghua sakai nina tinoni ni lutu Jesus Christ, ma gaia te kokoeliulivuti laga vanighau haia tana taluutuni, me nongia God ge kau tughuru ngasi tana vola ni tinoni taluutuni, me ke nea na ghanaghanamiu ge kau ghilala utoi na lei totobo God te lioni.
COL.4.13	Inau tu bosa utuni vanighau, gaia te lutu laga ngangata vanighau ge ke hangaghau, ma vanira ghua na lei tinoni taluutuni tana komu i Laodicea mi Hierapolis. 
COL.4.14	Ma Luke na manekisu, gaia tu dolovi ngangataa te holoutoghau maia Demas.
COL.4.15	Kau vahera nigua na bosa ni holouto vanira rana taluutuni tara ghahara tana komu i Laodicea. Ma vania ghua a Nympha ma rahei tara vaukolu tana valena. 
COL.4.16	I murina kara idumia vanighau nigua na gegere eni ke, kau nia vetena tona ghua tana holohoru i Laodicea ge kara idumia. Mi ghau ghua kau tangomana na idumiana na gegere tu gegerea tua vanira. 
COL.4.17	Kau bosa vania a Archippus, “Ko ghanaghana madadala utoa ge ko sokoa na lutuani na lei lutu na Lord te vahegho.” 
COL.4.18	Aeni nigua na bosa ni holouto vanighau tu gerea nia na puku ni limagu heghegu. Kau ghanaghanaa inau tu ghahau tana vale pipiti. Nimiu na kokoeliulivuti ke saraviu haia.
COL.4.18	Anina na sonihalavu God ke kabu haia itamiu.
1TH.1.1	Tolughai a Paul, Silas
1TH.1.1	ighai tai gegere vanighau gatu, ighau rana vure taluutuni Thessalonica. Ighau anina vure a God Tamada maia Lord Jesus Christ:
1TH.1.1	Ighai tai kokoeliulivuti vania God ge ke vaheghau na sonihalavu mana mabo. 
1TH.1.2	Ighai tai holoutoa haia God vanighau ighau udolu, maia ai bosa kaleghau ta nimami na kokoeliulivuti, 
1TH.1.3	na pukuna tai ghanaghana olia haia tana matana God Tamada ivei tau nei na lei totobo uto na pukuna tau taluutunia Jesus, mi vei tau nea na lutu laga ge kau hangara rana vure na pukuna nimiu na dolo vania God, maia ivei te vagha a nimiu na pitudila te ngasi itatana dida Lord Jesus Christ.
1TH.1.4	Ghau rana taluutuni, ighai tai ghilalaa a God te dolovighau me vilighau ge kau nina vure. 
1TH.1.5	Ighai tai ghilala te utuni na pukuna tana bona tai tughunitatea vanighau na Rongorongo Uto, mai mua tughunia na bosa vamua. Taho, ai tatea vanighau ghua nia nina maana na Tarunga Tabu. Mau ghilala tua tai taluutunia sughua na Rongorongo Uto tai tughunitatea vanighau, na pukuna ighau tau righi kalei mau ghilalai nimami na nilabu te maemane tana bona tai kabukolughau ge kai hangaghau. 
1TH.1.6	Ighau tau taonighi na lei nilabu tai talutatei vanighau, maia tana nilabuna dida na Lord, ma sakai vamua tau topoi na lei vahola me vahaghitailighau, ighau tau lavipangotia na Rongorongo uto nia na rivurivu te mai tatana na Tarunga Tabu. 
1TH.1.7	Me vagha keri ke ighau tau talunilabu vanira rana lei tinoni taluutuni tana bubulo i Macedonia mi Achaia.
1TH.1.8	Na rongorongona dida na Lord te rughuhoru mai itamiu me va horavia i Macedonia mi Achaia, mana rongorongona mana ladana ghua a nimiu na taluutuni itatana God te saopoi na lei komu. Me vagha keri ke, me taho ghua na hava iga te ghoi manana na bosaana kai bosaa vanighau gatu, 
1TH.1.9	na pukuna na lei vure kiri tara tutugughai, ivei tau nea na lavipangotiamami mana talugoniamami tana bona tai gatu kaoghau, maia ghua tau nighi murilio mau sanighi na lei titinoni tau taluutunighi, mau taluutunia mau lutu vania God te utuni maia te vola. 
1TH.1.10	Mara tutugughai ghua, ge au pitudilaa na bona na dalena God ke horu mai kokou. Aeni a Jesus Christ, God te tughuru vaghini olia tana mate. Jesus ke vavolaghita ta nina rutu mana totoro a God tana lei bongi sosoko.
1TH.2.1	Ghau rana taluutuni, ighau heghemiu tau ghilalaa tua a nimami na kao gatu itamiu ka, te mua mangoli lee. 
1TH.2.2	Ighau tau ghilalaa tana bona tai ghahaghai mua i Philippi, ivei tara nea na nighai ghighirou mana bosa dikalamami, vaho ge ai gatu itamiu i Thessalonica. Sakai vamua te sule na ghighirou iga, dida na God te patupatughai ge kai tughunitatea vanighau na rongorongo uto te butu mai tatana God. 
1TH.2.3	Tana bona tai tughunitatea eni, tai loghoa na ghanaghana maemane, mai mua tabotabo ge kai liupegoghau nia. 
1TH.2.4	Taho, ighai tai kokoe haia te vagha God te liona ge kai ghaghua iga, na pukuna gaia te ghilalaa te manamami sughua ge kai tughunitatea na Rongorongo uto. Mi tana bona tai kokoe, ai mua nei na lei totobo ge ke liuliogha tana tinoni, ighai tai taonighi vamua na hava te liona God te righi kalei tua na liomami. 
1TH.2.5	Ighau tau ghilalaa utoa tai mua mai ge kai mamimami ghau nia na kokoe, pa kai bosai na lei bosa ke vatia na halautu ge kai lavikehai tamiu a nimiu na lei totobo uto. Taho, God te ghilalaghai so! 
1TH.2.6	Ai mua tabotabo ge kai lavia na holouto itatana siki sakai, pa itamiu ighau, pa itadira ghua na balu tinoni. 
1TH.2.7	E utuni ighai nina na manevetena sughua Christ, ma kai tangomana ge kai nongighi na lei totobo subo itamiu. Hauva, mai mua nea te vagha, ai lio mabo vamua tana bona tai kabukolughau te vagha na vinekama te righitaonira na lei dalena. 
1TH.2.8	Na pukuna a nimami na dolo va itamiu te sule ngangata, ighai tai gonidila ge kai tuvalia ghua na volamami itamiu, te vaghaa na Rongorongo Uto nina God.
1TH.2.9	Ghau rana taluutuni, tau ghilala tua ivei tai nea na lutu laga mana vadangitai! Tai lutu haia tana bongi mana dani, ge kau bei nia ghaghua gea na hava kai ghania tana bona kai tughunia vanighau na Rongorongo Uto te mai tatana God. 
1TH.2.10	Ighau tau ghilalaa, ma God ghua te ghilalaa, tana bona tai kabukolughau, na nilabumami mana gehegehemami va itamiu te maemane me uto. Taho siki sakai ke tangomana ge ke hurughai nia tai nei na lei totobo te dika. 
1TH.2.11	Au ghilalaa tua ivei tai nea na hangaana nia sopa sakai tamiu te vaghaa na tamadira te hangara na lei puku ni dalena. 
1TH.2.12	Ighai tai kokoe patupatughau, mai kokoe togholuvughau, mai kurutighau ge kau kabu maemane tana vola te liona God, na pukuna God te hologhau ge kau lavia na vola ilokani nina kinakabu mana rongoragha.
1TH.2.13	Ma eni ghua sakai na ghanaghana ivei te ghaghua ge ai holoutoa haia God. Tana bona tai lavia vanighau gatu nina rongorongo God ke, au rongovia mau lavipangotia te mua vaghaa na rongorongo ni tinoni, ma nina rongorongo sughua a God. E utuni, God te lutu sughua itamiu ighau tau taluutunia nina rongorongo, ge ke hangaghau ge kau kabu maemane. 
1TH.2.14	Ghau rana taluutuni, na lei totobo te kaleghau iani te vaghai ghua na lei totobo te kalera na lei tinoni taluutuni nina God tana bubulo i Judea. Gaira rana Jew tara vahaghitailira mara nira ghighirou, me vaghaa ghua ighau, na ghamiu na komukolu mana lei kulamiu tara neghau iga.
1TH.2.15	Gaira rana Jew tara matera tua na lei prophet idania, mara matea ghua Jesus dida na Lord, mi taeni tara nighai ghighirou mara vahaghitailighai ighai. God te rutu ngangata vanira na pukuna tara nei na lei totobo dika! Tara nira ghighirou na lei vure soko, 
1TH.2.16	na pukuna tara tabotabo ghua ge kara betoghai ge kai bei tughunia gea na Rongorongo Uto vanira gaira tara mua Jew, mana rongorongo te uto a God ke vahera na vola maurihali. Mi tana gehegehe eni, e mai sara tana sosokoni na lei paludira tara nei haia, mi taeni nina rutu God te dutu ni horu mai vuvungadira.
1TH.2.17	Ghau rana taluutuni, tana bona tai tona sanighau tana pile bona te padi, na pukuna balu vure tara tivaghai, ighai tai sanighau tana huli, me liomami ngangata ge kai ghoi righighau ma kai kabukolughau! 
1TH.2.18	Ai liona ge kai ghoi oli gatu so itamiu. Inau heghegu erua pe tolu tua na tughuru ni tabotabo ge ku gatu righighau, hauva ma Satan te pungisighai. 
1TH.2.19	Tana bona Jesus ke oli mai, ai ghilala ge kau tughuru ngasi ta nimiu taluutuni. Na pukuna keri, ighau te vaghaa nimami na rivurivu mana pitiulu tana bona ighita ka righia Jesus ke oli mai. 
1TH.2.20	E utuni ighau a nimami na vatei talunagho mana rivurivu!
1TH.3.1	Mi murina eni ke, ighai tai nia ghaghua ngangata na righi matamiu, keri ke, mi tolughai tai nia padapada sakai na ghanaghana ge a Silas mi nau koro kabu oli so i Athens,
1TH.3.2	mo koro nia vetena gatu vaso a hoghoda Timothy ge ke gatu saravighau. A Timothy ghua anina tinoni ni lutu God ge ke ladavaghinia na Rongorongo Uto nina Christ, moro nia vetena vanighau gatu ge ke hangaghau ge kau tughuru ngasi ta nimiu na taluutuni tatana Lord, 
1TH.3.3	na pukuna e mua uto na balu tamiu kara sivilaghinia na taluutuni tana lei bongi vahola te saravighau taeni. Tau ghilala tua ke, God te lubatighi na lei bongi vahola kara kaleghita. 
1TH.3.4	Mi tana bona tai kabukolughau, ai diki bosatatea vanighau tua, na lei tinoni kara toro ngatangata ghau, mau ghilalai na lei totobo te vaghai raeni te kale utuni sughua. 
1TH.3.5	Na pukuna keri, u mua talua me ke daro ni bona ge ku nia vetena gatu a Timothy, ge ke pukulaghini utoghau, e ngasi so nimiu na taluutuni pe taho. Na pukuna inau tu nighau mataghu itatana Satan, agaia te tabotaboghita, ke bei nei gea na nimami na lutu ge ke lutu lee.
1TH.3.6	Ma Timothy te ghoi oli mai so i Corinth, me mai bosaa iga nimiu na taluutuni te ngasi, me vagha keri ge sule nimiu na dolo tadira na lei tinoni. Me bosa vanighai ghua tau togotogo ghua tana bona tau ghanaghanaghai, mai liomiu ghua ge kau ghoi righi matamami te vagha te liomami ge kai righi matamiu.
1TH.3.7	Ghau rana taluutuni, tana bona tai kabu i lokana na lei vata ni vahola mana lei totoro, ighai tai togotogo so na pukuna ighai tai ghilala tau tughuru ngasi so ta nimiu na taluutuni. 
1TH.3.8	Eo, ighai tai ghoi loghoa na ghanaghana te vola itaeni, na pukuna tai ghilalaa tau varava ngasi itatana dida na Lord. 
1TH.3.9	Tana bona tai kokoeliulivuti, tai holouto ngangataa God na pukuna ighau tau neghai ge rivurivu na tobamami. 
