MRK.1.1	Ne Adaghsaweaghtsera ne Gospel Jesus Christ ne Niyoh Royè‐ah.
MRK.9.34	Ok t’ahhontòdáde n’othènoe ahànea: Ikea tsi‐nondahhòne, wat‐hadirighwakènha ronouhha‐tsi?-?nihhàdih, ne oughka seahha eayekowaneáhhake.
MRK.9.35	Neoni raouhha wahhattyea, neoni yaghs‐hakò?-?nonke ne Tekeni‐yaweàre, neoni waghtakaweah?-?haghse ronouhha, tòga kanega ne Ongwe eayough?-?skàneke ne akaouhha ondayondongwedattyèregh?-?de, ne sha‐eyàdat oghnàgea entsyagaòeny agwektsìhhouh, neoni Akonhàtsera t’heawàdouh.
MRK.9.36	Neoni raouhha wadeghsakoyàdaghkwe Iks?-?hà‐ah, neoni et‐ho wahhòderouh raondineahher?-?heah: neoni ne ònea wahhodyadeáhhawe, waghsakaweahhaghse ronouhha,
MRK.9.37	Oughka kìok eayeyèna easkagh tsinekea ni-Kaksadòdea Kseànakouh waonkyèna n’I‐Ih: neoni oughkakìok eayonkyèna, yagh I deyonkyèna, ok raouhha ne ne t’hakenhàouh.
MRK.9.38	Neoni John dahhadàdy raouhhàge, wahheàrouh, Seweanìyoh, wa‐agwatkaght‐ho easkagh wa?-?koewadiyadinnekeaghserouh. Oneghs‐houghronoe?-?hòkouh ìse Saghseànagouh, neoni yaghdea degh?-?songwaghnonderatyèghdouh; neoni waghsagwàn?-?hèse, kady ne wahòeny ne yaghdegh ongwagh?-?nonderattyése.
MRK.9.39	Ok Jesus wahheàrouh, toghsa eghts‐hits?-?yaghtyaweàrat: Ikea yaghoughka n’Ongwe nà‐ah Yotyanàdouh tsinahatyere ne I Kseànakouh, nene ahagwèny yaght‐ha hakerághkwake ahadàdy yo?-?daks‐heah ne I‐Ighne.
MRK.9.40	Ikea raouhha nene yaghdegh songwarigh?-?waghrotsdeànyh et‐ho rayadaréghkouh onkyouh?-?hàge.
MRK.9.41	Ikea oughka kìok eayèsouh Cup Oghnè?-?kanóghs ne aghsnegìra, ne I Kseànakouh, nene eakarihhòeny tsi‐Christ Raongwèda, agwagh wagweahhaghse, yaghde‐yàweght akayadàghdouh ne eahoewanhaghde.
MRK.9.42	Neoni oughka kìok deayondadereasarón?-?gwaghse easkagh ne nekea kaniyagàsa nene t’yaka?-?wéghdagh n’I‐Ih, seahha yoweyéasdouh ne raouhha, nene Kat‐heseronyàt‐ha Oneàya ahòghtyea, neòni yahoewayadòndyh Kanyadaràgouh.
MRK.9.43	Neoni tóga Sesnònke easanikoeràks‐háde, tsyá‐ak: asè seahha yoweyeásdouh ne ìsé ne ya‐ágh?-?sadaweyáde yeaghsonheke Karoughyàge, ne deaghnòe tekenyh Tasesnoughsòndake, ne Oneghs‐houh eaghseghde, et‐ho tsi‐Tyodek‐ha nene yaghnoeweàndouh t’hi‐yaòeswe:
MRK.9.44	Tsinòewe ne Otsinòewa yagh t’hakeahheye, neoni ne Yodek ha yaght‐ha oèswe.
MRK.9.45	Neoni tòga Saghsìge easanikòeraksade, tsyà?-?ak; ásè seahha yoweyeasdouh n’ìsé ya‐agh‐sadawe?-?yade easa: s‐lsinokatàny yeghionheke, ne deagnòe ne tekeny da‐aghsaghsidòndake, Oneghs‐houh yea?-?yesayadòndy, et‐ho tsi‐Tyodek‐ha yaghnoeweàndouh t’hiyaòeswa.
MRK.9.46	Tsi‐nòewe ne Otsinòewa yagh t’hakeahheye, neoni Tsiyodekha yaghnoeweàndouh t’haòeswa.
MRK.9.47	Neoni tòga Skaghdège easanikoughraksàde, kàstághkwaght: asè seahha yoweyeasdouh n’ìsé ne ya‐aghsadaweyade ne Raoyanértsera ne Niyoh ne easka easeghskàrádaghke, ne deaghnòe ne tekenyh Ta‐aghskàradaghke ne Oneghs‐hou Tyo‐deckha yayesayadòndy.
MRK.9.48	Tsi‐nòewe ne Akotsinòewa yagh t‐hakeah?-?heye, ne Yodeckha yat‐haòeswa.
MRK.9.49	Ikea agwektsìhhouh nà‐ah teakaghyotsis?-?dar‐houh ne tsi‐Yodeck‐ha, neoni niyade‐kane?-?youghts‐heràge nà‐ah tekaghyotsisdarrhouh ne Teyoghyòtsis.
MRK.9.50	Teyoghyòtsis yagayanerreghtsìhouh nà‐ah: ok tògat, eawateràkewe tsi‐Teyoghyòtsis, yaghtea ot‐hènouh t’honsayonste? Sewaghyotsistayèndak tsyouhhats‐heràgouh, neoni sewayèndak ne Skeànea nahhòtea tsineandatteasewadadyere ne tsyouhhà.
MRK.10.1	Neoni raouhha wahhatketsko et‐ho yah?-?haghdeàndy neoni yahhàrawe et‐ho nòewe Judea nongadìghkouh, ne ìnouh ìsi‐nongàdyh Jordan: neoni n’Ongweghòkou wahhoewatkeanissa?-?aghse àre raouhhàge; neoni, àsé nene Tehhoewa?-?doughwentsyònyh, raouhha waghs‐hakorihhonnyea àre ronouhha.
MRK.10.2	Neoni ne Pharisees wahhonewe raouhhàge, neoni wahhoewarighwanòndoese, t’tkarighwayèry kea ná ne Rongwe ne oesahhayadòndy ne Ròne? wat‐hoewadenakèraghde raouhha.
MRK.10.3	Neoni raouhha tondahhadàdy neoni wahheàrouh ne ronouhhàge, oghnahhòdea eghtsisewe?-?weàny ne Moses?
MRK.10.4	Neoni wahhonnìrouh, Moses kea nihhoyèrea ne eayeghyàdouh Kaghyadoughsera ne Teayondek?-?hàghsyáde, neoni ne èrea eakoewayadeahhàwighde.
MRK.10.5	Neoni Jesus tondahhadàdy neoni wahheàrouh ne ronouhhàge, Ikea ne sè tsini‐yoghnìrouh ne Seweriàne et‐ho roghyàdouh nene kea tsi‐na‐Ka?-?rihhòtea.
MRK.10.6	Ok tsi‐nongàdy ne shondondághsawea Sah?-?hayadissa‐a Niyoh sakoyadòenyh ronouhha Ràtsin neoni O‐onhèghtyea.
MRK.10.7	Ikea nenèkea karihhoèny ne Ròngwe eah?-?hoyadòndy ne Rònihhah neoni Ronisdeahhah, neoni ok Ròne deaghyaderanègea;
MRK.10.8	Neoni ronouhha teghnìkheah nà‐ah S’niwàrah eakeàhake: et‐hone sè‐kea onea yaght‐ha?-?desnikheah ok deaghnòe S’niwàrah.
MRK.10.9	Tsinahhòdea gàdy ne Niyoh tehhoyéghsdouh, yaghdea ne ne Ongweh t’hoesayerighsy.
MRK.10.10	Neoni ne Kanoughsagouh Raotyoughkwa sahhoewarighwanòndoughse raouhha àre ne ok ne Saorìwah.
MRK.10.11	Neoni waghsakaweahhaghse ronouhha, Oughka kìok eas‐hayadòndy ne Ròne, neoni oesah?-?honnyàke òya‐a, whahharìghwannera‐ake Kanaghkwa:
MRK.10.12	Neoni tòga Tyot‐hoewìsoh eahhoyodòndy ne Ròne, neoni òesayonnyake òya, wakarighwannera?-?ake Kanaghkwa.
MRK.10.13	Neoni waondatyàt‐hewe Akodiksadònyshòe?-?ah raouhhàge nene kea n’ya‐aghsakòyere: Neoni ne Raotyoughkwa waghsakonàrisde.
MRK.10.14	Neoni ne onea Jesus wahhatkaght‐ho, èso wahhoderòese, neoni waghsakaweahhase ronouhha, Yonkyatòrean nissa nenègea Keaniyeks‐hadàse, neoni toghsa yets‐hiyaghtyaweàrats: ikea eghsè ni?-?yeyadòdea ne Raoyanertsera Niyoh.
MRK.10.15	Agwagh wagweahhaghse ne ìsé, Oughka kìok eakeahhake yaght‐ha yeyèna ne Raoyanertsera Niyoh tsiniyought ne kaniyagà‐ah Ikshà‐ah, yagh t’hiyohhadaweyade et‐ho.
MRK.10.16	Neoni wadeghsakoyàdaghkwe waghsako?-?tyadeahháwah, waghsakonnisnoughsarea, neoni wagh?-?sakoyadadèrighsde.
MRK.10.17	Neoni ne onea roghdeantyouh At‐hahhi?-?nònke, et‐ho wahhoewàrane tsyeyàdah, neoni wat?-?hoewadentsot‐haghse raouhha, neoni wahhoewarighwanòndoughse, Seweaniyotserìyo, otneakatyèrea nene a‐ondouh ayonkerakwaghse tsiniyeahheàwe Akonheke?
MRK.10.18	Neoni Jesus wahhaweaghse raouhha, Oghnà aghyoyannere waghskenàdoughkwe? yagh nekea oughka n’Ongwe deyoyannere, ok easkat, deaghnòe ne ne Niyoh.
MRK.10.19	Saderyèndare wahhy ne Tsiniwaghtyawerà?-?douh; Toghsa Kanaghkwa aghserighwaneràke, Toghsa sherrìyoh, Toghsa seneaghskouh, Toghsa t’hiya‐aghseanoweaghde a‐aghseyatroryea, Toghsa a‐aghhs‐henikorhàdea deas‐heaweah, shekonnyegh?-?ast‐hak n’Iyanihha Sanisdeahhah oni.
MRK.10.20	Neoni tondahhahdàdy neoni wahheàrouh ne raouhhàge, Seweanìyoh, agwègouh ne kea ìgeah wakadeanigòerare et‐ho tyodaghsàgea Shidewa?-?kyeà‐ah.
MRK.10.21	Neadeaghnòe ne Jesus wat‐hotkànere raouhha, wahhonòewene, oni wahhaweahhaghse, Tsyo?-?rìwat disadokdànyh: waghnyoh sasaghdeàndyh, sadeaghnìnouh tsiok‐nahhòdea easayèndake, neoni shèyouh n’Yakòdeah; et‐hòne easadeweanìyoghsde Kayadadèrighst ne‐Karoughyàge; neoni karo kà?-?seght dèseghk ne Tekayaghsonde, neoni taknon?-?derattyeght.
MRK.10.22	Neoni wat‐honikòeriake n’ánè tsinahoeweah?-?haghse, neoni èrea sàreghde raweryendaks‐heagh?-?sere: ikea àsé yawetowànea tsinihhokàde. (Rots?-?hogòwah.)
MRK.10.23	Neoni Jesus wat‐hatkatt‐honnyoewe t’hat?-?haghgwadasède, ne waghsakaweahhaghse ne Raotyoughkwa, agwa anyogh sereaghkène t’hiyayon?-?daweyàde Raoyanertseràgouh Niyoh nene Yakots?-?hogòwah!
MRK.10.24	Neoni Raotyoughkwa wahhodineghràne ne Raoweanàge, ok Jesus tondahhadàdy àre, neoni waghsakaweahhaghse, Gwayeà‐ah, Yorighwan‐hight (kanòrou) sè kea akaouhha nene eghyakodewea?-?nodaghkouh ne Akotshokowaghtsera, ne ayonda?-?weyade et‐ho ne Raoyanertseràkouh Niyoh!
MRK.10.25	Seahha keagàyea yagh dekanòrou nà‐ah ne Camel (Karryotowànea) ne daontohhetsde Tsi?-?dewahoughdakàronde Dewaderoewaronkoght‐ha, ne deaghnòe n’Akotshokòwah ne Ongwe yayondaweyade et‐ho ne Raoyanertseràgouh Niyoh.
MRK.10.26	Neoni ronouhha nà‐ah yeyottohètsdou tsi?-?nahodineghràgo, nok ronouhha tsinihàdih wahhonnighronnyouh, oughka kàdi oughde kea ayegwè?-?ny‐keahha ne ayakoyadadèry?
MRK.10.27	Neoni Jesus wadeghs‐hakotkànerea ne ronouhha wahheàrou, ne Ongweh t’hikanòrough?-?tsìhouh, (yaght‐hayegwèny) Ok yaghdea ne Niyoh: Ikea ne Niyoghne agwègouh n’ot‐hènouh t’hiyodòe‐uh‐tsìhouh.
MRK.10.28	Ethòne Peter dahhadaghsawea ne wahheàrouh, ’Nea wahhy, n’I yongwattyouh agwègouh, neoni ìsé kwaghnonderattyea.
MRK.10.29	Neoni Jesus dondahhadàdy òni wahheàrou, agwagh wagweahhaghse, yaghoughka n’Ongwe nene yakottyoh tsiya‐Konoughsode, Ondadegeaogoe?-?ah, Ondeanoseahhòkou deas‐heàwea, Ondadenihha, Ondadenisdeahha, deasheàwea Yakonnyàgoh, deasheàwea Ondatyea‐ogòe‐ah, deas‐heawea Aka‐ough?-?wentsya deas, ne I akerihhonnyàd, neoni ne Gospel.
MRK.10.30	Ok sè eahhayèna easkagh‐Teweannyawe n’iyadetsyoghnànet nok nòewa ne kea oughwàge, Kanoughsaòkou, neoni Ondadegeaogòe‐ah, neoni Ondeanoeseahhogòe‐ah, neoni Ondadenisdeahhòkou, neoni Ondatyea‐ogòe‐ah, neoni Oughwentsya, yakene ne Oeyondadéroughyageànde; neoni ne oya dàwe Oughwentsya tsiniyeahèawe Yeayakònheke.
MRK.10.31	Ok yawetowànea nene tyakotyèreaghdou, oghnàgea entsyakaònyh; neoni ne oghnàgea yaka?-?onnyouh, ne deatyontyèreaghde.
MRK.10.32	Neoni ne tsiront‐hahhìne wahhonenough?-?douhhattye tsinongàdyh ne Jerusalem; neoni Jesus wahhaghdeàndy wahhahheànde: neoni ronouhha agwagh wahhodineghràko, neoni ok ne tsi?-?ròewaghsere ronouhha, rodighderòesere na‐ah. Neoni doesàraghkwe àre ne tekenyhs‐hadère, (sahha?-?digwekhene,) neoni dahhadaghsaweah ne waghsa?-?koghròry tsinahhoddea‐òkouh tsineahoyàdawea ne raouhha,
MRK.10.33	Ràdouh, tsyatkat‐hoh, kea waongwenough?-?douhhattye Jerusalemne; neoni ne Ongwe Roewa?-?yeà‐ah et‐ho eahhoewayèna ne T’hadiyadagwenìyose ne Radìtsihuhsdatsy, neoni ne Ront‐harrha; (Scribes) Raodits‐henea eawàdouh, neoni ronouhha eahhoewadeweàndeghde n’eaghreahheye, neoni eah?-?hoewanattyease raouhha ne Yaghdeghhodirighwi?-?yoghsdouh; (eahoewadinaghskouh)
MRK.10.34	Neoni ronouhha eahhòewadontorryade eah?-?hóewakonnàdaghkwe, neoni eahòewaghsoghkwa?-?wissouh, neoni eahhòeweanitskerasseraghwe, neoni eahhòewarryoh raouhha: neoni ne aghseahhadont Niweghniseràge eas‐hatketsko àre.
MRK.10.35	Neoni James oni John ne Sakoyeà‐ah ne Zebedee wànewe raouhhàge, neoni waghnìrouh, Seweanìyoh, yakweghre, et‐ho na‐aghsgyatyèráse tsioknahhòdea eayakyaghskàneke.
MRK.10.36	Neoni wahheàrouh ronouhàge, Oghnahhòdea ìseneghre ne I‐Ih tsinakyatyèráse?
MRK.10.37	Waghnìrou ne raouhhàge, takenirìhhouh nene yayakyattyea, easkagh tsi‐seweyendeghdagh?-?kouh, neoni n’easka seghsenegwàdy n’ea‐nè‐eh, ne et‐ho Soeweseaghtseràgouh.
MRK.10.38	Ok Jesus waghsakaweahhaghse ronouhha yagh detsyaderyèndare nahhòdea waghskeninnegea: a‐esenigwèny kea a‐esenighnekìrade ne Cup nene k’nekighràt‐ha? neoni ne a‐etsyatsnekossèrhouh ne Adatnekossèrhouh nene I‐Ih yonkhnekossèraghs?-?douh?
MRK.10.39	Neoni saghnìrou ne raouhhàge, ayakenigwè?-?ny. Jesus waghsakaweahhaghse, et‐ho orighwìyo nà‐ah easenighnekìrade ne Cup nene I‐Ih k’nekigh?-?ràt‐ha; neoni ne yekenigwègouh ne Adatnekosseragh nene I‐Ih yonkhnekosseraghsdouh yewagwègou oni ne ìsé ne eayetsighnekosseraghwe:
MRK.10.40	Ok ne ayontyea easkagh tsikeweyendeghdaghkouh neoni easkagh ne Skenegwàdy yagh nè I dekeweanìyo nea‐akhèyou; ok t’harìwakonde sàne ne eayondàdou aouhha nè‐eh n’yakorhàrats.
MRK.10.41	Neoni ne onea ne oyèry nihhàdih wahhòeronke, ronouhha tahhondaghsawea ne agwa‐èso wahhona?-?deròese tsina‐awea ne James oni John.
MRK.10.42	Ok Jesus yaghsakònonke ronouhha, neoni waghsakaweahhaghse, sewaderyèndare ne tsinikarih?-?hòtea ne Yekowaneaghse niyadeyoughwentsyàge, t’hihadiweanìyo tsineahadìyere eahoewadirihhòndea; ne Rodighseanaweaghtennyouh ne tkàkonde ea?-?tighsakononoughdòese ronouhha tsineahadìyere.
MRK.10.43	Ok yagh kadykea nìse eght’hayoughdouh tsinitsyouh: ok oughkakìok eahhakowànea tsinitsyouh raouhha Sewan‐hàtsera eakeàhake eaghts?-?hisewatsderist‐hake.
MRK.10.44	Neoni oughkakìok tsinitsyouh eant‐haya?-?dagwenìyoke kea neayàwea Akonhàtsera agwègouh eakeàkake tsinitsyouh.
MRK.10.45	Ikea et‐ho kàdy onea ne eghnà‐ah ne Ongwe Ronwayeà‐ah yagh dèroh ne nà‐ah ahoewatsde?-?risdouhhattyèseke, ok sè deàher raouhha waghsa?-?kotsdèrisde, neoni waghsakà‐ouh Tsironhe eantsyako?-?derongwaghdea èso yagea.
MRK.10.46	Neoni et‐ho wahhònewe Jericho: neoni ok ne tsisahaghdeàndy sahhayàgeane ne et‐ho Jericho yehhadigwègouh ne Raotyoughkwa, ne oni Keantyoghkowànea Ongwe, Tehharoewègouh Barti?-?meus, ne Royeà‐ah ne Timeus, et‐ho reànderouh tsiniyot‐hahhinouh akta ranèk‐ha.
MRK.10.47	Neoni ne onea wahhàronke nene Jesus nàah ne Nazaret‐haka, dahhadaghsawea wat‐hagh?-?seant‐ho, neoni wahheàrouh, Jesus, ìsé David Royeà‐ah, a‐aghskìdeare.
MRK.10.48	Neoni yawetowànea ne wahhoeweahhaghse da‐as‐dòdek: ok hè‐keah seahha ne waght‐hagh?-?seant‐ho èso, ìsé ne David Royeà‐ah, a‐aghskì?-?deare.
MRK.10.49	Neoni Jesus ok h’ònea tsiwat‐hàdáne waghsakaweahhaghse kàro ìtrégh: neoni yahhoeweà?-?nonke ne tehharoewègouh, wahhoeweahhaghse, sa?-?donhàreah, saghdeàndyh; taghyeànonke.
MRK.10.50	Neoni kea t’hahhottyeghde ne Raòsa, (raonèna) et‐ho wàreghde, neoni yahhàrawe tsi‐ìtráde Jesus.
MRK.10.51	Neoni Jesus tondahhadàdy raouhhàge wahheàrouh, oghnahhòdea ighseghre nene I‐Ih tsina?-?koeyatyèrase? Ne tehharoewègouh wahheàrouh raouhhàge, Sayàner, nene akyèna ne a‐ak‐geàh?-?heke.
MRK.10.52	Neoni Jesus sahheàrouh raouhhàge, Waghnyoh et‐ho n’yoh sàseh: tsidiseghdaghkouh sesaya?-?dakwek‐heghsde. Neoni yokondattyea sahhàgea, (tsiyagh dehhageàhaghkwe) neoni wahhoghnon?-?derattyeghde ne Jesus ne Ohhahageghs‐hòe‐ah.
MRK.11.1	Neoni onea wahhònewe kea‐niyorèah ne Jerusalem, et‐ho Bethphage, oni Bethany, et‐ho tsi‐Yonònde ne Olives, yaghsakonhàne tegh?-?niyaghs‐heh ne Raotyoughkwa,
MRK.11.2	Neoni waghs‐hakaweahhaghse ronouhha, Wàseneh eghyahhàseneh Kanàdagouh ne ok eghnòewe tesewadogeaghdouh; neoni agwagh ne ok yetsyadaweyade ne et‐ho, easenits‐heàry Takso?-?sa‐an et‐ho kànereáne, n’arekho noeweàndonh Ya?-?konitsgwaghhere; easenighnereàghsy, eandiseniya?-?deàhhawe.
MRK.11.3	Neoni tòga oughka n’Ongwe eayets‐hiyeah?-?haghse, oghnà nea‐nè eghnisenìyere? easenìrouh nene Royàner tehhodoughwentsyòny raouhha, neoni agwagh oksaok eant‐hòndáde eant‐hadean?-?yeghde keànt‐ho.
MRK.11.4	Neoni egh wàneghde, neoni waghnits‐heàry ne Taksosàh‐ah egh kànerea Kanhohàkta atsde, et‐ho nà‐ah teyonat‐hahhaderàouh; neoni waghnereaghsy tsikànereah.
MRK.11.5	Neoni katòkeah ronouhha ne egh radikeannyade, waghsakoneahhaghse ronouhha, Oghneanè‐eh n’awea senighnereaghsy ne Taksosa‐ah?
MRK.11.6	Neoni waghnìrouh, et‐ho sè a‐agwagh ne Jesus n’ighsonkenirihhondànyh sonkeninhàouh: neoni wahhoeweànouh yaghniyàdea‐awe.
MRK.11.7	Neoni yoesaghniyàt‐hewe ne Taksosah tsisa?-?konhà‐ouh Jesus, neoni wahhadìrea ne Raonòsa Kayerònke; neoni et‐ho wahheanitskwàrea.
MRK.11.8	Neoni Yakotyoughkowànea dayedakweaghdarrhoh eas n’Akaòsa tsiniya‐awènouhhattyea: t’hikàde ne wa‐eahaghtòskare N’yoderondòenyh, dayedakweaghdarrhoh ne tsiniya‐awenoehattye.
MRK.11.9	Neoni ronouhha nene ohheàndouh ròn‐ne, neoni ronouhha ne oghnàgea nongà dahhòne, wat‐houghseant‐ho, rondòne, Hosanna: rodaghs?-?kats na‐ah raouhha nene tahhayeaghdaghkwe ne Raoghseànakouh ne Royàner.
MRK.11.10	Kayadaderightsera keàhak ne Kayànertsera na‐ah Songwanihhah David, nene tahhayeaghdaghkwe Raoghseànakouh ne Royàner; Hosanna na‐ah ne Enekeaghtsy.
MRK.11.11	Et‐hoghke Jesus wahhadaweyade Kanàdakouh Jerusalem, neoni et‐ho Kanoughsakouh ne (Temple): neoni ne onea wat‐hat‐kaght‐hon?-?nyòewe t’hadaghgwadasède agwègouh wahhat?-?kaght‐ho n’ot‐hènouh, neoni nòewa ne Yokaragh?-?skah òewe, wahhaghdeàndy sahhayàgeane et‐ho sàreghde Bethany yehhadigwègouh ne Raotyoughkwa Tekeniyaweàre.
MRK.11.12	Neoni ne Wa‐orheàne ne ònea tondahha?-?diyeaghdaghkwe Bethany nongàdyh raouhha wah?-?hadoughkariake na‐ah.
MRK.11.13	Neoni yahhatkaght‐ho Tsyokaghrèghde sè ìnou T’kerhide, Yoneraghdonde, yahhàrawe, ror?-?harattye ne eaghska‐ènoh a‐hatseàry ne et‐hoh: neoni et‐ho wàrawe, yaghot‐hènoe teghyats‐hearryouh ne ok ne Yoneraghdonde; Ikea arek‐ho tsiniwadahhìssa‐aghs.
MRK.11.14	Neoni Jesus dahhadàdy ne wahheàrouh, yaghoughka n’Ongwe t’honsayòngake ne Sah?-?highk kea neawadaghsawea ne tsiniyeaheàwe. Ne oni Raotyoughkwa ronat‐hònde.
MRK.11.15	Neoni yahhòenewe ne Jerusalem: neoni Jesus et‐ho wàreghde Onoughsadogeaghìge, (ne Temple) neoni dahhadaghsawea atsdeh yahhòdy nene Yondeaghnìnoughs neoni ne Yeghnìnoughs ne et‐ho Ka‐noughsagouh, (ne Temple) neoni wah?-?haweront‐hoghserouh ne Adekgwàraghk ne Ogh?-?wisda ne deyondadàwighskwe, neoni Tsiyontyea?-?daghkwa ne Yondeaghnìnoughs Orìde;
MRK.11.16	Neoni waghskonhèse ne ot‐hènouh oughka ayehhàwy ne èaghska‐ènouh n’Yeraghkwa ayehhàwy dayontohhetsde Kanoughsakouh Onoughsa?-?dògeaghdìge (ne Temple).
MRK.11.17	Neoni waghsarihhònnyea, wahheàrouh ronouhàge, yagh kea dekaghyàdouh, ne Wake?-?noughsòde eakòewanadoughkwake N’yadeyakaough?-?wentsyàge Kanoughsòde Adereanayèndaghk? ok kea n’ìsewayèreah ne Yeneaghsgwaghs Yakònak?-?dede (Yakodadenoughsodànih).
MRK.11.18	Neoni ne Roughtaharrha (Scribes) neoni ne T’hadiyadagwenìyoh ne Raditsiheahsdatsy wahhòeronke, neoni wahhadirighwìsake ne tsinahha?-?dìyere ne ahoewarryoh: Ikea ròewats‐hànighse, ne wahòni agwègouh n’Ongwe yakoneghrak?-?gwaghs na‐ah ne Raorighwàge ne tsinihhorihhòdea.
MRK.11.19	Neoni ne onea Yokaraghska òewe wahhaghdeàndy sahhayàgeáne ne Kanàdagouh.
MRK.11.20	Neoni ne Orhonkène, ok ne tsi‐egh wah?-?hondohhetsde, sahhontkaght‐ho ne Tsyokaghreghde Tsikerrhide yoghstattheà‐ouh Oghdeghràge tyodàghsawe.
MRK.11.21	Neoni Peter saghreghyàráne, wahhaweahhaghse raouhha, Seweanìyoh, satkaght‐ho ne Tsyo?-?kaghreghdese n’a‐neghsrewaghdouh yodakeahhè?-?youh.
MRK.11.22	Neoni Jesus tahhadàdy waghsakaweahhaghse, Daseweghdaghkòehák ne Niyohseràgouh.
MRK.11.23	Ikea agwagh wagweahhaghse ne ìsé, nene oughka kìok akoeweàhhaghse ne kea Yonònde, èrea seght, neoni yasatyadòndyh Kanyadaràgouh; neoni ne yagh t’hadahaderyent‐hàrea ne Raweriaghsakouh, ok eant‐haweghdaghkouh nene tsinah?-?horihhòdea wahheàrouh na‐ah yeàwáwe, et‐ho neayàwea eahhoyèndane tsi‐ok‐nahhòdea eah?-?heàrouh.
MRK.11.24	Ne kady wahhòeny wagweahhaghse, oghkìok n’Aorihhòdea keàhak easewaghskàneke ne?-?onèa easewadereànayea, eandiseweghdaghkouh ne yodòe‐ouh easewayèna tsinisewaghskàneks, neoni eawàdouh easewayèndáne.
MRK.11.25	Neoni ne ònea easewàdake, easewadereana?-?yèndake, sayets‐hirighwiyòghsdeah ne tòga kaneka niyets‐hiyatswadeànyh: nene Yaghnihha oni nà‐ah Karoughyàge t’heanderouh, easyarighwiyoghsdea (tsinitsisaderighwadewàghdouh) n’Ights‐hatswàdeá?-?ne.
MRK.11.26	Ok tòga yagh t’housaghserighwiyòghsdea, yagh òni ne raouhha ne Iyanihha nà‐ah ne Karoughyàge t’heanderouh t’housaghyarighwiyòghs?-?dea tsinights‐hatswadeànyh.
MRK.11.27	Neoni et‐ho àre sahhònnewe ne Jerusalem: neoni ok ne tsi‐ìre et‐ho Kanoughsakouh ne (Temple,) et‐ho wahhònewe wahhoewayatòreane ne T’hadiyadagwenìyóse ne Raditsihuhstatsy, neoni ne Rought‐harrha (Scribes) neoni ne Radikowàneaghse,
MRK.11.28	Neoni wahhoeweahhaghse, Oghny Kakowa?-?naghts‐heròdea tsinighsattyerha n’ìsé ne kea gàyea Tsinikarihhòdease? neoni oughka sakowanàghdouh, oughka sarighwàwy tsi‐et‐ho nigh‐satyerha tsinekea nì‐Karihhòdease?
MRK.11.29	Neoni Jesus tondahhadàdy neoni waghsakaweahhaghse ronouhha, I oni kìnyoh eakwarighwa?-?nòndóese Skarìwagh, neoni eadeghskwadattyàse, neoni I oni eakwaghròry ne oghna‐Kakowanagh?-?tseròdea tsinikatyerrha nenègea Tsinikarihhòdease.
MRK.11.30	Ne Shakoghnekosseraghs John, Karoughyàge kadikea nonkàdy ni‐tyawènouh, keadeas‐kàyea ne Ongweghne nonkàdy? katsyadàdy.
MRK.11.31	Neoni wahhonderyendayèndoewe ronouhha tsinihhàdy, wahhonnighronnyouh, tòga a‐ediweà?-?rouh, Karoughyàge nonkàdy, ok sa‐eghheàrouh, oghkadynà neanè‐e yagh t‐hadeghtsiseweghdagh?-?kouh?
MRK.11.32	Ok tògà a‐edeweàrouh, Ongweghn’eghnon?-?gàdy, nene saghsakoditsànygh ne Ongwehòkouh: ikea agwègouh n’Ongwe rònere ne John nene nà‐ah ne raouhha agwagh tòkeaghske Orighwìyoh Prophet hìgeah.
MRK.11.33	Neoni tondahhondàdy wahhonnìrouh ne Jesus, Yaght‐ha yagwagwèny ayagwatròry. Neoni Jesus tondahhadàdy waghsakaweahhaghse ronouhha, Yagh kì oni n’I t’hakwaghròry ne tsini‐Kakowa?-?naghtseròdea tsinikatyerrha nenèkea Tsinikarihhòdeáse.
MRK.12.1	Neoni da‐adaghsawea wahhadàdy ronouhhàge nongàdy nene Wat‐harighwageawaghdon?-?nyouh: Otogeàouh ne Rongwe wahhaheghdòeny wahhayent‐ho, neoni wahhatkwirònnyáde t’hiwa?-?gwègouh, neoni wahhàgwade ne tsinòewe ne Wine eakayèndake, neoni wahhanoughsòeny Yo?-?noughsaghnìrouh, neoni ne waghs‐hakorihhóndea ne Radiyènt‐hoghs, neoni wahhaghdeàndy wàreghde ne ìnouh T’yenakere.
MRK.12.2	Neoni tsinìyeyent‐hockwaghs yaghsakònháne Radiyent‐hoghsne ne Shakonhàse, nene ahayèna ne Radiyent‐hoghsne nongàdy ne Tsiniyoighyan?-?yòndaghkwe ni‐Tsikahhèghdayea.
MRK.12.3	Neoni ronouhha wahhoewayèna, neoni wah?-?hoewayeaghdannyouh, neoni sahhoewadègwaghde a‐òkoh n’ìsre sahhaghdeàndy.
MRK.12.4	Neoni nok àre yonsaghsakònháne ronouhhàge t’hikàde ne Sakonhàse: neoni wahhoewaneayóyàke, wahhoewakarèwaghde Raonuntsìne, neoni sahhòe?-?wadèkwaghde yodehhàt tsinahhoewàyere.
MRK.12.5	Neoni n’ok hàre yonsaghsakònháne t’hikàde: neoni raouhha ronouhha wahhòewarryoh: neoni èso sàne ne t’hikàde, nok t’hahhoewadirryò‐ah, neoni wahhoewadirryo‐òewe oddyàke.
