GEN.1.1	Mwanzo Mwenyezimungu komba bingu na duniya. 
ACT.12.18	Pakucere subuu, masurudadu wanza kufazaika pakulu sana. Awakijiwa cinkunire Peduru. 
ACT.12.19	Herodi akitumiza asakuriwe Peduru. Paatowire kuwoneka, akiwadairi masurudadu ware, na akamuru wolaiwe. Mwinsho, Herodi akilawa Yudeya, akuka akikala Kaisariya suku aba.
ACT.12.20	Sambi, Herodi kakimiyana nawo pakulu wanu wa Tiru na wa Sidoni. Basi ewo wakijumana wakuka wakisowera naye. Ewo wanza kunfika Balashitu, nkolakazi maalumu wa nyumba ya nfalume awasaidiye. Ikisa wakinlebela Herodi wapatane naye kwa usalama konta ewo inti ya Herodi nokure ndi kawakukanga wakipata vyakurya. 
ACT.12.21	Suku Herodi yaâturire kusowera na wanu ware, iye kavala mavazi a kifalume, akikala pakiti cake, akanza kuwapa habari mbere yawo. 
ACT.12.22	Basi wanu wakibiya kilulu. Lu‑lu‑lu! Wakamba: “Eyo asowera‑yo nlungu, siyo mwanadamu!” 
ACT.12.23	Kwa noure mpunde ure, laika wa Mola akimwibiya Herodi, konta aampere utukufu Mwenyezimungu! Ndimana, Herodi akifwa, akiriwa na nvunyo.
ACT.12.24	Sambi, usemi wa Mwenye ukereziwa, na inti ire piya ukizidi kwenera. 
ACT.12.25	Barinaba na Saulu, pawatimize kazi zawo, wakiludira Yerusalemu kure, wânsukula Yahaya wakwitiwa Maruku.
ACT.13.1	Nkati ya jamati ya Antiyokiya, wákiwapo minabii na wanlimu
ACT.13.2	Suku moja, pawákitenda ibada ya Mwenye pamoja na kufunga, Roho Takatifu kawambira javi: “Walavyeni sambi‑pa Barinaba na Saulu wawe wangu omi, watende kazi maalumu yaniwetire.” 
ACT.13.3	Basi, pawesire kufunga na kutenda duwa, wawatula makono ikisa wakilayana nawo wakuka.
ACT.13.4	Kwa javyo, Barinaba na Saulu, kwa kuperekiwa na Roho Takatifu, wakilawa wakukirira Selukiya. Nokurekure wakiripakira, wakuka na batela mpaka Kiporo. 
ACT.13.5	Nakufika Salamina, wakanza kwereza usemi wa Mwenyezimungu mmasinagoga a Mayahudi. Wákiwa pamoja na Yahaya akiwasaidiya.
ACT.13.6	Wenenda kisirwa ca Kiporo piya mpaka wafika Pafu. Nokurekure wansingana Yahudi mmoja wakwitiwa Bar-Insa. Iye ákiwa nabii nlongo na nsawi. 
ACT.13.7	Iye ákiwa pamoja na nfalume wa kisirwa cire wakwitiwa Seruju Paulu, mwananlume mwerevu. Eyu akiwarifu Barinaba na Saulu konta akisaka kusikira usemi wa Mwenyezimungu. 
ACT.13.8	Falakini Elima (ndi vyaakitiwa nkigeregu) noire nsawi ire, akibishana nawo Barinaba na Saulu. Akinkenekeza nfalume anzungunuse kwamini.
ACT.13.9	Fala Saulu, kwa zina rengine wawakimwita Paulu, kamwijala Roho Takatifu, akinnang'aniza nsawi ire rungu-rungu, akimwambira javi: 
ACT.13.10	“Uwe kuwa mwana wa Ibilisi! Ukwijala ulongo na vitendo vya ubaya. Kuwa aduwi wa shariya piya. Ukwasa rini kuzungunusa njira za kweli za Mwenye Insa? 
ACT.13.11	Epa sambi, nkono wa Mwenye ubishana nowe. Ukuwa kipofu, kwa muda mojawapo auja kuwona juwa.” Kwa mpunde noure, Elima kumaso kukimwinukala pi. Akizungunuka-zungunuka kunsakula munu ankore nkono, ankongoje. 
ACT.13.12	Basi nfalume ire nakuwona vikunire vire, kamini, na katajabu mafundiro a Mwenye.
ACT.13.13	Paulu na wenziwe wakilawa Pafu, wakiloka, wakuka Perga ya Panfiliya. Nokurekure, Yahaya akiwasa, akiludira Yerusalemu. 
ACT.13.14	Ewo wakizidi kusafiri, wakilawa Perga, wakuka mpaka Antiyokiya, inti ya Pisidiya. Suku ya sabadu wakingira nsinagoga, wakikala. 
ACT.13.15	Ikisa zikifyomiwa shariya za Musa na mandiko a minabii wengine‑po. Nakisa wakulungwa wa sinagoga wakiwakaribisha Paulu na Barinaba, wakiwambira: “Wanduzangu, ári na usowezi wakuwahurumiya wanu‑wa onse, ereze.” 
ACT.13.16	Sambi, Paulu akilamuka, akolosa nkono, akisema: “Wenzangu waIziraeli na umwe muri kumopa Mwenyezimungu: sikirizani sana-sana. 
ACT.13.17	Nlungu wa umati waIziraeli‑wu kawatondola babu zetu na kawatula ubora pawákikalanga kiyeni inti ya Miswiri. Kwa nkono wake wa uwezo, kawalamusa kawalavya noyo inti‑yo. 
ACT.13.18	Iye pawákiwa nlanga kawavumirira kiyasi ca myaka arubaini. 
ACT.13.19	Na bandi ya kupoteza kabila saba inti ya Kanaa, iye kawapa wanu wake kuriti inti yawo, 
ACT.13.20	kiyasi ca myaka miya nne na amusini
ACT.13.21	Basi sambi, wanu ware wâlebela wapewe nfalume, na Mwenyezimungu akiwapa Saulu, mwana wa Kishi, mwananlume mmoja wa rikolo ra Benjami. Iye kamiliki myaka arubaini. 
ACT.13.22	Nakunlavya Saulu, akintawaza Daudi kuwa nfalume wawo. Kuhusu Daudi, Mwenyezimungu kalavya ushahidi, kaamba javi:
ACT.13.22	‘Nimmonerera Daudi, mwana wa Yese.
ACT.13.22	Iye nomi moyo wetu mmoja,
ACT.13.22	iye ndi ája kutimiza nafsi yangu piya.’
ACT.13.23	Kati ya ujukulu wa noyu Daudi‑yu, Mwenyezimungu kawaperekera waIziraeli Nvushi, Insa, kamba iye vyaâwapere tamaa
ACT.13.24	Kábula ya kuja Insa, Yahaya kâwereza futi wanu piya wa Iziraeli kuwa watubiye dambi zawo, woziwe. 
ACT.13.25	Karibu ya kumariza kazi zake, Yahaya kawambira wanu javi: ‘Umwe mudaniza kuwa omi niwa nani? Omi siri Almasihi, ila iye akuja bandi ya omi, na noyo‑yo anta omi siri bora kufungula mizizi ya viratu vyake.’ ”
ACT.13.26	Paulu akizidi kusowera: “Jamaa zangu, ujukulu wa Iburahima na umwe muri kumopa Mwenyezimungu, ijiwani kuwa usemi wakutivusha tiperekeriwa nófwe. 
ACT.13.27	Kamana wanu wa Yerusalemu pamoja na wenye mamulaka awamwijiwe Insa wala awejiwe vyawákifundanga minabii vyawakifyomanga kila sabadu. Pawanhukumire kifo, watimiza novyo-novyoni. 
ACT.13.28	Ingawa awapatire sababu mmojawapo ya kunhukumu Insa kifo, fala wanlebela Pilatu kuwa aulaiwe. 
ACT.13.29	Na pawesire kutimiza piya vyavyândikiwe kuhusu iye, wanlavya pansalaba
ACT.13.30	Falakini Mwenyezimungu kanfufula ka wafwi. 
ACT.13.31	Suku nyingi zawenye, kawalawirira ware wampereke kulawa Galileya kuja Yerusalemu. Na nowo sambi‑pa ndi mashahidi wake mbere ya wanu wa Iziraeli.
ACT.13.32	Nofwe tankukwerezani Habari Ngema kuwa tamaa yawâpewe wababu zetu, 
ACT.13.33	noyo tamaa‑yo Mwenyezimungu katimiza kwetu ofwe, ujukulu wawo, kwa kunfufula Insa. Kamba vyavyandikiwe nZaburi yapiri
ACT.13.33	‘Uwe kuwa mwanangu,
ACT.13.33	mwanzo wa rero omi niwa wawayo.’
ACT.13.34	Ndi ntamana kuhusu habari ya kufufuka ka Insa, Mwenyezimungu kakikisha kuwa mwiri wake aushubutu kuvunda. Iye kasema javi
ACT.13.34	‘Nukutenderani mambo takatifu kwa tamaa kamili zanîmpere Daudi.’
ACT.13.35	Ndimana mahala pengine
ACT.13.35	‘Uwe Ntakatifu wako aumwasa kuvunda nkaburi.’ ”
ACT.13.36	Paulu kasema tena: “Kusema kweli, Daudi kafwa
ACT.13.37	Fala mwiri wa ire
ACT.13.38	Kwa javyo, jamaa zangu, ijiwani kuwa julu ya noyu‑yu, mwankwereziwa habari ya kuswamiiwa madambi enu. Julu yake iye, piya wenye kumwamini wavushiwa. 
ACT.13.39	Kusema kweli, ewo awavushiwa julu ya shariya ya Musa. 
ACT.13.40	Basi, more-moreni visukukuneni kamba vyawandike minabii
ACT.13.41	‘Onani umwe, wenye kukejeli!
ACT.13.41	Mususuka, na mupoteya,
ACT.13.41	konta suku ndi suku nukutenderani kinu,
ACT.13.41	umwe amushubutu kukubali,
ACT.13.41	anta pawepo munu wakukwerezani.’ ”
ACT.13.42	Pawalawire Paulu na Barinaba, wanu ware wakiwatafadali, wakamba: “Sabadu ija‑yo, musikose kutereza tena nowu usowezi‑wu.” 
ACT.13.43	Pawesire kutawanyikana pasinagoga pare, Mayahudi wengi pamoja na wanu wengine waminire dini ya kiyahudi, wanfulata Paulu na Barinaba. Ewo wakisowera nawo, wakiwataya niya iwazidise kuwa nkati ya rehema ya Mwenyezimungu.
ACT.13.44	Paifikire sabadu nyengine ire, aâbakire munu, wanu wengi nkaya mure wajumana kusikira habari za Mwenyezimungu. 
ACT.13.45	Mayahudi, pawawawonire wanu kuwa wengi, wanza kuwatendera wiyana, wakinkaidi Paulu kuno wakikufuru. 
ACT.13.46	Fala Paulu na Barinaba, kwanguvu wakiwambira: “Iwa lazima usemi wa Mwenyezimungu kwanza mwambiriwe umwe. Falakini kwa kuwa mukatala na mukolota kuwa amujuzi kuwa na mainsha a milele
ACT.13.47	Kamana Mola ndi vyaatamurire javyo
ACT.13.47	‘Omi nukutula kuwa nlangaza wa Sawari-Mayahudi,
ACT.13.47	ipate wanu ulumwengu nzima‑wu wavushiwe.’ ”
ACT.13.48	Sawari-Mayahudi, pawasikire habari zire, watenda radi na watukuza usemi wa Mwenyezimungu. Basi wakubalire ndi ware watondoriwe wawe na mainsha a milele. 
ACT.13.49	Na usemi wa Mola ukereziwa inti ire piya.
ACT.13.50	Fala Mayahudi wakiwashongezera wanawaka mamuminu wa vyewo vikulu-vikulu pamoja na walume wakwinshimika wa nkaya mure, wakanza kuwabugudi Paulu na Barinaba, wakiwatuwisira panja ya mipaka yawo. 
ACT.13.51	Basi, mawalii ware wakiripumuna vunvu mmaulu mwawo
ACT.13.52	Na wanafunzi ikiwejala radi pakulu futi pamoja na Roho Takatifu.
ACT.14.1	Kaya ya Ikoniyu, Paulu pamoja na Barinaba woka wengira nsinagoga ya Mayahudi, wasowera kwa namuna yakuwa wanu wengi Mayahudi na ware Sawari-Mayahudi wakamini. 
ACT.14.2	Fala Mayahudi sawakamini ware wawashongezera na wakimwisa roho za ware Sawari-Mayahudi ipate wakimiyane nawo wanduzawo waminire ware. 
ACT.14.3	Kwa javyo, Paulu na Barinaba wekala nokure suku nyingi zawenye. Ewo wákisoweranga habari ya Mwenye Insa bila kuropereza, na wakilavya ushahidi kuhusu usemi wa neema yake. Na Insa akwakikisha usemi‑wo, kwa kuwajanliya alama na matajabisa awakitenda julu ya makono awo. 
ACT.14.4	Wanu nkaya mure wakawanyika bandi mbiri: wengine wakiwapendeleya Mayahudi, wengine wakiwapendeleya mawalii. 
ACT.14.5	Basi, Sawari-Mayahudi wamojawapo na Mayahudi pamoja na wakulungwa wawo, wakanza kuwatabisha na kuwapanja na mawe. 
ACT.14.6	Ndimana, Paulu na Barinaba pawejiwe, wakitirira Lishitera na Deribi, makaya a inti za Likawoniya, na inti nyengine jirani. 
ACT.14.7	Nokurekure wakerezanga Habari Ngema.
ACT.14.8	Lishitera ákiwapo munu mmoja kitewe wa kipongorero, tangu ákiwa saanamba kwenenda. 
ACT.14.9	Noire kitewe ire kansikira Paulu akisowera. Paulu akinang'aniza rungu-rungu, akiwona kuwa akwamini kuponesiwa, 
ACT.14.10	ndimana akimwambira na shauti ulu‑ulu: “Lamuka, wimire sana-sana!” Kitewe ire akitupa, akanza kwenenda-nenda.
ACT.14.11	Wanu pawawonire vyaatendire Paulu vire, wakanza kutamba kwa luga ya Likawoniya, wakipaza wakamba: “Milungu itisukira, nfano wa wanadamu!” 
ACT.14.12	Barinaba wakimwita nlungu Zeyu, na Paulu wakimwita nlungu Herimeyu, konta Paulu ndi akisowera. 
ACT.14.13	Nlongozi wa dini ya Zeyu ákiwa karibu ya kaya ire, kwa javyo akija mpaka panryango pare, kaja nawo ng'ombe na maluwa. Iye na junudi ya wanu ware wakisaka kutenda kafara ya manyama.
ACT.14.14	Fala mawalii Barinaba na Paulu, pawasikire, wapapula mavazi awo
ACT.14.15	“Wanduzangu! Eci camutenda‑ci kinani? Ofwe tiwa wanadamu kamba nomwe! Tiwa epa tukwerezeni ipate mwase evi vinu savina mana‑vi, muludire upande wa Nlungu hai ombire bingu, ardhi, bahari, pamoja na piya viripo nkati yake. 
ACT.14.16	Vizazi vipitire, Mwenyezimungu kâsa mataifa piya wafulate njira zawo wanyewe. 
ACT.14.17	Fala aasire kolota ushahidi wake kuhusu vitendo vyake vyema vyaatendanga. Iye apereka nvula kulawa binguni na mavuno a kila mbeyu na mirongo yake, akupani cakurya camusaka, na akwijaza radi myoyo yenu.” 
ACT.14.18	Ingawa mawalii ware wasema javire, fala wákiwa nawo tafauti yakuwakataza kutenda kafara yawo.
ACT.14.19	Ikisa, wakija Mayahudi wamojawapo kulawa Antiyokiya na Ikoniyu. Wakiwashetwani wanu ware, wakikola kumpanja Paulu na mawe, na wakinkwekwetera panja ya kaya ire, wakidaniza kuwa kafwa. 
ACT.14.20	Fala wanafunzi pawanzungurize Paulu, iye kalamuka, kengira tena nkaya nomure. Subuu yake, Paulu na Barinaba woka Deribi.
ACT.14.21	Paulu na Barinaba wereza Habari Ngema Deribi, na bandi ya kuwapata wanafunzi wengi, waludira tena Lishitera, Ikoniyu, na Antiyokiya. 
ACT.14.22	Wakipita wakiwarimbisa myoyo wanafunzi, na wakiwataya nguvu wabaki wakamini. Wakiwahurumiya javi: “Piya tíri kuwamini tíjuzi tikune mashaka mengi tingire muufalume wa Mwenyezimungu.” 
ACT.14.23	Mawalii ware wakipita kila jamati, wakiwatondola wakulungwa wa jamati zire. Bandi yakulebela duwa na kufunga, ewo wakingabizi Mola wawamwaminire.
ACT.14.24	Ikisa wapita inti ya Pisidiya, mpaka wakifika inti ya Panfiliya. 
ACT.14.25	Bandi yakuwereza wanu wa Perga usemi wa Mwenyezimungu, wakuka Ataliya. 
ACT.14.26	Ikisa wakiripakira mbatela wakuka Antiyokiya. Noko ndi kawâlebeleliwe duwa wapate rehema ya Mwenyezimungu watende kazi yawatimize. 
ACT.14.27	Pawafikire Antiyokiya kure, wakiwajumanisa wenye jamati, wakanza kuwambira piya vyaakunishe Mwenyezimungu julu yawo, na wakiwambira Mwenyezimungu vyawafungurire miryango wanu Sawari-Mayahudi newo wamini. 
ACT.14.28	Basi, wekala noko na wanafunzi ware suku nyingi zawenye.
ACT.15.1	Sambi, wamojawapo wakilawa Yudeya wakuka Antiyokiya, wakiwafunda wenye kwamini javi: “Umwe, ikiwa amutaiwe itani kamba vyaisema tabiya ya Musa, amuvushiwa.” 
ACT.15.2	Paulu na Barinaba wakanza kubishana na kukaidiyana nawo wanu ware pakulu. Basi, vikilamuriwa kuwa wo‑wawiri walawe na wanu wamojawapo woke Yerusalemu, ukasoweriwe ewu mwaha‑wu na mawalii pamoja na wakulungwa wa jamati. 
ACT.15.3	Kwa javyo, wakisafiriziwa na jamati, wakipita Foinikiya na Samariya, wakereza sana piya viwakunire wanu Sawari-Mayahudi vyawamwaminire Mwenyezimungu. Habari zire ziwafuraisha pakulu sana piya wenye kwamini ware. 
ACT.15.4	Pawafikire Yerusalemu, ewo wapokereriwa sana-sana na jamati na mawalii pamoja na wakulungwa. Ewo wakiwambira vyaakunishe Mwenyezimungu julu yawo.
ACT.15.5	Fala Mayahudi wengine, wenye kwamini wákiwa nkonjo wa Mafarizeu, walamuka, wakamba: “Lazima wataiwe itani na walazimishiwe kufulata shariya za Taureti.”
ACT.15.6	Mawalii na wakulungwa ware wakijumana kushauriyana noure mwaha ure. 
ACT.15.7	Pawesire kukaidiyana pakulu, Peduru akilamuka akiwambira javi: “Jamaa! Umwe mukwijiwa kuwa tangu mida, Mwenyezimungu kanitondola kati yenu ipate Sawari-Mayahudi wasikire julu yangu Habari Ngema na wakubali. 
ACT.15.8	Mwenyezimungu, Mwenyé kwijiwa myoyo piya, kakikisha kuwa awakubali Sawari-Mayahudi julu ya kuwapa newo novyo Roho Takatifu, kamba vyatipere ofwe. 
ACT.15.9	Iye asiyanise kinu kati yetu ofwe newo, kawaswafi myoyo yawo julu ya kwamini. 
ACT.15.10	Kwa javyo, mbena mumyerera Mwenyezimungu? Wanafunzi muwatika mizigo yakuwa wababu zetu awakidirire wala ofwe atikidiri, sababuni? 
ACT.15.11	Kwasa javyo, ofwe‑pa tukwamini kuwa tivushiwa julu ya rehema ya Mwenye Insa, kamba vyawavushiwe ewo novyo.”
ACT.15.12	Kundi ra wanu ware piya wanyamala vii. Wakiwasikiriza Barinaba na Paulu wakereza kuhusu alama na matajabisa atendire Mwenyezimungu julu yawo kati ya ware Sawari-Mayahudi. 
ACT.15.13	Pawesire kusowera, Yakobu akijibu, akamba: “Jamaa, nisikirizeni omi. 
ACT.15.14	Ansumani
ACT.15.15	Evi ndi sawa‑sawa kamba masemo a minabii, vyaamba javi:
ACT.15.16	‘Bandi ya evyo, omi niludi.
ACT.15.16	Nyumba
ACT.15.16	Vipama vibomoke-vyo nilamusa, nijenga tena upya,
ACT.15.17	ipate wanu wabakire wansakure Mola,
ACT.15.17	na Sawari-Mayahudi piya
ACT.15.17	wakuwa zina rangu ritajiwa julu yawo,
ACT.15.17	newo novyo wansakure.
ACT.15.17	Javi ndi vyaasowere Mola aténda vinu‑vi
ACT.15.18	vinu vijiwikane tangu mida.’ ”
ACT.15.19	Yakobu akizidi kusowera, akamba: “Ndimana omi niwona kuwa tisiwatabishe Sawari-Mayahudi wari kuja ka Mwenyezimungu‑wa. 
ACT.15.20	Vitosha kuwandikira kuwambira wakatare vyakutenderiwa kafara maswanamu, pamoja na nyama zakupotiwa, wasinywe damu, na wasiwe na lukware. 
ACT.15.21	Kamana tangu-tangu vizazi vya mida, kila kaya wawapo ware wereza shariya za Musa, zifyomiwanga mmasinagoga kila sabadu.”
ACT.15.22	Ikisa, mawalii, wakulungwa, pamoja na wanu piya wa jamati wawona kuwa vyema wawatondore wanawalume wamojawapo kati yawo wawapereke Antiyokiya, woke na Paulu pamoja na Barinaba. Na wakitondoriwa Yuda (atapiriwe zina rengine Barisaba) na Sila, wawere wakulungwa wa jamati ire. 
ACT.15.23	Ewo wakandika waraka na makono awo wakamba javi:
ACT.15.23	“Ofwe mawalii na wakulungwa, pamoja na wanduzenu, tukuperekerani salamu wenye kwamini Samuri-Mayahudi, muri kuinshi Antiyokiya, Siriya na Kilikiya. 
ACT.15.24	Kwa kuwa tisikira kuwa wanawalume wamojawapo munkonjo mwetu‑mu, wataya tafauti myoyo yenu, (ingawa atiwapere mamulaka akutenda javyo), 
ACT.15.25	tiwona kuwa vyema (kwa kuwa tisikizana kwa niya moja) tiwatondore maámiri, tiwatume kwenu umwe. Ewo tankuwapereka pamoja na wapendani wetu Barinaba na Paulu, 
ACT.15.26	wanu watula hatari mbere ya mainsha awo, kwa ajili ya zina ra Mwenye wetu, Insa Almasihi. 
ACT.15.27	Kwa javyo, tiwapereka Yuda na Sila, ewo wanyewe wakwambirani novyo novyoni. 
ACT.15.28	Kamana tiwaza kuwa vyema upande wa Roho Takatifu pamoja nofwe kuwa hapana tena nzigo nkulu wakukulazimishani, saviri novi visakikana‑vi: 
ACT.15.29	Mukatare vyakutenderiwa kafara maswanamu, pamoja na nyama zakupotiwa, musinywe damu na musiwe na lukware. Mukinarira piya‑vi, mutenda vyema. Salamu zenu nyingi sana.”
ACT.15.30	Sambi, watondoriwe ware wakilaya, wakisukira Antiyokiya. Nakufika kure, wakiwajumanisa wenye kwamini ware, wakiwagabizi waraka ire. 
ACT.15.31	Ewo pawesire kufyoma waraka ire, masemo are awataya radi pakulu sana. 
ACT.15.32	Yuda na Sila, kwa kuwa wákiwa minabii, wakereza masemo mengi a kuwahurumiya wenye kwamini, kuwataya nguvu roho zawo. 
ACT.15.33	Bandi yakwikala nokure suku aba, wakilayana nawo wenye kwamini kwa salama, wakiwapereka kawatumiwe kure. 
ACT.15.35	Ila Paulu na Barinaba wakibaki Antiyokiya. Ewo, pamoja na wanu wengine wengi wawenye, wakifunda na wakereza usemi wa Mwenye Insa.
ACT.15.36	Bandi ya kupita muda wa suku aba, Paulu kamwambira Barinaba: “Tuke tiludire tena tipite tikiwawona jamaa zetu piya wa makaya atipitire tikereza Habari Ngema za Mwenye. Tikawawone vyawari kwenenda.” 
ACT.15.37	Barinaba vikimwajibu amwarifu Yahaya ákitiwa kwa zina rengine Maruku woke onse. 
ACT.15.38	Fala Paulu kawona kuwa ewo‑po awajuzi kunsukula, konta kâwatira pawakiwa Panfiliya, kazi sainesa. 
ACT.15.39	Basi, wakikola kubishana watupu pakulu futi mpaka wakisapukana kila mmoja. Barinaba akintwala Maruku, wakilokera Kiporo. 
ACT.15.40	Paulu akintondola Sila, akilawa naye wakuka vyawo, bandi ya wenye kwamini kuwalebelela duwa wapate rehema za Mola. 
ACT.15.41	Iye akipita Siriya na Kilikiya, akiwataya nguvu jamaa wa jamati.
ACT.16.1	Paulu kafika makaya a Deribi na Lishitera. Noko ákiwapo mwanafunzi mmoja akitiwa Timotiyu, mwana wa mwanamuka Yahudi mwenyé kwamini, ila wawaye ákiwa nGeregu. 
ACT.16.2	Wenye kwamini wa Lishitera na Ikoniyu wakilavyanga ushahidi wakunsifu Timotiyu. 
ACT.16.3	Paulu akisaka ansukure Timotiyu‑yu ndimana akintaisa itani konta Mayahudi wákikalanga upande wa kaya ire wakijiwa kuwa wawaye aawere Yahudi. 
ACT.16.4	Pawákipitanga mmakaya makulu mure, wakereza shuruti zawanuwiye mawalii pamoja na wakulungwa wa Yerusalemu ipate watimize. 
ACT.16.5	Kwa javyo, jamati zikitaiwa nguvu nkati ya kwamini, na zíkongezeka kila suku.
ACT.16.6	Paulu na Sila wakipita makaya a Furujiya na Galata. Roho Takatifu aâwasire kwereza habari za Mwenyezimungu Aziya. 
ACT.16.7	Pawafikire mpaka wa Misiya, wakenekeza kwingira Bitaniya fala Roho ya Insa aiwamurire kuka. 
ACT.16.8	Basi, wakitambala Misiya, wakuka Torowa. 
ACT.16.9	Usiku, Paulu ikimwisukira ruhuya, kammona munu wa Makedoniya emire, akintafadali akamba: “Uje Makedoniya, utavye!” 
ACT.16.10	Bandi ya Paulu kuwona javire, kwa mpunde noure, tishugulika kulawa kuka Makedoniya. Tiwona kuwa Mwenyezimungu ndi atitire kuka noko, tikawereze Habari Ngema.
ACT.16.11	Basi, tikivuta nanga tikiripakira Torowa, tikuka tanga rimoja mpaka Samotaraki. Subuu yake tikingiza Neyapoli. 
ACT.16.12	Ikisa tikuka mpaka Filipi, kaya ulu ya porovinsiya ya Makedoniya, tikala suku aba. Noyo kaya‑yo itawariwa na waRoma. 
ACT.16.13	Sabadu tikipita panryango wa kaya ire tikilawira panja, tikuka nanyenje ya muto, patikidanizira kuwa mahala pawatendanga ibada. Tikikala, tikanza kupakanira na wanawaka wajumane nopare. 
ACT.16.14	Kati yawo, ákiwapo mwanamuka mmoja wakuntukuza Mwenyezimungu, wakwitiwa Lidiya, kwawo Tiyatira. Iye ákiuzanyanga nguwo maalumu za rangi ya njambalãu. Iye akitisikira, na Mola kanfungula moyo wake kutumaini vyaakamba Paulu vire. 
ACT.16.15	Nakwisa koziwa iye pamoja na jamaa zake, katitafadali, akamba javi: “Ikiwa mwankuniwona kuwa kamilifu mbere ya Mola, tukeni kwangu, mukekare.” Akanza kutikenekezera.
ACT.16.16	Sambi, patikuka mahala pakulebela duwa, noparepare katilawirira mwari mmoja wakumilikiwa na jini
ACT.16.17	Mwari ire akinfulata Paulu pamoja nofwe kuno akikuwa, akamba: “Ewa wanawalume‑wa watumwa wa Mwenyezimungu Nkulu! Ewo wankukwerezani njira ya kuvushiwa!”
ACT.16.18	Ákikuwanga suku nyingi zawenye. Basi Paulu akikimiwa, akinzungunukira, akinsowerera na jini ire, akamba: “Uwe jini, nukwamuru kwa zina ra Insa Almasihi, nlawe munu‑yu!” Mpunde noure, jini ire akinlawa.
ACT.16.19	Watwawe ware, pawawonire kuwa iwesira tamaa ya faida yawo ire, wakinkola Paulu na Sila, wakiwavuta mpaka paluwanja, mbere ya mafalume. 
ACT.16.20	Pawakiwapereka ka wenye kulamula, wakamba: “Ewa wanu‑wa Mayahudi, wankuwadanganya wanu wa nkaya‑mu! 
ACT.16.21	Wankwereza tabiya saziri halali kwetu ofwe kupokerera wala kufulata, kwa kuwa tiwa waRoma.” 
ACT.16.22	Basi wanu wakilamuka kaupamoja wakiwokira, na wenye kulamula wakiwavula nguwo zawo kanguvu, wakamuru wacapiwe na bakora. 
ACT.16.23	Pewesire kuwacapa pakulu pawenye, ewo wakiwataya nkalaboshu na wakinlaizira amiri wa nkalaboshu awasunge sana. 
ACT.16.24	Iye, nakupokerera eyi ámuri‑yi, akiwataya nkisusi, akiwafunga maulu na unyolo akiwafungira pagogo.
ACT.16.25	Usiku kati-kati, Paulu na Sila wakilebela duwa, kuno wakimba nyimbo za kunsifu Mwenyezimungu. Wafungwa wenziwawo wakiwasikiriza. 
ACT.16.26	Kwa mpunde noure, ardhi yanza kutetema pakulu, aluserusu ya kalaboshu ikibomoka, miryango piya ikifunguka, na unyolo piya ukiwavurika.
ACT.16.27	Amiri wa nkalaboshu paalamuke na paawonire miryango ya kalaboshu ire iri wanzu, akivuta upanga kusaka kurulaya, konta akidaniza kuwa wafungwa ware watira. 
ACT.16.28	Fala Paulu akinkuwira, akamba: “Usirulaye! Ofwe piya tiwapo nomu!” 
ACT.16.29	Basi amiri ire akitisa kandiyeru, akituwa akingira nkalaboshu mure kuno akitetema, akigwa mbere ya Paulu na Sila. 
ACT.16.30	Ikisa akiwalavira panja, akiwadairi: “Mamwenye, kupata kuvushiwa, nijuzi nitende kinani?” 
ACT.16.31	Ewo wakinjibu: “Mwamini Mwenye Insa, uvuka uwe pamoja na jamaa zako.” 
ACT.16.32	Basi wakimwereza usemi wa Mwenyezimungu amiri ire pamoja na piya wakiinshi nawo pakaya pake. 
ACT.16.33	Iye usiku-usiku noure, akiwatwala Paulu na Sila, akiwosa vijaraa vyawo. Ikisa, kwa mpunde noure, akoziwa iye pamoja na jamaa zake piya. 
ACT.16.34	Ikisa, akiwatwala akuka nawo kwake, akiwapa cakurya. Iye pamoja na jamaa zake piya watenda radi pakulu sana, kwa kuwa wamwamini Mwenyezimungu.
ACT.16.35	Pakucere subuu, wenye kulamula wawatuma masupai wawambira javi: “Kawafungureni wanawalume ware.” 
ACT.16.36	Basi amiri wa kalaboshu ire akimwambira Paulu ewu usemi‑wu javi: “Wenye kulamula watumiza nukufungureni, basi lawani, muke kwa salama.” 
ACT.16.37	Fala Paulu akiwajibu: “Ofwe waticapa mbere ya wanu, sawatilamure vijuzi, ingawa nofwe tiwa waRoma! Ikisa watitaya nkalaboshu, sambi wasaka watituwise kisiiri-siiri? Javyo sivyo! Basi, waje kuno mafalume‑wo wanyewe, watifungure‑mu!” 
ACT.16.38	Masupai ware wakuka wakiwambira habari zire wenye kulamula. Pawejiwe kuwa ewa waRoma, wasusuka. 
ACT.16.39	Ewo wakija, wakiwatafadali, ikisa wakiwafungula, wakiwalebela walawe nkaya mure. 
ACT.16.40	Pawalawire nkalaboshu mure, ewo woka mpaka nyumba ya Lidiya. Nokurekure wakiwonana na wenye kwamini. Bandi ya kuwataya niya, wakilawa wakuka vyawo.
ACT.17.1	Paulu na Sila, bandi ya kupita Anfipoli na Ampoloniya, wafika Tesalonika. Noko íkiwapo sinagoga ya Mayahudi. 
ACT.17.2	Paulu sabadu natu akuka kusinagoga noko, kamba vyaiwere tabiya yake. Iye akanza kowolotera uhakika wa Mandiko Matakatifu. 
