MAT.1.1	Kĩtabũ kya wĩleli wa kĩYesu Kilisito, umuana wa kĩDaudi, umuana wa kĩIbũlahimu. 
1TH.5.2	Kuitĩ inie uniinie mumanile nkankanaa ya kĩna ulutondo lwa kĩShekulu lũjile kĩna iio umũii nukuuzaa muutiku. 
1TH.5.3	Kuitĩ pĩna iũga, “Yaazaa matiliga nuutengemalũ,” paapo uoononeki umuuzĩĩle kumpũmpũkĩlĩ, kĩna iio uusungu naukumuuzĩĩla nutĩĩte iimbi, kutilĩ kawĩnegelo. 
1TH.5.4	Ĩpa inie anũna aane sika muĩlĩ mukiiti, ulutondo luasio lumuagaane kĩna mũii. 
1TH.5.5	Kuitĩ inie tũlũ muaana a weelu, kangĩ aana a munsĩ; ishie sika kwa utiku katia kiiti. 
1TH.5.6	Luulo gua, kulekigona kĩna naĩngĩ, ĩpa kukengeale, kulekigaala. 
1TH.5.7	Kuitĩ naakugonaa akugonaa utiku, nĩnaakugaalaa akugaalaa utiku. 
1TH.5.8	Ĩpa kunsooko ishie kwa munsĩ, kulekigaala, kwĩjiale mukĩkũa usuĩĩli nuuloogua, nigyĩgu liĩtu lya kiuma lĩtũle ulaaĩĩli wa ugũnua. 
1TH.5.9	Kunsooko uNzua sika alukuĩĩkile kuutaki, ĩpa kuligie uugũnua kunzĩla ya kĩShekulu wĩĩtu Yesu Kilisito, 
1TH.5.10	naalukiile kunsooko yĩĩtu koona kuĩ nuupanga palumuĩ ninduyo, kanga kuĩ kulaĩĩle katia kanga kuĩ kugonile. 
1TH.5.11	Iio gua, mwĩkamatĩkie niinie kuniinie, nukukĩzenga muntu wensi numuua, iio kĩna mukutendaa.
1TH.5.12	Kwamulompa gua anũna ĩĩtu, muamane ĩaaso naĩkakilie kukĩtuma umulĩmo pakatĩ yaani, nukukumuĩmĩĩla mwa kĩShekulu, nukukumusugula; 
1TH.5.13	muapeele ikyulio nkankanaa muuloogua kunsooko ya mulĩmo waao. Muĩ nĩmatiliga niinie kuniinie.
1TH.5.14	Kukumulompa anũna ĩĩtu, asugulĩ ĩaasio naĩ kiaka, akamiĩ nkolo naalemue, akamĩnkĩĩliĩ naaneketũ, ĩgigimĩliĩ nĩantu ensi. 
1TH.5.15	Laaĩ, wensi waleke kumushookeelia umuua ubĩĩ kuubĩĩ; ĩpa intondo tũlũ lutiatĩ naluuza, niinie kuniinie, nukuantu tũlũ.
1TH.5.16	Lumbĩ intondo tũlũ. 
1TH.5.17	Lompĩ, mulekikatala. 
1TH.5.18	Mumpola zensi, pũniĩ ĩmasongelio; kuitĩ uu wau ulooa wa kĩNzua kumiani mwa kĩKilisito Yesu. 
1TH.5.19	Muleke kumudibia uMuau, 
1TH.5.20	mulekimela uunakĩdagu; 
1TH.5.21	tũlũ zensi zilekanulĩ; paapo muambe naluuza; 
1TH.5.22	ĩsuga-nsugiĩ nuubĩĩ wa matũmpĩ mensi.
1TH.5.23	uNzua wa matiliga muene wamuelekie; niniinie, inkolo zaani nĩmioo yaani nĩmiĩlĩ yaani mulindĩĩlue muĩ akapanga, ĩkutilĩ kishokio pityũngo pĩna ukiiiza ũShekulu wĩĩtu Yesu Kilisito. 
1TH.5.24	Uyo numuĩtile ingĩ wa usuĩĩli, nduyo ukakuzitenda.
1TH.5.25	Anũna ĩĩtu, kulompeelĩ. 
1TH.5.26	Alamukiĩ ĩanũna tũlũ kuwĩsuni naweelu. 
1TH.5.27	Namulapia kwa kĩShekulu, asomelue ĩanũna tũlũ ĩmbalua ĩĩ. 
1TH.5.28	uUkende wa kĩShekulu wĩĩtu Yesu Kilisito wĩĩ niniinie.
2TH.1.1	Paulo, Siluano nũTimoteo kwamuandĩkĩla inie mwikyanisa lya Atesaloniki naliĩlĩ mwa kĩNzua Tata wĩĩtu nũShekulu Yesu Kilisito. 
2TH.1.2	uKende wĩĩ kumiani nĩmatiliga namapũnile kwa kĩNzua Tata nukwa kĩShekulu Yesu Kilisito.
2TH.1.3	Yukũjĩpĩĩle kukumusongelia uNzua intondo tũlũ kunsooko yaani anũna ĩĩtu, kĩna wĩĩlĩ uulagĩĩligua wĩĩtu, kuitĩ uusuĩĩli waani wiongeeleka, nuwĩloogua wa muntu wensi nwa kunsiani kumuua ukijulikia. 
2TH.1.4	Luulo gua undiishie akola kwĩkũmuukia mumakanisa ma kĩNzua kunsooko ya ukamatĩkũ waani nuusuĩĩli namuutĩĩte mumpatĩ zaani tũlũ ninjago namugigimĩĩlie.
2TH.1.5	Kĩĩkio kĩlagĩĩlo kya ulamulĩ wa kulukuuluu wa kĩNzua, koona mwijĩpĩligue kwiingĩla uutemi wa kĩNzua nukuwaasio ĩĩo nsooko mwiaagigua. 
2TH.1.6	Kuitĩ ingĩ kulukuuluu ntongela ya kĩNzua kukualĩpa uwaagigua ĩaasio naakumuagagiaa inie; 
2TH.1.7	nukukumupeela inie namukuagagiguaa uusũũpio palumuĩ nindiishie, pityũngo lya ukũnukulua waakue ũshekulu Yesu kwipũna kwigyulu palumuĩ nĩamalaĩka a ngũlũ zaakue muwaakĩlo wa mooto, 
2TH.1.8	kunu ĩukakuakaasia ĩaasio nasika amuĩzĩ uNzua, nĩndĩo nasika azigombile iMpola naNziiza ĩza kĩShekulu wĩĩtu Yesu Kilisito. 
2TH.1.9	Ikikaasigua muoononeki wa kalĩ nakalĩ, nukwikamatulua kwipũna pausiu wa kĩShekulu, nuukulu wa usũũmi waakue, 
2TH.1.10	Pĩna ũjiliiiiza kwikuligua pakatĩ ya eelu aakue, kangĩ wĩĩ ukulĩlua pakatĩ ya antu tũlũ naasuĩlĩĩle palutondo luasio, kunsooko uukuĩli wĩĩtu alĩ wagombagiguaa kumiani. 
2TH.1.11	Luulo, kukumulompeelaa inie intondo tũlũ, koona uNzua wĩĩtu wamũjĩpĩlie kuwĩĩtua waani, wakondeelie tũlũ yensi ya nsula nanziiza nuutendi wensi wa usuĩĩli kungũlũ zaakue. 
2TH.1.12	Itĩ yoi ĩliina lya kĩShekulu wĩĩtu Yesu lĩkuligue kumiani, niniinie munsĩ yaakue, kwilika lya ukende wa kĩNzua wĩĩtu nuwa kĩShekulu Yesu Kilisito.
2TH.2.1	Kumpola za kuuza kumuakue ũShekulu wĩĩtu Yesu Kilisito, nukukĩlundĩĩla kumiĩtu kukumuagaana uyo, kumulompile anũna ĩĩtu, 
2TH.2.2	Mulekishũngũsigua kuukaaũ mwishala liani nukwitunduala, kanga yĩĩ kunkolo katia kulukaani, katia kumbalua nansĩĩgilue kĩna yĩĩtu, ya kĩna uLutondo lwa kĩShekulu lwapikaa. 
2TH.2.3	Kaumuĩ waleke kumupembeelia inie kunzĩla yensi kunsooko sika lukitũla isiititũla wĩĩze tangua uuleki, wakũnukulue umuntu wa mulandu, muana wa oononeki, 
2TH.2.4	nuasio umupĩngapĩngi nukĩnansulaa umuene mukiania ya tũlũ nukuĩtagua nzua katia nukĩtekelaguaa, sunga umuene mukola kikyalansa muNumba ya kĩNzua, nukukĩlagĩĩla kĩna muene Nzua. 
2TH.2.5	Sika mwijukilene ya kĩna ĩmatũngo naalĩ nĩpalumuĩ niniinie alĩ numuĩĩlĩĩle ĩzaasio? 
2TH.2.6	Mumanile kĩna yaani nayukumugilia unuasio unzuauu, itĩ wakũnukulue pityũngo liakue. 
2TH.2.7	Kuitĩ uunkũnkũ wa uleki ĩpaino witenda umulĩmo; ĩpa itĩ ukoolĩ nukuugilia ĩpaino, sunga pĩna ukileegigua unuasio. 
2TH.2.8	Paasio paapo ukikũnukulua unuasio umuleki, uyo nũShekulu Yesu ũjile kumuulaga namuau wa mulomo waakue, nukukumuleegia kuwigyeleli wa kuuza kumuakue. 
2TH.2.9	Iio nukwiiiza kumuakue uzo umuntu wa mulandu kwilika lya utendi wa kĩShetani, kungũlu tũlũ niilĩngasĩĩlio nĩmakula ma ulongo, 
2TH.2.10	numuupenbeelia tũlũ wa oonooni kumiao nailimĩĩla, kunsooko sika agombile kukumĩloogua ĩtai itĩ agũnue. 
2TH.2.11	Kunsooko ĩĩ uNzua ukakualeetela ingũlũ za ulimĩĩli, ausuĩĩle uulongo, 
2TH.2.12	koona alamulue ensi nasika amĩsuĩlĩĩle ĩtai, ĩpa alĩ akĩloeelagiaa muoononeki.
2TH.2.13	Ishie gua, yukũjĩpĩĩle kukumusongelia uNzua intondo tũlũ kunsooko yaani anũna ĩĩtu namualoogue nũShekulu, kunsooko uNzua wamusaaguĩle kwipũna umuandio kuugũnua muweeligua kwa kĩMuau, nukukumĩsuĩĩla ĩtai. 
2TH.2.14	naalumuĩtĩĩle iinie kunzĩla ya Mpola na Nziiza nakutanantilie, koona muligie uukulu wa kĩShekulu wĩĩtu Yesu Kilisito. 
2TH.2.15	Iio gua anũna ĩĩtu, ĩĩmĩkĩ kee, mwityape intendo naalĩ muamanigue nindiishie, kulukaani katia kumbalua yĩĩtu.
2TH.2.16	NũShekulu wĩĩtu Yesu Kilisito umuene, nuNzua Tata wĩĩtu naalukuloogilue nukupeela ishie ipyumbulio lya kalĩ nakalĩ nuulaaĩĩli nauuza muukende, 
2TH.2.17	wamupumbulie inkolo zaani, sunga kukumukamĩnkĩĩlia muutendi wensi nauuza nulukaani luensi naluuza.
2TH.3.1	Kumumalĩĩlio anũna ĩĩtu, kulompeelĩ, koona uLukaani lwa kĩShekulu lusapatĩle nukwikuligua, iio-iioo kĩna yĩĩlĩ kunsiani, 
2TH.3.2	koona kugũnue mumĩkono ya antu nasika anakulukuuluu, kangĩ naabĩĩ; kuitĩ sika tũlũ naatĩĩte uusuĩĩli. 
2TH.3.3	Ĩpa ũShekulu ingĩ wa usuĩĩli; nukakumukamĩnkĩĩlia inie nukukumulindĩĩla kuMubĩĩ. 
2TH.3.4	Nindiishie kumusanilie ũShekulu kumpola zaani, ya kĩna mukuzitenda naalĩ kumulagĩlĩĩlie, kangĩ kĩna mukakuzitenda. 
2TH.3.5	ũShekulu wamutongeele munkolo zaani kuulogua wa kĩNzua nukuugigimĩĩlia wa kĩKilisito.
2TH.3.6	Kumulagĩlĩĩlie gua anũna ĩĩtu, muliina lya kĩShekulu wĩĩtu Yesu Kilisito, ĩkamatulĩ numunũna wensi nukugendaa kiaka-kiaka, sika kwilika lya ntendo naalĩ muanũnkuĩle kumiĩtu. 
2TH.3.7	Kuitĩ mumanile uniinie akola, kĩna yumũjĩpĩĩle kukukutiata ishie, kunsooko sika alĩ kugendĩĩle mukiaka-kiaka kumiani, 
2TH.3.8	sunga sika nakulĩa kaludia lwa muntu wensi nakanda, ĩpa kumulĩmo namukakũ nukuwaagi, utiku nũmunsĩ alĩ kukĩtumaa umulĩmo, koona kuleke kumulemia kaumuĩ kumiani. 
2TH.3.9	Sika kĩna kuagila kausũũmi, ĩpa mulugendo luĩtu kutũle mpiani kumiani, mukutiate. 
2TH.3.10	Kuitĩ sunga pĩna alĩ kuĩlĩ kumiani, alĩ kumulagĩlĩlĩe, “Wensi nasikusiiile kukĩtuma umulĩmo, walekilĩa gua.” 
2TH.3.11	Kuitĩ kwigyũũlie ya kĩna akoolĩ naĩngĩ kumiani naa kiaka-kiaka, naasiitile kukĩtuma umulĩmo waao, ĩpa naang'oosokĩĩle impola za naĩngĩ. 
2TH.3.12	Kualagĩlĩĩlie ĩaasio nukukuasugula mwa kĩShekulu wĩĩtu Yesu Kilisito, ĩtume ĩmĩlĩmo yaao, kuutuulũ, nukwilĩa india zaao ĩeene. 
2TH.3.13	Inie gua anũna aane, mulekikatala kwitenda namaaza.
2TH.3.14	Naa ukoolĩ wensi nasikugombile ulukaani luĩtu lwa mbalua ĩĩ, mulaaĩ kĩĩsa muntu nuasio sunga mulekikamamtana nĩnduyo, koona wakolue inshoni. 
2TH.3.15	Muleke kumulaaa zĩ mulugu, ĩpa musugulĩ zĩ munũna.
2TH.3.16	Ĩpaino, ũShekulu wa matiliga muene wamupeele ĩmatiliga ntoondo zensi kunzĩla tũlũ. Shekulu wĩĩ palumuĩ niniiie tũlũ.
2TH.3.17	Mĩlamu yaane neene Paulo, kumukono waane uneene. Ĩkĩ kyokĩ kĩlĩngasĩĩlio mumbalua yensi ĩniane; itĩ yoi nukuandĩkaa. 
2TH.3.18	uUkende wa kĩShekulu wĩĩtu Yesu Kilisito wĩĩ palumuĩ niniinie tũlũ.
1TI.1.1	Paulo, mutumua wa kĩKilisito Yesu, kuulagĩĩligua wa kĩNzua Mugũni wĩĩtu nuwa kĩKilisito, uulaaĩĩli wĩĩtu; 
1TI.1.2	nakuandĩkĩla ue Timoteo, muanuane wa tai muusuĩĩli. uUkende wĩĩ kumuako, nĩkĩnishungu nĩmatiliga namapũnile kwa kĩNzua Tata nukwa kĩKilisito Yesu Shekulu wĩĩtu.
1TI.1.3	Kĩna iio alĩ nukuĩĩlĩĩle pĩna alĩ nitũnga umusĩnzo kwienda kuMakedonia, wikyale muEfeso koona ualagĩĩlie naĩngĩ alekimania ĩmamanio ma kĩgenda, 
1TI.1.4	sunga alekikendegeela inshimu nasika za tai, sunga impola za kalĩ nangila nuukinĩĩlo, nazukuleetaa inkungumi dũũ, sika uzengi wa kĩNzua nawĩĩlĩ muusuĩĩli. 
1TI.1.5	Ĩpa itĩ, ĩnsooko ya ulagĩĩligua wĩĩtu ingĩ uloogua naupũnile munkolo nanzelu, numoo namuelu, nuusuĩĩli naugila kaunamampĩlu. 
1TI.1.6	Naĩngĩ naazileka ĩzaasio, naalimĩĩla, naagomokela ĩmakaani namagila kansaĩlo. 
1TI.1.7	ĩAasio naishiia atũle alangi a Ulagĩĩlio, sika naalĩnga naakumatambulaa, sunga impola ziizo naakuzidunduulaa kungũlũ. 
1TI.1.8	Kumanile gua, kĩna uUlagĩĩlio ingĩ uuzakanga wensi wautumĩle kunzĩla nang'ombigue; 
1TI.1.9	kangĩ walĩnge kĩna uUlagĩĩlio sika umũjĩpĩĩle umunakulukuuluu ĩpa ĩaleki, nĩanakiaka, nĩnasika amoopookile uNzua, nĩanamĩlandu, nĩnasika amukulilie uNzua, nĩadobũ, nĩnaakuulagaa atata nĩamaau aao, nĩaulagi, 
1TI.1.10	nĩagololia, nĩnaĩkĩgololagiaa agoosia atilĩ, nĩnaakuiia ĩantu, nĩalongo, nĩnaakulapaa kuulongo, naa lwa lukoolĩ lukaani luensi naluĩngĩ nasika lukamantĩĩne nuumanigua nautĩĩte upanga, 
1TI.1.11	kwilika lya mpola na nziiza za ukulu wa kĩNzua namuliukũ; ziizo nineene numupeegue kukuzitanantia.
1TI.1.12	Nineene namusongelia uKilisito Yesu Shekulu wĩĩtu naalumpĩĩle ingũlũ, kunsooko alumoonie kĩna numusuĩĩli, numbĩĩka muwĩtumi waakue; 
1TI.1.13	ĩne ĩmuandio naalĩ numutukani, mukola kuagia antu, mugaali; ĩpa nankolelua kĩnishungu kunsooko alĩ ntendile yaasio kuusiitimana, numuusiitishuĩĩla. 
1TI.1.14	Ĩpa itĩ uukende wa kĩShekulu wĩĩtu nawĩongeelekia palumuĩ nuusuĩĩli nuuloogua nawĩĩlĩ mwa kĩKilisito Yesu. 
1TI.1.15	Ingĩ lukaani lwa kusuĩĩlua, nalwijĩpĩĩle kwigombigua nkankanaa, ya kĩna uKilisito Yesu alĩ wijile muna unkũmbigyulu waagũne ĩanamĩlandu, nineene namuandio waao; 
1TI.1.16	kunsooko ĩĩ nankolelua kĩnishungu, koona mumuane nanamuandio, ũYesu Kilisito wigyelelie uugigimĩlia waakue tũlũ, ntũle mpiani kuaasio naikishuĩĩla mumuakue aligie upanga wa kalĩ nakalĩ. 
1TI.1.17	KuMuteni wa kalĩ nakalĩ, nasikukuonaa uoononeki, nasika wigyĩĩle, uNzua wing'ene dũũ, kumuakue liĩ kyulio nuukulu ĩkalĩ nakalĩ, kutilĩ kampelo. 
1TI.1.18	iLyagĩĩlio ĩlĩ nĩlĩlagĩlĩĩlie kumuako, muanuane Timoteo, kwilika lya nkaani za unakĩdagu naalĩ zitongĩĩle kumuako, itĩ muzaasio wĩkue uulugu nauuza. 
1TI.1.19	Uuambe uusuĩĩli numoo namuuza. Naĩngĩ alĩ ausiitilie umoo waao naakapĩla mumpola za uusuĩĩli waao. 
1TI.1.20	Muaasio akoolĩ uHimeneyo nuAlekizando, aao naaĩĩkile mumĩkono ya kĩShetani amanigue aleke kumutukĩla uNzua.
1TI.2.1	Kumuandio gua, nalagĩĩlia mwĩnene nukwilompa, nukwilompeela, nukwishongelia kunsooko ya antu tũlũ, 
1TI.2.2	nukunsooko ya utemi nĩensi naatĩĩte uukulu; koona kwikyale muuumĩ wa utuulũ nĩmatiliga nikwitengemala kĩĩsa, kumoopoke uNzua nukwigenda mulukũmo naluuza mumpola tũlũ. 
1TI.2.3	Kuitĩ yaasio ingĩ iiza, igombigue ntongela ya kĩNzua, Mugũni wĩĩtu, 
1TI.2.4	nukusiiaa ĩantu tũlũ agũnue nukwilĩnga ĩza tai. 
1TI.2.5	Kuitĩ uNzua ingĩ umuĩ, numukamantania pakatĩ ya kĩNzua nĩ antu ingĩ umuĩ, uzo namuntu uKilisito Yesu; 
1TI.2.6	alĩ wĩsuulile umuene, wĩĩ kĩkomoli kunsooko ya antu tũlũ, nuukuĩli waakue alĩ upũnigue pityũngo liakue. 
1TI.2.7	Nineene alĩ numuĩĩkue ntũle mutanantia wa mumpola zaasio, kangĩ mutumua; (ntambuĩle ĩtai, sika ntambuĩle kaulongo), ntũle mumania wa ndugu nazĩngĩ mumpola za usuĩĩli nĩtai.
1TI.2.8	Luulo gua nsiile tũlũ pensi ĩagoosia alompe, ĩanansuĩle mĩkono namieluu, ĩkutilĩ kautaki ninkungumi; 
1TI.2.9	iio-iioo nĩasungu ĩoogeelie kuwĩtũngĩ naũjĩpĩĩle, wa kukũmba iipuĩ, mulugendo naluuza, sika kuutaa matũmbĩ, katia kuzahabũ nilũũlũ katia ntiila za ngele nankakũ, 
1TI.2.10	ĩpa gua, ĩoogeelie kuutendi nauuza, kĩna ĩijĩpĩĩle ĩasuungu naakukũmuula kĩna akumukulagiaa uNzua. 
1TI.2.11	uMusungu nwĩmanie muutuulũ kuuniinupia wensi. 
1TI.2.12	Sika ng'ombile umusungu kwimania sunga kukumudemela umugoosia, ĩpa wĩĩ wĩĩlĩ muutuulũ. 
1TI.2.13	Kuitĩ uAdamu alĩ muumbue tangua, nuEwa pembele; 
1TI.2.14	nuAdamu sika alĩ mupembeeligue; ĩpaumusungu alĩ mupembeeligue, nutũla mutimuli. 
1TI.2.15	Ĩpa itĩ ukigũnĩka kunzĩla ya wĩleli waakue, kanga ikyale muusuĩĩli nuuloogua nuweelu palumuĩ nukukĩtema ĩeene.
1TI.3.1	uLukaani ulu ingĩ lwa tai; wensi kanga wadũũme udĩĩmi wa ulĩnguli usiile mulĩmo namuuza. 
1TI.3.2	Luulo gua, ijĩpĩĩle mulĩnguli wĩĩ utĩĩte lukũmo naluuza, mugoosia wa musungu umuĩ, kangĩ nasikukugaalaa, munamasala muntu wa kĩĩsa-kĩĩsa, musũgamĩĩlia agenda, numanile kwilanga; 
1TI.3.3	sika muntu nwijiĩlĩĩle ulugaalo, sika mukuani ĩpa wĩĩ mupolo, sika wa nkungumi, sunga sika muawa mpiia. 
1TI.3.4	Ijĩpĩĩle wakendegeele ĩnumba yaakue iiza, nukuamanagiaa ĩaana aakue ĩniinupie nukukuapeela ĩantu ikyulio; 
1TI.3.5	wensi nasikumanile kwikendegeela ĩnumba yaakue umuene, ukishũũma mbii kwikendegeela ikyanisa lya kĩNzua. 
1TI.3.6	Ijĩpĩĩle walekitũla mulĩnguli koona waleke kĩkentula wague muulamulua wa kĩShetani; 
1TI.3.7	kangĩ ijĩpĩĩle kwikuĩlua uuza nĩantu naĩĩlĩ kunzi, koona walekiguĩla mumutego wa kĩShetani.
1TI.3.8	Iio-iioo nĩaalĩĩlia iKyanisa ĩĩ akola lukũmo, nasika a masĩĩgo mabĩlĩ, nasika akukopekagiaa umubinio, sunga sika aawa mpiia za nsoni, 
1TI.3.9	ĩakendegelĩĩle uunkũnkũ wa usuĩĩli muumoo namuelu. 
1TI.3.10	Nĩndĩĩa gaa agemue tangua; na akondia kukigyelela kĩna agila kishokio, paapo ĩtume umulĩmo wa waalĩĩlia wiKyanisa.
1TI.3.11	Nĩasungu gaa ĩĩ a lukũmo naluuza, sika asingĩĩlania, nasika akugaalaa, asuĩĩli mumpola zensi. 
1TI.3.12	ĩAalĩĩlia iKyanisa ĩĩ agoosia a musungu umuĩ, ĩakendegelĩĩle iiza inumba zaao nĩaana aao; 
1TI.3.13	kuitĩ naakĩtumaa umulĩmo wa waalĩĩlia iiza, akĩligĩlagiaa ikyulio naliiza, nuukamatĩkũ wingĩ muusuĩĩli nawĩĩlĩ mwa kĩKilisito Yesu.
1TI.3.14	Ndaaĩlĩĩle kwiiiza kumuako kuukaaũ, ĩpa nakuandĩkĩla izi 
1TI.3.15	kanga ntinie, umane kĩna ijĩpĩĩle ĩantu kwigendela munumba ya kĩNzua. ĩlĩ lyolĩ kyanisa lya kĩNzua namupanga, ishĩmbĩlĩ kangĩ mukũlĩla wa tai. 
1TI.3.16	Kutilĩ kankankani, uunkũnkũ wa wĩtekeli wĩĩtu ingĩ ukulu.
1TI.3.16	uNzua alĩ mũgyeleligue mumuĩlĩ,
1TI.3.16	Nulĩngĩkigua kĩna munakulukuuluu mwa kĩMuau,
1TI.3.16	Alĩ wigyelĩĩle kuamalaĩka,
1TI.3.16	Nutanantigua pakatĩ ya ndugu,
1TI.3.16	Nusuĩĩlua muna unkũmbigyulu,
1TI.3.16	Nunansulua kukiania muukulu.
1TI.4.1	uMuau gua, utambuĩle kualiĩ ya kĩna pamatũngo ma mpelo naĩngĩ ĩkakĩkamatula nuusuĩĩli, ĩitegeela inkolo naza ulimĩĩli nĩmamanigua ma asĩĩmuĩ, 
1TI.4.2	kuunamampĩlu wa antu naakutambulaa ulongo, naakiile gyandi munkolo zaao ĩeene. 
1TI.4.3	ĩAasio naakuagilia ĩantu kwitoola nukukualagĩĩlia ĩpugamuke nindia, ĩzaasio uNzua aluziumbile zaanũnkulue kwishongelio nĩnaatĩĩte usuĩĩli nĩnaamanile ĩtai. 
1TI.4.4	Kunsooko kĩumbua kiensi kya kĩNzua ingĩ kĩĩza, sunga kĩkutilĩ nakya kusiitua kanga kianũnkulue kuusongeelia. 
1TI.4.5	Kuitĩ kielagiguaa kulukaani lwa kĩNzua nukuulompi.
1TI.4.6	Ijukĩlie ĩanũna impola izi, nunduue ukitũla mwĩtumi namuuza nwa kĩKilisito Yesu, nukukĩlĩĩsia nukulukaani lwa usuĩĩli nuumanigua nauuza nuutiatile kĩĩsa. 
1TI.4.7	Ĩpa inshimu za ulu nasika za wĩtekeli nauuza, uzishiite. ĩkamatĩkie kukumutekela uNzua; 
1TI.4.8	kuitĩ kukĩkamatĩkia kwiligia ingũlũ za muĩlĩ yukuleeta nsaĩlo iniino, ĩpa uuuza wa wĩtekeli ukuleetaa nsaĩlo mumpola zensi; kuitĩ utĩĩte lyago lya upanga wityũngo ĩlĩ nuwaasio naũjile. 
1TI.4.9	uLukaani ulu ingĩ lwa tai, ndulo lwijĩpĩĩle kwigombigua nkankanaa. 
1TI.4.10	Kuluulo kwĩkakilie kukĩtuma mulĩmo nukukĩkamatĩkia kũshiio ĩlĩ, kunsooko kumulaaĩlĩĩle uNzua namupanga, nduyo Mugũni wa antu tũlũ, naikulu nangũlũ wa aasio naasuĩlĩĩle.
1TI.4.11	Mpola izi uzilagĩĩlie nukukuzimania. 
1TI.4.12	Muntu wensi waleke kuumela uugalimanga waako, ĩpa wĩĩ mpiani kumiao naasuĩlĩĩle, muutambuli numulugendo, muuloogua muusuĩĩli numuweelu. 
1TI.4.13	Ĩkamatĩkie kukuasomela, kukuasugula, nukukuamania ĩantu sunga pĩna nikiiza. 
1TI.4.14	Ulekileka kukĩtumĩla uupeegua naukoolĩ munsĩ yaako naalumupeegue kunzĩla ya unakĩdagu palumuĩ nukuuĩĩkĩlua wa mĩkono ya anampala. 
1TI.4.15	Uzishĩĩge ĩzaasio, wikyale muzaasio, uwĩongeeli waako utũle kualiĩ kuantu tũlũ. 
1TI.4.16	Ĩkendegeele uuue mukola, sunga uumania waako; wĩkakie muziizo, kuitĩ pĩna witenda itĩ, ukakĩgũna uuue mukola sunga ndĩo naakukũigia.
1TI.5.1	Uleke kumutakĩla umunampala, ĩpa umusugule zĩ tata; nĩasumbatĩ zĩ anũna, 
1TI.5.2	ĩakombi zĩ amaau, nĩananso zĩ agũlĩ, kuweelu tũlũ. 
1TI.5.3	Uakulie ĩakiĩlua naakiĩlua a tai-taaii. 
1TI.5.4	Ĩpa umukiĩlua kanga ĩutĩĩte aana katia ijukulu, naĩmanie tangua kwitenda nayĩijĩpĩĩle pa kĩNzua mumpola za numba yaao ĩeene, nukukuashokeelia naiiza ĩaleli aao; kuitĩ ulukaani ulu lugombigue ntongela ya kĩNzua. 
1TI.5.5	Ĩpa unuasio namukiĩlua wa tai-taaii namulekue wing'ene waĩĩkile uulaaĩĩli wakue mwa kĩNzua, nduyo ukĩkakagiaa muwĩneni numuulompi utiku nĩmunsĩ. 
1TI.5.6	uNuasio nasikukĩgilagiaa umuene wakiile kanga ĩmupanga nakĩĩ. 
1TI.5.7	Lagĩĩlia izi koona atũle agila kishokio.
1TI.5.8	Kanga wensi wasiite kuakendegeela ĩaakue, nangũlũ ĩaasio a munumba yaakue, waukaana uusuĩĩli, kangĩ ingĩ mubĩĩ kwikĩla uyo nasikusuĩlĩĩle. 
1TI.5.9	uMukiĩlua walekiandĩkua isiititũla ĩwaalĩĩ miaka makumi mutandatu, nduyo ĩalĩ musungu wa mugoosia umuĩ; 
1TI.5.10	namukuĩlue kuutendi nauuza, kanga alĩ mukendegeelaana, kanga alĩ musũgamĩĩlia agenda, kanga alukioogagiaa, ĩeelu ĩmũgulu, kanga aluukuaalĩĩlagiaa naakuagagiguaa, kanga aluutiatile utendi wensi nauuza. 
1TI.5.11	Uasiite kukuandĩka ĩakiĩlua a kĩsungu kuitĩ pĩna inshula zaao zaakĩlaa, akumusiita uKilisito naasiia kwitoolua; 
1TI.5.12	ndĩo iingĩla muulamulua kunsooko alĩ alekile usuĩĩli waao wa muandio. 
1TI.5.13	Palumuĩ niyaasio, akĩmanagiaa kwitũla akata, ĩipilima-pilima numba kunumba, kangĩ sika akata dũũ, ĩpa atĩĩte nĩmĩ ndĩĩpũ nukwipeleela impola za naĩngĩ, naitambula makaani nasika mijĩpĩĩle. 
1TI.5.14	Numuloe ĩakiĩlua a kĩsungu atoolue, alele aana, aziteme impola za munumba; aleke kumupeela umulugu ĩlioma lya kutukĩla. 
1TI.5.15	Kuitĩ naĩngĩ akondilie kwigomoka nukukumutiata ũShetani. 
1TI.5.16	Mugoosia katia musungu naasuĩlĩĩle, kanga ĩatĩĩte akiĩlua, aaalĩĩlie, ikyanisa lĩlekiligia umuligo koona lyĩaalĩĩlie ĩasio naakiĩlua a tai-taai.
1TI.5.17	ĩAnampala
1TI.5.18	Kuitĩ uwandĩĩkua uũgile; “Uleke kumĩtũnga ĩng'oombe umulomo pĩna ipuula upemba.” Nĩkangĩ, “uMunamulĩmo wijĩpĩĩle ĩkĩnamulĩmo kiakue.” 
1TI.5.19	Kanga umunampala wasokigue, ulekigomba isiititũla kumĩlomo ya akuĩli abĩlĩ katia atatu. 
1TI.5.20	Naakutimulaa, uasugule ntongela ya antu tũlũ, koona naĩngĩ oopoke. 
1TI.5.21	Ntongela ya kĩNzua, nukuntongela ya kĩKilisito Yesu, nukuntongela ya malaĩka naeelu, nukulagĩlĩĩlie ue, uzikendegeele inkaani zaasio, ulekilamula kuukaaũ, ulekitenda kalukaani kuuloeelania. 
