MAT.1.1	Yesu Kristo a ofi ɔhene Dawid ne Abraham abusua mu no mpanyimfo din na edidi so yi: 
HEB.1.7	Asɛm a Onyankopɔn ka faa abɔfo no ho ne sɛ, “Onyankopɔn yɛ nʼabɔfo mframa ne nʼasomfo gyadɛwee.” 
HEB.1.8	Na ɛfa Ɔba no ho no, Onyankopɔn kae sɛ, “O, Onyankopɔn, wʼahengua bɛtena hɔ daa nyinaa; wʼahenni yɛ atɛntrenee. 
HEB.1.9	Wodɔ trenee, na wukyi bɔne; ɛno nti na Onyankopɔn a ɔyɛ wo Nyankopɔn no yii wo hyɛɛ wo anuonyam a ɛso sen wʼahokafo no.”
HEB.1.10	Onyankopɔn san kae se, “Wo, Awurade, na mfitiase no wobɔɔ asase na wode wʼankasa wo nsa bɔɔ soro. 
HEB.1.11	Ne nyinaa betwam na wo de wobɛtena hɔ; ne nyinaa behi sɛ ntamagow. 
HEB.1.12	Wɔbɛbobɔw no sɛ atade, na wɔbɛsesa no sɛ ntade. Nanso wo de, daa wote sɛ nea wote; na wo mfe renhi da.”
HEB.1.13	Onyankopɔn anka ankyerɛ nʼabɔfo no se, “Montena me nifa so kosi sɛ mede mo atamfo bɛyɛ mo nan ase ntiaso.”
HEB.1.14	Sɛ saa a, na abɔfo no yɛ dɛn? Wɔn nyinaa yɛ ahonhom a wɔsom Onyankopɔn na ɔsoma wɔn ma wɔkɔboa wɔn a wɔrehwehwɛ nkwagye no.
HEB.2.1	Eyi nti na ɛsɛ sɛ yeso nokware a yɛate no mu dennen sɛnea ɛbɛyɛ a biribi rentu yɛn aso. 
HEB.2.2	Nsɛm a abɔfo no kae no yɛ nokware enti obiara a wanni so no nyaa asotwe a ɛfata no. 
HEB.2.3	Na sɛ yɛantie saa nkwagyesɛm yi a, ɛbɛyɛ dɛn na yɛatumi aguan? Awurade no ankasa na odii kan kaa saa nkwagye yi ho asɛm na wɔn a wotiee no no, ama yɛahu sɛ ɛyɛ nokware.
HEB.2.4	Saa bere koro no ara mu Onyankopɔn nam ne tumi adeyɛ ne nʼanwonwadwuma so dii ho adanse. Bio, ɔkyɛɛ Honhom Kronkron no sɛnea ɔpɛ.
HEB.2.5	Onyankopɔn amma abɔfo anni wiase a na wayɛ nʼadwene sɛ ɔrebɛbɔ no so; saa wiase a yɛka ho asɛm no. 
HEB.2.6	Na mmom, wɔaka no Kyerɛwsɛm no mu baabi se; “Onyankopɔn, onipa yɛ dɛn a ɛsɛ sɛ wudwen ne ho; onipa teta a ɛsɛ sɛ wohwɛ no? 
HEB.2.7	Wobɔɔ no ma ɔyɛɛ akumaa kakra sen abɔfo; wohyɛɛ no anuonyam, 
HEB.2.8	sɛ onni nneɛma nyinaa so.” Ɛka se Onyankopɔn bɔɔ onipa “Nneɛma nyinaa sodifo;” eyi da no adi sɛ biribiara ka ho. Nanso yenhu sɛ mprempren onipa di nneɛma nyinaa so. 
HEB.2.9	Nanso yehu Yesu! Mmere tiaa bi wɔbɔɔ no hyɛɛ abɔfo ase sɛnea ɛbɛyɛ a ɛnam Onyankopɔn ahummɔbɔ nti, ɛsɛ sɛ owu ma nnipa nyinaa no. Yehu no sɛ esiane owu a owui no nti, wɔahyɛ no anuonyam. 
HEB.2.10	Eye sɛ Onyankopɔn a ɔbɔ nneɛma nyinaa na ɔhwɛ so no bɛma Yesu nam nʼamanehunu no mu ayɛ pɛ sɛnea ɛbɛyɛ a ɔbɛma ne mma nyinaa akɔ saa anuonyam no mu bi. Efisɛ, Yesu no nko ara ne Onipa a obedi wɔn anim akɔ nkwagye no mu.
HEB.2.11	Ɔma nnipa yɛ kronn fi wɔn bɔne mu. Na ɔne wɔn a wayɛ wɔn kronn no nyinaa wɔ Agya baako. Ɛno nti na Yesu mfɛre sɛ ɔfrɛ wɔn anuanom no. 
HEB.2.12	Ɔka se, “Onyankopɔn, mɛka wo ho asɛm makyerɛ me nuanom; mɛkamfo wo wɔ wɔn a wɔahyia hɔ no nyinaa anim.” 
HEB.2.13	Ɔsan ka bio se, “Mede me ho bɛto Onyankopɔn so.” Na ɔno nso ka se, “Mma a Onyankopɔn de wɔn ama me, na me ne wɔn ahyia yi.”
HEB.2.14	Esiane sɛ mma no wɔ honam ne mogya nti, Yesu nso bae onipa tebea mu sɛnea ɛbɛyɛ a ɔnam ne wu no so bɛsɛe ɔbonsam a okita owu tumi no ahoɔden. 
HEB.2.15	Na ɔnam so agye wɔn a esiane sɛ wosuro owu nti, wɔn asetena mu nyinaa, wɔayɛ nkoa no.
HEB.2.16	Ɛyɛ nokware turodoo sɛ ɛnyɛ abɔfo na ɔboa wɔn. Na mmom, sɛnea Kyerɛwsɛm no ka no, “Ɔboa Abraham asefo.” 
HEB.2.17	Eyi kyerɛ sɛ, ɔkwan biara so no, ɛsɛ sɛ ɔyɛ sɛ ne nuanom sɛnea ɛbɛyɛ a ɔbɛyɛ wɔn nokwafo ne mmɔborɔhunufo ɔsɔfo Panyin wɔ ne Nyamesom mu na ɛnam so ma wɔde nnipa bɔne akyɛ wɔn. 
HEB.2.18	Enti afei obetumi aboa wɔn a wɔasɔ wɔn ho ahwɛ efisɛ, ɔno ankasa wɔsɔɔ no hwɛe ma ohuu amane.
HEB.3.1	Me nuanom wɔ Kristo mu a Onyankopɔn afrɛ mo, munnwen Yesu a Onyankopɔn somaa no ma ɔbɛyɛɛ ɔsɔfo Panyin wɔ gyidi a yɛka ho asɛm no ho.
HEB.3.2	Na odi Onyankopɔn a oyii no sɛ ɔnyɛ saa adwuma yi no nokware sɛnea Mose nso dii nokware wɔ Onyankopɔn fi no. 
HEB.3.3	Onipa a osi ofi nya anuonyam sen ofi no ankasa. 
HEB.3.4	Saa ara na ɛte; ɛsɛ sɛ Yesu nya anuonyam sen Mose. Ofi biara, obi na osii. Na Onyankopɔn nso na wabɔ nneɛma nyinaa.
HEB.3.5	Mose di Onyankopɔn nokware sɛ ɔsomfo wɔ ne fi na ɔkaa nsɛm a Onyankopɔn bɛka daakye no nyinaa. 
HEB.3.6	Nanso Kristo de, odi nokware sɛ Ɔba a ɔhwɛ Onyankopɔn fi so. Sɛ yɛma yɛn bo yɛ duru na yɛwɔ gyidi wɔ yɛn mu wɔ anidaso mu a, na yɛyɛ ne fi.
HEB.3.7	Enti Honhom Kronkron no ka se, “Sɛ nnɛ mote Onyankopɔn nne a, 
HEB.3.8	monnyɛ asoɔden te sɛ nea moyɛe bere a mosɔre tiaa Onyankopɔn no; sɛnea moyɛe da a na mowɔ sare so a mosɔɔ no hwɛe no. 
HEB.3.9	Ɛmaa mo mpanyimfo sɔɔ no hwɛe, sɛnea Onyankopɔn ka ni, ɛwom, wohuu nea meyɛɛ no mfe aduanan. 
HEB.3.10	Esiane saa nti, me bo fuw saa nnipa no kae se, ‘Wɔfom daa wɔ wɔn koma mu, na wontie me mmara nsɛm.’
HEB.3.11	“Me bo fuwii na mekaa ntam se, ‘Wɔremma me home mu da.’ ”
HEB.3.12	Me nnuanom, monhwɛ yiye na mo mu bi annya koma bɔne a ɔrennye Onyankopɔn nni na ɛbɛma watwe ne ho afi Onyankopɔn teasefo no ho. 
HEB.3.13	Na mmom, sɛnea ɛbɛyɛ a bɔne rennaadaa mo mu bi na wɔnyɛ asoɔden nti, da biara mommoaboa mo ho mo ho bere a asɛm “Ɛnnɛ” a ɛwɔ Kyerɛwsɛm mu no fa yɛn ho no. 
HEB.3.14	Na sɛ yeso gyidi a yɛwɔ no mu dennen sɛnea yɛde fi mfitiase no a, na yɛyɛ Kristo fafafo.
HEB.3.15	Kyerɛwsɛm no ka se, “Sɛ ɛnnɛ mote Onyankopɔn nne a, monnyɛ asoɔden te sɛ nea moayɛ bere a mosɔre tiaa Onyankopɔn no.”
HEB.3.16	Ɛhefo na wɔtee Onyankopɔn nne na wɔsɔre tiaa no no? Nnipa a Mose dii wɔn anim fi Misraim no nyinaa. 
HEB.3.17	Ɛhefo na Onyankopɔn bo fuw wɔn mferehyia aduanan no? Nnipa a wɔyɛɛ bɔne na wɔtetew hwe wuwui wɔ sare so no. 
HEB.3.18	Bere a Onyankopɔn kaa ntam, “Wɔremma me home mu da no,” na ɔreka akyerɛ ɛhefo? Na ɔreka akyerɛ wɔn a wɔayɛ no dɔm no. 
HEB.3.19	Afei yehu sɛ wɔantumi ankɔ mu, efisɛ, wɔannye anni.
HEB.4.1	Afei, esiane sɛ bɔhyɛ a ɛfa ne mu home da so wɔ hɔ nti, momma yɛnhwɛ yiye na mo mu bi antɔ sin wɔ mu. 
HEB.4.2	Efisɛ, wɔaka Asɛmpa no akyerɛ yɛn sɛnea wɔaka akyerɛ wɔn no. Nanso wɔammu asɛm a wɔka kyerɛɛ wɔn no, efisɛ, wɔn a wotiee no annye anni. 
HEB.4.3	Na yɛn a yɛagye adi no kɔ saa home no mu sɛnea Onyankopɔn aka se, “Enti mifi mʼabufuw mu ka ntam se, ‘Wɔrenkɔ me home mu da.’ ” Ɔkaa saa asɛm yi de, nanso bere a ɔbɔɔ wiase no, na owiee nʼadwuma.
HEB.4.4	Na Kyerɛwsɛm no mu baabi wɔka biribi fa da a ɛto so ason no ho se, “Da a ɛto so ason no, Onyankopɔn homee a wanyɛ adwuma biara.”
HEB.4.5	Wɔkaa saa asɛm koro yi ara bio se, “Wɔremma me home mu da.” 
HEB.4.6	Wɔn a wodii kan tee Asɛmpa no anhome wɔ Onyankopɔn mu, efisɛ, wɔannye anni. Afoforo bi nso wɔ hɔ a wɔma wɔn kwan na wɔhome wɔ Onyankopɔn nkyɛn.
HEB.4.7	Wogyina nokwasɛm a Onyankopɔn aka se wayi da bi ato hɔ a wɔfrɛ no “Ɛnnɛ,” no so. Mfe pii akyi no, ɔnam Dawid so kae wɔ Kyerɛwsɛm no mu se, “Ɛnnɛ, sɛ mote Onyankopɔn nne a, mummpirim mo koma.”
HEB.4.8	Sɛ Yosua dii nnipa no anim de wɔn kɔɔ Onyankopɔn home mu a, anka akyiri yi Onyankopɔn anka da foforo ho asɛm. 
HEB.4.9	Sɛnea ɛte yi, ɔhome da so wɔ hɔ ma Onyankopɔn nkurɔfo sɛnea Onyankopɔn homee da a ɛto so ason no. 
HEB.4.10	Obiara a ɔhome wɔ Onyankopɔn mu no home fi nʼankasa ne nnwuma mu sɛnea Onyankopɔn home fii ne nnwuma mu no. 
HEB.4.11	Enti momma yɛmmɔ yɛn ho mmɔden na yɛatumi akɔ Onyankopɔn home mu. Ɛnsɛ sɛ yɛn mu bi yɛ asoɔden sɛnea wɔyɛɛ asoɔden a enti wɔankɔ mu no.
HEB.4.12	Onyankopɔn asɛm te ase nnam so. Ɛyɛ nnam sen sekan anofanu. Etwa kosi baabi a honhom ne ɔkra hyia. Etwa kɔ baabi a apɔw ne dompe kyim hyia. Ebu nea nnipa adwene ne wɔn koma pɛ ho atɛn. 
HEB.4.13	Biribiara nni hɔ a wɔde sie Onyankopɔn ma ɛyɛ yie. Abɔde mu biribiara da nʼanim na ɔno na ɛsɛ sɛ yebu yɛn ho akontaa kyerɛ no.
HEB.4.14	Ɛno nti, momma yenso gyidi a yɛka ho asɛm no mu dennen. Efisɛ yɛwɔ Ɔsɔfopanyin kɛse Onyankopɔn Ba Yesu a wakɔ Onyankopɔn anim. 
HEB.4.15	Yɛn Sɔfo panyin no nyɛ obi a ontumi nte nka mma yɛn wɔ yɛn mmerɛwyɛ ho. Yɛwɔ obi a wɔasɔ no ahwɛ akwan horow nyinaa so sɛ yɛn ara nanso wanyɛ bɔne. 
HEB.4.16	Momma yensi yɛn bo na yɛmmra Onyankopɔn ahengua a adom wɔ mu no ho, na ɛno na ɛbɛma yɛanya ahummɔbɔ ne adom a ɛbɛboa yɛn bere a yɛn ho akyere yɛn no mu.
HEB.5.1	Woyi ɔsɔfo panyin biara fi nnipa bi mu na wasi wɔn ananmu akyɛ ade, abɔ bɔne ho afɔre de asom Onyankopɔn. 
HEB.5.2	Esiane sɛ nʼankasa yɛ mmerɛw akwan horow pii so no nti, otumi tɔ ne bo ase ma wɔn a wonnim na wɔyɛ mfomso no. 
HEB.5.3	Na esiane sɛ ɔno ankasa yɛ mmerɛw nti, sɛ ɔrebɔ bɔne ho afɔre a, ɛnsɛ sɛ ɔbɔ ma nnipa a wɔayɛ bɔne nko na mmom ɔno ankasa ne bɔne nti.
HEB.5.4	Obiara ntumi nyi ne ho mfa nhyɛ ne ho anuonyam sɛ ɔyɛ ɔsɔfo panyin. Onyankopɔn frɛ nko na onipa nam so bɛyɛ ɔsɔfo panyin sɛnea wɔfrɛɛ Aaron no.
HEB.5.5	Saa ara nso na Kristo annye anto ne ho so sɛ ɔyɛ ɔsɔfo panyin amfa anhyɛ ne ho anuonyam. Na mmom, Onyankopɔn ka kyerɛɛ no se, “Woyɛ me Ba: ɛnnɛ, mayɛ wʼagya.” 
HEB.5.6	Ɔsan kaa wɔ baabi foforo se, “Wobɛyɛ ɔsɔfo akosi daa sɛnea Melkisedek asɔfo kwan nhyehyɛe te no.”
HEB.5.7	Yesu baa ɔhonam mu wɔ asase so no, ɔbɔɔ mpae nam nkotosrɛ so de nʼabisade too Onyankopɔn a obetumi agye no afi owu mu no anim. Esiane sɛ odwo na ɔde ne ho nyinaa som no no nti, Onyankopɔn tiee no.
HEB.5.8	Ɛwom sɛ na ɔyɛ Onyankopɔn Ba de, nanso ɔnam nʼamanehunu so suaa ahobrɛase. 
HEB.5.9	Na owiee pɛyɛ no, wɔn a wotie no no nam ne so nya nkwagye a enni awiei, 
HEB.5.10	na Onyankopɔn ada no adi sɛ ɔyɛ ɔsɔfo panyin sɛnea Melkisedek asɔfo kwan nhyehyɛe te no.
HEB.5.11	Yɛwɔ eyi ho nsɛm pii ka nanso emu kyerɛkyerɛ yɛ den, efisɛ, mo ntease yɛ den.
HEB.5.12	Moayɛ nkyerɛkyerɛ adwuma no akyɛ nanso ɛsɛ sɛ munya obi ma ɔkyerɛkyerɛ mo Onyankopɔn ho asɛm fi ne mfitiase. Anka ɛsɛ sɛ saa bere yi mudi aduan a ɛyɛ den nanso nufusu na eye ma mo. 
HEB.5.13	Obiara a nufusu ye ma no da so yɛ abofra a onnim nea eye ne nea enye. 
HEB.5.14	Aduan a ɛyɛ den nso ye ma mpanyimfo a wɔatetew wɔn ma wɔnam nea ɛka wɔn ano no so hu papa ne bɔne ntam nsonoe.
HEB.6.1	Momma yennyae Kristo ho nsɛm mfitase no, na yensua ne ho nsɛm a ɛkɔ anim no. Mommma yɛnntow ahonu a efi nneyɛe a ɛde kɔ owu mu ne Onyankopɔn mu gyidi no ho, 
HEB.6.2	ne asubɔ ne nsa a wɔde gu nnipa so ne awufo sɔre ne daa atemmu no fapem no nngu.
HEB.6.3	Momma yɛnkɔ anim. Na sɛ Onyankopɔn ma kwan a, saa ara na yɛbɛyɛ.
HEB.6.4	Ɛbɛyɛ dɛn na wɔbɛsan de wɔn a wɔahwe ase aba ama wɔanu wɔn ho bio? Na anka wɔwɔ Onyankopɔn hann mu. Wɔkaa ɔsoro akyɛde hwɛe na wonyaa wɔn kyɛfa wɔ Honhom Kronkron no mu. 
HEB.6.5	Wofi osuahu mu ahu sɛ Onyankopɔn asɛm ye, na wɔahu mfe a ɛreba no mu tumi. 
HEB.6.6	Ɛno akyi, wɔhwee ase. Enti ɛyɛ den sɛ wɔde wɔn bɛsan aba bio sɛ wommenu wɔn ho, efisɛ, wɔresan abɔ Onyankopɔn Ba no asɛnnua mu nam so agu nʼanim ase akyerɛ.
HEB.6.7	Onyankopɔn hyira asase a ɛnom nsu a ɛtɔ gu so na ɛma ɛso afifide yɛ yie ma wɔn a wɔn nti woduae no. 
HEB.6.8	Na sɛ nsɔe ne wura hunu fifi so a, enye mma hwee. Onyankopɔn bɛdome no na wɔde ogya asɛe no.
HEB.6.9	Nanso, me nnamfonom, nsɛm a yɛaka yi nyinaa akyi no, yenim pefee sɛ ade pa bi a nkwagye bata ho befi mo mu aba. 
HEB.6.10	Onyankopɔn nyɛ nea ɔnteɛ. Ne werɛ remfi adwuma a woyɛe anaa ɔdɔ a wodaa no adi maa no ne mmoa a wode boaa wʼafɛfo Kristofo na wugu so de boa wɔn no. 
HEB.6.11	Nea yɛrehwehwɛ ne sɛ mo mu biara bɛtoa ne mmɔdemmɔ so de akosi awiei sɛnea ɛbɛyɛ a mo nsa bɛka ade a mo ani da so no. 
HEB.6.12	Yɛmpɛ sɛ moyɛ anihaw. Na mmom, yɛpɛ sɛ yehu mo sɛ gyidifo a mowɔ boasetɔ na mo nsa aka bɔ a Onyankopɔn ahyɛ mo no.
HEB.6.13	Bere a Onyankopɔn hyɛɛ Abraham bɔ no, ɔkaa nea wahyɛ ho bɔ no ho ntam. Esiane sɛ na obiara nni hɔ a ɔkorɔn sen no no nti, ɔde ɔno ara ne din na ɛkaa saa ntam no. 
HEB.6.14	Ɔkaa ntam no se, “Mehyɛ wo bɔ sɛ, mehyira wo na mama wʼase adɔ.” 
HEB.6.15	Na Abraham wɔ boasetɔ nti, ɛbɔ a Onyankopɔn hyɛɛ no no, ne nsa kae.
HEB.6.16	Sɛ onipa ka ntam a, ɔde obi a ɔkorɔn sen no din na ɛka saa ntam no de siesie nnipa ntam. 
HEB.6.17	Onyankopɔn pɛe sɛ ɔda no adi pefee kyerɛ wɔn a na ɛsɛ wɔn sɛ wɔn nsa ka ne bɔhyɛ no sɛ ɔrensesa nʼatirimsɛm nti, ɔkaa ntam de hyɛɛ bɔhyɛ no den.
HEB.6.18	Saa nneɛma abien yi na ɛrentumi nsesa a Onyankopɔn ntumi nni ho atoro. Enti yɛn a yɛnam ne so anya nkwa no, wɔhyɛ yɛn nkuran sɛ yenkita yɛn anidaso no mu dennen na yɛatumi adu saa anidaso no ho.
HEB.6.19	Yɛwɔ saa anidaso yi sɛ sɛkyɛ wɔ yɛn koma mu. Etim hɔ na ɛhyɛn mu de kosi ntwamtam no mu. 
HEB.6.20	Yesu asi yɛn ananmu adi yɛn kan kɔ hɔ. Wayɛ ɔsɔfo panyin afebɔɔ sɛnea Melkisedek asɔfo kwan nhyehyɛe te no.
HEB.7.1	Na saa Melkisedek yi yɛ Salemhene, ɛna ɔsan yɛ Ɔsorosoro Nyankopɔnn sɔfo. Bere a Abraham fi ɔko a okum ahemfo ano reba no, Melkisedek hyiaa no hyiraa no. 
HEB.7.2	Abraham maa no nʼasade no mu nkyɛm du mu baako. Melkisedek din no nkyerɛase a edi kan no ne Treneehene. Esiane sɛ na ɔyɛ Salemhene no nti, wɔkyerɛɛ ne din no ase se Asomdwoehene. 
HEB.7.3	Obi nnim Melkisedek nʼagya, ne na, ne ne mpanyimfo ho asɛm. Saa ara nso na obi nnim nʼawo ne ne wu nso ho asɛm. Ɔsɛ Onyankopɔn Ba, na ɔda so yɛ ɔsɔfo daadaa.
HEB.7.4	Eyi di ho adanse sɛ na ɔyɛ onipa kɛse a agya Abraham po tumi ma no nʼasade mu nkyɛm du mu baako. 
HEB.7.5	Nanso Lewi asefo a wɔyɛ asɔfo no Mmara na ɛhyɛ wɔn sɛ wonnye nkyɛm du mu baako mfi wɔn ara wɔn nkurɔfo Israelfo nkyɛn a wɔn nso yɛ Abraham asefo no. 
HEB.7.6	Melkisedek nyɛ Lewi aseni nanso ogyee nkyɛm du mu baako fii Abraham nkyɛn hyiraa no ma onyaa Onyankopɔn bɔhyɛ no. 
HEB.7.7	Akyinnye biara nni ho sɛ nea ɔma nhyira so sen nea ogye nhyira.
HEB.7.8	Asɔfo mu no, nnipa a wowu no na wogye nkyɛm du no, nanso Melkisedek fam de, nea ɔte ase no na ogyee nkyɛm du no sɛnea Kyerɛwsɛm no ka no.
HEB.7.9	Enti nokwarem, Abraham tuaa nkyɛm du no Lewi a nʼasefo gye nkyɛm du no nso nam Abraham so tuae. 
HEB.7.10	Na wɔnwoo Lewi, nanso esiane sɛ na ɔhyɛ ne nena Abraham mu saa bere no a Melkisedek hyiaa no no nti na otuae. 
HEB.7.11	Ɛnam Lewi asɔfodi so nti na wɔde Mmara no maa Israelfo. Ɛno nti sɛ Lewifo asɔfo no yɛɛ wɔn adwuma yiye a, anka ɛho nhia sɛ wɔbɛfa ɔsɔfo foforo bi afi Melkisedek abusua mu a omfi Aaron abusua mu.
HEB.7.12	Sɛ ɛba sɛ asɔfodi no sesa a, ɛma mmara no nso sesa.
HEB.7.13	Nanso yɛn Awurade a wɔka saa asɛm yi nyinaa fa ne ho no fi abuasua foforo mu. Ne busuani biara nnii ɔsɔfo wɔ afɔremuka so da. 
HEB.7.14	Ɛyɛ sɛnnahɔ sɛ wɔwoo no too Yuda abusua mu, na Mose kaa asɔfo ho asɛm no nso, wammɔ nʼabusua din da.
HEB.7.15	Asɛm no da ne ho adi pefee, efisɛ, ɔsɔfo foforo bi aba a ɔte sɛ Melkisedek. 
HEB.7.16	Ɔno de, ɛnnam onipa mmara so na wɔhyɛɛ no ɔsɔfo. 
HEB.7.17	Kyerɛwsɛm no ka se, “Wobɛyɛ ɔsɔfo daa nyinaa sɛnea Melkisedek asɔfo kwan nhyehyɛe te no.”
HEB.7.18	Wɔatow mmara dedaw no akyene, efisɛ, na emu yɛ mmerɛw na ɛho nni mfaso nso. 
HEB.7.19	Na Mose Mmara no nso antumi amma biribiara anyɛ pɛ. Wɔde anidaso pa bi a yɛnam so bɛn Onyankopɔn aba.
HEB.7.20	Ɛno akyi, Onyankopɔn ntam abɛka ho. Bere a wɔhyɛɛ afoforo bi asɔfo no na ntam a ɛte saa nni hɔ. 
HEB.7.21	Yesu nam ntam so bɛyɛɛ ɔsɔfo bere a Onyankopɔn ka kyerɛɛ no se, “Awurade aka ntam; na ɔrensesa nʼadwene: ‘Wobɛyɛ ɔsɔfo daa nyinaa.’ ” 
HEB.7.22	Saa nsonoe yi na ɛma Yesu gyina pintinn ma apam no.
HEB.7.23	Nsonoe foforo bi nso wɔ hɔ. Na saa asɔfo no dɔɔso, efisɛ, na wowuwu a wontumi ntoa wɔn adwuma so.
HEB.7.24	Nanso Yesu de, ɔwɔ hɔ daa na nʼasɔfodwuma no nso, obi ntoa so mma no. 
HEB.7.25	Enti otumi gye wɔn a wɔnam ne so ba Onyankopɔn nkyɛn no ɛnnɛ ne daa, efisɛ, ɔte hɔ daa srɛ Onyankopɔn ma wɔn. 
HEB.7.26	Yesu ne ɔsɔfo panyin a ɔboa yɛn wɔ yɛn ahiasɛm mu. Ɔyɛ kronkron. Onni mfomso biara wɔ ne mu na ɔnyɛ bɔne. Wɔatew no afi nnebɔneyɛfo ho na wɔapagyaw no aboro ɔsoro so. 
HEB.7.27	Ɔnte sɛ asɔfo mpanyin a aka no a, daa afɔrebɔ a ɔbɔ no kan no ɔbɔ wɔ ne bɔne a wayɛ ho ansa na afei wabɔ afoforo de no. Ɔbɔɔ afɔre baako pɛ a ɔde ne ho na ɛbɔe. 
HEB.7.28	Mose Mmara no yi nnipa a wɔmfata ma wɔyɛ asɔfo mpanyin, nanso Onyankopɔn bɔ a ɔde ntam kaa ho no a ɛbae Mmara no akyi no, yii Ɔba no a ɔyɛ pɛ daa nyinaa no.
HEB.8.1	Asɛm a yegyina so kasa no ne sɛ: Yɛwɔ ɔsɔfo panyin a ɔte Otumfo a ɔwɔ soro no ahengua no nifa so. 
HEB.8.2	Ɔsom sɛ ɔsɔfo panyin wɔ Kronkron mu Kronkron hɔ a ɛkyerɛ ntamadan a Awurade no ankasa sii a ɛnyɛ onipa na osii.
HEB.8.3	Woyi ɔsɔfo panyin biara sɛ ɔmfa akyerɛde ne mmoa mmɔ Onyankopɔn afɔre. Ɛno nti ɛsɛ sɛ yɛn sɔfo panyin nya biribi a ɔde bɛbɔ afɔre. 
HEB.8.4	Sɛ ɔwɔ asase so a, anka ɔrenyɛ ɔsɔfo koraa efisɛ, asɔfo wɔ hɔ a wɔde akyɛde ma sɛnea Yudafo mmara kyerɛ no. 
HEB.8.5	Dwuma a wodi sɛ asɔfo no yɛ ɔsoro nsusuwso bi kwa. Ɛte sɛ Mose bere so de no ara pɛ. Bere a ɔpɛe sɛ osi ntamadan no, Onyankopɔn ka kyerɛɛ no se, “Si no sɛnea wɔkyerɛɛ wo bepɔw no so sɛ yɛ no no pɛpɛɛpɛ.” 
HEB.8.6	Nanso wɔama Yesu asɔfodwuma a ɛso kyɛn wɔn de no te sɛ apam a ne nti, Onyankopɔn ne nnipa pamee, efisɛ, wofi bɔhyɛ pa mu na ɛpam saa apam no.
HEB.8.7	Sɛ na apam a edi kan no ye a, anka ɛho nhia sɛ wɔbɛyɛ apam a ɛto so abien no. 
HEB.8.8	Nanso Onyankopɔn nyaa ne nkurɔfo ho mfaso na ɔkae se, “Nna bi reba, Awurade na ose, a me ne Israelfo ne Yuda abusuakuw bɛhyehyɛ apam foforo. 
HEB.8.9	Ɛrenyɛ sɛ apam a me ne wɔn mpanyimfo hyehyɛe wɔ da a misoo wɔn nsa dii wɔn anim fii Misraim no. Wɔanni apam a me ne wɔn hyehyɛe no ho nokware, ɛno nti mantew mʼani anhwɛ wɔn, Awurade na ose. 
HEB.8.10	Afei, eyi ne apam a me ne Israelfo bɛhyehyɛ bere a ɛreba no mu, Awurade na ose: Mede me mmara bɛhyɛ wɔn adwenem na makyerɛw agu wɔn komam. Mɛyɛ wɔn Nyankopɔn na wɔayɛ me nkurɔfo. 
HEB.8.11	Wɔn mu biara renka nkyerɛ ne yɔnko anaa ne kuromni se, ‘Hu Awurade!’ Efisɛ, wɔn nyinaa nim me fi akumaa so kosi ɔkɛse so. 
HEB.8.12	Mehu wɔn mmɔbɔ wɔn bɔne ho; na merenkae wɔn bɔne bio.”
HEB.8.13	Frɛ a wɔfrɛ saa apam yi “Foforo” no, ama nea wɔyɛe kan no ayɛ dedaw; na biribiara a enyin yɛ dedaw no nkyɛ yera.
HEB.9.1	Na apam a edi kan no wɔ mmara a wɔnam so som. Saa ara nso na na wɔwɔ beae a nnipa asiesie a wɔsom. 
HEB.9.2	Wosii ntamadan a na wɔfrɛ saa ntamadan no akyiri Kronkonbea. Na Kanea dua, ɔpon ne abodoo a wɔatew ho a wɔde ma Onyankopɔn wɔ hɔ. 
HEB.9.3	Ntwamu a ɛto so abien no akyi na ntamadan bi wɔ a wɔfrɛ hɔ Kronkron mu Kronkron 
HEB.9.4	a sika aduhuamhyew afɔremuka ne apam adaka a wɔde sika adura ho nyinaa wɔ. Saa adaka no mu na na sika pɔre a mana ne Aaron poma a ɛfefɛwee ne apam abopon no wɔ. 
HEB.9.5	Adaka no so hɔ nso na Onuonyamfo Kerubim a watrɛw ne ntaban mu akata baabi a na wɔde bɔne kyɛ no si. Nanso yɛrentumi nka nneɛma no ho asɛm nkɔ akyiri mprempren.
HEB.9.6	Saa na wɔahyehyɛ nneɛma no. Da biara na asɔfo no kɔ ntamadan no akyi kɔyɛ wɔn adwuma; 
HEB.9.7	nanso na ɔsofɔ panyin no nko ara na ɔwɔ ho kwan sɛ ɔkɔ ntamadan no mu pɛnkoro pɛ afe biara. Ɔde mogya a ɔde bɔ Onyankopɔn afɔre ma ne ho ne bɔne a nnipa ayɛ a na wonnim sɛ wɔreyɛ bɔne no ka ne ho kɔ.
HEB.9.8	Honhom Kronkron no nam saa kwan yi so kyerɛ yɛn sɛ, ɔkwan dedaw no, na nnipa a wonni mu ntumi nkɔ Kronkron mu Kronkron hɔ bere a ɔdan a ɛwɔ akyiri no ne nneɛma a egyina hɔ ma no no nyinaa da so wɔ hɔ. 
HEB.9.9	Ɛyɛ mfatoho ma nnɛ bere yi. Ɛkyerɛ sɛ akyɛde ne mmoa a na wɔde bɔ afɔre ma Onyankopɔn no ntumi mma wɔn a wɔsom no koma mu nyɛ kronn. 
