MAT.1.1	Iya na itu kapangkatan si Isa Almasi, panubu' si Daud iya panubu' si Ibrahim.
REV.12.11	Taraōg na iya uk dawuranakan tabi mean si Isa sabab min laha' si Isa, iya iyōnan Bili-bili, maka min sabab pandu' bannal iya pamatanyag sigam. Lagi' piglilla' uk sigam ginhawa-baran sigam sampay ni kamatay. 
REV.12.12	Hangkan kaam maglahat iyu ma diyōm sulga', subay kaam magkōg-koyag. Suga' kaam maglahat ma dunya iyu ma diyata' de maka ma tahik, kaase'-ase' kaam sabab ian nakura' sayitan paruwai ni kaam. Landu' tōōd pasu' atay na, sabab katauhan na in gantaan na song na taabut.”
REV.12.13	Sakali itu, tasayu peen uk naga in iya bayi hiyantakan ni dunya, magtuwi iyapas uk na danda iya bayi mag-anakan onde' lalla ian. 
REV.12.14	Suga' danda itu bayi kabuwanan duwa pikpik belle' mehe bo' iya makaleng tudju ni lahat niya' 'nsa' aa na, ni bayi tiyagamahan ma iya. Bo' may'an iya ipat ma diyōm tallun tahun maka tōnga' bo' supaya 'nsa' taabut uk naga ian. 
REV.12.15	Jari niya' bohe' landōs bayi sipputan uk naga ian min diyōm bo' na bo' supaya diyunukan danda ian sampay palaran. 
REV.12.16	Lipara tiyabang iya uk tana'. Hi' palowang tana' bo' bohe' bayi min bo' naga ian hal pahus ni diyōm lowang. 
REV.12.17	Na, minnihi' 'nsa' takowe'-kowe' pasu' atay naga ian tudju ni danda, iya hangkan iya nguntara ma manga anak-mpu na kasehean, sasuku me' ma panohoan Tuhan sampay mōgbōgan pandu' bannal bayi min si Isa. 
REV.12.18	Manjari naga ian hi' bayi nangge ma bihing parian.
REV.13.1	Manjari itu niya' tanda' ku sali' sattuwa tawun luwas bayi min deyawut. Sattuwa itu pitu' kok na maka sangpu' tanduk na, bo' tanduk na hi' bayi siyangōnan korona pakaniya-pakaniya. Kok na kapitu' ian bayi siyulatan ōn landu' laat, ōn pangkal ni Tuhan. 
REV.13.2	Iya sattuwa tanda' ku itu sali' dagbōs halimaw battikan, nayi' na sali' nayi' sattuwa baruwang, maka bo' na sali' bo' halimaw. Sattuwa itu bayi kawakilan uk naga, kabuwanan na barakat na mehe maka kapagsultan na maka kapatut na kōsōg. 
REV.13.3	Dakayo' kok sattuwa itu bayi palian lōm sali' makatubag suga' kaulian bayi pali' na makapatay hi', hangkan haylan manga aa kamemon ma dunya. Jari me' sigam ma sattuwa ian. 
REV.13.4	Bayi pasumba aa kamemon ma naga ian sabab in iya bayi muwan kapatut na ma sattuwa. Siyumba isab sattuwa uk sigam maka uk sigam halling, uk na, “Sattuwa itu 'nsa' niya' sali' na! 'Nsa' niya' makaatuhan iya!”
REV.13.5	Manjari in sattuwa itu pirul magbaya' ma dunya ma diyōm 'mpatpu' ka duwam bulan. Pisaran isab iya magpalangkaw sampay halling pangkal ni Tuhan. 
REV.13.6	Pibanga' uk na bo' na nuknaan Tuhan maka ōn na maka kamahian na, maka sasuku maglahat ma diyōm sulga'. 
REV.13.7	Pisaran isab sattuwa itu mono' ma manga aa suku' Tuhan sampay sigam taraōg na na. Biyuwanan iya kapatut magbaya' ma panubu' kamemon, ma pihak kamemon, ma bahasa kamemon, sampay ma bangsa kamemon. 
REV.13.8	Jari siyumba du sattuwa itu uk aa kamemon maglahat ma diyōm dunya, sasuku 'nsa' bayi tasulat ōn sigam ma diyōm kitab Bili-bili bayi piyatay. Manga aa taga kallum kakkal ni kasaumulan bayi tasulat asal ōn sigam ma diyōm kitab hi', dahu le' min waktu pamapanjari dunya.
REV.13.9	Na, sasuku kaam taga tainga, asipun bi itu: 
REV.13.10	Bang aa pikaralan siyaggaw, tantu du iya siyaggaw. Bang karal na patay lagut, tantu du iya matay uk lagut. Hangkan kaam manga aa suku' Tuhan, subay kaam sandal maka subay pahōgōt bi iman bi.
REV.13.11	Manjari niya' na isab tanda' ku sattuwa dakayo' luwas bayi min diyōm tana'. Niya' duwa tanduk na diki' sali' dagbōs tanduk bili-bili suga' suwara na ian sali' halling naga. 
REV.13.12	Sattuwa damuwi itu bayi kawakilan uk sattuwa dahu iya bayi kaulian pali' lōm na makatubag hi', hangkan pigguna uk sattuwa damuwi kapatut mehe bayi min sattuwa dahu. Liyōgōs aa kamemon ma dunya uk sattuwa damuwi itu, siyoho' magsumba ma sattuwa dahu ian. 
REV.13.13	Tahinang isab uk sattuwa damuwi itu hinang makainu-inuhan aa. Bayi soho' na api pareyo' min diyata' langit tudju ni dunya ma pangandaan aa kamemon. 
REV.13.14	Kaakkalan uk na manga aa kamemon ma diyōm dunya. Tabo-bo sigam sabab hinang na makainu-inu hi' iya tahinang na luwas bayi min sattuwa dahu iya giyantian uk na. Jari in sattuwa damuwi itu bayi magpanohoan ma aa kamemon, siyoho' sigam ngahinang barhala' pangahulmat sattuwa iya bayi liyagut maka kalis suga' masi 'llum. 
REV.13.15	Kabuwanan kawasa isab sattuwa damuwi itu muwan napas ma barhala' iya hinang sali' dagbōs sattuwa dahu. Manjari 'llum barhala' itu, hangkan iya makabissala, noho' iya subay piyatay sasuku 'nsa' numba iya. 
REV.13.16	Bayi pissōkō' uk na aa kamemon subay siyapan ma tangan sigam ni katau atawa ma tuktuk sigam. Pigsali'-sali' aa taga ōn maka 'nsa', miskin maka dayahan, ata maka 'nsa' ata. 
REV.13.17	Sayi-sayi 'nsa' niya' sap 'nsa' kajari malli atawa ngandagang. Sap ian iya na ōn sattuwa atawa umbul ganti' ōn na.
REV.13.18	Hunit umbul itu hiyati. Suga' sayi-sayi taha' nahu na makatali' du iya bang ayi hati na umbul sattuwa itu, sabab ōn aa ko' itu. Umbul na itu 'nnōm hatus ka 'nnōmpu' ka 'nnōm.
REV.14.1	Puwas hi' nganda' aku pabayik bo' tanda' ku iya iyōnan Bili-bili ian nangge ma bud Siyun. Me' isab ma iya baanan aa, dahatus ka 'mpatpu' ka 'mpat ngibu heka na, iya bayi siyulatan tuktuk sigam maka ōn Bili-bili sampay ōn 'Mma' na Tuhan. 
REV.14.2	Take ku isab halling min diyōm sulga' landu' tanōg sali' lagublub bohe' tumpa min diyata', sali' kōsōg laggōn isab. Bo' luuy isab halling bayi take ku ian, sali' tunis min aa magbibiyula. 
REV.14.3	Na, iya aa dahatus ka 'mpatpu' ka 'mpat ngibu ian may'an magpanangge paalōp ma tingkoan Tuhan maka ma 'mpat malaikat maka ma manga kamaasan. Magkalangan sigam kalangan bahu, kalangan 'nsa' taanad uk saddi min sigam karahatus ka 'mpatpu' ka 'mpat ngibu, iya bayi likkat min pangantanan nakura' sayitan waktu le' sigam bayi ma dunya. 
REV.14.4	'Nsa' du niya' tamak ma manga aa itu. Sali' sigam sapantun subul sutsi tōōd pangatayan sigam, aa 'nsa' le' bayi makalabay danda. Paumpig sadja sigam ma iyōnan Bili-bili paingga-paingga palangnganan na. Bayi sigam likkat uk Tuhan min pangantanan nakura' sayitan waktu sigam le' ma dunya, bo' sigam iya makarahu pisuku' ma Tuhan maka ma Bili-bili. 
REV.14.5	'Nsa' du niya' kaputingan sigam, 'nsa' niya' tamak-tamak sigam.
REV.14.6	Puwas hi' kanda' aku malaikat dakayo' paleng ma diyata' langit, maka uk na mo lapal hap iya 'nsa' magkapinda ni kasaumulan. Pisaplag uk na ni aa kamemon ma dunya, ni bangsa kamemon, ni panubu' kamemon, ni bahasa kamemon sampay ni pihak kamemon. 
REV.14.7	Sakali magsuwara malaikat hi'. Tanōg suwara na, uk na hi', “Subay kaam tiyāw ni Tuhan, pamehehun bi kawasa na, sabab taabut na waktu pangahukum na ma manusiya' kamemon. Pudjihun bi na iya, iya bayi magpapanjari langit maka dunya, sallang maka tuburan bohe' kamemon.”
REV.14.8	Na, niya' paturul malaikat saddi magsuwara isab. Uk na, “Magkaat na, asal magkaat na tōōd daira Babilon, iya daira asal bantug. Sapantun iya danda laat bayi mo-mo bangsa aa kamemon mag-inuman inuman na makalango, hati na tabo sigam maghinang kabaisan.”
REV.14.9	Puwas hi' paturul isab malaikat saddi, katallu na na. Tanōg isab uk na magsuwara, uk na, “Pigmulkaan du sayi-sayi numba ni sattuwa tawun atawa ni barhala' iya bayi hinangan dagbōs na, maka sasuku bayi makatayima' isab sap sattuwa ma tuktuk atawa ma tangan sigam. 
REV.14.10	Pinanaman du sigam mulka' Tuhan, iya sali' hantang inuman makalango 'nsa' liyamuran ayi-ayi, tiyumpahan uk Tuhan ni diyōm sawan iyōnan Sawan Mulka' Tuhan. Aho', sayi-sayi iya mudji sattuwa ian pipaddian tōōd ma diyōm api maka mayilang suleyab, ma panganda' manga malaikat sutsi maka Bili-bili. 
REV.14.11	'Nsa' niya' hōgnaan humbu min api paminsanaan manga aa ian sampay ni kasaumulan. 'Llaw-sangōm 'nsa' niya' halihan pagsandal sigam, iya bayi numba ni sattuwa maka ni barhala' hinangan dagbōs na, sampay siyapan maka ōn sattuwa isab.”
REV.14.12	Hangkan ko' kaam suku' Tuhan iyu, iya kaam me'-me' ma panohoan Tuhan sampay mōgbōgan si Isa, pahōgōtun bi iman bi.
REV.14.13	Sakali makake aku suwara min diyōm sulga', uk na, “Sulatun na itu: puwas min 'llaw itu mehe du kakōgan na sasuku matay ma diyōman si Panghu' Isa.”
REV.14.13	Magtuwi nambag Nyawa Tuhan, uk na, “Aho', tantu du sigam makakōg-kōg. Pahali du sigam min bayi pagsangsaan sigam sabab tungbasan du sigam iya katudjuhan bayi kahinangan sigam hap.”
REV.14.14	Manjari nganda' aku pabayik bo' niya' tanda' ku gabun pote', maka niya' ningko' may'an sali' dagbōs manusiya'. Niya' korona bulawan panurung kok na maka niya' sasanggōt tōm ma tangan na. 
REV.14.15	Sakali niya' le' malaikat saddi bayi paluwas min diyōm langgal ian, bo' ngalingan iya pakōsōg ma iya ningko' ma diyata' gabun hi'. Uk na, “Gunahun na sasanggōt nu iyu. Mag-ani na kau sabab taabut na musim kapag-ani ma dunya. In dunya ian sali' dalil huma kalloun na buwa' na.” 
REV.14.16	Manjari iya malaikat bayi ningko' ma diyata' gabun ian hi' ngalabaran sasanggōt na ni dunya bo' pig-ani uk na kamemon.
REV.14.17	Sakali niya' isab tanda' ku malaikat saddi luwas bayi min langgal ma diyōm sulga', mo isab sasanggōt tōm.
REV.14.18	Maka niya' le' isab malaikat saddi, iya tunggu' api, paluwas min tōngōd lamisahan pagtugtugan kamanyan ni Tuhan. Ngalingan malaikat itu pakōsōg ni malaikat mo sasanggōt tōm hi', uk na, “Gunahun na sasanggōt nu iyu pananggōt buwa' anggul ma dunya sabab tahak na. Sanggōtun na tundunan na min bahan na.” 
REV.14.19	Magtuwi malaikat taga sasanggōt hi' bayi ngalabaran sasanggōt na ni dunya. Pigtipun uk na buwa' anggul ian bo' iyampa larukan na ni diyōm paggipitan mehe. Hati na itu bang diyalil, iya na manusiya' pigtipun ma dunya pagmulkaan Tuhan. 
REV.14.20	Jari in baanan anggul ian bayi gipit ma paggipitan ma luwasan daira. Paggipit peen laha' iya paluwas, ngandunuk ni katahan manga tallu hatus batu. Bo' lōm laha' na ngkōn langkaw kakkang kura'.
REV.15.1	Manjari itu niya' na isab tanda' ku paltandaan dakayo' ma diyata' langit, landu' makainu-inu, makataw-taw. Iya tanda' ku ian pitu' malaikat mo pitu' ginis bala'. Iya na hi' katapusan bala' iya pamatōbtōb mulka' Tuhan.
REV.15.2	Sakali niya' tanda' ku sali' sallang may'an sawa tōōd, sali' sawa samin, bo' magsinglab sali' api. Tanda' ku isab manga aa bayi karaōg ma sattuwa tawun hi', sampay ma barhala' iya hinangan dagbōs na. 'Nsa' isab sigam bayi kasapan maka umbul iya tumbuk ōn sattuwa hi'. Jari ian manga aa bayi ngandaōg magpanangge ma bihing sallang, iya sali' sawa samin. Mo sigam biyula bayi pamuwan sigam uk Tuhan pakaniya-pakaniya. 
REV.15.3	Magkalangan sigam kalangan bayi min si Musa iya sosohoan Tuhan, maka kalangan min Bili-bili. Salaitu iya lapal kalangan sigam:
REV.15.3	“O Panghu', Tuhan Sangat Kawasa,
REV.15.3	Kawasahan kahinangan nu kamemon, makainu-inu tōōd.
REV.15.3	Kau iya sultan ma kabangsa-bangsahan,
REV.15.3	Bōntōl kau maka bannal ma kamaksuran nu kamemon.
REV.15.4	O Panghu', sayi baha' 'nsa' tiyāwan ma kau?
REV.15.4	Niya' baha' 'nsa' magmahaldika' ma kau?
REV.15.4	Kau du iya tunggal sutsi tōōd,
REV.15.4	In kabangsahan magtipun ma kau du magpamudji du ma kau,
REV.15.4	Sabab tanda' uk aa kamemon in kahinangan nu asal adil.”
REV.15.5	Puwas hi' tanda' ku ukab langgal ma diyōm sulga', maka tanda' ku isab Bilik Landu' Sutsi may'an. 
REV.15.6	Sakali tanda' ku pitu' malaikat paluwas min diyōm langgal ian, iya malaikat mo pitu' ginis bala'. In tamungan pakayan sigam, makasilaw pote' na. Sali' bōdbōran bulawan dagha sigam. 
REV.15.7	Kaluwas peen, na, tiyōpōran sigam pinggan bulawan uk dakayo' malaikat min 'mpat ian. Iya pitu' pinggan ian panno' uk mulka' Tuhan iya 'llum ni kasaumulan. 
REV.15.8	Manjari langgal ian panno' uk humbu min haddarat Tuhan, paltandaan sahaya na maka kawasa na, bo' 'nsa' niya' makasōd ni diyōm langgal ian sataggōl 'nsa' le' timōs pitu' bala' iya biyo uk pitu' malaikat hi'.
REV.16.1	Manjari itu, niya' take ku suwara tanōg halling min diyōm langgal tudju ni pitu' malaikat iya mo pinggan ian. Uk suwara itu, “Pahi' na kaam. Tumpahin bi na ni dunya lōōn pitu' pinggan iyu, iya panno' uk mulka' Tuhan!”
REV.16.2	Sakali itu, pahi' dakayo' malaikat numpahan bala' min pinggan na tudju ni kare-rehan. Pagtumpa peen, magtuwi manga aa bayi makatayima' sap sattuwa maka manga aa bayi numba ni barhala' iya bayi hinangan dagbōs na, paluwasan manga bawutut landu' paddi'.
REV.16.3	Puwas hi' iya malaikat karuwa na numpahan bala' min pinggan na tudju ni deyawut. Pagtumpa peen, magtuwi tahik ian tahinang laha' sali' laha' aa matay bo' ayi-ayi bayi 'llum ma diyōm tahik ian matay kamemon.
REV.16.4	Manjari malaikat katallu na numpahan na isab bala' min pinggan na tudju ni kasowang-sowangan maka ni manga tuburan bohe'. Pagtumpa peen, magtuwi bohe' ian tahinang laha'. 
REV.16.5	Sakali take ku bissala malaikat, iya mag'ntanan ma kabohe'-bohean. Uk na, “O Tuhan Landu' Sutsi, iya 'nsa' magkapinda min awwal tagna' sampay ni kabuttihian, bōntōl sadja hukuman nu. 
REV.16.6	Sabab in manga aa suku' nu maka manga nabi iya bayi magpalatun palman nu, hi' bayi piyatay. Bayi pitumpa laha' sigam uk manga aa ma diyōm dunya iyu, hangkan patut du bang sigam painum nu laha'. Magtōngōd du peen hinang sigam maka tungbas na.” 
REV.16.7	Puwas hi' niya' take ku suwara min tōngōd lamisahan pagkulbanan. Uk suwara hi', “O Panghu', Tuhan Sangat Kawasa, bōntōl sadja hukuman nu, 'nsa' tasaway.”
REV.16.8	Puwas peen uk na hi', iya malaikat kampat na numpahan bala' min pinggan na tudju ni mata 'llaw, manjari pikalap silak 'llaw ian ngalus manga manusiya'. 
REV.16.9	Na, pagka lus manga aa uk 'llaw sabab kalandu' pasu' na, magtuwi sigam magpanukna' ma ōn Tuhan iya ma diyōm sulga', ma sabab pamatakka na bala' salaihi'. 'Nsa' sigam pataikut min dusa sigam atawa muwan sanglit ma Tuhan.
REV.16.10	Manjari tiyumpahan pinggan na uk malaikat kalima na, pitakka bala' na ni paningkoan sattuwa tawun, ni poonan pamarintahan na. Magtuwi tawwa' lindōm katilibut lahat iya pamarintahan sattuwa hi'. Pigkeket dalla' uk manga aa may'an ma sabab kabisa paddi' iya tananam sigam. 
REV.16.11	Magpanukna' isab sigam ma Tuhan iya ma sulga', ma sabab paddi' maka bawutut sigam. Suga' 'nsa' tōōd sigam pataikut min hinang laat.
REV.16.12	Sakali tiyumpahan pinggan uk malaikat kannōm na, pitakka bala' na ni sapa' mehe iya iyōnan Alpurati. Pagtumpa peen, magtuwi tohoan bohe' sapa' ian, tahinang daddōk palabayan manga sultan luwas min sōbangan. 
REV.16.13	Puwas hi' niya' manga sayitan tanda' ku sali' na dagbōs yabak, tallu heka na. Ian sigam paluwas min bo' naga, min bo' sattuwa maka min bo' nabi iya bayi magpamissala puting. 
REV.16.14	In manga ibilis ian tau maghinang manga hinang makainu-inu. Manjari manga ibilis itu hi' pahi' ni manga kasultanan ma kalohahan dunya, mo sigam magtipun bo' supaya magbono' bang taabut 'llaw bayi giyanta' uk Tuhan Sangat Kawasa, iya 'llaw na makataw-taw.
REV.16.15	Sakali ngabtang si Isa, uk na, “Pake kaam. Paiyu du aku patangkaw ni kaam ma waktu 'nsa' tasayu bi. Kiyōgan tōōd sasuku taabut ku jaga na peen ngagaran aku, bo' sakap asal panammek na. 'Nsa' iya taabut ma sasang na 'nsa' magbadju', bo' 'nsa' du niya' kaiyaan na minsan iya paluwas ni kahekahan aa.”
REV.16.16	Na, tatipun na uk tallu ibilis ian manga baanan sultan ma kalohahan dunya, pay'an ni lahat iyōnan Amageddon ma bahasa Hibrani.
REV.16.17	Manjari itu tiyumpahan na isab pinggan na uk malaikat kapitu' na, pitakka ni tōngaan langit. Pagtumpa peen, magtuwi niya' suwara kōsōg halling min paningkoan ma diyōm langgal. Uk suwara ian, “Na! Ubus na!” 
REV.16.18	Magtuwi niya' kirat maka latte' maka laggōn maglagublub, maka niya' linug kōsōg makalandu'. Sataggōl min kaniya' manusiya' 'nsa' niya' linug paliyu minnihi' kōsōg na. Iya na hi' kapuspusan na! 
REV.16.19	Magtuwi magbakka' tana' ma daira bantug, bōklang tallu. Magkaat manga karairahan ma sabarang lahat. Manjari intōm uk Tuhan paldusahan kamemon bayi hinang ma daira Babilon iya babantugun hi'. Hangkan manga aa minnian sali' dalil piinum uk Tuhan min sawan na, hati na pinanam kabisa mulka' na. 
REV.16.20	Lanyap kapu'-puan kamemon, sampay kabud-buran mangngan kamemon min bayi pabōtangan na, 'nsa' na tanda'. 
REV.16.21	Manga manusiya' ian bayi kahugan tigtigan aes min diyata' langit. Iya bohat na manga limampu' kilu dakayo' ian. Hangkan manga aa ian bayi nuknaan Tuhan ma sabab bala' ian sabab bisa makalandu'.
REV.17.1	Manjari itu niya' makani-aku dakayo' malaikat min pitu' bayi mo pinggan ian. Uk na ni aku, “Dayi' kau. Pandaan ta kau bang salaingga hukuman iya pitakka ni daira mehe, iya pabōtangan na ma tōngōd kasowang-sowangan. In daira ian diyalil na danda laat tōōd hinang na, danda asal babantugun. 
REV.17.2	Manga kanakuraan taga lahat min kalingkal dunya bayi makapagbe' maka danda babantugun itu maghinang kaiyaan maka iya. Jari manga aa mahadjana' kamemon tabo-bo isab ningōd hinang na, sali' sapantun aa bayi kainum makalango, 'nsa' iya' maghinang kasabulan.”
REV.17.3	Sakali kapagbayaan aku uk Nyawa Tuhan bo' biyo aku uk malaikat tudju ni lahat hunit kapaglahatan uk aa. May'an peen aku, niya' tanda' ku dakayo' danda ngura' ma sattuwa tawun, walna' pula. Sattuwa ian pitu' kok na maka sangpu' tanduk na. Lapat baran na uk ōn laat kine, siyulatan may'an pangkal ni Tuhan. 
REV.17.4	Danda ian magbadju' taluk maka pula, panno' uk pamulawan na, palmata halgaan maka manga mussa' tipay. Niya' bo na ma tangan na sawan bulawan panno' uk kalammian maka kasabulan, luwas bayi min usaha na. 
REV.17.5	Niya' isab ōn bayi tasulat ma tuktuk na, ōn lōm hati na. Iya na itu sulatan na: “Babilon, daira babantugun, poonan kaputahan, poonan kalammian maka kasammalan.” 
REV.17.6	Maka tanda' ku isab in danda ian liyango uk laha' bayi tainum na, laha' min manga aa suku' Tuhan, iya bayi piyatay ma sabab si Isa iya pamōgbōgan sigam.
REV.17.6	Pag'nda' ku danda ian, makalandu' tōōd aku adjayip. 
REV.17.7	Na, tīyaw aku uk malaikat, uk na, “Ayi kaadjayipan nu? Pahati ta na kau ma pasalan danda ian bang ayi hati na maka bang ayi hati na sattuwa panguraan na ian, iya pitu' kok na maka sangpu' tanduk na. 
REV.17.8	Iya sattuwa tawun tanda' nu ian, bayi 'llum suga' matay na ma buttihi'. Darayi' na iya paluwas min diyōm lowang tigōb-tigōban bo' iyampa pahi' ni katōbtōban na, pikaat. Mehe kainu-inuhan manga aa maglahat ma diyōm dunya, sasuku 'nsa' bayi tasulat ōn sigam ma diyōm kitab panulatan ōn aa taga kallum kakkal, iya bayi asal tasulat ma 'nsa' le' bayi pipanjari dunya. Landu' sigam inu-inu pag'nda' sigam ma sattuwa tawun hi'. Bayi 'llum, bo' matay, bo' palahil du pabayik.”
REV.17.9	Uk malaikat le', “Iya pamahati ku buttihi' tahati du uk aa lōm panahuhan na maka pangatau na. Iya pitu' kok ma sattuwa tawun ian, hati na pitu' bud paningkoan uk danda laatan ian. Maka hati na isab pitu' sultan. 
REV.17.10	Lima sultan ian palabay na kapagsultan sigam. Dakayo' ian masi magsultan ma buttihi' maka iya kapitu' na 'nsa' le' magsultan. Bang ganta' magsultan na kapitu' na ian, dayi'-dayi' du iya kapagsultan na. 
REV.17.11	Iya sattuwa tawun ian iya bayi 'llum ian, bo' matay, iya ian sultan kawalu' na. Dambean du iya maka bayi pitu' ian, maka pahi' du iya ni katōbtōban na pikaat.
REV.17.12	“Iya sangpu' tanduk tanda' nu ian, iya na sangpu' sultan saddi, 'nsa' le' makapagsultan. Sigam kasangpu' kabuwanan du kawasa magsultan magbe' maka sattuwa tawun suga' dayi'-dayi' du iya kapagsultan sigam. 
REV.17.13	Dagaraan sigam kasangpu' ian, bo' pamuwan uk sigam gaōsan maka kapatut sigam ma sattuwa hi'. 
REV.17.14	Manjari paalōp du sigam magbono' maka Bili-bili. Suga' taraōg du sigam uk Bili-bili maka manga aa na kapangandōlan na, aa bayi tapene' na, bayi takallo' na me' ma iya. 'Nsa' iya ngaku daōg sabab iya Panghu' ma pagpanghuan kamemon, maka iya Sultan ma kasultanan kamemon.”
REV.17.15	Halling le' malaikat ni aku, uk na, “Bang pahati ku pasal kasowang-sowangan iya paningkoan danda bayi tanda' nu ian, iya na ginisan bangsa, pangkat maka pihak, sampay ginisan bahasa. 
REV.17.16	Maka iya sangpu' tanduk tanda' nu ian, hati na sangpu' sultan. Sigam maka sattuwa tawun hi' bansi du ma danda laat ian ma sosongun. Killoan iya uk sigam pangalta' na kamemon, tiyantangan ayi-ayi kamemon bayi ma baran na. Pigkakan uk sigam isi na bo' iyampa iya tiyutung. 
REV.17.17	Ngahinang sigam salaihi' sabab biyuwanan sigam uk Tuhan pamikil ngahinang kabayaan na. Min kahandak na iya hangkan dambean kagaraan sigam in kapatut sigam magsultan subay tiyukbalan ni sattuwa tawun, sampay taabut tuman kamemon bayi bissala uk Tuhan.
REV.17.18	“Iya danda bayi tanda' nu,” uk malaikat, “iya na daira babantugun iya magkaagi ma kasultanan ma diyōm dunya.”
REV.18.1	Ubus peen uk na hi' niya' isab tanda' ku malaikat saddi pareyo' min sulga'. Mehe kawasa na, maka sahaya na ian makabuwan kasawahan ma katilibut dunya. 
REV.18.2	Magsuwara iya pakōsōg, uk na, “Magkaat na tuwi'. Asal magkaat na Babilon, daira babantugun. Tahinang na paglahatan manga ibilis, kamahian manga sayitan. Tahinang pagtappakan manga manuk-manuk haram, ayi-ayi makasammal. 
REV.18.3	Babilon itu sali' sapantun danda laat, mo-mo bangsa aa kamemon mag-inum makalango, hati na tabo-bo sigam maghinang kalammian maka iya. Manga kanakuraan isab, iya mamarinta ma diyōm dunya, bayi maghinang kalammian maka iya. Maka manga aa maglilitu ma sabarang lahat, bayi magkarayahan tōōd ma sabab napsu danda ian makalandu'.”
REV.18.4	Sakali niya' take ku suwara saddi halling min sulga', uk na,
REV.18.4	“Paluwas kaam minniyu, kaam suku' ku. Pakallo' kaam min danda iyu.
REV.18.4	Daa kaam palamud ma iya maghinang kalaatan,
REV.18.4	Bo' kaam 'nsa' talapay ma kabinsanaan iya pibōtang ma iya.
REV.18.5	Kalna' paldusahan na magtipun-tambak na, pabud ni diyata' langit.
REV.18.5	'Nsa' takaipat uk Tuhan kahinangan na laat hi'.
REV.18.6	Hinangun bi ma iya sali' bayi hinang na ma kasehean.
REV.18.6	Iya pamuli ma iya subay lipatan duwa iya ayi-ayi bayi hinang na.
REV.18.6	Bayi tabo na manga aa nginam kasabulan na,
REV.18.6	Subay isab iya pinanaman mulka' Tuhan lipatan duwa kōsōg na.
REV.18.7	Patakkahun bi ma iya kabinsanaan maka karukkaan,
REV.18.7	Papagtōngōrun bi maka bayi pagmalangkaw na maka pagdul-baya' na ma kanapsuhan na kaginis-ginisan.
REV.18.7	Hal iya mag-abbu ma diyōm pikilan.
REV.18.7	Uk na, ‘Aku itu Pangian du, iya makapagbaya' na.
REV.18.7	'Nsa' du aku magkabalu.
REV.18.7	'Nsa' du aku makananam kasusahan.’
REV.18.8	Sabab min pag-abbu na hangkan danda itu katumbukan bala' ginis-ginisan ma diyōm dangallaw du.
REV.18.8	Tawwa' iya saki makamatay, kasukkalan du maka gōtōm.
REV.18.8	Tiyutung isab iya ma diyōm api,
REV.18.8	Sabab kawasa asal Panghu' tabi Tuhan iya mabōtangan iya hukuman.”
REV.18.9	Manjari manga nakura' mamarinta ma diyōm dunya, iya bayi magbe' maka danda ian maghinang kasabulan magdul-baya' ma kanapsuhan sigam, magtangis du maka magkarukkaan pag'nda' sigam humbu paluwas min tutung daira hi'. 
REV.18.10	Ian sigam nangge nganda'-nganda' min katahan sabab tiyāw sigam talapay ma kabinsanaan na. Uk pagkarukkaan sigam, “Allā, 'nsa' manjari! Kaugun daira Babilon, kabantug na maka kakōsōg na hi'. Dasasaat du, magtuwi iya pitakkahan kabinsanaan iya pamakadal iya.”
REV.18.11	Iya du manga aa maglilitu ma diyōm dunya, magtangis isab maka magkarukkaan pasal 'nsa' na niya' magpamalli dagangan sigam. 
REV.18.12	'Nsa' niya' malli ni sigam manga bulawan, pilak, palmata maka mussa'. 'Nsa' na niya' malli kakana' sigam halgaan, sali' kakana' taluk, pula, sutla'. 'Nsa' na niya' malli ginisan kayu iya lahang tanda' uk aa, maka ayi-ayi hinang min tangil gadja, maka kayu halgaan, maka ayi-ayi hinang min tumbaga, basi' maka malbol. 
REV.18.13	'Nsa' isab niya' malli manga pamapa dagangan sigam, manga kamanyan, laksi', maka 'nsallan hamut. 'Nsa' na niya' malli manga inuman makalango, 'nsallan pagballa, tirigu maka buwas na. 'Nsa' na niya' malli ni sigam manga sapi', bili-bili, kura' maka manga pamean iya giyuyud uk kura', sampay isab manga aa iya diyagangan uk sigam hinang ata. 
REV.18.14	Uk manga aa maglilitu ian ni danda, hati na ni daira Babilon, “Na, pa'nsa' na min kau kamemon bayi kanapsuhan nu. Lungay na min kau pangalta' nu kamemon maka kapanyapan nu halgaan. 'Nsa' na tabayik nu saumul-umul.” 
REV.18.15	Manga aa magdaragang ian, iya bayi magkarayahan uk bayi pagdagang sigam ma diyōm daira ian, nganda'-nganda' ma tutung na min katahan sabab tiyāw sigam talapay ma kabinsanaan na. Magtangis sigam maka magkarukkaan. 
REV.18.16	Uk pagkarukkaan sigam, “Allā, 'nsa' manjari! Kaugun tōōd daira babantugun hi'. Kaalti na bayi sali' sapantun danda bang magpamakay kakana' halgaan, walna' taluk maka pula, bang panno' isab uk pamulawan, palmata halgaan maka mussa'. 
REV.18.17	Suga' dasasaat du, magtuwi lungay pangalta' na kamemon.”
REV.18.17	Damikkiyan na isab manga nakura' ma kappal maka manga aa me' mariyata' na, maka manga aa maghinang isab ma kappal sampay sasuku mag-usaha ma deyawut, nganda'-nganda' isab ma daira ian min katahan. 
