MAT.1.1	Lhibro de l’ourige de Jasus Cristo, filho de Dabide, filho de Abraan.
JHN.5.25	Quedai bien ciertos de l que bos digo: Ben la hora, i ye agora, an que ls muortos han de oubir la boç de l Filho de Dius; i ls que la oubíren, biberan. 
JHN.5.26	Tal i qual cumo l Pai ten la bida nel mesmo, tamien le dou al Filho l tener la bida nel mesmo; 
JHN.5.27	i dou-le l poder de julgar, porque ye Filho de l Home. 
JHN.5.28	Nun bos admíredes cun estas cousas, porque ben ende la hora an que ls que stan nas sepulturas oubiran la sue boç: 
JHN.5.29	Ls que oubrórun l bien saliran pa la rucerreiçon de la bida i ls que oubrórun l mal saliran pa la rucerreiçon de la cundanaçon.
JHN.5.30	You nun puodo fazer nada por mi mesmo; julgo cunsante oubo i l miu juízo ye justo, porque nun busco l que me dá la gana, mas la buntade daquel que me ambiou. 
JHN.5.31	Se you dou teçtemunho de mi, l miu teçtemunho nun ye berdadoso; 
JHN.5.32	ye outro l que dá teçtemunho de mi i you sei que l teçtemunho que el dá de mi ye berdadoso.
JHN.5.33	Bós mandestes a Juan i el dou teçtemunho de la berdade; 
JHN.5.34	mas you nun recibo teçtemunho dun home, mas digo-bos estas cousas para que bos sálbedes. 
JHN.5.35	El era ũa candela que ardie i alhumbraba i bós, por un cachico, quejistes cuntentar-bos cula sue lhuç. 
JHN.5.36	Mas you tengo un teçtemunho mais grande do que l de Juan, puis las obras que l Pai me dou para fazer, essas obras que you fago, amóstran que l Pai me ambiou; 
JHN.5.37	i l Pai, que me ambiou, dou el mesmo teçtemunho de mi. Nunca oubistes la boç del, nien bistes l rostro del, 
JHN.5.38	i la palabra del nun mora an bós, porque nun acraditais naquel que el ambiou. 
JHN.5.39	Mirai bien las squinicas todas de las Scrituras, puis cuidais que neilhas stá la bida aterna; i son eilhas que dan teçtemunho de mi. 
JHN.5.40	I nun quereis benir a mi, para tenerdes la bida.
JHN.5.41	You nun recibo glória de ls homes, 
JHN.5.42	mas bien bos conheço, que nun teneis an bós l amor de Dius. 
JHN.5.43	You bin an nome de miu Pai i nun me aceitais, mas se benir outro an nome del própio yá l aceitareis. 
JHN.5.44	Cumo podeis acraditar, se recebis la honra uns de ls outros i nun buscais la honra que ben solo de Dius? 
JHN.5.45	Nun cúidedes que you bos bou a acusar a miu Pai; hai un que bos acusa: ye Moisés, an quien teneis sprança. 
JHN.5.46	Se acraditárades an Moisés, acraditariedes tamien an mi, puis el screbiu a miu respeito. 
JHN.5.47	Mas se nun acraditais ne ls sous screbidos, cumo heis de acraditar nas mies palabras?»
JHN.6.1	Apuis, Jasus fui-se pa l outro lhado de l mar de la Galileia, ou de Tiberíades. 
JHN.6.2	Iba atrás del un grande juntouro de pessonas, porque bie ls milagres que el fazie nas pessonas que stában malas.
JHN.6.3	Jasus chubiu-se a un cabeço i sentou-se alhá culs sous deciplos. 
JHN.6.4	Staba acerca la Páscoa, die de fiesta de ls judius. 
JHN.6.5	Anton, al alhebantar ls uolhos i al ber tanta giente que benie a tener cun el, dixo-le a Felipe: «Adonde hemos de cumprar pan para esta giente quemer?» 
JHN.6.6	El falaba assi pa l atentar, puis sabie bien l que habie de fazer. 
JHN.6.7	Felipe respundiu-le: «Duzientos denheiros de pan nun chégan pa le dar un carolico a cada un!» 
JHN.6.8	Dixo-le un de ls sous deciplos, Andrés armano de Simon Pedro: 
JHN.6.9	«Stá eiqui un rapazico que ten cinco fogaças de cebada i dous peixes; mas cumo ha de chegar para tanta giente?» 
JHN.6.10	Jasus dixo-le: «Mandai sentar las pessonas.» Habie muito fenasco naquel sítio. Anton, las pessonas sentórun-se, ende arrimado a cinco mil. 
JHN.6.11	Jasus agarrou las fogaças i, apuis de dar grácias, partiu-las puls que stában sentados, l mesmo fazendo culs peixes, todo até fartar. 
JHN.6.12	Quando yá stában fartos, dixo-le als sous deciplos: «Ajuntai ls carolos que sobrórun, para que nada se açague.» 
JHN.6.13	Anton, ajuntórun-los i anchírun doze cestos de carolos de las cinco fogaças de cebada, que habien sobrado de ls que stubírun a quemer.
JHN.6.14	Quando aqueilhas pessonas bírun l milagre que habie feito, dezírun: «Pula cierta, este ye l porfeta que habie de benir al mundo!» 
JHN.6.15	Jasus, al saber que l íban a agarrar pa l fazéren rei, tornou a salir deilhi, el solico, pa l cabeço.
JHN.6.16	A la tardica, ls deciplos del abaixórun até al mar 
JHN.6.17	i, chubindo-se para un barco, atrabessórun l mar, a caras a Cafarnaún. Yá era de nuite scuro i Jasus inda nun habie benido a tener cun eilhes. 
JHN.6.18	Cumo assopraba un aire mui fuorte, l mar ampeçou-se a albrotar. 
JHN.6.19	Quando yá habien remado por ende ũa lhégua, bírun Jasus a andar porriba l mar i a achegá-se de l barco i quedórun grimados. 
JHN.6.20	Mas el dixo-le: «Sou you, nun téngades miedo!» 
JHN.6.21	Quejírun, anton, chubi-lo pa l barco i lhougo l barco chegou al lhugar para adonde íban.
JHN.6.22	A soutordie, todo l juntouro de giente, que quedara de l outro lhado de l mar, biu que solo habie eilhi un barquito i que Jasus nun antrara culs sous deciplos naquel barquito, puis ls sous deciplos habien salido eilhes solos; 
JHN.6.23	mas outros barquitos habien chegado de Tiberíades acerca l sítio adonde habien quemido l pan, apuis de l Senhor haber dado grácias. 
JHN.6.24	Anton, quando aqueilha giente toda biu que nien Jasus nien ls sous deciplos stában eilhi, chubírun-se todos naqueilhes barcos i fúrun-se para Cafarnaún a saber de Jasus.
JHN.6.25	Quando l achórun, de l outro lhado de l mar, dezírun-le: «Rabi, quando chegueste eiqui?» 
JHN.6.26	Jasus respundiu-le: «Quedai bien ciertos de l que bos digo: Bós nun andais a saber de mi porque bistes ls milagres, mas porque quemistes de l pan i bos fartestes. 
JHN.6.27	Trabalhai nó pul quemido que se acaba, mas pul quemido que dura até la bida eiterna i que l Filho de l Home bos dará; porque a este Dius Pai puso-le l selo!» 
JHN.6.28	Dezírun-le, anton: «Que habemos de fazer para oubrar las obras de Dius?» 
JHN.6.29	Jasus respundiu-le: «La obra de Dius ye esta: que acradítedes naquel que el ambiou.» 
JHN.6.30	Anton, eilhes dezírun-le: «Que milagres fazes tu, para nós bermos i acraditarmos an ti? 
JHN.6.31	Ls nuossos pais quemírun l maná ne l zerto, cumo stá screbido: 
JHN.6.32	Jasus respundiu-le: «Quedai bien ciertos de l que bos digo: Nun fui Moisés que bos dou l pan de l cielo, mas miu Pai dá-bos l berdadeiro pan de l cielo: 
JHN.6.33	l pan de Dius ye l que ben de l cielo i dá la bida al mundo.» 
JHN.6.34	Dezírun-le, anton: «Senhor, dá-mos siempre desse pan.» 
JHN.6.35	Jasus respundiu-le: «You sou l pan de la bida. Quien ben a mi nun tornará a tener fame i l que acradita an mi nun tenerá mais sede. 
JHN.6.36	Mas tamien yá bos dixe que bós bedes-me i nun acraditais an mi. 
JHN.6.37	Todo l que l Pai me dá benirá a mi i nun botarei pa la rue l que ben a tener cumigo, 
JHN.6.38	porque abaixei de l cielo, nó para fazer l que you quiero, mas la buntade daquel que me ambiou. 
JHN.6.39	Esta ye la buntade daquel que me ambiou, que naide, de todos ls que el me dou, se perda, mas que lo rucecite ne l redadeiro die. 
JHN.6.40	Esta ye la buntade de miu Pai, que todo l que bei al Filho i acradita nel, tenga la bida eiterna i you rucecitarei-lo ne l redadeiro die.»
JHN.6.41	Anton, ls judius ponírun-se a falar contra el por haber dezido: «You sou l pan que abaixou de l cielo», 
JHN.6.42	i dezien: «Este nun ye Jasus, filho de Jesé, de quien nós coincemos l pai i la mai? Cumo ye que agora diç: Abaixei de l cielo?»
JHN.6.43	Jasus respundiu-le: «Nun stéiades cun esse falatório uns culs outros. 
JHN.6.44	Naide puode benir a tener cumigo se l Pai, que me ambiou, nun lo trair; i you rucecitarei-lo ne l redadeiro die. 
JHN.6.45	Stá screbido ne ls Porfetas: 
JHN.6.46	Nó que alguien haba bisto l Pai, a nun ser aquel que ye de Dius, este ye que biu l Pai.
JHN.6.47	Quedai bien ciertos de l que bos digo: Quien acradita, ten la bida eiterna. 
JHN.6.48	You sou l pan de la bida. 
JHN.6.49	Buossos pais quemírun l maná ne l zerto i morrírun-se. 
JHN.6.50	Este ye l pan que abaixou de l cielo i quien del quemir nun se morrerá. 
JHN.6.51	You sou l pan bibo que abaixou de l cielo. Quien quemir deste pan bibirá para siempre i l pan que you bos bou a dar ye la mie carne para le dar bida al mundo.»
JHN.6.52	Nesse antretiempo çcutien ls judius uns culs outros, dezindo: «Cumo puode El dar-mos a quemer la sue chicha?» 
JHN.6.53	Dixo-le anton Jasus: «Quedai bien ciertos de l que bos digo, se nun quemirdes la carne de l Filho de l Home i se nun buirdes l sou sangre, nun tenereis la bida an bós. 
JHN.6.54	Quien come la mie chicha i bebe l miu sangre tenerá la bida eiterna i you rucecitarei-lo ne l redadeiro die. 
JHN.6.55	Puis la mie chicha ye, de berdade, un quemido i l miu sangre ye, de berdade, ũa buida. 
JHN.6.56	Quien come la mie chicha i bebe l miu sangre queda an mi i you nel. 
JHN.6.57	Assi cumo l Pai, que bibe, me mandou i you bibo pul Pai, assi l que me come tamien bibirá por mi. 
JHN.6.58	Este ye l pan que abaixou de l cielo. Nun ye cumo l que quemírun ls buossos pais i morrírun-se. Quien come deste pan bibirá para siempre.»
JHN.6.59	Estas cousas dixo El quando staba a ansinar na sinagoga de Cafarnaún.
JHN.6.60	Muitos de ls sous deciplos al oubir estas cousas, dezírun-le: «Duras son estas palabras! Quien las puode scuitar?»
JHN.6.61	Sabendo Jasus, alhá andrento del mesmo, que ls sous deciplos falában subre estas cousas, dixo-le: «Esto scandaliza-bos? 
JHN.6.62	I se birdes l Filho de l Home a chubir para adonde staba datrás? 
JHN.6.63	L Sprito ye que dá la bida, la carne nun s’aporbeita para nada; las palabras que you bos dixe, son Sprito i son bida. 
JHN.6.64	Mas hai alguns de bós que nun acraditais.» Jasus sabie, zde l ampeço, quales éran ls que nun acraditában i qual era l que l habie de atraiçonar. 
JHN.6.65	I dezie: «Por essa rezon ye que bos dixe: Naide puode benir até mi se tal nun le fur dado pul Pai.»
JHN.6.66	Zde esta altura muitos de ls sous deciplos fúrun-se ambora i yá nun andában cun el. 
JHN.6.67	Anton, Jasus dixo-le als Doze: «Tamien bós bos quereis ir ambora?» 
JHN.6.68	Simon Pedro respundiu-le: «Senhor, para quien habemos nós de ir? Tu tenes palabras de bida eiterna; 
JHN.6.69	i nós acraditamos i sabemos que tu sós l Santo de Dius.» 
JHN.6.70	Jasus respundiu-le: «Nun fui you que bos scolhi als Doze? Mas hai un de bós que ye un demonho.» 
JHN.6.71	Amentaba an Judas Scariotes, filho de Simon: Este, anque fura un de ls Doze, habie de lo atraiçonar.
JHN.7.1	Apuis, Jasus andaba pula Galileia i nun querie andar pula Judeia puis ls judius buscában un modo de l matar. 
JHN.7.2	Staba acerca la fiesta de ls judius, Fiesta de las Tiendas. 
JHN.7.3	Anton, ls armanos del dezírun-le: «Sal deiqui i bai-te pa la Judeia, pa que ls tous deciplos tamien béian las obras que fazes. 
JHN.7.4	Porque naide, se quejir ser coincido, faç las cousas an segredo. Se fazes estas cousas, amostra-te al mundo.» 
JHN.7.5	La berdade ye que nien mesmo ls armanos acraditában nel. 
JHN.7.6	Jasus respundiu-le: «L miu tiempo inda nun chegou, mas para bós qualquiera tiempo ye buono. 
JHN.7.7	L mundo nun bos puode tener rábia, mas a mi ténen-me rábia porque you amostro-le que las obras deilhes son malas. 
JHN.7.8	Ide bós a la fiesta. You nun bou a essa fiesta porque l miu tiempo inda nun stá cumprido.»
JHN.7.9	I apuis de le dezir estas cousas, quedou na Galileia.
JHN.7.10	Adepuis de ls armanos del habéren ido a la fiesta, tamien el se fui até alhá, mas a las scundidas sien que naide dira por el. 
JHN.7.11	Ls judius andában a saber del pula fiesta i dezien: «Por adonde andará el?» 
JHN.7.12	Habie un grande falatório del antre to la giente. Uns dezien: «Ye buona pessona!» Mas outros dezien: «Nó, porque solo anda a anduzir las pessonas!» 
JHN.7.13	Mas naide falaba del a las claras, cun miedo de ls judius.
JHN.7.14	Quando la fiesta yá iba a meio, Jasus antrou ne l templo i ampeçou a ansinar. 
JHN.7.15	Ls judius stában mui admirados, dezindo: «Cumo ye que sabe tanto se nun andubo a studar?» 
JHN.7.16	Jasus respundiu-le: «La mie doutrina nun ye mie, mas daquel que me ambiou. 
JHN.7.17	Se houbir quien querga fazer la buntade del, saberá se la doutrina ben de Dius, ou se falo solo por mi. 
JHN.7.18	Quien fala solo por el mesmo, busca la sue própia glória, mas l que busca la glória de quien lo ambiou, esse diç la berdade i nel nun hai anjustícia. 
JHN.7.19	Moisés nun bos dou la lei? Mas bós nun cumpris la lei. Porque me quereis matar?» 
JHN.7.20	L pobo respundiu-le: «Tu tenes l demonho! Quien ye que te quier matar?» 
JHN.7.21	Jasus respundiu-le: «Solo fiç un milagre i todos quedais admirados. 
JHN.7.22	Porque Moisés bos dou la circuncison – nó que fura del, mas de ls pais –, al sábado circuncidais ls homes. 
JHN.7.23	Se un home puode ser circuncidado al sábado, para que se cumpra la lei de Moisés, porque ye que quedais andinados cumigo por haber sano un home al sábado? 
JHN.7.24	Nun quérgades julgar pulas aparecéncias, mas pul que ye justo.»
JHN.7.25	Anton, habie pessonas de Jarusalen que le preguntában: «Nun ye este l que quieren matar? 
JHN.7.26	Cumo ye que stá parqui a falar, a las claras, i naide le diç nada? Será que ls príncepes yá se cumbencírun de que el ye l Cristo? 
JHN.7.27	Este sabemos bien d’adonde ye, mas quando benir l Cristo, naide saberá d’adonde ye.»
JHN.7.28	Al ansinar ne l templo, boziaba: «Anton, bós sabeis quien sou i d’adonde bengo? You nun bin por mi mesmo, mas ye berdade que bin por aquel que me ambiou i que bós nun coinceis. 
JHN.7.29	You conheço-lo porque bengo del i el ambiou-me.»
JHN.7.30	Anton, eilhes buscában modo de l prender, mas naide le botou la mano, porque inda nun habie chegado la hora del. 
JHN.7.31	Muita daqueilha giente acraditou nel i dezien: «Quando l Cristo benir será que bai a fazer mais milagres do que este ten feito?»
JHN.7.32	Ls fariseus oubírun l pobo a dezir estas cousas del i mandórun ls xefes de ls saçardotes i de ls fariseus para l prendéren. 
JHN.7.33	Jasus, anton, dixo-le: «Inda bou a quedar cun bós mais un tempico i apuis bou-me para aquel que me ambiou. 
JHN.7.34	Nessa altura andareis a saber de mi, mas nun me heis de achar i para adonde you bou bós nun podeis ir.» 
JHN.7.35	Ls judius preguntában uns als outros: «Para adonde eirá, yá que nun l poderemos achar? Será que se bai culs que eimígran pa ls griegos, para ls ansinar? 
JHN.7.36	Que quier el dezir cun estas palabras: “Buscareis-me i nun me achareis?” i tamien “Para adonde you bou bós nun podeis benir?”»
JHN.7.37	Ne l redadeiro die, que era l mais fuorte de la fiesta, Jasus staba de pies a boziar, dezindo: «Quien tubir sede, benga a tener cumigo i beba. 
JHN.7.38	Quien acradita an mi, cumo diç la Scritura, de la sue barriga han de nacer rius de auga biba.» 
JHN.7.39	El dezie estas cousas de l Sprito que habien de recebir ls que nel acraditássen. Nesta altura l Sprito inda nun habie sido dado, porque Jasus inda nun fura glorficado.
JHN.7.40	Muita giente, quando oubiu estas palabras, dixo: «Este de certeza que ye un porfeta!»; 
JHN.7.41	outros dezien: «Este ye l Cristo!»; mas outros dezien: «Cumo ye que l Cristo puode benir de la Galileia?» 
JHN.7.42	Nun ye la Scritura que diç: «L Cristo ben de la família de Dabide i de l lhugar de Belen, la tierra de Dabide?»
JHN.7.43	Anton, armou-se un grande çcutimiento antre las pessonas por bias del. 
JHN.7.44	Alguns deilhes querien prendé-lo, mas naide le botou la mano.
JHN.7.45	Ls guardas fúrun-se a tener culs xefes de ls saçardotes i culs fariseus. Estes preguntórun-le: «Porque nun l prendistes?» 
JHN.7.46	Ls guardas respundírun-le: «Nunca se oubiu un home a falar daqueilha maneira.» 
JHN.7.47	Ls fariseus dezírun-le: «Tamien bós bos deixestes anduzir? 
JHN.7.48	Acauso algun de ls xefes ou de ls fariseus acraditou nel? 
JHN.7.49	Solo essa giente que nun conhece la lei i ye giente maldita!»
JHN.7.50	Anton Nicodemos, que era un de ls deilhes i que antes fura a tener cun Jasus, dixo-le: 
JHN.7.51	«Acauso la nuossa lei julga un home antes de l oubir purmeiro i de saber l que el fizo?» 
JHN.7.52	Eilhes respundírun-le: «Tamien tu sós de la Galileia? Studa bien i berás que de la Galileia nun bieno un solo porfeta!»
JHN.7.53	Apuis, fui-se cada un para sue casa.
JHN.8.1	Jasus fui-se pa l Cabeço de las Oulibeiras. 
JHN.8.2	A soutordie, pula manhana cedo, tornou outra beç pa l templo i todo mundo benie a tener cun el. Jasus sentaba-se i ansinaba-los. 
JHN.8.3	A ũa cierta altura, ls scribas i ls fariseus lhebórun-le ũa mulhier que fui agarrada an adultério, ponírun-la al meio 
JHN.8.4	i dezírun-le a Jasus: «Esta mulhier fui agarrada a fazer adultério. 
JHN.8.5	Moisés, na lei, mandou-mos apedrear estas mulhieres até la muorte. Tu l que mos dizes?»
JHN.8.6	Eilhes dezien-le estas cousas pa l lhucitáren, para l podéren acusar. Mas Jasus drobou-se i ampeçou a screbir na tierra cul dedo. 
JHN.8.7	Cumo eilhes le cuntinában a preguntar, el alhebantou-se i dixo-le: «Aquel de bós que nun tubir pecado, que le atire la purmeira pedrada.» 
JHN.8.8	Jasus drobou-se outra beç i cuntinou a screbir na tierra. 
JHN.8.9	Al oubir aqueilhas palabras, fúrun salindo un por un, a ampeçar puls mais bielhos, até que quedou Jasus el solo i la mulhier, que cuntinaba al meio, de pies. 
JHN.8.10	Jasus alhebantou-se i dixo-le a la mulhier: «Mulhier, adonde stan? Naide te cundanou?» 
JHN.8.11	Eilha respundiu-le: «Naide, senhor.» Anton, Jasus dixo-le: «You tamien nun te cundano. Bai-te ambora i, deiqui palantre, nun tornes a pecar.»
JHN.8.12	Jasus falou-le outra beç, dezindo-le: «You sou la lhuç de l mundo; quien benir atrás de mi, nun andará a las scuras, mas tenerá la lhuç de la bida.» 
JHN.8.13	Anton, dezírun-le ls fariseus: «Tu falas de ti i a tou fabor, assi sendo l tou teçtemunho nun ten balor.» 
JHN.8.14	Jasus respundiu-le: «Anque you fale de mi mesmo, l miu teçtemunho ye berdadeiro, porque sei de adonde bin i para adonde bou, mas bós nien sabeis de adonde bin nien para adonde bou. 
JHN.8.15	Bós julgais al modo de la carne, mas you nun julgo a naide. 
JHN.8.16	Inda que you julgara, l miu juízo era berdadeiro, porque nun sou you solo, mas you i l Pai, que me ambiou. 
JHN.8.17	Na buossa lei stá screbido que l teçtemunho de dous homes ye berdadeiro. 
JHN.8.18	You dou teçtemunho por mi mesmo i l Pai que me ambiou tamien dá teçtemunho por mi.» 
JHN.8.19	Eilhes dezien-le: «Adonde stá tou Pai?» Jasus respundiu-le: «Bós nun me coinceis nien coinceis a miu Pai; se me coincírades a mi, tamien coinceriedes a miu Pai.»
JHN.8.20	Jasus dixo estas palabras quando staba a ansinar ne l templo, an pie la caixa de las smolas. I naide l prendiu, porque inda nun habie chegado la hora del.
JHN.8.21	Jasus dixo-le outra beç: «You bou-me ambora. Heis de andar a saber de mi, mas morrereis-bos ne l buosso pecado. Para adonde you me bou, bós nun podeis ir.»
JHN.8.22	Anton, dezien ls judius: «Se calha bai-se a matar, porque diç: “Para adonde you me bou, bós nun podeis ir.”» 
JHN.8.23	Jasus cuntinaba a dezi-le: «Bós sodes deiqui de baixo, you sou de alhá riba; bós sodes deste mundo, you nun sou deste mundo. 
JHN.8.24	Por essa rezon bos dixe que bos morrereis ne ls buossos pecados, porque se nun acraditardes an quien you sou, morrereis-bos ne ls buossos pecados.»
JHN.8.25	Anton eilhes preguntórun-le: «Quien sós tu?» Jasus dixo-le: «L que bos tengo dezido zde l ampeço. 
JHN.8.26	Muita cousa tengo a dezir i a julgar de bós; mas l que me ambiou ye de cunfiança i l que le digo al mundo fui l que le oubi a el.»
JHN.8.27	Eilhes nun antendírun que le falaba de l Pai. 
JHN.8.28	Jasus tornou-le a dezir: «Quando alhebantáren al parriba l Filho de l Home, ende heis de saber quien you sou i que nada fago porque you quiero, mas falo solo l que l Pai me ansinou. 
JHN.8.29	L que me mandou stá cumigo i nun me deixa a mi solo, porque fago siempre l que le agrada.»
JHN.8.30	Al oubi-lo dezir estas cousas, muitos acraditórun nel.
JHN.8.31	Anton, Jasus dixo-le als judius que habien acraditado nel: «Se bos mantubirdes na mie palabra, sereis mius deciplos berdadeiros, 
JHN.8.32	coincereis la berdade i la berdade lhibartará-bos.» 
JHN.8.33	Eilhes respundírun-le: «Somos decendientes de Abraan i nunca fumos scrabos de naide. Cumo mos dizes, anton: “Quedareis lhibres?”» 
JHN.8.34	Jasus respundiu-le: «Quedai a saber: Toda la pessona que peca ye scrabo. 
JHN.8.35	Un scrabo nun queda na casa para siempre, mas un filho queda alhá para siempre. 
JHN.8.36	Se l Filho bos lhibartar, sereis mesmo lhibres. 
JHN.8.37	You sei que sodes decendientes de Abraan, mas andais a saber dun modo de me matar, porque la mie palabra nun entra an bós. 
JHN.8.38	You falo de l que bi an pie de l Pai i bós tamien fazeis l que le oubistes al buosso pai.»
JHN.8.39	Eilhes respundírun-le: «L nuosso pai ye Abraan.» Jasus dixo-le: «Se fúrades filhos de Abraan, fazeriedes las obras de Abraan. 
JHN.8.40	Agora andais a saber dun modo de me matar, a mi un home que bos falei la berdade que le oubi a Dius. Abraan nun fizo essas cousas. 
JHN.8.41	Bós fazeis las obras de l buosso pai.» Anton, eilhes dezírun-le assi: «Nós nun somos zorros, puis tenemos un pai que ye Dius.» 
JHN.8.42	Jasus dixo-le: «Se Dius fura buosso pai, gustariedes de mi; you fui ambiado por Dius, nun bengo de mi mesmo, mas fui el que me mandou. 
JHN.8.43	Porque nun antendeis la mie fala, yá que la mie palabra nun la podeis oubir? 
JHN.8.44	Bós teneis al diabro por pai i quereis fazer l que le agrada al buosso pai. El fui un creminal matador zde siempre i nunca stubo cula berdade, porque nel nun hai berdade. Quando diç mintiras, fala de l que ye del, porque ye mintiroso i ye l pai de la mintira.
JHN.8.45	Mas you digo-bos la berdade i por essa rezon nun acraditais an mi. 
JHN.8.46	Qual de bós puode probar que you tengo pecado? Se bos digo la berdade, porque nun acraditais an mi? 
JHN.8.47	Quien ye de Dius, scuita las palabras de Dius; bós nun las scuitais porque nun sodes de Dius.»
JHN.8.48	Ls judius respundírun-le: «Nun tenemos rezon al dezir que sós un samaritano i que tenes l demonho?» 
JHN.8.49	Jasus respundiu-le: «You nun tengo l demonho, mas honro a miu Pai i bós botais-me al çprézio. 
JHN.8.50	You nun busco la mie glória; hai quien la busque i julgue cun justícia. 
JHN.8.51	Tomai bien tento ne l que bos digo: Quien oubedecir a la mie palabra, nunca se ha de morrer.»
JHN.8.52	Dezírun-le, anton, ls judius: «Agora tenemos la certeza que tenes l demonho. Abraan morriu-se, ls porfetas tamien i tu dizes: “Quien oubedecir a la mie palabra, nunca se ha de morrer?” 
JHN.8.53	Acauso tu sós mais do que l nuosso pai Abraan, que se morriu? I ls porfetas tamien se morrírun! Quien cuidas tu que sós?» 
JHN.8.54	Jasus respundiu-le: «Se you me honro a mi mesmo, la mie honra nun bal nada; mas quien me honra ye miu Pai, aquel de quien bós dezis: “Ye l nuosso Dius”, 
JHN.8.55	i nun l coinceis, mas you coinci-lo. Se you dezira que nun l conheço, serie mintiroso cumo bós; mas conheço-lo i respeito la sue palabra. 
JHN.8.56	Abraan, buosso pai, quedou mui cuntento por ber l miu die, biu-lo i quedou cuntento.»
JHN.8.57	Dezírun-le ls judius: «Inda nien tenes cinquenta anhos i biste a Abraan?» 
JHN.8.58	Jasus dixo-le: «Tomai bien tento ne l que bos digo: Antes de Abraan nacer, yá you era l que sou.»
JHN.8.59	Anton, agarrórun an piedras pa lo apedreáren, mas Jasus scundiu-se i saliu de l templo.
JHN.9.1	Quando iba a passar, Jasus biu un home que era ciego de nacéncia. 
JHN.9.2	Ls deciplos del preguntórun-le: «Rabi, quien pecou, el ou ls pais del, para que nacira ciego?» 
JHN.9.3	Jasus respundiu-le: «Nien fui el que pecou nien ls pais del, mas quedou assi para que nel s’amostráran las obras de Dius. 
JHN.9.4	Ye perciso que you faga las obras daquel que me mandou, inda cun de die, puis ben ende la nuite an que naide puode trabalhar. 
JHN.9.5	Anquanto stou ne l mundo sou la lhuç de l mundo.»
JHN.9.6	Tenendo dezido estas palabras, cuçpiu na tierra, fizo lhodo cula cuçpinha, ountou cun lhodo ls uolhos de l ciego 
JHN.9.7	i dixo-le: «Bai-te a lhabar ne l tanque de Siloé» (que quier dezir Ambiado). El fui, lhabou-se i tornou dalhá a ber.
JHN.9.8	Anton, ls bezinos i las pessonas que yá antes sabien que el era ciego dezien: «Este nun ye aquel que quedaba sentado a pedir smola?» 
JHN.9.9	«Ye el mesmo», dezien uns. Mas outros dezien: «Nó, ye outra pessona aparecida cun el.» Mas l ciego zirraba: «Sou you.» 
JHN.9.10	Preguntában-le, anton: «Cumo fui que se t’abrírun ls uolhos?» 
JHN.9.11	El respundiu-le: «Aquel home, que le cháman Jasus, fizo lhodo i ountou-me ls uolhos i dixo-me: “Bai al tanque de Siloé i lhaba-te.” Anton, you fui alhá, lhabei-me i bi.» 
JHN.9.12	I eilhes preguntórun-le: «Adonde ye que el stá?» El respundiu-le: «Nun sei.»
JHN.9.13	Anton, eilhes lhebórun-le als fariseus l que fura ciego. 
JHN.9.14	Era sábado quando Jasus fizo l lhodo i le abriu ls uolhos. 
JHN.9.15	Ls fariseus preguntórun-le outra beç cumo habie passado a ber. El dixo-le: «Puso-me lhodo anriba ls uolhos, apuis lhabei-me i agora beio.» 
JHN.9.16	Anton ls fariseus dezien: «Cumo puode esse home ser de Dius se nun guarda l sábado?» Outros dezien: «Cumo puode un home pecador fazer sinales cumo esses?» I habie un grande çcutimiento antre eilhes. 
JHN.9.17	Assi, tornórun-le a preguntar outra beç al ciego: «Tu l que dizes daquel que te abriu ls uolhos?» El, anton, dixo-le: «Ye un porfeta.»
JHN.9.18	Mas ls judius nun acraditórun que el houbira sido ciego i agora bisse. Anton, chamórun ls pais del 
JHN.9.19	i anterrogórun-los, dezindo-le: «Este ye l buosso filho que dezis que naciu ciego? Anton, cumo ye que agora bei?» 
JHN.9.20	Ls pais de l ciego respundírun-le, dezindo: «Sabemos que este ye l nuosso filho i sabemos que el naciu ciego, 
JHN.9.21	mas nun sabemos cumo ye que agora bei i tamien nun sabemos quien le tenerá abierto ls uolhos. Perguntai-se-lo a el porque yá ten eidade para falar del mesmo.» 
JHN.9.22	Ls pais dezírun estas cousas porque tenien miedo de ls judius, porque estes yá habien treminado que se alguien cunfessasse que Jasus era l Messias iba a ser ampuntado de la sinagoga. 
JHN.9.23	Fui por essa rezon que ls pais del dezírun: «Yá ten eidade, preguntai-le a el.»
JHN.9.24	Chamórun, anton, outra beç l home que habie sido ciego i dezírun-le: «Dá grácias a Dius! Nós sabemos que esse home ye un pecador.» 
JHN.9.25	El dixo-le: «Nun sei se ye pecador ou nó. Solo sei que you era ciego i agora beio.» 
JHN.9.26	Eilhes preguntórun-le: «L quei te fizo el? Cumo fui que te abriu ls uolhos?» 
JHN.9.27	El respundiu-le: «Yá bos l dixe i oubistes bien. Porque quereis oubir outra beç? Talbeç tamien bos quérgades fazer deciplos del.»
JHN.9.28	Ende, chamórun-le denomes i dezírun-le: «Tu ye que sós deciplo del. Nós somos deciplos de Moisés 
JHN.9.29	i sabemos que Dius le falou a Moisés, mas este nun sabemos de adonde ye.» 
JHN.9.30	L home respundiu-le, dezindo-le: «Puis ye ende que stá la marabilha, que bós nun sábades de adonde ye i me tenga abierto ls uolhos. 
JHN.9.31	Sabemos que Dius nun oube als pecadores, mas oube a quien le ten respeito i fai la buntade del. 
