MAT.1.1	Dies ist das Buch der Geschichte Jesu Christi, des Sohnes Davids, des Sohnes Abrahams.
HEB.1.13	Zu welchem Engel hätte er ferner je gesagt: Sitze du zu meiner Rechten, bis ich deine Feinde zum Schemel deiner Füße mache?
HEB.1.14	Sind sie nicht alle (priesterlich) dienende
HEB.2.1	Daher
HEB.2.2	Denn ist schon das durch Engel verkündigte Wort
HEB.2.3	wie könnten wir da (dem Gericht) entrinnen, wenn wir ein so hohes Heil mißachten?
HEB.2.4	Zugleich hat Gott dafür Zeugnis abgelegt durch Zeichen, Wunder, mannigfache Kräfte und durch die Gaben des Heiligen Geistes, die er nach seinem Willen austeilt. 
HEB.2.5	Nicht Engel sind's, denen er die zukünftige Welt, von der wir reden, unterworfen hat. 
HEB.2.6	Sondern es hat einer irgendwo
HEB.2.7	Du hast ihn nur auf kurze Zeit erniedrigt unter Engel, dann aber hast du ihn gekrönt mit Herrlichkeit und Ehre; 
HEB.2.8	das ganze Weltall hast du ihm gelegt zu Füßen und hast ihn über deiner Hände Werk gesetzt. Hat er ihm aber alles unterworfen, so gibt es nichts, was ihm nicht unterworfen wäre.
HEB.2.9	Wohl aber nehmen wir wahr,
HEB.2.10	Denn
HEB.2.11	Der da heiligt und die geheiligt werden,
HEB.2.12	wenn er sagt: Verkünden will ich deinen Namen meinen Brüdern, inmitten der Gemeinde will ich dir lobsingen.
HEB.2.13	An einer anderen Stelle heißt es: Ich werde mein Vertrauen auf ihn setzen.
HEB.2.14	Da nun die Kinder
HEB.2.15	und die zu befreien, die durch Todesfurcht ihr ganzes Leben lang in Knechtschaft schmachteten.
HEB.2.16	Denn fürwahr, nicht Engeln reicht er helfend seine Hand, sondern den Nachkommen Abrahams.
HEB.2.17	Deshalb mußte er auch in jeder Hinsicht seinen Brüdern gleich werden, damit er Gott gegenüber ein barmherziger und zuverlässiger
HEB.2.18	Denn weil er gelitten hat und dabei selbst versucht worden ist, kann er nun auch denen, die versucht werden, ein Helfer sein.
HEB.3.1	Darum, ihr heiligen Brüder, ihr Mitgenossen einer himmlischen Berufung, schaut hin auf Jesus, den Gottesboten und Hohenpriester, den wir bekennen!
HEB.3.2	Wie Mose beweist auch er in seinem ganzen Haus Treue gegen Gott, der ihn beauftragt hat.
HEB.3.3	Doch überragt er Mose weit an Herrlichkeit, und zwar so weit, wie der Baumeister höher steht als das von ihm erbaute Haus.
HEB.3.4	- Jedes Haus hat ja einen Baumeister, der Baumeister aller Dinge aber ist Gott
HEB.3.5	Nun ist Mose treu gewesen in seinem ganzen Haus als ein Diener, der das kundmachen sollte, was Gott zu ihm redete.
HEB.3.6	Christus dagegen (ist treu) als Sohn, der da gesetzt ist über Gottes Haus. Dieses Haus sind wir, wenn wir die feste Zuversicht
HEB.3.7	Deshalb merkt auf das Wort des Heiligen Geistes: Heute, wenn ihr seine Stimme hört, 
HEB.3.8	verhärtet eure Herzen nicht, wie eure Väter es taten, als sie widerspenstig waren an jenem Tage, da sie mich versuchten in der Wüste.
HEB.3.9	Dort
HEB.3.10	Darum war ich zornig über dies Geschlecht und sprach: Stets wendet sich ihr Herz von mir, sie haben meine Wege nicht erkannt. 
HEB.3.11	Daher schwur ich in meinem Zorn: Nie sollten sie in meine Ruhe eingehen!
HEB.3.12	So seht denn zu, liebe Brüder, daß keiner von euch ein böses, ungläubiges Herz habe und abfalle von dem lebendigen Gott! 
HEB.3.13	Ermuntert vielmehr einander Tag für Tag, solange es noch "Heute" heißt,
HEB.3.14	Denkt doch daran: Wir sind Genossen des Messias,
HEB.3.15	Heißt es:
HEB.3.16	nun, so frage ich: "Wer sind denn jene, die seine Stimme hörten und trotzdem widerspenstig waren?" Sind es nicht alle, die einst unter Moses Leitung aus Ägypten zogen? 
HEB.3.17	Und über welche Leute war er zornig vierzig Jahre lang? Waren das nicht jene, die da sündigten, und deren Leiber ein Grab gefunden haben in der Wüste?
HEB.3.18	Und ferner: wer sind jene, denen er geschworen hat, sie sollten nicht in seine Ruhe eingehen?
HEB.3.19	So sehen wir denn: ihr Unglaube ist schuld daran gewesen, daß sie nicht haben eingehen können.
HEB.4.1	Da nun die Verheißung, zu seiner Ruhe einzugehen, noch der Erfüllung harrt, so laßt uns auf der Hut sein, daß niemand unter euch das Ziel verfehle! 
HEB.4.2	Denn gerade so wie jenen
HEB.4.3	Denn wir gehen nur in die Ruhe ein, sofern wir glauben. Ich schwur in meinem Zorn: Nie sollen sie in meine Ruhe eingehen!
HEB.4.4	Denn an einer Stelle
HEB.4.5	Trotzdem sagt er an dieser Stelle: "Nie sollen sie in meine Ruhe eingehen!" 
HEB.4.6	Der Eingang in die Ruhe steht also für einige noch in Aussicht. Jene
HEB.4.7	Darum bestimmt Gott mit dem Wort "Heute" von neuem einen Tag: das tut er nach so langer Zeit durch Davids Mut,
HEB.4.8	Hätte sie
HEB.4.9	Es steht mithin dem Volk Gottes noch eine Sabbatruhe in Aussicht. 
HEB.4.10	Denn wer zu Gottes Ruhe eingegangen ist, der kommt damit auch zur Ruhe von seinen Werken,
HEB.4.11	So laßt uns denn Eifer zeigen, in diese Ruhe einzugehen, damit niemand ins Verderben falle und dann ebenso wie jene
HEB.4.12	Denn was Gott spricht,
HEB.4.13	Ja nichts in der ganzen Schöpfung ist vor Gott verborgen; alles liegt unverhüllt und aufgedeckt vor seinen Augen. Und dieser Gott ist's, dem wir Rechenschaft zu geben haben. 
HEB.4.14	Weil wir nun einen großen Hohenpriester haben,
HEB.4.15	Wir haben ja nicht einen Hohenpriester, der mit unseren Schwächen kein Mitleid haben könnte, sondern einen, der in jeder Hinsicht ebenso versucht ist wie wir, der aber nie gesündigt hat. 
HEB.4.16	Laßt uns deshalb mit Zuversicht dem Gnadenthron nahen,
HEB.5.1	Jeder Hohepriester geht aus den Menschen hervor
HEB.5.2	Er ist imstande, die Unwissenden und Irrenden milde zu beurteilen,
HEB.5.3	Deshalb
HEB.5.4	Und niemand kann sich aus eigener Macht die hohepriesterliche Würde aneignen. Die empfängt nur, wer von Gott dazu berufen wird, wie dies auch geschehen ist mit Aaron.
HEB.5.5	Ebenso hat auch Christus das Hohepriestertum nicht eigenmächtig an sich gerissen. Gott hat ihn eingesetzt in dieses Amt, indem er zu ihm sagte: Mein Sohn bist du, heute habe ich dich gezeugt.
HEB.5.6	Und an einer anderen Stelle spricht er: Du bist ein Priester in Ewigkeit nach Melchisedeks Weise.
HEB.5.7	Christus hat in den Tagen seines Erdenlebens Gebet und Flehen unter lautem Rufen und Weinen zu dem emporgesandt, der ihn aus des Todes Rachen erretten konnte,
HEB.5.8	So hat er, obwohl er Gottes Sohn war, in seinem Leiden die Schule des Gehorsams durchgemacht. 
HEB.5.9	Nach seiner Vollendung
HEB.5.10	Denn Gott hat ihn begrüßt
HEB.5.11	Hierüber
HEB.5.12	Ihr solltet andere belehren, weil ihr die Wahrheit schon so lange kennt.
HEB.5.13	Mit denen, die nur Milch genießen können, meine ich solche, die eine tiefe Unterweisung nicht verstehen; denn sie sind in bezug auf geistliches Verständnis noch unmündige Kinder. 
HEB.5.14	Für geistlich Reife
HEB.6.1	So wollen wir denn die Anfangsgründe der Lehre Christi jetzt beiseitelassen und uns dem zuwenden, was sich für geistliche Reife eignet. Wir wollen uns nicht von neuem mit der Grundlage
HEB.6.2	mit der Belehrung über Taufen
HEB.6.3	Dies wollen wir tun,
HEB.6.4	Es ist ja unmöglich,
HEB.6.5	und das tröstliche Wort Gottes und die Kräfte der zukünftigen Welt geschmeckt haben, 
HEB.6.6	aber trotzdem abfallen, ein zweites Mal zu erneuern, so daß sie zur Sinnesänderung kommen: dies ist unmöglich, wenn sie den Sohn Gottes zu ihrem Verderben immer von neuem kreuzigen und zum Gespött machen.
HEB.6.7	Denn ein Ackerfeld, das den reich niederströmenden Regen aufgesogen hat und denen, für die es bebaut wird, nützliches Gewächs hervorbringt, ein solches Feld wird von Gott mit immer reicherem Ertrag gesegnet. 
HEB.6.8	Trägt es aber Dornen und Disteln, so ist es wertlos und dem Fluch
HEB.6.9	Wenn wir nun auch mit solcher Strenge reden,
HEB.6.10	Gott ist ja nicht ungerecht, daß er vergäße eurer Arbeit und der Liebe, die ihr zur Ehre seines Namens früher
HEB.6.11	Es ist nun unser Herzenswunsch, ein jeder von euch möge auch denselben Eifer
HEB.6.12	Denn ihr sollt nicht träge werden, sondern denen nachfolgen, die durch Glauben und Beharrlichkeit die Verheißungen erben. 
HEB.6.13	Als Gott Abraham
HEB.6.14	und sprach: "Wahrlich, ich will dich mit Segen überschütten und will dir eine große Schar Nachkommen schenken."
HEB.6.15	So erlangte Abraham durch geduldiges Ausharren, was ihm Gott verheißen hatte. 
HEB.6.16	Menschen schwören ja bei einem, der größer ist als sie: so dient der Eid bei ihnen zur Bekräftigung der Aussage, gegen die sich kein Widerspruch mehr erheben kann. 
HEB.6.17	Deshalb ist auch Gott, um den Erben der Verheißung
HEB.6.18	So sollten wir durch zwei unwandelbare Tatsachen,
HEB.6.19	Diese Hoffnung ist für uns ein zuverlässiger, sicherer Anker unserer Seele,
HEB.6.20	Dorthin ist Jesus uns zum Heil als unser Vorläufer eingegangen,
HEB.7.1	Dieser Melchisedek
HEB.7.2	Ihm gab Abraham auch den Zehnten von der ganzen Kriegsbeute.
HEB.7.3	Die Schrift nennt nicht seinen Vater, seine Mutter, seinen Stammbaum. Sie schweigt auch von seinem Lebensanfang und seinem Lebensende.
HEB.7.4	Bedenkt, wie hoch und erhaben dieser Mann sein muß, dem der Erzvater Abraham sogar den Zehnten von den besten Beutestücken gegeben hat! 
HEB.7.5	Wohl werden auch die von Levis Nachkommen, die das Priestertum empfangen, durch eine Vorschrift des Gesetzes
HEB.7.6	Hier dagegen hat einer, der gar nicht zu ihrem Geschlecht gehört, von Abraham den Zehnten erhoben und den Inhaber der Verheißung gesegnet.
HEB.7.7	Nun läßt sich aber nicht bestreiten, daß das Geringere von dem Größeren gesegnet wird.
HEB.7.8	Und ferner: Hier
HEB.7.9	Ja in und mit Abraham hat auch sozusagen Levi selbst, der den Zehnten empfängt, den Zehnten entrichtet. 
HEB.7.10	Er war ja noch in seines Stammvaters Lenden, als Melchisedek mit diesem zusammentraf.
HEB.7.11	Wäre nun freilich durch das levitische Priestertum Vollkommenheit erzielt worden
HEB.7.12	Ändert sich aber das Priestertum, so ändert sich damit auch notwendig das Gesetz. 
HEB.7.13	Der, von dem jene Worte
HEB.7.14	Denn es ist doch allbekannt, daß unser Herr aus Juda hervorgegangen ist; und von Priestern aus diesem Stamm hat Mose kein Wort gesagt. 
HEB.7.15	Noch klarer wird diese Tatsache
HEB.7.16	und empfängt sein Amt nicht nach einem Gesetz, das nur leibliche Abstammung
HEB.7.17	Es wird ihm ja bezeugt: Du bist ein Priester in Ewigkeit nach Melchisedeks Weise. 
HEB.7.18	Damit wird nun allerdings die bis dahin gültige Priesterordnung
HEB.7.19	- das Gesetz hat ja keine Vollkommenheit erzielt —; und zugleich wird
HEB.7.20	Ferner ist Christus auch nicht ohne Eid als Priester eingesetzt worden. Jene
HEB.7.21	Er ist Priester geworden durch ein Gotteswort, das von einem Eid begleitet war. Es heißt ja: Geschworen hat der Herr, und es wird ihn nicht gereuen: Du bist ein Priester ewiglich.
HEB.7.22	Insofern ist nun Jesus auch der Bürge einer höheren Gottesstiftung geworden.
HEB.7.23	Von jenen Priestern
HEB.7.24	Weil er
HEB.7.25	Daher kann er auch allen, die sich durch ihn Gott nahen, vollkommene Errettung schenken:
HEB.7.26	Gerade einen solchen Hohenpriester
HEB.7.27	Er hat nicht wie die Hohenpriester täglich
HEB.7.28	Denn
HEB.8.1	Der Hauptpunkt in unserer Erörterung
HEB.8.2	und zwar als priesterliche Diener des (himmlischen) Heiligtums und der wahrhaftigen Stiftshütte, die der Herr errichtet hat und kein Mensch. 
HEB.8.3	Jeder Hohepriester wird dazu bestellt, Gaben und Opfer darzubringen. Darum muß auch dieser
HEB.8.4	Wäre er nun auf Erden, so wäre er gar kein Priester. Denn hier gibt es schon solche, die nach der Vorschrift des Gesetzes die Gaben darbringen.
HEB.8.5	Sie dienen dem Bild und dem Schattenriß des himmlischen Heiligtums, gemäß der göttlichen Weisung, die Mose empfing, als er die Stiftshütte aufrichten sollte: Sieh zu, so ward ihm gesagt, daß du alles nach dem Muster machst, das dir auf dem Berg gezeigt worden ist.
HEB.8.6	Nun aber
HEB.8.7	Wäre nämlich jene erste Gottesstiftung
HEB.8.8	Nun aber spricht Gott einen Tadel über sie
HEB.8.9	nicht eine Stiftung, wie ich sie zugunsten ihrer Väter machte, an jenem Tag, als ich sie bei der Hand nahm, sie auszuführen aus Ägyptenland. Denn sie sind nicht beharrt bei meiner Stiftung, darum habe auch ich mich losgesagt von ihnen, spricht der Herr. 
HEB.8.10	Dies ist nun die Verordnung, die ich für das Haus Israel aufrichten will nach jenen Tagen, spricht der Herr: Ich gebe mein Gesetz in ihren Sinn, und in ihr Herz will ich es schreiben; ich will dann sein ihr Gott, sie sollen sein mein Volk. 
HEB.8.11	Dann soll auch niemand seinen Volksgenossen und niemand seinen Bruder lehren und ihm sagen: Erkenne doch den Herrn! 
HEB.8.12	Denn alle werden sie mich kennen, klein und groß. Denn gegen ihre Ungerechtigkeiten will ich gnädig sein, und ihrer Sünden auch nicht mehr gedenken.
HEB.8.13	Indem er hier von einer neuen Verordnung (oder Stiftung) redet, hat er damit die frühere für veraltet erklärt. Was aber veraltet und abgelebt ist, das ist dem Verschwinden nahe.
HEB.9.1	Auch die alte Gottesstiftung
HEB.9.2	Ein Zelt ward hergerichtet. In seinem Vorderraum standen der Leuchter und der Tisch mit den Schaubroten;
HEB.9.3	Hinter dem zweiten Vorhang war ein anderer Raum: das sogenannte Allerheiligste. 
HEB.9.4	Hier befanden sich ein goldenes Rauchfaß
HEB.9.5	Oben auf der Bundeslade waren die Cherubim der Herrlichkeit,
HEB.9.6	So war dies alles eingerichtet. In den Vorderraum treten die Priester, die den Gottesdienst auszuführen haben, tagtäglich ein. 
HEB.9.7	Den zweiten Raum betritt allein der Hohepriester, und zwar nur einmal jährlich,
HEB.9.8	Damit wies der Heilige Geist beständig darauf hin, daß der Zutritt zum Allerheiligsten
HEB.9.9	Dieser Vorderraum ist ein Sinnbild bis auf die gegenwärtige Zeit.
HEB.9.10	Ebenso wie die Bestimmungen über Speisen
HEB.9.11	Als Christus erschien,
HEB.9.12	Auch nicht das Blut von Böcken und Kälbern, sondern sein eigen Blut
HEB.9.13	Denn wenn schon das Blut von Böcken und Stieren und die Asche einer Kuh, woraus das Sprengwasser für Verunreinigte bereitet wird,
HEB.9.14	wieviel mehr wird da das Blut Christi, der, erfüllt und gestärkt von dem ewigen Geist,
HEB.9.15	So
HEB.9.16	Denn wo es sich um eine letztwillige Stiftung (oder ein Vermächtnis) handelt, da muß notwendig der Tod des Stifters nachgewiesen werden. 
HEB.9.17	Eine Stiftung wird erst dann rechtskräftig, wenn der Erblasser tot ist; bei seinen Lebzeiten hat sie keine Gültigkeit. 
HEB.9.18	Daher ist auch die alte Gottesstiftung nicht ohne Blutvergießen
HEB.9.19	Denn als Mose dem ganzen Volk alle Gebote des Gesetzes verkündigt hatte, da nahm er das Blut der Kälber und der Böcke
HEB.9.20	mit den Worten: "Dies ist das Blut der Stiftung, die Gott für euch verordnet hat."
HEB.9.21	Ebenso besprengte er die Stiftshütte und alle Geräte des Gottesdienstes mit dem Blut.
HEB.9.22	Ja nach der Vorschrift des Gesetzes wird fast alles mit Blut gereinigt, und ohne Blutvergießen ist keine Vergebung zu erlangen.
HEB.9.23	So mußten die Abbilder der himmlischen Dinge
HEB.9.24	Denn Christus ist nicht eingegangen in ein von Menschenhänden hergestelltes Heiligtum, also nicht in ein bloßes Abbild des wahrhaftigen Allerheiligsten.
HEB.9.25	Er ist auch nicht in den Himmel eingegangen, um sich dann wiederholt (Gott) zu opfern,
HEB.9.26	Sonst
HEB.9.27	Wie den Menschen ein einmaliges Sterben bestimmt ist und nach dem Sterben ein Gericht, 
HEB.9.28	so ist auch Christus nur einmal geopfert worden, um vieler Sünden zu tragen.
HEB.10.1	Das Gesetz
HEB.10.2	- Hätte man sonst nicht mit den Opfern aufgehört, wenn jene, die sie darbringen, dadurch ein für allemal gereinigt würden und kein Schuldbewußtsein mehr hätten? — 
HEB.10.3	Gerade durch die Opfer wird Jahr für Jahr
HEB.10.4	Denn es ist unmöglich, daß das Blut von Stieren und Böcken Sünden tilge. 
HEB.10.5	Deshalb spricht Christus auch bei seinem Eintritt in die Welt:
HEB.10.6	Brandopfer und Sündopfer gefallen dir nicht. 
HEB.10.7	Da sprach ich: Sieh, ich bin gekommen — im Buch
HEB.10.8	Während er in den Anfangsworten sagt: Schlachtopfer und Speisopfer, Brandopfer und Sündopfer hast du nicht gefordert, sie gefallen dir auch nicht — obgleich doch diese Opfer nach der Vorschrift des Gesetzes dargebracht werden müssen —, 
HEB.10.9	spricht er weiter: Sieh, ich bin gekommen, um deinen Willen zu tun. — Damit hebt er
HEB.10.10	Durch diesen Gotteswillen
HEB.10.11	Ferner: Jeder Priester
HEB.10.12	Dieser
HEB.10.13	Seitdem wartet er darauf, daß seine Feinde zum Schemel seiner Füße gelegt werden.
HEB.10.14	Denn mit einem Opfer hat er alle, die sich dadurch heiligen lassen, für immer zur Vollkommenheit gebracht.
HEB.10.15	Das bezeugt uns auch der Heilige Geist. Denn nach den Worten: 
HEB.10.16	Dies ist nun die Verordnung, die ich für sie aufrichten will nach jenen Tagen, spricht der Herr:
HEB.10.17	Und ihrer Sünden und Ungerechtigkeiten will ich nicht mehr gedenken.
HEB.10.18	Wo aber die Sünden wirklich vergeben sind, da ist kein Sündopfer weiter nötig. 
HEB.10.19	So haben wir nun, Brüder, die Zuversicht, daß uns der Eingang ins Allerheiligste
HEB.10.20	Er
HEB.10.21	Wir haben einen Hohenpriester, der da waltet über Gottes Haus.
HEB.10.22	Darum laßt uns (Gott) nahen mit aufrichtigem Herzen in voller Glaubenszuversicht! Durch die Besprengung unserer Herzen
HEB.10.23	laßt uns das Bekenntnis der Hoffnung unbeugsam festhalten! Denn er, der die Verheißung
HEB.10.24	Laßt uns sorgfältig aufeinander achten, um uns gegenseitig zur Liebe und zu guten Werken anzuspornen! 
HEB.10.25	Kehren wir nicht unserer besonderen gottesdienstlichen Versammlung
HEB.10.26	Denn wenn wir vorsätzlich
HEB.10.27	sondern es bleibt uns nur eine furchtbare Erwartung des Gerichts und der Zorneifer eines Feuers, das die Widersacher verzehren wird.
HEB.10.28	Wer das Gesetz Moses übertreten hat, der muß auf die Aussage zweier oder dreier Zeugen hin ohne Erbarmen sterben.
HEB.10.29	Wieviel härter, meint ihr wohl, wird da der bestraft werden, der den Sohn Gottes mit Füßen tritt, das Blut der Gottesstiftung, durch das er geheiligt worden ist, für wertlos hält
HEB.10.30	Wir kennen doch den, der gesagt hat: Mir kommt die Rache zu, ich will vergelten.
HEB.10.31	Furchtbar ist es, in die Hände des lebendigen Gottes zu fallen.
HEB.10.32	Denkt doch zurück an die vergangenen Tage, wo ihr bald nach eurer Erleuchtung
HEB.10.33	Bald wurdet ihr selbst durch Schmach und Trübsal der Welt zum Schauspiel, bald halfet ihr denen, die so leiden mußten.
HEB.10.34	Denn den Gefangenen
HEB.10.35	So laßt nun eure Hoffnungszuversicht nicht fahren! Eine hohe Belohnung ist ja mit ihr verbunden. 
HEB.10.36	Denn standhafte Ausdauer ist euch not, damit ihr Gottes Willen tut und den verheißenen Preis erlangt. 
HEB.10.37	Denn nur noch eine kleine, kleine Weile, dann wird erscheinen, der da kommen soll, und nicht verziehen. 
HEB.10.38	Mein Gerechter aber
HEB.10.39	Unsere Art ist's aber nicht, feig zurückzuweichen und dadurch ins Verderben zu geraten. Wir halten's mit dem Glauben, um das Leben zu gewinnen.
HEB.11.1	Glauben heißt: zuversichtlich vertrauen auf das, was man hofft, und fest überzeugt sein von Dingen, die man nicht sieht. 
HEB.11.2	Durch solchen Glauben haben die alten Väter Lob empfangen.
HEB.11.3	Durch den Glauben erkennen wir, daß die Welt durch Gottes Wort entstanden ist. Aus Unsichtbarem
HEB.11.4	Durch den Glauben hat Abel Gott ein angenehmeres Opfer dargebracht als Kain. Durch den Glauben empfing er auch das Zeugnis, gerecht zu sein, indem ihm Gott sein Wohlgefallen an seinen Opfergaben kundtat.
HEB.11.5	Seines Glauben wegen wurde Henoch entrückt, so daß er den Tod nicht sah, und er ward nicht mehr (auf Erden) gefunden, weil ihn Gott entrückt hatte. Denn nach dem Zeugnis der Schrift hat er vor seiner Entrückung nach Gottes Wohlgefallen gelebt.
HEB.11.6	Ohne Glauben aber ist's unmöglich, Gott zu gefallen. Denn wer Gott naht, der muß glauben, daß er da ist, und daß er denen, die ihn suchen,
HEB.11.7	Im Glauben baute Noah, dem Gott Kunde gab von dem, was noch nicht zu sehen war,
HEB.11.8	Im Glauben folgte Abraham dem göttlichen Befehl, auszuziehen an einen Ort, den er zum Erbe empfangen sollte; und er zog aus, ohne zu wissen, wohin.
HEB.11.9	Im Glauben lebte er als Gast
HEB.11.10	Denn er wartete auf die Stadt mit den rechten Grundfesten,
HEB.11.11	Durch Glauben empfing Sara trotz ihres hohen Alters die Fähigkeit zur Mutterschaft; denn sie hielt den für treu, der ihr die Verheißung gegeben hatte.
HEB.11.12	So ist denn
HEB.11.13	Im Glauben sind alle diese gestorben. Sie haben die verheißenen Güter nicht empfangen, sondern sie nur von ferne geschaut und mit Freuden begrüßt.
HEB.11.14	Die solche Sprache führen, erklären damit deutlich, daß sie eine Heimat suchen. 
HEB.11.15	Hätten sie dabei an jenes Land gedacht, von dem sie ausgezogen waren,
HEB.11.16	Nun aber tragen sie Verlangen nach einer besseren Heimat: nach einer Heimat, die im Himmel ist. Darum läßt sich Gott auch herab, sich ihren Gott zu nennen;
HEB.11.17	Im Glauben hat Abraham, als ihn Gott versuchte,
HEB.11.18	und an den das Wort ergangen war: Von Isaak soll dein Geschlecht herkommen.
HEB.11.19	Denn er war überzeugt: Gott hat die Macht, sogar Tote zu erwecken. Daher
HEB.11.20	Im Glauben segnete Isaak Jakob und Esau, indem er von zukünftigen Dingen redete.
HEB.11.21	Im Glauben segnete Jakob im Sterben die beiden Söhne Josefs,
HEB.11.22	Im Glauben gedachte Josef an seinem Lebensende des Auszugs der Kinder Israels und bestimmte, was mit seinen Gebeinen geschehen sollte.
HEB.11.23	Im Glauben ward Mose nach seiner Geburt drei Monate lang von seinen Eltern verborgen gehalten,
HEB.11.24	Im Glauben verschmähte es Mose, als er herangewachsen war, ein Sohn der Tochter Pharaos zu heißen. 
HEB.11.25	Er wollte lieber mit dem Volk Gottes Unbill leiden, als sich durch Sünde
HEB.11.26	Denn er hielt Christi Schmach für größeren Reichtum als Ägyptens Schätze, weil sein Blick auf die künftige Belohnung gerichtet war.
HEB.11.27	Im Glauben verließ er Ägypten,
HEB.11.28	Im Glauben hielt er das Passahfest und ließ (die Häuser) mit Blut besprengen,
HEB.11.29	Im Glauben gingen sie
HEB.11.30	Durch Glauben fielen Jerichos Mauern, als man sieben Tage lang um sie herumgezogen war.
HEB.11.31	Um ihres Glaubens willen kam die Dirne Rahab nicht ums Leben mit den Ungehorsamen, weil sie die Kundschafter freundlichen aufgenommen hatte.
HEB.11.32	Was soll ich noch weiter sagen?
HEB.11.33	Diese Männer haben in der Kraft des Glaubens Königreiche bezwungen, gerechte Gerichte geübt,
HEB.11.34	und Feuersglut gelöscht.
HEB.11.35	Frauen haben ihre Toten durch Auferstehung wiedererhalten.
HEB.11.36	Wieder andere wurden verhöhnt und gegeißelt, ja in Ketten und Kerker geworfen.
HEB.11.37	Sie wurden gesteinigt,
HEB.11.38	Die ganze Welt konnte ihnen keine würdige Wohnstatt bieten, und doch mußten sie in Wüsteneien und Gebirgen, in Höhen und Erdklüften heimatlos umherirren.
HEB.11.39	Diese alle
HEB.11.40	Denn im Blick auf uns hatte Gott etwas Besseres vor: sie sollten nicht ohne uns vollendet werden.
HEB.12.1	Weil wir von einer so dichten Zeugenwolke umgeben sind,
HEB.12.2	Dabei laßt uns unverwandt auf Jesus schauen, auf ihn, der den Glauben in uns pflanzt und auch zur vollen Reife bringt! Um die Freude zu erringen,
HEB.12.3	Ja denkt daran, welch großen Widerspruch er von den Sündern gegen sich erdulden mußte: dann werdet ihr nicht ermüden
HEB.12.4	Bis jetzt habt ihr
HEB.12.5	Aber trotzdem habt ihr schon die Mahnung ganz vergessen, die zu euch als Söhnen redet: Mein Sohn, mißachte nicht die Züchtigung des Herrn und laß den Mut nicht sinken, wenn du von ihm zurechtgewiesen wirst! 
HEB.12.6	Denn wen der Herr liebhat, den züchtigt er, und geißelt jeden Sohn, den er zur Kindschaft annimmt.
HEB.12.7	Stellt euch unter die Zucht und ertragt sie standhaft! Als Söhne behandelt euch Gott! Denn wo ist ein Sohn, den der Vater nicht züchtigt? 
HEB.12.8	Bleibt ihr aber ohne Züchtigung, die alle (Söhne Gottes) erfahren haben, dann seid ihr ja unechte, nicht echte Söhne. 
HEB.12.9	Ferner: unseren leiblichen Vätern, die uns züchtigen,
HEB.12.10	Jene
HEB.12.11	Jede Züchtigung
HEB.12.12	Darum: Richtet wieder auf die schlaffen Hände und die gelähmten Knie!
HEB.12.13	Und: Sucht ebene Bahnen
HEB.12.14	Sucht mit allen in Frieden zu leben
HEB.12.15	Habt acht darauf, daß niemand Gottes Gnade unbenutzt lasse! Sonst kann ein Giftkraut aufwachsen
HEB.12.16	Niemand sei bundbrüchig
HEB.12.17	Als er dann nachher, wie ihr wißt, den Segen doch erlangen wollte, da wurde er (von seinem Vater) zurückgewiesen. Er fand keine Möglichkeit, den Sinn (des Vaters) zu ändern,
HEB.12.18	Ihr seid ja
HEB.12.19	noch zu Posaunenklang
HEB.12.20	- Denn sie konnten nicht ertragen, daß verordnet wurde: Sogar ein Tier, das den Berg berührt, soll gesteinigt werden.
HEB.12.21	Ja die Erscheinung war so schrecklich, daß selbst Mose sprach: Ich bin voll Furcht und Zittern.
HEB.12.22	Ihr seid vielmehr hingetreten zu dem Berg Zion
HEB.12.23	zu einer Festversammlung vieler Tausend Engel,
HEB.12.24	zu Jesus, dem Vermittler einer neuen Gottesstiftung, und zu dem Blut der Besprengung,
HEB.12.25	Hütet euch, dem euer Ohr zu verschließen, der zu euch redet!
HEB.12.26	Damals
HEB.12.27	Dies Wort "Noch einmal" deutet an, daß das, was erschüttert wird — und zwar, weil es der (vergänglichen) Schöpfung angehört — verwandelt werden soll, damit für immer bleibe, was nicht erschüttert werden kann.
HEB.12.28	Weil wir nun im Begriff sind, ein unerschütterliches Königreich zu empfangen, so laßt uns dankbar sein!
HEB.12.29	Denn unser Gott ist auch ein verzehrendes Feuer.
HEB.13.1	Die Bruderliebe dauere fort!
HEB.13.2	Gastfreundschaft zu üben vergeßt nicht! Denn dadurch haben einige ohne ihr Wissen Engel beherbergt.
HEB.13.3	Gedenkt der Gefangenen,
HEB.13.4	Haltet die Ehe in jeder Hinsicht in Ehren; befleckt nicht das Ehebett! Denn Unzüchtige und Ehebrecher wird Gott richten. 
HEB.13.5	Euer Sinn sei frei von Geldgier! Seid zufrieden mit dem, was euch beschieden ist! Er selbst
HEB.13.6	Darum können wir auch getrosten Mutes sprechen: Der Herr ist mein Helfer, ich werde mich nicht fürchten. Was können mir Menschen tun?
HEB.13.7	Gedenkt eurer Führer, die euch Gottes Wort verkündigt haben! Schaut auf den Ausgang ihrer Erdenwallfahrt und folgt ihrem Glauben nach!
HEB.13.8	Jesus Christus ist gestern, heute und in Ewigkeit derselbe!
HEB.13.9	Laßt euch nicht durch allerlei fremdartige
HEB.13.10	Wir haben einen Altar,
HEB.13.11	Denn die Leiber jener Tiere, deren Blut zur Sühnung für die Sünde durch den Hohenpriester in das Allerheiligste getragen wird,
