GEN.1.1	Im Anfang schuf Gott die Himmel 
LUK.13.8	Er aber antwortet und sagt zu ihm: Herr, laß ihn noch dieses Jahr, bis ich um ihn graben und Dünger legen werde; 
LUK.13.9	und wenn er etwa Frucht bringen wird, gut, wenn aber nicht, so magst du ihn künftig abhauen.
LUK.13.10	Er lehrte aber am Sabbath in einer der Synagogen. 
LUK.13.11	Und siehe, 
LUK.13.12	Als aber Jesus sie sah, rief er ihr zu und sprach zu ihr: Weib, du bist gelöst von deiner Schwachheit! 
LUK.13.13	Und er legte ihr die Hände auf, und alsbald wurde sie gerade und verherrlichte Gott. 
LUK.13.14	Der Synagogenvorsteher aber, unwillig, daß Jesus am Sabbath heilte, hob an und sprach zu der Volksmenge: Sechs Tage sind es, an denen man arbeiten soll; an diesen nun kommt und laßt euch heilen, und nicht am Tage des Sabbaths. 
LUK.13.15	Der Herr nun antwortete ihm und sprach: Heuchler! löst nicht ein jeder von euch am Sabbath seinen Ochsen oder Esel von der Krippe und führt ihn hin und tränkt ihn? 
LUK.13.16	Diese aber, die eine Tochter Abrahams ist, welche der Satan gebunden hat, siehe, achtzehn Jahre, sollte sie nicht von dieser Fessel gelöst werden am Tage des Sabbaths? 
LUK.13.17	Und als er dies sagte, wurden alle seine Widersacher beschämt; und die ganze Volksmenge freute sich über all die herrlichen Dinge, welche durch ihn geschahen.
LUK.13.18	Er sprach aber: Wem ist das Reich Gottes gleich, und wem soll ich es vergleichen? 
LUK.13.19	Es ist gleich einem Senfkorn, welches ein Mensch nahm und in seinen Garten warf; und es wuchs und wurde zu einem großen Baume, und die Vögel des Himmels ließen sich nieder 
LUK.13.20	Und wiederum sprach er: Wem soll ich das Reich Gottes vergleichen? 
LUK.13.21	Es ist gleich einem Sauerteig, welchen ein Weib nahm und unter drei Maß Mehl verbarg, bis es ganz durchsäuert war. 
LUK.13.22	Und er durchzog nacheinander Städte und Dörfer, indem er lehrte und nach Jerusalem reiste.
LUK.13.23	Es sprach aber jemand zu ihm: Herr, sind derer wenige, die errettet werden? Er aber sprach zu ihnen: 
LUK.13.24	Ringet danach, durch die enge Pforte einzugehen; denn viele, sage ich euch, werden einzugehen suchen und werden es nicht vermögen. 
LUK.13.25	Von da an, wenn der Hausherr aufgestanden ist und die Tür verschlossen hat, und ihr anfangen werdet, draußen zu stehen und an die Tür zu klopfen und zu sagen: Herr, tue uns auf! und er antworten und zu euch sagen wird: Ich kenne euch nicht, wo ihr her seid; 
LUK.13.26	alsdann werdet ihr anfangen zu sagen: Wir haben vor dir gegessen und getrunken, und auf unseren Straßen hast du gelehrt. 
LUK.13.27	Und er wird sagen: Ich sage euch, ich kenne euch nicht, wo ihr her seid; weichet von mir, alle ihr Übeltäter! 
LUK.13.28	Da wird sein das Weinen und das Zähneknirschen, wenn ihr sehen werdet Abraham und Isaak und Jakob und alle Propheten im Reiche Gottes, euch aber draußen hinausgeworfen. 
LUK.13.29	Und sie werden kommen von Osten und Westen und von Norden und Süden und zu Tische liegen im Reiche Gottes. 
LUK.13.30	Und siehe, es sind Letzte, welche Erste sein werden, und es sind Erste, welche Letzte sein werden.
LUK.13.31	In derselben Stunde kamen einige Pharisäer herzu und sagten zu ihm: Geh hinaus und ziehe von hinnen, denn Herodes will dich töten. 
LUK.13.32	Und er sprach zu ihnen: Gehet hin und saget diesem Fuchs: Siehe, ich treibe Dämonen aus und vollbringe Heilungen heute und morgen, und am dritten Tage werde ich vollendet. 
LUK.13.33	Doch ich muß heute und morgen und am folgenden Tage wandeln; denn es geht nicht an, daß ein Prophet außerhalb Jerusalems umkomme. 
LUK.13.34	Jerusalem, Jerusalem, die da tötet die Propheten und steinigt, die zu ihr gesandt sind! Wie oft habe ich deine Kinder versammeln wollen, wie eine Henne ihre Brut unter die Flügel, und ihr habt nicht gewollt! 
LUK.13.35	Siehe, euer Haus wird euch überlassen. Ich sage euch aber: Ihr werdet mich nicht sehen, bis es kommt, daß ihr sprechet: "Gepriesen sei, der da kommt im Namen des Herrn!" 
LUK.14.1	Und es geschah, als er am Sabbath in das Haus eines der Obersten der Pharisäer kam, um zu essen, 
LUK.14.2	Und siehe, ein gewisser wassersüchtiger Mensch war vor ihm. 
LUK.14.3	Und Jesus hob an und sprach zu den Gesetzgelehrten und Pharisäern und sagte: Ist es erlaubt, am Sabbath zu heilen? 
LUK.14.4	Sie aber schwiegen. Und er faßte ihn an und heilte ihn und entließ ihn. 
LUK.14.5	Und er antwortete und sprach zu ihnen: Wer ist unter euch, dessen Esel oder Ochs in einen Brunnen fällt, und der ihn nicht alsbald herauszieht am Tage des Sabbaths? 
LUK.14.6	Und sie vermochten nicht, ihm darauf zu antworten.
LUK.14.7	Er sprach aber zu den Eingeladenen ein Gleichnis, indem er bemerkte, wie sie die ersten Plätze wählten, und sagte zu ihnen: 
LUK.14.8	Wenn du von jemandem zur Hochzeit geladen wirst, so lege dich nicht auf den ersten Platz, damit nicht etwa ein Geehrterer als du von ihm geladen sei, 
LUK.14.9	und der, welcher dich und ihn geladen hat, komme und zu dir spreche: Mache diesem Platz; und dann wirst du anfangen, mit Schande den letzten Platz einzunehmen. 
LUK.14.10	Sondern, wenn du geladen bist, so gehe hin und lege dich auf den letzten Platz, auf daß, wenn der, welcher dich geladen hat, kommt, er zu dir spreche: Freund, rücke höher hinauf. Dann wirst du Ehre haben vor allen, die mit dir zu Tische liegen; 
LUK.14.11	denn jeder, der sich selbst erhöht, wird erniedrigt werden, und wer sich selbst erniedrigt, wird erhöht werden. 
LUK.14.12	Er sprach aber auch zu dem, der ihn geladen hatte: Wenn du ein Mittags- oder ein Abendmahl machst, so lade nicht deine Freunde, noch deine Brüder, noch deine Verwandten, noch reiche Nachbarn, damit nicht etwa auch sie dich wiederladen und dir Vergeltung werde. 
LUK.14.13	Sondern wenn du ein Mahl machst, so lade Arme, Krüppel, Lahme, Blinde, 
LUK.14.14	und glückselig wirst du sein, weil sie nicht haben, dir zu vergelten; denn es wird dir vergolten werden in der Auferstehung der Gerechten.
LUK.14.15	Als aber einer von denen, die mit zu Tische lagen, dies hörte, sprach er zu ihm: Glückselig, wer Brot essen wird im Reiche Gottes! 
LUK.14.16	Er aber sprach zu ihm: Ein gewisser Mensch machte ein großes Abendmahl und lud viele. 
LUK.14.17	Und er sandte seinen Knecht 
LUK.14.18	Und sie fingen alle ohne Ausnahme an, sich zu entschuldigen. Der erste sprach zu ihm: Ich habe einen Acker gekauft und muß notwendig ausgehen und ihn besehen; ich bitte dich, halte mich für entschuldigt. 
LUK.14.19	Und ein anderer sprach: Ich habe fünf Joch Ochsen gekauft, und ich gehe hin, sie zu versuchen; ich bitte dich, halte mich für entschuldigt. 
LUK.14.20	Und ein anderer sprach: Ich habe ein Weib geheiratet, und darum kann ich nicht kommen. 
LUK.14.21	Und der Knecht kam herbei und berichtete dies seinem Herrn. Da wurde der Hausherr zornig und sprach zu seinem Knechte: Gehe eilends hinaus auf die Straßen und Gassen der Stadt, und bringe hier herein die Armen und Krüppel und Lahmen und Blinden. 
LUK.14.22	Und der Knecht sprach: Herr, es ist geschehen, wie du befohlen hast, und es ist noch Raum. 
LUK.14.23	Und der Herr sprach zu dem Knechte: Gehe hinaus auf die Wege und an die Zäune und nötige sie hereinzukommen, auf daß mein Haus voll werde; 
LUK.14.24	denn ich sage euch, daß nicht einer jener Männer, die geladen waren, mein Abendmahl schmecken wird.
LUK.14.25	Es ging aber eine große Volksmengen mit ihm; und er wandte sich um und sprach zu ihnen: 
LUK.14.26	Wenn jemand zu mir kommt und haßt nicht seinen Vater und seine Mutter und sein Weib und seine Kinder und seine Brüder und Schwestern, dazu aber auch sein eigenes Leben, so kann er nicht mein Jünger sein; 
LUK.14.27	und wer nicht sein Kreuz trägt und mir nachkommt, kann nicht mein Jünger sein. 
LUK.14.28	Denn wer unter euch, der einen Turm bauen will, setzt sich nicht zuvor nieder und berechnet die Kosten, ob er das Nötige zur Ausführung habe? 
LUK.14.29	auf daß nicht etwa, wenn er den Grund gelegt hat und nicht zu vollenden vermag, alle, die es sehen, anfangen ihn zu verspotten 
LUK.14.30	und sagen: Dieser Mensch hat angefangen zu bauen und vermochte nicht zu vollenden. 
LUK.14.31	Oder welcher König, der auszieht, um sich mit einem anderen König in Krieg einzulassen, setzt sich nicht zuvor nieder und ratschlagt, ob er imstande sei, dem mit Zehntausend entgegen zu treten, der wider ihn kommt mit Zwanzigtausend? 
LUK.14.32	wenn aber nicht, so sendet er, während er noch fern ist, eine Gesandtschaft und bittet um die Friedensbedingungen. 
LUK.14.33	Also nun jeder von euch, der nicht allem entsagt, was er hat, kann nicht mein Jünger sein. 
LUK.14.34	Das Salz 
LUK.14.35	Es ist weder für das Land noch für den Dünger tauglich; man wirft es hinaus. Wer Ohren hat zu hören, der höre!
LUK.15.1	Es nahten 
LUK.15.2	und die Pharisäer und die Schriftgelehrten murrten und sprachen: Dieser nimmt Sünder auf und isset mit ihnen. 
LUK.15.3	Er sprach aber zu ihnen dieses Gleichnis und sagte: 
LUK.15.4	Welcher Mensch unter euch, der hundert Schafe hat und eines von ihnen verloren hat, läßt nicht die neunundneunzig in der Wüste und geht dem verlorenen nach, bis er es findet? 
LUK.15.5	Und wenn er es gefunden hat, so legt er es mit Freuden auf seine Schultern; 
LUK.15.6	und wenn er nach Hause kommt, ruft er die Freunde und die Nachbarn zusammen und spricht zu ihnen: Freuet euch mit mir, denn ich habe mein Schaf gefunden, das verloren war. 
LUK.15.7	Ich sage euch: Also wird Freude im Himmel sein über einen Sünder, der Buße tut, mehr als über neunundneunzig Gerechte, welche der Buße nicht bedürfen. - 
LUK.15.8	Oder welches Weib, das zehn Drachmen hat, zündet nicht, wenn sie eine Drachme verliert, eine Lampe an und kehrt das Haus und sucht sorgfältig, bis sie sie findet? 
LUK.15.9	Und wenn sie sie gefunden hat, ruft sie die Freundinnen und Nachbarinnen zusammen und spricht: Freuet euch mit mir, denn ich habe die Drachme gefunden, die ich verloren hatte. 
LUK.15.10	Also, sage ich euch, ist Freude 
LUK.15.11	Er sprach aber: Ein gewisser Mensch hatte zwei Söhne; 
LUK.15.12	und der jüngere von ihnen sprach zu dem Vater: Vater, gib mir den Teil des Vermögens, der mir zufällt. Und er teilte ihnen die Habe. 
LUK.15.13	Und nach nicht vielen Tagen brachte der jüngere Sohn alles zusammen und reiste weg in ein fernes Land, und daselbst vergeudete er sein Vermögen, indem er ausschweifend lebte. 
LUK.15.14	Als er aber alles verzehrt hatte, kam eine gewaltige Hungersnot über jenes Land, und er selbst fing an, Mangel zu leiden. 
LUK.15.15	Und er ging hin und hängte sich an einen der Bürger jenes Landes; der 
LUK.15.16	Und er begehrte, seinen Bauch zu füllen mit den Träbern, 
LUK.15.17	Als er aber zu sich selbst kam, sprach er: Wie viele Tagelöhner meines Vaters haben Überfluß an Brot, ich aber komme hier um vor Hunger. 
LUK.15.18	Ich will mich aufmachen und zu meinem Vater gehen, und will zu ihm sagen: Vater, ich habe gesündigt gegen den Himmel und vor dir, 
LUK.15.19	ich bin nicht mehr würdig, dein Sohn zu heißen; mache mich wie einen deiner Tagelöhner. 
LUK.15.20	Und er machte sich auf und ging zu seinem 
LUK.15.21	Der Sohn aber sprach zu ihm: Vater, ich habe gesündigt gegen den Himmel und vor dir, ich bin nicht mehr würdig, dein Sohn zu heißen. 
LUK.15.22	Der Vater aber sprach zu seinen Knechten: Bringet das beste Kleid her und ziehet es ihm an und tut einen Ring an seine Hand und Sandalen an seine Füße; 
LUK.15.23	und bringet das gemästete Kalb her und schlachtet es, und lasset uns essen und fröhlich sein; 
LUK.15.24	denn dieser mein Sohn war tot und ist wieder lebendig geworden, war verloren und ist gefunden worden. Und sie fingen an fröhlich zu sein. 
LUK.15.25	Es war aber sein älterer Sohn auf dem Felde; und als er kam und sich dem Hause näherte, hörte er Musik und Reigen. 
LUK.15.26	Und er rief einen der Knechte herzu und erkundigte sich, was das wäre. 
LUK.15.27	Der aber sprach zu ihm: Dein Bruder ist gekommen, und dein Vater hat das gemästete Kalb geschlachtet, weil er ihn gesund wieder erhalten hat. 
LUK.15.28	Er aber wurde zornig und wollte nicht hineingehen. Sein Vater aber ging hinaus und drang in ihn. 
LUK.15.29	Er aber antwortete und sprach zu dem Vater: Siehe, so viele Jahre diene ich dir, und niemals habe ich ein Gebot von dir übertreten; und mir hast du niemals ein Böcklein gegeben, auf daß ich mit meinen Freunden fröhlich wäre; 
LUK.15.30	da aber dieser dein Sohn gekommen ist, der deine Habe mit Huren verschlungen hat, hast du ihm das gemästete Kalb geschlachtet. 
LUK.15.31	Er aber sprach zu ihm: Kind, du bist allezeit bei mir, und all das Meinige ist dein. 
LUK.15.32	Es geziemte sich aber fröhlich zu sein und sich zu freuen; denn dieser dein Bruder war tot und ist wieder lebendig geworden und verloren und ist gefunden worden.
LUK.16.1	Er sprach aber auch zu 
LUK.16.2	Und er rief ihn und sprach zu ihm: Was ist dies, das ich von dir höre? lege die Rechnung von deiner Verwaltung ab, denn du wirst nicht mehr Verwalter sein können. 
LUK.16.3	Der Verwalter aber sprach bei sich selbst: Was soll ich tun? denn mein Herr nimmt mir die Verwaltung ab. Zu graben vermag ich nicht, zu betteln schäme ich mich. 
LUK.16.4	Ich weiß, was ich tun werde, auf daß sie mich, wenn ich der Verwaltung enthoben bin, in ihre Häuser aufnehmen. 
LUK.16.5	Und er rief jeden einzelnen der Schuldner seines Herrn herzu und sprach zu dem ersten: Wieviel bist du meinem Herrn schuldig? 
LUK.16.6	Der aber sprach: Hundert Bath Öl. Und er sprach zu ihm: Nimm deinen Schuldbrief und setze dich flugs hin und schreibe fünfzig. 
LUK.16.7	Danach sprach er zu einem anderen: Du aber, wieviel bist du schuldig? Der aber sprach: Hundert Kor Weizen. Und er spricht zu ihm: Nimm deinen Schuldbrief und schreibe achtzig. 
LUK.16.8	Und der Herr lobte den ungerechten Verwalter, weil er klug gehandelt hatte; denn die Söhne dieser Welt 
LUK.16.9	Und ich sage euch: Machet euch Freunde mit dem ungerechten Mammon, auf daß, wenn er zu Ende geht, ihr aufgenommen werdet in die ewigen Hütten. 
LUK.16.10	Wer im Geringsten treu ist, ist auch in vielem treu, und wer im Geringsten ungerecht ist, ist auch in vielem ungerecht. 
LUK.16.11	Wenn ihr nun in dem ungerechten Mammon nicht treu gewesen seid, wer wird euch das Wahrhaftige anvertrauen? 
LUK.16.12	und wenn ihr in dem Fremden nicht treu gewesen seid, wer wird euch das Eurige geben? 
LUK.16.13	Kein Hausknecht kann zwei Herren dienen; denn entweder wird er den einen hassen und den anderen lieben, oder er wird dem einen anhangen und den anderen verachten. Ihr könnt nicht Gott dienen und dem Mammon. 
LUK.16.14	Dies alles hörten aber auch die Pharisäer, welche geldliebend waren, und sie verhöhnten ihn. 
LUK.16.15	Und er sprach zu ihnen: Ihr seid es, die sich selbst rechtfertigen vor den Menschen, Gott aber kennt eure Herzen; denn was unter den Menschen hoch ist, ist ein Greuel vor Gott. 
LUK.16.16	Das Gesetz und die Propheten waren bis auf Johannes; von da an wird das Evangelium des Reiches Gottes verkündigt, und jeder dringt mit Gewalt hinein. 
LUK.16.17	Es ist aber leichter, daß der Himmel und die Erde vergehen, als daß ein Strichlein des Gesetzes wegfalle. 
LUK.16.18	Jeder, der sein Weib entläßt und eine andere heiratet, begeht Ehebruch; und jeder, der die von einem Manne Entlassene heiratet, begeht Ehebruch.
LUK.16.19	Es war aber ein gewisser reicher Mann, und er kleidete sich in Purpur und feine Leinwand 
LUK.16.20	 aber ein gewisser Armer, mit Namen Lazarus, 
LUK.16.21	und er begehrte, sich von den Brosamen zu sättigen, die von dem Tische des Reichen fielen; aber auch die Hunde kamen und leckten seine Geschwüre. 
LUK.16.22	Es geschah aber, daß der Arme starb und von den Engeln getragen wurde in den Schoß Abrahams. Es starb aber auch der Reiche und wurde begraben. 
LUK.16.23	Und in dem Hades seine Augen aufschlagend, als er in Qualen war, sieht er Abraham von ferne und Lazarus in seinem Schoße. 
LUK.16.24	Und er rief und sprach: Vater Abraham, erbarme dich meiner und sende Lazarus, daß er die Spitze seines Fingers ins Wasser tauche und meine Zunge kühle; denn ich leide Pein in dieser Flamme. 
LUK.16.25	Abraham aber sprach: Kind, gedenke, daß du dein Gutes völlig empfangen hast in deinem Leben, und Lazarus gleicherweise das Böse; jetzt aber wird er hier getröstet, du aber leidest Pein. 
LUK.16.26	Und zu diesem allem ist zwischen uns und euch eine große Kluft befestigt, damit die, welche von hier zu euch hinübergehen wollen, nicht können, noch die, welche von dort zu uns herüberkommen wollen. 
LUK.16.27	Er sprach aber: Ich bitte dich nun, Vater, daß du ihn in das Haus meines Vaters sendest, 
LUK.16.28	denn ich habe fünf Brüder, damit er ihnen ernstlich Zeugnis gebe, 
LUK.16.29	Abraham aber spricht zu ihm: Sie haben Moses und die Propheten; laß sie die hören. 
LUK.16.30	Er aber sprach: Nein, Vater Abraham, sondern wenn jemand von den Toten zu ihnen geht, so werden sie Buße tun. 
LUK.16.31	Er sprach aber zu ihm: Wenn sie Moses und die Propheten nicht hören, so werden sie auch nicht überzeugt werden, wenn jemand aus den Toten aufersteht.
LUK.17.1	Er sprach aber zu seinen Jüngern: Es ist unmöglich, daß nicht Ärgernisse kommen; wehe aber dem, durch welchen sie kommen! 
LUK.17.2	Es wäre ihm nützlicher, 
LUK.17.3	Habet acht auf euch selbst: wenn dein Bruder sündigt, so verweise es ihm, und wenn er es bereut, so vergib ihm. 
LUK.17.4	Und wenn er siebenmal des Tages an dir sündigt und siebenmal zu dir umkehrt und spricht: Ich bereue es, so sollst du ihm vergeben. 
LUK.17.5	Und die Apostel sprachen zu dem Herrn: Vermehre uns den Glauben! 
LUK.17.6	Der Herr aber sprach: Wenn ihr Glauben habt wie ein Senfkorn, so würdet ihr zu diesem Maulbeerfeigenbaum sagen: Werde entwurzelt und ins Meer gepflanzt! und er würde euch gehorchen. 
LUK.17.7	Wer aber von euch, der einen Knecht 
LUK.17.8	Wird er nicht vielmehr zu ihm sagen: Richte zu, was ich zu Abend essen soll, und gürte dich und diene mir, bis ich gegessen und getrunken habe; und danach sollst du essen und trinken? 
LUK.17.9	Dankt er etwa dem Knechte, daß er das Befohlene getan hat? Ich meine nicht. 
LUK.17.10	Also auch ihr, wenn ihr alles getan habt, was euch befohlen ist, so sprechet: Wir sind unnütze Knechte; wir haben getan, was wir zu tun schuldig waren.
LUK.17.11	Und es geschah, als er nach Jerusalem reiste, daß er mitten durch Samaria und Galiläa ging. 
LUK.17.12	Und als er in ein gewisses Dorf eintrat, begegneten ihm zehn aussätzige Männer, welche von ferne standen. 
LUK.17.13	Und sie erhoben ihre Stimme und sprachen: Jesu, Meister, erbarme dich unser! 
LUK.17.14	Und als er sie sah, sprach er zu ihnen: Gehet hin und zeiget euch den Priestern. Und es geschah, indem sie hingingen, wurden sie gereinigt. 
LUK.17.15	Einer aber von ihnen, als er sah, daß er geheilt war, kehrte zurück, indem er mit lauter Stimme Gott verherrlichte; 
LUK.17.16	und er fiel aufs Angesicht zu seinen Füßen und dankte ihm; und derselbe war ein Samariter. 
LUK.17.17	Jesus aber antwortete und sprach: Sind nicht die zehn gereinigt worden? wo sind 
LUK.17.18	Sind keine gefunden worden, die zurückkehrten, um Gott Ehre zu geben, außer diesem Fremdling? 
LUK.17.19	Und er sprach zu ihm: Stehe auf und gehe hin; dein Glaube hat dich gerettet.
LUK.17.20	Und als er von den Pharisäern gefragt wurde: Wann kommt das Reich Gottes? antwortete er ihnen und sprach: Das Reich Gottes kommt nicht so, daß man es beobachten könnte; 
LUK.17.21	noch wird man sagen: Siehe hier! oder: Siehe dort! denn siehe, das Reich Gottes ist mitten unter euch. 
LUK.17.22	Er sprach aber zu den Jüngern: Es werden Tage kommen, da ihr begehren werdet, einen der Tage des Sohnes des Menschen zu sehen, und ihr werdet ihn nicht sehen. 
LUK.17.23	Und man wird zu euch sagen: Siehe hier! oder: Siehe dort! Gehet nicht hin, folget auch nicht. 
LUK.17.24	Denn gleichwie der Blitz blitzend leuchtet von einem Ende unter dem Himmel bis zum anderen Ende unter dem Himmel, also wird der Sohn des Menschen sein an seinem Tage. 
LUK.17.25	Zuvor aber muß er vieles leiden und verworfen werden von diesem Geschlecht. 
LUK.17.26	Und gleichwie es in den Tagen Noahs geschah, also wird es auch sein in den Tagen des Sohnes des Menschen: 
LUK.17.27	sie aßen, sie tranken, sie heirateten, sie wurden verheiratet, bis zu dem Tage, da Noah in die Arche ging, und die Flut kam und alle umbrachte. 
LUK.17.28	Gleicherweise auch, wie es geschah in den Tagen Lots: sie aßen, sie tranken, sie kauften, sie verkauften, sie pflanzten, sie bauten; 
LUK.17.29	an dem Tage aber, da Lot von Sodom ausging, regnete es Feuer und Schwefel vom Himmel und brachte alle um. 
LUK.17.30	Desgleichen wird es an dem Tage sein, da der Sohn des Menschen geoffenbart wird. 
LUK.17.31	An jenem Tage-wer auf dem Dache 
LUK.17.32	Gedenket an Lots Weib! 
LUK.17.33	Wer irgend sein Leben zu retten sucht, wird es verlieren; und wer irgend es verliert, wird es erhalten. 
LUK.17.34	Ich sage euch: In jener Nacht werden zwei auf einem Bette sein; einer wird genommen und der andere gelassen werden. 
LUK.17.35	Zwei Weiber werden zusammen mahlen, die eine wird genommen, 
LUK.17.37	Und sie antworten und sagen zu ihm: Wo, Herr? Er aber sprach zu ihnen: Wo der Leichnam ist, da werden auch die Adler versammelt werden.
LUK.18.1	Er sagte ihnen aber auch ein Gleichnis dafür, daß sie allezeit beten und nicht ermatten sollten, 
LUK.18.2	und sprach: Es war ein gewisser Richter in einer Stadt, der Gott nicht fürchtete und vor keinem Menschen sich scheute. 
LUK.18.3	Es war aber eine Witwe in jener Stadt; und sie kam zu ihm und sprach: Schaffe mir Recht von meinem Widersacher. 
LUK.18.4	Und eine Zeitlang wollte er nicht; danach aber sprach er bei sich selbst: Wenn ich auch Gott nicht fürchte und vor keinem Menschen mich scheue, 
LUK.18.5	so will ich doch, weil diese Witwe mir Mühe macht, 
LUK.18.6	Der Herr aber sprach: Höret, was der ungerechte Richter sagt. 
LUK.18.7	Gott aber, sollte er das Recht seiner Auserwählten nicht ausführen, die Tag und Nacht zu ihm schreien, und ist er in Bezug auf sie langmütig? 
LUK.18.8	Ich sage euch, daß er ihr Recht schnell ausführen wird. Doch wird wohl der Sohn des Menschen, wenn er kommt, den Glauben finden auf der Erde?
LUK.18.9	Er sprach aber auch zu etlichen, die auf sich selbst vertrauten, daß sie gerecht seien, und die übrigen für nichts achteten, dieses Gleichnis: 
LUK.18.10	Zwei Menschen gingen hinauf in den Tempel, 
LUK.18.11	Der Pharisäer stand und betete bei sich selbst also: O Gott, ich danke dir, daß ich nicht bin wie die übrigen der Menschen, Räuber, Ungerechte, Ehebrecher, oder auch wie dieser Zöllner. 
LUK.18.12	Ich faste zweimal in der Woche, ich verzehnte alles, was ich erwerbe. 
LUK.18.13	Und der Zöllner, von ferne stehend, wollte sogar die Augen nicht aufheben gen Himmel, sondern schlug an seine Brust und sprach: O Gott, sei mir, dem Sünder, gnädig! 
LUK.18.14	Ich sage euch: Dieser ging gerechtfertigt hinab in sein Haus vor 
LUK.18.15	Sie brachten aber auch die Kindlein 
LUK.18.16	Jesus aber rief sie herzu und sprach: Lasset die Kindlein zu mir kommen und wehret ihnen nicht, denn solcher ist das Reich Gottes. 
LUK.18.17	Wahrlich, ich sage euch: Wer irgend das Reich Gottes nicht aufnehmen wird wie ein Kindlein, wird nicht in dasselbe eingehen.
LUK.18.18	Und es fragte ihn ein gewisser Oberster und sprach: Guter Lehrer, was muß ich getan haben, um ewiges Leben zu ererben? 
LUK.18.19	Jesus aber sprach zu ihm: Was heißest du mich gut? Niemand ist gut, als nur einer, Gott. 
LUK.18.20	Die Gebote weißt du: "Du sollst nicht ehebrechen; du sollst nicht töten; du sollst nicht stehlen; du sollst nicht falsches Zeugnis geben; ehre deinen Vater und deine Mutter". 
LUK.18.21	Er aber sprach: Dies alles habe ich beobachtet von meiner Jugend an. 
LUK.18.22	Als aber Jesus dies hörte, sprach er zu ihm: Noch eines fehlt dir: verkaufe alles, was du hast, und verteile es an die Armen, und du wirst einen Schatz in den Himmeln haben, und komm, folge mir nach. 
LUK.18.23	Als er aber dies hörte, wurde er sehr betrübt, denn er war sehr reich. 
LUK.18.24	Als aber Jesus sah, daß er sehr betrübt wurde, sprach er: Wie schwerlich werden die, welche Güter 
LUK.18.25	denn es ist leichter, daß ein Kamel durch ein Nadelöhr eingehe, als daß ein Reicher in das Reich Gottes eingehe. 
LUK.18.26	Es sprachen aber die es hörten: Und wer kann dann errettet werden? 
LUK.18.27	Er aber sprach: Was bei Menschen unmöglich ist, ist möglich bei Gott. 
LUK.18.28	Petrus aber sprach: Siehe, wir haben alles 
LUK.18.29	Er aber sprach zu ihnen: Wahrlich, ich sage euch: Es ist niemand, der Haus oder Eltern oder Brüder oder Weib oder Kinder verlassen hat um des Reiches Gottes willen, 
LUK.18.30	der nicht Vielfältiges empfangen wird in dieser Zeit und in dem kommenden Zeitalter ewiges Leben.
LUK.18.31	Er nahm aber die Zwölfe zu sich und sprach zu ihnen: Siehe, wir gehen hinauf nach Jerusalem, und es wird alles vollendet werden, was durch die Propheten auf den Sohn des Menschen geschrieben ist; 
LUK.18.32	denn er wird den Nationen überliefert werden und wird verspottet und geschmäht und angespieen werden; 
LUK.18.33	und wenn sie ihn gegeißelt haben, werden sie ihn töten, und am dritten Tage wird er auferstehen. 
LUK.18.34	Und sie verstanden nichts von diesen Dingen, und dieses Wort war vor ihnen verborgen, 
LUK.18.35	Es geschah aber, als er Jericho nahte, saß ein gewisser Blinder bettelnd am Wege. 
LUK.18.36	Und als er eine Volksmenge vorbeiziehen hörte, erkundigte er sich, was das wäre. 
LUK.18.37	Sie verkündeten ihm aber, daß Jesus, der Nazaräer, vorübergehe. 
LUK.18.38	Und er rief und sprach: Jesu, Sohn Davids, erbarme dich meiner! 
LUK.18.39	Und die Vorangehenden bedrohten ihn, daß er schweigen sollte; er aber schrie um so mehr: Sohn Davids, erbarme dich meiner! 
LUK.18.40	Jesus aber stand still und hieß ihn zu sich führen. Als er aber sich näherte, fragte er ihn 
LUK.18.41	 : Was willst du, daß ich dir tun soll? Er aber sprach: Herr, daß ich sehend werde! 
LUK.18.42	Und Jesus sprach zu ihm: Sei sehend! dein Glaube hat dich geheilt. 
LUK.18.43	Und alsbald ward er sehend und folgte ihm nach, indem er Gott verherrlichte. Und das ganze Volk, das es sah, gab Gott Lob.
LUK.19.1	Und er ging hinein und zog durch Jericho. 
LUK.19.2	Und siehe, da war ein Mann, mit Namen Zachäus, und selbiger war ein Oberzöllner, und er war reich. 
LUK.19.3	Und er suchte Jesum zu sehen, wer er wäre; und er vermochte es nicht vor der Volksmenge, denn er war klein von Gestalt. 
LUK.19.4	Und er lief voraus und stieg auf einen Maulbeerfeigenbaum, auf daß er ihn sähe; denn er sollte daselbst durchkommen. 
LUK.19.5	Und als er an den Ort kam, sah Jesus auf und erblickte ihn und sprach zu ihm: Zachäus, steige eilends hernieder, denn heute muß ich in deinem Hause bleiben. 
LUK.19.6	Und er stieg eilends hernieder und nahm ihn auf mit Freuden. 
LUK.19.7	Und als sie es sahen, murrten alle und sagten: Er ist eingekehrt, um bei einem sündigen Manne zu herbergen. 
LUK.19.8	Zachäus aber stand und sprach zu dem Herrn: Siehe, Herr, die Hälfte meiner Güter gebe ich den Armen, und wenn ich von jemandem etwas durch falsche Anklage genommen habe, so erstatte ich es vierfältig. 
LUK.19.9	Jesus aber sprach zu ihm: Heute ist diesem Hause Heil widerfahren, dieweil auch er ein Sohn Abrahams ist; 
LUK.19.10	denn der Sohn des Menschen ist gekommen, zu suchen und zu erretten, was verloren ist.
