MAT.1.1	Awa ndiwo makholo a dzindza ya Yezu Kirixtu, Mwana wa Dhavidhi, Mwana wa Abharaamu.
REV.6.16	Iwo akhakhuwa kuna mapiri na kuna myala kuti: “Tigwereni pyathu mutibise, tikhonde kuoneka pa nkhope pa ule adakhala pa mpando wa umambo, pontho kuti tithawe kuipirwa kwa Mwana Bira! 
REV.6.17	Thangwi yafika ntsiku ikulu ya kuchunyuswa kwawo.
REV.7.1	Pakumala penepyo, ndaona anju zinai ziri dzololo mu nkhomu zinai za dziko, mbiziphata mphepo zinai za dziko, toera kupingiza kuti ikhonde oneka mphepo ibodzi ya kupepesa pa dziko, m'bara peno kupepesa miti inango. 
REV.7.2	Na tenepo, ndaona anju unango mbakhakwira kumabulukira dzuwa na cidhindo m'manja ca Mulungu wa m'maso. Iye akhuwa pikulu kakamwe kuna anju zinai zire zikhadapaswa mphambvu za kufudza dziko na bara, 
REV.7.3	mbazipanga tenepa: “Lekani kufudza dziko, peno bara, peno miti, mpaka panamala ife kudhinda nkhope za anyabasa a Mulungu wathu.” 
REV.7.4	Na tenepo, ndabva kulengeswa kwa ale adadhindwa. Akhali pikwi dzana na makumanai na pinai pya anthu a madzindza onsene a ana a Izarayeli.
REV.7.5	Dzindza ya Djudaa,
REV.7.5	adadhindwa ndi pikwi khumi na piwiri.
REV.7.5	Dzindza ya Rubheni, pikwi khumi na piwiri.
REV.7.5	Dzindza ya Gadhi, pikwi khumi na piwiri.
REV.7.6	Dzindza ya Aseri, pikwi khumi na piwiri.
REV.7.6	Dzindza ya Nafitali, pikwi khumi na piwiri.
REV.7.6	Dzindza ya Manase, pikwi khumi na piwiri.
REV.7.7	Dzindza ya Simiyau, pikwi khumi na piwiri.
REV.7.7	Dzindza ya Levi, pikwi khumi na piwiri.
REV.7.7	Dzindza ya Isakari, pikwi khumi na piwiri.
REV.7.8	Dzindza ya Zebhuloni, pikwi khumi na piwiri.
REV.7.8	Dzindza ya Zuze, pikwi khumi na piwiri.
REV.7.8	Dzindza ya Bhenjamini, pikwi khumi na piwiri.
REV.7.9	Pakumala penepyo ndalang'ana, mbandiona patsogolo panga mwinji wa anthu a madziko onsene, a madzindza onsene, a mbumba zonsene na a malongero onsene, kuti nkhabe munthu akhakwanisa kualengesa. Akhadalimira patsogolo pa mpando wa umambo, na patsogolo pa Mwana Bira. Iwo akhadabvala nguwo zakucena zakulapha, mbaphata micindu m'manja mwawo. 
REV.7.10	Iwo akhakhuwa pikulu kakamwe mbalonga tenepa:
REV.7.10	“Upulumuki ndi wa
REV.7.10	Mulungu wathu
REV.7.10	adakhala pa mpando wa umambo,
REV.7.10	pontho ndi wa Mwana Bira.”
REV.7.11	Anju zonsene zikhadalimira mbazizungulira mpando wa umambo, akulu-akulu, na pinthu pinai pya m'maso. Izo zagodama patsogolo pa mpando wa umambo, mbizigwa pantsi na nkhope, mbizilambira Mulungu, 
REV.7.12	mbizilonga tenepa:
REV.7.12	“Ameni!
REV.7.12	Kukuzwa, mbiri,
REV.7.12	udziwisi, kupereka takhuta,
REV.7.12	kulemebza, utongi na mphambvu
REV.7.12	mbapikhale na Mulungu wathu
REV.7.12	kwenda na kwenda.
REV.7.12	Ameni!”
REV.7.13	Na tenepo, m'bodzi wa akulu-akulu andibvundza tenepa: “Mbani awa adabvala nguwo zakucena zakulapha, pontho abuluka kupi?”
REV.7.14	Ine ndatawira tenepa: Mbuya, imwe ndimwe munaadziwa.
REV.7.14	Iye alonga tenepa: “Awa ndiwo adabuluka ku nyatwa ikulu, afula nguwo zawo zakulapha mbazicenesa mu ciropa ca Mwana Bira. 
REV.7.15	Na thangwi eneyo,
REV.7.15	“iwo ali patsogolo pa mpando wa umambo
REV.7.15	wa Mulungu,
REV.7.15	mbam'phatira basa masiku na masikati
REV.7.15	mu nyumba yace ya ntsembe.
REV.7.15	Pontho ule adakhala pa mpando wa umambo
REV.7.15	anaakoya mu khumbi yace ya ntsembe.
REV.7.16	cipo anadza kabva pontho nyota.
REV.7.16	Dzuwa, na kupisa,
REV.7.16	nkhabe kudza kaathabusa,
REV.7.17	pakati pa mpando wa umambo,
REV.7.17	anadza kakhala nkumbidzi wawo.
REV.7.17	Iye anadza kaakumbiza mbaenda na iwo
REV.7.17	kuna mphuno za madzi a upulumuki.
REV.7.17	Pontho Mulungu anaapukuta misozi yonsene iri m'maso mwawo.”
REV.8.1	Mwana Bira pidafungula iye cidhindo cacinomwe, pyonsene pikhakhala kudzulu pyamatama, pa n'dzidzi ung'ono. 
REV.8.2	Penepo ndaona anju zinomwe mbizidalimira patsogolo pana Mulungu. Izo zapasiwa makaluta manomwe.
REV.8.3	Anju unango akhadza na combo cibodzi ca oro cinapisirwa pinthu pya kununkhira pinacemerwa isensu. Iye afendedzera mbalimira dhuzi na guwa ya ntsembe. Pontho iye apasiwa isensu izinji, toera aipereke pabodzi pene na miphembero ya mbumba yonsene ya Mulungu, pa guwa ya ntsembe ya oro, patsogolo pa mpando wa umambo. 
REV.8.4	Penepo, uchi wa isensu wakwira mpaka kuna Mulungu pabodzi na miphembero ya mbumba ya Mulungu, kubulukira mu combo cikhali m'manja mwa anju. 
REV.8.5	Na tenepo, anju akwata combo ca pinthu pyakununkhira, mbacidzadza na moto wa pa guwa ya ntsembe, mbauponya pantsi pano. Penepo paoneka kucetuma, kudhima, njazi na citeke-teke.
REV.8.6	Na tenepo, anju zinomwe zikhakhala na makaluta manomwe, zatoma kusasanyira toera ziyimbe.
REV.8.7	Anju wakutoma aimba kaluta yace. Penepo matalala na moto wakubvungazikana na ciropa, pyaponyiwa pantsi pano. Phindi ibodzi yacitatu ya mataka, na phindi ibodzi yacitatu ya miti, na tsanga yonsene iwisi, pyonsene pyamala kupya.
REV.8.8	Anju waciwiri aimba kaluta yace. Penepo, cinthu cinango cakulandana ninga phiri ikulu mbikhagaka moto, caponyiwa m'bara. Phindi ibodzi yacitatu ya bara yacinjika kudza ciropa. 
REV.8.9	Phindi ibodzi yacitatu ya pinyama pya m'bara, pyafa. Pontho phindi ibodzi yacitatu ya maxitima a m'madzi, amala kufudziwa.
REV.8.10	Anju wacitatu aimba kaluta yace. Penepo, yagwa buluka kudzulu nyenyezi ibodzi ikulu ikhapya ninga ntsakali, mbigwera phindi ibodzi yacitatu ya mikulo na ya mphuno za madzi. 
REV.8.11	Nyenyezi eneyo isacemerwa “Kuwawa.
REV.8.13	Pikhalang'ana ine, ndabva capungu cikhamburuka kudzulu kakamwe mbicikhalonga na kukhuwa kuti: “Nyatwa, nyatwa, nyatwa kuna ale anakhala pantsi pano, na thangwi ya makaluta anafuna kuimbwa cincino na maanju anango atatu!”
REV.9.1	Anju wacixanu aimba kaluta yace, mbindiona nyenyezi ikhadagwa pantsi buluka kudzulu. Nyenyezi yapaswa cavi ca kufungula naco djenje yakuzika kakamwe. 
REV.9.2	Nyenyezi mudafungula iyo djenje yakuzika ire kakamwe, mwenemu mwabuluka uchi ninga wa pa foruno ikulu kakamwe. Dzuwa na kudzulu pyaswipa na uchi ukhabuluka mu djenje eneyi yakuzika kakamwe. 
REV.9.3	Pa uchi pabuluka anyadzombe mbadza pa dziko, mbapaswa mphambvu ninga za akong'a a padziko. 
REV.9.4	Iwo apangwa kuti aleke bvunga thongwe ya pantsi pano, aleke kudya masamba anango mawisi peno miti, mbwenye alume ale anthu adasoweka cidhindo ca Mulungu pa nkhope pawo. 
REV.9.5	Iwo hadapaswa mphambvu za kuapha tayu, mbwenye apaswa mphambvu za kuathabusa pa myezi mixanu. Nyatwa zikhabva iwo, zikhali ninga za kong'a angaluma munthu. 
REV.9.6	Pa ntsiku zenezo anthu anasaka kufa, mbwenye hanakugumana tayu. Anadza kafuna kuti afe, mbwenye kufa kunaathawa.
REV.9.7	Anyadzombe akhakhala ninga makavalo akumala kusasanyirwa kuti aende ku nkhondo. M'misolo mwawo mukhali na pinthu ninga nthimba za oro, pontho nkhope zawo zikhali ninga za anthu. 
REV.9.8	Tsisi yawo ikhali ninga tsisi ya nkazi, pontho mano awo akhali ninga mano a nkhalamu. 
REV.9.9	Pa cifuwa pawo akhadabvala cinthu cakugugumira, ninga ca utale. Kulira kwa mapapido awo, kukhabveka ninga makavalo mazinji ali kuthamanga na ngolo zawo kwenda ku nkhondo. 
REV.9.10	Akhali na micira na mbolera ninga za kong'a, pontho m'micira mwawo mukhali na mphambvu za kuthabusa anthu pa myezi mixanu. 
REV.9.11	Akhali na mambo wawo m'bodzi, anju wa djenje yakuzika kakamwe, dzina yace nciebhereu ndi Abhadhoni, ncigerego ndi Apoliyoni.
REV.9.12	Nyatwa yakutoma yamala, zinango ziwiri zisafuna kudza.
REV.9.13	Anju yacitanthatu yaimba kaluta yace, mbandibva fala ikhabuluka mu nkhomu.
REV.9.14	Fala eneyi yalonga kuna anju m'bodzi-bodzi wacitanthatu akhali na kaluta kuti: “Sudzula anju zinai zidamangirirwa dhuzi na nyandza ikulu ya Eufarati.” 
REV.9.15	Anju zinai zikhadamala sasanyika, mbizikhadikhira n'dzidzi unowu, ntsiku eneyi, nthanda eneyi na caka ceneci, zasudzulwa toera ziphe phindi ibodzi yacitatu ya anthu. 
REV.9.16	Nsoka wa anyamakavalo a anyankhondo, ukhali wa pikwi na pikwi
REV.9.17	Makavalo na anyamakavalo adaoneswa ine mu Nzimu akhali tenepa: Pinthu pya kugugumira cifuwa pikhadabvala iwo, pikhali pyakufuyira ninga moto, pya bhurumu ninga mwala wakuyetimira unacemerwa jasintu, pontho pya nsoswe ninga inxofiri.
REV.9.18	Phindi ibodzi yacitatu ya anthu yafa na nyatwa zenezi zitatu: Nyatwa za moto, nyatwa za uchi, na nyatwa za inxofiri zikhabuluka n'kanwa mwawo. 
REV.9.19	Mphambvu za makavalo zikhali n'kanwa na kuncira, thangwi micira yawo ikhali ninga nyoka. Ikhali na misolo ikhaluma na iwo anthu.
REV.9.20	Anthu anango akhadasala mbakhonda kufa na nyatwa zenezi, hadachunyuka pontho hadasiya kulambira alungu a pezi akhacita iwo na manja awo tayu. Iwo akhathimiza basi kulambira mizimu ya kuipa na madzimunthu a oro, a parata na a nkuwa, a myala na a miti, madzimunthu anakhonda kuona, anakhonda kubva peno kufamba. 
REV.9.21	Pontho akhonda kuchunyuka uphanga wawo, ufiti wawo, ulukwali wawo, na umbava wawo.
REV.10.1	Na tenepo, ndaona anju unango wa mphambvu, mbakhachita buluka kudzulu. Iye akhadafinikizwa na khole, pontho padzulu pa nsolo wace pakhali na utazimu. Nkhope yace ikhali ninga dzuwa, myendo yace ikhali ninga mizati ya moto. 
REV.10.2	Iye akhadaphata bukhu ing'ono m'manja mwace, yakufungulwa. Aikha mwendo wace wa madyo padzulu pa bara, mwendo wace wa bzere kuntunda. 
REV.10.3	Penepo, akhuwa pikulu ninga kulira kwa nkhalamu. Pidakhuwa iye, njazi zinomwe zatoma kulonga. 
REV.10.4	Pa n'dzidzi ubodzi ene ukhalonga njazi zinomwe, ine ndikhadasasanyira kuti ndilembe. Mbwenye ndabva fala ya kudzulu mbikhalonga tenepa: “Koya
REV.10.5	Na tenepo, anju akhadaona ine mbalimira padzulu pa bara na kuntunda, athukula kudzulu nkono wace wa madyo. 
REV.10.6	Penepo, iye adumbira na dzina ya Mulungu ule ali m'maso kwenda na kwenda, adacita kudzulu na pantsi, na bara, na pyonsene pinagumanika mwenemu, mbalonga tenepa: “Nkhabe kudza kadembukabve. 
REV.10.7	Mbwenye pa ntsiku zinafuna kuimba anju wacinomwe kaluta yace, pyakubisala pya Mulungu pinadza kasimbiswa, ninga mudapilongera Iye kuna maporofeta, anyabasa ace.”
REV.10.8	Buluka penepo, fala ikhadabva ine mbilonga kudzulu, yalonga pontho na ine tenepa: “Ndoko, kwata bukhu ya Mulungu idafungulwa, iri m'manja mwa anju anagumanika dzololo padzulu pa bara na kuntunda.”
REV.10.9	Na tenepo, ndafendedzera anju mbandimphemba kuti andipase bukhu ing'ono ya Mulungu. Penepo, iye andipanga tenepa: “Kwata, uidye! Iyo inawawa m'mimba mwako, mbwenye n'kanwa mwako inatapira ninga uci.” 
REV.10.10	Ine ndakwata bukhu ing'ono ya Mulungu ikhali m'manja mwa anju, mbandiidya. Iyo ikhanditapirira n'kanwa mwanga ninga uci, mbwenye pakuidya, ndabva kuti m'mimba mwanga muli kuwawa. 
REV.10.11	Na tenepo, ndapangwa kuti: “Pisafunika kuti iwe ulonge ciporofeta, pa thangwi ya mbumba zizinji, madziko mazinji, malongero mazinji, na amambo azinji.”
REV.11.1	Ndapaswa ntete ubodzi wakulandana na mpsimbo ya kupima nayo, mbindipangwa tenepa: “Ndoko, pima Nyumba ya Mulungu na guwa ya ntsembe, pontho ulengese anyakulambira ali mwenemu. 
REV.11.2	Siya khonde yace, leka kuipima, thangwi yapaswa ale adakhonda kukhala madjuda. Iwo anaupwanda nzinda wa Mulungu pa myezi makumanai na miwiri.
REV.11.3	Ndinapasa mphambvu kuna amboni anga awiri, mbabvala masakha, kuti alonge ciporofeta, pa cikwi na madzana mawiri na makumatanthatu a ntsiku.” 
REV.11.4	Amboni enewa ndiyo miti miwiri ya mulivera na nyale ziwiri ziri patsogolo pana Mulungu Mbuya wa dziko yonsene. 
REV.11.5	Ngakhala alipo anafuna kuacita kuipa, n'kanwa mwawo munabuluka moto mbupisa anyamalwa. Ndi tenepa kufa kunafuna kucita onsene anafuna kuacita kuipa. 
REV.11.6	Amuna enewa ana mphambvu za kufunga kudzulu kuti madzi akhonde kubvumba pa n'dzidzi unalonga iwo ciporofeta, pontho anakhala na mphambvu za kusanduza madzi mbadza ciropa, na za kuthabusa mataka na nyatwa zonsene, pa midzidzi yonsene inafuna iwo.
REV.11.7	Angamala kucita umboni wawo, cinyama cakugopsa cinabuluka mu djenje yakuzika kakamwe mbicienda kamenyana na iwo, mbaakunda pontho mbaapha. 
REV.11.8	Manungo awo anaponyiwa mu nseu ukulu wa mu nzinda ukulu unacemerwa na dzina ya misanje, Sodhoma na Idjipitu.
REV.11.9	Manungo awo akhala penepo ntsiku zitatu na hafu, anthu a mbumba zonsene, a madzindza onsene, a malongero onsene, na a madziko onsene anaaona mbaakhondesa kwenda kaikhwa m'masiye. 
REV.11.10	Anthu a pantsi pano anakomerwa na thangwi ya kufa kwawo mbacita phwandu, mbatumizirana miyoni m'bodzi na m'bodzi, thangwi maporofeta enewa awa awiri akhadathabusa anthu a pantsi pano.
REV.11.11	Mbwenye pakumala ntsiku zitatu na hafu, wapita pontho muna iwo nzimu wa upulumuki udabuluka kuna Mulungu, iwo mbalimira, anthu onsene adaaona mbagopa pikulu kakamwe. 
REV.11.12	Na tenepo, iwo abva fala ya kudzulu mbilonga na mphambvu mbiapanga tenepa: “Kwirani kuno.” Penepo, mukhaalang'ana anyamalwa awo, iwo akwira padzulu pa khole mbaenda kudzulu.
REV.11.13	Pa n'dzidzi unowu ene paoneka citeke-teke cikulu kakamwe, phindi ya cikhumi ya nzinda yagwa. Pikwi pinomwe pya anthu pyafa pa citeke-teke ceneci. Adasala m'maso agopa pikulu kakamwe mbapasa mbiri Mulungu wa kudzulu.
REV.11.14	Nyatwa yaciwiri yamala. Yacitatu iri kubwera cincino pano.
REV.11.15	Anju wacinomwe aliza kaluta yace, kudzulu mbukubveka mafala akhalonga na mphambvu kuti:
REV.11.15	“Umambo wa padziko
REV.11.15	wadza kakhala wa Mulungu Mbuya wathu
REV.11.15	na wa Kirixtu wace,
REV.11.15	pontho Iye anadza katonga
REV.11.15	kwenda na kwenda.”
REV.11.16	Akulu-akulu makumawiri na anai ale akhakhala nawa-nawa m'mipando mwawo ya umambo patsogolo pana Mulungu, agwa pantsi na nkhope mbalambira Mulungu, 
REV.11.17	mbalonga tenepa:
REV.11.17	“Tisapereka takhuta kuna Imwe Mbuya
REV.11.17	Mulungu wa mphambvu zonsene
REV.11.17	Imwe ndimwe, pontho mukhali imwe,
REV.11.17	thangwi mwapangisa
REV.11.17	mphambvu zanu zikulu,
REV.11.17	mbamutoma kutonga.
REV.11.18	Madziko aipirwa,
REV.11.18	pontho wafika n'dzidzi wa kuipirwa kwanu.
REV.11.18	Wafika n'dzidzi wanu wa kutonga
REV.11.18	anyakufa,
REV.11.18	na wakupasa muwoni
REV.11.18	anyabasa anu, maporofeta anu,
REV.11.18	mbumba yanu,
REV.11.18	na ale anagopa dzina yanu,
REV.11.18	akulu
REV.11.18	na ang'ono ene,
REV.11.18	pontho ndi n'dzidzi
REV.11.18	wa kupha ale
REV.11.18	anafudza dziko.”
REV.11.19	Na tenepo, Nyumba ya Mulungu yafungulwa kudzulu, n'kati mwayo mbumuoneka kaxa ya cibverano cace. Penepo paoneka kucetuma, kudhima, njazi, citeke-teke, conzi cikulu na matalala.
REV.12.1	Caoneka kudzulu cidzindikiro cakudzumisa ninga ici: Nkazi m'bodzi akhadabvala dzuwa, pantsi pa myendo yace pakhali mwezi, munsolo mwace akhadabvala nthimba ya nyenyezi khumi na ziwiri. 
REV.12.2	Iye akhali na pathupi, mbakhakhuwa na kubva kupha thangwi akhafuna kubala. 
REV.12.3	Na tenepo, caoneka kudzulu cidzindikiro cinango ninga ici: Nyangumi nkulu wakufuira akhali na misolo minomwe na nyanga khumi. Padzulu pa misolo yace pakhakhala na nthimba
REV.12.4	Na ncira wace akhakwewa na iwo phindi ibodzi yacitatu ya nyenyezi za kudzulu, mbaziponya pantsi. Nyangumi aenda kakhala patsogolo pa nkazi akhafuna kubala, toera pa n'dzidzi ukhafuna kubala iye, am'mezere mwana wace. 
REV.12.5	Nkazi abala mwana-mamuna, anafuna kudza katonga madziko onsene na mpsimbo yace ya utale. Mwana wace adza kakwatwa na mwansanga kwenda kuna Mulungu, pa mpando wace wa umambo. 
REV.12.6	Nkazi athawira n'thando ku mbuto ikhadasasanyirwa iye na Mulungu, kuti mwenemu akwanise kukoyiwa na kudyesiwa, pa ntsiku cikwi na madzana mawiri na makumatanthatu.
REV.12.8	Mbwenye nyangumi na anju zace zikhali na mphambvu zakukwana tayu. Na tenepo, aluza mbuto yawo kudzulu. 
REV.12.9	Nyangumi wa nkulu ataiwa kunja. Iye ndiyo nyoka ya kale inacemerwa Dyabu peno Sathani, inanyengerera dziko yonsene. Iye na anju zace ataiwa pantsi pano.
REV.12.10	Na tenepo, ndabva fala ikulu ya kudzulu mbikhalonga tenepa:
REV.12.10	“Cincino wabwera upulumuki,
REV.12.10	mphambvu na umambo
REV.12.10	wa Mulungu wathu,
REV.12.10	pontho na mphambvu za utongi za Kirixtu wace,
REV.12.10	thangwi ataiwa kunja
REV.12.10	nyakupambazira
REV.12.10	abale athu,
REV.12.10	ule akhaapambazira patsogolo
REV.12.10	pana Mulungu wathu, masiku na masikati.
REV.12.11	Iwo akunda nyangumi
REV.12.11	na ciropa ca Mwana Bira
REV.12.11	pontho na fala ya umboni
REV.12.11	idacita iwo.
REV.12.11	Atawira kufa
REV.12.11	mbakhonda kutsalakana moyo wawo.
REV.12.12	Na tenepo, tsandzayani imwe kudzulu
REV.12.12	na onsene anakhala kweneko!
REV.12.12	Mbwenye nyatwa ntsanu imwe mataka na bara,
REV.12.12	thangwi Dyabu achita mpaka kuna imwe!
REV.12.12	Iye aipirwa pikulu kakamwe,
REV.12.12	thangwi asadziwa kuti kuna iye zasala
REV.12.12	ntsiku pang'ono.”
REV.12.13	Nyangumi pidaona iye kuti ndaponyiwa pantsi pano, atoma kufambira n'nduli nkazi akhadabala mwana-mamuna. 
REV.12.14	Penepo nkazi apaswa mapapido mawiri a capungu cikulu, toera amburuke na iwo kwenda n'thando, ku mbuto ikhadasasanyirwa iye. Mwenemu ndimo mukhafuna kudyeswa iye pa pyaka pitatu na hafu.
REV.12.15	Na tenepo, nyoka yabulusa madzi n'kanwa mwace mbaenda n'nduli mwa nkazi ninga nyandza, toera nkazi akwatiwe na ngulula ya madzi. 
REV.12.16	Mbwenye mataka aphedza nkazi, mbafungula mulomo mbameza nyandza ikhadabuluka n'kanwa mwa nyangumi. 
REV.12.17	Nyangumi aipirwa na nkazi, mbabuluka kwenda kamenya nkhondo na adasala a dzindza ya nkazi, ale anabvera matongero a Mulungu, pontho mbakhala dzololo pa umboni wa Yezu.
REV.12.18	Na tenepo, nyangumi alimira pa checa ya m'bara.
REV.13.1	Ndaona cinyama cakugopsa mbicikhabuluka m'bara. Cikhali na nyanga khumi, misolo minomwe, na nthimba khumi padzulu pa nyanga zace, pontho pa nsolo ubodzi na ubodzi, pakhali na dzina ya kuxola Mulungu. 
REV.13.2	Cinyama cakugopsa cidaona ine, cikhadalandana na nyalugwe, mbwenye myendo yace ikhadalandana na cinyama cinacemerwa urusu, mulomo wace ninga wa nkhalamu. Nyangumi apereka mphambvu zace, mpando wace wa umambo, na utongi wace ukulu kuna cinyama cakugopsa. 
REV.13.3	Nsolo ubodzi wa cinyama ceneci cakugopsa, ukhali ninga ukhadaphekeswa kwa kufa, mbwenye cironda cace cikhadapola. Dziko yonsene yadzumatirwa napyo, mbitowera cinyama cakugopsa. 
REV.13.4	Alambira nyangumi thangwi akhadapereka utongi wace kuna cinyama cakugopsa, pontho mbalambirambo cinyama cakugopsa, mbalonga tenepa: “Mbani ana mphambvu ninga cinyama cakugopsa ici? Mbani anakwanisa menyana naco?”
REV.13.5	Cinyama cakugopsa capaswa mulomo toera kulonga mafala akupikuza na akuxola Mulungu, pontho toera atonge pa myezi makumanai na miwiri. 
REV.13.6	Ico catoma kuxola Mulungu na kuxola dzina yace, pontho na kuxola khumbi ya ntsembe ya Mulungu, na ale ali kudzulu. 
REV.13.7	Capaswa mphambvu za kumenyana na mbumba ya Mulungu na za kuikunda. Capaswa mphambvu za kutonga madzindza onsene, mbumba zonsene, malongero onsene na madziko onsene. 
REV.13.8	Anthu onsene a pantsi pano anacilambira cinyama ceneci cakugopsa, ale onsene adakhonda kulembwa madzina awo mu Bukhu ya Upulumuki ya Mwana Bira adaphiwa, kutomera pakutoma kwa dziko.
REV.13.9	Ule ana makutu akubva mbabve. 
REV.13.10	Ngakhala alipo anatongwa
REV.13.10	kutapatwa,
REV.13.10	anati atapatwe.
REV.13.10	Ngakhala alipo anatongwa kufa
REV.13.10	na tarasada,
REV.13.10	anati afe na tarasada.
REV.13.10	Ndi n'dzidzi wa phinga na wa cikhulupiro kuna mbumba ya Mulungu.
REV.13.11	Na tenepo, ndaona cinyama cinango cakugopsa cikhabuluka pantsi, cikhali na nyanga ziwiri ninga Mwana Bira, mbwenye cikhalonga ninga nyangumi. 
REV.13.12	Cikhacita utongi onsene wa cinyama cakugopsa cakutoma na dzina yaco, mbacikakamiza dziko na anthu ace kuti alambire cinyama cakugopsa cakutoma, cire cikhadaphekeswa mbicikhafuna kufa, mbiciwangiswa pontho. 
REV.13.13	Cikhacita pidzindikiro pikulu, mpaka kufikira kugwisa moto buluka kudzulu kudza pantsi, pamaso pa anthu onsene. 
REV.13.14	Na thangwi ya pidzindikiro pidasiyiwa iye kuti acite na dzina ya cinyama cakugopsa, ico canyengerera anthu a pantsi pano, mbaapanga kuti acite dzimunthu ibodzi toera kupasa mbiri cinyama cakugopsa cikhadaphekeswa na tarasada, mbwenye mbicidza kapulumuka. 
REV.13.15	Capaswa mphambvu za kupasa muya dzimunthu ya cinyama cakugopsa cakutoma, mpaka mbicifikira kwanisa kulonga, pontho na kucita kuti onsene anakhonda kulambira dzimunthu aphiwe. 
REV.13.16	Pontho akakamiza onsene, akulu na ang'ono, apfumi na anyakucherenga, adzakazi na atumbe, kuti atambire cidzindikiro m'manja a nkono wadidi peno pa nkhope, 
REV.13.17	toera onsene angakhonda kukhala na cidzindikiro ca dzina ya cinyama ceneci cakugopsa, peno mangasi malemba adalembwa na dzina yace, acimwane kugula na kugulisa.
REV.13.18	Uyu ndi n'dzidzi wa udziwisi. Ule ana ndzeru, mbachulule ndi mangasi malemba a cinyama cakugopsa, thangwi ndi malengesero a munthu. Ntengo wace ndi madzana matanthatu, na makumatanthatu na pitanthatu.
REV.14.1	Na tenepo, ndalang'ana, mbandiona patsogolo panga pakhali na Mwana Bira akhadalimira pa phiri ya Siyau, pabodzi na anthu akukwana pikwi dzana na makumanai na pinai, akhadamala kulembwa pa nkhope dzina yace na dzina ya Baba wace. 
REV.14.2	Ndabva kutitimira kudzulu ninga kutitimira kwa madzi makulu, pontho ninga kulira kukulu kwa njazi. Dungu idabva ine ikhali ninga ya anyabhangwe mbakhaimba mabhangwe awo. 
REV.14.3	Iwo akhaimba nyimbo ipsa patsogolo pa mpando wa umambo, na pa pinyama pinai pya m'maso, na pa akulu-akulu. Nkhabe m'bodzi akhakwanisa kuiyimba nyimbo eneyi. Akhaikwanisa kuiyimba ndi pikwi dzana na makumanai na pinai basi pya anthu ale akhadaguliwa pa dziko. 
REV.14.4	Awa ndiwo ale anthu adathunda pyalukwali, thangwi cipo adzati pita m'mabonde, pontho asatowera Mwana Bira monsene munaenda Iye. Aguliwa pa nsoka wa anthu ninga ntsembe yakutoma kuna Mulungu na kuna Mwana Bira. 
REV.14.5	Nkhabe uthambi ubodzi udabuluka pa mulomo pawo, ndi anthu akulungama.
REV.14.6	Na tenepo, ndaona anju unango mbakhamburuka kudzulu kakamwe. Iye akhali na Mphangwa Zadidi za kwenda na kwenda toera azimwaze kuna anthu a pantsi pano, kuna dziko yonsene, madzindza onsene, malongero na mbumba yonsene. 
REV.14.7	Anju alonga na mphambvu kuti: “Gopani Mulungu pontho mumpase mbiri, thangwi wafika n'dzidzi wa kutonga kwace. Lambirani ule adacita kudzulu na pantsi, na bara, pontho na mphuno za madzi.”
REV.14.8	Anju waciwiri antowera mbalonga tenepa: “Agwa! Agwa Bhabhilonya wa nkulu, adamwesa madziko onsene vinyu ya ulukwali wace ukulu!”
REV.14.9	Anju wacitatu aatowererambo mbalonga na kugaluza kuti: “Ule analambira cinyama cakugopsa na dzimunthu yace, pontho mbaikhwa cidzindikiro cace m'manja peno pa nkhope, 
REV.14.10	unowu anamwambo vinyu ya kuipirwa kwa Mulungu, idakhutulwa n'ndiko mwace ya kuipirwa mbikhonda kubvungazwa. Pontho anadza kathabuswa na moto wa inxofiri, pamaso pa anju a Mulungu na pamaso pa Mwana Bira. 
REV.14.11	Pontho uchi wa nyatwa za anthu enewa, unakwira kwenda na kwenda. Kuna onsene analambira cinyama cakugopsa na dzimunthu yace, na kuna ule adatambira cidzindikiro ca dzina yace, masiku na masikati nkhabe kupuma.” 
REV.14.12	Ndi n'dzidzi wa phinga ya mbumba ya Mulungu inabvera matongero a Mulungu, pontho mbikhala yakunyindira Yezu.
REV.14.13	Na tenepo, ndabva fala ya kudzulu mbilonga tenepa: “Lemba: Mbatsandzaye anyakufa, anafa muna Mbuya kutomera cincino kwenda kutsogolo.”
REV.14.13	Nzimu Wakucena walonga kuti: “Ande, iwo anadza kapuma kuneta kwawo, thangwi mabasa awo anaatowera.”
REV.14.15	Na tenepo, anju unango abuluka mu Nyumba ya Mulungu mbakhuwa na mphambvu kuna ule akhali padzulu pa khole kuti: “Kwata sekeya yako ubvune, thangwi n'dzidzi wa kubvuna wakwana, pontho phoso yatokota pa dziko.” 
REV.14.16	Na tenepo, ule akhakhala padzulu pa khole atoma kuceka na sekeya yace, pantsi pano mbapabvuniwa.
REV.14.17	Anju unango abuluka mu Nyumba ya Mulungu ya kudzulu. Iye akhakhalambo na sekeya ibodzi yakunozwa. 
REV.14.18	Abulukira pontho pa guwa ya ntsembe anju unango akhali na mphambvu za kutonga moto, mbakhuwa na mphambvu khuwira ule akhali na sekeya yakunozwa, mbalonga tenepa: “Kwata sekeya yako yakunozwa ugwande ngala za mauva a miti yonsene ya mauva a pantsi pano, thangwi mauva awo amala tokota.” 
