LUK.1.1	Гьал ппараттар алучӀуная ахъакьас че мисаъ хьуна, ккеттушу курарихъас. 
LUK.19.39	ХалкьдигӀас са Ӏу фарисеяри пуная Ӏисайис:
LUK.19.39	– МегӀелим, буӀ уп Ве ученикарис!
LUK.19.40	– Зун чвас агъая, – пуная фарисеярис Ӏисайи, – гебур буӀучин, гъванари гьараяр аркьай пасе. 
LUK.19.41	Ерусалимдигьди багу хьегуна, Ӏиса Ӏешуна ге шагьурдихъас, 
LUK.19.42	пуная:
LUK.19.42	– Агь Ерусалим! Гьеме ягъа хьунара вун гъавурдиъ архьучин, фи ккандеячин вас маслихӀет хьас! Амма ве уларис агвасттава ге маслихӀет. 
LUK.19.43	Хьасе мишттин вахттар, ве душманари акьуна джалла багварихъас ругун гунтӀар, ихьасе вун арайиъ, алзиянасе ваал джалла багварихъас. 
LUK.19.44	Душманари вун аккетасе, ве инсанар кӀина ккедихьасе, ве къутт къуттул алми атасттава, вас ягӀардахьухӀела Аллагь ваалди аде вахтт.
LUK.19.45	Хаб, Аллагьдин хулан хӀеятиди ачушуна, Ӏисайи адикай хьуная кӀилди гисаъ ариш вариш аркьая инсанар, 
LUK.19.46	гебурис агъай:
LUK.19.46	– Гирами китабариъ ликӀиная: «Зе хал, дуьгӀебур хура хал э», чун микес къачагъарин муг акьуная!
LUK.19.47	Ӏисайи гьер ягъа Аллагьдин гаф ягӀар аркьай хьуная инсанарис Аллагьдин хулаъ. ХӀа маллабурис, Ӏелимарис, халкьдин улиъ ая инсанарис кӀес кканди ахьуная Ӏиса. 
LUK.19.48	Фиркьайчира ягӀай хьуна адава гебурис, Ӏисайихъай гьемишанди халкь авехӀела, Гин гьер гафунил юркӀв алийина.
LUK.20.1	Са ягъа, Ӏиса Аллагьдин хулаъ аягуна, халкьдис иджвелин хабар аркьай, Ӏисайигьди гьучадина хӀа маллабур, Ӏелимар, хӀа къуджабур, 
LUK.20.2	пуная Ӏисайис:
LUK.20.2	– Уп час, гьинан хӀавел фай аркьаеттар э Вун ле курар, гьина э Вас ле хӀавел йинаф?
LUK.20.3	Ӏисайи гебурис пуная:
LUK.20.3	– Зун чвасра са суал алихьасе, чун Зас джуваб тин. 
LUK.20.4	ЯхӀъяйис хьеттигӀ гӀучӀуна гӀайчӀва гӀедат акьас гьина э хӀавел йинаф? Аллагьди эв хъара инсанари?
LUK.20.5	Гебури фикир акьуна, чаб чиппигӀди пуная:
LUK.20.5	– Нагагь хьин «Аллагьди э» пичин, хьефас Ӏисайи хабар гъушанасе: «Фас чун пайгъамбардихъ хъугъундава?» 
LUK.20.6	Нагагь хьин пичин «инсанари», кӀилди халкьди хьес гъвандинф акьасе, чиппис хӀекьди ягӀахӀела ЯхӀъя пайгъамбар хьунаф. 
LUK.20.7	Гебури джуваб йиная, чиппис ягӀайдава пуна, гьина ичин ге гӀедат акьас хӀавел йинаф.
LUK.20.8	Ӏисайи гебурис пуная:
LUK.20.8	– Давайчин Зун чвасра пасттава гьинан хӀавел фай ичин Зун мебур аркьаяф.
LUK.20.9	Хаб Ӏисайи ахъакьуная ме мисала:
LUK.20.9	– Узуная са инсанди тӀибитӀин багъ. Йина ге тӀибитӀарин багъра багъдихъанарилди, уч ушуная ме са хубджи вахттунисттегьен варха мукьварихъди. 
LUK.20.10	Вахтт хъучадегуна, багъдин эесси гьикуная учин лукӀ багъдихъанарилди багъдилас алттархьу учин пай гъас. Багъдихъанари йирхӀуна, фера дайина гьикуная лукӀ. 
LUK.20.11	Багъдин эесси гьикуная учин Ӏудпе лукӀ. Багъдихъанари йирхӀуна, келхъуьна, фера дайина, ге лукӀра гьикуная. 
LUK.20.12	Хьибудпе лукӀ гьикуная ги. Ге лукӀусра йирхӀуна, адикуна гьикуная гебури. 
LUK.20.13	Гегуна багъдин эесси пуная: «Фиркьагьан зун? Нан гва Зун зе юркӀв але кӀиркӀ гьикас, белекин, гис хӀуьлмат акьасе тебури». 
LUK.20.14	Эессин кӀиркӀ агугуна багъдихъанари чаб чиппигӀди пуная: «Ме эессин кӀиркӀ э, див хьин ме кӀес, мин дадан девлет хьес хьас». 
LUK.20.15	БагъдигӀас гӀаттфайшуна, кӀиная гебури ге. Фикьасе гебурис багъдин эесси? 
LUK.20.16	Эесси адина кӀесе ге багъдихъанар, багъ есе сасрабурилди.
LUK.20.16	– Аллагьди адатурай лишттин курар хьас! – пуная Ӏисайил юркӀв алийина инсанари.
LUK.20.17	Ӏисайи гебурихъ хъуттурфуна, пуная:
LUK.20.17	– Фи э ме ликӀина гафарин мегӀна?: «Усттабури хӀисабикк ккидавай фадихьу гъвандикес, мурттуъ ихьа гъван хьуне». 
LUK.20.18	Ге гъвандил алирхӀуф чурхъвасе, ге гъвандикк кичархьуф, ругӀасе.
LUK.20.19	ХӀа маллабурисна Ӏелимарис гьеге сеӀетти фацуна кӀес кканди ахьуная Ӏиса, гебур гъавурдиъ архьуная ге мисала чиппис файдинаф идеф. Амма халкьдигьас гучӀай, гебурифас кирхӀас хьуна адава Ӏисайик.
LUK.20.20	Гебури гьикуная Ӏисайил алгъузанас чиппин фитначибур. Ге фитначибур чаб иджи агвар аркьай, алгъузуна ахьуная Ӏисайин сивиас фи гаф аттархьайчугас, хаб хӀекимарис шикат акьуна, Ӏиса суттис ес. 
LUK.20.21	Гебури пуная Ӏисайис:
LUK.20.21	– МегӀелим, час ягӀа Ве гафара Вун ягӀар аркьаттара хӀекь идеф. Час ягӀа Вун сайинна хъуьсу дафарцанф, Вун инсанарис Аллагьдин рекъуьъ вес ягӀар акьа. 
LUK.20.22	Уп час, чин Римдин паччагьдис йина ккандев налук, хъара кканду?
LUK.20.23	Ӏисайи, гебурин гӀифритвеларин гъавурдиъ архьуна, пуная гебурис:
LUK.20.24	– Агваракь Зас ле манат. Гьинан ишкилна ттур э ле манатик кеяф?
LUK.20.24	– Римдин паччагьдин, – пуная гебури.
LUK.20.25	Ӏисайи пуная гебурис:
LUK.20.25	– Айчин, паччагьдинф фачи паччагьдис, Аллагьдинф – Аллагьдис.
LUK.20.26	Халкьдин удигь дава гафунил фацанас хьуна адава гебурифас Ӏиса. Ӏисайин джувабил муьхӀтал хьуна, буӀуная гебур.
LUK.20.27	Ӏисайигьди гьучадиная 
LUK.20.28	– МегӀелим, Мусайи хьес ликӀиная, нагагь гьинан хьунара чу кӀехаб шиникквар хъудавай, гин хьир акьуна кканде сасра ччуччу, кӀе ччуччунттар хӀисаб акьуна хуна хӀа акьас шиникквар. 
LUK.20.29	Ахьуная ери чу. Садпе чу, хьирра акьуна, шиникквар хъудавай кӀиная. 
LUK.20.30	Ӏудпе ччуччу акьуная ге кӀе ччуччун хьир. Шиникквара хъудавай Ӏудпе чура кӀиная. 
LUK.20.31	Хаб хьибудпе ччуччу акьуная ге хьир, шиникквара хъудавай, ге чура кӀиная. Гьегиштти еридар чуппар кӀиная, са шиникквра дахьуна. 
LUK.20.32	Джаллабурин кьабахъай ге хьирра кӀиная. 
LUK.20.33	КӀина инсанарик джан керхьу ягъа, нае ччуччун хьир хӀисаб акьасе ге, ге хьир еридар ччуппарис ушуна адавуйив?
LUK.20.34	Ӏисайи пуная гебурис:
LUK.20.34	– Ме дуьнйайин инсанари э хумбар аркьаф, шуварис вереф. 
LUK.20.35	Хаб вере дуьнйайи кӀинаттаригӀас ккидиркӀва Ӏуьмур есе лайикьлу инсанарис. Ге инсанари я хумбар аркьай ахьасттава, я шуварис вей ахьасттава. 
LUK.20.36	Гебур Ӏеджал хъудаваттар хьасе, малайикар суман. КӀинаттаригӀас Аллагьди гебурик джан кихьухӀела, гебур Аллагьдин шиникквар э. 
LUK.20.37	КӀе инсанарик хекьданди джан керхьа пуна Мусайира пуная, учис агуна зазарин тӀурухъас ахъаркьагуна. Сес унихьуная Мусайис: «Зун Ибригьиман Аллагь э, ИсхӀекьан Аллагь э, Якьубан Аллагь э», – агъай. 
LUK.20.38	КӀина инсанар, Аллагьдис садра кӀина адава. Джаллабурин руьхӀер аме.
LUK.20.39	ӀелимаригӀас са Ӏудари пуная:
LUK.20.39	– МегӀелим, идже джуваб йине Вун гебурис.
LUK.20.40	Гебурифас сара фиттихъасра хабар гъушанас вей хьуна адава Ӏисайифас.
LUK.20.41	Ӏисайи гебурис пуная:
LUK.20.41	– Фиштти агъагьан инсанари Месигь 
LUK.20.42	Учи Давуда 
LUK.20.43	Зун Ве душманар Ве лекарикк ккерхьас акьасттегьен». 
LUK.20.44	Давуда Гис ХӀаф агъагуна, фиштти э Месигь Давудан кӀиркӀ вереф?
LUK.20.45	КӀилди халкьди Ӏисайил юркӀв алийинагуна, Ӏисайи Учин ученикарис пуная:
LUK.20.46	– ЭхӀттият акье ирхе кунара аликӀуна ккируцас ккане Ӏелимаригьас. Гебурис кканве чаб гимил хӀуьлматилди кьабул аркьагуна; гебурис кканве дуьгӀебур хура хулариъ удигь ке идже мукьвариъ экьвас, шадвел ая хулариъра, ке хӀуьлматин мукьвариъ экьвас. 
LUK.20.47	Ӏелимари ашкӀин хумбарис Ӏемалар аркьай гебурин хулар Ӏелде, хаб инсанарис чаб иджи агвас, ацӀуна дуьгӀебур хура. Гишттин Ӏелимарин ппара хӀа диван акьасе.
LUK.21.1	Ӏисайис агуная Аллагьдин хулаъ девлетлу инсанари садакьайин къабудиъ пулар ихьай. 
LUK.21.2	Ӏисайис агуная са гӀеджиз ашкӀин хьирара ифан Ӏу кепек ихьай ге къабуди. 
LUK.21.3	Тегуна Ӏисайи пуная:
LUK.21.3	– Зун чвас дузди агъая, ге гӀеджиз ашкӀин хьира джаллабурилас ппара ихьуная пуна. 
LUK.21.4	Джаллабури садакьайис ихьуне чиппин алтухъди аяттикес, ппай ге гӀеджиз хьира, учихъ хъая хъудаваф кӀилди ихьуне.
LUK.21.5	Аллагьдин хулахъас гъургъагуна, Ӏисайин ученикарикес са Ӏудари пуная: «Фидегьен батӀар гъванарикес акьуная ме Аллагьдин хал, фидегьен багьайин садакьайин шейъерилди дуьхьуьная ме хал». Ӏисайи пуная гебурис: 
LUK.21.6	Хъучадесе, лишттин вахттар, чвас аргваттикес гъван гъвандил илгванасттава, кӀилди аккетасе. 
LUK.21.7	Ӏисайифас хабар гъушуная гебури:
LUK.21.7	– МегӀелим, мус хьасе лишттин кар, фи ишарат агвар акьасе ле верегунас?
LUK.21.8	Ӏисайи гебурис пуная:
LUK.21.8	– Хъуттурфен гьа, чун элдемиш дакьас. Ппараттар адесе чваалди «Зун Месигь э!» «Вахтт хъучадиная!» агъай. Чун мева гебурихъай. 
LUK.21.9	ДегӀвибурихъас, къал макъаларихъас унихьугуна, гучӀ мева. Гебур дахьуна илгван курар дава, амма гебурилди ахир хьасттава.
LUK.21.10	Хаб Ӏисайи гебурис пуная:
LUK.21.10	– ГӀахъасе са халкь сасра халкьдихъай, са паччагь сасра паччагьдихъай. 
LUK.21.11	Сур усари зурбадалди джилар ттуттанасе, сур усариъ азарарна гаш архьасе, завариас гучӀ гьархьа курарна хӀа Ӏеламатин ишаратар агвар акьасе. 
LUK.21.12	Сагелай гебур хьастти, чун Захъ хъугъуна, Захъай вехӀела, чваал алгъузуна, чун фарцанди ахьасе. ДуьгӀебур хура хулариъ чве сутар аркьай ахьасе, чун дусттагъариъ ачикай ахьасе, чун паччагьарина хӀекимарин удигь джуваб йина кканхьасе. 
LUK.21.13	Гьетегуна Заалас шигьидвел акьас хьасе чвафас. 
LUK.21.14	Чун фикир маркьа, фишттин джувабар ицӀандегьан чин тисал пуна. 
LUK.21.15	Зун чвас гьелишттин Ӏекьулдин гафар ягӀар акьасе, сайифасра чвахъай гъургъуна, хаб чвас джуваб ес девегъилди. 
LUK.21.16	Дадар бабарира, чуппарира, багунттарира, дусттарира чун масса есе, са хубджи инсанар чвакес йирхӀуна кӀесе. 
LUK.21.17	Захъас Чун сайисра кканди ахьасттава. 
LUK.21.18	Амма чвас гучӀ мева, са чӀара кехӀей чве кӀилилас алархьасттава. 
LUK.21.19	Чве сабурди чун ухӀасе.
LUK.21.20	– Чвас Ерусалим якьу багухъас эскерари фацуна агугуна, ягӀарухь, ге шагьур гебури аккетасе. 
LUK.21.21	Тегуна Ягьудея дерейиъ аяттар гьиширай дагьарариди; Ерусалимдиъ аяттара тегӀди гьишина ушурай; шагьурдиас аттушунаттар, хаб шагьурдиди ачадайдирай. 
LUK.21.22	Хъучадиная инсанарин диван аркьа ягъар, алуркьвая кӀилди ликӀинаттар. 
LUK.21.23	Язукъ хьасе фуни аяттаринна бизихъ шиниккв хъая хумбарин. Ппара хӀа гуджлу зулумар хьасе ме джилил. Аллагьдин хъелакк ккичархьасе ме халкь. 
LUK.21.24	Сур ханджалифас кӀесе, сур фацуна сасра вилаятариди гъасе. Сасра халкьди аккертай ахьасе Ерусалим, чаб гисаъ амедегьен гагьди.
LUK.21.25	– Завариъ рагъулла, вазуралла, гӀадарилла Ӏеламатин ишаратар агвар акьасе; джилил халкь гучӀ гьархьуна, фиркьайчира дагӀай, зар загьла хьуна ахьасе; хӀуьлар гъутуна лепебурин ун алхьасе. 
LUK.21.26	Инсанар, джилил вея бедбахттвелар аргвай, юркӀвар чурхъай алгъадаркай ахьасе, сара фи агвас амегьан час агъай. Завун гӀадара кехӀей ттуттанасе. 
LUK.21.27	Ттагьтегуна Инсандин КӀиркӀ агвасе дифу гӀай вей ппара хӀа кьуватна тегӀриф хъай.
LUK.21.28	– Ме курар хьас хъучучӀугуна, чвас гучӀ мева. Дузди гъайшина, кӀилар вартт акье. Чвас азадвел вере вахтт хъучавея.
LUK.21.29	Хаб Ӏисайи ахъакьуная гебурис мисала:
LUK.21.29	– Хъуттурфен инджирин кӀуранихъра, джалла сасра кӀурарихъра. 
LUK.21.30	Гебуриъ тук архъай агугуна, чвас ягӀай аве, гӀул хъучавеяф. 
LUK.21.31	Гьегиштти, Зун педегьенттара аларкьвай чвас агугуна, ягӀарухь, Аллагьдин Паччагьвел багу хьунаф. 
LUK.21.32	Зун чвас дузди агъая, ме гьалдин инсанар дуьйилас алаверегунас, Зун Ерусалимдихъас петтар джалла аларкьвасе. 
LUK.21.33	Заварна джилар гуланасе, Зе гафар амилгвасе.
LUK.21.34	– Те ягъ хабарсузди адесе. Хъуттурфен гьа чун ухай адахьас, пиянди адахьас, я ппара фикирар аркьай, гъамар аркьай адахьас. 
LUK.21.35	ТӀабариъ архьаттис учис тӀабар гьахъунаф хабарди адаф суман, гьегиштти джилил ешемиш вея инсанарисра сайисра хабарди ахьасттава мус хъучадес ичин те ягъ. 
LUK.21.36	Чун гьемишанди хӀезурди ухь, дуьгӀебура аркьай, те хьас кке бедбахттвелариккес чун ккеттархьас, чвафас Инсандин КӀиркӀан удигь гъузанас хьас.
LUK.21.37	Ягъуй Ӏиса Аллагьдин хулаъ авей хьуная халкьдис ягӀар аркьай, ппай Ӏуьш акьас вей хьуная Элеун сув агъа кӀунтӀалди. 
LUK.21.38	Багами дахи халкь хаб завал вей хьуная Аллагьдин хулаъ Ӏисайил юркӀв алиянас.
LUK.22.1	Хъучавей хьуная химир кидава лавашар аркьа 
LUK.22.2	ХӀа маллабурисна Ӏелимарис кӀес кканди ахьуная Ӏиса, амма халкьдигьас гучӀай ахьуная гебурис. 
LUK.22.3	Ӏисайин цӀеӀу вакилакес, Ягьуда Искариут агъа вакилаъ учӀуная Иблис. 
LUK.22.4	Ягьудайи, ушуна маслихӀет акьуная хӀа маллабурихъайна Аллагьдин хулан къаравуларин хӀаттихъай, зун чвас Ӏиса фацанас кумак акьасе пуна. 
LUK.22.5	Гебур шад хьуна, рази хьуная Ягьудайис арсуран пул ес. 
LUK.22.6	Гаф йина гебурис, Ягьуда гъузуна ахьуная халкь гьудава, хӀуьчӀан вахттунихъ, Ӏиса гебурин гъилиъ ихьас.
LUK.22.7	Хъучадиная химир 
LUK.22.8	– Ушуна, хӀезур акье Пасхайин ккел, хьес ӀуьтӀанас, – пуна, гьикуная Ӏисайи Петтруна ЯхӀъя.
LUK.22.9	Гебури хабар гъушуная Ӏисайифас:
LUK.22.9	– Нандиъ хӀезур акьуна ккандея Вас чин?
LUK.22.10	Ӏисайи гебурис пуная:
LUK.22.10	– Чун шагьурдиди ачушугуна, чвас агвасе хьеттин гвар фай вея са инсан. Гьегин кьабахъай ушуна, ачаях гьеге ачавере хулади. 
LUK.22.11	Ачушугуна, чун ге хулан эессис уп: «МегӀелимди вафас хабар гъуланде уйи, нае хулаъ э пуна, Учи Учин ученикара хъай Пасха аркьаф?» 
LUK.22.12	Ге хулан эесси агваракьасе чвас дуьхуьна варттал але хӀа хал; гьетисаъ хӀезур акье Пасхайин ямагар.
LUK.22.13	Гебури, Ӏисайи чиппис пегъилди, джикӀина хӀезур акьуная Пасхайин ямагар.
LUK.22.14	Вахтт хъучадегуна, Ӏиса Учин вакилара хъай, экьуная суфрайихъ. 
LUK.22.15	Ӏисайи Учин вакиларис пуная:
LUK.22.15	– Зун гӀезабарикк ккерхьагунас, фидегьен кканде уйи Зас чвахъай экьуна Пасхайин ямагар ӀуьтӀанас. 
LUK.22.16	Зун чвас агъая, сара Зун ме Пасхайин ямагар ӀуьтӀанасттава, Пасха Аллагьдин Паччагьвелдиъ дахьудегьен гагьди.
LUK.22.17	Ӏисайи, гъушуна чехир ая курушка, шукур акьуна Аллагьдисра, пуная Учин вакиларис:
LUK.22.17	– Ма, чве арайи пай акье ме. 
LUK.22.18	Зун чвас агъая, гьалдин хаб Зун ухасттава ме тӀибитӀарин чехир, Аллагьдин Паччагьвел хьасттегьен.
LUK.22.19	Ӏисайи, гъушуна гуни, шукур акьуна Аллагьдисра, пай акьуна йина вакиларис, пуная:
LUK.22.19	– Ме гуни Зе джан э, Зун чвахъас ирцӀандеяф. Гьемиштти чун завал хьуна гуни Ӏелегуна, Зун кӀвал аркьай акье.
LUK.22.20	ӀуьтӀуна кӀиркӀугуна, Ӏисайи гьетиштти гъушуна сасра курушка чехира, пуная:
LUK.22.20	– Ме Зун чвахъас аларта Зе иилди ликӀина ЦӀае МаслихӀет э. 
LUK.22.21	Магьа Зун масса ирцӀанде инсан, Захъай са суфрайихъ хъая. 
LUK.22.22	Инсандин КӀиркӀ Учис ликӀина рекъуьъ ай э веяф. Амма язукъ э Ге масса е инсандин.
LUK.22.23	Вакилари са сайис агъай хьуная: «Гьинас эгьан хьегӀас Ӏиса масса ес ккандеф?»
LUK.22.24	Ученикарин арайиъ хьуная хӀуьджат, фуш чиппикес хӀавелдиъ хьуна кканчин. Ӏисайи пуная гебурис:
LUK.22.25	– Паччагьари чиппин халкьарин хӀавел аркьа, чиппин гъилиъ хӀавел аяттари, чаб халкьдис иджвелар аркьаттар э агъа. 
LUK.22.26	Чун гиштти маркьа. ЧвагӀас хӀатти, уч бицӀиф суман фацурай, хӀавелдиъ аятти, уч лукӀ суман фацурай. 
LUK.22.27	Фуш э хӀаф? Суфрайихъ хъаяф эв, хъара гигь гьуруцаяф эв? Суфрайихъ хъаяф ду хӀаф?! Магьа Зун чве лукӀ суман ая. 
LUK.22.28	Чун Захъай кӀилди азиятар гъадивунаттар э. 
LUK.22.29	Зун ирцӀандея чвас Паччагьвел, Зас Зе Дада еф суман. 
LUK.22.30	Чун Зе Паччагьвелдиъ Зе суфрайихъ Ӏелди ухай ахьасе, чун экьуна тахттарил Ӏизраилдин цӀеӀу тухумдин диван аркьай ахьасе.
LUK.22.31	– Симон, я Симон! Магьа Иблисас чун гӀаттирхӀас ккандея, кьурагӀас ттузар гӀаттирхӀаф суман. 
LUK.22.32	Зун вахъас дуьгӀе акьуне ве хъугъувел дагулурай пуна; хаб мус хьунара, вун хъугъуна адегуна, ве чуппарин хъугъувелла цӀуьппе акье.
LUK.22.33	Симон Петтруйи Ӏисайис пуная:
LUK.22.33	– Е ХӀаф, Вахъай зун дусттагъидира, Ӏеджал акьасра вес хӀезурдея.
LUK.22.34	Ӏисайи пуная:
LUK.22.34	– Зун вас агъая, Петтру, завкураригӀди ккеккела ӀуьӀуь ахъасра хъучархьасттава, вун хьибугелай пасе, вас Зун ягӀафттава пуна.
LUK.22.35	Ӏисайи хабар гъушуная вакиларифас:
LUK.22.35	– Зун чун я пул фадавай, я чанта фадавай, я шумар алдавай гьикугуна, чвас фера гьудуркӀуф хьунев?
LUK.22.35	– Хьундава, – пуная гебури.
LUK.22.36	– Гьал, – пуная гебурис Ӏисайи, пӀапӀушник хъаятти гъушурай папушникӀра, гъушурай чӀилӀанна, ханджал хъудатти, учин къундж масса йина, гъушурай ханджалла. 
LUK.22.37	Зун чвас агъая, Захъас ликӀинаттар, закунар хӀисабсуз акьуф э пуна, аларкьвасе. Джалла Захъас пунаттар аларкьвасе.
LUK.22.38	Вакилари пуная Ӏисайис:
LUK.22.38	– Е ХӀаф, магьа мисаъ Ӏу ханджал ая.
LUK.22.38	– ЧӀевене, – пуная гебурис Ӏисайи.
LUK.22.39	Хулаас аттина, Ӏиса Уч гьемишанди суман, ушуная Элеун сувалди. Гихъай ушуная ученикара.
LUK.22.40	Гисалди адегуна, Ӏисайи гебурис пуная:
LUK.22.40	– ТӀемехӀвелариъ адархьас, дуьгӀебур акье.
LUK.22.41	Ӏисайи гебуригьас са чӀукь манзили гьайчӀуна, гъузуна кьвакьварилди, дуьгӀе акьуная:
LUK.22.42	– Дад, Ве амур акьуна, ккеттив сара Зун ме гӀезабиккес. Зе амур ваъ, Ве амур хьурай.
LUK.22.43	Ӏисайилди завариас малайик аладиная, Гин юркӀв цӀуьппе акьас. 
LUK.22.44	ГӀезабикк ккей, Ӏисайи хъара Ӏайи юркӀураастти дуьгӀебур аркьай хьуная. Гилас эмкӀ алавей хьуная джилилди, иин тӀинкӀар суман. 
LUK.22.45	ДуьгӀебур акьухаб, Ӏиса гъайшина гьучушуная Учин ученикаригьди. Гъамра хьуна, гъархьуна ахьуная ученикар. 
LUK.22.46	Ӏисайи гебурис пуная:
LUK.22.46	– Фас гъархьунаттар э? Гъайшина дуьгӀебур акье, чун тӀемехӀвелдиъ адархьас.
LUK.22.47	Ӏиса гъургъай ай, гисагьди аттархьуная ацӀуна инсанар. Ке удигь гьахьуная цӀеӀуйигӀас сад, Ягьуда агъаф. Ге гьучадиная Ӏисайигьди мач икӀас пуна. 
LUK.22.48	Ӏисайи пуная гис:
LUK.22.48	– Ягьуда, мачра икӀуна масса ирцӀандеяв вун Инсандин КӀиркӀ?
LUK.22.49	Ӏисайихъай аяттарис агуная гисаъ фи хьунара вереф. Гебури хабар гъушуная Ӏисайифас:
LUK.22.49	– Е ХӀаф, ханджалар аттивав чин? 
LUK.22.50	ГебуригӀас сайи ханджалилди йирхӀуна алдихьуная хӀа малайин лукӀун хӀуьрджал ибур.
LUK.22.51	– Маркьа, гъузен! – пуная гебурис Ӏисайи. Гъил кирхӀуна, сагъ акьуная Ӏисайи лукӀун ибур. 
LUK.22.52	Уч гъас адина хӀа маллабурис, Аллагьдин хулан къаравуларин хӀаттарис, хӀа къуджабурис Ӏисайи пуная:
LUK.22.52	– Чун къачагъ фацанас адеттар суман адиная Заалди ханджаларна ресар фай. 
LUK.22.53	Зун чвахъай гьер ягъа Аллагьдин хулаъ авейи, чун Заалди гъил гъадивундава. Гьал чве вахтт хъучадиная, Иблиса хӀавел аркьа вахтт.
LUK.22.54	Ӏиса фацуна файшуная гебури хӀа маллайин хулади. Петтру гебурин кьабахъай вей хьуная. 
LUK.22.55	ХӀеятин яӀаниъ акьуна цӀа, инсанар экьуна ахьуная цӀихъ. Петтрура экьуная гебурихъай. 
LUK.22.56	ЦӀихъ экьуна са къараваш руша, ачадаркуна Петтруйиъ, Петтру ягӀархьуна пуная:
LUK.22.56	– Гьемера ай уйи Ӏисайихъай!
LUK.22.57	Петтру мутӀеӀ хьуна адава:
LUK.22.57	– Е руш, зас ягӀафттава Ге, – пуная Петтруйи.
LUK.22.58	Са чӀукь гагьдилас сасра инсандира, Петтру агуна, пуная:
LUK.22.58	– Вунна гьегебурихъай аяф э.
LUK.22.58	– Дава, – пуная Петтруйи.
LUK.22.59	Са сеӀет дегьен вахтт ккеттушугуна, джуьреттира Петтру ягӀархьуна, пуная:
LUK.22.59	– ХӀекьди гьемера ай уйи Ӏисайихъай, Галилея дерейиас ду ме?
LUK.22.60	– Зас ягӀайдава фиттихъас ичин вун агъаяф, – пуная Петтруйи ге инсандис.
LUK.22.60	Петтруйи гиштти агъай ай, ккеккела ӀуьӀуь ахъуная. 
LUK.22.61	Ӏиса, алдаркуна, хъуттурфуная Петтруйихъ. Петтруйис кӀвал хьуная Ӏисайи учис пе гафар: ккеккела ӀуьӀуь ахъасра хъучархьасттава, вун хьибугелай пасе, вас Зун ягӀафттава пуна. 
LUK.22.62	Петтру гисаас аттушуна, юркӀурак хьуна, Ӏешуная.
LUK.22.63	Ӏиса фацуна инсанари, келхъенди ахьуная Ӏисайик, йирхӀай хьуная Гис. 
LUK.22.64	ГьайтӀуна Ӏисайин уларигьас, гебури агъай хьуная Гис:
LUK.22.64	– Нагагь Вун Пайгъамбар идехаб, уп, магьа гьина э Вас йирхӀуф?
LUK.22.65	Хъара ппара келхъен чӀалар агъай хьуная Ӏисайис.
LUK.22.66	Багамингагь хьегуна, завал хьуная хӀа къуджабур, хӀа маллабур, Ӏелимар Ӏисайин диван акьас. Ӏиса аттивуная гебурин удигьди. 
LUK.22.67	Гебури пуная Ӏисайис:
LUK.22.67	– Уп час, Вун Месигь эв?
LUK.22.67	Ӏисайи пуная:
LUK.22.67	– Зун чвас пичин, чун хъугъасттава; 
LUK.22.68	Зун чвафас фас хъугъафттава пуна, хабар гъушучин, чун джуваб есттава. – 
LUK.22.69	Гьалдилас тич Инсандин КӀиркӀ экьуна ахьасе Аллагьдин хӀуьрджал багулихъ.
LUK.22.70	– Айчин, Вун Аллагьдин КӀиркӀ эв? – пуная джаллабури.
LUK.22.70	Ӏисайи гебурис пуная:
LUK.22.70	– Чун агъая Зун э пуна.
LUK.22.71	Гебури пуная:
LUK.22.71	– Фиттис герек э хьес хъара шигьидвел? Хьес джалла Гикес Учикес унихьуне!
LUK.23.1	Ӏисайин диван аркьаяттари гъайшина, файшуная Ӏиса Пилаталди. 
LUK.23.2	Гебури Ӏисайик тахсирар кикӀай, пуная:
LUK.23.2	– Час ягӀархьуне, гьеме инсанди э че халкь рекъуьас адихьаяф, халкьди 
LUK.23.3	Пилата хабар гъушуная Ӏисайифас:
LUK.23.3	– Вун эв «ДжугьутӀарин Паччагь?»
LUK.23.3	– Гьеле вун агъагъилди э, – пуная гис Ӏисайи.
LUK.23.4	Пилата хӀа маллабурисра, халкьдисра пуная:
LUK.23.4	– Зас ме инсандик са тахсира кей аргвай адава.
LUK.23.5	Гебури агъай хьуная гуджуникестти чиппин чӀал хӀекь аркьай:
LUK.23.5	– Галилея дерейиас мич хъучучӀуна, Учингъилди ягӀар аркьай, Ги гьал кӀилди Ягьудея дерейин халкь тӀулаас адихьая.
LUK.23.6	Галилея агъай унихьуна, Пилата хабар гъушуная:
LUK.23.6	– Галилеяйиас эв ме инсан?
LUK.23.7	ЯгӀархьегуна, Ӏиса Ирод хӀавелдиъ ая дерейиас идеф, Пилата гьикуная Ӏиса Иродалди. Гьеге ягъари Иродра адина Ерусалимдиъ ахьуная. 
LUK.23.8	Ӏиса агугуна, Ирод са Ӏайи шад хьуная. Гис ацӀуна гагь хьуная Ӏиса агвас кканди, учис Гихъас ппара унихьунахӀела. Хъара Иродас Ӏисайи аркьа фичира са Ӏеламатра агвас кканди ахьуная. 
LUK.23.9	Ирода ппара суалар йиная Ӏисайис, амма Ӏисайи са джувабра йина адава. 
LUK.23.10	ХӀа маллабурна Ӏелимар гъузуна, гуджунилди тахсирар кикӀай хьуная Ӏисайик. 
