GEN.1.1	Deusũ nai inũ mai dami wakĩ eska wakĩ taewanikiaki. 
2CO.11.23	Ha inũ, habũ yuikĩ: “Nũ Cristõ tsumabuki”, iki Cristo dayashunaiburã, ẽ iriakũkainaii, Cristo dayashũkĩ hatũ daya binumahairairã. Mã eki hãtxai mã ea tatimawabianũ eã ẽ hatu binumiski. Ha inũ, Deusũ kakape ẽ yusĩayã itxapaki ea bitximisbuwẽ eã ẽ hatu binuhairaki. Ha inũ, hatikira ea kuxanibu tsuabũra tanatirubumawẽ taeshũ ẽ hatu binuhairaki. Ha inũ, ẽ mawakeãkũkainiwẽ ẽ hatu binuhairariaki. Ẽ haska tibi memis ẽ matuki txaniairã, earã, ẽ tatimamẽ? Ẽ tatimamaki. 
2CO.11.24	Deusũ kakape Cristokiri ẽ yusĩbaũmiswẽ taeshũ ea nemapaikĩ hanu ea akaibutiã judeu shanẽ ibubũ mekẽ bestitiki ea hatu kupimakĩ awa bitxi kuxatiwẽ hawẽtxaĩs 39 tibiki ea hatu pekux pekux amakubainabu ẽ mawakeãkũkaĩyamaki. 
2CO.11.25	Haska inũ, Cristokiri ẽ yusĩbaũmiswẽ taeshũ ea nemapaikĩ Romano shanẽ ibubũri dabe inũ bestitũ hi kuxatiwẽ ea hatu pekux pekux amayamaburiki. Haska inũ, ea tenãpaikĩ mãkãwẽ ea tsaka tsaka akĩ ea xinã nemanibuki. Ha inũ, Cristokiri ẽ yusĩkubaunaya niwe shashu dabe inũ besti habu tibi txakabuakeakeaya ẽ hasakeaniki. Ha shashu betsa anua mexu bestitxai inũ shaba bestitxai iã batapa anu shashuuma nunai tsuã ea neshetima hi tuashki mepia ẽ nunukũkauniki. 
2CO.11.26	Haska inũ, Jesusũ kakapekiri yusĩ nũ kakũkaunai haska tibi mese ẽ binukubaĩmis matu ana yuinũ nĩkakãwẽ. Ẽ hene pukei kaya hawaira bai mata bekĩ ea shashu narabea inũ maĩ pukei nua maeshbaĩ hasai ẽ mawakeãkũkainiki. Ha inũ, maĩ ẽ kaya yumetsubũri ea mesewatã ẽ hamapai ea bianibuki. Ha inũ, enabu inũ enabumã ea itxakawakĩ ea date date akubaĩyamabuki. Ha inũ, mae ewapa tibi anushũ inũ hanu hiweabumanushũ hunibũ ea itxakawanũbũ yuinaka pianãbũ ea pikeãyamaki. Ha inũ, iãnẽwanu niwe shashuwẽ ẽ kaya niwẽwã mese bekĩ ea datekubaĩyamaki. Ha inũ, nukubetã ikũwaĩbu habũ ikũwãtxakaibũ ea bikawakĩ ekiri txanitxakubaĩyamabuki. 
2CO.11.27	Ha inũ, ẽ dayatxakayamakũkaĩmiski, bika betsa betsapa tenebiakubainirã. Mexu betsa tukama ẽ usha tenemiski. Ha inũ, buni tenea inũ ũpash tenea piama ẽ ikũkaĩmiski. Ha inũ, matsi tari hayama hawa dakukuti hayamari ẽ matsi tenekubaĩmiski.
2CO.11.28	Haska tibi ena tenebiakĩ ha xinãma ẽ betsabu mae tibi anushũ mã ikũwaĩbuwẽ ẽ matuwẽ nuihairakũkaĩmiski, haska tibi binuirã. 
2CO.11.29	Yura betsã bika tenei babuaya hawẽ nuikĩ ẽ habetã teneai keskamiski. Ha inũ, yura betsã ikũwaĩbu babu wakĩ txakabuwamaya tsuãra hatu txakabuwamaiwẽ ẽ hatuki sinatahairamiski. 
2CO.11.30	Ẽ hawa hayama emebi ẽ haska kẽtirumabia haska ẽ babumiswẽ taea ẽ keaiĩ. 
2CO.11.31	Ẽ haska txani keãyã nukũ Shanẽ Ibu Jesus Cristõ Epa Deusũ ẽ hãtxa nĩkakĩ txanima hãtxa besti ẽ yuiai unaĩkiki, ha ikibi ini yurabũ kẽwãkubaĩshanaibunã. 
2CO.11.32	Cristo ẽ ikũwãkĩ taewabirãxina ea haska wanibu ana matu yuinũ nĩkakãwẽ. Shanẽ ibuhaira Aretasĩ Damasco mae ewapa yunumistũ hawẽ soldadobu ea atximanũ, iwanã, ha mae hawẽ mixki kene sheshekaiã hanu kaĩbaĩti tibi anushũ ea hatu atximakatsi iniki. 
2CO.11.33	Haska hatu wamabiaya ikũwaĩbu betsabu ẽ haibuaibũ hanushũ uĩti kene shui anu kukiki ea nanetã dispiwẽ kukiki dũtãtã ea hanu buteabu ea atxipanãbũ ẽ pashakainiki.
2CO.12.1	Nama keskawẽ hawara nukũ Shanẽ Ibũ ea uĩmani ẽ matuki txani haskawẽ ẽ kẽtirumabia ekiri matu unãmahairakatsis ikĩ hawara nukũ Shanẽ Ibuã ea shabakabi unãmani ẽ matu yuiai nĩkairakãwẽ. 
2CO.12.2+2CO.12.3+2CO.12.4	Ma 14 bari kakẽ nai binua keyatapahaira anu Deus hiwemis pepanu ẽ yura kasmai ẽ yushĩ besti Deusũ ainitã ha hãtxa tsuã shabakabi yuitiruma Deusũ ea yuiniki. Haskara watã ea aininirã, ẽ yura kasmai ẽ yushĩ besti ea uĩmani Deusũ besti unaĩwẽ taeshũ eã ẽ matu yuitirumaki. 
2CO.12.5	Haska ẽ ini ẽ hawẽ kẽtirubia ẽ hawẽ hawa keãmaki. Hakia haska babukĩ ẽ tenemis bestikiri txanikĩ ẽ yuitiruki, keĩnã, nukũ Shanẽ Ibũ ea merabewamiswẽ taearã. 
2CO.12.6	Haska inũ, tatimabia ẽ keĩ hawara Deusũ ea ashũmis yuikĩ hãtxa txanima ẽ yuiaya hawara emebi ẽ akai inũ hawara emebi ẽ yuiai besti ikũwãkĩ hawara betsa betsapa Deusũ ea ashũmis ẽ ana matu yuikatsi ikamaki, mã tsuã ekiri haska xinãkĩ yuitirubumakenã. 
2CO.12.7	Ha inũ, haska pepahaira ẽ uĩniwẽ taea keĩ ẽ hawẽruayamanũ Deusũ nemama Satanásã ea isĩ betsa inãkĩ ea musha tekea keska ea wani ẽ teneaii. Ha inũ, hawãra ea isĩ tenemaima tenekĩ 
2CO.12.8	hau ẽ Shanẽ Ibũ ea shushawanũ, iwanã, dabe inũ bestiki ẽ ea aka 
2CO.12.9	dabe inũ bestikiri ea yuikĩ: “Miwẽ nuikĩ ẽ mia duawamisrã, hatiwẽ besti mĩ benimatiruki. Isĩ tenei mĩ babubia mĩ ea dayashũkũkaĩkĩ ẽ kuxipa mĩ unãtiruki”, ea waniki. Haskakẽ yura babu haya Cristõ kuxipa hayakatsis iki haska emebi ẽ hawawatiruma ẽ hawẽ kẽtiruki. 
2CO.12.10	Haskakẽ babui Cristõ kuxipawẽ ẽ kuxipatiruwẽ taea Cristo duawanũ, ika ẽ xinã txãkãmiski, eska tibiwenã, ẽ babuaiwẽ inũ, eki sinataibuwẽ inũ, ẽ yumaĩ hawaumawẽ inũ, ea tenãnũ ishũ ea itxakawaibuwenã, Cristowẽ dayai ẽ bika tenekubainaiwenã. Hanu ẽ babuhairaitianã, Cristõ kuxipa ẽ mekubaĩmiski.
2CO.12.11	Haska tatimai ẽ keaĩ ẽ hawaumaki. Hakia mã ea kẽwãma danaĩbuwẽ taea ibubis kẽkĩ ẽ matu haska yuiaii. Ha unãnepabu parananãkĩ bemakis matu uĩmakĩ haska ekiri hawauma matu yuimisburã, hatũ hawawẽ ea binutirubumaki. 
2CO.12.12	Ha inũ, bika betsa betsapa mebiakĩ ẽ tenekubainimaki. Haska inũ, matube hiweshũ haska dasibi Jesusũ kuxipayabũ amis keska wakĩ eari habiaskari Deusũ kuxipa ẽ haya shabakabi matu uĩmakĩ dami betsa betsapa ẽ wakubainimaki, matũ berubirã. 
2CO.12.13	Ha inũ, haska ikũwaĩbu maniabu dasibi duawakĩ ẽ yusĩmis maturi ashũkubaĩkĩ hatũ pei ẽ bibiamis matuna ẽ matu yukama ikimaki. Matũ pei mã ea inãkatsi ikama xinãkĩ matu bikawakatsi ikama matũ merabewati yukama ẽ kaneimamẽkaĩ. Matube hiweshũ matũ hamapai merabewati biama matũ huĩti ẽ nixmawaimamẽkaĩ. Ẽ haskakĩ kaneimakẽ ẽ txakabu ea hakimakãwẽ.
2CO.12.14	Dabeki ẽ matu yusĩtanima samama ana matuki banũ ika ẽ kakatsis ikĩ ẽ matukiri ana xinãtanaii. Hakia haska bakebu yumeriabumã hatũ hamapai xarabu hatũ ibubu mekeshuĩsma hakia ibubũ hatũ hamapai hatũ bakebu mekeshũshũ hatũ hawara bishũmis keskakĩ eã dukũ Cristokiri ẽ matu yusĩtani ẽ matũ ibuki. Matu haska wakĩ ẽ bakebu keska ẽ matu aniwẽ taeshũ matũ hamapai ẽ matu mẽkatsis ikamaki. Hakia mã Cristoki dasiabũ ẽ yusĩa ikũwãkĩ txibãmisbũ mã ekiri xinãtiruki. Haskawẽ taea Cristo besti mã txibanũbũ ẽ matu ana yusĩ kakatsis ikaii. 
2CO.12.15	Matu anu hikitã matũ ibu keskakĩ matuwẽ nuihairakĩ matu merabewakatsis ikĩ ẽ hawara bikĩ dasibi ẽ pei putakĩ ẽ keyushanaii. Ha inũ, matu abuhairakĩ ẽ heneama ibiakũkainaya matunã, mã ea abu mirĩkĩ henekubaĩshanai?
2CO.12.16	Habiaskabiakẽ matũ pei biãkĩ ẽ matu daketapa waismabiakẽ ekiri tsuãra yuikĩ: “Nuku parãkĩ nukũ pei Paulõ hune biãkubaĩmiski”, iwanã, haratura eki beparamekĩ mã ea yuãtiruki. 
2CO.12.17	Yusĩnã betsabu ẽ matu anu yunuxinabunã, habũ matũ pei itxawakĩ: “Ea bishũtãkãwẽ”, iwanã, ẽ hatu yunuamaki. 
2CO.12.18	Ha inũ, Tito inũ ikũwaĩ betsa matu anu ẽ yunuxinabunã, pei matu biãkĩ matu parãxinabumẽ? Haskamaki. Habu ebetã yusĩmisbu keska xinaĩbũ habiaskari yusĩkĩ eãri ẽ hatu yunumistũ ẽ matu paraĩsmariki. Habukiri txakabu xinãyamakãwẽ.
2CO.12.19	Na eska ẽ matu yuiairã, hawara nũ matubetã kaneima ẽ ibubis nemakanaĩ ikimẽkaĩ? Haska ekiri mã xinã txakatirubumaki, ẽ matu haska waismabiakenã. Hakia nuku hãtxairã, Deusũ nuku unãti wakubainaya Cristoki dasitã nũ hawenabũ matu merabewakatsis ikĩ matuwẽ nuikĩ hawara inũ haskara Deusũ nuku amakatsis ikai shabakabi matu ashũkĩ dasibi nũ matu uĩmamiski. Haskakẽ ẽ betsabu inũ ẽ puibuũ, hawara nũ matu yuiai txibãkĩ matũ hiwea pewatã Cristoki txiti itã kuxipai ewarikubaĩkãwẽ. 
2CO.12.20	Ha inũ, tsuabũra ẽ hãtxa mã habũ danaĩ mã haskarara ẽ matu uĩ kashanai inũ, matũri haskarara mã ea uĩshanai matuwẽ ẽ dateaii, eska mã hiweamẽkaĩ ikarã, mã danãnanãbukuaĩwẽ inũ, huni betsa ikaiwẽ uĩ mã hatuki sinatamiswẽ inũ, mã pubeaĩwẽ inũ, mã ibubis keĩ binũnãnaĩwẽ inũ, hune mã yuãnanaĩwẽ inũ, mã shabakabi txitenamemiswẽ inũ, “Eã besti ẽ hatu binuaki”, mã ikaiwẽ inũ, mã merabenameismawenã. 
2CO.12.21	Haska inũ, matũ mae ewapa anu ana ẽ kakẽ habũ txakabu betsa betsapa wakĩ kanekubaĩkĩ xinã betsa wariabumawẽ taeshũ Deusũ ea dakewashanaiwẽ ẽ dateaii. Uatiã mã txakabu heneriama ẽ matu uĩtanima keska ana habiaskaswẽ mã hiwea uĩ huĩti nixmahaira ẽ matuya kashatuxitiruki, eska tibiaibu uĩnã, tsuabura mã habũ txakabu heneriama haikaimas txakabuwẽ habũ xinã txakaibu inũ, huni dabe txutanameaibu inũ, aĩburi yura tibibube txutanameaibu inũ, atimapakĩ hatũ xinã benutã txakabu bestiwakubainaibuwenã. Ẽ betsabu inũ ẽ puibuũ, ẽ matu anu kariamakẽ matũ xinã betsa wai bebũkiri peparikãwẽ.
2CO.13.1+2CO.13.2+2CO.13.3+2CO.13.4	Yurabu mai hirabi anu mekẽnũ ika Jesus babuyunikẽ hunibũ atxishũ cruzki netãtã tenaĩbu Jesusũ hatu nemamakẽ hanua ma tenãbu Deusũ hawẽ kuxipawẽ ana bestẽwaniki. Haskakẽ nukũ Shanẽ Ibu keska babuyui hawẽ kuxipa Deusũ nukuwẽ matu unãmamiswẽ taea niti ikama Cristobe nũ hiwekuĩkũkaĩshanaii. Habiaskabiakẽ Cristõ kuxipawẽ ẽ matu yunumismẽkaĩ mã unãkatsis ikaibu matu anu ana kashũ Cristõ hãtxa txanima kuxipawẽ ẽ matu ha atiru ẽ matu uĩmai kashanaii. Ẽ matu yusĩtani ana matu yusĩ matube ana ka hiwea ẽ yubakayama keska txai hiwebia matu dapishũ ẽ yuiai keska ana ẽ matu banabimai nĩkairakãwẽ. Haratubũra ikũwaĩbũ txakabuwakĩ hatũ huĩti ana pewariabuma ẽ ana hatuwẽ nuiama iki kashanaii. Eska Deusũ yunua Moisés hatu yununiwẽ besti nũ hatu unãti watiruki: “Tsuãra txakabuwai hawẽ hãtxa unãkĩ yura dabe kasmai dabe inũ bestitũ hakiri txanii pikuaibũ habũ hãtxa ikũwãtirubuki”, ini ha yusĩa txibaĩ matũ itxati anu itxashũ habu txakabumẽkaĩ haska unãtinaĩ txitenamei penamebukũkãwẽ. 
2CO.13.5	Haskakẽ matu anu ẽ ana kariamakẽ Jesus Cristo matuki dasia mã haska ikũwãkĩ pewaimẽkaĩ. Matũmebi uĩkĩ matũ xinã uke merã unãkãwẽ. Betsabũ mã ikũwaĩmẽkaĩ. Betsabũ mã daki ikũwãbumaki. Matũmebi ibubis unãtinãkãwẽ, haska mã kaneamamẽkainã. 
2CO.13.6	Hamẽ nũ habũ matu yusĩmisrã, hawa txakabu wakĩ daka kanekĩ nũ matu uĩmatxakai hawa txĩtuãma nũ Jesus ikũwaĩ mã nuku unãtirubuki. 
2CO.13.7	Nukukiri xinãkĩ unãti wakĩ hatibũra nukũ yusĩa mã abuamabiakẽ haska nukukiri mã xinaĩ nũ hawẽ nuiamaki. Hakia mã pe besti hiwenũbũ nũ matuwẽ nuikũkainaii. Haska mã hiweabu hau hawa txakabũ matu atxiyamanũ Deusũ kuxipa nũ matu yukashũkubainaii. 
2CO.13.8	Haska wakĩ txanima hãtxa nũ danãtirumaki. Hakia txanima hãtxawẽ shabakabi nũ matu ashuãkeakemiski. 
2CO.13.9	Haska inũ, Deusũ matũ xinã kuxipa waya hau niti ikama mã pepaki nukunũbũ nũ babubia benimakĩ Deus nũ matu yuka heneshunama ikũkainaii. 
2CO.13.10	Haskakẽ matu uĩ kashũ matu ha akĩ nixmawakĩ ẽ matu ana babu wayamashanũ hakia merabewakĩ ẽ matu kuxipa wakubaĩshanũ nukũ Shanẽ Ibũ hawẽ kuxipa ea inãniwẽ matu yamawama mã ikũwaĩbu ẽ matu kuxipa wakatsis ikaii. Haskawẽ taea matu anu kariama bebũkiri ẽ hãtxa keneshũ ẽ matu bumaiwẽ taeshũ xinaĩrakãwẽ.
2CO.13.11	Ẽ betsabu inũ ẽ puibuũ, matu keneshũkĩ ma ẽ keyuai nĩkairakãwẽ. Epa Deusũ duawakĩ merabewakĩ unãnuma matu hiwemakatsi ikaya matũ huĩti benimakĩ hawara Deusũ matũ hiwea matu pewamakatsis ikai arikãwẽ. Ha inũ, punu nuka pesburã, hau merabenãkĩ matu benimawanũbũ Deus hatu yukashũkãwẽ. Mã haskai hiweabu Deusũ matu abukĩ matu unãnuma hiwemai matube hiwekũkaĩshanikiki. 
2CO.13.12	Ha inũ, nukunabu matuki nukuaibu Jesusũ kenawẽ yuka iki benimai ikukunãkubaĩkãwẽ. Ha inũ, ikũwaĩbu Macedônia anuabũ hatũ hãtxa matu bumariakanikiki.
2CO.13.13	Nukũ Shanẽ Ibu Jesus Cristõ hawẽ pepawẽ hau matu duawakubainũwẽ. Ha inũ, matuwẽ nuikĩ Deusũ hau matu merabewakubainũwẽ. Ha inũ, Deusũ Yushĩ Pepatũ hau dasibibu matu haibunamemakubainũwẽ.
2CO.13.13	Hatiski, ẽ hãtxarã.
2CO.13.13	Paulo
GAL.1.1	Jesusũ tsuma kuxipaya betsa earã, ẽ Pauloki. Hawa hunibũ hatũ xinãnẽ katushũ ea yunuama inibuki. Hakia katukinã, Jesus tenãbu hatũ bestẽwani hawẽ Epa Deus inũ ha kayabis Jesusũ hamebi ea katunishũ ea yunukubaĩmisbuki. 
GAL.1.2	Na nenu hiweshũ dasibi nukũ betsabu Jesus ikũwaĩbubetã hari Galácia mai pakea mae tibi anu mã dasibi nukũ betsabu itxamisbu tibi anua ẽ matu kene bumai uĩkubaũshãkãwẽ. 
GAL.1.3	Ẽ kene uĩtã mã haskaya mã unãnuma hiweaibũ Epa Deus inũ nukũ Shanẽ Ibu Jesus Cristo matuwẽ nuikĩ hatũ pepawẽ hau matu duawakubainũbũwẽ. 
GAL.1.4	Haskakẽ nukũ Epa Deusũ haska xinaĩ keskawẽ nuku ikirã, natiã hiweabũ txakabuhaira wakubainaibube hau nuku kupiyamashanũ haskawẽ taea Jesus Cristo mawai hawẽ hiwea yauxiama nukũ txakabu buanũ ika iniki. 
GAL.1.5	Haskakẽ nukũ Epa Deus kuxipa hau kẽwãkubainũbũwẽ. Haskakirã.
GAL.1.6	Cristo nuikipa pepawẽ taeshũ Deusũ matu katukĩ unãmabianiwẽ taea kanekĩ hawaira henei yusĩa betsaki maekĩ mã harakiri ea xinãtima kayawai e ikĩ ẽ nĩkaii. 
GAL.1.7	Txanima ẽ matu yuiaii. Yusĩa betsa naeshuma kuxipa hayama keskawẽ matu yusĩkanikiki. Huni betsabu humepakĩ matu parãkĩ Cristõ matu mekeakiri kakape betsa wakĩ habias hãtxawẽ matu yusĩabumaki. Hatũ yusĩa hãtxarã, hamẽ haki beparamekanikiki. 
GAL.1.8	Haskakẽ tsuãra yusĩa betsa nũ matu yusĩ taewani keskama beshũ matu yusĩaĩburã, Deusũ yupukĩ kupiti wani anu bunũ ika ikanikiki. Haratura xinãma ea kasmai naiuria Deusũ nai tsuma hua hatũ hãtxawẽ txanitxakayuarã, hawa hatu nĩkayamakubaĩshãkãwẽ. 
GAL.1.9	Ha dukũ ẽ matu yuitani keska na habiatiã ana ẽ matu yuaii: “Tsuabũra yusĩa betsa, hawara mã ikũwãni keskama, habũ matu yusĩkĩ parãkĩ matu betsa wakĩ itxakawaiburã, Deusũ hatu yupukĩ hatu kupiti wani anũ hau meshanũbũwẽ”, iwanã, ẽ matu ana keneshunaii. 
GAL.1.10	Matũmebi xinã pewakãwẽ. Tsua ẽ benimawaimẽkainã? Ea ikirã, yurabu ẽ datã akĩ kẽwãmakatsi ikamaki. Hakia Deus besti datã akĩ ẽ hatu kẽwãmakatsis ikaii, yurabũ hau ea kẽwãnũ hatu abumairã. Haska abuaibu keska ẽ hatubetã pewakeanaii. Hatubetã haska akirã, ẽ Cristõ tsuma ikeanamaki.
GAL.1.11	Ẽ betsabu inũ ẽ puibuũ, matunã, nĩkairakãwẽ. Deusũ yusĩni Jesus mekenãkiri kaka wakĩ datã akĩ ẽ matu yuikubainirã, yurabũ ea hawa tapĩmama inibuki. 
GAL.1.12	Hakia hunibũ katutã ea yusĩabumabiakẽ Jesus Cristo bestitũ ibubis hawẽ meketi shabakabi ea unãmaniki. 
GAL.1.13	Haskati dabanẽ ẽ Israelĩ babawẽ taeshũ judeubũ beya dasibi txibãkubaĩkĩ Jesus ikũwaĩbu bari betsatiã ẽ hatu itxakahairawakĩ ẽ hatu yamawakĩ keyukatsis ikai mã ekiri nĩkanibuki.
GAL.1.14	Earã, tsua haskamabiakẽ ẽ shenipabũ beya txibãhairakĩ huni ewai unãnepakĩ betsabu ea keskabu ẽ hatu binuhairakubainiki. 
GAL.1.15+GAL.1.16	Hamẽ judeubumari hau Deusũ hatu kupiyamashanũ nukũ mekenã Messiaskiri eã ẽ hatu yusĩkubaũshanũ ẽ kaĩriamabiakẽ bebũkiri Deusũ ea katuniki. Hanua hawẽ pepawẽ ewẽ nuikĩ ma ẽ huni ewa ea unãmakĩ ana shabakabi ea katushũ hawẽ bakẽ daya ẽ ashũkubaĩshanũ ea kenashũ hawẽ bake ea unãmaniki. Hanushũ hawẽ merabewati hãtxa hau tsuãra ea yusĩnũ yura betsa ẽ hawa yukama iniki. 
GAL.1.17	Ha inũ, Jerusalém anu dikabi Jesusũ kuxipayabube dukũ ẽ hãtxai kayuama iniki. Hakia Damasco mae ewapa leste bari huaikiri Arábia mai pakea anu ẽ katanima haria Damasco anu ẽ ana txĩtũkiraniki. 
GAL.1.18	Ẽ Jesus Cristo ikũwãkĩ taewabainima harishũ ano dabe inun besti nitxĩtã Damasco anu txĩtũkirã Pedro uĩnũ ika Jerusalém anu ẽ ka 15 shaba besti haki bakĩ daewakĩ unãti wai ẽ habe hiweyuniki. 
GAL.1.19	Hakia Jesusũ kuxipaya betsabu uĩyama nukũ Shanẽ Ibũ betsa Tiago besti ẽ uĩrianiki. 
GAL.1.20	Deusũ ẽ xinã txanima unãyã ẽ matu keneshũkĩ yuiairã, txanimaki.
GAL.1.21	Pedro uĩxina hanua kai mai pakea dabe Síria inũ Cilícia anu ẽ kakẽ 
GAL.1.22	hakia Judéia mai pakea anushũ ikũwaĩbu nukũ puibu inũ nukũ betsabũ ea uĩsmabia 
GAL.1.23	tsuãra nĩkashũ hatu yuikĩ: “Paulõ nuku itxakawakubainitũ Jesusũ kakape yamawapaiaya Deus hawẽ nuikĩ huĩti benawaima ikis hawẽ kakape dasibibu yusĩkubaunikiaki”, iwanã, ekiri nĩkakĩ 
GAL.1.24	ewẽ taeshũ Deus kẽwãkubainibukiaki.
GAL.2.1	Hanua ma 14 ano binukainaya txipu Jerusalém anu ana kakĩ Barnabébetã Tito ẽ iyuniki. 
GAL.2.2	Haskakaini kairã, ẽ xinãnẽma Deusũ haska ea unãmaya ẽ kaniki. Jerusalém anu Jesusũ kuxipayabu yununikabube hatube besti itxatã haska hatumaki Jesuskiri kakape judeubumakiri kashũ ẽ hatu yusĩtãmis ẽ kanemismẽkaĩ ika datebetanã ẽ hatuki txaniniki, hau ea nĩkatã unãnũbunã. 
GAL.2.3	Haska ẽ hãtxa danãma inũ betsarã, Tito Gregonawabiakẽ uĩbiakĩ hau hawẽ hina kubitxi meshtenũbũ hawa nuku yunuama irianibuki. 
GAL.2.4+GAL.2.5	Hanua betsarã, nũ itxanu nukũ betsabu hatiri nukubetã ikũwaĩ kayabibumari hune nuku unãti wanũ ika hikia manishũ nĩkakĩ hawama Jesus Cristokiri nĩkatã txibaĩ ma mekei pepabiaibũ hanua habũ Moisés hatu yusĩni hatũ beya nuku ana husimakĩ txibãmanũ ika ikaibũ hawa hatu nĩkama binumakĩ ha Jesuskiri hãtxa txanimawẽ taea hawa beya tibiwẽ husikĩ matukiri nuku kanemama inibuki, mã haska betsatã maetirubumakirirã.
GAL.2.6	Jesusũ tsumabu unãnepabu habu hatu nĩkamisbu shanẽ ibubiabũ habũ hawa hãtxa bena betsa ea yuiama inibuki. Hakia txanima bemakis nũ hatu uĩkĩ xinãkĩ kẽwãbiamiskẽ haska Deusũ bemakisa xinãkĩ unãti waismaki. Haska katukinã, hatũ huĩti uke merã uĩmiswẽ taea haskawẽ ẽ nuiamaki. 
GAL.2.7	Haskawẽ taea ha beya dabekiri nũ unãtinãnibuki. Haska Jesuskiri kakape nũ hatu pe yusĩnũbũ Deusũ nuku yununiki, ea nitxĩkĩ yunukinã. Judeubuma anu kashũ Jesus mekenãkiri ẽ hatu tapĩmanũ bebũkiri ea unãmaniki. Habiaskari wakĩ Jesusũ Pedrori judeubu anu yunukĩ nitxĩrianiki, hau hakiriri hatu unãmakubainunã, hawẽ mekeakirirã. Nũ haska dayamis nuku nĩkakĩ nukũ shanẽ ibubũ nuku unãnibuki. 
GAL.2.8	Deusũ bake Jesusũ Pedro katushũ yunurianiki, hau hawẽ kuxipayashũ hawenabu judeubu hau hatu yusĩkubaĩshanunã. Habiaskari wakĩ Deusũ bake Jesusũ eari katutã hawẽ kuxipayawashũ judeubuma anu eari yununiki, haburi ẽ hatu yusĩriakubaũshanunã. 
GAL.2.9	Haskawẽ taeshũ ẽ hawa pepamabiakẽ ewẽ nuikĩ Jesusũ ea katushũ ea yununi ẽ hatuki txanikĩ meshtãma nĩkatã habu dukũ Jesusũ hatu katuni binuabu Tiago inũ, Pedro inũ, Joãonẽ ẽ haskamis txanima unãtã ea haibuwakĩ nuku danãma ea inũ Barnabébe ea habe metaka anibuki. Nuku haska wakĩ haibuwabu ea Barnabébe pashkakaĩ judeubuma anu nũ yusĩ kaya hanua haburi hawenabu judeuburi hatu yusĩnũbũ hatube yubakatã nũ ana dayai kaniki. 
GAL.2.10	Eska besti nuku yununibuki, nuitapaibu nũ hatu hakimayamanũbunã, eã ma ẽ habiaska wabiamiskẽ ana nuku xinãmakinã.
GAL.2.11	Hanua Jerusalém anu nũ itxaxina menetã ana Antioquia mae ewapakiri nũ txĩtũkainima hiwekẽ habiatiãri Pedro nukuki bai kaxĩshũ hatu yusĩkĩ kaneaya ẽ ha bebũshũ ha ani matu yuinũ nĩkakãwẽ. 
GAL.2.12	Ha dukũ Pedro kashũ judeubũ beya unãbiakĩ Tiagõ haibuaibu beriabumakẽ Jesus ikũwaĩbu judeubumabetã pikubainaya habũ judeubũ beya txibãkĩ henekatsi isbuma Jerusalém anua bei ma hikiabũ hatuki mesekĩ hau hakiri txakabu xinãyamanũbũ hatu beparani ana ikũwaĩbu judeubumabetã Pedrõ piama hatu heneyuniki. 
GAL.2.13	Hanushũ Jesus ikũwaĩbu judeubu betsa Antioquia mae ewapa anuabũ judeubumabetã piaibukiri pe xinãbiakĩ haska Pedrõ kanekĩ taewai keska wakĩ habũri habiaskari wakĩ kaneriakubainibuki, ẽ haibu Barnabẽ dikabirã. 
GAL.2.14	Haska wakĩ Jesusũ yusĩa kayabi txibãkĩ pewama kaneaibu eã uĩkĩ Pedro hawẽ haibuaibube nia hatu txitekĩ: “Pedroõ, judeubia uatiã judeuma keskai mĩ hatube nishũ pikubaĩxinaki. Haskai natiã hatu beparani ana txĩtũkirã judeubũ beya hau judeubuma mĩ hatu uĩmatxakai? 
GAL.2.15	Nukubu na nenu mapuaburã, judeubumabũ Deusũ yunuti inũ hawẽ nemati unãbuma keskama judeubu kaĩtã nũ yumeniki.” 
GAL.2.16	Habiaskabiakẽ Moisés yunuti inũ hawẽ nemati txibaĩbuwẽ taeama tsuabũra Jesus Cristo ikũwaĩbuwẽ taeshũ Deusũ hatũ txakabu buatã ana xinãma nũ unaiĩ. Nukũri judeubũ beya nũ txibaĩwẽ taeama Jesus nũ ikũwãyã nukũ txakabu Deusũ buashũ nuku ma pepawani nũ unãriaii. Jesus haibuwama judeubũ beya besti txibaĩbũ tsuabũra txakabuwai Deusũ buashũkĩ pepa waismaki.
GAL.2.17	Hamẽ nuku ikirã, Moisés yusĩa txibaĩ nũ txakabu iyunibuki. Haskawẽ taeshũ ẽ mia yuiairã, Cristõnã, nuku txakabu amaismaki, txanimarã. Haskakẽ nũ pepakatsis ikĩ hatu unãti wamairã, hau nuku unãti wanunũbũ Cristowẽ taea besti nũ pepatirubuki. 
GAL.2.18	Ha inũ, judeubũ beya danãkĩ henebiatã ana txĩtũkirã ẽ bena wairã, earã, ẽ txakabu ikeanaii. 
GAL.2.19	Haskakẽ Moisés keneni txibãhairabiai earã, hawẽ taearã, ẽ mawa keska iniki. Haskawẽ taea Jesus Cristo mawaya ẽ habe cruzki dununi keskawẽ taea hatishũra ẽ hiweawẽ Deus duawai ẽ hiweshũyuaii. 
