MAT.1.1	ibrāhīmaḥ santānō dāyūd tasya santānō yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśrēṇī|
JUD.1.3	hē priyāḥ, sādhāraṇaparitrāṇamadhi yuṣmān prati lēkhituṁ mama bahuyatnē jātē pūrvvakālē pavitralōkēṣu samarpitō yō dharmmastadarthaṁ yūyaṁ prāṇavyayēnāpi sacēṣṭā bhavatēti vinayārthaṁ yuṣmān prati patralēkhanamāvaśyakam amanyē|
JUD.1.4	yasmād ētadrūpadaṇḍaprāptayē pūrvvaṁ likhitāḥ kēcijjanā asmān upasr̥ptavantaḥ, tē 'dhārmmikalōkā asmākam īśvarasyānugrahaṁ dhvajīkr̥tya lampaṭatām ācaranti, advitīyō 'dhipati ryō 'smākaṁ prabhu ryīśukhrīṣṭastaṁ nāṅgīkurvvanti|
JUD.1.5	tasmād yūyaṁ purā yad avagatāstat puna ryuṣmān smārayitum icchāmi, phalataḥ prabhurēkakr̥tvaḥ svaprajā misaradēśād udadhāra yat tataḥ param aviśvāsinō vyanāśayat|
JUD.1.6	yē ca svargadūtāḥ svīyakartr̥tvapadē na sthitvā svavāsasthānaṁ parityaktavantastān sa mahādinasya vicārārtham andhakāramayē 'dhaḥsthānē sadāsthāyibhi rbandhanairabadhnāt|
JUD.1.7	aparaṁ sidōmam amōrā tannikaṭasthanagarāṇi caitēṣāṁ nivāsinastatsamarūpaṁ vyabhicāraṁ kr̥tavantō viṣamamaithunasya cēṣṭayā vipathaṁ gatavantaśca tasmāt tānyapi dr̥ṣṭāntasvarūpāṇi bhūtvā sadātanavahninā daṇḍaṁ bhuñjatē|
JUD.1.8	tathaivēmē svapnācāriṇō'pi svaśarīrāṇi kalaṅkayanti rājādhīnatāṁ na svīkurvvantyuccapadasthān nindanti ca|
JUD.1.9	kintu pradhānadivyadūtō mīkhāyēlō yadā mūsasō dēhē śayatānēna vivadamānaḥ samabhāṣata tadā tisman nindārūpaṁ daṇḍaṁ samarpayituṁ sāhasaṁ na kr̥tvākathayat prabhustvāṁ bhartsayatāṁ|
JUD.1.10	kintvimē yanna budhyantē tannindanti yacca nirbbōdhapaśava ivēndriyairavagacchanti tēna naśyanti|
JUD.1.11	tān dhik, tē kābilō mārgē caranti pāritōṣikasyāśātō biliyamō bhrāntimanudhāvanti kōrahasya durmmukhatvēna vinaśyanti ca|
JUD.1.12	yuṣmākaṁ prēmabhōjyēṣu tē vighnajanakā bhavanti, ātmambharayaśca bhūtvā nirlajjayā yuṣmābhiḥ sārddhaṁ bhuñjatē| tē vāyubhiścālitā nistōyamēghā hēmantakālikā niṣphalā dvi rmr̥tā unmūlitā vr̥kṣāḥ,
JUD.1.13	svakīyalajjāphēṇōdvamakāḥ pracaṇḍāḥ sāmudrataraṅgāḥ sadākālaṁ yāvat ghōratimirabhāgīni bhramaṇakārīṇi nakṣatrāṇi ca bhavanti|
JUD.1.14	ādamataḥ saptamaḥ puruṣō yō hanōkaḥ sa tānuddiśya bhaviṣyadvākyamidaṁ kathitavān, yathā, paśya svakīyapuṇyānām ayutai rvēṣṭitaḥ prabhuḥ|
JUD.1.15	sarvvān prati vicārājñāsādhanāyāgamiṣyati| tadā cādhārmmikāḥ sarvvē jātā yairaparādhinaḥ| vidharmmakarmmaṇāṁ tēṣāṁ sarvvēṣāmēva kāraṇāt| tathā tadvaiparītyēnāpyadharmmācāripāpināṁ| uktakaṭhōravākyānāṁ sarvvēṣāmapi kāraṇāt| paramēśēna dōṣitvaṁ tēṣāṁ prakāśayiṣyatē||
JUD.1.16	tē vākkalahakāriṇaḥ svabhāgyanindakāḥ svēcchācāriṇō darpavādimukhaviśiṣṭā lābhārthaṁ manuṣyastāvakāśca santi|
JUD.1.17	kintu hē priyatamāḥ, asmākaṁ prabhō ryīśukhrīṣṭasya prēritai ryad vākyaṁ pūrvvaṁ yuṣmabhyaṁ kathitaṁ tat smarata,
JUD.1.18	phalataḥ śēṣasamayē svēcchātō 'dharmmācāriṇō nindakā upasthāsyantīti|
JUD.1.19	ētē lōkāḥ svān pr̥thak kurvvantaḥ sāṁsārikā ātmahīnāśca santi|
JUD.1.20	kintu hē priyatamāḥ, yūyaṁ svēṣām atipavitraviśvāsē nicīyamānāḥ pavitrēṇātmanā prārthanāṁ kurvvanta
JUD.1.21	īśvarasya prēmnā svān rakṣata, anantajīvanāya cāsmākaṁ prabhō ryīśukhrīṣṭasya kr̥pāṁ pratīkṣadhvaṁ|
JUD.1.22	aparaṁ yūyaṁ vivicya kāṁścid anukampadhvaṁ
JUD.1.23	kāṁścid agnita uddhr̥tya bhayaṁ pradarśya rakṣata, śārīrikabhāvēna kalaṅkitaṁ vastramapi r̥tīyadhvaṁ|
JUD.1.24	aparañca yuṣmān skhalanād rakṣitum ullāsēna svīyatējasaḥ sākṣāt nirddōṣān sthāpayituñca samarthō
JUD.1.25	yō 'smākam advitīyastrāṇakarttā sarvvajña īśvarastasya gauravaṁ mahimā parākramaḥ kartr̥tvañcēdānīm anantakālaṁ yāvad bhūyāt| āmēn|
REV.1.1	yat prakāśitaṁ vākyam īśvaraḥ svadāsānāṁ nikaṭaṁ śīghramupasthāsyantīnāṁ ghaṭanānāṁ darśanārthaṁ yīśukhrīṣṭē samarpitavān tat sa svīyadūtaṁ prēṣya nijasēvakaṁ yōhanaṁ jñāpitavān|
REV.1.2	sa cēśvarasya vākyē khrīṣṭasya sākṣyē ca yadyad dr̥ṣṭavān tasya pramāṇaṁ dattavān|
REV.1.3	ētasya bhaviṣyadvaktr̥granthasya vākyānāṁ pāṭhakaḥ śrōtāraśca tanmadhyē likhitājñāgrāhiṇaśca dhanyā yataḥ sa kālaḥ sannikaṭaḥ|
REV.1.4	yōhan āśiyādēśasthāḥ sapta samitīḥ prati patraṁ likhati| yō varttamānō bhūtō bhaviṣyaṁśca yē ca saptātmānastasya siṁhāsanasya sammukhēे tiṣṭhanti
REV.1.5	yaśca yīśukhrīṣṭō viśvastaḥ sākṣī mr̥tānāṁ madhyē prathamajātō bhūmaṇḍalastharājānām adhipatiśca bhavati, ētēbhyō 'nugrahaḥ śāntiśca yuṣmāsu varttatāṁ|
REV.1.6	yō 'smāsu prītavān svarudhirēṇāsmān svapāpēbhyaḥ prakṣālitavān tasya piturīśvarasya yājakān kr̥tvāsmān rājavargē niyuktavāṁśca tasmin mahimā parākramaścānantakālaṁ yāvad varttatāṁ| āmēn|
REV.1.7	paśyata sa mēghairāgacchati tēnaikaikasya cakṣustaṁ drakṣyati yē ca taṁ viddhavantastē 'pi taṁ vilōkiṣyantē tasya kr̥tē pr̥thivīsthāḥ sarvvē vaṁśā vilapiṣyanti| satyam āmēn|
REV.1.8	varttamānō bhūtō bhaviṣyaṁśca yaḥ sarvvaśaktimān prabhuḥ paramēśvaraḥ sa gadati, ahamēva kaḥ kṣaścārthata ādirantaśca|
REV.1.9	yuṣmākaṁ bhrātā yīśukhrīṣṭasya klēśarājyatitikṣāṇāṁ sahabhāgī cāhaṁ yōhan īśvarasya vākyahētō ryīśukhrīṣṭasya sākṣyahētōśca pātmanāmaka upadvīpa āsaṁ|
REV.1.10	tatra prabhō rdinē ātmanāviṣṭō 'haṁ svapaścāt tūrīdhvanivat mahāravam aśrauṣaṁ,
REV.1.11	tēnōktam, ahaṁ kaḥ kṣaścārthata ādirantaśca| tvaṁ yad drakṣyasi tad granthē likhitvāśiyādēśasthānāṁ sapta samitīnāṁ samīpam iphiṣaṁ smurṇāṁ thuyātīrāṁ sārddiṁ philādilphiyāṁ lāyadīkēyāñca prēṣaya|
REV.1.12	tatō mayā sambhāṣamāṇasya kasya ravaḥ śrūyatē taddarśanārthaṁ mukhaṁ parāvarttitaṁ tat parāvartya svarṇamayāḥ sapta dīpavr̥kṣā dr̥ṣṭāḥ|
REV.1.13	tēṣāṁ sapta dīpavr̥kṣāṇāṁ madhyē dīrghaparicchadaparihitaḥ suvarṇaśr̥ṅkhalēna vēṣṭitavakṣaśca manuṣyaputrākr̥tirēkō janastiṣṭhati,
REV.1.14	tasya śiraḥ kēśaśca śvētamēṣalōmānīva himavat śrētau lōcanē vahniśikhāsamē
REV.1.15	caraṇau vahnikuṇḍētāpitasupittalasadr̥śau ravaśca bahutōyānāṁ ravatulyaḥ|
REV.1.16	tasya dakṣiṇahastē sapta tārā vidyantē vaktrācca tīkṣṇō dvidhāraḥ khaṅgō nirgacchati mukhamaṇḍalañca svatējasā dēdīpyamānasya sūryyasya sadr̥śaṁ|
REV.1.17	taṁ dr̥ṣṭvāhaṁ mr̥takalpastaccaraṇē patitastataḥ svadakṣiṇakaraṁ mayi nidhāya tēnōktam mā bhaiṣīḥ; aham ādirantaśca|
REV.1.18	aham amarastathāpi mr̥tavān kintu paśyāham anantakālaṁ yāvat jīvāmi| āmēn| mr̥tyōḥ paralōkasya ca kuñjikā mama hastagatāḥ|
REV.1.19	atō yad bhavati yaccētaḥ paraṁ bhaviṣyati tvayā dr̥ṣṭaṁ tat sarvvaṁ likhyatāṁ|
REV.1.20	mama dakṣiṇahastē sthitā yāḥ sapta tārā yē ca svarṇamayāḥ sapta dīpavr̥kṣāstvayā dr̥ṣṭāstattātparyyamidaṁ tāḥ sapta tārāḥ sapta samitīnāṁ dūtāḥ suvarṇamayāḥ sapta dīpavr̥kṣāśca sapta samitayaḥ santi|
REV.2.1	iphiṣasthasamitē rdūtaṁ prati tvam idaṁ likha; yō dakṣiṇakarēṇa sapta tārā dhārayati saptānāṁ suvarṇadīpavr̥kṣāṇāṁ madhyē gamanāgamanē karōti ca tēnēdam ucyatē|
REV.2.2	tava kriyāḥ śramaḥ sahiṣṇutā ca mama gōcarāḥ, tvaṁ duṣṭān sōḍhuṁ na śaknōṣi yē ca prēritā na santaḥ svān prēritān vadanti tvaṁ tān parīkṣya mr̥ṣābhāṣiṇō vijñātavān,
REV.2.3	aparaṁ tvaṁ titikṣāṁ vidadhāsi mama nāmārthaṁ bahu sōḍhavānasi tathāpi na paryyaklāmyastadapi jānāmi|
REV.2.4	kiñca tava viruddhaṁ mayaitat vaktavyaṁ yat tava prathamaṁ prēma tvayā vyahīyata|
REV.2.5	ataḥ kutaḥ patitō 'si tat smr̥tvā manaḥ parāvarttya pūrvvīyakriyāḥ kuru na cēt tvayā manasi na parivarttitē 'haṁ tūrṇam āgatya tava dīpavr̥kṣaṁ svasthānād apasārayiṣyāmi|
REV.2.6	tathāpi tavēṣa guṇō vidyatē yat nīkalāyatīyalōkānāṁ yāḥ kriyā aham r̥tīyē tāstvamapi r̥tīyamē|
REV.2.7	yasya śrōtraṁ vidyatē sa samitīḥ pratyucyamānām ātmanaḥ kathāṁ śr̥ṇōtu| yō janō jayati tasmā aham īśvarasyārāmasthajīvanatarōḥ phalaṁ bhōktuṁ dāsyāmi|
REV.2.8	aparaṁ smurṇāsthasamitē rdūtaṁ pratīdaṁ likha; ya ādirantaśca yō mr̥tavān punarjīvitavāṁśca tēnēdam ucyatē,
REV.2.9	tava kriyāḥ klēśō dainyañca mama gōcarāḥ kintu tvaṁ dhanavānasi yē ca yihūdīyā na santaḥ śayatānasya samājāḥ santi tathāpi svān yihūdīyān vadanti tēṣāṁ nindāmapyahaṁ jānāmi|
REV.2.10	tvayā yō yaḥ klēśaḥ sōḍhavyastasmāt mā bhaiṣīḥ paśya śayatānō yuṣmākaṁ parīkṣārthaṁ kāṁścit kārāyāṁ nikṣēpsyati daśa dināni yāvat klēśō yuṣmāsu varttiṣyatē ca| tvaṁ mr̥tyuparyyantaṁ viśvāsyō bhava tēnāhaṁ jīvanakirīṭaṁ tubhyaṁ dāsyāmi|
REV.2.11	yasya śrōtraṁ vidyatē sa samitīḥ pratyucyamānām ātmanaḥ kathāṁ śr̥ṇōtu| yō jayati sa dvitīyamr̥tyunā na hiṁsiṣyatē|
REV.2.12	aparaṁ pargāmasthasamitē rdūtaṁ pratīdaṁ likha, yastīkṣṇaṁ dvidhāraṁ khaṅgaṁ dhārayati sa ēva bhāṣatē|
REV.2.13	tava kriyā mama gōcarāḥ, yatra śayatānasya siṁhāsanaṁ tatraiva tvaṁ vasasi tadapi jānāmi| tvaṁ mama nāma dhārayasi madbhaktērasvīkārastvayā na kr̥tō mama viśvāsyasākṣiṇa āntipāḥ samayē 'pi na kr̥taḥ| sa tu yuṣmanmadhyē 'ghāni yataḥ śayatānastatraiva nivasati|
REV.2.14	tathāpi tava viruddhaṁ mama kiñcid vaktavyaṁ yatō dēvaprasādādanāya paradāragamanāya cēsrāyēlaḥ santānānāṁ sammukha unmāthaṁ sthāpayituṁ bālāk yēnāśikṣyata tasya biliyamaḥ śikṣāvalambinastava kēcit janāstatra santi|
REV.2.15	tathā nīkalāyatīyānāṁ śikṣāvalambinastava kēcit janā api santi tadēvāham r̥tīyē|
REV.2.16	atō hētōstvaṁ manaḥ parivarttaya na cēdahaṁ tvarayā tava samīpamupasthāya madvaktasthakhaṅgēna taiḥ saha yōtsyāmi|
REV.2.17	yasya śrōtraṁ vidyatē sa samitīḥ pratyucyamānām ātmanaḥ kathāṁ śr̥ṇōtu| yō janō jayati tasmā ahaṁ guptamānnāṁ bhōktuṁ dāsyāmi śubhraprastaramapi tasmai dāsyāmi tatra prastarē nūtanaṁ nāma likhitaṁ tacca grahītāraṁ vinā nānyēna kēnāpyavagamyatē|
REV.2.18	aparaṁ thuyātīrāsthasamitē rdūtaṁ pratīdaṁ likha| yasya lōcanē vahniśikhāsadr̥śē caraṇau ca supittalasaṅkāśau sa īśvaraputrō bhāṣatē,
REV.2.19	tava kriyāḥ prēma viśvāsaḥ paricaryyā sahiṣṇutā ca mama gōcarāḥ, tava prathamakriyābhyaḥ śēṣakriyāḥ śrēṣṭhāstadapi jānāmi|
REV.2.20	tathāpi tava viruddhaṁ mayā kiñcid vaktavyaṁ yatō yā īṣēbalnāmikā yōṣit svāṁ bhaviṣyadvādinīṁ manyatē vēśyāgamanāya dēvaprasādāśanāya ca mama dāsān śikṣayati bhrāmayati ca sā tvayā na nivāryyatē|
REV.2.21	ahaṁ manaḥparivarttanāya tasyai samayaṁ dattavān kintu sā svīyavēśyākriyātō manaḥparivarttayituṁ nābhilaṣati|
REV.2.22	paśyāhaṁ tāṁ śayyāyāṁ nikṣēpsyāmi, yē tayā sārddhaṁ vyabhicāraṁ kurvvanti tē yadi svakriyābhyō manāṁsi na parāvarttayanti tarhi tānapi mahāklēśē nikṣēpsyāmi
REV.2.23	tasyāḥ santānāṁśca mr̥tyunā haniṣyāmi| tēnāham antaḥkaraṇānāṁ manasāñcānusandhānakārī yuṣmākamēkaikasmai ca svakriyāṇāṁ phalaṁ mayā dātavyamiti sarvvāḥ samitayō jñāsyanti|
REV.2.24	aparam avaśiṣṭān thuyātīrasthalōkān arthatō yāvantastāṁ śikṣāṁ na dhārayanti yē ca kaiścit śayatānasya gambhīrārthā ucyantē tān yē nāvagatavantastānahaṁ vadāmi yuṣmāsu kamapyaparaṁ bhāraṁ nārōpayiṣyāmi;
REV.2.25	kintu yad yuṣmākaṁ vidyatē tat mamāgamanaṁ yāvad dhārayata|
REV.2.26	yō janō jayati śēṣaparyyantaṁ mama kriyāḥ pālayati ca tasmā aham anyajātīyānām ādhipatyaṁ dāsyāmi;
REV.2.27	pitr̥tō mayā yadvat kartr̥tvaṁ labdhaṁ tadvat sō 'pi lauhadaṇḍēna tān cārayiṣyati tēna mr̥dbhājanānīva tē cūrṇā bhaviṣyanti|
REV.2.28	aparam ahaṁ tasmai prabhātīyatārām api dāsyāmi|
REV.2.29	yasya śrōtraṁ vidyatē sa samitīḥ pratyucyamānām ātmanaḥ kathāṁ śr̥ṇōtu|
REV.3.1	aparaṁ sārddisthasamitē rdūtaṁ pratīdaṁ likha, yō jana īśvarasya saptātmanaḥ sapta tārāśca dhārayati sa ēva bhāṣatē, tava kriyā mama gōcarāḥ, tvaṁ jīvadākhyō 'si tathāpi mr̥tō 'si tadapi jānāmi|
REV.3.2	prabuddhō bhava, avaśiṣṭaṁ yadyat mr̥takalpaṁ tadapi sabalīkuru yata īśvarasya sākṣāt tava karmmāṇi na siddhānīti pramāṇaṁ mayā prāptaṁ|
REV.3.3	ataḥ kīdr̥śīṁ śikṣāṁ labdhavān śrutavāścāsi tat smaran tāṁ pālaya svamanaḥ parivarttaya ca| cēt prabuddhō na bhavēstarhyahaṁ stēna iva tava samīpam upasthāsyāmi kiñca kasmin daṇḍē upasthāsyāmi tanna jñāsyasi|
REV.3.4	tathāpi yaiḥ svavāsāṁsi na kalaṅkitāni tādr̥śāḥ katipayalōkāḥ sārddinagarē 'pi tava vidyantē tē śubhraparicchadai rmama saṅgē gamanāgamanē kariṣyanti yatastē yōgyāḥ|
REV.3.5	yō janō jayati sa śubhraparicchadaṁ paridhāpayiṣyantē, ahañca jīvanagranthāt tasya nāma nāntardhāpayiṣyāmi kintu matpituḥ sākṣāt tasya dūtānāṁ sākṣācca tasya nāma svīkariṣyāmi|
REV.3.6	yasya śrōtraṁ vidyatē sa samitīḥ pratyucyamānām ātmanaḥ kathāṁ śr̥ṇōtu|
REV.3.7	aparañca philādilphiyāsthasamitē rdūtaṁ pratīdaṁ likha, yaḥ pavitraḥ satyamayaścāsti dāyūdaḥ kuñjikāṁ dhārayati ca yēna mōcitē 'paraḥ kō'pi na ruṇaddhi ruddhē cāparaḥ kō'pi na mōcayati sa ēva bhāṣatē|
REV.3.8	tava kriyā mama gōcarāḥ paśya tava samīpē 'haṁ muktaṁ dvāraṁ sthāpitavān tat kēnāpi rōddhuṁ na śakyatē yatastavālpaṁ balamāstē tathāpi tvaṁ mama vākyaṁ pālitavān mama nāmnō 'svīkāraṁ na kr̥tavāṁśca|
REV.3.9	paśya yihūdīyā na santō yē mr̥ṣāvādinaḥ svān yihūdīyān vadanti tēṣāṁ śayatānasamājīyānāṁ kāṁścid aham ānēṣyāmi paśya tē madājñāta āgatya tava caraṇayōḥ praṇaṁsyanti tvañca mama priyō 'sīti jñāsyanti|
REV.3.10	tvaṁ mama sahiṣṇutāsūcakaṁ vākyaṁ rakṣitavānasi tatkāraṇāt pr̥thivīnivāsināṁ parīkṣārthaṁ kr̥tsnaṁ jagad yēnāgāmiparīkṣādinēnākramiṣyatē tasmād ahamapi tvāṁ rakṣiṣyāmi|
REV.3.11	paśya mayā śīghram āgantavyaṁ tava yadasti tat dhāraya kō 'pi tava kirīṭaṁ nāpaharatu|
REV.3.12	yō janō jayati tamahaṁ madīyēśvarasya mandirē stambhaṁ kr̥tvā sthāpayisyāmi sa puna rna nirgamiṣyati| aparañca tasmin madīyēśvarasya nāma madīyēśvarasya puryyā api nāma arthatō yā navīnā yirūśānam purī svargāt madīyēśvarasya samīpād avarōkṣyati tasyā nāma mamāpi nūtanaṁ nāma lēkhiṣyāmi|
REV.3.13	yasya śrōtraṁ vidyatē sa samitīḥ pratyucyamānām ātmanaḥ kathāṁ śr̥ṇōtu|
REV.3.14	aparañca lāyadikēyāsthasamitē rdūtaṁ pratīdaṁ likha, ya āmēn arthatō viśvāsyaḥ satyamayaśca sākṣī, īśvarasya sr̥ṣṭērādiścāsti sa ēva bhāṣatē|
REV.3.15	tava kriyā mama gōcarāḥ tvaṁ śītō nāsi taptō 'pi nāsīti jānāmi|
REV.3.16	tava śītatvaṁ taptatvaṁ vā varaṁ bhavēt, śītō na bhūtvā taptō 'pi na bhūtvā tvamēvambhūtaḥ kadūṣṇō 'si tatkāraṇād ahaṁ svamukhāt tvām udvamiṣyāmi|
REV.3.17	ahaṁ dhanī samr̥ddhaścāsmi mama kasyāpyabhāvō na bhavatīti tvaṁ vadasi kintu tvamēva duḥkhārttō durgatō daridrō 'ndhō nagnaścāsi tat tvayā nāvagamyatē|
REV.3.18	tvaṁ yad dhanī bhavēstadarthaṁ mattō vahnau tāpitaṁ suvarṇaṁ krīṇīhi nagnatvāt tava lajjā yanna prakāśēta tadarthaṁ paridhānāya mattaḥ śubhravāsāṁsi krīṇīhi yacca tava dr̥ṣṭiḥ prasannā bhavēt tadarthaṁ cakṣurlēpanāyāñjanaṁ mattaḥ krīṇīhīti mama mantraṇā|
REV.3.19	yēṣvahaṁ prīyē tān sarvvān bhartsayāmi śāsmi ca, atastvam udyamaṁ vidhāya manaḥ parivarttaya|
REV.3.20	paśyāhaṁ dvāri tiṣṭhan tad āhanmi yadi kaścit mama ravaṁ śrutvā dvāraṁ mōcayati tarhyahaṁ tasya sannidhiṁ praviśya tēna sārddhaṁ bhōkṣyē sō 'pi mayā sārddhaṁ bhōkṣyatē|
REV.3.21	aparamahaṁ yathā jitavān mama pitrā ca saha tasya siṁhāsana upaviṣṭaścāsmi, tathā yō janō jayati tamahaṁ mayā sārddhaṁ matsiṁhāsana upavēśayiṣyāmi|
REV.3.22	yasya śrōtraṁ vidyatē sa samitīḥ pratyucyamānam ātmanaḥ kathāṁ śr̥ṇōtu|
REV.4.1	tataḥ paraṁ mayā dr̥ṣṭipātaṁ kr̥tvā svargē muktaṁ dvāram ēkaṁ dr̥ṣṭaṁ mayā sahabhāṣamāṇasya ca yasya tūrīvādyatulyō ravaḥ pūrvvaṁ śrutaḥ sa mām avōcat sthānamētad ārōhaya, itaḥ paraṁ yēna yēna bhavitavyaṁ tadahaṁ tvāṁ darśayiṣyē|
REV.4.2	tēnāhaṁ tatkṣaṇād ātmāviṣṭō bhūtvā 'paśyaṁ svargē siṁhāsanamēkaṁ sthāpitaṁ tatra siṁhāsanē ēkō jana upaviṣṭō 'sti|
REV.4.3	siṁhāsanē upaviṣṭasya tasya janasya rūpaṁ sūryyakāntamaṇēḥ pravālasya ca tulyaṁ tat siṁhāsanañca marakatamaṇivadrūpaviśiṣṭēna mēghadhanuṣā vēṣṭitaṁ|
REV.4.4	tasya siṁhāsanē caturdikṣu caturviṁśatisiṁhāsanāni tiṣṭhanti tēṣu siṁhāsanēṣu caturviṁśati prācīnalōkā upaviṣṭāstē śubhravāsaḥparihitāstēṣāṁ śirāṁsi ca suvarṇakirīṭai rbhūṣitāni|
REV.4.5	tasya siṁhāsanasya madhyāt taḍitō ravāḥ stanitāni ca nirgacchanti siṁhāsanasyāntikē ca sapta dīpā jvalanti ta īśvarasya saptātmānaḥ|
REV.4.6	aparaṁ siṁhāsanasyāntikē sphaṭikatulyaḥ kācamayō jalāśayō vidyatē, aparam agrataḥ paścācca bahucakṣuṣmantaścatvāraḥ prāṇinaḥ siṁhasanasya madhyē caturdikṣu ca vidyantē|
REV.4.7	tēṣāṁ prathamaḥ prāṇī siṁhākārō dvitīyaḥ prāṇī gōvātsākārastr̥tīyaḥ prāṇī manuṣyavadvadanaviśiṣṭaścaturthaśca prāṇī uḍḍīyamānakurarōpamaḥ|
REV.4.8	tēṣāṁ caturṇām ēkaikasya prāṇinaḥ ṣaṭ pakṣāḥ santi tē ca sarvvāṅgēṣvabhyantarē ca bahucakṣurviśiṣṭāḥ, tē divāniśaṁ na viśrāmya gadanti pavitraḥ pavitraḥ pavitraḥ sarvvaśaktimān varttamānō bhūtō bhaviṣyaṁśca prabhuḥ paramēśvaraḥ|
REV.4.9	itthaṁ taiḥ prāṇibhistasyānantajīvinaḥ siṁhāsanōpaviṣṭasya janasya prabhāvē gauravē dhanyavādē ca prakīrttitē
REV.4.10	tē caturviṁśatiprācīnā api tasya siṁhāsanōpaviṣṭasyāntikē praṇinatya tam anantajīvinaṁ praṇamanti svīyakirīṭāṁśca siṁhāsanasyāntikē nikṣipya vadanti,
REV.4.11	hē prabhō īśvarāsmākaṁ prabhāvaṁ gauravaṁ balaṁ| tvamēvārhasi samprāptuṁ yat sarvvaṁ sasr̥jē tvayā| tavābhilāṣataścaiva sarvvaṁ sambhūya nirmmamē||
REV.5.1	anantaraṁ tasya sihāsanōpaviṣṭajanasya dakṣiṇastē 'nta rbahiśca likhitaṁ patramēkaṁ mayā dr̥ṣṭaṁ tat saptamudrābhiraṅkitaṁ|
REV.5.2	tatpaścād ēkō balavān dūtō dr̥ṣṭaḥ sa uccaiḥ svarēṇa vācamimāṁ ghōṣayati kaḥ patramētad vivarītuṁ tammudrā mōcayituñcārhati?
REV.5.3	kintu svargamarttyapātālēṣu tat patraṁ vivarītuṁ nirīkṣituñca kasyāpi sāmarthyaṁ nābhavat|
REV.5.4	atō yastat patraṁ vivarītuṁ nirīkṣituñcārhati tādr̥śajanasyābhāvād ahaṁ bahu rōditavān|
REV.5.5	kintu tēṣāṁ prācīnānām ēkō janō māmavadat mā rōdīḥ paśya yō yihūdāvaṁśīyaḥ siṁhō dāyūdō mūlasvarūpaścāsti sa patrasya tasya saptamudrāṇāñca mōcanāya pramūtavān|
REV.5.6	aparaṁ siṁhāsanasya caturṇāṁ prāṇināṁ prācīnavargasya ca madhya ēkō mēṣaśāvakō mayā dr̥ṣṭaḥ sa chēdita iva tasya saptaśr̥ṅgāṇi saptalōcanāni ca santi tāni kr̥tsnāṁ pr̥thivīṁ prēṣitā īśvarasya saptātmānaḥ|
REV.5.7	sa upāgatya tasya siṁhāsanōpaviṣṭajanasya dakṣiṇakarāt tat patraṁ gr̥hītavān|
REV.5.8	patrē gr̥hītē catvāraḥ prāṇinaścaturviṁṁśatiprācīnāśca tasya mēṣaśāvakasyāntikē praṇipatanti tēṣām ēkaikasya karayō rvīṇāṁ sugandhidravyaiḥ paripūrṇaṁ svarṇamayapātrañca tiṣṭhati tāni pavitralōkānāṁ prārthanāsvarūpāṇi|
REV.5.9	aparaṁ tē nūtanamēkaṁ gītamagāyan, yathā, grahītuṁ patrikāṁ tasya mudrā mōcayituṁ tathā| tvamēvārhasi yasmāt tvaṁ balivat chēdanaṁ gataḥ| sarvvābhyō jātibhāṣābhyaḥ sarvvasmād vaṁśadēśataḥ| īśvarasya kr̥tē 'smān tvaṁ svīyaraktēna krītavān|
REV.5.10	asmadīśvarapakṣē 'smān nr̥patīn yājakānapi| kr̥tavāṁstēna rājatvaṁ kariṣyāmō mahītalē||
REV.5.11	aparaṁ nirīkṣamāṇēna mayā siṁhāsanasya prāṇicatuṣṭayasya prācīnavargasya ca paritō bahūnāṁ dūtānāṁ ravaḥ śrutaḥ, tēṣāṁ saṁkhyā ayutāyutāni sahasrasahastrāṇi ca|
REV.5.12	tairuccairidam uktaṁ, parākramaṁ dhanaṁ jñānaṁ śaktiṁ gauravamādaraṁ| praśaṁsāñcārhati prāptuṁ chēditō mēṣaśāvakaḥ||
REV.5.13	aparaṁ svargamarttyapātālasāgarēṣu yāni vidyantē tēṣāṁ sarvvēṣāṁ sr̥ṣṭavastūnāṁ vāgiyaṁ mayā śrutā, praśaṁsāṁ gauravaṁ śauryyam ādhipatyaṁ sanātanaṁ| siṁhasanōpaviṣṭaśca mēṣavatsaśca gacchatāṁ|
REV.5.14	aparaṁ tē catvāraḥ prāṇinaḥ kathitavantastathāstu, tataścaturviṁśatiprācīnā api praṇipatya tam anantakālajīvinaṁ prāṇaman|
REV.6.1	anantaraṁ mayi nirīkṣamāṇē mēṣaśāvakēna tāsāṁ saptamudrāṇām ēkā mudrā muktā tatastēṣāṁ caturṇām ēkasya prāṇina āgatya paśyētivācakō mēghagarjanatulyō ravō mayā śrutaḥ|
REV.6.2	tataḥ param ēkaḥ śuklāścō dr̥ṣṭaḥ, tadārūḍhō janō dhanu rdhārayati tasmai ca kirīṭamēkam adāyi tataḥ sa prabhavan prabhaviṣyaṁśca nirgatavān|
REV.6.3	aparaṁ dvitīyamudrāyāṁ tēna mōcitāyāṁ dvitīyasya prāṇina āgatya paśyēti vāk mayā śrutā|
REV.6.4	tatō 'ruṇavarṇō 'para ēkō 'śvō nirgatavān tadārōhiṇi pr̥thivītaḥ śāntyapaharaṇasya lōkānāṁ madhyē parasparaṁ pratighātōtpādanasya ca sāmarthyaṁ samarpitam, ēkō br̥hatkhaṅgō 'pi tasmā adāyi|
