GEN.1.1	Abatelipuna elana Yabowaine labulabum ge panayawi i ginolil. 
GAL.3.6	Ku nuwatu ga Abalahama kaiwena. Buki Bwabwalena i ba, “Abalahama Yehoba i abulilek-an, inoke Yehoba Abalahama i kite iya tosapu wana abulilek kaiwena.” 
GAL.3.7	He inoke nuku atena te bolo hi abulilek heliya te Abalahama tubutubunina hot. 
GAL.3.8	Yehoba i kite pahuwala te bolo nige Yudiya i oola abwe ni awa sapusapu-agil wali abulilek kaiwena. Inoke Buki Bwabwalena eliyana Wasa Waiwaisana etimwawa i pamasal Abalahama elana, i ba, “Owa eliyam gamagalau gegewel panayawiya na muloluagil ge waisi nihi pwawa.” 
GAL.3.9	Abalahama i abulilek inoke Yehoba Abalahama i muloluan. Inoke i ola al to, bolo hi abulilek gegewel Yehoba ni muloluagil ge waisi nihi pwawa.
GAL.3.10	Bolo logugui ana mel hi teli ge tage eliyana nihi sapu Yehoba matanaa, gegewel Yehoba abwe ni apapanak-agil. He i ola, kaiwena nige bosowaila Logugui gegewena ta henapuan, ge Buki Bwabwalena i ba, “Henala ebo Logugui ana buki ana baaba gegewena nige ni hehenapu-an sauga gegewena, he Yehoba gamagal o ni apapanak-an.” 
GAL.3.11	I mwananal te nige bosowaina gamagal etega logugui ni henapuan ge toto o eliyana Yehoba gamagal o ni awa sapusapu-an. Kaiwena Buki Bwabwalena i ba, “Gamagalau bolo wali abulilek kaiwena ge Yehoba i awa sapusapu-agil, heliya yawal hot nihi pwawa.” 
GAL.3.12	He logugui ana nuwatu nige i nonoek abulilek elana. Logugui nuwana te ta henapuan, i ola Buki Bwabwalena ana baaba, “Gamagalau bolo logugui bolo ya nihi toulil, heliya yawaliliya ni gan.”
GAL.3.13	Tage Yehoba abwe ni apapanak-agila kaiwena nige logugui ana baaba gegewena ta hehenapu-an. Yaa Keliso iyaka i sokalila, kaiwena i milahela ala apanak i ahe. He i ola, kaiwena Buki Bwabwalena i ba, “Ebo gamagal etega tuwana nuku pakuki ebwakila, gamagal o ni minaa Yehoba wana lahi elana ge ni apapanak-an.” 
GAL.3.14	Keliso iyaka i sokalila, inoke Keliso Yeisu eliyana gamagalau gegewel panayawiya Yehoba iyaka i muloluagil, i ola valila i ba Abalahama elana. I ola al, abulilek eliyana Yayaluwa Bwabwalena toto Yehoba i bateli iyaka ta ahe.
GAL.3.15	Taliwau ge nuwau, nunuwau abapapatini etega na aheya gamagalau wala pagan elana. Ebo gamagalau labui bugul etega kaiwena ge nihi bateli ge alaliya nihi sain, enaa nige bosowaina gamagal getoga bateli o ni leke o ebo nuwatu etega al ni teli pwatanaa. 
GAL.3.16	Inoke i ola al to bateli toto Yehoba i bateli Abalahama elana. Yehoba waisi ana bateli i bateli Abalahama ge tubutubunina kaiweliya. (He Buki Bwabwalena elana Yehoba nige i babaa ni pek “tubutubunau” elal, ana sapu te gamagalau hi gewi. Yaa i ba ni pek “tubutubunina” elana, ana sapu te gamagal iyai te maisena, gamagalina iya te Keliso.) 
GAL.3.17	No baaba ana sapu i ola hiwe. Yehoba bateli etega i ginol Abalahama elana ge ginol etega i ginol bateli o ana patunahot kaiwena. Enaa baliman ali gewi 430 abwe Mosese wana Logugui i gan. He nige bosowaina Logugui, iya mulaa abwe i nem, 
GAL.3.18	Binimala ebo logugui ana henapuan kaiwena ge Yehoba waisi ni pem eliyala, he nige bosowaina ta ba tage waisi toto o i neem Yehoba wana bateli elana. Yaa nige i oola. He Yehoba Abalahama i muloluan kaiwena i bateli ni ginol ola.
GAL.3.19	Inoke hauna kaiwena Yehoba logugui i pem? Yehoba logugui i pem inoke ni mwananal te gegi bolo ta ginolil, nuwatu toto Yehoba nuwana hi leke. Logugui o ni mina ana siga Abalahama tubutubunina hot, toto kaiwena ge Yehoba i bateli, ni nem. (He Logugui o Yehoba i pek aneloseyau elal, ge heliya hi pek Mosese elana, yaka abwe Mosese i pek gamagalau elal. Inoke Mosese i talmilila gamagalau ge Yehoba ali luwaluwala. 
GAL.3.20	Yaa ebo totola bugul etega ta ginol, nige gamagal etega ni taltalmilila kila ge etega al ala luwaluwala. Inoke i ola al to, sauga Yehoba bateli i pem eliyala, totona ya te i pem.)
GAL.3.21	Tabam etega ni nel, “Age Logugui i pihigelgel Yehoba wana bateli eliyana?” Nigeya hot, yaa tomaha wali tuwalali. Nige tage Yehoba logugui etega i pem ge logugui o yawalila ni pem, inoke nige bosowaina logugui eliyana ge ta sapu Yehoba matanaa. 
GAL.3.22	He Buki Bwabwalena i ba, “Gegi paganina gamagalau gegewel panayawiya i yowanil.” Inoke ebo Yeisu Keliso ta abulilek-an, heiya te Yehoba wana bateli enona ta ahe.
GAL.3.23	Mulaa abwe abulilek ana sauga i vin, kila logugui i yowanila ge ta miloloyowan ana siga abulilek ana kamwasa Yehoba i pamasal. 
GAL.3.24	Inoke logugui iya i ola ala tobahikan, ana siga Keliso i vin inoke ta abulilek eliyana ge Yehoba i awa sapusapu-agila. 
GAL.3.25	Abulilek ana kamwasa iyaka i vin, inoke kila nige al ta miminaa tobahikan o gabulanaa.
GAL.3.26+GAL.3.27	Sauga ku babitaiso, iyaka ku tubwi Keliso elana ge i ola te Keliso ku ahe ge ku galoi. Inoke komiu gegewemiu Yehoba natunau, kaiwena Keliso Yeisu ku abulilek-an. 
GAL.3.28	Bolo Yudiya, ge bolo nige Yudiya i oola, Keliso eliyana nige ali getoga i gagan. Keliso eliyana bolo totuwalali loloyowanil ge gamagalau sokasokalil nige ali getoga i gagan; bolau ge yowau nige ali getoga i gagan. Kaiwena Keliso Yeisu eliyana komiu gegewemiu ku ola maisena. 
GAL.3.29	Komiu Keliso wana gamagalau, he komiu Abalahama tubutubunau. Inoke waisi ana bateli toto Yehoba i baunan Abalahama elana, komiu nuku ahe.
GAL.4.1	Abapapatini etega na baunan ni ola hiwe. Togogomwau natuna etega, bwagana tamana wana gogomwau abwe ni ahe, ebo iya iyoho ya wana sauga wawaya, iya i ola totuwalali loloyowanina. 
GAL.4.2	He ana tomatahikan, bolo tamana i telel, wali logugui ni toulil, ana siga wana baliman toto tamana i teli ni pwawa. 
GAL.4.3	He i ola te kilau. Valila kila ta ola wawayau bolo wali baliman nige ga i pwapwawa, inoke ta ola totuwalali loloyowanil ge logugui ona bolo ali nuwatu i noek panayawi ya elana ta toulilil. 
GAL.4.4	Yaa ana sauga hot elana toto Yehoba iyaka i teli, inoke Natuna i patuna i nem, i masalem yova etega elana ge i minaa Yudiya wali Logugui gabulanaa. 
GAL.4.5	Yehoba i ginol ola o inoke kilau bolo ta minaa Logugui gabulanaa ni pwamola pasikalila ge ta tabwa iya natunau.
GAL.4.6	He komiu Yehoba natunau, inoke Natuna Yayaluwana i patuna i nem atemiwa, Yayaluwa o i yogayoga Yehoba elana i ba, “Nam! Nam!” 
GAL.4.7	Inoke nige al nuku oola totuwalali loloyowanil, yaa komiu natunatun. Ge ebo komiu Yehoba natunau, he waisi toto i lovivina-an natunau kaiweliya bwaliga nuku ahe.
GAL.4.8	Valila nige Yehoba ku aatena inoke ku tuwalali loloyowan yabowaine kakakawel elal. 
GAL.4.9	Yaa sauga ya Yehoba ku atena, o ebo binimala na ba Yehoba i atenamiu. Inoke ga i ola ge nuku sikalek logugui ona eliyalil ge nuku toulilil, yaa heliya nige wali gasisi ge tage nihi labemiu? Age nuwamiu nuku miloloyowan al eliyalil? 
GAL.4.10	He lan tapwalolo ona ali logugui ku toulil, weikena vavaluna ana logugui ku toulil, hagali ona ali logugui ku toulil, ge baliman vavaluna ana logugui ku toulil. 
GAL.4.11	Inoke ya nuwanuwatu nabi kaiwemiu bahi no tuwalali eliyamiu ni tatabwa bugul bwagabwaga. 
GAL.4.12	Taliwau ge nuwau, ya awanun nabi eliyamiu wami pagan ni ola nau no pagan. Kaiwena sauga valila ya miminaa eliyamiu, Yudiya wali logugui paganina nige ya totoulil, komiu wami pagan te ya ahe.
GAL.4.12	He saugena o ku atupaheyau ge ku ginol bubun eliyau. 
GAL.4.13	Ku atena no kasiyebwa kaiwena te houwan ya nowa wami labiya ge wasa waiwaisana ya papaatena-an eliyamiu. 
GAL.4.14	Yaa bwagana no kasiyebwa o i papulowan-agimiu, nige ku eesaiagau ge ku totowaagau. He ku atupaheyau i ola nau Yehoba wana anelose etega, i ola nau Keliso Yeisu totona. 
GAL.4.15	Saugena o ku yaliyaya bubun kaiweu, yaa sauga ya yaliyaya o ga i noek? Ya ba tunahot, valila nige bugul etega nuku kakaise, yaa wami yaliyaya ana bwata kaiwena bosowaimiu bugul gegewena nuku pem. 
GAL.4.16	He ga i ola? Age nau ami topihigelgel kaiwena ba tunahot ya baunan eliyamiu?
GAL.4.17	Gamagalau enuna tage wasa waiwaisana nihi pil getogaan. Heliya hi logasisi hot nihi ahemiu, yaa nige ami labe kaiwena i oola. Nuwaliya te nihi teli pwamwaumwau-agimiu eliyama inoke nuku logasisi heliya kaiweliya. 
GAL.4.18	Yaa nau ya logasisi bubun ami labe kaiwena. Ge nige tage sauga ya miminaa eliyamiu ya te ya logasisi, yaa sauga gegewena. 
GAL.4.19	Natuwau nunuwanil, nau ya lolomwan al i ola ab lomwanina, kaiwena nuwau na abimiu nuku ola hot Keliso. 
GAL.4.20	Nuwau hot te binimala sauga ya na kitemiu inoke alowau komiu ta liwaliwan bubun. Kaiwena ya nuwanuwatu nabi kaiwemiu ga na ginol ola ge na labemiu.
GAL.4.21	Komiu bolo nuwamiu nuku minaa Logugui gabulanaa, nuwau ga na nelimiu, “Tab ku atena Logugui ga i ba ola?” 
GAL.4.22	He Logugui ana buki i ba Abalahama natunau bolau labui, etega yova loloyowanina Hega natuna, ge eluwana yova sokasokalina Sela natuna. 
GAL.4.23	Isimel i masalem yova totuwalali loloyowanina elana, wana masal i ola te kila gegewela wala masal. Yaa Aisake i masalem yova sokasokalina elana kaiwena Yehoba i bateli i ola.
GAL.4.24	He ba kakanun etega te. Yowau labui ya heliya hi ola 
GAL.4.25	Inoke Hega i ola oya Sainai labi Alebiya elana. I ola al bosowaina Hega ta papatini-anek panuwa Yelusalema toto sauga ya, iya alonau ge wana gamagalau hi miloloyowan logugui gabulanaa.
GAL.4.26	Yaa Sela i ola bateli vavaluna, ge i ola al bosowaina ta papatini-anek Yelusalema toto natiya, iya nige i mimiloloyowan, ge iya kilau toabulilek hinala. 
GAL.4.27	He Aiseya i ba Yelusalema vavaluna natunau nihi gewi, nige ni oola Yelusalema houhouwena. I ba i ola hiwe:
GAL.4.27	Owa u ola yova toto
GAL.4.27	kobwakobwasina nige sauga etega i aab,
GAL.4.27	yaa nu yaliyaya.
GAL.4.27	Owa u ola yova toto nige
GAL.4.27	sauga etega ab lomwanina i gagan elana,
GAL.4.27	yaa nu wona ge nu loi.
GAL.4.27	Kaiwena bwagana lagom i
GAL.4.27	miluwagiwa, natumwau nihi gewi hot,
GAL.4.27	yaa yova toto lagona i mimiavaavan elana, natunau nige nihi gegewi.
GAL.4.28	Taliwau ge nuwau, Yehoba wana bateli kaiwena te Aisake i masal, i ola al Yehoba wana bateli kaiwena te komiu ku tabwa iya natunau. 
GAL.4.29	Sauga houhouwena Abalahama natuna toto wana masal i ola gamagalau gegewela wala masal, talina toto Yehoba Yayaluwana wana gasisi eliyana ge i masal, i papalomwani. He i ola al te sauga ya. Bolo hi minaa Logugui gabulanaa komiu bolo ku masalem Yehoba wana bateli eliyana, hi papalomwan-agimiu. 
GAL.4.30	Yaa waisi toto Yehoba i lovivina-an natunau kaiweliya, heliya nige nihi aahe. He i ola Buki Bwabwalena ana baaba i ba, “Yova totuwalali loloyowanina alona ge natuna nu patuna owaowa-agil. Kaiwena yova totuwalali loloyowanina natuna nige tamana wana gogomwau ni aahe, yova sokasokalina natuna ya te ni ahe.”
GAL.4.31	Inoke taliwau ge nuwau, kila nige yova toto totuwalali loloyowanina natunau i oola, yaa kila yova toto sokasokalina natunau.
GAL.5.1	Keliso iyaka i sokalila, inoke nige ta mimiloloyowan Logugui gabulanaa. He inoke nuku talmilil gagasisi, bahi nuku tatalamwagimiu bugul etega ni papaloloyowan-agimiu al.
GAL.5.2	Ku laegan! Nau Pol ya ba eliyamiu te ebo nuku sikalek Logugui paganina elana ge 
GAL.5.3	Na ba paeluwana eliyamiu. Ebo nuku talamwagimiu gotomwa yoho paganina nuku ahe, he Logugui ana baaba gegewena al nuku toulil. 
GAL.5.4	Ebo Logugui ku toulil tage eliyana Yehoba ni awa sapusapu-agimiu, he iyaka ku gotomwa yohimiu Keliso elana ge ku minaa Yehoba wana mulolu bwagabwaga tolinaa. 
GAL.5.5	Yaa ama ha abulilek, inoke Yayaluwa Bwabwalena wana gasisi eliyana aloma wama atimatuwa ha matamatan Yehoba ni awa sapusapu-agima. 
GAL.5.6	Ebo ta minaa Keliso Yeisu eliyana, bwagana gotomwa yoho paganina ta ahe o ebo nige ta aahe, he nige bugul i oola. Toto ana nuwatu i bwata heiya te ta abulilek ge abulilek o ni paheniheni-agila avalau ta nunuwana-agil.
GAL.5.7	Valila ku patalelu bubun ga. He henala i paveyaho-agimiu ge nige baaba tutunahotina ku totoulil? 
GAL.5.8	Nuwatu toto sauga ya ku toulil nige i nenem Yabowaine toto i yogaagimiu elana. 
GAL.5.9	Iyaka ku atena te ebo 
GAL.5.10	Yaa ateu i matuwaagimiu te Yehoba ni labemiu inoke nige nuku oolak nuwatu gegetogana elana. He gamagal toto wami nuwatu i pagewagewa, bwagana henala etega, abwe ana lahi ni pwawa.
GAL.5.11	Taliwau ge nuwau, enuna hi ba tage nau ya papaatena te gamagalau gotomwa yoho paganina nihi ahe mulaa abwe nihi waisi Yehoba matanaa. Yaa nige i oola. Ebo tunahot ya papaatena ola, ga i ola ge Yudiya iyoho hi papalomwan-agau? Binimala na ba ola o, he no papaatena Yeisu wana yaomal kolos elana kaiwena nige nihi huhugaan. 
GAL.5.12	Gamagalau bolo nuwamiu hi pagewagewa, nuwaliya te tuwaliya buhuna kunisina nihi gotomwa yoho. Ebo ni ola o, he pwawaliya al ge nihi ahe!
GAL.5.13	Taliwau ge nuwau, Yehoba iyaka i yogaagimiu ge i sokalimiu, yaa bahi ami sokal o kaiwena ge nuku ba, “Ebo nuwama, i bosowaima ya naha olak tuwan yawalina elana.” Bahi nuku nunuwatu ola, yaa alomiu ge wami nunuwana nuku totuwalali alomiyau kaiweliya. 
GAL.5.14	He Logugui gegewena ana nuwatu hi kin pamaisena baaba toto hiwe gamwanaa: “Alom nu nunuwana-an ni ola totom u nunuwana-agiwa.” 
GAL.5.15	Yaa ebo nuku pihigelgel-agimiu ge nuku loapwaapwanawa, he nuku matahikagimiu eba nuku pwamowasemiu.
GAL.5.16	He na ba na ola hiwe: ku talamwagimiu Yayaluwa Bwabwalena elana yawalimiu ni logugui-an, inoke nige nuku oolak bugul bolo tuwamiu i awanuni elal. 
GAL.5.17	Kaiwena bugul bolo tuwala i awanuni, Yayaluwa Bwabwalena nige nuwana i oola. Ge bugul bolo Yayaluwa Bwabwalena nuwana, he tuwala nige i yayaliyaya-an. Yayaluwa Bwabwalena ge tuwala yawalina, sauga gegewena ali toto labui hi pemomomol-agil, inoke waisi toto tage nuku ginol nige ku giginol. 
GAL.5.18	Yaa ebo Yayaluwa Bwabwalena ni nulimiu, he nige nuku miminaa logugui gabulanaa ge tage yawalimiu ni logugui-an.
GAL.5.19	Tuwala yawalina wana ginol i mwananal hot: ganawal, neganega pagapaganina ge pagan pulupuluwawena; 
GAL.5.20	kululu yabowaine kakakawel elal ge kukula ana awaawaginol; pihigelgel, lohalohaveyan, lomwaketa paganina, hugahuga, tomemek, teli waliwali, totomaha 
GAL.5.21	ge matamomoni; loimwim, yaliyaya nanakina, ge ginol ololal o. Valila ya ba inoke sauga ya na ba al: bolo pagan ololana o hi awaawaginol, nige abaliya ni gagan Yehoba wana abaloguguiya.
GAL.5.22	Yaa Yayaluwa Bwabwalena enowana heiya hiwe: nunuwana, yaliyaya, nuwa laumwal, palahikan, atilomwan, pagan waiwaisana, bosowaina gamagalau nihi melteli-agila, 
GAL.5.23	hanalau ge totola ta kaisela pagan nanakina elana. He nige logugui etega i gagan ge tage pagan bolo ya ni lopwalil. 
GAL.5.24	Yaa bolo hi minaa Keliso eliyana, tuwaliya yawalina alona ge pagan bolo tuwaliya i awanuni iyaka hi lokolosan ge i aliga.
GAL.5.25	Yayaluwa Bwabwalena yawal vavaluna iyaka i pem, inoke ta talamwagila Yayaluwa Bwabwalena elana iya ni logugui-agila. 
GAL.5.26	Inoke bahi hanaha paganina ta giginol, bahi ta titini palupalut avalau eliyalil, ge bahi avalau wali bugubugul kaiweliya ta lolomwaketa.
GAL.6.1	Taliwau ge nuwau, ebo wami boda ana gamagal etega gegi etega ni ginol, komiu bolo Yayaluwa Bwabwalena i logugui-agimiu, alomiu wami hanalau ge wami pagan meimeina gamagal o nuku labe ge wana pagan nuku pasapu. Yaa nuku matahikagimiu bahi komiu lawakik nuku pwapwawa ge nuku sosogu. 
GAL.6.2	Alomiyau nuku label ali pulowan nuku kaval wali. Nuku ginol ola, inoke eliyana Keliso wana logugui nuku paolaolaek.
GAL.6.3	Ebo gamagal etega totona i ba heyan tage alana i bwata, yaa age nige alana i bwabwata, he totona i kakawe. 
GAL.6.4	Komiu maisena ge maisena totona wana pagan ni kite hilihili-an ga. Ebo wana ginol ni waisi, he ni yaliyaya. Yaa bahi iya wana ginol ana waisi ni luviluviek alona wana ginol elana, 
GAL.6.5	kaiwena gamagal maisena ge maisena iya ana usan ni loke ge pulowanina ni kalivai.
GAL.6.6	Ebo wam topankite Yehoba wana baaba i panpankiti-an eliyam, inoke wam bugul waiwaisal enuna nu guyauan wam topankite elana.
GAL.6.7	Nuku nuwatu bubun ge nuwamiu ni sapu te nige bosowaina etega Yehoba ni kakawe. Hauna toto ta luwan, he enona ta ken ni ola to. 
GAL.6.8	Ebo tuwala yawalina elana ta luwaluwana, enona ta ken yaomal. Yaa ebo Yayaluwa Bwabwalena elana ta luwaluwana, enona ta ken yawal mihomihotina. 
GAL.6.9	Bahi pagan waiwaisana ana awaawaginol ta eesaian, kaiwena ebo nige ta pwepweyata-an, ana sauga hot elana enona waiwaisana ta pwawa. 
GAL.6.10	Inoke hauna sauga ge i bosowaila pagan waiwaisana ta ginol avalau gegewel elal, inoke ta ginol. He pagan waiwaisana ta gagasisi-an wala pan toabulilek elal Keliso ana un elana.
GAL.6.11	Sauga ya totou nimwau elana na leleli.
GAL.6.12	Gamagalau bolo hi ba palawakikimiu tage gotomwa yoho paganina nuku ahe, he hi ginol ola kaiwena nuwaliya avaliyau nihi yaliyaya-agil. Heliya hi lololovakun ge hi nuwatu hi ola, “Bahi palopalomwan ta pwapwawa kaiwena ta abulilek Keliso wana yaomal elana.” 
GAL.6.13	Bwagana bolo gotomwa yoho paganina hi ahe, heliya nige logugui hi totoulil. Yaa nuwaliya tuwamiu buhuna kunisina nihi gotomwa yoho, inoke nihi pahanaha-agil kaiwena bugul ya hi ginol tuwamiu elana. 
GAL.6.14	Yaa nau elau, nige bugul etega kaiwena ge na hanaha, yaa wala Babala Yeisu Keliso te na tobalan. Wana yaomal kolos elana heiya te ya yaliyaya-an. Yeisu wana yaomal eliyana i ola te panayawi paganina iyaka i yaomal eliyau ge ya towani. Ge i ola te nau iyaka ya yaomal kolos elana, inoke nige bosowaina panayawi paganina na toulil. 
GAL.6.15	Bwagana ebo gotomwa yoho paganina ta ahe o ebo nige ta aahe, nige bugul i oola. He toto ana nuwatu i bwata heiya te kila ta tabwa ginol vavaluna. 
GAL.6.16	Komiu bolo nuwatu ya ku awa wawaisi-an, komiu boda Isileli hot Yehoba wana gamagalau. Inoke ya awanun Yehoba atemiu ni palaumwal ge ni atilomwan-agimiu.
GAL.6.17	Sauga matalaa bahi komiu etegana ni sisinali-agau o ebo o pulowan ni teteli, kaiwena potpot bolo hi minaa tuwawa, o etotohi to, hi pamasal nau Yeisu wana totuwalali loloyowanina.
GAL.6.18	Taliwau ge nuwau, wala Babala Yeisu Keliso wana mulolu ni minaa yayaluwamiu elana. Ibwe. I ola.
EPH.1.1	Nau Pol, Yehoba wana nuwatu eliyana ya tabwa Keliso Yeisu wana apostolo. Leta ya ya leli ge ya patuna i nowa Yehoba wana gamagalau bolo ku minaa Epeso eliyamiu, komiu toabulilek hot Keliso Yeisu elana.
EPH.1.2	Ya awanun Yehoba Tamala ge wala Babala Yeisu Keliso nihi muloluagimiu ge wali nuwa laumwal atemiu ni pakalaopop.
EPH.1.3	Yehoba ta tobalan, iya wala Babala Yeisu Keliso wana Yabowaine ge Tamana. Bosowaina hot ta tobalan, kaiwena Keliso eliyana mulolu gegewena i neem labulabumwa iyaka i pem elala yayaluwala ana waisi kaiwena. 
EPH.1.4	He i ola hiwe. Mulaa abwe panayawi i ginol, iya iyaka i hilela wana gamagalau Keliso eliyana inoke matanaa ta bwabwalena ge nige ala woliwoli ni gagan. 
EPH.1.5	Sauga houhouwena i nunuwana-agila, inoke i nuwatu pahuwala te abwe Yeisu Keliso wana tuwalali eliyana ni awa natunagila. He iya totona wana yaliyaya ge wana nuwatu te i ginol ola o. 
EPH.1.6	Inoke iya ta tobalan wana mulolu kalakalaopopwina kaiwena, mulolu o iyaka i pem bwabwage Natuna nunuwanina hot eliyana.
EPH.1.7	Yehoba wana mulolu i bwata hot, inoke Keliso wana yaomal eliyana Yehoba iyaka i pwamola pasikalila ge wala gegi i nuwayoho. 
EPH.1.8	Yehoba wana mulolu i ligin nabiyan eliyala alona ge siba gegewena ge aatena waiwaisana. 
EPH.1.9	He wana nuwatu misusumena iyaka i pamasal eliyala kaiwena wana nuwatu i ola. 
EPH.1.10	Ana sauga hot elana wana nuwatu o bwaliga ni ginol, heiya bugul gegewena labulabumwa ge panayawiya ni palivaso ge Keliso ni kauni.
EPH.1.11	Ama Keliso eliyana Yehoba i ahema wana gamagalau, kaiwena sauga houhouwena i nuwatu ola. (He bugul gegewena Yehoba i ginolil i ola wana nuwatu.) 
EPH.1.12	Inoke ama bolo Keliso ana mel ha teli houwan, Yehoba i ahema wana gamagalau inoke Yehoba alana naha latahin ge naha tobalan. 
EPH.1.13	Komiu al ge, wasa hot, heiya Yeisu Wasana Waiwaisana ami pwamwal kaiwena, ku hago, inoke iyaka ku abulilek Keliso elana ge ku tabwa wana gamagalau. Inoke Yehoba ana etotohi iyaka i teli eliyamiu i ola abaeuna, heiya Yayaluwa Bwabwalena i pewa eliyamiu i ola wana bateli. 
EPH.1.14	Yayaluwa Bwabwalena iyaka ta ahe haba, inoke ta atena waisi gegewena bolo Yehoba i bateli kaiwela bwaliga abwe ta ahe al. He ta matamatan ana siga Yehoba ni sokalila hoti ge ni ahela avala ta mina. Iya alana ta latahin ge ta tobalan!
EPH.1.15	Wami abulilek Babala Yeisu eliyana ge wami nunuwana Yehoba wana gamagalau elal wasana iyaka ya hago, 
EPH.1.16	inoke toto o kaiwena nige ya veveyaho ba mulolu Yehoba elana kaiwemiu, ge sauga gegewena ya awaawanun kaiwemiu. 
EPH.1.17	Ya awanun wala Babala Yeisu Keliso wana Yabowaine, iya Tamala Towasawasa, Yayaluwana ni pewa eliyamiu, inoke iya ni pasiba-agimiu ge Yehoba ni pamasal eliyamiu, yaka ana aatena ni bwata eliyamiu. 
EPH.1.18	Ya awanun Yehoba wami nuwatu ni pwamwananal, yaka nuku atena te iya i yogaagimiu ge bosowaina alomiu wami atimatuwa nuku matamatan wasawasa bwabwatana toto Yehoba abwe ni pem kila wana gamagalau elala. 
EPH.1.19	I ola al nuku atena Yehoba wana gasisi i bwata nabi iyoho i tuwatuwalali kila toabulilek elala. He gasisi maisena o eliyana 
EPH.1.20	heiya te Yehoba Keliso i palutem yaomala, ge i teliya nimana labena awonaa labulabumwa. 
EPH.1.21	Inoke tohouwa gegewel, gasisi ona gegewel, aneloseyau gegewel, tologugui gegewel, ge alan gegewena bolo hi gan sauga ya ge nihi gan sauga i nenem, Keliso iya i bwata lakel. 
EPH.1.22	Yehoba Keliso i teli bugul gegewena ni logugui-agil nihi minaa aena gabulanaa, ge i teli ekelesiya ana bwalibwaligena ni kauni. 
EPH.1.23	He ekelesiya heiya Keliso tuwana, ge Keliso ekelesiya i paolaolaek ge ana waisi gegewena i pakalaopopwi.
EPH.2.1	Valila wami awatautau ge wami gegi kaiwena yayaluwamiu iyaka i aliga. 
EPH.2.2	Saugena o ku nanawaa panayawi ana nuwatu gogogouina elana, ge yayaluwa bibikel wali tohouwa Seitani wana kamwasa ku toulil. Iya nige ta kikite, yaa gamagalau bolo nige Yehoba hi aawatauwan i logugui-agil. 
EPH.2.3	Valila kila gegewela ta miminaa gamagalau bolo o ali boda elana, inoke tuwala yawalina ta toulil ge pagan bolo tuwala ge wala nuwatu nuwana ta awaawaginol. Sauga kila iyoho ta miola o, bosowaina te Yehoba alona wana huga avalau ge gamagalau gegewel ni lahela.
EPH.2.4+EPH.2.5	Kila wala awatautau kaiwena yayaluwala iyaka i aliga. Yaa Yehoba atilomwan i kalaopopwi, ge wana nunuwana eliyala i bwata hot, inoke avala Keliso yawal vavaluna i pem. He Yehoba wana mulolu bwagabwaga eliyana te mwal ku pwawa. 
EPH.2.6	Kila ta minaa Keliso Yeisu eliyana, inoke avala Keliso Yehoba i palutila yaomala, ge i telela avala Keliso ta minaa abamisiyo wawasana elana labulabumwa. 
EPH.2.7	Inoke kila ta tabwa abagagayawa sauga i nenem ana gamagalau kaiweliya ge nihi atena Yehoba wana mulolu i bwata nabi hot, kaiwena Keliso Yeisu eliyana i nunuwana-agila. 
EPH.2.8	Sauga ku abulilek, Yehoba wana mulolu bwagabwaga heiya te eliyana ge mwal ku pwawa. Nige wami logasisi enona i oola, yaa Yehoba wana pewa bwabwage. 
EPH.2.9	Nige wami tuwalali molana i oola, he nige bosowaina komiu etegana ni ba hanaha. 
EPH.2.10	Keliso Yeisu eliyana Yehoba i ginolila ta tabwa ginol vavaluna, nuwana te pagan waiwaisana ta ginolil, pagan waiwaisana o i lovivina-an nonowe tage eliyana ta nanawaa.
EPH.2.11	Komiu hi abimiu nige Yudiya gamagaliliyau i oola. He Yudiya hi ba lowagimiu hi ba, “Komiu nige 
EPH.2.12	Saugena o ami bwaga i yapu Keliso elana. Komiu ku ola bwabwali, nige alamiu i gagan boda Isileli Yehoba wana gamagalau elal, ge 
EPH.2.13	Yaa sauga ya Keliso Yeisu eliyana, komiu valila ami bwaga yayapona Keliso saliyana iyaka i ahemiu ge ku mikelaubwa Yehoba elana.
EPH.2.14	Keliso iya atela i palaumwal inoke avalau ge avalau ta mibubun. Valila ama Yudiya ge komiu bolo nige Yudiya i oola ta pihigelgel-agila, inoke pihigelgel o i ola gana boda labui i walela. Yaa Keliso iya tuwana eliyana gana o i leke yoho, inoke boda labui i teli pamaisena ta tabwa boda maisena. 
EPH.2.15	Yudiya wama Logugui loguguina i gewi, yaa Keliso Logugui o iyaka i pwamowasi. I ginol ola o inoke boda labui i teli pamaisena, yaka boda vavaluna maisena i ginol ge ta mibubun. 
EPH.2.16	Keliso wana yaomal kolos eliyana boda labui wala pihigelgel i pwamowasi, i tubwela ta ola tuwan maisena ge i ahela ta sikal Yehoba elana. 
EPH.2.17	He iya i nem ge mibubun wasana i papaatena-an, komiu eliyamiu bolo valila ami bwaga i yapu Yehoba elana, ge ama eliyama bolo ha mikelaubwa Yehoba elana. 
EPH.2.18	He iyaka ta mibubun, kaiwena Keliso eliyana kilau boda labui wala sapu i gan ge bosowaila Yayaluwa Bwabwalena wana labe eliyana ta nem Tamala elana.
EPH.2.19	Inoke sauga ya komiu nige al ku oola bwabwali ge tovinvin, yaa alomiyau ge Yehoba wana gamagalau komiu towoho, komiu Yehoba ana un gamagaliliyau. 
