GEN.1.1	A fɔlɔfɔlɛ la, Ala ka saŋɛ nun duge da.
ACT.5.34	Wo tɛmuɛ, Farisi kayiba do be ɲɔ, a tɔgɔ Gamaliyɛli. Sariya karamɔgɔ banba le mu a la, jama bɛ be a biliyaren. A wulita Yahude kuntigenu tɛma, a ka yamɔre sa anu ni kiilanu labɔɔ betunna. 
ACT.5.35	A mɛn ka a fɔ kuntigenu ye, a ko: «Wole bani Isirayila kaanu, wo mɛnni koola wo be min mala kɛ mɔgɛnu la. 
ACT.5.36	Wo ka a lɔn wagate do tanbireŋɛ, kaye do be min tɔgɔ Tedasi, a wulita a ka a yɛtɛ matɔgɔ kamarenbaya la. Kaye minnu be a kɔma, a si mɔgɔ kɛmɛ naani ɲɔgɔn bɔɔ. Anu ka a faga: min bɛ si a la kuma bita, anu malansanta, anu la ko mata fufafu la. 
ACT.5.37	Wo to tanbita, Judasi Galile kaa wulita tɔgɔ sɛbɛ tɛmuɛ, a ka mɔgɔ siyama lamurutɛ. Ale tugun fagata: min bɛ si a la kuma bita, anu malansanta. 
ACT.5.38	Awa, n ni tɔɲa fɔ wo ye kɔtɛ: wo kana fenfen ma kɛ mɔgɛnu la, wo bɔɔ anu kɔma. Ka kɛ nátá wale be fatanden mɔgɛnu le la, a si to fu. 
ACT.5.39	Kɔnɔ ka a be fatanden Ala le la, wo te nɔ anu la ko kunnatiɲala. Ka wo ma wo nun Ala yati be kɛlɛla go!»
ACT.5.39	Anu bɛnta wo ma. 
ACT.5.40	Wo butɔ, anu ka kiilanu kele anu ka anu botege, anu mɛn ka anu latɔn kuma koe la Isa tɔgɛ la bitugun. Wo kɔma, anu ka anu boloka.
ACT.5.41	Kiilanu to bɔɔta Yahude kuntigenu la mamadɛŋɛ tɔ, anu juse diyata anu ye, bayi Ala ka ande le masubɛ, anu ni tɔɔrɔ Isa tɔgɛ la ko la. 
ACT.5.42	Lun go lun, anu be Ala batu bon banba tɔ, anu mɛn be tagala mɔgɛnu bata, anu ma kawande ma dan, anu ni kɛnɛ Isa la kibaru ɲinma lakela ka a fɔla Ala la mɔgɔ masubɛreŋɛ le mu a la.
ACT.6.1	Wo tɛmuɛnu tɔ, Isa la talibenu kɔnte to be kunma sala, minnu be Girɛki kuma fɔla anu tɔ, wonu ka anu fan madi doenu ma minnu be Hebure kuma fɔla, bayi lun go lun, harige tini be fatanna wagate min tɔ, fasaa si ma le furuɲa musenu la minnu be Girɛki kuma fɔla. 
ACT.6.2	Wo butɔ, kiila tan nun fila ka talibi jama labɛndeŋɛ kele, anu ka a fɔ wonu ye: «A ma bɛn mɔle ni Ala la kuma lake koe to ɲɔ, mɔ ni harige fatan. 
ACT.6.3	Wolo mu, mɔ nɛɛnɛdɔndɛnu, wo ni kaye magankutu ɲinma wɔrɔwila masubɛ wo tɛma, hakkilima mu minnu la, Hakkili saniyandeŋɛ barikɛ be minnu tɔ. Mɔ ni wonu sɔ fatari dula. 
ACT.6.4	Mɔle tugun ni mɔ tɛ kiti Ala mataraŋɛ la, anun Ala la kuma lake koe la.»
ACT.6.5	Wo kuma ka jama bɛ hɛnɛ, wo butɔ anu ka Etiyɛn masubɛ, kaye min na dɛnkɛnɛya kolo, Hakkili saniyandeŋɛ barikɛ be a tɔ, ale nun Filipu, nun Pirokori, anun Nikanori, nun Timon, nun Paramena, nun Nikola Antiyoki kaa min donta Yahudenu la diina tɔ nun. 
ACT.6.6	Anu ka wonu dantɛgɛ kiilanu ye. Wonu ka Ala matárán anu ye, anu ka anu bole sa anu kuŋɛ ma.
ACT.6.7	Ala la kuma tota yiriwala, talibenu kɔnte tota kunma sala a banba la Darisalamu. Sarika lakela jama banba tugun sɔnta dɛnkɛnɛya kila la ko ma.
ACT.6.8	Ala ka Etiyɛn kan kɔ nɛɛma nun sɛnbɛ banba la, wo butɔ, a tota kabanako nun laamute banbanu mala jama tɛma. 
ACT.6.9	Kɔnɔ Yahudenu minnu be bɔɔren Sirɛni nun Alɛsandiri saanu tɔ anun minnu be bɔɔren Silisi nun Asi duge tɔ, minnu be madɛnna kawandi ma boŋɛ tɔ, min tɔgɔ hɔrɔya mɔgɛnu la kawandi ma boŋɛ, wonu donu wulita, anu ka Etiyɛn nasɔnkɔ. 
ACT.6.10	A to be kumala hakkilimaya butɔ nun Hakkili saniyandeŋɛ barikɛ tɔ, anu ma nɔ sɔtɔ a ma. 
ACT.6.11	Wo butɔ, anu ka kaye donu sunɛ anu ni a janfa, ka a fɔla: «Mɔ bata a kulɛ mɔɛ a be tana kumanu fɔla Musa nun Ala kunma.» 
ACT.6.12	Wo butɔ, anu ka jama nun kayibanu, anun sariya karamɔgɛnu tugun bu tadon, wo kɔma anu tagata giripɛ a ma, anu ka a doni Yahude kuntigenu la mamadɛŋɛ dula. 
ACT.6.13	Anu mɛn ka seede foniyantenu tugun kele ɲɔ, wonu ko: «Kɛ kaye bele sɔnna bɔɔla tana kuma fɔ koe la Ala batu bon saniyandeŋɛ nun Taureta Musa kunma. 
ACT.6.14	Mɔ ka a mɔɛ le yati a fɔla aa ale Isa Nasarɛti kaa si naa kɛ dula tiɲa, Musa tugun ka mɔ lakaran naamuŋɛ minnu la, aa a ni wonu mafalin.» 
ACT.6.15	Wo tɛmuɛ, min bɛ be sigiren Yahude kuntigenu la mamadɛŋɛ tɔ, wonu ka anu ɲa banban Etiyɛn ma: a ɲakɔtɔ tota anu ye iko maleka ɲakɔtɔ.
ACT.7.1	Sarika lakela kuntigi banba ka Etiyɛn maɲininka, a ko: «Min be fɔren i kunma, a be ɲɔgɔnna le ba?»
ACT.7.2	Etiyɛn ka a jaabi: «N nɛɛnɛdɔndɛnu nun n baabanu, wo tolomasɔ! Wo mɔ benba Iburahima to be Mesapotami jamanɛ tɔ, Ala nɔɔra tige bɔɔta le a ma, yannun a ni sabati Haran saa tɔ. 
ACT.7.3	A ka a fɔ a ye, a ko: ‹Bɔɔ i la jamanɛ tɔ, i bareŋɛnu kunma, i ni na jamanɛ do tɔ n be ka min yitala i la.› 
ACT.7.4	Wo butɔ, a bɔɔta Kalide kaanu la jamanɛ tɔ, a tagata sabati Haran saa tɔ. A baaba la fagareŋɛ kɔma, Ala ka a nati kɛ Kanana duge tɔ, wo be sabatiren ka min na kɔtɛ. 
ACT.7.5	A ma dugu yo dii a ma kɛ jamanɛ tɔ, hali kɛn sɔ dula ɲɔgɔn. Kɔnɔ a ka lahire jigan de a ye aa a si naa kɛ duge dii le a ma a ni ma a tɛŋɛ la, ale nun a bɔnsɛ, hali a tanbi kɔma. Adun wo tɛmuɛ Iburahima ma den yo sɔtɔ betunna. 
ACT.7.6	Wo kɔma, Ala kumata kaa le, a ko: ‹Iburahima bɔnsɛ si wagati do ma le luntanya la jamanɛ do tɔ. Wonu si anu ma joŋɛ la, anu ni anu ɲagankata san kɛmɛ naani kɔtɔ. 
ACT.7.7	Kɔnɔ see min tini anu ma joŋɛ la, nde Ala si naa wo see makiiti le. Wo tanbi kɔma, anu si bɔɔ le ka naa n batu kɛ dula tɔ.› 
ACT.7.8	Awa, Ala ka lahire lakoti a nun Iburahima tɛma, sunna koe mata wo lahire seedeɲɔgɔya la. Wolo mu, a to ka Isiyaka sɔtɔ, a ka a sunna a la sɔtɛ tele sagin luŋɛ. Isiyaka ka a ma Yaguba tugun na ɲɔgɔnna le. Yaguba tugun ka a ma wo mɔ benba tan nun fila la ɲɔgɔnna le.
ACT.7.9	Wo kɔma, wo mɔ benbanu ka anu dɔgɛ Yusufu mayita bɛsɛnkɔnnɛya sabu la, a ni ma joŋɛ la Misira duge tɔ, kɔnɔ Ala tota a fɛ. 
ACT.7.10	Wo butɔ, a ka a bɔɔ a tɔɔrɔ koe bɛ tɔ. A ka a ma hakkilima la, a mɛn ka a la ko ladiya Firauna ye, Misira mansa. Wo ka a sɔ kɛnnasɔla la Misira jamanɛ kunma, a mɛn ka a ma a la boŋɛ butɔ kunma fɔla la.
ACT.7.11	Awa, kɔnkɔ fitina donta Misira nun Kanana jamanɛ fɛfɛ bɛ la, wo ka anu tɔɔrɔ a banba la. Wo mɔ benbanu bele fondo sɔtɔla anu si min dɔmɔ. 
ACT.7.12	Yaguba la a mɔɛreŋɛ aa dɔmɛ be Misira, a ka wo mɔ benbanu kii ɲɔ a fɔlɛ la. 
ACT.7.13	Anu to tagata a filaɲɔgɛ la, Yusufu ka a yɛtɛ labɔɔ a baabadɔndɛnu ma. Wo butɔ, Firauna naata na Yusufu bɔnsɛ lɔn. 
ACT.7.14	Wo kɔma, Yusufu ka a baabadɔndɛnu kii, anu ni taga a baaba Yaguba nun a la denbaya bɛ kɔma, anu bɛ kɔnte labɛndeŋɛ mu mɔgɔ bi wɔrɔwila nun loolu le la. 
ACT.7.15	Wo butɔ, Yaguba jigita Misira, a fagata ɲɔ, anun wo mɔ benbanu bɛ. 
ACT.7.16	Anu ka anu furenu doni Sisɛmu, anu mandita ɲɔ, Iburahima la gaburudula tɔ, a ka min san kaalise la Hamori la deŋɛnu ma Sisɛmu saa tɔ.
ACT.7.17	Ala ka lahire min jigan Iburahima ye, wo kamali tuma to be sutuyala, bani Isirayila jama jiidita, anu siyata Misira duge tɔ, 
ACT.7.18	han mansa nama do sɔta Misira duge tɔ, min ma Yusufu la ko lɔn. 
ACT.7.19	Wo mansa ka janfa makiti wo mɔ see ye, a ka wo mɔ benbanu ɲagankata, han a ka anu yamɔri anu ni anu la bɔɔbɛnu lafili, alako anu ni faga.
ACT.7.20	Wo wagate le annabi Musa sɔtɔta; a majabuta Ala ye. Anu ka a dankun a baaba la boŋɛ tɔ kari saba. 
ACT.7.21	A lafilita wagate min tɔ, Firauna la den musereŋɛ tagata a jigan, a ka a dankun iko a yɛtɛ la den kayireŋɛ. 
ACT.7.22	Anu ka annabi Musa karan Misira kaanu la lɔnnɛ bɛ la. A la kuma nun a wali ɲa sɛnbɛ koloyata.
ACT.7.23	Musa la sɔtɛ san binaanɛ to kamalita, a bareŋɛnu bani Isirayila kaanu fɛlɛ sɔgɛ ka a juse bita. 
ACT.7.24	A la tagareŋɛ, a ka Misira kaa do yen min be ko koroŋɛ mala bani Isirayila kaa do la. Wo butɔ, Musa ka a bareŋɛ la kɛlɛ ma Misira kaa be nɔya laboeren min ma: a ka wo tigi botege han a ka a faga. 
ACT.7.25	A be a miraren de ka a fɔla, a bareŋɛnu si a fahamu Ala si naa anu lakisi ale la ko sabu la, kɔnɔ anu ma a fahamu. 
ACT.7.26	Wo lun tabantaka, a ka bani Isirayila kaa fila taran kɛlɛla. A katata kɛlɛ ban koe la anu tɛma, a ko: ‹N nɛɛnɛdɔndɛnu, barenmanu ma wo la ba? Awa, fenna wo be ɲɔgɔn kɛlɛla?› 
ACT.7.27	Kɔnɔ min ka kɛlɛ tɛgɛ a bareŋɛ ma, wo ka Musa latuntun, a ko: ‹Ɲɔmɔ le ɲan ka i sɔ mansa la kiiti sa koe la mɔ tɛma? 
ACT.7.28	Ile be diren nde tugun fagala le ba, iko i ka Misira kaa faga ki min na kunun?› 
ACT.7.29	Annabi Musa to ka wo kuma mɔɛ, a borita a tagata sabati luntanya la Madiyana jamanɛ tɔ. A ka den kayiren fila sɔtɔ ɲɔ.
ACT.7.30	San binaani mɛn kamalita wagate min tɔ, maleka bɔɔta Musa ma kɛnɛ tɔ, a be ta mɛlɛŋɛ tɔ bapɛ do tɛma janfue tɔ, Turisinina kɔnkɛ tɔ. 
ACT.7.31	Musa to ka wo laamute yen, a kaabɛta. A be a madonna wagate min tɔ, a ni a lasaga, a ka Marige kulɛ mɔɛ, wo ka a fɔ a ye: 
ACT.7.32	‹I benbanu la Ala le mu nde la, Iburahima nun Isiyaka nun Yaguba la Ala.› Wo butɔ, Musa sɛrɛnta, a ma suusɛ a lasagala. 
ACT.7.33	Marige ka a fɔ a ye, a ko: ‹I la samatanu bɔɔ i kɛŋɛ tɔ, bayi i be sɔren dula min tɔ, ɲɔ mu dugu saniyandeŋɛ le la. 
ACT.7.34	N bata n na jama yen a ɲinma la, anu be anu tɔɔrɔren ki min na Misira, n ka anu kutun kulɛ tugun mɔɛ ɲɔ; wolo mu n be jigiren anu lakisi koe la. Kɔtɛ, n be i kiila Misira.›
ACT.7.35	Awa, anu balanta Musa min na ko la, ka a fɔla: ‹Ɲɔmɔ le ɲan ka i sɔ mansa la kiiti sa koe la mɔ kunma?›, Ala ka wolo yati kii a ni ma mansa la anu kunka koe la. Wo kiila fɔta a ye maleka sabu la min bɔɔta a ma bapɛ tɔ. 
ACT.7.36	Ale Musa yati le ka bani Isirayila kaanu labɔɔ Misira duge tɔ. A ka kabanakoenu nun laamutenu ma Misira, Kulunyuma ba tɔ, anun janfue tɔ, san binaani. 
ACT.7.37	Ale Musa yati le ka a fɔ bani Isirayila kaanu ye, a ko:
ACT.7.38	Wo mɔ benbanu to be madɛnden janfue tɔ, ale Musa yati le tota ande nun maleka tɛma min be kumala a ye Turisinina kɔnkɛ kunma. Ale len ka Ala la malakisi kumanu mɔɛ, a ni wonu matanbi wo mɔ ma. 
ACT.7.39	Kɔnɔ wo mɔ benbanu ma sɔn a la kuma bitala, anu ka a sɔsɔ le ɲan, anu ka anu hakkile firifiri Misira ma. 
ACT.7.40	Wo butɔ, anu ka a fɔ Harona ye, anu ko: ‹I ni batufeŋɛnu ɲiɲa mɔ ye minnu si sɔ mɔ ɲatɔ, bayi ale Musa min ka mɔ labɔɔ Misira duge tɔ, mɔ ɲan ma a lɔn fenfen min be a masɔtɔren.› 
ACT.7.41	Awa, wo tɛmuɛ le, anu ka tuuradeŋɛ ɲiɲa, a kuyenɛŋɛ, anu ka sarika bɔɔ a ye. Anu bata min ɲiɲa anu yɛtɛ bole la, anu sɛwata wolo la. 
ACT.7.42	Wo butɔ, Ala ka a kɔ sɔ anu la, a ka anu boloka, anu ni sankole tɔ feŋɛnu batu, iko a be sɛbɛren ki min na nabiyonmɛnu la kitabue tɔ:
ACT.7.44	Kɔtɛ, tantaa mafanna min be maren Ala la lahiri lakotireŋɛ seedeɲɔgɔya la, wo be wo mɔ benbanu bolo janfue tɔ. Ala ka Musa yamɔri a ni a ɲiɲa iko a ka a misale yita a la ki min na. 
ACT.7.45	Wo mɔ benbanu minnu nata Musa tanbi kɔma, wo tantaa tota wonu tugun bolo, anu ka a doni duge tɔ, Ala ka sii gbɛtɛ mɔgɛnu bee anu ɲala ka min na, Yosuwe la yamɔre kɔtɔ. Wo tantaa tota ɲɔ han Dauda wagate. 
ACT.7.46	Dauda la ko diyata Ala ye, a ka Ala matárán a ni a batu boŋɛ sɔ bani Isirayila bɔnsɛ ye. 
ACT.7.47	Kɔnɔ Sulemani le ka ale boŋɛ sɔ Ala ye. 
ACT.7.48	Hali wolo mu, Ala min mayɛlɛta, a te sabati fondo kɔtɔ, min be ɲiɲaren mɔgɛ bole la. Nabiyonmɛ tugun ka wo fɔ, Marige ko:
ACT.7.51	Awa, Etiyɛn mɛn ko: «Wole kanbɛlɛ, wo tole nun wo sondoŋɛ be deseren, hali wo ɲan ma sunna nun. Tɛmuɛ bɛ, wo be Ala Hakkili saniyandeŋɛ kɛlɛla; wo benbanu ka a ma ki min na, wole tugun ɲɔgɔnna le. 
ACT.7.52	Wo benbanu kitita nabiyonmɛ bɛ ɲagankata koe la! Iyon, minnu ka Telenbaga na koe lake nun, anu ka wonu faga, kɔtɛ wole tugun bata ale Telenbaga janfa, wo ka a faga. 
ACT.7.53	Wole minnu ka Ala la sariya sɔtɔ malekanu la yamɔre sabu la, wo ma a labatu!»
ACT.7.54	Kuntigenu to be wo kuma mɔɛla, anu juse tota yɛlɛla koola anu be anu ɲiŋɛnu takinna Etiyɛn ma. 
ACT.7.55	Kɔnɔ Hakkili saniyandeŋɛ barikɛ to be Etiyɛn tɔ, a ka a ɲa banban saŋɛ ma, a ka Ala la nɔɔra yen, a mɛn ka Isa yen a be sɔren Ala bolo ɲinma tɔ, 
ACT.7.56	a ko: «Wo tolomasɔ, n be a yenden saŋɛ bata laka, Adamadeŋɛ be sɔren Ala bolo ɲinma tɔ.» 
ACT.7.57	Anu la wo mɔɛreŋɛ, anu ka anu tolenu dese, anu tota belebelela, anu bɛ labɛndeŋɛ giripɛta Etiyɛn ma, 
ACT.7.58	anu ka a sabaa saa kɔma, anu be a mabunna anu ni a faga. Wo butɔ, minnu mata seede la a tɔɲɛgɛ koe la, wonu ka anu la doroki banbanu sa kamareŋɛ do kɛn kɔtɔ, a tɔgɔ Sɔlu. 
ACT.7.59	Anu be a mabunna wagate min tɔ, Etiyɛn be mamataraŋɛ mala, a ko: «Marige Isa, n nɛ jigan.» 
ACT.7.60	Wo kɔma, a kimisirinta, a ka a kulɛ labɔɔ sɛnbɛ la, a ko: «Marige, i kana anu bita kɛ junube la!» A to banta wo fɔla, a fagata a tota iko a be kinnɔgɔla.
ACT.8.1	Etiyɛn faga koe diyata Sɔlu tugun ye.
ACT.8.1	Awa, wo lun yati le, anu kitita Darisalamu dɛnkɛnɛyabaga jama tɔɔrɔ koe la. Wonu bɛ malansanta Jude nun Samari dugenu tɔ, fɔ kiilanu. 
ACT.8.2	Ala ɲalakilanna kaye donu ka Etiyɛn fure mandi, anu ka diri banba ma a la ko la. 
ACT.8.3	Wo wagate, Sɔlu tugun tota diginna dɛnkɛnɛyabaga jama ma anu halagi koe la: a tota donna boŋɛnu bɛ tɔ dɔndɔ dɔndɔ, a ni dɛnkɛnɛyabaganu sabaa, musu nun kaye, a ni anu sa geele tɔ.
ACT.8.4	Awa, dɛnkɛnɛyabaga minnu malansanta, wonu tanbita Ala la kibaru ɲinma lakela dula bɛ tɔ. 
ACT.8.5	Filipu tugun jigita Samari duge saa do tɔ, a ka Ala la mɔgɔ masubɛreŋɛ la ko lake wonu ma. 
ACT.8.6	Jama to be Filipu la kuma mɔɛla, anu mɛn be a la kabanako mareŋɛnu yenna, anu tota anu hakkile sɔren a la kuma ma hanigi dɔndɔ la: 
ACT.8.7	jinna koroŋɛnu be bɔɔla jinnatɔɛ siyama kɔma anu be belebelela kulɛ banba la, mɔgɔ mabɛndeŋɛ nun namatanu siyama tugun kendeyata. 
ACT.8.8	Wolo mu, ɲagaliŋɛ banba tota wo saa tɔ.
ACT.8.9	Wo ka a taran, kaye do be wo saa tɔ min tɔgɔ Simɔn. A be dureya le mala nun, min si Samari kaanu makaabɛ, a be a yɛtɛ maren kamarenba la. 
ACT.8.10	Dendeŋɛnu anun kayibanu, anu bɛ be anu hakkile sɔren nun a ma a ɲinma la, anu ko: «Ala la sɛnbɛ banba tige le kɛ kaye la.» 
ACT.8.11	Anu be sɔren a kɔma, bayi a bata mɛ anu lakaabɛla a la dureya la. 
ACT.8.12	Kɔnɔ Filipu to be kibaru ɲinma lakela Ala la mansabaya la ko la anun Isa tɔgɛ la, Ala la mɔgɔ masubɛreŋɛ, anu naata dɛnkɛnɛya wo la kuma ma. Wo butɔ, kayenu nun musenu, anu bɛ be suwɛla je tɔ. 
ACT.8.13	Simɔn yɛtɛ tugun mata dɛnkɛnɛyabaga la, a suwɛta je tɔ, a be tola Filipu kɔma. A to be laamute nun kabanako banba mareŋɛnu yenna, wo ka a makaabɛ koola.
ACT.8.14	Kiila minnu be Darisalamu, wonu to ka a mɔɛ Samari kaanu bata Ala la kuma bita, anu ka Piyɛri nun Yaya lasanba anu ma. 
ACT.8.15	Wonu to jigita ɲɔ, anu ka Ala matárán ɲɔ kaanu ye, anu ni Ala Hakkili saniyandeŋɛ sɔtɔ. 
ACT.8.16	Wo ka a taran, Hakkili Saniyandeŋɛ bele jigiren anu hali dɔndɔ ma nun betunna: anu suwɛta je tɔ nun Marige Isa tɔgɛ dɔrɔn de la ko la. 
ACT.8.17	Awa, Piyɛri nun Yaya ka anu bole sa anu kuŋɛ ma, wonu tugun ka Hakkili saniyandeŋɛ sɔtɔ.
ACT.8.18	Simɔn to ka a yen, Hakkili saniyandeŋɛ be sɔtɔla kiilanu le la bolo sa la, a ka nafule sɔ anu ye, 
ACT.8.19	a ko: «Wo kɛ sɛnbɛ dii nde tugun ma, alako n tini n bole sa min kuŋɛ ma, a ni Hakkili saniyandeŋɛ sɔtɔ.» 
ACT.8.20	Kɔnɔ Piyɛri ka a fɔ a ye: «I nun i la nafule ni halagi! A be toren ile ye ba iko Ala la kɔɔre be sanna nafule le la? 
ACT.8.21	I tɛn bele kɛ koe tɔ, i ni bele a tɔ, bayi i sondoŋɛ ma telen Ala ye. 
ACT.8.22	Bɔɔ i la kɛ ko koroŋɛ kɔma, i ni Marige matárán alako a ni diɲa i ye i la kɛ mira la ko la, ka a si naa taga sɔn, 
ACT.8.23	bayi n bata a yen, i be telenbaliya siyama tɔ, i ɲan bata ma junube la joŋɛ la.» 
ACT.8.24	Simɔn ka a jaabi, a ko: «Yandi, wole yɛtɛ le be Marige matáránna n ɲɛ, alako wo be koe min bɛ fɔren ka, hali dɔndɔ kana ke n ma.»
ACT.8.25	Awa, Piyɛri nun Yaya to banta Marige la seedeɲɔgɔya kuma lakela, anu saagita. Anu saagi tuma Darisalamu, anu tota kibaru ɲinma lakela Samari kaanu la saa siyama tɔ.
ACT.8.26	Wo kɔma, Marige la maleka do kumata Filipu ye, a ko: «Wuli, i ni taga bolo ɲinma mafanna, kila min be bɔɔla Darisalamu jigila Gasa saa tɔ, i ni taga ɲɔ, wolo mu janfue tɔ kila la.» 
ACT.8.27	Wo butɔ, Filipu wulita, a tagata. Wo ka a taran, Etiyopi kaa do be ɲɔ, a be kila kunma, kayi nuunureŋɛ le mu a la. Etiyopi kaanu la musu mansa Kandasi la sɔdula tigi banba le mu a la, wolo be a la nafule bɛ makantala. A bata taga nun Darisalamu Ala batu koe la, 
ACT.8.28	a be saagila a bata, a be sigiren a la sarɛti butɔ, a be annabi Esayi la kitabue karanna. 
ACT.8.29	Wo butɔ, Ala Hakkili saniyandeŋɛ ka a fɔ Filipu ye, a ko: «Taga i madon wo sarɛti la.» 
ACT.8.30	Filipu to tagata borila, a ka Etiyopi kaa kulɛ mɔɛ a be annabi Esayi la kitabue karanna. Wo butɔ, a ka a maɲininka, a ko: «I be min karanna ka, i be a fahamuren ba?» 
ACT.8.31	A ka a jaabi, a ko: «N si nɔ a fahamula kama le ka mɔgɔ bele min si a fasari n ɲɛ?» A ka Filipu madiya a ni yɛlɛ, a ni sigi a kɛnna.
ACT.8.32	A be sɛbɛre dula min karanna nun, wolo mu kɛ la, a ko:
ACT.8.34	Ale kaye ka a fɔ Filipu ye, a ko: «Yandi, a fɔ n ɲɛ, annabi Esayi be ɲɔmɔ le la ko fɔla ka? A yɛtɛ ba, ka mɔgɔ do?» 
ACT.8.35	Awa, Filipu ka kuma da bita, a ka a fɔlɔ kɛ sɛbɛre dula ma, a ka Isa la ko kibaru ɲinma lake a ma.
ACT.8.36	Anu to be tagala kila kunma, anu keta kɔɛɛ do ma. Wo butɔ, kaye ka a fɔ: «Je le ka. Fen de n te suwɛ je tɔ?» [
ACT.8.37	Filipu ka a fɔ a ye, a ko: «Ka i dɛnkɛnɛyata i juse bɛ la, i si nɔ le suwɛla.» Kaye ka a jaabi, a ko: «N bata dɛnkɛnɛya, Ala la deŋɛ le mu Isa la, Ala la mɔgɔ masubɛreŋɛ le mɛn mu a la.»] 
ACT.8.38	Kaye ka yamɔre sa a la sarɛti lasɔ koe la; ale nun Filipu, anu fila bɛ jigita je tɔ, Filipu ka a lasuwɛ. 
ACT.8.39	Anu to yɛlɛta je tɔ, Marige Hakkile saniyandeŋɛ ka Filipu jigan a ka a doni a fɛ, ale kaye ma a yen bitugun. A ka a la kila bita, a be tagala sɛwa butɔ. 
ACT.8.40	Filipu tugun yenta Asoti saa butɔ. Kabɔɔ ɲɔ, a tanbita kibaru ɲinma lakela saa bɛ ma, han a keta Sesare saa tɔ.
ACT.9.1	Han bi Sɔlu be katala kila bɛ la Marige la talibenu faga koe la. Wo butɔ, a tagata sarika lakela kuntige dula, 
ACT.9.2	a ka sago dii kaidenu maɲininka a ma, a ni wonu don Damasi kawandi ma boŋɛnu kuntigenu bolo, alako ka a ka mɔgɛnu taran ɲɔ, musu nun kayi, minnu be sɔren Isa la kila kɔma, a ni anu kiti a ni anu nati Darisalamu.
ACT.9.3	A to be kila kunma tagala Damasi, a la sutuyareŋɛ ɲɔ saa la, nɔɔra bɔɔta saŋɛ tɔ kisanna, a malaŋɛ ka a lamilin. 
ACT.9.4	A boeta duge tɔ, a ka kulɛ do mɔɛ a be a fɔla a ye: «Sɔlu, Sɔlu, i be kitiren n ɲagankata koe la fenna?» 
ACT.9.5	A ko: «Marige, ile ɲɔmɔ le?» Marige ko: «Nde Isa le mu, i be kitiren min ɲagankata koe la. 
ACT.9.6	Wuli kɔtɛ, i ni don saa tɔ; i bɛnta min mala, anu si a fɔ i ye.» 
ACT.9.7	Kayenu minnu nun Sɔlu be tagamanna, wonu sɔreŋɛ mafuta, han anu bobota. Anu be kulɛ kan mɔɛla, kɔnɔ anu bele mɔgɔ yo yenden. 
ACT.9.8	Sɔlu wulita duge tɔ, a ɲanu be lakaren, kɔnɔ a bele fenfen yenna. Anu ka a masɔ Damasi, anu be a bole bitaren. 
ACT.9.9	A tota ɲabɔnɔya tɔ tele saba, a ma dɔmɔ dɔmɔ, a ma ji min.
ACT.9.10	Wo ka a taran, Marige la talibe do be Damasi, a tɔgɔ Ananiyasi. Marige bɔɔta a ma, a kumata a ye, a ko: «Ananiyasi!» A ko: «Naamu Marige, nde le mu ka!» 
ACT.9.11	Marige ka a fɔ a ye, a ko: «Kila min tɔgɔ kila telendeŋɛ, wuli i ni taga wo la, i ni mɔgɔ do la ko maɲininka min tɔgɔ Sɔlu, Taresi kaa, a be Juda la boŋɛ tɔ, a be Ala mataraŋɛ le tɔ ka. 
ACT.9.12	Wo butɔ, kaye do bɔɔta a ma, a tɔgɔ Ananiyasi, a donta, a ka a bolenu sa a ma, alako a ni ɲɔ tayen.» 
ACT.9.13	Ananiyasi ka a jaabi, a ko: «Marige, wo kaye ka ko koroŋɛ banba min ma i la mɔgɔ saniyandeŋɛnu la Darisalamu, n ka wo mɔɛ mɔgɔ siyama la. 
ACT.9.14	Yan tugun, yamɔre be a bolo, a ka min sɔtɔ sarika lakela kuntigenu la, aa min bɛ be i tɔgɛ matáránna, aa a ni wonu kiti.» 
ACT.9.15	Kɔnɔ Marige ka a fɔ a ye, a ko: «Taga tun, bayi n na kiila masubɛreŋɛ le mu ale la, alako n ni a lasanba n tɔgɛ fɔ koe la sii gbɛtɛnu anun mansanu anun bani Isirayila deŋɛnu ɲala. 
ACT.9.16	Tekku fɔ a ni tɔɔrɛ siyama sɔtɔ n tɔgɛ la ko la, nde yɛtɛ si min yita a la.»
ACT.9.17	Awa, Ananiyasi tagata, a donta wo boŋɛ tɔ, a ka a bolenu sa Sɔlu ma, a ko: «N nɛɛnɛdɔndɛ Sɔlu, Marige Isa min bɔɔta i ma kɛnɛ tɔ, i be nala wagate min tɔ kila kunma, wolo be n kiiren i ma, alako i ɲa ni laka, i mɛn ni Hakkili saniyandeŋɛ sɔtɔ.» 
ACT.9.18	Fondo bɔɔta a ɲa tɔ ɲɔ kisanna, a boeta a be toren iko kobole. A ka ɲɔ tayen, a mɛn wulita a lasuwɛta je tɔ. 
ACT.9.19	Wo kɔma, a ka dɔmɛ dɔmɔ, a ka sɛnbɛ tasɔtɔ.
ACT.9.19	Sɔlu ka tele dan donu ma Isa la talibenu fɛ minnu be Damasi saa tɔ. 
ACT.9.20	A bakkuta kibaru ɲinma lakela kawandi ma boŋɛnu tɔ kisanna, a be a fɔla Isa mu Ala la den kayireŋɛ le la. 
