GEN.1.1	Sa kapinonan, kan lalangon nin Dios an kalangitan asin an daga, 
EZK.40.25	An mga kwarto kan trangkahan na ini igwa man nin mga bintana arog kan iba. An kahalabaan kan trangkahan igwa nin sukol na beynte y singko metros, asin an kahalakbangan igwa nin sukol na dose may kabangang metros. 
EZK.40.26	Igwa nin pitong tanggang minaitaas pasiring sa trangkahan na ini, asin an dakulang kwarto kaini yaon man sa poro, atubang sa patyo. Igwa man nin inukit na mga kahoy na palma sa mga lanob na atubang sa agihan. 
EZK.40.27	Igwa man digdi nin sarong trangkahan na minapasiring sa patyong nasa laog. Sinukol kan lalaki an distansya pasiring sa ikaduwang trangkahan, asin igwa ini nin sukol na singkwenta metros.
EZK.40.28	Dangan ipinag-iba ako kan lalaki sa patyong nasa laog, asin duman kami nag-agi sa trangkahan sa habagat. Sinukol niya an trangkahan sa habagat, asin pareho man an sukol kaini sa mga trangkahan sa kudal na nasa luwas. 
EZK.40.29+EZK.40.30	An mga kwarto para sa mga bantay, an dakulang kwarto asin an mga lanob na nasa laog parareho man an sukol sa mga nasa ibang trangkahan. An mga kwarto kan trangkahan na ini igwa man nin mga bintana. An kahalabaan kan trangkahan minaabot sa beynte y singko metros, asin an kahalakbangan minaabot sa dose may kabangang metros. 
EZK.40.31	An dakulang kwarto nakaatubang sa sarong patyo, asin igwa nin inukit na mga kahoy na palma sa mga lanob kan agihan. Igwa digdi nin walong tanggang minapaitaas pasiring sa trangkahan na ini.
EZK.40.32	Ipinag-iba ako kan lalaki sa patyong nasa laog, asin duman kami nag-agi sa trangkahan sa sirangan. Sinukol niya an trangkahan sa sirangan asin pareho man an sukol kaini kan sa iba. 
EZK.40.33	An mga kwarto para sa mga bantay, an dakulang kwarto asin an mga lanob na nasa laog parareho man an sukol sa mga nasa ibang trangkahan. Igwa man ini nin mga bintana sa palibot; siring man sa dakulang kwarto. An kahalabaan kan trangkahan minaabot sa beynte y singko metros asin an kahalakbangan minaabot sa dose may kabangang metros. 
EZK.40.34	An dakulang kwarto nakaatubang sa patyong nasa luwas, asin igwa nin inukit na mga kahoy na palma sa mga lanob kan agihan. Igwa digdi nin walong tanggang minapaitaas pasiring sa trangkahan na ini.
EZK.40.35	Dangan ipinag-iba ako kan lalaki sa trangkahan sa amihan. Sinukol niya ini asin pareho man an sukol kaini kan sa iba. 
EZK.40.36	An mga kwarto para sa mga bantay, an dakulang kwarto asin an mga lanob na nasa laog parareho man an sukol sa mga nasa ibang trangkahan. An kahalabaan kan trangkahan minaabot sa beynte y singko metros, asin an kahalakbangan minaabot sa dose may kabangang metros. 
EZK.40.37	An dakulang kwarto nakaatubang sa patyong nasa luwas, asin igwa nin inukit na mga kahoy na palma sa mga lanob kan agihan. Igwa digdi nin walong tanggang minapaitaas pasiring sa trangkahan na ini.
EZK.40.38	Sa patyong nasa luwas, igwa nin sarong edipisyong kasugpon kan trangkahan na nasa laog, sa parteng amihan. Agihan ini pasiring sa dakulang kwarto na atubang sa patyo, asin digdi hinuhugasan an binunong mga hayop na tututongon bilang sakripisyo. 
EZK.40.39	Sa dakulang kwartong ini igwa nin apat na lamesa, duwa sa mag-ibong na gilid. Sa mga lamesang ini binubuno an mga hayop na idodolot bilang mga sakripisyo, na bilog na tututongon o na idodolot para sa kasalan o bilang kabayadan. 
EZK.40.40	Sa luwas kan dakulang kwarto, igwa man nin apat na lamesa, duwa sa mag-ibong na gilid kan laogan kan trangkahan sa amihan. 
EZK.40.41	Walo gabos an lamesang binubunoan kan mga hayop na iaatang: apat sa laog kan kwarto asin apat sa patyo. 
EZK.40.42	Igwa man nin apat na lamesa sa laog kan edipisyo. Ginagamit ini sa pag-andam kan mga atang na tututongon na bilog. An mga lamesang ini gabos tinabas na gapo, na an lambang saro may langkaw na singkwenta sentimetros asin an ibabaw kaini setenta y singko sentimetros kwadrado. Sa mga lamesang ini ibinubugtak an gabos na kagamitan sa pagbuno kan mga hayop na iaatang. 
EZK.40.43	An moldora sa palibot kaini setenta y singko milimetros an lakbang. Sa mga lamesang ini ibinubugtak an gabos na karneng idodolot bilang sakripisyo.
EZK.40.44	Dangan ipinag-iba ako kan lalaki sa patyong nasa laog. Igwa digdi nin duwang kwarto: an saro atubang sa habagat, kataed kan trangkahan sa amihan, asin an saro atubang sa amihan, kataed kan trangkahan sa habagat. 
EZK.40.45	Sinabihan ako kan lalaki na an kwartong atubang sa habagat iyo an para sa mga padi na naglilingkod sa Templo, 
EZK.40.46	asin an kwartong atubang sa amihan iyo an para sa mga padi na naglilingkod sa altar. An gabos na padi naggikan ki Zadok; sa mga kaayon sa tribu ni Levi, sinda sana nanggad an tinutugotan na makarani sa 
EZK.40.47	Sinukol kan lalaki an patyong nasa laog, asin singkwenta metros kwadrado an sukol kaini. An Templo yaon sa parteng solnopan, asin sa atubangan kan Templo igwa nin sarong altar. 
EZK.40.48	Dangan ipinag-iba ako kan lalaki sa kwartong agihan palaog sa Templo. Sinukol niya an laogan kaini; duwang metros may kabanga an rarom kaini, asin pitong metros an lakbang. An mag-ibong na lanob kan agihan igwa nin hibog na sarong metro may kabanga. 
EZK.40.49	Igwa nin mga tangga na minapaitaas pasiring sa agihan, na sampolong metros an lakbang asin anom na metros an rarom. Igwa nin duwang harigi na namumugtak sa mag-ibong na gilid kan laogan.
EZK.41.1	Dangan ipinag-iba ako kan lalaki sa pinakatahaw na kwarto, an Banal na Lugar. Sinukol niya an agihan pasiring duman: tolong metros an rarom kaini 
EZK.41.2	asin limang metros an lakbang, na duwa may kabangang metros an hibog kan lanob sa mag-ibong. Sinukol niya an kwarto: beynte metros an laba kaini asin sampolong metros an lakbang.
EZK.41.3	Dangan nagduman siya sa pinakalaog na kwarto. Sinukol niya an agihan pasiring duman: sarong metro an rarom kaini asin tolong metros an lakbang, na tolo may kabangang metros an hibog kan lanob sa mag-ibong. 
EZK.41.4	Sinukol niya an kwarto: dyes metros kwadrado ini. Dangan sinabihan niya ako, “An pinakalaog na kwartong ini iyo an Kabanal-banaleng Lugar.”
EZK.41.5	Sinukol kan lalaki an hibog kan kudal na nasa laog kan edipisyong namumugtakan kan Templo, asin tolong metros an sukol kaini. Nakadukot sa kudal na ini, sa palibot kan Templo, an saradit na kwarto na duwang metros an lakbang. 
EZK.41.6	Tolong eskalon an mga kwartong ini, asin an lambang eskalon igwa nin treyntang kwarto. An kudal kan nasa itaas na eskalon mas manipis ki sa nasa ibabang eskalon, huli ta sa gilid kan kudal nakasandig an lambang eskalon. 
EZK.41.7	Kaya kun hihilingon sa luwas, garo parareho an hibog kan kudal kan Templo, magpoon sa ibaba sagkod sa itaas. Sa luwas kan mga kwartong ini, igwa nin duwang halakbang na hagdan na nakadukot sa kudal kan Templo, na iyo an mga hagdan na sakatan pasiring sa ikaduwa asin ikatolong eskalon. 
EZK.41.8+EZK.41.9+EZK.41.10+EZK.41.11	An kudal na nasa luwas kan mga kwartong ini may hibog na duwa may kabangang metros. Igwa nin sarong pintoan pasiring sa mga kwarto na nasa parteng amihan kan Templo, asin igwa man nin sarong pintoan pasiring sa mga kwartong nasa parteng habagat. Nahiling ko na igwang sarong balkonaheng duwa may kabangang metros an lakbang sa palibot kan Templo. Tolong metros an langkaw kaini sa daga, asin kapantay ini kan pundasyon kan mga kwartong nakadukot sa kudal kan Templo. Sa palibot kan Templo, sa pagultanan kan balkonahe asin kan edipisyong ginagamit kan mga padi, igwa nin sarong lugar na mayo nin atop, na sampolong metros an lakbang.
EZK.41.12	Sa poro kan lugar na ini na mayong atop sa parteng solnopan kan Templo, igwa nin sarong edipisyo na kwarenta y singko metros an laba asin treynta y singko metros an lakbang; duwa may kabangang metros an hibog kan kudal na nakapalibot digdi.
EZK.41.13	Sinukol kan lalaki an luwas kan Templo, asin singkwenta metros an laba kaini. Dangan singkwenta metros man an distansya magpoon sa likod kan Templo sagkod sa edipisyong nasa parteng solnopan. 
EZK.41.14	Singkwenta metros man an pagultanan magpoon sa atubangan kan Templo, kaiba na an lugar na mayong atop. 
EZK.41.15	Sinukol man niya an laba kan edipisyong ini na nasa parteng solnopan, kaiba an kudal sa mag-ibong na gilid: singkwenta metros man ini.
EZK.41.15	An kwartong agihan palaog sa Templo, an Banal na Lugar, asin an Kabanal-banaleng Lugar 
EZK.41.16	nalalanoban nin kahoy magpoon sa salog sagkod sa mga bintana. An mga bintanang ini pwedeng serahan.
EZK.41.17	An mga lanob sa laog kan Templo na kapantay kan mga pintoan, igwa nin mga inukit 
EZK.41.18	na mga kahoy na palma saka mga kerubin. An lambang kahoy na palma nakaukit sa pagultanan nin duwang kerubin, asin nakaukit ini sa palibot na lanob. An lambang kerubin igwa nin duwang lalawogon: 
EZK.41.19	an saro lalawogon nin tawo na nakaatubang sa sarong ibong kan kahoy na palma, asin an saro lalawogon nin leon na nakaatubang sa saro pang ibong. Arog kaini an ladawan na nasa palibot na lanob kan Templo, 
EZK.41.20	magpoon sa salog sagkod sa itaas kan mga pintoan. 
EZK.41.21	Kwadrado an mga hamba kan mga pintoan kan Banal na Lugar.
EZK.41.21	Sa atubangan kan laogan kan Kabanal-banaleng Lugar igwa nin sarong garo 
EZK.41.22	altar na kahoy. Saro may kabangang metro an langkaw kaini asin sarong metro an lakbang. Kahoy an mga bitis kan altar, siring man an patugmadan saka an mga gilid. Nagtaram sako an lalaki, “Iyo ini an lamesa na nasa atubangan nin 
EZK.41.23	Sa poro kan agihan pasiring sa Banal na Lugar, igwa nin pintoan; siring man sa poro kan agihan pasiring sa Kabanal-banaleng Lugar. 
EZK.41.24	An lambang pintoan igwa nin duwang dahon na minabuka saka minasera sa tahaw. 
EZK.41.25	Igwa nin mga inukit na mga kahoy na palma saka mga kerubin sa mga pintoan kan Banal na Lugar, arog kan mga nasa lanob. Igwa nin kahoy na pantahob sa luwas kan pintoan kan kwartong agihan palaog sa kwarto. 
EZK.41.26	Sa lambang gilid kan kwartong ini igwa nin mga bintana, asin an mga lanob nauukitan nin mga kahoy na palma.
EZK.42.1	Dangan ipinag-iba ako kan lalaki sa patyong nasa luwas asin giniyahan ako pasiring sa sarong edipisyo na nasa parteng amihan kan Templo harani sa edipisyong nasa solnopan na kabtang kaini. 
EZK.42.2	An edipisyong ini igwa nin sukol na singkwenta metros an laba asin beynte y singko metros an lakbang. 
EZK.42.3	An sarong gilid kaini nakaatubang sa lugar na mayong atop, na sampolong metros an lakbang, asin an saro pang gilid nakaatubang sa palitada kan patyong nasa luwas. Tolong eskalon an edipisyong ini. 
EZK.42.4	Sa parteng amihan kan edipisyo, igwa nin agihan na limang metros an lakbang asin singkwenta metros an laba; an mga pintoan kaini nasa parteng amihan. 
EZK.42.5	An mga kwarto sa itaas na eskalon mas saradit ki sa mga yaon sa tahaw saka pinakaibabang mga eskalon. 
EZK.42.6	An mga kwarto sa tolong eskalon gabos nakapatugmad sa balkonahe, asin mayo nin mga harigi, bakong arog kan ibang mga edipisyong nasa patyo. 
EZK.42.7+EZK.42.8	Sa pinakaibabang eskalon, an kudal na nasa luwas kan edipisyo, solido sa lakbang na beynte y singko metros, kabanga kan kahalabaan kan edipisyo, asin sa natatadang beynte y singko metros igwa nin mga kwarto. Sa pinakaitaas na eskalon, igwa nin mga kwarto sa bilog na kahalabaan kan edipisyo. 
EZK.42.9+EZK.42.10	Sa ibaba kan mga kwartong ini, sa poro kan edipisyo sa parteng sirangan saen minapoon an kudal, igwa nin luwasan pasiring sa patyong nasa luwas.
EZK.42.9+EZK.42.10	Sa parteng habagat kan Templo, igwa nin edipisyong arog man kan nasa solnopan na parte kan Templo. 
EZK.42.11	Sa atubangan kan mga kwarto, igwa nin agihan na arog man kan nasa parteng amihan. Pareho man an sukol kaini, pareho an pakagibo kan mga pintoan asin pareho an mga laogan. 
EZK.42.12	Igwa nin sarong pintoan sa irarom kan mga kwarto sa parteng habagat kan edipisyo, sa sirangan na poro saen minapoon an kudal.
EZK.42.13	Nagtaram sako an lalaki, “An duwang edipisyong ini parehong banal. Diyan nagkakakan kan pinakabanal na mga atang an mga padi na minarani sa 
EZK.42.14	Kun nakalaog na an mga padi sa Templo dangan boot nindang magluwas pasiring sa patyong nasa luwas, kaipuhan iwalat ninda sa mga kwartong ini an banal na mga gubing na isinulot ninda mantang naglilingkod sa 
EZK.42.15	Kan tapos na an lalaki sa pagsukol kan sa laog na kabtang kan Templo, ipinag-iba niya ako sa luwas; nag-agi kami sa trangkahan sa sirangan dangan sinukol niya an luwas na kabtang kan mga edipisyong nakapalibot sa Templo. 
EZK.42.16	Kinua niya an pansukol dangan sinukol an kabtang sa sirangan: dos syentos singkwenta metros ini. 
EZK.42.17+EZK.42.18+EZK.42.19	Dangan sinukol niya an mga kabtang sa amihan, sa habagat saka sa solnopan: an lambang kabtang igwa nin parehong sukol na dos syentos singkwenta metros, 
EZK.42.20	kaya an lugar na napapalibotan kan kudal sesenta y dos mil kinyentos metros kwadrado. An kudal iyo an minasiblag kan banal na lugar sa ordinaryong mga lugar.
EZK.43.1	Ipinag-iba ako kan lalaki sa trangkahan na atubang sa sirangan. 
EZK.43.2	Dangan nahiling kong nagdadangadang hale sa sirangan an kamurawayan kan Dios nin Israel. An tingog nin Dios nakakaarog sa hagubohob kan dagat, asin an daga nagliwanag huli kan saiyang kamurawayan. 
EZK.43.3	An bisyon na ini arog man kan bisyon na nahiling ko kan maghilig an Dios sa pagraot kan Jerusalem, asin arog man kan nahiling ko sa tampi kan Salog nin Kebar. Dangan nagdapa ako sa daga. 
EZK.43.4	An kamurawayan nin 
EZK.43.5	Initaas ako kan espiritu nin 
EZK.43.6	Nagtindog sa kataed ko an lalaki, dangan nadangog kong nagtaram sako an 
EZK.43.7	“Aki nin tawo, uya digdi an sakong trono. Mag-eerok ako digdi sa kaibahan kan banwaan nin Israel asin paghahadean ko sinda sagkod pa man. An sakong banal na ngaran dai na nanggad didigtaan kan mga Israelita asin kan saindang mga hade, sa paagi nin pagsamba sa ibang dios-dios o sa paglubong kan mga bangkay kan saindang mga hade sa lugar na ini. 
EZK.43.8	Itinugdok kan mga hade an pintoan kan saindang palasyo sa kataed kan pintoan kan sakong Templo, kaya saro sanang kudal an pagultanan nyamo. Dinigtaan ninda an banal kong ngaran sa paagi kan makauuyam na mga bagay na saindang ginibo, kaya sa sakong kaanggotan tinunaw ko sinda. 
EZK.43.9	Ngunyan kaipuhan ontokon na ninda an pagsamba sa ibang mga dios-dios asin haleon na ninda an mga bangkay kan saindang mga hade, dangan maerok ako sa kaibahan ninda sagkod pa man.”
EZK.43.10	Nagsabi pa an 
EZK.43.11	Dangan kun nasosopog na sinda kan saindang mga ginibo, ipaliwanag mo sainda an plano kan Templo, an pakagibo kaiyan, an mga laogan saka mga luwasan, an bilog na porma kaiyan asin an gabos na pagboot saka mga togon manongod diyan. Isurat mo ini gabos para sainda, tanganing maotob ninda an sakong mga pagboot asin makuyog ninda an mga togon. 
EZK.43.12	Iyo ini an togon manongod sa Templo: An bilog na teritoryo sa palibot kaini sa alitoktok kan bukid sagrado asin banal.”
EZK.43.13	Iyo ini an mga sukol kan altar, sosog sa parehong sukol na ginamit sa Templo. An patugmadan kan altar igwa nin sagurong na singkwenta sentimetros an rarom asin singkwenta sentimetros an lakbang. An palibot kaini igwa nin moldeng beynte y singko sentimetros an langkaw. 
EZK.43.14	An langkaw magpoon sa patugmadan sagkod sa enot na pasamano minaabot sa sarong metro, asin magpoon sa pasamanong ini paitaas, duwang metros an langkaw saka singkwenta sentimetros an lakbang sa palibot. An pinakaitaas na parte magpoon sa ikaduwang pasamano singkwenta sentimetros man an lakbang sa palibot. 
EZK.43.15	Ining pinakaitaas na parte kan altar na tinututongan kan mga dolot duwang metros an langkaw. An mga sungay na nasa apat na kanto kan altar mas halangkaw ki sa altar. 
EZK.43.16	Kwadrado an altar na igwa nin sukol na seis metros an laba asin seis metros an lakbang. 
EZK.43.17	Kwadrado man an kabtang na nasa tahaw: pitong metros an laba asin pitong metros an lakbang, na may sarong molde sa palibot na beynte y singko sentimetros an langkaw. (An sagurong kaini sa palibot may lakbang na singkwenta sentimetros.) An hagdan pasiring sa altar yaon sa parteng sirangan.
EZK.43.18	Nagtaram sako an Kagurangnan 
EZK.43.19	An mga padi na kaayon sa tribu ni Levi asin gikan sa pamilya ni Zadok iyo sana an madolok sako tanganing maglingkod. Ako, an Kagurangnan 
EZK.43.20	An ibang dugo kaiyan kuahon mo dangan ilahid sa apat na sungay kan altar, asin sa apat na kanto kan kabangaan na kabtang kan altar, dangan sa palibot na pasamano kaiyan. Sa paaging ini, malilinigan an altar asin makokonsagra. 
EZK.43.21	An torilyong baka na dolot para sa kasalan kuahon mo dangan tutongon sa talaan na lugar kan Templo, sa luwas kan banal na lugar. 
EZK.43.22	Sunod na aldaw, magkua ka nin sarong lalaking kanding na mayo nin kaninan dangan isakripisyo mo bilang dolot para sa kasalan. Linigan mo an altar kan dugo kaiyan sa parehong paagi kan isakripisyo mo an torilyong baka. 
EZK.43.23	Pakatapos mo kaiyan, magkua ka nin sarong torilyong baka asin sarong lalaking karnero na gabos mayo nin kaninan, 
EZK.43.24	dangan darahon mo sako. Aasinan iyan kan mga padi dangan tututongon bilang sarong tinutong na atang para sako. 
EZK.43.25	Aroaldaw, sa laog nin pitong aldaw, magdolot ka nin sarong kanding, sarong torilyong baka asin sarong karnero bilang dolot para sa kasalan. An gabos na iyan dapat mayo nin kaninan. 
EZK.43.26	An altar lilinigan asin kokonsagrahon kan mga padi sa laog nin pitong aldaw. 
EZK.43.27	Pakatapos kan pitong aldaw, popoonan kan mga padi an pagdolot kan mga tinutong na atang asin kan mga atang para sa katoninongan. Dangan mawiwilihan ko kamo gabos. Ako, an Kagurangnan 
EZK.44.1	Dangan ibinalik ako kan lalaki sa trangkahan na nasa luwas, sa parteng sirangan kan lugar na namumugtakan kan Templo; serado an trangkahan na ini. 
EZK.44.2	Dangan nagtaram sako an 
EZK.44.3	Alagad an naghahadeng prinsipe pwedeng magduman tanganing magkakan nin tinapay sa presensya ko. Sa paglaog asin pagluwas niya, kaipuhan na sa kwartong agihan palaog siya mag-agi.”
EZK.44.4	Dangan ipinag-iba ako kan lalaki sa atubangan kan Templo; sa trangkahan sa amihan kami nag-agi. Kan magmasid ako, nahiling kong napano an Templo kan kamurawayan nin 
EZK.44.5	Nagtaram sako an 
EZK.44.6	“Sabihan mo an rebeldeng banwaan nin Israel na ako, an Kagurangnan 
EZK.44.7	Dinigtaan ninda an sakong Templo huli ta an bakong sirkomsisyonadong mga dayuhan, mga tawong dai nagsusunod sako, tinugotan nindang maglaog diyan, mantang idinodolot sako an taba saka an dugo kan mga hayop na isinakripisyo. Kaya an sakong tipan linapas kan sakong banwaan huli kan makauuyam na mga bagay na ginibo ninda. 
EZK.44.8	Dai ninda inataman an banal na mga bagay sa sakong Templo, asin an mga dayuhan pa an saindang pinaataman kaiyan.
EZK.44.9	“Ako, an Kagurangnan 
EZK.44.10	Nagtaram sako an 
EZK.44.11	Pwede sindang maglingkod sako sa Templo sa paagi nin pamamahala kan mga trangkahan asin nin paggibo kan mga trabaho sa laog kan Templo. Pwede sindang magbuno kan mga hayop na dolot kan mga tawo para sa tinutong na atang saka mga sakripisyo, asin sinda an maglilingkod sa tawo. 
EZK.44.12	Alagad huli ta sinda an namahala kan pagsamba kan mga Israelita sa mga dios-dios, asin sinda an nagdara sa mga tawo sa pagkakasala, ako, an Kagurangnan 
EZK.44.13	Dai sinda maglilingkod bilang mga padi ni makakarani sa arin man na bagay na banal para sako, ni makakalaog sa Kabanal-banaleng Lugar. Iyo ini an padusa para sa makauuyam na mga bagay na saindang ginibo. 
EZK.44.14	Gigibohon ko sana sindang mga katabang sa ibang mga trabaho sa Templo.”
EZK.44.15	Nagtaram an Kagurangnan 
EZK.44.16	Sinda sana an makakalaog sa Templo, malingkod sa sakong altar asin mamamahala sa pagsamba na gigibohon sa Templo. 
EZK.44.17	Kun maglaog sinda sa trangkahan pasiring sa patyong nasa laog, masulot sinda nin mga gubing na lino. Kaipuhan dai sinda maggamit nin anoman na gibo sa lana kun naglilingkod sinda sa patyong nasa laog o sa Templo. 
EZK.44.18	Tanganing dai sinda pagganoton, turban na lino saka pantalon na lino an gagamiton ninda, alagad dai sinda maggamit nin hagkos. 
EZK.44.19	Bago sinda magduman sa patyong nasa luwas, sa pinagtitiripon kan mga tawo, kaipuhan hubaon ninda an mga gubing na sulot ninda kan maglingkod sinda sa Templo, dangan iwalat ninda an mga iyan sa banal na mga kwarto. Kaipuhan ibang gubing an isulot ninda tanganing an mga tawo dai maano kan banal na mga gubing.
EZK.44.20	“An mga padi kaipuhan dai mag-aris kan saindang buhok sa payo, ni magpahalaba kaiyan; puputolon ninda iyan sa tamang laba. 
EZK.44.21	Dai sinda dapat mag-inom nin anoman na arak bago magduman sa patyong nasa laog. 
EZK.44.22	Dai sinda pwedeng mag-agom nin balo o nin babaeng sinuhayan nin agom. An pwede sana nindang agomon iyo an sarong birhen na Israelita o an balo nin kapwa padi.
EZK.44.23	“Itutukdo kan mga padi sa mga tawo an kalaenan kan anoman na banal sa bako, an kalaenan kan bagay na malinig sa maati. 
EZK.44.24	Kun igwa nin kaso an mga namamanwaan, sinda an magigin hukom asin huhukoman ninda an kaso sosog sa sakong mga togon. Kaipuhan kuyogon ninda an sakong mga togon saka mga pagboot manongod sa sakong mga talaan na pyesta, asin pakabanalon ninda an mga Sabbath.
EZK.44.25	“Kaipuhan dai ninda pagdigtaan an saindang sadiri huli kan pagduta sa bangkay nin sarong tawo, pwera sana kun saindang ama o ina, aki o tugang na lalaki o tugang na babae na dai pang agom an gadan. 
EZK.44.26	Pakatapos na malinigan niya giraray an nadigtaan niyang sadiri, kaipuhan maghalat siya nin pitong aldaw, 
EZK.44.27	dangan magduman siya sa patyong nasa laog kan Templo asin magdolot nin atang para sa saiyang kasalan. Ako, an Kagurangnan 
EZK.44.28	“An mga padi dai magkakaigwa nin kahirasan sa daga na itinao ko sa Israel. Ako an saindang kahirasan. Dai sinda tatawan nin anoman na pagsadiri sa Israel. Ako an saindang pagsadiri. 
EZK.44.29	An dolot na pagkakan, an dolot para sa kasalan, asin an dolot para sa kabayadan nin kasalan iyo an magigin kakanon kan mga padi, asin mapapasainda an gabos na idinolot sako nin Israel. 
EZK.44.30	Mapapasainda an pinakamarahay kan gabos na enot na ani, asin kan gabos na idinolot sako. Sa lambang paggibo nin tinapay kan mga tawo, itatao ninda sa mga padi an enot na naluto bilang atang, tanganing mag-abot sa saindang mga harong an sakuyang bendisyon. 
EZK.44.31	An mga padi kaipuhan na dai magkakan nin anoman na gamgam o hayop na nagadan sa natural na paagi, o ginadan nin ibang hayop.”
EZK.45.1	Kun bangaon na an daga dangan tawan na nin kahirasan an lambang tribu, sarong kabtang kaiyan an lalaenon para sa 
EZK.45.2	Sa kahirasan na iyan, kaipuhan igwa nin kabtang na may sukol na sesenta y dos mil kinyentos metros kwadrado para sa Templo, asin sa palibot kaini sarong kabtang para sa patyo na may sukol na beynte y singko metros an lakbang. 
EZK.45.3	An kabanga kan kabtang na ini susukolon nindo para sa Templo, an pinakabanal na lugar sa gabos: dose may kabangang kilometros an laba asin limang kilometros an lakbang. 
EZK.45.4	Iyan an banal na kabtang kan daga, na linaen para sa mga padi na naglilingkod sa 
EZK.45.5	An natatadang kabtang kan kahirasan na iyan iyo an magigin pagsadiri kan mga Levita, na nagtatrabaho sa Templo. Magkakaigwa diyan nin mga banwa na saindang eerokan.
EZK.45.6	Kataed kan lugar na linaen bilang banal na kahirasan, lalaenon pa an sarong lote na dose may kabangang kilometros an laba asin duwa may kabangang kilometros an lakbang. Ini an lugar na pwedeng pag-erokan kan mga Israelita.
EZK.45.7	Saro man na lote na kataed kan lugar na linaen bilang banal na kahirasan an lalaenon para sa prinsipe. An loteng ini mapoon sa pagdolonan sa solnopan kan dagang ini asin minasagkod sa Dagat nin Mediteraneo; dangan an pagdolonan sa sirangan masagkod sa Salog nin Jordan, kaya an laba kan loteng ini pareho kan laba nin sarong kahirasan na daga nin sarong tribu nin Israel. 
EZK.45.8	An loteng ini iyo an magigin kahirasan kan prinsipe nin Israel, tanganing dai na niya pag-apihon an mga tawo, kundi pababayaan na an ibang kabtang kan daga na masadirihan kan mga tribu nin Israel.
EZK.45.9	Nagtaram an Kagurangnan 
EZK.45.10	“Maggamit kamo nin mga timbangan saka mga sukol na mayo nin daya:
EZK.45.11	“An takadan na efa asin an takadan na bat kaipuhan pareho an sukol, na dapat katimbang kan ikasampolong parte kan homer. An homer iyo an basihan na sukol.
EZK.45.12	An takadan na siklo kaipuhan pareho sa beynteng gera. An limang siklo kaipuhan limang siklo mananggad, asin an sampolong siklo, sampolo mananggad. An sarong mina kaipuhan pareho sa sesentang siklo.
EZK.45.13	Iyo ini an saindong idodolot: sarong ikaanom na kabtang kan efa sa lambang homer nin trigo asin sebada; 
EZK.45.14	sa sarong kor nin lana nin oliba, sarong ikasampolong kabtang nin sarong bat (an sarong kor, arog kan homer sa timbang nin sampolong takadan nin bat). 
EZK.45.15	Sa karnero, saro an idolot nindo sa lambang dos syentos. Ini an saindong mga dolot na pagkakan, mga tinutong na atang asin dolot para sa katoninongan, tanganing patawadon an saindong mga kasalan. Ako, an Kagurangnan 
EZK.45.16	“An gabos na tawo sa daga kaipuhan magtao kan mga dolot na ini sa prinsipe nin Israel. 
EZK.45.17	Katongdan kan prinsipe na pagtao kan mga hayop na tututongon, kan mga dolot na pagkakan, saka kan dolot na inomon para sa bilog na nasyon nin Israel sa mga Pyesta kan Bagong Bulan, sa mga Sabbath, asin sa iba pang talaan na mga pyesta. Siya an matao kan mga dolot para sa kasalan, mga dolot na pagkakan, mga tinutong na atang saka an mga atang para sa katoninongan, tanganing mabayadan an mga kasalan kan banwaan nin Israel.”
EZK.45.18	Nagtaram an Kagurangnan 
EZK.45.19	An ibang dugo kan dolot na ini para sa kasalan kukuahon kan padi dangan ilalahid sa mga hamba kan pintoan kan Templo, sa apat na sungay kan altar, saka sa mga harigi kan trangkahan kan patyong nasa laog. 
EZK.45.20	Sa ikapitong aldaw kan bulan, ini man an gigibohon nindo para sa kiisay man na nagkasala na dai man tinutuyo o huli sa dai pakaaram. Sa paaging ini lilinigan nindo an Templo.
EZK.45.21	“Sa ikakatorseng aldaw kan enot na bulan, poonan nindo an pagselebrar kan Pyesta nin Paskwa. Sa laog nin pitong aldaw, an lambang saro makakan nin tinapay na mayo nin lebadura. 
EZK.45.22	Sa enot na aldaw kan pyesta, an prinsipe nin Israel madolot nin sarong torilyong baka bilang atang para sa saiyang mga kasalan asin para sa kasalan kan bilog na banwaan. 
EZK.45.23	Aroaldaw, sa laog kan pitong aldaw kan pyesta, madolot siya nin pitong torilyong baka saka pitong karnero na gabos mayo nin kaninan, bilang mga tinutong na atang para sa 
EZK.45.24	Para sa lambang baka asin para sa lambang karnerong isasakripisyo, madolot siya nin dyes y syete may kabangang litrong dolot na pagkakan, dangan tolong litrong lana nin oliba.
EZK.45.25	“Para sa Pyesta nin mga Harong-harong, mapoon sa ikakinseng aldaw kan ikapitong bulan, an prinsipe nin Israel madolot man nin parehong mga dolot para sa kasalan, mga tinutong na atang asin mga dolot na pagkakan saka lana nin oliba sa laog kan pitong aldaw nin pyesta.”
EZK.46.1	Ini an itinataram nin Kagurangnan 
EZK.46.2	Hale sa patyong nasa luwas, an prinsipe malaog sa dakulang kwarto sa may trangkahan, dangan matindog sa may harigi kan trangkahan, mantang an mga padi nagdodolot kan mga tinutong na atang saka mga atang para sa katoninongan. Duman siya sa may trangkahan masamba dangan maluwas; alagad an trangkahan dai seserahan sagkod magbanggi. 
EZK.46.3	Lambang Sabbath asin lambang Pyesta kan Bagong Bulan, an mga tawo kaipuhan magduko saka magsamba sa 
