MAT.1.1	Yesu Kristo gɔ nɖe Igara David ɔwa tɛtɛ, fiɛ David ɔ̃ wũ ɔɖe Abraham ɔwa ɔɣekparɛ i ngbe ne.
HEB.10.9	Fiɛ ɔɣɛ ana sɔ, “Nya me, loɔba lobara fɔ kuɖɔɛ.” Iki ne iso ne, Ɣaa ɔkpa ara ifɛ̃ kubarara ɖeakatɔ̃ ɔsɛ i kuruɛ fiɛ ɔsu Kristo ɔkpɛ ɔsɛ i ne kanya ne. 
HEB.10.10	Gɔ Yesu Kristo ɔbara nnɛ i Ɣaa ɔbie sɔ ɔbara ɔso ne, ɔsekelera bo ɔɖi i bo akpi ame ɔkpɛ ɔwɛ̃ i ɔwi ɔɖuɖu kanya.
HEB.10.11	Ma Yudase masɔrɛdze sɛ mabara ma isɔrɛ kubarara kuwɛ̃ saã gɔmɔ iyi biara, ɣɛɛ ma ara ifɛ̃ iisɛ iwo akpi ɔɖi ɔbɔrɛgu i maturi iso. 
HEB.10.12	Ɣɛɛ Kristo ɔba ɔ̃abara kaɣɔra ga loyi i akpi iti itã ɔwi biara, gɔ ɔro ne, ɔsɛ ɔ̃asɛ i Ɣaa kuɖearɔ̃ iso. 
HEB.10.13	Fiɛ ita i ɔwi gɔmɔ ne, ɔsi ɔsia ɔwi gɔ i Ɣaa aasu ɔ̃ matsirise ɔpia i ɔ̃ ngba kayirinɔ. 
HEB.10.14	Alasɔ iki i ɔkpɛ ɔwɛ̃ gɔ ɔsu so ɔsɔrɛ ne, ɔ̃ɔbara mma akpi maɔsu matsɛ sɔ mayi ɔwi ɔɖuɖu.
HEB.10.15	Siwarã Bielea ana ɔɣere bo sɔ Bosate ɔɣɛ sɔ,
HEB.10.16	“Kanya ɣɛtɛ ga i mme Ɣaa loanyigu ma
HEB.10.16	i ɔwi gɔ loaba ame ne,
HEB.10.16	loasu wũ mmara lopia i ma situ ame.
HEB.10.16	Fiɛ loatsɛrɛ losia i ma adzuni ame.”
HEB.10.17	Fiɛ ɔɣɛ ana sɔ,
HEB.10.17	“Loisibanyigi ma akpi gu ma aɣɛrɛ.”
HEB.10.18	Si Ɣaa ɔɔsu ara wagbe ɔtsɛ ne, iisinya sɔ maabara akpi kasukatsɛ kubarara.
HEB.10.19	Ne ɔso ne, wũ manyii, ka boba ɔri sɔ boabo i Kasekelekɔ̃ ame Kasekelekɔ̃ iki i Kristo ima nɛ ɔfere i karɔ̃ ame. 
HEB.10.20	Ala ɔsu ɔ̃ siturina dzɛ nɖe lɛ ɔkati gɔ loɣɛ ikpayo ame ɔɖi ngbã ɔri ɣɛtɛ ɔtã bo. 
HEB.10.21	Ne ɔso gɔ boba sɔrɛdzekpakpa pelepele siare i Ɣaa isɔrɛyo ɔso ne, 
HEB.10.22	mitã bobore bobo Ɣaa ku ɔtu gɔ nsɛ ɔɣɛ ɔnukuare, kafɔkaɖe ga nɣɛ i ngba iso teteree gu ɔtu gɔ kaɣere nyanyarĩa maɔfore gu sosina dzɛ mapie ndu sekelee. 
HEB.10.23	Mitã boya teteree i bo ɔriinyɔ nɛ itɔ̃me boto boɣɛ ame, alasɔ ngɔ lotã bo kaɣɛkasɛ ne, ɔnukuarese ɔɖe. 
HEB.10.24	Mitã bo malaa ara si aɖo bo kayiri si bopia ma ɔle i kuɖɔɛ ame i ara sɛɛ ibara ame. 
HEB.10.25	Midaatã bosɛ̃ bo kasarɛkɔ̃ isɛ lɛ kumɛgɔ i mawɛ̃ sɛ mabara. Ɣɛɛ mitã bopia so katetere bobua gɔ boɣe sɔ Bosate ɔbawi ɔɔpɛtɛpɛtɛ.
HEB.10.26	Alasɔ si ka boɣe ɔnukuare boro fiɛ bokpese boto bobara ikpi ne, ara ifɛ̃ kuiwɛ̃ siina i akpi iti. 
HEB.10.27	Ɣɛɛ nnɛ loɔkuti nɖe sɔ boawe i ifɔ̃ ame bosia atɔ̃me iɣɛgu gu itɔkpe siare nɛ loatsuedza mma lota maɣɛ Ɣaa iso. 
HEB.10.28	Ɔbiara gɔ lota ɔya Mose mmara iso ne, maisɛ manyɔ wũ nnya, masɛ maɖoe wũ si maɣɛgu wũ atɔ̃me fiɛ maturi inyɔ ɣee itɛ ɔɖe aɖansiɛ sɔ ɔbara ira lalaa.
HEB.10.29	Be maabara mma lonyɔ Ɣaa Ɔbi pupurii, fiɛ mainyɔ ɔ̃ ima nɛ nɖe Ɣaa kanya inyi nɛ losekelera ma ibɔrɛgu i akpi ame lɛ ira nɛ lofɔ kuɣa? Masɛ masopara nnyainyɔ Siwarã ana. Makote matã kutsue ikpadzɛ̃ siare nɛ lobua imɔ. 
HEB.10.30	Alasɔ boɣe ngɔ loɣɛ sɔ, “Loakpadzɛ̃ mma lobara ikpi kutsue fiɛ loabara ma loti kuso.” Ɔɣɛ ana sɔ, “Bosate to ɔ̃aɣɛgu ɔ̃ maturi atɔ̃me.” 
HEB.10.31	Ifɔ̃ra iɖe sɔ ɔturi aabo i Ɣaa gɔ mba ngbã sikpã ame.
HEB.10.32	Midaaɣara inyɛwe gbodzoo nɛ ɔɖuɖu ame miki ku ɔwi gɔ mitsue Ɣaa kere. 
HEB.10.33	Ɔwi ɔmɔi ne, matia mi i maturi ndɛ̃ fiɛ mimɔrɛ̃ ana. Ɔwi ɔmɔi ana ne, masɛ maka mi mabua i mma mato mabara ɔtile iso. 
HEB.10.34	Miwe kayiribielea i mayorɛdze iso fiɛ atoa sɔ mafɔ mi mi karana iso ne, minyua mitã ma miikpɛ̃gu ma. Alasɔ mi mɔmɔ ɣe sɔ karana ga nlɛ kaɖo ngamɔ fiɛ kaibanina se katã mi.
HEB.10.35	Ne ɔso midaatã nrɔɔ̃ si mifɛ̃ mi gɔ miɣe sɔ kuso siare se kusia mi. 
HEB.10.36	Ikote sɔ miana ɔtu sɔ miawo Ɣaa kuɖɔɛ ɔbara fiɛ miafɔ nnɛ ɔɣɛ ɔsɛ. 
HEB.10.37	Alasɔ Ɔko Sekelea ɔɣɛ sɔ,
HEB.10.37	“Ikuti kɛkɛĩ fiɛ ngɔ loaba aaba, ɔ̃isibanina ɔwi.
HEB.10.38	Ngɔ nse bɔlɔlɔ to ɔ̃asɛ i kafɔkaɖe ame.
HEB.10.38	Ɣɛɛ si ɔkpese kama ne,
HEB.10.38	So iibaɣɔ me i ɔ̃ iso.”
HEB.10.39	Bo ɣɛɛ ne, bona i mma nsɛ makpese kama fiɛ masɛ mawɔ ndɛ̃, ɣɛɛ mma lofɔ maɖe fiɛ masi ngbã ndɛ̃ bopia.
HEB.11.1	Kafɔkaɖe nɖe anɔ isu isia i ira nɛ ato anyɔ ɔri iso teteree, fiɛ aasu fɔ ɔtu asia i ira nɛ aito anya, ɣɛɛ aɣe sɔ ipia iso. 
HEB.11.2	Iki i kafɔkaɖe ame i makuere ɔbo Ɣaa anɔ.
HEB.11.3	Iki i kafɔkaɖe ame bofɔ boɖe sɔ Ɣaa ne, ɔ̃ itɔ̃me iɖe ɔsu ɔbara kayi. Ne ɔso ɔsu nnɛ boisɛ bonya ala anɔ ɔbara nnɛ bosɛ bonya.
HEB.11.4	Iki i kafɔkaɖe ame i Abel ɔfɛ̃ ara sɛɛ wa lobo Ɣaa anɔ aɖo Kain are. Iki i ne iso ne, Ɣaa ɔnyɔ wũ sɔ ɔɖe ɔturi bɔlɔlɔa. I kafɔkaɖe ame ne, atoa sɔ Abel ɔɔkpi ne, ɔ̃ kafɔkaɖe togu bo ika iɖe iki i ɔ̃ kurabarara ame.
HEB.11.5	Iki i kafɔkaɖe ame i Ɣaa ɔsu Enok nyɔa ɔkɛlɛgu kato sɔ ɔ̃ikpi. Maisinya wũ ala Ɣaa ɔsu wũ ɔruigu. Si ɔ̃akɛlɛ kato ne, maɣɛ i ɔ̃ iso sɔ ɔbo Ɣaa anɔ. 
HEB.11.6	Si ɔturi na kafɔkaɖe ne, ɔ̃ibawo Ɣaa anɔ ɔbo alasɔ si aaba Ɣaa kɔrɛ ne, ikote sɔ aafɔ aɖe sɔ ɔpia, fiɛ ɔbiara gɔ nsɛ ɔnyɔnyɔ wũ dzinitii sɛ ɔnya wũ.
HEB.11.7	Iki i kafɔkaɖe ame ne, Noa ɔkã Ɣaa atsue gɔ ɔɣere wũ sɔ nnɛ i ɔturi kuwɛ̃ iinya ɔnya to iaba. Ɔwe aɖaka ɔkolo gɔ ame i ɔ̃ gu ɔ̃ iyo maturi ɔna iɖi. Iki i nnɛgbe ame ne, ɔtã kayiiso maturi ipɔ fiɛ ɔfɔ kaɖekɔ̃ ga nse katã maturi sekelea ma lofɔ maɖe.
HEB.11.8	Iki i kafɔkaɖe ame i Abraham ɔkã atsue gɔ Ɣaa ɔkpere wũ sɔ ɔkɛlɛ karɔ̃ ga ɔ̃atã wũ lɛ ɔ̃ kaɖekɔ̃ iso. Ɔkã Ɣaa atsue atoa sɔ ɔ̃iɣe ngbegɔ sɔ ɔkɛlɛ. 
HEB.11.9	Iki i kafɔkaɖe ame ne, Abraham ɔwe i karɔ̃ ga i Ɣaa ɔɣɛ ɔsɛ sɔ ɔ̃asu ɔtã wũ iso lɛ ɔfɔ awe. Ɔsɛ i akpayo ame lɛ Isak gu Yakob ɔsɛ i akpayo ame atoa sɔ karɔ̃ ga iso masi ne, Ɣaa ɔɣɛ ɔsɛ sɔ ɔ̃asu ɔtã ma. 
HEB.11.10	Abraham ɔbara ngbɔ alasɔ ɔto ɔnyɔ ɔri ɔtã ɔmagɛ̃ siare gɔ i Ɣaa mɔmɔ loɖaɛ fiɛ ɔ̃ kubereku gɔ mapia i karɔ̃ ame ba ɔle.
HEB.11.11	Iki i kafɔkaɖe ame ne, atoa sɔ Sara ɔɔbe ɔfe ɔbi iɣe ne, ɔna ɔle ɔla kayiri alasɔ ɔfɔ Ɣaa gɔ lokã ndamu ɔtã wũ sɔ ɔɖe ngɔ nsɛ ɔbara i nnɛ ɔɣɛ iso. 
HEB.11.12	Ne ɔso iki i Abraham ɔnɔwɛ̃ gɔ loɔbe iso ne, ɔɣekparɛ gɔ losi ɔgɔdɛ̃. Masi lɛ awami i kuɖokpo ɣee ɔpo ame iwarĩ nɛ maibawo ɔka.
HEB.11.13	Iki i kafɔkaɖe ame i magbe ɔɖuɖu ɔsɛ ngbã gbɔgbɔɔgbɔ ɔwi gɔ makpi, maifɔ ara wa i Ɣaa ɔɣɛ ɔsɛ sɔ ɔ̃atã ma. Manya wã dzoroo fiɛ matofora wã. Matɔrã masia sɔ mafɔ gu marisɛdze maɖe i kayi gagbe ame. 
HEB.11.14	Fiɛ maturi ma nto maɣɛ ara wagbe ne, maɔte sekelee sɔ ma mɔmɔ karɔ̃ mato mabie. 
HEB.11.15	Si karɔ̃ ga iso i Ɣaa ɔkpere ma ɔruigu mato mabie ne, tee maba ɔri sɔ maakpese makɛlɛ mmɔ. 
HEB.11.16	Ɣɛɛ lɛ kumɛgɔ ise ne, mato mabie ma mɔmɔ aɖe karɔ̃ ga nlɛ kaɖo nga iso mase. Karɔ̃ ga mato mabie nɖe Kato. Ne ɔso iisɛ ikpɛ̃ Ɣaa kunuarɛ sɔ ɔ̃ɔɖe mmagbe Ɣaa, alasɔ ɔto ɔledza ɔmagɛ̃ siare gɔ nlɛ ɔɖo ɔsɛ ma.
HEB.11.17	Iki i kafɔkaɖe ame ne, Abraham ɔsu ɔ̃ ɔbi Isak ɔtã gɔ Ɣaa ɔla wũ ɔnyɔ. Atoa sɔ ɔbi gɔ i Ɣaa ɔɣɛ ɔsɛ sɔ ɔ̃atã wũ ɔɖe ne, ɔtɔrã sɔ ɔ̃asu ɔ̃ ɔbi birɛrɛĩ ɔwɛ̃ saã ɔfɛ̃ ara ɔtã Ɣaa. 
HEB.11.18	Ɣɛɛ Ɣaa ɔɔɣɛ i Ɔko Sekelea ame ɔɖegu katɔ̃ i Isak iso sɔ, “Isak mabi ame maaka-ɔ mawa.” 
HEB.11.19	Abraham ɔfɔ ɔɖe sɔ Ɣaa to ɔ̃awo Isak ɔtara ɔɖi i makpise kɔra ame, fiɛ gbaã ne, ɔfɔ wũ lɛ ngɔ lota ɔbɔrɛ i makpise ame.
HEB.11.20	Iki kafɔkaɖe ame i Isak ɔtã Yakob gu Esau kusɛkusɛ i nnɛ maaba maakpese iso.
HEB.11.21	Iki i kafɔkaɖe ame ne, gɔ Yakob ɔɔro ɔkpi ne, ɔtã Yosef mabi birɛrɛĩ kusɛkusɛ. Ɔpiɛtɛ i ɔ̃ ɔsɛdziri iso ɔbɔ iti karɔ̃ ɔle Ɣaa.
HEB.11.22	Iki i kafɔkaɖe ame ne, gɔ Yosef ɔkpiwi ɔɔɣo ne, ɔɖe ika ɔɣere Israel mabi i ma irui i Egipte iso fiɛ ɔɣere ma kumɛgɔ maabiara wũ ana.
HEB.11.23	Iki i kafɔkaɖe ame i Mose maɣese ɔkɔla wũ awa atɛ i kuɖokpo ku ɔwi gɔ maɣe wũ. Manya sɔ ɔbi ɔre situri fiɛ mainigã Egipte igarakpakpa mmara mɛ ɔtã.
HEB.11.24	Iki i kafɔkaɖe ame gɔ Mose ɔmɔ ne, ɔsɛ̃ sɔ madaarɔ wũ sɔ Egipte igarakpakpa ɔbirɔ̃gomi ɔbi. 
HEB.11.25	Ɔtɔrã sɔ ɔ̃awe inyɛ ku Ɣaa maturi ɔɖo sɔ ɔ̃anagu makpibaradze isoɣɔ ɔwi kurukutu. 
HEB.11.26	Mose ɔnyɔ sɔ kunuarɛ gɔ maapia wũ i Kristo iti ɔfɔ kuɣa kuɖo karana ga mpia i Egipte alasɔ ɔnyɔ kuso gɔ ɔto ɔba ɔ̃afɔ ɔsese. 
HEB.11.27	Kafɔkaɖe ame ɔrui i Egipte fiɛ ɔ̃inigã igara sikpã alasɔ ɔfɔ Ɣaa gɔ ɔ̃ito ɔnya ɔɖe teteree lɛ ɔnya ɔto wũ awe. 
HEB.11.28	Iki i kafɔkaɖe ame i Mose ɔsɛ Kukpi Ɔtakuwara Bo Iyi. Ɔtã Israel mabi ɔsu ima manukutu i ma ayo akui iso sɔ Kukpi Kpabo gɔ loawɔra Egipte abiete si ɔdaabara ma ikpi kuiwɛ̃.
HEB.11.29	Iki i kafɔkaɖe ame i Israel mabi ɔsɛ mawara Ɔpo Rɛtɛa lɛ karɔ̃ korea iso masɛ, ɣɛɛ gɔ Egipte maturi ma ntere masiai ma ɔbo i ɔpo ame ne, mawã ndu makpi. 
HEB.11.30	Iki i kafɔkaɖe ame i ibere nɛ matsue maki malɔ Yeriko ɔbiɛ gɔ Israel mabi ɔsɛ maki malɔ ne akpɛnɛ akɔdzɛ.
HEB.11.31	Iki i kafɔkaɖe ame fiɛ maiɖoe Rahab gɔ nɖe asɔrɔ̃ɖedze ku ɔwi gɔ maɖoe mma loifɔ Ɣaa maɖe alasɔ ɔfɔ marɛrɛ̃ ma losɛ maala karɔ̃ manyɔ kukaakɔ.
HEB.11.32	Be loakpese loɣɛ ana? Alasɔ ɔwi na gɔ loaɖe ika i Gideon gu Barak gu Samson gu Yefta gu David gu Samuel gu Ɣaa kanyamaɖidze iso. 
HEB.11.33	Iki i kafɔkaɖe ame i mmagbe mawɛ̃ ɔkpɛ̃gu sigarakuɖekɔ̃ kuwɛ̃ maɖe ma iso, ma mawɛ̃ ɔɣɛ atɔ̃me i ɔri iso, mawɛ̃ ɔfɔ ara wa maɣɛ masɛ matã ma, fiɛ mawɛ̃ ana ɔsɛ̃ ma dzata nnya. 
HEB.11.34	Iki i kafɔkaɖe ame ne, mawɛ̃ ɔnidza itɔkpe nɛ nto itsue ku ɔle, kã ame lotã sɔ maiɖoe mawɛ̃ i kakpã ame ne. Kafɔkaɖe lotã mawɛ̃ ma nse nyɔkɔ̃tɔɔ̃ ɔkpese mma mba ɔle fiɛ katã mawɛ̃ ana ɔbara kagbegbe i kakpã ame. Kã ame losamarã makpakpɛ̃dze mama ne. 
HEB.11.35	Kafɔkaɖe lotã matara marɔ̃go ma manyii lokpi matã ma. Mawɛ̃ ana ɔtɔrã sɔ maawe inyɛ makpi ne maibasɛ̃ Ɣaa, si maata mabɔrɛ i makpise ame masɛ ngbã mɛ nlɛ miɖo mmɛgbe.
HEB.11.36	Mabara mawɛ̃ aɣiãra, mapɛ mawɛ̃, mapia mawɛ̃ kugbagɔrɔĩ fiɛ marara ma iyo. 
HEB.11.37	Mapɛ mawɛ̃ ata, fiɛ makɛ mawɛ̃ ana ala saa. Maɖoe mawɛ̃ ala ipɛmi, mawɛ̃ ɔkpese mawɛrɛba ma lowe i imɔrɛ̃ ame fiɛ mawe i masɛrɛrerɔ̃ gu kutepuĩ siko ame, maturi ɔte ma ɔɣiã. 
HEB.11.38	Ma sibiele ɔso ne, maina kasɛkɔ̃ i kayiiso maturi ndɛ̃, ne ɔso mawe maki i fafuĩ ame gu abe iso gu sikpolo gu awo ame i karɔ̃ ame.
HEB.11.39	Atoa sɔ mmagbe ɔɖuɖu kafɔkaɖe ɔɖe aɖansiɛ sɛɛ i ma iso ne, maifɔ nnɛ i Ɣaa ɔɣɛ ɔsɛ i ma iso. 
HEB.11.40	Alasɔ Ɣaa ɔledza ira sɛɛ iwɛ̃ nɛ nlɛ iɖo ɔsɛ bo, ne ɔso si boiba boabua i ma iso ne, ɔ̃ibabara ma mayi pɔpɔɔpɔ.
HEB.12.1	Ne ɔso gɔ boba maturi gbodzoo magbe fiɛ maki malɔ bo lɛ idɔdɔ mato mapia bo ɔle ɔso ne, mitã boɖi ɔri itɛ̃ra biara titirio ikpi nɛ nsɛ iɖaa bo iɖo sɔ boawo anɔ ɔkarã ɔtere ise nɛ nse bo i katɔ̃ ku ɔdzini. 
HEB.12.2	Mitã bo anɔ si asia i Yesu iso ala ɔ̃ losɛ bo kafɔkaɖe ɔri karɔ̃ fiɛ ɔ̃ ame lowiri ne. Ɔya teteree i kunuarɛ kukpi gɔ ɔkpi ame gɔ mapɛ wũ mamatãra i kudziri iso ala ɔɣe isoɣɔ nɛ nse wũ i katɔ̃ fiɛ kiniɔ ne, ka ɔsi i Ɣaa kuɖearɔ̃ iso.
HEB.12.3	Nrɔɔ̃ iibafɛ̃ mi si misu mi adzuni misia i Yesu iso. Ngɔ i atoa sɔ makpibaradze ɔtia ne, iiɖaa wũ. 
HEB.12.4	Atoa sɔ mito mikpɛ̃gu ikpi kɔra ne, iibo ngbegɔ ianya sɔ miafere mi ima i karɔ̃. 
HEB.12.5	Miɔɣara katetere ipia itɔ̃me nɛ ame makpere bo sɔ Ɣaa mabi? Ne nɖe sɔ,
HEB.12.5	“Wũ ɔbi, daanyɔ Ɣaa ikpadzɛ̃ pupurii.
HEB.12.5	Fiɛ si ɔnyagalagu-ɔ ne, nrɔɔ̃ si midaafɛfɛ̃-ɔ.
HEB.12.6	Alasɔ ngɔ i Ɣaa to ɔɖɔɛ ne, ɔ̃ ɔsɛ ɔkpadzɛ̃ i ɔri iso ne.
HEB.12.6	Fiɛ ɔbiara gɔ ɔfɔ lɛ ɔ̃ ɔbi awe ne, ɔ̃ ɔsɛ ɔkpadzɛ̃ kutsue ne.”
HEB.12.7	Si mato makpadzɛ̃ mi ne, mina ɔtu alasɔ Ɣaa ne, ɔkpadzɛ̃ ɔto mi lɛ mabi awe. Bɛrɛ mme ɔbi mpia sɔ ɔ̃ ɔse iisɛ ɔkpadzɛ̃ wũ? 
HEB.12.8	Si makpadzɛ̃ ɔbiara ɣɛɛ mi maikpadzɛ̃ mi ne, ite sɔ ɔmagɛ̃ ame mabi miɖe ne miiɖe mabi mɔmɔ. 
HEB.12.9	Ne kama ana ne, boba maɣese i kayiiso ma nsɛ mate bo ara, ɣɛɛ bosɛ bowarɛ ma. Iyɔ boibabɔ so karɔ̃ botã ngɔ nɖe bo siwarã ame Ɔse fiɛ boasɛ ngbã? 
HEB.12.10	Bo mase sɛ makpadzɛ̃ bo ɔwi kurukutu gɔ lokote ma ame. Ɣɛɛ Ɣaa sɛ ɔkpadzɛ̃ bo sɔ si ialɛgu bo fiɛ boase sekelee lɛ ɔ̃. 
HEB.12.11	Ɔnukuare iɖe sɔ si ato akpadzɛ̃ ɔturi kiniɔ ne, iisɛ iwe wũ ɔmɛrɛ̃, ɣɛɛ isɛ ibo wũ. Ɣɛɛ kama ne, ikpadzɛ̃ nɛgbe sɛ itã sɔ ɔ̃abara ara sɛɛ, ɔsɛ ngbã i isobuɛ ame.
HEB.12.12	Ne ɔso mi nrɔɔ̃ mɛ loɔfɛfɛ̃ gu agɛgɛ̃ wa lobara nyɔkɔ̃tɔɔ̃ ne, mipia wã ɔle. 
HEB.12.13	Mikpɛ̃ siri ɖɛkpɛrɛɛ mitã so si mabafã sinyɛ iibanyagɛ̃ ma, ɣɛɛ maana isosarɛ.
HEB.12.14	Mikpɛ̃ sɔ isobuɛ aawe i mi gu ɔbiara ndɛ̃. Mipia kubɛ sɔ miase sekelee alasɔ ngɔ loisekele iibanya Bosate. 
HEB.12.15	Minyɔ sɔ ɔbiara aana Ɣaa abualɛra. Inyaare ana ne, minyɔ kukaakɔ sɔ kaɖo kukawɛ̃ iibawe i mi ame nɛ loapukutura maturi gbodzoo. 
HEB.12.16	Mi kuwɛ̃ si ɔdaakpese asɔrɔ̃ɖedze ɣee ngɔ nɖe tsuelese lɛ Esau awe. Ɔsu ɔ̃ siɣekpakpa ɔɣa aɖera iɖe iwɛ̃ saã. 
HEB.12.17	Lɛ kumɛgɔ miɣe ne, kama ne, ɔbie teteree sɔ matã wũ kusɛkusɛ lɛ ɔbikpakpa fiɛ ɔbiɛ kaku teteree, ɣɛɛ maitã wũ kusɛkusɛ alasɔ nnɛ i ɔ̃ mɔmɔ ɔbara ne, ɔ̃isibawo ɔfinikira.
HEB.12.18	Alasɔ iiɖe Sinai kube gɔ i ɔturi aawo ɔpɛgu ɔnyɔ kɔrɛ iɖe miba. Kayi ɔsɛ̃ kpirikpirikpiri ibara guduu, awɛ to akpɛ̃ fiɛ ɔtɔ to ɔtsue. 
HEB.12.19	Kadadã to kakparɛ̃ fiɛ silɔ dzɛ nto siɖe ika ana to sibɔrɛ. Mma lonɔ ara wagbe ɔtã iti sɔ maisito mabie sɔ manɔ kuira mabua. 
HEB.12.20	Alasɔ maibawo mmara mɛ matã ma iso ɔɖe sɔ, “Si bidɛ bɔi lopɛgu kube ne, maapɛ wũ ata maɖoe.” 
HEB.12.21	Ara wa manya ɔkpɛ̃ ma ifɔ̃ itã sɔ Mose ɔɣɛ sɔ, “Ifɔ̃ to me nto loti lokpakpa!”
HEB.12.22	Ɣɛɛ mi ne, Zion kube kɔrɛ iɖe miba. Ɣaa gɔ mba ngbã ɔmagɛ̃, Yerusalem gɔ nɖe kato ɔre gu Ɣaa makpabo ma losakanya fiɛ maibawo ma ɔka kɔrɛ mipia. 
HEB.12.23	Mi ne, miba Ɣaa mabi ɖeakatɔ̃ ma ayere matsɛrɛ mapia i kato mafɔɖedze ikuri nɛ losarɛ kɔrɛ. Mipia i Ɣaa gɔ nɖe maturi ɔɖuɖu atɔ̃meɣɛdze gu maturi sɛɛ ma siwarã maɔfere sekelee anɔmi ame. 
HEB.12.24	Mmɔ ne, Yesu gɔ nɖe kanya inyi ɣɛtɛ kpuradze ana pia. Ana ne, ɔ̃ ima nɛ ɔfere i karɔ̃ fiɛ ito iɣɛ ara sɛɛ iɖo Abel ire pia i mmɔ.
HEB.12.25	Minyɔ kukaakɔ sɔ miibasɛ̃ ngɔ nto ɔka mi. Ala si maiwo ɔtere i ngɔ loka ma i karɔ̃ iso ngbe kutsue ikpadzɛ̃ kanya ne, nda boabara fiɛ boatere i ngɔ nto ɔka bo ɔbɔrɛgu i kato kutsue ikpadzɛ̃ kanya? 
HEB.12.26	Ɔwi gɔmɔ ame ne, ɔ̃ silɔ ɔtidza kayiiso, ɣɛɛ kiniɔ ne, ɔ̃ɔkã ndamu sɔ, “Nto loba loaledza karɔ̃ itidza ɔkpɛ ɔwɛ̃ ana, kiniɔ ne, iisiɖe kayiiso kere loatidza, ɣɛɛ ta kuɖokpo.” 
HEB.12.27	Sɔ “Loaledza itidza ɔkpɛ ɔwɛ̃ ana” ɔte sɔ ara wa loawɔ loati, Ɣaa to ɔ̃amɔɛ̃ wã ɔɖi ikuti nwa loiti gɔ ɔtidza kayi.
HEB.12.28	Ne ɔso mitã bopɛ Ɣaa siba sɔ boba sigarakaɖekɔ̃ ga loibati. Mitã bosu kuwarɛ gu kunigã bosɔrɛ wũ si boabo wũ anɔ. 
HEB.12.29	Alasɔ bo Ɣaa ne, ɔtɔ gɔ nsɛ ɔtsuedza ara pelepele ɔɖe.
HEB.13.1	Mitã sinyii kuɖɔɛ si kuyi mi ame ɔwi biara lɛ mafɔɖedze. 
HEB.13.2	Midaasɛ̃ mafɔ ifɔ ala iki i ne iso ne, maturi ɔfɔ Ɣaa makpabo lɛ mafɔ gɔ ma mɔmɔ iiɣe. 
HEB.13.3	Minyigi mma nrɛ i iyo lɛ mi wũ ne, mayorɛdze miɖe gu mma mato mate ɔɣĩa lɛ mi gu ma ne, siturina siwɛ̃ siɖe mi.
HEB.13.4	Mipia kuwarɛ i kuyiri iso si mma nyiri so si maɖe ɔnukuare matã so ala Ɣaa to ɔ̃aɣɛgu masɔrɔ̃ɖedze gu mma nsɛ mafe ma marã ɣee ma mare kama atɔ̃me. 
HEB.13.5	Miɖi sikã kanɔbɛbɛ biara i mi ngbã ame si nnɛ miba si ibo mi anɔ alasɔ Ɣaa ɔɣɛ sɔ,
HEB.13.5	“Loibanyua-ɔ losɛ,
HEB.13.5	ɣee loɖi-ɔ atsue kuiyikuiyi.”
HEB.13.6	Ne ɔso boawo ɔɣɛ ku katetere sɔ,
HEB.13.6	“Bosate nɖe wũ buaidze, ne ɔso loibanigã.
HEB.13.6	Be i ɔturi awune aawo me ɔbara?”
HEB.13.7	Minyigi mi matɔ̃ɖedze ma loba maaɖe katɔ̃ maɣere mi Ɣaa itɔ̃me si minyɔ kumɛgɔ masɛ ngbã. Minyɔ ma Ɣaa kafɔkaɖe si misore ma. 
HEB.13.8	Yesu Kristo iisɛ ɔfiniki. Ɔ̃ gɔ ame lowe ku kɔmakaɖe ne, ɔ̃ ame mpia nɔme fiɛ ɔ̃awe ɔwi biara ne.
HEB.13.9	Midaatã ara ite agbãagbã wa nna karɔ̃ si akɔ mi ayura. Ɣaa pɛ nsɛ ɔbualɛ bo ɔtã bo siwarã ame ɔle, ne iiɖe araɖea itsiri mmara mɛ loibabuai bo fiɛ miisɛ mibuai mma nsɛ mabara i mɛ iso.
HEB.13.10	Boba isɔrɛkasege ga iso boawo aɖera ɔɖe, ɣɛɛ ma Yudase masɔrɛdze ma nsɛ mabara karabara i ma kasɔrɛkɔ̃ na ɔri sɔ maaɖe kã iso ara.
HEB.13.11	Ma Yudase masɔrɛdze ɔkpakpa pelepele sɛ ɔsu bɔi ima ɔkɛlɛgu Kasekelekɔ̃ ame Kasekelekɔ̃ lɛ nnɛ mato masu masɔrɛ i maturi akpi iti awe, ɣɛɛ masɛ matsuedza bɔi mɔmɔ i kabenya. 
HEB.13.12	Ngbɔ ame i Yesu ɔɖe ɔɣiã i kabenya si ɔsu ɔ̃ mɔmɔ ima ɔsekelera maturi ɔbɔrɛgu i ma akpi ame ne.
HEB.13.13	Ne ɔso bo wũ mitã bokɛlɛ ɔ̃ kɔrɛ i kabenya si mapia bo kunuarɛ lɛ kumɛgɔ mapia wũ kunuarɛ faa. 
HEB.13.14	Alasɔ bona ɔmagɛ̃ kuwɛ̃ i kayi gagbe iso gɔ ɔ̃ase ɔtã bo ɔwi biara, ɣɛɛ ɔmagɛ̃ gɔ nto ɔba boto bobie.
