MAT.1.1	Arepa Abraham Chha, ngale Devit Chha, Jisu Krista te awa heh nginkong.
HEB.10.30	Nãngma ajet arepa henma ngatah a erepa, “Phuh pa Ngama elit ang, Ngama engakthum ang” ngale atema arohmin ngatwah, “Teso ma ate mihnyan heh achhih asen pa eren a.” 
HEB.10.31	Ahîn Joban deknâng chathok pa chentô cheili thôan dângmin a!
HEB.10.32	Thonghuntan en, amako nedemnâng chenroh dangtah a. Ere sanpoatko, Joban wenpa nekhoh nâng phiakkat diko, nema ajahthem chêmchei chohtet, rohkomin, nea ere chêmchei pumma tajienho. 
HEB.10.33	Nea poattheko nok atang heh mathahko thãjõ lembe hôanjôan then, ngale ahan sanpoat nâng nemin nerãngrãng chêmte mihnyan heh demnâng johchêmrãng huntet. 
HEB.10.34	Nema phâtek nâng khhekritte mihnyan hehnângmin mînchen letma chohsûtet, ngale chenthu ne chhahkhem heh nyenthenko, hung leke dangtet, chenrãngma ngako, nema roantang roangjêng rãng lechhihli, ngale newah nyenthen chhahkhem noma abâmbâm asenli chenni komin choheki ngama jet eken. 
HEB.10.35	Erohwah nehung nekchha en, chenrãngma ngako, erepumma nenâng nyahrãng thãchaan khope pa ekephukoh hèn. 
HEB.10.36	Joban hung junko jienmoatrãng ngale Joban ma toamsem tahpa tâchohrãng nea hungmôngmông dangletma tôngmin. 
HEB.10.37	Chenrãngma ngako, Joban nyapraangma ngaeka,
HEB.10.37	“Chuthe diko,
HEB.10.37	hen katte a erepa ekara;
HEB.10.37	ngale atea lelektong thangma ekara.
HEB.10.38	Rohkomin, Nga demnâng toangtang danglahma tôngte mihnyan heh, putedâlem nungma ehin ejowak a;
HEB.10.38	phumma hen komin Nga tâwah mengak chhoan ako,
HEB.10.38	Nga thin demnâng hung lesenmin.”
HEB.10.39	Nãnga Joban tâwah ngakchhoan lahma mahritte mihnyan heh dangmih. Erenoma, nãnga Joban nâng putedâlem lihma khopete mihnyan.
HEB.11.1	Putedâlem pa nãngma metkep chohmin ngama dâlem ekiko ngaeki, ngale ere putedâlem pa nãng mitma lekheko metkep echoh e ngama dâlem ekiko ngaeka. 
HEB.11.2	Tewa rôanpã wah mihnyan hehnâng thinwah putedâlem junko Joban ma sênchohwah.
HEB.11.3	Nãngma Putedâlem junko are hahtokkhoh pa Joban Jabkhab ma hôanwah ngama jeteka, erohwah nãng mitma chenni khe ekia ere chhahkhem heh mitma lejien khethinwah hôanwah.
HEB.11.4	Putedâlem junma Joban nâng Abel ma Ken noma asen joapsoap wah. Ngale ate putedâlem junma Joban ma atenâng toangtang ngatwah, chenrãngma ngako, atema Joban nâng hînhô kohtah pa Joban ma asen ngatwah. Atea riichoan medang akomin, ate putedâlem junma Abel ma athâng hehmin jabeka.
HEB.11.5	Putedâlem junma Inok lerii thangma dângwah. Ngale atea Joban tânâng tôansietwên lahma henmemin ate chohkheho, chenrãngma ngako, atea Joban ma rangkhethung nâng tôansietwên wah. Joban nyapraangma ngaeka, Inok rangkhethung nâng tôansietwên mako, atema Joban rinmê thukwah. 
HEB.11.6	Henmemin putedâlem aho thangma Joban rin leta methukmin, chenrãngma ngako, henhen Joban tânâng hûeka erehehma Joban pa tonga, ngale ate lêmte hehnâng Joban ma thã kohmin ngama putedâlem min.
HEB.11.7	Putedâlem junma Noa ma atenâng Joban ma khedi wah dângwâng ngin thôkotah heh ate mitma lekhejô medang akomin Noa ma putedâlem wah. Atema Joban ngin keplahma Noa ma khôankho hôanwah, ere khôankhoko ate ngale ate humte tangkâ heh pewah. Phumma hahtokkhoh pa chhihsiet rewah, rohkomin, putedâlem junma Noa nâng Joban ma toangtang thôan ngatwah.
HEB.11.8	Putedâlem junma Abraham ma Joban ngin keplahma Joban ma atenâng kohrãng toamsem tah Diak ko wângrãng Joban ma rooko Abraham chhoanwah. Atema chennge nâng chhoan ekanga ere pejô lejetthangma ate Diak pa phethien lahma chhoanwah. 
HEB.11.9	Joban ma atenâng kohrãng toamsem tah Diak ko putedâlem junma mihwun rãngrãng danglahma sôngtôngwah. Ngale Isak le Jakob nii rãngrãng atemin tembu humnâng songwah, ngale Joban ma mãnthe toampa sêmwah. 
HEB.11.10	Chenrãngma ngako Joban ma thak amak lahma hôantah hahdaang pa Abraham ma bemwah, ngale ere hahdaang pa chenthumin leta chhihjâ thin hahdaang.
HEB.11.11	Abraham nyahrãng teka dangchoanjô medang akomin ngale Sara min chhaho jatjô medang akomin putedâlem junma Abraham a wa rãng tâdângwah. Ate ma Joban toamsem pa chenthujô themah ngama putedâlem demnâng dângwah. 
HEB.11.12	Abraham nyahrãng teka dângjunko riichoan thãthãjô medang akomin, are wathe mihnyan junma ate chhuchha heh rangkho wah merit jahtô, ngale jophawah leta roakweihli phihchha jahtô jat apat eka.
HEB.11.13	Are mihnyan hehma marii riiko putedâlem lahma tôngwah. Thinma Joban ma toamsem tahpa chohho, rohkomin thinma ataangma khelahma khuhah nâhah dângwah, ngale nima are hahtokkhoh ko mihwun ngale hum ahah hote ngama thindedema loatjabwah. 
HEB.11.14	Ere mihnyan hehma aroh loatjab junko thindede rãngma diak han lemeka ngama jeteka. 
HEB.11.15	Thinma phethien retah diakko thamngak thonghun tuho; thinma erepa thâmngak thonghun ngako, ngakkat chenre waktah. 
HEB.11.16	Rohkomin, thinma erenoma bâmbâm sen hahdaang pa lêmwah, erepa rangkhethung wah hahdaang pa lemwak eka. Ngale erohwah, Joban ma atea thin Joban ngama ngatrãng rêsêmah, chenrãngma ngako atema thinrãng hahdaang pa khoakhemkoh eka.
HEB.11.17	Chenthu Joban ma Abraham putedâlem pa jetrãng Abraham nâng nangchha Isak pa ritphe lohma Nganâng soam aroak hang ngatahko, Abraham ma putedâlem junko ate chha Isak pa ritpherãng phungwah. Abraham demnâng Joban ma toamsêm wah, rohkomin, Abraham ma ate chha wathelolo pemin ritphe lahma Joban nâng soam aroak rãng chepwah. 
HEB.11.18	Joban ma atenâng ngatwah, “Ngama nangnâng chhuchha kohrãng toamsemtih heh Isak junma echoh o.” 
HEB.11.19	Joban ma mihnyan heh ritwah tangakhinsiet a ngama Abraham ma putedâlem wah - ngale, linlinjô, Abraham ma Isak leritphe dangeka pa, Isak ritwah ngakhînsiet wah rãngrãng dangeka.
HEB.11.20	Putedâlem junma Isak ma Jakob le Isau nii roandôngko rangkohrãng toamsêm wah.
HEB.11.21	Ngale putedâlem junma Jakob ma ate ritmako Josep chha hehnâng rangkoh wah. Ngale Jakob ma ate menthun rako naajup lahma atema Joban nâng rangsoam wah.
HEB.11.22	Putedâlem junma Josep ma ate ritthângko Isrial mihnyan heh Igip wah loatchhoan wah ngin heh thôko lahma, ate ritdiko ate phoangpa chenroh rêmin a erepemin thôthien kohwah.
HEB.11.23	Putedâlem junma Mosa chhat diko ate nyong awa hehma jengrem huhriem lahma thienwah. Thinma atea nyahrãng naasen khewah, ngale thinma Lowang ngin dânran lechei dângwah.
HEB.11.24	Putedâlem junma Mosa ma ate hôngdông diko Nga a Wangcha chha ngama ngat lehun dângwah. 
HEB.11.25	Atema sanpoat poatthe chharãng pap demnâng khuhah nâhah tôngnoma atema Joban mihnyan heh demnâng johchêm peba hunwah. 
HEB.11.26	Atema Igip wah chentô chhahkhem le ngun akem heh noma Misaia rãng chêmchoh peba asen ngama hunwah, chenrãngma ngako, atema khedi wah rangkep pa adong thônghun wah.
HEB.11.27	Putedâlem junma Lowang rinkhahran lechei thangma Mosa Igip wah loatchhoan wah. Atema mitma lekhe Joban pa khe eka lele danglahma Igip nâng ngakwâng rãng lenyoak dângwah. 
HEB.11.28	Putedâlem junko atema Adankhoam lokuh pa kuhwah ngale hei pa kâsekko hutrãng chienwah, erohkoba rangkhethung wah mihritphêrãng Joban ngintatte hehma Isrial mihnyan heh humkâwah khhepho chha heh leritphe dângwah.
HEB.11.29	Putedâlem junma Isrial mihnyan hehma Josi Chek pa hahran khohma dânkhoam wah rãngrãng dânkhoam wah; phumma chenthu Igip mihnyan hehma eroh dânkhoam rãng ngatko Josi pumma phangtang phophewah.
HEB.11.30	Putedâlem junko Isrial mihnyan hehma Jeriko pantumlit jâengit tûmkhoam diko runjâwah. 
HEB.11.31	Putedâlem junko dihiaknyu phoangseng chhahte Rahab pa Joban ngin lekepte heh demnâng lejoh ritphewah, chenrãngma ngako, atema Isrial mihnyan huh jejette chienwêntah heh ate humko tôngthukwah.
HEB.11.32	Ngama ademin ahan thakthôkoh a? Rohkomin nenâng Gidion, Barak, Samson, Jepthat, Devit, Samoel, ngale mõngheh ngin thôkohrãng sanpoat aho. 
HEB.11.33	Putedâlem junma thinma diaktang demnâng ranloatmîn lahma jienwah. Thinma chenpa toangtanga erepa molahma Joban ma toamsem tahpa chohwah. Thinma Sahdong hinhoo thunkâmin tâtâng hepwah, 
HEB.11.34	nyahrãng cheili wendô hehmin tâmutsiet wah, ngale dengma ritdoak rãng ngatwah min pêwak wah. Thin a lonien dângwah, rohkomin lochaan hôngdâng wah; ngale thin a ranloatmîn poatko lochaan hongdang lahma mihdiak sipâhi heh jienwah. 
HEB.11.35	Dihiaknyu heh Putedâlem junma thinhumte tangkâ heh riichoanwah ngakhîn wah.
HEB.11.35	Khuka hehma dangeka, asenma thînphea ngat komin hunmah, chenrãngma ngako thinma chêmchei demnâng riilahma khediko roandôngsen danglahma ngakhîn peba hunwah. 
HEB.11.36	Khuka hehnâng dûmmek lahma buh awat wah, ngale khuka heh janruma khhek lahma phâtek nâng sekwah. 
HEB.11.37	Thin a longma ritpet rewah, ngale khanii korãng khadoak rewah, thin a dãngma ritdoak rewah. Thinma saakkhoan le kienkhoan heh khetrãng keplahma dângwah - tangchhih dângwah, ngale thinnâng chêmsietmin rewah, ngale hôanjôan rewah. 
HEB.11.38	Hahtokkhoh pa thinrãngma lesen dângwah! Thin a hum ahah ahote rãngrãng sehah ngale hahkong hahla jêngjêng nâng phôangkhôam wah, ngale longken le hahkenkhen hehnâng phôangsông wah.
HEB.11.39	Are chentô mihnyan heh thin putedâlem junko jet eki! rohkomin Joban ma chenni toamsem tah a erepa thinma chohmah, 
HEB.11.40	chenrãngma ngako, Joban ma nãngrãngma nyahrãng asen themawa koh ehi. Atema themawa ekapa thinmin nãngdemnâng aroam lahma meba tâsâmin.
HEB.12.1	Nãngkhu rãngma putedâlem ngenâng nãng tumlitko hâkhi hôante mihnyan jahmõang tonga. Erohwah, nãnglem kowah tengbeng thukthin chentôpa rephe e, ngale nãng lephongthuk thangma tângsiette pap hehmin rephe e, ngale nãngma wah nãngrãng thienkoh ehi toatchhoan mîn pa nyahrãng hung arin kohlihma toatchhoan mîn e. 
HEB.12.2	Nãng mitma Jisu nâng thongthong sûlihma tonge, chenrãngma ngako khebengma danglahma athôan kotuk atema jôba nãng putedâlem pa senthemthem dangthuk ehi. Atea bãngphak khohko rittekrit ran cheiho! Erenoma, Joban ma ate mawah khuhah nâhah thienkoh ekapa thonghun lahma bãngphak khohko rêsê rephe rittekrit pa chenjô dangmah ngama thônghun wah, ngale erohwah atea athângheh Joban tôngthin dekchah ngeko tongeka.
HEB.12.3	Thatthong hun tan en atema chentô chêmchoh tahpa; papi mihnyan hehma atenâng chentô mitchektah a! Erohwah nedede min hungchha rinchha nekdangen ngale ne putedâlem pa nekjek en. 
HEB.12.4	Chenrãngma ngako, nea papwah pechhoanrãng pap demko ranloatmîn wah rãngrãng loatmîn eken, eroh akomin nea ritlinlin marii eken. 
HEB.12.5	Joban ma ate chhuchha rãngrãng thonghun lahma ate jabkhab junma nenâng rîn akhah then heh lekphetet ne?
HEB.12.5	“Echha heh, chenthu Teso ma nenâng phheksiet nâsiet mehôan hènko atatre en,
HEB.12.5	ngale chenthu atema nenâng ritngat mere hènko nehung nekke en.
HEB.12.6	Chenrãngma ngako, Teso ma hennâng huneka ehehnâng phheksiet nâsiet hôaneka,
HEB.12.6	ngale atema henpa ate chharãng kepeka ehehnâng phheksiet nâsiet hôaneka.”
HEB.12.7	Nema chenni chêmchei choh eken a ereko Wama phheksiet nâsiet hôan ehang ngama thonghun letma tha en; nema chêmchoh junko Joban ma nea ate chha rãngrãng kep ehèn ngama jeteka. Henchhu henchha komin ate Wama phheksiet nâsiet lehôan thienlahma tonga? 
HEB.12.8	Nemin ate chha ahan heh hôaneka rãngrãng phheksiet nâsiet lehôan medang hènko, nea ate chha linlin dangmet, nea pâmchha. 
HEB.12.9	Nãng mihnyan nyuchha hei angem wa memin nãngnâng phheksiet nâsiet hôan ehi, ngale nãngma thin ngin kepeki. Eroh medang ako, nãngju rãngma Wa ranjã chentô bâmcheimin a! 
HEB.12.10	Nãng mihnyan nyuchha nyong awa hehma sanpoat chuthe rãngchha ba phheksiet nâsiet hôan ehi, ngale erepa thinma asen ngama thonghun lahma hôan ehi; rohkomin Joban ma nãngdede rãng sênrãngma hôan ehi, erepa ate ngewah Asâthôan demko johrûrãng hôan ehi. 
HEB.12.11	Chenthu nãngnâng phheksiet nâsiet mehôan hiko, ere sanpoat pa nãngrãngma khuhahthin ledang hungkeli dangeka. Eroh komin khediko, henhennâng phheksiet nâsiet hôan lahma punsiet eka erehehma mêmo ngale toangtang roandôngpa choh eka.
HEB.12.12	Erohwah, nedek joakjâre ekepa laangen, ngale ne dakuh tiiekapa rõngsiet en! 
HEB.12.13	Lemtin pummejû khoam en, erohkoba dachhihte heh dapa chhihjâ lere thangma asên erea.
HEB.12.14	Chentô demnâng mêmo dângrãng thonghun en, ngale roandôngko Asâma dângrãng thonghun en, chenrãngma ngako, eroh ledang kako henmemin Teso leta chohkhemin. 
HEB.12.15	Jetletma dangen, henjô Joban mînchenchaan lechoh nekchen dangeken. Ngale bãngkhah hongphoak lahma ate bii pumma bãnghan heh rângchêmsiet arãngrãng newah mihnyan chhih nekhong en. 
HEB.12.16	Ngale Isau rãngrãng dihiak dela kaamchhih moatte erediko Joban nâng lepute dâlemte nekchen hongeken, atema phhekchhah hatthe nâng atea khhepho chha dengpa sengchhahwah. 
HEB.12.17	Nema ajet khediko atema ate wa ngewah rangkeprãng hunwah; rohkomin atema erepa chohho, chenrãngma ngako, atema chenni motah a erepa ngaklitsiet rãng chenni lemkhôjô ahotu dângwah, atema mitphi demnângjô methat latrii akomin talitjâ tuho. 
HEB.12.18	Nea Isrial mihnyan heh wãngtah rãngrãng dekma jiensahloatli Sinai hahho kowah wendô dong, phoambuk nyektungtung, ngale pôngdong patdong thenâng wâng dangmet, 
HEB.12.19	ngale poakpo rahmette, erediko jabkhab tatthin thenâng wâng dangmet. Chenthu mihnyan hehma jabkhab tattahko, thinma ererãngrãng ahan nekchen tattueki ngama roatsep wah, 
HEB.12.20	chenrãngma ngako, “Ngem angah mejômin are hahkongko mesahtiet ako erepa longma ritpetmin” ngama ngaeka jabkhab pa thinma chintat ho. 
HEB.12.21	Erethepa nyahrãng cheili dângwah, ngale Mosa memin ngatwah, “Nga a nyahrãng tiichei ekang!”
HEB.12.22	Phumma nea Zion Hahkong nâng wãngeren, ngale ahîn Joban sôngthin Hahnâng wãngeren, rangkhethung wah Jeroselem nâng wãngeren, ere Theko ate ngintatte heh hahjat jatma tonga. 
HEB.12.23	Nea Joban rãngma khhephochha heh khuhah nâhah khôantôngthin thenâng wãngeren, ere mihnyan hehmînpa rangkhethung nâng raangthien lahma tonga. Nea chentô mihnyan nyuchha heh achhih asen rênte Joban tânâng hûeren, ngale mihnyansen heh Ju sênsiette Joban tânâng hûeren. 
HEB.12.24	Nea Joban le mihnyan tungko toamsem anyan hôante Jisu tânâng hûeren, ngale Abel hei pumma hongjabtah noma atewah hongeka hei pumma bâmbâm asen hôngjabte tânâng hûeren.
HEB.12.25	Erohwah jetletma dangen, ngale ere hôngjabte ngin letat nekdangen. Henhenma rangkhethung wah Joban ngin are hahtokkhoh ko thôkohte heh nginlekep dangeka ere mihnyan heh henmin leta pemin. Eroh medang ako, nãngma rangkhethung ma hahtokkhoh ko jabkatte ngin lekep medang eko chenroh jienpemin a! 
HEB.12.26	Ere sanpoatko ate jabkhab roat pumma hahtokkhoh pa ephongsiet a, rohkomin, athângheh atema toamsem eka, “Ngama ade rektheko hahtokkhoh pelolo ledang rangkhethung min ejoh phongsiet ang.” 
HEB.12.27	“Ade rekthe” ngaeka jabkhab junko chentô hôantah heh phangtang phongsiet lahma echhihsiet a, erohkoba leta phongsietthin heh ba lechhihsiet etonga.
HEB.12.28	Erohwah nãngma dangkoh a ngae, chenrãngma ngako, nãngma leta phongsietthin Hahsông choheki. Ngale nãngma Joban ngin keplihma ate ranchei nungma nãnghung nâng khuhah nâhah danglihma Joban nâng soamtô min; 
HEB.12.29	chenrãngma ngako, nãng Joban pa linlinjô ajemkhâm wen.
HEB.13.1	Kristan pho anaa rãngrãng wathema wathe nâng hun achhâmîn letma tongen. 
HEB.13.2	Nehum nâng mihwun heh lejekthuk nekdangen. Chenrãngma ngako mihnyan hehma eroh jekthukwah rangkhethung wah Joban ngintatte min lâjek thuktah. 
HEB.13.3	Nema phâtek nâng khhekritte mihnyan hehnângmin thin demnâng johkhhekrit wah rãngrãng thonghun en. Ngale chêmchete hehnâng nemin thin demnâng johchêmwah rãngrãng thonghun en.
HEB.13.4	Anga ngama nemnyansiet pa sâpoangpoang danglihma sietmin, ngale tangnyu tangwanii wathema wathe nâng toangtang tuta dângmin. Janchhô paangmih poatko kaamchhih moatte le mihdihiak dela tungnâng kaamchhih moatte hehnâng Joban ma achhih ngatmin.
HEB.13.5	Ne roandôngko ngun akem nâng hangbalin nek hun en, ngale nenâng chenni tonghèn a ere demko rinme letma tongen. Chenrãngma ngako Joban ma ngaeka, “Ngama chenthumin thinphemah; ngale Ngama chenthumin lekphemah.” 
HEB.13.6	Erohwah, nãngkhuma hungdongdong danglihma jab e,
HEB.13.6	“Teso pa Nganâng chohsokte,
HEB.13.6	erohwah Nga cheitumek.
HEB.13.6	Ngale Nganâng henma chenni taretu hanga?”
HEB.13.7	Amawah nenâng Joban nginkong thôkohte khhepho phannang heh thonghuntan en. Thin chenroh songtong lahma riitah a ereheh ngakthonghun tan en, ngale thin putedâlem rãngrãng dangen. 
HEB.13.8	Jisu Krista pa mejâ, thejâ, ngale roantang roangjêng rãng mãnthe. 
HEB.13.9	Jatrup ledangli ngin ariet heh tatletma toangtang lemkhô kowah nekke khoam en. Jokphhek chhah niemarang heh keplihma tôngnoma Joban ngewah mînchenchaan chohlihma tôngpeba asen; henhenma phhekchhah niemarang heh keplahma tongeka ereheh nângmin ere niemarang pumma chenjô chohsûmah.
HEB.13.10	Jews heh rangsoam thin kowah moatte soam aroakte hehma chaamkhoh kowah joapsoap eka heh chenjô leta phhekchhah min. 
HEB.13.11	Jews heh soam aroakte adongthôan hehma nyahrãng Asâthôan Theko ngem angah hei keplahma paprãng joapsoap hokwah; rohkomin thinma ngemsekpa hahdaang wah panthong liennâng rokthhekwah. 
HEB.13.12	Erohwah mihnyan nyuchha heh pappa ate heima sâsietrãng Jisu min hahdaang wah panthong liennâng ritwah. 
HEB.13.13	Erohwah, nãngmin hahdaang wah panthong liennâng chhoanlihma atema rêsêchoh ekako johdange. 
HEB.13.14	Chenrãngma ngako are hahtokkhoh ko nãngrãng roantang roanjêng sôngthin hahdaang aho; nãngma khedi kowah ahokmin hahdaang peba bemlaeki. 
HEB.13.15	Erohwah, Jisu junma Joban nâng nãngma roantang arô ngema joapsoap e, ngale nãngma atenâng soam aroak kohhokwah rãngrãng nãng thunma atea Teso ngama loatjab eki. 
HEB.13.16	Kaamsen moatrãng neklekphe en ngale wathema wathe nâng chohsokmîn min neklekphe en, chenrãngma ngako, ereheh jôba Joban rinmeli joapsoap.
HEB.13.17	Ne khhepho phannang heh nginkep en ngale thinma chien ehèn junko dangen. Thinma leboantong thangma ne Ju amoang heh sûare ehèn, chenrãngma ngako, thinmemin thin moatlem thãpa Joban nâng khesokmin. Nema thin ngin mekep enko, thinma thin moatlem pa khuhah nâhah emowak a; eroh ledang kako, thinma hungkeke emoa, ngale nenângmin chenthujô leta chohsûmin.
HEB.13.18	Nirãng roantang rangsoam kohhi. Nihung nirin linlin danglihma asâ, chenrãngma ngako, nima sanpoat roakweih kaamsen moat tuta huneki. 
HEB.13.19	Ngale Nga nekhu tânâng Joban ma sitsiak chenmam ngakchienkat hang ngama rangwah mamsoam kohha ngama rosep eka.
HEB.13.20+HEB.13.21	Joban ma nãng Teso Jisu Krista ritwah ngakhinsiettah, ngale ate hei junma atea Saaksokte Adongthôan dangeka, ngale erejunma roantang roangjêng rãng toamsem eka. Ate hung junko moatrãng mêmo kohte Joban ma chentô asenli heh chenchoh kohhi, ngale Jisu Krista junma atema nãngnângmin ate hungsênli moatlem moatrãng chenmam hôanhi. Erediko Krista mîn roantang roangjêng rãng chendonga! Amen.
HEB.13.22	Ngalemruchha heh, Ngama nehung dôngthukrãng rîn akhah ngin thôkoh ekako nehung môngsiet letma mamjettat en ngama rosep eka; chenrãngma ngako Ngama nenâng are sitiraang ekapa nyahrãng alo nyong dangmah. 
HEB.13.23	Ngama nenâng nãngnaa Timothi phâtek wah lâlaangtah ngama thôkoh huneka. Ngale ate sitsiak meka rako, Nga nedemnâng chohmîn katko atemin Nga demnâng ejohsiet katrâng.
HEB.13.24	Niwah salem pa ne lemsênte khhepho phannang, ngale chentô Joban mihnyan hehnângmin thôkoh en. Itali diakwah Joban nâng putedâlemte hehma thin salem matkat ehèn.
HEB.13.25	Joban mînchenchaan nekhu anga nga demnâng chentonghèn.
JAS.1.1	Joban ngale Teso Jisu Krista haa Jems ma raangeka:
JAS.1.1	Hahtokkhoh wah Joban mihnyan chentô thenâng phôangphan chhoante hehnâng salem koheka.
JAS.1.2	Ngalemruchha heh, chenthu nekhoh nâng chentô chêmchei heh mehûrako nea khuhah nâhah dangen, 
JAS.1.3	chenrãng-ma ngako, nemajet, nema chêmchei choh eken junko atadôre eken. 
JAS.1.4	Ngale rongrup nâng lethe thangma athôan kotuk rongtêngtêng mamtadô en, eroh koba nea chenni nângjô lechhih thangma rongrup nâng asen ngale apun tuta edangen. 
JAS.1.5	Phumma nekhuwah hen komin buthi mongthem aho medang enko, nema Joban nâng rangsoam en, eko Joban ma nenâng ekohhèn; chenrãngma ngako, Joban ma anga nganâng mînchen lahma chhahme ma koheka. 
JAS.1.6	Rohkomin chenthu nema rangsoam ko, nehung nâng amãnchhajô letûngmaang thangma putedâlem letma soam en. Henhenma hungnâng tungmaang lahma rangsoam eka ereheh rangsoam pa josiwah pôngma jowaak rângditwaak a rãngrãngba. 
JAS.1.7+JAS.1.8	Nemin eroh nema chenni moeken a erepa nehung nerin nâng leta phensiet metungmaang enko, nema Teso wah chenni thaeken a ereheh echoh e ngama nekthonghun en.
JAS.1.9	Tangchhih Kristan mihnyan heh chenthu Joban ma metoansiet tahko khuhah nâhah edanga, 
JAS.1.10	ngale ererãngrãng Kristan mihnyan techhu hehmin chenthu Joban ma menumsiet akomin khuhah nâhahjô edanga. Chenrãngma ngako, techhu dângpa wunwah chongpô chhihjâ rãngrãng mahjâmin. 
JAS.1.11	San pa nyahrãng chaanhong lahma bãngko ekhamsah a; phumma chongpô pa jârit erea, ngale ate phangsên pa chhihjâ erea. Ererãngrãngjô techhu hehmin thin ngun akem phoanglêmbii poatko eroh echhihjâwak a.
JAS.1.12	Henpa chêmchei chohpoat komin putedâlem nâng asen danglahma tongeka ereheh a rangkepte mihnyan, chenrãngma ngako, chenthu thinma chêmchoh ekapa metadô tahko, Joban ma atenâng hun achette mihnyan hehnâng kohrãng toamsem tah roandôngpa thinma echoh a. 
JAS.1.13	Nãngnâng arerãngrãng chêmchei junma hung methattoan hiko, nãngma, “Are chêmchoh ekangpa Joban wah chohkang” ngama lengamin. Chenrãngma ngako, Joban ma achhih ngema chenthumin nãnghung toanmahhi, ngale atema achhih ngema hen hungmin mathattoan eka. 
JAS.1.14	Rohkomin chenthu nãnghung khenwah achhih hongeka pumma kêsietchhoan junko achhih pumma nãnghung toanehi. 
JAS.1.15	Erediko thinhung khenwah achhih huneka pumma pap hongchhaeka; ngale ere pappa nyahrãng mehongdong tahko, ere pumma arit pa hongchhaeka.
JAS.1.16	Ngapho nganya heh, nekdiap chhahrii en! 
JAS.1.17	Chentô asenli ngale apunli hînhô heh rangkhethung wah kaera; erepa rangkhethung wah wenphiak Hôante Joban tâwah kaera, atea chenthumin litjâmah, ngale chenthumin rangnyek rãng litjâmah. 
JAS.1.18	Ate hung junma ngale ate toangtang jabkhab junma nãngkhu nâng roandông kohehi, erohwah atema chentô tem atiektah hehwah nãngma khebeng thôan thepa choheki.
JAS.1.19	Ngama nyahrãng ahun lemruchha heh! arepa thonghun en, Atat pa anga ngama senthemthem tat en, rohkomin jab pa ane jab en, ngale rin lemlienma nekkhah en. 
JAS.1.20	Mihnyan nyuchha rinkhah junko chenthumin Joban ma huneka rãngrãng toangtang tadangmih. 
JAS.1.21	Eroh-wah chentô jatchhih patkhah ngale chentô kaamchhih hehwah ajekre en. Ngale numnene dangletma nehung nâng Joban ma ate jabkhab khietkoh ehènpa kepen, ere jabkhab pumma nekho eta pesiet hèn.
JAS.1.22	Joban nginpa atatlolo nekjetat en; erenoma Joban jabkhab pumma chenroh ngaeka eroh mo en. 
JAS.1.23	Nema ate jabkhab ko jetatlolo jetat letma, jabkhab pumma chenroh ngaehèn a eroh lemo medang enko, nea dâpha sokmin nâng sûlahma atedede thhenpheng kheritte mihnyan rãngrãng. 
JAS.1.24	Thin a dâpha sokmin nâng thindede senthemthem kherii lahmemin khôamchhoan diko thin chenroh kheriitah a erepa lemlienma rânglekphea. 
JAS.1.25	Rohkomin nema mihnyan papwah pesiette Joban Niemarang Asenko namnam sûletma, atatlolo ledang, ere Niemarang pumma chenroh ngaeka ererãngrãng memo enko - nema chenjô memo enkomin ere kohko Joban ma rang ekohhèn.
JAS.1.26	Nekhuwah henma komin rangsoam niem kepte ngama thonghun eken a? Rangsoam niem kepte ngama ngaletma nedede thelipa lekit lorii medang enko, ne rangsoam niem pa sek ho, ngale ne dedeba diapchhahrii eken. 
JAS.1.27	Joban Wama Asâ ngale Alinlin Joban nâng soam atôte pa are hehnângba ngaeka: janthoichha hehnâng sok arête ngale janthoinyu heh chêmcheiko chohsokte, ngale are hahtokkhoh wah achhih hehnâng lechhihsietrii tôngte hehnângba ngaeka.
JAS.2.1	Ngalemruchha heh, Nãng Teso Jisu Krista mîndongthôan chohte nâng putedâlemte dangletma, nema chenthumin mihnâng rangkhoh thhenphãng sûletma achhih asen pa lengamin. 
JAS.2.2	Chenjô komin nekhu chhangko techhuwa pa kem dekkhep pa pheng ngale khetsen pa kep relahma ehûra, ngale tangchhihwa pa khetchhih keplahma min ehûra. 
JAS.2.3	Phum-ma nema khetsen keplahma hokteko ajah khoakhem letma atenâng, “Are tôngthin senko tongwãngro,” ngama rooletma, tangchhih wako, “Ire riangko chep o, ba Ngada thongko walemko tongo,” menga enko. 
JAS.2.4	Nema nedede tungko mihnyan nâng achhih asen ngama rênpên junko the eken, chenrãngma ngako erepa nema achhih ngema renpen eken.
JAS.2.5	Ngalemruchha heh, tattan en! Joban ma are hahtokkhoh wah tangchhih heh putedâlem ngenâng techhu dângrãng reneka, ngale henhenma atenâng hun achhâeka ereheh nâng kohrãng toamsem tah thepa thinnâng kohrãng reneka. 
JAS.2.6	Rohkomin nema tangchhih hehnâng thãjõ eken! Phumma ne namnek lahma chêmsiette erediko ne sekhamrãng nginpatte heh tânâng nesiethokte heh hen a? Ereheh a techhu heh ledangne! 
JAS.2.7	Ere hehma jôba nenâng mînsenthôan koh ehèn mînpa chhihthôeka.
JAS.2.8	Joban nyapraang wah choheki Joban Hahsông Niemarang pa mekep enko nema kaampunli moeken, ereko aroh raangeka, “Ne humtok humkhung wah mihnyan hehnâng nedede hunrii eken rãngrãng hun en.” 
