GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
WIS.18.21	he withstood the anger and put an end to the disaster,
WIS.18.21	showing that he was thy servant.
WIS.18.22	He conquered the wrath not by strength of body,
WIS.18.22	and not by force of arms,
WIS.18.22	but by his word he subdued the punisher,
WIS.18.22	appealing to the oaths and covenants given to our fathers.
WIS.18.23	For when the dead had already fallen on one another in heaps,
WIS.18.23	he intervened and held back the wrath,
WIS.18.23	and cut off its way to the living.
WIS.18.24	For upon his long robe the whole world was depicted,
WIS.18.24	and the glories of the fathers were engraved on the four rows of stones,
WIS.18.24	and thy majesty on the diadem upon his head.
WIS.18.25	To these the destroyer yielded, these he feared;
WIS.18.25	for merely to test the wrath was enough.
WIS.19.1	But the ungodly were assailed to the end by pitiless anger,
WIS.19.1	for God knew in advance even their future actions,
WIS.19.2	that, though they themselves had permitted thy people to depart
WIS.19.2	and hastily sent them forth,
WIS.19.2	they would change their minds and pursue them.
WIS.19.3	For while they were still busy at mourning,
WIS.19.3	and were lamenting at the graves of their dead,
WIS.19.3	they reached another foolish decision,
WIS.19.3	and pursued as fugitives those whom they had begged and compelled to depart.
WIS.19.4	For the fate they deserved drew them on to this end,
WIS.19.4	and made them forget what had happened,
WIS.19.4	in order that they might fill up the punishment which their torments still lacked,
WIS.19.5	and that thy people might experience an incredible journey,
WIS.19.5	but they themselves might meet a strange death.
WIS.19.6	For the whole creation in its nature was fashioned anew,
WIS.19.6	complying with thy commands,
WIS.19.6	that thy children might be kept unharmed.
WIS.19.7	The cloud was seen overshadowing the camp,
WIS.19.7	and dry land emerging where water had stood before,
WIS.19.7	an unhindered way out of the Red Sea,
WIS.19.7	and a grassy plain out of the raging waves,
WIS.19.8	where those protected by thy hand passed through as one nation,
WIS.19.8	after gazing on marvelous wonders.
WIS.19.9	For they ranged like horses,
WIS.19.9	and leaped like lambs,
WIS.19.9	praising thee, O Lord, who didst deliver them.
WIS.19.10	For they still recalled the events of their sojourn,
WIS.19.10	how instead of producing animals the earth brought forth gnats,
WIS.19.10	and instead of fish the river spewed out vast numbers of frogs.
WIS.19.11	Afterward they saw also a new kind of birds,
WIS.19.11	when desire led them to ask for luxurious food;
WIS.19.12	for, to give them relief, quails came up from the sea.
WIS.19.13	The punishments did not come upon the sinners
WIS.19.13	without prior signs in the violence of thunder,
WIS.19.13	for they justly suffered because of their wicked acts;
WIS.19.13	for they practiced a more bitter hatred of strangers.
WIS.19.14	Others had refused to receive strangers when they came to them,
WIS.19.14	but these made slaves of guests who were their benefactors.
WIS.19.15	And not only so, but punishment of some sort will come upon the former
WIS.19.15	for their hostile reception of the aliens;
WIS.19.16	but the latter, after receiving them with festal celebrations,
WIS.19.16	afflicted with terrible sufferings
WIS.19.16	those who had already shared the same rights.
WIS.19.17	They were stricken also with loss of sight—
WIS.19.17	just as were those at the door of the righteous man—
WIS.19.17	when, surrounded by yawning darkness,
WIS.19.17	each tried to find the way through his own door.
WIS.19.18	For the elements changed places with one another,
WIS.19.18	as on a harp the notes vary the nature of the rhythm,
WIS.19.18	while each note remains the same.
WIS.19.18	This may be clearly inferred from the sight of what took place.
WIS.19.19	For land animals were transformed into water creatures,
WIS.19.19	and creatures that swim moved over to the land.
WIS.19.20	Fire even in water retained its normal power,
WIS.19.20	and water forgot its fire-quenching nature.
WIS.19.21	Flames, on the contrary, failed to consume
WIS.19.21	the flesh of perishable creatures that walked among them,
WIS.19.21	nor did they melt the crystalline, easily melted kind of heavenly food.
WIS.19.22	For in everything, O Lord, thou hast exalted and glorified thy people;
WIS.19.22	and thou hast not neglected to help them at all times and in all places.
SIR.1_2.1	All wisdom comes from the Lord
SIR.1_2.1	and is with him for ever.
SIR.1_2.2	The sand of the sea, the drops of rain,
SIR.1_2.2	and the days of eternity—who can count them?
SIR.1_2.3	The height of heaven, the breadth of the earth,
SIR.1_2.3	the abyss, and wisdom—who can search them out?
SIR.1_2.4	Wisdom was created before all things,
SIR.1_2.4	and prudent understanding from eternity.
SIR.1_2.6	The root of wisdom—to whom has it been revealed?
SIR.1_2.6	Her clever devices—who knows them?
SIR.1_2.8	There is One who is wise, greatly to be feared,
SIR.1_2.8	sitting upon his throne.
SIR.1_2.9	The Lord himself created wisdom;
SIR.1_2.9	he saw her and apportioned her,
SIR.1_2.9	he poured her out upon all his works.
SIR.1_2.10	She dwells with all flesh according to his gift,
SIR.1_2.10	and he supplied her to those who love him.
SIR.1_2.11	The fear of the Lord is glory and exultation,
SIR.1_2.11	and gladness and a crown of rejoicing.
SIR.1_2.12	The fear of the Lord delights the heart, and gives gladness and joy and long life.
SIR.1_2.13	With him who fears the Lord it will go well at the end;
SIR.1_2.13	on the day of his death he will be blessed.
SIR.1_2.14	To fear the Lord is the beginning of wisdom;
SIR.1_2.14	she is created with the faithful in the womb.
SIR.1_2.15	She made among men an eternal foundation,
SIR.1_2.15	and among their descendants she will be trusted.
SIR.1_2.16	To fear the Lord is wisdom's full measure;
SIR.1_2.16	she satisfies men with her fruits;
SIR.1_2.17	she fills their whole house with desirable goods,
SIR.1_2.17	and their storehouses with her produce.
SIR.1_2.18	The fear of the Lord is the crown of wisdom,
SIR.1_2.18	making peace and perfect health to flourish.
SIR.1_2.19	He saw her and apportioned her;
SIR.1_2.19	he rained down knowledge and discerning comprehension,
SIR.1_2.19	and he exalted the glory of those who held her fast.
SIR.1_2.20	To fear the Lord is the root of wisdom,
SIR.1_2.20	and her branches are long life.
SIR.1_2.22	Unrighteous anger cannot be justified,
SIR.1_2.22	for a man's anger tips the scale to his ruin.
SIR.1_2.23	A patient man will endure until the right moment,
SIR.1_2.23	and then joy will burst forth for him.
SIR.1_2.24	He will hide his words until the right moment,
SIR.1_2.24	and the lips of many will tell of his good sense.
SIR.1_2.25	In the treasuries of wisdom are wise sayings,
SIR.1_2.25	but godliness is an abomination to a sinner.
SIR.1_2.26	If you desire wisdom, keep the commandments,
SIR.1_2.26	and the Lord will supply it for you.
SIR.1_2.27	For the fear of the Lord is wisdom and instruction,
SIR.1_2.27	and he delights in fidelity and meekness.
SIR.1_2.28	Do not disobey the fear of the Lord;
SIR.1_2.28	do not approach him with a divided mind.
SIR.1_2.29	Be not a hypocrite in men's sight,
SIR.1_2.29	and keep watch over your lips.
SIR.1_2.30	Do not exalt yourself lest you fall,
SIR.1_2.30	and thus bring dishonor upon yourself.
SIR.1_2.30	The Lord will reveal your secrets
SIR.1_2.30	and cast you down in the midst of the congregation,
SIR.1_2.30	because you did not come in the fear of the Lord,
SIR.1_2.30	and your heart was full of deceit.
SIR.2.1	My son, if you come forward to serve the Lord,
SIR.2.1	prepare yourself for temptation.
SIR.2.2	Set your heart right and be steadfast,
SIR.2.2	and do not be hasty in time of calamity.
SIR.2.3	Cleave to him and do not depart,
SIR.2.3	that you may be honored at the end of your life.
SIR.2.4	Accept whatever is brought upon you,
SIR.2.4	and in changes that humble you be patient.
SIR.2.5	For gold is tested in the fire,
SIR.2.5	and acceptable men in the furnace of humiliation.
SIR.2.6	Trust in him, and he will help you;
SIR.2.6	make your ways straight, and hope in him.
SIR.2.7	You who fear the Lord, wait for his mercy;
SIR.2.7	and turn not aside, lest you fall.
SIR.2.8	You who fear the Lord, trust in him,
SIR.2.8	and your reward will not fail;
SIR.2.9	you who fear the Lord, hope for good things,
SIR.2.9	for everlasting joy and mercy.
SIR.2.10	Consider the ancient generations and see:
SIR.2.10	who ever trusted in the Lord and was put to shame?
SIR.2.10	Or who ever persevered in the fear of the Lord and was forsaken?
SIR.2.10	Or who ever called upon him and was overlooked?
SIR.2.11	For the Lord is compassionate and merciful;
SIR.2.11	he forgives sins and saves in time of affliction.
SIR.2.12	Woe to timid hearts and to slack hands,
SIR.2.12	and to the sinner who walks along two ways!
SIR.2.13	Woe to the faint heart, for it has no trust!
SIR.2.13	Therefore it will not be sheltered.
SIR.2.14	Woe to you who have lost your endurance!
SIR.2.14	What will you do when the Lord punishes you?
SIR.2.15	Those who fear the Lord will not disobey his words,
SIR.2.15	and those who love him will keep his ways.
SIR.2.16	Those who fear the Lord will seek his approval,
SIR.2.16	and those who love him will be filled with the law.
SIR.2.17	Those who fear the Lord will prepare their hearts,
SIR.2.17	and will humble themselves before him.
SIR.2.18	Let us fall into the hands of the Lord,
SIR.2.18	but not into the hands of men;
SIR.2.18	for as his majesty is,
SIR.2.18	so also is his mercy.
SIR.3.1	Listen to me your father, O children;
SIR.3.1	and act accordingly, that you may be kept in safety.
SIR.3.2	For the Lord honored the father above the children,
SIR.3.2	and he confirmed the right of the mother over her sons.
SIR.3.3	Whoever honors his father atones for sins,
SIR.3.4	and whoever glorifies his mother is like one who lays up treasure.
SIR.3.5	Whoever honors his father will be gladdened by his own children,
SIR.3.5	and when he prays he will be heard.
SIR.3.6	Whoever glorifies his father will have long life,
SIR.3.6	and whoever obeys the Lord will refresh his mother;
SIR.3.7	he will serve his parents as his masters.
SIR.3.8	Honor your father by word and deed,
SIR.3.8	that a blessing from him may come upon you.
SIR.3.9	For a father's blessing strengthens the houses of the children,
SIR.3.9	but a mother's curse uproots their foundations.
SIR.3.10	Do not glorify yourself by dishonoring your father,
SIR.3.10	for your father's dishonor is no glory to you.
SIR.3.11	For a man's glory comes from honoring his father,
SIR.3.11	and it is a disgrace for children not to respect their mother.
SIR.3.12	O son, help your father in his old age,
SIR.3.12	and do not grieve him as long as he lives;
SIR.3.13	even if he is lacking in understanding, show forbearance;
SIR.3.13	in all your strength do not despise him.
SIR.3.14	For kindness to a father will not be forgotten,
SIR.3.14	and against your sins it will be credited to you;
SIR.3.15	in the day of your affliction it will be remembered in your favor;
SIR.3.15	as frost in fair weather, your sins will melt away.
SIR.3.16	Whoever forsakes his father is like a blasphemer,
SIR.3.16	and whoever angers his mother is cursed by the Lord.
SIR.3.17	My son, perform your tasks in meekness;
SIR.3.17	then you will be loved by those whom God accepts.
SIR.3.18	The greater you are, the more you must humble yourself;
SIR.3.18	so you will find favor in the sight of the Lord.
SIR.3.20	For great is the might of the Lord;
SIR.3.20	he is glorified by the humble.
SIR.3.21	Seek not what is too difficult for you,
SIR.3.21	nor investigate what is beyond your power.
SIR.3.22	Reflect upon what has been assigned to you,
SIR.3.22	for you do not need what is hidden.
SIR.3.23	Do not meddle in what is beyond your tasks,
SIR.3.23	for matters too great for human understanding have been shown you.
SIR.3.24	For their hasty judgment has led many astray,
SIR.3.24	and wrong opinion has caused their thoughts to slip.
SIR.3.26	A stubborn mind will be afflicted at the end,
SIR.3.26	and whoever loves danger will perish by it.
SIR.3.27	A stubborn mind will be burdened by troubles,
SIR.3.27	and the sinner will heap sin upon sin.
SIR.3.28	The affliction of the proud has no healing,
SIR.3.28	for a plant of wickedness has taken root in him.
SIR.3.29	The mind of the intelligent man will ponder a parable,
SIR.3.29	and an attentive ear is the wise man's desire.
SIR.3.30	Water extinguishes a blazing fire:
SIR.3.30	so almsgiving atones for sin.
SIR.3.31	Whoever requites favors gives thought to the future;
SIR.3.31	at the moment of his falling he will find support.
SIR.4.1	My son, deprive not the poor of his living,
SIR.4.1	and do not keep needy eyes waiting.
SIR.4.2	Do not grieve the one who is hungry,
SIR.4.2	nor anger a man in want.
SIR.4.3	Do not add to the troubles of an angry mind,
SIR.4.3	nor delay your gift to a beggar.
SIR.4.4	Do not reject an afflicted suppliant,
SIR.4.4	nor turn your face away from the poor.
SIR.4.5	Do not avert your eye from the needy,
SIR.4.5	nor give a man occasion to curse you;
SIR.4.6	for if in bitterness of soul he calls down a curse upon you,
SIR.4.6	his Creator will hear his prayer.
SIR.4.7	Make yourself beloved in the congregation;
SIR.4.7	bow your head low to a great man.
SIR.4.8	Incline your ear to the poor,
SIR.4.8	and answer him peaceably and gently.
SIR.4.9	Deliver him who is wronged from the hand of the wrongdoer;
SIR.4.9	and do not be fainthearted in judging a case.
SIR.4.10	Be like a father to orphans,
SIR.4.10	and instead of a husband to their mother;
SIR.4.10	you will then be like a son of the Most High,
SIR.4.10	and he will love you more than does your mother.
SIR.4.11	Wisdom exalts her sons
SIR.4.11	and gives help to those who seek her.
SIR.4.12	Whoever loves her loves life,
SIR.4.12	and those who seek her early will be filled with joy.
SIR.4.13	Whoever holds her fast will obtain glory,
SIR.4.13	and the Lord will bless the place she enters.
SIR.4.14	Those who serve her will minister to the Holy One;
SIR.4.14	the Lord loves those who love her.
SIR.4.15	He who obeys her will judge the nations,
SIR.4.15	and whoever gives heed to her will dwell secure.
SIR.4.16	If he has faith in her he will obtain her;
SIR.4.16	and his descendants will remain in possession of her.
SIR.4.17	For at first she will walk with him on tortuous paths,
SIR.4.17	she will bring fear and cowardice upon him,
SIR.4.17	and will torment him by her discipline
SIR.4.17	until she trusts him,
SIR.4.17	and she will test him with her ordinances.
SIR.4.18	Then she will come straight back to him and gladden him,
SIR.4.18	and will reveal her secrets to him.
SIR.4.19	If he goes astray she will forsake him,
SIR.4.19	and hand him over to his ruin.
SIR.4.20	Observe the right time, and beware of evil;
SIR.4.20	and do not bring shame on yourself.
SIR.4.21	For there is a shame which brings sin,
SIR.4.21	and there is a shame which is glory and favor.
SIR.4.22	Do not show partiality, to your own harm,
SIR.4.22	or deference, to your downfall.
SIR.4.23	Do not refrain from speaking at the crucial time,
SIR.4.23	and do not hide your wisdom.
SIR.4.24	For wisdom is known through speech,
SIR.4.24	and education through the words of the tongue.
SIR.4.25	Never speak against the truth,
SIR.4.25	but be mindful of your ignorance.
SIR.4.26	Do not be ashamed to confess your sins,
SIR.4.26	and do not try to stop the current of a river.
SIR.4.27	Do not subject yourself to a foolish fellow,
SIR.4.27	nor show partiality to a ruler.
SIR.4.28	Strive even to death for the truth
SIR.4.28	and the Lord God will fight for you.
SIR.4.29	Do not be reckless in your speech,
SIR.4.29	or sluggish and remiss in your deeds.
SIR.4.30	Do not be like a lion in your home,
SIR.4.30	nor be a faultfinder with your servants.
SIR.4.31	Let not your hand be extended to receive,
SIR.4.31	but withdrawn when it is time to repay.
SIR.5.1	Do not set your heart on your wealth,
SIR.5.1	nor say, “I have enough.”
SIR.5.2	Do not follow your inclination and strength,
SIR.5.2	walking according to the desires of your heart.
SIR.5.3	Do not say, “Who will have power over me?”
SIR.5.3	for the Lord will surely punish you.
SIR.5.4	Do not say, “I sinned, and what happened to me?”
SIR.5.4	for the Lord is slow to anger.
SIR.5.5	Do not be so confident of atonement
SIR.5.5	that you add sin to sin.
SIR.5.6	Do not say, “His mercy is great,
SIR.5.6	he will forgive the multitude of my sins,”
SIR.5.6	for both mercy and wrath are with him,
SIR.5.6	and his anger rests on sinners.
SIR.5.7	Do not delay to turn to the Lord,
SIR.5.7	nor postpone it from day to day;
SIR.5.7	for suddenly the wrath of the Lord will go forth,
SIR.5.7	and at the time of punishment you will perish.
SIR.5.8	Do not depend on dishonest wealth,
SIR.5.8	for it will not benefit you in the day of calamity.
SIR.5.9	Do not winnow with every wind,
SIR.5.9	nor follow every path:
SIR.5.9	the double-tongued sinner does that.
SIR.5.10	Be steadfast in your understanding,
SIR.5.10	and let your speech be consistent.
SIR.5.11	Be quick to hear,
SIR.5.11	and be deliberate in answering.
SIR.5.12	If you have understanding, answer your neighbor;
SIR.5.12	but if not, put your hand on your mouth.
SIR.5.13	Glory and dishonor come from speaking,
SIR.5.13	and a man's tongue is his downfall.
SIR.5.14	Do not be called a slanderer,
SIR.5.14	and do not lie in ambush with your tongue;
SIR.5.14	for shame comes to the thief,
SIR.5.14	and severe condemnation to the double-tongued.
SIR.5.15	In great and small matters do not act amiss,
SIR.6.1	and do not become an enemy instead of a friend;
SIR.6.1	for a bad name incurs shame and reproach:
SIR.6.1	so fares the double-tongued sinner.
SIR.6.2	Do not exalt yourself through your soul's counsel,
SIR.6.2	lest your soul be torn in pieces like a bull.
SIR.6.3	You will devour your leaves and destroy your fruit,
SIR.6.3	and will be left like a withered tree.
SIR.6.4	An evil soul will destroy him who has it,
SIR.6.4	and make him the laughingstock of his enemies.
SIR.6.5	A pleasant voice multiplies friends,
SIR.6.5	and a gracious tongue multiplies courtesies.
SIR.6.6	Let those that are at peace with you be many,
SIR.6.6	but let your advisers be one in a thousand.
SIR.6.7	When you gain a friend, gain him through testing,
SIR.6.7	and do not trust him hastily.
SIR.6.8	For there is a friend who is such at his own convenience,
SIR.6.8	but will not stand by you in your day of trouble.
SIR.6.9	And there is a friend who changes into an enemy,
SIR.6.9	and will disclose a quarrel to your disgrace.
SIR.6.10	And there is a friend who is a table companion,
SIR.6.10	but will not stand by you in your day of trouble.
SIR.6.11	In prosperity he will make himself your equal,
SIR.6.11	and be bold with your servants;
SIR.6.12	but if you are brought low he will turn against you,
SIR.6.12	and will hide himself from your presence.
SIR.6.13	Keep yourself far from your enemies,
SIR.6.13	and be on guard toward your friends.
SIR.6.14	A faithful friend is a sturdy shelter:
SIR.6.14	he that has found one has found a treasure.
SIR.6.15	There is nothing so precious as a faithful friend,
SIR.6.15	and no scales can measure his excellence.
SIR.6.16	A faithful friend is an elixir of life;
SIR.6.16	and those who fear the Lord will find him.
SIR.6.17	Whoever fears the Lord directs his friendship aright,
SIR.6.17	for as he is, so is his neighbor also.
SIR.6.18	My son, from your youth up choose instruction,
SIR.6.18	and until you are old you will keep finding wisdom.
SIR.6.19	Come to her like one who plows and sows,
SIR.6.19	and wait for her good harvest.
SIR.6.19	For in her service you will toil a little while,
SIR.6.19	and soon you will eat of her produce.
SIR.6.20	She seems very harsh to the uninstructed;
SIR.6.20	a weakling will not remain with her.
SIR.6.21	She will weigh him down like a heavy testing stone,
SIR.6.21	and he will not be slow to cast her off.
SIR.6.22	For wisdom is like her name,
SIR.6.22	and is not manifest to many.
SIR.6.23	Listen, my son, and accept my judgment;
SIR.6.23	do not reject my counsel.
SIR.6.24	Put your feet into her fetters,
SIR.6.24	and your neck into her collar.
SIR.6.25	Put your shoulder under her and carry her,
SIR.6.25	and do not fret under her bonds.
SIR.6.26	Come to her with all your soul,
SIR.6.26	and keep her ways with all your might.
SIR.6.27	Search out and seek, and she will become known to you;
SIR.6.27	and when you get hold of her, do not let her go.
SIR.6.28	For at last you will find the rest she gives,
SIR.6.28	and she will be changed into joy for you.
SIR.6.29	Then her fetters will become for you a strong protection,
SIR.6.29	and her collar a glorious robe.
SIR.6.30	Her yoke is a golden ornament,
SIR.6.30	and her bonds are a cord of blue.
SIR.6.31	You will wear her like a glorious robe,
SIR.6.31	and put her on like a crown of gladness.
SIR.6.32	If you are willing, my son, you will be taught,
SIR.6.32	and if you apply yourself you will become clever.
SIR.6.33	If you love to listen you will gain knowledge,
SIR.6.33	and if you incline your ear you will become wise.
SIR.6.34	Stand in the assembly of the elders.
SIR.6.34	Who is wise? Cleave to him.
SIR.6.35	Be ready to listen to every narrative,
SIR.6.35	and do not let wise proverbs escape you.
SIR.6.36	If you see an intelligent man, visit him early;
SIR.6.36	let your foot wear out his doorstep.
SIR.6.37	Reflect on the statutes of the Lord,
SIR.6.37	and meditate at all times on his commandments.
SIR.6.37	It is he who will give insight to your mind,
SIR.6.37	and your desire for wisdom will be granted.
SIR.7.1	Do no evil, and evil will never befall you.
SIR.7.2	Stay away from wrong, and it will turn away from you.
SIR.7.3	My son, do not sow the furrows of injustice,
SIR.7.3	and you will not reap a sevenfold crop.
SIR.7.4	Do not seek from the Lord the highest office,
SIR.7.4	nor the seat of honor from the king.
SIR.7.5	Do not assert your righteousness before the Lord,
SIR.7.5	nor display your wisdom before the king.
SIR.7.6	Do not seek to become a judge,
SIR.7.6	lest you be unable to remove iniquity,
SIR.7.6	lest you be partial to a powerful man,
SIR.7.6	and thus put a blot on your integrity.
SIR.7.7	Do not offend against the public,
SIR.7.7	and do not disgrace yourself among the people.
SIR.7.8	Do not commit a sin twice;
SIR.7.8	even for one you will not go unpunished.
SIR.7.9	Do not say, “He will consider the multitude of my gifts,
SIR.7.9	and when I make an offering to the Most High God he will accept it.”
SIR.7.10	Do not be fainthearted in your prayer,
SIR.7.10	nor neglect to give alms.
SIR.7.11	Do not ridicule a man who is bitter in soul,
SIR.7.11	for there is One who abases and exalts.
SIR.7.12	Do not devise a lie against your brother,
SIR.7.12	nor do the like to a friend.
SIR.7.13	Refuse to utter any lie,
SIR.7.13	for the habit of lying serves no good.
SIR.7.14	Do not prattle in the assembly of the elders,
SIR.7.14	nor repeat yourself in your prayer.
SIR.7.15	Do not hate toilsome labor,
SIR.7.15	or farm work, which were created by the Most High.
SIR.7.16	Do not count yourself among the crowd of sinners;
SIR.7.16	remember that wrath does not delay.
SIR.7.17	Humble yourself greatly,
SIR.7.17	for the punishment of the ungodly is fire and worms.
SIR.7.18	Do not exchange a friend for money,
SIR.7.18	or a real brother for the gold of Ophir.
SIR.7.19	Do not deprive yourself of a wise and good wife, f
SIR.7.19	or her charm is worth more than gold.
SIR.7.20	Do not abuse a servant who performs his work faithfully,
SIR.7.20	or a hired laborer who devotes himself to you.
SIR.7.21	Let your soul love an intelligent servant;
SIR.7.21	do not withhold from him his freedom.
SIR.7.22	Do you have cattle? Look after them;
SIR.7.22	if they are profitable to you, keep them.
SIR.7.23	Do you have children? Discipline them,
SIR.7.23	and make them obedient from their youth.
SIR.7.24	Do you have daughters? Be concerned for their chastity,
SIR.7.24	and do not show yourself too indulgent with them.
SIR.7.25	Give a daughter in marriage; you will have finished a great task.
SIR.7.25	But give her to a man of understanding.
SIR.7.26	If you have a wife who pleases you, do not cast her out;
SIR.7.26	but do not trust yourself to one whom you detest.
SIR.7.27	With all your heart honor your father,
SIR.7.27	and do not forget the birth pangs of your mother.
SIR.7.28	Remember that through your parents you were born;
SIR.7.28	and what can you give back to them that equals their gift to you?
SIR.7.29	With all your soul fear the Lord,
SIR.7.29	and honor his priests.
SIR.7.30	With all your might love your Maker,
SIR.7.30	and do not forsake his ministers.
SIR.7.31	Fear the Lord and honor the priest,
SIR.7.31	and give him his portion, as is commanded you:
SIR.7.31	the first fruits, the guilt offering, the gift of the shoulders,
SIR.7.31	the sacrifice of sanctification, and the first fruits of the holy things.
SIR.7.32	Stretch forth your hand to the poor,
SIR.7.32	so that your blessing may be complete.
SIR.7.33	Give graciously to all the living,
SIR.7.33	and withhold not kindness from the dead.
SIR.7.34	Do not fail those who weep,
SIR.7.34	but mourn with those who mourn.
SIR.7.35	Do not shrink from visiting a sick man,
SIR.7.35	because for such deeds you will be loved.
SIR.7.36	In all you do, remember the end of your life,
SIR.7.36	and then you will never sin.
SIR.8.1	Do not contend with a powerful man,
SIR.8.1	lest you fall into his hands.
SIR.8.2	Do not quarrel with a rich man,
SIR.8.2	lest his resources outweigh yours;
SIR.8.2	for gold has ruined many,
SIR.8.2	and has perverted the minds of kings.
SIR.8.3	Do not argue with a chatterer,
SIR.8.3	nor heap wood on his fire.
SIR.8.4	Do not jest with an ill-bred person,
SIR.8.4	lest your ancestors be disgraced.
SIR.8.5	Do not reproach a man who is turning away from sin;
SIR.8.5	remember that we all deserve punishment.
SIR.8.6	Do not disdain a man when he is old,
SIR.8.6	for some of us are growing old.
SIR.8.7	Do not rejoice over any one's death;
SIR.8.7	remember that we all must die.
SIR.8.8	Do not slight the discourse of the sages,
SIR.8.8	but busy yourself with their maxims;
SIR.8.8	because from them you will gain instruction
SIR.8.8	and learn how to serve great men.
SIR.8.9	Do not disregard the discourse of the aged,
SIR.8.9	for they themselves learned from their fathers;
SIR.8.9	because from them you will gain understanding
SIR.8.9	and learn how to give an answer in time of need.
SIR.8.10	Do not kindle the coals of a sinner,
SIR.8.10	lest you be burned in his flaming fire.
SIR.8.11	Do not get up and leave an insolent fellow,
SIR.8.11	lest he lie in ambush against your words.
SIR.8.12	Do not lend to a man who is stronger than you;
SIR.8.12	but if you do lend anything, be as one who has lost it.
SIR.8.13	Do not give surety beyond your means,
SIR.8.13	but if you give surety, be concerned as one who must pay.
SIR.8.14	Do not go to law against a judge,
SIR.8.14	for the decision will favor him because of his standing.
SIR.8.15	Do not travel on the road with a foolhardy fellow,
SIR.8.15	lest he be burdensome to you;
SIR.8.15	for he will act as he pleases,
SIR.8.15	and through his folly you will perish with him.
SIR.8.16	Do not fight with a wrathful man,
SIR.8.16	and do not cross the wilderness with him;
SIR.8.16	because blood is as nothing in his sight,
SIR.8.16	and where no help is at hand, he will strike you down.
SIR.8.17	Do not consult with a fool,
SIR.8.17	for he will not be able to keep a secret.
SIR.8.18	In the presence of a stranger do nothing that is to be kept secret,
SIR.8.18	for you do not know what he will divulge.
SIR.8.19	Do not reveal your thoughts to every one,
SIR.8.19	lest you drive away your good luck.
SIR.9.1	Do not be jealous of the wife of your bosom,
SIR.9.1	and do not teach her an evil lesson to your own hurt.
SIR.9.2	Do not give yourself to a woman
SIR.9.2	so that she gains mastery over your strength.
SIR.9.3	Do not go to meet a loose woman,
SIR.9.3	lest you fall into her snares.
SIR.9.4	Do not associate with a woman singer,
SIR.9.4	lest you be caught in her intrigues.
SIR.9.5	Do not look intently at a virgin,
SIR.9.5	lest you stumble and incur penalties for her.
SIR.9.6	Do not give yourself to harlots
SIR.9.6	lest you lose your inheritance.
SIR.9.7	Do not look around in the streets of a city,
SIR.9.7	nor wander about in its deserted sections.
SIR.9.8	Turn away your eyes from a shapely woman,
SIR.9.8	and do not look intently at beauty belonging to another;
SIR.9.8	many have been misled by a woman's beauty,
SIR.9.8	and by it passion is kindled like a fire.
SIR.9.9	Never dine with another man's wife,
SIR.9.9	nor revel with her at wine;
SIR.9.9	lest your heart turn aside to her,
SIR.9.9	and in blood you be plunged into destruction.
SIR.9.10	Forsake not an old friend,
SIR.9.10	for a new one does not compare with him.
SIR.9.10	A new friend is like new wine;
SIR.9.10	when it has aged you will drink it with pleasure.
SIR.9.11	Do not envy the honors of a sinner,
SIR.9.11	for you do not know what his end will be.
SIR.9.12	Do not delight in what pleases the ungodly;
SIR.9.12	remember that they will not be held guiltless as long as they live.
SIR.9.13	Keep far from a man who has the power to kill,
SIR.9.13	and you will not be worried by the fear of death.
SIR.9.13	But if you approach him, make no misstep,
SIR.9.13	lest he rob you of your life.
SIR.9.13	Know that you are walking in the midst of snares,
SIR.9.13	and that you are going about on the city battlements.
SIR.9.14	As much as you can, aim to know your neighbors,
SIR.9.14	and consult with the wise.
SIR.9.15	Let your conversation be with men of understanding,
SIR.9.15	and let all your discussion be about the law of the Most High.
SIR.9.16	Let righteous men be your dinner companions,
SIR.9.16	and let your glorying be in the fear of the Lord.
SIR.9.17	A work will be praised for the skill of the craftsmen;
SIR.9.17	so a people's leader is proved wise by his words.
SIR.9.18	A babbler is feared in his city,
SIR.9.18	and the man who is reckless in speech will be hated.
SIR.10.1	A wise magistrate will educate his people,
SIR.10.1	and the rule of an understanding man will be well ordered.
SIR.10.2	Like the magistrate of the people, so are his officials;
SIR.10.2	and like the ruler of the city, so are all its inhabitants.
SIR.10.3	An undisciplined king will ruin his people, but a city will grow through the understanding of its rulers.
SIR.10.4	The government of the earth is in the hands of the Lord,
SIR.10.4	and over it he will raise up the right man for the time.
SIR.10.5	The success of a man is in the hands of the Lord,
SIR.10.5	and he confers his honor upon the person of the scribe.
SIR.10.6	Do not be angry with your neighbor for any injury,
SIR.10.6	and do not attempt anything by acts of insolence.
SIR.10.7	Arrogance is hateful before the Lord and before men,
SIR.10.7	and injustice is outrageous to both.
SIR.10.8	Sovereignty passes from nation to nation
SIR.10.8	on account of injustice and insolence and wealth.
SIR.10.9	How can he who is dust and ashes be proud?
SIR.10.9	for even in life his bowels decay.
SIR.10.10	A long illness baffles the physician;
SIR.10.10	the king of today will die tomorrow.
SIR.10.11	For when a man is dead,
SIR.10.11	he will inherit creeping things, and wild beasts, and worms.
SIR.10.12	The beginning of man's pride is to depart from the Lord;
SIR.10.12	his heart has forsaken his Maker.
SIR.10.13	For the beginning of pride is sin,
SIR.10.13	and the man who clings to it pours out abominations.
