GEN.1.1	In the beginning, God created the heavens and the earth. 
ISA.28.22	for I have heard a decree of destruction
ISA.28.22	from the Lord 
ISA.28.23	 Give ear, and hear my voice;
ISA.28.23	give attention, and hear my speech.
ISA.28.24	 Does he who plows for sowing plow continually?
ISA.28.24	Does he continually open and harrow his ground?
ISA.28.25	 When he has leveled its surface,
ISA.28.25	does he not scatter dill, sow cumin,
ISA.28.25	and put in wheat in rows
ISA.28.25	and barley in its proper place,
ISA.28.25	and emmer as the border?
ISA.28.26	 For he is rightly instructed;
ISA.28.26	his God teaches him.
ISA.28.27	 Dill is not threshed with a threshing sledge,
ISA.28.27	nor is a cart wheel rolled over cumin,
ISA.28.27	but dill is beaten out with a stick,
ISA.28.27	and cumin with a rod.
ISA.28.28	 Does one crush grain for bread?
ISA.28.28	No, he does not thresh it forever;
ISA.28.28	when he drives his cart wheel over it
ISA.28.28	with his horses, he does not crush it.
ISA.28.29	 This also comes from the 
ISA.28.29	he is wonderful in counsel
ISA.28.29	and excellent in wisdom.
ISA.29.1	 Ah, Ariel, Ariel,
ISA.29.1	the city where David encamped!
ISA.29.1	Add year to year;
ISA.29.1	let the feasts run their round.
ISA.29.2	 Yet I will distress Ariel,
ISA.29.2	and there shall be moaning and lamentation,
ISA.29.2	and she shall be to me like an Ariel.
ISA.29.3	 And I will encamp against you all around,
ISA.29.3	and will besiege you with towers
ISA.29.3	and I will raise siegeworks against you.
ISA.29.4	 And you will be brought low; from the earth you shall speak,
ISA.29.4	and from the dust your speech will be bowed down;
ISA.29.4	your voice shall come from the ground like the voice of a ghost,
ISA.29.4	and from the dust your speech shall whisper.
ISA.29.5	 But the multitude of your foreign foes shall be like small dust,
ISA.29.5	and the multitude of the ruthless like passing chaff.
ISA.29.5	And in an instant, suddenly,
ISA.29.6	 you will be visited by the 
ISA.29.6	with thunder and with earthquake and great noise,
ISA.29.6	with whirlwind and tempest, and the flame of a devouring fire.
ISA.29.7	 And the multitude of all the nations that fight against Ariel,
ISA.29.7	all that fight against her and her stronghold and distress her,
ISA.29.7	shall be like a dream, a vision of the night.
ISA.29.8	 As when a hungry man dreams, and behold, he is eating,
ISA.29.8	and awakes with his hunger not satisfied,
ISA.29.8	or as when a thirsty man dreams, and behold, he is drinking,
ISA.29.8	and awakes faint, with his thirst not quenched,
ISA.29.8	so shall the multitude of all the nations be
ISA.29.8	that fight against Mount Zion.
ISA.29.9	 Astonish yourselves and be astonished;
ISA.29.9	blind yourselves and be blind!
ISA.29.9	Be drunk, but not with wine;
ISA.29.9	stagger, but not with strong drink!
ISA.29.10	 For the 
ISA.29.10	a spirit of deep sleep,
ISA.29.10	and has closed your eyes (the prophets),
ISA.29.10	and covered your heads (the seers).
ISA.29.11	And the vision of all this has become to you like the words of a book that is sealed. When men give it to one who can read, saying, "Read this," he says, "I cannot, for it is sealed." 
ISA.29.12	And when they give the book to one who cannot read, saying, "Read this," he says, "I cannot read." 
ISA.29.13	 And the Lord said:
ISA.29.13	"Because this people draw near with their mouth
ISA.29.13	and honor me with their lips,
ISA.29.13	while their hearts are far from me,
ISA.29.13	and their fear of me is a commandment taught by men,
ISA.29.14	 therefore, behold, I will again
ISA.29.14	do wonderful things with this people,
ISA.29.14	with wonder upon wonder;
ISA.29.14	and the wisdom of their wise men shall perish,
ISA.29.14	and the discernment of their discerning men shall be hidden."
ISA.29.15	 Ah, you who hide deep from the 
ISA.29.15	whose deeds are in the dark,
ISA.29.15	and who say, "Who sees us? Who knows us?"
ISA.29.16	 You turn things upside down!
ISA.29.16	Shall the potter be regarded as the clay,
ISA.29.16	that the thing made should say of its maker,
ISA.29.16	"He did not make me";
ISA.29.16	or the thing formed say of him who formed it,
ISA.29.16	"He has no understanding"?
ISA.29.17	 Is it not yet a very little while
ISA.29.17	until Lebanon shall be turned into a fruitful field,
ISA.29.17	and the fruitful field shall be regarded as a forest?
ISA.29.18	 In that day the deaf shall hear
ISA.29.18	the words of a book,
ISA.29.18	and out of their gloom and darkness
ISA.29.18	the eyes of the blind shall see.
ISA.29.19	 The meek shall obtain fresh joy in the 
ISA.29.19	and the poor among mankind shall exult in the Holy One of Israel.
ISA.29.20	 For the ruthless shall come to nothing
ISA.29.20	and the scoffer cease,
ISA.29.20	and all who watch to do evil shall be cut off,
ISA.29.21	 who by a word make a man out to be an offender,
ISA.29.21	and lay a snare for him who reproves in the gate,
ISA.29.21	and with an empty plea turn aside him who is in the right.
ISA.29.22	Therefore thus says the 
ISA.29.22	"Jacob shall no more be ashamed,
ISA.29.22	no more shall his face grow pale.
ISA.29.23	 For when he sees his children,
ISA.29.23	the work of my hands, in his midst,
ISA.29.23	they will sanctify my name;
ISA.29.23	they will sanctify the Holy One of Jacob
ISA.29.23	and will stand in awe of the God of Israel.
ISA.29.24	 And those who go astray in spirit will come to understanding,
ISA.29.24	and those who murmur will accept instruction."
ISA.30.1	 "Ah, stubborn children," declares the 
ISA.30.1	"who carry out a plan, but not mine,
ISA.30.1	and who make an alliance, but not of my Spirit,
ISA.30.1	that they may add sin to sin;
ISA.30.2	 who set out to go down to Egypt,
ISA.30.2	without asking for my direction,
ISA.30.2	to take refuge in the protection of Pharaoh
ISA.30.2	and to seek shelter in the shadow of Egypt!
ISA.30.3	 Therefore shall the protection of Pharaoh turn to your shame,
ISA.30.3	and the shelter in the shadow of Egypt to your humiliation.
ISA.30.4	 For though his officials are at Zoan
ISA.30.4	and his envoys reach Hanes,
ISA.30.5	 everyone comes to shame
ISA.30.5	through a people that cannot profit them,
ISA.30.5	that brings neither help nor profit,
ISA.30.5	but shame and disgrace."
ISA.30.6	An oracle on the beasts of the Negeb. 
ISA.30.6	Through a land of trouble and anguish,
ISA.30.6	from where come the lioness and the lion,
ISA.30.6	the adder and the flying fiery serpent,
ISA.30.6	they carry their riches on the backs of donkeys,
ISA.30.6	and their treasures on the humps of camels,
ISA.30.6	to a people that cannot profit them.
ISA.30.7	 Egypt's help is worthless and empty;
ISA.30.7	therefore I have called her
ISA.30.7	"Rahab who sits still."
ISA.30.8	 And now, go, write it before them on a tablet
ISA.30.8	and inscribe it in a book,
ISA.30.8	that it may be for the time to come
ISA.30.8	as a witness forever.
ISA.30.9	 For they are a rebellious people,
ISA.30.9	lying children,
ISA.30.9	children unwilling to hear
ISA.30.9	the instruction of the 
ISA.30.10	 who say to the seers, "Do not see,"
ISA.30.10	and to the prophets, "Do not prophesy to us what is right;
ISA.30.10	speak to us smooth things,
ISA.30.10	prophesy illusions,
ISA.30.11	 leave the way, turn aside from the path,
ISA.30.11	let us hear no more about the Holy One of Israel."
ISA.30.12	 Therefore thus says the Holy One of Israel,
ISA.30.12	"Because you despise this word
ISA.30.12	and trust in oppression and perverseness
ISA.30.12	and rely on them,
ISA.30.13	 therefore this iniquity shall be to you
ISA.30.13	like a breach in a high wall, bulging out and about to collapse,
ISA.30.13	whose breaking comes suddenly, in an instant;
ISA.30.14	 and its breaking is like that of a potter's vessel
ISA.30.14	that is smashed so ruthlessly
ISA.30.14	that among its fragments not a shard is found
ISA.30.14	with which to take fire from the hearth,
ISA.30.14	or to dip up water out of the cistern."
ISA.30.15	 For thus said the Lord 
ISA.30.15	"In returning and rest you shall be saved;
ISA.30.15	in quietness and in trust shall be your strength."
ISA.30.15	But you were unwilling, 
ISA.30.16	and you said,
ISA.30.16	"No! We will flee upon horses";
ISA.30.16	therefore you shall flee away;
ISA.30.16	and, "We will ride upon swift steeds";
ISA.30.16	therefore your pursuers shall be swift.
ISA.30.17	 A thousand shall flee at the threat of one;
ISA.30.17	at the threat of five you shall flee,
ISA.30.17	till you are left
ISA.30.17	like a flagstaff on the top of a mountain,
ISA.30.17	like a signal on a hill.
ISA.30.18	 Therefore the 
ISA.30.18	and therefore he exalts himself to show mercy to you.
ISA.30.18	For the 
ISA.30.18	blessed are all those who wait for him.
ISA.30.19	For a people shall dwell in Zion, in Jerusalem; you shall weep no more. He will surely be gracious to you at the sound of your cry. As soon as he hears it, he answers you. 
ISA.30.20	And though the Lord give you the bread of adversity and the water of affliction, yet your Teacher will not hide himself anymore, but your eyes shall see your Teacher. 
ISA.30.21	And your ears shall hear a word behind you, saying, "This is the way, walk in it," when you turn to the right or when you turn to the left. 
ISA.30.22	Then you will defile your carved idols overlaid with silver and your gold-plated metal images. You will scatter them as unclean things. You will say to them, "Be gone!" 
ISA.30.23	And he will give rain for the seed with which you sow the ground, and bread, the produce of the ground, which will be rich and plenteous. In that day your livestock will graze in large pastures, 
ISA.30.24	and the oxen and the donkeys that work the ground will eat seasoned fodder, which has been winnowed with shovel and fork. 
ISA.30.25	And on every lofty mountain and every high hill there will be brooks running with water, in the day of the great slaughter, when the towers fall. 
ISA.30.26	Moreover, the light of the moon will be as the light of the sun, and the light of the sun will be sevenfold, as the light of seven days, in the day when the 
ISA.30.27	 Behold, the name of the 
ISA.30.27	burning with his anger, and in thick rising smoke;
ISA.30.27	his lips are full of fury,
ISA.30.27	and his tongue is like a devouring fire;
ISA.30.28	 his breath is like an overflowing stream
ISA.30.28	that reaches up to the neck;
ISA.30.28	to sift the nations with the sieve of destruction,
ISA.30.28	and to place on the jaws of the peoples a bridle that leads astray.
ISA.30.29	You shall have a song as in the night when a holy feast is kept, and gladness of heart, as when one sets out to the sound of the flute to go to the mountain of the 
ISA.30.30	And the 
ISA.30.31	The Assyrians will be terror-stricken at the voice of the 
ISA.30.32	And every stroke of the appointed staff that the 
ISA.30.33	For a burning place has long been prepared; indeed, for the king it is made ready, its pyre made deep and wide, with fire and wood in abundance; the breath of the 
ISA.31.1	 Woe to those who go down to Egypt for help
ISA.31.1	and rely on horses,
ISA.31.1	who trust in chariots because they are many
ISA.31.1	and in horsemen because they are very strong,
ISA.31.1	but do not look to the Holy One of Israel
ISA.31.1	or consult the 
ISA.31.2	 And yet he is wise and brings disaster;
ISA.31.2	he does not call back his words,
ISA.31.2	but will arise against the house of the evildoers
ISA.31.2	and against the helpers of those who work iniquity.
ISA.31.3	 The Egyptians are man, and not God,
ISA.31.3	and their horses are flesh, and not spirit.
ISA.31.3	When the 
ISA.31.3	the helper will stumble, and he who is helped will fall,
ISA.31.3	and they will all perish together.
ISA.31.4	 For thus the 
ISA.31.4	"As a lion or a young lion growls over his prey,
ISA.31.4	and when a band of shepherds is called out against him
ISA.31.4	he is not terrified by their shouting
ISA.31.4	or daunted at their noise,
ISA.31.4	so the 
ISA.31.4	to fight on Mount Zion and on its hill.
ISA.31.5	 Like birds hovering, so the 
ISA.31.5	will protect Jerusalem;
ISA.31.5	he will protect and deliver it;
ISA.31.5	he will spare and rescue it."
ISA.31.6	Turn to him from whom people have deeply revolted, O children of Israel. 
ISA.31.7	For in that day everyone shall cast away his idols of silver and his idols of gold, which your hands have sinfully made for you. 
ISA.31.8	 "And the Assyrian shall fall by a sword, not of man;
ISA.31.8	and a sword, not of man, shall devour him;
ISA.31.8	and he shall flee from the sword,
ISA.31.8	and his young men shall be put to forced labor.
ISA.31.9	 His rock shall pass away in terror,
ISA.31.9	and his officers desert the standard in panic,"
ISA.31.9	declares the 
ISA.31.9	and whose furnace is in Jerusalem.
ISA.32.1	 Behold, a king will reign in righteousness,
ISA.32.1	and princes will rule in justice.
ISA.32.2	 Each will be like a hiding place from the wind,
ISA.32.2	a shelter from the storm,
ISA.32.2	like streams of water in a dry place,
ISA.32.2	like the shade of a great rock in a weary land.
ISA.32.3	 Then the eyes of those who see will not be closed,
ISA.32.3	and the ears of those who hear will give attention.
ISA.32.4	 The heart of the hasty will understand and know,
ISA.32.4	and the tongue of the stammerers will hasten to speak distinctly.
ISA.32.5	 The fool will no more be called noble,
ISA.32.5	nor the scoundrel said to be honorable.
ISA.32.6	 For the fool speaks folly,
ISA.32.6	and his heart is busy with iniquity,
ISA.32.6	to practice ungodliness,
ISA.32.6	to utter error concerning the 
ISA.32.6	to leave the craving of the hungry unsatisfied,
ISA.32.6	and to deprive the thirsty of drink.
ISA.32.7	 As for the scoundrel—his devices are evil;
ISA.32.7	he plans wicked schemes
ISA.32.7	to ruin the poor with lying words,
ISA.32.7	even when the plea of the needy is right.
ISA.32.8	 But he who is noble plans noble things,
ISA.32.8	and on noble things he stands.
ISA.32.9	 Rise up, you women who are at ease, hear my voice;
ISA.32.9	you complacent daughters, give ear to my speech.
ISA.32.10	 In little more than a year
ISA.32.10	you will shudder, you complacent women;
ISA.32.10	for the grape harvest fails,
ISA.32.10	the fruit harvest will not come.
ISA.32.11	 Tremble, you women who are at ease,
ISA.32.11	shudder, you complacent ones;
ISA.32.11	strip, and make yourselves bare,
ISA.32.11	and tie sackcloth around your waist.
