MAT.1.1	This book is the record of Jesus the Messiah,
PSA.80_1.17	Protect the man who stands beside you; strengthen the son you have chosen.
PSA.80_1.18	Then we will not turn away from you. Revive us so we can pray to you.
PSA.80_1.19	Lord God Almighty, please restore us! Let your face shine on us so we can be saved.
PSA.81_1.1	Sing aloud to God our strength; shout for joy to the God of Jacob.
PSA.81_1.2	Start the song! Play the tambourine, sweet-sounding lyre, and harp.
PSA.81_1.3	Blow the trumpet at the new moon, and at full moon, to begin our festivals,
PSA.81_1.4	for this is a rule for Israel, a regulation of the God of Jacob.
PSA.81_1.5	God made this statute for Joseph when he opposed the land of Egypt. I heard a voice I didn't kno, saying:
PSA.81_1.6	“I took the load from your shoulders; I freed your hands from carrying heavy baskets.
PSA.81_1.7	In your suffering you cried out to me, and I saved you. I answered you from the thundercloud. I tested you at the waters of Meribah.
PSA.81_1.8	My people, listen to my warnings! Israel, please listen to me!
PSA.81_1.9	There must not be a strange god among you; you must never bow down to foreign gods and worship them.
PSA.81_1.10	I am the Lord your God who brought you out of the land of Egypt. Open your mouth wide and I will fill it.
PSA.81_1.11	But my people didn't listen to me. Israel didn't want anything to do with me.
PSA.81_1.12	So I sent them away to follow their stubborn thinking, living as they chose.
PSA.81_1.13	If only my people would listen to me; if only Israel would follow my ways!
PSA.81_1.14	It wouldn't take me long to conquer their enemies, to strike down their foes.
PSA.81_1.15	Those who hate the Lord would cringe before him, forever doomed.
PSA.81_1.16	But I would feed you the best wheat and satisfy you with honey from the rock.”
PSA.82_1.1	God stands in the midst of his great assembly to judge those who judge.
PSA.82_1.2	How long will you make unfair judgments and show favoritism to the wicked? Selah.
PSA.82_1.3	Defend the poor and orphans; support the rights of those who are oppressed and suffering.
PSA.82_1.4	Rescue the poor and those unable to help themselves; save them from the clutches of evil people.
PSA.82_1.5	These judges
PSA.82_1.6	I say, “You are judges; all of you are children of the Most High.
PSA.82_1.7	But you will die like any human being, you will fall like any other leader.”
PSA.82_1.8	Stand up, Lord, and judge the earth, for all the nations belong to you.
PSA.83_1.1	God, please do not stay silent! You can't remain unmoved! God, you must not keep quiet!
PSA.83_1.2	Can't you hear the roars of your enemies? Can't you see how those who hate you are defiantly lifting up their heads?
PSA.83_1.3	They invent cunning plans to conspire against your people; they plot against those you treasure.
PSA.83_1.4	They say, “Come on! Let's destroy them as a nation so the name ‘Israel’ will be completely forgotten.”
PSA.83_1.5	They all agree in their conspiracy; they've made a treaty together to attack you—
PSA.83_1.6	the people of Edom, the Ishmaelites, Moab, and the Hagirites;
PSA.83_1.7	the people of Gebal and Ammon and Amalek, Philistia, and the inhabitants of Tyre.
PSA.83_1.8	Assyria too has joined them, allied with the descendants of Lot. Selah.
PSA.83_1.9	Do to them what you did to Midian, what you did to Sisera and Jabin
PSA.83_1.10	They were destroyed at Endor and became like manure to fertilize the ground.
PSA.83_1.11	Make their leaders like Oreb and Zeeb; all their rulers like Zebah and Zalmunna,
PSA.83_1.12	for they said, “Let's take the pastures of God for ourselves!”
PSA.83_1.13	My God, make them like whirling tumbleweeds, chaff blown away by the wind.
PSA.83_1.14	Just like fire that burns the forest, a flame that sets fire to the mountains,
PSA.83_1.15	in the same way chase them down with your storm, terrify them with your whirlwind.
PSA.83_1.16	Shame them in defeat
PSA.83_1.17	Make them ashamed, terrify them forever so that they die in disgrace.
PSA.83_1.18	Let them understand that you alone, called the Lord, are the Most High who rules over all the earth.
PSA.84_1.1	How wonderful is the place where you live, Lord Almighty!
PSA.84_1.2	I long, I ache, to be in the courts
PSA.84_1.3	Even a sparrow finds a home there, and a swallow builds a nest for herself where she can raise her chicks near to your altars, Lord Almighty, my king and my God.
PSA.84_1.4	How happy are those who live in your house—they are always praising you! Selah.
PSA.84_1.5	How happy are those whose strength is in you, those who set their hearts on making a pilgrimage.
PSA.84_1.6	As they walk through the Valley of Tears
PSA.84_1.7	They go from strength to strength, and each one will appear before God in Jerusalem.
PSA.84_1.8	Lord God Almighty, please hear my prayer; please listen, God of Jacob. Selah.
PSA.84_1.9	Please God, look at our defender, look at the face of your anointed one.
PSA.84_1.10	One day in your courts is better than a thousand anywhere else. I'd rather stand as a doorkeeper in the house of my God than live comfortably in the homes of the wicked.
PSA.84_1.11	For the Lord God is our sun and shield, and he gives us grace and honor. The Lord doesn't hold back anything good from those who do right.
PSA.84_1.12	Lord Almighty, how happy are those who trust in you.
PSA.85_1.1	Lord, you have shown your kindness to your land; you have restored Jacob's prosperity.
PSA.85_1.2	You took away your people's guilt; you forgave all their sins. Selah.
PSA.85_1.3	You took back your fury; you turned away from your fierce anger.
PSA.85_1.4	Bring us back to you, God of our salvation! Take away your anger towards us.
PSA.85_1.5	Are you going to be furious with us forever? Will you stay angry with us for all future generations?
PSA.85_1.6	Won't you restore our lives so your people can find happiness in you?
PSA.85_1.7	Show us your trustworthy love, Lord! Give us your salvation!
PSA.85_1.8	Let me hear what God has to say. God speaks peace to his people, to those who trust in him. But they must not return to their foolish ways.
PSA.85_1.9	Truly God's salvation is with those who do as he says. His glorious presence will live with us in our land.
PSA.85_1.10	Trustworthiness and faithful love join together; goodness and peace have kissed each other.
PSA.85_1.11	What is true grows up from the earth; what is right looks down from heaven.
PSA.85_1.12	The Lord will certainly give us all that is good, and our land will produce fine crops.
PSA.85_1.13	Truth and right go ahead of him to prepare a path for him to walk on.
PSA.86_1.1	Please listen to me, Lord! Please answer me, for I am weak and really need your help!
PSA.86_1.2	Don't let me die, for I am faithful to you. Save me, for I am your servant and I trust in you. You are my God.
PSA.86_1.3	Be kind to me, Lord, for I call out to you all day long.
PSA.86_1.4	Make me happy, Lord, for I've dedicated my life to you.
PSA.86_1.5	For you, Lord, are good; you are forgiving and full of trustworthy love for all who come to you.
PSA.86_1.6	Lord, please listen to my prayer. Hear my call for help.
PSA.86_1.7	When I'm in trouble I cry out to you because I know you will answer me.
PSA.86_1.8	There's no one like you among the “gods,” Lord. No one can do the things you do.
PSA.86_1.9	You created all the nations, and they will come and bow down before you, Lord. They will declare how wonderful you are.
PSA.86_1.10	For you are great, and do wonderful things! Only you are God.
PSA.86_1.11	Lord, please teach me your way, so I can depend on your trustworthiness. Make me single-minded, so I can consistently honor the kind of person you are.
PSA.86_1.12	Lord my God, I thank you from the bottom of my heart. I will praise your character forever.
PSA.86_1.13	For your trustworthy love for me is so great; you have saved me from death.
PSA.86_1.14	God, arrogant people are attacking me—a vicious gang who are trying to kill me. To them you count for nothing.
PSA.86_1.15	But you, Lord, are a compassionate and gracious God, slow to become angry, full of trustworthy love and faithfulness.
PSA.86_1.16	Turn to me, have mercy on me. Give me your strength, your servant; save the son of your servant-girl.
PSA.86_1.17	Show me a sign that you approve of me! Those who hate me will see it, and they will be ashamed because you, Lord, have helped me.
PSA.87_1.1	The Lord founded the city on his holy mountain.
PSA.87_1.2	Jerusalem is the city that the Lord loves more than any other city in Israel.
PSA.87_1.3	Many wonderful things are said of you, city of God! Selah.
PSA.87_1.4	I mention Egypt
PSA.87_1.5	It will be said concerning Jerusalem, “Everyone was born there,”
PSA.87_1.6	When the Lord registers the nations, he will write, “They were born there.
PSA.87_1.7	Singers and dancers alike say, “Living here I am at home.”
PSA.88_1.1	Lord, God of my salvation, I cry out to you day and night.
PSA.88_1.2	Please listen to my prayer; hear my words as I plead with you.
PSA.88_1.3	My life is full of troubles, and my death is approaching.
PSA.88_1.4	I'm counted among the dying; a man with no strength.
PSA.88_1.5	I am abandoned among the dead, lying like a corpse in the grave, forgotten and beyond your care.
PSA.88_1.6	You have placed me in a deep pit, in the depths of darkness.
PSA.88_1.7	Your hostility crushes me; you are drowning me under your crashing waves. Selah.
PSA.88_1.8	You have made my friends avoid me by making me look repulsive to them. I'm trapped, I can't go out.
PSA.88_1.9	I've cried my eyes out begging you every day for your help, Lord, holding out my hands to you.
PSA.88_1.10	Do you do miracles among the dead? Do the dead stand up to praise you? Selah.
PSA.88_1.11	Your faithful love—is it mentioned in the grave? Your trustworthiness—is it discussed in the place of destruction?
PSA.88_1.12	Are the wonderful things you do known in the darkness? Is your goodness known in the land of forgetfulness?
PSA.88_1.13	But I cry out to you for help; every morning I pray to you.
PSA.88_1.14	Lord, why do you reject me? Why do you turn away from me?
PSA.88_1.15	I have been sick since I was young, often at death's door. I have had to bear the terrible things you've done to me. I'm in despair!
PSA.88_1.16	Your anger has overcome me; the terrible things you do have destroyed me.
PSA.88_1.17	They surround me all the time like floodwaters, swallowing me up.
PSA.88_1.18	You have made my family and friends avoid me. Darkness is my only friend.
PSA.89_1.1	I will sing of the Lord's trustworthy love forever; I will tell all generations of your faithfulness.
PSA.89_1.2	For I have said, “Your unfailing love lasts forever; your faithfulness endures as long as the heavens.”
PSA.89_1.3	You
PSA.89_1.4	I will make sure your lineage will last forever; I will keep your throne secure for all generations.” Selah.
PSA.89_1.5	All the heavenly beings will sing of the wonderful things you have done, Lord; angels will gather to sing of your faithfulness.
PSA.89_1.6	For who in heaven can compare to the Lord? Who is like the Lord even among the angels?
PSA.89_1.7	The heavenly council are in awe of God; all who surround him are overwhelmed by him.
PSA.89_1.8	Lord God Almighty, who is as powerful as you? In all this,
PSA.89_1.9	You rule the restless seas; you calm their stormy waves.
PSA.89_1.10	You crushed Rahab the sea-monster to death; by your power you scattered your enemies.
PSA.89_1.11	The heavens belong to you, and the earth too; you made the world and everything in it.
PSA.89_1.12	You created north and south; Mount Tabor and Mount Hermon celebrate you.
PSA.89_1.13	Your arm is powerful. Your hand is strong. Your right hand is held up high in command.
PSA.89_1.14	Your character of goodness and fairness is the basis for the way you rule; dependable love and trustworthiness are always with you.
PSA.89_1.15	How happy are those who know how to shout your praises, Lord.
PSA.89_1.16	They celebrate the person you are all day long, so glad that you do what's right.
PSA.89_1.17	They rely on you, their glory and strength; by your grace you lift us up.
PSA.89_1.18	Yes, the Lord is the one who shields us, and our king belongs to the Holy One of Israel.
PSA.89_1.19	Once you spoke in a vision to your faithful servant and said,
PSA.89_1.20	I have selected David my servant, and I have anointed him with the oil of my holiness.
PSA.89_1.21	I have placed my hand on him to steady him; and I have made him strong by my powerful arm.
PSA.89_1.22	His enemies will not deceive him; the wicked will not bring him down.
PSA.89_1.23	I will wipe out his enemies before him; I will strike down those who hate him.
PSA.89_1.24	My trustworthiness and unfailing love will be with him, and through me he will be victorious.
PSA.89_1.25	I will extend his rule from the Mediterranean Sea to the Euphrates River.
PSA.89_1.26	He will call out me, ‘You are my Father, my God, and the rock of my salvation.’
PSA.89_1.27	I will also make him my first-born son, the highest of the kings of the earth.
PSA.89_1.28	I will love him faithfully forever; my agreement
PSA.89_1.29	I will make sure his royal line will last forever; his dynasty
PSA.89_1.30	But if his descendants abandon my laws, if they do not follow my rules,
PSA.89_1.31	if they break my decrees, and do not keep my commandments,
PSA.89_1.32	I will punish their rebellion by beating them with a rod, and their sin by lashing them with a whip.
PSA.89_1.33	However I will not take away my love from him; I will not break my promise to him.
PSA.89_1.34	I will not annul the agreement I have with him; I will not alter a single word I've said.
PSA.89_1.35	By my holy character I have made a vow to David that I will not lie to him.
PSA.89_1.36	His royal line will last forever, and his dynasty will continue before me as long as the sun endures.
PSA.89_1.37	It will continue forever like the moon, an enduring witness in the heavens.” Selah.
PSA.89_1.38	But you
PSA.89_1.39	You have broken the agreement you had with him; you have thrown his crown to the ground!
PSA.89_1.40	You have torn down his defensive walls; you have ruined his fortresses.
PSA.89_1.41	Everyone who passes by has robbed him; he has become an object of mockery to the nations nearby.
PSA.89_1.42	You have made his enemies strong; you have made them celebrate their victory.
PSA.89_1.43	You have repelled his sharp sword; you have not helped him in battle.
PSA.89_1.44	You took away his glory; you threw his throne to the ground.
PSA.89_1.45	You have made him grow old before his time; you have totally humiliated him. Selah.
PSA.89_1.46	How long, Lord? Will you hide yourself from us forever, your anger burning like fire?
PSA.89_1.47	Remember me—my life is so short! Why did you bother creating futile humanity?
PSA.89_1.48	There's no one who doesn't die—no one can save themselves from the power of the grave. Selah.
PSA.89_1.49	Where is the trustworthy love you used to have, Lord, that you faithfully promised to David?
PSA.89_1.50	Don't forget, Lord, how your servants are being humiliated! I'm burdened down
PSA.89_1.51	Your enemies taunt me, Lord, mocking your king
PSA.89_1.52	May the Lord be blessed for ever. Amen and amen.
PSA.90_1.1	Lord, through every generation, you have been “home” for us!
PSA.90_1.2	Before the mountains were born, before you gave birth to the earth and the universe, from eternity past to eternity future, you are God.
PSA.90_1.3	You turn people back into dust, saying, “Return to dust, human beings.”
PSA.90_1.4	In your eyes, a thousand years are like a day that's already gone; like a few passing hours of the night.
PSA.90_1.5	You bring people's lives to a sudden end, like dreams that vanish. They are like grass that grows up in the morning—
PSA.90_1.6	it sprouts in the morning, fresh and new, but by the evening it is withered and dead.
PSA.90_1.7	We are burned up by your anger, terrified by your fury.
PSA.90_1.8	You have set out our sins before you—our secret sins are visible in the light of your presence.
PSA.90_1.9	Our lives fade away under your anger, coming to an end as quickly as a sigh.
PSA.90_1.10	We live for seventy years—eighty if we have the strength. But even in the prime of life all that we have is hardship and suffering. Soon our lives are over and we're gone.
PSA.90_1.11	Who can know the power of your anger? Who understands your fury so you can be shown reverence?
PSA.90_1.12	Teach us to value every one of our days so we can live wisely!
PSA.90_1.13	Lord, how long will it be before you come back to us and have pity on us your servants?
PSA.90_1.14	Show us every morning your trustworthy love so we may be happy, full of joy throughout our lives.
PSA.90_1.15	Make us glad for as many days as you made us sad, for all the years we suffered!
PSA.90_1.16	May we, your servants, see you at work for us
PSA.90_1.17	May our Lord God be pleased with us, blessing what we do, blessing what we do.
PSA.91_1.1	Those who live under the protection of the Most High are kept safe by the Almighty.
PSA.91_1.2	This is what I say about the Lord: “He is the one who defends and protects me. He is my God, and I trust in him.”
PSA.91_1.3	For he will save you from hidden traps and deadly diseases.
PSA.91_1.4	He will hide you under his feathers, and shelter you with his wings. His trustworthiness shields and protects you.
PSA.91_1.5	You will not be afraid of terror at night or an arrow that flies in the day,
PSA.91_1.6	or disease that attacks at night, or catastrophe that falls at noon.
PSA.91_1.7	A thousand may fall beside you, ten thousand die at your right, but you won't be harmed.
PSA.91_1.8	You only have to open your eyes and you will see how the wicked are repaid.
PSA.91_1.9	Because you have made the Lord your protection, and the Most High your home,
PSA.91_1.10	nothing evil will happen to you; no plague will come near where you live.
PSA.91_1.11	For he will command his angels to take care of you in everything you do.
PSA.91_1.12	They will hold you up with their hands so you won't trip and fall down.
PSA.91_1.13	You will trample lions and snakes; you will tread young lions and serpents underfoot.
PSA.91_1.14	I
PSA.91_1.15	When they call out to me for help, I will answer; when they are in trouble, I will be with them. I will save and honor them.
PSA.91_1.16	I will grant them long lives, and show them my salvation.
PSA.92_1.1	How good it is to thank the Lord, to sing praises to you, Most High,
PSA.92_1.2	to tell of your trustworthy love in the morning, and your faithfulness in the night,
PSA.92_1.3	to the music of a ten-stringed harp and the melody of a lyre.
PSA.92_1.4	You've made me so happy, Lord, because of all you've done for me! I sing for joy at what you've done!
PSA.92_1.5	Lord, what you do is amazing; your thoughts are very profound!
PSA.92_1.6	Only senseless people and fools don't know and understand this:
PSA.92_1.7	even though the wicked grow up quickly like grass, and even though people who do evil flourish, they will be destroyed forever!
PSA.92_1.8	But you, Lord, will rule
PSA.92_1.9	Your enemies, Lord, your enemies will die; everyone who does evil will be destroyed!
PSA.92_1.10	But you have made me as powerful as a wild bull; you have anointed me with the best oil.
PSA.92_1.11	My eyes look with pleasure to see my enemies defeated; my ears have heard the downfall of those who tried to attack me.
PSA.92_1.12	Those who live right flourish like a palm tree; they grow tall like a cedar tree in Lebanon.
PSA.92_1.13	They are planted in the house of the Lord; they thrive in the courts of our God.
PSA.92_1.14	Even when they are old they will still produce fruit, staying fresh and green.
PSA.92_1.15	They will declare, “The Lord does what is right! He is my rock! There is no wrong in him!”
PSA.93_1.1	The Lord reigns, clothed in majesty! He wears his royal robes, with his power worn like a belt. The world is held together firmly—it cannot be broken apart.
PSA.93_1.2	Your throne has existed from ages past; you are from eternity.
PSA.93_1.3	The floods have raised up, Lord; the floods have raised their voices; the floods have raised up their crashing waves.
PSA.93_1.4	But greater than the most violent ocean, greater than the largest waves of the sea, the greatest is the Lord above.
PSA.93_1.5	Your laws are totally trustworthy. Your house,
PSA.94_1.1	The Lord is a God of vengeance! God of vengeance, shine out!
PSA.94_1.2	Stand up, judge of the earth, and pay back those who are proud what they deserve.
PSA.94_1.3	How long, Lord? How long will the wicked celebrate in triumph?
PSA.94_1.4	How long will you let them pour out their arrogant words? How long will these evil people go on boasting?
PSA.94_1.5	Lord, they crush your people; they oppress those you call your own.
PSA.94_1.6	They kill widows and foreigners; they murder orphans.
PSA.94_1.7	They say, “The Lord can't see what we're doing. Israel's God doesn't pay any attention to us.”
PSA.94_1.8	Take another look, you stupid people! Fools—when will you ever get the point?
PSA.94_1.9	Do you think the creator of the ear can't hear? Do you think the maker of the eye can't see?
PSA.94_1.10	Do you think that the one who punishes nations won't punish you too? Do you think that the one who teaches human beings knowledge doesn't know anything?
PSA.94_1.11	The Lord knows the thoughts of human beings—he knows they are pointless.
PSA.94_1.12	Those you discipline are happy, Lord; those you teach from your Law.
PSA.94_1.13	You give them peace in days of trouble, until a pit is dug to trap the wicked.
PSA.94_1.14	For the Lord will not give up on his people; he will not abandon his own.
PSA.94_1.15	Justice will once again be based on what is right; those true at heart will support it.
PSA.94_1.16	Who came to my defense against the wicked; who stood up for me against those who do evil?
PSA.94_1.17	If the Lord hadn't helped me, I would have soon gone down into the silence of the grave.
PSA.94_1.18	I shouted out, “My foot's slipping!” and your trustworthy love, Lord, kept me from falling.
PSA.94_1.19	When my mind was full of worries, you comforted me and encouraged me.
PSA.94_1.20	Can unjust judges really be on your side, Lord, when their corrupt use of the law causes misery?
PSA.94_1.21	They work together to destroy good people; they condemn those who are innocent to death.
PSA.94_1.22	But the Lord protects me like a fortress; my God is the rock that keeps me safe.
PSA.94_1.23	He will turn the wickedness of evil people back upon them; he will destroy them because of their sins; the Lord our God will destroy them.
PSA.95_1.1	Come, let's sing for joy to the Lord! Let's shout in triumph to the rock of our salvation!
PSA.95_1.2	Let's go before him with thanksgiving! Let's sing loudly to him in celebration!
PSA.95_1.3	For the Lord is a great God, a great king above all gods.
PSA.95_1.4	He rules over the depths of the earth and the heights of the mountains.
PSA.95_1.5	The sea is his, because he made it; the dry land, because he formed it.
PSA.95_1.6	Come, let's enter in
PSA.95_1.7	For he is our God, and we are the people he looks after like a shepherd, the flock he cares for. If you hear his voice calling you today,
PSA.95_1.8	don't refuse to respond,
PSA.95_1.9	when your forefathers provoked me, testing my patience, even though they had seen everything I'd done.
PSA.95_1.10	For forty years I was disgusted with that generation, and I said, ‘They are people who are unfaithful to me in their minds, and they refuse to accept my ways.’
PSA.95_1.11	So in my frustration I vowed, ‘They will certainly not enter my rest.’”
PSA.96_1.1	Sing to the Lord a new song! All the earth, sing to the Lord!
PSA.96_1.2	Sing to the Lord, and of his wonderful reputation!
PSA.96_1.3	Declare his glorious acts among the nations, the amazing things he does among all peoples.
PSA.96_1.4	For the Lord is great, and deserves the best praise! He is to be respected with awe above all gods.
PSA.96_1.5	For all the gods of other nations are idols; but the Lord made the heavens!
PSA.96_1.6	Splendor and majesty are his; power and glory are in his sanctuary.
PSA.96_1.7	Give the Lord credit, nations of the world, credit him with glory and strength.
PSA.96_1.8	Give the Lord the glory he deserves; bring an offering and come into his courts.
PSA.96_1.9	Worship the Lord in his magnificent holiness; let all the earth tremble in his presence.
PSA.96_1.10	Tell the nations, “The Lord is in charge!” The world is held together firmly—it cannot be broken apart. He will judge everyone fairly.
PSA.96_1.11	Let the heavens sing for joy, let the earth be happy, let the sea and everything in it shout with praise!
PSA.96_1.12	Let the fields and everything there celebrate; let all the trees in the forest sing for joy.
PSA.96_1.13	In fact, let everything that stands before the Lord sing praises,
PSA.97_1.1	The Lord reigns! Let the earth be glad, and distant lands be full of joy!
PSA.97_1.2	He is surrounded by clouds and thick darkness; his throne is founded on justice and right.
PSA.97_1.3	Flames proceed him, burning up his enemies on every side.
PSA.97_1.4	His flashes of lightning light up the world; the earth watches and trembles.
PSA.97_1.5	The mountains melt like wax in the presence of the Lord, before the Lord of all the earth.
PSA.97_1.6	The heavens proclaim his goodness; everyone sees his glory.
PSA.97_1.7	All those who worship idols are humiliated, those who are proud of their idols—for all “gods” bow down before him.
PSA.97_1.8	Jerusalem hears this and celebrates; all the towns of Judah are happy because of your judgments, Lord.
PSA.97_1.9	For you, Lord, are the highest of all, ruling over the whole earth; your position is far above any other god.
PSA.97_1.10	You who love the Lord, hate evil! He protects the lives of those who are faithful to him, and saves them from the power of wicked people.
PSA.97_1.11	Light shines
PSA.97_1.12	Be happy in the Lord, you who do right, and thank him for his holy nature!
PSA.98_1.1	Sing the Lord a new song, for he has done wonderful things: by his powerful right hand and his strong arm he has won the victory.
PSA.98_1.2	The Lord has revealed his salvation to the nations, and shown them his goodness.
PSA.98_1.3	He has not forgotten to show his trustworthy love and faithfulness to the descendants of Israel. Our God has made his salvation clear to the ends of the earth.
PSA.98_1.4	Everyone on earth, shout in triumph to the Lord; break out in joyful songs of praise!
PSA.98_1.5	Sing praises to the Lord with the harp, with the harp and melodious voices;
PSA.98_1.6	with trumpets and the sound of the ram's horn sing in happiness before the Lord, the King.
PSA.98_1.7	Let the sea and everything in it shout with praise, together with the earth and everything living in it.
PSA.98_1.8	Let the rivers celebrate, let the hills join in the celebration
PSA.98_1.9	before the Lord, for he is coming to judge the earth. He will judge the world justly, and the nations fairly.
PSA.99_1.1	The Lord reigns; let the nations tremble! He sits on his throne above the cherubim; let the earth shake!
PSA.99_1.2	The Lord rules supreme in Zion, he is sovereign over all the nations.
PSA.99_1.3	Let them praise his greatness, and respect him for who he is—for he is holy,
PSA.99_1.4	having kingly power. You love justice; you make impartial decisions. You have made sure everything is done in fairness and according to what's right.
PSA.99_1.5	Give respect to the Lord our God! Bow down at his feet, for he is holy!
PSA.99_1.6	Moses and Aaron were among his priests; Samuel also prayed to him. They called out to the Lord for help, and he answered them.
PSA.99_1.7	He spoke to the people from the pillar of cloud, and they kept the laws and decrees he gave them.
PSA.99_1.8	Lord our God, you answered them. You were a forgiving God to them, but you punished them when they did wrong.
PSA.99_1.9	Honor the Lord our God, and worship at his holy mountain. For the Lord our God is holy!
PSA.100_1.1	Everyone on earth shout for joy to the Lord!
PSA.100_1.2	Worship the Lord with gladness; come into his presence with joyful songs!
PSA.100_1.3	Know that the Lord is God! He made us, so we belong to him.
PSA.100_1.4	Go in through his gate with thanks; enter his courts with praise. Thank him; praise him for who he is.
PSA.100_1.5	For the Lord is good. His trustworthy love lasts forever; his faithfulness continues for all generations.
PSA.101_1.1	I will sing of your faithful love and good judgment. I will sing praises to you, Lord.
PSA.101_1.2	I will make sure my life is blameless. When will you come and help me? My life will be one of integrity even in private.
PSA.101_1.3	I will not look at anything evil. I hate doing wrong—I won't have anything to do with it.
PSA.101_1.4	I won't think bad thoughts—I won't even consider anything evil.
PSA.101_1.5	I will silence anyone who secretly slanders their neighbor. I won't tolerate anyone who is proud and arrogant.
PSA.101_1.6	I look for faithful people to live with me; only those who are trustworthy will serve me.
PSA.101_1.7	No one who is dishonest will live in my house; no liars will be allowed in my presence.
PSA.101_1.8	I work every day to silence the wicked in the land, to rid the city of the Lord of all who do evil.
PSA.102_1.1	Lord please hear my prayer, my cry for help!
PSA.102_1.2	Don't hide your face from me in my time of trouble! Turn and listen to me, and answer me quickly when I call.
PSA.102_1.3	My life is disappearing like smoke; my body feels like it's on fire!
PSA.102_1.4	I'm like grass that's dried up, withered away—I even forget to eat!
PSA.102_1.5	All my groaning has worn me out; my bones show through my skin.
PSA.102_1.6	I'm like a desert owl,
PSA.102_1.7	I can't sleep. I'm like a lonely bird on a rooftop.
PSA.102_1.8	My enemies taunt me all day long. They mock me and swear at me.
PSA.102_1.9	Ashes are the food I eat; my tears drip into my drink,
PSA.102_1.10	because of your anger and hostility, for you have picked me up and tossed me away.
PSA.102_1.11	My life is fading away like a shadow that lengthens—I'm withering away like grass.
PSA.102_1.12	But you, Lord, reign
PSA.102_1.13	You will take action and have pity on Jerusalem, for it's time to be kind to the city, the time has come.
PSA.102_1.14	For the people who follow you love its stones; they value even its dust!
PSA.102_1.15	Then the nations will be in awe of who you are, Lord; all the kings of the earth will be in awe of your glory.
PSA.102_1.16	For the Lord will rebuild Jerusalem; he will appear in glory.
PSA.102_1.17	He will pay attention to the prayers of the homeless; he will not disregard their requests.
PSA.102_1.18	Let this be recorded for generations to come, so that people yet to be born may praise the Lord:
PSA.102_1.19	The Lord looked down from above, from the heights of his holy place; he looked down from heaven to the earth,
PSA.102_1.20	to respond to the groans of prisoners, to set free the children of death.
PSA.102_1.21	As a result
PSA.102_1.22	when the people of many kingdoms gather together to worship the Lord.
PSA.102_1.23	But as for me,
PSA.102_1.24	I cried out, “My God, don't take my life while I'm young! You are the one who lives forever.
PSA.102_1.25	Long ago you created the earth; you made the heavens.
PSA.102_1.26	They will come to an end, but you will not. They will all wear out, like clothes—you will change them, and throw them away.
PSA.102_1.27	But you are the one who always is;
PSA.102_1.28	Our children will live with you, and our children's children will grow in your presence.”
PSA.103_1.1	Let every part of me praise the Lord; let my whole being praise his holy character.
PSA.103_1.2	Let every part of me praise the Lord; don't let me forget the wonderful things he's done for me.
PSA.103_1.3	He forgives my sins, and he heals all my diseases.
PSA.103_1.4	He saves me from death; he honors
PSA.103_1.5	He fills my life with all that's good; he makes me young again, strong as an eagle.
PSA.103_1.6	The Lord does what is right, and vindicates those who are exploited.
PSA.103_1.7	He explained his ways to Moses: he told the people of Israel what he was going to do.
PSA.103_1.8	The Lord is kind and gracious, not quick-tempered, and full of trustworthy love.
PSA.103_1.9	He doesn't keep on accusing us; he doesn't stay angry with us forever.
PSA.103_1.10	He does not punish us for our sins as he ought to; he does not pay us back for our wrongdoing as we deserve.
PSA.103_1.11	For as high as the heavens are above the earth is the extent of his trustworthy love to those who honor him.
PSA.103_1.12	As far as the east is from the west is how far the Lord has taken our sins away from us.
PSA.103_1.13	Like a loving father, the Lord is kind and compassionate to those who follow him.
PSA.103_1.14	For he knows how we are made; he remembers we are only dust.
PSA.103_1.15	Human lifetimes are like grass: we blossom like flowers in a field,
PSA.103_1.16	but then the wind blows and we are gone, disappearing without a trace.
PSA.103_1.17	But the Lord's trustworthy love lasts for all eternity to those who accept him; his goodness to all generations,
PSA.103_1.18	to those who keep his agreement and who remember to follow his commandments.
PSA.103_1.19	The Lord has set up his throne in the heavens, and he rules over all.
PSA.103_1.20	Praise the Lord, you angels, you powerful ones who do what he says, listening to what he tells you!
PSA.103_1.21	Praise the Lord, you heavenly armies who serve him and carry out his will!
PSA.103_1.22	Praise the Lord, everything in his creation, everyone under his rule, and let every part of me praise the Lord!
PSA.104_1.1	Let every part of me praise the Lord! Lord my God, you are so great, clothed with majesty and splendor!
PSA.104_1.2	You wear light as your clothing; you stretch out the fabric
PSA.104_1.3	You place the roof-beams of your house in the rainclouds. You make the clouds your chariots. You ride on the wings of the wind.
PSA.104_1.4	You make your angels winds, and your servants flames of fire.
PSA.104_1.5	You set the earth on its foundations; it will never be shaken.
PSA.104_1.6	It was clothed with ocean depths—the waters even covered the mountains—
PSA.104_1.7	but at your command the waters fled; at the sound of your thunder they rushed away.
PSA.104_1.8	The mountains rose up and the valleys sank down to where you had determined.
PSA.104_1.9	You set a boundary for the oceans so they would not come back and cover the earth.
PSA.104_1.10	You make springs flow into the streams, running down between the hills.
PSA.104_1.11	They provide water for all the wild animals, and wild donkeys quench their thirst.
PSA.104_1.12	Birds build their nests in trees along the streams, singing from among the leaves.
PSA.104_1.13	You send down rain on the mountains from your home high above; you fill the earth with good things.
PSA.104_1.14	You make the grass grow for the cattle, and plants for people to eat—crops produced by the earth for food,
