JHN.1.1	Tsidyodaghsawen ne Logos
JHN.10.33	Ne Jewshaga tahhadirivvaghseragon, wairon, yagh ne te saghstonden ne karighwiyo tsiwakwannenyenghten, ok ne tsisarighwayesaghtha; ne wahhoni tsi ise, songwe se, Niyoh sadaddonyon. 
JHN.10.34	Jesus watharighwaghseràgon, yagh ken ten kaghyàdon saghtyawenratseràgon, wàken, fewaniyoh-ògon? 
JHN.10.35	Togat nonken sʼhakonadonghkwaghgwe Niyoh-ogon rononha tsiyeyoyenda-on ne raowenna ne. Yehovah, ok yaghten yaweght entayerighwàrighte ne kaghyadonghseradogenghti; 
JHN.10.36	Ne ken eghtsisewènni, raonha nene Ranihha roragwenni oni oghwhenjage yehonha-on, sarighwayesaghten, ne wahhoni tsi waken, iih naah ne Yehovah Roye-ah? 
JHN.10.37	Togat nonken yagh ne ten katyerha ne raoyodenghsera-ògon ne Ragenihha, toghsa teseweghtaghkon. 
JHN.10.38	Ok denghnon togat etho ne katyerha, se etho yaghten teseweghtaghkon ne niih, teseweghtaghkon nissa tsini kayodenghseròtense; nene aontesewadogense oni aonteseweghtaghkon nene Ranihha iihne yehennderon oni niih raonhage yekideron. 
JHN.10.39	Ne kadi wahhoni sahhonghdàgon àre enhonwayèna: ok washakonyàkenghte èren ne raodisnonghsagon. 
JHN.10.40	Ok eren fàreghte àre isinongadih ne Jordan, tsinonwe John tsi tontyèrenghte wahshakoyatise (washakonohharehhe) ok egh nonwe wahhatye, 
JHN.10.41	Ok yawetowànen etho roneghten tsi irefe oni wahhoniron, yagh ogh ten hoyèren ne John ne yorighwanneghragwaghte: ok denghnon: yorighwagwegon nene John roghtharaghkweni ne ken rongwe togenske naah. 
JHN.10.42	Ok egh nonwe yawetowànen wathoneghdaghkon raonhage.
JHN.11.1	Onen nonwa rayadadògen rononghwàktanihaghkwe, Lazarus ronwayatsgwe, Bethanihaga nene àodinàda ne Mary oni Martha. 
JHN.11.2	(Nene sakayadat Mary nene Royaner ronwa-nonghkwatserarhon, ok ne aononghkwiss ne sayerakèwaghte ne raghsige, nene aonhha yadaddegen Lazarus rononghwaktanihaghkwe). 
JHN.11.3	Ne kadi ne rondennosenhha wakonderighwanyeght raonhhage, yondonyon, Sayaner, satkaghtho, raonhha nene eghtsenoronghkwa rononghwakdani naah. 
JHN.11.4	Neonen Jesus wahharonke nʼetho wahhenron, ne kengayen kanhra yaghten kahhawightenne kenhhèyatne, ok ne aoriwa ne raogloria ne Yehovah, nene etho yaweght nen-awen enhonwagloriste ne Yehovah roye-ah. 
JHN.11.5	Ok ne Jesus shakonoronghkwaghgwe Martha, oni ne yadennosenhha, ok oni Lazarus. 
JHN.11.6	Neonen kadi tsiroghronken tsirononghwak-tanihaghkwe, eghwahhayònise teweghniserage agwath tsinonwe yehennderondaghkwe. 
JHN.11.7	Ethone oghnàgen wahshakawenhaghse ne raotyonghkwa egh àre tsideweghte Judeatseragon. 
JHN.11.8	Ne raotyonghkwa wahhonwenhaghse Sewenniyoh, onwa ok wahhy tsi roneghre ne Jewshaga enyesanènyenghten, ok shegon ken egh ensaseghte? 
JHN.11.9	Jesus tehhariwaghseragon, yagh ken tekeni yawenri hour tʼenkayèrine seweghniserat? togat nonken onghka nʼongwe ire ne wenndege yaghten tehaghsidyaks, ne wahhoni tsi tehakanere ne aogh-swathetsera ne ken yoghwhentjade. 
JHN.11.10	Ok togat ne rongwe ire ne aghsonthàge tehaghsidyaks, naah ne wahhoni yaghten kaghs-wathetserayen ne raonhhatseragon. 
JHN.11.11	Nene kengayen wahhenron: ok oghnagen wahshakawenhaghse, dewadenron Lazarus rodas; ok egh wakeghte nene ensahhiyeghte aonsahhayegh tsi rodas. 
JHN.11.12	Ethone wahhoniron ne raotyonghkwa, Sayaner, togat ne rodas entsyoyannerene. 
JHN.11.13	Sane Jesus ne roghtharaghkwen tsirawenhhèyon: ok ronìron ne ki roghtharaghkwen ne enhorissenndane ne kaserenghtagon. 
JHN.11.14	Ethone watharighwadogenghte ne Jesus wahshakawenhaghse, rawenhheyon naah ne Lazarus. 
JHN.11.15	Ok oni wakadonhahhere ise sewariwa tsi yagh egh ten yehekesgwe, nene aontyesennak aonteseweghtaghkon; shegon sàne egh yedewe raonhhage. 
JHN.11.16	Ethone Thomas, nene Didymus ronwayats, wahshakawenhaghse ne rondenron tsinikenntyoghkwa, egh oni yeddewegh, nene aondon enfkatne endewenhheye ne raonhha. 
JHN.11.17	Ethone neonen Jesus wàfawe, wahhodogense tsi onen kayèri niwada tsi oghwhentjogon yegayen ne raoyeronda kenhha. 
JHN.11.18	(Yaweght wisk yawenri surlong ne Jerusalemne tsiniyòre ne Bethani.) 
JHN.11.19	Ok yawetowànen ne Jewshaga wahhonewe tsi yederon ne Martha oni Mary, konwadinikongh-ketsgwenni tsinihoyadawe-on ne rondaddegen kenhha. 
JHN.11.20	Ethone Martha, ne onen wa-odogenfe dare ne Jesus, egh wa-eghte wathodderaghte; ok ne Mary ok onen tsi kennderon ne kanonghfagon. 
JHN.11.21	Ethone Martha wahhawenhaghse ne Jesus, Sayàner, togat ken aontaghseseke yaghten aontohawenhhèyonge ne akyadaddege-ah. 
JHN.11.22	Ok kyenderi denghnon, onen nonwa, tsiok nahhoten enghtserighwanegen ne Yehovah, enghyon naah ne Yehovah. 
JHN.11.23	Jesus wahshakawenhaghse, tsyadaddegeah-en-sahhatketsko naah. 
JHN.11.24	Martha sahhonwenhaghse, kerighwayenderi ensahhatketsko àre, tsinentsyontketsko onen enwadoghwhenjokten. 
JHN.11.25	Jesus wahshakawenhaghse, iih naah ne kerighwagweri niyoh ne ne entsyentketskon oni ne adonhèta; raonha nene tehaweghtaghkon iihne, se etho enhawenhheyonge, shegon sàne aghronhekè. 
JHN.11.26	Ok onghkakiok ronhe oni tehaweghtaghkon iihne, yaghnonwenndon te enghrenhheye. Teseghtaghkon ken ne kengayen? 
JHN.11.27	Wahhonwenhhaghse, etho, Sayàner; tewakeghtaghkon nene ise naah ne Christus, ne Yehovah Roye-ah, nene karighwisson oghwhenjàge entreghte. 
JHN.11.28	Ok neonen tsi etho ne yoyèren, èren waeghde, oni wakonwadinonge Mary ne yadennosenhha adaghseghdonke, wàdonnyon, onen íronh ne Rawenniyoh, oni aghyayadisaks. 
JHN.11.29	Kawenniyoh ne wa-ònronke, oksaok takàdane, ok egh wa-onwe tsi íre. 
JHN.11.30	Ok ne Jesus arekho ten yehhàrawe Kanadagon, etho ok yeresgwe tsinonwe watyadderane ne Martha. 
JHN.11.31	Ethone ne Jewshaga ne wadògen yederondaghkwe kanonghsagon, ne konwanikonghkets-gwenni, neonen wakonwàken Mary kayadaghsnore tsi watkadane, oni wa-eyàgenni, wakonwaghsere, yondonyon, etho onghtè tsi ronwayadatha waeghde, watstaràni etho nonwe. 
JHN.11.32	Ethone neonen Mary wahhoyadòrenne ne Jesus, oni wahhotkaghtho, eghdage wa-ontyadòndi raghsíge, royenneni, Sayàner, togat ken aohtaghsestke yaghte aontehawenhheyonke ne akyadàddege-ah. 
JHN.11.33	Neonen kadi Jesus wahhoken watstaràni, oni ne Jewshaga ne konwakaghdatyene rontstaràni, watha-oghsenha ne raonigonragon, oni wahharongh-yàgen. 
JHN.11.34	Oni wahhenron, kàh nonwe nene tsi wagh-tsisewayatyònite? wahhonwenhhaghse, sayàner, kàts satkaghtho. 
JHN.11.35	Jesus wahhatstarha. 
JHN.11.36	Ethone wairon ne Jewshaga, tsyatkaghtho, tsini honoronghkwaghgwe. 
JHN.11.37	Ok oddyake tsinihadi wahhoniron, ne ne ken rongwe, nene ronhodongwen ne akokaghtege ne teyakoronwègen, yagh ken te enhogwennyon aontahharihhoni ne yaghten aontehawenhheyonge oni ne kengayen rongwe kenhha? 
JHN.11.38	Jesus kadi àre teshaoghsenha rayàdagon, ìre tsiyondadyadatta-aghstha. Oghwhentjogon ne kenghne ok onenya egh kàhraghkwe. 
JHN.11.39	Jesus wahhenron, éren sewahhàwighte nʼo-nènya. Martha nene yadennosen kenhha ne rawenhhèyon, wahhoyenhaghse, Sayaner, onen onghte nonwa rayadageras: iken onen se kayeri niwada tsi hawenhhéyon. 
JHN.11.40	Jesus washakawenhaghse, yaghken ten ko-yènni, nene togat nonken aonteseghdaghkon, ensaderighwatkaghtho naah ne raoglorià ne Niyoh? 
JHN.11.41	Ethone èren wa-ehhàwighte nʼonenya, nene tsi kayendaghkwe ne rawenhhèyon. Ok Jesus eneken wahhatkaghtho, oni wahhenron, Rageni niyàwen watkononghweraton tsi waskwaihondane. 
JHN.11.42	Ok si kerighwayenderi tiutkon takwathondats: ok ne wahhoni ne ongwe ne ken radikennyide ne wàken, nene aontehoneghtaghkon tsi ife takenha-on. 
JHN.11.43	Ok ne onen etho ne hoyèren, wahhadewennayendon rowènndeght, Lazarus, kàro tafeghten. 
JHN.11.44	Ok ne rawenhhèyoh tahhayàgenne, ràneren ne rasnonke oni raghsige ne nahhoten ronwaghwènnonyàtha: ok onyadarà ronwakonghsarktha Jesus wahshakawenhaghse, eghtsisewaghnerenghsyon oni eghtsisewaghtkawe. 
JHN.11.45	Ethone yawetowanen ne Jewshaga nene Marighne wahhonewe, onen tsi wahhontkaghtho tsinikarighòten ne hoyèren Jesus, wathoneghtaghkon raonhage. 
JHN.11.46	Ok oddyake etho wahhoneghte ne Pharìsees ne, oni wahshakodighrori tsini karihhoten ne hoyèren Jesus.
JHN.11.47	Ethone ne radiyadagwenniyose Cohenàfon oni ne Pharisees wahhaditjenhhayen, ok wairon, ogh nʼendewàyere? iken ne ken rongwe efo ne yorighwanneghragwaght tsini hayerha. 
JHN.11.48	Togat nonken iddewerhek, raweronhatye nissa, agwegon ne ongwe enthoneghdaghkon raonhage: oni ne Romani enthòne oni enhonghtonde tsini dewayadòten oni tsi dewanakere. 
JHN.11.49	Oni shayadat tsini hadi nene Caiphas ronway atsgwe, ethone sayoghserat rayadagwenniyonghkwe ne Cohena, wahshakawenhaghse, yagh othenon ten sewarighwayenderi. 
JHN.11.50	Yagh oni tesewarighwaka-enyon tsi ongwa-yanerenghsera naah, nene tsyongwedat aghrenhheye ne akoriwa ne ongwe, nene yaghten enwaghtonde agweson tsinideyoghwhenjòden. 
JHN.11.51	Ok ne ken yagh raonhha raonigonra ten hodadi: ok ethone sayoghserat raonhha yaweght rakowanen ne Cohenà, wahharighwatròri tsi rarighwakènse nene Jesus aghrenhheye ne akoriwa nʼetho ne aka-oghwhentsyoden; 
JHN.11.52	Yagh oni ne ok ne etho ne akaoghwhenjòden, ok denghnon oni wadògen enshakoyadaròroke ne Yehovah shakoye-ongonwa nene èren ronwadirenyàden. 
JHN.11.53	Ethone weghniserade yodaghsawen wathadiyadòreghte tsinenhadìyere ne enhonwaryoh. 
JHN.11.54	Jesus kadi yaghten sʼhoddawenryon shegon ne kanenherhen ne Jewshagage; ok éren sàreghte tsidyenakere onontonha niyòre ne karhagon, tsi kanadayen ne konwayats Ephraim, ok egh wahhontye ne raotyonghkwa.
JHN.11.55	Ok onen onontohha tsinihondennyodden ne Jewshaga nene eren wa ondongoghte: ok yawetowànen ne yenakereghseràgon egh wahhoneghde Jerusalemne arekho tsi waderighwehhawise nene eren waondongoghté, nene aontehondyadohharehhen. 
JHN.11.56	Ethone wahhonwayadisake ne Jesus, oni rondadderighwanondonyon, aghson tsi radikennyadaghkwe Templetseragon, oghnahhoten isewere? yagh ken ten aontàre tsi wadennyode? 
JHN.11.57	Onen nonwa nene radikowanenghse ne Cohenàson oni ne Pharisee shakoderighwissa-enni, nene onghka kiok enyerighwayenderihek tsi iresgwe, enghshakodinadonhaghse nene aontahhowayena.
JHN.12.1	Ethone yayak ne weghniferage arekho sontewaderighwihhewe nene eren waondoagoghte, Jesus warawe ne Bethani, tsirenndetondaghkwe ne Lazarus, nene rawenhhèyoghne, neoni ne shoketsgwen tsihawenhhéyon. 
JHN.12.2	Etho nonwe wahhowahkonyon ne tyokaraska, oni Martha wa-ontsterist: ok Lazarus naah tsinihadi ne wadògen wahhontye tsi kàhkwahraghkwe. 
JHN.12.3	Ethone wàtkaghkwe ne Mary skakonghtserat ne ne kanonghkwatseròten ne spikenard, nene, agwagh kanòron, oni wakarhon ne raghsíge Jesus, ne aononghkwiss ne wa-erakéwenghte ne raghsige: ne kanonghsagon agwagh wakanànon tsinikaseròten ne ononghkwa. 
JHN.12.4	Ethone wahhenron sʼhayadat ne raotyonghkwa, Judas Iscariot, Simon roye-ah, raonha ne yawèron enhonikonghràsere. 
JHN.12.5	Oghne yotyèren yaghten yakodenghnínon ne ken ononghkwa aghsen tewennyawe pennys sadenyonènon, oni aonteyondaddawi ne yakodenght? 
JHN.12.6	Yagh ne ten hawen tsinisʼhakonikònrare ne yakodenght; ok denghnon ne aoriwa tsi ranenghsgwas, oni tsi rahhawe ne kàyare, ok oni tsinàhhòten nʼetho wa-èyen. 
JHN.12.7	Ethone Jesus wahhenron, yaweronhatyé nissa: ne se tsinenwadeghniserihhewe tsinenyonkyadathen ne yoghsennòni ne kengayen. 
JHN.12.8	Iken ne yakodenght tiutkon wadògen ifewese; ok denghnon niih yagh tiutkon ten iddewese. 
JHN.12.9	Eso kadi ne ongwe ne Jewshaga rodidogènse tsi etho yèresgwe; oni wahhonewe yagh ne ok ne Jesus raoriwa, ok denghnon oni nene aontehonwatkaghtho Lazarus, nene sʼhoketsgwen tsi rawenhheyoghne. 
JHN.12.10	Ok ne radikowanenghse Cohenàson wathadiyadòreghte, tsina-àwen aontehowaryoh oni ne Lazarus; 
JHN.12.11	Ne wahhoni tsi raonha wahhorihhòni yawetowànen ne Jewshaga egh wahhoneghde oni wathoneghdaghkon ne Jesus.
JHN.12.12	Tsi-wa-orhenne yawetowànen ne ongwe nene egh tʼhonàdi tsi wadènnyode, ne onen wahhodidògense tsi Jesus tentàre Jerusalemne. 
JHN.12.13	Wathadinhaghtyàkon ne palm kerhidèn, ok wahhonghdendi wathonwadderaghde, oni wahhondewennayèndon, Hosanna: royadadderisten naah ne Rowakorah ne Israel ne ne tàre raoghsènnagon ne Royaner. 
JHN.12.14	Oni Jesus, neonen tsi royadatshenni ne yodonnhiyo adennàdi, egh wahhatye tsi niyought tsi kaghyàdon. 
JHN.12.15	Toghsa tesadonghharènron, Sion yesayè-ah: tsyatkaghtho, sakòrah tàre adennàdi aowna roghsede. 
JHN.12.16	Nene ken tsinikarihhòten yaghten hodinigonghrayenda-on ne raotyonghkwa ne tontyèrenghde: ok ne onen Jesus wahhonwaglorste, ethone sahhoneghyàrane tsi etho ne ronwarihhotenghsten tsi kaghyàdon, oni tsi rononha etho ne karihhòten tsini honwayèren. 
JHN.12.17	Ne ongwe kàdi nene wadògen ronesgwe ne onen tsiyehharonghyehha Lazarus oghwhenjògon tsi yehayadayendaghkwe, neoni sʼhoketsgwen tsi rawenhheyonghne, ne wahhonderighwatròri. 
JHN.12.18	Ne oni aoriwa tsi wahhonwayadisake ne ongwe, ne wahoni tsi ronaghronken tsi etho ne hoyèren ne ken yorighwaneghragwaghte. 
JHN.12.19	Ne Pharisee kadi rondonyon tsi rodighthare, sewaddedogea-onhatye ken tsi yaghothenon ten sewaderighwaghtentyatha? Erongh ken agwegon ne ongwe ronwaghnonderatye.
JHN.12.20	Ok radiyàdare radiyadadògen ne Greek, nene egh wahhonewe tsi wadènnyode nene aonteyenidenghtàse. 
JHN.12.21	Ne sʼhadiyàdat kadi wahhonewe Philipne ne Bethsaida haga ne Galilee, oni wahhowarighwanegen, rondonyon, Sewenniyoh yakweghre aghfakwàken ne Jesus. 
JHN.12.22	Philip yehharawe oni roghrori Andrew: ok àre, Andrew oni Philip wahhowaghrori Jesus.
JHN.12.23	Ok Jesus tahharighwaseràgon, radonnyon, onen waonderighwihhewe tsinaontahowagloriste ne rongwe Ronwaye-ah. 
JHN.12.24	Agwagh togenske, wakwenhaghse, togat ne kànen ne onekare yagh oghwhentjage tʼenkayendane oni aòndakenheye, aonhhà ok enkenhak, ok denghnon togat enkenhheye yawetowànen enkanenhòndane. 
JHN.12.25	Raonha nene ranoronghkwa tsi ronhe enhodi naah: ok raonha nene raghswenfe tsironhe ne ken oghwhentjage, ne enhoyendatye tsi nonwe nʼeterna adonheta. 
JHN.12.26	Togat nonken onghka ne ongwe rakheghsnyese, kinyoh raksere; ok tsi nonwe niih enkeseke, etho oni aghreseke ne rinhase: onghka kiok ne ongwe rakheghsnyese, raonha naah ne Ragenihha enhokonnyenghst. 
JHN.12.27	Onen nonwa yoronghyìgen nʼakertigenra; ok nahhoten enkiron; Rageni takyàdagon eren serighwaghkwit ne ken hour; ok, denghnon ne aoriwa tsi wakerighwaràon ne kengayen hour. 
JHN.12.28	Rageni, segloriste saghsenna. Ethone tayowennadatye ne Karonghyàge, wadonyoh, onen wakegloríste ok àre enskegloriste. 
JHN.12.29	Ne ongwe kadi ne egh radikennyàde, oni ronathonde, wairon, yoweraghra-onhatye: oya sàyairon Karonghyagegh ronon wahhowènnrane. 
JHN.12.30	Jesus tahhariwaghseràgon oni ràwen, ne kengayen tayowennadatye yagh nʼiih akeriwa tegen, ok ise sewarìwa. 
JHN.12.31	Onen nonwa watkonwayadòreghte ne ken yoghwhentjade: onen ne ronwakowanen ne ken yoghwhentjade enhowayadinnekenhhon. 
JHN.12.32	Ok niih, togat nonken enegen enyonkhàwighte ne Oghwhentjage, iihne agwegon enkheyadaddironden ne ongwe. 
JHN.12.33	(Etho ne hoyèren, yaweght ranàdonnyon tsini kenhheyontseròten aghrenhheye) 
JHN.12.34	Ne ongwe tehadiriwaghseràgon, wakwaghronken yoghtyawenratseràgon ne ne Chtistus tiutkon aghreseke; ok òghne yotyèren, tsisàdon. Ne Rongwe Ronwayeah enegen enhonwenhhawighte? Onghka ne gen ne Rongwe Ronwaye-ah? 
JHN.12.35	Ethone Jesus wahshakawenhaghse, sʼhegon oghstonha aghson kaghswathetseràyen tsi isewese: tsyathahhak aghson sewaghswathetseràyen, nene yaghten ensewàkaraghwe: iken nene tsi tyokaras ire yaghten hayendèri tsini yehhare. 
JHN.12.36	Aghson sewaghswathetseràyen, teseweghdagh-kon ne kaghswathetsera, nene yetshiye-ah enkenhak ne kaghswathetsera. Etho ne karihhòten tʼhodadi Jesus, ok eren sareghte oni wahhadaghseghte.
JHN.12.37	Ok denghnon sàne yawetowànen tsinihoyèren ne yorighwaneghragwaghte tsi tehadikànere, sʼhegon yaghten tehoneghtaghkon raonhhage. 
JHN.12.38	Nene enkayèrine tsini hawennoten ne Prophet Esaias, nene rcdadighne, Sayàner, onghka teyakaweghtaghkon tsiniyakwarighhòten? oni onghka ronwa didogàtha ne ranontshage (tsinihaweyenoten) ne Royaner? 
JHN.12.39	Ne kadi wahhone yaghten yodon aontehoneghtaghkon, ne aoriwa tsi sahhawen are Esaias. 
JHN.12.40	Washakorònwekte raodikaghtege, oni roghniràton raoneryàne: nene yaghten aontehadikaghrayèndane, yagh oni tʼenyoyendane raoneryaghsagon, tsinikarihhòten oni aonlahodirighwiyoston, ok oni aonsakhetsyende. 
JHN.12.41	Ne kengayen tsini karihhoten rawen Esaias, neonen wahhatkaghtho raogloria, oni wahhoghtharahkwen.
JHN.12.42	Ok sàne tsinihadi ne radiyadagwenniyose yawetowanen wathoneghtaghkon raonhhage; ok denghnon ne raoderiwa ne Pharisee yaghten hodirighhodaghsyon tsinihorighhòten, ne ne yaghten aontahowadiyadinnekenhhon ne Synagogue; 
JHN.12.43	Iken senhha radinonwesgwe nene ongweghne enhonwanatteweghgwe, tsiniyought ne Niyoh aonteshakodeweghgwen.
JHN.12.44	Jesus wahhaddewennayèndon oni rawen, raonhha ne tehaweghtaghkon iihne, yaghten tehaweghtaghkon iihne, ok denghnon raonhhage ne ne rakhenha-on. 
JHN.12.45	Oni raonhha nene tehakekànere, tehokanere oni raonhha nene rakhenha-on. 
JHN.12.46	Iih naah ne wakaghswathetseradirhon ne oghwhentjàge, nene onghka kiok enthaweghdaghkon iihne, yaghten aontehennderondake tsityokaras. 
JHN.12.47	Ok oni togat onghka kiok ne ongwe rothonde tsinikewennòten, ok yaghten tehaweghdaghkon, yaghten tehayadoreghtha: iken yagh ne te kenyende aontekheyadòreghte ne ongwe ok denghnon nene ensakheyàdagon. 
JHN.12.48	Raonhha nene eren rakwatyeghten, oni yaghten harighwatsteristha tsini kewennòten, royen sʼhayàdat nene tehoyadoreghtha: ne nahhoten tekewenninnege-on, ne ne saoríwat enthoyadòreghte onen enwadonghwhentjokten. 
JHN.12.49	Iken yagh niih ten wakadattrori; ok denghtion ne Ragenihha ne ne rakhenha-on ne rakherighwàwigh tsinahhoten enkiron oni tsinahhoten enwaktharaghkwak. 
JHN.12.50	Oni kerighwayenderi tsinahhoten rakherighwawi naah ne eterna adonhèta: tsiok nahhoten kadi wakthàre, nene agwagh tsinihakwenni ne Ragenihha etho niyought wakthare.
JHN.13.1	Onen nonwa arekho te wadènnyode ne tsi eren wa-ondongoghte, ne onen Jesus roderyendare onen watkayèrine ne raohour nene eren aonsareghte ne ken yoghwhentjade tsi renderon ne Ranihha, ok tsiniyought tsi sʼhakonoronghkwaghkwe ne shakowenniyoh ne oghwhentjage, onen tsinaonderihhokte wasʼhakonoronghkwa. 
JHN.13.2	Onen kadi tsi rodihkwennda-on, ne onegh-shonronon onen tsiroweyennenda-on ne Raweryaghsagon ne Judas Iscariot, nene enhonikonghràsere. 
JHN.13.3	Jesus tsi roderyendare ne ne Ranihha yorighwagwègon rasnonghsagon rorighhontyeghten, ok oni tsi egh tʼhoyenghtaghkwen Yehovaghne, etho oni Yehovaghne aonsareghde. 
JHN.13.4	Tentahhadane tsi ratikonihhaghkwe, ok akde wàhhàyen raonèna: oni Watraghkwe yerakewaghtha onyadarà-a, oni ne wahhodyadanha. 
JHN.13.5	Oghnagen wahhaghnekàweron keratne, oni wahhadaghsawen wahhanohharehha radighsíge ne raotyonghkwa, oni ne wahharakewaghte ne onyadarà-a nene rodyadanha ne ràtha. 
JHN.13.6	Ethone tsi warawe tsi rennderon Simon Peter; Peter wahhawenhaghse, Sayàner, senohharehha ken aksíge? 
JHN.13.7	Jesus tahhariwaghseràgon, oni wahhawenhaghse tsiniwakyèronhatye yaghten saderyendare nonwa; ok denghnon oghnagenke ensadogense. 
JHN.13.8	Peter wahhawenhaghse, yagh nonwenndon tʼensennohhare aksíge. Jesus sahhawenhaghse, togat yaghten enkennohhare ise, yaghten isyàdare iihne. 
JHN.13.9	Simon Peter wahhawenhaghse, Sayàner, yaghte neok aksíge, ok denghon oni kesnonke oni kenontsine. 
JHN.13.10	Jesus waldiawenhaghse, raonhha nene wahhonwannohhare neok teyodoghwhentsyohhon ne raghsige enyennohhare, ok kaweyenennda-on ronwannohhareghtsihon, oni yetshinnohhare, yagh denghnon ne sewagwegon. 
JHN.13.11	Iken roderyendare onghka enkenhak enhonigonghràsere ne wahone rawen, yagh agwegon ten yetshinnohhare. 
JHN.13.12	Oghnagen kadi tsiwahhannòhhare ne ne radighsige, oni teshoghkwen raonèna, oni tsi sahhatyen, walishakawenhaghse, sewayenderi ken tsini wakwayèren? 
JHN.13.13	Takwanadonghkwa, Sewenniyoh oni Sayaner: oni tesewarighwayeritse; iken togenske naah. 
JHN.13.14	Togat iih kadi, ne eghtsisewawenniyoh oni eghtsisewayanèda, wakennohhare sewa hsige; ise oni aontetsyadaddennohharehhen sewaghsíge. 
JHN.13.15	Iken kwarighwàwe ne enfewaddennagéraghte, nene etho nʼensewàyere tsi niih ne wakwayèren nʼise. 
JHN.13.16	Agwagh togenske, togenske, wakwenhaghse, ne ronwanhase yagh senhha tehakowànen tsi niyought ne Royaner; yagh oni raonhha ne ronwanha-on senhha te hakowanen tsiniyought raonhha nene ronha-on. 
JHN.13.17	Togat sewarighwayenderi ne ken ne karjhhotense, sewayadadèri naah togat aontesewarighwayèrit nʼetho.
JHN.13.18	Yagh ne ten kwaghtharaghkwen sewagwegon; kheyenderi tsinihadi keyadaragwenni; ok nene kaghyadonghseradogenghti, aontekarighwayèríne, Raonhha nene teyakyadonts kanadarohk tsi kideron, ok teyodasharàtegh rakwasenghtani. 
JHN.13.19	Onen nonwa kwaghròri arekho tʼenwaderighwihhewe, nene ethone neonen wa-onderighwihhewe aonteseweghdaghkon tsi iih naah nʼetho. 
JHN.13.20	Agwagh togenske, wakwenhaghse, Raonhha nene wahhoyèna onghka kiok enkhennhane, Iih ki yaweght wahhakyèna; ok ne raonhha nene iih wahhakyèna, ne wahhòyena raonhha nene rakhennha-oni 
JHN.13.21	Neonen Jesus etho nihoyèren, wahharonghyagen raonigonragon, ok tahhàrighwatròri rawen, Agwagh togenske, togenske wakwenhaghse, nene sʼhayadat tsinitsyon enhakenikonghràsere. 
JHN.13.22	Ethone ne Raotyonghkwa ok tehondadkanere, teʼnonaderighhodarhòse onghka enkenhak ne ròdon. 
JHN.13.23	Onen nonwa egh yehotkònha ranaghsgwage Jesus, sʼhayadat tsini hadi raotyonghkwa, nene Jesus ronoronghkwaghkwe. 
JHN.13.24	Simon Peter kadi yehodedogàtha, nene en-horighwanòndonse onghka enkenhak ne roghtharaghkwen. 
JHN.13.25	Ethone ne raonha nene ratkonhhaghgwe Jesus Ranaghsgwage wahhawenhaghse, Sayaner, onghka naah? 
JHN.13.26	Jesus tentahhawen, raonhha naah nene èn-hínonte teya-ongoghton kanadaròhk, neonen enwakennànawenghte. Oni kawenniyoh tsi ronanawenghton ne kanadarohk tahhòyon ne Judas Iscariot, ne Simon Roye-ah. 
JHN.13.27	Ok oghnagenge tsiròkon, Satan wahhodaweyaden. Ethone Jesus walihawenhaghse tsini sen-yende, serighwagnsnòrat. 
JHN.13.28	Yaghonghka nonwa ne atehkwarakta radideron te yakoderyendare, tsinahhoten ireghre tsi ne wahhawenhaghse. 
JHN.13.29	Iken oddyake tsinihadi ok te honeghre, ne ken wahhone tsi rahhawe ne kàyare ne Judas, nene Jesus wahhawenhaghse, aghsnínon tsinahhòtense teyongwadonghwentsyons tsi wadènnyode; togat oni, nahhoten aonteshakàwen ne yakodenght. 
JHN.13.30	Ethone neonen tsiwahhayèna ne kanadarohk, oksaok sahhayàgenne; oni onen tsi tyokaras.
JHN.13.31	Etho kadi, neonen tsi sʼhoyage-òn, Jesus rawen, onen nonwa wahhonwagloriste ne Rongwe Ronwayeah, oni raonhhatseragon wahhonwagloriste ne Niyoh. 
JHN.13.32	Togat nonken ne Yehovah raonhhatseragon enhonwagloriste, Yehovah oni enhogloriste raonhhatseràgon, oni yokondattye enhogloriste. 
JHN.13.33	Sewaksàda, shegon neyorighwessa aghson iddewese. Enghskwayadísake, ok, tsinikheyeràse ne Jewshaga, tsiniyehenke yaghten yaweght yensewawe; etho, oni nonwa ne kwayeràse. 
JHN.13.34	Ase ne kwarighwàwi, nene entsyadaddenoronghkwake; tsiniyought niih tsikwanoronghkwaghkwe, etho oni niyought aontesewadaddenoronghkwak. 
JHN.13.35	Etho nenyàwen agwegon ne ongwe enyakodogense nene ise naah ne aketyonghkwa, togat nonken sewadaddenoronghkwa.
JHN.13.36	Simon Peter wahhawenhaghse, Sayaner, kàh waghse? Jesus sahhawenhaghse, tsini yehenke yaghten yaweght nonwa asknonderatyeght; ok denghnon oghnagen asknonderane. 
JHN.13.37	Peter wahhawenhaghse, Sayaner, oghne yotyèren tsi yaghten yaweght enkoghnonderatyeght nonwa? yodòn se aontekadewenndeghte tsi konhe, ise serihhòni. 
JHN.13.38	Jesus tentahhawenhaghse, yodòn ken aontesadowenndeghte tsi sonhe iih akerihlioni? agwagh togenske, togenske wakoyenhaghse, ne kitkit arekho tʼenwadadihhek, ok aglisen nʼaghsadonnhiyen tsi takyendèri.
JHN.14.1	Toghsa oya ne sewanigonghrawen, teseweghdaghkon ne Yehovah, Iihne oni tefeweghtaghkon. 
