GEN.1.1	Alussa Jumala loi taivaat ja maan. 
JHN.9.10	 Niin he kysyivät häneltä: ”Miten sinun silmäsi sitten ovat auenneet?” 
JHN.9.11	 Hän vastasi: ”Se mies, jota sanotaan Jeesukseksi, teki tahnaa, siveli sitä silmiini ja käski minun mennä Siloan altaalle peseytymään. Minä menin ja peseydyin ja sain näköni.” 
JHN.9.12	 He kysyivät häneltä: ”Missä hän on?” Mies vastasi: ”En tiedä.” 
JHN.9.13	Mies, joka oli ennen ollut sokea, vietiin fariseusten luo. 
JHN.9.14	 Se päivä, jolloin Jeesus teki tahnan ja avasi hänen silmänsä, oli sapatti. 
JHN.9.15	 Myös fariseukset kyselivät mieheltä, miten hän oli saanut näkönsä. Hän vastasi heille: ”Hän pani tahnaa minun silmiini, minä peseydyin ja nyt minä näen.” 
JHN.9.16	 Silloin muutamat fariseuksista sanoivat: ”Se mies ei ole Jumalasta, koska hän ei pidä sapattia.” Toiset sanoivat: ”Kuinka voi syntinen ihminen tehdä tällaisia tunnustekoja?” He olivat keskenään eri mieltä. 
JHN.9.17	Sen tähden he kysyivät jälleen sokealta: ”Mitä sinä sanot hänestä, avasihan hän sinun silmäsi?” Mies vastasi: ”Hän on profeetta.” 
JHN.9.18	Juutalaiset eivät kuitenkaan uskoneet, että hän oli ollut sokea ja saanut näkönsä, ennen kuin he kutsuivat näkönsä saaneen vanhemmat 
JHN.9.19	 ja kysyivät heiltä: ”Onko tämä teidän poikanne, jonka te sanotte syntyneen sokeana? Miten on mahdollista, että hän nyt näkee?” 
JHN.9.20	 Hänen vanhempansa vastasivat: ”Sen me tiedämme, että tämä on meidän poikamme ja että hän on syntynyt sokeana. 
JHN.9.21	 Mutta että hän nyt näkee, sitä emme tiedä. Emme myöskään tiedä, kuka on avannut hänen silmänsä. Kysykää häneltä itseltään, hän on täysi-ikäinen, puhukoon itse puolestaan.” 
JHN.9.22	 He sanoivat näin, koska pelkäsivät juutalaisia. Juutalaiset olivat näet jo sopineet keskenään, että se, joka tunnustaisi Jeesuksen Kristukseksi, erotettaisiin synagogasta. 
JHN.9.23	Sen tähden hänen vanhempansa sanoivat: ”Hän on täysi-ikäinen, kysykää häneltä.” 
JHN.9.24	Niin he kutsuivat toistamiseen miehen, joka oli ollut sokea, ja sanoivat hänelle: ”Anna kunnia Jumalalle. Me tiedämme, että se mies on syntinen.” 
JHN.9.25	 Hän vastasi: ”Onko hän syntinen, sitä en tiedä, mutta sen tiedän, että minä, joka olin sokea, nyt näen.” 
JHN.9.26	 He kysyivät häneltä: ”Mitä hän teki sinulle? Miten hän avasi sinun silmäsi?” 
JHN.9.27	 Mies vastasi heille: ”Johan minä sen teille sanoin, mutta te ette kuunnelleet. Miksi te taas tahdotte sen kuulla? Tahdotteko tekin ruveta hänen opetuslapsikseen?” 
JHN.9.28	 Niin he herjasivat häntä ja sanoivat: ”Sinä olet hänen opetuslapsensa, mutta me olemme Mooseksen opetuslapsia. 
JHN.9.29	 Me tiedämme, että Jumala on puhunut Moosekselle, mutta tästä miehestä emme tiedä, mistä hän on lähtöisin.” 
JHN.9.30	 Mies vastasi heille: ”Sehän tässä on ihmeellistä, että te ette tiedä, mistä hän on lähtöisin. Ja kuitenkin hän on avannut minun silmäni! 
JHN.9.31	 Me tiedämme, ettei Jumala kuule syntisiä, mutta sitä hän kuulee, joka kunnioittaa häntä ja tekee hänen tahtonsa. 
JHN.9.32	Ei ole ikinä kuultu, että joku olisi avannut sokeana syntyneen silmät. 
JHN.9.33	 Ellei hän olisi Jumalasta, hän ei voisi tehdä mitään.” 
JHN.9.34	 He vastasivat hänelle: ”Sinä olet täysin synneissä syntynyt mies. Sinäkö opetat meitä!” Ja he ajoivat hänet ulos. 
JHN.9.35	Jeesus sai kuulla, että mies oli ajettu ulos. Tavatessaan hänet Jeesus kysyi: 
JHN.9.36	 Hän vastasi: ”Herra, sano kuka hän on, että voisin uskoa häneen.” 
JHN.9.37	 Jeesus sanoi: 
JHN.9.38	 ”Herra, minä uskon”, mies sanoi ja kumartui palvomaan häntä. 
JHN.9.39	Jeesus sanoi: 
JHN.9.40	Muutamat fariseukset, jotka olivat hänen lähellään, kuulivat tämän ja kysyivät häneltä: ”Emme kai me ole sokeita?” 
JHN.9.41	 Jeesus vastasi heille: 
JHN.10.6	Jeesus kertoi heille tämän vertauksen, mutta he eivät ymmärtäneet, mitä hänen puheensa tarkoitti. 
JHN.10.7	Siksi Jeesus sanoi vielä: 
JHN.10.19	Nämä sanat aiheuttivat taas erimielisyyttä juutalaisten kesken. 
JHN.10.20	 Monet heistä sanoivat: ”Hänessä on riivaaja, hän on järjiltään. Miksi te häntä kuuntelette?” 
JHN.10.21	 Toiset sanoivat: ”Tämä ei ole riivatun puhetta. Ei kai riivaaja voi avata sokeiden silmiä?” 
JHN.10.22	Jerusalemissa vietettiin temppelin vihkimisen muistojuhlaa , ja oli talvi. 
JHN.10.23	 Kun Jeesus käveli temppelialueella Salomon pylväskäytävässä, 
JHN.10.24	 juutalaiset piirittivät hänet ja sanoivat: ”Kuinka kauan sinä pidät meitä epätietoisina? Jos olet Kristus, sano se meille suoraan.” 
JHN.10.25	 Jeesus vastasi: 
JHN.10.31	Silloin juutalaiset poimivat jälleen kiviä kivittääkseen hänet. 
JHN.10.32	 Jeesus sanoi: 
JHN.10.33	 Juutalaiset vastasivat: ”Emme me sinua hyvän teon tähden kivitä vaan jumalanpilkan tähden, koska sinä, joka olet ihminen, teet itsesi Jumalaksi.” 
JHN.10.34	Jeesus vastasi heille: 
JHN.10.39	Niin he yrittivät taas ottaa Jeesuksen kiinni, mutta hän lähti pois heidän käsistään. 
JHN.10.40	Jeesus meni jälleen Jordanin toiselle puolelle, siihen paikkaan, missä Johannes oli ensin kastanut, ja viipyi siellä. 
JHN.10.41	 Monet tulivat hänen luokseen ja sanoivat: ”Johannes tosin ei tehnyt yhtään tunnustekoa, mutta kaikki, mitä Johannes sanoi tästä miehestä, on totta.” 
JHN.10.42	 Ja monet uskoivat siellä Jeesukseen. 
JHN.11.1	Eräs Lasarus-niminen mies oli sairaana. Hän asui Betaniassa, Marian ja tämän sisaren Martan kylässä. 
JHN.11.2	Maria oli se, joka voiteli Herran hyväntuoksuisella voiteella ja kuivasi hänen jalkansa hiuksillaan, ja sairaana oli hänen veljensä Lasarus. 
JHN.11.3	Niin sisaret lähettivät Jeesukselle sanan: ”Herra! Hän, joka on sinulle rakas, on sairaana.” 
JHN.11.4	 Sen kuultuaan Jeesus sanoi: 
JHN.11.5	Jeesus rakasti Marttaa ja hänen sisartaan sekä Lasarusta. 
JHN.11.6	 Kun hän kuuli Lasaruksen olevan sairaana, hän viipyi vielä kaksi päivää sillä seudulla, missä oli. 
JHN.11.7	 Vasta sitten hän sanoi opetuslapsilleen: 
JHN.11.8	 Opetuslapset sanoivat hänelle: ”Rabbi, vastahan juutalaiset yrittivät kivittää sinut, ja taasko sinä menet sinne?” 
JHN.11.9	Jeesus vastasi: 
JHN.11.11	Tämän puhuttuaan hän sanoi heille: 
JHN.11.12	 Niin opetuslapset sanoivat hänelle: ”Herra, jos hän nukkuu, hän paranee.” 
JHN.11.13	 Jeesus puhui hänen kuolemastaan, mutta he luulivat, että hän puhui unessa nukkumisesta. 
JHN.11.14	 Silloin Jeesus sanoi heille suoraan: 
JHN.11.16	 Niin Tuomas, jota sanottiin Didymokseksi , sanoi toisille opetuslapsille: ”Menkäämme mekin sinne kuolemaan hänen kanssaan.” 
JHN.11.17	Kun Jeesus tuli Betaniaan, hän sai tietää, että Lasarus oli ollut haudassa jo neljä päivää. 
JHN.11.18	 Betania oli lähellä Jerusalemia, noin viidentoista stadionmitan päässä. 
JHN.11.19	 Useita juutalaisia oli tullut Martan ja Marian luo lohduttamaan heitä heidän veljensä kuoleman vuoksi. 
JHN.11.20	Kun Martta kuuli, että Jeesus oli tulossa, hän meni tätä vastaan, mutta Maria istui kotona. 
JHN.11.21	 Martta sanoi Jeesukselle: ”Herra, jos sinä olisit ollut täällä, veljeni ei olisi kuollut. 
JHN.11.22	 Mutta nytkin minä tiedän, että mitä tahansa sinä Jumalalta anot, sen Jumala sinulle antaa.” 
JHN.11.23	 Jeesus sanoi hänelle: 
JHN.11.24	 Martta vastasi: ”Minä tiedän hänen nousevan ylösnousemuksessa viimeisenä päivänä.” 
JHN.11.25	Jeesus sanoi hänelle: 
JHN.11.27	”Uskon, Herra”, Martta vastasi, ”minä uskon, että sinä olet Kristus, Jumalan Poika, joka oli tuleva maailmaan.” 
JHN.11.28	Tämän sanottuaan Martta meni kutsumaan sisartaan Mariaa ja sanoi hänelle kahden kesken: ”Opettaja on täällä ja kutsuu sinua.” 
JHN.11.29	 Kun Maria sen kuuli, hän nousi nopeasti ja meni Jeesuksen luo. 
JHN.11.30	 Jeesus ei kuitenkaan ollut vielä saapunut kylään vaan oli yhä siinä paikassa, missä Martta oli kohdannut hänet. 
JHN.11.31	 Juutalaiset, jotka olivat huoneessa Marian kanssa häntä lohduttamassa, näkivät hänen nousevan nopeasti ja lähtevän ulos. Silloin he seurasivat häntä, koska luulivat hänen menevän haudalle itkemään. 
JHN.11.32	Kun Maria tuli sinne, missä Jeesus oli, ja näki hänet, hän heittäytyi Jeesuksen jalkojen juureen ja sanoi: ”Herra, jos sinä olisit ollut täällä, minun veljeni ei olisi kuollut.” 
JHN.11.33	 Kun Jeesus näki Marian ja hänen kanssaan tulleiden juutalaisten itkevän, hän järkyttyi hengessään ja vapisi liikutuksesta. 
JHN.11.35	 Ja Jeesus itki. 
JHN.11.36	Niin juutalaiset sanoivat: ”Katsokaa, kuinka rakas Lasarus oli hänelle!” 
JHN.11.37	 Mutta muutamat heistä sanoivat: ”Eikö hän, joka avasi sokean silmät, olisi voinut estää tämän miehen kuoleman?” 
JHN.11.38	Jeesus järkyttyi jälleen sisimmässään ja meni haudalle. Se oli luola, ja sen suulla oli kivi. 
JHN.11.39	 Jeesus sanoi: 
JHN.11.40	 Jeesus vastasi: 
JHN.11.41	Niin he ottivat kiven pois. Silloin Jeesus nosti katseensa ylös ja sanoi: 
JHN.11.43	 Tämän sanottuaan Jeesus huusi kovalla äänellä: 
JHN.11.44	 Kuollut tuli ulos, jalat ja kädet siteisiin käärittyinä, ja hänen kasvojensa ympärille oli kääritty hikiliina. Jeesus sanoi heille: 
JHN.11.45	Monet niistä juutalaisista, jotka olivat tulleet Marian luo ja nähneet, mitä Jeesus teki, uskoivat häneen. 
JHN.11.46	 Mutta jotkut heistä menivät fariseusten luo ja kertoivat heille, mitä Jeesus oli tehnyt. 
JHN.11.47	Niin ylipapit ja fariseukset kutsuivat neuvoston koolle ja kysyivät: ”Mitä me teemme? Tämä mies tekee paljon tunnustekoja. 
JHN.11.48	 Jos annamme hänen jatkaa näin, niin kaikki uskovat häneen, ja roomalaiset tulevat ja ottavat meiltä sekä tämän paikan että kansan.” 
JHN.11.49	 Mutta yksi heistä, Kaifas, joka oli sinä vuonna ylipappi, sanoi heille: ”Te ette ymmärrä mitään 
JHN.11.50	 ettekä ajattele, että teille on parempi, jos yksi ihminen kuolee kansan puolesta, kuin että koko kansa tuhoutuu.” 
JHN.11.51	Mutta se, mitä hän sanoi, ei ollut lähtöisin hänestä itsestään, vaan koska hän oli sinä vuonna ylipappi, hän ennusti, että Jeesus oli kuoleva kansan edestä, 
JHN.11.52	eikä vain tämän kansan edestä vaan myös kootakseen yhteen hajallaan olevat Jumalan lapset. 
JHN.11.53	Siitä päivästä lähtien heillä siis oli päätös tappaa hänet. 
JHN.11.54	 Jeesus ei sen tähden enää vaeltanut julkisesti juutalaisten keskuudessa. Hän lähti sieltä paikkaan, joka oli lähellä autiomaata, Efraim-nimiseen kaupunkiin, ja oleskeli siellä opetuslapsineen. 
JHN.11.55	Juutalaisten pääsiäinen oli lähellä, ja monet menivät maaseudulta ylös Jerusalemiin puhdistautumaan ennen pääsiäistä. 
JHN.11.56	 He etsivät Jeesusta ja puhelivat keskenään seisoskellessaan temppelialueella: ”Mitä arvelette? Eikö hän aiokaan tulla juhlille?” 
JHN.11.57	 Mutta ylipapit ja fariseukset olivat antaneet käskyn, että jos joku saisi tietää, missä Jeesus oli, hänen oli siitä ilmoitettava, jotta he voisivat pidättää Jeesuksen. 
JHN.12.1	Kuusi päivää ennen pääsiäistä Jeesus tuli Betaniaan. Siellä asui Lasarus, jonka Jeesus oli herättänyt kuolleista. 
JHN.12.2	Jeesukselle valmistettiin sinne ateria. Martta palveli, ja Lasarus oli yksi niistä, jotka olivat asettuneet aterialle Jeesuksen kanssa. 
JHN.12.3	Silloin Maria otti naulan aitoa, kallisarvoista nardusöljyä, voiteli Jeesuksen jalat ja kuivasi ne hiuksillaan. Ja huone tuli täyteen voiteen tuoksua. 
JHN.12.4	Mutta yksi Jeesuksen opetuslapsista, Juudas Iskariot, joka oli kavaltava hänet, sanoi: 
JHN.12.5	 ”Miksi tätä öljyä ei myyty kolmestasadasta denaarista ja rahoja annettu köyhille?” 
JHN.12.6	 Tätä hän ei kuitenkaan sanonut siksi, että olisi välittänyt köyhistä, vaan siksi, että oli varas. Hänellä oli hallussaan rahakukkaro, ja hän otti itselleen osan rahoista, joita siihen pantiin. 
JHN.12.7	 Jeesus sanoi: 
JHN.12.9	Suuri joukko juutalaisia tuli Betaniaan saatuaan tietää, että Jeesus oli siellä. He eivät tulleet sinne ainoastaan Jeesuksen tähden, vaan myös nähdäkseen Lasaruksen, jonka hän oli herättänyt kuolleista. 
JHN.12.10	 Mutta ylipapit päättivät tappaa Lasaruksenkin, 
JHN.12.11	 koska hänen tähtensä monet juutalaiset jättivät heidät ja uskoivat Jeesukseen. 
JHN.12.12	Seuraavana päivänä suuri kansanjoukko, joka oli saapunut juhlille, sai kuulla, että Jeesus oli tulossa Jerusalemiin. 
JHN.12.13	 Silloin ihmiset ottivat palmunoksia, lähtivät häntä vastaan ja huusivat: ”Hoosianna! Siunattu olkoon hän, joka tulee Herran nimessä, Israelin kuningas!” 
JHN.12.14	Saatuaan nuoren aasin Jeesus istui sen selkään, niin kuin on kirjoitettu: 
JHN.12.15	 ”Älä pelkää, tytär Siion. Sinun kuninkaasi tulee istuen aasin varsan selässä.” 
JHN.12.16	Tätä hänen opetuslapsensa eivät aluksi ymmärtäneet. Vasta kun Jeesus oli kirkastettu, he muistivat, että näin hänestä oli kirjoitettu ja näin he olivat hänelle tehneet. 
JHN.12.17	 Kansanjoukko, joka oli ollut Jeesuksen kanssa, kun hän kutsui Lasaruksen haudasta ja herätti hänet kuolleista, todisti hänestä. 
JHN.12.18	 Ihmiset lähtivät häntä vastaan, koska olivat kuulleet hänen tehneen tämän tunnusteon. 
JHN.12.19	 Mutta fariseukset puhuivat keskenään: ”Näettekö! Te ette saa mitään aikaan! Katsokaa, koko maailma juoksee hänen perässään.” 
JHN.12.20	Niiden joukossa, jotka tulivat ylös juhlille palvomaan Jumalaa, oli muutamia kreikkalaisia. 
JHN.12.21	Nämä menivät Filippoksen luo, joka oli Galilean Beetsaidasta, ja pyysivät häneltä: ”Herra, me haluamme nähdä Jeesuksen.” 
JHN.12.22	 Filippos meni ja sanoi sen Andreakselle, ja Andreas ja Filippos menivät puhumaan siitä Jeesukselle. 
JHN.12.23	 Mutta Jeesus vastasi heille: 
JHN.12.29	 Kansa, joka oli paikalla, kuuli äänen ja sanoi ukkosen jyrisseen. Toiset sanoivat: ”Hänelle puhui enkeli.” 
JHN.12.30	 Jeesus vastasi: 
JHN.12.33	Mutta tämän hän sanoi ilmaistakseen, millaisella kuolemalla hän kuolisi. 
JHN.12.34	Väkijoukko sanoi hänelle: ”Me olemme laista kuulleet, että Kristus pysyy iankaikkisesti. Kuinka sinä voit sanoa, että Ihmisen Poika on korotettava? Kuka on tämä Ihmisen Poika?” 
JHN.12.35	Niin Jeesus vastasi: 
JHN.12.37	Vaikka Jeesus oli tehnyt niin monta tunnustekoa heidän nähtensä, he eivät uskoneet häneen, 
JHN.12.38	 että toteutuisi profeetta Jesajan sana, jonka hän on puhunut: ”Herra, kuka uskoi meidän saarnamme, ja kenelle Herran käsivarsi ilmoitettiin?” 
JHN.12.39	He eivät voineet uskoa sen tähden, että Jesaja on myös sanonut: 
JHN.12.40	 ”Hän on sokaissut heidän silmänsä ja paaduttanut heidän sydämensä, etteivät he silmillään näkisi eivätkä sydämellään ymmärtäisi ja kääntyisi ja etten minä heitä parantaisi.” 
JHN.12.41	Tämän Jesaja sanoi, koska hän näki Kristuksen kirkkauden ja puhui hänestä. 
JHN.12.42	 Kaikesta huolimatta monet hallitusmiehistäkin uskoivat Jeesukseen. Mutta fariseusten tähden he eivät sitä tunnustaneet, etteivät joutuisi erotetuiksi synagogasta, 
JHN.12.43	 sillä he rakastivat ihmiskunniaa enemmän kuin Jumalan kunniaa. 
JHN.12.44	Mutta Jeesus huusi sanoen: 
JHN.13.1	Pääsiäisjuhla oli tulossa, ja Jeesus tiesi, että oli tullut hänen hetkensä siirtyä tästä maailmasta Isän luo. Hän oli rakastanut omiaan, jotka olivat maailmassa, ja osoitti heille rakkautta loppuun asti. 
JHN.13.2	 He olivat aterialla, ja Paholainen oli jo pannut Juudaksen, Simon Iskariotin pojan, sydämeen ajatuksen, että tämä kavaltaisi Jeesuksen. 
JHN.13.3	Jeesus tiesi, että Isä oli antanut kaiken hänen käsiinsä ja että hän oli lähtenyt Jumalan luota ja oli palaava Jumalan luo. 
JHN.13.4	Niin hän nousi aterialta, riisui viittansa, otti pellavaliinan ja sitoi sen vyötäisilleen. 
JHN.13.5	 Sitten hän kaatoi vettä pesuastiaan ja alkoi pestä opetuslastensa jalkoja ja kuivata niitä pellavaliinalla, joka oli hänen vyötäisillään. 
JHN.13.6	Kun hän tuli Simon Pietarin kohdalle, tämä sanoi: ”Herra, sinäkö peset minun jalkani?” 
JHN.13.7	 Jeesus vastasi: 
JHN.13.8	 Pietari sanoi hänelle: ”Sinä et ikinä saa pestä minun jalkojani!” Jeesus vastasi: 
JHN.13.9	 Simon Pietari sanoi: ”Herra, älä pese vain jalkojani vaan myös kädet ja pää.” 
JHN.13.10	 Jeesus vastasi: 
JHN.13.11	Hän tiesi kavaltajansa. Sen tähden hän sanoi, etteivät he kaikki olleet puhtaita. 
JHN.13.12	Kun hän oli pessyt heidän jalkansa, pukenut viitan ylleen ja asettunut taas aterialle, hän sanoi heille: 
JHN.13.21	Tämän sanottuaan Jeesus järkyttyi hengessään ja vakuutti: 
JHN.13.22	 Silloin opetuslapset katsoivat toisiinsa käsittämättä, kenestä hän puhui. 
JHN.13.23	 Yksi hänen opetuslapsistaan, se, jota Jeesus erityisesti rakasti, oli aterialla Jeesuksen vieressä. 
JHN.13.24	Simon Pietari nyökkäsi hänelle ja sanoi: ”Kysy, kenestä hän puhuu.” 
JHN.13.25	 Opetuslapsi nojautui Jeesuksen rintaa vasten ja kysyi häneltä: ”Herra, kuka se on?” 
JHN.13.26	 Jeesus vastasi: 
JHN.13.27	 Sen leivänpalan jälkeen Saatana meni Juudakseen. Jeesus sanoi hänelle: 
JHN.13.28	 Mutta kukaan aterialla olevista ei ymmärtänyt, miksi Jeesus sanoi hänelle näin. 
JHN.13.29	 Koska rahakukkaro oli Juudaksella, jotkut luulivat, että Jeesus oli käskenyt hänen ostaa jotakin, mitä tarvittiin juhlaa varten, tai antaa jotakin köyhille. 
JHN.13.30	 Saatuaan leivänpalan Juudas meni heti ulos. Oli yö. 
JHN.13.31	Kun Juudas oli mennyt ulos, Jeesus sanoi: 
JHN.13.36	Simon Pietari kysyi: ”Herra, minne sinä menet?” Jeesus vastasi hänelle: 
JHN.13.37	 Pietari sanoi hänelle: ”Herra, miksi en voi seurata sinua nyt? Henkeni minä annan sinun puolestasi.” 
JHN.13.38	 Jeesus vastasi: 
JHN.14.5	Tuomas sanoi hänelle: ”Herra, me emme tiedä, minne sinä menet. Kuinka sitten voisimme tietää tien?” 
JHN.14.6	 Jeesus vastasi: 
JHN.14.8	Filippos sanoi hänelle: ”Herra, näytä meille Isä, niin me tyydymme siihen.” 
JHN.14.9	 Jeesus vastasi: 
JHN.14.22	Juudas – ei se Iskariot – sanoi hänelle: ”Herra, mistä syystä sinä aiot ilmaista itsesi meille etkä maailmalle?” 
JHN.14.23	 Jeesus vastasi hänelle: 
JHN.16.17	Silloin jotkut hänen opetuslapsistaan kyselivät toisiltaan: ”Mitä se tarkoittaa, kun hän sanoo meille: 
JHN.16.18	 He jatkoivat: ”Mitä se tarkoittaa, kun hän sanoo: 
JHN.16.19	Kun Jeesus huomasi, että heillä oli jotakin kysyttävää häneltä, hän sanoi: 
JHN.16.29	Hänen opetuslapsensa sanoivat: ”Nyt sinä puhut suoraan etkä käytä mitään vertauskuvaa. 
JHN.16.30	 Nyt me käsitämme, että sinä tiedät kaiken eikä sinun tarvitse odottaa, että joku kysyy sinulta. Sen tähden me uskomme sinun lähteneen Jumalan luota.” 
JHN.16.31	 Jeesus vastasi heille: 
JHN.17.1	Puhuttuaan tämän Jeesus kohotti katseensa kohti taivasta ja sanoi: 
JHN.18.1	Tämän sanottuaan Jeesus lähti opetuslapsineen Kidroninpuron toiselle puolelle. Siellä oli puutarha, ja hän meni opetuslastensa kanssa sinne. 
JHN.18.2	Myös Juudas, hänen kavaltajansa, tiesi paikan, sillä Jeesus ja hänen opetuslapsensa olivat usein kokoontuneet sinne. 
JHN.18.3	 Niinpä Juudas otti mukaansa sotilasosaston sekä ylipappien ja fariseusten palvelijoita, ja he tulivat sinne lyhdyt, soihdut ja aseet mukanaan. 
JHN.18.4	Silloin Jeesus, tietäen kaiken, mikä häntä kohtaisi, astui esiin ja kysyi heiltä: 
JHN.18.5	 He vastasivat: ”Jeesus Nasaretilaista.” Jeesus sanoi heille: 
JHN.18.6	Kun Jeesus sanoi: 
JHN.18.7	 Hän kysyi heiltä jälleen: 
JHN.18.8	 Jeesus sanoi: 
JHN.18.9	 Näin tapahtui, jotta toteutuisi sana, jonka hän oli puhunut: 
JHN.18.10	Simon Pietari, jolla oli miekka, veti sen esiin, iski ylipapin palvelijaa ja löi häneltä oikean korvan irti. Palvelijan nimi oli Malkos. 
JHN.18.11	 Mutta Jeesus sanoi Pietarille: 
JHN.18.12	Silloin sotilasosasto, sen komentaja ja juutalaisten palvelijat ottivat Jeesuksen kiinni. He sitoivat hänet 
JHN.18.13	 ja veivät hänet ensin Hannaksen luo, sillä tämä oli Kaifaksen appi, ja Kaifas oli sinä vuonna ylipappina. 
JHN.18.14	Juuri Kaifas oli antanut juutalaisille neuvon, että olisi parempi, jos yksi ihminen kuolisi kansan puolesta. 
JHN.18.15	Simon Pietari ja eräs toinen opetuslapsi seurasivat Jeesusta. Tämä opetuslapsi oli ylipapin tuttu ja meni Jeesuksen mukana sisälle ylipapin pihaan, 
JHN.18.16	 mutta Pietari jäi seisomaan portin ulkopuolelle. Niin se toinen opetuslapsi, joka oli ylipapin tuttu, tuli ulos, puhui portinvartijalle ja toi Pietarin sisälle. 
JHN.18.17	 Silloin palvelustyttö, joka oli portinvartijana, sanoi Pietarille: ”Etkö sinäkin ole tuon miehen opetuslapsia?” Hän vastasi: ”En ole.” 
JHN.18.18	 Koska oli kylmä, palvelijat ja vartijat olivat tehneet hiilivalkean ja seisoivat lämmittelemässä. Myös Pietari seisoi heidän kanssaan lämmittelemässä. 
JHN.18.19	Ylipappi kysyi Jeesukselta hänen opetuslapsistaan ja opetuksestaan. 
JHN.18.20	 Jeesus vastasi hänelle: 
JHN.18.22	Kun Jeesus oli tämän sanonut, yksi vieressä seisovista vartijoista löi häntä kasvoihin ja sanoi: ”Noinko sinä vastaat ylipapille?” 
JHN.18.23	 Jeesus sanoi hänelle: 
JHN.18.24	 Silloin Hannas lähetti hänet sidottuna ylipappi Kaifaksen luo. 
JHN.18.25	Kun Simon Pietari seisoi lämmittelemässä, häneltä kysyttiin: ”Etkö sinäkin ole hänen opetuslapsiaan?” Hän kielsi ja sanoi: ”En ole.” 
JHN.18.26	 Yksi ylipapin palvelijoista, sen sukulainen, jonka korvan Pietari oli lyönyt irti, sanoi: ”Enkö minä nähnyt sinua puutarhassa hänen kanssaan?” 
JHN.18.27	 Pietari kielsi jälleen, ja samassa lauloi kukko. 
JHN.18.28	Juutalaiset veivät Jeesuksen Kaifaksen luota maaherran palatsiin. Oli varhainen aamu. He eivät itse menneet sisälle palatsiin, etteivät saastuisi vaan voisivat syödä pääsiäisaterian. 
JHN.18.29	Niin Pilatus tuli ulos heidän luokseen ja kysyi: ”Mikä syytös teillä on tätä miestä vastaan?” 
JHN.18.30	 He vastasivat: ”Jos tämä ei olisi pahantekijä, emme kai olisi luovuttaneet häntä sinulle.” 
JHN.18.31	 Pilatus sanoi heille: ”Pitäkää itse hänet ja tuomitkaa hänet oman lakinne mukaan.” Juutalaiset sanoivat: ”Meidän ei ole lupa tappaa ketään.” 
JHN.18.32	 Näin tapahtui, jotta toteutuisi Jeesuksen sana, jonka hän oli puhunut ilmaistessaan, millä tavalla hän kuolisi. 
JHN.18.33	Silloin Pilatus meni takaisin palatsiin, kutsui Jeesuksen luokseen ja kysyi häneltä: ”Oletko sinä juutalaisten kuningas?” 
JHN.18.34	 Jeesus vastasi: 
JHN.18.35	 Pilatus vastasi: ”Olenko minä juutalainen? Oma kansasi ja ylipapit ovat luovuttaneet sinut minulle. Mitä olet tehnyt?” 
JHN.18.36	 Jeesus vastasi: 
JHN.18.37	Pilatus sanoi hänelle: ”Sinä siis kuitenkin olet kuningas?” Jeesus vastasi: 
JHN.18.38	”Mikä on totuus?” Pilatus kysyi häneltä. 
JHN.18.38	Sen sanottuaan Pilatus meni taas juutalaisten luo ja sanoi heille: ”Minä en löydä hänestä mitään syytä. 
JHN.18.39	 Mutta tapana on, että minä pääsiäisenä päästän teille yhden vangin vapaaksi. Tahdotteko siis, että päästän teille juutalaisten kuninkaan?” 
JHN.18.40	 Niin he huusivat takaisin: ”Ei häntä vaan Barabbas!” Mutta Barabbas oli rosvo. 
JHN.19.1	Silloin Pilatus ruoskitti Jeesuksen. 
JHN.19.2	 Sotilaat väänsivät kruunun orjantappuroista, panivat sen hänen päähänsä ja pukivat hänen ylleen purppuranpunaisen viitan. 
JHN.19.3	 Toinen toisensa jälkeen he tulivat hänen eteensä ja sanoivat: ”Ole tervehditty, juutalaisten kuningas!” ja löivät häntä kasvoihin. 
JHN.19.4	Pilatus meni taas ulos ja sanoi juutalaisille: ”Katsokaa, minä tuon hänet ulos, jotta tietäisitte, etten löydä hänestä mitään syytä.” 
JHN.19.5	 Niin Jeesus tuli ulos orjantappurakruunu päässään ja purppuranpunainen viitta yllään. Pilatus sanoi heille: ”Katso, ihminen!” 
JHN.19.6	 Kun ylipapit ja palvelijat näkivät hänet, he huusivat: ”Ristiinnaulitse, ristiinnaulitse!” Mutta Pilatus sanoi heille: ”Ottakaa te hänet ja ristiinnaulitkaa, sillä minä en löydä hänestä mitään syytä.” 
JHN.19.7	 Juutalaiset vastasivat: ”Meillä on laki, ja lain mukaan hänen on kuoltava, koska hän on tehnyt itsensä Jumalan Pojaksi.” 
JHN.19.8	Kun Pilatus kuuli tämän, hän pelkäsi vielä enemmän. 
JHN.19.9	 Hän meni taas sisälle palatsiin ja kysyi Jeesukselta: ”Mistä sinä olet?” Mutta Jeesus ei vastannut hänelle. 
JHN.19.10	 Niin Pilatus sanoi Jeesukselle: ”Etkö puhu minulle? Etkö tiedä, että minulla on valta vapauttaa ja valta ristiinnaulita sinut?” 
JHN.19.11	 Jeesus vastasi: 
JHN.19.12	Tämän tähden Pilatus koetti päästää hänet vapaaksi. Mutta juutalaiset huusivat: ”Jos vapautat hänet, et ole keisarin ystävä. Jokainen, joka tekee itsensä kuninkaaksi, asettuu keisaria vastaan.” 
