GEN.1.1	Mulimu a kala ku bupa lihalimu ni lifasi ni ze ku zona kaufela. 
SIR.42.2	U si ke wa swabela ku kuteka
SIR.42.2	Mulao wa Ya Pahami Hahulu,
SIR.42.2	kapa ku lukulula ya maswe
SIR.42.2	h'a si ka fosa.
SIR.42.3	U si ke wa swabela ku buluka
SIR.42.3	litifo kaufela za muzamai,
SIR.42.3	ku ikabela libyana za mufu
SIR.42.3	ni banabahenu.
SIR.42.4	U si ke wa swabela
SIR.42.4	ku likanyeza hande lika fa sikala
SIR.42.4	ni bukiti bwa zona,
SIR.42.4	ni ku eza liñambeko ze tuna
SIR.42.4	ni ze nyinyani.
SIR.42.5	Mi u si ke wa swabela ku fumana mupuzo
SIR.42.5	mwa musebezi wa litekiso.
SIR.42.5	U si ke wa swabela ku hulisa bana
SIR.42.5	ba hao ka likute
SIR.42.5	ni ku nataka mutanga ya maswe
SIR.42.5	ku fitela a zwa mali.
SIR.42.6	Haiba musal'a hao h'a sepahali
SIR.42.6	kapa ku sebeza batu ba bañata,
SIR.42.6	u buluke hande lika ni ku li kiyela.
SIR.42.7	Lika kaufela z'o beya mwa pulukelo,
SIR.42.7	u li bale, ni ku ziba bukiti bwa zona,
SIR.42.7	mi z'o amuhela ni z'o zwisa kaufela
SIR.42.7	u li ñole.
SIR.42.8	U si ke wa swabela ku sikulula mutu
SIR.42.8	ya si na ngana kapa sikuba,
SIR.42.8	kamba munna-muhulu ya zamaya ni mahule.
SIR.42.8	Haiba u eza cwalo u ta iponahaza
SIR.42.8	kuli u itutile luli,
SIR.42.8	mi u ta lumelelwa ki batu kamukana.
SIR.42.9	 Musizana h'a zibi mw'a tokwiseza
SIR.42.9	ndat'ahe buloko,
SIR.42.9	ni kuli lipilaelo z'a mu tahiseza
SIR.42.9	li mu tiseza sikobyoti,
SIR.42.9	inz'a li mwendi h'a na ku nyalwa
SIR.42.9	a sa li yo munca,
SIR.42.9	kamba haiba u nyezwi mwendi
SIR.42.9	h'a na ku latiwa.
SIR.42.10	Pilaelo ye ñwi ki ya kuli
SIR.42.10	mwendi a ka swana a isilafaza a sa li
SIR.42.10	mwalyanjo
SIR.42.10	ni ku fumana mulwalo a sa li habo,
SIR.42.10	kamba haiba a na ni munna a ka swana
SIR.42.10	a mu nyaza,
SIR.42.10	ni kuli mwendi nih'a ka nyalwa
SIR.42.10	h'a na ku pepa.
SIR.42.11	Naa mwan'a hao wa musizana
SIR.42.11	u mahañi?
SIR.42.11	U mu tokomele, a ka swana
SIR.42.11	a ku sehisa lila za hao,
SIR.42.11	a be ngambolo ya mwa hae,
SIR.42.11	ni ku ku swabisa hahulu kwa nyangela.
SIR.42.12	U si ke wa talima bunde bwa munna
SIR.42.12	ufi ni ufi,
SIR.42.12	mi u si ke wa kena mwa siango
SIR.42.12	sa basali ba bañwi.
SIR.42.13	Mafele a fumaneha mwa liapalo,
SIR.42.13	mi lunya lu zwa kwa basali.
SIR.42.14	Lunya lwa munna ki lo lunde ku fita
SIR.42.14	musa wa musali,
SIR.42.14	kakuli musali u tiseza bumaswe
SIR.42.14	ni maswabi a matuna.
SIR.42.15	Cwale ni ta ku hupulisa ka misebezi
SIR.42.15	ya Mulimu,
SIR.42.15	ni ku ku bulelela ze ni boni.
SIR.42.15	Misebezi ya Mulimu kaufela i ezahala
SIR.42.15	ka linzwi la hae,
SIR.42.15	mi libupiwa kamukana li utwa taelo
SIR.42.15	ya hae.
SIR.42.16	Sina lizazi ha li benya, li talima
SIR.42.16	lika kaufela,
SIR.42.16	cwale ni ona musebezi wa Muñ'a Bupilo
SIR.42.16	u tezi kanya ya hae.
SIR.42.17	Muñ'a Bupilo h'a si ka fa mangeloi
SIR.42.17	ku bulela za misebezi ya hae kamukana
SIR.42.17	ye komokisa,
SIR.42.17	ye lukisizwe ka ku tiya
SIR.42.17	ki Mulena ya Maata Kaufela
SIR.42.17	kuli lifasi li tiyele fateñi
SIR.42.17	mwa kanya ya hae.
SIR.42.18	U ziba butungi ni pilu ya mutu
SIR.42.18	mi u boni mikwa ya zona,
SIR.42.18	kakuli Muñ'a Bupilo
SIR.42.18	u ziba zibo ye li teñi kamukana
SIR.42.18	mi u lemuhile litemuso za linako.
SIR.42.19	U zibahaza ze felile ni ze sa taha
SIR.42.19	mi u bonahaza mitala ya lika ze
SIR.42.19	patilwe.
SIR.42.20	Ha ku na muhupulo o ka ipata
SIR.42.20	ku yena,
SIR.42.20	kamba linzwi nihaili li li liñwi feela
SIR.42.20	le li ka patahala ku yena.
SIR.42.21	U file litukiso fa misebezi ya maata
SIR.42.21	a butali bwa hae,
SIR.42.21	mi ki yena wa makalelo
SIR.42.21	ni wa mafelelezo kuya kuile.
SIR.42.21	Ha ku na se si ka ekezwa
SIR.42.21	kamba ku zwiswa ku yena,
SIR.42.21	mi h'a tokwi kelezo ya mutu.
SIR.42.22	Misebezi ya hae kamukana
SIR.42.22	ki ya butokwa cwañi,
SIR.42.22	mi i fata meeto ike liseli
SIR.42.22	ha u i bona.
SIR.42.23	Lika kamukana li pila ni ku ba teñi
SIR.42.23	kuya kuile,
SIR.42.23	mi kamukana zona za mu utwa
SIR.42.23	mwa mikwa kaufela.
SIR.42.24	Lika kamukana li zamaya ka bubeli
SIR.42.24	li nze li singanya,
SIR.42.24	mi ha ku na s'a si ka kondisa hande.
SIR.42.25	Ye ñwi ni ye ñwi i tiisa butuna
SIR.42.25	bwa ye ñwi.
SIR.42.25	Cwale ki mañi ya ta kona ku feleleza
SIR.42.25	ku bona kanya ya hae kaufela?
SIR.43.1	Kaniti luli lihalimu ki le linde
SIR.43.1	hahulu ha lu li talima,
SIR.43.1	mi mbyumbyulu ya lu komokisa
SIR.43.1	ha lu i bona.
SIR.43.2	Lizazi ha li taha li bonahaza
SIR.43.2	ku pazula kwa lona,
SIR.43.2	ili nto ye komokisa hahulu ya musebezi
SIR.43.2	wa Muambakani ya Pahami!
SIR.43.3	Musihali li omisa lifasi kamukana.
SIR.43.3	Ki mañi ya ka kona ku yemela ku cisa
SIR.43.3	kwa buhali bwa lona?
SIR.43.4	Mutu h'a bata mufutumala
SIR.43.4	u swanezi ku tukisa litumbutumbu,
SIR.43.4	kono lizazi lona li cisa hahulu
SIR.43.4	fa malundu mane ku fita mulilo
SIR.43.4	halalu.
SIR.43.4	Li tisa buhali bwa lona bwa mulilo,
SIR.43.4	mi ku benya kwa lona ku fata meeto.
SIR.43.5	Ki yo mutuna,
SIR.43.5	yena Muñ'a Bupilo ya li ezize,
SIR.43.5	mi li akufiswa ki taelo ya hae
SIR.43.5	mwa musipili wa lona.
SIR.43.6	Mi hape ni yona kweli
SIR.43.6	kamita ha i liyehi
SIR.43.6	ku toma likweli ni likalulo za nako.
SIR.43.7	Ki kweli ye lu zibisa lisupo
SIR.43.7	za mikiti,
SIR.43.7	ili liseli le li isa kwa lififi
SIR.43.7	mwamulaho a busweu bwa yona.
SIR.43.8	Likweli li fumana mabizo a zona
SIR.43.8	ku yona,
SIR.43.8	mi i hula ka mukwa o komokisa,
SIR.43.8	ni ku ba ni liseli le li zamaisa
SIR.43.8	makuta a lihalimu,
SIR.43.8	le li benya mwa mbyumbyulu.
SIR.43.9	Kanya ya linaleli i eza bunde
SIR.43.9	bwa lihalimu,
SIR.43.9	ili likabisa ze nde hahulu
SIR.43.9	mwa lihalimu la Muñ'a Bupilo.
SIR.43.10	Ka manzwi a Ya Kenile Hahulu
SIR.43.10	li yema sina balibeleli,
SIR.43.10	mi ha li katali mwa musebezi
SIR.43.10	wa zona.
SIR.43.11	A mu bone nambwamutalati
SIR.43.11	mi mu lumbe y'a mu ezize,
SIR.43.11	yo munde hahulu cwalo ni ku benya
SIR.43.11	kwa hae.
SIR.43.12	U taalalile mwahalimu ka mibamba
SIR.43.12	ye obami
SIR.43.12	inge buta bo bu kopamisizwe
SIR.43.12	ka lizoho la Ya Pahami Hahulu.
SIR.43.13	Ka taelo ya hae u lumela litwa.
SIR.43.13	U akufisa lumonyi ka mw'a laelela.
SIR.43.14	Kamukwaoswana lipulukelo za hae
SIR.43.14	za kwaluluha
SIR.43.14	mi malu a hasana inge linyunywani.
SIR.43.15	Ka maata a hae a matuna
SIR.43.15	u kopanya malu
SIR.43.15	mi u a eza simbwewewe.
SIR.43.16	Ka ponahalo ya hae malundu
SIR.43.16	a nyanganya.
SIR.43.16	Ka mulumo wa mushika wa hae
SIR.43.16	lifasi la pikuluha.
SIR.43.17	Ka taelo ya hae moya wa mboela
SIR.43.17	wa fuka,
SIR.43.17	mi moya wa mutulo ha u fuka,
SIR.43.17	ku taha liñungwa le lituna.
SIR.43.18	U fafaza litwa sina linyunywani
SIR.43.18	ze lula,
SIR.43.18	mi li wela fafasi sina nzie ye lula.
SIR.43.18	Meeto a fatwa ki bunde bwa busweu
SIR.43.18	bwa lona,
SIR.43.18	mi ngana i komokiswa ki muwelo
SIR.43.18	wa lona.
SIR.43.19	Fa lifasi u sela silami se situna
SIR.43.19	hahulu,
SIR.43.19	se si swana sina lizwai,
SIR.43.19	se si li ha si anda cwana,
SIR.43.19	mane si taba-taba inge miutwa.
SIR.43.20	Moya o bata u zwa kwa mutulo,
SIR.43.20	silami si kangela fahalimw'a mezi
SIR.43.20	mwa kasa ni kasa,
SIR.43.20	mi mezi a ikapesa sona
SIR.43.20	inge sisilelezo sa fa sifuba.
SIR.43.21	Si apesa malundu kaufela
SIR.43.21	ni ku cisa lihalaupa sina mulilo,
SIR.43.21	mi si omisa limela kamukana.
SIR.43.22	Kono mbundu i pilisa lika kaufela
SIR.43.22	kapili,
SIR.43.22	mi mwamulaho wa ku cisa
SIR.43.22	ku taha puka ye tisa tabo.
SIR.43.23	Ka maata a hae u kuzisize mawate
SIR.43.23	mi u beile mwateñi lioli.
SIR.43.24	Ba ba fuluha mwa liwate
SIR.43.24	ba bulela litaba za likozi za lona.
SIR.43.24	Litaba za teñi ha lu li utwa
SIR.43.24	lu komoka hahulu.
SIR.43.25	Ni hona mo hape ku na ni lika
SIR.43.25	ze makaza ni misebezi ye komokisa,
SIR.43.25	ili lifolofolo za mifuta-futa,
SIR.43.25	ni libupiwa ze tuna hahulu
SIR.43.25	za mwa liwate.
SIR.43.26	Lu itumele ku yena kakuli lika
SIR.43.26	kaufela li fela hande,
SIR.43.26	mi ka tuso ya linzwi la hae,
SIR.43.26	kaufel'a zona li swalana hande hamoho.
SIR.43.27	Niha lu ka bulela hahulu,
SIR.43.27	ha lu na ku kona ku li talusa kaufela.
SIR.43.27	Ka ku kusufaza,
SIR.43.27	“Yena, ki yena ya maata kaufela.”
SIR.43.28	Lu ta fumana kai maata a ku mu
SIR.43.28	lumbeka,
SIR.43.28	kanti yena ki yo mutuna
SIR.43.28	mi u fita lika z'a ezize kaufela.
SIR.43.29	Muñ'a Bupilo wa sabisa
SIR.43.29	mi ki yo mutuna hahulu,
SIR.43.29	hape maata a hae a komokisa luli.
SIR.43.30	Mu tumise Muñ'a Bupilo
SIR.43.30	mo mu konela kaufela,
SIR.43.30	kono yena u sa mi fita.
SIR.43.30	Niha mu ka felelwa ki maata,
SIR.43.30	mi mu mu lumbeka mu sa katali,
SIR.43.30	ha mu na ku fita kwa mafelelezo
SIR.43.30	ni kamuta.
SIR.43.31	Ki mañi ya kile a mu bona
SIR.43.31	kuli a mu taluse?
SIR.43.31	Ki mañi ya kona ku mu tumisa
SIR.43.31	ka swanelo?
SIR.43.32	Ku sa na ni lika ze ñata
SIR.43.32	ze lu patezwi ili ze tuna ku fita ze,
SIR.43.32	kakuli lu boni feela li sikakañi
SIR.43.32	ku za misebezi ya hae.
SIR.43.33	Yena Muñ'a Bupilo kasibili
SIR.43.33	ki yena ya ezize linto kaufela,
SIR.43.33	ni ku fa butali ku ba ba mu lata.
SIR.44.1	Cwale lu lumbe batu ba ba
SIR.44.1	tumile,
SIR.44.1	ili bo kukw'a luna mwa masika
SIR.44.1	a bona a latelelana.
SIR.44.2	Ne ba filwe kanya ye tuna ki Muñ'a Bupilo
SIR.44.2	kuli ba zibahalize butuna bwa hae
SIR.44.2	i sa li kwa makelelo.
SIR.44.3	Ba bañwi ba ikezize malena
SIR.44.3	mi ba zibahalile ka maata a bona.
SIR.44.3	Ba bañwi n'e li baelezi ba ba butali
SIR.44.3	mi ba bulezi manzwi a bupolofita.
SIR.44.4	Ba bañwi ne ba etelela batu
SIR.44.4	ka likelezo za bona,
SIR.44.4	ka kutwisiso ya bona ya mikwa
SIR.44.4	ya batu,
SIR.44.4	ni ka lipulelo ze butali za tuto
SIR.44.4	ya bona.
SIR.44.5	Ba bañwi ba eza lipina
SIR.44.5	ni ku ñola lipulelo ka linguli.
SIR.44.6	Ba bañwi n'e li bafumi,
SIR.44.6	hape ne ba na ni maata,
SIR.44.6	mi ba pila ka kozo mwa minzi ya bona.
SIR.44.7	Ba kamukana ne ba kutekehile
SIR.44.7	mwa masika a bona,
SIR.44.7	mi n'e li bona ba ba ne ba tumile
SIR.44.7	ka linako za bona.
SIR.44.8	Ba bañwi ba bona ba siile mabizo
SIR.44.8	a ba lumba mwa lipina ni ka nako ye.
SIR.44.9	Haili ba bañwi ha ba si ka siya
SIR.44.9	kupuzo,
SIR.44.9	mi ba yeelezi inge ba ba
SIR.44.9	ne ba si ka pila mwa lifasi.
SIR.44.9	Ka nako ye se ba li
SIR.44.9	inge ne ba siyo mwa lifasi,
SIR.44.9	mane ni bana ba bona ba ba latelela.
SIR.44.10	Kono cwale ki wo mukoloko
SIR.44.10	wa batu ba ba lukile,
SIR.44.10	ba misebezi ye minde
SIR.44.10	ye si ka libalwa.
SIR.44.11	Baikulu ba bona ki yona mpo
SIR.44.11	ye tuna ya ba ba ba tatama.
SIR.44.12	Baikulu ba bona ba yemela bulikani
SIR.44.12	mi kabakaleo bana ba bana ba bona
SIR.44.12	ba sa eza cwalo.
SIR.44.13	Lupepo lwa bona ha lu na ku fela
SIR.44.13	kuya kuile,
SIR.44.13	mi kanya ya bona ha i na ku sinyeha.
SIR.44.14	Mibili ya bona i bulukilwe ka kozo,
SIR.44.14	mi libizo la bona li ta ba teñi
SIR.44.14	kwa masika kamukana kuya kuile.
SIR.44.15	Macaba a ta zibahaza butali bwa bona
SIR.44.15	mi mukopano u ta lumba kabubo ka bona.
SIR.44.16	 Enoke n'a tabisize Muñ'a Bupilo
SIR.44.16	mi u isiwa kwa lihalimu.
SIR.44.16	N'e li yena mutala wa sikuluho
SIR.44.16	ya masika a sa taha kaufela.
SIR.44.17	 Nuwe n'a fumanehile
SIR.44.17	a li ya lukile ka ku tala.
SIR.44.17	Ka nako ya bunyemi n'a pulusizwe
SIR.44.17	ili kuli a pilise ba bañwi,
SIR.44.17	mi kabakala hae ne ku siyezi
SIR.44.17	kalulonyana ya batu
SIR.44.17	fa lifasi ka nako ya muunda.
SIR.44.18	Mulimu a eza bulikani bo bu sa feli
SIR.44.18	ni yena,
SIR.44.18	kuli h'a sa tola a bulaya
SIR.44.18	libupiwa ze pila kaufela ka mezi.
SIR.44.19	 Abrahama n'e li yena ndat'ahe
SIR.44.19	macaba a mañata.
SIR.44.19	Ha ku na hape ya kile a likana
SIR.44.19	ni yena kwa ku luka.
SIR.44.20	N'a bulukile Mulao
SIR.44.20	wa Ya Pahami Hahulu,
SIR.44.20	mi a itama ni yena bulikani.
SIR.44.20	A ba ni poniso ya bulikani fa mubili
SIR.44.20	wa hae,
SIR.44.20	mi a iponahaza ku luka ili yena
SIR.44.20	mwa miliko.
SIR.44.21	Cwale Mulena Mulimu a mu sepisa
SIR.44.21	ka luci
SIR.44.21	kuli u ta tohonolofaza macaba
SIR.44.21	ka baikulu ba hae,
SIR.44.21	a ba atise sina mushabati wa lifasi
SIR.44.21	ni ku tumisa baikulu ba hae inge
SIR.44.21	linaleli.
SIR.44.21	A ba fa sanda sa lifasi,
SIR.44.21	ku zwa kwa mawate a mwa mboela
SIR.44.21	mane ku y'o fita kwa mawate a mwa wiko,
SIR.44.21	ku zwa kwa Nuka ya Yuferati
SIR.44.21	ku isa mane kwa mafelelezo a lifasi.
SIR.44.22	 Cwale ku Isaka yena,
SIR.44.22	kabakala ndat'ahe Abrahama,
SIR.44.22	a mu sepisa limbuyoti za macaba
SIR.44.22	kamukana.
SIR.44.23	A beya bulikani mwa mazoho
SIR.44.23	a Jakobo.
SIR.44.23	Muñ'a Bupilo a mu tiisa
SIR.44.23	mwa limbuyoti za hae,
SIR.44.23	a mu fa sanda sa naha
SIR.44.23	ni ku i aba ka likalulo,
SIR.44.23	mi a i abela masika
SIR.44.23	a lishumi ka a mabeli.
SIR.45.1	 Ku yena Jakobo ku fumanehile mutu
SIR.45.1	ya sepahala,
SIR.45.1	ya latwa ki batu kamukana,
SIR.45.1	ya latwa ki Mulimu ni batu,
SIR.45.1	ili yena Mushe
SIR.45.1	wa libizo le li tohonolofalizwe.
SIR.45.2	Mulena Mulimu a mu fa maata
SIR.45.2	a likana ni a ba ba kenile hahulu
SIR.45.2	ka kanya,
SIR.45.2	mi a mu tiisa fapil'a lila za hae.
SIR.45.3	Ka linzwi la Mushe u tuhelisize
SIR.45.3	limakazo,
SIR.45.3	ni ku mu hulisa fapil'a malena.
SIR.45.3	A mu fa milao ya batu ba hae,
SIR.45.3	ni ku mu bonisa kabelo ya maata a hae.
SIR.45.4	Ka ku sepahala ni ku luka kwa hae
SIR.45.4	u mu kenisize.
SIR.45.4	U mu ketile a nosi mwahal'a batu
SIR.45.4	kaufela.
SIR.45.5	U mu lumelezi ku utwa linzwi la
SIR.45.5	hae,
SIR.45.5	ni ku mu etelela mwa lilu le linsu.
SIR.45.5	A mu fa milao a talimani ni yena,
SIR.45.5	ili nzila ya bupilo ni zibo,
SIR.45.5	ku luta Jakobo milao ya hae
SIR.45.5	ni ku zibisa Isilaele litaelo za hae.
SIR.45.6	 Hape a hulisa Aruni, mutu ya kenile
SIR.45.6	sina mwanahabo yena Mushe,
SIR.45.6	wa lusika lwa Levi.
SIR.45.7	 A itama ni yena bulikani
SIR.45.7	bo bu sa feli,
SIR.45.7	mi a mu fa buprisita
SIR.45.7	bwa ku sebeleza batu.
SIR.45.7	A mu kabisa ka liapalo ze nde hahulu
SIR.45.7	ni ku mu tinisa mwa siapalo sa kanya.
SIR.45.8	A mu apesa kanya ya ku luka,
SIR.45.8	ni ku mu fa liponahazo za maata,
SIR.45.8	ili tuputula, siapalo se si telele,
SIR.45.8	ni kausu ye kenile.
SIR.45.9	Cwale a mu kabisa ka liapalo
SIR.45.9	za manjobo a mande,
SIR.45.9	milangu ya gauda ye miñata,
SIR.45.9	ye lila ka muhatelo kaufela,
SIR.45.9	kuli mulumo wa zona u utwahale
SIR.45.9	mwa Tempele,
SIR.45.9	ili ku fa mamelo kwa bana
SIR.45.9	ba batu ba hae.
SIR.45.10	Hape a mu fa siapalo se si kenile,
SIR.45.10	se ne si kabisizwe ka mibala ye minde
SIR.45.10	ya gauda, bupuzwa, butululi
SIR.45.10	ni bufubelu.
SIR.45.10	A mu fa ni Poniso ya Katulo ye na ni
SIR.45.10	Urimi ni Tumimi
SIR.45.10	ye basizwe ka mubala o mufubelu cwalo,
SIR.45.10	ili musebezi wa sikwala.
SIR.45.11	A fiwa cwalo ni macwe a mande
SIR.45.11	a betilwe inge likantiso.
SIR.45.11	N'a lamatiselizwe mwa gauda
SIR.45.11	ki sikwala,
SIR.45.11	mi mabizo a ñozwi n'a talusa palo
SIR.45.11	ya masika a Isilaele.
SIR.45.12	A beya kabiso ya gauda
SIR.45.12	fapil'a tukwe ya hae,
SIR.45.12	mi ku yona ne ku ñozwi cwana,
SIR.45.12	“Ku sumekezwi Muñ'a Bupilo.”
SIR.45.12	N'e li musebezi o makaza,
SIR.45.12	o sabisa kwa bunde,
SIR.45.12	mukabisezo o munde o tabisa liito.
SIR.45.13	Kwa li ku ba ku sa bi ni lika
SIR.45.13	ze cwalo,
SIR.45.13	mi ha ku na mutu ya kile a li apala,
SIR.45.13	haisi feela bana ba hae,
SIR.45.13	ni baikulu ba hae ka nako kaufela.
SIR.45.14	Litabelo za hae ne li
SIR.45.14	za ku ciselezanga
SIR.45.14	mi n'e li eziwa habeli
SIR.45.14	ka zazi ni zazi kuya kuile.
SIR.45.15	 Mushe a mu tohonolofaza,
SIR.45.15	mi a mu toza mafula a kenile.
SIR.45.15	Cwale sebelezo ye,
SIR.45.15	ya ba bulikani bwa hae ni Mulimu
SIR.45.15	ni kwa baikulu ba hae kuya kuile,
SIR.45.15	kuli a be mueteleli wa linzwi
SIR.45.15	la Muñ'a Bupilo,
SIR.45.15	mwa situlo sa buprisita,
SIR.45.15	ni ku tohonolofaza batu ba hae
SIR.45.15	ka libizo la Mulimu.
SIR.45.16	Mulimu u mu ketile
SIR.45.16	ku ba bañwi kaufela
SIR.45.16	kuli a ezeze Mulena Mulimu litabelo
SIR.45.16	za insense ni ze ñwi ze nunka hande
SIR.45.16	ili sitabelo sa kupuzo
SIR.45.16	ya ku kupela batu swalelo.
SIR.45.17	A mu fa milao ya hae ni litaelo
SIR.45.17	za Mulao,
SIR.45.17	kuli a lute Jakobo s'a laezi Mulimu,
SIR.45.17	ni ku talifisa Isilaele ka za Mulao
SIR.45.17	wa hae.
SIR.45.18	 Ba bañwi ba swalisana hamoho
SIR.45.18	ku mu lwanisa,
SIR.45.18	ha ne ba li mwa naheñi,
SIR.45.18	kabakala muna.
SIR.45.18	Batu bao ne li bo Datani, Abirami
SIR.45.18	ni batu ba bona,
SIR.45.18	hamoho ni Kora ni likuta la hae.
SIR.45.18	Ba halifile ka bunyemi bo butuna.
SIR.45.19	Muñ'a Bupilo a bona kezo yeo
SIR.45.19	mi n'a si ka taba,
SIR.45.19	mi bunyemi bwa hae bo butuna
SIR.45.19	bwa ba feza.
SIR.45.19	A ba tiseza makazo mi a ba timeza
SIR.45.19	ka mulilo wa hae o tuka.
SIR.45.20	A ekeleza Aruni maata,
SIR.45.20	ni ku mu fa sanda se sinde.
SIR.45.20	A mu ketela mpo ya pili ya miselo
SIR.45.20	ya mutamuno,
SIR.45.20	mi hape a mu fa mahobe a mañata
SIR.45.20	ku fita ba bañwi kaufela.
SIR.45.21	Ba ca litabelo za Mulimu
SIR.45.21	z'a n'a mu file ni baikulu ba hae.
SIR.45.22	 Kono n'a si na kabelo kwa sanda
SIR.45.22	sa naha ya batu.
SIR.45.22	Ki yena feela mwahal'a batu
SIR.45.22	ya n'a si na kabelo,
SIR.45.22	kakuli yena Mulena Mulimu kasibili
SIR.45.22	ki yena kabelo ni sanda sa hae.
SIR.45.23	 Finehasi mwan'a Eliazare ki yena
SIR.45.23	wa bulalu kwa ku ba ni maata
SIR.45.23	kabakala ciseho ya hae ya ku saba
SIR.45.23	Mulimu,
SIR.45.23	kakuli n'a tiile hahulu, batu ha ba
SIR.45.23	hana Mulimu.
SIR.45.23	Yena a yema ka bundume bwa ku luka,
SIR.45.23	mi ka ona mukwa wo a fumanela Isilaele
SIR.45.23	swalelo.
SIR.45.24	Kabakaleo bulikani bwa kozo
SIR.45.24	bwa tiiswa ka yena.
SIR.45.24	A fiwa ku busa batu ni sibaka
SIR.45.24	se si kenile,
SIR.45.24	ni ku fa yena feela ni baikulu ba hae
SIR.45.24	buhulu mwa buprisita kuya kuile.
SIR.45.25	Sina mo ne bu inezi bulikani
SIR.45.25	bwa ku Davida,
SIR.45.25	mwan'a Jese wa lusika lwa Juda,
SIR.45.25	kuli sanda sa bulena si n'o yolwa
SIR.45.25	ki bana,
SIR.45.25	kono mo ne ku inezi ni ku Aruni
SIR.45.25	kikuli situlo seo si yolwe
SIR.45.25	ki baikulu ba hae kaufela.
SIR.45.26	Muñ'a Bupilo a mi fe ngana ya butali
SIR.45.26	kuli mu atule batu ba hae
SIR.45.26	ka ku luka,
SIR.45.26	ili kuli ku luka kwa baikale ku si ke
SIR.45.26	kwa fela,
SIR.45.26	ni kuli maata a bona a te a yolwe
SIR.45.26	ki baikulu ba bona kaufela.
SIR.46.1	 Joshua mwan'a Nuni n'e li
SIR.46.1	mulwani ya maata mwa ndwa,
SIR.46.1	ya n'a yolile Mushe mwa situlo
SIR.46.1	sa bupolofita.
SIR.46.1	N'a swanelwa ki libizo la hae,
SIR.46.1	kakuli n'e li mupulusi yo mutuna
SIR.46.1	wa batu ba Mulimu ba ba ketilwe,
SIR.46.1	ya n'a kona ku kutiseza lila
SIR.46.1	ze n'e ba lwanisa bumaswe,
SIR.46.1	mi mane u fumanisize Isilaele sanda
SIR.46.1	sa hae.
SIR.46.2	N'e si maata kwa butuna a n'a na ni
SIR.46.2	ona h'a nanula mazoho a hae,
SIR.46.2	ni ku supisa mukwale wa hae
SIR.46.2	kwa minzi!
SIR.46.3	Ki mañi ya kile a ba ni pilu-tata
SIR.46.3	cwalo sina yena?
SIR.46.3	Ki yena feela kasibili ya lwanile
SIR.46.3	lindwa za Muñ'a Bupilo.
SIR.46.4	Kana n'e si ka yena lizazi ha li kile
SIR.46.4	la yema li sa zamayi,
SIR.46.4	mane la nga nako ye telele
SIR.46.4	ku likana ni mazazi a mabeli?
SIR.46.5	Ha n'a lwanisa lila kwa maneku
SIR.46.5	kaufela
SIR.46.5	a kupa tuso ku Mulena Mulimu.
SIR.46.5	Mulimu ya Pahami Hahulu
SIR.46.5	yena a mu alaba ka ku tisa liñungwa
SIR.46.5	ni simbwewewe se situna hahulu.
SIR.46.6	Cwale a kena sicaba seo sa lila
SIR.46.6	za bona,
SIR.46.6	mi kwa njetemuko ya Beti-Horoni
SIR.46.6	a ba tula kaufela,
SIR.46.6	ba ba ne ba itwanela,
SIR.46.6	kuli macaba a zibe maata a hae
SIR.46.6	mwa ndwa,
SIR.46.6	ni kuli macaba ao n'a lwaniswa
SIR.46.6	ki Muñ'a Bupilo.
SIR.46.7	 Joshua n'e li mulateleli wa Mulimu
SIR.46.7	mi hape ka nako ya Mushe n'a ezize
SIR.46.7	musebezi o munde,
SIR.46.7	hamoho ni Kalebu mwan'a Jefune.
SIR.46.7	Ne ba hanile mihupulo ni lipulelo
SIR.46.7	za nyangela kaufela,
SIR.46.7	ni ku sileleza batu kwa ku eza sibi,
SIR.46.7	ka ku kuzisa litaba za petuhelo.
SIR.46.8	Cwale bona batu bao ba babeli feela
SIR.46.8	ba piliswa
SIR.46.8	mwahal'a bazamai ba likiti
SIR.46.8	ze mianda ye silezi
SIR.46.8	mi mane ba tiswa mwa naha
SIR.46.8	ye ne ba sepisizwe,
SIR.46.8	ili naha ye nde ya mabisi ni linosi.
SIR.46.9	Mulimu a fa Kalebu maata,
SIR.46.9	mi yena a a buluka ku fitela
SIR.46.9	a supala,
SIR.46.9	mane a hapa mishitu ya naha,
SIR.46.9	yeo baikulu ba hae ba sa na ni yona.
SIR.46.10	A eza cwalo kuli bana ba Isilaele
SIR.46.10	ba bone bunde bwa ku latelela
SIR.46.10	Muñ'a Bupilo.
SIR.46.11	 Baatuli ni bona hape ka nako ya bona
SIR.46.11	ne ba li batu ba lipilu ze sepahala,
SIR.46.11	ba ba ne ba si ka be ba fetuhela Mulimu.
SIR.46.11	Mabizo a bona a tohonolofazwe!
SIR.46.12	Masapo a bona a tahise bupilo
SIR.46.12	bo bunca
SIR.46.12	mi mabizo a bona ba ba ne ba
SIR.46.12	kutekeha
SIR.46.12	a be kwa bana ba bona.
SIR.46.13	 Samuele n'a latwa hahulu
SIR.46.13	ki Mulena Mulimu wa hae.
SIR.46.13	N'e li mupolofita wa Muñ'a Bupilo,
SIR.46.13	ya n'a tomile mubuso,
SIR.46.13	ni ku toza babusi ba batu
SIR.46.13	ba Mulimu.
SIR.46.14	A atula buñata ka Mulao
SIR.46.14	wa Muñ'a Bupilo,
SIR.46.14	mi Mulimu a babalela Jakobo.
SIR.46.15	Ka ku sepahala kwa hae a fumaneha
