MAT.1.1	Kitabu cha mbuli ya Yesu Kilisito, ṅwana Dawidi, ṅwana Abulahamu: 
1TI.6.5	viya ni wantu wetalaluka; washinawo kweli hata, weγamba: Kumwitika Mulungu ni kuonela mali. We ivyoho uwatowe hulu!
1TI.6.6	Kweli kumwitika Mulungu ni buonela vikulu kushima muntu akitendwa ni luzisho na viya, tivyona navyo. 
1TI.6.7	Hambu nkatina tiletilevyo mwe inu shi, kangi nkatina tivyodaha kuzahita navyo. 
1TI.6.8	Ati tina vya ja na vya zwika, tiγambe: Vyatibesheza! 
1TI.6.9	Miya wekunda kuγenyeza mali wagwilwa ni mγezo na mteγo na tamaa nyingi zishinazo bontokelo, zehosa zikigwiza wantu na kubada, wakobanikila. 
1TI.6.10	Hambu kutamilwa ni mali ni zindo ja vibada vingi; kuṅwe wakiinwehela wazaaza mitozesheze yawe, wazakilumiza wenye vikulu muno.
1TI.6.11	Miya iwe muntungwa ywa Mulungu, uvinyilike! Timila vye utanda na mitumikile na mitozesheze na mikundishize ye kweli na uzizimizi na uhozu! 
1TI.6.12	Gomba iyo nkondo ntana ya kutozesha! Gwila sila ya nkalamo ya kale na kale! Hambu ne uitangilweyo, kangi uzaijiila malape matana, waona wangi wai haho. 
1TI.6.13	Mulungu mweinka vyoshe nkalamo na Kilisito Yesu azifizeye akimlonga Pontiyo Pilato uwona ni waona wangu, nikikulaγiliza, 
1TI.6.14	utozeshe mulomongwa kishidanko, kishimasa, mpaka Zumbe ywetu Yesu Kilisito ndiho nezealawile; 
1TI.6.15	ndiye nezeamlavye, mishi ikitimiza, ni yuja mwetogolwa nguvu ike, ni zumbe ywa wazumbe na mfuṅwa ywa wafuṅwa; 
1TI.6.16	uyu ike nkafa, aikala he langaila hashihobulikana, nkakuna muntu amweneye, kangi nkakuna mwedaha kumwona, uyu agimbikwe, kuti nguvu yakwe ni ya kale na kale! Amini.
1TI.6.17	Wazuli wa kiinushi uwalaγilize, washehikuke, washealile uzuli wekanyabanika, miya wamwalile Mulungu mwetishuγa na uzuli, tiiγute! Wazifye mbuli zawe, 
1TI.6.18	waγenyeze ndima ntana, wainkile vyawe na nyemi, waangilane na weyae wawe! 
1TI.6.19	Ne ndivyo wakiumbikile kitende chedi eha mishi ija, ndiyo nezeilawile, nezewamote nkalamo ya kweli.
1TI.6.20	Timoteyo, γolokela viya uinkiγwevyo ukitowa hulu milongele mibada ya bule na mikanano ya watalizi washinawo kweli! 
1TI.6.21	Hambu kuṅwe wakivitimila wazaaza mitozesheze yawe. Mbazingwa ikuikaile! Amini.
2TI.1.1	Imi Paulo ni ntuṅwa ya Kilisito Yesu kwa viya, Mulungu akundilevyo kwa mbuli ya msuhi wa nkalamo ye mwe Kilisito Yesu. 
2TI.1.2	Nakugondela baluwa iwe, ṅwanangu Timoteyo, niyekukundisha; mbazi ikuikaile na utungu na mpeho yeanduka kwa Mulungu Tate na kwa Zumbe ywetu Kilisito Yesu!
2TI.1.3	Namtogola Mulungu, niyemtumikila na moyo weṅala sa watate wangu; kangi sidila kukufukila nihokavika kilo na mushi; 
2TI.1.4	hambu nikikumbuka meshozi yako, nina luzwi lwa kukuona, kangwe nyemi yangu ikule. 
2TI.1.5	Natonga vivyoho mitozesheze ija ishinayo ulongo, ndiyo iina weyako Loyi bosi, vikibinda hata nyokwe Oinike, miya naalila kuti: Hata iwe una nayo.
2TI.1.6	Ne vyeleka, nikikukumbusha, ufufule chiya cha mbazi ya Mulungu, uinkiγwecho haja, nikikubadikila mikono! 
2TI.1.7	Hambu Mulungu nkatinkile mpeho yetivivila, azatinka mpeho yetigela nguvu na lukundisho na viyuγo. 
2TI.1.8	Lushe ushetendwe ni shoni za kumkanila Zumbe ywetu na imi nishungiγweye kwa mbuli yakwe, miya lumila na kuzizimiza kwa mbuli ya ulaungwa kwa nguvu ya Mulungu! 
2TI.1.9	Hambu ne atibonyizeye, ne atiitangeye na mwitango mṅazi, so kwa kuti tizazifya ndima, miya kwa kuti ṅwenye azakunda ivyoho kwa mbazi; izo mbazi sho kale ṅwenye tizaziikilwa mwe Kilisito Yesu, 
2TI.1.10	miya tizazizuγwilwa mishi inu, mhonya ywetu Kilisito Yesu akilawila; uyu azavota kifa, vikibinda azalavya nkalamo ishiyobanika, sa tivyobilikilwa. 
2TI.1.11	Ne nigimbikilwevyo mubilikizi na ntuṅwa na mfuzi. 
2TI.1.12	Kwa inu mbuli nalumiziγwa iviho, miya sitendwa ni shoni, hambu namtaila niyemtozesha, kangi ichi kialilo nina nacho kuti: Ana nguvu ya kuγolokela viya vyangu, mpaka ndiho uja mushingwa nezeukinte. 
2TI.1.13	Mihinyize ya mbulingwa yeikaza, ni ija, uivileyo kwangu; tenda mitozesheze na mikundishize yeanduka kwa Kilisito Yesu! 
2TI.1.14	Viya vitana uinkiγwevyo uviγolokele kwa nguvuya mpeho ṅaziyetiikaila!
2TI.1.15	Wataila, kuti woshe weikala mwe shi ya Asiya wazaniasha, waja wakina Figelo na Hemogene. 
2TI.1.16	Zumbe afile chengo cha Onesifolo mbazi! Hambu azanishangalaza kangi muno, nkatendiγwe ni ntoγo na mazolo yangu, 
2TI.1.17	miya akibula kunu Loma, azakihima kunilonda, mpaka akiniona. Zumbe aleke, aonele mbazi kwa Zumbe mushi uja! 
2TI.1.18	Ndima, aγosholezo uko Efeso, ṅwenye wazitaila kunizinka imi.
2TI.2.1	Lushe iwe ṅwanangu, tenda nguvu kwa ziya mbazi, Kilisito azotifila! 
2TI.2.2	Viya uivilevyo kwangu, waona wangi wai haho, uviinkile kwa wantu wekoolela wedaha kuhinya hata watuhu! 
2TI.2.3	Kunda kulumiziγwa haṅwe na ishwi, sa vivyomwagiza mnkondo mtanaywa Kilisito Yesu! 
2TI.2.4	Muntu mwehita nkondo nkanakipisha mwe kulonda nkonde, kangwe amtamile yuja ṅwenye nkondo. 
2TI.2.5	Muntu hata agombe nkondo, ati nkaigombile vitana, nkakantwa bundu. 
2TI.2.6	Mulimi mweona lulali na kulima kwakwe vyaagiza, ṅwenye alimbule viya alozolevyo. 
2TI.2.7	Teγeleza, nivyolongal Hambu Zumbe neakunke viyuγo mwe mbuli zoshe. 
2TI.2.8	Mkumbuke Yesu Kilisito ainulweye kwa wafilewo, mweanduka mwe chengo cha Dawidi, niyebilikila mbuli zakwe! 
2TI.2.9	Kwa inu mbuli nalumila, mpaka nikishungwa sa mhambanyi, miya mbulingwa ya Mulungu nkaishungwa. 
2TI.2.10	Ne nihozizimiza vyoshe kwa mbuli ya waja washaγulwewo, kangwe nezewaonele wohena uja uhonya we mwe Kilisito Yesu na utana wa kale na kale. 
2TI.2.11	Inu mbuli ni ya kweli: Ati tizafa naye, tizakalama naye; 
2TI.2.12	ati tazizimiza, titazatoza uzumbe naye; ati tamtowa hulu, yohena atazatitowa hulu; ati tashemtozesha, 
2TI.2.13	yuja ni mkweli vivyoho, hambu nkadsha kukitowa hulu ṅwenye.
2TI.2.14	Izi mbuli uziwakumbushe na kuwalonga uwona, Mulungu ai haho, washekanane! Hambu ni ndima ishinayo bontokelo, yachakula du bumba ja waja weteγeleza. 
2TI.2.15	Kihime, umγalukile Mulungu mndima mwezifya, ashiyeγoshola vyegwiza shoni, 
2TI.2.16	miya mweliγanyanya vitana mbuli ya kweli, miya mbuli mbada zishinazo bontokelo, ushezitongeletongele! 
2TI.2.17	Hambu newaisiize kuγenyeza mbuli mbiwi, kangi mbuli yawe itagisa, viya ni ukoma, hata Himeneyo na Fileto ni weyae wawe, 
2TI.2.18	hambu wazaazaγanya mbulingwa ye kweli wakiγamba: Ufufuki uzabinda kubontoka, ne wavyoazaγanya navyo hata kuṅwe wetozesha. 
2TI.2.19	Miya shikizi, Mulungu aikilejo, jiitoγile vivyoho, lwitangilo lwakwe shulu: Zumbe ataila wantu wakwe; kangi: Kila mwelanga zina ja Zumbe atowe ubada woshe hulu! 
2TI.2.20	Mwe nyumba ya mzuli nkamna ntanu za zahabu du na za feza, miya hata za miti na za ulongo zi mumo, kuṅwe ni za luhambo, kuṅwe ni za mbuli ze shoni; 
2TI.2.21	ati muntu azila waja wantu, ataγaluka ntanu ya luhambo iṅaziγweyo, ṅwenye avyokunda kutoza, yedaha ndima ntana zoshe.
2TI.2.22	Uhalami wa kihwanga uunyilike, miya ntimile utanda na mtozesho na lukundishano na mwivano haṅwe na waja woshe wemkemela Zumbe na myoyo yeṅala! 
2TI.2.23	Miya mikanano ishinayo hontokelo usheikunde, uitaile kuti: Yakabanyanya wantu! 
2TI.2.24	Miya mtuṅwa ywa Zumbe nkavimwagiza kuifyana na weyae, shuti atende ukuwi na wantu woshe, adshewafuza, shuti atende uzizimizi, 
2TI.2.25	adaheshunda na uhozu waja wahishi, ati Mulungu akunda kuwainka luvotekele, wataile viya vye kweli, 
2TI.2.26	wanyinyihale vituhu wakikilavya mwe mteγo wa Satani, hambu waigwizilwe ndiye, wamγoshwele, ndivyo akunde.
2TI.3.1	Miya taila kuti: Mishi ya shilikiza kutazaiza mishi ye ntoγo. 
2TI.3.2	Hambu wantu watakikundisha wenye, watatenda mumelo wa feza, watahikuka, watalonga mbuli za ntili na za lukanko, watalemela kuitika wavyazi, watashowa ntogolo, watamtowa Mulungu hulu, 
2TI.3.3	nkawana lukundisho, nkawatemekwa, watatenda leha na luhala na ukali, watashwika vyetama, watatenda nkumba na usheiva, 
2TI.3.4	watafuntuka, watakundisha nyemi ya kiinushi kumzinka Mulungu, 
2TI.3.5	watakionyaonya, viya watamwitika Mulungu, miya nguvu yakwe wazaiikila nkani; we ivyoho uwatowe hulu! 
2TI.3.6	Hambu weyae wawe ni waja wekaingila mwe nyumba za wantu wakiluvya wavyelengwa wezwamilwa ni mahuza yawe, wehimilwa ni kihelehele chingi muno, 
2TI.3.7	wefuziγwa aho kale hoshe, washiwodaha kutaila na kubontola viya vye kweli. 
2TI.3.8	Sa Yane na Yambule wamwikilevyo Mose nkani, vivyoho awa wohena waikila viya vye kweli nkani; ni wantu wena ntongonyezi zishizokombaγana, mitozesheze yawe iibimkuke, miya nkewaγese vyedi mbuli zawe, 
2TI.3.9	hambu udashi wawe utakanyabunkuka, sa viyaho mbuli ya waja ibontokevyo.
2TI.3.9	Vyetinka nguvu mwe milumilwe yoshe ni mbulingwa.
2TI.3.10	Miya iwe uzanitongela mihinyize na myangile na mitongonyezeze na mitozesheze na uhozu na mikundishize 
2TI.3.11	na mizizimizize na miγulushiziγwe na milumilwe, sa viya niγoshwelwevyo Antiyokiya na Ikoniyo na Lisitila. Nkondo zeinga haja nizazizizimiza, kangi mwe zoshe Zumbe azaiṅvunila. 
2TI.3.12	Woshe wekunda kuzifya myangile, kwa kuti ni wa Kilisito Yesu, newaingatwe. 
2TI.3.13	Miya wantu wabada weazaγanyg weyae wawe wataγesa mbuli yawe na habada, hambu kwa viya wavyohosa, wohe watazakihosa. 
2TI.3.14	Miya iwe ikala na viya ufuziγwevyo, uvyotaila kuti: Ni vya kweli! Kangi wataila wakufuzizewo. 
2TI.3.15	Kwa kuti wataila ugonde uṅazi, viya ukuzilevyo uke mdodo, wadaha kukunka viyuγo, kangwe nezeuvunilwe, kuti wamtozesha Kilisito Yesu; 
2TI.3.16	hambu uja ugonde woshe weanduka kwa mpeho ya Mulungu ni utana, watihinya, wativota, 
2TI.3.17	watishangalaza, watishunda, titende ulanda, kangwe kila muntu ywa Mulungu aγaluke ywa kweli mwekihima mbuli ntana zoshe.
2TI.4.1	Mulungu na Kilisito Yesu mweunga kulawila, alahe we moyo na wafilewo, ni waona wangu, nikikulaγiliza: Kwa viya avyokunda kuzalawila, ashimike uzumbe wakwe, 
2TI.4.2	bilikila mbulingwa, uiγolokele, ati mishi ni mitana, ati ni mibada, ubunkule wahuza, uwavaile, uwashunde na uhozu woshe haṅwe na kuwafuza! 
2TI.4.3	Hambu hana, ndiho nezewashwikile mifuzize yeinka ugima; kwa viya, wavyolongela tamaa zawe, watazakilondela wafuzi wangi, sa mashikilo yawe ndivyo yatamilwe. 
2TI.4.4	Viya vye kweli watalemela kuviteγeleza, viya vya ushimolezi wa bule watavitimila. 
2TI.4.5	Miya iwe nyinyihala mwe mbuli zoshe, uzizimize vibada, uγoshole ndima ya mubilikizi, ndimangwa uinkiγweyo uibontoleze! 
2TI.4.6	Hambu imi nizabulizwa lushe kuγalushwa ṅombe ya mviko, mushi wangu wa kushungulwa u hehi. 
2TI.4.7	Nizaomana nkondo ntana, nizabontoleza mhotwe, nizatozesha mbulingwa. 
2TI.4.8	Nishiγazevyo ni kuinkwa linga jetala watanda, niikilwejo. Mushi uja Zumbe mwelaha na ulanda atazajininka, miya si miyo du, ni woshe ndiwo wakialila kulawila kwakwe.
2TI.4.9+2TI.4.10	Kihime, ufikeiza na kwangu! Dema azamasha, azakundisha inu shi, azahita Tesalonike; Kelesike azahita Galatiya, Tito azahila Dalimatiya. 
2TI.4.11	Luka ne niyena naye ike. Maliko umγuwe, uize naye! Hambu anitumikila vitana. 
2TI.4.12	Tikiko nizaintuma Efeso. 
2TI.4.13	Ali wabula Tilowa, ulete guni jangu, niashizejo kwa Kalipo, hata vitabu, nivyokundisha, ni viya vye njivo. 
2TI.4.14	Alekisando, yuja mshilaγi, azaniγoshwela vibada vingi, Zumbe atazamwuziza inu miγoshwele yakwe. Iwe nawe umγoje! 
2TI.4.15	Hambu azakeleza mbuli zetu nkani kabisa. 
2TI.4.16	Aho nikilahwa bosi bomani, nkakuna anikanileye, woshe wazaniasha; ne washetalwe inu mbuli! 
2TI.4.17	Zumbe azaniγolokela, azaninka nguvu, kangwe ulaungwa ulongelwe uwona ni miyo, wamzimu wauive. Ne nizavunilwa mwe kanwa cha shimba. 
2TI.4.18	Zumbe atanivunila mwe mbuli mbada zoshe, atanihonya, niingile mwe uzumbe wakwe wa kilwingu. Neatogolwe kale na kale! Amini.
2TI.4.19	Niluγushiza kwa Pulisika na Akila na kwa waja weikala mwe nyumba ya Onesifolo. 
2TI.4.20	Elasito azahumula Kolinto; Tilofimo nizamwasha Mileto, akihuma. 
2TI.4.21	Kihime, uize, nyota ishizati ibule! Waluγushiγwa ni Oibulo na Pude na Lino na Kalaudiya na wanduγu woshe.
2TI.4.22	Zumbe aγolokele moyo wako! Mbazi imiikaile! Amini.
TIT.1.1	Imi Paulo ni mtuṅwa ywa Mulungu, kangi ni ntuṅwa ya Yesu Kilisito, sa waja washaγulwewo ni Mulungu wavyotozesha kwa viya, wavyotaila vye kweli; 
TIT.1.2	vyeleka, wamwitika Mulungu na kualila nkalamo ya kale na kale, hambu ne msuhi, Mulungu ashihenyaye atiikilewo mishi ya kale ṅwenye, 
TIT.1.3	miya mishi ikitimiza, azalaviliza mbuli yakwe mwe uja ulau, nigimbikilwewo mubilikizi kwa mulomo wa Mulungu mwetihonya. 
TIT.1.4	Nakugondela iwe Tito baluwa, hambu u ṅwanangu ṅwenye, kuti mitozesheze yangu na yako ni miṅwe. Mbazi ikuikaile na utungu na mpeho yeanduka kwa Mulungu Tate na kwa mhonya ywetu Yesu Kilisito!
TIT.1.5	Ne vilekilevyo, nikikuasha uko Kaleta, kangwe ubontoleze utanda ushiγalewo ukigimbikila mizi yoshe waγolokezi, sa ndivyo nikikulaγiliza: 
TIT.1.6	Ati muna muntu mwena kilango kitana, mwena mvyele muṅwe, mwena wana we kweli washiwoshingwa mumpa, washiwo wapapala. 
TIT.1.7	Mwolezi shuti aγaluke muntu mwena kilango kitana, hambu ni mfuṅwa ywa Mulungu; ashetende utungulu na nkunguka na unywezi na nkumbizi na milimo mibada, 
TIT.1.8	shuti atende kishe na utana na viyuγo na utanda na uṅazi, avote kihelehele, 
TIT.1.9	aγolokele mbuli za mtozesho tifuziγwezo, kangwe adahe kushangalaza wantu na mifuzize yeikaza, kangi adahe kubunkula wabishi.
TIT.1.10	Hambu washiwoitika ni wangi, welonga mbuli za bule du, weazaγanya weyae wawe, weisiiza ivyoho ni waja washengiγwewo. 
TIT.1.11	Awa vyaagiza kuwashitila vyanwa, hambu wachakula nyumba ngima wakihinya vishivyoagiza, kangwe waonele mali, unu ne mulimo wawe mubada. 
TIT.1.12	Ṅwiyae ywawe, mteγanyi ywawe ṅwenye, azalonga: Wakaleta watahenya du, ni mazama mabada, ni mafu mavizu. 
TIT.1.13	Unu uwona ni wa kweli. Kwa inu mbuli uwashunde na nguvu, kangwe wahone, watozeshe, 
TIT.1.14	washetongele ushimolezi wa Kiyuda na milaγilizo ya wantu wetowa hulu viya vye kweli! 
TIT.1.15	Weṅala myoyo vyoshe vyawaṅaila; miya wena myoyo mibada, washiwotozesha nkahana vyewaṅaila hata, hambu ntongonyezi zawe na myoyo yawe ni mibada. 
TIT.1.16	Na vyanwa walonga kuti: Tamtaila Mulungu, miya na miγoshwele yawe wamwikila nkani; wabuza useli, wapapalika, kila ndima ntana nkawaidaha.
TIT.2.1	Iwe longa viya vyeivana na mifuzize yeinka ugima! 
TIT.2.2	Waγoshi wakulu shuti waleke mpombe, wadaheshimilwa, watende viyuγo, waikaziγwe ni mitozesheze na mikundishize na mizizimizize yawe! 
TIT.2.3	Vivyoho wavyele wakulu wohena shuti watende myangile yeagiza waṅazi, washekanke, washetumikile mpombe, 
TIT.2.4	watende mihinyize mitana, kangwe wainke wavyele wadodo viyuγo, wakundishe waγoshi wawe na wana wawe, 
TIT.2.5	watende viyuγo na myoyo yeṅala, waγolokele nyumba zawe, waγaluke wakuwi, waitike waγoshi wawe, kangwe mbulingwa ya Mulungu ishebeleke! 
TIT.2.6	Vivyoho hata wabweni uwashunde, watende viyuγo mwe mbuli zoshe! 
TIT.2.7	Ṅwenye uwaγalukile hinilo ja miγoshwele mitana, mifuzize yako iγaluke ya kweli, sa vivyomwagiza mγoshi mtana! 
TIT.2.8	Ubilikile mbulingwa yeinka ugima, ishiyobeleka, kangwe mwetikeleza nkani aone shoni akishowa mbuli mbada, ndiyo atishinge nayo! 
TIT.2.9	Watuṅwa shuti waitike wababa zawe, wawatamile mwe mbuli zoshe, 
TIT.2.10	washelandule na nkani, washehakiγwila vyaugwa, miya wamanyike, kuti waγolokela viya vyangwa vitana, kangwe mwe mbuli zoshe wagimbike mbulingwa ya mhonya ywetu Mulungu, wafuziγweyo.
TIT.2.11	Hambu mbazi ya Mulungu yehonya izalawila wantu woshe, yatishunda, 
TIT.2.12	titowe hulu myangile ya kimzimu na kihelehele ehoshe cha kiinushi, tiikale mwe inu shi na viyuγo na utanda na kumwogoha Mulungu, 
TIT.2.13	tiafize kialilo chetu cha nyemi, chibontoke, kukizalawila utana wa Mulungu ywetu mkulu na wa mhouya ywetu Kilisito Yesu; 
TIT.2.14	uyu azakiinkila kwa mbuli ya ishwi, atikombole mwe upuna woshe ushiwoagiza, akihozeze mbali yakwe ṅwenye yekihima ndima utana. 
TIT.2.15	Ne ndivyo abilikile haṅwe na kushunda na kubunkula wahuza na nguvu zoshe; kangi kusheoneke mwekubela!
TIT.3.1	Uwakumbushe, watumikile, waitike wazumbe na wafuṅwa, wakiteγe kuγoshola ndima ntana zoshe, washekanke muntu, 
TIT.3.2	washetende nkumbizi, waivane, waangilane na wantu woshe na uhozu ungi!
TIT.3.3	Hambu hata ishwi aho kale ne tii wababashi na wapapala, ne tikiazaγanyiγwa, ne tikitumikila kihelehele na uhalami ungi, ne tii wabada na wawizu, ne tikishukwa, kangi ne tikishukana wenye na wenye. 
TIT.3.4	Ne uhozu na ukuwi wa mhonya ywetu Mulungu utilawileho, 
TIT.3.5	so kwa mbuli ya utanda, tiγosholewo ishwi, miya kwa mbazi yakwe ṅwenye azatihonya, akitihaka mazi na kutivyala ka mbili, kangi akitiuza uhya na kutinka mpeho ṅazi; 
TIT.3.6	inu azaitigisa na kuitiitilila akititumila mhonya ywetu Yesu Kilisito, kangwe tiγaluke watanda kwa mbazi za uyu, 
TIT.3.7	vikibinda tiγaluke wapazi wa nkalamo ya kale na kale, sa tivyoalila. Inu mbuli ni ya kweli. 
TIT.3.8	Ne vyeleka, nikikunda, uilongele uwona wevota, kangwe waja wemtozesha Mulungu waipikile na kuzifya mbuli kuzinka watuhu. Ivi ni vitana, kangi ne vyezifya waotu. 
TIT.3.9	Miya mikanano mibada na mbuli za wakale na mbifya na nkumbizi kwa mbuli ya vitigo uzitowe hulu! Hambu nkazizifya, ni za bule. 
TIT.3.10	Muntu mweazaγanya bumbangwa umshunde kaṅwe ao kaili! Akisheiva, umtowe hulu! 
TIT.3.11	Hambu wataila kuti: Mwe ivyoho azabinda kubahuka, ṅwenye akigela masa na kubana kwakwe.
TIT.3.12	Nikizamtuma Alitema ao Tikiko na kwako, ufikeiza na kwangu uko Nikopoli, hambu ne mkokunda kubinda inu nyota. 
TIT.3.13	Zena, yuja mtalizi ywa mulomongwa, na ṅwiyae Apolo uwashungule, wahite, miya uoleleshe, washezakosa kintu. 
TIT.3.14	Wantu wetu wohena shuti wakizweze kuγoshola ndima ntana kuzinka watuhu, waonele navyo viya vyewaagiza, kangwe washezafanana na miti ishiyovyala!
TIT.3.15	Waluγushiγwa ni woshe, niwona nawo; utiluγushize kwa waja wetikundisha na kutozesha!
TIT.3.15	Mbazi imiikaile inywi nyosheni! Amini.
PHM.1.1	Imi Paulo nishungiγweye kwa mbuli ya Kilisito Yesu na mnduγu Timoteyo tamigondela baluwa iwe Filemoni, tiyekukundisha, kuti u mndima ṅweshu, 
PHM.1.2	na iwe mnduγu ywetu Apiya na iwe mnkondo ṅweshu Alikipo na bumba joshe je mwe nyumba yako. 
PHM.1.3	Mbazi imiikaile na mpeho yeanduka kwa Mulungu, Tate yweshu, na kwa Zumbe ywetu Yesu Kilisito!
PHM.1.4	Namlaviliza Mulungu ywangu ntogolo nihokakufukila nikivika, 
PHM.1.5	hambu nizaiva, uvyomkundisha na kumtozesha Zumbe Yesu na waṅazi woshe. 
PHM.1.6	Nakuhembelezeza, mitozesheze yako itinkileyo mwangilano itende nguvu kwa viya, uvyotaila kuti: Vitana vyoshe, muvyona navyo, vyamiagiza kuvimwuziza Kilisito. 
PHM.1.7	Kwa mbuli ya lukundisho lwako tizaona nyemi nkulu, myoyo izatishangalala vitana, hambu myoyo ya waṅazi izatamilwa ni weyo, mnduγu.
PHM.1.8	Kwa ivyoho hata niishungulwe ni Kilisito, nikulaγilize viya vyekutala, 
PHM.1.9	miya kwa mbuli ya luja lukundisho nakunda kukuhembeleza du, hambu imi Paulo ivi nivyo mdala, kangi ivi lushe niishungiγwe kwa mbuli ya Kilisito Yesu. 
PHM.1.10	Nakuhembeleza kwa mbuli ya ṅwanangu Onesimo, nimvyeleye niishungiγwe; 
PHM.1.11	kale ne ashikuzifiza mbuli, miya ivi lushe atizifiza iwe na imi. 
PHM.1.12	Namwuza na kwako lushe, viya nitekimka moyo Wangu ṅwenye. 
PHM.1.13	Nizakunda kumtoza kunu kwangu, akuγoshwele ndima ya kimitumikila umu mwe chumba, nigezilwemo kwa mbuli ya ulaungwa; 
PHM.1.14	miya sikundile kuviγoshola, uishiivane navyo, kangwe mbaziyako ishelawile kwa ntoγo, miya kwa kutakunda ṅwenye. 
PHM.1.15	Hangi ne vilekikilevyo, akinaushiγwa kwako hadodo ani, kangwe uikale naye kale na kale. 
PHM.1.16	Kangi lushe so viya ni mtuṅwa ywako, miyaviya ana kima kuzinka mtuṅwa, hambu ni mnduγu mweagiza kukundishiγwa; imi namkundisha, ne ndivyovileke, iwe ukiisa kumkundisha kimuntu, hata Kilisito. 
PHM.1.17	Ati imi wanitala, kuti ni ṅwiyawo, umhokele, viya ni miyo ṅwenye! 
PHM.1.18	Ati ana akubanilevyo, ao du ati ana deni kwako, uvinitalile imi! 
PHM.1.19	Imi Paulo, ivi nivigondile na mkono wangu ṅwenye, imi nenikulihe; senikulonge kuti: Iwe ṅwenye u mdeni ywangu.
PHM.1.20	Kweli, mnduγu ywangu, nakunda kuambiziγwa ni weyo kwa mbuli ya Zumbe, utamile moyo wangu kwa mbuli ya Kilisito.
PHM.1.21	Nakualila, kuti waitika, ne vilekilevyo, nikikugondela, kangi nataila kuti: Utaγoshola kuzinka viya, nivyolonga. 
PHM.1.22	Vikibinda niliγanyiza fikilo! Hambu ichi kialilo nina nacho kuti: Kwa viya muvyonihembelezeza mtazaniinkwa.
PHM.1.23	Waluγushiγwa ni Epafula ashungiγweye haṅwe na imi kwa mbuli ya Kilisito Yesu na 
PHM.1.24	Maliko na Alisitaliko na Dema na Luka, wandima weyangu.
PHM.1.25	Mbazi ya Zumbe Yesu Kilisito iikaile mpeho zenyu! Amini.
HEB.1.1	Wahaba zetu Mulungu azawalonga kale kangi muno na milongele mingi ya vyanwa vya wateγanyi. 
HEB.1.2	Mishi inu ya kushilikiza azatilonga ishwi na kanwa cha ṅwanae; nyu azamgimbika, apale vyakwe vyoshe, kangi ndiye aumbileye naye ngulu ngima. 
HEB.1.3	Uyu atilangazishiza utana wakwe, kangi a vivyoho, sa ṅwenye alivyo, vituhu vyoshe avitoγesha na mbuli yakwe ye nguvu, akibinda kutihozeza mabano azahita kwa ikala kulume kwa ṅwenye nguvu uko ulanga. 
HEB.1.4	Azakulisha kuzinka walau kwa viya, ainkiγwevyo zina jewazinka. Hambu ni mlau ani, Mulungu amlongaye: 
HEB.1.5	Iwe u ṅwanangu, nizakuvyala lelo? Ao akimγamba: Nitamγalukila ishe, yuja neaniγalukile ṅwanangu? 
HEB.1.6	Kangi aho akimwingiza ṅwanae ywa nteluka mwe inu shi aγamba: 
HEB.1.7	Walau woshe wa Mulungu nezewamvike L Kwa mbuli ya walau kwaγangwa: Mpeho aziγalusha walau wakwe, mabilibili ya moto ayaγalusha wafunguwo wakwe. 
HEB.1.8	Miya kwa mbuli ya ṅwanangwa kwaγangwa: Mulungu, kiti chako cha kizumbe chatoγa kale na kale, kangi ngoda ya uzumbe wako ni ngoda yezifya. 
HEB.1.9	Wakundisha utanda, waihilwa ni ubezi; kwa inu mbuii Mulungu mwe Mulungu ywako azakushisha mavuta kuzinka weyawo. 
HEB.1.10	Hatuhu haγangwa: Iwe Zumbe aho kale uzatula inu shi, kangi lwingu ni ndima ya mikono yako; 
HEB.1.11	ivi viyabanika, miya iwe wakalama, ivi vyoshe vitazashakala, viya ni shuke; 
HEB.1.12	utazavihitula, viya ni guni, kangi vitazaγalamuka, viya ni shuke; miya iwe ulivyo, ne ulivyo, mavuli yako nkezeyashile. 
HEB.1.13	Miya ni mlau ani, amlongaye: Ikala kulume kwangu, mpaka ndiho niike wankulu wako shi he milundi yako? 
HEB.1.14	Awa woshe so mpeho du zemutumikila, zekatuṅwa, ziolele waja, ndiwo nezewapale uhonya?
HEB.2.1	Kwa ivyoho vyatiagiza, tiisiize kutozesha viya tiivilevyo, kangwe tishezaazaγanyiγwa. 
HEB.2.2	Hambu mbulingwa ilongiγweyo ni walau izatenda nguvu, kangi mzinkano na usheiva woshe nzaona mlaho weagiza. 
HEB.2.3	Lushe ishwi titaunyilika zeez, ati tahela uhonya weinga aho? Uzaanda kubilikilwa ni Zumbe, vikibinda waja waivilewo wazatilonga uwona. 
HEB.2.4	Kangi Mulungu azakanila uja uwona na kuγoshola vilozo na vimaka na nguvu nyingi na kuwapangila mpeho ṅazi, sa avyokunda ṅwenye.
HEB.2.5	Hambu shi, ndiyo ilawile, tiyolonga aha, nkaiinkila kwa walau. 
HEB.2.6	Hana hantu helongwa uwona kuγamba: Muntu ni mbwai, ukimfukila? Ṅwana muntu yohena, ukimlela? 
HEB.2.7	Uzamshiγaza hadodo, afanane na walau, uzamunka ufuṅwa na utana, uzamγalusha zumbe ywa viya viγosholwevyo ni mikono yako, vyoshe uzaviika shi he milundi yakwe. 
HEB.2.8	Akikundila vyoshe kumwitika nkana alekilecho, chishemwitike. 
